,model,output,interpretable,attributable,cells,reasoning,id,set,language,lang
20,mt5_small,Ìdá nínú ìdá ọgọ́ọ̀rún àwọn obìnrin ní Tanzania àti Tanzania àti ìdá 23 nínú ìdá ọgọ́ọ̀rún àwọn obìnrin ní Zanzibar àti ìdá 43 nínú ìdá ọgọ́ọ̀rún àwọn obìnrin ní Zanzibar àti ìdá 43 nínú ìdá ọgọ́ọ̀rún àwọn obìnrin ní Zanzibar.,0.0,,,,SR280-yo-5,test,,yo
21,mt5_xxl,Ìlò àwọn ọ̀nà àtiṣe ìfètòsọ́mọbíbí pọ̀síi gidigidi láti ìdá 10 nínú ìdá ọgọ́ọ̀rún ní TDHS ti 1991-92 sí ìdá 43 nínú ìdá ọgọ́ọ̀rún ní TRCHS ti 1999.,1.0,0.0,,,SR280-yo-5,test,,yo
15,mt5_small,"Ìdá mẹ́tàdínlọ́gbọ̀nṣẹ̀ nínú ìdá ọgọ́ọ̀rún àwọn ilé ìṣègbọ̀nṣẹ̀ ní Ori-ilẹ̀ Gan-an-gan ti ìlú ńlá ní àwọn agbègbè igbèríko, ní àfiwé pẹlu ìdá 35 nínú ìdá ọgọ́ọ̀rún àwọn agbègbè igbèríko.",0.0,,,,MIS31-yo-2,dev,,yo
16,ssa_mt5,"Ní Orí-ilẹ̀ Gan-an-gan, ìdá 56 nínú ìdá ọgọ́ọ̀rún àwọn ilé ìyàgbẹ́/igbó/pápá ti pọ̀síi ní Zanzibar.",1.0,0.0,,,MIS31-yo-2,dev,,yo
17,reference,Ìdá méje nínú ìdá ọgọ́ọ̀rún àwọn ilé-ìgbé ní ilẹ̀ Tanzania kòní èyíkéyìí ilé ìyàgbẹ́.,1.0,0.0,,,MIS31-yo-2,dev,,yo
18,mt5_xxl,Àwọn ilé ìṣègbọ̀nṣẹ̀ tówọ́pọ̀ jùlọ ní Zanzibar ló ní irúfẹ́ ilé ìṣègbọ̀nṣẹ̀ tí a múdára síi (ìdá 76 nínú ìdá ọgọ́ọ̀rún) àti àwọn ilé alájọpín (ìdá 18 nínú ìdá ọgọ́ọ̀rún),1.0,0.0,,,MIS31-yo-2,dev,,yo
9,mt5_xxl,Ìdélédóko fífúnni àjẹsára ní ẹ̀kúnrẹ́rẹ́ pọ̀síi gidigidi láti ìdá 79 nínú ìdá ọgọ́ọ̀rún lọ́dún 1993 sí ìdá 65 nínú ìdá ọgọ́ọ̀rún ní 1998 tí ó sì lọ sílẹ̀ sí ìdá 57 nínú ìdá ọgọ́ọ̀rún ní 2003.,1.0,1.0,5.0,1.0,FR229-yo-20,dev,,yo
10,reference,òdiwọ̀n ìdá nínù ìdá ọgọ́ọ̀rún àwọn ọmọ tí ọjọ́-orí wọn jẹ́ àwọn oṣù 12-23 tí a fúnni àjẹsára ní ẹ̀kúnrẹ́rẹ́ ní ìbámu pẹlu àwọn ìwádìí oníìbéèrè ti KDHS tókọjá ní ilẹ̀ Kenya.,1.0,0.0,,,FR229-yo-20,dev,,yo
11,mt5_small,Òdiwọ̀n ìdá nínù ìdá ọgọ́ọ̀rún àwọn ọmọ tí ọjọ́-orí wọn jẹ́ àwọn oṣù 12-23 tí a fúnni àjẹsára ní ẹ̀kúnrẹ́rẹ́ lọ́dún 2003.,1.0,0.0,,,FR229-yo-20,dev,,yo
12,ssa_mt5,"Ìdélédóko pọ̀síi nínú ìdá ọgọ́ọ̀rún àwọn ọmọ tí ọjọ́-orí wọn jẹ́ àwọn oṣù 12-23 tí a fúnni àjẹsára ní ẹ̀kúnrẹ́rẹ́ lọ, ní àfiwé pẹlu ìdá 79 nínú ìdá ọgọ́ọ̀rún ní 2007 sí ìdá 65 nínú ìdá ọgọ́ọ̀rún ní 2003.",1.0,0.0,,,FR229-yo-20,dev,,yo
11,reference,"Bákannáà ó ṣeé ṣe fún àwọn obìnrin láti gbàgbọ́ lọ́ná tó dín púpọ̀ wipe àwọn ọkùnrin fẹ́ kí ìṣe náà tẹsiwaju lọ́dún 2014 ju lọ́dún 2000 lọ (ìdá 50 nínú ìdá ọgọ́ọ̀rún àti ìdá 61 nínú ìdá ọgọ́ọ̀rún, ní ṣíṣẹ̀-n-tẹ̀lé).",1.0,1.0,6.0,1.0,FR302-FR306-yo-21,dev,,yo
12,mt5_xxl,Ìṣeṣí sí ilà abẹ́ kíkọ́ fún abo láàrin àwọn obìnrin tí wọn lọ́kọ títí tí ọjọ́-orí wọn jẹ́ 15-49 lọ sílẹ̀ láti ìdá 82 nínú ìdá ọgọ́ọ̀rún ní 1995 sí ìdá 58 nínú ìdá ọgọ́ọ̀rún ní 2014.,1.0,1.0,7.0,1.0,FR302-FR306-yo-21,dev,,yo
13,ssa_mt5,Ìdá nínú ìdá ọgọ́ọ̀rún àwọn obìnrin tí wọ́n lọ́kọ títí tí ọjọ́-orí wọn jẹ́ 15-49 ni kò kàwé síi láti ìdá 79 nínú ìdá ọgọ́ọ̀rún ní ọdún 2000.,1.0,0.0,,,FR302-FR306-yo-21,dev,,yo
14,mt5_small,Ìdá mẹ́tàdínlọ́gbọ́ wipe àwọn ọkùnrin ní ọjọ́-orí wọn jẹ́ 15-49 ńfẹ́ wipe àwọn ọkùnrin ní ọdun 15-49 ńfẹ́ kí ìṣe náà tẹ̀síwájú lọ sókè ní kíákía ní kíákía ní ọdún 2000.,0.0,,,,FR302-FR306-yo-21,dev,,yo
13,mt5_small,Ìdáààbòbò nínú ìdá ọgọ́ọ̀rún àwọn nkan láti pèsè ètòsọ́mọbíbí ní àwọn agbègbè ìlú ńlá nínú ìdá ọgọ́ọ̀rún àwọn ọ̀nà àtiṣe ti ìfètòsọ́mọbíbí ní àwọn agbègbè ìlú ńlá nínú ìdá ọgọ́ọ̀rún àwọn ọ̀nà àtiṣe ti ìfètòsọ́mọbíbí ní àwọn agbègbè ìlú ńlá nínú ìdá ọgọ́ọ̀rún àtiṣe ti ìfètòsọ́mọbíbí ní àwọn agbègbè ìlú ńlá nínú ìdá ọgọ́ọ̀rún àtiṣe ti ìfètòsọ́mọbíbí ní àwọn agbègbè ìlú ńlá nínú ìdá ọgọ́ọ̀rún àtiṣe ti àwọn agbègbè ìlú ńlá nínú ìdá ọgọ́ọ̀rún àtiṣe ti àwọn agbègbè ìlú ńlá nínú ìdá ọgọ́ọ̀rún àtiṣe ti àwọn agbègbè ìlú ńlá nínú ìdá ọgọ́ọ̀rún àtiṣe,0.0,,,,SPA22-yo-15,dev,,yo
14,mt5_xxl,"Ìdá mẹ́rin nínú ìdá mẹ́rin àwọn ohun èlò ìfètòsọ́mọbíbí (ìdá 88 nínú ìdá ọgọ́ọ̀rún) ní àwọn àwòṣe fún lílò rọ́bà ìdáààbòbò, ìdá kan nínú ìdá márùn-ún ní àwọn ohun èlò ìfètòsọ́mọbíbí ìdá mẹ́rin nínú ìdá mẹ́rin àwọn ohun èlò ìfètòsọ́mọbíbí ìdá mẹ́rin nínú ìdá mẹ́rin àwọn ohun èlò ìfètòsọ́mọbíbí ìdá mẹ́rin nínú ìdá mẹ́rin àwọn ohun èlò ìfètòsọ́mọbíbí ìdá mẹ́rin nínú ìdá mẹ́rin àwọn ohun èlò ìfètòsọ́mọbíbí ìdá mẹ́rin nínú ìdá mẹ́rin àwọn ohun èlò ìfètòsọ́mọbíbí ìdá mẹ́rin nínú ìdá mẹ́rin nínú ìdá mẹ́rin nínú ìdá mẹ́rin nínú ìdá mẹ́rin nínú ìdá mẹ́rin nínú ìdá mẹ",0.0,,,,SPA22-yo-15,dev,,yo
15,reference,Àpẹẹrẹ ọ̀nà àtiṣe ti ìfètòṣọ́mọbíbí ni ó ti wà níkàlẹ̀ ní àwọn agbègbè ètò ìfijíṣẹ́ ti òdiwọ̀n ìdá 88 nínú ìdá ọgọ́ọ̀rún àwọn ohun èlò ní ọjọ́ àgbéyẹ̀wò.,1.0,1.0,2.0,1.0,SPA22-yo-15,dev,,yo
16,ssa_mt5,"Ní ìdàkejì, òdiwọ̀n ìdá 73 nínú ìdá ọgọ́ọ̀rún àwọn ohun èlò tí a fín yẹ ìfúnpá wò, ní àfiwé pẹlu ìdá 55 nínú ìdá ọgọ́ọ̀rún àwọn ohun èlò tí a fín yẹ ìfúnpá wò, ní àfiwé pẹlu ìdá 55 nínú ìdá ọgọ́ọ̀rún àwọn ohun èlò tí a fín yẹ ìfúnpá wò, ní àfiwé pẹlu ìdá 55 nínú ìdá ọgọ́ọ̀rún àwọn ohun èlò tí a fín yẹ ìfúnpá wò, ní àfiwé pẹlu ìdá 55 nínú ìdá ọgọ́ọ̀rún àwọn ohun èlò tí a fín yẹ ìfúnpá wò, ní àfiwé pẹlu ìdá 55 nínú ìdá ọgọ́ọ̀rún àwọn ohun èlò tí a fín yẹ ìfúnpá wò, ní àfiwé pẹlu ìdá 55 nínú ìdá ọgọ́ọ̀rún àwọn ohun èlò tí a fín yẹ ìfúnpá wò, ní àfiwé pẹlu ìdá 55 nínú ìdá ọgọ́ọ̀rún àwọn",0.0,,,,SPA22-yo-15,dev,,yo
8,mt5_small,"Ìrírí ìwà ipá ti ìbálòpọ̀ láti ọwọ́ ọkọ tabi aya, ìdá 13 nínú ìdá ọgọ́ọ̀rún àwọn obìnrin ní ìrírí ìwà ipá ti ìbálòpọ̀ láti ọwọ́ ọkọ tabi aya, ìdá 15 nínú ìdá ọgọ́ọ̀rún àwọn obìnrin ní ìrírí ìwà ipá ti ìbálòpọ̀ láti ọwọ́ ọkọ tabi aya.",1.0,0.0,,,FR359-yo-85,dev,,yo
9,reference,"Bí o tiṣe rí fun ìṣẹ̀lẹ̀ ìwà ipá, àwọn obìnrin tí wọ́n ti kọ ọkọ wọn sílẹ̀, pínyà tabi ti wọ́n ti di opó wànípò tó ṣeé ṣe púpọ̀ síi (ìdá 15 nínú ìdá ọgọ́ọ̀rún) láti ti ní ìrírí ìwà ipá ìbálòpọ̀ ju àwọn obìnrin tíwọ́n lọ́kọ́ lọ́wọ́lọ́wọ́ (ìdá 9 nínú ìdá ọgọ́ọ̀rún) àti àwọn obìnrin tí kò lọ́kọ rí rárá (ìdá 8 nínú ìdá ọgọ́ọ̀rún) lọ.",1.0,1.0,4.0,1.0,FR359-yo-85,dev,,yo
10,ssa_mt5,Ìrírí ìwà ipá ti obìnrin ní ọkọ ri ńpọ̀síi pẹlu ìdá 8 nínú ìdá ọgọ́ọ̀rún ní ọkọ ri ní àwọn ìpínyà/pínyà/ di opó.,0.0,,,,FR359-yo-85,dev,,yo
11,mt5_xxl,Ìrírí ìwà ipá àfojúrí jẹ́ ìdá kan nínú ìdá mẹ́rin àwọn obìnrin tí kò ṣe ìkọraẹnisílẹ̀/pínyà/ di opó (ìdá 49 nínú ìdá ọgọọrun) ju àwọn obìnrin tí a ti kọraẹnisílẹ̀/pínyà/ di opó (ìdá 8 nínú ìdá ọgọọrun) lọ.,1.0,0.0,,,FR359-yo-85,dev,,yo
16,mt5_xxl,Àmọ̀ran tabi ìtọ́jú jẹ́ ìdá 65 nínú ìdá ọgọ́ọ̀rún àwọn ọmọ tí ọjọ́-orí wọ́n koto ọdún 5 tí wọ́n ti ni ìgbẹ́ gbuuru ni àwọn ọ̀ṣẹ̀ 2 saájú ìwádìí oníìbéèrè náà.,1.0,1.0,2.0,1.0,FR359-yo-59,dev,,yo
17,mt5_small,Ìtọ́jú ìgbẹ́ gbuuru ńpọ̀síi gidigidi láti ìdá 16 nínú ìdá ọgọ́ọ̀rún ní àwọn ọmọ tí ọjọ́-orí wọ́n koto ọdún 5 tí wọ́n koto ọdún 5 tí wọ́n koto ọdún 5 tí wọ́n koto ọdún 5 tí wọ́n koto ọdún 5 tí wọ́n koto ọdún 5 tí wọ́n koto ọdún 5 tí wọ́n koto ọdún 5 tí wọ́n koto ọdún 5 tí wọ́n koto ọdún 5 tí wọ́n koto ọdún 5 tí wọ́n koto ọdún 5 tí wọ́n koto ọdún 5 tí wọ́n koto ọdún 5 tí wọ́n koto ọdún 5 tí wọ́n koto ọdún 5 tí wọ́n koto ọdún 5 tí wọ́n koto ọdún 5 tí wọ́n koto ọdún 5 tí wọ́n koto ọdún 5 tí wọ́n koto ọdún 5 tí wọ́n koto ọdún 5 tí wọ́n koto ọdún 5 tí wọ́n koto ọdún 5 tí wọ́n koto ọdún 5 tí wọ́n koto ọdún 5 tí wọ́n koto ọ,0.0,,,,FR359-yo-59,dev,,yo
18,reference,Ìdá mẹtadinlogun nínú ìdá ọgọ́ọ̀rún àwọn ọmọ toni àìsàn ìgbẹ́ gbuuru kogba itọju eyikeyii.,1.0,1.0,2.0,1.0,FR359-yo-59,dev,,yo
19,ssa_mt5,Ìtọ́jú ìgbẹ́ gbuuru ńpọ̀síi pẹlu ìdá 40 nínú ìdá ọgọ́ọ̀rún àwọn ọmọ tí ọjọ́-orí wọ́n ní ìgbẹ́ gbuuru ni àwọn ọ̀ṣẹ̀ 2 saájú ìwádìí oníìbéèrè náà.,0.0,,,,FR359-yo-59,dev,,yo
23,mt5_xxl,Àwọn obìnrin ní àwọn ìgbèríko ló ní àwọn ọmọ tó ju àwọn obìnrin ní àwọn ìlú ńlá lọ (àwọn ọmọ 2.8 sí àwọn ọmọ 6.7) ju àwọn obìnrin ní àwọn ìgbèríko (àwọn ọmọ 5.2 sí àwọn ọmọ 6.7).,0.0,,,,FR229-yo-7,dev,,yo
24,ssa_mt5,Ìdá kan nínú ìdá ọgọ́rùn àwọn obìnrin ní igbèríko ní ìlú ńlá ní ìlú ńlá ní ìlú ńlá ní ìlú ńlá ní ìlú ńlá.,0.0,,,,FR229-yo-7,dev,,yo
25,mt5_small,Ìbísí ní àwọn agbègbè ìlú ńlá ní àwọn agbègbè ìlú ńlá (ìdá 52 nínú ìdá ọgọ́ọ̀rún) ní àwọn agbègbè ìlú ńlá (ìdá 5 nínú ìdá ọgọ́ọ̀rún) ní àwọn agbègbè ìlú ńlá (ìdá 5 nínú ìdá ọgọ́ọ̀rún),0.0,,,,FR229-yo-7,dev,,yo
26,reference,"Ìbísí wànísàlẹ̀ jùlọ ní ẹkùn Náíróbì (àwọn ọmọ 2.8 láti ara obìnrin kan), tí ẹkùn Ààrin Gùngùn sì tẹ̀lé e pẹlu àwọn ọmọ 3.4 láti ara obìnrin kan, tí ó sì ga jùlọ ní ẹkùn Ìlà-oòrùn Àríwá (àwọn ọmọ 5.9 láti ara obìnrin kan).",1.0,1.0,10.0,1.0,FR229-yo-7,dev,,yo
24,mt5_small,Ìṣọwọ́gbilẹ̀ àìsàn ibà maleria nípaṣẹ̀ líló àyẹ̀wò àtimọǹkan-tóńṣeni (RDT) ní àfiwé pẹlu ìdá 16 nínú ìdá ọgọ́ọ̀rún àwọn ọmọ tí ọjọ́-orí wọn jẹ́ àwọn oṣù 6-59 tí àyẹ̀wọ sọpé wọn ní àìsàn ibà maleria nípaṣẹ̀ lílo àyẹ̀wò àtimọǹkan-tóńṣeni (RDT).,0.0,,,,SR238-yo-22,test,,yo
25,mt5_xxl,"Àìsàn ibà maleria ńyàtọ̀ lọ́nà tó yanilẹ́nu nípati ẹ̀kùn, láti ìdá 1 nínú ìdá ọgọ́ọ̀rún ní Namibe sí ìdá 40 nínú ìdá ọgọ́ọ̀rún ní Kuando Kubango.",1.0,1.0,21.0,1.0,SR238-yo-22,test,,yo
26,reference,Ìṣọwọ́gbilẹ̀ tún ga bákannáà ní àwọn agbègbè igbèríko (ìdá 22 nínú ìdá ọgọ́ọ̀run) ju ni àwọn agbègbè ìlú ńlá (ìdá 8 nínú ìdá ọgọ́ọ̀run) lọ.,1.0,0.0,,,SR238-yo-22,test,,yo
27,ssa_mt5,.,0.0,,,,SR238-yo-22,test,,yo
25,mt5_small,Ìdá nínú ìdá ọgọ́ọ̀rún àwọn ọmọ tí ọjọ́-orí wọn jẹ́ àwọn oṣù 12-23 ti a fún gbogbo ọjọ́-orí wọn jẹ́ àwọn oṣù 12-23 ti a fún gbogbo ọjọ́-orí wọn jẹ́ àwọn oṣù 12-23 tí a fún gbogbo ọjọ́-orí wọn jẹ́ àwọn oṣù 12-23 tí a fún gbogbo ọjọ́-orí wọn jẹ́ àwọn oṣù 12-23 tí a fún gbogbo ọjọ́-orí wọn jẹ́ àwọn oṣù 12-23 tí a fún gbogbo ọjọ́-orí wọn jẹ́ àwọn oṣù 12-23 tí a fún gbogbo ọjọ́-orí wọn jẹ́ àwọn oṣù 12-23 tí a fún gbogbo ọjọ́-orí wọn jẹ́ àwọn oṣù 12-23 tí a fún gbogbo ọjọ́-orí wọn jẹ́ àwọn oṣù 12-23 tí a fún gbogbo ọjọ́-orí wọn jẹ́ àwọn oṣù 12-23 tí a fún gbogbo ọjọ́-orí,0.0,,,,FR359-yo-54,dev,,yo
26,reference,"Ní ìtọ́ka sí ìdélédóko ti àwọn àjẹsára ní pàtó láàrin àwọn ọmọ tí ọjọ́-orí wọ́n jẹ́ àwọn oṣù 12-23 (ní ìdúró lórí káàdì àjẹsára tabi ìròyìn ìyá ọmọ náà), ìdá 67 nínú ìdá ọgọ́ọ̀rún gba àjẹsára ikọ́ ife tí ìdá 65 nínú ìdá ọgọ́ọ̀rún sì gba ìlò àkọ́kọ́ ti DPTHepB-Hib saájú ìwádìí oníìbéèrè náà.",1.0,1.0,4.0,1.0,FR359-yo-54,dev,,yo
27,ssa_mt5,"Ìdá mẹ́tàdínlọ́gbọ́n nínú ìdá ọgọ́ọ̀rún àwọn ọmọ tí ọjọ́-orí wọn jẹ́ àwọn oṣù 12-23 ní a ṣe ọ̀kan fún gbogbo ọjọ́-orí, ní àfiwé pẹlu ìdá 56 nínú ìdá ọgọ́ọ̀rún ní a ṣe ọ̀kan fún gbogbo ọjọ́-orí.",0.0,,,,FR359-yo-54,dev,,yo
28,mt5_xxl,Ìdá mẹ́rindinlọgọ́rin àwọn ọmọ tí ọjọ́-orí wọn jẹ́ àwọn oṣù 12-23 ti gba àjẹsára akọ́ àti àjẹsára rọ́mọlápá-rọmọlẹ́ṣẹ̀ (ìdá 55 nínú ìdá ọgọ́ọ̀rún ní àkàwé pẹ̀lú ìdá 47 nínú ìdá ọgọ́ọ̀rún ní àkàwé pẹ̀lú ìdá mẹ́rindinlọ́gọ́rin ní àkàwé pẹ̀lú ìdá mẹ́rindinlọ́gọ́rin ní àkàwé pẹ̀lú ìdá mẹ́rindinlọ́gọ́rin ní àkàwé pẹ̀lú ìdá mẹ́rindinlọ́gọ́rin ní àkàwé pẹ̀lú ìdá mẹ́rindinlọ́gọ́rin ní àkàwé pẹ̀lú ìdá mẹ́rindinlọ́gọ́rin nínú ìdá ọgọ́ọ̀rún ní àkàwé pẹ̀lú ìdá mẹ́rindinlọ́gọ́rin nínú ìdá ọgọ́ọ̀rún ní àkàwé pẹ̀lú ìdá mẹ́rindin,0.0,,,,FR359-yo-54,dev,,yo
8,mt5_xxl,"Ìdá kan nínú ìdá mẹ́rin àwọn ilé-ìgbé ní Zanzibar ló ní ITN kan, tó ńṣiṣẹ́ fún àwọn ènìyàn méjì tabi jù bẹ́ẹ̀ lọ.",1.0,0.0,,,MIS31-yo-8,dev,,yo
9,mt5_small,Ìpínkáàkiri nínú ilé-ìgbé nínú ìdá ọgọ́ọ̀rún àwọn ilé-ìgbé ní Zanzibar ńpọ̀síi gidigidi láti ìdá 23 nínú ìdá ọgọ́ọ̀rún ní Zanzibar.,1.0,0.0,,,MIS31-yo-8,dev,,yo
10,reference,"Ni Zanzibar, ìdá 79 nínú ìdá ọgọ́ọ̀rún àwọn ilé́-igbe ní o kéré tán àwọ̀n apẹ̀fọn tí a fi òògùn apàkòkòrò sí (ITN) kan, pẹlu ìdá 42 nínú ìdá ọgọ́ọ̀rún to nni ITN kan fún gbogbo ènìyàn 2 tí ó dúró ninu ilé náà ní alẹ́ tó saájú ìfọ̀rọ̀wánilẹ́nuwò náà.",1.0,0.0,,,MIS31-yo-8,dev,,yo
11,ssa_mt5,Ìpínkáàkiri nínú ìdá ọgọ́ọ̀rún àwọn ilé-ìgbé ní Zanzibar ńna ọwọ́jà láti ìdá 21 nínú ìdá ọgọ́ọ̀rún ní Zanzibar.,1.0,0.0,,,MIS31-yo-8,dev,,yo
8,mt5_xxl,"Ikú ọmọdé jẹ́ ikú 68 nínú àwọn ìbímọ aláàyè 1,000 fún àwọn ọmọ tí kòtó ọdún 5 lọ́jọ́-orí.",1.0,1.0,2.0,1.0,SR238-yo-12,dev,,yo
9,mt5_small,"Ìbímọ alààyè 1,000 nínú àwọn ìbímọ alààyè 1,000 nínú àwọn ìbímọ alààyè 1,000 nínú àwọn ìbímọ alààyè 1,000 nínú àwọn ìbímọ alààyè 1,000 nínú àwọn ìbímọ alààyè 1,000 nínú àwọn ìbímọ alààyè 1,000 nínú àwọn ìbímọ alààyè 1,000 nínú àwọn ìbímọ alààyè 1,000 nínú àwọn ìbímọ alààyè 1,000 nínú àwọn ìbímọ alààyè 1,000 nínú àwọn ìbímọ alààyè 1,000 nínú àwọn ìbímọ alààyè 1,000 nínú àwọn ìbímọ alààyè 1,000 nínú àwọn ìbímọ alààyè 1,000 nínú àwọn ìbímọ alààyè 1,000 nínú àwọn ìbímọ alààyè 1,000 nínú àwọn ìbímọ alààyè 1,000 nínú àwọn ìbímọ alààyè 1,000 nínú àwọn ìbímọ alààyè 1,000 nínú àwọn ìbímọ alààyè 1,000 nínú àwọn ìbímọ alààyè 1,000 nínú àwọn ìbímọ alààyè 1,000 nínú àwọn ìbímọ al",0.0,,,,SR238-yo-12,dev,,yo
