bcp_47_code	iso_639_3_code	english_name	endonym	estimated_number_of_speakers	writing_systems	locales	cldr_official_status	endangerment_status	is_macrolanguage	macrolanguage_bcp_47_code	individual_language_bcp_47_code	iso_639_2b_code	deprecated_bcp_47_code	glottocode	wikidata_id	wikidata_description
abe	abe	Western Abnaki	wôbanakiôdwawôgan	14	Latn	CA		Critically endangered	False					west2630	Q17502788	
abf	abf	Abai Sungai			Latn	MY		Definitely endangered	False					abai1240	Q4663287	
abg	abg	Abaga		600	Latn	PG		Critically endangered	False					abag1245	Q3507954	
abh	abh	Tajiki Arabic			Arab	AF, TJ, UZ		Definitely endangered	False	ar				taji1248	Q56833	dialect of Arabic language
abi	abi	Abidji			Latn	CI		Not endangered	False					abid1235	Q34781	
abj	abj	Aka-Bea			Latn	IN		Extinct	False					akab1249	Q2356391	
abl	abl	Lampung Nyo	cawa Lampung	1500000	Latn	ID		Not endangered	False					lamp1242	Q12473424	Lampungic language spoken by the Abung ethnic group
abm	abm	Abanyom		13000	Latn	NG		Not endangered	False					aban1242	Q7502	language of the Ekoid subfamily of Niger–Congo
abn	abn	Abua		25000	Latn	NG		Not endangered	False					abua1244	Q34835	Central Delta language of Nigeria
abo	abo	Abon			Latn	CM, NG		Vulnerable	False					abon1238	Q35121	language spoken in Nigeria and Cameroon
abp	abp	Abellen Ayta		3000	Latn	PH		Definitely endangered	False					aben1249	Q3436621	
abq	abq	Abaza	абаза	48000	Cyrl	RU		Vulnerable	False					abaz1241	Q27567	language of the Caucasus mountains in the Russian Karachay–Cherkess Republic by the Abazins
abr	abr	Abron	Brong	1500000	Latn	GH		Not endangered	False					abro1238	Q34831	Dialect of Akan
abs	abs	Ambonese Malay	Bahasa Ambon	250000	Latn	ID		Not endangered	False					ambo1250	Q3124354	creole spoken by the Ambonese ethnic group
abt	abt	Ambulas		44000	Latn	PG		Vulnerable	False					ambu1247	Q3508015	
abu	abu	Abure		93000	Latn	CI		Not endangered	False					abur1243	Q34767	
abv	abv	Baharna Arabic	العربية البحرانية	730000	Arab	BH		Not endangered	False	ar				baha1259	Q56576	
abw	abw	Pal		1200	Latn	PG		Not endangered	False					pall1244	Q7126121	
abx	abx	Inabaknon		26000	Latn	PH		Not endangered	False					inab1237	Q2820163	language spoken in Philippines
aby	aby	Aneme Wake		650	Latn	PG		Not endangered	False					anem1248	Q3508107	
abz	abz	Abui		17000	Latn	ID		Definitely endangered	False					abui1241	Q2822110	
aca	aca	Achagua		250	Latn	CO		Definitely endangered	False					acha1250	Q2822982	
acb	acb	Áncá		5300	Latn	NG		Not endangered	False					anca1236	Q11130787	
acd	acd	Gikyode		10000	Latn	GH		Not endangered	False					giky1238	Q35256	Guang language of Ghana
ace	ace	Achinese	Acèh	3700000	Latn	ID			False					achi1257	Q27683	Northern Sumatran language
acf	acf	Saint Lucian Creole French	Kwéyòl	700000	Latn	LC		Not endangered	False					sain1246	Q3006285	
ach	ach	Acoli	Acholi	1600000	Latn	UG		Not endangered	False					acol1236	Q34926	Southern Luo dialect
aci	aci	Aka-Cari			Latn	IN		Extinct	False					akac1240	Q2670418	
ack	ack	Aka-Kora			Latn	IN		Extinct	False					akak1251	Q3433680	
acl	acl	Akar-Bale			Latn	IN		Extinct	False					akar1243	Q3436825	
acm	acm	Mesopotamian Arabic	لهجة بلاد ما بين النهرين	17000000	Arab	IQ		Not endangered	False	ar				meso1252	Q56232	continuum of mutually-intelligible varieties of Arabic
acn	acn	Achang		60000	Latn	CN		Definitely endangered	False				xia	acha1249	Q56582	
acp	acp	Eastern Acipa			Latn	NG		Not endangered	False					east2403	Q5329945	Eastern Acipa language
acq	acq	Ta'Izzi-Adeni Arabic	لهجة تعزية-عدنية	12000000	Arab	YE		Not endangered	False	ar				taiz1242	Q56579	dialect of Arabic spoken primarily in the Republic of Yemen and the Republic of Djibouti
acr	acr	Achi		85000	Latn	GT		Vulnerable	False					achi1256	Q34774	
acs	acs	Acroá			Latn	BR		Extinct	False					acro1239	Q2829146	
act	act	Achterhoeks	Achterhoeks	210000	Latn	NL		Vulnerable	False					acht1238	Q153627	language spoken in Achterhoek, Netherlands
acu	acu	Achuar-Shiwiar		4400	Latn	PE		Definitely endangered	False					achu1248	Q2823170	Chicham language spoken in Ecuador and Peru
acv	acv	Achumawi			Latn	US		Critically endangered	False					achu1247	Q56661	
acw	acw	Hijazi Arabic	حجازي	11000000	Arab	SA		Not endangered	False	ar				hija1235	Q56608	variety of Arabic spoken in the Hejaz region of Saudi Arabia
acx	acx	Omani Arabic	اللهجة العمانية	3200000	Arab	OM		Not endangered	False	ar				oman1239	Q56630	variety of Peninsular Arabic spoken in Oman
acy	acy	Cypriot Arabic			Arab, Grek, Latn	CY		Definitely endangered	False	ar				cypr1248	Q56416	moribund variety of Arabic spoken by the Maronite community of Cyprus.
acz	acz	Acheron		20000	Latn	SD		Vulnerable	False					ache1245	Q34769	
ada	ada	Adangme	Dangbe	880000	Latn	GH		Not endangered	False					adan1247	Q35141	Kwa language of Ghana
adb	adb	Atauran		11000	Latn	ID, TL		Not endangered	False					adab1235	Q3327339	language of East Timor
add	add	Lidzonka			Latn	CM, NG		Not endangered	False					dzod1238	Q35266	
ade	ade	Adele		37000	Latn	TG		Not endangered	False					adel1244	Q27740	language spoken in central eastern Ghana and central western Togo
adf	adf	Dhofari Arabic		130000	Arab	OM		Not endangered	False	ar				dhof1235	Q56565	
adg	adg	Andegerebinha			Latn	AU		Critically endangered	False					ande1247	Q3508123	Australian aboriginal language
adh	adh	Adhola	Dhopadhola	360000	Latn	UG		Not endangered	False					adho1243	Q1971400	dialect of Southern Luo spoken in Uganda
adi	adi	Adi		200000	Latn	IN		Not endangered	False					bori1243	Q56440	language in India
adj	adj	Adioukrou		100000	Latn	CI		Not endangered	False					adio1239	Q34738	Ivoirian language
adl	adl	Galo		29000	Latn	IN		Vulnerable	False					galo1242	Q2857892	Sino-Tibetan language of the Tani group, spoken by the Galo people
adn	adn	Adang		12000	Latn	ID		Definitely endangered	False					adan1251	Q3398276	Alor language spoken in Indonesia
ado	ado	Abu		4200	Latn	PG		Definitely endangered	False					abuu1241	Q56659	Ramu language
adq	adq	Adangbe			Latn	GH, TG		Vulnerable	False					adan1248	Q34730	Ghana–Togo Mountain language
adr	adr	Adonara			Latn	ID		Not endangered	False					adon1237	Q4684505	Central Malayo-Polynesian language
adt	adt	Adnyamathanha		260	Latn	AU		Definitely endangered	False					adny1235	Q2225391	Australian Aboriginal language
adu	adu	Aduge		92000	Latn	NG		Vulnerable	False					adug1238	Q34734	
adw	adw	Amundava		870	Latn	BR		Vulnerable	False					amun1246	Q12626847	
adx	adx	Amdo Tibetan	ཨ་མདོའི་སྐད།	1800000	Tibt	CN		Not endangered	False				pcr	amdo1237	Q56509	Tibetic language of Amdo
ady	ady	Adyghe	Адыгабзэ	120000	Cyrl	RU	Regional official [RU]	Vulnerable	False					adyg1241	Q27776	one of the official languages of the Republic of Adygea in Russia
adz	adz	Adzera		30000	Latn	PG		Vulnerable	False					adze1240	Q3327445	Austronesian language spoken in Papua New Guinea
aea	aea	Areba			Latn	AU		Extinct	False					areb1238	Q3509129	
aeb	aeb	Tunisian Arabic	Tounsi		Arab, Latn	TN		Not endangered	False	ar			ajt	tuni1259	Q56240	arabic dialect spoken in Tunisia
aec	aec	Saidi Arabic	صعيدى	25000000	Arab	EG		Not endangered	False	ar				said1239	Q56592	variety of Arabic spoken by the Ṣa‘īdi people south of Cairo, Egypt to the border of Sudan
aee	aee	Northeast Pashai		400000	Latn	AF		Vulnerable	False					nort2666	Q12642198	
aek	aek	Haeke		300	Latn	NC		Severely endangered	False					haek1239	Q5638166	
ael	ael	Ambele		5000	Latn	CM		Vulnerable	False					ambe1247	Q34818	
aem	aem	Arem		20	Latn	LA, VN		Critically endangered	False					arem1240	Q3507920	
aeq	aeq	Aer		100	Arab	PK		Definitely endangered	False					aerr1238	Q3246741	
aer	aer	Eastern Arrernte		4500	Latn	AU		Definitely endangered	False					east2379	Q10728232	Pama-Nyungan language spoken in Northern Territory, Australia
aes	aes	Alsea			Latn	US		Extinct	False					alse1251	Q2395641	
aeu	aeu	Akeu		14000	Latn	CN		Definitely endangered	False					akeu1235	Q4700657	
aew	aew	Ambakich			Latn	PG		Definitely endangered	False					amba1269	Q56642	
aey	aey	Amele		5300	Latn	PG		Vulnerable	False					amel1241	Q3508025	
aez	aez	Aeka		47000	Latn	PG		Not endangered	False					aeka1244	Q16110528	Binanderean language
af	afr	Afrikaans	Afrikaans	7300000	Latn	ZA	Regional official [ZA]	Not endangered	False					afri1274	Q14196	West Germanic language, spoken in South Africa and Namibia
afb	afb	Gulf Arabic	خليجي					Not endangered	False	ar				gulf1241	Q56385	variety of the Arabic language spoken in Eastern Arabia around the coasts of the Persian Gulf
afd	afd	Andai		440	Latn	PG		Definitely endangered	False					anda1283	Q4753480	
afe	afe	Putukwam		70000	Latn	NG		Not endangered	False					putu1241	Q3914930	
afi	afi	Akrukay			Latn	PG		Severely endangered	False					akru1241	Q57003	
afk	afk	Nanubae		1300	Latn	PG		Definitely endangered	False					nanu1240	Q6964416	
afn	afn	Defaka		200	Latn	NG		Severely endangered	False					defa1248	Q35174	endangered language of Nigeria
afo	afo	Eloyi		100000	Latn	NG		Not endangered	False					eloy1241	Q3914066	
afp	afp	Tapei		250	Latn	PG		Definitely endangered	False					tape1242	Q16887371	
afs	afs	Afro-Seminole Creole			Latn	MX, US		Severely endangered	False					afro1254	Q27867	English-based creole
aft	aft	Afitti		4000	Latn	SD		Definitely endangered	False					afit1238	Q3400829	
afu	afu	Awutu	Efutu	180000	Latn	GH		Definitely endangered	False					awut1241	Q34847	
afz	afz	Obokuitai		120	Latn	ID		Definitely endangered	False					obok1239	Q7075258	
aga	aga	Aguano			Latn	PE		Extinct	False					agua1251	Q3331203	
agb	agb	Legbo		60000	Latn	NG		Not endangered	False					legb1242	Q35584	
agc	agc	Agatu		70000	Latn	NG		Not endangered	False					agat1236	Q34732	Idomoid language of Nigeria
agd	agd	Agarabi		27000	Latn	PG		Not endangered	False					agar1252	Q3399642	
age	age	Angal		80000	Latn	PG		Not endangered	False					anga1293	Q10951553	
agf	agf	Arguni		150	Latn	ID		Definitely endangered	False					argu1237	Q12473346	language in Indonesia
agg	agg	Angor		1300	Latn	PG		Definitely endangered	False					ango1254	Q3508100	
agh	agh	Ngelima			Latn	CD		Not endangered	False					ngel1238	Q7022266	
agi	agi	Agariya			Deva	IN		Not endangered	False					agar1251	Q663586	
agj	agj	Argobba			Ethi	ET		Vulnerable	False					argo1244	Q29292	Ethiopian Semitic spoken in an area north-east of Addis Ababa by the Argobba people
agk	agk	Isarog Agta		12	Latn	PH		Critically endangered	False					isar1235	Q6078982	
agl	agl	Fembe		350	Latn	PG		Definitely endangered	False					femb1238	Q372927	A threatened language of Papua New Guinea
agm	agm	Angaataha		2100	Latn	PG		Not endangered	False					anga1290	Q3508001	
agn	agn	Agutaynen		15000	Latn	PH		Not endangered	False					agut1237	Q3399717	Austronesian language
ago	ago	Tainae		1000	Latn	PG		Not endangered	False					tain1253	Q7676186	
agq	agq	Aghem	Aghem	39000	Latn	CM		Not endangered	False					aghe1239	Q34737	
agr	agr	Aguaruna		38000	Latn	PE		Vulnerable	False					agua1253	Q1526530	
ags	ags	Esimbi		35000	Latn	CM, NG		Not endangered	False					esim1238	Q35260	language of Cameroon
agt	agt	Central Cagayan Agta		780	Latn	PH		Definitely endangered	False					cent2084	Q5017296	
agu	agu	Aguacateco		9600	Latn	GT		Vulnerable	False					agua1252	Q35091	
agv	agv	Remontado Dumagat		2500	Latn	PH		Severely endangered	False					remo1247	Q3508085	
agw	agw	Kahua		5200	Latn	SB		Not endangered	False					kahu1241	Q3191906	
agx	agx	Aghul		29000	Cyrl	RU		Definitely endangered	False					aghu1253	Q36498	Lezgic language spoken by the Aghuls in southern Dagestan (Russia) and in Azerbaijan
agy	agy	Southern Alta		1000	Latn	PH		Definitely endangered	False					sout2905	Q7569611	
agz	agz	Mt. Iriga Agta			Latn	PH		Vulnerable	False					mtir1235	Q6921432	
aha	aha	Ahanta		140000	Latn	GH		Not endangered	False					ahan1243	Q34729	Niger-Congo language of Ghana
ahb	ahb	Axamb		750	Latn	VU		Definitely endangered	False					axam1237	Q2874710	
ahg	ahg	Qimant			Latn	ER, ET		Definitely endangered	False					qima1242	Q35663	
ahh	ahh	Aghu		14000	Latn	ID		Vulnerable	False					aghu1255	Q3436645	language in Papua
ahi	ahi	Tiagbamrin Aizi		9000	Latn	CI		Not endangered	False					tiag1235	Q3400073	
ahk	ahk	Akha	Akha	600000	Latn	MM		Not endangered	False					akha1245	Q56643	language of the Akha people
ahl	ahl	Igo			Latn	GH, TG		Definitely endangered	False					igoo1238	Q35412	
ahm	ahm	Mobumrin Aizi		2000	Latn	CI		Vulnerable	False					mobu1235	Q35967	Kru language spoken in Ivory Coast
ahn	ahn	Àhàn		300	Latn	NG		Definitely endangered	False					ahan1244	Q34723	
aho	aho	Ahom			Ahom	IN		Extinct	False					ahom1240	Q34778	language of the Ahom people
ahp	ahp	Aproumu Aizi		6500	Latn	CI		Vulnerable	False					apro1235	Q34810	language spoken by the Aizi people of Ébrié Lagoon in Ivory Coast
ahr	ahr	Ahirani		1900000	Deva	IN		Not endangered	False					ahir1243	Q15549890	Indo European language
ahs	ahs	Ashe		150000	Latn	NG		Not endangered	False					ashe1269	Q34823	Nigerian Plateau dialect spoken in Nigeria
aht	aht	Ahtena		15	Latn	US		Critically endangered	False					ahte1237	Q21058	Indigenous language of North America
aia	aia	Arosi		6800	Latn	SB		Not endangered	False					aros1241	Q2863483	
aib	aib	Ainu			Arab, Latn	CN		Definitely endangered	False					ainu1251	Q27927	Turkic cryptolect spoken in Western China
aic	aic	Ainbai		100	Latn	PG		Definitely endangered	False					ainb1238	Q3332149	
aid	aid	Alngith			Latn	AU		Extinct	False					alng1239	Q3279409	Extinct Australian Aboriginal language
aie	aie	Amara		230	Latn	PG		Definitely endangered	False					amar1272	Q2841180	Austronesian language spoken in Papua New Guinea
aif	aif	Agi		960	Latn	PG		Definitely endangered	False					agii1245	Q3331491	
aig	aig	Antigua And Barbuda Creole English		150000	Latn	AG		Not endangered	False					anti1245	Q3244184	
aih	aih	Ai-Cham			Hani, Latn	CN		Vulnerable	False					aich1238	Q2827749	
aii	aii	Assyrian Neo-Aramaic	ܣܘܪܝܬ	830000	Syrc, Syrn	145, IQ, SY		Vulnerable	False	syr				assy1241	Q29440	Neo-Aramaic dialect
aij	aij	Lishanid Noshan		3500	Hebr	IL		Severely endangered	False					lish1245	Q3436467	
aik	aik	Ake		3000	Latn	NG		Vulnerable	False					akee1238	Q34808	
ail	ail	Aimele		140	Latn	PG		Definitely endangered	False					aime1238	Q3327418	
aim	aim	Aimol			Beng, Latn	IN, NP		Definitely endangered	False					aimo1244	Q4697175	
ain	ain	Ainu		10	Kana, Latn	JP		Critically endangered	False					ainu1240	Q20968488	language spoken in Hokkaido, Japan
aio	aio	Aiton		1500	Mymr	IN		Definitely endangered	False					aito1238	Q3399725	
aip	aip	Burumakok		40	Latn	ID		Severely endangered	False					buru1307	Q5000984	
aiq	aiq	Aimaq	ایماقی	650000	Arab	AF		Not endangered	False					aima1241	Q27898	dialect of the Persian language spoken west of the Hazarajat in central northwest Afghanistan, eastern Iran, and Tajikistan
air	air	Airoran		1000	Latn	ID		Vulnerable	False					airo1242	Q3321131	language in West Papua
ait	ait	Arikem			Latn	BR		Extinct	False					arik1264	Q3446679	
aiw	aiw	Aari		240000	Ethi, Latn	ET		Not endangered	False					aari1239	Q7495	Omotic language spoken in Ethiopia
aix	aix	Aighon		2000	Latn	PG		Not endangered	False					aigh1235	Q3504287	
aiy	aiy	Ali			Latn	CD, CF		Not endangered	False					alii1240	Q34814	
aja	aja	Aja		200	Latn	SD		Definitely endangered	False					ajas1235	Q3237491	critically endangered Central Sudanic language
ajg	ajg	Aja	Adja	550000	Latn	BJ		Not endangered	False					ajab1235	Q35035	
aji	aji	Ajië		5400	Latn	NC		Not endangered	False					ajie1238	Q2828867	
ajn	ajn	Andajin			Latn	AU		Critically endangered	False					anda1282	Q16111302	
ajp	ajp	South Levantine Arabic						Not endangered	False	ar				sout3123	Q55633582	subdivision of Levantine Arabic
aju	aju	Judeo-Moroccan Arabic		66000	Hebr	MA		Not endangered	False	jrb				jude1265	Q56595	Judeo-Arabic variety of Morocco
ajw	ajw	Ajawa			Latn	NG		Extinct	False					ajaw1236	Q56645	Afro-Asiatic language
ajz	ajz	Amri Karbi		120000	Beng, Latn	IN		Not endangered	False					amri1238	Q3508092	spoken by the Karbi people of Assam and Meghalaya, India
ak	aka	Twi	Twi	11000000	Latn	GH	Regional official [GH]	Not endangered	True		fat, tw			akan1250	Q28026	language of Akan lands in Ghana
akb	akb	Batak Angkola	Angkola	750000	Batk, Latn	ID		Vulnerable	False					bata1290	Q2640686	Batak language spoken by the Angkola ethnic group
akc	akc	Mpur		5000	Latn	ID		Definitely endangered	False					mpur1239	Q3327139	
akd	akd	Ukpet-Ehom		11000	Latn	NG		Not endangered	False					ukpe1249	Q36618	
ake	ake	Akawaio		10000	Latn	GY		Vulnerable	False					akaw1239	Q28059	Cariban language spoken mainly in Guyana, most commonly in the region of the Upper Mazaruni
akf	akf	Akpa			Latn	NG		Not endangered	False					akpa1238	Q34801	language of Nigeria
akg	akg	Anakalangu			Latn	ID		Vulnerable	False					anak1240	Q4750964	
akh	akh	Angal Heneng		80000	Latn	PG		Not endangered	False					anga1292	Q10950354	
aki	aki	Aiome		1800	Latn	PG		Definitely endangered	False					aiom1240	Q56735	
akj	akj	Aka-Jeru			Deva, Latn	IN		Extinct	False					akaj1239	Q2919121	
akl	akl	Aklanon	Akeanon	460000	Latn	PH		Not endangered	False					akla1241	Q8773	language spoken in the province of Aklan on the island of Panay in the Philippines
akm	akm	Aka-Bo			Latn	IN		Extinct	False					akab1248	Q35361	
ako	ako	Akurio			Latn	SR		Extinct	False					akur1238	Q56650	Cariban language of Suriname
akp	akp	Siwu		27000	Latn	GH		Not endangered	False					siwu1238	Q36470	
akq	akq	Ak		10	Latn	PG		Severely endangered	False					akkk1240	Q56654	
akr	akr	Araki		8	Latn	VU		Critically endangered	False					arak1252	Q2699882	
aks	aks	Akaselem		390000	Latn	TG		Not endangered	False					akas1242	Q34817	language of Togo
akt	akt	Akolet		2000	Latn	PG		Not endangered	False					akol1237	Q3330162	
aku	aku	Akum			Latn	CM, NG		Definitely endangered	False					akum1238	Q34799	language of Cameroon
akv	akv	Akhvakh			Cyrl	RU		Definitely endangered	False					akhv1239	Q56423	
akw	akw	Akwa		24000	Latn	CG		Vulnerable	False					akwa1248	Q34802	
akx	akx	Aka-Kede			Latn	IN		Extinct	False					akak1252	Q3436816	
aky	aky	Aka-Kol			Latn	IN		Extinct	False					akak1253	Q3436784	
akz	akz	Alabama		250	Latn	US		Definitely endangered	False					alab1237	Q1815020	language spoken by the Alabama-Coushatta tribe
ala	ala	Alago	Idoma Noku	350000	Latn	NG		Vulnerable	False					alag1242	Q34813	Idomoid language of Nigeria
alc	alc	Qawasqar			Latn	CL		Critically endangered	False					qawa1238	Q56544	
ald	ald	Alladian		23000	Latn	CI		Not endangered	False					alla1248	Q34837	
ale	ale	Aleut			Latn	RU, US		Definitely endangered	False					aleu1260	Q27210	language of the Eskimo–Aleut language family
alf	alf	Alege		16000	Latn	NG		Not endangered	False					aleg1238	Q34815	language of Nigeria
alh	alh	Alawa		5	Latn	AU		Critically endangered	False					alaw1244	Q2147917	Australian Aboriginal language
ali	ali	Amaimon		1800	Latn	PG		Not endangered	False					amai1246	Q3327427	
alj	alj	Alangan		2200	Latn	PH		Vulnerable	False					alan1249	Q3327423	
alk	alk	Alak		4000	Latn	LA		Not endangered	False					alak1253	Q2714690	
all	all	Allar		350	Mlym	IN		Definitely endangered	False					alla1247	Q3393634	
alm	alm	Amblong			Latn	VU		Definitely endangered	False					ambl1237	Q11022615	
aln	aln	Gheg Albanian		4100000	Latn	RS		Not endangered	False	sq				gheg1238	Q181037	one of the two major varieties of Albanian
alo	alo	Larike-Wakasihu		13000	Latn	ID		Vulnerable	False					lari1255	Q3217929	
alp	alp	Alune		17000	Latn	ID		Vulnerable	False					alun1238	Q3327367	language in Maluku, Indonesia
alq	alq	Algonquin		3300	Latn	CA		Vulnerable	False					algo1255	Q28092	distinct Algonquian language closely related to the Ojibwe language or a particularly divergent Ojibwe dialect
alr	alr	Alutor		25	Cyrl, Latn	RU		Severely endangered	False					alut1245	Q28213	language of Russia that belongs to the Chukotkan branch of the Chukotko-Kamchatkan languages
als	als	Tosk Albanian	Schwyzertüütsch	1800000	Latn	AL		Not endangered	False	sq				tosk1239	Q180937	southern group of dialects of the Albanian language
alt	alt	Southern Altai	Алтай тил	20000	Cyrl	RU		Definitely endangered	False					sout2694	Q1991779	Kipchak Turkic language of the Altai Republic, Russia
alu	alu	'Are'Are		18000	Latn	SB		Not endangered	False					area1240	Q5160	language spoken by the 'Are'are people, who live mainly on the Solomon Islands
alw	alw	Alaba-K’Abeena		280000	Ethi	ET		Not endangered	False					alab1254	Q56652	
alx	alx	Amol			Latn	PG		Definitely endangered	False					amol1235	Q3504260	language of Papua New Guinea
aly	aly	Alyawarr		4500	Latn	AU		Vulnerable	False					alya1239	Q3327389	
alz	alz	Alur	Lur	1700000	Latn	CD		Not endangered	False					alur1250	Q56507	
am	amh	Amharic	አማርኛ	36000000	Ethi, Latn	ET	Official [ET]	Not endangered	False					amha1245	Q28244	Semitic language of Ethiopia
ama	ama	Amanayé			Latn	BR		Extinct	False					aman1266	Q3508053	
amb	amb	Ambo		1000	Latn	NG		Vulnerable	False					ambo1249	Q3450142	Tivoid language of Nigeria
amc	amc	Amahuaca		310	Latn	PE		Severely endangered	False					amah1246	Q2669150	
ame	ame	Yanesha'		10000	Latn	PE		Definitely endangered	False					yane1238	Q3088540	
amf	amf	Hamer-Banna		74000	Latn	ET		Vulnerable	False					hame1242	Q35764	
amg	amg	Amurdak			Latn	AU		Critically endangered	False					amar1271	Q3360016	
ami	ami	Amis	Pangcah	140000	Latn	TW		Vulnerable	False					amis1246	Q35132	language of the Amis
amj	amj	Amdang		41000	Latn	TD		Definitely endangered	False					amda1238	Q28335	language closely related to Fur spoken in Chad
amk	amk	Ambai		10000	Latn	ID		Vulnerable	False					amba1265	Q1875885	Austronesian language
aml	aml	War-Jaintia			Latn	BD, IN		Not endangered	False					warj1242	Q56321	language spoken in Bangladesh and eastern India
amm	amm	Ama		480	Latn	PG		Vulnerable	False					amap1240	Q3446626	
amn	amn	Amanab		4400	Latn	PG		Definitely endangered	False					aman1265	Q3327399	
amo	amo	Amo		19000	Latn	NG		Not endangered	False					amoo1242	Q34826	
amp	amp	Alamblak		1500	Latn	PG		Definitely endangered	False					alam1246	Q56688	
amq	amq	Amahai		50	Latn	ID		Critically endangered	False					amah1245	Q3327384	language in Maluku
amr	amr	Amarakaeri		500	Latn	PE		Definitely endangered	False					amar1274	Q35128	
ams	ams	Southern Amami-Oshima		1800	Jpan	JP		Definitely endangered	False					sout2954	Q2840986	Ryukyuan language spoken in Japan
amt	amt	Amto			Latn	PG		Definitely endangered	False					amto1250	Q56517	language of Papua New Guinea
amu	amu	Guerrero Amuzgo		31000	Latn	MX		Vulnerable	False					guer1243	Q3501942	
amv	amv	Ambelau		5700	Latn	ID		Not endangered	False					ambe1248	Q2669214	
amw	amw	Western Neo-Aramaic		24000	Syre	SY		Definitely endangered	False					west2763	Q34226	
amx	amx	Anmatyerre		4500	Latn	AU		Definitely endangered	False					anma1239	Q10412317	
amy	amy	Ami		35	Latn	AU		Critically endangered	False					amii1238	Q12626835	
amz	amz	Atampaya			Latn	AU		Extinct	False					atam1239	Q3446651	extinct Uradhic language variety, formerly spoken in Cape York, Queensland
an	arg	Aragonese	Aragonés	26000	Latn	ES		Definitely endangered	False					arag1245	Q8765	Romance language
ana	ana	Andaqui			Latn	CO		Extinct	False					anda1286	Q2846078	
anb	anb	Andoa			Latn	PE		Extinct	False					ando1255	Q2846171	
anc	anc	Ngas		400000	Latn	NG		Not endangered	False					ngas1240	Q35999	West Chadic language of Nigeria
and	and	Ansus		4600	Latn	ID		Vulnerable	False					ansu1237	Q3513300	
ane	ane	Xârâcùù		5700	Latn	NC		Not endangered	False					xara1244	Q3571097	
anf	anf	Animere		30	Latn	GH		Severely endangered	False					anim1239	Q34783	
anh	anh	Nend		2000	Latn	PG		Not endangered	False					nend1239	Q6991554	
ani	ani	Andi			Cyrl	RU		Vulnerable	False					andi1255	Q34849	
anj	anj	Anor			Latn	PG		Definitely endangered	False					anor1241	Q56458	
ank	ank	Goemai		130000	Latn	NG		Vulnerable	False					goem1240	Q35272	Afro-Asiatic language of Nigeria
