abandoned	siyiwa
bear	tiyisela
beast	xivandzana
beat	mabelo
beautiful	sasekile
beauty	saseka
became	hundzukile
be careful	vana na vukheta
because	hikuva
become	kuva
bed	mubedo
bedroom	kamara ro etlela
beef	nyama ya homu
been	vile
bee	nyoxi
beer	byalwa
before	ku nga si
began	sungurile
beginning	masungulo
begin	sungula
behalf	hiku yimela
behave	matikhomelo
behavior	mahanyelo
behaviour	hanyelo
behind	endzhaku
being	kuva
belief	ntshembho
believe	tshembha
belly	khwiri
belong	waka
beloved	murhandziwa
below	ehansi
belt	bandi
bench	benci
bend	khotsa
beneath	ehansi
benefit	mbuyelo
benefits	mimbuyelo
beside	handleka
besides	handleka
best	antswa
best of luck	nkateko lowunene
best regards	sala kahle
better	antswa
between	exikarhi
be	va na
beverage	swipyopyi
beyond	ku tlula
Bhojpuri	Bhojpuri
biased	voyamela tlhelo rin'we
bias	voyamela
bicycle	xikanyakanya
bid	lela
big	lexikulu
bike	xithuthuthu
bill	koxa
bind	boha
bird	xinyenyana
birthday	siku ro velekiwa
bite	luma
bit	switsongo
bitter	hlundzuka
black	ntima
blade	banga
blame	sola
blanket	nkumba
blank	hava
blast	bulusa
bleach	ticinca muhlovo
blend	hlanganisa
blessed	kateka
bless	kateka
blind	bofu
bliss	ntsako lowukulu
block	siva
blood	ngati
bloom	baleka ka xiluva
blow	vhuthela
blue	wasi
blunt	vhinyeka
board	huvo
boat	xikwekwetsu
body	miri
boil	vila
bold	titshembha
bond	xiboho
bone	rhambu
book	buku
boost	antswisa
booster	antswisa
boot	butsu
boots	tibutsu
border	ndzilekano
bore	borheka
bored	borheka
boring	nyangatseka
born	velekiwa
borrow	lomba
boss	boso
bother	karhata
both	swimbirhi
bottle	bodlhela
bottom	tshaku
bought	xavile
bounce	bampa
boundaries	mindzelakano
bound	bohiwa
bow	korhama
bowl	xibye
box	bokisi
boyfriend	muhlekisani wa xinuna
boy	mufana
bracelet	bendlele
brain	byongo
branch	rhavi
brand	muxaka
brave	xivindzi
breach	ku tlula nawu
bread	xinkwa
breakfast	mfihlulo
break	tshova
breast	xifuva
breathe	hefemula
breath	hefemula
breed	tswala
brick	xitina
bride	mutekiwa
bridge	buloho
brief	nkomiso
bright	vangama
brilliant	vutlharhi
bring	tisa
broad	anama
broadcast	vuhaxi
bro	buti
broken	tshovekile
broke	tshoveka
broom	nkukulo
brother	buti
brother in law	sivara
brought	tisile
brown	buraweni
brush	burhachi
bucket	baketi
buddy	munghana
budget	mpimanyeto
bug	xifufunhunu
build	aka
building	muako
built	akile
bulk	swo tala
bull	nkunzi
bully	xanisa
bump	tlumba
bunch	nyandza
bundle	nyandza
burden	ndzwalo
buried	lahliwile
burn	tshwa
burst	buluka
bury	lahla
bus	bazi
bush	nhova
business	bindzu
bust	kumiwa
busy	gingirika
but	kambe
butter	botere
butterfly	phaphatana
button	konopa
buy	xava
bye	sala kahle
by	hi
by the way	kambe
cabbage	khavechi
cabinet	khabinete
cage	hoko
cake	khekhe
calf	xirhodyana
called	vitaniwa
call me	ndzi vitani
call	vitana
calm	verhama
came	tile
campaign	pfhumba
Cancel	Khansela
cancer	mfukuzana
can	nga
can't	a ndzi nge
capable	vuswikoti
capacity	vuswikoti
capital	mali
caption	nhlamuselo
capture	khoma
career	ntirhovutomi
carefully	vukheta
careful	vukheta
careless	futa
caring	hlayisa
car	movha
carpenter	khapentara
carpet	tapita
carrot	kheroti
carry on	kuya emahlweni
carry out	ku endla
carry	rhwala
case	mhaka
cash	khexe
cast	katsa
castle	muako lowukulu
casual	hungusa
catch	khoma
category	xiyenge
cattle	homu
cat	ximanga
caught	khomile
cause	xivangelo
caution	lemukisa
cautious	vukheta
cave	bako
cease	fika emakumu
ceiling	silingi
celebrate	tlangela
cell	sele
center	xikarhi
century	khume ra malembe
cereal	koroni
ceremony	nkhuvo
certainly	hakunene
certain	tiyisisa
certificate	xitifikheti
chain	nketana
chair	xitulu
challenge	ntlhontlho
chance	nkateko
change	cinca
chaos	nkitsinkitsi
characteristics	swihlawulekisi
character	xihlawulekisi
charge	hlongorisa
charity	tintswalo
charming	naveta
chart	chati
chase	hlongorisa
chat	bula
cheap	xaveka
cheating	xenga
cheat	kanganyisa
check	cheka
cheek	rihlaya
cheerful	tsakeke
cheers	navelela
cheer	tlangela
cheese	chizi
chemistry	khemistri
cherish	tsakela
chess	ntlangu wa chess
chest	xifuva
chew	cakunha
chicken	huku
chief	hosi
childhood	vuhlangi
child	n'wana
children	vana
chill	titimela
chimneys	tichimele
chin	rihlaya
chocolate	chokoleti
choice	hlawula
choose	hlawula
chop	tsemelela
chores	mitirho yale kaya
chubby	nyuhela
church	kereke
cinnamon	sinamono
circle	xirhandzavutana
circumstances	swiyimo
citizen	muakatiko
city	doroba
claim	xikoxo
clarify	hlamusela
class	tlilasi
clay	vumba
clean	basile
clear	rivaleni
clerk	matsalana
clever	tlhariha
client	muxavi
cliff	riwa
climate	maxelo
climb	khandziya
clingy	khomelela
clock	tliloko
close	pfala
closet	wadiropo
clothes	swiambalo
cloth	lapi
cloud	papa
cloudy	kuna mapapa
clown	n'wamafenya
clue	xikombiso
clumsy	tlimbana
cluster	ntlawa
coach	muleteri
coal	malahla
coast	ribuwa
coat	khancu
coffee	kofi
cognitive	maehleketelo
coincidence	kotlana
cold	titimela
collapse	ku wa
collar	kholara
colleague	mutirhi kulorhi
colleagues	vatirhikulorhi
collection	hlengeleta
collect	landza
college	kholichi
colorless green ideas slept furiously	miehleketo ya kahle leyi nga pfuneki nchumi
color	muhlovo
colour	muhlovo
column	kholomo
combination	hlangana
combine	hlanganisa
comb	xikamu
come here	tana haleni
come on	tana
come	tana
comfortable	ntshamiseko
comfort	chavelela
coming	kuta
coming soon	swa ta sweswi
command	lerisa
comment	vonelo
commercial	swa bindzu
commission	khomixini
commitment	tiyimisela
committed	tiyimisela
commit	tiyimisela
commodity	xixavisiwa
common	fana
communicate	burisana
communication	mbhurisano
community	muganga
commute	teka rendzo
companion	ntangha
company	khamphani
compare	fananisa
comparison	fananisa
compassionate	ntwela vusiwana
compassion	ntwela vusiwana
compatible	tirhiseka
compete	hetisa
competent	ringanela
competition	mphikizano
competitive	mphikizano
complaint	muvileri
complain	xivilelo
complement	bumabumela
complete	hetisa
completely	hetiseka
complex	bohana
compliance	landzelela
complicated	hlangahlangana
compliment	tlangela
comply	landzelela
composition	xitsalwana
compound	komponi
comprehension	xitsalwana
comprehensive	xitwalana
compromise	ntwela vusiwana
compulsory	boha
computer	khomphyuta
concentrate	landzelerisa
concept	xianakanyiwa
concerned	vilela
concern	xivilelo
concert	khonsati
conclusion	mahetelelo
concrete	xotiya
conditions	swiyimo
condition	xiyimo
conduct	matikhomelo
conference	nhlengeletano
confess	boxa
confidence	titshembha
confident	titshembha
confirm	tiyisisa
conflict	nkwetlembetano
confused	pfilunganyeka
confusion	kanganyisa
congrats	hoyohoyo
congratulation	hoyohoyo
congratulations	hoyohoyo
conjunction	rihlanganisi
connect	hlanganisa
conquer	hlula
consciousness	matitwelo
conscious	ripfalo
consent	mpfumelo
consequences	switandzhaku
conservation	mbango
conservative	tshamela swa xintu
considered	tekeriweke enhlokweni
consider	tekela enhlokweni
consistency	cincangi
consistent	cinceki
consist	vumbiwa
constantly	hi minkarhi
constant	nkarhi na nkarhi
constipation	pfimbelwa
construction	vumaki
consume	ku tirhisa
consumption	ku dya
contact	hlanganisa
contagious	tlulela
contain	khontheni
contains	swina
contemporary	nkarhi wun'we
contempt	tekeli enhlokweni
content	vundzeni
contest	kaneta
context	vundzeni
continent	tikonkulu
continue	yisa emahlweni
contract	kontiraka
contrast	tsotsovana
contribute	nghenisa
contribution	nghenisa xandla
control	lawula
controversial	twisiseki
convenience	oloveriwa
convenient	koteka
conversation	mbhurisano
convert	hundzuka
convey	hundzisa
convinced	khorwisiwa
convince	khorwisa
cooking	sweka
cook	sweka
cool	lulamile
cooperation	ntirhisano
cope	tiyisela
copper	koporo
core	xivindzi
corner	khona
corn	ndzoho
correct	lulamisa
cost	hakelo
costume	xiambalo
cottage	khoteji
cotton	rigurhu
couch	sofa
cough	khohlola
could	swinga
council	khansele
counter	khawuntara
count	hlayela
countryside	tikoxikaya
country	tiko
couple	vumbirhi
courage	vunhenha
course	xivangelo
courtesy	malwandla
court	khoto
cousin	khazi
cover	phutsela
coward	toya
cow	homu
cozy	tshamiseka
crab	nkokotso
crack	pandzeka
craft	vutshila
crap	thyaka
crash	tlumba
craving	navela
crawl	kasa
crazy	hlanya
create	vumba
creative	vutshuri
credit	xikweleti
creep	kokova
creepy	chuhisa
crew	ntlawa
crime	vugevenga
cringe	finyeka
crisis	nkitsikitsi
criteria	endlelo
critical	nkoka
criticism	sola
crops	swimilana
crop	ximila
cross	tsemakanya
crowded	ntlimbano
crowd	ntshungu
crown	xidlodlo
crow	vukuvuku
crucial	nkoka
cruel	tihanyi
cruise	khuluka
crush	tlumba
cry	rila
cucumber	rhakarhaka
cuddle	vukarha
culture	mfuwo
cunning	ntlharhi
cupboard	khadibodo
cup	khapu
curb	sivela
cure	horisa
curfew	nawu wo lerisa
curiosity	lava ku tiva
curious	ntsakelo
curly	sohana
currency	mali ya tiko
currently	sweswi
current	sweswi
curse	ndzhukano
curtain	khetheni
cushion	xikhigelo
customer	khasimende
custom	ntolovelo
customs	mindzuvo
cute	saseka
cut	tsema
cycle	ndzendzeleko
cycling	chayela xikanyakanya
daddy	tatana
dad	tatana
daily	siku na siku
dairy	ntswamba
damage	onhaka
dam	damu
damn	ixi
damp	tsakama
dance	cina
danger	nghozi
dangerous	nghozi
dark	xinyama
darling	murhandziwa
dash	baleka
data	datara
date	siku
daughter	nhwana
day	siku
dead	file
deadline	makumu
deaf	mafandleve
deal	ntirhisano
Dear All	Eka Hinkwerhu
Dear Customer	Eka Khasimende
dear	eka
Dear Parents	Eka Vatswari
Dear Sir	Eka Nkulukumba
Dear students	Eka machudeni
Dear Team	Eka Xipanu
death	rifu
debate	njekanjekisano
debit	xikweleti
debris	mathyaka
debt	xikweleti
decade	khume ra malembe
decay	bola
deceased	lovile
deceive	hemba
december	n'wendzamhala
decent	vunene
decided	bohiwile
decide	teka xiboho
decision	xiboho
deck	lwangu
decline	arile
decrease	hunguta
dedicated	tiyimisela
dedication	tiyimisela
deed	xiendlo
deep	enta
deer	mhala
default	ku tlula
defeat	hluriwa
defend	sirhelela
define	hlamusela
definitely	hakunene
definition	nhlamuselo
degree	xiyimo
delayed	hlwerile
delay	hlwela
delete	sula
deliberate	tiyimisela
delicate	nantswo
delicious	nandzika
delighted	tsaka
delight	tsaka
delivered	yisiwile
deliver	phakela
delivery	dilivhara
demanding	ku koxa
demand	xikoxo
democracy	demokrasi
demon	mademoni
demonstrate	kombisa
denied	alerile
density	rendzo
dentist	dokodela wa meno
deny	ala
department	ndzawulo
departure	ku suka
depend	kuya hi
deploy	rhumela
deposit	dipoziti
depressed	ntshikelelo wa miehleketo
depression	ntshikelelo
depth	vuenti
describe	hlamusela
description	nhlamuselo
desert	mananga
deserve	faneleke
designation	ntirho
design	vukhavisi
desire	navela
desk	desika
despair	lahlekeriwa
desperate	hiseka
despite	hambi
dessert	dizete
destination	ndhawu ya rendzo
destiny	rendzo
destroy	hlasela
destruction	onha
details	vuxokoxoko
detail	vuxokoxoko
detect	kumisisa
determination	tiyimisela
determined	tiyimisela
determine	tiyimesela
devastated	tika
developed	tumbuluxile
development	nhluvuko
develop	tumbuluxa
device	xitirhisiwa
devil	nala
devoted	tinyiketela
Dhivehi	Dhivehi
diabetes	vuvabyi bya chukele
diarrhea	nchuluko
diary	dayari
dictionary	dikixinari
did	endlile
died	file
die	lova
diet	madyelo
difference	hambana
different	hambana
difficult	ku tika
dig	cela
dignity	xindzhuti
diligent	ntwela vusiwana
dinner	lalela
dip	thotha
direction	tlhelo
direct	kongoma
director	mulawuri
dirt	thyaka
dirty	thyakile
disabled	lamarile
disable	vulamari
disappear	nyamalala
disappointed	khomisa tingana
disaster	khombo
discard	cukumeta
discharge	tshunxiwa
discipline	tshinya
discount	mbhukuto
discover	ku kuma
discrimination	xihlawuhlawu
discussion	nkanerisano
discuss	kanela
diseases	mavabyi
disease	vuvabyi
disguise	vuxisi
disgusting	nyenyetsa
dishes	swibye
dish	ndyelo
dismiss	bakanya
dispatch	rhumela
display	kombisa
disposal	lahla
dispute	nkwetlembetano
distance	mpfhuka
distinct	hambana
distinguish	hlawuleka
distress	maxangwini
distribution	hangalasa
district	xifundza
disturb	kavanyeta
ditch	riwa
dive	nyiza
diverse	hambana
diversity	hambana
divide	avanyisa
divine	nghenelela
divorce	thalana
dizzy	sululwana
doctor	dokodela
document	tsalwa
do	endla
does	endla
doesn't	a yi
dog	mbyana
Dogri	Dogri
doing	endla
doll	xipopana
domain	domeyini
domestic	xikaya
dominant	tikisa voko
donate	nyikela
done	endlile
donkey	mbhongolo
don't	endli
Don't worry	U nga vileli
dope	mbangi
double	kambirhi
doubt	kanakana
dough	dowu
down	ehansi
download	downloda
do you love me	xana wa ndzi rhandza
do you	xana u
draft	mpfapfarhuto
drag	koka
drain	humesa
drama	xihungwana
draw	dirohwa
drawer	dirowara
drawing	dirohwa
dread	langutela
dream	norho
dress	ambala
drill	boxa
drink	nwana
drive	chayela
dropped	wisile
drop	wisa
drought	dyandza
drunk	pyopyiwile
dry	oma
duck	vhika
dude	mfo
due	hikwalaho
due to	hikwalaho ka
dull	mpfumaleko wo nyanyula
dumb	xiphunta
dump	lahla
duration	nkarhi
during	hi nkarhi
dust	ritshuri
duty	ntirho
dwell	nghenelela
dying	ku fa
each	ha xin'we
each other	ha xin'we
eager	hiseka
eagle	gama
earlier	hi nkarhi
early	hi nkarhi
ear	ndleve
earn	vuyeriwa
ears	tindleve
earth	misava
earthquake	ningingika ka misava
ease	antswisa
easily	olovile
east	vuxeni
easy	olova
eat	dyana
eating	ku dya
economic	swa ikhonomi
economy	ikhonomi
edge	mahetelelweni
edit	hlela
education	dyondzo
effective	tirhiseka
effect	tshikelela
efficiency	tirheka
efficient	tirheka
effort	matshalatshala
eggplant	ximila xa 'eggplant'
egg	tandza
ego	manyunyu
eighteen	khumenhungu
eight	nhungu
eighty	makumenhungu
either	kumbe
elaborate	hlamusela hi vuenti
elbow	xikokola
elderly	mudyuhari
elder	ntswatsi
elegant	njhingha
element	nchumu
elephant	ndlopfu
eleven	khumen'we
eligible	ringanela
eliminate	herisa
else	xin'wana
embarrassed	nyumisiwa
embarrassing	nyumisa
embrace	vukarha
emerge	humelela
emergency	xihatla
emotional	matitwelo
empathy	ntwela vusiwana
emphasis	tiyisisa
emphasize	tiyisisa
employee	mutirhi
employees	vatirhi
employer	muthori
employment	ntirho
empty	halata
enable	koteka
encounter	hlangana
encourage	khutaza
endangered	nghozini
endeavor	ringetela
end	makumu
endurance	tiyisela
endure	xaniseka
enemy	nala
energy	eneji
engaged	nghenelela
engagement	tihlanganisa
engage	nghenelela
engineer	muinjhinere
engine	injhini
English	Xinghezi
enhance	antswisa
enjoy	tiphini
enormous	lexikulu
enough	enerile
ensure	vona kuri
enter	nghena
entertainment	vunyanyuri
enthusiasm	nyanyuka
enthusiastic	ntsako
entire	hinkwaswo
entitled	faneriwa
entity	xiyenge
entrance	nyangwa
entrepreneur	n'wamabindzu
envelope	mvhilopho
environment	mbango
envy	navela
epic	nhlonhlorhi
epidemic	hangalaka hi xihatla
equal	ndzingano
equipment	xitirho
equity	ndzingano
equivalent	ringana
eraser	sula
error	xihoxo
escape	nyenga
especially	ngopfu-ngopfu
essay	xitsalwana
essence	nkoka
essential	nkoka
established	vumbiweke
establish	tumbuluxa
estate	rifa
estimated	ringanyeta
estimate	pimanyeta
etc	sw.sw
eternal	hilaha ku nga heriki
ethics	matikhomelo
evaluate	hlela
evaluation	hlela
evening	madyambu
even	ringana
even though	hambiloko
event	nkhuvo
eventually	eku heteleleni
ever	nga heriki
everybody	mani na mani
everyone	mani na mani
everything	hinkwaswo
every	xihi na xihi
evidence	vumbhoni
evil	vubihi
evolution	ndzundzuluko
evolve	ndzundzuluko
Ewe	Ewe
exact	kwatsa
exactly	kwatsa
examine	kambela
example	xikombiso
exam	xikambelo
exceed	hundza
excellent	kahle
except	handle ka
exception	hlawuleka
excessive	tlula mpimo
excess	ntalo
exchange	cincanisi
excited	nyanyuka
excitement	nyanyuka
exciting	tsakisa
exclusive	hlawula
excuse me	ndzi khomeli
excuse	tlhenguka
execute	endla ntirho
execution	endla ntirho
executive	xiyimo xa le henhla
exercise	tiolola
exhausted	karhala
exhaust	karhala
exhibition	nkombiso
exhibit	kombisa
existence	ku hanya
existing	hanyaka
exist	kona
exit	huma
ex	khale
expand	ndlandlamuxa
expected	langutela
expect	langutela
expenses	madurhelo
expensive	durha
experience	hlangana
experiment	ringeta
expert	xitivi
expired	hundzele hi nkarhi
explain	hlamusela
explanation	nhlamuselo
exploit	tirhisa hi xitalo
explore	valanga
export	rhumela
exposed	tluleriwa
expose	tlangandla
exposure	paluxa
expression	tihlamusela
express	tihlamusela
extended	engeteleke
extend	engetela
extension	engetela
extent	ku fikelela
external	swale handle
extinct	nyamalala
extract	tsavula
extra	engetela
extraordinary	swo hlamarisa
extremely	nyanya
extreme	xo tika
eyes	mahlo
eye	tihlo
fabric	lapi
fabulous	kahle
face	xikandza
facilitate	kondletela
facilities	switirhisiwa
facility	xitirhisiwa
fact	ntiyiso
factor	nghenisa
factory	feme
facts	timhaka
fade	bawuluka
failed	hluleka
fail	hluleka
failure	hluleka
faint	titivala
fairly	voyameki
fair	ringanana
fairy	xihungwana
faithful	tshembheka
faith	ripfumelo
fake	vunwa
fall	ku wa
false	vunwa
fame	ndhuma
familiar	toloveleka
family	ndyangu
famine	dyandza
famous	ndhuma
fancy	manyunyu
fantastic	kahle
fan	xiphyuphyisi
farewell	lelana
far	kule
farmer	murimi
farm	purasi
fascinating	hlamarisaka
fashion	fexeni
fast	xihatla
fatal	nghozi
fate	xiboho
father	tatana
fatigue	karhala swinene
fat	mafurha
fault	xihoxo
favorite	xirhandzwa
favourite	xirhandzwa
favour	tsakela
fear	nchavo
feast	swakudya
feather	risiva
features	swihlawulekiso
feature	xiphemu
february	nyenyenyana
fed up	nyangatseka
feedback	mbuyelo
feed	dyisa
feeling	matitwelo
feel	matitwelo
fee	ntsengo
feet	milenge
fellow	kulorhi
fell	wile
felt	twile
female	xisati
fence	darata
fertile	ndzhongo
festival	nkhuvo
fetch	ku landza
fever	dari
fewer	switsongo
few	switsongo
fiance	murhandzani
fiction	xihungwana
field	masimu
fierce	vuharhi
fifteen	khumentlhanu
fifty	makumentlhanu
fighting	ku lwa
fight	ku lwa
figure out	kumisisa
figure	xivumbeko
file	fayili
filled	tele
fill	tata
film	filimi
filthy	thyakile
finally	heteleleni
finance	timali
financial	timali
find	kuma
find out	kumisisa
fine	lulamile
finger	ritiho
finished	hetile
finish	hetisa
fire	ndzilo
firm	tiya
first name	vito rosungula
first	sungula
fish	hlampfi
fit	ringanela
five	ntlhanu
fixed	lulamile
fix	lunghisa
flag	mujeko
flash	rihati
flat	pavalala
flawless	hava xihoxo
flaw	xiphiqo
flee	baleka
flesh	nyama
flew	hahile
flexible	olovela
flex	olova
flight	xihahampfhula
flip	hundzuluxa
flirting	tsakela
flirt	tsakela
float	phaphamala
flood	ndhambhi
floor	hansi
flour	fulawuri
flower	xiluva
flow	khuluka
fluent	khuluka
fluently	hlantsweka
fluffy	mavoya
fluid	xihalaki
flu	mukhuhlwana
fly	haha
focus	kongoma
foggy	hunguva
fog	hunguva
fold	petsa
folks	vanghana
following	landzelaka
follow	landzela
follow up	landzelerisa
food	swakudya
foolish	xiphunta
fool	xiphunta
football	ntlangu wa bolo
foot	nenge
forbidden	yirisiwile
force	nsusumeto
forecast	vhumba
forehead	mombo
foreign	hlampfa
forest	nhova
forever	hilaha ku nga heriki
For example	Xikombiso
forget	rivala
forgive	rivalela
forgot	rivarile
for instance	xikombiso
fork	foroko
formal	ximfumo
former	khale
form	xivumbeko
for	swa
fortunately	nkateko
fortune	rifumo
forty	makumemune
forty-two	makumemune-mune
forward	emahlweni
for you	swa wena
foster	sindzisa
fought	lwile
foundation	masungulo
found	kumile
four	mune
fourteen	khumemune
fox	hlolwa
fragile	tshoveka
frame	fureme
framework	rimba
fraud	vuxisi
freak	chuha
freedom	ntshuxeko
free	tshunxeka
freeze	gwitsirisa
frequency	xihondzo
frequently	nkarhi na nkarhi
frequent	nkarhi na nkarhi
fresh	tenga
friday	Ravuntlhanu
fridge	xigwitsirisi
friendly	vumunhu
friend	munghana
friendship	vunghana
friends	vanghana
frightened	chuha
frightening	chavisa
frog	chela
from	ku suka
front	mahlweni
frozen	gwitsirile
fruit	mihandzu
frustrated	hlundzuka
fuel	mafurha
Fulfulde	Fulfulde
full	tele
function	ntirho
fundamental	swa nkoka
funeral	nkosi
funny	hlekisa
fun	tsakisa
furious	hlundzuka
furniture	vhanichara
further	kule
furthermore	yisa emahlweni
fur	voya
future	vumundzuku
gain	vuyeriwa
game	ntlangu
gap	vangwa
garage	garaji
garbage	thyaka
garden	xirhapa
garlic	galiki
gate	rihlampfu
gather	hlengeletana
gathering	hlengeleta
gauge	pima
gave	nyikile
gear	ghere
gender	rimbewu
general	angarhela
generally	angarhela
generate	ku vumba
generation	rixaka
generous	tintswalo
genius	ntlharhi
genre	muxaka wa vuyimbeleri
gentle	olova
genuine	ntiyiso
gesture	xeweta
get dressed	ambala
get	kuma
getting	ku kuma
get up	sukuyima
get well soon	hola eka mavabyi hi xihatli
ghosting	ku puka
ghost	xipuku
giant	xihontlovila
gift	nyiko
ginger	nghembhezi
girlfriend	muhlekisani wa xisati
girl	nhwana
given	nyikiwile
give	nyika
give up	lan'wa
glad	tsakile
glance	cingela
glasses	tinghilazi
glass	nghilazi
glimpse	hlometela
global	misava ya matiko
gloomy	xinyama
gloves	swimandlamandla
glow up	vangama
glow	vangama
glue	dlulu
go ahead	yana emahlweni
goals	swikongomelo
goal	xikongomelo
goat	mbuti
