قليل	a little
وكمان	as well as
رماد	ash
خجلان	ashamed
بيسأل	ask
سأل	asked
نايم	asleep
جانب	aspect
مظهر	aspect
اللغة الآسامية	Assamese
يتعدى	assault
جمعية	assembly
مجلس	assembly
جازم	assertive
بيقيّم	assess
تقييم	assessment
أصول	asset
أصول	assets
تعيين	assign
تكليف	assignment
مهمة	assignment
بيساعد	assist
مساعد	assistant
رفيق	associate
شريك	associate
مرتبط ب	associated
منظمة	association
بيظن	assume
بيخمن	assume
افتراض	assumption
عَ	at
في	at
على الأقل	at least
أكل	ate
لاعب رياضي	athlete
يربط	attach
يرفق	attach
مُرفق	attached
مرفق	attachment
هجوم	attack
محاولة	attempt
يحاول	attempt
التحق	attend
حضر	attend
الحضور	attendance
انتباه	attention
اهتمام	attention
تصرّف	attitude
سلوك	attitude
جذب	attract
جاذبية	attraction
مجذّب	attractive
جذاب	attractive
صفة	attribute
خصلة	attribute
الجمهور	audience
آب	august
عمة	aunt
عمتي	aunty
أصلي	authentic
أصيل	authentic
أديب	author
كاتب	author
مؤلف	author
سلطة	authority
الخريف	autumn
مُتَوَفِّر	available
مَوجُود	available
وسط	average
يداري	avoid
يتحاشى	avoid
يتجنب	avoid
فايق	awake
جائزة	award
واعي	aware
بيفهم	aware
وعي	awareness
ادراك	awareness
بعيد	away
بيجنن	awesome
رائع	awesome
شنيع	awful
فظيع	awful
أجدب	awkward
محرج	awkward
اللغة الأيمرية	Aymara
طفل	baby
شهادة جامعية	bachelor
ورا	back
ظهر	back
وراء	back
ضهر	back
خلفية	background
سيّئ	bad
ما بيسوى	bad
ما منيح	bad
عاطل	bad
جزدان	bag
كيس	bag
طُعم	bait
يخبز	bake
مخبز	bakery
بيكربونات الصودا	baking soda
رصيد حساب	balance
توازن	balance
طابة	ball
اللغة البمبرية	Bambara
موز	banana
فرقة	band
فرقعة	bang
مصرف	bank
بنك	bank
حاجز	bar
بار	bar
يا دوب	barely
مساومة	bargain
نبيح	bark
شعير	barley
حاجز	barrier
أساس	base
مرتكز على	based
قبو	basement
أساسي	basic
بشكل أساسي	basically
حبق	basil
واطي	bastard
ندل	bastard
دفعة	batch
عجنة	batch
حمّام	bath
الحمّام	bathroom
بطارية	battery
معركة	battle
خليج	bay
يكون	be
بيكُون	be
دير بالك	be careful
شط	beach
شعاع	beam
فول	beans
فاصولية	beans
اتحمّل	bear
يحتمل	bear
كابر عنفسو	bear
دب	bear
دقن	beard
تحمُّل	bearing
وحش	beast
بيغلب	beat
يغلب	beat
رائِعْ	beautiful
رَوعَة	beautiful
جَميل جِدًّا	beautiful
حِسن	beauty
جمال	beauty
صار	became
لِأنَُو	because
لأنَّ	because
صار	become
يصبح	become
تخت	bed
سرير	bed
غرفة نوم	bedroom
نحلة	bee
لحمة	beef
كان	been
بيرة	beer
قبل	before
بلّش	began
بلّش	begin
بداية	beginning
بالنيابة عن	behalf
تصرّف	behave
سلوك	behavior
تصرف	behavior
تصرف	behaviour
ورا	behind
خلف	behind
كونو	being
كون	being
يقين	belief
اعتقاد	belief
يؤمن	believe
بيظن	believe
بيآمن	believe
بيعتقد	believe
بطن	belly
بيخص	belong
بيعود ل	belong
محبوب	beloved
أسفل	below
تحت	below
حزام	belt
كمار	belt
مقعد	bench
يلوي	bend
أسفل	beneath
تحت	beneath
مصلحة	benefit
فوائد	benefits
بالإضافة إلى	beside
بجانب	beside
جنب	beside
بالإضافة إلى	besides
بجانب	besides
جنب	besides
أحسن شي	best
أفضل شي	best
موفق	best of luck
أطيب التحيات	best regards
أفضل	better
أحسن	better
بين	between
مشروب	beverage
ورا	beyond
وراء	beyond
اللغة البهوجبورية	Bhojpuri
تحيّز	bias
متحيّز	biased
بسكليت	bicycle
مناقصة	bid
عطا	bid
كبير	big
بسكليت	bike
فاتورة	bill
ربط	bind
عصفور	bird
عيد ميلاد	birthday
قليل	bit
شقفة	bit
عضة	bite
قضمة	bite
مرار	bitter
مر	bitter
أسود	black
شفرة	blade
عتب	blame
لوم	blame
فاضي	blank
بطانية	blanket
تفجير	blast
مبيض	bleach
يخلط	blend
بَرَكة	bless
مبروك	blessed
مبارك	blessed
أعمى	blind
ما بيشوف	blind
هنا	bliss
نعيم	bliss
حظر	block
حجز	block
دم	blood
يزهر	bloom
بينفخ	blow
أزرق	blue
فج	blunt
كلمتو عراس لسانو	blunt
لوحة	board
لوح	board
فلوكا	boat
قارب	boat
الجسم	body
يغلي	boil
جريء	bold
شهم	bold
فرقة	bond
رابطة	bond
عضم	bone
كتاب	book
يحجز	book
يدعم	boost
داعم	booster
جزمة	boot
جزامي	boots
حدود	border
تجويف	bore
ثقب	bore
ضجران	bored
مالل	bored
ممل	boring
بيضجّر	boring
مُضجر	boring
خِلق	born
وِلد	born
بيستعير	borrow
يستعير	borrow
رئيس بالشغل	boss
كلاهما	both
اتنيناتون	both
بيزعج	bother
بيلبّك	bother
قنينة	bottle
أسفل	bottom
اشترى	bought
وثب	bounce
نط	bounce
بيتعلق ب	bound
مرتبط ب	bound
حدود	boundaries
قوس	bow
صحن غميق	bowl
صندوق	box
ولد	boy
صبي	boy
حبيب	boyfriend
اسوارة	bracelet
مخ	brain
دماغ	brain
فرع	branch
ماركة	brand
شجاع	brave
قلبو قوي	brave
خرق	breach
مخالفة	breach
خبّز	bread
استراحة	break
يكسر	break
فطور	breakfast
صدر	breast
تنفس	breath
نَفَس	breathe
نسل	breed
ذرية	breed
قرميدة	brick
عروس	bride
جسر	bridge
اختصار	brief
ملمّع	bright
مضوي	bright
عبقري	brilliant
ساحر	brilliant
جاب	bring
أحضر	bring
أخ	bro
واسع	broad
إذاعة	broadcast
كسّر	broke
خرّب	broke
خربان	broken
مكسور	broken
مكنسة	broom
شقيق	brother
أخ	brother
ابن الاحما	brother in law
جاب	brought
أحضر	brought
بني	brown
فرشاية	brush
دلو	bucket
سطل	bucket
رفيق	buddy
صاحب	buddy
ميزانية	budget
بقة	bug
ناموسة	bug
يبني	build
بناية	building
بنى	built
ضخم	bulk
حجم كبير	bulk
تور	bull
متنمر	bully
صدم	bump
باقة	bunch
باقة	bundle
تقّل على	burden
حمل	burden
مدفون	buried
حرق	burn
ينفجر	burst
دفن	bury
باص	bus
حرشاية	bush
أعمال	business
شغل	business
تجارة	business
فشل	bust
افلاس	bust
مشغول	busy
ما عم افضى حك راسي	busy
لَكِنْ	but
بَسّ	but
زبدة	butter
سمنة	butter
فراشة	butterfly
زر	button
اشترى	buy
عم يشتري	buy
من خلال	by
بواسطة	by
بالمناسبة	by the way
صحيح	by the way
اي	by the way
وداعًا	bye
مع السلامة	bye
ملفوف	cabbage
المرحاض	cabinet
قفص	cage
كاتّو	cake
عجل	calf
مكالمة	call
بينادي	call
اتصل فيّي	call me
اسمو	called
هادي	calm
متّزن	calm
إجا	came
حملة	campaign
فيني	can
قادِر	can
أقدِر	can
ما بتقدر	can't
إلغاء	Cancel
سرطان	cancer
متمكن	capable
قادر	capable
قدّرة	capacity
استطاعة	capacity
استيعاب	capacity
عاصمة	capital
شرح	caption
عنوان فرعي	caption
بيئسر	capture
سيارة	car
مسيرة عمل	career
شغل	career
دير بالك	careful
انتبه	careful
علَى مهلك	carefully
شوي شوي	carefully
مو مهتم	careless
ترباية	caring
حنية	caring
النجار	carpenter
سجادة	carpet
جزرة	carrot
بيحمل	carry
استمر	carry on
تابع	carry on
تنفيذ	carry out
حالة	case
قضية	case
نقدي	cash
كاش	cash
رمى	cast
صب	cast
قلعة	castle
يومي	casual
عادي	casual
بيسة	cat
قطة	cat
كمش	catch
مسك	catch
فئة	category
دوابّ	cattle
مواشي	cattle
أمسك	caught
لحّق	caught
مسك	caught
سبب	cause
حيطة	caution
حذَر	caution
حِذر	cautious
كهف	cave
بطّل	cease
سقف	ceiling
يحتفل	celebrate
خلية	cell
مركز	center
قرن	century
حبوب	cereal
احتفال	ceremony
أكيد	certain
متأكد	certain
أكيد	certainly
تماماً	certainly
شهادة	certificate
غّلق	chain
سلسلة	chain
كرسي	chair
تحدّي	challenge
فرصة	chance
تغيير	change
تشويش	chaos
فوضى	chaos
حرف	character
شخصية	character
صفات	characteristics
كلفة	charge
مؤسسة خيرية	charity
صَدَقة	charity
بياخد العقل	charming
ساحر	charming
جدول	chart
يلاحق	chase
دردشة	chat
رخيص	cheap
عم بيغش	cheat
غش	cheating
راجع	check
تفقّد	check
خدّ	cheek
هتف	cheer
فرحان	cheerful
مبسوط	cheerful
هتاف	cheers
كاسك	cheers
جبنة	cheese
كيميا	chemistry
دلّل	cherish
شطرنج	chess
صدر	chest
لاك	chew
جبان	chicken
جاج	chicken
مدير	chief
ولد	child
طفل	child
مرحلة الطفولة	childhood
طفال	children
ولاد	children
برد	chill
عم يرجف من البرد	chill
مَداخِن	chimneys
دقن	chin
شوكولاتة	chocolate
خيار	choice
اختار	choose
اختَر	choose
يقطع شرائح	chop
شغل البيت	chores
شي روتيني	chores
مليان	chubby
سمين	chubby
كنيسة	church
قرفة	cinnamon
دائرة	circle
ظروف	circumstances
مواطن	citizen
مدينة	city
عم يطالب	claim
يطلب	claim
يوضح	clarify
صف	class
فخّار	clay
عم يبرق	clean
نضيف	clean
فاضي	clear
واضح	clear
موظف	clerk
حربوق	clever
ذكي	clever
عميل	client
جرف	cliff
منحدر	cliff
مناخ	climate
يعربش	climb
لزج	clingy
بيدبّق	clingy
ساعة حيط	clock
بيسكّر	close
خزانة	closet
قماش	cloth
تياب	clothes
ثياب	clothes
غيمة	cloud
مغيّم	cloudy
أركوز	clown
بهلوان	clown
فكرة	clue
مرتبك	clumsy
عنقود	cluster
مجموعة	cluster
مدرّب	coach
فحم	coal
الساحل	coast
جاكيت	coat
قهوة	coffee
ادراكي	cognitive
معرفيّ	cognitive
صدفة	coincidence
برد	cold
رشح	cold
عم ينهار	collapse
طوق	collar
زميل	colleague
زملا	colleagues
يجمع	collect
تشكيلة	collection
مجموعة	collection
كلية	college
لون	color
يمكن للأفكار الساذجة اللي ما وصلت لسى لرؤيا كاملة انها تخلّي العقل شغّال دايما حتى لو حاول يستريح	colorless green ideas slept furiously
لون	colour
عمود	column
مشط	comb
مزيج	combination
يجمع	combine
تعال	come
تعا	come
تعا لهون	come here
شو هالحكي	come on
خلّص بقا	come on
راحة	comfort
مريح	comfortable
جايّي	coming
عن قريب	coming soon
يئمر	command
تعليق	comment
تجاري	commercial
عمولة, سمسرة	commission
يرتكب	commit
تعهّد	commitment
إلتزام	commitment
ملتزم	committed
سلعة	commodity
معروف	common
شائع	common
يتواصل	communicate
تواصل	communication
المجتمع	community
كفّر عن ذنب	commute
عوّض	commute
رفيق	companion
شركة	company
صحاب	company
رفقات	company
بيقارن	compare
مقارنة	comparison
عطف	compassion
حنون	compassionate
متناسق	compatible
متناسب	compatible
بينافس	compete
كفؤ	competent
تنافس	competition
تناحر	competition
تنافسي	competitive
يشتكي	complain
شكوى	complaint
مديح	complement
بيكمل	complete
بيخلّص	complete
بشكل كامل	completely
كلّو	completely
معقد	complex
طاعة	compliance
معقّد	complicated
مجاملة	compliment
يطيع	comply
تعبير	composition
تأليف	composition
مجمّع	compound
فهم	comprehension
شامل	comprehensive
تسوية	compromise
مساومة	compromise
إلزامي	compulsory
كمبيوتر	computer
ركّز	concentrate
مفهوم	concept
اهتمام	concern
مهتم	concerned
حفلة موسيقية	concert
نهاية	conclusion
خاتمة	conclusion
اسمنت	concrete
حالة	condition
ظرف	condition
مكيف هواء	condition
شروط	conditions
سلوك	conduct
تصرف	conduct
مؤتمر	conference
اعترف	confess
ثقة	confidence
واثق من نفسه	confident
متأكد	confident
واثق بنفسو	confident
تأكيد	confirm
خناقة	conflict
مشوّش	confused
ارتباك	confusion
مبروك	congrats
تهانينا	congrats
مبروك	congratulation
مبروك	congratulations
مبارك	congratulations
تهانينا	congratulations
اِقتِران	conjunction
اتصل	connect
تواصل	connect
يغزي	conquer
واعي	conscious
الوعي	consciousness
موافقة	consent
قبول	consent
العواقب	consequences
تبعات	consequences
المحاظة على	conservation
متزمّت	conservative
محافظ	conservative
شوف الموضوع	consider
فكّر	consider
اعتبر	consider
يعتبر	considered
ما تشغل بالك	considered
بتتألف من	consist
تناسق	consistency
ملاءم	consistent
ثابت	consistent
ثابت	constant
دائماً	constantly
بشكل مستمر	constantly
إمساك	constipation
بناء	construction
بناية	construction
يستهلك	consume
ياخد	consume
استهلاك	consumption
اتصال	contact
بيعدي	contagious
فيه	contain
بيتضمن	contains
عصري	contemporary
تقليل قيمة	contempt
احتقار	contempt
محتوى	content
مضمون	content
منافسة	contest
ضمن السياق	context
قارة	continent
استمر	continue
تابع	continue
عقد	contract
تضارب	contrast
بيساهم	contribute
مساعدة	contribution
مساهمة	contribution
سيطرة	control
مثير للجدل	controversial
مناسب	convenience
وقت مناسب	convenience
مناسب	convenient
حديث	conversation
كلام	conversation
تبدَّل	convert
تحوَّل	convert
يوصَِل	convey
يقنع	convince
مقتنع	convinced
يطبخ	cook
طبخ	cooking
هادِئ	cool
رايق	cool
هَادِي	cool
تعاون	cooperation
دبر حالو	cope
تعاون	cope
نحاس	copper
جوهر	core
معدن	core
درة	corn
زاوية	corner
صحيح	correct
مظبوط	correct
كلفة	cost
زي	costume
كوخ	cottage
قطن	cotton
مدرب	couch
يقحّ	cough
يسعل	cough
قدر	could
يمكن	could
مجلس	council
عدّ	count
عدّاد	counter
بلد	country
دولة	country
الريف	countryside
زوجين	couple
شجاعة	courage
جرأة	courage
دورة	course
منهاج	course
محكمة	court
لطافة	courtesy
ابن العم	cousin
ابن الخال	cousin
نسيب	cousin
من الأقرباء	cousin
غطا	cover
بقرة	cow
جبان	coward
مريح	cozy
دافي	cozy
سلطعون	crab
طقطق	crack
شق	crack
صنعة	craft
حكي فاضي	crap
انكسر	crash
خرب	crash
حنين	craving
شوق كبير	craving
زحف	crawl
مخبول	crazy
مجنون	crazy
يعمل	create
مبدع	creative
خلّاق	creative
تسليف	credit
حيوان زاحف	creep
شي عم يزحف	creepy
طاقم	crew
جريمة	crime
انكمش	cringe
أزمة	crisis
معيار	criteria
محك	criteria
أهم شي	critical
نقد	criticism
غلّة	crop
غلة	crops
محاصيل	crops
تقاطع	cross
قطع	cross
صليب	cross
غراب	crow
يعجق	crowd
عجقة	crowded
تاج	crown
حاسم	crucial
مصيري	crucial
فج	cruel
قاسي	cruel
رحلة بحرية	cruise
فتت	crush
معجب	crush
يصرّخ	cry
يبكي	cry
خيار	cucumber
يحضن	cuddle
حضارة	culture
تهذيب	culture
ثقافة	culture
ماكر	cunning
شيطان	cunning
كوب	cup
كباية	cup
خزانة صغيرة	cupboard
حفة الرصيف	curb
علاج	cure
دوا	cure
حظر التجول	curfew
فضول	curiosity
فضولي	curious
مجعّد	curly
عملة	currency
الحالي	current
هلق	currently
بهالوقت	currently
حالياً	currently
لعنة	curse
برداية	curtain
مخدة	cushion
جمارك	custom
عادات	custom
تقاليد	custom
زبون	customer
جمارك	customs
يقطع	cut
يقص	cut
لطيف	cute
ظريف	cute
دورة	cycle
دائرة	cycle
ركوب البسكليتات	cycling
أب	dad
بابي	daddy
يومياً	daily
ألبان وأجبان	dairy
سد	dam
ضرر	damage
أذى	damage
الله يلعن	damn
رطب	damp
رقص	dance
خطر	danger
خطير	dangerous
خطِر	dangerous
عتمة	dark
محبوبي	darling
اندفاع	dash
بيانات	data
تاريخ	date
موعد	date
بنت	daughter
يوم	day
ميت	dead
موعد التسليم	deadline
أطرش	deaf
صفقة	deal
اتفقنا	deal
عزيزي	dear
أعزائي	Dear All
عزيزي العَمِيل	Dear Customer
عزيزي الزبون	Dear Customer
الأباء الأعزاء	Dear Parents
سيدي العزيز	Dear Sir
طلابي الأعزاء	Dear students
فريقي العزيز	Dear Team
موت	death
مناظرة	debate
دَين	debit
أنقاض	debris
دَين	debt
عِقد	decade
عفن	decay
المرحوم	deceased
يخدع	deceive
كانون الأول	december
لايق	decent
محتشم	decent
قرر	decide
قرر	decided
قرار	decision
ضهر السفينة	deck
ينسحب	decline
عم ينقص	decrease
مخلص	dedicated
وفي	dedicated
إخلاص	dedication
الفعل	deed
غميق	deep
غزال	deer
افتراضي	default
غلب	defeat
يدافع عن	defend
بيعرّف	define
أكيد	definitely
بالتأكيد	definitely
تعريف	definition
درجة	degree
تأخير	delay
اتأخر	delayed
يمحي	delete
تشاور	deliberate
حسّاس	delicate
لذيذ	delicious
طيب	delicious
فرحة	delight
فرحان	delighted
سلّم	deliver
تم التوصيل	delivered
توصيل	delivery
تسليم	delivery
طلب	demand
متطلّب	demanding
ديمقراطية	democracy
شيطان	demon
يوضّح	demonstrate
رفض	denied
سماكة	density
كثافة	density
دكتور سنان	dentist
ينكر	deny
قسم	department
دائرة	department
راح	departure
بيعتمد على	depend
نشر	deploy
إيداع	deposit
زعلان	depressed
اكتئاب	depression
عمق	depth
بيوصف	describe
وصف	description
صحرا	desert
بيستاهل	deserve
بيستحق	deserve
تصميم	design
تعيين	designation
رغبة	desire
مقعد	desk
مكتب	desk
يأس	despair
مستقتل	desperate
يئسان	desperate
بالرغم من	despite
حلويات	dessert
دوسير	dessert
غاية	destination
وجهة	destination
قدر	destiny
نصيب	destiny
كسّر	destroy
خرّب	destroy
هدّ	destroy
الدمار	destruction
التفاصيل	detail
تفاصيل	details
يكشف	detect
تصميم	determination
عزيمة	determination
بيحدد	determine
بيعيّن	determine
يعيّن	determine
محدد	determined
خرّب	devastated
بيتطور	develop
بيتقدم	develop
تطوَّر	developed
تقدم	development
تطور	development
جهاز	device
شيطان	devil
مكرّس	devoted
اللغة الديفهية	Dhivehi
السكري	diabetes
إسهال	diarrhea
مفكّرة	diary
قاموس	dictionary
عمل	did
يموت	die
مات	died
دايت	diet
ريجيم	diet
اختلاف	difference
مختلف	different
صعب	difficult
حفر	dig
كرامة	dignity
شاطر	diligent
مجتهد	diligent
عشا	dinner
غمس	dip
مباشرةً	direct
اتجاه	direction
مُخرج	director
غبرا	dirt
وسخ	dirt
وسخ	dirty
وخم	dirty
قذر	dirty
إبطال	disable
معطّل	disabled
اختفى	disappear
خيبة أمل	disappointed
مصيبة	disaster
ينبذ	discard
يتبرا من	discard
تسريح	discharge
تأديب	discipline
تخفيض	discount
يكتشف	discover
تمييز بالمعاملة	discrimination
عم يناقش	discuss
مناقشة	discussion
داء	disease
الأمراض	diseases
تنكّر	disguise
مقزّز	disgusting
بيقرّف	disgusting
صحن	dish
صحون	dishes
رفض	dismiss
فضّوا بقا	dismiss
ارسال	dispatch
يعرض	display
تصرّف	disposal
تدبير	disposal
مجادلة	dispute
خلاف	dispute
خناقة	dispute
مسافة	distance
بُعد	distance
متميز	distinct
يميّز	distinguish
محنة	distress
توزيع	distribution
منطقة	district
حي	district
يزعج	disturb
يدايق	disturb
يتخلص من	ditch
الصرف الصحي	ditch
يغوص	dive
منوّع	diverse
تنوّع	diversity
يقسّم	divide
ربّاني	divine
طلاق	divorce
دايخ	dizzy
إفعَل	do
إِعمَل	do
عمُول	do
هل انت	do you
ما بتحبني	do you love me
دكتور	doctor
مستند	document
وثيقة	document
يفعل	does
لا	doesn't
كلب	dog
اللغة الدوغرية	Dogri
يعمل	doing
لعبة	doll
مجال	domain
اختصاص	domain
محلي	domestic
بلدي	domestic
مسيطر	dominant
لا	don't
لا تخاف	Don't worry
ولا يهمك	Don't worry
يتبرع	donate
خلّص	done
انتهى	done
حمار	donkey
منشط	dope
مخدّر	dope
مزدوج	double
شك	doubt
عجين	dough
تحت	down
تحميل	download
مسودة	draft
جرّ	drag
بالوعة	drain
دراما	drama
يسحب	draw
يرسم	draw
درج	drawer
رسم	drawing
سحب	drawing
رهبة	dread
حلم	dream
فستان	dress
مثقب	drill
شراب	drink
شرب	drink
قاد	drive
ساق	drive
بيوقّع	drop
قطرة	drop
وقّع	dropped
نشفان	drought
سكران	drunk
ناشف	dry
بطة	duck
رفيقي	dude
صديقي	dude
بسبب	due
لأنو	due
صار وقتو	due
بسبب	due to
لأنو	due to
بيضجّر	dull
بيملل	dull
مهبول	dumb
مخبول	dumb
أجدب	dumb
أجدب	dump
أهبل	dump
مدة	duration
أثناء	during
وقت ما	during
غبرا	dust
واجب	duty
مهمة	duty
يسكن	dwell
عم يموت	dying
سكّرات الموت	dying
كلّ	each
بعضا البعض	each other
مشتاق	eager
متحمس	eager
نسر	eagle
ادن	ear
قبل هلق	earlier
قبل هيك	earlier
بكير	early
وقت مبكر	early
يكسب	earn
أدنين	ears
الأرض	earth
هزة أرضية	earthquake
زلزال	earthquake
بيسهّل	ease
بسهولة	easily
الشرق	east
سهل	easy
يأكل	eat
ياكل	eat
عم ياكل	eating
اقتصادي	economic
اقتصاد	economy
حرف	edge
حفة	edge
يعدّل	edit
تعليم	education
ثقافة	education
تأثير	effect
الو تأثير كبير	effective
كفاءة	efficiency
كفؤ	efficient
فعّال	efficient
جهد	effort
بيضة	egg
بيتنجان	eggplant
الأنا	ego
أنانية	ego
تمانية	eight
تمنتعش	eighteen
تمانين	eighty
لا أحد	either
ولا واحد	either
يشرح	elaborate
كوع	elbow
كبار العمر	elder
كبير بالعمر	elderly
حلو	elegant
أنيق	elegant
عنصر	element
فيل	elephant
احدعش	eleven
صالح	eligible
مناسب	eligible
بعّدو عن	eliminate
كمان	else
تاني	else
بيخجل	embarrassed
محرج	embarrassed
محرج	embarrassing
عم يعانق	embrace
يظهر	emerge
الطوارئ	emergency
عاطفي	emotional
تعاطف	empathy
تأكيد	emphasis
بيأكد	emphasize
موظف	employee
موظفين	employees
صاحب الشغل	employer
المعلم	employer
توظيف	employment
فاضي	empty
ما في شي	empty
تمكين	enable
مواجهة	encounter
بيشجع	encourage
يشجّع	encourage
يحمّس	encourage
نهاية	end
مهدد بالخطر	endangered
سعي	endeavor
طاقة عالاحتمال	endurance
يعاني	endure
العدو	enemy
طاقة	energy
قدرة	energy
يخطب	engage
مخطوبة	engaged
خاطب	engaged
خطبة	engagement
محرك	engine
موتور	engine
مهندس	engineer
انكليزي	English
بيدعم	enhance
بيقوي	enhance
افرح	enjoy
انبسط	enjoy
كبير كتير	enormous
ضخم	enormous
بيكّفِّي	enough
يَكْفِي	enough
أكّد	ensure
فات	enter
تسلاية	entertainment
حماس	enthusiasm
متحمس	enthusiastic
كلّو	entire
عنوانو	entitled
كيان	entity
مدخل	entrance
مقاول	entrepreneur
متعهد	entrepreneur
ظرف	envelope
مظروف	envelope
البيئة	environment
حسّد	envy
ملحمي	epic
وباء	epidemic
بيساوي	equal
تجهيزات	equipment
عدّة	equipment
عدل	equity
بيساوي	equivalent
بيقابلو	equivalent
محاية	eraser
غلط	error
يهرب	escape
خصوصاً	especially
خصوصي	especially
مقالة	essay
جوهر	essence
ضروري	essential
أساسي	essential
يأسس	establish
أسّس	established
ملكية	estate
بيتوقّع	estimate
