a little	кӀеззиг
booster	чӀагӀдийриг
boot	батенк
boots	батенкаш
border	доза
bore	сагато
bored	сахьийза
boring	сингаттаме
born	дуьнентӀе далар
born	динарг
borrow	юхалург деха
boss	куьйгалхо
boss	босс
both	ший а
bother	сагатдан
bother	садаа
bottle	шиша
bottom	бух
bought	эцна
bounce	хьалакхоссадала
bound	дихкина
boundaries	дозанаш
bow	хох
bowl	бога
box	бот
box	гӀутакх
boy	кӀант
boyfriend	кӀант
bracelet	хӀоз
brain	хье
branch	га
brand	тайпа
brand	марка
brave	майра
breach	талхор
bread	бепиг
bread	кхаллар
break	юкъахдалар
break	садаӀар
breakfast	марта
breast	накха
breath	садеӀар
breathe	садеӀа
breed	дита
brick	кибарчиг
bride	нускал
bridge	тӀай
brief	доца
bright	къегина
brilliant	къега
bring	схьадан
bring	схьакхачо
bro	ваша
broad	шуьйра
broadcast	телегайтам
broke	кагдан
broken	доьхнарг
broken	эшнарг
broom	нуй
brother	ваша
brother in law	марваша
brought	дало
brown	боьмаша
brown	мокха
brown	бора
brush	щетка
bucket	ведар
buddy	доттагӀ
budget	бюджет
bug	чхьаьвриг
build	дан
build	хӀотто
building	гӀишло
built	йоьттина
built	йина
bulk	доккха дакъа
bull	сту
bully	харцхьаниг
bump	чукхета
bunch	жӀуга
bundle	пакет
burden	мохь
buried	дӀадоьллина
burn	дагор
burst	эккхар
bury	лаьттах долла
bus	автобус
bush	кхолл
business	гӀулллакх
business	бизнес
bust	бюст
bust	накха
busy	мукъа цахилар
but	амма
butter	налха
butterfly	полла
button	нуьйда
button	ноьда
buy	эца
by	юххе
by	уллехь
by	гергахь
by the way	цу юккъе аьлча
by the way	цу юккъехула
bye	Ӏодика йойла
cabbage	копаста
cabinet	чоь
cage	клетка
cake	торт
calf	эса
call	зӀе тохар
call	кхайкхар
call me	телефон тоха соьга
called	цӀе йолу
called	олуш долу
calm	тийна
came	схьавеана
campaign	кампани
can	дан дала
can	мага
can't	йиш яц
Cancel	дӀакъовла
Cancel	дӀадакха
cancer	рак
capable	каде
capable	хьуьнаре
capacity	барам
capital	коьрта гӀала
capital	столица
caption	куьг яздар
capture	дӀалацар
car	машен
career	карьера
careful	ларлург
careful	стешха
careful	экам
carefully	леррина
carefully	тидаме
carefully	экам
careless	гӀайгӀайоцу
caring	гӀайгӀа йолу
carpenter	дечиган пхьар
carpet	кӀийса
carrot	жӀонка
carry	дахьа
carry on	дӀадаха
carry out	кхочушдар
case	гӀуллакх
cash	карара
cash	каралург
cast	кхийса
castle	гӀала
casual	xӀopа дийнан
cat	цициг
catch	лаца
category	категори
category	тайпа
cattle	даьхни
caught	схьалаьцнарг
cause	бахьана
caution	ларлуш хилар
cautious	ларлург
cave	хьех
cease	сацор
ceiling	тхов
celebrate	даздар
cell	ячейка
cell	могӀа
center	центр
century	бӀешо
cereal	буьртиган
ceremony	Ӏедал
certain	билггал
certainly	хӀета
certainly	дера
certificate	сертификат
chain	юкъарло
chain	зӀе
chair	гӀант
challenge	кхайкхар
chance	бакъо
chance	некъ
chance	шанс
change	хийца
chaos	бохам
character	амал
characteristics	характеристикаш
characteristics	мах хадор
charge	дуза
charity	накъосталла
charity	гӀоьналла
charming	безаме
charming	тайна
charming	товш
chart	диаграмма
chase	тӀаьхьавала
chat	бага етта
cheap	дораха
cheat	Ӏехо
cheating	Ӏехор
Chechen	Нохчийн
check	зен
check	талла
cheek	бесни
cheer	дог иракарахӀотто
cheerful	самукъане
cheers	оваци
cheese	нехча
chemistry	хими
cherish	качдан
chess	шахматаш
chest	накха
chew	Ӏийша
chicken	котам
chief	коьртаниг
child	бер
childhood	жималла
children	бераш
chill	шело
chimneys	туьнкалгаш
chin	чӀениг
chocolate	шоколад
choice	харжам
choose	харжа
chop	атар
chores	цӀера
chores	чуьра гӀуллакхаш
chubby	горга юьхь ериг
church	килс
cinnamon	корица
circle	горга
circumstances	хьелаш
citizen	гражданин
city	шахьар
city	гӀала
claim	дегабаам
claim	вас
clarify	билгалдаккхар
class	класс
clay	латта
clean	цӀена
clear	кхеташ
clerk	белхахо
clever	хьекъале
client	клиент
cliff	тарх
climate	климат
climb	лакхавалар
climb	тӀевалар
clingy	тӀелеташ
clock	сахьт
close	дӀакъовла
close	дӀачӀагӀа
closet	шкаф
cloth	кӀади
clothes	духар
clothes	бедар
cloud	марха
cloudy	мархаш йолу
clown	жухарг
clue	догӀа
clumsy	партал
cluster	ӀаӀадалар
coach	тренер
coal	кӀора
coast	йист
coat	палто
coffee	кофе
cognitive	хаа пайде
coincidence	цхьаьна дар
cold	шийла
collapse	коллапс
collapse	дожар
collapse	тохар
collar	качкач
colleague	коллега
colleague	белхан накъост
colleagues	коллегаш
colleagues	белхан накъостий
collect	вовшахтоха
collect	лехьо
collection	коллекци
college	колледж
color	бос
colorless green ideas slept furiously	бос боцу къоначу ойлаша луьра наб еш хила
colour	бос
column	биргӀа
column	колонка
comb	ехк
combination	цхьаьнадалор
combine	цхьаьнатохар
come	дан
come	хила
come here	схьавола кхуза
come on	сихо е
comfort	комфорт
comfortable	аьтто болу
comfortable	бӀегӀийла йолу
coming	схьакхачар
coming soon	кеста хир ву
command	команда
command	тоба
comment	комментари
commercial	йохк-эцаран
commercial	коммерчески
commission	комисси
commit	дан
commitment	тӀелацам
committed	гӀо лоцу
commodity	сурсат
common	юкъара
communicate	къамел дан
communication	дазар
community	юкъарло
commute	тӀедакха
companion	накъост
company	тоба
company	компани
compare	дустар
comparison	дустар
compassion	къинхетам
compassionate	доглозург
compatible	цхьаьна догӀу
compete	къовсам латтор
compete	конкуренци лело
competent	хууш волу
competition	къовсам
competition	йохьалла
competitive	конкурентан
complain	чӀеӀа
complain	арздан
complain	латкъа
complaint	латкъам
complement	тӀетохар
complete	дуьззина
completely	дуьззина
complex	хала
compliance	догӀуш хилар
complicated	хала
compliment	комплимент
comply	лелор
composition	композици
compound	вовшахтохар
comprehension	кхетам
comprehensive	массо агӀор
compromise	маслаӀат
compromise	барт карор
compromise	компромисс
compulsory	декхарийлахь дерг
compulsory	декхар
computer	компьютер
concentrate	боршам
concentrate	концентрат
concept	концепци
concern	сагатдар
concerned	сахьаьвзина
concert	концерт
conclusion	сацам
concrete	бетон
condition	хьал
conditions	бехкамаш
conduct	чекхдаккха
conference	конференци
confess	дохковалар
confidence	бӀоболар
confident	тешна
confident	тешийна
confirm	чӀагӀдар
conflict	къовсам
conflict	дов
conflict	конфликт
confused	эхь хетийта
confusion	гӀучӀа
congrats	декъалдар
congratulation	декъалдар
congratulations	декъалдар
conjunction	конъюкци
connect	вовшатоха
conquer	тӀамца даккха
conscious	кхетаме
consciousness	кхетам
consent	реза хилар
consequences	тӀаьхье
conservation	Ӏалашдар
conservative	шира кхетам берг
consider	хьажа
consider	харжа
consider	къасто
considered	тӀечӀагӀдина
considered	къаьстина
considered	ойланца чӀагӀдина
consist	латта
consistency	консистенци
consistent	рогӀера
constant	даим
constant	диллина
constantly	даим
constipation	гӀуй
construction	дар
consume	лелор
consumption	дайар
contact	контакт
contact	зӀе
contact	уьйр
contagious	уьнан
contain	кхаба
contain	чулаца
contains	кхобушдерг
contemporary	вайн заман
contempt	цадашар
content	чулацам
contest	йохьалла
context	контекст
continent	континент
continue	дахдан
contract	контракт
contract	барт
contrast	контраст
contrast	башхалла
contribute	некъ баккха
contribute	аьтто бан
contribution	закъалт
control	тӀехьажар
control	контроль
controversial	къийсаме
convenience	атто
convenient	аьтто болу
convenient	бӀегӀийла
conversation	дийцарш
conversation	къамел
convert	хийца
convey	дӀадала
convince	тешор
convinced	тешна
cook	кхача кечбан
cooking	юург кечъян
cool	шийла
cooperation	юкъаметтиг дӀакхехьар
cope	ларадала
copper	цӀаста
core	тӀум
corn	хьаьжкӀа
corner	маьӀиг
correct	нийса
cost	мах
costume	костюм
cottage	коттедж
cotton	бамба
couch	диван
cough	йовхарш
could	мага
council	хьехам
count	ларар
count	лара
counter	лорург
country	мохк
countryside	юьртан меттиг
couple	шалха
couple	шиъ
courage	къонахалла
course	курс
court	кхел
courtesy	гӀиллакхалла
cousin	шича
cover	тӀетоьхнарг
cow	етт
cow	бежана
coward	кӀилло
coward	осалниг
cozy	паргӀат
crab	краб
crack	дотӀана
craft	пхьола
crap	боьхалла
crash	хьовзам
crash	авари
craving	гӀертар
crawl	текха
crazy	тилларг
create	кхоллар
creative	кхоллараллин
credit	тешор
credit	кредит
credit	тешам
creep	текхарг
creepy	инзаре
crew	некъахой
crew	экипаж
crime	зулам
cringe	хаба
crisis	кризис
criteria	критери
criteria	битам
critical	критически
critical	тешаме доцуш
critical	кхераме
criticism	критика
crop	ялта
crops	ялташ
cross	хадор
crow	къиг
crowd	тоба
crowded	тӀехдуьзна
crown	таж
crucial	коьрта
crucial	хьал къастош
cruel	къиза
cruise	круиз
cruise	готасар
crush	ата
crush	дохо
crush	вичӀадаккха
cry	делха
cucumber	наьрс
cuddle	улло тӀеӀа
culture	культура
culture	синбахам
cunning	хӀилла
cup	кад
cupboard	буфет
curb	дирста
cure	дарба
curfew	комендантан сахьт
curiosity	хаа гӀертар
curious	хаа гӀерта
curly	хьийзина месаш йолу
currency	валюта
current	карара
currently	карарчу хенахь
currently	кху ханна
curse	неӀалт
curtain	кирхьа
cushion	гӀайба
custom	ламаст
customer	эцархо
customs	таможни
cut	хадо
cute	хьоме
cute	безаме
cycle	цикл
cycling	вилспет хахкар
dad	дада
daddy	дада
daily	дено
daily	хӀора денна
dairy	шуьрин
dam	дамба
damage	дохо
damn	шайтӀа
damp	туьналла
dance	халхар
danger	кхерам
dangerous	кхераме
dark	Ӏаьржа
dark	бодане
darling	хьоме
dash	сиз
data	хаамаш
date	терахь
daughter	йоӀ
day	де
dead	делла
dead	делларг
deadline	тӀаьхьара хан
deaf	къора
deal	машар
deal	барт
dear	хьомсара
dear	хьоме
dear	лараме
Dear All	Дика мел дерг
Dear Customer	Хьомсара клиент
Dear Parents	Хьоме да-нана
Dear Sir	Хьоме эла
Dear students	Хьоме студент
Dear Team	Хьоме тоба
death	кхалхар
death	далар
debate	къовсар
debit	дебет
debris	саьлнаш
debt	декхар
decade	итт шо
decay	дахкадала
deceased	велларг
deceive	Ӏехо
december	декабрь
decent	оьзда
decide	кхочуш дан
decide	сацам бан
decided	сацийра
decision	сацам
deck	палуба
decline	лахдалар
decrease	жима дар
dedicated	довзийтина
dedication	тешам
deed	динарг
deep	кӀорга
deer	сай
default	цаалар
defeat	эшам
defend	дан
define	билгалдар
definitely	билггал
definition	билгалдаккхар
definition	къастор
degree	дарж
delay	хьедар
delayed	тӀех даьккхина
delete	дӀадаккха
deliberate	дагалацаме
delicate	кӀеда
delicious	чам болу
delicious	чоме
delight	доккхкадер
delighted	доккхадер
deliver	дӀакхача
delivered	дӀакхаьчна
delivery	дӀакхачор
demand	схьадехар
demanding	схьадоьхург
democracy	демократи
demon	йилбаз
demonstrate	дӀагайта
demonstrate	гайта
demonstrate	демонстраци ян
denied	цадалар
density	чорда
dentist	цергийн лор
dentist	стоматолог
deny	мукӀарло ца дан
deny	харцдан
deny	къера ца хила
department	дакъа
departure	дӀадахьийтар
depend	даза
deploy	схьадаржо
deposit	закъалт
deposit	депозит
depressed	Ӏаткъам хилларг
depression	сингаттам
depression	депресси
depth	кӀоргал
describe	дӀаяздар
description	сурт хӀоттор
desert	гӀамаран мохк
desert	гӀум-аре
desert	гӀамаршкахь
deserve	догӀуш
deserve	хьакъ долуш
design	дизайн
designation	билгало
desire	лаар
desk	язден стол
despair	бӀарздалар
desperate	сабӀарздала
desperate	сагатдала
despite	делахь а
dessert	бе-берса кхача
dessert	десерт
destination	дӀахьажийна меттиг
destiny	кхел
destroy	талхор
destruction	талхор
detail	дакъа
detail	билгало
details	башхаллаш
detect	кардина
determination	къастор
determine	къасто
determined	билгалдина
determined	билгалдаьккхина
devastated	талхошдерг
develop	кхион
developed	кхиаме
development	кхиар
device	гӀирс
devil	шайтӀа
devoted	довзийтина
Dhivehi	Дивехи
diabetes	диабет
diarrhea	чохьлазар
diary	дневник
dictionary	дешнижайна
did	дина
die	валар
died	дела
diet	диета
difference	башхалла
different	кеп-кепара
different	кхин
different	тайп-тайпана
difficult	хала
dig	ахка
dignity	дикалла
diligent	тӀера долу
dinner	делкъе яр
dinner	хӀума яар
dip	Ӏитта
direct	нийса
direction	агӀо
director	директор
dirt	боьху
dirty	боьха
disable	дӀадакхар
disabled	дӀадаккхар
disappear	къайладала
disappointed	дог даьлла
disaster	ирча бохам
discard	дӀакхийса
discharge	ток кхачо
discipline	лисциплина
discipline	низам
discount	скидка
discover	карош хила
discrimination	дискриминаци
discuss	дийцаре диллар
discussion	дийцар
disease	цамгар
diseases	цамгарш
disguise	къайладаккха
disguise	хьулдан
disgusting	вуно вон
dish	даар
dishes	даар
dismiss	юхатохар
dispatch	дӀадахьийтар
display	дисплей
disposal	дӀадаккхар
dispute	къовсам
distance	бохалла
distance	юкъаметтиг
distinct	билггал
distinguish	довза
distress	бала
distribution	дӀасадекъар
district	кӀошт
disturb	сагатдан
ditch	саьнгар
dive	чулелха
diverse	кхечу кепара
diverse	кхин
diverse	тайп-тайпана
diversity	шатайпаналла
diversity	башхалла
divide	декъа
divine	нуьре
divorce	зуда йитар
dizzy	корта хьийза
do	дан
do you	хьо
do you love me	хьуна со дукха везий
doctor	лор
document	документ
does	деш
doesn't	а
dog	жӀаьла
Dogri	Догри
doing	дан
doll	тайниг
domain	домен
domestic	чохьара
dominant	лекхаха хилар
don't	дац
Don't worry	Са ма гатде
donate	сагӀийна яла
done	дина
done	дина чекхдаккха
donkey	вир
dope	наркотик
double	шалха
doubt	шеко
dough	бод
down	лаха
down	охьа
download	чудаккхар
draft	Ӏалашо
draft	проект
drag	текхо
drain	аздала
drama	драма
draw	сурт дилла
drawer	схьаузуш долу гӀутакх
drawing	суртдилар
dread	кхерадала
dream	сатийсам
dress	коч
drill	буру
drink	мала
drive	лело
drop	тӀадам
dropped	охьакхетта
drought	якъо
drought	екхана
drunk	вехна
dry	екъа
duck	бад
dude	ӀуьӀа
due	хьакъ долу
due to	тӀехьара
dull	сингаттаме
dumb	Ӏовдал
dump	нехаш дӀакхуьйсийла
duration	дохалла
during	йохалла
dust	чан
duty	ял
duty	декхар
dwell	даха
dying	лийриг
each	хӀора
each other	вовшийн
eager	собардоцу
eagle	аьрзу
ear	лерг
earlier	хьалхо
early	хьалхара
earn	ӀаӀо
earn	даккха
ears	лергаш
earth	дуьне
earthquake	мохк бегор
ease	атта
easily	атта
east	малхбале
easy	атта
easy	ийна
eat	хӀума яа
eating	хӀума юарг
economic	экономика
economy	экономика
edge	йист
edit	тадан
education	дешар
effect	эффект
effective	эвсара
efficiency	эвсаралла
efficient	эвсара
effort	гӀора
effort	ницкъ
egg	xӀoa
eggplant	баклажан
ego	эго
eight	бархӀ
eighteen	берхӀитта
eighty	дезткъа
either	муьлхха
either	кхин тайпа
elaborate	даккха
elbow	гола
elder	лакхара
elderly	хенарниг
elegant	таме
element	элемент
elephant	пил
eleven	цхьайтта
eligible	бакъо
eliminate	дӀадаккха
else	кхин
embarrassed	эхьхетта
embarrassed	воьхна
embarrassing	эхьхетар
embrace	марадолла
emerge	тӀедала
emergency	къаьсттина хала хьал
emotional	эмоцин
emotional	самукъане
empathy	доглазар
empathy	балакхачар
emphasis	алар
emphasis	акцент
emphasize	билгалдаккха
employee	белхахо
employees	белхахой
employer	болх лург
employment	балха xӀoттop
empty	еса
enable	чулаца
enable	юкъадало
encounter	тӀеттӀакхетар
encourage	самукъадаккхар
encourage	дог айдар
end	чаккхе
endangered	кхерам болуш
endeavor	гӀертар
endurance	доьналла
endure	сатохар
enemy	мостагӀ
energy	гӀора
energy	ницкъ
engage	юкъадилла
engage	юкъаоза
engaged	мах бина
engagement	мах бар
engine	хьалхатоьттург
engineer	инженер
English	Ингалсан
enhance	чӀагӀдар
enjoy	самукъадала
enjoy	самалхадала
enormous	барамал сов
enormous	тӀехдоккха
enough	тоъал
enough	тоьа
ensure	гаранти яла
ensure	чӀагӀо ян
ensure	дош дала
enter	чудаха
entertainment	самукъадолург
enthusiasm	энтузиазм
enthusiasm	жигаралла
enthusiastic	доккхаден
entire	дерриг
entitled	коьртаниг
entity	дух
entrance	чувоьдийла
entrance	чуволийла
entrepreneur	хьуьнар дерг
entrepreneur	тӀахъаьлла
envelope	ботт
environment	гонахе
environment	го
envy	гамо
envy	хьагӀ
epic	барта кхоллараллера
epic	эпосан
epidemic	ун
equal	нийссаэ
equal	цхьатерра
equipment	гӀирс
equity	нийсо
equivalent	эквивалент
eraser	ластик
error	гӀалат
escape	дӀадайъар
escape	дӀадаккхар
escape	дадар
especially	къаьсттина
essay	эссе
essence	дух
essential	ладам боллуш
establish	дӀахӀотто
established	дӀахӀоттийна
estate	бахам
estimate	мах хадор
estimated	мах хадорца
etc	иштта д.кх.
eternal	даим
ethics	этика
evaluate	мах хадор
evaluation	мах хадор
even	нийсса
even	а тӀехь
even though	делахь а
evening	суьйре
event	хилларг
eventually	тӀаьххьара а
ever	мацца а
ever	цкъа
every	хӀора
everybody	хӀораниг
everyone	хӀоранниг
everything	хӀора
everything	дерриг
evidence	далийла
evidence	тоьшалла
evil	сакхт
evil	вон
evil	къа
evolution	эволюци
evolve	кхуьуш хилар
Ewe	Жий
ex	хилла
ex	хилларг
exact	нийса
exactly	иштта
exam	зер
exam	экзамен
examine	талла
example	масал
exceed	лакхавала
excellent	тӀехдика
except	юкъардаьккхича
except	иза доцург
exception	юкъардакхар
excess	барамал тӀех
excessive	барамал тӀех
exchange	хийцам
excited	синтем байна
excitement	дог тохадалар
exciting	инзаре
exclusive	эксклюзиван
excuse	бакъдар
excuse me	бехк ма била суна
execute	кхочушдан
execution	кхочуш дар
executive	кхочушден
exercise	дарс
exercise	упражнени
exhaust	холчухӀоьттор
exhausted	юьхьӀаьржа хила
exhausted	холчухӀоьттина
exhibit	экспонат
exhibition	гайтар
exist	хила
exist	ддолуш хила
existence	хилар
existing	долу
exit	арадовлийла
expand	шордан
expect	хьежа
expected	хьажа
expenses	харжаш
expensive	боккха мах болуш
expensive	деза
expensive	мехала
experience	зеделларг
experiment	зеделларг
expert	эксперт
expired	чекхдаьлла
explain	кхето
explanation	билгал дар
exploit	лелор
explore	талла
export	экспорт
expose	гучадаккхар
exposed	динарг
exposure	тӀеӀаткъо
exposure	тӀеӀаткъам бан
express	экспресс
expression	гайтам
extend	шордала
extended	шордина
extension	шордар
extent	барам
external	тӀера
extinct	дӀадайна
extra	совнаха
extract	арадаккхар
extraordinary	башха
extreme	экстремалан
