abandoned	okulekulirwa
analysis	okwekkaanya
ancestors	ba jajja
anchor	ensika
ancient	-kadde
and	ne
and you	naawe
an	e
angel	malayika
anger	obusungu
angle	ensonda
angry	okunyiiga
animal	ensolo
ankle	akakongovule
anniversary	okujaguza
announcement	ekirango
annoyed	okunyiiga
annoying	okunyiiza
annoy	okunyiiza
annual	buli mwaaka
anonymous	obtamanyikibwa
another	-lala
answer	okuddamu
anticipate	okusuubira
anxiety	okweraliikirira
anxious	okweraliikirira
anymore	ekilala
any	-nna
anyone	omuntu yenna
anything	ekintu kyonna
anyway	engeri yonna
anyways	eneri yona
a	omu
apartment	enju
apart	okwaawula
apologize	okweetonda
apparent	kiri nga
apparently	kakati
appeal	okwegayirira
appearance	endabika
appeared	yalabika
appear	okulabika
appetite	endya
apple	ekibala
application	okusaba
apply	okuteeka mu nkola
appointment	okulaalika
appreciate	okweeyanza
appreciation	okwebaza
approach	okutuukirira
appropriate	ekisaanidde
approval	okukkiriza
approved	okukkiriza
approve	okusiima
approximately	okutuuka ku
april	Ogw'okuna
arbitrary	okufugisa omukono gw'ekyuuma
architect	muzimbi
architecture	ebizimbe
archive	okutereka
area	awantu
are	-li
are you busy	olina by'okola
are you married	oli mufumbo
are you married or single	oli mufumbo, oba oli muwuulu
Are you still there?	okyali yo?
are you there	gy'ooli
are you	ye ggwe
argue	okuwakana
argument	enkaayana
arise	okuyimuka
arm	omukono
army	amajje
around	okwetooloola
arrangement	entegeka
arrange	okutereeza
arrival	okutuuka
arrived	yatuuka
arrive	okutuuka
arrogant	amalala
arrow	akasaale
art	ebifaananyi
article	ekiwandiiko
artificial	ekikalizo
artist	omuyimbi
ashamed	okuswaala
ash	evvu
asked	yabuuza
ask	okubuuza
asleep	okwebaka
as long as	kasita
as	nga
aspect	ekifo ekilondemu kukintu
Assamese	Assamese
assault	okutyobola
assembly	olukungaana
assertive	okwekkiririzamu
assessment	okugezesa
assess	okubalirira
asset	eby'obugagga
assets	oby'obugagga
assignment	ekigezo
assign	okugereka
assistant	omuyambi
assist	okuyamba
associated	okuba n'akakwaate
associate	okwuliraanya
association	ekitongole
assume	okuteebereza
assumption	okulowooza
as well as	wew'awo ne
as well	wew'awo ne
ate	-alya
athlete	omuddusi
at	ku
at least	waakiri
attached	akakwaate
attachment	enkwatagana
attach	okusibako
attack	okulumba
attempt	okugezaako
attendance	okubeerawo
attend	okubeera wo
attention	okutereera
attitude	enneeyisa
attraction	okusikangana
attractive	okusikiriza
attract	okusikiriza
attribute	akakwaate
audience	abawulize
august	ogwomusanvu
aunt	ssenga
aunty	ssenga
authentic	-a ddala
authority	obuyinza
author	omuwandiisi
autumn	ekiseera kya ddumbi
available	wekiri
average	mumakati
avoid	okweewala
awake	okuzuukuka
award	ekirabo
awareness	okumanya
aware	okumanya
away	obutabawo
awesome	-suffu
awful	kya ntiisa
awkward	mugomba
Aymara	Aymara
baby	omwaana
bachelor	omuwuulu
background	ebyeemabega
back	mabega
bad	obubi
bag	ensawo
bait	akatego
bake	obufumba
bakery	bekeeri
baking soda	baking soda
balance	balansi
ball	omupiira
Bambara	Bambara
banana	eryenvu
band	ekisiba
bang	okukuba
bank	banka
bar	bbaala
barely	okusigalawo katono
bargain	okulamuza
bark	-boggola
barley	ssayiri
barrier	ekitangira
base	beesi
based	kusinziira
basement	beesimenti
basically	mubwangu
basic	kya bulijjo
basil	omujaaja
bastard	omwaana azaalibwa wabweeru
batch	ebintu ebikoledwa omulundi gumu
bath	okunaaba
bathroom	ekinaabiro
battery	eryanda
battle	olutalo
bay	etaka eliyingila munyanja
beach	biiki
beam	okwaaka
beans	ebijanjaalo
beard	ekirevu
bear	eddubu
bearing	okuguma
beast	ensolo
beat	okukuba
beautiful	-lungi
beauty	obulungi
became	okufuuka
be careful	beera mwegendereza
because	olw'okuba
become	okufuuka
bed	ekitanda
bedroom	ekisenge
bee	enjuki
beef	ennyama ey'ente
been	-badde
beer	omwenge
before	mu kusooka
began	okutandika
beginning	okutandika
begin	okutandika
behalf	okukiikirira omuntu omulala
behave	enneyisa
behavior	enneyisa
behaviour	enneeyisa
behind	emabega
being	okubeera
belief	obukkiriza
believe	okukkiriza
belly	olubuto
belong	kya
beloved	omwagalwa
below	wansi wa
belt	omusipi
bench	entebe
bend	okugooma
beneath	wansi wa
benefit	omugaso
benefits	emigaso
be	okubeera
beside	kumabbaliga
besides	okuleka
best	ekisinga
best of luck	nkwagaliza birungi
best regards	birungi byereere
better	okusinga
between	mu masekkati
beverage	eky'okunywa
beyond	okusukkawo
Bhojpuri	Bhojpuri
biased	okwekubira oludda
bias	ekwakubira oludda
bicycle	gaali
bid	kukansa
big	obunene
bike	gaali
bill	esente ezibanjibwa
bind	okusiba
bird	akanyonyi
birthday	amazaalibwa
bite	okuluma
bitter	okukaawa
bit	-tono
black	obuddugavu
blade	omusa
blame	okusalira omusango
blank	bwereere
blanket	bulangiti
blast	okubwaatuka
bleach	okutukuza
blend	okutabula
blessed	-lina omukisa
bless	okuwa omukisa
blind	-zibe
bliss	essanyu eringi
block	bulooka
blood	omusaayi
bloom	okumulisa
blow	okufuuwa omukka
blue	bbululu
blunt	-siwa
board	okulinnya
boat	elyaato
body	omubiri
boil	okutokota
bold	okwekazza
bond	okukwatagana
bone	eggumba
book	ekitabo
booster	ekyongeramu amanyi
boost	okwelaga
boot	buutu
boots	engatto
border	ensalo
bored	okuwuubaala
bore	okuwubaala
boring	okuwuubaaza
born	okuzaalibwa
borrow	okweewola
boss	omukulu
both	byombi
bother	okusumbuwa
bottle	kyupa
bottom	wansi
bought	-agula
bounce	okubuuka
boundaries	ensalosalo
bound	obusibe
bowl	bakuli
bow	okuvunnama
box	essanduuko
boyfriend	omwagalwa omulenzi
boy	omulenzi
bracelet	akakomo
brain	obwongo
branch	olusaga
brand	bulandi
brave	obuvumu
breach	okumenya
bread	omugaati
breakfast	eky'enkya
break	okumenya
breast	ebbeere
breathe	okussa
breath	okussa
breed	okulunda
brick	ettofaali
bride	omugole
bridge	olutindo
brief	mu bufunze
bright	kitangaala
brilliant	amagezi
bring	okuleeta
broadcast	okutongoza
broad	obunene
broken	okumenyeka
broke	okumenya
bro	mwanyinaze
broom	olweeyo
brother in law	mulamu omusajja
brother	mwannyinaze
brought	-leeta
brown	kitaka
brush	okusenya
bucket	peyilo
buddy	mukwano
budget	embalirira
bug	ekiwuka
building	ekizimbe
build	okuzimba
built	okuzimba
bulk	obuzito
bull	ente ennume
bully	okutuntuza
bump	okukoona
bunch	omungi
bundle	omuganda
burden	omugugu
buried	okuziikibwa
burn	okwookya
burst	okwaabika
bury	okuziika
bus	baasi
bush	ensiko
business	bizinensi
bust	okwabika
busy	bize
but	naye
butterfly	ekiwojjolo
butter	siyaagi
button	eppeesa
buy	okugula
bye	-eelaba
by	okujjako
by the way	naye ate
cabbage	emboga
cabinet	kabineeti
cage	ekiguli
cake	keeci
calf	ennyana
called	okuyitibwa
call me	nkubira
call	okuyita
calm	okukkakkana
came	yajja
campaign	okuvuganya
Cancel	okusazaamu
cancer	kookolo
can	-sobola
can't	-sobola
capable	obusobozi
capacity	obusobozi
capital	kapitaali
caption	endagirila eyegaseko ebikolwa
capture	okufuna
career	omulimu
carefully	okwegendereza
careful	okwegendereza
careless	okugalamba
car	emmotoka
caring	okufaayo
carpenter	omubaazi
carpet	ekiwempe
carrot	kaloti
carry	okusitula
carry on	genda mu maaso
carry out	okutuukiriza
case	omusango
cash	sente
castle	olubiri
cast	okuwayo
casual	kya bulijjo
catch	okukwaata
category	olubu
cat	kkapa
cattle	ente
caught	wakutte
cause	okuleetera
caution	okwegendereza
cautious	okwegendereza
cave	empuku
cease	okukoma
ceiling	akasolya
celebrate	okujagaana
cell	ekatoffaali
center	mu makati
century	ekikumi
cereal	kasooli
ceremony	omukolo
certainly	butereevu
certain	okuba n'obukakafu
certificate	ebbaluwa
chain	olujegere
chair	entebe
challenge	okusoomozebwa
chance	omukisa
change	okukyuusa
chaos	akavuyo
character	enneyisa
characteristics	obubonero
charge	okulamula
charity	okuyamba
charming	kisanyusa
chart	ekipande
chase	okugoba
chat	okunyumya
cheap	omuwendo ogwa wansi
cheating	okufera
cheat	okuseera
check	okukebera
cheek	ettama
cheerful	okusanyuka
cheer	okuwagira
cheers	okuwagira
cheese	cheese
chemistry	kemisitule
cherish	okwagala
chess	omweeso
chest	ekifuba
chew	okugaaya
chicken	enkoko
chief	omukungu
childhood	obuto
child	omwaana
children	abaana
chill	okunnyogoga
chimneys	ekituli ekifulumya omukka
chin	ekirevu
chocolate	chokoleeti
choice	okusalawo
choose	okulonda
chop	okutema
chores	emirimu
chubby	okubababbala
church	ekereziya
cinnamon	omudalasini
circle	-tooloola
circumstances	ebituukawo
citizen	omutuuze
city	ekibuga
claim	okwemulugunya
clarify	okutangaaza
class	essomo
clay	bbumba
clean	buyonjo
clear	okumalawo
clerk	omulabirizi w'ebiwandiiko
clever	-gezi
client	omuguzi
cliff	entikko ku kasozi
climate	embeera y'obudde
climb	okulinnya
clingy	okweesiba ku
clock	essaawa
close	okuggalawo
closet	kabada y'engoye
clothes	engoye
cloth	olugoye
cloud	ekire
cloudy	ebire okukwaata
clown	kazanyinkirizi
clue	ekikundi
clumsy	okugwiirana
cluster	ekiwagu
coach	okutendeka
coal	amanda
coast	omwaalo
coat	kooti
coffee	emmwanyi
coincidence	ekintu ekiberawo nga tekisubidwa
cold	obutiti
collapse	okuzirika
collar	ekitogi
colleague	omuntu gw'omanyi
colleagues	abantu b'omanyi
collection	okukungaana
collect	okukungaanya
college	ettendekero
color	langi
colorless green ideas slept furiously	endowoza yekilagala yebase
colour	erangi
column	empagi
comb	ekisannyirizo
combination	okugatta
combine	okugatta
come here	jangu wano
come	jangu
come on	vaawo naawe
comfortable	okuwa emirembe
comfort	okukubagiza
coming	okujja
coming soon	kijja luvannyuma
command	okulagira
comment	endowooza
commercial	busuubuzi
commission	akasimi
commitment	okweewaayo
commit	okwewaayo
committed	okwewaayo
commodity	eky'amaguzi
common	kya bulijjo
communicate	okuwulizaganya
communication	enjogerezaganya
community	ekyaalo
commute	okutambula
companion	omubeezi
company	kampane
compare	okugattika
comparison	okugattika
compassionate	okuba n'ekisa
compassion	okusaasira
compatible	okukwatagana
competent	-tegeevu
compete	okuvugana
competition	empaka
competitive	okusindana
complain	okwemulugunya
complaint	okwemulugunya
complement	okuwaana
completely	bulikimu
complete	okumaliriza
complex	kikaluba
compliance	okukolagana wamu
complicated	okukaluba
compliment	okuwaana
comply	okuwuliriza
composition	okuyiiya
compound	olujja
comprehension	okutegeera
comprehensive	kirimu bulikimu
compromise	okubuusa
compulsory	teeka
computer	kompuuta
concentrate	okuteekako amaaso
concept	endowoza enondemu
concerned	okwerariikirira
concern	okweraliikirira
concert	konsati
conclusion	mu bufunzi
concrete	enkokoto
condition	kakwakkulizo
conditions	obukwakkulizo
conduct	okulabiriza
conference	olukungaana
confess	okukkiriza
confidence	okwekkiririzamu
confident	okwekkiririzaamu
confirm	okukakasa
conflict	katabanguko
confused	obutategeera
confusion	okusoberwa
congrats	yogaayoga
congratulations	yogaayoga
congratulation	yogayoga
conjunction	akayunzi
connect	okukwatagana
conquer	okuwangula
conscious	entegeera
consciousness	okutegeera
consent	olukusa
consequences	ebiddirira
conservation	emboozi
conservative	okukuma
considered	bakitademu
consider	fumiitiriza
consistency	obutakyuuka
consistent	okudinganamu
consist	okubeeramu
constantly	buli kaseera
constant	obutakyuuka
constipation	obuteeyabya
construction	okuzimba
consume	okukozesa
consumption	okumalawo
contact	okutuukirira
contagious	okusiiga
contain	okubeeramu
contains	-limu
contemporary	okuberewo mukasera kona
contempt	okunyooma
content	okwesiima
contest	okuvuganya
context	embera eletera enkola yomukolo
continent	kontinenti
continue	-eeyongera
contract	kontulakiti
contrast	okwawula
contribute	okuwaayo
contribution	ekiweebwayo
control	okufuga
controversial	okwawukanya mu ndowooza
convenience	emirembe
convenient	okuwa emirembe
conversation	emboozi
convert	okukyuuka
convey	okuwaayo
convinced	okumatiza
convince	okumatiza
cooking	okufumba
cook	okufumba
cool	okunnyogoga
cooperation	okukolagana
cope	okusobola
copper	ekikomo
core	entobo
corner	nsonda
corn	kasooli
correct	okugolola
cost	omuwendo
costume	ekyambalo
cottage	akayumba
cotton	pamba
couch	entebe
cough	okukolola
could	-andi
council	olukiiko
counter	emmeeza
count	okubala
country	eggwanga
countryside	mukyaalo
couple	abantu babiribabiri
courage	okuzaamu amaanyi
course	essomo
courtesy	gonjebwa
court	kooti y'amateeka
cousin	kizibwe
cover	ekisaanikizo
coward	omutitiizi
cow	ente
cozy	okuwumulamu
crab	enjaba
crack	okumenyeka
craft	eby'emikono
crap	ebya kasasiro
crash	okukoona
craving	okuyoya
crawl	okwaavula
crazy	okugwa eddalu
create	okutonda
creative	okuyiiya
credit	akagoba
creep	okusooba
creepy	okutiisa
crew	ekibinja
crime	omusango
cringe	okwesikamu
crisis	akatyaabago
criteria	omutendero
critical	okwetegereza
criticism	okukomelera
crop	ekirime
crops	ebimera
cross	okusala
crowded	okwebunga
crowd	Okubunga
crown	engule
crow	nnamungoona
crucial	-eekakatako
cruel	empisa embi
cruise	kuluuzi
crush	okutomela
cry	okukaaba
cucumber	cucumber
cuddle	okuwambaatira
culture	eby'obuwangwa
cunning	obukoddyo
cupboard	kabada
cup	ekikopo
curb	okutaayiza
cure	okuwonya
curfew	kafiyu
curiosity	okwebuuza
curious	okwaagala okumanya
curly	amasadde
currency	sente
currently	ennaku zino
current	mu buliwo
curse	okukolimira
curtain	kaateni
cushion	amutto
custom	empisa
customer	omuguzi
customs	empisa
cute	-lungi
cut	okusala
cycle	ggaali
cycling	okusotta
daddy	taata
dad	taata
daily	buli lunaku
dairy	amata
damage	okwonoona
damn	okuzikirira
dam	olubibiro
damp	okutoba
dance	okuzina
danger	akabi
dangerous	akabi
dark	ekizikiza
darling	kabiite
dash	okwanguwa
data	eby'okunoonyereza
date	olunaku olw'omweezi
daughter	omwaana ow'obuwala
day	olunaku
dead	-fu
deadline	okugaana
deaf	obutawulira
deal	buguzi
Dear All	Mwenna abalungi
Dear Customer	kasitoma waffe omulungi
dear	mwattu
Dear Parents	abazadde abalungi
Dear Sir	Ssebo omulungi
Dear students	Abasomi baffe abalungi
Dear Team	Ekibinja kyaffe ekilungi
death	okufa
debate	okuwakana
debit	ebanja
debris	kasassiro
debt	ebbanja
decade	emyaaka kumi
decay	okuvunda
deceased	omugenzi
deceive	okulimba
december	omweezi gwa museenene
decent	ensibuko
decided	yasalawo
decide	okusalawo
decision	okusalawo
deck	deki
decline	okugaana
decrease	okukendeeza
dedicated	okwewayo
dedication	okuwaayo
deed	ekikolwa
deep	buziba
deer	empeewo
default	okukosamu
defeat	okuwangulwa
defend	okuwolereza
define	okunnyonyola
definitely	butereevu
definition	okuwa amakulu
degree	diguli
delayed	kikeerezi
delay	okulwawo
delete	okusiimuula
deliberate	okukola ekintu nga weyagalira
delicate	kyangu okumenyeka
delicious	okuwooma
delighted	okusanyuka
delight	okwenyumiriza
delivered	okutuusa
deliver	okutambuza
delivery	okutusa
demanding	okulagira
demand	okulagira
democracy	demokulasiya
demon	omuzimu
demonstrate	okugezesa
denied	okugaanibwa
density	obuzito
dentist	omusawo w'amannyo
deny	okweegaana
department	ekibiina
departure	amagendo
depend	okwesiga
deploy	okuteeka mu nkola
deposit	okuteekamu
depressed	okunakuwala
depression	ennaku
depth	obuwanvu
describe	okunnyonyola
description	okunnyonnyola
desert	eddungu
deserve	okusaana
designation	omulimu
design	okukuba
desire	okwagala
desk	meeza
despair	okugwaamu amaanyi
desperate	okuyonkayonka
despite	newankubadde
dessert	eky'okulya
destination	enkomerero
destiny	entuuko
destroy	okuyonoona
destruction	okuyonoona
detail	okusoggola
details	ebisingawo
detect	okulaba
determination	obumalirivu
determined	obumaririvu
determine	okumalirira
devastated	okugwaamu amaanyi
developed	okukulaakulana
development	okukulankulana
develop	okukulankulana
device	ekyuuma
devil	sitaani
devoted	obujjumbizi
Dhivehi	Dhivehi
diabetes	ekirwadde ekya sukaali
diarrhea	embiro
diary	ekitabo
dictionary	dikisonale
did	-akola
died	yafa
die	okufa
diet	ndya
difference	enjawulo
different	okwaawukana
difficult	okukaluba
dignity	ekitiibwa
dig	okusima
diligent	obunyiikivu
dinner	eky'eggulo
dip	okukoza
direction	endagiriro
direct	okulagirira
director	omukulu
dirt	ettaka
dirty	-kyaafu
disabled	obutesobola
disable	okulemala
disappear	okubulawo
disappointed	okugwaamu amaanyi
disaster	ekibwatukiro
discard	okusuulawo
discharge	okufulumya
discipline	empisa
discount	okusalako
discover	okuzuula
discrimination	okusosola
discussion	okuteesa
discuss	okwogerako
disease	ekilwadde
diseases	endwadde
disguise	okwefuusa
disgusting	-essittaza
dish	emmerere
dishes	ebintu
dismiss	okusiibula
dispatch	okugaba
display	okulaga
disposal	okusuula
dispute	empaka
distance	olugendo
distinct	kyanjawulo
distinguish	okwawula
distress	okubulwa emirembe
distribution	okusaansaanya
district	disitulikiti
disturb	okusumbuwa
ditch	ekinnya
dive	okubuuka
diverse	-y'enjawulo
diversity	okubera ne ebirungo bingi
divide	okwawula
divine	obutukuvu
divorce	okugattululwa mu bufumbo
dizzy	kamunguluuze
doctor	omusawo
document	ekiwandiiko
does	-kola
doesn't	-li
dog	embwa
Dogri	Dogri
doing	okukola
do	kola
doll	dole
domain	ekiffo ky'obukugu
domestic	ebya waka
dominant	okukulira
donate	okugaba
done	okumala
donkey	endogoyi
don't	tokikola
Don't worry	Tofaayo
dope	kilungi
double	bbiri
doubt	okubuusabuusa
dough	engaano
download	okufuna
down	wansi
do you	kola bibyo
do you love me	onjagala
draft	ekifananyi
drag	okusika
drain	omufulejje
drama	akazannyo
drawer	duloowa
drawing	okukkuba ekifaananyi
draw	okukuba ekifaananyi
dread	obutayagala
dream	okuloota
dress	ekiteteeyi
drill	okusima
drink	okunywa
drive	okuvuga
drop	ettondo
dropped	okusuula
drought	olukalu
drunk	-tamiira
dry	okukala
duck	embaata
dude	omuntu
due	ebbanja
due to	okusinzziira ku
dull	-ebafu
dumb	obutayogera
dump	okusuula
duration	ebbanga
during	mukasera
dust	enfuufu
duty	omulimu
dwell	okubeera
dying	okufa
each	buli -mu
each other	buli omu ne munne
eager	okwesunga
eagle	empungu
earlier	mangu
early	mu nkeera
earn	enyingiza
ear	okutu
ears	amatu
earth	ensi
earthquake	musisi
ease	-angu
easily	kyangu
east	ebuvanjuba
easy	-angu
eating	okulya
eat	okulya
economic	okukekkereza
economy	yikonome
edge	nkomerero
edit	okugolola
education	okusoma
effect	-ddirira
effective	kitukiridwako
efficiency	amaanyi
efficient	okukola bulungi
effort	amaanyi
egg	ejji
eggplant	biringanya
ego	amalala
eighteen	kumi na munaana
eight	munaana
eighty	kinaana
either	oba
elaborate	okulambulula
elbow	enkokola
elderly	obukulu
elder	omukulu
elegant	okufaanana obulungi
element	ekintu
elephant	enjovu
eleven	kumu n'emu
eligible	etukiriza ebisanyizo
eliminate	okujjamu
else	-ala
embarrassed	okuswaala
embarrassing	okuswaaza
embrace	okuwambaatira
emergency	kwelinda
emerge	okusomoka
emotional	obusungu
empathy	okulumirirwa
emphasis	okuggumiza
emphasize	okuggumiza
employee	omukozi
employees	abakozi
employer	omukulu
employment	okukola
empty	obukalu
enable	okuyinzisa
encounter	ensisinkano
encourage	okuzaamu amaanyi
endangered	okukosebwa
endeavor	okufuba
end	enkomerero
endurance	okuguma
endure	okuguma
enemy	omulabe
energy	amaanyi
engaged	okwanjulwa
engagement	okwanjula
engage	okwogereza
engineer	yinginiya
engine	yinjini
English	Olungereeza
enhance	okwongeramu
enjoy	okunyumirwa
enormous	obunene
enough	-mala
ensure	okutegeeza
enter	okuyingira
entertainment	okwesanyusa
enthusiasm	okwesunga
enthusiastic	okwesunga
entire	-onna
entitled	osanide
entity	kyonna
entrance	w'oyingirira
entrepreneur	omuyiiya
envelope	baasa
environment	obuwangaaliro
envy	ebbuba
epic	olugero oluvude mu bintu ebweda
epidemic	obulwadde obusaasaana
equal	okwenkana
equipment	eby'okukozesa
equity	obwenkanya
equivalent	okwenkanankapnap
eraser	okusangula
error	ensobi
escape	okudduka
especially	naddala
essay	ekiwandiiko
essence	obutonde
essential	akatalekeka
established	okwetongoza
establish	okutongoza
estate	emmayiro
estimated	okuteebereza
estimate	okuteebereza
etc	nebirala bingi
eternal	lubeerera
ethics	eby'empisa
evaluate	okugerageranya
evaluation	okulamula
evening	akawawungeezi
even though	nelwankubadde
event	omukolo
eventually	olivannyuma
even	wadde
ever	bulijo
everybody	buli omu
every	buli
everyone	buli omu
everything	buli kimu
evidence	obukakafu
evil	obulabe
evolution	enkyuukakyuuka
evolve	okukyuuka
Ewe	Ewe
exact	kyennyini
exactly	kyeekyo
exam	ekibuuzo
examine	okukebera
example	eky'okulabirako
exceed	okusukkuluma
excellent	-suffu
exception	okujjako
except	okujjako
excessive	obunji bw'ekintu
excess	okubigika
exchange	okufaanyisa
excited	okukyamuka
excitement	essanyu
exciting	okukyamusa
exclusive	-kka
excuse	ekyekwaaso
excuse me	nsaba kweetegula
execute	okumala
execution	okuteeka mu nkola
executive	akakiko akakulu
exercise	dduyilo
exhausted	-koowu
exhaust	okumalawo
exhibition	okwolesa
exhibit	okwolesa
existence	obubeerawo
existing	okubeerawo
exist	okubeerawo
exit	-fuluma
expand	okugaziwa
expected	-suubirwa
expect	okusuubira
expenses	eby'ensaasaanya
expensive	omuwendo gwa waggulu
experience	obumanyirivu
experiment	okugezesa
expert	omukugu
expired	okuggwawo
explain	okuwoza
explanation	okunnyonnyola
exploit	okunyuunyunta
explore	okulambuula
export	okufulumya
exposed	okwaabya
expose	okwabya
exposure	okwanika
expression	endabika
express	okutegeeza
extended	okusembezaayo
extend	okusembeza
extension	okwongezaayo
extent	obuwanvu
external	wabweeru
extinct	okugwaawo
extract	okujjayo
extra	okwongeza
extraordinary	ekibejjo
extremely	nyo
extreme	nyo
ex	yaliko
eye	eriiso
eyes	amaaso
fabric	akadeeya
fabulous	kilungi
face	feesi
facilitate	okulabiriza
facilities	ebikozesebwa
facility	ekintu ekiweredwa okukola omulimu
fact	amazima
factor	ekivamu ekyenkomerede
factory	fakitole
facts	eby'amazima
fade	okubulawo
failed	okugwa
fail	okugwa
failure	okugwa
faint	okuzirika
fair	-lungi katono
fairly	bulungiko
fairy	kitonde ekyemizimu
faithful	obwesigwa
faith	okukkiriza
fake	okufera
fall	okugwa
false	-kyaamu
fame	okumanyika
familiar	okamanyiiro
family	amaka
famine	enjala
famous	amanyikiddwa
fancy	mutindo
fan	ekiwujjo
fantastic	-suffu
farewell	weraba
farmer	omulimi
farm	faamu
far	wala
fascinating	okunyuma
fashion	omusono
fast	okusiiba
fatal	ekintu ekitta
fate	entuuko
father	taata
fatigue	obukoowu
fat	obunene
fault	omusango
favorite	okusinga okwagala
favourite	-singa okwagalwa
favour	okuganja
fear	okutya
feast	ekijjulo
feather	ekyoya
feature	ekintu eky'enjawulo
features	ebintu eby'enjawulo
february	omweezi gw'okubiri
fed up	okutamirwa
feedback	endowooza
feed	okuliisa
feeling	okuwulira
feel	okuwulira
fee	sente
feet	ebigere
fell	-agwa
fellow	munange
felt	yawulira
female	-kazi
fence	ekikomera
fertile	obujimu
festival	ekijaguzo
fetch	okukima
fever	omusujja
few	bitini
fewer	-tono
fiance	omugole omusajja
fiction	okuyiiya
field	ekisaawe
fierce	obukambwe
fifteen	kumi na taano
fifty	amakumi ataano
fighting	okulwaana
fight	okulwaana
figure	enkula
figure out	okuzuula
file	fayilo
filled	okujjuza
fill	okujjuza
film	akazannyo
filthy	obujama
finally	okukomenkereza
finance	ensimbi
financial	sente
find	okusanga
find out	okuzuula
fine	omutango
finger	engalo
finished	okumaliriza
finish	okumaliriza
fire	omuliro
firm	obuggumivu
first name	erinnya erisooka
first	okusooka
fish	eky'enyanja
fit	okujjamu
five	taano
fixed	obunyweevu
fix	okunyiga
flag	ebendera
flash	okunyereketa
flat	okweyala
flaw	akamogo
flawless	okubula akamogo
flee	okudduka
flesh	omubiri
flew	yaguluka
flexible	okugonda
flex	okugooma
flight	okubuuka
flip	okukyuusa
flirting	okwegwanyisa
flirt	okweekoza
float	okuseeyeeya
flood	amataba
floor	wansi
flour	obuwunga
flower	ekimuli
flow	okukulukuta
fluent	bulungi
fluently	okwoogera bulungi
fluffy	ekiriko ebyooya
fluid	kitonnyeze
flu	ssennyiga
fly	okuguluka
focus	tereera
foggy	olufu
fog	olufu
fold	okuzinga
folks	abantu
following	okugoberera
follow	okugoberera
follow up	okugoberera
food	emmere
foolish	okusiruwala
fool	okusiruwaza
football	omupiira
foot	ekigere
for	-a
forbidden	okuwera
force	okukaka
forecast	okuteebereza
forehead	ekyeenyi
foreign	-nna ggwanga
forest	ekibira
forever	lubeerera
For example	okugeza nga
forget	okweerabira
forgive	okusonyiwa
forgot	okwerabira
for instance	okugeza
fork	ewuuma
formal	mubutongole
former	edda
form	foomu
fortunately	eby'obulungi
fortune	obugagga
forty	amakumi ana
forty-two	ana mu bbiri
forward	mu maaso
for you	kikyo
foster	okukuuma
fought	okulwaana
found	-asanga
foundation	omusingi
four	nnya
