a	ⴰ
advanced	ⵜⵉⵣⵡⵉⵔⵜ
advantage	ⵜⴰⵀⵏⵉⵜ
adventure	ⴰⵙⵓⵔⵉⴼ
adverb	ⴰⵎⴻⵔⵏⵓ
advertisement	ⴰⴷⴻⵍⵍⴻⵍ
advertising	ⴰⴷⴻⵍⵍⴻⵍ
advice	ⴰⵏⵚⴰⵃ
advise	ⵢⴻⵏⵚⴻⵃ
advocate	ⴰⵎⵙⴻⴷⴷⴰⵢ
aesthetic	ⵉⵛⴱⴻⵃ
affair	ⵜⴻⵎⵙⴰⵍⵜ
affect	ⵙⵉⴽⴻⵛ
affection	ⵜⴰⵢⵔⵉ
afford	ⴰⵙⵯⵢⴻⴼⴽ
affordable	ⴰⵜⵉⴳ ⵉⵖⵓⴷⴰⵏ
afraid	ⵢⵓⴳⴰⴷ
after	ⴷⴻⴼⴼⵉⵔ
afternoon	ⵜⴰⵎⴻⴷⴷⵉⵜ
afterwards	ⵙⴰⴽⴽⵉⵏ
again	ⵄⴰⵡⴻⴷ
against	ⵎⴳⴰⵍ
age	ⵍⴻⵄⵎⴻⵔ
agency	ⵜⴰⵙⴻⵎⵙⴻⵔⵜ
agent	ⴰⵎⴻⴳⴳⵉ
aggressive	ⵢⴻⵙⵙⴻⴹ
agile	ⵉⵛⵔⵉⵔ
ago	ⵣⵉⴽ
agree	ⵇⴱⴻⵍ
agreement	ⴰⵎⵜⴰⵡⴰ
agriculture	ⵜⴰⴼⴼⴻⵍⴰⵃⴻⵜ
ahead	ⵙⴷⴰⵜ
aid	ⵄⵉⵡⴻⵏ
aim	ⵉⵙⵡⵉ
air	ⴰⴹⵓ
airport	ⴰⵏⴰⴼⴰⴳ
aisle	ⴰⴱⴰⵔⴰⵣ
alarm	ⴰⵙⴰⴽⴰⵢ
alcohol	ⵙⵙⴽⴻⵔ
alert	ⵏⴻⴱⴱⴻⵀ
alive	ⵢⴻⴷⴷⴻⵔ
all	ⴰⴽⴽ
all right	ⵓⵍⴰⵛ ⴰⵖⵉⵍⵉⴼ
all the best	ⴰⵢⴻⵏ ⵢⴻⵍⵀⴰⵏ ⴰⴽⴽ
allow	ⴵⴵⴻⵜ
allowed	ⵢⴻⵜⵜⵓⵏⴻⴼⴽ
almost	ⵇⵔⵉⴱ
alone	ⴰⵡⵃⵉⴷ
along	ⵙ ⵜⵜⵓⵍ
already	ⵢⴰⴽⴰⵏ
Alright	ⴱⵅⵉⵔ
also	ⵓⵍⴰ ⴷ
alternative	ⴰⴼⵜⴰⵏ
although	ⵖⴰⵙ ⴰⴽⴽⴻⵏ
always	ⴷⵉⵎⴰ
am	ⵏⴻⴽⴽ
amazing	ⵢⴻⵙⵙⴻⵡⵀⴰⵎⴻⵏ
ambiguous	ⵜⵉⵎⵙⵓⵍⵍⴻⵙⵜ
ambition	ⵜⵉⵍⵉⵙⴰ
ambitious	ⵢⴻⵙⵄⴰⵏ ⴰⵙⵉⵔⴻⵎ
amend	ⴱⴻⴷⴷⴻⵍ
amid	ⴳⴰⵔ
among	ⴳⴰⵔ
among us	ⴳⴰⵔⵯⴰⵏⴰⵖ
amount	ⴰⵣⴰⵍ
amusing	ⵢⴻⵙⴷⴻⵀⵀⴰ
an	ⴷ
analysis	ⴰⴽⴽⵓⴷ
ancestors	ⵉⵎⴰⵡⵍⴰⵏ
anchor	ⴰⴳⴻⵍⵣⵉⵎ
ancient	ⴰⵇⴷⵉⵎ
and	ⴰⴽⴽⵯⴷ
and you	ⵉ ⴽⴻⵞⵞ
angel	ⵍⵎⴻⵍⴽ
anger	ⵓⵔⴼⴰⵏ
angle	ⵜⵉⵖⵎⴻⵔⵜ
angry	ⵉⴼⵇⴻⵄ
animal	ⵉⵖⴻⵔⵙⵉⵡⴻⵏ
ankle	ⵜⴰⵡⴻⵟⵣⵉⵜ
anniversary	ⴰⵎⵓⵍⵉ
announcement	ⴰⴱⴻⵔⵔⵉⵃ
annoy	ⵏⴰⵇⴻⵎ
annoyed	ⵢⴻⵜⵜⵇⴻⵍⵍⵉⵇ
annoying	ⵢⴻⵜⴵⵉⵏⵉ
annual	ⵢⴰⵍ ⴰⵙⴻⴳⴳⴰⵙ
anonymous	ⵓⴷⵔⵉⴳⴻⵏ
another	ⵡⴰⵢⴻⴹ
answer	ⴻⵔⵔ
anticipate	ⵀⴻⴳⴳⵉ ⵉⵎⴰⵏⵯ ⵉⴽ
anxiety	ⵍⴻⵖⵚⴻⴱ
anxious	ⵢⴻⵜⵜⵃⴻⴱⴱⵉⵕ
any	ⴽⵔⴰ ⵢⴻⵍⵍⴰⵏ
anymore	ⵏⵏⵉⴳ ⵡⴰⵢⴰ
anyone	ⴽⵔⴰ ⵏ ⵢⵉⵡⴻⵏ
anything	ⵓⵍⴰ ⵢⵉⵡⴻⵏ
anyway	ⴰⴽⴽⴻⵏ ⵢⴻⴱⵖⵓ ⵢⵉⵍⵉ
anyways	ⴰⴽⴻⵏ ⵢⴻⴱⵖⵓ ⵢⵉⵍⵉ
apart	ⵎⴻⵏⵖⵉⵔ
apartment	ⴰⵅⵅⴰⵎ
apologize	ⵙⵓⵔⴻⴼ ⴼⴻⵍⵍⵯⴰⵙ
apparent	ⴰⵣⴻⴷⵉ
apparently	ⵉⴱⴰⵏⵯⴷ
appeal	ⴰⵙⵓⵜⴻⵔ
appear	ⴰⴷ ⴷⵯⵉⴱⴰⵏ
appearance	ⵓⴷⴻⵎ
appeared	ⵢⴻⵜⴱⴰⵏ
appetite	ⵜⵉⵍⵉⵙⴰ
apple	ⵜⵜⴻⴼⴼⴰⵃ
application	ⴰⵙⴻⵇⴷⴻⵅ
apply	ⴰⵙⴻⵇⴷⴻⵛ
appointment	ⴰⵙⴻⴱⴷⴻⴹ
appreciate	ⵃⴻⵎⵎⴻⵍ
appreciation	ⴰⵛⴽⴰⵔ
approach	ⵜⴰⵎⴰⵖⵓⵍⵜ
approach	ⵉⵇⴻⵔⵔⴻⴱ
appropriate	ⴰⴳⵡⵓⵍⵎⴻⵏ
approval	ⵢⴻⵇⴱⴻⵍ
approve	ⵢⴻⵇⴱⴻⵍ
approved	ⵉⵡⵓⴼⴻⵇ
approximately	ⴰⵣⴰⵍ ⵏ
april	ⵢⴻⴱⵔⵉⵔ
arbitrary	ⴷⴷⵔⴻε
architect	ⴰⵎⴰⵙⴷⴰⴳ
architecture	ⵜⴰⵙⴻⴳⴷⴰ
archive	ⴰⵎⵢⴰⴳ
are	ⵍⵍⴰⵏ
are you	ⴷ ⴽⴻⵞⵞ
are you busy	ⵜⵛⴻⵖⵍⴻⴹ
are you married	ⵜⴻⵣⵡⴵⴻⴹ ?
are you married or single	ⵜⵣⴻⵡⴵⴻⴹ ⵏⴻⵖ ⵓⵔ ⵜⴻⵣⵡⵉⴵⴻⴷ ⴰⵔⴰ
Are you still there?	ⵎⴰⵣⴰⵍⵯⵉⴽ ⴷⵉⵏ?
are you there	ⴷⵉⵏⵯⴰ ⵉ ⵜⴻⵍⵍⵉⴹ
area	ⵜⴰⵎⵏⴰⴹⵜ
argue	ⵜⵜⵏⴰⵖⴻⵖ
argument	ⴰⵊⴰⴷⴻⵍ
arise	ⵏⵓⵍⴼⵓ
arm	ⴰⵎⵔⵉⴳ
army	ⵜⴰⵣⴻⵎⵎⴰⵍⴻⵜ
around	ⵣⵣⵉⵏⵯⴷ
arrange	ⵉⵙⴻⴳⴳⴻⵎ
arrangement	ⴰⵙⵙⴻⵎⵙⴰⵡⵉ
arrival	ⴰⴳⴳⴰⴷ
arrive	ⴰⵡⴻⴹ
arrived	ⵢⴻⵎⵎⴻⴹⵯⴷ
arrogant	ⵣⵓⵅⵅ
arrow	ⵜⵏⴻⵛⵛⴰⴱⵜ
art	ⵜⴰⵥⵓⵔⵉ
article	ⵜⴰⵖⴰⵡⵙⴰ
article	ⴰⵎⴰⴳⵔⴰⴷ
artificial	ⴰⵙⵏⵓⵍⴼⵓ
artist	ⴰⵏⴰⵥⵓⵔ
as	ⴰⵎ
as long as	ⴰⵏⴻⵛⵜ
as well	ⵓⵍⴰ ⴷ
as well as	ⴰⵎ ⴰⴽⴽⴻⵏ
ash	ⴰⵖⴻⴷ
ashamed	ⵢⴻⵜⵜⵙⴻⵜⵃⵉ
ask	ⵙⵜⴻⵇⵙⵉ
asked	ⵢⵙⴻⵇⵙⴰ
asleep	ⵜⵏⴰⴼⴰ
aspect	ⴰⵙⴽⴽⵉⵍ
Assamese	ⴰⵙⴰⵎⵙ
assault	ⵢⴻⵎⵎⴻⵖ
assembly	ⴰⴳⵔⴰⵡ
assertive	ⵙⴻⵏⵜⴻⵎ
assess	ⴰⴷ ⴷⵯⵜⵃⴻⵙⵙⴻⴷ
assessment	ⴰⵙⴻⵖⵜⵉ
asset	ⴰⵎⴻⵙⴽⴰⵔ
assets	ⵛⵛⵉ
assign	ⴻⴼⴽ
assignment	ⴰⵙⴻⴱⵜⴻⵔ
assist	ⴰⵍⵍⴻⵍ
assistant	ⴰⵎⴰⵍⴰⵍ
associate	ⴰⵎⴻⴷⴷⴰⴽⴻⵍ
associated	ⵉⵎⴻⴷⴷⵓⴽⴰⵍ
association	ⵜⵉⴷⴷⵓⴽⵍⴰ
assume	ⴰⴷ ⴰⵙⵯⵜⵉⵏⵉⴹ
assumption	ⴰⵙⴰⵍⵉ
at	ⴷⴻⴳ
at least	ⵎⴻⵇⵇⴰⵔ
ate	ⵢⴻⵞⵞⴰ
athlete	ⴰⵏⴰⴷⴷⴰⵍ
attach	ⵢⴻⵇⵇⴻⵏ
attached	ⵢⴻⵜⵜⵡⴰⵟⵟⴼⴻⵏ
attachment	ⴰⵙⴱⴰⴷ
attack	ⴰⵥⴷⴰⵎ
attempt	ⵢⴻⵄⵔⴻⴷ
attend	ⴰⴷ ⴷⵯⵢⴰⵡⵓ
attendance	ⵜⵉⵍⵉⵏ
attention	ⴰⴼⴰⴷ
attitude	ⴰⴷⴷⵓⴷ
attract	ⴷⵯⵊⴻⴱⴷⴻⵖ ⵍⵡⴻⵍⵀⴰ
attraction	ⵢⴻⵜⵄⴻǧǧⴱⴻⵏ
attractive	ⵢⴻεǧⴻⴱ
attribute	ⴰⵢⵍⴰ
audience	ⴰⴳⴷⵓⴷ
august	ⵖⵓⵛⵜ
aunt	ⵄⴻⵎⵎⵉ
aunty	ⵅⴰⵍⵉ
authentic	ⴷ ⵜⵉⵏ ⵏ ⵜⵉⴷⴻⵜ
author	ⴰⵎⴰⵔⵓ
authority	ⴰⴷⴰⴱⵓ
autumn	ⵍⴻⵅⵔⵉⴼ
available	ⵉⵍⵍⴰ
average	ⴰⵎⴹⴰⵏ
avoid	ⵅⴹⵓ
awake	ⵢⵓⴽⵉ
award	ⴰⵔⵔⴰⵣ
aware	ⵢⴻⵙⵏⴻⵏ
awareness	ⵜⴰⵎⵓⵙⵏⵉ
away	ⵢⴻⴱⵄⴻⴷ
awesome	ⴰⵛⴽ-ⵉⵜ
awful	ⴷ ⴰⵢⴻⵏ ⵏ ⴷⵉⵔⵉ
awkward	ⵓⵔ ⵢⴻⵙⵄⵉ ⵍⵎⴻⵄⵏⴰ
Aymara	ⴰⵢⵎⴰⵔⴰ
baby	ⴰⴳⵔⵓⴷ
bachelor	ⴰⵎⴱⵓⵔ
back	ⵖⴻⵔ ⴷⴻⴼⴼⵉⵔ
background	ⵜⴰⵣⵔⴰⵡⵜ
bad	ⵢⵉⵔ
bag	ⴰⵙⴳⴰ
bait	ⵜⵛⴻⵕⴽⴻţ
bake	ⵢⴻⵙⵙⴻⵡⴰⵢ
bakery	ⵜⴰⵃⴰⵏⵓⵜ
baking soda	ⵙoⴷⴰ ⵏ ⵍⵖⴻⵍⵍⴰ
balance	ⵙⴻⵎⵏⴻⴽⵏⵉ
ball	ⵜⴰⴽⵓⵔⵜ
Bambara	ⴱⴰⵎⴱⴰⵔⴰ
banana	ⵜⴰⴱⴰⵏⴰⵏⵜ
band	ⵜⴰⵔⴰⴱⴱⵓⵜ
bang	ⴰⵣⵍⴰⵎ
bank	ⵍⴱⴰⵏⴽⴰ
bar	ⵍⴱⴰⵕ
barely	ⵏⴰⵙ ⴽⴰⵏ
bargain	ⵜⴰⵖⵓⵕⵉ
bark	ⵢⴻⵙⵙⴻⴳⵍⴻⴼ
barley	ⵜⴰⵥⴻⴳⵡⴰ
barrier	ⵣⵣⴻⵔⴱ
base	ⵉⵔⴻⵚⵚⴰⵏ
based	ⵜⴻⵔⵙ
basement	ⴰⴷⴻⵔⴱⵓⵣ
basic	ⴰⴳⴻⵊⴷⴰⵏ
basically	ⴷⴻⴳ ⵍⵍⵙⴰⵙ
basil	ⵍⴻⵃⴱⴻⵇ
bastard	ⴰⵄⴻⵟⵟⴰⵢ
batch	ⵜⴰⴼⴼⴰ
bath	ⴰⴱⴷⵓⵣ
bathroom	ⵜⴰⵛⵓⵛⴰⴼⵜ
battery	ⵉⵥⵔⴰ
battle	ⵉⵎⵏⵖⵉ
bay	ⵜⴰⵎⴷⴰⵯⵏⵏⵉ.
be	ⵉⵍⵉ
be careful	ⵙ ⵜⵜⴰⵡⵉⵍ
beach	ⵍⴻⴱⵃⴰⵔ
beam	ⴰⴱⴻⵔⴳ
beans	ⵜⴰⴷⵍⴰⵅⵜ
bear	ⵓⵔⵙⵓ
beard	ⵜⴰⵎⴰⵔⵜ
bearing	ⴰⵙⴻⴱⴷⴰⴷ
beast	ⴰⵖⴻⵔⵙⵉⵡ
beat	ⴰⵡⵡⴻⵜ
beautiful	ⵉⵛⴱⴻⵃ
beauty	ⵛⴱⴰⵃⴰ
became	ⵢⵓⵖⴰⵍ
because	ⴰⵅⴰⵟⴰⵔ
become	ⵢⵓⵖⴰⵍ
bed	ⵓⵙⵓ
bedroom	ⵜⴰⵅⵅⴰⵎⵜ ⵏ ⵢⵉⴹⴻⵙ
bee	ⵜⵉⵣⵉⵣⵡⵉⵜ
beef	ⴰⴽⵙⵓⵎ
been	ⵢⴻⵍⵍⴰ
beer	ⵜⴰⴱⵢⵉⵔⵜ
before	ⵓⵇⴱⴻⵍ
began	ⵢⴻⴱⴷⴰ
begin	ⵢⴻⴱⴷⴰ
beginning	ⵜⴰⴻⵡⴰⵔⴰ
behalf	ⵙ ⵢⵉⵙⴻⵎ
behave	ⵙⴻⴳⴳⴻⵎ
behavior	ⵜⵉⴽⵍⵉ
behaviour	ⵜⵉⴽⵍⵉ
behind	ⴷⴻⴼⴼⵉⵔ
being	ⴷ ⵡⵉⵏ ⵢⴻⵍⵍⴰⵏ
belief	ⴰⵢⴻⵏ ⵢⴻⵜⵜⴰⵎⴻⵏ
believe	ⴰⵎⵏⴻⵖ
belly	ⴰεⴻⴱⴱⵓⴹ
belong	ⴷ ⴰⵢⵍⴰ
beloved	ⵄⵣⵉⵣ
below	ⴷⴷⴰⵡ
belt	ⵜⴰⴱⴰⴳⵓⵙⵜ
bench	ⴰⵖⴰⵍⴰⴷ
bend	ⵉⴽⴻⵏⵏⵓ
beneath	ⴷⴷⴰⵡ
benefit	ⵔⴻⵣ
benefits	ⵢⴻⵙⴼⴰⵢⴷⴻⵏ
beside	ⵖⴻⵔ ⵜⴰⵎⴰ
besides	ⴰⵔ ⵜⴰⵎⴰ
best	ⴰⵢⴻⵏ ⵢⴻⵍⵀⴰⵏ
best of luck	ⴰⴼⵓⴷ ⵉⴳⴻⵔⵣⵣⴻⵏ
best regards	ⴰⵣⵓⵍ ⴰⵃⵎⴰⵢⴰⵏ
better	ⴰⵅⵉⵔ
between	ⴳⴰⵔⵯⴰⵙⴻⵏ
beverage	ⵜⵉⵙⵙⵉⵜ
beyond	ⴷⴻⴼⴼⵉⵔ
Bhojpuri	ⴱⵀoⵊⴱⵓⵔⵉ
bias	ⵏⴻⵃⵡⴰⴰ
biased	ⵢⴻⵣⴳⴰ
bicycle	ⴰⵙⵏⴰⵙⵖⴰⵍ
bid	ⵙⵙⴰⵔⴰⵎⴻⵖ
big	ⴰⵎⴻⵇⵇⵔⴰⵏ
bike	ⵜⴰⵙⵏⴰⵙⵖⴰⵍⵜ
bill	ⵜⴰⴼⴰⵜⵓⵕⵜ
bind	ⵜⵓⵇⵏⴰ
bird	ⴰⴼⵔⵓⵅ
birthday	ⴰⵎⵓⵍⵉ
bit	ⵛⵡⵉⵟ
bite	ⴽⴻⵔⵔⴻⵛ
bitter	ⵔⵥⴰⴳ
black	ⴰⴱⴻⵔⴽⴰⵏ
blade	ⵜⴰⵣⵣⵉⵜ
blame	εⴻⵣⵣⴻⵔ
blank	ⴷ ⵉⵍⴻⵎ
blanket	ⵜⴰⴽⵡⴼⵍⵜ
blast	ⵉⴼⴻⵍⵄⴻⵙ
bleach	ⴰⵙⴻⵎⵍⴰⵍ
blend	ⵅⵍⴻⴹ
bless	ⵉⴱⴰⵔⴻⴽ
blessed	ⵢⴻⵜⵜⵡⴰⴱⴻⵔⴽⴻⵏ
blind	ⴷ ⴰⴷⴻⵔⵖⴰⵍ
bliss	ⵜⵓⵎⴻⵔⵜ
block	ⵢⴻⵔⴳⴻⵍ
blood	ⵉⴷⴰⵎⵎⴻⵏ
bloom	ⵢⴻǧǧⵓǧⴻⴳ
blow	ⵙⵓⴼ
blue	ⴰⵣⴻⴳⵣⴰⵡ
blunt	ⵙⵙⴻⵃⴼⴰ
board	ⵜⴰⴼⴻⵍⵡⵉⵜ
boat	ⵜⴰⴼⴼⵓⴽⵜ
body	ⵜⴰⴼⴻⴽⴽⴰ
boil	ⵙⵙⴻⵔⴽⴻⵎ
bold	ⵉⴷⴰⵎⵎⴻⵏ
bond	ⴰⴽⵎⴰⵙ
bone	ⵉⵖⴻⵙ
book	ⵙⵏⴻⴳⵎⴻⴷ
boost	ⵏⵊⴻⵄ
booster	ⴰⵎⵙⴻⴷⴷⴰⵢ
boot	ⴰⵙⴻⵏⴷⵓⵇ ⵏ ⵜⴽⴻⵕⵕⵓⵙⵜ.
boots	ⵉⴱⵓⵣⴳⴻⵏ
border	ⵜⵉⵍⵉⵙⴰ
bore	ⴰⴱⵔⵓⵊ
bored	ⵢⴻⵄⵢⴰⵜ
boring	ⵢⴻⵙⵙⴻⵅⵍⴰⵄ
born	ⵉⵍⵓⵍ
borrow	ⴰⴷ ⵜⵯⵔⴻⴼⴼⵍⴻⵜ
boss	ⴰⵎⵄⴻⵍⵍⴻⵎ
both	ⵉⵙⵉⵏ
bother	ⴰⵙ ⴷⵯⵜⵃⴻⵙⵙ
bottle	ⵜⵇⴻⵔⵄⵓⵏⵜ
bottom	ⴷⴰⵡ
bought	ⵢⵓⵖ
bounce	ⵏⴻⴳⴳⴻⵣ
bound	ⵢⴻⵇⵇⵏⴻⵏ
boundaries	ⴰⵢⵎⵉⵔ
bow	ⵜⴰⵏⵣⴻⴷ
bowl	ⴰⵇⴻⵙⵙⵓⵍ
box	ⴰⵙⴻⵏⴷⵓⵇ
boy	ⴰⵇⵛⵉⵛ
boyfriend	ⴰⵎⴷⴰⴽⴻⵍ
bracelet	ⵜⴰⵎⴻⵙⵢⴰⵙⵜ
brain	ⴰⵍⵍⴰⵖ
branch	ⵓⴼⵓⵔⴽ
brand	ⴰⵣⴻⵎⵣ
brave	ⵢⴻⵙⵄⴰⵏ ⵜⴰⴱⵖⴻⵙⵜ
breach	ⵜⴰⵔⵓⵣⵉ
bread	ⴰⵖⵔⵓⵎ
break	ⵢⴻⵔⵔⴻⵣ
breakfast	ⵉⵎⴻⴽⵍⵉ ⵏ ⵜⵙⴻⴱⵃⵉⵜ
breast	ⵜⴰⴷⵎⴰⵔⵜ
breath	ⵜⵏⴻⴼⴼⴻⵙ
breathe	ⴰⴷ ⵜⵏⴻⴼⴼⵙⴻⴷ
breed	ⵉⴳⴻⵍⵍⵓ
brick	ⵍⴰⵊⵊⵓⵔ
bride	ⵜⵉⵙⵍⵉⵜ
bridge	ⵜⵉⵍⴻⴳⴳⵉⵜ
brief	ⵙⵙⴻⵡⵣⴻⵍ
bright	ⵢⴻⵚⴼⴰ
brilliant	ⵉⵔⵖⴰⵏ
bring	ⴰⵡⵉⵯⴷ
bro	ⴰ ⴳⵎⴰ
broad	ⵀⵔⴰⵡ
broadcast	ⴱⵔⵓⴷⴽⴰⵙⵜ
broke	ⵢⴻⵔⵔⴻⵣ
broken	ⵢⴻⴻⵥⴻⵏ
broom	ⵜⴰⵎⴻⴷⵡⴰⵣⵜ
brother	ⴳⵎⴰ
brother in law	ⵎⵎⵉⵯⵉⵙ ⵏ ⵓⴹⴻⴳⴳⴰⵍ
brought	ⴰⵡⵉⴷ
brown	ⴰⵇⴻⵀⵡⵉ
brush	ⵜⵎⴻⵛⵛⴻⴹ
bucket	ⴰⴱⴻⵍⵢⵓⵏ
buddy	ⴰⵎⴻⴷⴷⴰⴽⴻⵍ
budget	ⴰⵎⴻⵚⵔⵓⴼ
bug	ⴰⴱⴻⵄⵄⵓⵛ
build	ⵍⴻⴱⵏⵉ
building	ⴰⵇⴻⴱⵏⵓ
built	ⵢⴱⴻⵏⵏⵓ
bulk	ⴰⵎⵓⵔ ⴰⵎⴻⵇⵇⵔⴰⵏ
bull	ⴰⵣⴳⴻⵔ
bully	ⴰⵃⴻⵇⵇⴰⵔ
bump	ⴰⴼⴻⵍⵍⵉⵇ
bunch	ⴽⵔⴰ
bundle	ⵜⴰⵣⴷⴻⵎⵜ
burden	ⵄⴻⴱⴱⵉ
buried	ⵢⴻⵜⵜⵡⴰⵎⴹⴻⵍ
burn	ⵜⵉⵎⴻⵙ
burst	ⴰⵎⴳⴻⵔⵔⴰⴷ
bury	ⵢⴻⵎⴹⴻⵍ
bus	ⴰⵙⴰⴽⴰⵛ
bush	ⵉⴳⵉⵙⵙⵉ ⵏ ⵜⴰⵖⴰⵜ
business	ⴰⵅⴻⴷⴷⵉⵎ
bust	ⴰⵎⴳⴻⵔⵔⴰⴷ
busy	ⵢⴻⵄⵎⴻⵔ
but	ⵎⴰⵛⴰ
butter	ⵓⴷⵓ
butterfly	ⴰⴼⴻⵔⵟⴻⵟⵟⵓ
button	ⵜⴰⵇⴻⴼⴼⴰⵍⵜ
buy	ⴰⴷ ⴷⵯⵜⴰⵖⴻⴹ
by	ⵙⵖⵓⵔ
by the way	ⴰⵃⴻⵇⴰ
bye	ⴰⵔ ⵜⵉⵎⵍⵉⵍⵉⵜ
cabbage	ⴰⴽⵔⴻⵎⴱⵉⴹ.
cabinet	ⴰⵊⵎⵉⵔ
cage	ⵜⴰⴳⴻⵔⴱⵉⵜ
cake	ⴰⵏⴳⵓⵍ
calf	ⵜⴰⴼⵓⵏⴰⵙⵜ
call	ⵖⴻⵔ
call me	ⵙⵉⵡⴻⵍⵯⵉⵢⵉⵯⴷ
called	ⵢⴻⵙⵙⴰⵡⴻⵍ
calm	ⵢⴻⵔⴽⴻⴷ
came	ⵢⵓⵙⴰⵯⴷ
campaign	ⵜⴰⵡⴰⵢⵜ
can	ⵢⴻⵣⵎⴻⵔ
can	ⴰⴼⵏⵉⵇ
can't	ⵓⵔ ⵣⵎⵉⵔⴻⵖ ⴰⵔⴰ
Cancel	ⵢⴻⴽⴽⴻⵙ
cancer	ⴰⴽⴻⵏⵙⵉⵔ
capable	ⵢⴻⵙⵄⴰⵏ ⵜⴰⵍⵍⴰⵍⵜ
capacity	ⵜⴰⵣⵎⴻⵔⵜ
capital	ⵜⴰⵎⴰⵖⵜ
caption	ⴰⵣⵡⴻⵍ
capture	ⴹⴹⴼⴻⵖⵯⴷ
car	ⵜⴰⴽⴻⵕⵕⵓⵙⵜ
career	ⴰⵅⴻⴷⴷⵉⵍ
careful	ⵃⴰⴷⴻⵔ
carefully	ⵙ ⵍⴻⵃⴷⴻⵔ
careless	ⵢⴻⵙⵜⴻⵀⵣⴰ
caring	ⴰⵙⴻⵃⴱⵉⴱⴻⵔ
carpenter	ⴰⵎⵉⵙⵖⴰⵔ
carpet	ⵜⴰⵕⴰⴽⵏⴰ
carrot	ⵣⵔⵓⴷⵉⵢⴰ
carry	ⵜⵓⴷⴻⵎⴰ
carry on	ⴽⴻⵎⵎⴻⵍ
carry out	ⵓⵇⵇⴻⵎ
case	ⵜⴰⵎⵙⴰⵍⵜ
cash	ⵉⵅⴻⵍⵍⴻⵚ ⵙ ⵉⴷⵔⵉⵎⴻⵏ
