a	kele
dump	nɔgɔyɔrɔ
duration	don hakɛ
during	kɔnɔna
dust	gwangwan
dust	buguri
duty	diyagoya
dwell	ka sigi
dying	satɔ
Dyula	Julakan
each	kelen kelen
each other	kelen kelen bɛɛ
eager	nata
eagle	sigɛn
eagle	samatasɛgɛ
ear	tulo
earlier	joona
early	joona
earn	tɔnɔ
ears	tulow
earth	dugukolo
earth	dugumakolo
earthquake	dugukoloyɛrɛyɛrɛ
ease	nɔgɔya
easily	nɔgɔman na
east	kɔrɔn
easy	nɔgɔ
easy	nɔgɔman
eat	dumuni kɛ
eating	dumuni
economic	sɔrɔsira
economy	sɔrɔ
edge	dakun
edge	da
edge	dawolo
edit	ka korize
education	ladamuni
education	kalan
effect	nɔɔ
effective	di
effective	duman
efficiency	nɔ kaɲi
efficient	di
efficient	duman
effort	dɛmɛdɛmɛ
effort	seko
egg	fan
eggplant	obɛrizini
ego	yɛrɛkanu
eight	segin
eighteen	tan ni seegi
eighty	biseegi
either	walima
elaborate	dansigi
elbow	nɔnkɔnkuru
elder	kɔrɔcɛ
elder	kɔrɔmuso
elderly	mɔgɔkɔrɔbaw
elegant	buga
element	fɛn
elephant	sama
eleven	tannikelen
eligible	mɔgɔ min o be se k'a wote
eliminate	ka bɔ
else	tugu
embarrassed	maloyara
embarrassing	maloyako
embrace	mɔmɔ
emerge	ka poyi
emerge	ka yira
emergency	kɔrɔtɔ
emotional	nisɔdiya
empathy	hinɛ
emphasis	magwan
emphasize	ka sinsin
employee	baaraden
employees	baarakɛdenw
employer	patɔrɔn
employment	baara
empty	lakolon
enable	min bi se
encounter	kunbɛn
encourage	koɲumanlɔn
encourage	lafarinya
encourage	sinsin
end	a bana
endangered	bɛ faratila
endeavor	cɛsiri
endurance	ko kuli fanga
endure	ka ku
enemy	jugu
energy	kisɛya
engage	maminɛ
engaged	maminɛ
engagement	maminɛli
engine	motɛri
engine	motɛrɛ
engineer	ladilanbaga
English	angilɛkan
enhance	fara a kan
enjoy	ɲanagwɛ
enormous	belebeleba
enough	wasa
enough	fɛrɛ
ensure	fariya
enter	don
entertainment	ɲɛnɛgɛ
enthusiasm	timinandiya
enthusiasm	diyadon
enthusiastic	jarabi
entire	bakuruma
entire	bɛɛ
entitled	min tɔgɔ ye
entity	yɔrɔ
entrance	donda
entrepreneur	sɔrɔbatigi
entrepreneur	jagokɛlaba
envelope	anwulopu
environment	sigiyɔrɔ n'a lamini
envy	nege
epic	poyi
epidemic	bama
equal	bi bɛn
equipment	minanw
equity	kelenya
equivalent	ɲɔgɔn
eraser	jɔsilikɛlan
error	fili
