abandoned	छोड़ल
belly	पेट
belong	होखल
beloved	बेहद प्यारा
below	निच्चे
belt	कमरबंद
bench	बेंच
bend	झुक जाइल
beneath	नीचे
benefits	लाभ
benefit	फायदा
besides	के अलावा
beside	लगे
best of luck	सुभकामना
best regards	आदर के संगे
best	सबसे नीमन
better	बढ़िया
between	बीच में
beverage	पिये वाला सामान
beyond	पार
be	होवे
Bhojpuri	भोजपुरी
biased	पक्षपाती
bias	पक्षपात
bicycle	साइकिल
bid	बोली
big	बड़हन
bike	बाइक
bill	बिल
bind	जिल्द
bird	चिरई
birthday	जनमदिन
bite	कौर
bitter	तीत
bit	कौर
black	करिया
blade	ब्लेड
blame	अछरंग
blanket	कंबल
blank	खाली
blast	विस्फोट
bleach	ब्लीच
blend	मिलावल
blessed	भाग्यवान
bless	आशीष दिहल
blind	आन्हर
bliss	परमानंद
block	खंड
blood	खून
bloom	फलल-फूलल
blow	फूँकल
blue	बूलू
blunt	कुंद
board	बोड
boat	नाव
body	देह
boil	उबाल
bold	हिम्मती
bond	मेलभाव
bone	हड्डी
book	किताब
booster	बूस्टर
boost	बढ़ावा
boots	बूट
boot	जूता
border	सरहद
bored	उबियाइल
bore	सुराख
boring	ऊबन
born	जनम
borrow	उधार मांगल
boss	मालिक
bother	झंझट
both	दूनो
bottle	बोतल
bottom	पेनी
bought	कीनायिल
bounce	उछाल
boundaries	सरहद
bound	विवश
bowl	कचोरी
bow	धनुही
box	बक्सा
boyfriend	प्रेमी
boy	लईका
bracelet	कंगन
brain	दिमाग
branch	साखा
brand	ब्रांड
brave	हिम्मती
breach	उल्लंघन
bread	रोटी
breakfast	नास्ता
break	तोड़ल
breast	छाती
breathe	सांस लिहल
breath	सांस
breed	नसल
brick	ईंट
bride	दुलहिन
bridge	पुल
brief	छोटहन
bright	चटक
brilliant	बहुत खूब
bring	लियाव
broadcast	प्रसारण
broad	चौड़ा भाग
broken	टूटल
broke	टूट गईल
broom	झाड़ू
brother in law	साला
brother	भाई
brought	ले आवल गयिल
brown	भूअर
bro	भाई
brush	कूंची
bucket	बालटी
buddy	संगी-साथी
budget	आमदनी आ खरचा के हिसाब
bug	कीड़ा
building	इमारत
build	निर्माण
built	बनावल गईल
bulk	थोक
bully	धमकावल
bull	सांढ
bump	टक्कर
bunch	गुच्छा
bundle	बेडल
burden	बोझा
buried	दफनावल
burn	जलन
burst	चटख
bury	गाड़ल
bush	झाड़ी
business	कारोबार
bust	तूर दिहल
busy	व्यस्त
bus	बस
butterfly	तितली
butter	माखन
button	बटन
but	लेकिन
buy	किनायिल
bye	बाए
by the way	ओइसे
by	द्वारा
cabbage	गोभी
cabinet	मंत्रिमंडल
cage	पिंजरा
cake	केक
calf	बछड़ा
called	बोलावल गयिल
call me	हमके कॉल करी
call	पुकारल
calm	शांत
came	अईनी हं
campaign	अभियान
Cancel	मना कइ दीं
cancer	कैंसर
can't	नईखी सकत
can	सकिले
capable	काबिल
capacity	क्षमता
capital	पूंजी
caption	शीर्षक
capture	कब्जा
career	करियर
carefully	सावधानी से
careful	सावधान
careless	लापरवाह
caring	देखभाल
carpenter	बढ़ई
carpet	गलीचा
carrot	गाजर
carry on	जारी रखऽ
carry out	अंजाम दिहल
carry	ढोअल
car	कार
case	केस
cash	रोकड़ा
castle	किला
cast	फेंकल
casual	अनौपचारिक
catch	धरीं
category	श्रेणी
cattle	मवेशी
cat	बिलार
caught	पकड़ायिल
cause	कारन
caution	सावधानी
cautious	सर्तक
cave	गुफा
cease	बंद कईल
ceiling	छत
celebrate	जश्न मनावल
cell	कक्ष
center	केंद्र
century	सदी
cereal	अनाज
ceremony	समारोह
certainly	निश्चित रूप से
certain	कुछु
certificate	प्रमाण-पत्र
chain	जंजीर
chair	कुर्सी
challenge	ललकारल
chance	मौका
change	बदलल
chaos	अव्यवस्था
characteristics	विशैषता
character	चरित्तर
charge	चार्ज
charity	दान-पुन्न
charming	आर्कषक
chart	चार्ट
chase	पीछा कईल
chat	बातचित
cheap	सस्ता
cheating	धोखाधड़ी
cheat	धोखाा
check	जाँच
cheek	गाल
cheerful	हंसमुख
cheers	जयकारा
cheer	जयकारा
cheese	पनीर
chemistry	रसायन
cherish	दुलार कईल
chess	शतरंज
chest	सीना
chew	चबाईल
chicken	चूजा
chief	मुख्य
childhood	बचपन
children	बुतरू
child	बच्चा
chill	ठिठुरन
chimneys	चिमनी
chin	ठोड़ी
chocolate	चॉकलेट
choice	पसंद
choose	चुनीं
chop	टुकड़ा-टुकड़ा कईल
chores	ऊबाऊ काम
chubby	गुलफुला
church	गिरजाघर
cinnamon	दालचीनी
circle	वृत्त
circumstances	परिस्थिति
citizen	नागरिक
city	शहर
claim	माॅंंग
clarify	सफाई दिहल
class	कक्षा
clay	चिकना मिट्टी
clean	साफ
clear	साफ
clerk	लिपिक
clever	चँल्हाक
client	ग्राहक
cliff	खड़ा चट्टान
climate	आबोहवा
climb	चढ़ाई
clingy	चिपचिपा
clock	घड़ी
closet	कोठरी
close	बंद करीं
clothes	कपड़ा
cloth	कपड़ा
cloudy	बदरियाईल
cloud	बादल
clown	जोकर
clue	संकेत
clumsy	फूहड़
cluster	झुरमुट
coach	कोच
coal	कोयला
coast	किनारा
coat	कोट
coffee	कॉफी
cognitive	संज्ञानात्मक
coincidence	संजोग
cold	ठंढा
collapse	ढहल
collar	गिरेबान
colleagues	संगे काम करे वाला लोग
colleague	संगे काम करे वाला
collection	संग्रह
collect	इकट्ठा करऽ
college	कालेज
colorless green ideas slept furiously	बेरंग हरियर विचार गुस्सा होका सुत गईल
color	रंग
colour	रंग
column	खंभा
combination	संयोजन
combine	जोड़ल
comb	कंघी
come here	एहिजा आवऽ
come on	अरे आवऽ
come	आईं
comfortable	आरामदेह
comfort	आराम
coming soon	जल्दी आ रहल बा
coming	आवतानी
command	आदेश
comment	टिप्पणी
commercial	व्यावसायिक
commission	आयोग
commitment	वादा
committed	समर्पित
commit	बंध गईल
commodity	माल
common	साधारण
communicate	बातचीत कईल
communication	संचार
community	बेरादरी
commute	पहिनल
companion	संगी-साथी
company	कंपनी
compare	तुलना
comparison	तुलना
compassionate	दयालु
compassion	दया
compatible	अनुकूल
competent	सक्षम
compete	मुकाबला कईल
competition	होड़
competitive	प्रतिस्पर्धात्मक
complaint	सिकायत
complain	सिकायत
complement	पुराव
completely	पूरा तरह से
complete	पूरा करीं
complex	जटिल
compliance	बात मानल
complicated	जटिल
compliment	प्रशंसा
comply	पालन करीं
composition	संरचना
compound	हाता
comprehension	समझ-बूझ
comprehensive	व्यापक
compromise	समझौता करऽ
compulsory	अनिवार्य
computer	कंपूटर
concentrate	ध्यान कैंद्रित कईल
concept	संकल्पना
concerned	परवाह
concern	चिंता
concert	कंसर्ट
conclusion	अंतिम बात
concrete	ठोस
conditions	हालात
condition	हालत
conduct	चाल चलन
conference	सम्मेलन
confess	स्वीकार कईल
confidence	बिस्वास
confident	बिस्वास
confirm	पक्का कयिल
conflict	टकराव
confused	अउँजियाइल
confusion	उलझन
congrats	बधाई
congratulations	बधाई
congratulation	बधाई
conjunction	संयोजन
connect	जुड़ीं
conquer	जीत हासिल कईल
consciousness	चेतना
conscious	सचेत
consent	सहमत
consequences	नतीजा
conservation	संरक्षण
conservative	रुढ़िवादी
considered	बिचार कयिल गयिल
consider	मथल
consistency	संगतता
consistent	एक जईसन
consist	बनावट
constantly	लगातार
constant	स्थिर
constipation	कब्ज
construction	निर्माण
consume	खपत कईल
consumption	खपत
contact	संपर्क
contagious	छुतहा
contains	सामिल बा
contain	सामिल कईल
contemporary	समकालीन
contempt	निंदा
content	सामग्री
contest	प्रतियोगिता
context	प्रसंग
continent	महाद्वीप
continue	चालू रखीं
contract	ठेका
contrast	फरक देखावल
contribute	जोगदान कयिल
contribution	योगदान
control	नियंत्रण
controversial	विवादास्पद
convenience	सुविधा
convenient	सुबिधाजनक
conversation	बतकही
convert	रूप बदल
convey	सूचित कईल
convinced	कायल
convince	राजी कईल
cooking	खाना बनावल
cook	खाना बनावल
cool	ठंढा
cooperation	सहयोग
cope	सामना कईल
copper	तांबा
core	मरम
corner	कोना
corn	मकई
correct	सही
costume	पोशाक
cost	दाम
cottage	झोंपड़ी
cotton	रूई
couch	सोफा
cough	खांसी
could	सकिले
council	परिषद
counter	काउंटर
countryside	गवंई इलाका
country	देश
count	गिनती
couple	जोड़ा
courage	हिम्मत
course	कोर्स
courtesy	सौजन्य
court	अदालत
cousin	चचेरा
cover	ढँकल
coward	डरपोक
cow	गाय
cozy	आरामदायक
crab	केकड़ा
crack	दरार
craft	कारीगरी
crap	बकवास
crash	दुर्घटना
craving	चाह
crawl	धीरे धीरे चलल
crazy	सनकी
create	बनावल
creative	रचनात्मक
credit	करज
creepy	रेंगे वाला
creep	रेंगना
crew	चालक दल
crime	अपराध
cringe	घिघियाइल
crisis	संकट
criteria	मानदंड
critical	समालोचनात्मक
criticism	आलोचना
crops	फसल
crop	फसल
cross	पार कईल
crowded	भीड़भाड़ वाला
crowd	भीड़
crown	मुकुट
crow	कऊआ
crucial	बहुते जरूरी
cruel	निरदयी
cruise	क्रूज
crush	मसलल
cry	रोआई
cucumber	खीरा
cuddle	छाती से लगावल
culture	चलन
cunning	धूर्त
cupboard	अलमारी
cup	कप
curb	नियंत्रण
cure	रोगमुक्ति
curfew	कर्फ्यू
curiosity	कुछ जाने के इच्छा
curious	उत्सुक
curly	घुंघराला
currency	मुद्रा
currently	अभी
current	अबही
curse	सराप
curtain	परदा
cushion	तकीया
customer	गहकी
customs	सीमाशुल्क
custom	रिवाज
cute	सुंदर
cut	काट दियाइल
cycle	साइकिल
cycling	साइकिल चलावल
daddy	बाबूजी
dad	बाबूजी
daily	रोज
dairy	डेयरी
damage	नुकसान
damn	सराप
damp	नम
dam	बांध
dance	नाच
dangerous	खतरनाक
danger	खतरा
dark	अन्हरिया
darling	जानू
dash	पानी का छींटा
data	आंकड़ा
date	तारीख
daughter	बेटी
day	दिन
deadline	समय-सीमा
dead	मरल
deaf	बहिर
deal	सौदा
Dear All	सब केहू
Dear Customer	प्रिय गाहक
Dear Parents	प्रिय अभिभावक
Dear Sir	प्रिय महोदय
Dear students	प्रिय छात्र
Dear Team	प्रिय टीम
dear	प्रिय
death	मऊगत
debate	बहस
debit	नामे
debris	मलबा
debt	कर्ज
decade	दशक
decay	सड़न
deceased	मृतक
deceive	धोखा दिहल
december	दिसम्बर
decent	सुघर
decided	निहचित
decide	फैसला कईल
decision	फैसला
deck	डेक
decline	मना क दिहल
decrease	घटाईं
dedicated	समर्पित
dedication	समर्पण
deed	बैनामा
deep	गहिर
deer	हरिन
default	बाकी
defeat	हराईं
defend	रक्षा कईल
define	परिभाषित करीं
definitely	बिल्कुल
definition	परिभाषा
degree	डिग्री
delayed	देर से
delay	देरी
delete	हटाईं
deliberate	सोच-विचार के कईल
delicate	नाजुक
delicious	स्वादिस्ट
delighted	प्रसन्न
delight	खुसी
delivered	पहुंची देहनी
delivery	बच्चा दिहल
deliver	सौंपल
demanding	जादा काम चाहल
demand	मांग
democracy	लोकतंत्र
demonstrate	कुछ देखावल
demon	रोक्षस
denied	मना कईल
density	घनत्व
dentist	दांत के डॉक्टर
deny	मना
department	विभाग
departure	रवाना भईल
depend	आश्रित
deploy	तौनाती
deposit	जमा
depressed	अवसादग्रस्त
depression	अवसाद
depth	गहराई
describe	वर्णन कयिल
description	बिबरन
desert	रेगिस्तान
deserve	लायक
designation	पदनाम
design	डिजाइन
desire	मनकामना
desk	मेज
despair	निराशा
desperate	खिसियाह
despite	एकरा बावजूद
dessert	खाना के अंत में परोसल जाए वाला मिठाई
destination	ठिकाना
destiny	भाग्य
destroy	नष्ट कईल
destruction	विनाश
details	विवरण
detail	ब्योरेवार
detect	पता लगावल
determination	पक्का निश्चय
determined	मन पक्का क लिहल
determine	तय करीं
devastated	तहस-नहस
developed	विकसित
development	बिकास
develop	बिकास
device	जंतर
devil	शैतान
devoted	समर्पित
Dhivehi	दिवेही
diabetes	मधूमेह
diarrhea	दस्त
diary	डायरी
dictionary	शब्दकोश
did	कयिल गयिल
died	मर गईले
diet	आहार
die	मरल
difference	अंतर
different	अलग
difficult	अलटाह
dignity	इज्जत
dig	खोदल
diligent	मेहनती
dinner	रात के खाना
dip	गोता
direction	दिशा
director	निर्देशक
direct	सीधा
dirty	गंदा
dirt	गंदगी
disabled	विकलांग
disable	विकलांग
disappear	गायब
disappointed	उदासल
disaster	विपत्ति
discard	रद्द कईल
discharge	स्राव
discipline	अनुशासन
discount	छुट
discover	खोज निकालल
discrimination	भेदभाव
discussion	विचार-विमर्श
discuss	बतियावल
diseases	रोग
disease	बेमारी
disguise	स्वांग
disgusting	घिनौना
dishes	बरतन
dish	बरतन
dismiss	खारिज
dispatch	रवानगी
display	देखावऽ
disposal	निपटान
dispute	विवाद
distance	दूरी
distinct	अलग
distinguish	फरक देखावल
distress	संकट
distribution	वितरण
district	जिला
disturb	परेशान
ditch	खाई
diverse	विविध
diversity	विविधता
dive	डुबकी
divide	बाँटल
divine	दिव्य
divorce	तलाक
dizzy	सिर घुमल
doctor	डाक्टर
document	दस्तावेज
doesn't	नईखे
does	काम कयिल
Dogri	डोगरी
dog	कुकुर
doing	काम
doll	गुड़िया
domain	डोमेन
domestic	घरेलू
dominant	प्रमुख
donate	दान कईल
done	हो गईल
donkey	गदहा
Don't worry	चिंता मत कर‍ऽ
don't	मत करऽ
dope	नशीला दवा
double	दुगुना
doubt	शक
dough	लोई
download	डाउनलोड करीं
down	नीचे
do you love me	का तू हमसे प्यार करेलू
do you	का रऊआ
do	करीं
draft	मसउदा
drag	खींचल
drain	नाली
drama	नाटक
drawer	दराज
drawing	चित्रकारी
draw	खींचीं
dread	खौफ
dream	सपना
dress	पहिनावा
drill	कवायद
drink	पियल
drive	गाड़ी चलावऽ
dropped	गिरल
drop	गिरल
drought	सूखा
drunk	नशा में
dry	सूखल
duck	बत्तख
dude	छोकड़ा
due to	एकरा चलते
due	बकाया
dull	सुस्ताह
dumb	गूंग
dump	घूरा
duration	अवधी
during	ओही समय
dust	धूल
duty	डिउटी
dwell	बसल
dying	मौत
each other	एक दूसरा से
each	एकएक गो
eager	उत्सुक
eagle	बाज
earlier	पहिले
early	सेकराहे
earn	कमाइल
ears	कान
earthquake	भूकंप
earth	धरती
ear	कान
ease	आराम
easily	आसानी से
east	पूरब
easy	आसान
eating	खाईल
eat	खाईं
economic	किफायती
economy	अर्थबेवस्था
edge	कोर
edit	संपादन कईल
education	पढ़ाई
effective	असरदार
effect	प्रभाव
efficiency	क्षमता
efficient	माहिर
effort	कोशिश
eggplant	बैंगन
egg	अंडा
ego	अहंकार
eighteen	अठारह
eighty	अस्सी
eight	आठ
either	कऊनो
elaborate	विस्तार से कहऽ
elbow	कोहनी
elderly	बुजुर्ग
elder	बड़
elegant	सुरूचिपुर्ण
element	तत्त्व
elephant	हाथी
eleven	एगारह
eligible	योग्य
eliminate	हटावल
else	नाहीं त
embarrassed	लाज लागल
embarrassing	संकोची
embrace	गले मिलल
emergency	आपातकाल
emerge	उभरल
emotional	भावुक
empathy	समानुभूति
emphasis	जोर डालल
emphasize	जोर डालऽ
employees	कर्मचारी
employee	करमचारी
employer	नियोक्ता
employment	रोजगार
empty	खाली
enable	सक्षम करीं
encounter	मुठभेड़
encourage	हिम्मत दिहल
endangered	लुप्तप्राय
endeavor	परयास
endurance	धीरज
endure	टिके रहल
end	समाप्त करीं
enemy	दुश्मन
energy	ऊर्जा
engaged	बाझल
engagement	जुड़ाव
engage	काम पर लगावल
engineer	इंजीनियर
engine	इंजिन
English	अंगरेजी
enhance	बढ़ावल
enjoy	मजा
enormous	बिसाल
enough	बहुते
ensure	पक्का कयिल
entertainment	मनोरंजन
enter	घुसऽ
enthusiasm	उत्साह
enthusiastic	उत्साही
entire	सगरे
entitled	हकदार
entity	संस्था
entrance	प्रवेश
entrepreneur	उद्यमी
envelope	लिफाफा
environment	वातावरण
envy	तोहके ईयाद करीले
epic	महाकाव्य
epidemic	महामारी
equal	बराबर
equipment	औजार
equity	हिस्सेदारी
equivalent	समकक्ष
eraser	मेटावे वाला
error	त्रुटि
escape	साफ बचि के निकल गयिल
especially	खासकर
essay	निबंध
essence	सार
essential	जरूरी
established	स्थापित
establish	स्थापित करीं
estate	जायदाद
estimated	अनुमानित
estimate	आकलन
etc	आदि-आदि
eternal	अविनाशी
ethics	आचार-विचार
evaluate	मूल्याकंन
evaluation	मूल्यांकन
evening	सांझि
even though	भले ही
eventually	अंत में
event	कार्यक्रम
even	तब्बो
everybody	हर केहू
everyone	सभ कोई
everything	हर चीजु
every	हरेक
ever	हमेशा
evidence	सबूत
evil	बुराई
evolution	क्रमिक विकास
evolve	विकसित कईल
Ewe	एवै
exactly	एकदम
exact	सटीक
examine	परीछा
example	उदाहरण
exam	परीच्छा
exceed	पार क गईल
excellent	बहुत नीमन
exception	अपवाद
except	के छोड़ि के
excessive	काफी जादा
excess	अधिक
exchange	लेनदेन
excited	जोश में
excitement	उत्साह
exciting	रोमांचक
exclusive	एकमात्र
excuse me	माफ करेबि
excuse	क्षमा
execute	निष्पादित करीं
execution	अमल
executive	कार्यकारी
exercise	वर्जिश
exhausted	थाकल
exhaust	निकास
exhibition	प्रदर्शनी
exhibit	प्रदर्शनी
existence	अस्तित्व
existing	मौजूदा
exist	जिन्दा
exit	निकास
expand	बढ़ावऽ
expected	अपेक्षित
expect	अनुमान
expenses	खरचा
expensive	महँग
experience	अनुभव
experiment	प्रयोग
expert	विशेषज्ञ
expired	समय-सीमा खतम बा
explain	बिस्तार से बतावल
explanation	व्याख्या
exploit	शोषण
explore	पता लगाव
export	निर्यात
exposed	उजागर
expose	उजागार कईल
exposure	खुलासा
expression	अभिव्यक्ति
express	आपन बात राखल
extended	बढ़ावल
extend	बढ़ावल
extension	बढ़ावल
extent	हद
external	बाहरी
extinct	दुर्लभ
extract	निचोड़
extraordinary	असाधारण
extra	अतिरिक्त
extremely	अत्यंत
extreme	चरम
ex	भूतपूर्व
eyes	आंख
eye	आँख
fabric	कपड़ा
fabulous	सानदार
face	चेहरा
facilitate	सहज बनावल
facilities	सुविधा
facility	सुविधा
factory	कारखाना
factor	कारक
facts	तथ्य
fact	तथ्य
fade	मुरझाईल
failed	असफल
failure	असफल
fail	फेल
faint	मूर्छा
fairly	पर्याप्त
fairy	अप्सरा
fair	सुंदर
faithful	वफादार
faith	भरोसा
fake	नकली
fall	गिरल
false	गलत
fame	प्रसिध्दि
familiar	परिचित
family	परिवार
famine	अकाल
famous	नामी
fancy	फैंसी
fantastic	सानदार
fan	पंखा
farewell	बिदाई
farmer	किसान
farm	खेत
far	ओहटा
fascinating	जियरा के लुभावे वाला
fashion	फैशन
fast	तेज
fatal	घातक
fate	तकदीर
father	बाप
fatigue	थकाहट
fat	मोट
fault	दोष
favorite	मनजोग
favourite	पसंदीदा
favour	एहसान
fear	भय
feast	दावत
feather	पंख
features	विशेषता
feature	चेहरा-मोहरा
february	फरवरी
fed up	थकल
feedback	प्रतिक्रिया
feed	खाना खियावल
feeling	अनुभव
feel	महसूस करीं
feet	गोड़
fee	शुल्क
fellow	संगी-साथी
fell	गिर गईल
felt	महसूस भईल
female	मेहरारू
fence	बाड़
fertile	उपजाऊ
festival	परब-त्यौहार
fetch	निकालल
fever	जर बोखार
fewer	कम
few	तनी
fiance	मंगेतर
fiction	काल्पनिक कहानी
field	खेत
fierce	आग-बबूला
fifteen	पंदरह
fifty	पचास
fighting	मार-पिटाई
fight	मारामारी
figure out	हिसाब लगावल
figure	डौल
file	फाइल
filled	भरल
fill	भरल
film	फिलिम
filthy	गंदा
finally	अंत में
finance	आमदनी
financial	माली
find out	पता लगाईं
find	पावल
fine	नीक
finger	अंगुरी
finished	खतम करीं
finish	खतम करीं
fire	आगि
firm	कंपनी
first name	पहिला नांव
first	पहिला
fish	मछरी
fit	फिट
five	पाँच
fixed	तय
fix	ठीक करऽ
flag	झंडा
flash	चौंध
flat	चापुट
flawless	दोषरहित
flaw	खोट
flee	फरार भईल
flesh	गूदा
flew	उड़ गईल
flexible	लचीला
flex	मोड़ल
flight	उड़ान
flip	पलटी
flirting	छेड़खानी
flirt	इशकबाजी
float	डोंगा
flood	बाढ़ि
floor	फर्श
flour	आटा
flower	फूल
flow	बहाव
fluently	बेधड़क
fluent	बेधड़क बोले वाला
fluffy	भुलक्कड़
fluid	तरल
flu	बुखार
fly	उड़ल
focus	ध्यान
foggy	धुंधला
fog	कोहरा
fold	तह कईल
folks	ईयार
following	चेला
follow up	जाँच कईल
follow	पीछे पीछे चलल
food	खाना
foolish	मूरख
fool	मूरख
football	फुटबॉल
foot	गोड़
forbidden	निषिद्ध
force	बल
forecast	पूर्वानुमान
forehead	माथा
foreign	बिलायती
forest	जंगल
forever	हरमेशा खातिर
