Un	a
ti'istok nopano	are you there
tlskuikui	area
kualantlikayotl	argue
kamalistli	argument
kueponi	arise
akolmaitl	arm
yoatltekemej	army
tlen iyaloj	around
senkaua	arrange
tlayektilistli	arrangement
asikoli	arrival
asik	arrive
asiko	arrived
omeyolo	arrogant
mitl	arrow
toltekayotl	art
ijtoli	article
tlatotelkauili	artificial
toltekatl	artist
kejatsa	as
ijkuak	as long as
nojkia	as well
tlen kuali kejatsa	as well as
nextli	ash
pinauali	ashamed
tlatlani	ask
tlatlanki	asked
kochtok	asleep
katsa nesi	aspect
Assamese	Assamese
tlaixtekili	assault
ensamblar	assembly
kiaxiltili	assertive
ilnamikamatl	assess
ilnamikamatl	assessment
aini	asset
aini	assets
temamaka	assign
semiluitekitl	assignment
ita	assist
tepantilo	assistant
achiuikal	associate
nechikoli	associated
nechikolistli	association
tlejkoliya	assume
nijtlaliyaya	assumption
in	at
maske kentsi	at least
tlakuajki	ate
painalton	athlete
titlalis	attach
on titlania	attached
nitlaliya	attachment
tkauilanketl	attack
keloa	attempt
ixiptlati	attend
tlen asiko	attendance
tlayeuakilistli	attention
tetsauil	attitude
tlamatlaluiya	attract
tlatlakuoilini	attraction
senka yeyejtsi	attractive
tenamaktli	attribute
poualtlajtoli	audience
agosto	august
aui	aunt
aui	aunty
autentico	authentic
autor	author
tlanauatikame	authority
tonalko	autumn
eltoj titekiuis	available
tlen tkajko elij	average
axtikauilis	avoid
isatok	awake
tetlautili	award
tlailnamiktok	aware
inonemilis	awareness
kalteno	away
kuali yeyejtsi	awesome
fiero	awful
iaxkualistok	awkward
Aymara	Aymara
pilkonetsi	baby
siuatlanki	bachelor
ijka	back
antecedentes	background
tlanaui	bad
xikiplitontli	bag
cebo	bait
ijsi	bake
pantsichiuayan	bakery
bicarbonato de sodio	baking soda
Tomi mokaua	balance
tlachtli	ball
Bambara	Bambara
kuaxilotl	banana
uampoyomej	band
tlatopontli	bang
tominkali	bank
oknankali	bar
sanok	barely
achinijtemouiya	bargain
tllauaja	bark
tlauli	barley
tlatsakuili	barrier
neluayotl	base
tlinkatsa	based
tolkaltsintla	basement
moneki	basic
basicamente	basically
albahaca	basil
tepalkonetl	bastard
tlalkaltsi	batch
axixkali	bath
kuitlakali	bathroom
batería	battery
nekalilistli	battle
anepalko	bay
elij	be
ximomaljui	be careful
xaltentli	beach
tlauil tlapetlantli	beam
etl	beans
ni ijiyouiya	bear
tentsontli	beard
yelistli	bearing
tekuani	beast
tlauiuika	beat
Kualualtsi	beautiful
nematini	beauty
nimokuepki	became
paratle	because
kueptok	become
tlapechtli	bed
kochiuayan	bedroom
neksayoli	bee
nakatl	beef
sido	been
achichik	beer
achtui	before
pejki	began
peuas	begin
pejtli	beginning
tlen tla makaua	behalf
yelia	behave
katsa nenemilis	behavior
katsamochiua	behaviour
ne ika	behind
eltoj	being
neltokokayotl	belief
temactli	believe
ijti	belly
axkaitl	belong
tlasojtli	beloved
tlatsintla	below
pitsauautli	belt
ikpali	bench
kualpachoa	bend
intsintlan	beneath
teiknekilistli	benefit
teiknekilistli	benefits
sansejko in	beside
nojkia	besides
senka	best
miyak itonali	best of luck
tlenkikuilo	best regards
osenka	better
xoloxtli	between
tlaili	beverage
achi ne	beyond
Bhojpuri	Bhojpuri
tetlapalnsuilistli	bias
sesgado	biased
omemalakatl	bicycle
tlatomintemoli	bid
ueyi	big
omemalakatl	bike
postektli	bill
ilpia	bind
tototl	bird
pakilis itonaltlakatki	birthday
pilkentsi	bit
tlankechili	bite
chichik	bitter
yayauik	black
xiuitl	blade
tlajtlakoli	blame
in chipauak	blank
tlakemitl	blanket
tlatopontli	blast
tlachipauili	bleach
tlaneloa	blend
tlatiochiuali	bless
teotiochiuali	blessed
axtlachiya	blind
pakilistli	bliss
nopanoyiya	block
estli	blood
xochitl	bloom
tlaajapeua	blow
matlaltik	blue
axtlateki	blunt
uapali	board
tepoxkaxil	boat
nakayotl	body
moloni	boil
apinauani	bold
mekatl	bond
omitl	bone
amoxtli	book
piui	boost
ual tlapaleuiya	booster
kaktli	boot
kaktli	boots
kalixkuatl	border
atlauinani	bore
kuesiui	bored
tlatsiuili	boring
elki	born
tlaneltili	borrow
tlanauatijki	boss
ojome	both
tlaajasi	bother
teuilospastli	bottle
sentlani	bottom
nikokjki	bought
tempixoa	bounce
tlatsoyitili	bound
kualixkuatl	boundaries
pachoa	bow
tazón	bowl
kalotl	box
telpokatl	boy
tlaixnamik	boyfriend
makistli	bracelet
kuayolotl	brain
seyok amatlakuilokan	branch
tekineskayotl	brand
kolotik	brave
infracción	breach
pantsi	bread
siakauilis	break
tenisalistli	breakfast
elpantli	breast
tlaiyotilana	breath
tlaiyotilantli	breathe
mekayotl	breed
xamixtli	brick
noaxka	bride
panotlaokan	bridge
achik	brief
Tlapetlantli	bright
tlapetlantli	brilliant
ualika	bring
ijni	bro
patlantik	broad
transmisión	broadcast
postektok	broke
tsayantok	broken
tlaxpanotl	broom
ijni	brother
kompa	brother in law
koyoyomitl	brought
poktik	brown
tlaixpetlaua	brush
teposkaxil	bucket
uampo	buddy
istlapoaloni	budget
ilamaokuilin	bug
kalchiuani	build
uekapanksli	building
tlakestli	built
tlamamali	bulk
okichuajka	bull
tlaajasi	bully
tlaluitekilistli	bump
sempcholi	bunch
tlamamali	bundle
tlamama	burden
kijtokeya	buried
tlatla	burn
topontli	burst
toka	bury
ueyiteposkauayo	bus
kuautontli	bush
kaltlanamakaketl	business
tetltlaixkopinka	bust
motekipachoa	busy
pero	but
kuakuauaseseyotl	butter
papalotl	butterfly
boto N\A	button
coui	buy
uajka	by
uan nojkia	by the way
ti moitase	bye
kiltektli	cabbage
tekiuejmej	cabinet
teposkali	cage
nekuyopantsin	cake
kotstli	calf
tsanonotsalistli	call
xinechnotsa	call me
nonotski	called
seseuili	calm
uslajki	came
campaña	campaign
tepostkajtli	can
axniueli	can't
tlatiluauani	Cancel
temalotl	cancer
uelitini	capable
tlen uelij	capacity
altepetepantlajtokan	capital
piltlakuiloli	caption
matilistli	capture
teposkauayo	car
ijisiulti	career
netlakuitlauini	careful
ikalmaluili	carefully
yolokimalo	careless
tlasojtli	caring
kuauxinki	carpenter
palpetlatl	carpet
kaxtilkamojtli	carrot
kiuika	carry
tepostoka	carry on
tijukas tlanauatiketl	carry out
tlajkia	case
tomi	cash
tetatlxexeuilistli	cast
kaxtilkali	castle
atenamachpan	casual
misto	cat
itski	catch
categoría	category
kkyakuapialmej	cattle
kiski	caught
pejki	cause
icamanajuili	caution
precavido	cautious
ostotl	cave
cesar	cease
eljuikak tlakakayali	ceiling
iljuitl	celebrate
yolisatichitontli	cell
tlajtlajko	center
poualxiuilistli	century
cereal	cereal
ijtotl	ceremony
nelia	certain
nelnelia	certainly
yolnankili	certificate
teposmekatl	chain
ikpali	chair
ouilistli	challenge
inmanyotl	chance
patlas	change
tlaxitinilia	chaos
ajkaya maseual	character
kejatsa ekij	characteristics
tekitiya	charge
ikneliyotl	charity
tlaxochiuilistli	charming
nautlateuili	chart
atlakamachtili	chase
tlakamauili	chat
axpatiyo	cheap
tlakakayaua	cheat
netlakanekolistli	cheating
amatltlaxtlauili	check
kamapantli	cheek
yolomajka	cheer
paki	cheerful
kuatsatsitlapaleuili	cheers
tlatetsauili	cheese
paleyislotl	chemistry
mauilotsi	cherish
kuapatoli	chess
ixpa	chest
tlakuajka	chew
piyo	chicken
tlanauatiketl	chief
konetsa	child
koneyotl	childhood
konemej	children
tlasesekayotl	chill
popokalkisani	chimneys
tenchali	chin
chokolatl	chocolate
tlapepenali	choice
tlatemoli	choose
tlatejteki	chop
tekiotl	chores
tomaktik	chubby
teokali	church
auiyakpopotli	cinnamon
malakachtli	circle
panoj tlamantli	circumstances
altepetlakatl	citizen
ueyialtepetl	city
tlateluili	claim
tlauiya	clarify
machtiyotl	class
tsokitl	clay
chikuentli	clean
tlaauilo	clear
tlen tlanamaka	clerk
isnamiketl	clever
tlajkoketl	client
tepixiuiyo	cliff
tlaliskayotl	climate
tlaxoxotlali	climb
kinamiki	clingy
tonalmachiotl	clock
nechka	close
kuautilmakali	closet
yoyomitl	cloth
yoyomitl	clothes
mixtli	cloud
tlamixtemi	cloudy
nenexolotl	clown
kualojtli	clue
tsotsonak	clumsy
clúster	cluster
tlamaxtiketl	coach
tlikoli	coal
anauatl	coast
netlakentilistli	coat
maluili	coffee
cognitivo	cognitive
tijmopantijke	coincidence
sesek	cold
uetski	collapse
kostli	collar
uampo	colleague
uampoyomejtekitini	colleagues
pixkalistli	collect
semanalistli	collection
ueitlamachtikalko	college
tlapaktli	color
Las ideas verdes incoloras duermen furiosamente	colorless green ideas slept furiously
tlapaktli	colour
temimili	column
xiluiya	comb
tlamaneloa	combination
tlamaneli	combine
ualaj	come
xiuala nika	come here
tiyuii	come on
kochsikaualistli	comfort
kualisiyakajtok	comfortable
nenechka	coming
nexkaya	coming soon
nauatini	command
nokamanali	comment
tlakoyan	commercial
tlaxtlauili	commission
techiuili	commit
motemaka	commitment
tetechtlakautli	committed
siajkakuchilistli	commodity
axkatl	common
tlamatilistli	communicate
machiyopanolistli	communication
nepetlantikayotl	community
nenemilis tipan tekitl	commute
uampo	companion
ueyitekimakani	company
tlaneneuili	compare
tlaneneuilistli	comparison
iknoakayotl	compassion
tlaijnelia	compassionate
compatible	compatible
mokuenta	compete
ixkomalistli	competent
ixkomalistli	competition
ixkonmakayotl	competitive
tena	complain
kauaj	complaint
axiltili	complement
piuili	complete
sententika	completely
nejneliaoui	complex
kaua	compliance
ouili	complicated
axili	compliment
axitiya	comply
amatlakuiloli	composition
tlalilijtok	compound
iknomatilistli	comprehension
axiltok	comprehensive
yolkamanalmaka	compromise
telsoyalistilistli	compulsory
chiupoualuastli	computer
concentrarse	concentrate
ki'itosneki	concept
tlapololtia	concern
mokuesoli	concerned
tetoskanamiklistli	concert
tlamilistli	conclusion
temachtli	concrete
yun	condition
condiciones	conditions
mekamay	conduct
tlakamanalistli	conference
yolmelaua	confess
temaxtli	confidence
tikamauilis	confident
nisenkauas	confirm
kualantlikayotl	conflict
ixkuepa	confused
tentsakualistli	confusion
kisenpakayotl	congrats
pakilistli	congratulation
pakilistli	congratulations
iuanistli	conjunction
olmekatl	connect
peuamatoma	conquer
kiixmachiliya	conscious
neyoliximalistli	consciousness
tetlauelkakilistli	consent
tlamispantilis	consequences
tlachiualistli	conservation
tlachiuali	conservative
noyolnonotsa	consider
neyononotsali	considered
consistir	consist
consistencia	consistency
teixnamikini	consistent
yolotlapaltik	constant
yotlapaltik	constantly
tletokoltilistli	constipation
tlachichiuali	construction
sentlamia	consume
tlen nimokauiya	consumption
tetsinuiliya	contact
temaua	contagious
ixchiya	contain
tlenkipixtok	contains
amanok	contemporary
yolispacholi	contempt
tlen kipiya	content
ixkomakalistli	contest
contexto	context
ueytlapan	continent
tepostoka	continue
tlakeuali	contract
contraste	contrast
Tominpalewilistli:	contribute
tomitlapaneuili	contribution
control	control
tlakualantli	controversial
neltokayotl	convenience
neltokayotl	convenient
kamanaloa	conversation
mokuepa	convert
kamanali	convey
ejeleki	convince
elekili	convinced
tlakualchiuali	cook
tlakualchiualoyan	cooking
selik	cool
tlaixtlauili	cooperation
sempapano	cope
amochitl	copper
tlajtlajko	core
sintli	corn
kalnakalistli	corner
melauak	correct
ipati	cost
koyoyomitl	costume
xakali	cottage
ichkatl	cotton
sillón	couch
Tlatlasi	cough
ueliskiaj	could
necentlalistli	council
konde	count
i'ixko	counter
mexkotlali	country
ixtlauak	countryside
sansejko	couple
patiyotl	courage
tlamaxnextili	course
tlatlalislatokan	court
nematkayotl	courtesy
machijkni	cousin
ixpachoa	cover
uakax	cow
amotlapaltik	coward
yolchankayotl	cozy
atekuistli	crab
tlaltlapajktli	crack
ijkimailchiuali	craft
kuitlatl	crap
kalani	crash
kixtoka	craving
manenemi	crawl
yolopoluiki	crazy
kichiua	create
nextilistli	creative
Tomintlanetilistli:	credit
mouatana	creep
espeluznante	creepy
tepostekitini	crew
tlatlajkoli	crime
tlapenaualti	cringe
crisis	crisis
ixkoyotl	criteria
popoua	critical
tlapinatiya	criticism
tlapixkayotl	crop
tlaxpilkayotl	crops
kuatolo	cross
kakalotl	crow
sentilismaseualmej	crowd
temouak	crowded
kopili	crown
tlauel moneki	crucial
atlakayotl	cruel
panoayan	cruise
miyakej	crush
chokolistli	cry
ayoxoxoukatl	cucumber
tekochili	cuddle
ueuetlajtoli	culture
tlachialiani	cunning
apiloli	cup
kuautlauankali	cupboard
tlatentli	curb
tlachikauali	cure
tlapitsali axkisa	curfew
tlanematkachiualistli	curiosity
tlanematkachiuani	curious
kolotsin	curly
tepostomi	currency
amanok	current
amanok	currently
akualitilistli	curse
tokapantli	curtain
kuachikpali	cushion
tlamanatilistli	custom
tlakoketl	customer
kualuxkuakali	customs
teeki	cut
yeyejtsi	cute
youaltiketl	cycle
omemakani	cycling
tata	dad
tatatsi	daddy
momostlatika	daily
lechiualayo	dairy
apatlikuiuayan	dam
itlakoa	damage
tlatelchiualistli	damn
kuachauastli	damp
mitotilistli	dance
ouilistli	danger
maluili	dangerous
yayauik	dark
teijnelsi	darling
guion	dash
tonaliistoke	data
tonali tistoke	date
nosiuakone	daughter
tonal	day
mijtok	dead
tonal tlami	deadline
axtlakaki	deaf
timokaua	deal
non poui	dear
mauiloki	Dear All
kuali tlakoketl	Dear Customer
maluiloki tatamej	Dear Parents
maluiloki	Dear Sir
maluiloki temachtiamej	Dear students
maluiloki uampoyomej	Dear Team
mikilis	death
kamamoiluiya	debate
débito	debit
mokajki	debris
tlauika	debt
matlaktli xiutl	decade
palantok	decay
mijktok	deceased
tlakakayaua	deceive
diciembre	december
kualmaceual	decent
tlapepena	decide
ninejki	decided
tlanekilistli	decision
mazo	deck
exelistli	decline
temoili	decrease
itechpoani	dedicated
kichiuiliya	dedication
tlajkuilolistli	deed
sentlakoyauak	deep
masatl	deer
in tlapilchaualistli	default
yoatlapolojke	defeat
mamauiya	defend
kejtsa	define
keni mokauas	definitely
tlanesemixnauali	definition
tlen tlamaxtili tiyaj	degree
mokajtok	delay
mojkatok	delayed
kotona	delete
deliberado	deliberate
nematkatili	delicate
ajuiyak	delicious
pajktia	delight
tlaxochiuili	delighted
temaka	deliver
temakak	delivered
kauiltili icha	delivery
tlateluili	demand
itstlakauiya	demanding
tlajkatlatokayotl	democracy
tlakatekolo	demon
nextiliya	demonstrate
amonijmati	denied
tonali	density
tlankopinani	dentist
amonijmati	deny
chankali	department
kisalistli	departure
kenijkatsa	depend
tlasoua	deploy
tetlakakaua	deposit
anonotsalani	depressed
axueli tlaiyontilana	depression
uejkatlaya	depth
keni elij	describe
kejatsa	description
tlauajkapanixtlauak	desert
niseliya	deserve
nextiyotl	design
tekikajketl	designation
nekiskia	desire
akopechtli	desk
ijiyomijki	despair
motlaluelpoloani	desperate
maske axkeni	despite
tekualualistli	dessert
tonali asis	destination
tonali	destiny
tlaixpoloua	destroy
tlapouilistli	destruction
detalle	detail
kenijatsa	details
tlamachili	detect
tlaselmiluilistli	determination
tlamiyali	determine
determinado	determined
pisili	devastated
moskaltik	develop
tomoskaltia	developed
mochichiuali	development
tlamantli	device
tlakatekolotl	devil
neltokani	devoted
Dhivehi	Dhivehi
tlatsopelkokolistli	diabetes
mapitsa	diarrhea
nochipa	diary
tlajtolamoxtli	dictionary
chijki	did
mikistli	die
mijktok	died
netlakualistli	diet
amoneneukayotl	difference
ax ijuikal	different
oui	difficult
oskali	dig
tekuyutl	dignity
miyakmomachtiya	diligent
tlayoltlakuali	dinner
chilmoli	dip
tlamelaualia	direct
dirección	direction
tlakatltlajtoani	director
sokiyo	dirt
sukiyo	dirty
tij tlakokolo	disable
takololi	disabled
poliui	disappear
mokajkayajki	disappointed
ouitepanyalistli	disaster
tlatemouili	discard
ma moketsa	discharge
tenonotialistli	discipline
tomintemo	discount
tlanextia	discover
axkinekiitase	discrimination
kamanalkualankayotl	discuss
tlakualantli	discussion
kokolistli	disease
kokoxkayotl	diseases
mixpolouaj	disguise
motlailtiani	disgusting
tlakuali	dish
tlakuakusli	dishes
ixkomotona	dismiss
makaua	dispatch
tetlauitilistli	display
payanki	disposal
kualankayotl	dispute
kalkayotl	distance
seyoj	distinct
ixmati	distinguish
eleli	distress
xexeloli	distribution
altepetlatilantok	district
tekamatsakua	disturb
kuatlakoyontli	ditch
apoxontli	dive
amoneuki	diverse
nepanyotl	diversity
xexeloa	divide
olinyotl	divine
nematumalistli	divorce
kuaixpoyaui	dizzy
chiua	do
Ta	do you
tinech tlasojtla	do you love me
tlapatijketl	doctor
amatl	document
kichiua	does
axtle	doesn't
chichi	dog
Dogri	Dogri
kichiua	doing
siuajauili	doll
axkayotl	domain
tlakasiuki	domestic
tekpani	dominant
axtle	don't
amo ximotekipacho	Don't worry
temaktia	donate
keni elki	done
poloko	donkey
xiuiyo	dope
tlakuelpacholi	double
sanelli	doubt
tixtli	dough
tlatsintla	down
tlatemouili	download
axtui ixkopinka	draft
mouatani	drag
akoyojtli	drain
ixeusyilistli	drama
tlaixkopinkayotl	draw
kalotl	drawer
tlajkuiloli	drawing
majmajtli	dread
kochilistli	dream
kentiaj	dress
amalokotl	drill
tlaili	drink
note yakana	drive
tlachipintli	drop
xikixtika	dropped
tlauakapatlan	drought
iuintini	drunk
uajtok	dry
patox	duck
tlakopinali	dude
uajkaparatle	due
axuelis pampa	due to
pilachi	dull
kuauiuiti	dumb
potlania	dump
uejkaktli	duration
kema panoyaya	during
poktli	dust
tepanichketsa	duty
chantli	dwell
nemosiuilistli	dying
kema	each
se se	each other
ansioso	eager
kuaitli	eagle
nakas	ear
achi kualka	earlier
inaltsi	early
tlatlani	earn
nakas	ears
tlaltepaktli	earth
tlalolin	earthquake
oyouijka	ease
axui	easily
nin	east
Nahuatlajtoli Kuextekan ikisayo	Eastern Huasteca Nahuatl
amoui	easy
tlakualistli	eat
tlakualilistli	eating
amopatik	economic
tominatilistli	economy
tlatentli	edge
ixkatokyalalili	edit
temachtiloyan	education
kasaneli	effect
Tomi	effective
saueltsi	efficiency
tekisemakayotl	efficient
temakatl	effort
teksistli	egg
kamojtomatl	eggplant
chauastli	ego
chikueyi	eight
matlaktli uan chikueyi	eighteen
najpoali	eighty
o	either
tlachichiualistli	elaborate
moli	elbow
ueuentsi	elder
ueuentsi	elderly
piltikayotl	elegant
tlapeukayotl	element
elepantli	elephant
matlaktli uan se	eleven
kipepenasej	eligible
kotona	eliminate
puitl	else
pinatok	embarrassed
tlapinatiya	embarrassing
nanajua	embrace
tsonkisa	emerge
ijisiultitlayolmelauili	emergency
olinyotl	emotional
nojnimachiliya	empathy
énfasis	emphasis
enfatizar	emphasize
tekitlakakili	employee
tlakakili	employees
tekimakaketl	employer
tekitl	employment
kakjtok	empty
tlaktepan	enable
pantis	encounter
yolpaleuili	encourage
tlanki	end
tlen nexka poliuis	endangered
chikaulistli	endeavor
teixnauatilistli	endurance
axmijki	endure
yaotl	enemy
teotilistli	energy
mo temaka	engage
tetechtlakaualistli	engaged
tetechtlakaualistli	engagement
teposyolotl	engine
kuayolomachtiani	engineer
anglitekatl	English
tlachikauali	enhance
tlauisolij	enjoy
uextik	enormous
kenopaya	enough
ueyoloyia	ensure
kalaki	enter
tlamauitsoli	entertainment
tlayolpakiliya	enthusiasm
ueyi ipakilis	enthusiastic
senkiska	entire
amoxtokaitl	entitled
entidad	entity
kalakilistli	entrance
tekitekuli	entrepreneur
ipan	envelope
nochi nikani	environment
yolkokoa	envy
épico	epic
tlaltepakokolistli	epidemic
iuikal	equal
equipo	equipment
tlakiyotl	equity
iuikal	equivalent
tetlaixpouili	eraser
kuapololi	error
choloua	escape
especialmente	especially
yeyekolistli	essay
uojiyakpopochuiya	essence
monenekayotl	essential
tetlaliya	establish
tlatlalili	established
axkatiani	estate
maluiyokayotl	estimate
mauiloki	estimated
sampayanok	etc
amotlami	eternal
ética	ethics
ilnamikamak	evaluate
ilnamikamatl	evaluation
nouan	even
maske kema	even though
tlayoua	evening
sentilis	event
sankemantsi	eventually
se uelta	ever
sesen	every
nochimej	everybody
nochimej	everyone
nochi	everything
tepatlajtoli	evidence
tlauelilok	evil
uejkatlapatla	evolution
uejkatlapatla	evolve
Ewe	Ewe
ayo	ex
saueltsi	exact
mero kenopa	exactly
tetlamolistli	exam
tetlatlachiya	examine
machiotl	example
panoltik	exceed
tlauel senka kuali	excellent
neaxtle	except
neaxtle	exception
chimaltolistli	excess
chimaltolo	excessive
tlapatla	exchange
yolpaki	excited
pakilistli	excitement
olinyotl	exciting
exclusivo	exclusive
ixtlakamanali	excuse
tetlapopoluili	excuse me
miktichiuas	execute
ipanchiualistli	execution
ichtkakatekitili	executive
neyekolistli	exercise
auatsalistli	exhaust
pokyotl	exhausted
tlanextilini	exhibit
nextiliya	exhibition
yolistli	exist
yolistli	existence
yolistli	existing
kisalistli	exit
ueychiua	expand
mochiya	expect
chistok	expected
yalti	expenses
patiyoj	expensive
uejkatlaixmatilistli	experience
tlateixpaueli	experiment
tlaixmamati	expert
tepanauili	expired
melauaknikitoa	explain
tlamachtili	explanation
tlatopontl	exploit
tlatetemoli	explore
ontlakixtiliyan	export
tlachilistli	expose
monextijtok	exposed
kakiskamanali	exposure
ijisiulti	express
mitspantsinko	expression
moyaua	extend
moyauak	extended
piuili	extension
patlauak	extent
kalteno	external
extintotksseuilotl	extinct
seyoj	extra
kixtiya	extract
extraordinario	extraordinary
mauistik	extreme
tlauel	extremely
ixtiyol	eye
ixtiyol	eyes
yoyomitl	fabric
sanpajktok	fabulous
ixko	face
ayouijka	facilitate
tlakualilistli	facilities
tlatlatlaliya	facility
chiuali	fact
tlayokoyan	factor
tlayokoyan	factory
chiuali	facts
yolmikilistli	fade
ijtlajko	fail
fallé	failed
itlajko	failure
sotlajki	faint
kuali melauak	fair
melauak	fairly
hada	fairy
tlaneltokilis	faith
netlakanekili	faithful
istlakatik	fake
ueski	fall
TLAISTLAKATI	false
tenyilistli	fame
senyeloj	familiar
senyelistli	family
apismikistli	famine
tenyotekatl	famous
tenenekij	fan
tlayekchichiuilistli	fancy
topali	fantastic
uejka	far
teixnauatilistli	farewell
chantlajkali	farm
yolkapixki	farmer
tlauel senka kuali	fascinating
tlasojmayotl	fashion
ijisiulti	fast
tomauak	fat
mikilistli	fatal
tonali nemilis	fate
Tata	father
kuatijka	fatigue
poliui	fault
iknelia	favorite
tepaleuilistli	favour
paleuiloni	favourite
mamajketl	fear
iljuitl	feast
ijuitl	feather
kejatsa tikixmatis	feature
kejatsa tikixmatis	features
febrero	february
tlakuali	fed up
tekatlaxtlauili	fee
tetlamaka	feed
sampa ti chiuasej	feedback
machili	feel
yolmachilistli	feeling
mets	feet
uetski	fell
uampo	fellow
machili	felt
siuatlmaseual	female
nexka	fence
tlakoneuiya	fertile
iluiyotl	festival
ualijka	fetch
kokolistotonikayotl	fever
pilkentsi	few
kentsi	fewer
tetecholi	fiance
axneliya	fiction
teotlali	field
tekuani	fierce
kaxtoli	fifteen
ompoali uan matlaktli	fifty
tlauilantli	fight
tlauilantli	fighting
ijkuilolistli	figure
kisenkaua	figure out
amatlajokuilo	file
tlatemitili	fill
relleno	filled
nelmelaua	film
motlailtiani	filthy
Tlamitilijke	finally
tominkayotl	finance
totomikayotl	financial
panti	find
tlatsontekilis	find out
kuali	fine
mailpil	finger
tlamijka	finish
tlanki	finished
tlitl	fire
tlaneltiloni	firm
axtuui	first
sentokayatlo	first name
michi	fish
kikui	fit
makuili	five
senkaua	fix
tlakualalijki	fixed
pantli	flag
tlapetlantli	flash
kuetsikali	flat
tlapilchiualistli	flaw
yektik	flawless
choloa	flee
nakatl	flesh
patlanki	flew
kuextlaxtli	flex
kuextlaxtli	flexible
patlantli	flight
sampa mokuepa	flip
coquetear	flirt
coqueteo	flirting
semantiuilistli	float
atitlakalakia	flood
tlapepechtli	floor
yoltechtli	flour
yuyuui	flow
