бичииле	a little
хөмүр	coal
эрик чоогу	coast
тон	coat
кофе	coffee
угаан	cognitive
дүгжүрү	coincidence
соок	cold
коллапс	collapse
моюндурук	collar
коллега	colleague
коллегалар	colleagues
чыыр	collect
коллекция	collection
колледж	college
өң	color
өң чок ногаан бодалдар дыка удуп чыткан	colorless green ideas slept furiously
өң	colour
столбец	column
дыргак	comb
каттыштырары	combination
каттыштырар	combine
кээр	come
келир	come
бээр кел	come here
чоокшуладыр кээр	come on
комфорт	comfort
эптиг	comfortable
кел чыдар	coming
удавас кээр	coming soon
бөлүк	command
комментарий	comment
коммерцияның	commercial
комиссия	commission
күүседиир	commit
хүлээлге	commitment
шынчы	committed
бараан	commodity
ниити	common
харылзажыр	communicate
харылзаа	communication
бөлүк	community
солуур	commute
өңнүк	companion
компания	company
дөмейлээр	compare
деңнелге	comparison
кады качыгдаары	compassion
кээргээчел	compassionate
тааржыр	compatible
чаржыр	compete
эки билир	competent
чарыш	competition
маргыштыг	competitive
хомудаар	complain
хомудал	complaint
немелде	complement
доозар	complete
бүрүнү-биле	completely
нарын	complex
тааржыры	compliance
нарын	complicated
мактаары	compliment
сагыыр	comply
композиция	composition
улажыры	compound
билип алыры	comprehension
хөй талалыг	comprehensive
чөпшээрежилге	compromise
албан ужурлуг	compulsory
компьютер	computer
мөөңнээр	concentrate
концепция	concept
дүвүрээзин	concern
дүвүрээн	concerned
концерт	concert
түңнел	conclusion
бетон	concrete
байдал	condition
байдал	conditions
дамчыдар	conduct
конференция	conference
ажыы-биле минниир	confess
бүзүрээри	confidence
бүзүрелдиг	confident
шынзыдар	confirm
маргыжары	conflict
эгенир	confused
будулгаазын	confusion
байыр чедирери	congrats
байыр чедирери	congratulation
байыр чедирер	congratulations
улажыры	conjunction
кожар	connect
чаалап алыр	conquer
медерелдиг	conscious
миннири	consciousness
чөпшээрел	consent
уржуктары	consequences
кадагалаары	conservation
хожудаңгай	conservative
топтап көөр	consider
манап көөр	consider
санатынган	considered
тургустунар	consist
чөпшээрежилге	consistency
туруштуг	consistent
үргүлчү	constant
черле	constantly
тырык	constipation
тудуушкун	construction
хереглээр	consume
хереглээри	consumption
харылзаа	contact
халдавырлыг	contagious
тудар	contain
хандырар	contains
онза чугула	contemporary
тоо бодавазы	contempt
допчузу	content
конкурс	contest
контекст	context
дип	continent
улаштырар	continue
керээ	contract
контраст	contrast
дузалаар	contribute
салган акша	contribution
контроль	control
маргыштыг	controversial
эптии	convenience
эптиг	convenient
чугаа	conversation
чаартыр	convert
дамчыдар	convey
бүзүредир	convince
бүзүрээн	convinced
чем кылыр	cook
чем кылыр	cooking
азаартыг	cool
сериин	cool
угжок	cool
кады ажылдажылга	cooperation
күш чедер	cope
чес	copper
үрүң	core
кукуруза	corn
азыг	corner
шын	correct
өртек	cost
костюм	costume
коттедж	cottage
хөвең	cotton
диван	couch
чөдүрер	cough
болур	could
шыдаар	could
чөвүлел	council
санаар	count
счётчик	counter
чурт	country
суур	countryside
эжеш	couple
эрес-дидим	courage
уг-шиг	course
шүүгү	court
хүндүлээчели	courtesy
шаны	cousin
шывар	cover
инек	cow
кортук кижи	coward
таарымчалыг	cozy
краб	crab
дарс дээн	crack
ус ажыл	craft
мыяк	crap
үрелиишкин	crash
чүткүлде	craving
соястаар	crawl
четпес	crazy
чаяар	create
чогаадыкчы	creative
кредит	credit
үңгээр	creep
коргунчуг	creepy
бөлүк	crew
кем-херек	crime
чыырлыыр	cringe
чыырлы бээр	cringe
кризис	crisis
критерий	criteria
ондактыг	critical
критика	criticism
дүжүт	crop
тараа культуралары	crops
кежер	cross
каарган	crow
мөөң кижилер	crowd
кижи долдур	crowded
хаанның бөргү	crown
ондактыг	crucial
дерзии	cruel
круиз	cruise
чуура шавар	crush
чуура базар	crush
ыглаар	cry
огурец	cucumber
куспактаныыр	cuddle
культура	culture
кажары	cunning
тудалыг аяк	cup
чем шкавы	cupboard
узда	curb
эмнээри	cure
хорупкаан шак	curfew
сонуургал	curiosity
сонуургаар	curious
дыдыраш	curly
валюта	currency
амгы	current
амгы	currently
каргыш	curse
көжеге	curtain
сыртык	cushion
таарыштырган	custom
садып алыкчы	customer
каайлы чери	customs
кезер	cut
чаптанчыг	cute
цикл	cycle
терге мунар	cycling
ачай	dad
ача	daddy
хүн бүрүде	daily
сүттен кылган	dairy
чал	dam
урелиишкин	damage
ойт	damn
өл	damp
таанзы	dance
айыыл	danger
айыылдыг	dangerous
караңгы	dark
эргим	darling
хап кирер	dash
медээлер	data
үе	date
уруу	daughter
хүн	day
өлүг	dead
cөөлгү срогу	deadline
дүлей	deaf
херек	deal
эргим	dear
эргим шупту	Dear All
Эргим садып алыкчы	Dear Customer
эргим ада-ие	Dear Parents
эргим сэр	Dear Sir
эргим студентилер	Dear students
эргим бөлүк	Dear Team
өлүм	death
дискуссия	debate
дебет	debit
бузундулар	debris
өре	debt
он чыл	decade
будулары	decay
өлген	deceased
мегелээр	deceive
он ийи ай	december
топтуг	decent
шиитпирлээр	decide
шиитпирлээн	decided
шиитпир	decision
түү	deck
кудуладыыр	decline
эвээжедир	decrease
бараан болдурган	dedicated
бердингени	dedication
чорук	deed
хандыр	deep
иви	deer
өйлээни-биле	default
аштырыышкын	defeat
камгалаар	defend
тодарадыр	define
чүс хуу	definitely
тодарадылга	definition
чада	degree
саадаашкын	delay
соңгаарладыр	delayed
аштаар	delete
сагыштыг кылгаң	deliberate
ээлдек	delicate
чаагай	delicious
улуг өөрүшкү	delight
магадаан	delighted
чедирер	deliver
чедирген	delivered
чедирери	delivery
негээр	demand
негелделиг	demanding
демократия	democracy
аза	demon
көргүзер	demonstrate
ойталаан	denied
сырыйы	density
диш эмчизи	dentist
хүлээвес	deny
килдис	department
чорудары	departure
идегээр	depend
чада тудар	deploy
депозит	deposit
муңгаргай	depressed
депрессия	depression
тереңи	depth
тодарадып бижиир	describe
тодарадып бижиири	description
куруг хову	desert
чедип алыр	deserve
дизайн	design
хүлээлге	designation
күзел	desire
ажыл ширээзи	desk
идегелин ышкынары	despair
идегел чок янзылыг	desperate
ынчалза-даа	despite
турза-даа	despite
десерт	dessert
чедер чери	destination
салым-чол	destiny
үрегдээр	destroy
бузары	destruction
деталь	detail
тодаргайы	details
тывар	detect
тодарадылга	determination
тодарадыр	determine
тодараткан	determined
хорадыр	devastated
сайзыраар	develop
сайзыраңгай	developed
хөгжүлде	development
тургузуг	device
херексел	device
аза	devil
тураскааткан	devoted
Дивехи	Dhivehi
чигир аарыы	diabetes
ижин долгап аарыыры	diarrhea
дневник	diary
сөстүк	dictionary
турган	did
өлүрер	die
өлүп калган	died
диета	diet
ылгал	difference
аңгы	different
берге	difficult
казар	dig
мөзүлүү	dignity
чүткүлдүг	diligent
кежээки чем	dinner
сугар	dip
доорт	direct
уг	direction
директор	director
хир	dirt
хирлиг	dirty
өжүрер	disable
харыысалга онаап болбас	disabled
чиде бээр	disappear
чөгенген	disappointed
катастрофа	disaster
каар	discard
эмгежок	discharge
чурум	discipline
чиигелде	discount
илередир	discover
кызагдаашкын	discrimination
чугаалажыыр	discuss
чугаалажыыры	discussion
аарыг	disease
аарыг	diseases
маскировкалаар	disguise
кончуг багай	disgusting
калбак тавак	dish
калбак тавактар	dishes
чөпшээревес	dismiss
чоргузар	dispatch
дисплей	display
чайладыры	disposal
чаргы	dispute
аразы	distance
илдең	distinct
ылгаар	distinguish
муңгагдал	distress
хуваалда	distribution
район	district
дүвүредир	disturb
оңгар	ditch
шымныр	dive
янзы-бүрү	diverse
янзы-бүрү	diversity
үлээр	divide
ыдыктыг	divine
чарлыры	divorce
баш дескинги дег	dizzy
кылыр	do
сен	do you
силер	do you
сен меңээ ынак сен бе	do you love me
эмчи	doctor
документ	document
бар	does
ыт	dog
Догри	Dogri
кылып турар	doing
ойнаар-кыс	doll
домен	domain
бажыңның	domestic
тергиидкен	dominant
чок	don't
дүвүреве	Don't worry
өргүүр	donate
дооскан	done
кылган	done
элчиген	donkey
кара-таапкы	dope
ийи дакпыр	double
чинзиниг	doubt
далган	dough
куду	down
бижиттирер	download
болбаазырадыр	draft
сөөртүр	drag
харыксырадыр	drain
драма	drama
чуруур	draw
дыртар карак	drawer
чурук	drawing
коргунчуг	dread
дүш	dream
платье	dress
мергежиири	drill
суксун	drink
мунар	drive
оскунар	drop
барып ушкан	dropped
каңдаашкын	drought
эзирик	drunk
кургаг	dry
өдүрек	duck
ашак	dude
чогуур	due
мооң хараазы-биле	due to
чалгааранчыг	dull
мелегей	dumb
бок төгер чер	dump
үүрү	duration
үезинде	during
үеде	during
доозун	dust
хулээлге	duty
чуртаар	dwell
өлүп чыдар	dying
бүрү	each
бот-боттарын	each other
аажок күзээр	eager
эзир	eagle
кулак	ear
ооң мурнунда	earlier
эрте	early
ажылдап алыр	earn
кулактар	ears
чер	earth
чер шимчээшкини	earthquake
бөдүүнү	ease
бөдүүнү-биле	easily
чөөн чүк	east
белен	easy
чиир	eat
чип турар	eating
экономика	economic
экономика	economy
кыдыг	edge
редакторлаар	edit
өөредилге	education
магадал	effect
үре-түңнелдиг	effective
ажылгыры	efficiency
эффектилиг	efficient
күжениишкин	effort
чуурга	egg
баклажан	eggplant
эго	ego
сес	eight
он сес	eighteen
сезен	eighty
чүү-даа	either
кандыг-даа	either
ажылдап кылыр	elaborate
шенек	elbow
улуг	elder
кырыксай берген	elderly
аянныг	elegant
элемент	element
чаан	elephant
он бир	eleven
чөпшээреп болур	eligible
узуткаар	eliminate
өске	else
ыяткан	embarrassed
ыядынчыг	embarrassing
куспактаар	embrace
көстү бээр	emerge
онза байдал	emergency
сеткил-сагыжы хайынган	emotional
сеткил каттыштырары	empathy
ударение	emphasis
акцент салыр	emphasize
ажылдакчы	employee
ажылчыннар	employees
ажыл берикчизи	employer
ажылга киирери	employment
хос	empty
куруг	empty
кыпсыр	enable
үскүлежиишкин	encounter
сергедир	encourage
дедкиир	encourage
төнчүзү	end
айыыл адаанда	endangered
чүткүл	endeavor
шыдамыы	endurance
шыдажып эртер	endure
дайзын	enemy
энергия	energy
киириштирер	engage
дүгдеттинген	engaged
дүгдээри	engagement
шимчедикчси	engine
инженер	engineer
англий дыл	English
экижидер	enhance
таалаар	enjoy
аажок улуг	enormous
чедер	enough
чедип тур	enough
четчир	enough
магадаар	ensure
кирер	enter
хөглээшкин	entertainment
сорук кириишкин	enthusiasm
магадаан	enthusiastic
бүдүнге	entire
адатынган	entitled
алыс ужуру	entity
кирер чер	entrance
бүдүрүлге ээзи	entrepreneur
чагаа	envelope
хүрээлээшкин	environment
адааргал	envy
маадырлыг	epic
эпидемия	epidemic
дең	equal
дериг-херексел	equipment
чөптүг чорук	equity
эквивалент	equivalent
балааш	eraser
чазыг	error
дезер	escape
онза	especially
чогаал	essay
алыс ужуру	essence
чугула	essential
тургузар	establish
тургустунган	established
хөреңги	estate
үнелээр	estimate
даап бодаан	estimated
оон-даа ыңай	etc
мөңге	eternal
этика	ethics
үнелээр	evaluate
үнелээри	evaluation
безин	even
оода	even
даа болза	even though
кежээ	evening
болуушкун	event
түңнелинде	eventually
кажан-бир шагда	ever
бүрү	every
шупту	everybody
шупту	everyone
шупту чүве	everything
өчүк	evidence
багай чүүл	evil
эволюция	evolution
сайзыраар	evolve
Эве	Ewe
шагдагы	ex
ылап шын	exact
ылап	exactly
ылап-ла	exactly
шалгалда	exam
шинчилээр	examine
чижек	example
көвүдей немээр	exceed
дыка эки	excellent
аңгыдан	except
тускай чуве	exception
артыкшыл	excess
эмин эрттир	excessive
солуушкун	exchange
девидээр	excited
девидээри	excitement
сеткил хөлзээр	exciting
онзагай	exclusive
өршээр	excuse
бурулуг болдум	excuse me
күүседир	execute
күүседир	execution
күүседикчи	executive
мергежилге	exercise
харыксырадыр	exhaust
шылап калган	exhausted
көргүзер	exhibit
делгелге	exhibition
амыдыраар	exist
амыдыраары	existence
бар	existing
үнер	exit
алгыдар	expand
идегээр	expect
манаан	expected
чарыгдалдар	expenses
аар	expensive
дуржулга	experience
эксперимент	experiment
эксперт	expert
эрткен	expired
тайлбырлаар	explain
тайылбыр	explanation
мөлчүүр	exploit
шинчилээр	explore
экспорт	export
сойгалаар	expose
делгээр	exposed
салдар	exposure
илередир	express
илерээшкин	expression
делгемчидер	extend
калбарткан	extended
алгыдары	extension
хемчээл	extent
даштыкы	external
кырлыр	extinct
немей	extra
уштур	extract
анаа эвес	extraordinary
сан чок	extreme
дыка	extremely
карак	eye
карактар	eyes
пөс	fabric
дүвүренчиг	fabulous
арын	face
деткиир	facilitate
дериг-херекселдер	facilities
бүдүрүлге	facility
барымдаа	fact
фактор	factor
завод	factory
фактылар	facts
оңар	fade
чедимче чок болур	fail
чедимче чок	failed
чедимче чок	failure
сула	faint
чөптүг	fair
ам болзун	fairly
фея	fairy
чүдүлге	faith
бүзүрелдиг	faithful
меге чүүл	fake
барып дүжер	fall
бадар	fall
аңдарылыыр	fall
меге чүүл	FALSE
ат-алдар	fame
таныыр	familiar
өг-бүле	family
аш-чут	famine
алдарлыг	famous
вентилятор	fan
тывызык	fancy
нарын	fancy
фантастиктиг	fantastic
ыракта	far
чарлып байырлажыры	farewell
ферма	farm
фермер	farmer
магаданчыг	fascinating
мода	fashion
дүрген	fast
семис	fat
халаптыг	fatal
салым	fate
ада	father
шагзырааны	fatigue
частырыг	fault
ынак	favorite
дуза	favour
ынак	favourite
коргуш	fear
найыр	feast
чүг	feather
чүүлү	feature
онза чүүлдери	features
ийи ай	february
чемгерип турган	fed up
давыдыр	fee
чемгерер	feed
дедир харылзаа	feedback
минниир	feel
минниишкин	feeling
буттар	feet
барып ушкан	fell
эш	fellow
минген	felt
кыс кижи	female
кажаа	fence
дүжүткүр	fertile
фестиваль	festival
уштур	fetch
халыын	fever
эвээш	few
биче	fewer
душтук	fiance
бодап тыпкан чүүл	fiction
шөл	field
араатанзыг	fierce
он беш	fifteen
бежен	fifty
чогуш	fight
чогуш	fighting
дүрзү	figure
билип алган	figure out
файл	file
долдурар	fill
долдур	filled
кино	film
ческинчиг	filthy
ам на	finally
саң-хөө	finance
саң-хөө	financial
тып алыр	find
тывар	find
илередир	find out
чүгээр	fine
ажырбас	fine
салаа	finger
төнчүзү	finish
доозупкан	finished
от	fire
быжыг	firm
бир дугаар	first
ат	first name
балык	fish
тааржыыр	fit
беш	five
эдер	fix
кылдынган	fixed
тук	flag
кывыышкын	flash
калбак	flat
дески	flat
четпес чүүл	flaw
кончуг эки	flawless
дезер	flee
эът-бот	flesh
ужуп турган	flew
ыргайтыр	flex
эглиичел	flexible
ужугары	flight
аңдарар	flip
ылчыңнажыр	flirt
ылчыңнашкан	flirting
салдаар	float
үер	flood
шала	floor
далган	flour
агар	flow
чечек	flower
грипп	flu
илдик чок	fluent
хостуг	fluently
чымчак	fluffy
суук чүүл	fluid
ужар	fly
хаара тудар	focus
туман	fog
туманныг	foggy
сыга тудар	fold
кижилер	folks
эдерер	follow
көрүп турар	follow up
соонда	following
чем	food
мелегей	fool
мелегей	foolish
буттар	foot
футбол	football
чижээлээрге	For example
чижелээрге	for instance
сеңээ	for you
хоруглуг	forbidden
күш	force
медээ	forecast
хавак	forehead
даштыкы	foreign
арга	forest
кезээде	forever
уттуптар	forget
өршээр	forgive
утупкан	forgot
серээ	fork
хевир	form
хевирниң	formal
шаандагы	former
Аас-кежии болуп	fortunately
аас-кежик	fortune
дөртен	forty
дөртен ийи	forty-two
буруңгаар	forward
мурнунче	forward
дузалаар	foster
чокшуп турган	fought
тыпкан	found
үндезин	foundation
дөрт	four
он дөрт	fourteen
дилги	fox
бустуучал	fragile
рамка	frame
рамки	framework
бузурукчу чорук	fraud
элдептиг кижи	freak
хостуг	free
хосталга	freedom
доңар	freeze
частота	frequency
бо-ла	frequent
бо-ла	frequently
чаа	fresh
пятница	friday
соодукчу	fridge
эш	friend
эп-найыралдыг	friendly
эштер	friends
найырал	friendship
корткан	frightened
коргунчуг	frightening
пага	frog
-дон (төнчү)	from
-дан	from
-ден	from
мурнуку	front
доңурган	frozen
