އެކަހެރިކުރުން	abandon
ހިތްދަމައިގަންނަފަދަ	aesthetic
ގުޅުން	affair
އަސަރުކުރުން	affect
އެފެކްޝަން	affection
އެފޯޑް	afford
އެފޯޑެބަލް	affordable
ބިރުގަނެފައި	afraid
ފަހުން	after
މެންދުރު	afternoon
ފަހުން	afterwards
އަނެއްކާ	again
ދެކޮޅު	against
އުމުރު	age
އެޖެންސީ	agency
އޭޖެންޓު	agent
ހަރުކަށި	aggressive
ކުރިން	ago
އެއްބަސް	agree
އެއްބަސްވުން	agreement
ޒިރާޢަތްތެރިކަން	agriculture
ކުރިޔަށް	ahead
އެހީ	aid
އުންމީދުކުރާ	aim
ވައި	air
އެއާރޕޯޓް	airport
އަޔަލް	aisle
އެލާމް	alarm
ރާ	alcohol
އެލަރޓް	alert
ކުޑަކޮށް	a little
ދިރިހުރި	alive
ހުރިހާ	all
ހުއްދަ	allowed
ކިރިޔާ	almost
އެކަނި	alone
އެކުގައި	along
ބައިވަރު	a lot
މިހާރުވެސް	already
އަދި	also
އެހެންވިޔަސް	although
އަބަދުވެސް	always
ޢަޒުމް	ambition
އުންމީދީ	ambitious
ބަދަލުކުރުން	amend
މެދުތެރެއިން	amid
ތެރޭގައި	among
ޢަދަދު	amount
އާދަޔާޚިލާފު	amusing
ތަހުލީލު	analysis
ކާބަފައިން	ancestors
ނަގިލި	anchor
އަދި	and
އޭންޖަލް	angel
ރުޅި	anger
އޭންގަލް	angle
ރުޅިއައުން	angry
ޖަނަވާރު	animal
ކަށިމަތި	ankle
އަހަރީދުވަސް	anniversary
އެންގުން	announcement
އުނދަގޫކުރުން	annoy
އުނދަގޫވެފައިވުން	annoyed
އެނޯއިންގ	annoying
އަހަރީ	annual
ކާކުކަންނޭނގޭ	anonymous
އެހެން	another
ޖަވާބު	answer
އުންމީދުކުރުން	anticipate
ކަންބޮޑުވުން	anxiety
ހާސްވުން	anxious
ކޮންމެ	any
ކޮންމެގޮތެއްވިޔަސް	anyways
ވަކިން	apart
އެޕާޓްމަންޓް	apartment
ފާޅުވުން	apparent
ފެންނަގޮތުގައި	apparently
އިސްތިއުނާފު	appeal
ފާޅުވުން	appear
މަލަމަތި	appearance
ފާޅުވުން	appeared
އެޕަޓައިޓް	appetite
އާފަލު	apple
އެޕްލިކޭޝަން	application
އެޕްލައި	apply
އެޕޮއިންޓްމަންޓް	appointment
އަގުވަޒަންކުރުން	appreciate
އަގުވަޒަންކުރުން	appreciation
ކުރިމަތިލުން	approach
މުނާސިބު	appropriate
ރުހުން	approval
ރުހުން	approve
ހުއްދަލިބިފައިވުން	approved
ގިނަވެގެން	approximately
އޭޕްރީލް	april
އާބިޓްރަރީ	arbitrary
އާކިޓެކްޓް	architect
އާކިޓެކްޗަރ	architecture
އާކައިވް	archive
އަކީ	are
ސަރަޙައްދު	area
ދެކޮޅުހެދުން	argue
ޝަކުވާ	argument
ތެދުވުން	arise
އަތް	arm
ލަޝްކަރު	army
ވަށައިގެން	around
ތަރުތީބުކުރުން	arrange
ރޭވިފައިވާގޮތް	arrangement
އައުން	arrival
އައުން	arrive
އައިސްސި	arrived
ކިބުރުވެރި	arrogant
ތީރު	arrow
ޢާޓް	art
ލިޔުން	article
މަސްނޫޢީ	artificial
އާޓިސްޓް	artist
އެހެންކަމުން	as
އަޅި	ash
ލަދުގަނެފައި	ashamed
އެހުން	ask
އެހި	asked
ނިދާފަ	asleep
އެސްޕެކްޓް	aspect
އައްސަމީޒް	Assamese
ހަމަލާދިނުން	assault
އެސެމްބްލީ	assembly
ވަޒަންކުރުން	assess
އެސެސްމަންޓް	assessment
މުދާ	asset
މުދާތައް	assets
އެސައިން	assign
އެސައިންމަންޓް	assignment
އެހީވުން	assist
އެސިސްޓަންޓް	assistant
އެސޮސިއޭޓް	associate
ގުޅުންހުރި	associated
އެސޮސިއޭޝަން	association
ހީކުރުން	assume
ހީކުރުން	assumption
ވެސް	as well
އެޔާއެކު	as well as
ކައިފިން	ate
އެތްލީޓް	athlete
މަދުވެގެން	at least
އެކުލެވުން	attach
އެކުލެވިފައި	attached
އެކުލެވުން	attachment
މަސައްކަތް	attempt
ޙާޒިރުވުން	attend
ހާޒިރީ	attendance
ސަމާލުކަން	attention
ޝަޚުސިއްޔަތު	attitude
ގަޔާވާ	attract
ގަޔާވުން	attraction
ހިތްކިޔުން	attractive
އެޓްރިބިއުޓް	attribute
އޯޑިއަންސް	audience
އޯގަސްޓު	august
ބޮޑުދައިތަ	aunty
އަސްލު	authentic
ލިޔުންތެރިޔާ	author
ބާރުވެރި	authority
މެދުމިން	average
ދުރުކުރުން	avoid
ހޭލުން	awake
އެވަރޑް	award
ހޭލުންތެރި	aware
ހޭލުންތެރިކަން	awareness
ދުރަށް	away
ކަމުނުދާ	awful
އައިމާރަ	Aymara
ކުޑަކުއްޖާ	baby
ބެޗްލަރ	bachelor
ފަހަތް	back
ފަހަތް	background
ގޯސް	bad
ދަބަސް	bag
އެން	bait
ފިހުން	bake
ބޭކަރީ	bakery
ބޭކިންސޮޑާ	baking soda
ބެލެންސް	balance
ބޯޅަ	ball
ބަމްބާރަ	Bambara
ދޮންކެޔޮ	banana
ބޭންޑް	band
ގޮވުން	bang
ބޭންކް	bank
ބާރ	bar
ކިރިޔާ	barely
ބާގެއިން	bargain
ބާރުލީ	barley
ބެރިއަރ	barrier
ބޭސް	base
ބިނާވެފައި	based
ބޭސްމަންޓް	basement
އާދައިގެ	basic
ބެޒިލް	basil
ބާސްޓަރޑް	bastard
ބެޗް	batch
ފެންވެރުން	bath
ފާޚާނާ	bathroom
ބެޓަރީ	battery
ހަނގުރާމަ	battle
ބޭ	bay
ވުން	be
އަތިރިމަތި	beach
އަލި	beam
ތޮޅި	beans
ސާރިދޯޅު	bear
ތުބުޅި	beard
ބެއަރިންގ	bearing
ޖަނަވާރު	beast
ތެޅުން	beat
ރީތި	beautiful
ރީތިކަން	beauty
ވުން	became
ސަބަބަކީ	because
ވުން	become
އެނދު	bed
ނިދާކޮޓަރި	bedroom
ކުޅަނދުރު	bee
ގެރިމަސް	beef
ބިއަރު	beer
ކުރިން	before
ފެށުނީ	began
ފެށުން	begin
ފެށުން	beginning
ފަރާތުން	behalf
އުޅުން	behavior
އުޅުން	behaviour
ފަހަތުގައި	behind
ވުން	being
ވިސްނުން	belief
ޤަބޫލުކުރުން	believe
ބަނޑު	belly
ނިސްބަތްވުން	belong
ލޯބިވާ	beloved
ތިރީގައި	below
ބެލްޓު	belt
ހޮޅުއަށި	bench
ގުދުވުން	bend
ދަށުގައި	beneath
ފައިދާ	benefit
ފައިދާތައް	benefits
އެހެންނޫނަސް	beside
އެހެންނޫނަސް	besides
ރަނގަޅު	better
ދެމެދު	between
ބުއިން	beverage
ބޮޖްޕޫރީ	Bhojpuri
ބަޔަސް	bias
ބައިސްކަލް	bicycle
ބިޑް	bid
ބޮޑު	big
ބައިސްކަލު	bike
ބިލް	bill
ދޫނި	bird
އުފަންދުވަސް	birthday
އެތިކޮޅެއް	bit
ދަތްއެޅުން	bite
ހިތި	bitter
ކަޅު	black
ތިލަ	blade
ކުށްވެރިކުރުން	blame
ހުސް	blank
ރަޖާގަނޑު	blanket
ގޮއްވާލުން	blast
ބްލީޗް	bleach
އެއްކޮށްލުން	blend
ނިޢުމަތްދެއްވުން	bless
ބަރަކާތްތެރި	blessed
ބްލިސް	bliss
ބްލޮކް	block
ލޭ	blood
ފޮޅުން	bloom
ފުމުން	blow
ނޫ	blue
ފޮރުވުމެއްނެތި	blunt
ބޯޑު	board
ބޯޓު	boat
ހަށިގަނޑު	body
ބޯލްޑް	bold
ގުޅުން	bond
ކަށި	bone
ފޮތް	book
ބޫސްޓް	boost
ބޫސްޓަރ	booster
ބޫޓް	boot
ބޫޓުތައް	boots
ބޯޑަރު	border
ތޮރުފުން	bore
ފޫހިވެފައި	bored
ފޫހި	boring
އުފަންވުން	born
ބޮޑުމީހާ	boss
ދޭތި	both
އަޅާލުން	bother
ފުޅި	bottle
ތިރި	bottom
ގަނެފި	bought
ބައުންސް	bounce
ބައުންޑް	bound
ބައުންޑަރީތައް	boundaries
ރިބަންޓައި	bow
ބޯތަށި	bowl
ފޮށި	box
ބޯއިފުރެންޑު	boyfriend
އުޅާ	bracelet
ސިކުނޑި	brain
ބްރާންޗް	branch
ބްރޭންޑް	brand
ހިތްވަރުގަދަ	brave
ޚިލާފުވުން	breach
ޕާން	bread
ހަލާކުވުން	break
އުރަމަތި	breast
ނޭވާ	breath
ނޭވާލުން	breathe
ދަރިފަސްކޮޅު	breed
ބްރިކް	brick
ބްރައިޑް	bride
ފާލަން	bridge
އަލިގަދަ	bright
ގެނައުން	bring
އެކުވެރިޔާ	bro
ފުޅާ	broad
ބްރޯޑްކާސްޓް	broadcast
ހަލާކުވެފައި	broke
ހަލާކުވެފައި	broken
ފިހިގަނޑު	broom
ބޭބެ	brother
ޅިޔަނު	brother in law
ގެނައުން	brought
މުށި	brown
ބްރަޝް	brush
ބާލިދީ	bucket
ރަޙްމަތްތެރިޔާ	buddy
ބަޖެޓް	budget
ސޫފި	bug
ބިނާކުރުން	build
ބިނާ	building
ބިނާކޮށްފައި	built
ބައިވަރު	bulk
ގެރި	bull
ހަނގާކުރުން	bully
އުސްތަން	bump
ބައިގަނޑު	bunch
ބައިވަރު	bundle
ބުރައެއް	burden
ވަޅުލުން	buried
އެނދުން	burn
ފަޅައިގެންދިއުން	burst
ވަޅުލުން	bury
ބަސް	bus
ވިނަގަނޑު	bush
ވިޔަފާރި	business
ބަސްޓް	bust
ބުރަ	busy
އެކަމަކު	but
ބަޓަރު	butter
ކޮކާ	butterfly
ގޮށް	button
ގަތުން	buy
ދަނީ	bye
ކެބެޖް	cabbage
ކެބިނެޓު	cabinet
ކޮށި	cage
ކޭކު	cake
ގުޅުން	call
ކިޔަނީ	called
ގުޅާލަބަލަ	call me
މަޑުމައިތިރި	calm
އައުން	came
ކެމްޕޭނު	campaign
ވާނެ	can
ކެންސަލް	Cancel
ކެންސަރު	cancer
ނުވާނެ	can't
ކުޅަދާނަކަން	capable
ޤާބިލުކަން	capacity
ރައުސުލްމާލު	capital
ކެޕްޝަން	caption
ކެޕްޗަރ	capture
ކާރު	car
ވަޒީފާ	career
ބަލައިގެން	careful
ފަރުވަތެރިކަމާއެކު	carefully
ފަރުވާކުޑަވުން	careless
އަޅާލާ	caring
ވަޑި	carpenter
ކާޕެޓް	carpet
ކެރެޓް	carrot
އުފުލުން	carry
ކޭސް	case
ކާސްޓް	cast
ބިނާ	castle
އާދައިގެ	casual
ބުޅާ	cat
ހިފުން	catch
ކެޓަގަރީ	category
ހިފުން	caught
ސަބަބު	cause
ސަމާލު	caution
ސަމާލުވުން	cautious
ހޮހަޅަ	cave
ހުއްޓާލުން	cease
ސީލިންގް	ceiling
ފާހަގަކުރުން	celebrate
ސެލް	cell
މެދު	center
ޤަރުނު	century
ސީރިއަލް	cereal
ޙަފްލާ	ceremony
ޔަޤީން	certain
ޔަޤީނުންވެސް	certainly
ސެޓްފިކެޓް	certificate
ޗެއިން	chain
ގޮނޑި	chair
ޗެލެންޖް	challenge
ފުރުޞަތު	chance
ބަދަލު	change
ހާލަތުގޯސްވެފައިވުން	chaos
ޝަޚުސިއްޔަތު	character
ސިފަތައް	characteristics
ޗާޖް	charge
ޞަދަޤާތް	charity
ހިތްގައިމު	charming
ޗާޓު	chart
ވާހަކަދެއްކުން	chat
މަކަރުހެދުން	cheat
މަކަރުހެދުން	cheating
ޗެކް	check
ކޯ	cheek
ހިތްވަރުދިނުން	cheer
އުފާވެރި	cheerful
ޗިއަރސް	cheers
ޗީޒް	cheese
ކެމިސްޓްރީ	chemistry
އަގުވަޒަންކުރުން	cherish
ރާޒުވާ	chess
މޭ	chest
ހެފުން	chew
ކުކުޅު	chicken
ޗީފް	chief
ކުޑަކުއްޖާ	child
ކުދިން	children
މިރުސް	chill
ދުންހޮޅި	chimneys
ކޯ	chin
ޗޮކްލެޓް	chocolate
ގޮތް	choice
އިޚްތިޔާރު	choose
ކޮށުން	chop
ޗަބީ	chubby
ޗަރޗް	church
ފޮނިތޮށި	cinnamon
ބުރު	circle
ޙާލަތުތައް	circumstances
ރައްޔިތުން	citizen
ޝަހަރު	city
ދަޢުވާ	claim
އޮޅުންފިލުވުން	clarify
ކްލާސް	class
ކްލޭ	clay
ސާފުތާހިރު	clean
ސާފުކޮށް	clear
ކްލަރކް	clerk
ވިސްނުންތޫނު	clever
ކްލަޔަންޓް	client
ކްލިފް	cliff
މޫސުން	climate
އެރުން	climb
ކްލިންޖީ	clingy
ގަޑި	clock
ލެއްޕުން	close
ވައްގަނޑު	closet
ފޮތި	cloth
ހެދުންތައް	clothes
ވިލާ	cloud
ބަނަ	cloudy
ކްލައުން	clown
ކްލޫ	clue
ފަރުވާކުޑަ	clumsy
ބައިގަނޑު	cluster
ކޯޗް	coach
ކޯލް	coal
އައްސޭރިފަށް	coast
ކޯޓު	coat
ކޮފީ	coffee
ކޮގްނިޓިވް	cognitive
ކޮއިންސިޑެންސް	coincidence
ފިނި	cold
ގިރުވާނު	collar
ކޮލީގް	colleague
ހަވާލުވުން	collect
ނެގުން	collection
ކޮލެޖް	college
ކުލަ	color
ކުލަ	colour
ކޮލަމް	column
ފުނާ	comb
ކޮމްބިނޭޝަން	combination
ގުޅުވާލުން	combine
އާދޭ	come
މިތަނަށްއާދޭ	come here
ހިނގާ	come on
ފަސޭހަ	comfort
ހިތްގައިމު	comfortable
އަންނަނީ	coming
އިރުޝާދު	command
ކޮމެންޓް	comment
ވިޔަފާރި	commercial
ކޮމިޝަން	commission
ކޮމިޓް	commit
ކޮމިޓްމަންޓް	commitment
ކޮމިޓެޑް	committed
ތަކެތި	commodity
އާންމު	common
މުއާމަލާތުކުރުން	communication
މުޖުތަމަޢު	community
ދަތުރުކުރުން	commute
އެކުވެރިޔާ	companion
ކުންފުނި	company
އަޅާކިޔުން	compare
ފަރަޤުކުރުން	comparison
އޯގާތެރިކަން	compassion
އޯގާތެރި	compassionate
ގުޅޭ	compatible
ވާދަކުރުން	compete
ކޮމްޕީޓެންޓް	competent
މުބާރާތް	competition
ވާދަވެރި	competitive
ޝަކުވާކުރުން	complain
ޝަކުވާ	complaint
ތަޢުރީފުކުރުން	complement
ފުރިހަމަވުން	complete
އެއްކޮށް	completely
އުނދަގޫ	complex
ކޮމްޕްލަޔަންސް	compliance
އުނދަގޫ	complicated
ތަޢުރީފު	compliment
ބޯލެބުން	comply
ކޮމްޕޮޒިޝަން	composition
ކޮމްޕައުންޑް	compound
ކޮމްޕްރިހެންޝަން	comprehension
ކޮމްޕްރިހެންސިވް	comprehensive
ކޮމްޕްރޮމައިޒް	compromise
މަޖުބޫރު	compulsory
ކޮމްޕިއުޓަރު	computer
ވިސްނުން	concentrate
ކޮންސެޕްޓް	concept
ކަންބޮޑުވުމެއް	concern
ކަންބޮޑުވުން	concerned
ކޮންސަރޓް	concert
ނިންމުން	conclusion
ކޮންކްރީޓް	concrete
ޙާލަތު	condition
ޝަރުތުތައް	conditions
އަޚުލާޤު	conduct
ކޮންފަރެންސް	conference
އެއްބަސްވުން	confess
ކެރުން	confidence
ކޮންފިޑެންޓް	confident
ޔަޤީންކުރުން	confirm
ފިތުނަ	conflict
އޮޅުން	confused
ޝައްކު	confusion
މަރުޙަބާ	congrats
މަރުހަބާ	congratulation
މަރުޙަބާ	congratulations
ކޮންޖަންކްޝަން	conjunction
ގުޅުވުން	connect
ހޭލުންތެރި	conscious
ހޭވެރިކަން	consciousness
ހުއްދަ	consent
ނަތީޖާ	consequences
ރައްކާކުރުން	conservation
ކޮންޒަރވޭޓިވް	conservative
ކަނޑައެޅުން	considered
ހިމެނުން	consist
ދެމިހުރުން	consistent
އަބަދު	constant
ދާއިމީގޮތުގައި	constantly
ބަނޑުހަރުވުން	constipation
ބިނާކުރުން	construction
ބޭނުންކުރުން	consume
ކޮންޓެކްޓް	contact
އެކުލެވިގެންވުން	contain
ހިމެނެނީ	contains
ކޮންޓެމްޕޮރަރީ	contemporary
ކޮންޓެމްޕްޓް	contempt
ކޮންޓެންޓް	content
މުބާރާތް	contest
ކޮންޓެކްސްޓް	context
ކޮންޓިނެންޓް	continent
ކުރިއަށްގެންދިޔުން	continue
އެއްބަސްވުން	contract
ކޮންޓްރާސްޓް	contrast
ޙިއްސާވުން	contribute
ކޮންޓްރިބިއުޝަން	contribution
ކޮންޓްރޯލް	control
ފަސޭހަ	convenience
ފަސޭހަ	convenient
ވާހަކަ	conversation
ބަދަލުވުން	convert
ފޯރުކޮށްދިނުން	convey
ޔަޤީންކޮށްދިނުން	convince
ކަށަަވަރުކޮށްދިނުން	convinced
ކެއްކުން	cook
ކެއްކުން	cooking
ފިނި	cool
ބައިވެރިވުން	cooperation
ކެތްކުރުން	cope
ކޮޕަރ	copper
މައިގަނޑު	core
ޒުވާރި	corn
ކަން	corner
ރަނގަޅު	correct
ހަރަދު	cost
ކޮސްޓިއުމް	costume
ޖިފުޓި	cottage
ކަފަ	cotton
ސޯފާ	couch
ކެއްސުން	cough
ވެދާނެ	could
ކައުންސިލް	council
ގުނުން	count
ކައުންޓަރު	counter
ޤައުމު	country
ރަށުތެރެ	countryside
ދެމަފިރިން	couple
ހިތްވަރު	courage
ކޯޓް	court
ކަރޓެސީ	courtesy
ކަވަރ	cover
ގެރި	cow
ކޯޒީ	cozy
ކަކުނި	crab
ރެނދު	crack
ކްރާފްޓް	craft
ބޭކާރު	crap
ކްރޯލް	crawl
މޮޔަ	crazy
ތައްޔާރުކުރުން	create
އުފެއްދުންތެރި	creative
ކްރެޑިޓް	credit
ކްރީޕް	creep
ބިރުވެރި	creepy
ފަޅުވެރިން	crew
ކުށް	crime
ބިރުގަތުން	cringe
ކްރައިސިސް	crisis
މިންގަނޑު	criteria
ކްރިޓިކަލް	critical
ފާޑުކިޔުން	criticism
ގޮވާން	crop
ގޮވާން	crops
ހުރަސްކުރުން	cross
ކާޅު	crow
ބައިގަނޑު	crowd
ތާޖު	crown
މުހިންމު	crucial
އަނިޔާވެރި	cruel
ކްރޫޒް	cruise
ޗިސް	crush
ރުއިން	cry
ކިޔުކަންބާ	cucumber
ލޯބިކުރުން	cuddle
ޘަޤާފަތް	culture
ތަށި	cup
އަލަމާރި	cupboard
ހިފެހެއްޓުން	curb
ފަރުވާ	cure
ކަރފިއު	curfew
ޝަޢުޤުވެރި	curious
ކަރލީ	curly
ފައިސާ	currency
އޮއި	current
މިވަގުތު	currently
ކަރސް	curse
ދޮރުފޮތި	curtain
ކުޝަން	cushion
ސަޤާފަތް	custom
ކަސްޓަމަރ	customer
އާދަކާދަތައް	customs
ކެފުން	cut
ލޯބިވެތި	cute
ސައިކަލް	cycle
ބައްޕަ	dad
ބައްޕަ	daddy
ޑޭމް	dam
ގެއްލުން	damage
އަޅޭ	damn
ތެތް	damp
ނެށުން	dance
ނުރައްކާ	danger
ނުރައްކާތެރި	dangerous
އަނދިރި	dark
ލޯބިވާ	darling
ރޮނގުބުރި	dash
މަޢުލޫމާތު	data
ތާރީޚް	date
ދުވަސް	day
މަރުވެފައި	dead
ސުންގަޑި	deadline
ބީރު	deaf
އެއްބަސްވުން	deal
ކަސްޓަމަރަށް	Dear Customer
ބެލެނިވެރިންނަށް	Dear Parents
ސާރ	Dear Sir
ދަރިވަރުންނަށް	Dear students
ޓީމަށް	Dear Team
މަރު	death
ބަހުސްކުރުން	debate
ޑެބިޓް	debit
ކުނި	debris
ދަރަނި	debt
ޑިކޭޑް	decade
ފަނާވުން	decay
ނިޔާވެފައި	deceased
އޮޅުވާލުން	deceive
ޑިސެމްބަރ	december
ޑީސެންޓް	decent
ކަނޑައެޅުން	decide
ނިންމީ	decided
ނިންމުން	decision
ޑެކް	deck
ދަށްވުން	decline
މަދުވުން	decrease
އިޚްލާސްތެރިކަން	dedication
ޢަމަލު	deed
ފުން	deep
ފުއްލާ	deer
ޑީފޯލްޓް	default
ބަލި	defeat
ދިފާޢުވުން	defend
ބަޔާންކުރުން	define
ޔަޤީނުންވެސް	definitely
ޑެފިނީޝަން	definition
މިންވަރު	degree
ލަސްވުން	delay
ލަސްވެފައި	delayed
ޑިލީޓް	delete
ގަސްތުގައި	deliberate
ނާޒުކު	delicate
މީރު	delicious
އުފާވެރިކަން	delight
ހިތްހަމަޖެހިފައި	delighted
ޑެލިވަރ	deliver
ފޯރުކޮށްދިނުން	delivered
ޑެލިވަރީ	delivery
މަޖުބޫރުކުރުން	demand
ޑިމާންޑުކުރުން	demanding
ޑިމޮކްރަަސީ	democracy
ޝައިތާނާ	demon
ދެއްކުން	demonstrate
ދެކޮޅުހެދުން	denied
ޑެންސިޓީ	density
ޑެންޓިސްޓް	dentist
ދޮގުކުރުން	deny
ޑިޕާޓްމަންޓް	department
ފުރުން	departure
ބިނާވުން	depend
ހަވާލުކުރުން	deploy
ޖަމާކުރުން	deposit
ފިކުރުބޮޑުވުން	depression
ފުންމިން	depth
ސިފަކުރުން	describe
ތަފްޞީލު	description
ފަޅު	desert
ޙައްޤުވުން	deserve
ޑިޒައިން	design
މަޤާމު	designation
އެދުން	desire
ޑެސްކު	desk
މާޔޫސް	desperate
ޑެޒަރޓް	dessert
މަންޒިލް	destination
މަންޒިލް	destiny
ހަލާކުކުރުން	destroy
ހަލާކު	destruction
ތަފްސީލު	detail
ތަފްޞީލު	details
ފާހަގަވުން	detect
ޢަޒުމް	determination
ކަނޑައެޅުން	determine
ތަރައްޤީ	develop
ކުރިއަރާފައި	developed
ތަރައްޤީ	development
ޑިވައިސް	device
ޝައިޠާނާ	devil
އިޚްލާސްތެރި	devoted
ދިވެހި	Dhivehi
ހަކުރުބަލި	diabetes
ޑައިރީ	diary
ބަސްފޮތް	dictionary
ކުރި	did
މަރުވުން	die
މަރުވެފައި	died
ޑައެޓް	diet
ތަފާތު	difference
ތަފާތު	different
އުދަނގޫ	difficult
ކޮނުން	dig
އަގު	dignity
ފަރުވާތެރި	diligent
ގަންބާލުން	dip
ޑައިރެކްޓް	direct
މަގު	direction
ޑިރެކްޓަރު	director
ކިލާ	dirt
ހުތުރު	dirty
ޑިޒޭބަލް	disable
ނުކުޅެދޭ	disabled
ގެއްލުން	disappear
މުޞީބާތް	disaster
ނައްތާލުން	discard
ދޫކޮށްލުން	discharge
އަޚްލާޤު	discipline
ޑިސްކައުންޓް	discount
ފާހަގަވުން	discover
ތަފާތުކުރުން	discrimination
މަޝްވަރާކުރުން	discuss
މަޝްވަރާތައް	discussion
ބަލި	disease
ބަލިތައް	diseases
ހުތުރު	disgusting
ޑިޝް	dish
ތަށިތައް	dishes
ދުރުކޮށްލުން	dismiss
ޑިސްޕެޗް	dispatch
ޑިސްޕްލޭ	display
ޑިސްޕޯސަލް	disposal
ހަމަނުޖެހުން	dispute
ދުރުމިން	distance
ވަކިކުރުން	distinguish
ހިތްދަތިކަން	distress
ބަހާލުން	distribution
ސަރަހައްދު	district
އުނދަގޫކުރުން	disturb
ވަޅުގަނޑު	ditch
ޑައިވް	dive
ޑިވަރސް	diverse
ޑިވަރސިޓީ	diversity
ބައިކުރުން	divide
ޑިވައިން	divine
ވަރި	divorce
ބޯއެނބުރުން	dizzy
ކުރަން	do
ޑޮކްޓަރު	doctor
ލިޔެކިޔުން	document
ކުރުން	does
ނުކުރޭ	doesn't
ކުއްތާ	dog
ޑޮގްރި	Dogri
ކުރަނީ	doing
ބުދު	doll
ޑޮމެއިން	domain
އެތެރޭގެ	domestic
ބާރުގަދަ	dominant
ހަދިޔާކުރުން	donate
ނިމިއްޖު	done
ޙިމާރު	donkey
ނުކުރޭ	don't
ޑޯޕް	dope
ދެފަަހަރު	double
ޝައްކު	doubt
ފުށްގަނޑު	dough
ތިރި	down
ޑައުންލޯޑް	download
ދެލިކޮޕީ	draft
ލަސްކުރުން	drag
ޑްރާމާ	drama
ކުރެހުން	draw
ވަތްގަނޑު	drawer
ކުރެހުން	drawing
ބިރުގަތުން	dread
ހުވަފެން	dream
ހެދުން	dress
ޑްރިލް	drill
ބުއިން	drink
ދުއްވުން	drive
ވެއްޓުން	drop
ވެއްޓުން	dropped
ހަނަފަސްކަން	drought
މަސްތުވެފައި	drunk
ހިކި	dry
އަސްދޫނި	duck
މީހެއް	dude
ލިބެންޖެހޭ	due
ގުޅިގެން	due to
މަޑު	dull
ބޯގޯސް	dumb
ކުނިގޮނޑު	dump
މުއްދަތު	duration
މެދުތެރޭގައި	during
ހިރަފުސް	dust
ޑިއުޓީ	duty
ގާއިމްވުން	dwell
މަރުވަމުންދާ	dying
ކޮންމެ	each
ޝައުޤުވެރި	eager
ބާޒު	eagle
ކަންފަތް	ear
ކުރިން	earlier
ކުރިން	early
ކަންފަތް	ears
ދުނިޔެ	earth
ބިންހެލުން	earthquake
ފަސޭހަވުން	ease
ފަސޭހައިން	easily
އިރުމަތި	east
ފަސޭހަ	easy
ކެއުން	eat
ކަނީ	eating
އިކޮނޮމިކް	economic
އިޤްޠިޞާދު	economy
ކައިރިފަށް	edge
ތަޢުލީމް	education
އަސަރު	effect
އަސަރުކުރުވާ	effective
އެފިޝެންސީ	efficiency
އެފިޝަންޓް	efficient
ހިތްވަރު	effort
ބިސް	egg
ބަށި	eggplant
އީގޯ	ego
އަށެއް	eight
އަށާރަ	eighteen
އަށްޑިހަ	eighty
ނުވަތަ	either
ތަފްޞީލުކުރުން	elaborate
އުޅަބޮށި	elbow
ދޮށީ	elder
ރިތި	elegant
އެތް	elephant
އެގާރަ	eleven
ޝަރުޠުހަމަވުން	eligible
މަދުކުރުން	eliminate
އެހެން	else
ލަދުގަނެފައި	embarrassed
ލަދުގަންނަ	embarrassing
ބައްދާލުން	embrace
ފާޅުވުން	emerge
