i-	a
simo sengcondvo	attitude
khanga	attract
umkhango	attraction
khangako	attractive
sici	attribute
babukeli	audience
balaleli	audience
agasti	august
anti	aunt
anti	aunty
ngokocobo	authentic
ngokweciniso	authentic
umbhali	author
umlobi	author
ligunya	authority
emandla	authority
likwindla	autumn
tfolakala	available
silinganiso	average
kugwema	avoid
vuka	awake
phaphama	awake
umklomelo	award
kucaphela	aware
naka	aware
kunaka	awareness
kucaphela	awareness
kudze	away
lemangalisako	awesome
lesabekako	awful
lembi	awful
lukhuni	awkward
ngaphatseki kahle	awkward
Si-Aymara	Aymara
umtfwana	baby
impohlo	bachelor
ngemuva	back
buyela	back
sizinda	background
lokubi	bad
sikhwama	bag
ludobo	bait
bhaka	bake
indlu yekubhaka	bakery
sikalo	balance
linganisa	balance
libhola	ball
SiBambara	Bambara
banana	banana
ukhova	banana
licembu	band
intsambo	band
libutfo	band
shaya	bang
libangi	bank
ligodvo	bar
kancane	barely
cishe	barely
khonkhotsa	bark
libhali	barley
umkhawulo	barrier
lokuvimbelako	barrier
sisekelo	base
lokusekelwe	based
likamelo lelingaphansi	basement
lokuyisisekelo	basic
ngokuyisisekelo	basically
umlanjwana	bastard
geza	bath
likamelo lekugeza	bathroom
libhetri	battery
imphi	battle
lusentseni lwelwandle	bay
kuba	be
caphela	be careful
bhishi	beach
ugongolo	beam
umsebe	beam
emabhontjisi	beans
libhele	bear
kubeketela	bear
silevu	beard
kuma	bearing
silo	beast
kushaya	beat
kuhle	beautiful
kuyabukeka	beautiful
buhle	beauty
kube	became
ngobe	because
yiba	become
umbhedze	bed
likamelo lekulala	bedroom
inyosi	bee
inyama yenkomo	beef
be	been
tjwala	beer
ngaphambi	before
calile	began
cala	begin
ekucaleni	beginning
ngenca yakhe	behalf
kkutiphatsa	behave
kutiphatsa	behavior
kutiphatsa	behaviour
ngemuva	behind
kuba	being
kholwa	belief
kukholelwa	believe
sisu	belly
kuka-	belong
lotsandzekako	beloved
ngentansi	below
libhande	belt
lebentji	bench
gobisa	bend
ngaphansi	beneath
inzuzo	benefit
zuza	benefit
tinzuzo	benefits
eceleni kwa-	beside
ngaphandle kwa-	beside
eceleni kwa-	besides
ngaphandle kwa-	besides
lokuhle kakhulu	best
inhlanhla lenhle kakhulu	best of luck
ncono	better
emkhatsini	between
sinatfo	beverage
ngetulu	beyond
SiBhojpuri	Bhojpuri
kubandlulula	bias
kubandlulula	biased
ibhayisikili	bicycle
yala	bid
lokukhulu	big
sidududu	bike
sikwenedi	bill
umtsetfo	bill
bopha	bind
inyoni	bird
lilanga lekwetalwa	birthday
kancane	bit
luma	bite
muncu	bitter
mnyama	black
nkemba	blade
beka licala	blame
lingenalutfo	blank
ingubo	blanket
chuma	blast
enta kubemhlophe	bleach
xubanisa	blend
busisa	bless
busisile	blessed
impumputhe	blind
intokozo	bliss
injabulo	bliss
isigaxa	block
kuvimba	block
ingati	blood
kuchakaza	bloom
shaya	blow
luhlata sasibhakabhaka	blue
kuthuntu	blunt
libhodi	board
sikebhe	boat
umtimba	body
bilisa	boil
nesibindzi	bold
isibopho	bond
litsambo	bone
incwadzi	book
kuphula	boost
lekhuphulako	booster
ibuthi	boot
umkhawulo	border
umncele	border
kubanga situnge	bore
kuba nesitunge	bored
kube nesitunge	boring
kutalwa	born
kuboleka	borrow
umphatsi	boss
kokubili	both
khatsata	bother
kuhlupa	bother
libhodlela	bottle
since	bottom
kutsenga	bought
kubuyisa	bought
kweca	bounce
khawulisa	bound
mikhawulo	boundaries
khotsama	bow
indishi	bowl
libhokisi	box
mfana	boy
buhlalu	bracelet
ingcondvo	brain
bucopho	brain
igatja	branch
isikhuni	brand
luphawu	brand
nesibindzi	brave
phula	breach
sinkwa	bread
kuphula	break
kudla kwasekuseni	breakfast
libele	breast
umoya	breath
phefumula	breathe
tala	breed
sitini	brick
makoti	bride
libhuloho	bridge
mfishane	brief
khazimulako	bright
chamile	brilliant
kuletsa	bring
mnaka	bro
bandzi	broad
sakata	broadcast
ngena mali	broke
phulile	broke
phukile	broken
umshanyelo	broom
umnaka	brother
mkhwenye	brother in law
mlamu	brother in law
kuletsa	brought
ntsundu	brown
shanyela	brush
hlangula	brush
libhaketi	bucket
umgani	buddy
luhlelotimali	budget
imbungulu	bug
ukwakha	build
yakha	build
umakhiwo	building
yakhiwe	built
bukhulu	bulk
inkunzi	bull
sichwaga	bully
gadlata	bump
incumbi	bundle
umtfwalo	burden
ncwaba	buried
shisa	burn
chuma	burst
ncwaba	bury
libhasi	bus
emhlatsini	bush
libhizinisi	business
sifuba	bust
matasa	busy
kodvwa	but
libhotela	butter
luvivane	butterfly
likinobho	button
tsenga	buy
nga	by
ngeku	by
ngendlela	by the way
likhabishi	cabbage
umkhandlu	cabinet
likhabetse	cabinet
likheji	cage
sicu	cage
likhekhe	cake
litfole	calf
kubita	call
ngibite	call me
bite	called
moya lophansi	calm
kuthula	calm
fikile	came
umkhankhaso	campaign
kukwati	can
angeke	can't
Khansela	Cancel
umdlavuza	cancer
uyakwati	capable
kukhona	capacity
imali	capital
inhlokodolobha	capital
umbhalo longentasi	caption
tsatsa	capture
tfumba	capture
imoto	car
umsebenti lokhetsiwe	career
caphela	careful
ngekucaphelisisa	carefully
kunganaki	careless
kunakekela	caring
umbati	carpenter
ikhaphethi	carpet
icarrot	carrot
tfwala	carry
chubeka	carry on
enta	carry out
simo	case
licala	case
imali	cash
balingisi	cast
beka	cast
sigodlo	castle
melula	casual
likati	cat
bamba	catch
isigaba	category
tinkhomo	cattle
banjiwe	caught
bangela	cause
sibangelo	cause
siyalo	caution
sicapheliso	caution
cwayile	cautious
caphele	cautious
umhume	cave
gawuka	cease
khawuka	cease
isilingi	ceiling
bonga	celebrate
gubha	celebrate
likamelwana	cell
lingcamuzana	cell
sikhungo	center
likhulu leminyaka	century
inhlamvu kakolweni	cereal
umkhosi	ceremony
umgidi	ceremony
lokutsite	certain
cinisekile	certain
ngempela	certainly
sitifiketi	certificate
liketango	chain
sihlalo	chair
beka insayeya	challenge
insayeya	challenge
sola	challenge
litfuba	chance
kugucuka	change
kushintja	change
inhlekelele	chaos
ubuntfu	character
isici	character
similo	characteristics
isici	characteristics
licala	charge
bhadalisa	charge
isisa	charity
umhawu	charity
bukekako	charming
lishadi	chart
imephu	chart
cosha	chase
kucoca	chat
kushibhile	cheap
khohlisa	cheat
kukhohlisa	cheating
kuhlola	check
sihlatsi	cheek
jabula	cheer
yenama	cheer
kwenama	cheerful
kujabula	cheerful
kujabula	cheers
ushizi	cheese
tsandza	cherish
sifuba	chest
hlafuna	chew
inkhukhu	chicken
indvuna	chief
inkhosi	chief
umntfwana	child
buntfwana	childhood
bantfwana	children
kubandza	chill
kugodvola	chill
lishimula	chimneys
silevu	chin
shokoledi	chocolate
kukhetsa	choice
khetsa	choose
ncuma	chop
gawula	chop
misebenti	chores
sigaca	chubby
lisontfo	church
sinamoni	cinnamon
imbulunga	circle
ndzingiliti	circle
timo	circumstances
sakhamuti	citizen
lidolobha	city
sicelo	claim
cacisa	clarify
sigaba	class
likilasi	class
licembu	class
lubumba	clay
hlanta	clean
sula	clear
mabhalane	clerk
hlakaniphile	clever
likhasimende	client
liwa	cliff
litulu	climate
gibela	climb
namatselako	clingy
liwashi	clock
vala	close
likamelwana	closet
indvangu	cloth
tingubo	clothes
lifu	cloud
kunemafu	cloudy
lowenta emahlaya	clown
luphawu	clue
isici	clue
mabhadabhada	clumsy
liviyo	cluster
umbutfo	cluster
umceceshi	coach
emalahle	coal
lusentse lelwandle	coast
huca	coat
ingubo	coat
likhofi	coffee
komcondvo	cognitive
kuhlangana kwetintfo	coincidence
kubandza	cold
bhidlika	collapse
siphika	collar
losebenta naye	colleague
losebenta nabo	colleagues
butsa	collect
lokubutsiwe	collection
likolishi	college
umbala	color
imicabango yenta kutsi incondvo igijime	colorless green ideas slept furiously
umbala	colour
insika	column
luhlu	column
likamu	comb
inhlanganisela	combination
hlanganisa	combine
fika	come
wota	come
wota lapha	come here
buya	come on
asihambe	come on
dvudvuta	comfort
dvudvutekako	comfortable
kuyeta	coming
lokutako	coming
kuyeta masinyane	coming soon
layeta	command
khuta	command
phawula	comment
sikhangiso	commercial
kwebhizinisi	commercial
inzuzo, thuma	commission
tibophe	commit
yenta	commit
sibopho	commitment
wentile	committed
impahla	commodity
lokuvamile	common
khulumisana	communicate
kukhulumisana	communication
umphakatsi	community
nciphisa	commute
hamba	commute
umngani	companion
umhlanganyeli	companion
inkhampani	company
catsanisa	compare
fanisa	compare
kucatsanisa	comparison
kufanisa	comparison
bubele	compassion
sihawu	compassion
nesihawu	compassionate
nobubele	compassionate
faneleko	compatible
phikisana	compete
ncintisana	compete
fanelekako	competent
nelikhono	competent
umncintiswano	competition
ncintisanako	competitive
khala	complain
sola	complain
sikhalo	complaint
insolo	complaint
okugcwalisako	complement
phelelisa	complete
cedza	complete
ngokuphelele	completely
didako	complex
phicako	complex
kulandzela	compliance
kuhambisana	compliance
lukhuni	complicated
inkhimbinkhimbi	complicated
bongela	compliment
halalisela	compliment
landzela	comply
tfobela	comply
kuhlanganiswa	composition
inkomponi	compound
kuvisisa	comprehension
kucondza	comprehension
gcwele	comprehensive
banzi	comprehensive
hlehla	compromise
tehlise	compromise
phocako	compulsory
ingcondvomshini	computer
nakisisa	concentrate
umcondvo	concept
kukhatsateka	concern
khatsatekile	concerned
likhonsati	concert
siphetfo	conclusion
kocobo	concrete
simo	condition
timo	conditions
umkhuba	conduct
kutiphatsa	conduct
umhlangano	conference
vuma	confess
kutetsemba	confidence
kutetsemba	confident
kuciniseka	confident
cinisekisa	confirm
kuphambana	conflict
didekile	confused
kudideka	confusion
halala	congrats
halala	congratulation
halala	congratulations
kuhlangana	conjunction
hlanganisa	connect
chumanisa	connect
hlula	conquer
ncoba	conquer
kwati	conscious
kuphaphama	consciousness
kwati	consciousness
imvume	consent
kuvuma	consent
miphumela	consequences
konga	conservation
gcina	conservative
cabanga	consider
cabangele	considered
bunjwa	consist
kufana	consistency
kuyija	consistency
kuvumelana	consistency
fanako	consistent
vumelanako	consistent
cinile	constant
njalo	constantly
tonkhe tikhatsi	constantly
kucumba	constipation
kwakha	construction
dla	consume
natsa	consume
sebentisa	consume
kusebentisa	consumption
kudla	consumption
kunatsa	consumption
tsintsa	contact
chumana	contact
tselelanwako	contagious
tsatselanwako	contagious
cukatsa	contain
phatsa	contain
lokucuketswe	contains
sikhatsi sinye	contemporary
kudzelela	contempt
kunetiseka	content
lwela	contest
banga	contest
umongo	context
livekazi	continent
chubeka	continue
sivumelwano	contract
hlukanisa	contrast
nikela	contribute
umnikelo	contribution
lawula	control
phikisanako	controversial
kumelula	convenience
kuzuzisa	convenience
kumelula	convenient
lokulungele	convenient
kuyazuzisa	convenient
kucoca	conversation
kugucula	convert
phendvula	convert
yisa	convey
dlulisela	convey
kholisa	convince
kholisekile	convinced
pheka	cook
kupheka	cooking
pholile	cool
kusebentisana	cooperation
bhekana	cope
litfusi	copper
umgogodla	core
ummbila	corn
likhona	corner
lungile	correct
lungisa	correct
biza	cost
kugcoka	costume
indlwana	cottage
kotini	cotton
usofa	couch
khwehlela	cough
ngahle	could
libandla	council
bala	count
litafula	counter
live	country
indzawo yasemakhaya	countryside
bubili	couple
sibindzi	courage
indlela	course
inkantolo	court
bumnene	courtesy
buhle	courtesy
umzala	cousin
sivikelo	cover
inkhomo	cow
ligwala	coward
inkhala	crab
imfa	crack
buciko	craft
shayisa	crash
sifiso	craving
canca	crawl
kuhlanya	crazy
dala	create
sungula	create
yenta	create
dalako	creative
yentako	creative
sungulako	creative
ludvumo	credit
sikweleti	credit
kuhamba ngesisu	creep
shacisako	creepy
libandla	crew
amatilosi	crew
bugebengu	crime
inhlekelele	crisis
timo tekuncuma	criteria
bucayi	critical
solako	critical
kuphikisa	criticism
kusola	criticism
silimo	crop
tilimo	crops
siphambano	cross
ligwababa	crow
sicumbi	crowd
sicuku	crowd
bantfu banyenti	crowded
umchele	crown
bucayi	crucial
nonya	cruel
hamba ngokhumbi	cruise
fihlita	crush
pitjita	crush
khala	cry
liselwa	cucumber
gona	cuddle
emasiko	culture
nobucili	cunning
hlakaniphile	cunning
inkomishi	cup
likhabethe	cupboard
thiba	curb
yelapha	cure
sikhatsi lesibekiwe	curfew
sifiso sekwati	curiosity
nesifiso sekwati	curious
gocekile	curly
imali	currency
kwanyalo	current
nyalo	currently
sicalekiso	curse
calekisa	curse
likhethini	curtain
umcamelo	cushion
lisiko	custom
umkhuba	custom
kutsenga	custom
likhasimende	customer
tekutsenga	customs
sika	cut
kuhle	cute
lokubukekako	cute
yingilita	cycle
kugibela libhayisikili	cycling
babe	dad
babe	daddy
onkhe malanga	daily
ideli	dairy
damu	dam
monakalo	damage
calekisa	damn
mswakama	damp
bumanti	damp
kudansa	dance
ingoti	danger
ingoti	dangerous
bumnyama	dark
fiphala	dark
tsandzekako	darling
jikijela	dash
datha	data
lilanga	date
lusuku	date
indvodzakati	daughter
lilanga	day
lofile	dead
sikhatsi lesibekiwe	deadline
sithulu	deaf
kubhekena	deal
sivumelwano	deal
lotsandzekako	dear
Bomkhe Labatsandzekako	Dear All
Likhasimende Lelitsandzekako	Dear Customer
Batali Labatsandzekako	Dear Parents
Mnumzane Lotsandzekako	Dear Sir
Bafundzi Labatsandzekako	Dear students
Licembu Lelitsandzekako	Dear Team
kufa	death
kuphikisana	debate
sikweleti	debit
imfucufucu	debris
sikweleti	debt
lishumi leminyaka	decade
kubola	decay
lofile	deceased
loshinile	deceased
khohlisa	deceive
desemba	december
hloniphile	decent
fanele	decent
ncuma	decide
ncumile	decided
sicumo	decision
ideki	deck
yencaba	decline
ncipha	decrease
nikele	dedicated
kutinikela	dedication
incwadzi yesibopho	deed
sento	deed
julile	deep
nyamazana	deer
liphutsa	default
ncoba	defeat
vikela	defend
chaza	define
nakanjani	definitely
incazelo	definition
lizinga	degree
kuphotisa	delay
photisile	delayed
sula	delete
ngabomu	deliberate
bucayi	delicate
lokumnandzi	delicious
jabulisa	delight
jabulile	delighted
khulula	deliver
hambisa	deliver
hambisa	delivered
khululile	delivered
lokuhanjisiwe	delivery
kukhulula	delivery
kufuna	demand
kufuna	demanding
busa ngetsandvo yeningi	democracy
demoni	demon
bonisa	demonstrate
ncatjelwe	denied
kuminyana	density
dokotela wematinyo	dentist
ncaba	deny
sigaba	department
kuhamba	departure
tsemba	depend
ncika	depend
tfumela	deploy
beka	deposit
dzabukile	depressed
kudzabuka	depression
kushona	depth
chaza	describe
incazelo	description
ihlane	desert
fanele	deserve
fanela	deserve
klama	design
incasiselo	designation
sifiso	desire
ideski	desk
phela litsemba	despair
phelelwa litsemba	desperate
nanobe	despite
kuphela	destination
lapho kuyiwa khona	destination
lokumiselwa	destiny
citha	destroy
diliza	destroy
imbubiso	destruction
umniningwane	detail
mininingwane	details
bona	detect
tfola	detect
kutimisela	determination
kutimisela	determine
timisele	determined
lahlekelwe	devastated
tfutfukisa	develop
tfutfukile	developed
kutfutfukiswa	development
umklamo	device
udeveli	devil
tsembekile	devoted
kutinikela	devoted
SiDhivehi	Dhivehi
sifo sashukela	diabetes
umsheko	diarrhea
idayari	diary
sichazamagama	dictionary
yentile	did
kufa	die
file	died
kudla	diet
mahluko	difference
letehlukene	different
lokungafani	different
lukhuni	difficult
imba	dig
sitfunti	dignity
kutsele	diligent
lidina	dinner
cwilisa	dip
condzile	direct
condzisa	direct
kucondzisa	direction
mcondzisi	director
kuncola	dirt
ncolile	dirty
khubata	disable
khubatekile	disabled
nyamalala	disappear
dvumele	disappointed
nhlekelele	disaster
lahla	discard
kukhulula	discharge
yala	discipline
nciphisa imali	discount
bona	discover
kubandlulula	discrimination
kucoca	discuss
kucoca	discussion
sifo	disease
tifo	diseases
kutifihla	disguise
nyanyekako	disgusting
indishi	dish
tindishi	dishes
hambisa	dismiss
tfumela	dispatch
bonisa	display
lahla	disposal
phikisana	dispute
banga	distance
hlukile	distinct
hlukanisa	distinguish
lusizi	distress
kuhlupheka	distress
kwabeka	distribution
sifundza	district
phatamisa	disturb
umsele	ditch
cwila	dive
lokungafani	diverse
lokungafani	diversity
hlukanisa	divide
kankhulunkhulu	divine
sihlukaniso	divorce
divosa	divorce
siyeti	dizzy
yenta	do
uya	do you
uyanitsandza	do you love me
dokotela	doctor
umbhalo	document
incwandzi	document
kuyenta	does
akakwenti	doesn't
inja	dog
SiDogri	Dogri
kwenta	doing
nodoli	doll
indzawo lebusako	domain
yasekhaya	domestic
phatsako	dominant
busako	dominant
yeka	don't
ungakhatsateki	Don't worry
nikela	donate
kwentiwe	done
imbongolo	donkey
lumba	dope
phindziwe	double
kubili	double
kungabata	doubt
inhlama	dough
phansi	down
downiloda	download
lipulani	draft
donsa	drag
hudula	drag
minya	drain
omisa	drain
umdlalo	drama
kudvweba	draw
umdvwebi	drawer
umdvwebo	drawing
saba kakhulu	dread
phupha	dream
gcoka	dress
ingubo	dress
lijombolo	drill
natsa	drink
kushayela	drive
wisa	drop
iconsi	drop
wisile	dropped
isomiso	drought
dakiwe	drunk
omile	dry
lidada	duck
mnaka	dude
lokufanele	due
ngenca	due to
lufifi	dull
simungulu	dumb
lahla	dump
budze besikhatsi	duration
ngesikhatsi	during
uthuli	dust
msebenti	duty
hlala	dwell
kwakha	dwell
kufa	dying
ngamunye	each
lomunye nalomunye	each other
fisako	eager
shisekelako	eager
lusweti	eagle
indlebe	ear
ngaphambilini	earlier
kunesikhatsi	early
tfola	earn
zuza	earn
tindlebe	ears
umhlaba	earth
kutamatama kwemhlaba	earthquake
melula	ease
kukhululeka	ease
kahle	easily
melula	easily
emphumalanga	east
melula	easy
idla	eat
kudla	eating
kwemnotfo	economic
umnotfo	economy
isicongo	edge
lungisa	edit
hlela	edit
imfundvo	education
umphumela	effect
kuyasebenta	effective
kusebenta kahle	efficiency
kusebenta kahle	efficient
imetamo	effort
licandza	egg
kutigcabha	ego
siphohlongo	eight
lishumi nesiphohlongo	eighteen
mashumi lasiphohlongo	eighty
nobe	either
kungaba	either
cacisa	elaborate
ingcosa	elbow
muntfu lomdzala	elder
muntfu lokhulile	elderly
lenhle kakhulu	elegant
sici	element
indlovu	elephant
lishumi nakunye	eleven
fanelekako	eligible
susa	eliminate
lokunye	else
namahloni	embarrassed
nemahloni	embarrassing
gona	embrace
vela	emerge
simo lesiphutfumako	emergency
imiva	emotional
luvelo	empathy
kugcizelela	emphasis
kucinisa	emphasis
gcizelela	emphasize
cinisa	emphasize
sisebenti	employee
tisebenti	employees
umcashi	employer
umsebenti	employment
lelite	empty
nika emandla	enable
hlangabetana	encounter
khutsata	encourage
cedza	end
faka engotini	endangered
tama	endeavor
kukhutsatela	endurance
khutsatela	endure
sitsa	enemy
emandla	energy
tsembisa umshado	engage
hlanganyela	engage
tsembisene umshado	engaged
hlanganyele	engaged
ukuhlanganyela	engagement
ukutsembisa umshado	engagement
injini	engine
unjiniyela	engineer
siNgisi	English
khulisa	enhance
jabulela	enjoy
lokukhulu kakhulu	enormous
kwenele	enough
cinisekisa	ensure
ngena	enter
kutijabulisa	entertainment
umdlandla	enthusiasm
nomdlandla	enthusiastic
phelele	entire
lilungelo	entitled
ubunye	entity
kungena	entrance
somabhizinisi	entrepreneur
imvilophu	envelope
indzawo lesiphila kuyo	environment
umhawu	envy
umona	envy
lokukhulu	epic
lubhubhane	epidemic
linganako	equal
impahla	equipment
ukulingana	equity
kulingana	equivalent
intfo yekusula	eraser
liphutsa	error
sindza	escape
baleka	escape
ikakhulukati	especially
indzaba	essay
umsuka	essence
kubalulekile	essential
misa	establish
misile	established
isikhundla	estate
impahla	estate
linganisela	estimate
linganiselwako	estimated
njll	etc
phakadze	eternal
kutiphatsa	ethics
hlola	evaluate
kuhlola	evaluation
linganako	even
ngisho	even
ngisho nobe	even though
entsambama	evening
umcimbi	event
ekugcineni	eventually
njalo	ever
konkhe	every
bantfu bonkhe	everybody
bantfu bonkhe	everyone
wonkhe umuntfu	everyone
konkhe	everything
bufakazi	evidence
lokubi	evil
kugucuka	evolution
gucuka	evolve
Si-Ewe	Ewe
kadze	ex
yikho	exact
cinisile	exact
ncamashi	exactly
kanye	exactly
ngalokucondzile	exactly
kuhlola	exam
phenya	examine
hlola	examine
sibonelo	example
dlula	exceed
kuhle kakhulu	excellent
ngaphandle	except
ngaphandle kwa-	exception
ukudlula	excess
lokusele	excess
dlulile	excessive
ecileko	excessive
shintjanisa	exchange
phambanisa	exchange
jabule kakhulu	excited
injabulo	excitement
jabulisako	exciting
khetsekile	exclusive
isaba	excuse
ngiyacolisa	excuse me
gcina	execute
yenta	execute
kwenta	execution
kugcina	execution
emandla okwenta	executive
kutivocavoca	exercise
cedza emandla	exhaust
khatsele	exhausted
bukisa	exhibit
bonisa	exhibit
umbukiso	exhibition
yiba khona	exist
ukuba khona	existence
kukhona	existing
phuma	exit
khulisa	expand
nweba	expand
kulindzela	expect
lokulindzelwe	expected
tindleko	expenses
kudula	expensive
kuva	experience
lokwentekile	experience
kulinga	experiment
lonelikhono	expert
kuphelelwe sikhatsi	expired
chaza	explain
incazelo	explanation
chaphata	exploit
hlola	explore
tfumela	export
dalula	expose
veza	expose
daluliwe	exposed
kuveza	exposure
isho	express
ukusho	expression
nweba	extend
nwebile	extended
kuchubekisa	extension
budze	extent
bukhulu	extent
ngaphandle	external
akusekho	extinct
ngetulu	extra
khipha	extract
ngavamile	extraordinary
mangalisako	extraordinary
khulu kakhulu	extreme
lokudlulele	extreme
kakhulu	extremely
lihlo	eye
mehlo	eyes
indvwangu	fabric
mangalisako	fabulous
bhekana	face
buso	face
lulngiselela	facilitate
tikhungo	facilities
sikhugo	facility
liciniso	fact
sici	factor
imboni	factory
emaciniso	facts
fiphala	fade
hluleka	fail
hlulekile	failed
kuhluleka	failure
culeka	faint
kungakhetsi	fair
kahle	fairly
lukholo	faith
litsemba	faith
loneciniso	faithful
lotsembekako	faithful
inkhohliso	fake
kuwa	fall
emanga	FALSE
ludvumo	fame
