неуна	a little
дугӧдны	cease
пӧтӧлӧк	ceiling
пасйыны	celebrate
клетка	cell
шӧрин	center
шӧр	center
нэм	century
изӧм тусьяс	cereal
церемония	ceremony
падъявтӧм	certain
дзик стӧч	certainly
сертификат	certificate
чеп	chain
улӧс	chair
пуктыны зэв ыджыд мог	challenge
мытшӧд	challenge
позянлун	chance
вежлавны	change
хаос	chaos
персонаж	character
аслыспӧлӧслунъяс	characteristics
зарадитны	charge
благотворительносьт	charity
мусаник	charming
диаграмма	chart
вӧтчыны	chase
вӧтчӧм	chase
сёрнитны	chat
сёрни	chat
абу дона	cheap
донтӧм	cheap
пӧрйӧдлыны	cheat
ылӧдлӧм	cheating
видлалӧм	check
видлавны	check
бан бок	cheek
ышӧдны	cheer
кыпыд	cheerful
ошкӧм	cheers
сыр	cheese
химия	chemistry
вылӧ пуктыны	cherish
шахмат	chess
нёнь	chest
морӧс	chest
курччавны	chew
курӧг	chicken
ыджыд	chief
кага	child
челядьдыр	childhood
челядь	children
кӧдзыд	chill
тшын петан трубаяс	chimneys
тшӧка	chin
шоколад	chocolate
бӧрйӧм	choice
бӧрйыны	choose
керавны	chop
гортгӧгӧрса удж	chores
кызіник	chubby
вичко	church
корича	cinnamon
кытш	circle
обстоятельствояс	circumstances
гражданин	citizen
кар	city
шыӧдчӧм	claim
шыӧдчыны	claim
гӧгӧрвоӧдны	clarify
класс	class
сёй	clay
сӧстӧм	clean
сэзь	clear
весавны	clear
служащӧй	clerk
сюсь	clever
клиент	client
кыр	cliff
климат	climate
кайны	climb
кӧвъясьысь	clingy
часі	clock
сиптыны	close
пӧдлавны	close
шкап	closet
дӧра	cloth
паськӧм	clothes
кымӧр	cloud
кымӧра	cloudy
серам петкӧдлысь	clown
тупыль	clue
укшаль	clumsy
роз	cluster
тренер	coach
тренируйтны	coach
из шом	coal
вадор	coast
пальто	coat
кофе	coffee
когнитивнӧй	cognitive
лӧсялӧм	coincidence
кӧдзыд	cold
пусь-пасьмунӧм	collapse
дом	collar
воротник	collar
уджъёрт	colleague
уджъёртъяс	colleagues
чукӧртны	collect
чукӧр	collection
колледж	college
рӧм	color
быгалӧм турунвиж мӧвпъяс яра узисны	colorless green ideas slept furiously
рӧм	colour
колонка	column
шыльӧдны	comb
ӧтлаалӧм	combination
йитлыны	combine
локны	come
лок татчӧ	come here
локтӧй татчӧ	come here
дугды	come on
комфорт	comfort
лӧсьыдлун	comfort
йӧмкӧа	comfortable
локтысь	coming
регыд лоас	coming soon
тшӧктыны	command
комментарий	comment
коммерческӧй	commercial
тшӧктӧм, тшӧктыны	commission
вӧчны	commit
сетчӧм	commitment
вӧчис	committed
вӧчӧма	committed
йӧзлы колана тӧвар	commodity
быд лунся	common
кутны йитӧд	communicate
йитӧд	communication
ӧткотыр	community
ӧтарӧ-мӧдарӧ ветлӧм	commute
ёрт	companion
котыр	company
ӧткодявны	compare
орччӧдӧм	comparison
жалитӧм	compassion
небыд сьӧлӧма	compassionate
лӧсялана	compatible
ордйысьны	compete
тӧдысь	competent
кужысь	competent
ордйысьӧм	competition
панласян	competitive
ордйысян	competitive
норасьны	complain
норасьӧм	complaint
содтӧд	complement
содтыны	complement
эштӧдны	complete
помавны	complete
тырвыйӧ	completely
тэчаса	complex
бура лӧсялӧм	compliance
тэчаса	complicated
ошкыштан кыв	compliment
кывзысьны	comply
тэчӧм	composition
ӧтлаӧдны	compound
гӧгӧрвоӧм	comprehension
тырвыйӧ	comprehensive
ӧти кывйӧ воӧдчӧм	compromise
ӧти кывйӧ воӧдчыны	compromise
быть колана	compulsory
компьютер	computer
чукӧртны	concentrate
гӧгӧрвоӧм	concept
тӧжд	concern
тӧждысьны	concern
майшасьысь	concerned
шызьӧм	concerned
тӧждӧ усьӧм	concerned
концерт	concert
кывкӧртӧд	conclusion
бетонысь	concrete
бетон	concrete
урчитӧмтор	condition
условиеяс	conditions
колльӧдны	conduct
нуӧдны	conduct
конференция	conference
висьтасьны	confess
зумыд эскӧм	confidence
падъявтӧм	confident
эскӧдны	confirm
зык-вен	conflict
шӧйӧвошӧм	confused
шай-паймунӧм	confusion
чолӧмалӧмъяс	congrats
чолӧмалӧм	congratulation
чолӧмалӧм	congratulations
йитӧм	conjunction
йитны	connect
босьтны	conquer
шедӧдны	conquer
вежӧра	conscious
садь	consciousness
лоны сӧглас	consent
ӧти кывйӧ воӧм	consent
кольӧмторъяс	consequences
видзӧм	conservation
важас кутчысьысь	conservative
мӧвпавны	consider
лыддьыссьӧ	considered
артмыны	consist
шыбласьтӧмлун	consistency
шыбласьтӧм	consistent
вежласьтӧм	constant
пыр	constantly
гырк йӧрмӧм	constipation
стрӧитчӧм	construction
видзны	consume
видзӧм	consumption
йитӧд	contact
йитчыны	contact
кӧвъясьысь	contagious
кутны	contain
артмӧ	contains
талунъя	contemporary
зывӧктӧм	contempt
сюрӧс	content
пытшкӧс	content
юриндалысь	content
ордйысьӧм	contest
контекст	context
континент	continent
водзӧ нуӧдны	continue
контракт	contract
топавны	contract
ёна торъявны	contrast
ёна торъялӧм	contrast
пуктыны пай	contribute
пай	contribution
видзӧдӧм	control
вензяна	controversial
лӧсьыдлун	convenience
лӧсялана	convenient
сёрни	conversation
выльӧн пыртӧм	convert
выльмӧдны	convert
новлӧдлыны	convey
эскӧдны	convince
эскысь	convinced
пусьысь	cook
пуны	cook
пусьыны	cook
пуӧм	cooking
пусьӧм	cooking
ыркыд	cool
зэв бур	cool
ӧтвылысь уджалӧм	cooperation
венны	cope
ыргӧн	copper
сьӧмӧс	core
кукуруза	corn
пельӧс	corner
веськыд	correct
сулавны	cost
дон	cost
костюм	costume
коттедж	cottage
туруншӧрт	cotton
диван	couch
кызны	cough
вермис	could
сӧвет	council
артавны	count
стойка	counter
страна	country
му	country
сикт-грезд	countryside
гоз	couple
повтӧмлун	courage
курс	course
ёрд	court
авъялун	courtesy
воча вок	cousin
вевттьыны	cover
мӧс	cow
полысь	coward
лӧсьыд	cozy
краб	crab
потас	crack
поткӧдны	crack
киподтуй	craft
сіт	crap
жугавны	crash
жугалӧм	crash
кӧсйӧм	craving
кыссьыны	crawl
йӧй	crazy
вӧчны	create
творческӧй	creative
кредит	credit
кыссьыны	creep
шуштӧм	creepy
команда	crew
мыж вӧчӧм	crime
дӧзмысь	cringe
куткыртчыны	cringe
кризис	crisis
муртӧсъяс	criteria
дивитана	critical
вежсян	critical
критика	criticism
урожай	crop
пуктас	crops
крест	cross
вомӧнавны	cross
кырныш	crow
рака	crow
йӧз чукӧр	crowd
уна йӧза	crowded
корона	crown
медтӧдчана	crucial
жаль тӧдтӧм	cruel
круиз	cruise
лямӧдны	crush
муслун	crush
лязӧдны	crush
бӧрдны	cry
горзыны	cry
ӧгуреч	cucumber
кутлысьны	cuddle
культура	culture
мудер	cunning
чашка	cup
сервант	cupboard
дор	curb
бурдӧдны	cure
бурдӧдчантор	cure
бурдӧм	cure
комендантскӧй час	curfew
тӧдны окотитӧм	curiosity
быдтор тӧдны кӧсйысь	curious
чикыль	curly
валюта	currency
визувтысь	current
тайӧ кадся	current
ӧнія	current
ӧнія здукӧ	currently
ӧнія кадӧ	currently
ёрӧм	curse
ёрны	curse
занавес	curtain
юрлӧс	cushion
оласног	custom
вӧдитчысь	customer
таможня ӧктас	customs
вундӧм	cut
вундыны	cut
муса	cute
кытш	cycle
велосипедӧн ветлӧм	cycling
пап	dad
батьӧ	daddy
быдлунся	daily
йӧв-вый	dairy
помӧд	dam
дойдны	damage
жугӧдӧм	damage
жугӧдны	damage
ёрӧм	damn
ва	damp
уль	damp
йӧктыны	dance
грӧз	danger
ӧпаснӧй	dangerous
пемыд	dark
дона	darling
чепӧсйӧм	dash
чепӧсйыны	dash
даннӧйяс	data
кадпас	date
аддзысьӧм	date
ныв	daughter
лун	day
кулӧм	dead
бӧръя кад	deadline
пельтӧм	deaf
артмӧдчыны	deal
артмӧдчӧм	deal
дона	dear
Дона ёртъяс	Dear All
Пыдди пуктана клиент	Dear Customer
Дона бать-мам	Dear Parents
Пыдди пуктана господин	Dear Sir
Пыдди пуктана студентъяс	Dear students
Пыдди пуктана команда	Dear Team
кулӧм	death
вензьӧм	debate
дебет	debit
коляс	debris
уджйӧз	debt
дас во	decade
сісьмӧм	decay
тшыксьӧм	decay
кувсьӧм	deceased
ылӧдлыны	deceive
ӧшым	december
вежавидзысь	decent
решитны	decide
решитіс	decided
решитӧм	decision
помшуӧм	decision
палуба	deck
вештыны	decline
чинтыны	decrease
чинны	decrease
сьӧлӧмсянь сетчӧм	dedicated
сиӧм	dedication
вӧчӧм	deed
джуджыд	deep
кӧр	deer
водзвыв индӧм	default
водзвыв пуктӧм	default
пасьвартӧм	defeat
вермыны	defeat
дорйыны	defend
урчитны	define
стӧча	definitely
гӧгӧрвоӧдӧм	definition
тшупӧд	degree
сёрмӧм	delay
сёрмӧдны	delay
сёрмӧм	delayed
киритны	delete
чышкыны	delete
водзвыв артыштӧм	deliberate
мелі	delicate
чӧскыд	delicious
нимкодясьӧм	delight
нимкодь	delighted
вайны	deliver
вайӧм	delivered
вайӧм	delivery
тшӧктӧм	demand
тшӧктыны	demand
требуйтан	demanding
требуйтысь	demanding
демократия	democracy
мути	demon
пеж лов	demon
мыччӧдны	demonstrate
ӧткажитіс	denied
тшӧкыдлун	density
пинь бурдӧдысь	dentist
соссьыны	deny
юкӧн	department
мунӧм	departure
зависитны	depend
паськӧдны	deploy
пай	deposit
пуктыны	deposit
дзугыль	depressed
депрессия	depression
джуджда	depth
серпасавны	describe
опишитны	describe
серпасалӧм	description
опишитӧм	description
висьталӧм	description
овтӧмин	desert
пустыня	desert
сулавны	deserve
дизайн	design
проектируйтны	design
индӧм	designation
кӧсйӧм	desire
кӧсйыны	desire
пызан	desk
шогӧ усьӧм	despair
повтӧм	desperate
видзӧдтӧг	despite
юмовтор	dessert
воанін	destination
олантуй	destiny
бырӧдны	destroy
жугалӧм	destruction
деталь	detail
поснитор	detail
посниторъяс	details
казявны	detect
повтӧмлун	determination
гӧгӧрвоӧдны	determine
зумыд	determined
повтӧм	determined
рӧзӧритӧм	devastated
сӧвмӧдны	develop
сӧвмӧм	developed
сӧвмӧм	development
сӧвмӧдӧм	development
устройство	device
омӧль	devil
дявӧл	devil
сьӧлӧмӧн сетчӧм	devoted
Дивехи	Dhivehi
диабет	diabetes
мыт	diarrhea
луннебӧг	diary
кывкуд	dictionary
вӧчис	did
кувны	die
куліс	died
диета	diet
торъялӧм	difference
мӧд	different
сьӧкыд	difficult
кодйыны	dig
дон	dignity
зіль	diligent
ужын	dinner
рытъя сёйӧм	dinner
сунгыны	dip
веськыд	direct
нырвизь	direction
директор	director
няйт	dirt
няйт	dirty
кусӧдны	disable
вермытӧм	disabled
вошны	disappear
лача воштӧм	disappointed
неминуча	disaster
шыбитны	discard
пуксьӧдны	discharge
дисциплина	discipline
дон лэдзӧм	discount
восьтыны	discover
дзескӧдӧм	discrimination
видлавны	discuss
видлалӧм	discussion
висьӧм	disease
висьӧмъяс	diseases
маскируйтчыны	disguise
маскировка	disguise
зывӧк	disgusting
тасьті	dish
сёян	dish
тасьті-пань	dishes
вештыны	dismiss
ыстыны	dispatch
ыстӧм	dispatch
тыдӧдны	display
иналӧм	disposal
вензьӧм	dispute
кост	distance
ясыд	distinct
торъя	distinct
торйӧдны	distinguish
шог	distress
юклӧм	distribution
ясыд	district
дӧзмӧдны	disturb
ва кыскӧд	ditch
канава	ditch
сунавны	dive
уна сикаса	diverse
унасикаслун	diversity
юкны	divide
еннога	divine
юксьыны	divorce
юксьӧм	divorce
юр бергӧдчана	dizzy
керны	do
вӧчны	do
тэ	do you
ті	do you
тэ менӧ радейтан	do you love me
ті менӧ радейтанныд	do you love me
бурдӧдчысь	doctor
документ	document
вӧчӧ	does
оз	doesn't
пон	dog
Догри	Dogri
вӧчан	doing
вӧчысь	doing
акань	doll
кутантор	domain
гортса	domestic
вевтыртысь	dominant
оз ков	don't
Эн майшасьӧй	Don't worry
Эн майшась	Don't worry
сетны	donate
дась	done
осёл	donkey
употребляйтны наркотик	dope
сетны наркотик	dope
наркотик	dope
дзик ӧткодь морт	double
кыкпӧвставны	double
падъялӧм	doubt
падъявны	doubt
няньшом	dough
улӧ	down
грузитны	download
бала	draft
вӧчны бала	draft
кыскыны	drag
визувтӧм	drain
драма	drama
серпасавны	draw
ящик	drawer
серпас	drawing
повны	dread
полӧм	dread
кӧсйӧм	dream
кӧсйыны	dream
пасьтавны	dress
пасьтӧдны	dress
платтьӧ	dress
писькӧдны	drill
юантор	drink
юны	drink
шоперавны	drive
войт	drop
уськӧдны	drop
уськӧдіс	dropped
кос	drought
код	drunk
кос	dry
чӧж	duck
зон	dude
колана	due
вӧсна	due to
гажтӧм	dull
кывтӧм	dumb
шыблавны	dump
дыр	duration
дырйи	during
бус	dust
уджмог	duty
овны	dwell
кулысь	dying
быд	each
ӧта-мӧдӧс	each other
терпитны вермытӧм	eager
ляб	eager
кутш	eagle
пель	ear
водзджык	earlier
водз	early
нажӧвитны	earn
пельяс	ears
му	earth
му вӧрзьылӧм	earthquake
кокнилун	ease
кокньыда	easily
асыввыв	east
кокньыд	easy
сёйны	eat
сёйӧм	eating
экономика	economic
экономика	economy
дор	edge
бурмӧдны	edit
тӧдӧмлун босьтӧм	education
велӧдчӧм	education
эффект	effect
окталуна	effective
бура уджалӧм	efficiency
окталуна	efficient
выныштчӧм	effort
кольк	egg
баклажан	eggplant
ме	ego
кӧкъямыс	eight
дас кӧкъямыс	eighteen
кӧкъямысдас	eighty
либӧ	either
быд боксянь думыштны	elaborate
быд боксянь думыштӧм	elaborate
гырддза	elbow
ыджыдджык	elder
олӧма	elderly
пелькиник	elegant
элемент	element
слӧн	elephant
дас ӧти	eleven
инӧда	eligible
бырӧдны	eliminate
мӧд ногӧн	else
мӧд ног	else
родысь	embarrassed
шӧйӧвоштана	embarrassing
примитны	embrace
мыччысьны	emerge
видзчысьтӧм лоӧмтор	emergency
сьӧлӧм вӧрзьӧдан	emotional
эмпатия	empathy
тӧдчӧдӧм	emphasis
тӧдчӧдны	emphasize
уджалысь	employee
уджалысьяс	employees
удж сетысь	employer
удж вылӧ пырӧм	employment
куш	empty
тыртӧм	empty
пыртны	enable
зурасьӧм	encounter
зурасьны	encounter
ошкыны	encourage
ышӧдны	encourage
пом	end
грӧз улын	endangered
зіля уджалӧм	endeavor
винёвлун	endurance
терпитны	endure
враг	enemy
энергия	energy
вын	energy
пыртны	engage
кикутны	engage
кикутӧм	engaged
пырӧдчӧм	engagement
корӧм	engagement
кикутӧм	engagement
двигатель	engine
инженер	engineer
Англия	English
бурмӧдны	enhance
сьӧлӧм бурмӧдны	enjoy
нимкодясьны	enjoy
зэв ыджыд	enormous
тырмымӧн	enough
могмӧдны	ensure
пырны	enter
гажӧдчӧм	entertainment
водзмӧстчӧм	enthusiasm
сьӧлӧмсянь	enthusiastic
дзонь	entire
сетӧма инӧд	entitled
сюрӧс	entity
пыранін	entrance
ас вылӧ уджалысь	entrepreneur
конверт	envelope
ывла выв гӧгӧртас	environment
вежалӧм	envy
вежавны	envy
эпическӧй	epic
пӧрӧс	epidemic
ӧткодь	equal
оборудуйтӧм	equipment
оборудованньӧ	equipment
ӧткодьлун	equity
эквивалент	equivalent
вуштысян	eraser
шыбӧль	error
пышйыны	escape
пышйӧм	escape
торйӧн	especially
эссе	essay
сюрӧс	essence
колана	essential
лӧсьӧдны	establish
подулалӧм	established
овмӧс	estate
донъявны	estimate
чайтана	estimated
арталан	estimated
да с. в.	etc
помасьлытӧм	eternal
этика	ethics
донъявны	evaluate
дон	evaluation
весиг	even
кӧть	even though
рыт	evening
лоӧмтор	event
бӧръяпомас	eventually
пыр	ever
век	ever
быд	every
быдӧн	everybody
быдӧн	everyone
