a little	drusceņ
bread	maize
break	lauzt
break	puortraukums
breakfast	brūkaškys
breast	kryuts
breath	elpa
breathe	elpuot
breed	škirne
brick	kīgeļs
bride	leigova
bridge	tylts
brief	eiss
bright	spūdrs
brilliant	izcyls
bring	atnest
bro	bruoļ
broad	plots
broadcast	puorraide
broke	bez naudys
broken	salauzts
broom	slūta
brother	bruoļs
brother in law	svaiņs
brought	atnese
brown	bryuns
brush	ūta
bucket	spaņs
buddy	draugs
budget	budžets
bug	kukaiņs
build	ceļt
building	āka
built	calts
bulk	lelapjūma
bull	vierss
bully	kauslis
bump	sasist
bunch	kekars
bundle	saiškis
burden	apgryutynuojums
buried	aprokts
burn	degt
burst	pleits
bury	aprakt
bus	autobuss
bush	kryums
business	uzjāmums
bust	kryuts
busy	aizjimts
but	bet
butter	svīsts
butterfly	tauriņs
button	pūga
buy	nūpierkt
by	gar
by the way	cyta storpā
bye	atā
cabbage	kuopusts
cabinet	atviļktne
cabinet	kabinets
cage	būrs
cake	torte
calf	teļš
call	zvaneit
call me	pasauc mani
call me	pīzvoni man
called	saukt
calm	mīreigs
came	atguoja
campaign	kampaņa
can	varēt
can't	navar
Cancel	atceļt
cancer	viezs
capable	spiejeigs
capacity	jauda
capital	golvyspiļsāta
caption	nūkert
capture	nūkert
car	mašyna
career	karjera
careful	uzmaneigs
carefully	uzmaneigi
careless	bezryupeigs
caring	ryupeigs
carpenter	gaļdinīks
carpet	pakluojs
carrot	būrkons
carry	nest
carry on	turpynuot
carry out	izpiļdeit
case	līta
case	čemodans
cash	nauda
cast	akteru sastuovs
cast	ģipss
castle	piļs
casual	kasdīnišks
cat	kačs
catch	nūkert
category	kategoreja
cattle	lūpi
caught	nūkēre
cause	īmasls
caution	uzmaneiba
cautious	uzmaneigs
cave	ola
cease	beigt
ceiling	grīsti
celebrate	svinēt
cell	šyuna
center	centrs
century	godsymts
cereal	gryudaugi
ceremony	ceremoneja
certain	nūteikts
certainly	nūteikti
certificate	sertifikats
chain	kēde
chair	krāsls
challenge	izaicynuojums
chance	īspieja
change	izmaiņa
chaos	haoss
character	raksturs
characteristics	raksturuojums
charge	moksa
charity	lobdareiba
charming	burveigs
chart	diagramma
chase	kert
chat	pļuopuot
chat	ziņa
cheap	lāts
cheat	kruoptīs
cheating	kruoptīs
check	puorbaudeit
cheek	vaigs
cheer	uzmundrynuot
cheerful	prīceigs
cheers	prīkā
cheese	sīrs
chemistry	kimeja
cherish	nūviertēt
chess	šahs
chest	kryuts
chew	sakūdeit
chicken	vysta
chief	prīkšnīks
child	bārns
childhood	bierneiba
children	bārni
chill	vāss
chill	nauzatraukt
chimneys	škūrstyni
chin	zūds
chocolate	šokolads
choice	izvēle
choose	izavielēt
chop	nūgrīzt
chores	pīnuokumi
chubby	opoleigs
church	bazneica
cinnamon	kaniels
circle	riņčs
circumstances	apstuokli
citizen	pylsūņs
city	piļsāta
claim	pīprasēt
clarify	nūskaidruot
class	klase
clay	muols
clean	teirs
clear	skaidrs
clear	teirs
clerk	īrēdnis
clever	ospruoteigs
client	klients
cliff	kliņts
climate	klimats
climb	kuopt
clingy	lipeigs
clock	pulkstiņs
close	tyvai
closet	skaps
cloth	drēbe
clothes	drēbis
cloud	muokuļs
cloudy	muokuļains
clown	klauns
clue	muojīns
clumsy	naveiklys
cluster	grupeņa
coach	treners
coal	ūgle
coast	krosts
coat	mieteļs
coffee	kopejs
cognitive	izzinis
coincidence	sakriteiba
cold	solts
collapse	sabrukt
collar	apkakle
colleague	kolega
colleagues	kolegi
collect	savuokt
collection	kolekceja
college	augstškola
color	kruosa
colorless green ideas slept furiously	bezkruosainys zalis idejis sirdeigai gulēja
colour	kruosa
column	kolonna
comb	ķemme
combination	salykums
combine	savīnuot
come	nuokt
come here	aj šur
come on	eimom
comfort	ārtums
comfortable	ārts
coming	ajūšs
coming soon	byus dreizumā
command	komandēt
comment	komentars
commercial	komercials
commission	komiseja
commit	apsajimt
commitment	saisteibys
committed	apsajiems
commodity	prece
common	kūpeigs
common	izplateits
communicate	sasarunuot
communication	komunikaceja
community	kūpīna
commute	ceļš iz dorbu
companion	pavadūņs
company	uzjāmums
compare	saleidzynuot
comparison	saleidzynuojums
compassion	leidzjiuteiba
compassionate	leidzjiuteigs
compatible	sadereigs
compete	sasaceņst
competent	kompetents
competition	saceņseibys
competitive	konkrētspiejeigs
complain	syudzētīs
complaint	syudzeiba
complement	kompliments
complete	pabeigt
completely	pavysam
complex	sarežgeits
compliance	atbiļsteiba
complicated	sarežgeitai
compliment	kompliments
comply	īvāruot
composition	sastuovs
compound	savīnuojums
comprehension	izpratne
comprehensive	vysaptverūšs
compromise	kompromiss
compulsory	obligats
computer	dators
concentrate	koncentrētīs
concept	koncepts
concern	problema
concerned	uzatraucss
concert	koncerts
conclusion	nūbeigums
concrete	betons
condition	stuovūklis
conditions	nūsacejumi
conduct	vadeit
conference	konfereņce
confess	atsazeit
confidence	puorlīceiba
confident	puorlīcynuots
confirm	apstyprynuot
conflict	streids
confused	apjucs
confusion	apjukums
congrats	sveicīņs
congratulation	sveicīns
congratulations	apsveicu
conjunction	savīnuojums
connect	sasavīnuot
conquer	īkaruot
conscious	pi samanis
consciousness	apziņa
consent	pīkrisšona
consequences	sekys
conservation	saglobuošona
conservative	konservatis
consider	apsvērt
considered	apdūmuots
consist	satur
consistency	konsekveņce
consistent	konsekvents
constant	pastuoveigs
constantly	vysu laiku
constipation	aizcītiejums
construction	byuvnīceiba
consume	patērēt
consumption	patiereņš
contact	kontakts
contagious	lipeigs
contain	saturēt
contains	satur
contemporary	myusdīneigs
contempt	nycynuojums
content	saturs
contest	konkurss
context	konteksts
continent	kontinents
continue	turpynuot
contract	leigums
contrast	kontrasts
contribute	īsaguļdēt
contribution	īguļdejums
control	kontrolēt
controversial	pretruneigs
convenience	ierteiba
convenient	parūceigs
conversation	saruna
convert	konvertēt
convey	nūdūt
convince	puorlīcynuot
convinced	puorlīcynuots
cook	gataveit
cooking	taisūt ēst
cool	forši
cooperation	sadarbeiba
cope	tikt golā
copper	varš
core	kūdūls
corn	kukuruza
corner	styurs
correct	pareizs
cost	cena
costume	kostims
cottage	vosorneica
cotton	kūkvylna
couch	divans
cough	kuoss
could	varātu
council	padūme
count	skaiteit
counter	skaiteituojs
counter	preteji
country	vaļsts
countryside	lauki
couple	puors
courage	drūsme
course	vierzīņs
court	tīsa
courtesy	pīkluojeiba
cousin	bruolāns
cousin	muoseica
cover	apkluot
cow	gūvs
coward	lāpuļs
cozy	ārts
crab	krabs
crack	plaisa
craft	omotnīceiba
crap	syuds
crash	avareja
craving	gribēšona
crawl	ruopuot
crazy	troks
create	radeit
creative	rodūšs
credit	kredits
creep	ruopot
creep	napateikams cylvāks
creepy	spūceigs
crew	komanda
crime	nūzīgums
crisis	krīze
criteria	kriterejs
critical	kritisks
criticism	kritika
crop	labeiba
crop	grīzt
crops	labeiba
cross	krysts
crow	vuorna
crowd	pyuļs
crowded	puorbuozts
crown	krūņs
crucial	svareigs
cruel	nažieleigs
cruise	kruizs
crush	sagraut
cry	raduot
cucumber	ogūrcs
cuddle	samīļuot
culture	kultura
cunning	viļteigs
cup	krūze
cupboard	skaps
curb	apmale
cure	dzīdēt
cure	zuolis
curfew	komandantstuņde
curiosity	ziņkuoreiba
curious	ziņkuoreigs
curly	čirkains
currency	valuta
current	tagadejais
current	straume
currently	niu
curse	luosts
curtain	aizkors
cushion	spylvyns
custom	īrodums
customer	klients
customs	īrodumi
customs	muita
cut	grīzt
cute	mīleigs
cycle	cikls
cycling	braukt ar ritini
dad	paps
daddy	paps
daily	kotru dīnu
dairy	pīna produkti
dam	dambis
damage	būjuojumi
damn	valna
damp	mytrs
dance	deja
danger	brīsmis
dangerous	beistams
dark	tymss
darling	duorgums
dash	dūmuzeime
data	datums
date	datums
daughter	meita
day	dīna
dead	mirs
deadline	termiņš
deaf	kurls
deal	darejums
dear	duorgais
Dear All	cīnejamī vysi
Dear Customer	duorgais klient
Dear Parents	cīnejamī vacuoki
Dear Sir	cīnejamais kungs
Dear students	cīnejamī studenti
Dear Team	cīnejamuo komanda
death	nuove
debate	streidētīs
debit	debits
debris	drupys
debt	poruods
decade	desmitgade
decay	sapyut
deceased	nūmirs
deceive	maldynuot
december	decembris
decent	pīkluojeigs
decide	izlemt
decided	izlamts
decision	lāmums
deck	kluojs
decline	atsaceit
decrease	samazynuot
dedicated	veļteits
dedication	veļtejums
deed	dorbs
deed	akts
deep	dziļš
deer	brīds
default	nūklusejums
defeat	sakaut
defend	aizsorguot
define	definēt
definitely	nūteikti
definition	definiceja
degree	grāds
delay	atlikt
delayed	atlykts
delete	izdzēst
deliberate	apzynuotai
delicate	jiuteigs
delicious	garšeigs
delight	prīks
delighted	sajiusmā
deliver	pīguoduot
delivered	pīguoduots
delivery	pīguode
demand	pīprasēt
demanding	praseigs
democracy	demokrateja
demon	demons
demonstrate	paruodēt
denied	līgts
density	bleivums
dentist	zūbuorsts
deny	nūlīgt
department	departaments
departure	atīšona
depend	atkareigs
deploy	izvītuot
deposit	depozits
depressed	depresivs
depression	depreseja
depth	dziļums
describe	apraksteit
description	aproksts
desert	tukšness
deserve	nūpeļnēt
design	dizains
designation	apzeimuojums
desire	gryba
desk	golds
despair	izmysums
desperate	izmiss
despite	par špeiti
dessert	soldais iedīņs
destination	golamierkis
destiny	liktiņs
destroy	iznycynuot
destruction	izniceiba
detail	detaļa
details	detalis
detect	atkluot
determination	apsajimšona
determine	nūsaceit
determined	apsajiems
devastated	izpūsteits
develop	atteistēt
developed	atteistēja
development	atteisteiba
device	īrikte
devil	valns
devoted	veļteits
Dhivehi	divehi
diabetes	diabets
diarrhea	caureja
diary	dīnysgruomota
dictionary	vuordineica
did	izdareja
die	nūmiert
died	nūmyra
diet	dieta
difference	atškireiba
different	sovaižuoks
difficult	sarežgeits
dig	rūc
dignity	cīns
diligent	ceņteigs
dinner	vakarenis
dip	mērce
direct	tīšs
direction	vierzīns
director	direktors
dirt	zeme
dirt	nateirums
dirty	nateirs
disable	atvīnuot
disabled	naspiejeigs
disappear	pazust
disappointed	apsamuoneit
disaster	katastrofa
discard	atsabreivuot
discharge	izdalejumi
discipline	disciplina
discount	atlaide
discover	atkluot
discrimination	diskriminaceja
discuss	apsprīst
discussion	diskuseja
disease	slimeiba
diseases	slimeibys
disguise	nūslēpt
disgusting	preteigs
dish	trauks
dishes	trauki
dismiss	atlaist
dispatch	nūsyuteit
display	paruodēt
disposal	iznycynuošona
dispute	streids
distance	attuolums
distinct	atsaškir
distinguish	atškiert
distress	cīsšonys
distribution	izplateišona
district	apgobols
disturb	traucēt
ditch	bedre
ditch	atstuot
dive	īnirt
diverse	vysaids
diversity	dažaideiba
divide	sadaleit
divine	dīveigs
divorce	škieršonuos
dizzy	sareibs
do	voi
do you	voi tu
do you love me	voi tu mani mīļoj
doctor	uorsts
document	dokuments
does	dara
doesn't	nadora
dog	suņs
Dogri	dogri
doing	dareit
doll	lele
domain	domens
domestic	īkšzemis
dominant	dominejūšs
don't	navajag
Don't worry	nauzatrauc
donate	zīduot
done	izdareits
donkey	iezeļs
dope	foršs
dope	dopings
double	dubults
doubt	švuorbys
dough	meikle
down	lejā
download	zamluodēt
draft	malnroksts
drag	viļkt
drain	nūtecēt
drama	drāma
draw	zeimēt
drawer	atviļktne
drawing	zeimuojums
dread	bailis
dream	sapnis
dress	kleita
drill	urbs
drink	dzierīņs
drive	braukt
drop	nūsvīst
dropped	nūsvīsts
drought	sausums
drunk	pīdzērs
dry	sauss
duck	peile
dude	zāns
due	pīnuoceigs
due to	saisteibā ar
dull	nagudrs
dull	naoss
dumb	nagudrys
dump	izsvīst
duration	ilgums
during	laikā
dust	puteklis
duty	pīnuokums
dwell	apsamest
dying	mierstūšs
each	kotrs
each other	vīns ūtru
eager	dedzeigs
eagle	ierglis
ear	auss
earlier	agruok
early	agri
earn	peļnēt
ears	auss
earth	zeme
earthquake	zemistreice
ease	vīglums
easily	vīglai
east	austrumi
easy	vīglai
eat	ēst
eating	ēsšona
economic	ekonomisks
economy	ekonomeja
edge	mola
edit	redigēt
education	izgleiteiba
effect	efekts
effective	nūdereigs
efficiency	efektivitate
efficient	efektivs
effort	pyulis
egg	ūla
eggplant	baklažans
ego	ego
eight	ostoni
eighteen	ostoņpadsmit
eighty	ostoņdesmit
either	taipat
elaborate	izstruoduot
elbow	elkiuņs
elder	vacuokais
elderly	vacs
elegant	elegants
element	elements
elephant	zylūņs
eleven	vīnpadsmit
eligible	pīmāruots
eliminate	likvidēt
else	arī
embarrassed	apkaunuots
embarrassing	apkaunojūšs
embrace	apskuovīņs
emerge	pasaruodēt
emergency	uorkuortys
emotional	emocionals
empathy	leidzjusšona
emphasis	uzsvors
emphasize	izceļt
employee	darbinīks
employees	darbinīki
employer	dorba deviejs
employment	nūdorbynuoteiba
empty	tukšs
enable	atļaut
encounter	satikt
encourage	īdrūsynuot
end	beigys
endangered	apdraudeits
endeavor	ceņtīni
endurance	iztureiba
endure	izturēt
enemy	īnaidnīks
energy	energeja
engage	īsasaisteit
engaged	sasaderynuojs
engagement	sasaderynuošona
engine	motors
engineer	iņženers
English	angļu
enhance	palelynuot
enjoy	izbaudeit
enormous	miļzeigs
enough	pīteikūši
ensure	nūdrūsynuot
enter	īīt
entertainment	izklaide
enthusiasm	aizrauteiba
enthusiastic	apjiemeigs
entire	vyss
entitled	tīseigs
entity	paruodeiba
entrance	īeja
entrepreneur	uzjiemiejs
envelope	aplūksne
environment	vide
envy	skaust
epic	episks
epidemic	epidemeja
equal	vīnaids
equipment	apreikuojums
equity	pošu kapitals
equivalent	vīnaids
eraser	dziešgumeja
error	klaida
escape	izbēgt
especially	eipaši
essay	eseja
essence	byuteiba
essential	svareigs
establish	nūdybynuot
established	nūdybynuots
estate	muiža
estimate	aptuveni
estimated	aptuvens
etc	i tai tuoļuok
eternal	myužeigs
ethics	etika
evaluate	izviertēt
evaluation	nūviertēšona
even	vīnaids
even though	koč ari
evening	vokors
event	nūtykums
eventually	beiguos
ever	sevkod
every	kotrys
everybody	vysi
everyone	vysi
everything	vyss
evidence	pīruodejumi
evil	ļauns
evolution	evoluceja
evolve	atsateistēt
Ewe	eve
ex	bejušais
exact	tīšs
exactly	tīši
exam	eksamens
examine	izpietēt
example	pīmārs
exceed	puorspēt
excellent	breineigi
except	izjemūt
exception	izjāmums
excess	līks
excessive	puormiereigs
exchange	samaineit
excited	satraukts
excitement	satraukums
exciting	aizraujūšs
exclusive	eipašs
excuse	atlaid
excuse me	atlaid mani
execute	izpiļdeit
execution	izpiļde
executive	izpyldvara
exercise	aizdavums
exhaust	izplyude
exhausted	pīkuss
exhibit	izstuode
exhibition	izstuode
exist	byut
existence	eseiba
existing	esūšs
exit	izeja
expand	izaplest
expect	sagaideit
expected	sagaidams
expenses	tiereni
expensive	duorgs
experience	pīredze
experiment	eksperiments
expert	eksperts
expired	nadereigs
explain	izskaidruot
explanation	izskaidruojums
exploit	izmontuot
explore	izpietēt
export	eksportēt
expose	atkluot
exposed	atkluots
exposure	īdarbeiba
express	izsaceit
expression	izteiksme
extend	pagarynuot
extended	pagarynuots
extension	pagarynuojums
extent	apjūms
external	uorejs
extinct	izmirs
extra	papyldu
extract	ekstrakts
extraordinary	naparosts
extreme	ekstremals
extremely	cīši
eye	acss
eyes	acss
fabric	audums
fabulous	burveigs
face	seja
facilitate	atvīgluot
facilities	īstuodis
facility	īstuode
fact	fakts
factor	faktors
factory	ryupneica
facts	fakti
fade	izbalēt
fail	naizadūt
failed	naizadevīs
failure	naveiksme
faint	nūgeibt
fair	gūdeigs
fair	gaišs
fairly	gūdeigi
fairy	laumeņa
faith	ticeiba
faithful	uzticeigs
fake	naeists
fall	nūkrist
FALSE	napareizs
fame	slava
familiar	pazeistams
family	saime
famine	bods
famous	populars
fan	sekuotuojs
fan	ventilators
fancy	patikt
fantastic	fantastisks
far	tuoli
farewell	vysu lobu
farm	ferma
farmer	zemnīks
fascinating	aizraunūši
fashion	mūde
fast	dreizs
fat	rasns
fatal	nuovejūšs
fate	liktiņs
father	tāvs
fatigue	nūgurums
fault	vaina
favorite	meiluokais
favour	labvieleiba
favourite	meiluokais
fear	bailis
feast	svineibys
feather	spolva
feature	īzeime
features	sejis vaibsti
february	februars
fed up	apnics
fee	moksa
feed	baruot
feedback	atsauksme
feel	just
feeling	sajiuta
feet	pādi
fell	nūkryta
fellow	bīdrs
felt	sajuta
female	sīvīte
fence	žūgs
fertile	augleigs
festival	festivals
fetch	atnest
fever	drudzs
few	daži
fewer	daži
fiance	leigavaiņs
fiance	leigova
fiction	daiļliteratura
field	lauks
fierce	styprs
fifteen	pīcpadsmit
fifty	pīcdesmit
fight	ceineitīs
fighting	kaušonuos
figure	figura
figure out	saprast
file	fails
fill	pīpiļdeit
filled	pīpiļdeits
film	filma
film	fiļmēt
filthy	nateirs
finally	beidzūt
finance	finaņsis
financial	finansials
find	atrast
find out	atrast
fine	labi
finger	piersts
finish	beigt
finished	pabeigts
fire	guņs
firm	styngrs
first	pyrmais
first name	vuords
fish	zivs
fit	derēt
five	pīci
fix	salobuot
fixed	nūstyprynuots
flag	karūgs
flash	zibspuļdze
flat	plokons
flaw	tryukums
flawless	navainojams
flee	bēgt
flesh	mīsa
flew	liduoja
flex	saspryndzynuot
flexible	lūkons
flight	ceiņa
flip	apgrīzt
flirt	flirtēt
flirting	flirteišona
float	peļdēt
flood	plyudi
floor	greida
flour	mylti
flow	tecēt
flower	puče
flu	viruss
fluent	tekūšs
fluently	tekūši
fluffy	pūkains
fluid	škidrums
fly	liduot
focus	uzmaneiba
fog	mygla
foggy	myglains
fold	lūceit
folks	ļauds
follow	sekuot
follow up	sekuot leidza
following	sekojūt
food	iedīņs
fool	nagudrys
foolish	jūceigs
foot	pāda
football	futbols
For example	par pīmāru
for instance	pīmāram
for you	tev
forbidden	aizlīgts
force	spāks
forecast	prognoze
forehead	pīre
foreign	svešs
forest	mežs
forever	iz myužim
forget	aizmierst
forgive	pīdūt
forgot	aizmiersa
fork	dakša
form	forma
formal	formals
former	īprīškejais
fortunately	par laimi
fortune	boguoteiba
forty	četrdesmit
forty-two	četrdesmit divi
forward	iz prīkšu
foster	audžu
fought	kuovēs
found	atrosts
foundation	pamati
four	četri
fourteen	četrpadsmit
fox	lopsa
fragile	vuoreigs
frame	rama
framework	rāmis
fraud	kruopnīks
freak	ķāms
free	bezmoksys
freedom	breiveiba
freeze	sasaļt
frequency	bīžums
frequent	bīži
frequently	bīžai
fresh	svaigs
friday	pīktdīne
fridge	ladusskaps
friend	draugs
friendly	draudzeigs
friends	draugi
friendship	draudzeiba
frightened	nūsabejs
frightening	baileigs
frog	varde
from	nu
front	prīškā
frozen	sasaļs
fruit	auglis
frustrated	naapmīrynuots
fuel	degvīla
Fulfulde	fulfulde
full	pylns
fun	jautri
function	dorbuotīs
function	funkceja
fundamental	svareigs
funeral	bēris
funny	smīkleigs
fur	vylna
furious	sirdeigs
furniture	mēbelis
further	tuoļuok
furthermore	kluot tam
future	nuokūtne
gain	īgiut
game	spēle
gap	škierba
garage	garaža
garbage	atkrytumi
garden	duorzs
garlic	casnāgs
gate	vuorti
gather	savuokt
gathering	puļcēšonuos
gauge	dūbums
gave	īdeve
gear	reiks
gear	mašynys uotrums
gender	dzymums
general	kūpumā
generally	vyspuoreibā
generate	izveiduot
generation	paaudze
generous	deveigs
genius	genials
genre	žanrs
gentle	uzmaneigs
genuine	eists
gesture	žests
get	dabuot
get dressed	sasagierb
get up	pīsaceļt
get well soon	atsaveseļoj dreiž
getting	dabojūt
ghost	spūks
giant	miļzeigs
gift	duovona
ginger	ryžs
girl	meitine
girlfriend	draudzine
give	dūt
give up	pasadūt
given	dūts
glad	prīceigs
