ah	a
reach een	arrival
reach	arrive
cum	arrived
misarable	arrogant
arrow	arrow
aat	art
artickle	article
fawz	artificial
aatiss	artist
az	as
lang as	as long as
tuh	as well
tuh	as well as
ashes	ash
shame bad	ashamed
aks	ask
did aks	asked
a sleep	asleep
aspeck	aspect
Assamese	Assamese
fite	assault
meetin	assembly
nuff bad	assertive
luk pon	assess
tess	assessment
belongin dem	asset
asset dem	assets
gi tuh	assign
work	assignment
help out	assist
helpa	assistant
associate	associate
did associate	associated
associashan	association
assume seh	assume
assume	assumption
a	at
at leas'	at least
eat	ate
runna	athlete
hole on pon	attach
glu pon	attached
attachment	attachment
attack	attack
try	attempt
guh	attend
attendance	attendance
attention	attention
hattitude	attitude
attrack	attract
attrashon	attraction
cute	attractive
characta	attribute
crowd	audience
accur	august
anty	aunt
anty	aunty
genuin	authentic
writa	author
ova 'eads	authority
aatum	autumn
available	available
averige	average
avide	avoid
wake up	awake
prize	award
aware	aware
knalij af	awareness
wey	away
great	awesome
awful	awful
akwud	awkward
Aymara	Aymara
baby	baby
bachila	bachelor
back	back
back grung	background
bad	bad
bag	bag
ketchinz	bait
bake	bake
bakery	bakery
bakin soda	baking soda
wah lef	balance
bawl	ball
Bambara	Bambara
banana	banana
ban	band
bang	bang
bank	bank
bar	bar
haadly	barely
bargin	bargain
bawk	bark
barley	barley
blackage	barrier
battam	base
base pan	based
basement	basement
minimum	basic
mo dan likely	basically
basil	basil
eediat	bastard
batch	batch
showa	bath
baachroom	bathroom
batry	battery
war	battle
bay	bay
bi	be
bi careful	be careful
beach	beach
shine	beam
peas	beans
bear	bear
face 'air	beard
bearing	bearing
mansta	beast
lick	beat
pretty	beautiful
beauty	beauty
di appen to	became
caz	because
become	become
bed	bed
bed room	bedroom
beez	bee
cow meat	beef
go deh aready	been
beer	beer
bifor	before
staat	began
start	begin
staat	beginning
behaaf a	behalf
behave	behave
behavia	behavior
behavia	behaviour
behine	behind
believ	belief
bileev	believe
tomuck	belly
bilang	belong
luv suh much	beloved
unda	below
belt	belt
bench	bench
ben up	bend
unda	beneath
benifit	benefit
benifit dem	benefits
sida	beside
adda dan	besides
bess	best
gud luck	best of luck
bess regyad	best regards
betta	better
in between	between
drinks	beverage
beyon'	beyond
Bhojpuri	Bhojpuri
bias	bias
bias	biased
bicycle	bicycle
bid	bid
big	big
yeng yeng	bike
stress	bill
itch up	bind
bud	bird
earthstrang	birthday
bite	bit
bite	bite
bitta	bitter
black	black
blade	blade
faalt	blame
empty	blank
towil	blanket
loud up	blast
rub out	bleach
blend up	blend
bless	bless
bless	blessed
bline	blind
feel gud	bliss
black	block
blood	blood
spring up	bloom
blow	blow
blue	blue
dull	blunt
piece a board	board
boat	boat
bady	body
bwile	boil
brave	bold
ban	bond
bone	bone
buk	book
boos' up	boost
boosta	booster
chraddaz	boot
boot dem	boots
baada line	border
bore up	bore
borin'	bored
borin'	boring
bawn	born
barrow	borrow
leada	boss
bowt	both
badda	bother
bakkle	bottle
batty	bottom
buy	bought
bunce	bounce
tie up	bound
baadas	boundaries
tie	bow
basin	bowl
bax	box
bwoy	boy
bwoyfren	boyfriend
bangle	bracelet
ead space	brain
branch	branch
bran	brand
brave	brave
breach	breach
bred	bread
bruk	break
brukfas	breakfast
titi	breast
bret	breath
breed	breathe
breed	breed
brick	brick
wife	bride
brij	bridge
undawear	brief
brite	bright
smaat	brilliant
bring	bring
bredda	bro
braad	broad
shout e out loud	broadcast
did bruk up	broke
bruk up	broken
broom	broom
bredda	brother
bredda in law	brother in law
bring	brought
brown	brown
comb up	brush
buckit	bucket
buddy	buddy
plan fi	budget
inseck	bug
bil up	build
bildin	building
did bil	built
plenty	bulk
bull	bull
bad up	bully
bump	bump
bunch	bunch
bungle	bundle
stress	burden
bery inna grung	buried
bun up	burn
buss out	burst
bery	bury
chichi bus	bus
bush	bush
bisniz	business
buss	bust
bizi	busy
but	but
butta	butter
buttafly	butterfly
buttn	button
buy	buy
by	by
by di way	by the way
lata	bye
cabbige	cabbage
cubad	cabinet
cage	cage
cake	cake
baby cow	calf
cawl	call
call mi	call me
did call	called
quiat	calm
come agen	came
campaign	campaign
cyan	can
caan	can't
Shet dung	Cancel
canca	cancer
able	capable
full up	capacity
money	capital
capshan	caption
ketch	capture
cyar	car
job	career
watch out	careful
careful	carefully
cayliss	careless
care nuff	caring
boad man	carpenter
rug	carpet
carrot	carrot
carry	carry
carry	carry on
bring out	carry out
cova	case
money	cash
cyaas	cast
castle	castle
evryday	casual
puss	cat
ketch	catch
section	category
cackle	cattle
ketch	caught
cuz	cause
safe	caution
move safe	cautious
cave	cave
tap	cease
sealin'	ceiling
paaty	celebrate
cell	cell
centa	center
undred 'ear	century
cerial	cereal
meetin'	ceremony
shure	certain
certin	certainly
cerfiticate	certificate
chain	chain
bench	chair
bad up	challenge
try	chance
change	change
truble	chaos
karacta	character
ways	characteristics
chaaj	charge
sarry fah	charity
full a charm	charming
chart	chart
run dung	chase
tawk	chat
cheep	cheap
gi bun	cheat
a cheat	cheating
check	check
jaw	cheek
cheer up	cheer
happy	cheerful
chays	cheers
cheez	cheese
chemistry	chemistry
luv	cherish
chess plate	chess
chess	chest
chew	chew
fowl	chicken
chief	chief
pickney	child
pickney days	childhood
pickney dem	children
kool out	chill
chimney dem	chimneys
chin	chin
chaaclit	chocolate
pick	choice
chuze	choose
cut up	chop
chore dem	chores
fat	chubby
church	church
cinniman	cinnamon
circle	circle
issue	circumstances
citizen	citizen
town	city
claim	claim
mek dem know	clarify
catigory	class
clay	clay
clean	clean
clear	clear
service	clerk
cleva	clever
customa	client
cliff	cliff
climit	climate
clime	climb
clingy clingy	clingy
clack	clock
shut	close
clasit	closet
claat	cloth
gaament	clothes
cloud	cloud
cloudy	cloudy
clown	clown
cluu	clue
clumsy	clumsy
clusta	cluster
coach	coach
coal	coal
coase	coast
jackit	coat
caffee	coffee
mental	cognitive
cincidence	coincidence
coal	cold
drap dung	collapse
calla bone	collar
calleague	colleague
calleague dem	colleagues
tek up	collect
calleckshan	collection
calij	college
cola	color
colaless green idea sleep wid anga	colorless green ideas slept furiously
cula	colour
culum	column
comb	comb
cumbinashan	combination
put togedda	combine
cum	come
cum yah	come here
cum aan	come on
cumfat	comfort
comfatable	comfortable
a cum	coming
soon cum	coming soon
deman'	command
comment	comment
advatisement	commercial
comishan	commission
commit tuh	commit
commitment	commitment
layal	committed
camadity	commodity
camman	common
communicate	communicate
communication	communication
yaad	community
move up	commute
companian	companion
bizniz place	company
luk pon	compare
comparison	comparison
luv	compassion
luvin	compassionate
guh tigedda	compatible
face aaf	compete
able	competent
enemy dem	competition
competitive	competitive
tawk bout	complain
complain	complaint
tawk gud bout	complement
dun	complete
fully	completely
place	complex
tek tawk	compliance
haad	complicated
big up	compliment
guh wid	comply
composishan	composition
premises	compound
comprehenshan	comprehension
comprehensiv	comprehensive
cause truble	compromise
haffi 'appen	compulsory
computa	computer
focus	concentrate
cancep'	concept
cancern	concern
tink bout	concerned
cancert	concert
en'	conclusion
haad	concrete
condishan	condition
terms	conditions
canduck	conduct
meetin'	conference
tawk chut	confess
hypeness	confidence
canfident	confident
confirm	confirm
prablem	conflict
nuh know	confused
head ache	confusion
cangrats	congrats
cangrats	congratulation
cangrats	congratulations
join	conjunction
link up	connect
beat an teach	conquer
awake	conscious
consciousniss	consciousness
permishon	consent
cansequence	consequences
canservation	conservation
kwyat	conservative
cansida	consider
cansida	considered
include	consist
cansistency	consistency
all eh wile	consistent
canstant	constant
canstantly	constantly
bung up	constipation
canstrucshan	construction
nyam	consume
cansumshan	consumption
call up	contact
ketchin'	contagious
cantain	contain
hav een	contains
cantempary	contemporary
feelins	contempt
cantent	content
cantess	contest
canteks	context
cantinent	continent
galang suh	continue
cantrack	contract
diffrence	contrast
give back	contribute
cantribushan	contribution
cantrol	control
big in	controversial
tuh yuh likin	convenience
canvenient	convenient
tawk	conversation
canvert	convert
ekspress	convey
sho' im seh	convince
convince	convinced
run a boat	cook
run a boat	cooking
kool	cool
wuk togedda	cooperation
cope	cope
coppa	copper
deep inside	core
caan	corn
corna	corner
correck	correct
cass	cost
castume	costume
cattij	cottage
catton	cotton
settee	couch
couf	cough
coulda	could
council	council
count	count
counta	counter
country	country
kuntry	countryside
two	couple
bravry	courage
course	course
court	court
curtesy	courtesy
cuzzin	cousin
cova	cover
cow	cow
cowad	coward
relax	cozy
crab	crab
crack	crack
craaf	craft
crap	crap
lik up inna	crash
craven	craving
crawl	crawl
mad	crazy
mek	create
creative	creative
barrow	credit
creep	creep
scary	creepy
squad	crew
crime	crime
muscle up	cringe
crisis	crisis
criteria	criteria
critical	critical
back tawk	criticism
food	crop
plant dem	crops
guh ova e	cross
crow	crow
crowd	crowd
full up	crowded
crown	crown
impotant	crucial
wickid	cruel
cruz	cruise
crush	crush
bawl	cry
cucumba	cucumber
hug up	cuddle
culcha	culture
tricky tricky	cunning
cup	cup
cupbad	cupboard
curve	curb
cure	cure
curfew	curfew
faasniss	curiosity
inquizitive	curious
curly curly	curly
money	currency
current	current
now	currently
cuss out	curse
curtin	curtain
cushon	cushion
custom	custom
custama	customer
custom dem	customs
cut up	cut
pretty	cute
cycle	cycle
ride	cycling
fada	dad
popa	daddy
evry day	daily
dairy	dairy
dyam	dam
mash up	damage
dyam	damn
wet	damp
move yuh badi	dance
danja	danger
deadly	dangerous
black	dark
dawlin	darling
chrow	dash
infamashan	data
date	date
daughta	daughter
day	day
gaan	dead
deadline	deadline
nah 'ear gud	deaf
deal	deal
dear	dear
evrybadi	Dear All
Dear customa	Dear Customer
Dear fadda	Dear Parents
Dear Sah	Dear Sir
Dear students	Dear students
Dear Comreds	Dear Team
det	death
aague	debate
pay up	debit
piece piece	debris
money weh owe	debt
deckade	decade
ratten	decay
ded	deceased
chrick	deceive
decemba	december
nice	decent
decide	decide
did decide	decided
dicision	decision
deck	deck
nah aksep	decline
slow dung	decrease
luv up	dedicated
luv	dedication
deed	deed
deep	deep
deer	deer
default	default
beat up	defeat
tan up fi	defend
gi di meanin	define
but muss	definitely
meanin'	definition
educashan	degree
tek lang	delay
nuh ready fi start yet	delayed
chrow weh	delete
spiteful	deliberate
saaf	delicate
sweet bad	delicious
delite	delight
delite	delighted
deliva	deliver
drap aaf	delivered
delivery	delivery
tek	demand
bossy bossy	demanding
democracy	democracy
evil spirit	demon
show	demonstrate
nuh mek	denied
density	density
dentist	dentist
deny	deny
depaatment	department
depawcha	departure
depen pon	depend
let out	deploy
puh dung	deposit
did dipress	depressed
dipreshan	depression
det	depth
tawk bout	describe
discripshan	description
desert	desert
deserve	deserve
mek up	design
paaty	designation
desire	desire
deks	desk
sadniss	despair
desparet	desperate
dispite	despite
dissurt	dessert
destination	destination
destiny	destiny
distroy	destroy
mash up	destruction
detail	detail
detail dem	details
feel	detect
drive	determination
determin'	determine
trang will	determined
mash up	devastated
develop	develop
did develop	developed
development	development
divice	device
satan	devil
layal	devoted
Dhivehi	Dhivehi
shuga	diabetes
wata do do	diarrhea
diary	diary
dicshanery	dictionary
did	did
die	die
did ded	died
dyat	diet
diffrentniss	difference
diffrent	different
haad	difficult
dig up	dig
dignity	dignity
haad wurkin	diligent
dinna	dinner
dip	dip
show	direct
wich way	direction
directa	director
dut	dirt
dutty	dirty
disable	disable
disable	disabled
lef out	disappear
feel low	disappointed
dizasta	disaster
chrow weh	discard
let aaf	discharge
behavia	discipline
discount	discount
fine	discover
discriminashan	discrimination
chat bout	discuss
debate	discussion
sickness	disease
sickness dem	diseases
disguise	disguise
nasty	disgusting
dish	dish
dish dem	dishes
dismiss	dismiss
dispatch	dispatch
show	display
dash wey	disposal
prablem	dispute
lent	distance
definit	distinct
diffrenshiate	distinguish
distress	distress
gi out	distribution
districk	district
disturb	disturb
ditch	ditch
jump inna	dive
diverse	diverse
diversity	diversity
split up	divide
divine	divine
divowse	divorce
dizzy	dizzy
duh	do
yuh duh	do you
yuh lum mi	do you love me
dacta	doctor
paypa	document
do	does
nuh	doesn't
dawg	dog
Dogri	Dogri
a duh	doing
dolly	doll
delete	domain
domestic	domestic
cantrollin	dominant
dont eh	don't
nuh worry	Don't worry
gi	donate
dun	done
dankey	donkey
gud	dope
duble	double
doubt	doubt
raw flowa	dough
dung	down
dunload	download
ruff draaf	draft
drag	drag
drain	drain
drama	drama
draw	draw
draw	drawer
paintin	drawing
rasta	dread
vijon	dream
frack	dress
drill	drill
drink dung	drink
drive	drive
drap	drop
fall dung	dropped
wata dun aaf	drought
drunk	drunk
dry	dry
duck	duck
ombre	dude
due	due
due tuh	due to
dull	dull
cyan tawk	dumb
chrow weh	dump
duration	duration
durin'	during
duss	dust
duty	duty
liv	dwell
a ded	dying
every	each
each ada	each other
caan wait	eager
burd	eagle
eyz	ear
earlia	earlier
soon	early
earn	earn
ear dem	ears
wurl	earth
eartquake	earthquake
free up	ease
easy easy	easily
eas'	east
easy	easy
nyam	eat
a eat	eating
economic	economic
icanamy	economy
eje	edge
rite ova	edit
education	education
effeck	effect
effective	effective
ifficiency	efficiency
shaap	efficient
effut	effort
egg	egg
eggplant	eggplant
ego	ego
eight	eight
eighteen	eighteen
eighty	eighty
eeda	either
tawk mo'	elaborate
elbo	elbow
elda	elder
eldaly	elderly
eligant	elegant
element	element
elephant	elephant
eleven	eleven
fit fi	eligible
get rid a	eliminate
else	else
shame	embarrassed
a embarrass	embarrassing
hug up	embrace
cum fram	emerge
emergency	emergency
sad	emotional
empathy	empathy
shure up	emphasis
emfasize	emphasize
wuka	employee
wurka dem	employees
bass	employer
a wuk	employment
empty	empty
enable	enable
buck up	encounter
encourage	encourage
dun	end
inna truble	endangered
endeva	endeavor
trent	endurance
tek	endure
hattaz	enemy
enagy	energy
ingage	engage
ingage	engaged
fi marrid	engagement
ingin	engine
arkiteck	engineer
Inglish	English
brite up	enhance
fuljoy	enjoy
inarmous	enormous
enuf	enough
mek shure	ensure
guh inna	enter
enattainment	entertainment
ekscitement	enthusiasm
eksitid	enthusiastic
hola	entire
haffi get	entitled
ting	entity
entrance	entrance
boss man	entrepreneur
invilup	envelope
enviranment	environment
badmind	envy
epic	epic
epidemic	epidemic
same	equal
tool	equipment
equity	equity
equivalent	equivalent
rubba	eraser
mistake	error
run weh	escape
specially	especially
essay	essay
reason	essence
necissery	essential
bil up	establish
popula	established
estate	estate
bout dis	estimate
bout	estimated
etc	etc
fah eva	eternal
ethics	ethics
gi ratins	evaluate
judge	evaluation
even	even
even dough	even though
evnin	evening
meetin	event
soon	eventually
eva	ever
evry	every
evrybadi	everybody
evrybady	everyone
everyting	everything
evidence	evidence
wickid	evil
change	evolution
grow	evolve
Ewe	Ewe
ex	ex
same	exact
exack	exactly
tes	exam
examine	examine
example	example
exceed	exceed
eksellent	excellent
excep'	except
ekseption	exception
excess	excess
excessive	excessive
ekschange	exchange
happy	excited
gladniss	excitement
excitin'	exciting
eksclusive	exclusive
excuse	excuse
ekscuse mi	excuse me
bring out	execute
murda	execution
big boss	executive
exacise	exercise
simoke	exhaust
tyad	exhausted
exhibit	exhibit
eksibishan	exhibition
egzist	exist
existence	existence
a exist	existing
cum out	exit
big up	expand
expeck	expect
ekspectid	expected
expense dem	expenses
dear	expensive
experience	experience
try out	experiment
expert	expert
nuh gud	expired
hecksplain	explain
eksplanashan	explanation
tek advantij a	exploit
search out	explore
ship out	export
show up	expose
did expose	exposed
show up	exposure
faas	express
ekspreshan	expression
eksten	extend
drag out	extended
mo' time	extension
ekstent	extent
outside	external
ded out	extinct
nuff	extra
extrack	extract
extra aadinery	extraordinary
extreme	extreme
ekstremely	extremely
yeye	eye
yeye dem	eyes
claat	fabric
fantastic	fabulous
face	face
fascilitate	facilitate
facility	facilities
facility	facility
facks	fact
facta	factor
fackchry	factory
facks	facts
fade out	fade
fail	fail
neva pass	failed
failia	failure
drap dung	faint
fair	fair
onestly	fairly
fairy	fairy
fait'	faith
nah gi weh	faithful
nuh real	fake
drap	fall
FAWSE	FALSE
popularity	fame
known	familiar
fambily	family
nuh food nuh deh bout	famine
papula	famous
fan	fan
show aaf	fancy
fun	fantastic
fur	far
gudbye	farewell
faam	farm
faama	farmer
fascinatin'	fascinating
fashan	fashion
faas	fast
swarty	fat
deadly	fatal
fate	fate
fada	father
tyadniss	fatigue
fault	fault
favrit	favorite
like	favour
favrit	favourite
fraidy fraidy	fear
big dinna	feast
fedda	feather
feacha	feature
luks	features
february	february
fed up	fed up
chaage	fee
feed	feed
pointas	feedback
feel	feel
a feel	feeling
foot dem	feet
drap	fell
fello	fellow
did ffeel	felt
oman	female
baadaline	fence
breed up	fertile
festival	festival
guh fi	fetch
feva	fever
likkle bit	few
less dan	fewer
fiance	fiance
fiction	fiction
fiel'	field
bad	fierce
fifteen	fifteen
fifty	fifty
lick dung	fight
a fite	fighting
figa out	figure
figa out	figure out
file	file
full up	fill
full up	filled
flim	film
dutty	filthy
finally	finally
sumadi weh yah guh marrid	finance
finanshal	financial
fine	find
fine out	find out
fine	fine
finga	finger
dun	finish
dun	finished
fyah	fire
trang	firm
fuss	first
fuss name	first name
swim around	fish
fit	fit
five	five
fix up	fix
fix up	fixed
flag	flag
flash	flash
flat	flat
fault	flaw
pretty	flawless
run weh	flee
flesh	flesh
fly weh	flew
move up	flex
cyan ben	flexible
flite	flight
tun ova	flip
flirt	flirt
luss afa	flirting
float	float
flood up	flood
grung	floor
flowa	flour
flow	flow
flowaz	flower
col'	flu
tawk nuff	fluent
gud gud	fluently
swaaty	fluffy
wata	fluid
fly	fly
zoom in pon	focus
fag	fog
faggy	foggy
fol' up	fold
people	folks
falla	follow
check pan	follow up
a falla	following
food	food
eediat	fool
chupid	foolish
fut	foot
futball	football
fi	for
Fi example	For example
fi instance	for instance
fi yuh	for you
nuff duh	forbidden
push	force
forecast	forecast
farid	forehead
farin	foreign
faris	forest
fi eva	forever
figet	forget
figive	forgive
figet	forgot
faak	fork
faam	form
farmal	formal
faama	former
luckily	fortunately
richis	fortune
faaty	forty
faaty two	forty-two
farwud	forward
fasta	foster
did fite	fought
fine	found
root	foundation
four	four
fourteen	fourteen
fox	fox
eazi fi bruk	fragile
frame out	frame
framewuk	framework
lie	fraud
freaky gyal	freak
free	free
freedom	freedom
freeze up	freeze
frequency	frequency
regila	frequent
all eh wile	frequently
clean to mi step	fresh
friday	friday
frij	fridge
fren	friend
frenny frenny	friendly
fren dem	friends
frenship	friendship
fraid	frightened
scary	frightening
bull frag	frog
from	from
front	front
freeze up	frozen
fruut	fruit
tyad a eh	frustrated
gas up	fuel
Fulfulde	Fulfulde
full up	full
fun	fun
get bye	function
necissery	fundamental
finaral	funeral
funny	funny
fur	fur
angry	furious
furnicha	furniture
furda	further
furdamo'	furthermore
fucha	future
gain	gain
game	game
space	gap
car powch	garage
rubbish	garbage
gyaaden	garden
gyaalic	garlic
gate	gate
gyadda up	gather
gaddarin	gathering
lean up	gauge
gi	gave
gear	gear
genda	gender
genna	general
generally	generally
genarate	generate
bludline	generation
kine	generous
smaat	genius
type	genre
saaf	gentle
real	genuine
an move	gesture
get	get
put aan clothes	get dressed
tan up	get up
get betta soon	get well soon
a get	getting
duppy	ghost
yuh a hide	ghosting
giant	giant
present	gift
ginja	ginger
gal	girl
oman	girlfriend
gi	give
gi up	give up
gi tuh	given
glad	glad
bayly luk	glance
glass	glass
glass dem	glasses
bayly luk	glimpse
wurl wide	global
bleaky	gloomy
glove dem	gloves
shine	glow
glow	glow up
glue	glue
guh	go
gwaan	go ahead
guh wey	go away
guh a yuh bed	go to bed
dream	goal
goal dem	goals
nanny goat	goat
gad	god
god bless yuh	god bless you
a guh	goes
a guh	going
guh a	going to
gold	gold
nuh deh yah	gone
a guh	gonna
gud	good
aftanoon	good afternoon
bye bye	good bye
gud day	good day
evenin'	good evening
gud job	good job
gud lukin	good looking
blessin	good luck
maanin	good morning
gud mawnin mi luv	good morning my love
gud nite	good night
ba bye	goodbye
gud nite	goodnight
guds dem	goods
Google	Google
Google Translate	Google Translate
duck dem	goose
gawjus	gorgeous
chat bout	gossip
did get	got
a get eh	got it
babylon	government
grab up	grab
mark	grade
eventually	gradually
graduate	graduate
grain	grain
grant	grant
did gi	granted
grape dem	grapes
ole on pon	grasp
grass	grass
gi tanks	grateful
gi tanks	gratitude
grave	grave
gray	gray
great	great
craveniss	greed
luv yuh belly	greedy
green	green
seh 'ello	greet
owdy duh	greeting
greetings	greetings
grey	grey
grid	grid
grief	grief
mash up	grind
ole on tight	grip
grocery	grocery
groom	groom
evryting	gross
grung	ground
bungle	group
grow	grow
growt'	growth
grumpy	grumpy
Guarani	Guarani
guarantee	guarantee
gyaad	guard
gess	guess
guess	guest
gaidance	guidance
gaide	guide
guilty	guilty
man	guy
man dem	guys
gym	gym
ways	habit
livin place	habitat
did hav	had
big up	hail
air	hair
paat a	half
livin room	hall
an	hand
angle	handle
ansome	handsome
heng up	hang
heng out	hang out
appen	happen
di appen	happened
happiness	happiness
happy	happy
happi earthstrong	happy birthday
happy earthstrong	happy birthday to you
appy new 'ear	happy new year
haad	hard
aadly	hardly
nuh regila	hardly ever
hurt	harm
daynjarus	harmful
aamony	harmony
trang	harsh
reep	harvest
as	has
nuh like	hate
hab	have
hav a gud day	have a good day
a hope yuh day tun out gud	have a nice day
nyam breakfaas	have breakfast
party	have fun
yuh eat yet	have you eaten
a hav	having
dangarus	hazard
fuzzy fuzzy	haze
im	he
im hav	he has
im a	he is
head	head
headache	headache
get betta	heal
a heal	healing
elt	health
healty	healthy
hear	hear
ear seh	heard
haat	heart
heat	heat
up inn eh sky	heaven
heavy	heavy
ectic	hectic
height	height
heir	heir
hijack	heist
ole	held
ell	hell
Ello	Hello
ello deh	hello dear
ello ow yuh duh	hello how are you
ello 'ow yuh duh	hello how are you doing
elmit	helmet
elp	help
help out	helpful
ence	hence
shi	her
herd	herd
yah so	here
eritage	heritage
tink twice	hesitate
greetings	Hey
owdi	Hi
hi 'ow yuh duh	hi how are you
ello dere	Hi there
idden	hidden
hide	hide
higher ups	hierarchy
tall	high
loud up	highlight
climb	hike
a hike	hiking
funny	hilarious
hillside	hill
im	him
int	hint
hip	hip
hip dem	hips
hyah	hire
a luk people	hiring
fi him	his
histry	history
lick	hit
mhm	Hmm
habby	hobby
hol'	hold
ole aan	hold on
ole	hole
aliday	holiday
allo	hollow
yaad	home
homewuk	homework
tawk trut	honest
onestly	honestly
oney	Honey
ana	honor
hood	hood
huk	hook
hap	hop
hope	hope
hopefully	hopefully
opeless	hopeless
arizantal	horizontal
haan	horn
arrible	horrible
scary	horror
donkey	horse
aspital	hospital
ospitality	hospitality
ost	host
hastile	hostile
hat	hot
otel	hotel
owa	hour
owaz	hours
owse	house
ouse	household
ow	how
wah bout yuh	how about you
wah gwaan	how are you
ow yuh duh	how are you doing
ow yuh do tiday	how are you doing today
ow yuh duh tideh	how are you today
ow yuh duh	how do you do
ow a	how is
ow meny	how many
ow many	how much
ow regila	how often
yuh a ow much	how old are you
a 'ow yuh day guh	how was your day
ow yuh nite guh	how was your night
oweva	however
hub	hub
man	hubby
hug	hug
huge	huge
people	human
umble	humble
ot	humid
heat	humidity
undred	hundred
ungry	hungry
luk fi	hunt
staam	hurricane
hurry up	hurry
move faas	hurry up
urt	hurt
hussy	husband
hustle	hustle
hut	hut
igene	hygiene
Mi	I
mi a	I am
mi arite	I am fine
mi cyan	I can
mi caan	I can't
mi duh	I do
mi nuh know	I do not know
mi nuh undastan	I do not understand
mi nuh	I don't
mi nuh know	I don't know
mi nuh undastan	I don't understand
Mi nuh undastan wah yuh mean	I don't understand what you mean
mi nuh undastan yuh	I don't understand you
mi nuh know	I don’t know
mi un undastan	I don’t understand
mi gess suh	i guess
mi did hav	I had
mi hav	I have
Mi ben a	I have been
Mi 'ope suh	I hope so
mi know	I know
mi like	I like
mi like yuh	I like you
Mi luv	I love
mi luv mi big bredda	I love my big brother
mi luv mi big sista	I love my big sister
mi luv mi fada	I love my father
mi luv mi likkle bredda	I love my little brother
mi luv mi likkle sista	I love my little sister
mi luv mi mada	I love my mother
Mi luv yuh	I love you
Mi luv yuh bad	I love you so much
mi luv yuh tuh	I love you too
mi mean	I mean
Mi miss yuh	I miss you
mi miss yuh bad	I miss you so much
mi si	I see
mi tink	I think
mi undastan	I understand
mi waan	I want
mi waan si yuh	I want to see you
Mi wah yuh	I want you
Mi did a	I was
Mi wi	I will
Mi woulda bi	I would be
Mi a	I'm
mi aright	I'm fine
mi gud	I'm good
mi deh yah	I'm here
mi sarry	I'm sorry
ice	ice
ice cream	ice cream
idea	idea
perfeck	ideal
luk like	identical
identify	identify
identity	identity
eediat	idiot
waste time	idle
if	if
nah luk pan	ignore
sick	ill
nuh legal	illegal
sickness	illness
Ilocano	Ilocano
imij	image
