a	اک
annoyed	ناراض کیتا
annoying	ڈکھ ڈیوڑاں
annual	سالانہ
anonymous	نامعلوم
another	ہک ڈوجھا
answer	جواب
answer	جواب ڈیونڑاں
anticipate	پہلے کنے سمجھ وینجڑاں
anxiety	بے چینی
anxious	بے چین
any	کوئی وی
anymore	ایں ویلے
anyone	کوئی وی
anything	کوئی وی شے
anyway	ہر حال وچ
anyways	کسے وی طرحاں
apart	انج انج
apartment	اپارٹمنٹ
apologize	معافی منگڑاں
apparent	نمایاں
apparently	ظاہر
appeal	دعویٰ کرنڑاں
appear	حاضر تھیوو
appearance	موجودگی
appeared	ظاہر تھیا
appetite	بوکھ
apple	سیب
application	درخواست
apply	درخواسر ڈیوو
appointment	اپائنٹمنٹ
appreciate	حوصلہ افزائی کرو
appreciation	قدر قیمت وچ اضافہ
approach	درخواست کرنڑاں
approach	شامل کرنڑاں
appropriate	مناسب
approval	منظوری ڈیونڑاں
approve	منظور کرنڑاں
approved	منظور شدہ
approximately	تقریباً
april	اپریل
arbitrary	ظالمانہ
architect	بناونڑ آلا
architecture	تعمیر دی طرز
archive	آرکائیو
are	ہیں
are you	کیا تساں
are you busy	کیا تساں مصروف ہو
are you married	تساں شادی شدہ ہو
are you married or single	تساں شادی شدہ ہو یا غیر شادہ شدہ
Are you still there?	کیا تساں ہونڑ تئیں اُتھئیں ہو؟
are you there	کیا تساں موجود ہو
area	علاقہ
argue	بحث کرنڑاں
argument	دلیل
arise	اُٹھڑاں
arm	بانہہ
army	آرمی
around	چاریں پاسے
arrange	ترتیب ڈیوو
arrangement	بندوبست کرنڑاں
arrival	آمد
arrive	آونڑاں
arrived	آ پُجے ہاں
arrogant	گستاخی کرنڑ والا
arrow	تیر
art	آرٹ
article	مضمون
artificial	مصنوعی
artist	فنکار
as	ایویں
as long as	جڈھنڑ تک کہ
as well	ایندے نال نال
as well as	جیویں کہ
ash	راکھ
ashamed	شرمسار
ask	آکھو
asked	آکھیا
asleep	سمیا ہویا
aspect	پہلو
Assamese	آسامی
assault	حملہ کرنڑاں
assembly	اجتماع
assertive	فخر نال آکھڑاں
assess	اندازہ کرنڑاں
assessment	اندازہ لاؤ
asset	اثاثہ
assets	اثاثے
assign	ذمے لاونڑاں
assignment	اسائنمنٹ
assist	مدد ڈیونراں
assistant	معاون
associate	حصہ دار ہونڑاں
associated	شریک
association	ایسوسی ایشن
assume	فرض کرو
assumption	فرض کرنڑاں
at	اتے
at least	گھٹ توں گھٹ
ate	کھادا
athlete	پہلوان
attach	مل وینجڑاں
attached	جڑیا ہویا
attachment	الحاق
attack	حملہ
attempt	کوشش کرنڑاں
attempt	کوشش
attend	حاصر ہونڑاں
attendance	حاضری
attention	توجہ ڈیوو
attitude	ورتاؤ
attract	آپنڑے پاسے چھکڑاں
attraction	کشش
attractive	کشش آلا
attribute	سبب بنڑاونڑاں
audience	ڈیکھنڑ آلے
august	اگست
aunt	چاچی
aunty	ماسی
authentic	بھروسے آلا
author	لکھاری
authority	اختیار
autumn	خزاں
available	موجود
average	اوسط
avoid	پرہیز کرو
awake	جگاونڑاں
award	ایوارڈ
aware	پتہ ہونڑاں
awareness	واقفیت
away	پریں
awesome	حیران کر ڈیونڑ والا
awful	خوفناک
awkward	برا
Aymara	آئیمارا
baby	بال
bachelor	کنوارہ
back	پچھے
background	پس منظر
bad	ماڑا
bag	بیگ
bait	چارہ لاونڑاں
bake	بھنڑاں
bakery	بیکری
baking soda	مِٹھا سوڈا
balance	موازنہ کرنڑاں
balance	توازن
ball	گیند
Bambara	بمبارا
banana	کیلا
band	بینڈ
bang	وجاونڑاں
bank	بینک
bar	بار
barely	جو
bargain	سودا
bark	چھلکا
bark	بھونکڑاں
barley	جَو
barrier	رکاوٹ
base	بنیاد
based	بنیاد رکھی
basement	تہہ خانہ
basic	بنیادی
basically	بنیادی طور تے
basil	نیازبُو
bastard	کم ذات
batch	بیچ
bath	دھاونڑاں
bathroom	لیٹرین
battery	بیٹری
battle	جنگ
bay	بھونکڑاں
be	رہو
be careful	دھیان رکھو
beach	سمندر
beam	چمکنڑاں
beans	لوبیا
bear	گھن وینجڑاں
bear	برداشت کرنڑاں
beard	ڈاڑھی
bearing	ڈھنگ
beast	درندہ
beat	دھڑکن
beat	دل دا دھڑکڑاں
beautiful	سوہنڑاں
beauty	خوبصورتی
became	تھی گیا
because	ایں وجہ توں
become	ہونڑاں
bed	بسترا
bedroom	سمنڑ دا کمرہ
bee	شہد دی مکھی
beef	گائے دا گوشت
been	تھے
beer	بھالو
before	پہلاں
began	شروع کیتا
begin	شروع کرو
beginning	شروع کرنڑاں
behalf	واسطے
behave	پیش آونڑاں
behavior	ورتاؤ
behaviour	رویہ
behind	پچھو
being	تھیندے ہوئے
belief	ایمان
believe	یقین
belly	پیٹ
belong	ملکیت ہونڑاں
beloved	محبوب
below	ہیٹھ
belt	بیلٹ
bench	پَھٹا
bend	موڑنڑاں
beneath	تلے
benefit	فائدہ
benefit	فائدہ ڈیونڑاں
benefits	فیدے
beside	نال
besides	کسے دے نال نال
best	بہترین
best of luck	اللہ بہتر کرے
best regards	نیک تمناواں
better	بھلا
between	وچکار
beverage	شربت
beyond	ڈوجی پاسے
Bhojpuri	بھوج پوری
bias	طرفداری کرنڑاں
biased	مخالف
bicycle	سائیکل
bid	بولی ڈیونڑاں
big	وڈا
bike	موٹر سائیکل
bill	بل
bind	بدھڑاں
bird	پرندہ
birthday	سالگرہ
bit	ٹکڑا
bite	تروڑاں
bite	زخم
bitter	کوڑا
black	کالا
blade	بلیڈ
blame	الزام
blame	الزام ڈیونڑاں
blank	خالی
blanket	کمبل
blast	دھماکا
bleach	بلیچ
blend	ملاونڑاں
bless	دُعا کرنڑاں
blessed	مبارک
blind	کانڑاں
bliss	برکت
block	بلاک کرنڑاں
blood	رت
bloom	کَلی
blow	تھلے
blue	نیلا
blunt	بے حس بناونڑاں
board	بورڈ
boat	کشتی
body	جسم
boil	ابالڑاں
bold	بہادر
bond	لگاؤ
bone	ہڈی
book	کتاب وچ لکھڑاں
book	کتاب
boost	قوت اچ اضافہ کرنڑاں
boost	زیادتی
booster	بوسٹر
boot	بُوٹ
boots	ہوٹل دا عملہ
border	حد
bore	برداشت کیتا
bored	تھکیا ہویا
boring	آوزار
born	پیدا تھیونڑاں
borrow	منگیا ہویا
boss	باس
both	ڈوہویں
bother	بھرا
bottle	بوتل
bottom	تھلے
bought	گھنیا گیا
bounce	شور شرابے نال
bound	بندش
boundaries	حداں
bow	بو
bowl	پیالہ
box	ڈبا
boy	چھوہر
boyfriend	محبوب
bracelet	بازو بند
brain	دماغ
branch	برانچ
brand	برانڈ
brave	بہادر
breach	خلاف ورزی
bread	روٹی
break	توڑ پھوڑ
break	تروڑنڑاں
breakfast	ناشتہ
breast	چھاتی
breath	ساہ لینڑاں
breathe	ساہ
breed	پالنڑاں
brick	بُلاک
bride	کنوار
bridge	برج
brief	خلاصہ
bright	تیز
brilliant	شوخ
bring	چا آوو
bro	بِھرا
broad	بورڈ
broadcast	نشر کرنڑاں
broke	تروڑیا
broken	ترٹا ہویا
broom	بوہاری
brother	بھرا
brother in law	ڈیر
brought	گھنڑاں
brown	خاکی
brush	برش
bucket	بالٹی
buddy	یار
budget	بجٹ
bug	کھٹمل
build	تیار کیتا
building	عمارت
built	بنڑایا
bulk	بہوں سارا
bull	بیل
bully	ڈراونڑاں
bump	دھکا
bunch	گُچھا
bundle	گنڈھوکڑی
burden	بوجھ
burden	بوجھ سٹڑاں
buried	دفن کیتا
burn	سڑنڑاں
burst	پھٹڑاں
bury	دفن کرنڑاں
bus	بس
bush	جھاڑی
business	کاروبار
bust	تباہ کرنڑاں
busy	مصروف
but	لیکن
butter	مکھنڑ
butterfly	تتلی
button	بٹنڑ
buy	مُل گھنو
by	ولوں
by the way	اوویں ہی
bye	خدا حافظ
cabbage	بند گوبھی
cabinet	الماری
cage	پنجرہ
cake	کیک
calf	بچھڑا
call	کال
call	پُکارڑاں
call me	میکوں کال کرو
called	سڈنڑاں
calm	امن
came	آ گیا
campaign	مہم
can	قابل ہونڑاں
can	ٹین
can't	نہیں کر سکدے
Cancel	منسوخ کرو
cancer	کینسر
capable	لائق
capacity	گنجائش
capital	دارالحکومت
caption	سرخی
capture	قید کرنڑاں
car	گاڈی
career	کریئر
careful	فکر مند
carefully	احتیاط نال
careless	لاپرواہ
caring	خیال رکھن آلا
carpenter	ترکھانڑ
carpet	قالین
carrot	گاجر
carry	چا کے ٹرو
carry on	چِھکی رکھو
carry out	باہرو گھن ونجو
case	کیس
cash	نقد
cast	قوم
castle	قلعہ
casual	عام
cat	بلی
catch	پکڑیا
category	قسم
cattle	مال مویشی
caught	پکڑیا
cause	سبب
cause	سبب دی وجہ
caution	احتیاط
cautious	محتاط
cave	غار
cease	ختم ہونڑاں
ceiling	آخری حد
celebrate	خوشی مناونڑاں
cell	خلیہ
center	مرکز
century	صدی
cereal	اناج
ceremony	رسم
certain	خاص
certainly	یقینی طور تے
certificate	سند
chain	چین
chair	کرسی
challenge	ٹوکڑاں
challenge	اعتراض
chance	موقع
change	وٹاؤ
chaos	افراتفری
character	کردار
characteristics	خصوصیتاں
charge	قیمت
charity	خریت
charming	خوبصورتی
chart	چارٹ
chase	پچھے ٹرنڑاں
chat	بات چیت
chat	بات چیت کرنڑاں
cheap	سستا
cheat	دھوکہ ڈیونڑاں
cheating	فریبی
check	جائزہ گھنڑاں
check	قابو وچ کرنڑاں
cheek	گَل
cheer	نعرہ لاونڑاں
cheerful	خوش کرنڑاں
cheers	خوش رہوو
cheese	چیز
chemistry	کیمیا
cherish	عزیز رکھنڑاں
chess	شطرنج
chest	سینہ
chew	چَباونڑاں
chicken	مرغی
chief	اہم
child	بال
childhood	نیاناں
children	بال
chill	بہوں ٹَھڈا
chill	ٹَھڈا کرنڑاں
chill	ٹَھڈ
chimneys	چمنیاں
chin	بوتھی
chocolate	چاکلیٹ
choice	پسند
choose	چنڑو
chop	ٹکڑے کرنڑاں
chores	کم کاج
chubby	گول مٹول
church	چرچ
cinnamon	دار چینی
circle	دائرہ
circumstances	حالات
citizen	شہری
city	شہر
claim	حق
claim	دعویٰ کرنڑاں
clarify	صاف کرنڑاں
class	جماعت
clay	مٹی
clean	صاف
clear	صاف کرنڑاں
clear	صاف
clerk	کلرک
clever	چلاک
client	موکل
cliff	ٹیلا
climate	آب و ہوا
climb	چڑھڑاں
clingy	چمبڑنڑ آلا
clock	گھڑی
close	بند کرو
closet	غیر عملی
cloth	کپڑا
clothes	کپڑے
cloud	بادل
cloudy	بادل آلا
clown	مسخرہ
clue	اشارہ
clumsy	بے ڈھنگا
cluster	گُچھا
coach	کھیڈ سکھاونڑ آلا
coal	کوئلہ
coast	کنارہ
coat	کوٹ
coffee	کافی
cognitive	علم رکھنڑ آلا
coincidence	اتفاق
cold	ٹھڈا
collapse	غائب کرنڑاں
collar	کالر
colleague	رفیق
colleagues	ساتھیاں
collect	جمع کرنڑاں
collection	جمع کرنڑاں
college	کالج
color	رنگ
colorless green ideas slept furiously	بغیر رنگ آلے خیالات غصے وچ سَم تھئین
colour	رنگ
column	کالم
comb	کنگھی
combination	میل
combine	کَٹھا کرنڑاں
come	آؤ
come here	اِتھاں آؤ
come on	پھلڑاں پھولڑاں
comfort	آرام
comfortable	آرام دہ
coming	آندا پیا ہے
coming soon	جلدی آندا پیا ہے
command	حکم
comment	تبصرہ
commercial	کمرشل
commission	کمیشن
commit	ذمے لاونڑاں
commitment	معاہدہ
committed	مخلص
commodity	مال
common	عام
communicate	اطلاع ڈیونڑاں
communication	گالھہ بول
community	کمیونٹی
commute	ادلہ بدلی کرنڑاں
companion	ہم نشین
company	کمپنی
compare	موازنہ کرنڑاں
comparison	مقابلہ
compassion	ترس کھاونڑاں
compassionate	ہمدرد
compatible	موافق
compete	مقابلہ کرنڑاں
competent	اہل
competition	مقابلہ
competitive	مقابلے دا
complain	شکایت
complaint	شکایت
complement	پوری مقدار
complement	مکمل کرنڑاں
complete	مکمل
completely	مکمل طور تے
complex	پیچیدہ
compliance	مرضی
complicated	پیچیدہ
compliment	تعریف کرنڑاں
comply	حکم پورا کرنڑاں
composition	ترکیب
compound	مرکب
comprehension	عقل سمجھ
comprehensive	جامع
compromise	سمجھوتہ کرنڑاں
compromise	سمجھوتہ
compulsory	لازمی
computer	کمپیوٹر
concentrate	توجہ نال کم کرنڑاں
concept	خیال
concern	تعلق رکھڑاں
concern	تعلق
concerned	فکر مند
concert	ہم آہنگ بنڑاونڑاں
conclusion	نتیجہ
concrete	ٹھوس
concrete	سیمنٹ
concrete	سیمنٹ لاونڑاں
condition	حالت
conditions	شرطاں
conduct	طور طریقہ
conference	جلسہ
confess	اعتراف کرنڑاں
confidence	اعتماد
confident	اعتماد آلا
confirm	تصدیق کرو
conflict	تنازعہ
confused	پریشان ہونڑاں
confusion	پریشانی
congrats	مبارکاں
congratulation	مبارکباد
congratulations	مبارکاں
conjunction	جوڑا
connect	جوڑو
conquer	فتح کرنڑاں
conscious	ہوش وچ
consciousness	شعور
consent	منظوری
consent	منظوری ڈیونڑاں
consequences	نتیجے
conservation	حفاظت
conservative	محتاط
consider	غور کرنڑاں
considered	سوچا سمجھیا
consist	شامل ہونڑاں
consistency	ہمواری
consistent	مستقل
constant	مستقل
constantly	ہمیشہ
constipation	قبض
construction	تعمیر
consume	خرچ کرنڑاں
consumption	خرچ
contact	تعلق پیدا کرنڑاں
contact	تعلق
contagious	چھوت
contain	شامل ہے
contains	مشتمل ہونڑاں
contemporary	اک زمانہ
contempt	توہین
content	مواد
contest	مقابلہ
context	سیاق وسباق
continent	براعظم
continue	جاری رکھو
contract	معاہدہ
contract	گھٹ کرنڑاں
contrast	فرق کرنڑاں
contrast	فرق
contribute	حصہ گھنو
contribution	حصہ
control	قابو کرنڑاں
controversial	جھگڑے آلا
convenience	سہولت
convenient	آسان
conversation	گالھہ کرنڑاں
convert	مذہب تبدیل کرنڑ آلا
convert	مذہب تبدیل کرنڑاں
convey	پُجاونڑاں
convince	منوانڑاں
convinced	قائل ٹھیا
cook	باورچی
cook	پکاونڑاں
cooking	پکاونڑاں
cool	ٹھڈا
cool	بہوں چنگا
cooperation	تعاون
cope	قابو پاونڑاں
copper	تانبا چڑھونوڑاں
core	کورٹ
corn	چھلی
corner	کونا
correct	درست
cost	خرچ کرنڑاں
cost	قیمت
costume	جوڑا ڈیونڑاں
cottage	جُھوپڑی
cotton	کپاہ
couch	صوفہ
cough	کھنگ
could	کر سکن
council	کونسل
count	تعداد
counter	کاؤنٹر
country	ملک
countryside	دیہاتی علاقہ
couple	جوڑا
courage	ہمت
course	کورس
court	کورٹ
courtesy	خوش اخلاقی
cousin	کزن
cover	کورٹ
cow	گاں
coward	ڈرپوک
cozy	سکھی
crab	کیکڑا
crack	کڑک
crack	تروڑنڑاں
craft	چالاکی کرنڑاں
crap	پھانسی ڈیونڑاں
crash	گرجڑاں
crash	گرج
craving	خواہش
crawl	رُڑھنڑاں
crazy	دیوانہ
create	بنڑاؤ
creative	تخلیقی
credit	کریڈٹ
creep	رینگڑاں
creepy	گھبراہٹ
crew	جہاز دا عملہ
crime	جرم
cringe	خوشامد کرنڑاں
cringe	جُھکڑاں
crisis	بحران
criteria	معیار
critical	تشویشناک
criticism	تنقید
crop	فصل
crops	فصلاں
cross	صلیب
cross	منسوخ کرنڑاں
crow	کاں
crowd	رش
crowded	رش
crown	تاج
crucial	نازک
cruel	ظالم
cruise	جہاز پھرانڑاں
crush	دباونڑاں
crush	بِھیڑ
cry	رونڑاں
cucumber	کھیرا
cuddle	گلے لاونڑاں
culture	ثقافت
cunning	مکار
cup	پیالی
cupboard	الماری
curb	قید
cure	علاج
cure	علاج کراونڑاں
curfew	کرفیو
curiosity	سکھنڑں دا شوق
curious	جسوسی کرنڑاں
curly	گھنگریالا
currency	کرنسی
current	ہونڑیں
currently	حال وچ
curse	آفت
curtain	پردہ
cushion	گَدّی
custom	مخصوص
customer	گاہک
customs	رسم رواج
cut	کَٹیا
cut	زخم
cute	سوہنڑاں
cycle	سائیکل
cycling	سائیکل چلاونڑاں
dad	پیو
daddy	پِیو
daily	روزانہ
dairy	کھیر دی دکان
dam	ڈیم
damage	تروڑنڑاں
damage	نقصان
damn	مندے کڈھنڑاں
damp	سِنا کرنڑاں
dance	ڈانس
danger	خطرہ
dangerous	خطرناک
dark	گھیرا
darling	محبوب
dash	شان نال
data	ڈیٹا
date	چاہنڑے آلے نال مللاقات کرنڑاں
date	تاریخ
daughter	دھی
day	ڈینہہ
dead	مریا ہویا
deadline	مقرر کیتی حد
deaf	ڈورا
deal	ونڈڑاں
deal	معاملہ
dear	عزیز
Dear All	تمام عزیز
Dear Customer	عریز گاہک
Dear Parents	عزیز والدین
Dear Sir	عزیز سر
Dear students	عزیز شاگرداں
Dear Team	عزید ٹیم
death	فوتگی
debate	بحث کرنڑاں
debit	خرچ
debris	کباڑ
debt	قرضہ
decade	صدی
decay	سڑنڑاں
deceased	مرحوم
deceive	دھوکہ ڈیونڑاں
december	دسمبر
decent	چنگا
decide	فیصلہ کرو
decided	فیصلہ کیتا
decision	فیصلہ کرنڑاں
deck	جہاز دا تختہ
decline	رد کرو
decrease	گھٹاونڑاں
dedicated	منسوب کیتا
dedication	چڑھاوا
deed	عمل
deep	ڈونگا
deer	ہرنڑ
default	پہلاں توں
defeat	شکست
defeat	شکست ڈیونڑاں
defend	دفاع کرنڑاں
define	واضح کرنڑاں
definitely	صحیح طور تے
definition	تعریف
degree	ڈگری
delay	دیر
delay	دیر کرنڑاں
delayed	دیر نال
delete	نکال ڈیونڑاں
deliberate	صلاح کرنڑاں
delicate	ملائم
delicious	مزیدار
delight	خوشی
delighted	خوش تھئے ہاں
deliver	حوالے کرنڑاں
delivered	حوالے کیتا
delivery	ڈیلیوری
demand	مطالبہ کرنڑاں
demand	مطالبہ
demanding	محنت طلب
democracy	جمہوریت
demon	بھوت
demonstrate	سمجھاونڑاں
denied	انکار کیتا
density	ٹھوس پن
dentist	ڈنداں دا ڈاکٹر
deny	انکار کرو
department	شعبہ
departure	روانگی
depend	بھروسہ کرنڑاں
deploy	ترتیب کرنڑاں
deposit	امانت
deposit	امانت رکھنڑاں
depressed	افسردہ
depression	دباؤ
depth	گہرائی
describe	وضاحت کرو
description	تفصیل
desert	صحرا
deserve	حقدار
design	نقشہ
design	نقشہ بناونڑاں
designation	عہدہ
desire	خواہش
desire	خواہش کرنڑاں
desk	ڈیسک
despair	مایوسی
desperate	بے پرواہ
despite	ایندے باوجود
dessert	مٹھا
destination	منزل
destiny	مقدر
destroy	تباہ کرنڑاں
destruction	تباہی
detail	تفصیل
details	تفصیلاں
detect	سراغ لاونڑاں
determination	ارادہ
determine	مقرر کرنڑاں
determined	پکا ارادہ
devastated	مکمل تباہ
develop	ترقی
developed	ترقی کیتی
development	ترقی
device	آلہ
devil	شیطان
devoted	وفادار
Dhivehi	دویہی
diabetes	شوگر
diarrhea	دست آونڑاں
diary	ڈائری
dictionary	ڈکشنری
did	کیتا
die	فوت تھیونڑاں
died	مر گیا
diet	خوراک
difference	فرق
different	مختلف
difficult	مشکل
dig	کھودو
dignity	عزت
diligent	محنتی
dinner	رات دا کھاونڑاں
dip	ڈُباونڑاں
direct	سدھا
direction	سمت
director	ناظم
dirt	خاک
dirty	پلیت
disable	نااہل
disabled	ناکارہ کیتا
disappear	غائب ہونڑاں
disappointed	مایوس کیتا
disaster	تباہی
discard	رد کرنڑاں
discharge	خارج کرنڑاں
discipline	پابندی
discount	رعایت
discover	تلاش کرنڑاں
discrimination	تفریق
discuss	بحث کرو
discussion	بات چیت
disease	بیماری
diseases	بیماریاں
disguise	روپ بدلنڑاں
disgusting	نفرت دے قابل
dish	تھالی
dishes	ڈشاں
dismiss	منسوخ کرنڑاں
dispatch	بھیجڑاں
display	ڈسپلے
disposal	بندوبست
dispute	جھگڑا
distance	فاصلہ
distinct	مختلف
distinguish	فرق کرنڑاں
distress	تکلیف دا باعث
distribution	تقسیم کرنڑاں
district	ضلع
disturb	تنگ کرنڑاں
ditch	دھوکہ ڈیونڑاں
dive	ڈُبکی لاونڑاں
diverse	مختلف
diversity	اختلاف
divide	تقسیم کرنڑاں
divine	جادو
divorce	طلاق ڈیونڑاں
divorce	طلاق
dizzy	چکر آونراں
do	کرو
do you	کیا تساں
do you love me	کیا تساں میڈے نال پیار کردے ہو
doctor	ڈاکٹر
document	تحریر
does	غائب واحد
doesn't	نہیں کریندا
dog	کتا
Dogri	ڈوگری
doing	کرنڑاں
doll	گڑیا
domain	ڈومین
domestic	گھریلو
dominant	نمایاں
don't	نہ کرو
Don't worry	پریشان نہ تھیوو
donate	عطیہ کرنڑاں
done	تھی گئے
donkey	گڈھا
dope	نشہ
double	ڈُو کرنڑاں
double	ڈُو
doubt	شک شبہ
doubt	شک ہونڑاں
dough	اَٹے دا پیڑا
down	تھلے
download	ڈاؤن لوڈ کیتا
draft	مسودہ
draft	مسودہ تیار کرنڑاں
drag	چھکڑاں
drain	نالی بنڑاونڑاں
drama	ڈرامہ
draw	کھچو
drawer	دراز
drawing	ڈرائنگ
dread	ڈرنڑا
dream	خواب
dream	خواب ڈیکھنڑاں
dress	لباس
drill	سوراخ کرنڑاں
drink	پیونڑاں
drink	شربت
drive	گاڈی چلاؤ
drop	قطرہ
drop	ٹپکڑاں
dropped	ٹپکیا
drought	قحط
drunk	نشہ کیتا ہویا
dry	خشک
duck	بدک
dude	نفاست پسند
due	واجب
due to	ایندی وجہ توں
dull	مندا
dumb	گونگا
dump	ذخیرہ کرنڑاں
duration	معیاد
during	دوران
dust	دھول
duty	فرض
dwell	سوچنڑاں
dying	مرنڑاں
each	ہر ہک
each other	اک ڈوجھا
eager	خواہشمند
eagle	باز
ear	کَن
earlier	ابتدائی
early	چھیتی
earn	کمانڑاں
ears	کَن
earth	زمین
earthquake	زلزلہ
ease	آسانی
easily	آسانی نال
east	مشرق
easy	آسان
eat	کھاؤ
eating	کھاونڑاں
economic	معاشی
economy	معیشت
edge	پاسا
edit	ترتیب ڈیونڑاں
education	تعلیم
effect	اثر
effective	اثر کرنڑ آلا
efficiency	قابلیت
efficient	لائق
effort	کوشش
egg	انڈہ
eggplant	بینگنڑ
ego	انا
eight	اَٹھ
eighteen	اٹھاراں
eighty	اسی
either	ڈو وچوں ہک
elaborate	وضاحت کرنڑاں
elbow	بانہہ
elder	بزرگ
elderly	وڈی عمر دا
elegant	پاکیزہ
element	عنصر
elephant	ہاتھی
eleven	گیارہاں
eligible	اہل
eliminate	ختم کرنڑاں
else	کوئی وی
embarrassed	پریشان کیتا
embarrassing	پریشان کرنڑ آلا
embrace	قبول کرنڑاں
emerge	برآمد کرنڑاں
emergency	ہنگامی صورت
emotional	جذباتی
empathy	ہمدردی
emphasis	زور ڈیونڑاں
emphasize	زور ڈیوڑاں
employee	ملازم
employees	ملازم
employer	مالک
employment	ملازمت
empty	خالی
enable	اہل بنڑاؤ
encounter	مقابلہ کرنڑاں
encourage	حوصلہ ڈیوو
end	ختم
endangered	خطرے وچ سٹیا
endeavor	محنت
endurance	برداشت
endure	برداشت کرنڑاں
enemy	دشمن
energy	توانائی
engage	مصروف
engaged	مشغول ہونڑاں
engagement	مصروفیت
engine	انجن
engineer	انجینیئر
English	انگریزی
enhance	بہتر بنڑاؤ
enjoy	مزہ کرو
enormous	بہوں سارا
enough	بہوں
ensure	یقینی بنڑاؤ
enter	داخل کرنڑاں
entertainment	تفریح
enthusiasm	جوش
enthusiastic	جوش والا
entire	سارا
entitled	عنوان دے نال
entity	ذات
entrance	اندرو وینجڑ دا راہ
entrepreneur	منتظم
envelope	لفافہ
environment	ماحول
envy	بغض
epic	عظیم الشان
epidemic	وبا
equal	برابر
equipment	سامان
equity	انصاف
equivalent	برابر
eraser	ربڑ
error	خرابی
escape	فرار ہونڑاں
especially	خاص طور تے
essay	مضمون
essence	روح
essential	ضروری
establish	قائم کرنڑاں
established	مقرر کیتا
estate	ملکیت
estimate	اندازہ لاونڑاں
estimated	اندازہ لایا گیا
etc	وغیرہ
eternal	اندرونی
ethics	اخلاقیات
evaluate	قیمت لاونڑاں
evaluation	اندازہ لاونڑاں
even	اتھاں تائیں کہ
even though	حالانکہ
evening	شام
event	ایونٹ
eventually	آخر کار
ever	کڈئیں وی
every	ہر
everybody	ہر کوئی
everyone	ہر ہک
everything	ہر شے
evidence	ثبوت
evil	مصیبت
evolution	ترقی
