ӧжыт	a little
счет	bill
думылыны	bind
тылобурдо	bird
вордӥськем нунал	birthday
ӧжытак	bit
куртче	bite
курытэз	bitter
сьӧд	black
лезвие	blade
янгышъёссэ	blame
тырмытымтэ	blank
шобретъёс	blanket
пуштон	blast
тöдьыян	bleach
сурет	blend
данъясько	bless
данъямын	blessed
синтэм	blind
майбыр улон	bliss
блок	block
вир	blood
сяськаяны	bloom
шуккет	blow
лыз	blue
ныж	blunt
пулэсь	board
пыж	boat
мугорыз	body
пӧсьтыны	boil
кышкасьтэм	bold
вань	bold
герӟет	bond
лы	bone
заказ	book
будэтон	boost
усилительёс	booster
башмак	boot
ботинка	boots
кунгож	border
акыльтыны	bore
мӧзмыт	bored
мӧзмыт	boring
вордскем	born
пунэманы	borrow
босс	boss
кыкназы	both
исаллязы	bother
бутылка	bottle
пыдэссэ	bottom
басьтӥз	bought
тэтчаны	bounce
герӟаськем	bound
кунгож	boundaries
йыбыртты	bow
чаша	bowl
коробка	box
пи	boy
пияш	boy
пияш	boyfriend
поскес	bracelet
йырвимлэн	brain
вай	branch
бренд	brand
кышкасьтэм	brave
тӥян	breach
нянь	bread
перерыв	break
ӵук	breakfast
гадь	breast
шокан	breath
шоканы	breathe
йыло	breed
кирпичной	brick
кузпалъёс	bride
выж	bridge
вакчи	brief
яркыт	bright
кисьтаськись	brilliant
вуттыны	bring
агай	bro
паськыт	broad
возьматыны	broadcast
пилем	broke
чигты	broken
ӵужон	broom
нюня	brother
вармайпи	brother in law
вайиз	brought
курень	brown
щётка	brush
кобы	bucket
ведра	bucket
уром	buddy
бюджет	budget
янгыш	bug
кильымъёс	build
юри	building
пуктыны	built
валтӥсь масса	bulk
ош	bull
керетӥсь	bully
мыжгем	bump
пуры	bunch
керттэт	bundle
секыт ныпъетэз	burden
ватэм	buried
сутыны	burn
пуштыны	burst
ватыны	bury
автобус	bus
куак	bush
ужбергатон	business
бюст	bust
ваньмисьтэм	busy
нош	but
нӧкы	butter
бубыли	butterfly
кнопка	button
октыны	buy
ог	by
кылпумысь	by the way
пока	bye
кубиста	cabbage
министръёслэн кабинетсы	cabinet
клетка	cage
торт	cake
кунян	calf
жингыртӥз	call
чорты монэ	call me
нимаське	called
чалмыт	calm
лыкто	came
кампания	campaign
корт банка	can
быгатыны	can
кужымезъя öвöл	can't
берланьтыны	Cancel
кисло-кусло	cancer
быгатӥсьлэн	capable
быгатонлыкъёслы	capacity
бадӟым	capital
гожтӥськем	caption
киултыны	capture
машина	car
карьер	career
вал каллен	careful
пыр-поч	carefully
чакласькисьтэм	careless
сюлмаськись	caring
ӵуписькись	carpenter
выжлёгет	carpet
ӵужкушман	carrot
нуллыны	carry
азьланьтыны	carry on
сётэм кылэз быдэстыны	carry out
кейс	case
наличной	cash
кӧчырет	cast
замок	castle
случайной	casual
коӵыш	cat
кутыны	catch
категория	category
гурт пудоживот	cattle
кутэм	caught
мугез	cause
эскериськон	caution
чакласькись	cautious
мугыркын улӥсь	cave
дугдытыны	cease
вӧлдэтын	ceiling
праздник	celebrate
ёзэт	cell
центр	center
даур	century
тысё юос	cereal
церемония	ceremony
шонерак	certain
безусловно	certainly
сертификат	certificate
жильы	chain
пукон	chair
вызовъёсы	challenge
луонлык	chance
вошъям	change
радтэм	chaos
сямзылы	character
характеристика	characteristics
зарядить	charge
ӟечен юрттон	charity
синмаськытӥсь кужым	charming
диаграмма	chart
уйиськон	chase
вераськыны	chat
вераськон	chat
дунтэм	cheap
йыртэмась	cheat
эрекчаськон	cheating
эскерон	check
бам	cheek
мылкыд ӝутыны	cheer
шулдыр	cheerful
ӟечкылазы	cheers
сыр	cheese
химия	chemistry
нуныяны	cherish
шахмат	chess
гадь клетка	chest
сыскыны	chew
курег	chicken
азьветлӥсь	chief
нылпиоc	child
пинал дыр	childhood
нылпиос	children
кезьыт	chill
гумыос	chimneys
ангес	chin
шоколад	chocolate
быръён	choice
быръе	choose
кораны	chop
ӵыжы	chores
быгылес	chubby
черк	church
корица	cinnamon
берганы	circle
югдурез	circumstances
кунмурт	citizen
город	city
верало	claim
валамон карыны	clarify
класс	class
гордсюй	clay
чылкыт	clean
шараяськиз	clear
ужась	clerk
визьмо	clever
клиент	client
изъяр	cliff
климат	climate
тубон	climb
ӝабырес	clingy
час	clock
ворсано	close
чулан	closet
пустол	cloth
дӥськут	clothes
ӝожомытыны	cloud
пильмо	cloudy
маскаръяськись	clown
лушкем веран	clue
ын лук-лак	clumsy
люкаськем	cluster
тренер	coach
эгыр	coal
ярдур	coast
сӥен-сӥен	coat
кофе	coffee
когнитивной	cognitive
тупан	coincidence
кезьыт	cold
бинялтэмын	collapse
чырты е	collar
ужъюлтошъёсыз	colleague
ужъюлтошъёс	colleagues
люкам	collect
кенеш	collection
колледжъёсын	college
буёл	color
буёлтэм вож малпанъёс вожпотыса изизы	colorless green ideas slept furiously
буёл	colour
столбик	column
корманы	comb
герӟан	combination
сочетать карыны	combine
вуылыны	come
лык татчы	come here
азьлань!	come on
ойдо	come on
комфорт	comfort
вӧл	comfortable
вуон	coming
ӝоген луоз	coming soon
тӧрояськыны	command
комментарий	comment
коммерческой	commercial
комиссия	commission
ортчиз	commit
обязательствоос	commitment
сётэм	committed
вуз	commodity
вöлмем	common
вераськыны	communicate
сюрес	communication
сообщество	community
ветлыны	commute
юлтош	companion
юнда	company
ӵошатыса	compare
ӵошатон	comparison
жалян	compassion
жалясь	compassionate
огазеясь	compatible
ӵошатскыны	compete
умой тодӥсь	competent
вожвылъяськонлэн	competition
вожвылъяськыны быгатӥсь	competitive
урттылӥськиз	complain
чагиськон	complaint
ватсаны	complement
йылтон	complement
тырмоз	complete
быдэсак	completely
огъет	complex
сётскыны дась луон	compliance
сложный	complicated
комплимент	compliment
гожтӥськыны	comply
пушсузьет	composition
состав	compound
валан	comprehension
котькуд ласянь	comprehensive
компромисс	compromise
курегпузэз питыръяса	compulsory
компьютер	computer
концентрат	concentrate
концепциез	concept
шугъяськонэ	concern
сюлэмшугъяськись	concerned
концерт	concert
заключение	conclusion
членъёсыз	concrete
инэт	condition
луонлыкъёс	conditions
вал нуисько	conduct
конференция	conference
зэмзэ вераны	confess
ас кужымедлы оскон	confidence
оскизы	confident
возьматон	confirm
конфликтысь	conflict
сурам	confused
абдран	confusion
ӟечкыласько	congrats
ӟечкылан	congratulation
ӟечкыланъёс	congratulations
огазеян	conjunction
герӟаны	connect
вормыны	conquer
сознательной	conscious
визь	consciousness
вераськыны	consent
бервылъёсыз	consequences
утялтон	conservation
консервативной	conservative
астэ лыдъяны	consider
малпам	considered
пӧрмыны	consist
радлык	consistency
согласованный	consistent
ялан	constant
весь	constantly
запор	constipation
лэсьтӥськон	construction
уже кутыны	consume
потребление	consumption
кусып возён	contact
кутскись	contagious
будэмзэ возьыны	contain
возе	contains
туала адями	contemporary
адӟемпотостэм карон	contempt
содержимое	content
вожвылъяськон	contest
котыркуэт	context
ярмувыр	continent
кыстӥськыны	continue
контракт	contract
контраст	contrast
юрттэткузьым карыны	contribute
тырон	contribution
чакланы	control
споръяськон	controversial
каньыллык	convenience
вӧл	convenient
вераськон	conversation
выльдоно	convert
пӧрмиз	convert
передача	convey
оскытӥз	convince
оскытэм	convinced
повар	cook
пӧзьтон	cooking
ыркыт	cool
ӵош ужан	cooperation
быдэстыны быгатыны	cope
ыргон	copper
основной	core
кукуруза	corn
сэрег	corner
шонер	correct
стоимость	cost
костюм	costume
коттедж	cottage
хлопок	cotton
диван	couch
кызон	cough
быгатысал	could
дэмлам	council
лыдъяны	count
прилавок	counter
шаерамы	country
гурт	countryside
мар кузэн	couple
мужество	courage
курслэн	course
суд	court
гажан	courtesy
двоюродной	cousin
обложка	cover
скал	cow
кышкась	coward
лякыт	cozy
краб	crab
пилиськем	crack
киуж-ӧнерлык	craft
ӧвӧлтэм	crap
куашкан	crash
юэм потон	craving
ныж ветлыны	crawl
шузимем	crazy
кылдӥз	create
кылдытон	creative
кредитъёсыз	credit
куашкан	creep
нюжтӥськись	creepy
экипажлэн ёзчиез	crew
йыруж	crime
куалектыны	cringe
ёрмон	crisis
кризис	crisis
дунъян мертэтъёс	criteria
критической	critical
дунъетбур	criticism
удалтэм	crop
киземъёс	crops
гопо	cross
куака	crow
калык	crowd
трос калыко	crowded
корона	crown
валтӥсь	crucial
туж секыт	cruel
круиз	cruise
донгаськон	crush
бöрдыны	cry
кияр	cucumber
ӟыгыръяськыны	cuddle
культура	culture
кескич	cunning
чашка	cup
шкаф	cupboard
кортнаны	curb
эмъюм	cure
комендантской час	curfew
котьмае тодыны турттон	curiosity
тунсыко	curious
бабылес	curly
валюта	currency
текущей	current
туала	currently
вегнан	curse
катанчи	curtain
миндэр	cushion
нестандартный	custom
клиент	customer
вузэскерет	customs
вандэм	cut
муспотон	cute
цикл	cycle
велоспорт	cycling
атай	dad
атае	daddy
быдэ	daily
йӧллэсь	dairy
дамба	dam
сöрон	damage
каргам	damn
нюр	damp
эктон	dance
кышкытлык	danger
кышкыт	dangerous
пеймыт	dark
мусо	darling
кузьгож	dash
сётэтъёс	data
дата	date
нылъёс	daughter
нунал	day
кулэм	dead
берпум дыр	deadline
пельтэм	deaf
сделкаос	deal
дуно	dear
Ӟечкыласько ваньдэсты	Dear All
Гажано клиент	Dear Customer
Дуно анай-атайёс	Dear Parents
Гажано	Dear Sir
Гажано дышетскисьёс	Dear students
Гажано команда	Dear Team
кулон	death
ченгешыны	debate
дебет	debit
силё	debris
долг	debt
дас ар	decade
куашкан	decay
кулэм	deceased
пӧяны	deceive
толсур	december
гольтрес	decent
лэсьтыны	decide
решение	decided
решение	decision
палубной	deck
кулэсмыны	decline
ичиёмыны	decrease
висъяны	dedicated
вань сэлэмез сётон	dedication
поступок	deed
мур	deep
пужей	deer
ватон	default
вормон	defeat
утьыны	defend
определение	define
определённо	definitely
определение	definition
степеньын	degree
ӝегатсконъёс	delay
кылем	delayed
ӵушылон	delete
кенешыны	deliberate
ненег	delicate
ческыт	delicious
шумпотон	delight
синмаськытэм	delighted
вайыны	deliver
ваем	delivered
доставка	delivery
юан	demand
рос-прос эскерись	demanding
демократи	democracy
шайтан	demon
адӟытэ	demonstrate
танӥськем	denied
юнлык	density
пинь эмъясь	dentist
отказ	deny
люкет	department
отъезд	departure
киулскыны	depend
сэрттыны	deploy
депозитъёс	deposit
зӥбем кадь	depressed
ляб	depressed
депрессия	depression
мурдала	depth
валэктыны	describe
описание	description
пустыня	desert
элькун	deserve
дизайн	design
пус	designation
ылкыд	desire
потыны	desire
ӝӧк	desk
пумтэмлык	despair
бертэме	desperate
учкытэк	despite
десерт	dessert
пуктэм инты	destination
адӟон	destiny
куашкатыны	destroy
куашкам	destruction
пыр-поч возьматыны	detail
чыры-пырыос	details
шедьтыны	detect
юн	determination
тодыны	determine
дӥсьтӥсь	determined
куашкатэм	devastated
азинто	develop
азинскись	developed
азинскон	development
устройствоос	device
шайтан	devil
оскымон	devoted
Дивехи	Dhivehi
сакырвисён	diabetes
кӧтвиян	diarrhea
дневник	diary
кыллюкам	dictionary
кариз	did
кулыны	die
кулӥз	died
рацион	diet
вис	difference
мукет	different
секыт	difficult
копалтыны	dig
дан	dignity
тыршись	diligent
сиськон	dinner
гудыны	dip
шонер	direct
мынон сюрес	direction
режиссёр	director
дэри	dirt
пож	dirty
кысыны	disable
сӧсыр	disabled
ышыны	disappear
разочарован	disappointed
катастрофически	disaster
сэрпалтыны	discard
разрядить карем	discharge
дисциплинаез	discipline
скидка	discount
шедьтыны	discover
ултӥян	discrimination
эскерыны	discuss
эскерем	discussion
висён	disease
висёнъёс	diseases
ватон	disguise
юрӟым	disgusting
тусьты	dish
сиёнъёс	dishes
инты ужлэсь мозмытыны	dismiss
кулэстыны	dispatch
дисплей	display
косон	disposal
ченгешонъёс	dispute
дистанциез	distance
сайтэ	distinct
висъяны	distinguish
курадӟон	distress
люкон	distribution
ёрос	district
сюлмаськытыны	disturb
гу	ditch
зымылыны	dive
пӧртэм	diverse
турлы	diversity
люкыны	divide
абдрамон чебер	divine
люкиськон	divorce
люкиськымтэ	divorce
берга	dizzy
карыны	do
тон	do you
тон монэ яратӥськод-а	do you love me
доктор	doctor
ужкагаз	document
со карэ	does
уг	doesn't
пуны	dog
Догри	Dogri
лэсьтэмын	doing
мунё	doll
домен	domain
асьме кунлэн	domestic
валтӥсь	dominant
уг	don't
Уг бугыръяськиськы	Don't worry
коньдонэн юрттӥськыны	donate
карем	done
ишак	donkey
усыкмет	dope
кыктос	double
полэстӥськыса	double
шекланыса	doubt
ыльнянь	dough
улӥе	down
тырмытыны	download
уськытъяз	draft
гыж кыскыса нуыны	drag
начармонзы	drain
драма	drama
суредаллям	draw
ничья	draw
ящик	drawer
гожсуред	drawing
кышкан	dread
малпанъёс	dream
дэрем	dress
пасялляны	drill
юон	drink
приводэн	drive
усён	drop
уськытыны	dropped
кӧс куазь	drought
удмуртарня	drunk
кӧс	dry
ӵӧж	duck
чувак	dude
нуиськизы	due
бӧрсе	due to
мöзмыт	dull
кылтэм-ымтэм	dumb
куяськон	dump
мынон дыр	duration
дыр	during
тузон	dust
долг	duty
улыны	dwell
кулон	dying
котькудӥз	each
ог-огдэс	each other
чидасьтэм	eager
кырныж	eagle
пель	ear
вазьгес	earlier
вазь	early
медъям	earn
пельёс	ears
музъем	earth
музъемзуркан	earthquake
каньыллык	ease
лякыт	easily
восточной	east
капчи	easy
сиыны	eat
сиськон	eating
экономической	economic
экономика	economy
преимущество	edge
тупатъяны	edit
дышетон	education
эффект	effect
эффективной	effective
ужаны быгатон	efficiency
эффективный	efficient
тыршемез	effort
пуз	egg
баклажан	eggplant
астэ яратонлык	ego
тямыс	eight
дас тямыс	eighteen
тямыстон	eighty
люба	either
разработка	elaborate
пыдес	elbow
бадӟымез	elder
арлыдо	elderly
чильтро	elegant
стихия	element
слон	elephant
дас одӥг	eleven
приемлемый	eligible
палэнтыны	eliminate
мукет-а	else
кепырась	embarrassed
сумбырес	embarrassing
ӟыгырскон	embrace
уродъяськыны	emerge
экстренной	emergency
эмоциональной	emotional
сюлмаськыны	empathy
акцент	emphasis
акцент лэсьтыны	emphasize
ужасьёс	employee
ужасьёс	employees
уж сётӥсь	employer
уже кутскон	employment
тырттэм	empty
луонлык сётыны	enable
геред	encounter
уломе	encourage
пум	end
бырись	endangered
кужым	endeavor
чидан	endurance
чиданы	endure
вормыны	endure
тушмон	enemy
кужым	energy
кутскон	engage
помолвлен	engaged
вовлеченность	engagement
вырӟытӥсь	engine
инженер	engineer
Англи	English
умоятэмын	enhance
куаныны	enjoy
туж бадӟым	enormous
тырмыт	enough
ванё карыны	ensure
пырыны	enter
развлекательный	entertainment
энтузиазм	enthusiasm
тунсыкъяськись	enthusiastic
быдэс	entire
нимам	entitled
дэменлык	entity
пырон	entrance
ужбергатӥсьёсты	entrepreneur
конверт	envelope
окружение	environment
вожъяськыса	envy
эпической	epic
висёнкыль	epidemic
огкадь	equal
оборудование	equipment
со шонер	equity
огвыллем валатон	equivalent
ӵушет	eraser
Янгыш	error
бырыны	escape
тужгес ик	especially
улонверос	essay
пуштрос	essence
шӧдскымон	essential
пуктон	establish
тупатскоз	established
сословие	estate
дунъян	estimate
лыдӟем	estimated
но солы укшась	etc
ноку быронтэм	eternal
этика	ethics
лыдъяны	evaluate
дунъет	evaluation
но	even
озьы ке но	even though
ӝыт	evening
ужрад	event
конкурсэ	eventually
куке ке	ever
котькудӥз	every
ваньзы	everybody
ваньмыз	everyone
ваньмыз	everything
янгыш	evidence
лек	evil
эволюция	evolution
азинтыны	evolve
Овца	Ewe
азьвыл	ex
точной	exact
мар зэмзэ пыӵато	exactly
экзамен	exam
эскерыны	examine
пример	example
мултэс быдэстыны	exceed
усто	excellent
сяна	except
йӧспӧртэм луон	exception
кулэтэм	excess
мултэс трос	excessive
воштос	exchange
тунсыкъяськись	excited
лӧптон	excitement
басьтылӥзы	exciting
огполэс	exclusive
эксклюзивной	exclusive
кариськыны	excuse
мыным вождэ эн вай	excuse me
косэмез быдэстон	execute
быдэсмытон	execution
исполнительной	executive
упражнениос	exercise
ӵын потэм	exhaust
начар	exhausted
экспонат	exhibit
адӟытон	exhibition
луыны	exist
улон	existence
улӥсь	existing
потон	exit
паськытатыны	expand
витьыны	expect
возьмалэ	expected
быдтонъёс	expenses
дуно	expensive
опыт	experience
экспееримент	experiment
тодӥсь	expert
карем	expired
валэктыны	explain
валэктон	explanation
эксплуатировать карыны	exploit
эскерыны	explore
кунгож сьӧры поттон	export
шараян	expose
гольык	exposed
экспозиция	exposure
экспресс	express
выражениосты	expression
вӧлскыны	extend
паськытатэмын	extended
азьланьтон	extension
степеньын	extent
выл	external
бырыны	extinct
ватсам	extra
поттон	extract
экстраординарной	extraordinary
экстремальной	extreme
туж	extremely
син	eye
син	eyes
басма	fabric
выжыкыл	fabulous
ымныр	face
валамон карыны	facilitate
объектъёссэ	facilities
объект	facility
факт	fact
уг	factor
фабрика	factory
зэмослык	facts
кысыны	fade
уз пӧрмы	fail
ӝегатскон	fail
пӧрмымтэ	failed
куашкатон	failure
ляб	faint
зэмлыко	fair
окмымон	fairly
тунаськись	fairy
оскон	faith
оскымон	faithful
алда	fake
сӥзьыл	fall
усе	fall
ӦРЕКЧАСЬКОН	false
дан	fame
тодмо	familiar
семья	family
сютэм улон	famine
дано	famous
вентиляторъёс	fan
мар зэрпаллык	fancy
фантастичной	fantastic
кыдёке	far
прощальный	farewell
ферма	farm
му ужась	farmer
заук	fascinating
мода	fashion
ӝог	fast
кӧй	fat
роковой	fatal
адӟон	fate
атае	father
жадем	fatigue
неисправность	fault
яратоно	favorite
юрттон	favour
яратон	favourite
кышкан	fear
кышканы	fear
кунояськон	feast
тылы	feather
пӧртэмлык	feature
ымныр тус	features
тулыспал	february
акыльтыны	fed up
взнос	fee
сиён	feed
отзыв	feedback
шӧдӥське	feel
шӧдӥсько	feeling
пыд	feet
усе	fell
пияш	fellow
ощущаться	felt
нылкышно	female
забор	fence
удалтоно	fertile
фестиваль	festival
потӥз	fetch
лихорадка	fever
ӧжытак	few
пичигес	fewer
дусым	fiance
малпам	fiction
бусы	field
ожесточенный	fierce
дас вить	fifteen
витьтон	fifty
нюръяськон	fight
ожмаськон	fighting
фигураос	figure
радъяны	figure out
файл	file
заполнение	fill
тырмытэм	filled
пленка	film
курмем	filthy
бератаз	finally
финансъёс	finance
коньдонбур	financial
шедьтыны	find
тодыны	find out
витьлы	fine
чиньы	finger
быдтыны	finish
быдтэм	finished
тыл	fire
фирма	firm
нырысетӥ	first
нимаз	first name
чорыг кулэлыко	fish
шобыртэм	fit
вить	five
тупалоз	fix
пусъемын	fixed
кункышет	flag
кыньыръяны	flash
чеберъяськыса	flat
изъян	flaw
пыкылонтэм	flawless
марлэсь ке бызьыны	flee
быгыт	flesh
лобӟыны	flew
лэйкыт	flex
лэйкыт	flexible
лобӟон	flight
берыктыны	flip
мынчыръяськон	flirt
мынчыръяськон	flirting
пукы	float
вутудӟон	flood
этажаз	floor
пызь	flour
шур сярысь	flow
сяська	flower
грипп	flu
чылкыт	fluent
пыкылонтэм	fluent
шаплы	fluently
лӧбырес	fluffy
жидкость	fluid
лобась	fly
сосредоточивать	focus
бус	fog
бусо	foggy
шымыри	fold
матысь адямиос	folks
азьланьын	follow
чакланы	follow up
вуоноосыз	following
сиён	food
шузи	fool
визьтэм	foolish
пыд	foot
футбол	football
понна	for
Шуом	For example
кылсярысь	for instance
тӥ понна	for you
ужъёс быдэстон	forbidden
кужым	force
прогноз	forecast
кымес	forehead
кунгожсьӧр	foreign
тэль	forest
пыраклы	forever
вунэты	forget
курыны	forgive
вунэтӥ	forgot
вилка	fork
формаез	form
официальной	formal
ысь	former
шудлы	fortunately
шуд	fortune
удалтон	fortune
ньыльдон	forty
ньыльдон кык	forty-two
азьлань	forward
дышетыны	foster
нюръяськиз	fought
шедьтӥз	found
фундамент	foundation
ньыль	four
дас ньыль	fourteen
ӟичы	fox
пызырес	fragile
ортчиз	frame
инъет	framework
мошенничество	fraud
чудак	freak
дунтэк	free
эрик	freedom
кынмыны	freeze
ӵемлык	frequency
ӵем	frequent
ӵемгес	frequently
выль	fresh
удмуртарня	friday
холодильник	fridge
тусбуйын	friend
эшлыко	friendly
эшъёс	friends
эшъяськон	friendship
шушектэм	frightened
кышкатӥсь	frightening
эбек	frog
со бöрдысь кутскыса	from
фронт	front
кынтэм	frozen
емыш	fruit
разочарованный	frustrated
топливо	fuel
Фульфульд	Fulfulde
тырмоз	full
шулдыр	fun
анда	function
валтӥсь	fundamental
похороны	funeral
серемес	funny
гоно	fur
вожомем	furious
мебель	furniture
на	further
солэсь трос	furthermore
кайта	future
басьтыны	gain
шудон	game
пробел	gap
гараж	garage
жуг-жаг	garbage
бакча	garden
чеснок	garlic
капка	gate
люканы	gather
люкам	gathering
