a little	شوية
attraction	جاذبية
attractive	جذاب
attribute	ميزة
attribute	يوصف
audience	جمهور
august	أغسطس
aunt	عمة
aunt	خالة
aunty	خالتي
aunty	عمتي
authentic	أصلي
author	كاتب
authority	سلطة
autumn	خريف
available	متوفّر
average	متوسط
avoid	يتفادي
awake	فايق
award	مكافأة
award	جائزة
aware	واعي
awareness	وعي
awareness	إدراك
away	بعيد
awesome	رائع
awful	شنيع
awkward	صعب
awkward	محرج
Aymara	الأيامارا
baby	طفل
bachelor	أعزب
bachelor	بكالوريوس
back	خلف
back	ظهر
background	خلفية
bad	سيء
bag	شنطة
bait	طُعم
bake	يطيّب الخبزة
bakery	كوشة
baking soda	بيكينج صودا
balance	رصيد
balance	توازن
ball	كورة
Bambara	بامبارا
banana	موز
band	شريط
band	فرقة
bang	يسكّر بقوة
bank	مصرف
bar	شريط
bar	بار
barely	بالسيف
bargain	صفقة
bark	يقشّر
bark	نباح
bark	ينبح
bark	قشرة
barley	شعير
barrier	فاصل
barrier	حاجز
base	قاعدة
based	مبني على
basement	قاعدة
basic	أساسي
basically	أساسي
basil	حبق
bastard	نذل
batch	دفعة
bath	بانيو
bathroom	حمام
battery	بطارية
battle	حرب
bay	خليج
be	تكون
be	يكون
be careful	انتبه
be careful	رد بالك
beach	شط
beam	شعاع
beam	عارضة
beans	فول
beans	فاصولياء
bear	يتحمل
bear	يقيم
bear	دُب
beard	لحية
bearing	يتحمّل
beast	وحش
beat	يغلب
beat	يضرب
beautiful	جميل
beauty	جمال
became	بدي
became	ولّى
because	لأن
become	يولّي
bed	سرير
bedroom	دار نوم
bee	نحلة
beef	لحم بقر
been	كان
beer	بيرة
before	قبل
began	بدي
begin	يبدأ
beginning	بداية
behalf	نيابة عن
behave	يتصرف
behavior	سلوك
behaviour	سلوك
behind	وراء
being	إن يكون
belief	اعتقاد
belief	إيمان
believe	يصدّق
belly	بطن
belong	ينتمي ل
beloved	محبوب
below	تحت
belt	سبتة
bench	كرسي طويل
bend	يعوّج
beneath	تحت
benefit	فائدة
benefit	مصلحة
benefits	فوائد
beside	بجانب
besides	زيد على هذا
best	أفضل
best of luck	بالتوفيق
best regards	تحياتي
better	أفضل
between	بين
beverage	مشروب
beyond	خلف
Bhojpuri	بوجبوري
bias	تحيز
biased	متحيز
bicycle	دراجة
bid	عطاء
bid	مناقصة
big	كبير
bike	دراجة
bike	موطو
bill	فاتورة
bill	مشروع قانون
bind	ربط
bird	طير
birthday	عيد ميلاد
bit	يعض
bite	عضة
bite	لدغة
bitter	ساخر
bitter	مر
black	أسود
blade	شفرة
blade	موس
blame	يلوم
blank	فارغ
blanket	بطانية
blast	انفجار
bleach	مبيّض
blend	يخلّط
blend	خليط
bless	بركة
blessed	مبارك
blind	كفيف
bliss	النعيم
block	كتلة
block	حاجز
blood	دم
bloom	يزدهر
blow	ينفخ
blue	أزرق
blunt	متبلّد
blunt	مش حاد
board	لوحة
board	سبورة
boat	قارب
body	جسم
boil	يسلق
boil	يغلي
bold	عريض
bond	علاقة
bond	سند مالي
bone	عظم
book	كتاب
book	يحجز
boost	يحفّز
boost	يرفع
booster	داعم
boot	بوت
boots	بوتات
border	حدود
bore	تجويف
bored	ممل
boring	ممل
born	انولد
borrow	يتسلّف
borrow	يستعير
boss	رئيس
both	الزوز
bother	يضايق
bottle	شيشة
bottom	تحت
bought	شري
bounce	ضربة فجأة
bounce	يرجع
bound	مقيد
boundaries	حدود
bow	قوس
bow	ينحني
bowl	صونية
box	صندوق
boy	ولد
boyfriend	حبيب
bracelet	حديدة
brain	عقل
brain	دماغ
branch	فرع
brand	ماركة
brave	شجاع
breach	يخالف
breach	مخالفة
bread	خبزة
break	يكسّر
breakfast	فطور
breast	صدر
breath	يتنفس
breathe	يتنفس
breed	تكاثر
brick	قرميد
bride	عروسة
bridge	جسر
bridge	كوبري
brief	مختصر
bright	لامع
bright	مضيء
brilliant	عبقري
bring	يجيب
bro	خوي
broad	واسع
broadcast	بث
broke	كسر
broken	مكسور
broom	مكنسة
brother	أخ
brother in law	نسيب
brother in law	سلف
brought	جاب
brown	قهوي
brush	فرشة
bucket	سطل
buddy	صاحبي
budget	ميزانية
bug	حشرة البق
build	يبني
building	مبنى
built	بني
built	مبني
bulk	حجم كبير
bull	ثور
bully	يتنمر
bump	كدمة
bunch	عنقود
bunch	باقة
bundle	حزمة
burden	حرج
burden	حمل
burden	عبء
buried	يدفن
burn	يحرق
burst	يتفجّر
bury	دفن
bus	باص
bush	شجرة صغيرة
business	أعمال تجارية
bust	صدر المرأة
bust	يكسّر
bust	إفلاس
busy	مشغول
but	لكن
butter	زبدة
butterfly	فراشة
button	بطمة
buy	يشري
by	بواسطة
by the way	على فكرة
bye	باي
cabbage	كرنب
cabinet	مجلس وزراء
cabinet	دولاب
cage	قفص
cake	كيكة
calf	عجل
call	يتصل
call	دعوة
call	يدعو
call	اتصال
call me	اتصل بيا
called	نادى
called	اتّصل
calm	هاديء
came	جي
campaign	حملة
can	ممكن
can	يقدر
can't	ما يقدرش
Cancel	يلغي
cancer	سرطان
capable	قادر
capacity	سعة
capacity	قدرة
capital	عاصمة
capital	رأسمال
caption	عنوان صورة أو منشور
capture	يلتقط صورة
capture	يقبض على
car	سيارة
career	وظيفة
careful	حريص
carefully	بحرص
careless	مش مهتم
careless	مهمل
caring	يهتم
carpenter	نجار
carpet	سجادة
carrot	سفناري
carry	يحمل
carry on	يقيم
carry on	يستمر
carry out	ينفّذ
case	حالة
case	قضية
cash	نقدي
cast	يرمي
cast	فريق العمل
castle	قلعة
casual	مش رسمي
cat	قطوس
catch	يشد
category	فئة
cattle	المواشي
caught	شد
cause	يتسبب
cause	سبب
caution	حذر
cautious	حذر
cave	كهف
cease	يوقّف
ceiling	سقف
celebrate	يحتفل
cell	خلية
center	مركز
century	قرن
cereal	كورنفلكس
ceremony	حفلة
certain	متأكد
certainly	أكيد
certificate	شهادة
chain	سلسلة
chair	كرسي
challenge	تحدي
chance	فرصة
chance	صدفة
change	يغير
chaos	فوضى
character	شخصية
characteristics	مميزات
characteristics	سمات
charge	يشحن
charity	صدقة
charming	ساحر
chart	جدول
chart	مخطط بياني
chase	يدوّر
chase	يلحق
chat	دردشة
cheap	رخيص
cheat	يزور
cheat	يغش
cheating	غش
check	يفحص
check	يختبر
cheek	خد
cheer	تشجيع
cheer	تهليل
cheerful	مرح
cheers	نخبكم
cheers	هتافات
cheese	جبنة
chemistry	كيمياء
cherish	يهتم بحب
cherish	يتعلّق
chess	شطرنج
chest	صدر
chew	يمضغ
chicken	دجاج
chief	رئيس
child	عيّل
childhood	طفولة
children	صغار
chill	قشعريرة
chill	برد
chimneys	مدخنات
chin	لحية
chocolate	شوكولاتة
choice	اختيار
choose	يختار
chop	يقطّع
chores	واجبات منزلية
chubby	سمين
church	كنيسة
cinnamon	قرفة
circle	دائرة
circumstances	ظروف
citizen	مواطن
city	مدينة
claim	يطالب
clarify	يوضح
class	فصل
class	درجة
clay	طين
clean	نظيف
clear	واضح
clerk	موظف تسجيل
clever	ذكي
client	زبون
cliff	جرف
climate	طقس
climb	يتسلق
clingy	لزج
clock	ساعة
close	قريب
close	يسكّر
closet	دولاب
cloth	حوايج
clothes	حوايج
cloud	سحابة
cloudy	مغيّم
clown	مهرج
clue	فكرة
clue	دليل
clumsy	مرتبك
cluster	تجمّع
cluster	عنقود
coach	مدرب
coal	فحم
coast	ساحل
coat	طبقة
coat	كبوط
coffee	قهوة
cognitive	ذهني
coincidence	مصادفة
coincidence	توافق
cold	مصقّع
collapse	ينهار
collar	رقبة الحوايج
collar	طوق
colleague	زميل
colleagues	زملاء
collect	يجمع
collection	مجموعة
college	كلية
color	لون
colorless green ideas slept furiously	الأفكار الخضراء اللي بلا لون ترقد متكنطية
colour	لون
column	خانة
column	عمود
comb	مشط
combination	مزيج
combination	مركب
combine	يجمع
come	تعالى
come here	تعال هنا
come on	تعالى
come on	هيا
comfort	مريح
comfortable	مريح
coming	جاي
coming soon	قريبًا
command	أمر
comment	تعليق
commercial	تجاري
commission	لجنة
commit	يغلط
commitment	التزام
committed	ملتزم
commodity	سلعة
common	شائع
common	مشترك
communicate	يتصل
communicate	يتواصل
communication	اتصال
community	مجتمع
commute	يخفف العقوبة
commute	يسافر كل يوم لعمله
companion	مرافق
companion	صاحب
company	شركة
compare	يقارن
comparison	مقارنة
compassion	عطف
compassionate	حنيّن
compatible	متطابق
compete	ينافس
competent	مختص
competition	منافسة
competitive	تنافسي
competitive	منافس
complain	يشكي
complaint	شكوى
complement	تكملة
complete	يكمل
completely	كليًا
complex	معقد
compliance	مطاوعة
complicated	معقد
compliment	شكر
compliment	مجاملة
comply	يطيع
composition	تركيب
composition	إنشاء
compound	مركب
comprehension	فهم
comprehensive	شامل
compromise	يساوم
compromise	مساومة
compulsory	إجباري
computer	كومبيوتر
concentrate	يركّز
concept	مفهوم
concern	يهتم
concern	اهتمام
concerned	المعني
concerned	قلِق
concert	حفلة موسيقية
conclusion	خلاصة
conclusion	نتيجة
concrete	مادي
concrete	شمنت
condition	حالة
condition	شرط
conditions	شروط
conduct	سيرة
conduct	سلوك
conference	مؤتمر
confess	يعترف
confidence	ثقة
confident	واثق
confirm	يؤكد
conflict	عركة
confused	حاير
confusion	ارتباك
congrats	مبارك
congratulation	التهنئة
congratulations	مبروك
conjunction	اقتران
connect	يربط
connect	يوصّل
conquer	يسطو
conquer	يهزم
conscious	واعي
consciousness	الوعي
consent	موافقة
consent	قبول
consequences	عواقب
consequences	نتائج
conservation	محادثة
conservative	محافظ
consider	يعتبر
considered	يعتبر
consist	يحتوى على
consist	يتكون من
consistency	ثبات
consistency	تناسق
consistent	متناسق
consistent	ثابت
constant	ثابت
constantly	باستمرار
constipation	إمساك
construction	بناء
construction	تركيبة
consume	يستهلك
consumption	استهلاك
contact	يتصل
contact	اتصال
contagious	معدي
contain	فيه
contain	يحتوي
contains	يشمل
contains	يحتوي
contemporary	معاصر
contempt	احتقار
content	محتوى
contest	منافسة
context	سياق
continent	قارّة
continue	يستمر
continue	يواصل
contract	عقد
contract	يتعاقد
contrast	مقارنة بـ
contrast	اختلاف
contribute	يشارك
contribute	يساهم
contribution	مساهمة
contribution	مشاركة
control	سيطرة
control	تحكم
controversial	جدلي
convenience	مناسب
convenience	وقت مناسب
convenient	مريح
convenient	مناسب
conversation	محادثة
convert	يتحوّل
convert	تحول
convey	يوصّل
convince	يقنّع
convinced	اقتنع
cook	التطييب
cook	يطيّب
cooking	تطييب
cool	مصقّع
cool	حلو
cool	بارد
cooperation	تعاون
cope	يتغلّب
copper	نحاس
core	جوهر
core	لب
corn	ذرة
corn	سبول
corner	زاوية
correct	صحيح
cost	تكلفة
costume	زي
cottage	كوخ
cotton	قطن
couch	كنبة
cough	كحة
could	كان يقدر
could	ممكن
council	مجلس
count	يعد
counter	بار المطبخ
counter	شباك موظف المصرف
country	بلاد
countryside	الريف
couple	زوجين
courage	شجاعة
course	دورة
court	محكمة
courtesy	مجاملة
cousin	ولد عم
cover	غطاء
cow	بقرة
coward	جبان
cozy	مريح
crab	باغلي
crack	شق
crack	كسر
craft	حرفة
craft	طيارة
crap	كلام فاضي
crash	يتكسر
crash	يتهشم
craving	شهية
craving	رغبة
crawl	يزحف
crazy	مجنون
create	يخلق
create	ينشئ
creative	مبدع
credit	دائن
credit	رصيد
creep	زحف
creepy	مخيف
crew	طاقم
crime	جريمة
cringe	ينكمش
cringe	يتقلص
crisis	كارثة
criteria	معيار
critical	نقدي
critical	محرج
criticism	نقد
crop	غلّة
crop	يقص الشعر
crop	محصول
crops	غلّة
crops	محصول
cross	يمر
cross	تقاطع
crow	الغراب
crowd	زحمة
crowded	زحمة
crown	تاج
crucial	حاسم
cruel	قاسي
cruel	فظ
cruise	رحلة بحرية
crush	يحطّم
crush	معجب
cry	يبكي
cucumber	خيار
cuddle	يحضن
culture	ثقافة
cunning	داهية
cup	طاسة
cupboard	دولاب
curb	رصيف
cure	دواء
cure	يداوي
curfew	حظر تجول
curiosity	فضول
curious	فضولي
curly	ملوي
currency	عملة
current	حالي
current	تيار
currently	حاليا
curse	بلاء
curse	لعنة
curtain	ستار
cushion	وسادة
custom	عادة
custom	جمارك
customer	زبون
customs	جمارك
customs	تقاليد
cut	يقطع
cute	لطيف
cycle	دورة
cycle	دراجة
cycling	يركب الدراجة
dad	بابا
daddy	بابا
daily	يوميا
dairy	ألبان
dam	سد
damage	تلف
damage	ضرر
damage	يتلف
damn	اللعنة
damp	رطوبة
damp	مبلول
dance	رقص
danger	خطر
dangerous	خطير
dark	ظلام
dark	داكن
darling	عزيزي
dash	انطلاق
data	بيانات
date	تاريخ
date	موعد غرامي
daughter	ابنة
day	يوم
dead	ميت
deadline	موعد تسليم
deaf	أطرش
deal	يتعامل
dear	عزيزي
Dear All	أعزائي جميعا
Dear Customer	عزيزى الزبون
Dear Parents	أعزائي الآباء
Dear Sir	سيدي العزيز
Dear students	أعزائي الطلبة
Dear Team	أعزائي أعضاء الفريق
death	موت
debate	مناظرة
debate	نقاش
debit	دين
debris	حطام
debt	دين
decade	عقد
decade	عشرة سنين
decay	متعفّن
decay	فاسد
deceased	متوفى
deceive	يخدع
december	ديسمبر
decent	مقبول
decent	محتشم
decide	يقرّر
decided	قرّر
decision	قرار
deck	يزيّن
deck	سطح قارب
decline	يرفض
decrease	ينقّص
dedicated	إهداء
dedicated	مخلص
dedication	إهداء
dedication	التزام
deed	شيك
deed	سند
deed	فعل
deed	عمل
deep	عميق
deep	داكن
deer	غزال
default	تقصير
default	افتراضي
defeat	فشل
defeat	يفشل
defeat	هزيمة
defeat	يهزم
defend	يدافع
define	يحدد
define	يعرّف
definitely	بالتأكيد
definition	تعريف
degree	درجة
delay	تأجيل
delay	تأخير
delayed	متأجل
delayed	متأخّر
delete	يمسح
delete	يحذف
deliberate	متعمد
delicate	ناعم
delicate	حساس
delicious	لذيذ
delight	فرح
delighted	فرحان
deliver	يوصل
deliver	يسلم
delivered	يوصل
delivered	يسلم
delivery	توصيل
delivery	ولادة
delivery	تسليم
demand	حاجة ملحة
demand	يطلب
demanding	يطلب
demanding	متطلب
democracy	ديمقراطية
demon	شيطان
demonstrate	يشرح
demonstrate	يوضح
denied	مرفوض
denied	نكر
density	كثافة
dentist	دكتور أسنان
deny	ينكر
department	إدارة
department	قسم
department	دائرة
departure	مغادرة
depend	يعتمد على
deploy	ينشر الجنود
deposit	يودع
deposit	إيداع
depressed	محبط
depression	اكتئاب
depth	عمق
describe	يوصف
description	وصف
desert	صحراء
deserve	يستاهل
design	يصمم
design	تصميم
designation	تعيين
designation	تسمية
desire	يرغب
desire	رغبة
desk	مقعد
desk	مكتب
despair	يأس
desperate	فاقد الأمل
despite	رغم أن
dessert	حلويات
destination	وجهة
destiny	قدر
destiny	مصير
destroy	يدمّر
destruction	دمار
detail	تفصيل
detail	بيان
details	تفاصيل
detect	يتتبع
determination	تحديد
determination	عزيمة
determine	يقرّر
determine	يحدّد
determined	يقرّر
determined	يحدّد
devastated	دمر
develop	يطوّر
developed	متطور
development	تطوير
device	جهاز
devil	شيطان
devoted	مخلص
devoted	يخصّص لـ
Dhivehi	الديفيهي
diabetes	مرض السكر
diarrhea	إسهال
diary	مذكرة
dictionary	قاموس
did	دار
die	يموت
died	مات
diet	ريجيم
difference	اختلاف
different	مختلف
difficult	صعب
dig	يحفر
dignity	كرامة
diligent	مجتهد
dinner	عشاء
dip	يغمر
direct	مباشر
direction	اتجاه
director	مدير
dirt	وسخ
dirty	امسخ
disable	يسبب إعاقة
disable	يسبب عجز
disabled	عاجز
disabled	معاق
disappear	يختفي
disappointed	محبط
disaster	كارثة
discard	يرمي
discard	يتجاهل
discharge	فصل
discharge	خروج
discipline	انضباط
discipline	مجال
discount	تخفيض
discount	يخصم
discover	يكتشف
discrimination	تمييز عنصري
discuss	يناقش
discussion	نقاش
disease	مرض
diseases	أمراض
disguise	تنكر
disguise	تمويه
disgusting	مقرف
dish	صونية
dishes	صواني
dismiss	رفض
dismiss	طرد
dispatch	إيفاد
dispatch	إرسال
display	يعرض
disposal	تصرّف
disposal	تخلّص
dispute	خلاف
distance	مسافة
distinct	متميز
distinguish	يميز
distress	محنة
distribution	توزيع
district	منطقة
disturb	يزعج
ditch	خندق
ditch	قناة ضيقة
ditch	مجاري
dive	يغطس
diverse	تنوع
diversity	تنوع
divide	يقسم
divine	سماوي
divine	إلهي
divorce	طلاق
divorce	يطلّق
dizzy	دايخ
do	يدير
do you	أنت هكي درت؟
do you love me	أنت تحبني؟
doctor	دكتور
document	مستند
does	يدير
doesn't	ما يديرش
dog	كلب
Dogri	دوجري
doing	يدير
doll	لعبة بنبلة
domain	نطاق
domain	مجال
domestic	محلي
dominant	مسيطر
don't	لا
Don't worry	ما تدوّرش
donate	يتبرع
done	منجز
donkey	حمار
dope	منشط
dope	مخدر
double	مضاعف
double	يزدوج
double	مزدوج
double	يضاعف
doubt	يشك
doubt	شك
dough	عجينة
dough	فلوس
down	تحت
download	ينزل
draft	مسودة
drag	يسحب
drag	يجر
drain	بالوعة
drama	دراما
drama	تمثيل
draw	يرسم
drawer	قجر
drawer	درج
drawing	الرسم
dread	مخيف
dream	يحلم
dream	حلم
dress	قفطان
drill	يحفر
drink	يشرب
drink	مشروب
drive	يسوق
drop	يطيح
drop	قطرة
drop	يقطّر
dropped	طاح
drought	جفاف
drunk	سكران
drunk	سكر
dry	جاف
duck	بطة
dude	صاحبي
due	مستحق
due to	بسبب
due to	بفضل
dull	ممل
dumb	بكوش
dumb	أطرش
dumb	غبي
dump	غبي
duration	مدة
during	أثناء
dust	غبرة
duty	واجب
duty	مهمة
dwell	يسكن
dying	الموت
dying	على فراش الموت
each	كل
each other	مع بعض
eager	حريص
eagle	صقر
ear	وذن
earlier	بكري
early	بكري
earn	يكسب
ears	وذان
earth	أرض
earthquake	زلزال
ease	يسهّل
easily	بسهولة
east	شرق
easy	سهل
eat	يأكل
eating	يأكل
economic	اقتصادي
economy	اقتصاد
edge	حافة
edit	يعدّل
edit	تعديل
education	تعليم
effect	أثر
effective	مؤثر
efficiency	كفاية
efficient	كافي
efficient	فعال
effort	جهد
egg	دحي
eggplant	باذنجال
ego	الأنانية
eight	ثمانية
eighteen	ثمنطاش
eighty	ثمانين
either	يا أما
elaborate	يشرح
elaborate	يطور
elbow	مرفق
elder	أكبر في السن
elderly	كبير في السن
elegant	أنيق
element	عنصر
elephant	فيل
eleven	حداش
eligible	مؤهل
eliminate	ينهي
else	ثاني
else	آخر
embarrassed	محرج
embarrassing	محرج
embrace	يحضن
emerge	يطلع
emerge	يبان
emergency	طواري
emergency	حالة طارئة
emotional	عاطفي
empathy	تعاطف
emphasis	تأكيد
emphasis	تركيز
emphasize	يشدد على
emphasize	يؤكد
employee	موظف
employees	موظفين
employer	صاحب عمل
employment	توظيف
empty	فاضي
enable	يمكّن
encounter	يواجه
encourage	يشجع
end	نهاية
endangered	مهدد
endangered	معرض للخطر
endeavor	يسعى
endeavor	محاولة
endurance	تحمل
endure	يتحمل
enemy	عدو
energy	طاقة
engage	يخطب
engage	ينشغل ب
engaged	يخطب
engaged	ينخرط في
engagement	خطوبة
engine	محرّك
engineer	مهندس
English	الإنجليزية
enhance	يقوّي
enjoy	يستمتع
enormous	ضخم
enough	يكفي
ensure	يضمن
ensure	يؤكد
enter	يدخّل
enter	يخش
entertainment	ترفيه
enthusiasm	حماس
enthusiasm	تعصب
enthusiastic	متحمس
entire	كامل
entire	كله
entitled	مستحق
entity	كيان
entity	جهة
entrance	مدخل
entrepreneur	مقاول
envelope	ظرف
environment	بيئة
envy	يحسد
epic	ملحمي
epic	بطولي
epidemic	وباء
equal	يساوي
equipment	معدات
equity	عدل
equivalent	ما يعادل
eraser	محّاية
error	خطأ
escape	يهرب
especially	خصوصًا
essay	مقال
essence	جوهر
essence	أساس
essential	أساسي
establish	يؤسس
established	يؤسس
estate	ملكية
estimate	يقدّر
estimated	مقدر
etc	إلخ
eternal	داخلي
ethics	أخلاقيات
evaluate	يقيّم
evaluation	تقييم
even	حتى
even though	رغم أن
evening	عشية
event	حالة
event	حدث
eventually	مؤخرا
ever	أبدا
every	كل
everybody	كل الناس
everyone	كل الناس
everything	كل شيء
evidence	دليل
evil	شر
evil	شيطان
evolution	تطور
evolve	يطور
Ewe	إيوي
ex	مثال
ex	حبيب قديم
exact	بالضبط
exact	دقيق
exactly	بالضبط
exam	امتحان
examine	يمتحن
example	مثال
example	نموذج
exceed	يزيد على
excellent	ممتاز
except	ما عدا
exception	استثناء
excess	فائض
excessive	مبالغ فيه
exchange	تبادل
excited	متحمس
excitement	لهفة
excitement	حماس
exciting	حماسي
exclusive	حصري
excuse	يتعذر
excuse	عذر
excuse me	اعذرني
excuse me	عفوًا
execute	ينفذ
execution	تنفيذ
executive	تنفيذي
exercise	يتمرن
exercise	تمرين
exhaust	استنزاف
exhausted	مرهق
exhibit	يعرض
exhibition	معرض
exist	فيه
exist	موجود
existence	وجود
existing	موجود
exit	خروج
expand	يمدد
expand	يوسع
expect	يتوقع
expected	متوقّع
expenses	تكاليف
expensive	غالي
experience	يجرب
experience	خبرة
experience	يختبر
experiment	تجربة
expert	خبير
expert	مختص
expired	منتهي الصلاحية
explain	يشرح
explanation	شرح
explanation	توضيح
exploit	يستثمر
exploit	يستغل
explore	يستكشف
explore	يبحث
export	يستورد
expose	يعرض
exposed	معرض ل
exposure	تعرض
express	يعبّر
expression	تعبير
extend	يمتد
extended	تمدّد
extension	تمديد
extension	وصلات شعر
extent	امتداد
extent	حد
external	خارجي
extinct	منقرض
extra	زيادة
extract	يستخرج
extraordinary	استثنائي
extreme	متطرف
extreme	مبالغ فيه
extremely	لدرجة كبيرة
eye	عين
eyes	عيون
fabric	نسيج
fabulous	خرافي
fabulous	خلاب
face	وجه
face	يواجه
facilitate	يسهل
facilities	مرافق
facility	منشأة
facility	تسهيل
fact	حقيقة
factor	عنصر
factor	عامل
factory	مصنع
facts	حقائق
fade	يختفي
fade	يتلاشى
fail	يفشل
fail	يسقط
failed	سقط
failed	فشل
failure	فشل
faint	خفيف
faint	يدوخ
fair	عادل
fair	معرض
fairly	بالعدل
fairly	تماما
