i	a
shwa	before
lah sdang	began
sdang	begin
jingsdang	beginning
ha ha jaka jong	behalf
leh	behave
jingleh	behavior
jinglehshilaing	behaviour
shadien	behind
jinglong	being
jingngeit	belief
ngeit	believe
kpoh	belly
baieid	beloved
ha trai	below
panpoh	belt
ka ben	bench
pynkhun	bend
ha trai	beneath
pynmyntoi	benefit
jingmyntoi	benefit
ki jingmyntoi	benefits
ha syndah	beside
bha tam	best
donbok	best of luck
kham bha	better
hapdeng	between
ka jingdih	beverage
palat	beyond
jingleh shiliang	bias
leh shiliang	biased
am dor	bid
ba heh	big
ka bill	bill
khum	bind
ka sim	bird
sngkha	birthday
khyndiat	bit
jingdait	bite
dait	bite
jingkthang	bitter
ba iong	black
jingkynnoh	blame
kynnoh	blame
thylli	blank
ka nep	blanket
pynbthei	blast
khleh	blend
kyrkhu	bless
ba la kyrkhu	blessed
matlah	blind
jingsngewhun	bliss
khang lad	block
ka snam	blood
phuh	bloom
pyrsad	blow
rong suin bneng	blue
luin	blunt
lieng	boat
ka met	body
pynthnam	boil
jingiateh	bond
shyieng	bone
ka kot pule	book
phah buh lypa	book
but	boot
ki but	boots
u pud	border
ba la kha	born
pan kylliang	borrow
baroh-ar	both
pynshitom	bother
bitor	bottle
ha trai	bottom
la theid	bought
kynthih	bounce
ba la the	bound
ki pud	boundaries
nguh	bow
synduk	box
khynnah shynrang	boy
u paralok shynrang	boyfriend
jingdeng kti	bracelet
jabieng	brain
tnat	branch
shon shap	brand
shlur	brave
ruti	bread
pynkhein	break
ka jingbam step	breakfast
shadem	breast
jingring mynsien	breath
ring mynsiem	breathe
maw it	brick
ka nongleit kurim	bride
jingkieng	bridge
balyngkot	brief
shai	bright
bastad	brilliant
wanrah	bring
baiar	broad
ba lah khein	broke
ba lah khein	broken
synsar	broom
kynum	brother in law
la wanrah	brought
rong ktieh	brown
brut	brush
borti	bucket
paralok	buddy
jingmang tyngka	budget
khniang	bug
tei	build
jingtei	building
ba la tei	built
kham bun	bulk
masi dap	bull
leh heh	bully
tyngkhuh	bump
khum	bunch
song	bundle
jingkit	burden
pynkit	burden
ba la tep	buried
thang	burn
bthei	burst
tep	bury
bos	bus
lawbniap	bush
ka khaii	business
bun kam	busy
tangba	but
makhon	butter
thapbalieh	butterfly
budam	button
theid	buy
da	by
kubi	cabbage
duli	cabinet
ruh	cage
cake	cake
masi khun	calf
jingkhot	call
khot	call
khot ia nga	call me
la khot	called
jai jai	calm
la wan	came
lah	can
jinglah	can
Pyndam	Cancel
jingpang bampong	cancer
ba lah	capable
nongbah	capital
kem	capture
kali	car
phikir	careful
da ka jingphikir	carefully
bym phikir	careless
ba sngewlem	caring
mistri	carpenter
dari	carpet
kajor	carrot
rah	carry
iaid shaphrang	carry on
leh	carry out
pisa nokot	cash
miaw	cat
kem	catch
jingri jingdup	cattle
shah kem	caught
ka daw	cause
pynjialong	cause
jingmaham	caution
ba husiar	cautious
krem	cave
sangeh	cease
sad	ceiling
khawai	celebrate
pdeng	center
spah snem	century
jingrakhe	ceremony
thikna	certain
syrnod	certificate
kynjri	chain
shuki	chair
jingtynjuh	challenge
tynjuh	challenge
lad	chance
bujli	change
jinglong	character
ki jinglong	characteristics
jingasbun	charity
beh	chase
jingiakrenkai	chat
krenkai	chat
tat dor	cheap
leh tuh	cheat
leh tuh	cheating
ngap	cheek
risa	cheer
kmen	cheerful
shadem	chest
ktha	chew
syiar	chicken
khlieh	chief
khynnah	child
jinglong khynnah	childhood
ki khun	children
pynpjah	chill
jingpjah	chill
bapjah	chill
ki atoskhana	chimneys
tmoh	chin
u shoklet	chocolate
jingjied	choice
jied	choose
pom	chop
basngaid	chubby
iingmane	church
ka pyllun	circle
jinglong jingman	circumstances
traishnong	citizen
nongbah	city
jingkam	claim
kam	claim
pynshai	clarify
dew byrtha	clay
khuid	clean
bashai	clear
pynkhuid	clear
babu	clerk
stad	clever
riat	cliff
jinglong ka suin bneng	climate
kiew	climb
baje	clock
khang	close
duli	closet
jain	cloth
ki jain phong	clothes
lyoh	cloud
dum lyoh	cloudy
thurmur	clumsy
hikai	coach
nonghikai	coach
dww iong	coal
rud duriaw	coast
kofi	coffee
jiaryngkhat	coincidence
khriat	cold
khyllem	collapse
ba iatrei lang	colleague
baiatrei lang	colleagues
lum	collect
jinglum	collection
kolej	college
rong	color
rong	colour
snad	comb
bteng lang	combine
ale	come
ale hangne	come here
ale	come on
jingsuk	comfort
suk	comfortable
jingwan	coming
ban wan shen shen	coming soon
hukum	command
aiti	commit
jingkular	commitment
ba la aiti	committed
mar	commodity
paralok	companion
ianujor	compare
jingianujor	comparison
jingisnei	compassion
ba sngewlem	compassionate
baihap	compatible
bapura	compete
batbit	competent
ujor	complain
jingujor	complaint
pyndep	complete
pura	completely
bakyllain	complex
iaroh	compliment
phyllaw	compound
jingsngewthuh	comprehension
komputar	computer
shaphang	concern
khuslai jingmut	concern
ka jingpynkut	conclusion
dew bilat	concrete
pynskhem	concrete
baskhem	concrete
kyndon	condition
ki kyndon	conditions
jingialang	conference
phla	confess
jingshlur	confidence
sngew shlur	confident
pynskhem	confirm
kulmar jingmut	confused
jingkulmar	confusion
donbok	congrats
donbok	congratulation
donbok	congratulations
bteng	connect
ioh jop	conquer
tip briew	conscious
jingtipbriew	consciousness
mynjur	consent
jingmynjur	consent
ki jingjia babud	consequences
jingpynneh	conservation
pyrkhat	consider
kynthup	consist
ba iaineh	constant
set kpoh	constipation
jingtei	construction
bam	consume
jingbam bathiang	consumption
ba iabit	contagious
kynthup	contains
ba ha kajuh ka yrta	contemporary
jingibein	contempt
hun	content
jingiakob	contest
dew bah	continent
bteng	continue
jingiakut	contract
jingpyniapher	contrast
pyniapher	contrast
ai lem	contribute
jingai	contribution
buh kabu	control
jingsuk	convenience
jingiakren	conversation
nongshet	cook
shet	cook
jingshet	cooking
bapjah	cool
jingiatrei lang	cooperation
tama	copper
rewhadem	corn
kyndong	corner
badei	correct
ka dor	cost
jingriam	costume
iing	cottage
rui	cotton
shuki jrong	couch
jyrhoh	cough
lah ban	could
dorbar	council
niew	count
ri	country
shijur	couple
jingshlur	courage
tap	cover
masi	cow
khawpyut	coward
tham	crab
jingorpait	crack
pynpait	crack
eit	crap
jingthrang	craving
par	crawl
pynjialong	create
par sor sor	creep
kam beain	crime
jingeh	crisis
ki jingthung	crops
tyngap	crow
paid	crowd
bun briew	crowded
pansngiat	crown
nion	crush
jingnion	crush
iam	cry
soh khia	cucumber
iakdup	cuddle
kolshor	culture
buit tuh	cunning
pela	cup
almari	cupboard
khang	curb
pynjem	cure
jingpynjem	cure
pakhang shnong	curfew
jingkwah tip	curiosity
jingkwah tip	curious
bakdor	curly
pisa	currency
bamynta	current
bamynta	currently
jingtim	curse
pyrda	curtain
kushion	cushion
dustur	custom
nongtheid	customer
ki durtur	customs
jingot	cut
ot	cut
pa	dad
pa	daddy
man ka sngi	daily
jaka ri masi	dairy
den	dam
pynjulor	damage
jingjulor	damage
sngem	damp
shad	dance
jingma	danger
ba ma	dangerous
dum	dark
baieid	darling
data	data
ka tarik	date
ka jingiakynduh	date
khun kynthei	daughter
Sngi Balang	day
lah iap	dead
kyllut	deaf
bate	deal
jingiakut	deal
Khublei Baroh	Dear All
Ko Nongtheid	Dear Customer
Bah Badonburom	Dear Sir
jingiap	death
iatai nia	debate
khate	debit
ram	debt
phew snem	decade
pyut	decay
ba la khlad	deceased
shukor	deceive
nohprah	december
rai	decide
la rai	decided
ka rai	decision
jinghiar	decline
hiar	decrease
jingminot	dedication
ka jingleh	deed
bajylliew	deep
skei	deer
jingpynrem	defeat
pynrem	defeat
iada	defend
da kaba thihka	definitely
jingpynslem	delay
pynslem	delay
ba lah slem	delayed
pyndam	delete
ba leh khnang	deliberate
ba jem doh	delicate
ba bang	delicious
jingkmen	delight
ka jingkmen	delighted
ai	deliver
la pynpoi	delivered
dawa	demand
jingdawa	demand
da dawa	demanding
synshar paidbah	democracy
ksuid	demon
la len	denied
doktor bniat	dentist
len	deny
ka tnat	department
jingleit	departure
shaniah	depend
phah	deploy
jingthep	deposit
thep	deposit
jingsngewsih khtang	depression
jingjylliew	depth
batai	describe
jingbatai	description
rikhlaw	desert
don hok	deserve
kyrdan	designation
jingkwah	desire
kwah	desire
meij	desk
duh jingkyrmen	despair
jingbam bathiang	dessert
ka thong	destination
nusip	destiny
pynjulor	destroy
jingjulor	destruction
shem	detect
jingmut jingmut	determination
julor	devastated
ba lah shai	developed
jingkiew shaphrang	development
ka tiar	device
soitan	devil
jingpang shini	diabetes
pynhiar kpoh	diarrhea
la leh	did
iap	die
lah iap	died
ki jingbam	diet
jingiapher	difference
pher	different
ba eh	difficult
tih	dig
burom	dignity
ba minot	diligent
ja meit	dinner
wieh	dip
beit beit	direct
jingkdew lynti	direction
nongpyniaid	director
jaboh	dirt
ba jaboh	dirty
anna	disabled
jah noh	disappear
kyntait	discard
pynmih	discharge
pynduna dor	discount
shem	discover
jinglehshiliang	discrimination
iakren	discuss
jingiakren	discussion
jingpang	disease
ki jingpang	diseases
pynriam	disguise
khiew	dish
ki khiew	dishes
phah noh	dismiss
phah	dispatch
jingpyni	display
jingiania	dispute
jingjngai	distance
jingpisa	distress
jingsam	distribution
district	district
pynwit	disturb
kharai	ditch
suh khlieh	dive
bapher	diverse
jingiapher	diversity
sam	divide
pyniakhlad	divorce
jingiakhlad	divorce
king baiong	dizzy
leh	do
phi ju	do you
phi ieid ia nga	do you love me
doktor	doctor
kot	document
leh	does
ksew	dog
jingleh	doing
khunmynriew	doll
ha iing	domestic
ba hakhmat	dominant
wat	don't
Wat khuslai	Don't worry
aisbun	donate
lah dep	done
kada	donkey
arshah	double
pynlong arshah	double
artatien	doubt
jingartatien	doubt
sharum	down
download	download
ring	drag
nur	drain
drama	drama
dro	draw
jingdro	drawing
sngewma	dread
jingphohsniew	dream
phohsniew	dream
sopti	dress
pynpeit thliew	drill
dih	drink
jingdih	drink
niah	drive
jingpynhap	drop
pynhap	drop
pynhap	dropped
nem sniew	drought
buaid	drunk
rykhiang	dry
ka han	duck
na ka daw jong	due to
bym lait kren	dumb
lyngba	during
pui pui	dust
sah	dwell
ba lah jan iap	dying
iwei iwei	each
iwei ia iwei	each other
u khlieng	eagle
shkor	ear
mynshwa	earlier
dang kloi	early
kamai	earn
ki shkor	ears
pyrthei	earth
jumai	earthquake
jingsuk	ease
da kaba suk	easily
Mihngi	east
basuk	easy
bam	eat
ba bam	eating
thmeid	edge
jingnang jingstad	education
ba treikam	effective
jingpyrshang	effort
pylleng	egg
soh baingon	eggplant
ka hangamei	ego
phra	eight
khatphra	eighteen
phraphew	eighty
lane	either
batai bniah	elaborate
tymbuit	elbow
ba kham heh	elder
tymmen	elderly
hati	elephant
khatwei	eleven
don hok	eligible
pyndam	eliminate
lymda	else
lehrain	embarrassed
jinglehrain	embarrassing
kdup	embrace
mih	emerge
jingdonkam bakyrkieh	emergency
jingsngewlem	empathy
ka jingbanjur	emphasis
ban jur	emphasize
nongtrei	employee
nongtrei	employees
nongai kam	employer
kam	employment
thylli	empty
pynlah	enable
jingiakynduh	encounter
pynshlur	encourage
ka bakut	end
ba don ha ka jingma	endangered
jingpyrshang	endeavor
bor ban iaineh	endurance
iaishah	endure
nongshun	enemy
bor	energy
jingiatehktien	engagement
engine	engine
engineer	engineer
Phareng	English
pynkiew	enhance
sngewtynnat	enjoy
lah biang	enough
pynthikna	ensure
rung	enter
jingmyllen	entertainment
jingshitrhem	enthusiasm
shitrhem	enthusiastic
baroh kawei	entire
ba don hok	entitled
u jinglong	entity
jaka rung	entrance
nongsengkam	entrepreneur
jingsop	envelope
mariang	environment
jingbishni	envy
khlam	epidemic
mar katjuh	equal
jinglong markatjuh	equivalent
jingbakla	error
ioh phet	escape
khamtam	especially
ka essay	essay
jor	essence
badonkam	essential
antad	estimate
la antad	estimated
ter ter	etc
ba neh junom	eternal
thew	evaluate
jingtynjuh	evaluation
wat	even
wat la	even though
janmeit	evening
jingjia	event
ha kaba khatduh	eventually
man	every
baroh	everybody
baroh	everyone
baroh	everything
sabut	evidence
jingsniew	evil
thik	exact
thik	exactly
ka eksam	exam
eksamin	examine
nuksa	example
tam	exceed
biang palat	excellent
lait noh	except
jingpalat	excess
ba palat	excessive
jingbujli	exchange
shongshit	excited
jingshongshit	excitement
ba sngew shongshit	exciting
kyrpang	exclusive
daw	excuse
pyndep	execute
jingkilan met	exercise
kilan met	exercise
pyni	exhibit
jingpyni	exhibition
long	exist
jinglong	existence
ba don	existing
lynti mih	exit
pyniar	expand
khmih lynti	expect
ki jinglut	expenses
remdor	expensive
shemphang	experience
jingshemphang	experience
jingpyrshang	experiment
batbit	expert
ba lah kut	expired
batai	explain
jingbatai	explanation
shim kabu	exploit
wad bniah	explore
shalan	export
pynpaw	expose
pynjlan	extend
ba la pynjlan	extended
ka jingpud	extension
u pud	extent
ba shabar	external
bym don shuh	extinct
kham tam	extra
sei	extract
baphylla	extraordinary
ba palat	extreme
ka khmat peit	eye
ki khmat	eyes
jain	fabric
dur khmat	face
peit mar khmat	face
ka jingshisha	fact
karkhana	factory
ki jingshisha	facts
sdang dum	fade
bym longkam	failed
iepler	faint
bym leh shiliang	fair
balieh	fair
puri	fairy
jingngeit	faith
ba iaineh	faithful
ba shu thok	fake
ur	fall
hap	fall
BYM SHISHA	false
nam	fame
baithuh	familiar
long iing	family
nem sniew	famine
pawnam	famous
pankha	fan
jngai	far
jaka ri jingri	farm
nongrep	farmer
stet	fast
sngait	fat
ka nusip	fate
u kpa	father
jingthait	fatigue
jingbakla	fault
ba ieid tam	favorite
baieid tam	favourite
jingsheptieng	fear
sheptieng	fear
jingkhawai bah	feast
sner	feather
rymphang	february
lah ngiah	fed up
ka dor	fee
pynbam	feed
sngew	feel
jingsngew	feeling
ki kjat	feet
la hap	fell
sngew	felt
kynthei	female
tynrah kper	fence
ba sboh	fertile
tamasa	festival
leit shim	fetch
jingshitmet	fever
khyndiat	few
kham duna	fewer
khana tang	fiction
madan	field
bashyrkhei	fierce
khatsan	fifteen
sanphew	fifty
iashoh	fight
jingiashoh	fight
jingiashoh	fighting
pyndap	fill
ba la dap	filled
phlim	film
jaboh	filthy
ha kaba khatduh	finally
shem	find
shem	find out
biang	fine
dain kuna	fine
shynpriah kti	finger
pyndep	finish
lah dep	finished
ka ding	fire
nyngkong	first
kyrteng	first name
dohkha	fish
ngiam	fit
san	five
bym khih	fixed
lama	flag
thaba	flash
ba madan	flat
jingduna	flaw
khlem bakla	flawless
phet krad	flee
ka doh	flesh
la her	flew
bajem	flexible
jingher	flight
kylla	flip
leh samla	flirt
jingleh samla	flirting
per	float
jingshlei um	flood
madan	floor
moida	flour
tuid	flow
jingtuid	flow
syntiew	flower
shitmet	flu
pnah ktien	fluent
shaid shaid	fluently
phop phop	fluffy
ba long um	fluid
her	fly
lyoh khyndew	fog
ba dum lyoh	foggy
khylliap	fold
bud	follow
bud dien	follow up
babud	following
ka bam	food
beij	fool
pynbeij	fool
beij	foolish
kjat	foot
phutbol	football
na ka bynta	for
Kum ka nuksa	For example
na ka bynta jong phi	for you
ba la adong	forbidden
pynbor	force
iathuh lypa	forecast
shyllang mat	forehead
na shabar ri	foreign
khlaw	forest
junom	forever
klet	forget
map	forgive
lah klet	forgot
proh	fork
jingwandur	form
pynwandur	form
bamynshwa	former
donbok	fortunately
nusip	fortune
sawphew	forty
sawphew ar	forty-two
shaphrang	forward
iakhun	fought
la shem	found
nongrim	foundation
saw	four
khatsaw	fourteen
myrsiang	fox
ba shroin	fragile
jingshukor	fraud
ba khyllah	freak
laitluid	free
jinglaitluid	freedom
pjah slam	freeze
bun sien	frequent
borabor	frequently
sngi thohdieng	friday
ka fridge	fridge
paralok	friend
ba pariah	friendly
ki paralok	friends
jinglong paralok	friendship
sheptieng	frightened
ba pynsheptieng	frightening
jakoid	frog
na	from
sha khmat	front
ba lah kylla thah	frozen
soh	fruit
dap	full
jingsngewbha	fun
jingleit ontep	funeral
komik	funny
bitar	furious
ki shuki ki meij	furniture
shuh shuh	furthermore
ka lawei	future
iohnong	gain
jingiohnong	gain
jingialehkai	game
jaka set kali	garage
jakhlia	garbage
kper	garden
rynsun	garlic
phalor	gate
lum	gather
jingialumlang	gathering
thew	gauge
la ai	gave
jinglong kynthei ne shynrang	gender
pynmih	generate
pateng	generation
sbun	generous
jemnud	gentle
bashisha	genuine
jingkdew	gesture
ioh	get
phong jain	get dressed
khie	get up
jem noh kloi	get well soon
ioh	getting
ksuid	ghost
ramhah	giant
jingaisngewbha	gift
sying	ginger
khynnah kynthei	girl
paralok kynthei	girlfriend
ai	give
ieh noh	give up
ba la ai	given
kmen	glad
peit	glance
ka iit	glass
iitkhmat	glasses
ba dum	gloomy
jingsopkti	gloves
pynshai	glow
jingshai	glow
leit	go
iaid shaphrang	go ahead
leit noh	go away
leit thiah noh	go to bed
ka thong	goal
ki thong	goals
blang	goat
blei	god
u blei un kyrkhu ia phi	god bless you
leit	goes
leit	going
leit sha	going to
ksiar	gold
lah leit	gone
ktieh	goo
babha	good
bha	good
leit suk	good bye
bhabriew	good looking
kit bok	good luck
khublei ia phi baieid jong nga	good morning my love
thiah suk	good night
leit suk	goodbye
thiah suk	goodnight
ki mar	goods
ka Google	Google
ka Google Transalate	Google Translate
han	goose
kren lorni	gossip
la ioh	got
lah ioh	got it
sorkar	government
knieh	grab
kyrdan	grade
suki suki	gradually
kew	grain
ai	grant
la ai	granted
soh grape	grapes
u phlang	grass
ainguh	grateful
jingsngewnguh	gratitude
jingtep	grave
khraw	great
jinglalot	greed
lalot	greedy
jyrngam	green
ai khublei	greet
jingai khublei	greeting
jingkhublei	greetings
jingsngewsih	grief
tylliat	grind
jingbat skhem	grip
mar bam	grocery
u nongleit kurim	groom
madan	ground
kynhun	group
roi	grow
jingsan	growth
ba dukhi	grumpy
ap pahara	guard
antad	guess
nongwankai	guest
jinglam lynti	guidance
kdew lynti	guide
nongkdew lynti	guide
jaka kilan met	gym
jingmlien	habit
jaka sah	habitat
ju don	had
khot	hail
sniuh	hair
shiteng	half
kamra heh	hall
ka kti	hand
jingbat	handle
bhabriew	handsome
wah	hang
jia	happen
la jia	happened
jingkmen	happiness
kmen	happy
sngikha basuk	happy birthday
sngikha basuk ia phi	happy birthday to you
snem thymmai basuk	happy new year
baeh	hard
jingpynmynsaw	harm
pynmynsaw	harm
ba pynmynsaw	harmful
jingiahap	harmony
ot	harvest
don	has
jingisih	hate
don	have
ka sngi basuk ia phi	have a nice day
bam ja step	have breakfast
leh sngewbha	have fun
phi lah dep bam	have you eaten
ba don	having
jingma	hazard
jingkahdum	haze
u	he
u don	he has
u long	he is
khlieh	head
ktha khlieh	headache
pynkhiah	heal
jingpynkhiah	healing
ka koit ka khiah	health
ba koit ba khiah	healthy
iohsngew	hear
la iohsngew	heard
klongsnam	heart
jingkhluid	heat
pynkhluid	heat
bneng	heaven
bakhia	heavy
bakyrkieh	hectic
jingjrong	height
ba ioh pateng	heir
jinglute	heist
la bat	held
dujok	hell
Khublei	Hello
khublei, kumno phi long	hello how are you
khublei kumno phi long	hello how are you doing
ka jingsop khlieh	helmet
iarap	help
ba iarap	helpful
ma ka	her
hangne	here
jingioh pateng	heritage
rekomen	hesitate
Kumno	Hi
khublei kumno phi long	hi how are you
ba buhrieh	hidden
buhrieh	hide
jrong	high
pynshai	highlight
lum	hill
ma u	him
skhep	hip
skhep	hips
wai	hire
jingwai	hiring
jong u	his
histori	history
tied	hit
Hmm	Hmm
jingpynmyllen	hobby
bat	hold
ap jingjang	hold on
thliew	hole
shuti	holiday
thylli	hollow
iing	home
ba hok	honest
ban iathuh hok	honestly
baieid	Honey
ka ngap	Honey
burom	honor
jingtap khlieh	hood
jingwoh	hook
sohtyngkoh	hop
kyrmen	hope
jingkyrmen	hope
kyrmen	hopefully
bym don jingkyrmen	hopeless
pyngkiang	horizontal
jingpynsawa	horn
kulai	horse
aspatal	hospital
jingpdiang sngewbha	hospitality
pyrshah	hostile
bakhluid	hot
iing basa	hotel
kynta	hour
ki kynta	hours
iing	house
long iing	household
kumno	how
ma phi patde	how about you
kumno phi long	how are you
phi long kumno mynta ka sngi	how are you today
khublei	how do you do
kumno	how is
kato tylli	how many
katno	how much
katno sien	how often
phi don katno snem	how old are you
ka long kumno ka sngi jong phi	how was your day
ka long kumno ka meit jong phi	how was your night
u lok	hubby
kdup	hug
jingkdup	hug
baheh bha	huge
u briew	human
leh rit	humble
lyhop	humid
jinglyhop	humidity
shispah	hundred
thngan	hungry
thud	hunt
eriong	hurricane
pynkloi	hurry
pynkloi	hurry up
pynpang	hurt
u lok	husband
iing trep	hut
jingleh khuid	hygiene
Nga	I
Nga long	I am
nga biang	I am fine
Nga lah	I can
Ngam lah	I can't
Nga mynjur	I do
Ngam tip	I do not know
Ngam sngewthuh	I do not understand
Ngam ju	I don't
Ngam tip	I don't know
Ngam sngewthuh	I don't understand
Ngam sngewthuh phi mut kumno	I don't understand what you mean
Ngam sngewthuh ia phi	I don't understand you
Ngam tip	I don’t know
Ngam sngewthuh	I don’t understand
Nga ju don	I had
Nga don	I have
Nga lah ju long	I have been
Nga kyrmen	I hope so
Nga tip	I know
Nga sngewbha	I like
nga sngewtynnat ia phi	I like you
Nga ieid	I love
Nga ieid ia u hynmen	I love my big brother
Nga ieid ia ka hynmen	I love my big sister
Nga ieid ia u kpa	I love my father
Nga ieid ia u para	I love my little brother
nga ieid ia ka para	I love my little sister
Nga ieid ia ka kmie	I love my mother
Nga ieid ia phi	I love you
Nga ieid shikatdei ia phi	I love you so much
nga ruh nga ieid ia phi	I love you too
Nga mut	I mean
Nga tmang ia phi	I miss you
nga tnamg bha ia phi	I miss you so much
O pleng	I see
Nga tharai	I think
Nga sngewthuh	I understand
Nga kwah	I want
Nga kwah iohi ia phi	I want to see you
Nga kwah ia phi	I want you
Nga ju	I was
Ngan sa	I will
Ngan jinda	I would be
Nga biang	I'm fine
Nga biang	I'm good
Nga don hangne	I'm here
Map ia nga	I'm sorry
thah	ice
jingmut	idea
ba biang tam	ideal
ba kumjuh	identical
kdew	identify
jingithuh	identity
beij	idiot
bym don kam don jam	idle
lada	if
leh bym suidniew	ignore
pang	ill
beain	illegal
jingpang	illness
dur	image
mutdur	imagine
mardor	immediate
mardor	immediately
baheh bha	immense
ba kyrkieh	impatient
tiar	implement
bakongsan	important
pynjari	impose
bym lah long	impossible
pynbha	improve
jingpynbha	improvement
hapoh	in
Nalor kata	in addition
Ha ka jingshisha	In fact
ha khmat jong	in front of
khnang ban	in order to
bym iahap	inappropriate
jingpynshlur	incentive
jingjia	incident
kynthup lang	include
kynthup	including
jingiohi	income
jingshitom jingmut	inconvenience
jingroi	increase
pynroi	increase
pynkiew	increased
ba laitluid	independent
ka India	India
kdew	indicate
trai shnong	indigenous
shimet	individual
bym lah kiar	inevitable
khyllung	infant
jingpang	infection
bym ju kut	infinity
jingat	inflammation
jingkiew dor	inflation
pyntip	inform
jingtip	information
jingioh pateng	inheritance
la mynsaw	injured
jingmynsaw	injury
lui lui	innocent
jingpynmih bathymmai	innovation
jingtohkit	inquiry
khleh beij	insane
khniang	insect
bym sngewshngain	insecure
thep	insert
shapoh	inside
banjur	insist
jingbym iohthiah	insomnia
jingai mynsiem	inspiration
buh	install
nuksa	instance
