abandon	ɗallugo
behind	ha bawo
being	wondugo
belief	nuɗinugo
believe	tammugo
belly	reedu
belong	belong
beloved	giɗaɗo
below	ha les
belt	kanda
bench	korowal
bend	taggi
beneath	ha les
benefit	keeɓal
benefits	keeɓal
beside	seera
besides	feere
best	buri
best of luck	allah wallen
best regards	be caangal
better	ndika
between	ha kunde
beverage	njaram
be	wondugo
beyond	ha do
Bhojpuri	Bhojpuri
biased	lesbini
bias	suɓi
bicycle	baskur
bid	emmugo
big	manga
bike	baskur
bill	yobbugo
bind	hawtugo
bird	cooli
birthday	dayinki
bite	ngatugo
bit	seeda
bitter	haddi
black	baalejo
blade	reeza
blame	mandol
blanket	limse
blank	wala
blast	feetugo
bleach	zavel
blend	jillugo
bless	barkitinugo
blessed	barkitti
blind	bumɗo
bliss	anora
block	darnugo
blood	iyam
bloom	jalɓitugo
blow	fuffugo
blue	bana asaman
blunt	jaynatta
board	feelore
boat	kombeewal
body	ɓaandu
boil	dollugo
bold	mari sembe
bond	takkol
bone	iyal
book	deftere
booster	ɓantowo
boost	hokkugo sembe
boot	ɓawo moota
boots	paaɗe
border	keerol
bored	sakli
bore	tuffugo
boring	buri sembe
born	dayi
borrow	emmugo
boss	jagorɗo
both	didi
bother	duddugo
bottle	koloba
bottom	les
bought	sodi
bounce	diwa
boundaries	keerolji
bound	haɓɓi
bow	lessugo
bowl	tassawo
box	koloba
boyfriend	panyo gorko
boy	gorgel
bracelet	kuje jungo
brain	ngaandi
branch	jungo
brand	inde
brave	mari ngorgaku
breach	pussol
bread	nyamdu
breakfast	nyamdu fajiri
break	yeewugo
breast	endi
breathe	fuffugo
breath	pofɗe
breed	gantugo
brick	brik
bride	panyo
bridge	pong
brief	caate
bright	don jayna
brilliant	ɗon jayna
bring	wadugo
broadcast	hubaru
broad	yaji
bro	derɗam
broke	lafuɗo
broken	yewi
broom	burɗi
brother	derdirawo
brother in law	miko gorko
brought	wadi
brown	boddejo
brush	yiggugo
bucket	bokotti
buddy	sukka
budget	ceede
bug	dimbol
building	mahdi
build	mahugo
built	mahi
bulk	ɗuɗum
bull	naage
bully	teffugo haala
bump	uppi
bunch	moftol
bundle	hawtirde
burden	dongal
buried	iri
burn	wullugo
burst	feetugo
bury	irugo
bush	lade
business	kugal
bus	moota
bust	bernde
busy	sukli
but	amma
butterfly	bubi
butter	leebol
button	bitong
buy	soodugo
by	be
bye	bawoje
by the way	fahin bo'o
cabbage	su
cabinet	ngaska
cage	suudu
cake	tamsere
calf	ɓingel naage
called	ewni
call	ewnandu
call me	enwnam
calm	de'i
came	wari no
campaign	kawye
Cancel	Willugo
cancer	sankara
can	footi
can't	footay
capable	footi
capacity	mawnugo
capital	kanduɗum
caption	hoore
capture	naangugo
career	kugal
careful	be hakika
carefully	be hakika
careless	bila hakika
caring	sukluwo
car	moota
carpenter	huwowo leɗe
carpet	dago
carrot	karot
carry on	roondugo
carry out	waɗugo
carry	rondugo
case	haala
cash	ceede
castle	cuuɗi
cast	sakinugo
casual	bana ni
catch	nangugo
category	geeɓe
cat	paatu
cattle	na'i
caught	naangi
cause	uja
caution	hakilo
cautious	be hakika
cave	suudu mbal
cease	darnugo
ceiling	do suudu
celebrate	waɗugo julde
cell	suudu
center	cakka
century	duɓɓi temere
cereal	gawri
ceremony	kugal
certain	feere
certainly	be goonga
certificate	batakewol ekkitol
chain	ceelalu
chair	korowal
challenge	larula
chance	sa'a
change	saanjugo
chaos	sababu
characteristics	maandolji
character	sappinol
charge	ceede
charity	caahu
charming	woɗi
chart	didol
chase	fartugo
chat	ngewtugo
cheap	buutu
cheating	do wujugo
cheat	wujugo
check	lartol
cheek	goole
cheerful	be seeyo
cheer	seeyo
cheers	seynde
cheese	leɓɓol
chemistry	kemestri
cherish	yarugo
chess	ces
chest	bernde
chew	yakkugo
chicken	goortigal
chief	lamiɗo
child	bingel
childhood	ɓingel
children	ɓikkon
chill	peewol
chimneys	lawol curɗe
chin	wakude
chocolate	sokola
choice	suɓol
choose	subbugo
chop	ta'ugo
chores	kude
chubby	be golle manga
church	jullurde
cinnamon	kimba
circle	tarde
circumstances	kujeji
citizen	jeeyaɗo lesdi
city	berniwol
claim	emmugo
clarify	laɓɓinugo
class	jaangirde
clay	mbulmbuldi
clean	laabi
clear	labde
clerk	windowo
clever	mari hikma
client	sodowo
cliff	do hoosere
climate	wakati
climb	wa'ugo
clingy	ɗon takka ɓandu
clock	njamdi
close	mabbugo
closet	gaɗa
cloth	ɓornele
clothes	limse
cloud	dule
cloudy	be dule
clown	fijowo be dabaji
clue	maqndol
clumsy	wala cir
cluster	hawtirde
coach	fadowo
coal	yulɓe
coast	seera maliya
coat	limse
coffee	caahi
cognitive	je hakilo
coincidence	hawtirde
cold	peewol
collapse	fallugo
collar	daande
colleague	sobajo kugal
colleagues	yimɓe kugal
collection	mofturde
collect	moftugo
college	kolez
color	fawne
colorless green ideas slept furiously	colorless green ideas slept furiously
colour	didol
column	geeɓe
combination	kawtirde
combine	hawtugo
comb	jumri
come here	war ha ɗo
come on	wolwu
come	war
comfortable	yahidi
comfort	jam
coming	ɗon wara
coming soon	waran law
command	emmugo
comment	ngewtugo
commercial	je fillu
commission	kugal
commitment	hasduye
committed	mari hakilo
commit	waɗugo
commodity	kuje nyammugo
common	tumtum
communicate	yewtugo
communication	ngewte
community	ummatore
commute	huɓɓugo
companion	pookarajo
company	baabal kugal
compare	foondugo
comparison	foondol
compassionate	hinowugo
compassion	neɗakku
compatible	yahidan
compete	fu
competent	je wawi
competition	dadi-dadi
competitive	ko moy fu yardi
complaint	Sinkugo
complain	wokugo
complement	tokkitol
completely	fu
complete	timminugo
complex	ɓuri sembe
compliance	yahde
complicated	sadi
compliment	cuufe
comply	hahidugo
composition	bindi
compound	saare
comprehension	fammirde
comprehensive	je aandin
compromise	narral
compulsory	ba sembe
computer	ordo
concentrate	hawti
concept	wolde
concerned	sakli
concern	larni
concert	wamorde
conclusion	ragare
concrete	goonga
condition	dabare
conditions	jo'inolji
conduct	doftugo
conference	kawtirde
confess	yafugo
confidence	amanaku
confident	goodo amana
confirm	jabbugo
conflict	habre
confused	jibbi
confusion	jiɓru
congrats	lalle
congratulation	lalleko
congratulations	caayngol
conjunction	kawtal
connect	jokkugo
conquer	wartirugo
conscious	je mari hikma
consciousness	hakilo
consent	jabbi
consequences	altaji
conservation	ngewte
conservative	je sigotto
considered	hoccama
consider	fallugo
consistency	moftol
consistent	je don tokki
consist	larnugo
constantly	tum
constant	wala saanjugo
constipation	harende
construction	mahugo
consume	nyamugo
consumption	nyamirde
contact	footugo
contagious	je ɗon naanga
contain	mari
contains	mari
contemporary	jonta
contempt	lasɓinol
content	ko woni ha ton
contest	salugo
context	wakere
continent	lesdi
continue	continue
contract	narral
contrast	jayngol
contribute	wallugo
contribution	dokkal
control	lartol
controversial	je wadata jiɓru
convenience	ngiɗa
convenient	mari nafuda
conversation	ngewte
convert	lornitugo
convey	nellugo
convince	aandinugo
convinced	jaɓɓi
cook	deffowo
cooking	deffugo
cool	wodi
cooperation	hawtirde
cope	suklugo
copper	kaangeri
core	cakkare
corn	butali
corner	keerol
correct	boddum
cost	coogu
costume	limse
cottage	suudu
cotton	hottolo
couch	leeso
cough	sondaru
could	footi
council	feelore
counter	do
count	limmugo
country	lesdi
countryside	kawye
couple	gorko be debbo
courage	ngorgaku
course	yahde
courtesy	leesare
court	lamorde
cousin	baka
cover	sudare
coward	je wala daraja
cow	dada naage
cozy	je ɓernde yardi
crab	ngurngurtinugo
crack	yewugo
craft	aandal
crap	buwe
crash	doare
craving	sunu
crawl	wancugo be juɗe
crazy	cikkay
create	taggugo
creative	aandi waanginugo
credit	nyamande
creep	wancugo be reedu
creepy	je ɗon yaha be reedu
crew	geebe
crime	mbarol
cringe	semtinugo
crisis	larula
criteria	dabare
critical	je buri sembe
criticism	wolde do goɗɗo
crop	kuje ndemri
crops	cooɗol
cross	gafangal
crow	cooli
crowded	hewi be yimɓe
crowd	yimɓe
crown	metelewol
crucial	be naffuda
cruel	kalludum
cruise	tarugo
crush	fussugo
cry	booji
cucumber	cikilje
cuddle	harlol
culture	dina
cunning	mari hikma
cupboard	kuje tasa
cup	kup
curb	ustugo
cure	hurgol
curfew	haɗol wurtugo
curiosity	aynol
curious	yidi fammugo
curly	tardi
currency	ceede
current	jonta
currently	jonta
curse	nallugo
curtain	leepol dammugal
cushion	sosso
custom	asli
customer	sodowo
customs	kuli
cute	wodi
cut	ta'ugo
cycle	tarde
cycling	lanyugo baskur
dad	baaba
daddy	baaba
daily	ko wetti
dairy	be kossam
damage	sampitol
damn	hittugo
damp	soofi
dam	wawru
dance	womorde
dangerous	sababu
danger	saɗirma
dark	balwi
darling	yidado
dash	toɓe
data	matinolji
date	nyalade
daughter	bingel debbo
day	nyalade
deadline	ragare balɗe
dead	mayi
deaf	paaho
deal	narral
Dear All	Ha Ko moy
Dear Customer	soddobe
Dear Parents	Ha Baabiraɓe
dear	sadi
Dear Sir	Ha Jagorɗo
Dear students	Ha jaanginoɓe
Dear Team	Ha Geeɓe
death	wade
debate	hirde
debit	doggugo
debris	kujeji
debt	nyamande
decade	duɓɓi sappo
decay	wonqugo
deceased	mayi
deceive	semtinugo
december	desamber
decent	bodde
decided	hasdi
decide	hasdugo
decision	hasduye
deck	taabal
decline	salugo
decrease	ustugo
dedicated	feerejo
dedication	caahu
deed	kuɗe
deep	luggi
deer	mbeewa lade
default	aybe
defeat	jallugo
defend	haɓɓugo
define	sappinol
definitely	bana wi'ugo
definition	fistol
degree	tobe
delay	dayol
delayed	ɗayini
delete	wilugo
deliberate	be ngiɗa
delicate	sataay
delicious	weeli
delighted	seeyi
delight	seeyo
delivered	neldini
deliver	hokkugo
delivery	hortol
demand	emmol
demanding	be caaleɗe
democracy	demokrasi
demon	seyɗan
demonstrate	sappinugo
denied	aanda
density	mofturde
dentist	lekkitajo nie
deny	wala aandugo
department	geeɓe
departure	ummugo
depend	woni do
deploy	nellugo
deposit	jo'inol
depressed	hakilo jippay
depression	nummol
depth	luggenga
describe	hollugo
description	limtol
desert	dillugo
deserve	footi mara
designation	inde
design	didol
desire	ngida
desk	korowal
despair	wala tammunde
desperate	tampi
despite	ko to
dessert	nyamdu
destination	yahde
destiny	ko ɗon ardini
destroy	sampitugo
destruction	natinol
detail	matinol
details	matinolji
detect	maandugo
determination	hasduye
determined	hasdi
determine	fammugo
devastated	tampere
developed	ɓantama
develop	hoorugo yeeso
development	yahde yeeso
device	ordo
devil	seeɗan
devoted	hasdi
Dhivehi	Dhivehi
diabetes	nyau sukar
diarrhea	caarol
diary	deftere be nyalade
dictionary	deftere wolde
did	wadi
died	maynama
die	mayugo
diet	nyamɗe
difference	feeretirol
different	feere
difficult	caaddum
dignity	daraja
dig	waasu
diligent	yawi
dinner	nyamdu
dip	nastinugo
direct	cir
direction	laahal
director	arduɗo
dirt	cuuɗi
dirty	be cuddi
disable	darnugo
disabled	footay huwa
disappear	majjugo
disappointed	baandu wati
disaster	jiɓru
discard	accugo
discharge	ruffugo
discipline	eltare
discount	ustare
discover	heɓtugo
discrimination	nyeebol
discussion	hirde
discuss	ngewte
disease	nyau
diseases	nyauji
disguise	waylitol
disgusting	haanay
dishes	tassaji
dish	nyamdu
dismiss	yoftugo
dispatch	sandugo
display	sappinol
disposal	wurtol
dispute	haraka
distance	dayugo
distinct	feerejo
distinguish	maandugo
distress	nawɗum
distribution	sendol
district	distrik
disturb	saklugo
ditch	taya
dive	juwugo
diverse	waagi
diversity	caadenga
divide	seekugo
divine	ja allah
divorce	sendirugo
dizzy	hoore ɗon dimba
doctor	lekkitajo
document	ɗereji
doesn't	footay
does	wada
dog	rawandu
Dogri	Dogri
doing	waɗugo
doll	goɗɗo be kausu
domain	ngeesa
domestic	saare
dominant	ɓuri
donate	hokkugo
done	timmi
donkey	wamde
don't	ta
Don't worry	Ta dammu
dope	wikere
double	nde ɗiɗi
doubt	mijol
dough	kurori
do	wadugo
down	lees
download	hoosugo do internaati
do you	bana ni na
do you love me	I yiɗi yam na
draft	windugo
drag	foɗugo
drain	wurtinugo
drama	fijirde
draw	daasugo
drawer	sigorde taabal
drawing	didugo
dread	morɗi
dream	hoydol
dress	limse
drill	waɗugo ngaska
drink	yarugo
drive	lanyugo
dropped	acci
drop	yoffugo
drought	bone ndiyam
drunk	wiki
dry	yoori
duck	kanar
dude	sukka
due	no
due to	je
dull	nafata
dumb	paaho
dump	mofturde
duration	wakati
during	ha wakati
dust	colaaje
duty	kugal
dwell	joɗɗugo
dying	ɗon maya
each	ko moy
each other	ko moy fu
eager	feeri
eagle	cooli
earlier	dawi
early	dawi
earn	kabbugo
ear	nofru
ears	noppi
earth	lesdi
earthquake	dimbol lesdi
ease	koyɗum
easily	kooyɗum
east	funaange
easy	koydum
eating	nyamugo
eat	nyammugo
economic	je larni ceede
economy	sigga
edge	seera
edit	windugo
education	jaangirde
effective	fuɗɗi
effect	leeki
efficiency	nafuda
efficient	mari naffuda
effort	sembe
egg	geeraɗe
eggplant	kwita
ego	mawnitare
eighteen	sappo e joowey tati
eight	jowey e tati
eighty	caapan joowey e tati
either	mala
elaborate	taskugo
elbow	jungo
elderly	ndotti
elder	ndotti'en
elegant	woɗi
element	kuje
elephant	niwa
eleven	sappo e go'o
eligible	footi subba
eliminate	natinugo
else	feere
embarrassed	harli
embarrassing	saklan
embrace	harlugo
emergency	jaawal
emerge	wurtugo
emotional	je ɓernde
empathy	hayru
emphasis	toɓe
emphasize	wolwugo do man
employee	huwowo
employees	huwoɓe
employer	jagorɗo
employment	kugal
empty	wala kuje
enable	footi wada
encounter	footugo
encourage	sembitinugo
endangered	nder sababu
endeavor	haɓdugo
end	timminol
endurance	ngorgaku
endure	haɓdugo
enemy	ganyo
energy	sembe
engage	artugo
engaged	hasdi
engagement	hasduye
engineer	aandowo
engine	ordo
English	Inglisia
enhance	wallugo
enjoy	seeyugo
enormous	mawngel
enough	he'i
ensure	famtinugo
enter	nastugo
entertainment	fijirde
enthusiasm	seeyo
enthusiastic	don dimba
entire	fu
entitled	mari
entity	kuje
entrance	nastirde
entrepreneur	huwowo
envelope	tqrde
environment	tarde
envy	sunu
epic	je boɗenga
epidemic	nyau
equal	footi
equipment	ordo
equity	kalkal
equivalent	footan
eraser	kuje wilugo
error	harbol
escape	luttugo
especially	burna
essay	bindi juttungel
essence	neebam
essential	kandudum
established	wondi
establish	fuddugo
estate	risku
estimated	limmi
estimate	tammugo
etc	feere
eternal	abada abadin
ethics	hikma
evaluate	lartugo
evaluation	lartol
evening	asiri
even	ko
even though	ko to
event	kuje
eventually	footi
ever	tum
everybody	ko moy fu
every	kala
everyone	ko moy fu
everything	kujeji fu
evidence	sappinol
evil	kalludum
evolution	yahde
evolve	yahidugo
Ewe	Ewe
exact	bana ni
exactly	bani ni
examine	lartugo
exam	kugal
example	sappinol
ex	aran
exceed	ɓurugo
excellent	kandudum
exception	sna
except	sna
excess	ɓurugo
excessive	be sembe
exchange	sanjol
excited	seeyi
excitement	seeyo
exciting	diwinan
exclusive	tan
excuse me	yaffam
excuse	yaffam
execute	waɗugo
execution	mbarol
executive	je jonta
exercise	kugal
exhausted	tampi
exhaust	wurtol
exhibit	hollugo
exhibition	sappinol
existence	wonde
existing	je woni
exist	wonugo
exit	dammugal
expand	yajjinugo
expected	je don ndeeni
expect	ndeenugo
expenses	majinugo ceede
expensive	hooyay
experience	aandal
experiment	aandal
expert	aandowo
expired	wati
explain	limtugo
explanation	limtol
exploit	huwidugo be
explore	lartugo
export	wurtinugo
exposed	sappini
expose	sappinugo
exposure	sappinol
expression	wolde
express	law
extended	ɓuri
extend	yajjinugo
extension	yajjol
extent	yajjol
external	je yaasi
extinct	darni
extract	waanginugo
extra	feere
extraordinary	wala nandol
extreme	je kanduɗum
extremely	ha keerol
eye	gite
eyes	gite
fabric	limse
fabulous	fewre
face	yeeso
facilitate	koyɗinugo
facilities	mahdi
facility	wakere
fact	kude
factor	kuje
factory	suudu tagle
facts	gonga
fade	weelay
failed	sallay
fail	keebay
failure	do'are
faint	do'ugo
fair	hani
fairly	deydey
fairy	ɗelmi
faithful	mari nuɗɗinki
faith	nuddinki
fake	fewre
fall	do'ugo
false	fewre
fame	aandin
familiar	aandin
family	caalaje
famine	welo
famous	aandin
fancy	fijirde
fantastic	kanduɗum
fan	yardudo
far	dayi
farewell	jaɓɓitol
farmer	reemowo
farm	ngeesa
fascinating	hilnan
fashion	saaman
fast	yawi
fatal	je mbaram
fate	asaar
fat	fa'i
father	baaba
fatigue	tampere
fault	aybe
favorite	favorite
favourite	je yardi
favour	wallende
fear	hullol
feast	julde
feather	beeleji
feature	sappinol
features	tagle
february	feviiriye
fed up	hari
fee	ceede
feedback	ngewte
feed	nyamnugo
feeling	matende
feel	maatugo
feet	kosde
fell	do'i
fellow	sobiraɓe
felt	maati
female	debbo
fence	mahol
fertile	je ɗon hokka
festival	julde
fetch	teffugo
fever	pabooje
fewer	seeɓa tan
few	seeda
fiance	panyo
fiction	fewre
field	ngeesa
fierce	caɗungel
fifteen	sappo e joowey
fifty	cappan joowey
fighting	kaɓɓugo
fight	kaɓɓe
figure	nummugo
figure out	fammugo
file	haala
filled	heewi
fill	hebbinugo
film	vidiyo
filthy	be cuɗɗi
finally	ha ragare man
finance	ceede
financial	larni ceede
find out	teffugo
find	tawugo
fine	wodi
finger	koli
finished	timmi
finish	timminugo
fire	yite
firm	dari
first	arandere
first name	arandere inde
fish	lidi
fit	yahidi
five	joowey
fixed	joɗɗi
fix	wala dimbugo
flag	leepol lesdi
flash	yite
flat	daldal
flaw	aybe
flawless	wala aybe
flee	doggugo
flesh	kusel
flew	doggi
flexible	dimba
flex	tagugo
flight	fiirol
flip	lornugo
flirt	hirugo
flirting	muyugo
float	firugo
flood	tufana
floor	saare
flour	kode
flower	ɓikkon lekki
flow	illugo
fluent	koyɗum
fluently	be kooyɗum
fluffy	be gaasa
fluid	ndiyam ndiyam
flu	ndamba
fly	firugo
focus	aynugo
fog	dule
foggy	be dule
fold	taggi
folks	mofturde yimɓe
following	tokki
follow	tokkugo
follow up	tokkitugo
food	nyamdu
fool	ginaɗo
foolish	ginaɗo
football	balong kosɗe
foot	kosde
forbidden	ɗon haɗi
force	bawde
forecast	larugo ko warata
forehead	tinde
foreign	lesdi feere
forest	lade
forever	ha abada
For example	Bana sappinol
forget	yeejittugo
forgive	yaffugo
forgot	hoyitti
for instance	bana sappinol
fork	sokali
formal	be lawol
former	je aran
form	tagle
for	ngam
fortunately	ba sa'a
fortune	risku
forty	cappan nay
forty-two	cappan nay e ɗiɗi
forward	yeeso
for you	ngam maɗa
foster	fadugo
fought	haɓɓi
foundation	fuɗorde
found	tawi
four	nay
fourteen	sappo e nay
fox	rawandu lade
fragile	saatay
frame	iyal
framework	wakere
fraud	ngwika
freak	ginaɗo
freedom	feecare
free	meere
freeze	peewol
frequency	tokkitol
frequently	burna fu
frequent	tumtum
fresh	keese
friday	jumɓare
fridge	ordo pewol
friendly	be sobaku
friendship	sobajo
friend	sobajo
friends	sobiraaɓe
frightened	hultora
frightening	hultoran
frog	paaɓa
from	diga
front	yeeso
frozen	feewi
fruit	ɓikkon legal
frustrated	sakli
fuel	neebam
Fulfulde	Fulfulde
full	heewi
function	kugal
fundamental	kanduɗum
funeral	mayti
fun	fijirde
funny	jalnan
fur	gaasa
furious	haafi
furniture	kuje be leede
further	feere
furthermore	ɓesdugo
future	jaango
gain	ceede lewru
game	fijirde
gap	ngaska
garage	suudu moota
garbage	tassawo cuuɗi
garden	jaarne
garlic	lay
gate	dammugal
gathering	kawtirol
gather	moftugo
gauge	foondugo
gave	hokki no
gear	ordo
gender	baadal
general	fu
generally	ɓurna fu
generate	wurtinugo
generation	asngol
generous	aanda ndingare
genius	mari fammu
genre	irin
gentle	goɗɗo gonga
genuine	boddum
gesture	dimbol
get dressed	ɓornugo
get	kebbugo
getting	nastugo
get up	ummu
get well soon	allah ɓesda dama
ghosting	je wala goɗɗo ha ton
ghost	mayde
giant	jutti
gift	caahu
ginger	kimba
girl	bingel de'el
girlfriend	panya
give	hokkugo
given	ndokki
give up	accugo
glad	seeyi
glance	larugo
glasses	darugal
glass	koloba
glimpse	seeɗa ni
global	je lesdi fu
gloomy	nder yiɓre
gloves	leeda juɗe
glow	jalɓitugo
glow up	ɗon jalɓita
glue	takkol
go ahead	waɗu
goal	dabare
goals	ngiɗare
goat	mbeewa
go away	sottu
god	allah
god bless you	allah barkitina ma
goes	yaha
going to	yahugo ha
going	yahugo
gold	cardi
gone	dilli
gonna	yahugo
goo	cuuɗi
good afternoon	a nyala jam na
good bye	ɓawoje
goodbye	ɓawoje
good day	nyallen jam
good evening	a nyali jam na
good job	lalleko
good looking	bana o jammu
good luck	yahu be sa'a
good morning	a mbali jam
good morning my love	a fini jam na giɗaɗo am
good night	jam wala
goodnight	wallu jam
goods	kujeji
good	wodi
Google	Google
Google Translate	Lornol Google
goose	gortoɗe
gorgeous	wodi
gossip	tufle
got it	fammi
got	kebbi
go to bed	yah ɗanu
government	ngomna
go	yahugo
grab	nangugo
grade	toɓe
gradually	seeɗa seeɗa
graduate	timminugo jaangirde
grain	awdi
granted	jarfi
grant	hokkugo
grapes	ɓikkon lekki
grasp	naangugo
grass	geene
grateful	be yettore
gratitude	yettore
grave	yaanande
gray	bana dule
great	manga
greed	nyamowo
greedy	nyamowo
green	bana hudo
greeting	caangal
greetings	caangal
greet	sanugo
grey	bana dule
grid	mahdi njamdi
grief	haraka
grind	nammugo
grip	jungo
grocery	suudu cippol
groom	kamay
gross	manga
ground	lesdi
group	geeɓe
grow	mawnugo
growth	mawnugo
grumpy	seeyay
Guarani	Guarani
guarantee	amana
guard	aynowo
guess	nummugo
guest	jaɓɓowo
guidance	feelore
guide	sappinugo lawol
guilty	je wadi aybee
guys	sukkaɓe
guy	sukka
gym	fijirde
habitat	baabal jonde
habit	wawande
had	mari no
hail	sanu
