a little	trocha
bound	zôbowiōnzany
bound	zwiōnzany
boundaries	granice
bow	łuk
bow	ukłōn
bowl	waszpek
bowl	miska
box	kastlik
boy	synek
boyfriend	synek
bracelet	bransoletka
brain	mōzg
branch	ôddzioł
branch	gałōńź
brand	marka
brave	ôpowożny
breach	naruszynie
bread	chlyb
break	pauza
breakfast	śniodanie
breast	pierś
breath	dych
breathe	dychać
breed	rasa
breed	rozmnożać
brick	cegłōwka
brick	cegła
bride	modo pani
bridge	most
brief	krōtki
bright	jasny
brilliant	znakōmity
bring	przinosić
bring	prziniyś
bro	bracik
broad	szyroki
broadcast	audycyjo
broke	złōmoł
broken	złōmany
broom	mietła
brother	brat
brother in law	dziywior
brother in law	szwager
brought	prziniesiōny
brown	brōnotny
brush	szczotka
brush	byszta
brush	pyndzel
bucket	kibel
bucket	kiblik
buddy	koleks
budget	budżet
bug	feler
bug	chrobok
bug	wirus
build	zbudować
building	budōnek
built	wybudowany
bulk	hurtowy
bulk	srogość
bull	byk
bully	kōniyrować
bully	mynczyciel
bully	postwić sie
bump	szlag
bunch	gorść
bundle	paket
burden	ôciōnżynie
burden	ciynżor
buried	poschrōniany
burn	ôparzynie
burn	parzić
burn	polić
burst	pynkać
burst	wybuchać
bury	pogrzebać
bus	autobus
bush	krzok
business	gyszeft
business	biznes
bust	piersi
bust	zepsuć
busy	zajynty
but	ale
but	ino
butter	masło
butterfly	szmaterlok
button	knefel
buy	kupować
by	ôd
by	bez
by the way	ôkrōm tego
bye	chow sie
bye	do widzynio
bye	miyj sie
cabbage	kapusta
cabinet	kancylaryjo
cage	klotka
cake	ciasto
calf	ciela
call	mianować
call	zwōnić
call	wołać
call me	zazwōń
called	zwany
called	mianowany
calm	pokōj
calm	spokojny
came	wloz
came	weszoł
campaign	kampanijo
can	poradzi
can	może
can't	niy moga
Cancel	Niychać
Cancel	Pociepnōńć
cancer	rak
capable	talyntny
capacity	pojymność
capital	kapitoł
capital	iścizna
caption	podpis
capture	chycić
car	auto
career	kariera
careful	ôstrōżny
carefully	ôstrōżnie
carefully	pozornie
careless	niedbały
caring	flyjgujōncy
caring	ôpiekuńczy
carpenter	stolorz
carpet	tepich
carrot	marchewka
carrot	marekwia
carry	niyś
carry	nosić
carry on	kōntynuować
carry out	kludzić
carry out	przekludzać coś
case	sprawa
case	przipodek
cash	gotōwka
cash	gotowizna
cast	ôbsada
cast	gus
cast	ciepać
castle	zōmek
casual	swobodny
cat	kot
catch	chytać
catch	chycić
category	kategoryjo
cattle	bydło
caught	chycōny
cause	prziczyna
caution	ôstrōżność
cautious	ôstrōżny
cave	jaskinia
cease	przerwać
cease	sztopnōnć
ceiling	gipsdeka
celebrate	fajrować
cell	kōmōrka
center	cyntrum
century	wiek
century	stolecie
century	storocze
cereal	zbożowe floki
cereal	zboże
cereal	zbożowy
ceremony	cerymōnijo
certain	pewny
certainly	na zicher
certainly	na isto
certainly	toć
certificate	certyfikat
chain	lyńcuch
chain	keta
chair	stołek
challenge	wyzwanie
chance	szansa
change	pōmiana
chaos	chaos
character	karakter
character	postać
characteristics	cychy
charge	ladować
charge	ôpłata
charge	ôbciōnżać
charity	charytatywno ôrganizacyjo
charity	miyłosierdzie
charity	dobroczynność
charming	urodny
chart	wykres
chase	gōnić
chase	pościg
chat	czat
cheap	tōni
cheat	ôszydzać
cheating	ôszydzanie
check	kōntrola
check	sprawdzać
cheek	liczko
cheek	lico
cheer	kibicować
cheerful	radosny
cheers	pyrsk
cheers	dziynki
cheese	kyjza
cheese	syr
chemistry	chymijo
cherish	przoć
chess	szachy
chest	klotka piersiowo
chest	krzinia
chew	żuć
chicken	kurza
chief	szef
chief	majster
child	dziecko
childhood	dzieciństwo
children	bajtle
children	dzieci
children	dziecka
chill	chłōd
chimneys	kōminy
chin	podbrōdek
chocolate	szekulada
choice	wybōr
choose	wybrać
choose	wybiyrać
chop	siykać
chores	ôbowiōnzki
chubby	pyzaty
church	kościōł
cinnamon	cymt
circle	koło
circumstances	ôkoliczności
citizen	ôbywatel
city	miasto
claim	rościć
claim	roszczynie
clarify	klarować
class	klasa
clay	glina
clay	glinianny
clean	pucować
clean	snożny
clean	czysty
clear	klarowny
clear	ôprōznić
clerk	byamter
clever	chytry
client	klijynt
cliff	klif
climate	klimat
climb	spinać sie
clingy	przilepny
clock	zygor
close	zawrzić
close	bliski
close	zawiyrać
closet	kancylaryjo
cloth	szata
cloth	płōtno
cloth	klamot
clothes	ôblyczynie
clothes	szaty
cloud	chmōra
cloudy	zamroczōny
clown	bozyn
clue	skazōwka
clumsy	niyzdarny
cluster	grupa
coach	trynować
coach	tryner
coach	autobus
coal	wōngel
coast	wybrzyże
coat	mantel
coat	malować
coffee	kawa
cognitive	kognitywny
coincidence	cufal
cold	zimny
collapse	podać
collar	kragel
colleague	kolega
colleagues	spōłprocownicy
collect	zbiyrać
collection	kolekcyjo
college	wydzioł
college	wyższo szkoła
color	farba
colorless green ideas slept furiously	bezfarbiate zielōne idyje spały ściykle
colour	farba
column	kolōna
comb	grzebiyń
combination	połōnczynie
combine	łōnczyć
come	przijś
come	przichodzić
come	pōdź
come here	pōdź sam
come on	prosza cie
comfort	kōmfort
comfortable	wygodny
comfortable	porynczny
coming	nadchodzōncy
coming soon	hned
coming soon	bydzie hned
command	kōmynda
comment	kōmyntorz
commercial	handlowy
commission	ôbsztalować, kōmisyjo
commit	pochać
commitment	zôbowiōnzanie
commitment	noleżność
committed	zaangażyrowany
commodity	towor
common	powszechny
communicate	kōmunikować sie
communication	kōmunikacyjo
community	spōlnota
commute	dojeżdżać
companion	kamrat
companion	towarzisz
company	towarzistwo
company	fiyrma
company	gyszeft
compare	porōwnować
comparison	porōwnanie
compassion	spōłczucie
compassionate	spōłczujōncy
compatible	zgodliwy
compete	kōnkurować
competent	kōmpetentny
competition	kōnkuryncyjo
competition	kōnkurs
competitive	kōnkuryncyjny
complain	urzykać
complaint	skarga
complement	kōmplymynt
complete	kōmpletny
complete	kōńczyć
completely	cołkowicie
completely	cołkym
complex	słożōny
complex	kōmpleks
compliance	zgodliwość
complicated	skōmplikowany
compliment	kōmplymyntować
compliment	kōmplymynt
comply	zastosować sie
composition	kōmpozycyjo
compound	złożōny
compound	chymiczny zwiōnzek
comprehension	zrozumiynie
comprehensive	połny
comprehensive	szyroki
compromise	kōmprōmis
compulsory	musowy
computer	kōmputer
concentrate	kōncyntrować
concept	pojyńcie
concern	starōnek
concern	staranie
concerned	interesantny
concerned	zeszterowany
concert	kōncert
conclusion	wzniōsek
concrete	betōn
concrete	kōnkretny
condition	stōn
conditions	warōnki
conduct	kludzić
conduct	sprawować sie
conduct	dyrygować
conference	kōnferyncyjo
confess	ôbznojmić
confidence	zaufanie
confident	zicher
confident	pewny
confirm	potwiyrdzać
conflict	kōnflikt
confused	zdezôriyntowany
confusion	dezoriyntacyjo
congrats	gratulacyje
congratulation	gratulacyje
congratulations	gratulacyje
conjunction	spōjnik
connect	łōnczyć
conquer	podbić
conscious	świadōmy
conscious	przitōmny
consciousness	świadōmość
consent	zgoda
consequences	kōnsekwyncyje
conservation	ôchrōna
conservative	kōnserwatywny
consider	rozwożać
considered	uwożany za
consist	skłodać sie
consistency	spōjność
consistency	kōnsystyncyjo
consistent	spōjny
constant	stały
constantly	durch
constantly	sztyjc
constipation	zaparcie
construction	budowa
consume	kōnsumować
consumption	kōnsumpcyjo
contact	kōntakt
contagious	zakaźny
contain	zawiyrać
contains	zawiyro
contemporary	teroźny
contempt	ôbrzidzynie
content	treść
content	zadowolony
contest	kōnkurs
context	kōntekst
continent	kōntynynt
continue	kōntynuować
contract	kōntrakt
contrast	kōntrast
contribute	prziczyniać sie
contribution	wkłod
control	kōntrola
control	kōntrolować
controversial	spōrny
convenience	porynka
convenient	wygodny
convenient	porynczny
conversation	ôzprowka
convert	kōnwertować
convey	przekazować
convince	przekōnować
convince	przekōnać
convinced	przekōnany
cook	kuchorz
cooking	warzynie
cool	fajny
cooperation	spōłpraca
cope	wiedzieć rady
copper	miydź
core	drzyń
corn	kukurzica
corn	majs
corner	eka
corner	rōg
corner	winkel
correct	noleżny
correct	prawy
correct	poprawiać
cost	kosztować
cost	koszt
costume	szata
costume	kostium
cottage	dōmek
cotton	bawołna
couch	zofa
cough	kucanie
could	mōg by
council	rada
count	grof
count	rachować
counter	krōmnica
country	kroj
countryside	wieś
couple	pora
courage	ôpowoga
course	kurs
court	zalytować
court	gyricht
court	dwōr
courtesy	grzeczność
courtesy	kurtuazyjo
cousin	kuzyn
cover	przikrywać
cover	ôkładzina
cover	dekel
cow	krowa
coward	tkōrz
cozy	przitulny
crab	krab
crack	pukniyńcie
crack	pukać
crack	ric
craft	rzymiosło
crap	szajs
crap	gōwno
crash	roztrzaś sie
crash	wypodek
crash	strzasnōnć
craving	pragniynie
crawl	czołgać sie
crazy	pofyrtany
create	tworzić
creative	kreatywny
creative	twōrczy
credit	pōmp
credit	borg
creep	ôklaniec
creep	skradać sie
creep	połzać
creepy	szterujōncy
crew	ôbsada
crime	zbrodnia
crime	przestympczość
cringe	gańba
crisis	kryzys
criteria	kryteria
critical	krytyczny
criticism	krytyka
crop	przistrzignōnć
crop	przitnōńć
crops	uprawy
cross	krziż
cross	przechodzić
crow	wrōna
crowd	tum
crowded	zatłoczōny
crown	korōna
crucial	kluczowy
cruel	ôkrutny
cruise	rejs
crush	miożdżyć
cry	płakać
cry	krziczeć
cucumber	ôgōrka
cuddle	tulić
culture	kultura
cunning	fałeszny
cup	szolka
cupboard	szranczek
cupboard	szrank
curb	borsztajn
cure	wylyczyć
cure	lyczyć
cure	lykarstwo
curfew	policyjno godzina
curiosity	zwiedowość
curious	ciekawy
curly	lokaty
currency	waluta
current	teroźny
currently	teroźnie
curse	klōntwa
curse	przeklyństwo
curtain	kurtyna
cushion	zogōwek
custom	zwyk
custom	ôbrzynd
customer	klijynt
customs	ôdprowa cylno
cut	tnōńć
cut	tniycie
cut	fasōn
cute	słodki
cycle	raja
cycling	kolarstwo
dad	tatulek
dad	tata
daddy	tatulek
daily	dziynnie
dairy	nobioł
dairy	mlyczarnia
dam	bajera
damage	szkoda
damn	pierōnie
damp	wilgoć
dance	taniec
danger	niybezpieczyństwo
dangerous	niybezpieczny
dark	ćmawy
darling	dziubek
dash	kapka
dash	pynd
data	dane
date	zolyty
date	data
daughter	cera
day	dziyń
dead	umrzity
deadline	ôstateczny termin
deaf	guchy
deal	umowa
deal	ugoda
deal	transakcyjo
dear	drogi
Dear All	Drodzy wszyjscy
Dear Customer	Drogi Klijyńcie
Dear Parents	Droge ôjce
Dear Sir	Zocny Pōnie
Dear students	Droge sztudynty
Dear students	Drodzy sztudynci
Dear students	Droge sztudyncio
Dear Team	Drōga drużyno
death	śmierć
debate	debata
debit	ôciōnżyć
debit	debet
debris	abfale
debris	gruz
debris	hasie
debt	dug
decade	dekada
decay	rozkłod
deceased	umarty
deceive	zwodzić
december	grudziyń
decent	przizwojity
decide	postanowiać
decide	decydować
decided	zdecydowany
decided	zdecydowoł
decision	decyzyjo
deck	pokłod
decline	ôdkozać
decline	pogorszać sie
decline	upodać
decrease	spodek
decrease	ôbniżać
dedicated	dedykowany
dedicated	przeznaczōny
dedication	poświyncynie
deed	czyn
deep	głymboki
deer	jelyń
deer	sornik
default	sztandardowy
defeat	klynska
defeat	pokōnać
defeat	pokōnować
defend	brōnić
define	definiować
definitely	na zicher
definition	definicyjo
degree	stopiyń
delay	ôdwlyczka
delayed	ôpōźniōny
delete	wyciepować
delete	wychrōniać
deliberate	cylowy
delicate	delikatny
delicious	pyszny
delight	uciecha
delighted	zachwycōny
deliver	zbowiać
deliver	liwerować
delivered	dolifrowany
delivery	liwerōnek
demand	żōndanie
demand	popyt
demanding	wymogajōncy
democracy	dymokracyjo
demon	dioboł
demonstrate	dymōnstrować
demonstrate	wykozać
denied	ôdciepniynty
denied	zaprzeczōny
denied	ôdmōwiōny
density	tyngość
dentist	zymbista
deny	ôdkazować
deny	zaprzeczać
deny	zaprzeczyć
department	dzioł
departure	wyjozd
depend	zależeć
deploy	wdrożyć
deposit	depozyt
deposit	depōnować
depressed	niypogodny
depression	depresyjo
depth	zgłōmb
describe	ôpisać
describe	ôpisować
description	ôpis
desert	puszcza
desert	pociepować
deserve	zasużyć
design	projekt
designation	przeznaczynie
desire	pragniynie
desk	biōrko
despair	urzykanie
desperate	zdesperowany
despite	chocioż
dessert	deser
destination	cyl
destination	met
destiny	przeznaczynie
destroy	niszczyć
destroy	zniszczyć
destruction	zniszczynie
detail	ôsobliwość
detail	detal
details	detale
detect	wykryć
determination	determinacyjo
determine	ôkryślać
determined	zdeterminowany
determined	ôkryślōny
devastated	zdewastowany
develop	rozwijać
developed	rozwiniynty
development	rozwōj
device	maszina
devil	dioboł
devoted	ôddano
Dhivehi	Dhivehi
diabetes	cukrzica
diarrhea	laksyra
diary	dziynnik
dictionary	słownik
did	zrobiōł
die	umiyrać
died	umrził
diet	dieta
difference	rōżnica
different	inkszy
difficult	ciynżki
dig	kopać
dignity	zocność
diligent	staranny
dinner	wieczerzo
dip	zanurzać
direct	bezpostrzedni
direct	kerować
direction	kerōnek
director	reżyser
director	dyrechtōr
dirt	maras
dirt	ciaprajstwo
dirty	czorny
dirty	ôbmaraszōny
disable	zastawić
disabled	niypōłnosprowny
disappear	stracić sie
disappointed	ôszydzōny
disaster	katastrofa
discard	wyciepować
discharge	wypisać
discharge	zwolnić
discipline	dyscyplina
discount	rabat
discover	ôdkryć
discover	ôdkrywać
discrimination	dyskryminacyjo
discuss	dyskutować
discuss	ôbgodać
discussion	dyskusyjo
disease	niymoc
disease	choroba
diseases	choroby
diseases	niymoce
disguise	przeblyczynie
disguise	przeblykać
disgusting	ôszkliwy
dish	noczynie
dish	danie
dishes	dania
dismiss	ôdciepować
dispatch	kōmunikat
dispatch	wysyłać
dispatch	wysyłka
display	wystawa
display	pokazować
display	ôbroz
disposal	przedej
dispute	spiyrka
dispute	kwestiōnować
distance	dystans
distinct	ôsobny
distinguish	wyrōżnić
distinguish	wyrōżniać
distress	urzykanie
distribution	dystrybucyjo
district	dzielnica
disturb	szterować
ditch	przikopa
dive	nurkować
diverse	rozmajty
diversity	roztōmajtość
divide	dzielić
divine	boski
divorce	rozwōd
divorce	szajdōng
dizzy	bamōntny
do	robić
do you love me	przajesz mi
doctor	dochtōr
document	dokumynt
does	robi
doesn't	niy
dog	pies
Dogri	Dogri
doing	czyn
doll	pupa
domain	dōmyna
domestic	dōmowy
dominant	dōminujōncy
don't	niy
Don't worry	niy trop sie
donate	podarować
done	zrobiōne
done	fertich
donkey	yjzel
dope	narkotyk
double	dwojiście
doubt	wōntpić
dough	ciasto
down	na dōł
down	w dōł
download	pobiyrać
draft	cychōnek
draft	stowka
drag	wlyc
drain	ôdpływ
drama	dramat
draw	czyrpać
draw	rymis
draw	cychować
drawer	szufloda
drawing	cychōnek
dread	strach
dread	lynk
dream	marzynie
dream	marzić
dream	śnik
dress	klajd
dress	szatka
drill	wiertarka
drink	pić
drink	napōj
drive	kludzić
drive	popynd
drive	jechać
drop	spodać
drop	upuszczać
drop	kropla
dropped	ôpuszczōny
dropped	spuszczōny
drought	susz
drunk	ôżarty
dry	suchy
duck	kaczyca
dude	chop
due	noleżny
due to	skirz
due to	skuli
dull	cniwy
dull	tympy
dumb	niymy
dumb	tympy
dump	wyciepnōńć
dump	wysypisko
duration	dugość
duration	twanie
during	w czasie
dust	kurz
dust	sztaub
duty	ôbowiōnzek
duty	dinst
dwell	miyszkać
dwell	bytować
dying	umiyrajōncy
each	kożdy
each other	wzajymnie
eager	spragniōny
eager	chyntliwy
eager	żarliwy
eagle	ôreł
ear	ucho
earlier	wczaśnij
earlier	przōdzij
early	wczasny
early	wczas
earn	zyskować
earn	zarobiać
ears	uszy
earth	ziymia
earthquake	trzyńsiynie ziymie
ease	łacność
ease	snadność
easily	letko
easily	snadnie
east	wschōd
easy	łacny
easy	snadny
easy	prosty
eat	jeś
eating	jedzynie
economic	ekōnōmiczny
economy	ekōnōmijo
edge	rant
edit	edytować
education	bildōnek
education	edukacyjo
effect	wynik
effect	efekt
effective	skuteczny
efficiency	efektywność
efficient	wydajny
effort	wysiyłek
egg	jajco
eggplant	bakłażan
ego	ego
eight	ôziym
eighteen	ôziymnoście
eighty	ôziymdziesiōnt
either	abo
elaborate	kōnsztowny
elaborate	rozwijać
elbow	łokeć
elder	starszy
elderly	starziki
elegant	szykowny
element	elymynt
elephant	elefant
eleven	jedynoście
eligible	kwalifikowalny
eliminate	wyeliminować
eliminate	eliminować
else	inakszyj
embarrassed	zmiynszany
embarrassed	zgańbiōny
embarrassing	gańbiaty
embrace	ôbyjmować
embrace	uścisk
emerge	ukozać sie
emergency	nogły wypodek
emotional	ymocyjōnalno
empathy	ympatyjo
emphasis	nacisk
emphasize	podkryślić
emphasize	podkryślać
employee	procownik
employees	procowniki
employer	procodowca
employment	zatrudniynie
empty	prōzny
empty	pusty
enable	włōnczać
encounter	tref
encourage	zachyncać
end	kōniec
end	kōńczyć
endangered	zagrożōny
endeavor	dōnżyć
endurance	wydzierżałość
endure	przetwać
enemy	wrōg
energy	ynergijo
engage	angażyrować sie
engaged	zaangażyrowany
engagement	zaangażowanie
engagement	smōwiny
engine	motōr
engineer	inżinier
English	angelski
enhance	zwiynkszyć
enhance	zwiynkszać
enjoy	radować sie
enjoy	cieszyć sie
enjoy	mieć uciecha
enormous	ôgrōmny
enough	za tela
enough	za dość
ensure	zapewniać
ensure	zapewnić
enter	włazić
enter	wchodzić
entertainment	szpas
enthusiasm	yntuzjazm
enthusiastic	yntuzjastyczny
entire	cołki
entitled	zatytułowany
entity	podmiot
entrance	wchōd
entrepreneur	gyszefciorz
envelope	kuwert
environment	strzodowisko
envy	zowiść
envy	zowiścić
epic	epicki
epidemic	epidymijo
equal	rōwny
equipment	sprzynt
equity	sprawiedliwość
equivalent	ekwitalynt
eraser	gumka
error	feler
error	błōnd
escape	ucieczka
escape	uciekać
especially	ôsobliwie
essay	esej
essence	istota
essential	niyzbyndny
essential	kluczowy
establish	tworzić
established	założōny
established	przijynty
estate	statek
estimate	szacować
estimated	szacowany
etc	itp
eternal	wieczny
ethics	etyka
evaluate	ôcyniać
evaluation	ôcyna
even	rōwny
