a	Jun
between	kyxol
beverage	k'wab'aj
beyond	mastz´u´n ch´ix
Bhojpuri	Bhojpuri
bias	tze´n n-xi txalene
biased	laqil
bicycle	chejqanb'il
big	nimin
big	nmaq
big	ma´
bike	chejqanb'il
bill	lu´n tun tokx q-chjon
bind	mojb'al
bird	pich
birthday	ab'qi
bit	ch'i'n
bite	xjak'al
bite	tx'a'l
bite	xjak'il
bitter	k´a´
black	q'aq
black	q'eq
blade	qesb'il
blame	tpaja
blame	pajb'al
blank	saq´
blanket	q-chamar
blast	poq'j
blend	simol
blend	smol
bless	k´i´wil
blessed	ky´iwlal
blessed	ky´i´wlal
blessed	k´i´wil
blind	mox
bliss	k'iwlab'il
block	jpul
blood	chiky´
blood	chik´el
bloom	b´echil
blow	n-el poq´le
blue	xq'ilin
blunt	jun lu´n desafilado
board	mujb´el
boat	mak´ox
body	xmilalb'aj
boil	loq'lol
bold	q´aq
bond	tkʼujlabʼil
bone	b'aq
book	uj
boost	matijset
booster	mojel
boot	chunxjab´
boots	chunxjab´
border	tx´an b´e
bore	uljil
bored	q-watl
boring	ky´aj
boring	altwinqal
born	itz´jil
borrow	qmajin
boss	nejenil
both	k´ab´íl
bother	iplaj
bottle	lmet
bottom	kub´il
bottom	tjaq´
bought	ma loq´in
bounce	lipel
bound	tzyu´n
boundaries	tiʼchaq mitiʼ
bow	tokixpo'tz
bowl	tk´wel
box	kax
boy	q´a
boyfriend	xmoxil
bracelet	ti q'ob'aj
brain	xoqxi´n
brain	jolin
brain	jolon
branch	jun t-q´ob´
brand	techel
brave	tx´u´jil
breach	mi xpon b'aj
bread	twamo´s
bread	xb´ukwa
bread	tx´i´l
break	laqil
breakfast	wa'l
breast	mix
breath	xew
breathe	xewaj
breathe	xewb'aj
breed	ch´iysal
breed	a´lal
brick	xkyaqloq´
bride	xmoxb'il
bridge	q´a´jan
bridge	q´anjin
bridge	q´a´j
brief	ch'inin
bright	qopb'l
brilliant	qoqb'il
bring	q´intza
bro	tx'ibin
broad	nim toj
broadcast	yek'il
broadcast	q'olte
broke	ma laq
broken	xlaq
broom	tz´isb´il
brother	itz´inb´aj
brother	atzikyb´aj
brother	xib´aj
brother in law	b´alak
brother in law	b´aluk
brought	aq´untl
brought	aq´un
brush	tx'ajil b'aq'
bucket	tb'el
buddy	tuk´il
buddy	xkomp´it
buddy	t-xb´oj
budget	jte t-wi´
bug	ma chi qe tzaqje
build	txakb´et
build	b´inchil
building	nimja
building	wa´linja
built	ma b'inchet
bulk	iqtz
bull	wakx
bully	b'iyol xjal
bump	iqtz
bunch	ktxij
bundle	b'laq'
burden	Iqal
burden	isq'ul
burden	iqil
buried	mq'un
burn	patil
burst	ma tzel poq´j
bury	maqul
bury	muqil
bus	k'uxb'il
bush	txu'l
business	k´ax
bust	t-jaq´ t-qule
busy	tla amb´il
but	me
butter	txamanil
butterfly	pak'il
button	natob'
buy	loq´al
buy	laq´ol
buy	loq´il
by	ch´ine
by	ch´ini
by	ch´inrtz´
by the way	naq' sik'wal
bye	wexa
cabbage	kolx
cabbage	kulix
cabinet	kax
cage	tja txkup
cake	pastel
calf	notz'
call	yolb´ilte
call me	ch´in tyolb´tza
called	k'alil
called	txokil
called	txakol
calm	chewsil
came	ul
came	ma tzul
can	jaku
can	ja
can	b´antel
can't	lay b´ent
Cancel	layt
Cancel	okxju
cancer	q'ayab'il
capable	b´an
capacity	b´an tu´n
caption	nim yol
capture	ma tz'yet
car	carro
career	oqe´lan
career	oqelb´aj
career	oqelbp´il
careful	cheb´e taj
carefully	chab'a
careless	xi k'ayin
caring	tk'ujlab'il
carpenter	ajtze´
carpet	b'etb'il
carrot	maman
carrot	q'anitzaj
carrot	q'anjil
carry	q´inxa
carry on	lejet
carry out	b'inchal
case	ja n-chi ku´xe lu´n
cash	pwaq
cast	aye elenco kye xjal
castle	ja
casual	junjen q´ij
cat	wix
catch	tzuyil
catch	tzyul
category	ch'uq
cattle	alimil
caught	ma tz´yet
cause	tu´n
caution	k´ayinxa
cautious	kayil tumil
cave	jul
cease	okx
ceiling	yek´b´itz
celebrate	iky´sab´itz
celebrate	iky´saj q´ij
cell	tnitx'il k'ul
center	tmij
center	niky´aj
century	jok'al ab'qe
cereal	wabʼj
ceremony	yuxhil
certain	junjen
certainly	ex iktzen wen
certificate	uʼj
chain	aq'il
chair	q'uqb'il
chair	q'a'jtz
chance	anb´il
change	tx´exb´il
chaos	i´l
character	t-kayb´ajtz
characteristics	kymod
charge	iqatz
charity	mojel
charming	tzalaje
chart	techel
chase	lajol
chat	lajil
cheap	miya´wi´yal
cheat	sb´ul
cheating	yolin t-xuʼjil tukʼil junt
check	xq´uqil
cheek	txaq'tzi'
cheer	tzalajb´il
cheerful	tzalajsb'il
cheerful	ntzalaj
cheers	b´a´n
cheers	chwiqlal
cheese	kyes
chemistry	b´inchel q´anb´el
cherish	laq´il
chest	qanb´el
chew	tx'a'l
chew	k'xul
chew	b'e'l
chicken	eky'
chicken	txuxu'l
chief	tejil
child	kw´al
childhood	k'walil
children	k'wal
chill	chew
chimneys	ob'aq
chin	xpetz
chocolate	tz´ub´aj kyikyiw
choice	sk´ob´il
choose	sk´ol
chop	ch´yon
chores	tun tku q-b´inchen
chubby	q'es
church	tja manb´aj
cinnamon	canel
circle	se´w
circumstances	aye lu´n n-chi b´ajte
citizen	ajchojil
city	tnam
claim	qanixa
claim	xjelinxa
clarify	spiky'eb'il
class	t-clase
clay	ch'ax tx'o'tx'
clean	saq
clean	sjanin
clean	xnul
clear	b´a´n
clerk	ajtz'ib'
clever	b´a´n b´isen wen
client	loq'il
cliff	xaq
climate	na´ltx´otx´
climb	q-jay
clingy	q'lak'
clingy	ch'aq'
clock	ajlab´il amb´il
close	miltz´ul
close	jpul
close	lamol
closet	k´ub´b´il
cloth	b´u´x
clothes	ijb´aj
cloud	muj
cloudy	at muj
clown	payas
clue	kol
clumsy	mib´e tu´n
cluster	chmoj xjal
coach	xjal yek´el
coal	txan q'a'l
coast	mlaj
coat	q-sueter
coffee	k´ape
cognitive	cognitivo
coincidence	kanet
cold	chew
collapse	ma ku yutx´j
collar	qul
colleague	tuk´il
colleague	xkomp´it
colleague	t-xb´oj
colleagues	t-xb'oj
collect	b´uyil
collection	b'uyil
college	xkomp´it
color	tk'wa'
colorless green ideas slept furiously	chin laqe tin txuye
colour	tk´wa´
column	tb'aqil ttzal i'jb'aj
comb	xweb'
combination	mojb'al
combine	junx
come	tzaja
come	we tzaja
come here	tzaja tzala
come on	q'oya
comfort	pon tkʼuʼj
comfortable	b´a´n
coming	juntl
coming soon	chixtil
command	chq'ol
comment	xim yol
commercial	k´ayb´il
commission	taqʼun
commit	comprometerse
commitment	jtoj tun tu´le
committed	comprometido
commodity	k´ax
common	axu
communicate	q´umol
communication	yolil
community	tnam
commute	kal
companion	txkompi't
compare	loq´al
compare	loq´il
comparison	mojb'et
compassion	qʼaqʼbʼil qkʼuʼj
compassionate	qʼaqʼin tkʼuʼj
compatible	ikq´ex
competent	kbʼantel tten
competition	b'a'nxnaq'tz
competitive	mas bʼaʼn
complain	b´ajsal
complaint	tyol tiʼj juntl
complement	tmoj
complete	Tz´aqali
complete	Tz´aqli
completely	akax
complex	cuest
compliance	tze'l twitz
complicated	ch´u´x
compliment	tz´el twitz
comply	el twitz
composition	tbʼinchbʼen
compound	at toj
comprehension	keleltnik'
comprehensive	mojb'ab'il
compromise	tun txi b´inchet
compulsory	sq´uin
computer	ajnab´il
concentrate	ximele
concept	t-kayb´ajtz
concern	ti tzulo
concerned	melj
concert	ch'uq xjaal
conclusion	iktzentzje
condition	axexje
conditions	junjun tiʼchaq
conduct	t-kayb´ajtz kywutz xjal
conference	atlu
confess	q'mal
confidence	q'uqb'il k'u'j
confident	ax
confirm	q'mal tq'anil
conflict	q´oj
confused	ma qe tzak'j
confusion	najil
congrats	tzalajsal
congratulation	tzalajsal
congratulations	tzalajsb´il
conjunction	ch'uq
connect	mojb'al
conquer	tkubʼ tiʼj
conscious	tenab'il
consciousness	qnab'il
consent	chuch´i´
consequences	ti kb´ajel
conservation	laj
consider	ku tz´ulo ku tx´imina
considered	klo'n
consist	techel
consistency	majx
consistent	jun lu´n n-xi b´inchet junjen q´ij
constant	q´achq´al
constantly	at ju
construction	b´inkab´il ja
consume	b'ajsal
consumption	b´ajsal
consumption	molj
consumption	b´ajsil
contact	tzyul
contagious	b'ajo'k
contain	at toj
contains	tten
contemporary	ja'lin
contempt	ik´al
contempt	ik´il
content	b´ixnaq´tz
contest	conrus
context	aju yol
continent	a iq´in tun
continue	lojonxa
contract	twi´ aq´untl
contrast	junxitl
contribute	chojil
contribute	chjol
contribution	onb'il
control	tkawbʼil
controversial	wul
convenient	tu´n b´a´n
conversation	tx'olb'al
conversation	lajiñ
convert	kjalb'iyan
convey	chik´il
convince	kub´ tuj twitz
convinced	mikb'el ti'j
cook	b'nchal wab'j
cooking	b´inchal wabj
cool	xbajin
cooperation	mojil
cope	weʼ kywitz
copper	kob'r
core	tq´anal
corn	xin
corner	b'utx'
correct	tb'anil
cost	twi'
costume	xnb´alamb´alil
cottage	ja
cotton	noq'
couch	q'uqb'il
cough	qulb´aj
cough	sjol
cough	tzjo´l
could	ku tz´ulo
council	chemb'il
count	ajlall
count	ojla´n
counter	yek´il k´ax
country	tnam
countryside	k´ul
couple	junjen
courage	tx'ujil
course	xnaq´ta
court	jol
court	amj
courtesy	tbʼanel xjal
cousin	chojb´al
cousin	kotzalalb´il
cover	maqsil
cow	wakx
coward	ma ja x'ob'
crab	chap
crab	chop
crack	laqin
crap	yaq
crash	punil
craving	tk'ok'jal
crawl	k´ol txakal
crawl	k´e´b´il
crawl	txakil
crazy	xo'j
crazy	Swat
create	nab'lilte
create	b'nchalte
creative	t-b´anex b´isen
credit	q-k´as
creep	ob'il
creepy	klelin
crew	nimxix
crime	il in bʼant
cringe	ch´ixil
cringe	ch´ixwel
crisis	mintiʼxix kypwaq
criteria	t-ximbʼetz
critical	ilx ti´j
criticism	yolintoq nya bʼaʼn kyiʼj txqantl
crop	awaj
crops	awal
cross	iky´ix
cross	ikyi´t
cross	ikk´xil
crow	joj
crowd	txqan xjal
crowded	jun xjal atestado
crown	coron
crucial	cruacial
cruel	xkyaqk'u'j
cruise	bark
crush	yuq´el
cry	oq'il
cuddle	tz'ul
culture	abrazos
cunning	tzeʼn jaku bʼant
cup	k'wab'il
cupboard	k´ub´b´il
curb	wa'b'il
cure	q´anil
curfew	tyeja tjaya
curiosity	tuʼn tel mas nnikʼe tiʼj.
curious	b´isel
curly	coloch
currency	se´pwaq
current	ak´a´j
currently	a jalin
curse	q'anil toj twi'
curtain	txab'alaninja
cushion	q´awej
custom	xkanob'il
custom	tzejxb'alin
customer	loq´el
customs	aduanas
cut	qesil
cute	tb´abil
cycle	amb'al
dad	tata
dad	tat
dad	mamb´aj
daddy	tat
daily	junjun q'ij
dairy	ta'l imaj
dam	tzyu'n
damage	yajil
damage	yajilte
damn	q'anil toj twi'
damp	xb'umb'uj
dance	b'ixil
danger	tzaj jun nya bʼaʼn
dangerous	taq'wix
dark	qlolj
dark	qtakin
dark	qlolaj
darling	n-xujele waje ti´j
dash	tzok'
data	nim toklen
date	tajlal
date	tajlalq´ij
daughter	alib´aj
day	q´ij
dead	kyimna
dead	kyimni
deadline	tmakb´il q´ij
deaf	chk´in
deal	xi q-b´inchen
dear	tal
Dear All	xb'oj
Dear Customer	Samel Xjal
Dear Parents	eyeq´iye manb´aj
Dear Sir	xb'oj
Dear students	eyeq´iye k´uxun
Dear Team	eyeq´iye wuk´il
death	kyimni
debate	yolin tiʼj
debit	tz'el q'in
debris	tz'is
debt	k´as
decade	laj ab'qi
decay	ma b'aj
deceased	ma kyim
deceive	sb'ul
december	tkalaxxjaw
decent	b´a´n
decide	n-xi t-b´isen
decided	txi b´iset
decision	b´isel
deck	maqsil
decline	ik'il
decrease	qelil
dedicated	xonk'u'j
dedication	aq'unal tij
deed	tz'b'b'en
deep	nim t-xe'
deer	jun-venado
default	estzen tu´n
defeat	ma k´ub´
defend	kolil
define	ikja
definitely	iktzen
definition	tzen kxele
degree	ab'q'i xnaq'tz kol
delay	ma q'et
delayed	yaj
delete	siky'il
deliberate	ma kut b'isen
delicate	k´uw
delicious	k´o´kj
delight	oquinil
delighted	k´ujlal
deliver	q´ot
deliver	q´ol
delivered	q'olte
delivery	ma chin tza je q'olte
demand	b´ajsal
demanding	amlil
democracy	tiptnam ex numb´il
democracy	nak´b´il
democracy	txub´txaj anq´ib´il
demon	ju'o
demonstrate	yek´b´il
denied	ma ju ewin
density	ch'uxh
dentist	q-anil eyb'aj
deny	lay
department	te tnam
departure	ma txi´
depend	k'okel
deploy	loch´il
deposit	n-okx
depressed	bisin
depression	bis
depth	txe´
describe	q´mantza s´en
description	t-kayb´ajtz
desert	n-ti´ at toj
deserve	leq´
design	b´inchel
designation	tqʼoʼn
desire	ajb´il
desk	mex
desk	tz'ib'b'il
desk	también
despair	toj kʼixkʼoj
desperate	tunx n-b´isenx
despite	t´un pitzun
dessert	n-ti´ at toj
destination	tun q-kanen
destiny	kpon
destroy	ch´uqal
destroy	q´uchil
destroy	yuch´il
destruction	tx'uyil
detail	junjun tiʼchaq
details	jun tiʼ
detect	tel naj qnikʼ
determination	jte´ qaj ti´j
determine	ma pon b´aj
determined	tajxex
devastated	chunil
develop	b´inchel
developed	bʼinchaʼn
development	ch'isb'il
device	kxb´il
devil	taj wil il
devoted	tililxix
Dhivehi	Dhivehi
diabetes	diabetes
diarrhea	k´uj
diary	chijtl
dictionary	pujb´ilyol
did	ma ku tbinchan
die	kimni
die	kim
died	kyimni
diet	kyyoʼn xjal weʼyaj
difference	junxitl
different	ju´nxil
different	junxil
difficult	kyuw
difficult	ch´ux
dig	lukal
dignity	t-dignidad
diligent	xhtij
dinner	w'al
dip	jk'om
direct	qʼanchaʼl
direction	janejenel
director	nejenel
dirt	tz´il
dirty	tz'i'l
dirty	q'ux
disable	anmi
disabled	anmi
disappear	najsil
disappointed	q-k´e tun q-kayen ti´j
disaster	i´l
discard	xol
discharge	iqal
discharge	q´lte
discipline	nak´b´il
discover	jolil
discover	jalol
discrimination	iq'il
discuss	yolil
discussion	wul
discussion	yasil
discussion	ch´otjil
disease	yab´
diseases	yab'il
disguise	ewil
disgusting	nya´txu´txjal
dish	le'wlaq
dishes	le'wlaq
dismiss	k'awil
dispatch	k'ayil
display	yek'al yek'il
disposal	tz'is
dispute	txi tiret
distance	jte´ q-xol
distinct	junxit
distinguish	q´inchil
distress	b'is
distribution	le´l
distribution	sipil
district	distrito
disturb	ky´elet
disturb	yekil
ditch	jul
dive	jilil
diverse	tixch'aq'
diversity	chukchaq anq´ib´il
divide	sipil
divide	palte
divine	ponix
divorce	ma ku p'an
dizzy	yupaj
dizzy	witzb´aj
do	jaku
do you	ay
do you love me	in laqa wije
doctor	q´anel
doctor	q´anil
document	u'jil
does	ma´y
does	may
doesn't	mi'n
dog	tz´yan
Dogri	Dogri
doing	b´inchal
doll	la's
domain	b'antil
domestic	q-jay
dominant	kyuw
don't	lay
don't	mixti
don't	tla
Don't worry	nan tzaj txima
donate	oyil
done	b´a´nmaj
donkey	bur
double	k´ab´e
doubt	xjel
doubt	xka´mil
doubt	q´uq´il
dough	q'otj
down	kub´l
download	kub'sil
draft	q´uchb´il
drag	jk'ul
drain	jutzx
drain	jutzl
drama	iltzeb'
draw	tilb´ilal
drawer	kyajb'utx'an
drawer	kax
drawing	ilb'ilal
dread	xtalb´il
dream	witziky´
dress	chuy
drill	laq'il
drink	k´wab´aj
drive	manejarel kxbil
drop	txat
drop	t´un t
dropped	ma ku tzaq'
drought	tzqij
drunk	tx´ojtenil
dry	tzqi
dry	txajan
duck	patz
dude	xjel
dude	xk'amil
dude	q'uq'il
due	toj
due to	t´un tpaj
dull	tzaj q-watl tu´n
dumb	men
dumb	sma'k
dumb	me
dump	axtok
dump	ax
duration	jteʼ amb'il
during	tze´n
dust	quq
dust	qupj
dust	puj
duty	k'as
dwell	najal
dying	kyimni
dying	kim
each	jun jun
each other	tz'oka
eager	n-lipen xjal
eagle	t´iw
ear	xkyimb´aj
earlier	q'ontz amb'il
early	qlax mo qlixje
earn	kanb'il
ears	xkyimb´aj
earth	tx´o´tx´
earthquake	kyaqnab´
ease	q-facilidad
easily	nya kuj
east	a la
easy	tu´nxtib´
eat	wa´l
eat	wal
eating	wa´l
economic	pwaq
economy	pwaq
edge	ja n-el b´aj
edit	b'nchu'j
education	xnaq´tzb´il
effect	n-b´aj ti´jxe
effective	tbʼanel
efficiency	bʼant tuʼn
efficient	b´an b´inchen
effort	ipal
egg	jos
eggplant	xpenitzaj
ego	nimsan tibʼ
eight	wajxaq
eighteen	wajxaqlaj
eighty	kyajk´al
either	maqo
elaborate	b´inchal
elbow	tch'eq' q'ob'aj
elder	ni min xjoq´
elderly	nimin
elegant	q´tik´
element	tz'aqsb'il
elephant	elefant
eleven	b´elaj
eligible	jun lu´n kab´ale token
eliminate	tkubʼ naj
else	nimx
else	q´otzl
embarrassed	tx'ixwil
embarrassed	ch'ixil
embarrassed	ch'ixwel
embarrassing	chʼixwi
embrace	Tz´ulil
embrace	chlel
emerge	ma ja b´ian
emergency	nya bʼaʼn
emotional	tuʼn ttzalaja
empathy	ximana
emphasis	enfasis
emphasize	yekʼinxa
employee	majin
employees	majin
employer	majin
employment	aq'untl
empty	mishti toj
empty	amil
empty	miti toj
enable	kuyil
encounter	jyo´n
encounter	ma tzel yal
encourage	txi q-mojen
end	ma b´aj
endangered	toj taq'wix
endeavor	kyuw
endurance	kuj
endure	tipa
enemy	ajq´oj
energy	tipumala
engage	kxel b´inchet
engaged	taj tun tok
engagement	jun compromis
engine	rum
engine	juk'ul
engineer	ajtzqilb´inch
English	me'x yol
enhance	b´antyil
enjoy	taje
enormous	nintzk'u
enough	okxu
ensure	axix
enter	okx
entertainment	q-kayb´etz
enthusiasm	tzalajb´il
enthusiastic	tzalajsb'il
enthusiastic	ntzalaj
entire	junka
entitled	tuk´il toklen
entity	ch'uq xjaal
entrance	oktzil
entrance	okx
entrepreneur	xjal n-b´inchen jun lu´n saq
envelope	tib'aj
envelope	tb'el
environment	twitz tx´o´x
envy	yaqil
envy	xkyaqtze'l
envy	xjiq'al
epic	mintiʼ tzaj xobʼ
epidemic	yab'il
equal	iikx
equipment	ky-lu´n
equity	junx
equivalent	junx
eraser	xqechb'il
error	nya bʼaʼn
escape	oqil
escape	oqel
especially	extzen axexje
essay	xnik'chal
essence	k'ok'jil
essential	ilx
establish	tun tok
established	kxel o´n
estate	q'ina
estimate	nxi q-b´isen
estimated	t-xb'oj
eternal	lay b'aj
ethics	tb'anel
evaluate	niky'xjelil
evaluation	xjelb'il
even	ex
even though	extzen
evening	aq´b´il
evening	qoniky´an
evening	qniky´in
event	jun lun n-b´aj
eventually	ex junjen maj
ever	ju majku
every	junjun
everybody	tkyaqil
everyone	tyaqilx
everything	tkyaqil
evidence	tech'il
evil	tajaw il
evil	tajwil il
evolution	tzajni qoʼ
evolve	tx´ixpul
Ewe	Ewe
ex	o tz´ik´
exact	ikja
exactly	iktzen
exam	ka'yib'il
examine	ka'yib'il
example	techel
exceed	tel qbʼis
excellent	ponex
except	me mi´ne
exception	okxa
excess	nimxix
excessive	nimxix
exchange	tx´exb´il
excited	n-lipen qanb´el
exciting	n-qo tzejen tu´n
exclusive	naq oʼkx
excuse	najsama
excuse me	najsama
execute	b´inchalte
execution	tkubʼ bʼiyoʼn
executive	jun ejecutivo
exercise	aq´net
exhaust	oqil
exhausted	siktel
exhibit	mujle
exhibition	yekb´il
exist	i'tz'
existence	at
existing	atixix
