veháš	a little
báhtter	battery
doarru	battle
luokta	bay
leahkit	be
leage várrugas	be careful
riddu	beach
suonjar	beam
bábut	beans
guovža	bear
guoddit	bear
skávžá	beard
mearkkašupmi	bearing
rumašguoddu	bearing
beahtu	beast
časkin	beat
dearpat	beat
čáppis	beautiful
čábbodat	beauty
šattai	became
danin go	because
šaddat	become
seaŋga	bed
oađđinlatnja	bedroom
mieđašeadni	bee
gusabiergu	beef
leamaš	been
vuolla	beer
ovdal	before
álggii	began
álgit	begin
álgu	beginning
bealis	behalf
láhttet	behave
láhttenvuohki	behavior
láhttenvuohki	behaviour
duohkin	behind
leahkin	being
osku	belief
jáhkkit	believe
čoavji	belly
gullat	belong
ráhkis	beloved
vulobealde	below
boagán	belt
peaŋka	bench
njahkat	bend
sojahit	bend
vulobealde	beneath
ávkkáiduvvat	benefit
ovddut	benefits
bálddas	beside
lassin	besides
earret	besides
buorimus	best
olu lihkku	best of luck
dearvvuođaiguin	best regards
buoret	better
gaskka	between
juhkamuš	beverage
badjel	beyond
bhojpurigiella	Bhojpuri
bealátvuohta	bias
bealálaš	biased
sihkkelat	bicycle
fállat	bid
stuoris	big
sihkkelat	bike
rehket	bill
čatnat	bind
loddi	bird
šaddanbeaivi	birthday
bihttá	bit
gáskit	bite
gáskkástat	bite
bahča	bitter
čáhppat	black
dearri	blade
vihki	blame
sivahit	blame
guoros	blank
govččas	blanket
bávkkiheapmi	blast
vilggodahttit	bleach
seaguhus	blend
buressivdnidit	bless
buressivdniduvvon	blessed
čalmmeheapme	blind
ávdugasvuohta	bliss
dahppat	block
hehttehus	block
varra	blood
runidit	bloom
bossut	blow
alit	blue
bastteheapme	blunt
njuolggočoalat	blunt
fiellu	board
stivra	board
fanas	boat
gorut	body
duoldat	boil
duostil	bold
čanas	bond
dákti	bone
girji	book
várret	book
doarjja	boost
beavttálmahttit	boost
beavttálmahtti	booster
stevvel	boot
stevvelat	boots
rádjá	border
dolkadit	bore
bovret	bore
láittastuvvan	bored
láittas	boring
riegádan	born
luoikkahit	borrow
hoavda	boss
goabbáge	both
váivvidit	bother
boahtal	bottle
vuolit	bottom
osttii	bought
galkat	bounce
čadnon	bound
ráját	boundaries
dávgi	bow
fáhtta	bowl
kássa	box
gánda	boy
irgi	boyfriend
giehtačikŋa	bracelet
vuoigŋašat	brain
oaksi	branch
gálvomearka	brand
jállu	brave
rihkkumuš	breach
láibi	bread
rihkkut	break
boddu	break
iđitbiebmu	breakfast
čižži	breast
vuoigŋat	breath
verb	breath
vuoiŋŋahat	breath
vuoiŋŋat	breathe
nálli	breed
lassánit	breed
tiila	brick
moarsi	bride
šaldi	bridge
oanehis	brief
šearrat	bright
fihtolaš	bright
jerggolaš	brilliant
buktit	bring
viellja	bro
govdat	broad
sátta	broadcast
ruđaheapme	broke
čuovkanan	broken
luvdá	broom
viellja	brother
láža	brother in law
máhka	brother in law
sivvjot	brother in law
buvttii	brought
ruškat	brown
gusta	brush
spánnja	bucket
skibir	buddy
budjeahtta	budget
divri	bug
hukset	build
viessu	building
huksii	built
mássá	bulk
vuoksá	bull
givssideaddji	bully
oktiibeaškkiheapmi	bump
beaškkehit	bump
gihppu	bunch
joavku	bunch
gihppu	bundle
noađđi	burden
lástet	burden
hávdáduvvon	buried
buollat	burn
boaldit	burn
beađđašit	burst
hávdádit	bury
busse	bus
miestta	bush
fitnidat	business
ohca	bust
cuvket	bust
diliheapme	busy
muhto	but
vuodja	butter
beaiveloddi	butterfly
boallu	button
oastit	buy
muđui	by the way
oaidnaleapmái	bye
kálla	cabbage
skáhppe	cabinet
gistu	cage
gáhkku	cake
gálbi	calf
riŋget	call
telefonhállan	call
riŋge munnje	call me
gohčoduvvo	called
ráfálaš	calm
bođii	came
kampánja	campaign
máhttit	can
toassa	can
ii sáhte	can't
Bisset	Cancel
borasdávda	cancer
sáhtteš	capable
geassu	capacity
oaivegávpot	capital
kapitála	capital
govvateaksta	caption
giddet	capture
biila	car
bargokarriera	career
várrugas	careful
fuolalaččat	carefully
fuolaheapme	careless
eahcalaš	caring
snihkkár	carpenter
láhtterátnu	carpet
rušpi	carrot
guoddit	carry
joatkit	carry on
čađahit	carry out
dáhpáhus	case
toassa	case
ruhta	cash
foarbma	cast
neavttárat	cast
šloahtta	castle
lotkat	casual
bussá	cat
dohppet	catch
kategoriija	category
eallu	cattle
dohppii	caught
sudja	cause
dagahit	cause
várrogasvuohta	caution
ávvirlaš	cautious
hoallu	cave
heaitit	cease
gáhttu	ceiling
ávvudit	celebrate
sealla	cell
guovddáš	center
jahkečuohti	century
goikerievnnit	cereal
meanut	ceremony
dihto	certain
sihkkarit	certainly
duođaštus	certificate
láhkki	chain
stuollu	chair
hástalit	challenge
hástalus	challenge
vejolašvuohta	chance
rievdadit	change
káos	chaos
luondu	character
mearka	character
iešvuođat	characteristics
luđet	charge
bearrat	charge
buorredagolašvuohta	charity
šarmerejeaddji	charming
tabealla	chart
vuojehit	chase
čálašit neahtas	chat
čálašeapmi	chat
hálbi	cheap
fillet	cheat
fillen	cheating
dárkkistit	check
dárkkástus	check
nierra	cheek
arvvosmahttit	cheer
arvvot	cheerful
máistte	cheers
vuostá	cheese
kemiija	chemistry
eahccit	cherish
šáhkka	chess
raddi	chest
suoskat	chew
vuončáčivga	chicken
hoavda	chief
mánná	child
mánnávuohta	childhood
mánát	children
galmmihit	chill
čoaskkis	chill
gállu	chill
suovvabohccit	chimneys
gáibi	chin
šuhkoláda	chocolate
válljen	choice
válljet	choose
luoddut	chop
ruovttubarggut	chores
ittis	chubby
girku	church
kánel	cinnamon
gierdu	circle
dilli	circumstances
riikkavuloš	citizen
gávpot	city
čuoččuhus	claim
čuoččuhit	claim
čielggadit	clarify
luohkká	class
láirá	clay
buhtis	clean
čielggas	clear
virgeolmmoš	clerk
vuovdi	clerk
čeahppi	clever
kunddar	client
mielli	cliff
dálkkádat	climate
goargŋut	climb
goavccuheaddji	clingy
diibmu	clock
lahka	close
rádju	closet
lihpar	cloth
biktasat	clothes
balva	cloud
balvái	cloudy
hearvadahkki	clown
cavgileapmi	clue
čuorbi	clumsy
čoahkki	cluster
hárjeheaddji	coach
hárjehit	coach
čitna	coal
riddu	coast
jáhkka	coat
káffe	coffee
kognitiiva	cognitive
soaittáhat	coincidence
galbma	cold
gáhččat	collapse
kráva	collar
bargoskibir	colleague
bargoskihpárat	colleagues
čoaggit	collect
čoakkáldat	collection
logahat	college
ivdni	color
ivnnehis ruoná jurdagat oddet vašis	colorless green ideas slept furiously
ivdnet	colour
ivdni	colour
čuolda	column
čogu	comb
čohkut	comb
kombinašuvdna	combination
ovttastahttit	combine
boahtit	come
boađe deike	come here
ále viša	come on
boađe	come on
jeđđehus	comfort
jeđđet	comfort
hávski	comfortable
boahtimin	coming
boađi boađi	coming soon
gohččun	command
gohččut	command
kommeanta	comment
gávppálaš	commercial
bargogohčus	commission
čatnasit	commit
čatnasupmi	commitment
čatnasuvvan	committed
gálvu	commodity
dábálaš	common
gulahallat	communicate
gulahallan	communication
searvvuš	community
bargomátki	commute
olmmái	companion
fitnodat	company
joavku	company
veardádallat	compare
veardádallan	comparison
oassádallan	compassion
oassádalli	compassionate
oktiiheivvolaš	compatible
gilvalit	compete
gelbbolaš	competent
gilvu	competition
ceavzil	competitive
váidit	complain
váidda	complaint
dievasmahttit	complement
dievasmahttin	complement
dievasmahttit	complete
ollis	complete
oalát	completely
mohkkái	complex
čuovvun	compliance
mohkkái	complicated
rápmi	compliment
rábmot	compliment
čuovvut	comply
čoakkádus	composition
ovttastat	compound
goallossátni	compound
áddejupmi	comprehension
ollislaš	comprehensive
dahkat kompromissa	compromise
kompromissa	compromise
bákkolaš	compulsory
dihtor	computer
guovdilastit	concentrate
doaba	concept
fuolla	concern
guoskat	concern
fuolas	concerned
konsearta	concert
oktiigeassu	conclusion
loahppaboađus	conclusion
konkrehta	concrete
betoŋga	concrete
leiket betoŋggas	concrete
eaktu	condition
eavttut	conditions
láhtten	conduct
konfereansa	conference
dovddastit	confess
iešluohttámuš	confidence
iešsihkkar	confident
nannet	confirm
gaskafearán	conflict
cohcas	confused
seahkánupmi	confusion
lihkku	congrats
lihkusávaldat	congratulation
lihkusávaldagat	congratulations
konjunkšuvdna	conjunction
goallustit	connect
vuolástit	conquer
diđolaš	conscious
diđolašvuohta	consciousness
mieđihit	consent
miehtan	consent
váikkuhusat	consequences
suodjaleapmi	conservation
konservatiiva	conservative
smiehttat	consider
adnojuvvo	considered
čoahkanit	consist
čoahkku	consistency
ovttalágan	consistent
bissovaš	constant
bissovaččat	constantly
obbondávda	constipation
huksen	construction
goluhit	consume
golahus	consumption
váldit oktavuođa	contact
oktavuohta	contact
njoammu	contagious
sisttisdoallat	contain
sisttisdoallá	contains
modeardna	contemporary
badjelgeahččan	contempt
sisdoallu	content
gilvu	contest
konteaksta	context
nannán	continent
joatkit	continue
soahpamuš	contract
soahpat	contract
spiehkastit	contrast
vuostegeahči	contrast
ovdánahttit	contribute
bijus	contribution
kontrolla	control
nággobohciidahtti	controversial
vuogasvuohta	convenience
vuogas	convenient
ságastallan	conversation
genddomaš	convert
jorgalahttit	convert
doalvut	convey
jáhkihit	convince
sihkkarit	convinced
máleštit	cook
koahkka	cook
málesteapmi	cooking
ruovdi	cool
soaččas	cool
ovttasbargu	cooperation
birget	cope
veaiki	copper
váimmus	core
máisa	corn
nurki	corner
riekta	correct
máksit	cost
gollu	cost
bivttas	costume
gilli	cottage
bummolullu	cotton
soffá	couch
gosahat	cough
sáhtášii	could
ráđđi	council
lohku	count
diska	counter
riika	country
dálonguovlu	countryside
bárra	couple
roahkkatvuohta	courage
kursa	course
duopmostuollu	court
gieddi	court
vuollisvuohta	courtesy
belá	cousin
pearbma	cover
gussa	cow
árggan	coward
guoibmái	cozy
reabbá	crab
luoddanit	crack
luoddaneapmi	crack
duodji	craft
baika	crap
bárti	crash
bártidit	crash
hipmu	craving
beahkit	crawl
jalla	crazy
dahkat	create
sivdnidit	create
hutkái	creative
kredihtta	credit
njoammut	creep
hirbmatlaš	creepy
bargoveahka	crew
rihkus	crime
healkkehit	cringe
cringe	cringe
kriisa	crisis
kritera	criteria
kritihkalaš	critical
árvvoštallan	criticism
šaddu	crop
gordnešaddu	crops
rasttildit	cross
ruossa	cross
vuorččis	crow
bahkadas	crowd
veahka	crowd
dievva	crowded
kruvdna	crown
mearrideaddji	crucial
julbmi	cruel
vuodjalit	cruise
mielastupmi	crush
mollet	crush
čierrut	cry
gurká	cucumber
sallut	cuddle
kultuvra	culture
gávvil	cunning
gohppu	cup
vuorká	cupboard
doalahallat	curb
buoridit	cure
dikšunvuohki	cure
olgogielddus	curfew
sáhkkiivuohta	curiosity
sáhkkii	curious
smarffas	curly
valuhta	currency
dáláš	current
dáid áiggiid	currently
garru	curse
láseliidni	curtain
guoddá	cushion
dáhpi	custom
áššehas	customer
duollu	customs
čuohpat	cut
cuohpastat	cut
godjat	cute
jorran	cycle
sihkkelastin	cycling
áhčči	dad
áhcči	daddy
beaivválaš	daily
meieriija	dairy
buođđu	dam
vihki	damage
dubmet	damn
lávttas	damp
dánsa	dance
dánsut	dance
várra	danger
váralaš	dangerous
seavdnjat	dark
ráhkis	darling
sáhcu	dash
dieđut	data
beaivemearri	date
deaivvadeapmi	date
nieida	daughter
beaivi	day
jápmán	dead
mearreáigi	deadline
bealjeheapme	deaf
juogadit	deal
soahpamuš	deal
ráhkis	dear
Bures buohkaide	Dear All
Buorre áššehas	Dear Customer
Buorit váhnemat	Dear Parents
Buorit oahppit	Dear students
Buorre joavku	Dear Team
jápmin	death
digaštallan	debate
debehta	debit
rihpa	debris
vealgi	debt
jahkelohki	decade
mieskat	decay
jápmán	deceased
beahttit	deceive
juovlamánnu	december
seđolaš	decent
merridit	decide
mearriduvvon	decided
mearrádus	decision
deahkka	deck
vátnut	decline
biehtadit	decline
geahppánit	decrease
áŋgir	dedicated
áŋgirvuohta	dedication
dahkku	deed
čiekŋal	deep
goddi	deer
stándarda	default
massin	defeat
massat	defeat
bealuštit	defend
meroštallat	define
áinnas	definitely
meroštallan	definition
gráda	degree
ádjánuššat	delay
ádjánuššan	delay
ádjánuššan	delayed
duššadit	delete
eaktodáhtolaš	deliberate
njuoras	delicate
njálggis	delicious
riepmu	delight
ilosmuvvan	delighted
doalvut	deliver
dolvon	delivered
doaimmaheapmi	delivery
johtu	demand
bearrat	demand
gáibideaddji	demanding
demokratiija	democracy
demona	demon
vihtanuššat	demonstrate
gildojuvvon	denied
coahkkisvuohta	density
bátnedoavttis	dentist
šiitit	deny
juogus	department
vuolgin	departure
luohttit	depend
ávkkástallat	deploy
vurket	deposit
seastu	deposit
šlundon	depressed
šlundivuohta	depression
čieŋalvuohta	depth
govvidit	describe
govvádus	description
sáttomeahcci	desert
ánššášit	deserve
plánen	design
plánet	design
nammadeapmi	designation
áŋggaštus	desire
hipmošit	desire
čállinbeavdi	desk
eahpedoaivu	despair
doaivvuheapme	desperate
fuolakeahttá	despite
bajáluš	dessert
mearrebáiki	destination
vuorbi	destiny
duššadit	destroy
roahppi	destruction
detállja	detail
detáljat	details
áicát	detect
mearrediđolašvuohta	determination
mearridit	determine
mearrediđolaš	determined
jierásmuvvan	devastated
ovddidit	develop
ovddiduvvon	developed
ovdáneapmi	development
rusttet	device
biro	devil
gieris	devoted
dhivehigiella	Dhivehi
diabetes	diabetes
lužas	diarrhea
beaivegirji	diary
sátnegirji	dictionary
dagai	did
jápmit	die
jámii	died
diehtta	diet
erohus	difference
earálágan	different
váigat	difficult
goaivut	dig
liikot	dig
árvvolašvuohta	dignity
viššal	diligent
mállásat	dinner
gástadit	dip
njuolga	direct
njuolgat	direct
guovlu	direction
hoavda	director
duolva	dirt
duolvvas	dirty
vahágahttit	disable
bargonávccaheapme	disabled
jávkat	disappear
behtton	disappointed
fiásko	disaster
bálkestit	discard
bidjat eret	discharge
stivrra	discipline
vuoládus	discount
gávdnat	discover
vealaheapmi	discrimination
ságastallat	discuss
digaštallan	discussion
dávda	disease
dávddat	diseases
beaitit	disguise
fasti	disgusting
reahtta	dish
lihtti	dish
lihttebassan	dishes
hilgut	dismiss
bijadit	dispatch
bidjat oaidninláhkai	display
atnu	disposal
bálkesteapmi	disposal
gižžu	dispute
gaska	distance
sierra	distinct
sirret	distinguish
áŧestus	distress
juogadeapmi	distribution
juohkin	distribution
guovlu	district
muosehuhttit	disturb
goivvohat	ditch
buokčan	dive
buokčat	dive
máŋggalágan	diverse
máŋggaláganvuohta	diversity
juohkit	divide
ipmillaš	divine
earránit	divorce
earráneapmi	divorce
šaddát oaivejorgásii	dizzy
dahkat	do
ráhkistatgo mu	do you love me
doavttir	doctor
dokumeanta	document
dahká	does
ii	doesn't
beana	dog
dogrigiella	Dogri
bargamin	doing
dohkká	doll
domena	domain
ruovttueatnama	domestic
ráđđejeaddji	dominant
ále	don't
ále fuola	Don't worry
skeŋket	donate
dahkkon	done
ásen	donkey
gárihuhttit	dope
duppalastit	double
duppal-	double
eahpádus	doubt
eahpidit	doubt
dáigi	dough
vulos	down
viežžat	download
hábmet	draft
čálisteapmi	draft
vanahit	drag
jakŋadit	drain
drámá	drama
geassit	draw
skoahppa	drawer
devnnet	drawing
hirbma	dread
ballat	dread
niegadit	dream
niehku	dream
gákti	dress
bora	drill
juhkat	drink
juhkamuš	drink
vuodjit	drive
goaikut	drop
goaikkanas	drop
luittii	dropped
gahčai	dropped
goikkisvuohta	drought
juhkaluvvan	drunk
goikkis	dry
vuojaš	duck
bojá	dude
áššáigullevaš	due
dan dihte go	due to
láittas	dull
duihmi	dumb
ruskabáiki	dump
bistin	duration
áigge	during
gavja	dust
geatnegasvuohta	duty
orodit	dwell
jápmimin	dying
juohke	each
nubbi nuppi	each other
movttet	eager
goaskin	eagle
beallji	ear
árat	earlier
árrat	early
ánssášit	earn
bealjit	ears
eana	earth
eatnandoarggástus	earthquake
álkivuohta	ease
álkit	easily
nuorti	east
álki	easy
borrat	eat
boradeapmi	eating
ekonomalaš	economic
ekonomiija	economy
ravda	edge
divodit	edit
skuvlejupmi	education
váikkuhus	effect
beaktil	effective
beaktilvuohta	efficiency
beaktil	efficient
viggamuš	effort
monni	egg
auberšiidna	eggplant
ego	ego
gávcci	eight
gávccinuppelohkái	eighteen
gávccilogi	eighty
goabbat	either
dárkil	elaborate
gargŋil	elbow
boarrásut	elder
boareslágan	elderly
fiinnis	elegant
elemeanta	element
elefánta	elephant
oktanuppelohkái	eleven
gelbbolaš	eligible
elimineret	eliminate
muđui	else
váivášuvvan	embarrassed
givssálaš	embarrassing
fátmmastit	embrace
gávnnahallat	emerge
heahti	emergency
hearki	emotional
empatiija	empathy
deaddu	emphasis
deattuhit	emphasize
bargi	employee
bargit	employees
bargoaddi	employer
barggolašvuohta	employment
guoros	empty
dahkat vejolažžan	enable
gávnnadeapmi	encounter
movttiidahttit	encourage
loahppa	end
áitojuvvon	endangered
rahčamuš	endeavor
gillilvuohta	endurance
gierdat	endure
vašálaš	enemy
energiija	energy
lohpádallat	engage
várrejuvvon	engaged
lohpádallan	engagement
mohtora	engine
inšenevra	engineer
eaŋgalsgiella	English
lasihit	enhance
návddašit	enjoy
hirbmat	enormous
doarvái	enough
sihkkarastit	ensure
čáŋadit	enter
áiggeájanas	entertainment
mokta	enthusiasm
movttet	enthusiastic
ollis	entire
vuoigaduvvon	entitled
ollisvuohta	entity
boađáhat	entrance
fitnodatdoalli	entrepreneur
konfaluhtta	envelope
biras	environment
gáđašvuohta	envy
gáđaštit	envy
epos	epic
epihkalaš	epic
epidemiija	epidemic
dásseárvosaš	equal
biergasat	equipment
govttolašvuohta	equity
vástta	equivalent
sihkon	eraser
feaila	error
báhtarit	escape
erenomážit	especially
essea	essay
luondu	essence
mávssolaš	essential
vuođđuduvvat	establish
vuođđuduvvan	established
opmodat	estate
vurderet	estimate
meroštallon	estimated
jna.	etc
agálaš	eternal
etihkka	ethics
árvudit	evaluate
árvvoštallan	evaluation
juobe	even
vaikko	even though
eahket	evening
dáhpáhus	event
loahpas	eventually
goassige	ever
juohke	every
juohkehaš	everybody
buohkat	everyone
visot	everything
duođaštus	evidence
bahá	evil
evolušuvdna	evolution
ovdánit	evolve
ewegiella	Ewe
ovddeš	ex
aiddolaš	exact
justa	exactly
iskkus	exam
dutkat	examine
ovdamearka	example
mannat badjel	exceed
erenomáš buorre	excellent
earret	except
spiehkastat	exception
liigi	excess
badjelmearálaš	excessive
lonohallan	exchange
movtta	excited
mokta	excitement
gelddolaš	exciting
oktovuoigaduvvon	exclusive
dahkuágga	excuse
ándagassii	excuse me
čađahit	execute
steavlideapmi	execution
čađaheapmi	execution
direktevra	executive
hárjehus	exercise
hárjehallat	exercise
váibadit	exhaust
fámoheapme	exhausted
čájáhallat	exhibit
čájáhus	exhibition
leahkit	exist
leahkin	existence
leahkki	existing
vuolgit	exit
viiddidit	expand
vuordit	expect
vurdojuvvon	expected
golut	expenses
divrras	expensive
vásáhus	experience
vásihit	experience
iskan	experiment
áššedovdi	expert
boarásmuvvan	expired
čilget	explain
čilgehus	explanation
ávkkástallat	exploit
dutkat	explore
olggosfievrridit	export
oainnihit	expose
oidnosis	exposed
almmustuhttin	exposure
hoahppo-	express
ovdánbuktit	express
dadjanvuohki	expression
guhkidit	extend
guhkiduvvon	extended
maŋideapmi	extension
viidodat	extent
olgguldas	external
jávkan	extinct
badjelmearálaš	extra
čájánas	extract
eahpedábálaš	extraordinary
ekstrema	extreme
hui	extremely
čalbmi	eye
čalmmit	eyes
tiŋga	fabric
fiinnis	fabulous
deaivat	face
ámadadju	face
álkidahttit	facilitate
sadjji	facilities
biergasat	facilities
lágádus	facility
fákta	fact
fáktora	factor
fabrihkka	factory
duohtadieđut	facts
ivnnehuvvat	fade
goldnat	fade
eahpelihkostupmi	fail
eahpelihkostuvvat	fail
eahpelihkostuvvan	failed
eahpelihkostupmi	failure
jámálgit	faint
čuovgat	fair
ávddalaš	fair
oalle	fairly
háldáš	fairy
jáhku	faith
oskkáldas	faithful
fake	fake
vearistuvvon	fake
gahččan	fall
gahččat	fall
boastut	false
bivnnutvuohta	fame
oahpis	familiar
bearaš	family
nealggiheahti	famine
beakkálmas	famous
fánsa	fan
bosan	fan
sihtat	fancy
fiinnis	fancy
fantásttalaš	fantastic
guhkkin	far
earrodearvvuođat	farewell
eanandállu	farm
boanda	farmer
geasuheaddji	fascinating
lávva	fashion
johtil	fast
buoidi	fat
goddi	fatal
galgamuš	fate
áhčči	father
váibasat	fatigue
vihki	fault
jiellat	favorite
bálvalus	favour
jiellt	favourite
ballu	fear
ballat	fear
doalut	feast
dolgi	feather
uvja	feather
iešvuohta	feature
gávdnot	feature
iešvuođat	features
guovvamánnu	february
dolkan	fed up
máksu	fee
biebmadit	feed
máhcahat	feedback
dovdat	feel
dovdu	feeling
juolggit	feet
njeaidit	fell
verdde	fellow
duohpi	felt
njiŋŋálas	female
nisson-	female
áidi	fence
šattolaš	fertile
festivála	festival
viežžat	fetch
feber	fever
moadde	few
uhcit	fewer
irgi	fiance
fikšuvdna	fiction
gieddi	field
vilddas	fierce
vihttanuppelohkái	fifteen
vihttalogi	fifty
doarrut	fight
doarru	fight
doarrun	fighting
jurđđašit	figure
nummir	figure
čoavdit	figure out
fiila	file
deavdit	fill
dievva	filled
filbma	film
duolvvas	filthy
viimmat	finally
ruhtadoallu	finance
ekonomalaš	financial
gávdnat	find
čielggadit	find out
fiinnis	fine
sáhkku	fine
suorbma	finger
geargat	finish
loahpahit	finish
gárvvis	finished
dolla	fire
fásta	firm
fitnodat	firm
vuosttas	first
