a	kou'n
architect	sua kplan fuɛ
architecture	sua pklanlɛ nin'gue mu
archive	fluwa n'ga be sieli be lã
are	be ti
are you	a ti
are you busy	a sa wo like nu
are you married	alɛ bian
are you married	alɛ bla
are you married or single	wa ja an'zɛ anan ja man
Are you still there?	Atɛ wo lɛ
are you there	a wo lɛ
area	assiɛ bue
area	lika
argue	kan
argue	yijɔ
argument	n'dɛ kanlɛ
arise	jasso
arise	jasolɛ
arm	sa
army	son'ja
around	iwun
arrange	siessie
arrangement	be ti be wun anien
arrival	balɛ
arrive	ba
arrived	bali
arrogant	e yo wu kpa
arrow	tʃua waka
art	like klɛlɛ
article	journali
artificial	n'ga sran yoli
artist	jue sro fuɛ
artist	jue tofuɛ
as	kɛ
as long as	i tin'nin su
as well	ekun
as well as	kɛ yo su
ash	us'rin
ashamed	yan n'zuen
ask	wussa
asked	ussa
asleep	lafi
aspect	i wla
Assamese	Assamais
assault	utre
assembly	be n'gba
assertive	n'ga be kan
assess	nian nu
assessment	bu i akun'nda kpa
asset	n'ga si i yo
assets	i like n'ga flɛ sran mu
assign	n'ga be fa man kɛ a yo
assignment	djuman n'ga be'in a yo
assist	wuka i
assistant	sran n'ga su n'su
associate	be bobo be wun
associated	ye bobo ye wun
association	societe
assume	kpli'n su
assumption	akun'nda manlɛ
at	lɔ
at least	ikan
ate	dili
athlete	spɔri yofuɛ
attach	kiki
attached	tʃitʃi
attachment	tʃitʃi lɛ
attack	bo be
attempt	n'ga e kundɛ
attend	yoli
attendance	be wolɛ
attention	si wɔwun ye
attitude	tranlɛ nu
attract	flɛ
attraction	tʃoinlɛ
attractive	n'ga flɛ sran mu
attribute	fa man
audience	itilɛ
august	utu
aunt	tanti
aunt	baba ni manmi be niãn bla
aunty	tanti
authentic	n'ga ti i kpa
author	sran n'ga yoli
authority	awa su kpin mu
autumn	i viwlɛ
autumn	afuɛ i bue nu
available	ewolɛ
average	sɛssɛ
avoid	wondi
awake	ti n'gue
award	min i like
aware	si nu
aware	si sɔ
awareness	akun'nda manlɛ
away	numanlɛ
awesome	kpa sɔ’n
awful	kanyi
awkward	ye nuan yo kun
Aymara	Aymara
baby	ba nonwan
bachelor	sran n'ga wa ɲan universite diplomi
back	si'n
background	nin'gue n'ga a suanli
bad	tɛ
bag	bajɛ
bait	n'ga be fa tra jue
bake	ton
bake	be i
bakery	kpanhu ton'wlɛ
baking soda	are san'mlin
balance	sika n'ga wo a kunti su
ball	banon
Bambara	Bambara
banana	manda
band	i paplanu
bang	atʃolie
bank	banki
Baoulé	Wawle
bar	n'zan non'wlɛ
barely	iʃra
bargain	di igua
bark	bo
barley	avie n'ma
barrier	n'ga kata afien
base	ibo
based	e tran lɛ
basement	assiɛ bo
basement	assiɛ
basic	i bo
basically	i bo su
basil	waka baziliki
bastard	szua
batch	ikula
bath	wun'zi
bathroom	abialiɛ
battery	bateri
battle	utre
bay	n'zue nuan
be	issu
be careful	yo awun ye
beach	jen'n'zue nuanlɔ
beam	like n'ga pkaja okwlɛ
beam	sa'ma
beans	n'ma
bear	wula
beard	akan'za
bearing	iwlalɛ
beast	n'nin
beat	bo i
beautiful	klanhan
beauty	klanhan
became	kaki
because	i ti yɛ
become	kaʃi
bed	lawlɛ
bed	li
bedroom	sua ba
bee	awɛma
beef	nan'ni
been	yoli
beer	n'san
beer	biɛri
before	klikli
began	boli ibo
begin	ibo bolɛ nu
beginning	ibo bo wlɛ nu
behalf	sran dun'man su
behave	ayo kɛ
behavior	n'zuen
behaviour	i n'zuen
behind	issi'n
being	iyolɛnu
belief	like n'ga be lafi su
believe	lafissu
belly	kunu
belong	iliɔ
beloved	klo
below	idja n'gua
below	ibo
belt	ceinturi
bench	bia
bench	ban
bend	bli i
beneath	ibo
benefit	n'ga a gnin i su
benefits	n'ga be ɲin issu
beside	issu n'glõ
besides	iwun' lɛ
best	inukpa
best of luck	min nianmien wuka wɔ
best regards	ni kwla
better	kpa ekun
between	afien
beverage	n'zan
beyond	ittissu
Bhojpuri	Bhojpuri
bias	i atin
biased	i n'gba nu
bicycle	kpangɔ
bid	nin'gue atɛ
big	dan
big	kpli
bike	kpangɔ
bill	sika n'gna
bind	tʃitʃi
bird	anuman
birthday	tʃin n'ga be wu ɔ fɛtri
bit	kanhan
bite	ka yi
bitter	eyo vi
black	ble
blade	laliɛ
blame	yijɔ issu
blank	ufue
blanket	tan'ni
blast	tɛ lɛ
blast	wun'mien
bleach	yo ufue
blend	san'gan
bless	ra su
blessed	nianmien wuka ye
blind	yima siwa
bliss	aklunjuɛ
block	i wun muan
blood	moja
bloom	ke flɛri me blo
blow	fita
blue	ble
blunt	ni a'fɛ
board	agun'da
boat	ale
body	wun'nin
boil	ton
bold	be wu i kpa
bond	n'mla
bone	ovie
book	fluwa
boost	minh wun'mien
booster	to yi
boot	bo i bo
boot	botti
boots	boti mu
border	i nuan su
bore	fiti
bore	sua
bored	ekeyalɛ
boring	kleyalɛ
born	be wu yi
borrow	srɛ
boss	be su pkin
both	be n'ɲon
bother	kle yalɛ
bottle	buteli
bottom	idja n'gua
bottom	ibolɔ
bought	fa ba
bounce	tu
bound	ti kiki wa
bound	like o be afien
boundaries	i nuan su
bow	tʃua waka
bowl	kpon'gbo
box	boiti
boy	yassua
boyfriend	javuɛ yassua
bracelet	be sa kɔmin nun banzrɛ
bracelet	sa n'ga
brain	tinu mien
branch	i bue
brand	marki
brave	awlinfuɛ
breach	wa diman n'mla su
bread	kpanhu
break	bo i
breakfast	n'glɛmu aliɛ
breast	wun'flin
breath	do wun'mien
breathe	do wumien
breed	tã
brick	briki
bride	bla anzɛ yassua n'ga be sua jɛ i
bridge	pont
brief	pke
bright	ekpadja
brilliant	san wu
brilliant	e pkaja
bring	fabla
bro	aniãn
broad	dan
broadcast	kle
broke	bobo
broken	bobo
broken	bu'i
broom	tʃuanwla
brother	niaan yassua
brother in law	mi yi wun anze mi wu'n niãn
brought	fa bla
brown	ble
brush	idjre
bucket	so
buddy	javuɛ
budget	sika n'ga alɛ i
bug	kakã kan'gan
bug	kakã n'ma
build	kplan
building	sua dan
built	kplan
bulk	i wun muan
bull	nan'ni
bully	yo i like yaya
bump	afu'n
bunch	i yawlɛ
bunch	tien inuan
bundle	i n'gba
bundle	pake
burden	wɔ like n'ga ti ɔliɛ
buried	sie assiɛ bo
burn	ra
burst	etɛli
bury	sie i assiɛ bo
bus	cari
bus	loto
bush	ijre
business	nin'gue atɛ
bust	tɛ
busy	i sa o like nun’n
but	sanguɛ
butter	bɛri
butter	druvi lafiwa
butterfly	ngɔnsiɛn
button	issu tinwlɛ
button	buton
buy	to
by	iwafa
by the way	issɔ tiɛ
bye	etɛ wonu
cabbage	nin'gue n'ma
cabinet	juman diwlɛ
cabinet	kabine
cage	n'nin sua
cake	gato
calf	nan'ni ba
call	flɛ i
call me	flɛ mi
called	flɛ yi
calm	di'i
came	bali
campaign	issɔ ajallɛ
can	kula
can't	klwa man
Cancel	yilɛ
cancer	tukpa tchɛ cancer
capable	kula yo
capacity	n'ga kula yo
capacity	n'ga kula fa
capital	n'dɛ kpa
caption	lã n'dɛ
capture	tra
car	loto
career	djuman
careful	yo i kpa
carefully	ʃɛʃɛ
careless	e faman n'dɛ su
careless	e ti suku fuɛ
caring	nian lika
carpenter	menusie
carpet	tapi
carrot	carrɔti
carry	fa
carry	sua
carry on	yo ekun'
carry out	yo
case	sua
cash	sikanu
cast	toblo
castle	famien me sua
casual	n'ga ti ya ʃin n'gba like
cat	djelua
catch	fa nion sa
category	iwafa
cattle	nan'ni ni bua mu
caught	fali
cause	issɔ ti
caution	sika n'ga be dumuan man
cautious	e bu sa sin
cave	sua papo nu
cease	jran
ceiling	sua iti
celebrate	di issu fɛtri
cell	n'gna
cell	bissua
center	afien
century	afuɛ ya
cereal	avie nma
cereal	able n'ma
ceremony	ajalɛ
ceremony	fetri
certain	etissu kpa
certainly	issu kpa
certificate	n'ga kle ke ipka nion
chain	chɛni
chair	be su kpin
chair	bia
challenge	like kekleke
chance	muaye
change	kaki
chaos	sa tɛ kpa
character	n'zuen
characteristics	iwafa wafa
charge	fa sika
charity	sran like manlɛ
charming	yo i wun klanhan
chart	n'mla
chase	fuan
chat	jelua
cheap	gua pɔpɔ
cheat	wa nu
cheating	wa
check	nian nu
cheek	fuka
cheer	mo
cheerful	eyo e fɛ
cheers	juejue
cheese	bɛri
chemistry	produi sua
cherish	flɛyi klanhan
chess	n'ga wa kwla yo man
chest	we
chew	kpissa
chicken	akɔ
chief	su pkin
child	bakan
childhood	bakãn nu
children	bakan mu
chill	djɔ
chimneys	lika n'ga wun'srin sin e fite
chin	awuje
chocolate	kakao pati
choice	n'ga a fali
choose	fa kun
chop	tin'
chores	juman kekle
chubby	ɛ lɛ fuka
church	assɔ nu
cinnamon	waka bu
circle	m'lonlon
circumstances	n'dɛ sɔ'm
citizen	sran
citizen	wafan sran
city	klɔ dan
claim	srɛli
clarify	kle kle nu
clarify	tu tu nu
class	suklu sua
clay	fã
clean	tiã fien
clear	wun'kpa
clerk	juman fuɛ
clever	si n'gulɛlɛ
client	like tofuɛ
cliff	kpɔlɛ
climate	ɲanmien su
climb	fu
clingy	mantan
clock	dɔ
close	tonu
closet	plakari
cloth	tralɛ
clothes	tralɛ
cloud	ɲanmiɛn ble
cloud	ɲanmiɛn ufue
cloudy	n'zue o nianmien su
clown	n'guã kan fuɛ
clue	mantan kpan
clumsy	issa ti suku suku
cluster	i wumuan
coach	like kle fuɛ
coal	bin'de
coast	kpolɛ su
coat	trãlɛ tin'nin
coffee	kafe
cognitive	bu akun'nda
coincidence	eyali
cold	aarɛ
collapse	tɔ li
collapse	bubu li
collar	kɔmi nianman
colleague	wiengu junman difuɛ
colleagues	be beni be di juman kun'gba
collect	yissa
collection	nin'gue n'ga wa ya ya su
college	collegi
color	kpajalɛ
colorless green ideas slept furiously	akun'nda kaka be su lafi
colour	i kpajawa
colour	kuleri
column	i bue
comb	kuɛkuɛ
combination	ikula
combine	like tɛ yolɛ sran wun
come	bla
come	ba
come here	bla wa
come on	bla wa
comfort	wlogbi nin'gue
comfortable	tran pka
coming	ba
coming soon	n'ga su ba
command	kan n'dɛ
comment	i jɔ
commercial	nin'gue atɛ yo fuɛ
commission	n'galiɛ
commit	yo like tɛ
commit	yo i n'gba
commitment	fɛ issɔ ati'n
committed	eyoli
commodity	like n'ga be yo be atɛ
common	titi like
communicate	yijɔ
communication	yijɔ lɛ
community	ye apkassua su sran mu
commute	kaki
companion	jan'vuɛ
company	societe
compare	nian n'ga ti kpa
comparison	nian be ɲon'
compassion	anvɔ
compassionate	n'ti o ya
compatible	be ya
compete	be won'di
competent	n'ga si juman
competition	kplílɛ
competitive	anwlin like
complain	wussa
complaint	ningan kanlɛ
complement	n'ga guassu
complete	i n'gba
completely	i n'gba
complex	kokloko
complex	sukusuku
compliance	n'ga ti issu
complicated	yoli kekle
compliment	kan sran n'dɛ kpa
comply	e di su
composition	n'ga be fa yo
compound	awlo kunu
comprehension	n'ga be tĩ
comprehensive	be ti wehi
compromise	sie n'dɛ su
compulsory	kpeli mmla
computer	ɔdinatɛri
concentrate	mian a yin'
concept	iyo wlɛ
concern	n'dɛ n'ga ti tʃin'ji
concerned	n'dɛ ʃin'ʃin
concert	jue srolɛ
conclusion	i vie wlɛ
concrete	i kpa n'ion
condition	iwafa n'ga ti
conditions	iwafa n'ga ti
conduct	kle
conference	yawlɛ
confess	kan
confidence	kan n'dɛ kle sran
confident	lafissu
confirm	kplin'ssu
conflict	wutre
confused	n'ti san'gan
confusion	ti suku suku
congrats	mo
congratulation	mo ni juman
congratulations	mo
conjunction	n'dɛ mu
connect	sie su
conquer	fa lika
conscious	essi
consciousness	ewun nu
consent	kplin'ssu
consequences	ivie wlɛ
conservation	sielɛ
conservative	nin'gue sie le
consider	fɛ kɛ
considered	fɛ yi kpa
consist	n'ga a yo
consistency	n'ga ti dɔwun
consistent	dɔ wun
constant	n'ga yo ekun
constantly	n'ga etɛ yo
constipation	kunnu ketewa
construction	i pklan lɛ
consume	di
consumption	idillɛ
contact	kinhi
contagious	e sa
contain	kula fa
contains	e lɛ
contemporary	lã like
contempt	klo min i
content	yo fɛ
contest	issɔ liɛ nu
context	inu like
continent	apkassua dan kun
continue	yo lele
contract	ti be wun anien
contrast	i bue kun
contribute	yo vie
contribution	wɔ lie n'ga ayo
control	nian su
controversial	n'ga kpɛ iwun
convenience	n'ga ti kpa
convenient	ti illiɛssu
conversation	ijɔ lɛ
convert	kaki
convey	nian su
convince	kan min e ti
convinced	kan min e ti
cook	ton
cooking	aliɛ ton'lɛ
cool	eti kpa
cooperation	juman dilɛ ni vie mu
cope	yo i blɛblɛ
copper	policie
copper	blalɛ
core	i awlin
core	i n'ma
corn	able n'ma
corner	i lon'go nu
correct	issuɔ
cost	gua
costume	vessi
cottage	n'nin lawlɛ
cotton	koton
couch	issu
cough	tangɔ
could	kwla man
council	agun'nda
count	in'nuan
counter	bobo
counter	kan i nuan
country	minh
country	assiɛ
countryside	nan'mue nu
couple	bian ni i yi
courage	awlin
course	issu ɔ
court	justici sua
courtesy	yin' yin'sran
cousin	nian'
cover	kata su
cow	nan'ni
coward	sran n'ga lɛman an'wlin
cozy	n'ga ti kpa man wɔ
crab	yoko
crab	kan'ga
crack	kpaki
craft	be sanu juman
crap	bi n'dɛ
crash	tɔli
crash	wɛtɛ
craving	n'ga aklo kɛ ayo
crawl	kun'gu
crazy	fiawun fuɛ
create	yo like kun
creative	elɛ akun'nda
credit	kalɛ
creep	kun'gu
creepy	ɔ yo srɛ
crew	be yalɛ
crime	sã tɛ
cringe	dje wussu wussu
crisis	alɛ
crisis	n'dɛ tɛ
criteria	iliɛssu
critical	n'dɛ tʃin'tʃin
criticism	like wundɛ kanlɛ
crop	fie nu like
crops	fie su aliɛ mu
cross	si'n
crow	anu'man n'ga di fuen mu
crowd	sran kaka
crowded	eti yi wa
crown	famien kle
crucial	tʃin'tʃin
cruel	kunnu vi
cruise	ya nu
crush	wɛtɛ
cry	pkan
cry	sun
cucumber	kun'kunbri
cuddle	man tan yi
culture	ye laha like
cunning	n'gwlɛlɛ
cup	kupu
cup	n'zuã
cupboard	plakari
curb	jran
curb	i nuan su
curb	nun'nu
cure	sannzan
cure	n'zue tɛ
curfew	sran fite man
curiosity	sran n'ga wu i wun qosan
curious	faman ndɛ’n i ngba su
curly	towa
currency	sika n'ga be fa i minh kun nu
current	dɔ n'gassu
currently	dɔ n'gassu
curse	sannzan
curtain	rido
cushion	cussunie
custom	ye m'la
customer	like to fuɛ
customs	son'ja mu
customs	lã like
cut	tʃɛ
cute	klanhan
cycle	i yolɛ
cycling	kpan'gɔ fu fuɛ mu
cycling	kpan'gɔ
dad	si
dad	baba
daddy	mi si
daddy	baba
daily	ʃin kula
dairy	non'non
dam	lika sisi wlɛ
damage	yã
damn	sannzan
damp	du'a
dance	able
danger	sa kekle
dangerous	eti tɛ
dangerous	eti a kpa
dark	ble nu
darling	yi
darling	bian
dash	i jalɛ
data	like n'ma'm
date	tchin
daughter	wã bla
daughter	bã bla
day	an'dɛ
dead	wuli
dead	sakili
deadline	ʃin n'ga i vie
deadline	i vie wlɛ
deaf	ti a sa
deal	guwa dilɛ
dear	mi sran kpa
Dear All	Mi sran kpa mu
Dear Customer	ni'ngue tofuɛ
Dear Parents	mi si ni mi nimu
Dear Sir	Mi sran kpa
Dear students	Suklu ba mu
Dear Team	Mi sran kpa mu
death	vie
debate	kin issɔ n'dɛ
debit	issu kpɛlɛ
debit	kpɛ su
debris	i ba mu
debt	kalɛ
decade	afuɛ blu
decay	like kplɔwa
decay	i to lɛ
deceased	e sakili
deceased	wuli
deceive	gua mi yin asse
december	decembri
december	decemblu
decent	n'ga ti kpa
decide	fa akun'nda
decided	fa akun'nda
decision	ajalɛ
deck	pon
decline	n'kplin man
decrease	tissu
dedicated	n'ga ti iliɛ
dedication	n'ga wɔliɔ
deed	like n'ga a yo
deep	tinnin
deep	ewali
deer	wanzan'ni
default	n'ga ti man wɔ anwlinssu
defeat	kula li yi
defend	fɛ i bue
define	klekle
definitely	etissu tchɛ
definition	ibo
degree	i su yi
delay	sie iɲunu ekun
delayed	fa sie ayin'man
delete	nu nu
deliberate	e yo i sa
delicate	like ʃinʃin
delicious	e yofɛ
delight	yo fɛ
delighted	yo fɛ
deliver	fa man
delivered	fa ɔ li
delivered	fa man li
delivery	imanlɛ
demand	ussa
demanding	wussa lɛ
democracy	kɛ sran me kwla vote i
demon	wawɛ tɛ
demonstrate	kle
denied	kplinman su
density	i wafa n'ga ti kaka
dentist	be je ya dɔrtrɔ
deny	nan kplin'n su
department	be bue liɛ
departure	ikɔlɛ
depend	ekula yo
deploy	sie sie be
deposit	issu fasielɛ
depressed	elafi a su
depression	akun'nda san'gan
depth	iwa lɛ nu
describe	klekle
description	ikleklelɛ
desert	assiɛ kpakakpaka
desert	assiɛ kokloko
deserve	ɔ liɔ
design	klɛ
designation	iklelɛ
desire	n'klo kɛ
desk	juman diwlɛ sua
despair	agun'da wa sangan
desperate	n'lafia su
despite	kekle n'ti
dessert	assiɛ kekle
destination	kɔ wlɛ
destiny	ye ɲunu
destiny	ayiman like
destroy	saki
destruction	isakilɛ
detail	i bue bue
details	i n'ma
detect	wun' i
determination	iwafa n'ga n'jassi
determine	afa akunda
determined	djosso
devastated	saki i n'gba
develop	gni
developed	yo min e ɲin
developed	yo i kpa
development	ignu'nu kɔlɛ
development	i kpayolɛ
device	motɛri
device	aparɛyi
devil	tɛ
devoted	e wuka sran
Dhivehi	Dhivehi
diabetes	tupkatʃɛ diabɛt
diarrhea	kunu tu
diary	programi
dictionary	dictionnɛ
did	eyoli
die	wu
died	wuli
diet	aliɛ
difference	n'ga ti ya kun
different	ti ya kungba
difficult	kekle
dig	kɔkɔti
dignity	i like n'ga e yo kpa
diligent	n'ga ti nindɛ like
dinner	aliɛ dilɛ
dip	tɔ nu
direct	tre're
direction	be ti dan
direction	iti su
director	be su pkin
dirt	fi'en
dirty	fien
disable	nuin i
disabled	e ti a kpa
disappear	m'lin
disappointed	sa sin bubu e
disaster	sa tɛ
discard	to blo
discard	iblo tolɛ
discharge	jra i
discharge	nuan
discipline	nian su kpa
discount	ti su
discover	wun' yi uflɛ
discrimination	a tutu sran nu
discuss	kin i n'dɛ
discussion	i jolɛ
disease	tukpaʃɛ
diseases	tupkatʃɛ
disguise	fia
disgusting	sie n'zɔliɛ
dish	aliɛ kpon'gbo
dishes	kpon'gbo
dismiss	fuen i
dispatch	ɲɛ nu
display	kleklelɛ
disposal	yilɛ
dispute	utre
distance	ati'n
distance	i afien nu
distinct	buebue
distinguish	sie be wlɛ
distress	ya
distribution	i siesie lɛ
district	apkassua
disturb	kle yalɛ
ditch	kuman
dive	tɔ nu
diverse	beblebe
diversity	ibeblebe
divide	titi nu
divide	pkɛ nu
divine	nianmien like
divorce	be titi nu
divorce	be jaman kun
dizzy	yin su pkɛ yi
do	yo
do you	ayin
do you love me	a klo me
doctor	dɔtrɔ
document	fluwa
does	si
does	yo
doesn't	kwla yo man
dog	alua
Dogri	Dogri
doing	iyolɛ
doll	n'guã kanlin nin'gue
domain	i like nu
domain	i juman nu
domestic	awlo like
dominant	tin' issu
don't	yoman
Don't worry	Nan srɛ kun wɔ
donate	man
done	yoli
donkey	n'nin kpanngɔ
dope	drogi
double	n'ion
doubt	bu i akun'nda
dough	pati
down	ibo
download	fa sie su
draft	i wun akun'nda bullɛ
drag	ʃoin
drain	yo nu sanhu
drama	sa tɛ
draw	klɛ
drawer	tirua
drawing	iklɛ klɛ lɛ
dread	sro
dream	laliɛ
dress	wula tralɛ
drill	fiti
drink	non
drive	condi
drive	fu
drop	fa sie
dropped	sie
dropped	tɔli
drought	wawa
drunk	bo
dry	kehe
duck	labu labu
dude	yassua
due	itiɛ
due to	iti yɛ
dull	wa fɛ
dumb	eyiddjo man
dumb	bobo
dump	iyi lɛ
duration	iʃɛlɛ
during	issɔnu
during	iyolɛnu
dust	fa mugu
duty	n'ga eti kɛ n'yo
dwell	ya lɛ
dying	wulɛ
each	i
each other	be wun
eager	n'ga be kun'dɛ
eagle	annun'man n'ga tra akɔ mu
ear	sukpɔ
earlier	n'dɛnu
early	n'dɛnu
earn	gnin i
ears	sukpkɔ
earth	assiɛ
earthquake	assiɛ keje lɛ
ease	pɔpɔ
easily	n'ga ti ya kekle
east	bue tɛ
easy	pɔpɔ
eat	di
eating	di
economic	gua pɔpɔ
economy	sika sielɛ
edge	inuanssu
edit	klɛ i wuflɛ
education	fluwa suanlɛ
effect	i wafa n'ga fa yo be
effective	i n'gba
efficiency	eti kpa
efficient	edi juman kpa
effort	junman
egg	klen'zua
eggplant	nin'gue n'ma
ego	awlin
eight	mon tʃuɛ
eight	n'tʃuɛ
eighteen	blu ni montʃuɛ
eighty	abla n'tʃuɛ
either	like n'ga
elaborate	siesie
elbow	sa kpɔ
elder	pkin n'gbin
elderly	kpingbin nu
elegant	klanman
element	like n'ma
elephant	sui
eleven	blu ni kun
eligible	eti kpa
eliminate	yi i nu
else	uflɛ
embarrassed	tinu wa san'gan
embarrassing	e kle yalɛ
embrace	atuu
emerge	fite nu
emergency	like ʃin'ʃin
emotional	n'ga eyo ɔ
empathy	ti i n'dɛ
emphasis	essie su
emphasize	sie wɔ yin su
employee	juman di fuɛ
employees	juman di fuɛ mu
employer	fɛ yi di juman
employment	juman diwlɛ nu
empty	like numan nu
enable	man ati'n
encounter	yanu
encourage	man fan'gan
end	i viewlɛ
endangered	n'ga be sua vie wu
endeavor	umien
endurance	iwafa n'ga e tchɛ
endure	n'ga ɲan li i
enemy	kpɔfuɛ
energy	wun'mien
engage	bo bo
engaged	bo i bo
engagement	an'gun'nda
engine	motɛri
engineer	ingeniɛ
engineer	juman difuɛ
English	Blɔfuɛ
enhance	yo i kpa
enjoy	klo
enormous	kaka
enough	etikpassɔ
ensure	nien kpa
enter	wlu
entertainment	n'guã
enthusiasm	eyo i fɛ
enthusiastic	eyo ifɛ
entire	i n'gba
entire	ikula
entitled	i bo bo lɛ
entity	iyowlɛ
entrance	wluwlɛ
entrepreneur	sran dan
envelope	n'ga be fa kɛtɛ i wun
environment	tranwlɛ
envy	n'klo kɛ
epic	lã nu
epidemic	tukpatʃɛ
equal	eti
equipment	nin'gue mu
equity	issu ɔ
equivalent	ti kun'gba
eraser	yin nu
error	fɔnlɛ
escape	won'di
especially	n'galɛ su
essay	fluwa klɛlɛ kaka
essence	i yo wlɛ nu
essential	like kpa
establish	ibobo lɛ
establish	i asse tranlɛ
established	sie
established	pklan
estate	i juman
estate	sua juman
estimate	sie sievi nuan
estimate	nian
estimated	nian nu
etc	ibo n'ga mu
eternal	n'ga kwla wu man
eternal	n'ga kwla vieman
ethics	i n'mla
evaluate	nian nian nu
evaluation	i nian nian lɛ
even	cɛ
even though	sɛ yossu
evening	n'dɔssua
event	fɛti
event	adjalɛ
eventually	cɛ e yo su
ever	n'ga yo man de
ever	kɛfa fin
every	i n'gba
everybody	sran mu
everyone	sran kula
everyone	sran n'gba
everything	like kula
evidence	n'dɛ sakpa
evil	wawɛ tɛ
evolution	pka yolɛ
evolve	e yo kpa
Ewe	Ewe
ex	lã
exact	i su o
exactly	issuɔ
exam	examin
examine	nian nu
example	i wafa kun
exceed	yo dɔwun
excellent	ti kpa dan
except	midɛ
exception	n'ga numan'nu
excess	e tra su
excessive	tra su
exchange	kaki
excited	iwun' blibli
excitement	i anwlin
exciting	eyofɛ
exclusive	n'ga fite uflɛ
excuse	yatʃi
excuse me	yaki
execute	yo
