hlokomologa	abandon
letšatšikgwedi	date
morwedi	daughter
letšatši	day
hlokofetše	dead
mofoafadi	deaf
šogana	deal
rategago	dear
lehu	death
ngangišano	debate
goga	debit
marope	debris
sekoloto	debt
ngwagasome	decade
bola	decay
mohu	deceased
fora	deceive
disemere	december
lokilego	decent
phetha	decide
sephetho	decision
teka	deck
latola	decline
fokotša	decrease
ikgafilego	dedicated
kabelo	dedication
tiro	deed
tlase	deep
tshepe	deer
hlokomologa	default
fenya	defeat
šireletša	defend
hlaloša	define
tlhalošo	definition
tikrii	degree
diega	delay
diegišitše	delayed
phumola	delete
akanya	deliberate
boleta	delicate
monate	delicious
lethabo	delight
thabile	delighted
romela	deliver
rometšwe	delivered
thomelo	delivery
nyaka	demand
nyakago	demanding
temokrasi	democracy
letimone	demon
laetša	demonstrate
ganeditše	denied
kitlano	density
gana	deny
lefapha	department
holofela	depend
romela	deploy
tipositi	deposit
botebo	depth
hlaloša	describe
tlhalošo	description
leganata	desert
moakanyetšo	design
sešupo	designation
kganyogo	desire
teseke	desk
hloboga	despair
leganata	dessert
boyo	destination
boyo	destiny
senya	destroy
tshenyo	destruction
dintlha	details
lemoga	detect
phegelelo	determination
laetša	determine
tiišitše	determined
sentšwego	devastated
hlabolla	develop
hlabolotšwego	developed
tlhabollo	development
setlabela	device
diabolo	devil
ineetšego	devoted
Dhivehi	Dhivehi
twetšiswikiri	diabetes
letšhollo	diarrhea
maswing	diary
ferola dibete	nuisance
pukuntšu	dictionary
dirile	did
hlokofala	die
hlokofetše	died
dijo	diet
ditsela dife goba dife	anyways
phapano	difference
fapanego	different
bothata	difficult
epa	dig
seriti	dignity
ya dihlare	medical
ka dikgoka	violent
bokgwari	diligent
matena	dinner
ya dinoko	spicy
tipa	dip
o dira eng gabjale	what are you doing now
o dira eng go iphediša	what do you do for a living
o dira eng gonabjale	what are you doing right now
o dira eng	what are you doing
lebiša	direct
taetšo	direction
molaodi	director
go diregile eng	what happened
tšhila	dirt
ditqhila	dirty
ka dirwago	practical
šitiša	disable
šitišitšwe	disabled
nyamelela	disappear
nyamile	disappointed
masetlapelo	disaster
lahla	discard
lokolla	discharge
kgalema	discipline
phokoletšo	discount
utolla	discover
kgethollo	discrimination
ahlaahla	discuss
therišano	discussion
bolwetši	disease
malwetši	diseases
ikgakanya	disguise
šišimiša	disgusting
sebjana	dish
dibjana	dishes
raka	dismiss
romela	dispatch
bontšha	display
phedišo	disposal
kgakgano	dispute
monabo	distance
fapantšha	distinguish
kgakanego	distress
phatlalatšo	distribution
distriki	district
šitiša	disturb
sola	ditch
thinya	dive
fapafapana	diverse
pharologano	diversity
arola	divide
hlala	divorce
dikologa	dizzy
dira	do
ngaka	doctor
tokumente	document
dira	does
mpša	dog
Dogri	Dogri
dira	doing
popi	doll
selete	domain
koketšwa	dominant
neela	donate
phethilwe	done
tonki	donkey
toupu	dope
gabedi	double
doubt	doubt
tege	dough
fase	down
taonelouta	download
sethalwa	draft
goga	drag
gamola	drain
terama	drama
thala	draw
mothadi	drawer
sethalwa	drawing
poifo	dread
toro	dream
seaparo	dress
tirila	drill
nwa	drink
otlela	drive
lerothodi	drop
lahlile	dropped
komelelo	drought
tagilwe	drunk
omile	dry
lepelepele	duck
mothaka	dude
kolotwago	due
o dula kae	where do you live
sethotho	dull
go duma	craving
foafala	dumb
lahla	dump
nako	duration
lerole	dust
mošomo	duty
dula	dwell
phišego	eager
ntšhu	eagle
tsebe	ear
pejana	earlier
pele	early
gola	earn
ditsebe	ears
lefase	earth
bonolo	ease
gabonolo	easily
bohlabela	east
bonolo	easy
ja	eat
katlego e botse	all the best
ekonomi	economy
morumo	edge
rulaganya	edit
thuto	education
seabe	effect
bokgoni	efficiency
maitekelo	effort
ga e gampe	not bad
lee	egg
mohlareselee	eggplant
boithato	ego
seswai	eight
lesomeseswai	eighteen
masomeseswai	eighty
fahlela	elaborate
setšu	elbow
motšofe	elder
batšofe	elderly
bothakga	elegant
mola e le gore	whereas
ntlha	element
tlou	elephant
lesometee	eleven
be e le	was
be e le	were
maswanedi	eligible
fediša	eliminate
sengwe	else
gakanegile	embarrassed
tlontlollago	embarrassing
gokarela	embrace
tšwelela	emerge
tšhoganetšo	emergency
maikutlo	emotional
kelobohloko	empathy
kgatelelo	emphasis
gatelela	emphasize
mošomi	employee
bašomi	employees
mongmošomo	employer
thwalo	employment
kgontšha	enable
gahlana	encounter
hlohleletša	encourage
mafelelo	end
phegelelo	endeavor
kgotlelelo	endurance
kgotlelela	endure
lenaba	enemy
enetši	energy
beeletša	engage
beeleditšwe	engaged
nyalano	engagement
entšine	engine
moentšineere	engineer
Seisimane	English
ke eng se	what is this
ke eng	what is
kaonafatša	enhance
ipshina	enjoy
lekanetše	enough
netefatša	ensure
tsena	enter
boithabišo	entertainment
mafolofolo	enthusiasm
sehlongwa	entity
mojako	entrance
rakgwebopotlana	entrepreneur
omfolopo	envelope
tikologo	environment
duma	envy
hlogo e opago	headache
thetogale	epic
leuba	epidemic
lekana	equal
setlabela	equipment
tekatekano	equity
lekanago	equivalent
rapa	eraser
phošo	error
ngwega	escape
naga e šele	abroad
kudukudu	especially
taodišo	essay
gabotsebotse	essence
bohlokwa	essential
hloma	establish
hlamilwe	established
leruo	estate
akanya	estimate
akanywago	estimated
bjalobjalo	etc
polelo e tee e ka se tsoge e lekanetše	one language is never enough
maitshwaro	ethics
lekola	evaluate
tekolo	evaluation
mantšiboa	evening
tiragalo	event
mafelelong	eventually
bohlatse	evidence
bobe	evil
phetogo	evolution
tšweletša	evolve
Ewe	Ewe
peleng	ex
thwii	exact
thwii	exactly
tlhahlobo	exam
hlahloba	examine
mohlala	example
fetiša	exceed
fapanago	exception
fetago	excess
kgolo	excessive
phetošo	exchange
lebalela	excuse
tshwarelo	excuse me
phethagatša	execute
phethagatšo	execution
phethiši	executive
itšhidulla	exercise
lapiša	exhaust
lapile	exhausted
pontšho	exhibit
pontšho	exhibition
tšwa	exit
katološa	expand
letela	expect
letetšwego	expected
ditshenyegelo	expenses
tura	expensive
maitemogelo	experience
maitekelo	experiment
setsebi	expert
hlaloša	explain
tlhalošo	explanation
utolla	explore
bonagatša	expose
utollotšego	exposed
maitemogelo	exposure
gatelela	express
tlhagišo	expression
katološa	extend
katološitšwe	extended
katološo	extension
katološa	extent
fedilego	extinct
tlaleletšo	extra
kgola	extract
fetišišago	extraordinary
kudukudu	extreme
leihlo	eye
mahlo	eyes
lešela	fabric
makatšago	fabulous
sefahlogo	face
sepetša	facilitate
ditlabela	facilities
senolofatši	facility
ntlha	fact
ntlha	factor
feketheri	factory
dintlha	facts
galoga	fade
palelwa	fail
paletšwe	failed
idibala	faint
lokilego	fair
kanegelo	fairy
tumelo	faith
botega	faithful
wa	fall
maaka	false
tlwaelegilego	familiar
lapa	family
tlala	famine
tumile	famous
mothekgi	fan
kganyoga	fancy
makatšago	fantastic
kgole	far
taelano	farewell
polase	farm
molemi	farmer
ka fase	below
ka fase	beneath
tsene fase	busy
ka fase	under
ka fase	underneath
fešene	fashion
potlako	fast
lekhura	fat
pheletšo	fate
papa	father
phošo	fault
mmamoratwa	favorite
gaugela	favour
mmamoratwa	favourite
tšhoga	fear
monyanya	feast
lefofa	feather
sebopego	feature
dibopego	features
fepreware	february
tenegile	fed up
tšhelete	fee
fepa	feed
dipoelo	feedback
ikwa	feel
maikutlo	feeling
maoto	feet
ge fela e le gore	as long as
sa felego	infinity
sa feleng	eternal
wele	fell
mogagešo	fellow
kwelego	felt
mosadi	female
legora	fence
go fenya	overwhelming
go feroga dibete	nausea
nonnego	fertile
mokete	festival
go feta fao	furthermore
go feta moo	moreover
go feta	more
go feta	than
nyaka	fetch
go fetišiša	extremely
letadi	fever
mmalwa	few
molekane	fiance
nonwane	fiction
tšhemo	field
bogale	fierce
lesomehlano	fifteen
masomehlano	fifty
lwa	fight
seswantšho	figure
akanya	figure out
go fihla	arrival
go fihla mo	so far
go fihla	until
faele	file
tlatša	fill
tladitšwe	filled
filimi	film
ditšhila	filthy
mafelelong	finally
matlotlo	finance
hwetša	find
utolla	find out
tefišo	fine
monwana	finger
fetša	finish
feditše	finished
mollo	fire
tiilego	firm
mathomo	first
leina	first name
hlapi	fish
swanela	fit
hlano	five
lokiša	fix
hlometšwego	fixed
folaga	flag
gadima	flash
folete	flat
monga	flaw
ngwega	flee
nama	flesh
fofile	flew
mena	flex
nolo	flexible
phepheula	flip
kalatša	flirt
phaphama	float
mafula	flood
lebato	floor
folouru	flour
elela	flow
letšoba	flower
mokgohlane	flu
boreledi	fluent
sekafofa	fluffy
seela	fluid
fofa	fly
nepa	focus
go fofa	flight
kgodi	fog
phutha	fold
merafe	folks
latela	follow
latelago	following
tatišišo	follow up
dijo	food
setlaela	fool
botlaela	foolish
leoto	foot
ya	for
lebaletšwe	forbidden
gapeletša	force
akanya	forecast
phatla	forehead
ntle	foreign
lešoka	forest
go-ya-go-ile	forever
Mohlala	For example
lebala	forget
lebalela	forgive
lebetše	forgot
mohlala	for instance
foroko	fork
sebopego	form
semmušo	formal
peleng	former
mahlatse	fortune
masomenne	forty
masomenne-pedi	forty-two
pele	forward
tlwaetša	foster
lwelego	fought
hweditše	found
motheo	foundation
nne	four
lesomenne	fourteen
phukubje	fox
foreime	frame
tlhako	framework
bomenetša	fraud
lokologile	free
tokologo	freedom
tšidifatša	freeze
makga	frequency
gantši	frequent
kgafetšakgafetša	frequently
foreše	fresh
labohlano	friday
setšidifatši	fridge
mogwera	friend
bagwera	friends
segwera	friendship
tšhošitšwe	frightened
tšhošago	frightening
segwagwa	frog
tšidifaditšwe	frozen
seenywa	fruit
hlakahlakane	frustrated
makhura	fuel
Fulfulde	Fulfulde
tletše	full
boipshino	fun
mošomo	function
bohlokwa	fundamental
poloko	funeral
segišago	funny
boya	fur
galefilego	furious
fenišara	furniture
gape	further
bokamoso	future
morago ga	after
pele ga	before
thubega gabonolo	fragile
itshwara gabotse	behave
šala gabotse	bye
šala gabotse	good bye
šala gabotse	goodbye
lebelelega gabotse	good looking
robala gabotse	good night
swara gabotse	treat
godimo ga fao	over there
ya gago	for you
-a gago	your
hwetša	gain
pele ga	in front of
papadi	game
morago ga moo	afterwards
ema gannyane	hold on
sekgoba	gap
pele ga	prior
karatšhe	garage
thogorogo	garbage
serapa	garden
ka gare	inside
ka gare	internal
magareng ga rena	among us
ka gare	within
kaliki	garlic
mojako	gate
le gatee	anymore
le gatee	never
le gatee	not at all
kgoboketša	gather
kopano	gathering
ela	gauge
file	gave
le ge	although
kere	gear
le ge e ba	even though
le ge	even
le ge go le bjalo	however
le ge go le bjalo	instead
le ge go le bjalo	nevertheless
bong	gender
kakaretšo	general
tšweletša	generate
tlhagišo	generation
bohlale	genius
mohuta	genre
botho	gentle
makgonthe	genuine
taetšo	gesture
hwetša	get
apara	get dressed
le ge	though
hwetšago	getting
tsoga	get up
sepoko	ghost
lekgema	giant
mpho	gift
gemere	ginger
mosetsana	girl
lekgarebe	girlfriend
fa	give
filwego	given
thabile	glad
kgerulo	glance
galase	glass
digalase	glasses
kwešišo	glimpse
lefase	global
ditlelafo	gloves
phadima	glow
sekgomaretši	glue
eya	go
nepo	goal
dinepo	goals
pudi	goat
tloga	go away
efe goba efe	any
theilwe go	based
ao go bjalo	oh really
ee go bjalo	yes of course
tla go bona ka moragonyana	see you later
ga go bothata	no problem
modimo	god
ka godimo	above
ka godimo	superior
sepela	goes
thabile go fetišiša	exciting
ya go	going to
ke go goletše	I miss you
ke go gopotše kudu	I miss you so much
ke go gopotše	miss you
ya	going
gore go	in order to
ka go	into
re go lakaletša mahlatse	best regards
re go lakaletša mahlatse	good luck
re go lakaletša matswalo a mabotse	happy birthday to you
ke go lakaletša tše kaone	wish you all the best
gauta	gold
ka go le lengwe	meanwhile
ga go motho	nobody
o gona	are you there
lego gona	existing
ke gona mo	I'm here
Le gona mo	Same here
ka go nanya	slowly
ka gona	so
ka gona	therefore
ka gona	thus
sepetše	gone
tla	gonna
sekgomaretši	goo
gabotse	good
thobela	good afternoon
thobela	good evening
thobela	good morning
diphahlo	goods
Google	Google
leganse	goose
ke go rata kudu	I love you so much
bona gore	assume
ra gore	means
ra gore	seems
ga go selo	none
ga go selo	nothing
hwenahwena	gossip
hweditše	got
ya go	toward
ga go tsela ye nngwe	no way
mmušo	government
kganya go ya pele	glow up
ubula	grab
kereiti	grade
gabotsana	gradually
sealoga	graduate
lebele	grain
mphiwafela	grant
neetšego	granted
diterebe	grapes
kwešiša	grasp
bjang	grass
leboga	grateful
tebogo	gratitude
lebitla	grave
tshehla	gray
kgolo	great
megabaru	greed
talamorogo	green
dumediša	greet
madume	greeting
madume	greetings
sehla	grey
keriti	grid
bohloko	grief
šila	grind
swarelela	grip
krosari	grocery
monyadi	groom
palomoka	gross
lebala	ground
sehlopha	group
gola	grow
kgolo	growth
Guarani	Guarani
tiišetšo	guarantee
leta	guard
akanya	guess
moeng	guest
tlhahlo	guidance
hlahla	guide
mothaka	guy
mathaka	guys
boitšhidullo	gym
setlwaedi	habit
bodulo	habitat
bile	had
go haeka	hiking
sefako	hail
moriri	hair
seripagare	half
holo	hall
seatla	hand
swara	handle
bogegago	handsome
ikgama	hang
direga	happen
hlagile	happened
lethabo	happiness
thabile	happy
bothata	hard
tshenyo	harm
kotsi	harmful
kwano	harmony
bogale	harsh
buna	harvest
hloya	hate
ipshine	have fun
kotsi	hazard
letobe	haze
yena	he
hlogo	head
fodiša	heal
pholo	healing
maphelo	health
phelegile	healthy
kwa	hear
kwele	heard
pelo	heart
phišo	heat
legodimong	heaven
boima	heavy
leemaema	hectic
bogodimo	height
mojalefa	heir
ke	he is
swerwe	held
hele	hell
