abandon	dhiisuu
associated	walitti hidhamaa
associate	walitti hidhuu
association	dhaabbata
assume	yaaduu
assumption	haa jennu
as well	akkasuma
as well as	akkasumas
ate	nyaate
athlete	atileetii
at	itti
at least	yoo xiqqaate
attached	walitti qabate
attach	itti maxxansuu
attachment	walitti hidhamiinsa
attack	haleellaa
attempt	yaalii
attendance	itti hirmaachu
attend	hirmaachuu
attention	xiyyeeffannoo
attitude	ilaalcha
attract	hawwachuu
attraction	harkisa
attractive	kan qalbii namaa hawwatu
attribute	amala
audience	dhaggeeffattoota
august	eebila
aunt	adaadaa
aunty	adaadee
authentic	isa dhugaa
author	barreessaa
authority	taayitaa
autumn	birraa
available	jira
average	giddu-galeessa
avoid	dhiisi
awake	dammaqaa
award	badhaasa
awareness	hubannoo
aware	quba qabaachuu
away	irraa fagoo
awesome	ajaa'iba
awful	kan namatti hin tolle
awkward	cookkoo
Aymara	Aymaaraa
baby	daa'ima
bachelor	qeerroo
back	dugda
background	dugduubee
bad	badaa
bag	korojoo
bait	nyaata okkootti diranii qurxummii ittiin qaban
bakery	mana daabboo
bake	tolchuu
baking soda	raacitii bukoo
balance	madaallii
ball	kubbaa
Bambara	Baambaaraa
banana	muuzii
band	wadaroo
bang	sagalee guddaa akka tasaa
bank	baankii
barely	xoqqooma
bargain	gatii waliigaluuf waliin dubbachuu
bark	dutuu
barley	garbuu
bar	mana dhugaatii
barrier	dhorkaa
based	hundaa'e
base	hundee
basement	kutaa dirra lafaan gadii
basically	bu'urumaan
basic	bu'uura
basil	biqiltuu urgooftuu akka mi'eessituutti fayyaddu
bastard	nama namatti hin tolle
batch	oomishaalee waal duukaa oomishaman
bath	dhaqna dhiqachuu
bathroom	mana qaama itti dhiqatan
battery	ibsaa
battle	waraana
bay	qarqara galaanaa
beach	qarqara galaanaa
beam	qara ifaa
beans	kotoree
beard	areeda
bearing	dhaabbii nama tokkoo
bear	qabi
beast	bineensa
beat	reebuu
beautiful	bareedaa
beauty	miidhagina
became	ta'e
be careful	of eeggadhu
because	sababni isaas
become	ta'uu
bedroom	kutaa ciisichaa
bed	siree
beef	foon loonii
bee	kanniisa
beer	biiraa
before	dura
began	eegale
begin	jalqabuu
beginning	jalqaba
behalf	bakka isaa
behave	amala
behavior	amala
behaviour	amala
behind	duuba
being	ta'uu
belief	amantaa
believe	amanuu
belly	garaa
belong	kan ... ti
beloved	jaallatamaa
below	gadi
belt	saqqii
bench	barcuma
bend	dabsuu
beneath	jala
benefit	bu'aa
benefits	faayidaalee
beside	cinatti
besides	kana malees
best	kan hunda caalu
best of luck	carraa gaarii
best regards	nagaa wajjin
be	ta'i
better	fooyya'aa
between	gidduu
beverage	dhugaatii
beyond	gararraa
Bhojpuri	Boyipuurii
biased	madaalliin isaa gara tokkotti kan kufe
bias	loogii
bicycle	biskileettii
bid	caalbaasii
big	guddaa
bike	biskileettii
bill	kaffaltii
bind	walitti hidhuu
bird	simbirroo
birthday	guyyaa dhalootaa
bite	ciniinuu
bitter	hadhaa'aa
bit	xiqqoo
black	gurraacha
blade	qara
blame	komachuu
blank	duwwaa
blanket	uffata qorraa halkanii
blast	dhohuu
bleach	xurii gad dhiisisuu
blend	walitti makuu
blessed	eebbifamaa
bless	eebbisuu
blind	qaroo kan hin qabne
bliss	gammachuu guddaa
block	dhowwuu
blood	dhiiga
bloom	ilillii
blow	afuufuu
blue	cuquliisa
blunt	doomaa
board	muka diriiraa
boat	bidiruu
body	qaama
boil	danfisuu
bold	ija jabeessa
bond	hidhaa
bone	lafee
book	kitaaba
booster	humneessituu
boost	humneessuu
boot	kophee ol dheeraa
boots	kophee ol dheeraa
border	daangaa
bored	mukaa'aa
bore	ure
boring	jibbisiisaa
born	dhalachuu
borrow	ergifachuu
boss	gooftaa
bother	jeequu
both	lachuu
bottle	qaruuraa
bottom	jala
bought	bite
bounce	irradeddeebiin lafa rukutee ol ka'uu
boundaries	daangaawwan
bound	itti utaaluu
bow	gadi jechuu
bowl	mar'ummaan
box	saanduqa
boyfriend	hiriyaa dhiiraa
boy	gurbaa
bracelet	faayaa harkaa
brain	sammuu
branch	damee
brand	maqaa oomishaa
brave	goota
breach	seera cabsuu
bread	daabboo
break	cabsuu
breakfast	ciree
breast	harma
breathe	hafuura baafachuu
breath	hafuura
breed	horsiisuu
brick	xuuphii
bride	misirroo
bridge	riqicha
brief	gabaabaa
bright	ifaa
brilliant	kan sammuun banamaa
bring	fidi
broad	bal'aa
broadcast	qilleensarra oolchuu
broke	cabse
broken	cabaa
bro	obboleessoo
broom	haraa
brother in law	obboleessa haadha ykn abbaa biddeenii irraa dhalate
brother	obboleessa
brought	fide
brown	diimaa duukkanaa'aa
brush	burushii
bucket	baaldii
buddy	aabbee
budget	bajata
bug	geergoo
build	ijaaruu
building	gamoo
built	ijaarame
bulk	wanta guddaa
bull	sangaa
bully	doorsisuu
bump	dhiita
bunch	bissii
bundle	hidhaa
burden	ba'aa
buried	awwaalame
burn	gubuu
burst	dhohuu
bury	awwaaluu
bus	atoobisii
bush	daggala
business	hojii
bust	caccabsuu
busy	muddamuu
but	garuu
butter	dhadhaa
butterfly	billaacha
button	furtuu
buy	bituu
bye	nagaatti
by	-n
by the way	osoo dubbannuu
cabbage	raafuu maraa
cabinet	angaa'ota mootummaa
cage	biiroo
cake	keekii
calf	jabbii
called	waamame
call me	na waami
call	waamuu
calm	tasgabbaa'aa
came	dhufe
campaign	duula
Cancel	Haquu
cancer	kaansarii
can	danda'a
can't	hin danda'u
capable	danda'uu
capacity	dandeettii
capital	magaalaa guddicha
caption	barreeffama fakkii jalatti fakkicha ibsuuf barreeffamu
capture	qabuu
career	hojii
carefully	eeggannoodhaan
careful	of eeggataa
careless	dhibaa'aa
caring	kunuunsa
car	konkolaataa
carpenter	muka sooftuu
carpet	afaa lafaa
carrot	kaarotii
carry	baachuu
carry on	itti fufuu
carry out	raawwachuu
case	dhimma
cash	callaa
castle	gamoo guddaa durii kan diinarraa of eeguuf ijaarame
cast	ofirraa darbachuu
casual	kan akka carraa
cat	adurree
catch	qabuu
category	ramaddii
cattle	loon
caught	qabe
cause	sababa
caution	eeggannoo
cautious	of eeggataa
cave	holqa
cease	dhaabuu
ceiling	baaxii
celebrate	ayyaaneffachuu
cell	seelii
center	wiirtuu
century	jaarraa
cereal	midhaan callaa
ceremony	ayyyaaneffannaa
certainly	shakkii malee
certain	shakkii malee
certificate	waraqaa ragaa
chain	funyoo sibiilaa
chair	barcuma
challenge	ittiin qabuu
chance	carraa
change	jijjiiruu
chaos	jeequmsa
character	amala
characteristics	amaloota
charge	kaffalchiisuu
charity	tola ooltummaa
charming	baay'ee kan nama hawwatu
chart	fakkii
chase	ari'uu
chat	waliin dubbii
cheap	rakasa
cheat	hatuu
cheating	hatuu
check	sakatta'uu
cheek	maddii
cheerful	gammadaa
cheer	iyya gammachuu
cheers	sitti haa tolu
cheese	baaduu gogaa
chemistry	keemistirii
cherish	kunuunsuu
chess	cheezii
chest	laphee
chew	alanfachuu
chicken	lukkuu
chief	geggeessaa olaanaa
child	daa'ima
childhood	ijoollummaa
children	ijoollee
chill	qorraa
chimneys	qaawwaawwan aarri mana keessaa ittiin ba'u
chin	areeda
chocolate	chokoleetii
choice	filannoo
choose	filachuu
chop	murmuruu
chores	hojii guyyuu maatii
chubby	bondosaa
church	waldaa kiristaanaa
cinnamon	qarafaa
circle	geengoo
circumstances	haalota
citizen	lammii
city	magaalaa
claim	ibsa
clarify	ibsi
class	kutaa
clay	suphee
clean	qulqulluu
clear	ifaa
clerk	hojjetaa baankii
clerk	hojjetaa waajjiraa
clever	qaxalee
client	maamila
cliff	qarree
climate	haala qilleensaa
climb	yaabuu
clingy	rarraafamuu kan danda'u
clock	sa'atii
close	cufuu
closet	saanduqa wayyaa dhaabatu
clothes	uffannaa
cloth	huccuu
cloud	duumessa
cloudy	duumessaa'aa
clown	gocha kofalchiisaa raawwachuu
clue	ragaa xiqqoo
clumsy	qabaan kan irraa hin tolle
cluster	tuuta
coach	leenjisaa
coal	dhagaa cilee
coast	qarqara galaanaa
coat	dibuu
coffee	buna
cognitive	kan sammuu
coincidence	walirra bu'uu
cold	diilallaa'aa
collapse	ijaarsi kufuu
collar	morma uffataa
colleague	hiriyaa
colleagues	hiriyoota
collect	funaanuu
collection	walitti qabama
college	koolleejjii
color	halluu
colorless green ideas slept furiously	yaadonni magariisi halluu hin qabne aarii guddaadhaan ciisan
colour	halluu
column	toora asii gadii
comb	filaa
combination	walitti dabalamuu
combine	walitti makuu
come here	as kottu
come	kottu
come on	kottu
comfortable	mijataa
comfort	mijannaa
coming	dhufuu
coming soon	yeroo dhiyootti
command	ajaja
comment	yaada kennuu
commercial	kan daldalaa
commission	koomishinii
commitment	of kennuu
commit	raawwachuu
committed	of kennaa
commodity	meeshaa
common	baratamaa
communicate	waliin dubbachuu
communication	waliin dubbii
community	hawaasa
commute	manaa fi bakka hojii gidduu marmaaruu
companion	hiriyaa
company	dhaabbata
compare	wal bira qabuu
comparison	wal bira qabuu
compassionate	kan garaan isaa namaaf ho'u
compassion	namaa ho'uu
compatible	kan waliif ta'u
compete	dorgomuu
competent	ga'umsa kan qabu
competition	dorgommii
competitive	dorgommiin kan guute
complain	komachuu
complaint	mufii
complement	itti guutuu
complete	guutuu
completely	guutummaan guutuutti
complex	walxaxaa
compliance	itti waliigaluu
complicated	walxaxaa
compliment	galata
comply	itti buluu
composition	walitti makamuu
compound	dachaa
comprehension	dandeettii hubachuu
comprehensive	hunda haammataa
compromise	dadhabuu
compulsory	kan dirqama ta'e
computer	koompiitara
concentrate	yaada sassaabbachuu
concept	yaada
concern	dhimma
concerned	dhimmamaa
concert	koonsartii
conclusion	goolaba
concrete	jabaataa
condition	haala
conditions	haalota
conduct	dabarsuu
conference	walga'ii idilee
confess	badii ofii himachuu
confidence	ofitti amanamummaa
confident	ofitti amanaa
confirm	mirkaneessuu
conflict	waldhabdee
confused	itti bitaacha'aa
confusion	waliin nama dhahuu
congrats	baga gammadde
congratulation	baga gammadde
congratulations	baga gammadde
conjunction	walitti fiduu
connect	wal qabsiisuu
conquer	humnaan to'achuu
conscious	dammaqaa
consciousness	dammaqina
consent	eyyemamaa ta'uu
consequences	bu'aawwan
conservation	kunuunsa
conservative	seera kan cimsu
considered	lakkaa'ame
consider	ilaalcha keessa galchuu
consistency	haala walfakkaatuun kan itti fufu
consistent	walfakkaataa
consist	qabachuu
constant	dhaabbataa
constantly	dhaabbataadhaan
constipation	gogiinsa garaa
construction	ijaarsa
consume	soorrachuu
consumption	fayyadama
contact	quunnamuu
contagious	kan daddarbu
contain	qabaachuu
contains	qaba
contemporary	kan yeroo tokko keessa waliin turan
contempt	tuffii
content	qabiyyee
contest	dorgommii
context	haala wanta tokkoo
continent	ardii
continue	itti fufuu
contract	waliigaltee
contrast	waliin madaaluu
contribute	gumaachuu
contribution	gumaacha
control	to'annaa
controversial	yaada falmisiisaa
convenience	mijannaa
convenient	mijataa
conversation	haasaa
convert	jijjiiruu
convey	agarsiisuu
convince	amansiisuu
convinced	amane
cook	bilcheessuu
cooking	bilcheessuu
cool	diilallaa'aa
cooperation	gamtoomina
cope	ittiin qabuu
copper	sibiila diimaa
core	ijoo
corn	boqqolloo
corner	qarqara
correct	sirrii
cost	baasii
costume	uffannaa biyya tokkoo
cottage	mana xiqqoo baadiyyaa keessaa
cotton	jirbii
couch	soofaa
cough	qufaa
could	danda'uu
council	gorsaa
counter	minjaala bal'aa
count	lakkaa'uu
country	biyya
countryside	baadiyyaa
couple	jaalalleewwan
courage	ija-jabina
course	karaa
courtesy	ilaafi ilaamee
court	mana murtii
cousin	ilmaan obbolootaa
cover	uwwisuu
coward	sodaataa
cow	sa'a
cozy	namatti kan tolu
crab	torbaan qabaa
crack	baqaqaa
craft	ogummaa harkaa
crap	qulqullina gad aanaa
crash	caccabuu
craving	hamuummachuu
crawl	daa'imuu
crazy	sammuun kan dhibame
create	uumuu
creative	uumuu kan danda'u
credit	liqaa
creep	suuta ejjechuu
creepy	miira sodaa namatti kan dhageessisu
crew	gartuu
crime	yakka
cringe	sodaadhaan walitti galuu
crisis	burjaaja'iinsa
criteria	ulaagaa
critical	xiyyeeffannoo kan barbaadu
criticism	qeequu
crop	midhaan
crops	midhaan
cross	qaxxaamuruu
crowded	ukkaamamaa
crowd	tuuta
crown	gonfoo
crow	qurruu
crucial	murteessaa
cruel	gara-jabeessa
cruise	bashannanaaf bishaanirra dooniin deemuu
crush	caccabsuu
cry	boo'uu
cucumber	kuukumbarii
cuddle	hammachuu
culture	aadaa
cunning	gowwoomsaa
cupboard	wanta qodaa manaa keessa naqatan
cup	waancaa
curb	to'annaa
cure	fayyisuu
curfew	yeroo sochii daangeffamaa
curiosity	waa tokko baruuf hawwii guddaa qabaachuu
curious	beekuuf hedduu barbaaduu
curly	mammaramaa
currency	maallaqa
currently	yeroo ammaatti
current	yeroo ammaa
curse	abaarsa
curtain	golgaa
cushion	huccuu wanti laafaan keessa tuulame
custom	aadaa
customer	maamila
customs	barsiifatawwan
cute	miidhagduu
cut	kutuu
cycle	marsaa
cycling	marsuu
dad	abbaa
daddy	aabboo
daily	guyyaa guyyaatti
dairy	kan aannanii
damage	barbadaa'uu
dam	hidhaa
damn	abaaruu
damp	jiidhaa
dance	shubbisa
danger	hamaa
dangerous	balaafamaa
dark	duukkana
darling	jaalallee
dash	saffisaan fiiguu
data	odeeffannoo funaaname
date	guyyaa
daughter	intala
day	guyyaa
dead	du'aa
deadline	guyyaa dhumaa
deaf	kan gurri hin dhageenye
deal	waliigaltee
Dear All	Jaallatamtoonni  Hundi
Dear Customer	Jaallatamaa Maamilaa
dear	kabajamoo
Dear Parents	Jaallatamoo Maatii
Dear Sir	Jaallatamoo Obbo
Dear students	Jaallatamoo barattootaa
Dear Team	Jaallatamaa Gare
death	du'a
debate	falmii
debit	maallaqa herregarraa baafachuu
debris	caccabaa
debt	liqaa
decade	waggaa kudhan
decay	tortoruu
deceased	kan obbaafate
deceive	gowwomsuu
december	muddee
decent	fudhatamaa
decided	murteesse
decide	murteessuu
decision	murtoo
deck	lafa doonii isa irra keessaa
decline	gadi bu'uu
decrease	hir'isuu
dedicated	ofkennaa
dedication	of kennuu
deed	gocha
deep	gadi fagoo
deer	bosonuu
defeat	mo'uu
defend	irraa ittisuu
define	hiikuu
definitely	sirriimatti
definition	hiika
degree	digirii
delay	boodatti hafuu
delayed	harkifate
delete	haquu
deliberate	beekaa
delicate	salphaatti kan miidhamu
delicious	mi'aawaa
delighted	gammadaa
delight	gammachuu
delivered	qaqqabsiise
deliver	qaqqabsiisuu
delivery	qaqqabsiisuu
demand	barbaaduu
demanding	kan barbaadu
democracy	dimookiraasii
demon	hafuura hamaa
demonstrate	agarsiisuu
denied	gane
density	guujja'a
dentist	ogeessa wal'aansa ilkaanii
deny	ganuu
department	qajeelcha
departure	bakka tokkoo gadhiisuu
depend	itti hirkachuu
deploy	loltuu bakka tokkotti geessuu
deposit	kuusuu
depressed	mukaa'aa
depression	mukuu hamaa
depth	gadi fageenya
describe	ibsuu
description	ibsa
desert	gammoojjii
deserve	kan malu
designation	galma
design	tolfama
desire	hawwii
desk	barcuma
despair	abdii kutannaa
desperate	abdii kutataa
despite	osoo ta'ee jiruu
dessert	nyaatatti aantuu
destination	galma
destiny	hiree
destroy	balleessuu
destruction	jeequmsa
detail	gadi fageenya
details	gadifageenyaan
detect	bira ga'uu
determination	kutannoo
determined	kutataa
determine	murteessuu
devastated	balleeffame
developed	guddate
development	guddina
develop	misoomsuu
device	meeshaa
devil	seexana
devoted	kan of kenne
Dhivehi	Diveehii
diabetes	dhibee sukkaaraa
diarrhea	garaa kaasaa
diary	seenaa jireenyaa
dictionary	galmee jechootaa
did	godhe
died	du'e
die	du'uu
diet	akaakuu nyaataa
difference	garaagarummaa
different	gargar
difficult	rakkisaa
dignity	kabaja
dig	qotuu
diligent	dhimmaa
dinner	irbaata
dip	dhangala'aa keessaa cuuphanii baasuu
direction	kallattii
direct	kallattiidhaan
director	qindeessaa
dirt	xurii
dirty	xuraa'aa
disable	akka hin hojjenne gochuu
disabled	miidhamaa
disappear	baduu
disappointed	mufate
disaster	balaa
discard	keessaa gatuu
discharge	baasuu
discipline	naamuusa
discount	gatii gadi bu'aa
discover	argachuu
discrimination	nama qooduu
discussion	marii
discuss	mari'achuu
disease	dhukkuba
diseases	dhibeewwan
disguise	salphisuu
disgusting	jibbisiisaa
dishes	saayinaawwan
dish	gabatee
dismiss	balleessuu
dispatch	facaasuu
display	agarsiisa
disposal	gatuu
dispute	walitti bu'iinsa
distance	fageenya
distinct	adda
distinguish	gargar baasuu
distress	yaaddoo cimaa
distribution	raabsaa
district	aanaa
disturb	jeequu
ditch	boolla
dive	bishaanitti utaaluu
diverse	akaakuu hedduu
diversity	garaagarummaa
divide	hiruu
divine	waaqa
divorce	wal hiikuu
dizzy	dunquqqaa'aa
doctor	dooktora
document	sanada
does	godhe
doesn't	inni  hin ...
Dogri	Dogrii
dog	saree
do	hojjedhu
doing	gochuu
doll	ashaangulliitii
domain	daangaa gareen tokko keessa jiru
domestic	kan mana keessaa
dominant	kan hunda of jala aansee mul'atu
donate	gumaachuu
done	raawwatame
donkey	harree
don't	hin
Don't worry	Hin yaadda'in
dope	baala sammuu namaa adoochu
double	dachaa
doubt	shakkii
dough	bukoo
down	gadi
download	buusuu
do you	ati ...
do you love me	ati na jaallattaa
draft	axeereraa
drag	lafarra harkisuu
drain	yaasuu
drama	do'ii
drawer	saanduqa kiisa qabu
drawing	fakkii
draw	kaasuu
dread	fagootti sodaachuu
dream	abjuu
dress	uffachuu
drill	uruu
drink	dhuguu
drive	oofuu
drop	gadi bu'uu
dropped	lafa buuse
drought	oongee
drunk	machaa'aa
dry	gogaa
duck	daakiyyee
dude	namana
due	ga'e
due to	sababa kanaatiif
dull	doomaa
dumb	didaa
dump	gatuu
duration	turtii murtaa'e
during	yeroo
dust	awwaara
duty	hojii
dwell	jiraachuu
dying	du'aa kan jiru
each other	wal
each	tokkoon tokkoon
eager	beekuuf ariifachuu
eagle	joobira
ear	gurra
earlier	dursa
early	dursa
earn	argachuu
ears	gurra
earth	dachee
earthquake	kirkira lafaa
ease	salphisuu
easily	salphaatti
east	baha
easy	salphaa
eating	nyaachuu
eat	nyaachuu
economic	kan diinagdee
economy	diinagdee
edge	fiixee
edit	gulaaluu
education	barumsa
effect	dhiibbaa
effective	bu'a-qabeessa
efficiency	qisaasama malee hojjechuu
efficient	kan hin qisaasessine
effort	carraaqqii
egg	killee
eggplant	akaakuu kuduraa avocaadoo fakkaatu
ego	of
eighteen	kudha saddeet
eight	saddeet
eighty	saddeettama
either	yookaan
elaborate	ibsuu
elbow	ciqilee
elder	angafa
elderly	maanguddoo
elegant	bifaafi amalaan kan nama harkisu
element	qabiyyee
elephant	arba
eleven	kudha tokko
eligible	ulaagaa kan guutu
eliminate	balleessuu
else	biraa
embarrassed	qaana'e
embarrassing	kan qaanii namatti dhageessisu
embrace	haammachuu
emergency	atattama
emerge	waa keessaa ba'ee mul'achuu
emotional	miiraan guutamuu
empathy	namaa ho'uu
emphasis	xiyyeeffannoo
emphasize	irratti xiyyeeffachuu
employee	qacaramaa
employees	hojjettoota
employer	kan qacaru
employment	hojii
empty	duwwaa
enable	dandeessisuu
encounter	nama mudachuu
encourage	jajjabeessuu
endangered	kan balaaf saaxilame
endeavor	carraaqqii
endurance	jabina
endure	obsaan danda'uu
end	xumura
enemy	diina
energy	annisaa
engaged	kaadhimamuu
engagement	kaadhimamuu
engage	naqachuu
engineer	injinara
engine	mootora
English	Afaan Ingilizii
enhance	jabeessuu
enjoy	bashannani
enormous	hedduu
enough	gahaa
ensure	mirkaneessuu
enter	seenuu
entertainment	bohaaruu
enthusiasm	gammachuu
enthusiastic	gammadaa
entire	guutummaasaa
entitled	gaarummaatu naaf ta'a jedhee kan amanu
entity	qaama
entrance	seensa
entrepreneur	hojii uumaa
envelope	uwwisuu
environment	naannoo
envy	weennoo
epic	walaloo miira kakaasu
epidemic	weerara
equal	walqixxee
equipment	meeshaa
equity	al-loogummaa
equivalent	kan walgitu
eraser	haqxuu
error	dogoggora
escape	miliquu
especially	keessumaa
essay	barreeffama dheeraa
essence	maalummaa
essential	murteessaa
established	hundeeffamuu
establish	hundeessuu
estate	lafa bal'aa baadiyyaa keessaa manni guddaan irra jiru
estimated	tilmaamame
estimate	tilmaamuu
etc	kkf
eternal	kan barabaraa
ethics	safuu
evaluate	madaaluu
evaluation	qormaata
evening	galgala
even	-iyyuu
even though	haa ta'u malee
event	taatee
eventually	dhumarratti
everybody	nama hunda
everyone	nama hundumaa
ever	yoomiyyuu
everything	waa hunda
every	tokkoon tokkoon
evidence	ragaa
evil	hamaa
evolution	jijjiirama tirannaa
evolve	bifa jijjiirrachuu
Ewe	Eewee
exact	ijasee
exactly	sirriidhumatti
examine	sakatta'uu
example	fakkeenya
exam	qormaata
exceed	darbuu
excellent	baay'ee gaarii
exception	addatti
except	malee
excess	darbaa
excessive	darbaa
exchange	waljijjiiruu
excited	gammadaa
excitement	gammachuu
exciting	kan nama gammachiisu
exclusive	gartuu murtaa'eef qofa
excuse	dhiifama
excuse me	dhiifama
execute	hojii geggeessuu
execution	karoora ykn ajaja raawwachuu
executive	oogganaa ol-aanaa
exercise	shaakala
exhaust	baay'ee dadhabsiisuu
exhausted	mudhukaa
exhibit	agarsiisuu
exhibition	agarsiisa
existence	jiraachuu
existing	kan jiru
exist	jiraachuu
exit	ba'uu
ex	kan duraanii
expand	bal'isuu
expected	kan eegame
expect	eeguu
expenses	baasiiwwan
expensive	qaalii
experience	muuxannoo
experiment	yaalii
expert	ogeessa
expired	kan yeroon faayidaa kennu irra darbe
explain	ibsuu
explanation	ibsa
exploit	akka hin taanetti bu'aa irraa argachuu
explore	gadi fageenyaan ibsuu
export	alergii
exposed	saaxilame
expose	saaxiluu
exposure	saaxilama
express	ibsuu
expression	ibsa
extend	dheeressuu
extended	dheerate
extension	dheerachuu
extent	hamma
external	kan alaa
extinct	dacheerraa kan bade
extract	keessaa baasuu
extra	irraa hafaa
extraordinary	wanta gonkumaa hin baratamin
extreme	baay'ee darbaa
extremely	baay'ee darbaa
eye	ija
eyes	ija
fabric	huccuu
fabulous	kan baratameen ala
face	fuula
facilitate	mijeessuu
facilities	meeshaalee
facility	meeshaalee
fact	dhugaa
factor	sababa
factory	warshaa
facts	dhugaawwan
fade	gad dhiisuu
failed	kufe
fail	kufuu
failure	kufaatii
faint	of wallaaluu
fairly	osoo wal hin caalchisin
fair	walqixxee
