tshiṱuku	a little
murathu	brother
mulamu	brother in law
renga	brought
khakhi	brown
bulatsho	brush
mufaro	bucket
khonani	buddy
mugaganyagwama	budget
tshilumi	bug
fhaṱa	build
tshifhaṱo	building
fhaṱwa	built
ṅanda	bulk
mboho	bull
mutsikeledzi	bully
thula	bump
tshigwada	bunch
dzanda	bundle
hwala	burden
muhwalo	burden
vhulunga	buried
fhisa	burn
phamuwa	burst
vhulunga	bury
bisi	bus
ḓaka	bush
bindu	business
kwashea	bust
farekanea	busy
fhedzi	but
batha	butter
tshisusu	butterfly
gunubu	button
renga	buy
nga	by
habe	by the way
sala zwavhuḓi	bye
khavhishi	cabbage
khabinethe	cabinet
hoko	cage
khekhe	cake
ṋamana	calf
vhidza	call
mbidzo	call
mpfouneleni	call me
vhudzwa	called
vhila	calm
swika	came
fulo	campaign
tshikoṱikoṱi	can
kona	can
nga si kone	can't
Thutha	Cancel
pfuko	cancer
kona	capable
tshikhala	capacity
pfuma	capital
ṱhalusatshifanyiso	caption
fara	capture
goloi	car
buḓo	career
ṱhogomela	careful
vhuronwane	carefully
u sa londa	careless
londa	caring
muvhaḓi	carpenter
ṱapiṱa	carpet
kherotse	carrot
hwala	carry
bvelaphanḓa	carry on
ita	carry out
mulandu	case
tshelede	cash
vhatambi	cast
khasela	castle
tshifhinganyana	casual
tshimange	cat
fara	catch
khethekanyo	category
kholomo	cattle
farwa	caught
tshiitisi	cause
vhulondo	caution
thanyela	cautious
bako	cave
imisa	cease
siliṅi	ceiling
pembela	celebrate
tsiki	cell
vhukati	center
ḓana	century
mukapu	cereal
vhuṱambo	ceremony
zwiṅwe	certain
zwavhukuma	certainly
ṱhanziela	certificate
mutevhe	chain
tshidulo	chair
khaedu	challenge
tshikhala	chance
shanduka	change
vilili	chaos
mvumbo	character
vhuvha	characteristics
badelisa	charge
vhuthu	charity
ungeledza	charming
tshati	chart
tevhela	chase
amba	chat
nyambedzano	chat
u sa ḓura	cheap
fhura	cheat
fhura	cheating
sedzulusa	check
tsedzuluso	check
shama	cheek
ṱuṱuwedza	cheer
dakalo	cheerful
ṱuṱuwedza	cheers
tshizi	cheese
khemisiṱiri	chemistry
funesa	cherish
tshese	chess
khana	chest
ṱafuna	chew
khuhu	chicken
khosi	chief
ṅwana	child
vhuhana	childhood
vhana	children
shothodzo	chill
rothola	chill
tshumela	chimneys
tshiṱefu	chin
tshokoḽeithi	chocolate
khetho	choice
nanga	choose
rema	chop
mishumo	chores
khwaṱha	chubby
kereke	church
sinamono	cinnamon
tshitendeledzi	circle
zwiimo	circumstances
mudzulapo	citizen
ḓorobo	city
mbilo	claim
vhila	claim
bvisela khagala	clarify
kiḽasi	class
vumba	clay
kuna	clean
vhonadza	clear
vhonadzaho	clear
mabalane	clerk
ṱalifha	clever
khasiṱama	client
luwa	cliff
kilima	climate
gonya	climb
nambatela	clingy
watshi	clock
vala	close
kilosethe	closet
labi	cloth
zwiambaro	clothes
gole	cloud
u vha na makole	cloudy
ramiswaswo	clown
lusevheḓi	clue
madebe	clumsy
tshigwada	cluster
mugudisi	coach
gudisa	coach
malasha	coal
phendelashango	coast
dzhasi	coat
kofi	coffee
muhumbulo	cognitive
tshiḓaṅwe	coincidence
rothola	cold
wa	collapse
kholoro	collar
mushumisani	colleague
vhashumisani	colleagues
kuvhanganya	collect
khuvhanganyo	collection
khoḽedzhi	college
muvhala	color
muvhala	colour
kholomo	column
gamu	comb
phaṱhekano	combination
baḓekanya	combine
ḓa	come
iḓani ngeno	come here
u thoma nga zwiṱuku	come on
u ḓigeḓa	comfort
fushea	comfortable
u ḓa	coming
u ḓa hu si kale	coming soon
langa	command
bula muhumbulo	comment
vhuvhambadzi	commercial
khomishini	commission
ḓiimisela	commit
ḓivhofha	commitment
ḓiimisela	committed
tshivhambadzwa	commodity
ḓowelea	common
amba	communicate
vhudavhidzani	communication
tshitshavha	community
leludza	commute
mufheletshedzi	companion
khamphani	company
vhambedza	compare
vhambedza	comparison
u pfela vhuṱungu	compassion
u pfela vhuṱungu	compassionate
livhanaho	compatible
pikisana	compete
vhukoni	competent
mbambe	competition
mupikisano	competitive
vhilahela	complain
vhilahela	complaint
nyengedzo	complement
engedza	complement
ḓadza	complete
khunyelelaho	completely
tserekano	complex
vhutevhedzi	compliance
ṱanganana	complicated
fhululedza	compliment
shumisana	comply
mbumbeo	composition
mbumbano	compound
kupfesesele	comprehension
nga vhuḓalo	comprehensive
thendelano	compromise
tendelana	compromise
khombekhombe	compulsory
khomphiyutha	computer
futelela	concentrate
muṱalukanyo	concept
vhilahela	concern
mbilahelo	concern
tswenyalea	concerned
khontsati	concert
maṅweledzo	conclusion
tshikwamea	concrete
khonkhela	concrete
tshiimo	condition
nyimele	conditions
vhuḓifari	conduct
ṱangana	conference
u ḓibula	confess
vhuḓifulufheli	confidence
vhuḓifulufheli	confident
khwaṱhisedza	confirm
khuḓano	conflict
ḓaḓa	confused
nḓaḓo	confusion
ri a fhululedza	congrats
fhululedza	congratulation
u fhululedza	congratulations
ḽiṱanganyi	conjunction
ṱuma	connect
fhenya	conquer
fhima	conscious
dzivhuluwa	consciousness
tendela	consent
thendelo	consent
masiandaitwa	consequences
ndondolo	conservation
muhanatshanduko	conservative
dzhiela nzhele	consider
dzielwaho nṱha	considered
katela	consist
tshifhinga tshoṱhe	consistency
nzio	consistent
sa fhidzi	constant
tshifhinga tshoṱhe	constantly
muzwimbelo	constipation
fhaṱa	construction
shumisa	consume
ḽa	consumption
khwamano	contact
kwama	contact
phirela	contagious
i na	contain
i na	contains
tshizwinozwino	contemporary
lunyadzo	contempt
zwirengomu	content
muṱaṱisano	contest
tsiangane	context
dzhango	continent
bvelaphanḓa	continue
fhungudzea	contract
konṱhiraka	contract
ndivhanyo	contrast
livhanya	contrast
thusa	contribute
lweṱo lweṱo	contribution
langa	control
maluṱa	controversial
tshivhuya	convenience
teaho	convenient
nyambedzano	conversation
rembuluwa	convert
murembuluwi	convert
isa	convey
fhembeledza	convince
tendisea	convinced
zwibikwa	cook
bika	cook
bika	cooking
vhuḓi	cool
rothola	cool
vhuanḓani	cooperation
langa	cope
musina	copper
mutheo	core
tshikoli	corn
khuḓa	corner
zwone	correct
ḓura	cost
mbadelo	cost
khositshumu	costume
thumba	cottage
muḓali	cotton
sofa	couch
hoṱola	cough
hu nga	could
khoro	council
vhalela	count
khaunthara	counter
shango	country
mahayani	countryside
vhafunani	couple
ṱhuṱhuwedzo	courage
nḓila	course
khothe	court
vhuhwavho	courtesy
muzwala	cousin
thivha	cover
kholomo	cow
goswi	coward
dzulisea	cozy
ḓambatshekwa	crab
fhanduwa	crack
ḽiṅa	crack
vhutsila	craft
tshika	crap
thula	crash
lutamo	craving
kokovha	crawl
penga	crazy
sika	create
vhutsila	creative
tshikolodo	credit
dodoma	creep
ofhisa	creepy
tshigwada	crew
vhugevhenga	crime
shonisa	cringe
shona	cringe
vilili	crisis
maga	criteria
shushaho	critical
tsatsaladzo	criticism
tshiliṅwa	crop
zwiliṅwa	crops
pfuka	cross
tshifhambano	cross
u lila ha mukukulume	crow
tshigwada	crowd
hu na nyavhanyavha	crowded
khare	crown
zwandeme	crucial
tshiṱuhu	cruel
lwendo	cruise
kwasha	crush
tshigwada	crush
lila	cry
khukhamba	cucumber
kuvhatedza	cuddle
mvelele	culture
fhuredzela	cunning
khaphu	cup
khabodo	cupboard
thivhela	curb
fhodza	cure
phodzo	cure
tshikalo tsha magumo	curfew
u ṱoḓa u ḓivha	curiosity
vhusedzesi	curious
songana	curly
tshelede	currency
zwino	current
zwino	currently
ṱatshilela	curse
xaraḓeni	curtain
tshisiamelo	cushion
maitele	custom
murengi	customer
mikhwa	customs
tshea	cut
mutwe	cut
zwavhuḓi	cute
mutevheṱhanḓu	cycle
u tshova baisigira	cycling
khotsi	dad
khotsi	daddy
ḓuvha nga ḓuvha	daily
mafhi	dairy
damu	dam
tshinyadza	damage
tshinyalelo	damage
sasaladza	damn
muṋuṋu	damp
tshina	dance
khombo	danger
khombo	dangerous
swiswi	dark
mufunwa	darling
pwashekanya	dash
data	data
ḓuvha ḽa	date
datumu	date
musidzana	daughter
ḓuvha	day
fa	dead
tshifhinga tsha u fhedzisa	deadline
dzinganḓevhe	deaf
thendelano	deal
shuma na	deal
mufunwa	dear
Kha Vhoṱhe	Dear All
Ha Murengi	Dear Customer
Kha Vhabebi	Dear Parents
Kha Vho	Dear Sir
Kha matshudeni	Dear students
Kha Thimu	Dear Team
lufu	death
khanedzano	debate
tshikolodo	debit
matshakatshaka	debris
tshikolodo	debt
miṅwaha ya fumi	decade
sina	decay
mufu	deceased
fhura	deceive
nyendavhusiku	december
tshavhuḓi	decent
tshea	decide
tshea	decided
tsheo	decision
tshitizi	deck
hana	decline
fhungudza	decrease
ḓiimisela	dedicated
vhukumedzi	dedication
nyito	deed
tsa	deep
u sa badela	default
kunda	defeat
gundo	defeat
pilela	defend
ṱalutshedzani	define
zwa vhukuma	definitely
ṱhalutshedzo	definition
digirii	degree
tshilengo	delay
lenga	delay
lengiswa	delayed
thutha	delete
nga khole	deliberate
tshiafhukanyei	delicate
ḓifha	delicious
takalani	delight
takadzea	delighted
isa	deliver
rumelwa	delivered
isedza	delivery
muvhilo	demand
vhila	demand
lemelaho	demanding
vhuvhusavhoṱhe	democracy
dimoni	demon
sumbedzisa	demonstrate
hanelwa	denied
tshileme	density
dokotela wa maṋo	dentist
hana	deny
muhasho	department
ṱuwa	departure
fhulufhela	depend
rumela	deploy
mbulungelo	deposit
vhulunga	deposit
tsikiwa	depressed
mutsiko	depression
vhudzivha	depth
buletshedza	describe
ṱhalutshedzo	description
soga	desert
fanelwa	deserve
ola	design
nyolo	design
vhuimo	designation
dzangalelo	desire
takalela	desire
desike	desk
ḽata fulufhelo	despair
tshaya fulufhelo	desperate
naho	despite
soga	dessert
vhuyo	destination
vhuyo	destiny
kwasha	destroy
tshinyadzo	destruction
zwidodombedzwa	detail
zwidodombedzwa	details
wanulusa	detect
vhuḓiimiseli	determination
ḓifunga	determine
ḓiimisela	determined
vhaisala	devastated
bveledza	develop
bveledzwa	developed
mveledziso	development
tshishumiswa	device
saṱhane	devil
ṋekedzela	devoted
vhulwadze ha swigiri	diabetes
u shela	diarrhea
dayari	diary
ṱhalusamaipfi	dictionary
ita	did
fa	die
lovha	died
nndyo	diet
phambano	difference
fhambana	different
konḓa	difficult
bwa	dig
tshirunzi	dignity
vhuronwane	diligent
tshilalelo	dinner
dipa	dip
twii	direct
sia	direction
mulangi	director
tshika	dirt
tshikafhala	dirty
vhuholefhali	disable
holefhala	disabled
ngalangala	disappear
nyamiswa	disappointed
khombo	disaster
laṱa	discard
malanga	discharge
sia	discipline
luafhulelo	discount
tumbula	discover
khethululo	discrimination
ambedzana	discuss
therisano	discussion
vhulwadze	disease
malwadze	diseases
kanganyisa	disguise
fhambanya	disgusting
avha	dish
zwigoḓelo	dishes
pandela	dismiss
rumela	dispatch
ṱana	display
laṱa	disposal
phambano	dispute
tshikhala	distance
fhambana	distinct
fhambanya	distinguish
khanganeo	distress
kovhekanya	distribution
tshiṱiriki	district
khakhisa	disturb
laṱa	ditch
ita tshinwi	dive
fhambanaho	diverse
phambano	diversity
khethekana	divide
khethwa	divine
ṱhalano	divorce
ṱala	divorce
dzungu	dizzy
itani	do
ni nga	do you
ni a mpfuna naa	do you love me
dokotela	doctor
ḽiṅwalo	document
ita	does
a i	doesn't
nngwa	dog
ita	doing
mpopi	doll
domeini	domain
hayani	domestic
thakhula	dominant
ni songo	don't
Ni so ngo vhilahela	Don't worry
ṋea	donate
fhedza	done
donngi	donkey
zwidzidzivhadzi	dope
vhilidza	double
kavhili	double
timatima	doubt
suko	dough
fhasi	down
-sudzulusa	download
mvetomveto	draft
kokodza	drag
muela	drain
ḽitambwa	drama
ola	draw
ola	drawer
muolo	drawing
nyofho	dread
muloro	dream
lora	dream
rokho	dress
vhora	drill
nwa	drink
tshinwiwa	drink
reila	drive
i sa	drop
ḓorobo	drop
wisa	dropped
gomelelo	drought
kambwa	drunk
oma	dry
tinya	duck
tshiduna	dude
fanelaho	due
nga mulandu wa	due to
tshiḓahela	dull
tshimuma	dumb
laṱa	dump
tshikhala	duration
nga	during
buse	dust
mushumo	duty
dzula	dwell
lovha	dying
tshṅwe na tshiṅwe	each
riṋe	each other
tama	eager
goni	eagle
nḓevhe	ear
tshifhingani tsho fhiraho	earlier
mathomoni	early
hola	earn
nḓevhe	ears
shango	earth
mudzinginyo wa shango	earthquake
leludza	ease
leluwa	easily
vhubvaḓuvha	east
leluwa	easy
ḽa	eat
u ḽa	eating
ekonomi	economic
ekonomi	economy
magumoni	edge
dzudzanya	edit
pfunzo	education
mbuelo	effect
vhukuma	effective
vhukone	efficiency
vhukoni	efficient
nungo	effort
kumba	egg
brinzhala	eggplant
u ḓi pfa	ego
malo	eight
fumimalo	eighteen
fumalo	eighty
kana	either
ṱalutshedza	elaborate
lukuḓavhavha	elbow
muhulwane	elder
muhulwane	elderly
dzhavhela	elegant
elemennde	element
nḓou	elephant
fuminthihi	eleven
teaho	eligible
bvisa	eliminate
kana	else
shoniswa	embarrassed
shonisa	embarrassing
kuvhatedza	embrace
bvelela	emerge
shishi	emergency
nyanyuwo	emotional
u pfela vhuṱungu	empathy
ombedzela	emphasis
khwaṱhisedza	emphasize
mushumi	employee
vhashumi	employees
mutholi	employer
mushumo	employment
a hu na tshithu	empty
tendela	enable
ṱangana	encounter
ṱuṱuwedza	encourage
mafheloni	end
i songo tsireledzeaho	endangered
lingedza	endeavor
konḓelela	endurance
konḓelela	endure
swina	enemy
fulufulu	energy
u vha tshipiḓa	engage
fhulufhedziswa	engaged
ndangano	engagement
nzhini	engine
inzhinia	engineer
Tshiisimane	English
hudza	enhance
ḓifhelwa	enjoy
ḽihuluhulu	enormous
lingana	enough
vhona	ensure
dzhena	enter
mvumvusa	entertainment
mafulufulu	enthusiasm
takadzaho	enthusiastic
zwoṱhe	entire
tendelwa	entitled
tshiimiswa	entity
ha u dzhena	entrance
ramabindu	entrepreneur
fulobo	envelope
vhupo	environment
vivho	envy
maṱhakheni	epic
dwadze	epidemic
lingana	equal
tshishumiswa	equipment
mikovhe	equity
ndingano	equivalent
raba	eraser
phoswo	error
ponyoka	escape
nga maanḓa	especially
maanea	essay
vhukwaho	essence
ndeme	essential
thoma	establish
thomiwa	established
thakha	estate
anganya	estimate
anganye	estimated
na zwiṅwe vho	etc
tshi sa gumi	eternal
mvumbo	ethics
ṱhaṱhuvha	evaluate
vhuṱhaṱhuvhi	evaluation
naho	even
naho	even though
madekwana	evening
vhuṱambo	event
mafheloni	eventually
linge	ever
tshifhinga tshoṱhe	every
muṅwe na muṅwe	everybody
muṅwe na muṅwe	everyone
tshiṅwe na tshiṅwe	everything
vhuṱanzi	evidence
vhuvhi	evil
vhubvelele	evolution
shanduka	evolve
kwa	exact
nga u ralo	exactly
mulingo	exam
ṱola	examine
tsumbo	example
pfukisa	exceed
vhuḓivhuḓi	excellent
nga nnḓa ha	except
phambuwi	exception
nyengedzedzwa	excess
u fhira ndingano	excessive
thengiselano	exchange
takala	excited
dakalo	excitement
zwitakadzaho	exciting
khetheaho	exclusive
pfarelo	excuse
ni ri mini	excuse me
ita	execute
ita	execution
khoro	executive
nḓowenḓowe	exercise
netisa	exhaust
neta	exhausted
ṱana	exhibit
ṱana	exhibition
vha hone	exist
u vha hone	existence
u vha hone	existing
u bva	exit
engedza	expand
lavhelela	expect
lavhelelwa	expected
tshinyalelo	expenses
tshenzhemo	expensive
tshenzhela	experience
tshenzhemo	experience
ḽiedza	experiment
ntende	expert
u fhelelwa nga tshifhinga	expired
ṱalutshedza	explain
ṱhalutshedzo	explanation
tambudza	exploit
tandula	explore
tshivhambadzwaseli	export
ṱana	expose
bvisela khagala	exposed
dzumbululwa	exposure
vhuḓipfi	express
vhuḓinyanyuli	expression
engedza	extend
engedzedza	extended
nyinganyito	extension
tshikalo	extent
nnḓa	external
u sa tsha wanala	extinct
nyengedzedzo	extra
bvisa	extract
zwi so ngo ḓoweleaho	extraordinary
kalula	extreme
kalulaho	extremely
maṱo	eye
maṱo	eyes
labi	fabric
no nga muloro	fabulous
tshifhaṱuwo	face
livhana	face
leludza	facilitate
zwileludzi	facilities
tshiimiswa	facility
mbuno	fact
nyanyuwo	factor
ḽimaga	factory
mbuno	facts
haluluwa	fade
feila	fail
feila	failed
feila	failure
neta	faint
kwao	fair
haluluwa	fair
zwone	fairly
tshiholendali	fairy
lutendo	faith
fulufhedzea	faithful
kholekhole	fake
wa	fall
TSHI SI TSHONE	false
bvumo	fame
ḓivheaho	familiar
muṱa	family
nḓala	famine
ḓivheaho	famous
tshipelupelu	fan
mutevheli	fan
madzanga	fancy
zwa khwinesa	fantastic
kule	far
tshimbilani zwavhuḓi	farewell
bulasi	farm
rabulasi	farmer
takadzaho	fascinating
fesheni	fashion
ṱavhanya	fast
khwaṱha	fat
isa lufuni	fatal
mashudumavhi	fate
khotsi	father
maneto	fatigue
khakha	fault
mufunwa	favorite
thuso	favour
funwa	favourite
nyofho	fear
ofha	fear
vhuṱambo	feast
muthenga	feather
vhuvha	feature
vhuvha	features
luhuhi	february
neta	fed up
mbadelo	fee
fusha	feed
vhiga	feedback
thetshelesa	feel
vhuḓipfi	feeling
mulenzhe	feet
wa	fell
muraḓo	fellow
pfa	felt
tshifumakadzini	female
luhura	fence
vhibvelaho	fertile
vhuṱambo	festival
dzhia	fetch
mufhiso	fever
zwiṱuku	few
zwiṱuku	fewer
mufunwa	fiance
maṅwalwa	fiction
tsimu	field
khwaṱha	fierce
fumiṱhanu	fifteen
fuṱhanu	fifty
lwa	fight
nndwa	fight
nndwa	fighting
humbela	figure
tshivhumbeo	figure
tandulula	figure out
faila	file
ḓadza	fill
ḓadzwa	filled
fiḽimu	film
tshikafhala	filthy
tsha u fhedzisela	finally
masheleni	finance
masheleni	financial
wana	find
wana	find out
vhuḓi	fine
zwavhuḓi	fine
munwe	finger
fhedzisa	finish
fhedza	finished
mulilo	fire
ḽimaga	firm
magiwaho	firm
tsha u thoma	first
dzina	first name
khovhe	fish
tea	fit
ṱhanu	five
lugisa	fix
lugiswa	fixed
fuḽaga	flag
lupenyo	flash
fuḽethe	flat
navha	flat
khakho	flaw
hu si na mavhadzi	flawless
shavha	flee
ṋama	flesh
fhufha	flew
khothea	flex
u sa khwaṱha	flexible
bufho	flight
rembulusa	flip
heha	flirt
ṱunga	flirting
papamala	float
mukumbululo	flood
fuloro	floor
fuḽauru	flour
ela	flow
luvha	flower
mukhushwane	flu
elelaho	fluent
elela	fluently
bubu	fluffy
tshiluḓi	fluid
fhufha	fly
ndumbo	focus
lumba	focus
khuli	fog
hu na khuli	foggy
peta	fold
vhathu	folks
tevhekana	follow
sala murahu	follow up
tevhelaho	following
zwiḽiwa	food
