a	ا
application	ڤرموهونن
apply	موهون
appointment	تمو جنجي
appreciate	مڠهرڬاي
appreciation	ڤڠهرڬاءن
approach	ڤندكتن
appropriate	برڤاتوتن
approval	كلولوسن
approve	ملولوسكن
approved	دلولوسكن
approximately	لبيه كورڠ
april	اڤريل
arbitrary	سوينڠ وينڠڽ
architect	اركيتيك
architecture	سني بينا
archive	اركيب
are	اداله
are you	اداكه اوق
are you busy	ادكه اوق سيبوق
are you married	ادكه اوق سوده بركهوين
are you married or single	ادكه اوق سوده بركهوين اتاو ماسيه بوجڠ
Are you still there?	ادكه اندا ماسيه د سان؟
are you there	اداكه اوق دسانا
area	كاوسن
argue	بنته
argument	ڤربالهن
arise	تيمبول
arm	لڠن
army	تنترا
around	سكيتر
arrange	اتور
arrangement	سوسونن
arrival	كتيبأن
arrive	سمڤأي
arrived	سمڤأي
arrogant	سومبوڠ
arrow	انق ڤانه
art	سني
article	ارتيكل
artificial	تيروان
artist	ارتيس
as	اياله
as long as	اصلكن
as well	جوڬ
as well as	سرتا
ash	ابو
ashamed	مالو
ask	مينتا تاڽ
asked	برتاڽ
asleep	ترتيدور
aspect	اسڤيك
Assamese	اسم
assault	سراڠن
assembly	ڤرهيمڤونن
assertive	تڬس
assess	منيلاي
assessment	اوجين
asset	اسيت
assets	اسيت
assign	توڬسكن
assignment	توڬسن
assist	ممبنتو
assistant	ڤمبنتو
associate	كنلن
associated	برسكوتو
association	ڤرساتوان
assume	اڠڬڤن
assumption	تڠڬڤن
at	د
at least	ڤاليڠ كورڠ
ate	تله ماكن
athlete	اتليت
attach	لمڤيركن
attached	دلمڤيركن
attached	ملكت
attachment	لمڤيرن
attack	سراڠ
attempt	چوبأن
attend	حاضر
attendance	كحاضيرن
attention	ڤرهاتين
attitude	سيكڤ
attract	ترتاريق
attraction	تاريكن
attractive	مناريق
attribute	صفة
audience	ڤنونتون
august	اوڬوس
aunt	مق چئ
aunty	مقچئ
authentic	اصلي
author	ڤڠارڠ
authority	اوتوريتي
autumn	موسيم لوروه
available	ترسديا
average	ڤوراتا
avoid	ايلق
awake	ترجاڬ
award	انوڬره
aware	سدر
awareness	كسدرن
away	جاوه
awesome	لوار بياسا
awesome	هيبت
awful	تروق
awkward	چڠڬوڠ
Aymara	ايمارا
baby	بايي
bachelor	بوجڠ
back	بلاكڠ
back	كمبالي سمولا
background	لاتر بلاكڠ
bad	بوروق
bag	بيڬ
bait	اومڤن
bake	بكر
bakery	كداي روتي
baking soda	سود ڤناءيق
balance	باكي
balance	سإيمبڠ
ball	بولا
Bambara	بمبارا
banana	ڤيسڠ
band	ڤنچاراڬم
bang	دنتومن
bank	بڠك
bar	بر
barely	همڤير٢
bargain	تاور مناور
bark	كوليت كايو
barley	برلي
barrier	ڤڠهالڠ
base	اساس
based	براسسكن
basement	رواڠ باوه تانه
basic	اساس
basically	ڤد اساسڽ
basil	سلاسيه
bastard	بڠست
batch	كومڤولن
bath	مندي
bathroom	بيليق اير
battery	باتري
battle	ڤرتمڤوران
bay	تلوق
be	سبڬيتو
be	سباڬاي
be careful	برهاتي٢
beach	ڤنتاي
beam	ڤانچرن
beans	ككاچڠ
bear	منڠڬوڠ
bear	برواڠ
beard	جمبڠ
bearing	ڬالاس
beast	بيناتڠ
beat	ڤوكول
beautiful	چنتيق
beauty	كچنتيكن
became	منجادي
because	كران
become	منجادي
bed	كتيل
bedroom	بيليق تيدور
bee	لباه
beef	داڬيڠ
been	تله
beer	بير
before	سبلوم
began	برمولا
begin	برمولا
beginning	ڤرمولأن
behalf	ڤيهق
behave	برڤراڠاي
behavior	ڤريلاكو
behaviour	تيڠكه لاكو
behind	بلاكڠ
being	منجادي
belief	كڤرچايأن
believe	ڤرچاي
belly	ڤروت
belong	ميليق
beloved	ترچينتا
below	باوه
belt	تالي ڤيڠڬڠ
bench	بڠكو
bend	بيڠكوق
beneath	د باوه
benefit	كلبيهن
benefits	فاءيده
beside	دسيسي
besides	سلاين ايت
best	ترباءيق
best of luck	سموڬ برجاي
best regards	سلام سجهترا
better	لبيه باءيق
between	انتارا
beverage	مينومن
beyond	د لوار
Bhojpuri	بوجڤوري
bias	برت سبله
biased	برت سبله
bicycle	باسيكل
bid	بيد
big	بسر
bike	باسيكل
bill	بيل
bind	مڠيكت
bird	بوروڠ
birthday	هاري جادي
bit	سرڤيهن
bit	سديكيت
bite	ڬيڬيت
bitter	ڤاهيت
black	هيتم
blade	مات ڤيساو
blame	سالهكن
blank	كوسوڠ
blanket	سليموت
blast	لتوڤن
bleach	ڤلونتور
blend	بنچوه
bless	ممبركتي
blessed	دبركتي
blind	بوتا
bliss	كبهاڬيءن
block	هالڠ
blood	داره
bloom	مكر
blow	تيوڤ
blue	بيرو
blunt	تومڤول
board	ڤاڤن
boat	بوت
body	بادن
boil	ديديه
bold	براني
bond	ايكتن
bone	تولڠ
book	تمڤه
book	بوكو
boost	ڤراڠسڠ
booster	ڤراڠسڠ
boot	بوت
boots	كاسوت بوت
border	سمڤادن
bore	ممبوسنكن
bored	بوسن
boring	ممبوسنكن
born	دلاهيركن
borrow	ڤينجم
boss	بوس
both	كدوا دوا
bother	ڬڠوان
bottle	بوتول
bottom	باوه
bought	تله بلي
bounce	ملنتون
bound	تريكت
boundaries	سمڤادن
bow	توندوق
bowl	مڠڬكوك
box	كوتق
boy	بودق للاكي
boyfriend	تمن للاكي
bracelet	ڬلڠ تاڠن
brain	اوتق
branch	چاوڠن
brand	جنام
brave	براني
breach	ڤلڠڬارن
bread	روتي
break	ڤاته
break	ريحت
breakfast	سارڤن
breast	دادا
breath	نفس
breathe	برنفس
breed	بياق
brick	بات
bride	ڤڠنتين
bridge	جمبتن
brief	ريڠكسن
bright	ترڠ
brilliant	چمرلڠ
bring	باوا
bro	ابڠ
broad	لواس
broadcast	سيارن
broke	ڤچه
broken	روسق
broom	ڤڽاڤو
brother	ابڠ
brother in law	ابڠ ايڤر
brought	تله ممباوا
brown	چوكلت
brush	بروس
bucket	بلد
buddy	كاون
budget	باجيت
bug	سرڠڬا
build	بينا
building	باڠونن
built	دبينا
bulk	ڤوكل
bull	لمبو جنتن
bully	ڤمبولي
bump	بينجولن
bunch	سكومڤولن
bundle	بركس
burden	ببن
buried	دكبوميكن
burn	بكر
burst	ڤچه
bury	مڠبوميكن
bus	بس
bush	سيمق
business	ڤرنياڬان
bust	دادا
busy	سيبوق
but	تتاڤي
but	نامون
butter	منتيڬ
butterfly	راما راما
button	بوتڠ
buy	بلي
by	اوليه
by	دڠن
by the way	دڠن چارا ايت
by the way	باءيقله
bye	سلامت تيڠڬل
cabbage	كوبيس
cabinet	كابينيت
cage	ساڠكر
cake	كيك
calf	بتيس
call	ڤڠڬيل
call me	هوبوڠي ساي
called	دڤڠڬيل
calm	تنڠ
came	داتڠ
campaign	كيمڤين
can	بوليه
can't	تق بوليه
Cancel	بطل
cancer	باره
capable	ممڤو
capacity	كاڤسيتي
capital	مودال
caption	كڤشن
capture	منڠكڤ
car	كريتا
career	كرجاي
careful	برهاتي هاتي
carefully	برهاتي٢
careless	چواي
caring	ڤڽايڠ
carpenter	توكڠ كايو
carpet	ڤرمايداني
carrot	لوبق
carry	باوا
carry on	تروسكن
carry out	ملقساناكن
case	كيس
cash	توناي
cast	اچوان
cast	ليمڤر
castle	ايستان
casual	برسهاج
cat	كوچيڠ
catch	تڠكڤ
category	كاتڬوري
cattle	لمبو
caught	تله تڠكڤ
cause	سبب
caution	برهاتي٢
cautious	برهاتي٢
cave	ڬوا
cease	برهنتي
ceiling	سيليڠ
celebrate	مڽمبوت
cell	سيل
center	ڤوست
century	ابد
cereal	بيجيرين
ceremony	مجليس
certain	ڤستي
certainly	سمستيڽ
certificate	سيجيل
chain	رنتاي
chair	كروسي
challenge	چابرن
chance	ڤلواڠ
change	اوبه
chaos	كچاو بلاو
character	كاراقتر
characteristics	چيري٢
charge	مينودوه
charge	بايرن
charge	چج
charity	كبجيكن
charming	مناريق
chart	چرتا
chase	كجار
chat	بربوال
cheap	موره
cheat	منيڤو
cheating	منيڤو
check	سيمق
cheek	ڤيڤي
cheer	برسورق
cheerful	رينڬ
cheers	سوركن
cheese	كيجو
chemistry	كيميا
cherish	هرڬاي
chess	چاتور
chest	دادا
chew	مڠوڽه
chicken	ايم
chief	كتوا
child	انق
childhood	زمان كانق٢
children	انق
chill	سجوق
chimneys	چروبوڠ اسڤ
chin	داڬو
chocolate	چوكلت
choice	ڤيليهن
choose	ڤيليه
chop	منچينچڠ
chores	توڬس
chubby	مونتيل
church	ڬرجا
cinnamon	كايو مانيس
circle	بولتن
circumstances	نصيب
citizen	ورڬنڬارا
city	بندر
claim	منونتوت
clarify	جلسكن
class	كلس
clay	تانه ليات
clean	برسيه
clear	تربوقتي
clear	جلس
clerk	كراني
clever	چرديق
client	ڤلڠڬن
cliff	تبيڠ
climate	اقليم
climb	ڤنجت
clingy	ملكت
clock	جم
close	توتوڤ
closet	الماري
cloth	كاءين
clothes	ڤاكاين
cloud	اون
cloudy	مندوڠ
clown	بادوت
clue	ڤتونجوق
clumsy	چواي
cluster	كلومڤوك
coach	جورولاتيه
coal	ارڠ
coast	ڤنتاي
coat	لاڤيسن
coffee	كوڤي
cognitive	كوڬنيتيف
coincidence	كبتولن
cold	سجوق
collapse	رونتوه
collar	كولر
colleague	راكن
colleagues	راكن سكرجا
collect	كومڤول
collection	كوليكسي
college	كوليج
color	ورنا
colorless green ideas slept furiously	ايديا يڠ ناءيف دان منته بوليه مڽببكن اوتق سنتياس برفيكير كتيك اي چوبا اونتوق بريحت
colour	ورنا
column	كولوم
comb	سيكت
combination	ڬابوڠن
combine	ڬابوڠ
come	داتڠ
come here	داتڠ سيني
come on	ايوه
comfort	كسلسأن
comfortable	سليسا
coming	داتڠ
coming soon	اكن داتڠ
command	ڤرينته
comment	كومين
commercial	كومرسيال
commission	كوميسين
commit	ملاكوكن
commitment	كوميتمن
committed	كوميتد
commodity	كومودتي
common	عموم
communicate	بركومونيكاسي
communication	كومونيكاسي
community	كومونيتي
community	مشاركت
commute	براولڠ عليق
companion	ڤنمن
company	شريكت
compare	بنديڠ
comparison	ڤربنديڠن
compassion	بلس كاسيهن
compassionate	ڤڽايڠ
compatible	سراسي
compete	برساءيڠ
competent	كومڤتن
competition	ڤرتنديڠن
competitive	برداي ساءيڠ
complain	ادوان
complaint	ادون
complement	ڤيليڠكڤ
complete	سمڤورنا
complete	سلساي
completely	سڤنوهڽ
complex	كومڤليكس
compliance	ڤماتوهن
complicated	روميت
compliment	ڤوجيان
comply	مماتوهي
composition	ڬوبهن
compound	كومڤاون
comprehension	كفهمن
comprehensive	كومڤريهنسيف
comprehensive	مڽلوروه
compromise	برتولق انسور
compulsory	دواجبكن
computer	چومڤوتر
concentrate	مينومڤوكن ڤرهاتين
concept	كونسيڤ
concern	بيمبڠ
concerned	ڤرهاتين
concert	كونسرت
conclusion	كسيمڤولن
concrete	كوڠكريت
condition	كادأن
condition	شرط
conditions	شرط
conduct	منجالنكن
conference	ڤرسيداڠن
confess	مڠاكو
confidence	كيقينن
confident	يقين
confirm	ڤستي
conflict	كونفليك
confused	كليرو
confusion	ككليروان
congrats	تهنيئه
congratulation	تهنيئه
congratulations	تهنيئه
conjunction	كات هوبوڠ
connect	مڽمبوڠ
conquer	منعلوقي
conscious	سدر
consciousness	كسدرن
consent	كايذينن
consequences	كسن
conservation	ڤموليهارأن
conservative	كونسرۏاتيف
consider	ڤرتيمبڠكن
considered	دڤرتيمبڠكن
consist	ترديري
consistency	كونساستن
consistent	كونساستن
constant	سنتياسا
constantly	سچارا برتروسن
constipation	سمبليت
construction	ڤمبيناءن
consume	مماكن
consumption	ڤڠڬوناان
contact	هوبوڠي
contagious	برجڠكيت
contain	مڠندوڠي
contains	مڠاندوڠي
contemporary	كونتيمڤوراري
contempt	ڤڠهيناان
content	كندوڠن
contest	ڤرتنديڠن
context	كونتيكس
continent	بنوا
continue	تروسكن
contract	كونترك
contrast	ڤربيذأن
contribute	سومبڠن
contribution	سومبڠن
control	كاولن
controversial	كونتروۏرسي
convenience	كموداهن
convenient	برڬونا
conversation	ڤربوالن
convert	منوكر
convey	مڽمڤأيكن
convince	ميقينكن
convinced	يقين
cook	ماسق
cooking	مماسق
cool	تنڠ
cool	سجوق
cooperation	كرجاسام
cope	هادڤي
copper	تيمبڬ
core	ترس
corn	جاڬوڠ
corner	سودوت
correct	بتول
cost	كوس
costume	ڤاكاين
cottage	ڤوندوق
cotton	كاڤس
couch	سوف
cough	باتوق
could	بوليه
council	مجليس
count	بيلڠ
counter	كاونتر
country	نڬارا
countryside	لوار بندر
couple	ڤاسڠن
couple	ببراڤ
courage	سماڠت
course	لالوان
course	كورسوس
court	محكمه
court	ڬلڠڬڠ
courtesy	كسوڤنن
cousin	سڤوڤو
cover	منوتوڤي
cow	لمبو
coward	ڤناكوت
cozy	سليسا
crab	كتام
crack	رتق
craft	كراف
crap	كاروت
crash	لاڠر
craving	مڠيدم
crawl	مرڠكق
crazy	ڬيلا
create	چيڤتا
creative	كرياتيف
credit	كريديت
creep	مرايڤ
creepy	مناكوتكن
crew	كاكيتاڠن
crime	جنايه
cringe	مڠڬيڬيل
crisis	كريسيس
criteria	كريتيريا
critical	كريتيكال
criticism	كريتيكان
crop	ڤوتوڠ
crops	تانمن
cross	لينتس
crow	ڬاڬق
crowd	خلايق راماي
crowded	ڤدت
crown	مهكوتا
crucial	ڤنتيڠ
cruel	كجم
cruise	ڤلايران
crush	هنچوركن
cry	منڠيس
cucumber	تيمون
cuddle	ڤلوق
culture	بوديا
cunning	ليچئ
cup	چاون
cupboard	ڬروبوك
curb	ممبندوڠ
cure	سمبوه
curfew	ڤرينته بركوروڠ
curiosity	راس ايڠين تاهو
curious	حيران
curly	كرينتيڠ
currency	مات واڠ
current	سكارڠ
currently	سكارڠ اين
curse	سومڤهن
curtain	تيراي
cushion	كوسيين
custom	دتمڤه خاص
custom	كبياساان
customer	ڤلڠڬن
customs	كستم
cut	ڤوتوڠ
cute	چوميل
cycle	كيترن
cycling	برباسيكل
dad	ايه
daddy	ايه
daily	هارين
dairy	تنوسو
dam	امڤڠن
damage	كروساكن
damn	جهنم
damp	لمبڤ
dance	مناري
danger	بهاي
dangerous	بربهاي
dark	ڬلڤ
darling	سايڠ
dash	سمڤڠ
data	داتا
date	تاريخ
daughter	انق ڤرمڤوان
day	هاري
dead	ماتي
deadline	تيمڤوه اخير
deaf	ڤيكاق
deal	ڤرجنجين
dear	ترچينتا
Dear All	سموا يڠ دحرمتي
Dear Customer	باڬوس
Dear Parents	ايبو باڤ يڠ دحرمتي
Dear Sir	توان يڠ دحرمتي
Dear students	ڤلاجر يڠ دحرمتي
Dear Team	ڤاسوكن يڠ دحرمتي
death	كماتين
debate	ڤربهاسن
debit	ديبيت
debris	سرڤيهن
debt	هوتڠ
decade	ديكد
decay	ڤرڤوتن
deceased	منيڠڬل دنيا
deceive	ممڤرداي
december	دسيمبر
decent	سوڤن
decide	ڤوتوسكن
decided	دڤوتوسكن
decision	كڤوتوسن
deck	ڬلدق
decline	منولق
decrease	ڤنورونن
dedicated	دديكاسي
dedication	دديكاسي
deed	ڤربواتن
deep	دالم
deer	روسا
default	لالاي
defeat	تيواس
defend	ممڤرتاهنكن
define	منتعريفكن
definitely	سمستيڽ
definition	دفينيسي
degree	درجه
delay	كليواتن
delayed	دتڠڬوهكن
delete	ڤدم
deliberate	بحث
delicate	سني
delicious	سداڤ
delight	مڠڬمبيراكن
delighted	ڬمبيرا
deliver	هانتر
delivered	دهانتر
delivery	ڤڠهانترن
demand	ڤرمينتأن
demanding	منونتوت
democracy	ديموكراسي
demon	شيطان
demonstrate	منونجوقكن
denied	دينافيكن
density	كتومڤتن
dentist	دوكتور ڬيڬي
deny	ساڠكل
department	جابتن
departure	برلڤس
depend	برڬنتوڠ
deploy	برلڤس
deposit	ديڤوسيت
depressed	ترتكان
depression	ديڤريسي
depth	كدالمن
describe	ترڠكن
description	ڤنراڠن
desert	ڬورون
deserve	واجر
design	ريك بنتوق
designation	ڬلرن
desire	كايڠينن
desk	ميجا
despair	ڤوتوس اسا
desperate	تردسق
despite	مسكيڤون
dessert	ڤنچوچي مولوت
destination	ديستيناسي
destiny	تقدير
destroy	مموسناهكن
destruction	كموسنهن
detail	ترڤرينچي
details	بوتيرن
detect	مڠسن
determination	كچكالن
determine	تنتوكن
determined	برتيكد
devastated	هنچور
develop	ممڤركمبڠكن
developed	دباڠونكن
development	ڤركمبڠن
device	ڤرانتي
devil	شيطان
devoted	ستيا
Dhivehi	ضيۏيهي
diabetes	كنچيڠ مانيس
diarrhea	چيريت بيريت
diary	دياري
dictionary	كاموس
did	تله بوات
die	ماتي
died	ماتي
diet	دايت
difference	بيذا
different	ڤربيذأن
difficult	سوسه
dig	مڠڬلي
dignity	مرواه
diligent	تكون
dinner	ماكن مالم
dip	چلوڤ
direct	لڠسوڠ
direction	اره
director	ڤڠاره
dirt	كوتورن
dirty	كوتور
disable	لومڤوه
disabled	كورڠ اوڤاي
disappear	هيلڠ
disappointed	كچيوا
disaster	بنچانا
discard	بواڠ
discharge	ڤلڤاسن
discipline	ديسيڤلين
discount	ديثكاون
discover	منموكن
discrimination	ديثكريميناسي
discuss	بينچڠ
discussion	ڤربينچڠن
disease	ڤڽاكيت
diseases	ڤڽاكيت
disguise	مڽامر
disgusting	منجيجيككن
dish	هيدڠن
dishes	هيدڠن
dismiss	ممبوبركن
dispatch	ڤڠهانترن
display	ڤاڤرن
disposal	ڤلوڤوسن
dispute	تنتڠ
distance	جارق
distinct	جلس
distinguish	اوڠڬول
distinguish	ممبيذاكن
distress	كسوسهن
distribution	ڤڠدرن
district	دايره
disturb	ڬڠڬو
ditch	ڤاريت ممبواڠ
dive	مڽلم
diverse	ڤلباڬاي
diversity	كڤلباڬاين
divide	بهاڬيكن
divine	كتوهانن
divorce	ڤينچيراين
dizzy	ڤنيڠ
do	بوات
do you	ادكه اوق
do you love me	ادكه اوق سايڠ ساي
doctor	دوچتور
document	دوكومن
does	ميمڠ
doesn't	تيدق
dog	انجيڠ
Dogri	دوڬري
doing	بوات
doll	انق ڤاتوڠ
domain	دوماين
domestic	دوميستيچ
dominant	دومينن
don't	جاڠن
Don't worry	جاڠن ريساو
donate	مندرم
done	سلساي
donkey	كلداي
dope	داده
double	برڬندا
doubt	راڬو٢
dough	دوه
down	باوه
download	موات تورون
draft	درف
drag	سيريت
drain	لوڠكڠ
drama	دراما
draw	لوكيس
drawer	لاچي
drawing	لوكيسن
dread	كتقاوتان
dream	ميمڤي
dress	ڤاكاين
drill	ڬرود
drink	مينوم
drive	ڤندو
drop	جاتوه
dropped	جاتوه
drought	كماراو
drunk	مابوق
dry	كريڠ
duck	اتيق
dude	كاون
due	كران
due	واجر
due to	دسببكن
dull	تومڤول
dumb	دوڠو
dump	بواڠ
duration	تيمڤوه ماس
during	سماس
dust	دبو
duty	توڬس
dwell	تيڠڬل
dying	سداڠ نزع
each	ستياڤ
each other	ساتو سام لاين
eager	برحسرت
eagle	هيلاڠ
ear	تليڠا
earlier	لبيه اول
early	اول
earn	منداڤت
ears	تليڠا
earth	بومي
earthquake	ڬمڤا بومي
ease	كسنڠن
easily	دڠن موده
east	تيمور
easy	سنڠ
eat	ماكن
eating	ماكن
economic	ايكونومي
economy	ايكونومي
edge	بوچو
edit	سونتيڠن
education	ڤنديديقن
effect	كسن
effective	ايكايفتيف
efficiency	كچكڤن
efficient	بركسن
effort	اوسها
egg	تلور
eggplant	تروڠ
ego	ايڬو
eight	لاڤن
eighteen	لاڤن بلس
eighty	لاڤن ڤولوه
either	سام اد
elaborate	هورايان
elbow	سيكو
elder	اورڠ توا
elderly	ورڬ توا
elegant	اڠڬون
element	عنصور
elephant	ڬاجه
eleven	سبلس
eligible	لايق
eliminate	مڠهاڤوسكن
else	لاين٢
embarrassed	مالو
embarrassing	ممالوكن
embrace	مموڤوك
emerge	مونچول
emergency	كچمسن
emotional	ايموسي
empathy	امڤتي
emphasis	ڤنكانن
emphasize	منكنكن
employee	ڤكرجا
employees	ڤكرجا
employer	ماجيكن
employment	ڤكرجأن
empty	كوسوڠ
enable	ممبوليهكن
encounter	برتمبوڠ
encourage	مڠڬالقكن
end	اخير
endangered	ترانچم
endeavor	بروسها
endurance	كتاهانن
endure	منڠڬوڠ
enemy	موسوه
energy	تناڬ
engage	ترليبت
engaged	برتونڠ
engagement	ڤرتونڠن
engine	انجين
engineer	جوروترا
English	بهاس ايڠڬريس
enhance	منيڠكتكن
enjoy	منعمتي
enormous	ساڠت بسر
enough	چوكوڤ
ensure	ممستيكن
enter	ماسوق
entertainment	هيبورن
enthusiasm	كڬهايرهن
enthusiastic	تروجا
entire	سلوروه
entitled	برحق
entity	انتيتي
entrance	ڤينتو ماسوق
entrepreneur	اوسهاوان
envelope	سمڤول
environment	عالم سكيتر
envy	چمبورو
epic	ايڤيق
epidemic	ايڤيديميك
equal	سام دڠن
equipment	ڤرالاتن
equity	ايكويتي
equivalent	برسمأن
eraser	ڤمادم
error	كسيلاڤن
escape	ترلڤس
especially	تراوتماڽ
essay	كارڠن
essence	ڤاتي
essential	ڤنتيڠ
establish	منوبوهكن
established	دتوبوهكن
estate	ايستيت
estimate	اڠڬرن
estimated	دأڠڬركن
etc	دان لاين٢
eternal	ابادي
ethics	ايتيكا
evaluate	منيلاي
evaluation	ڤنيلاين
even	والاوڤون
even	ڬنڤ
even though	والاوڤون
evening	ڤتڠ
event	كادأن
eventually	اخيرڽ
ever	سنتياس
every	ستياڤ
everybody	سموا اورڠ
everyone	ستياڤ اورڠ
everything	سمواڽ
evidence	بوقتي
evil	جاهت
evolution	ايۏولوسي
evolve	بيريۏولوسي
Ewe	ايوي
ex	بكس
exact	تڤت
exactly	تڤت سكالي
exam	ڤڤريقسأن
examine	ڤريك سا
example	چونتوه
exceed	ملبيهي
excellent	چمرلڠ
except	ملاءينكن
exception	ڤڠچوالين
excess	برلبيهن
excessive	برلبيهن
exchange	ڤرتوكرن
excited	تروجا
excitement	كتروجأن
exciting	مڽرونوككن
exclusive	ايكسقلوسيف
excuse	السن
excuse me	معافكن ساي
execute	لقسانكن
execution	ڤرلقسنأن
executive	ايكسيكوتيف
exercise	لاتيهن
exhaust	ايكذوس
exhausted	كللاهن
exhibit	ڤاميرن
exhibition	ڤاميرن
exist	وجود
existence	كوجودن
existing	سديا اد
exit	كلوار
expand	لواسكن
expect	هارڤكن
expected	دجڠك
expenses	ڤربلنجأن
expensive	مهل
experience	ڤڠالمن
experiment	ايكسڤيريمن
expert	ڤاكر
expired	تمت تيمڤوه
explain	منرڠكن
explanation	ڤنراڠن
exploit	مڠأيكسڤلويتاسي
explore	تروكا
export	ايكسڤورت
expose	ددهكن
exposed	تردده
exposure	ڤندداهن
express	چڤت
express	ايكسڤريسس
expression	رياق
extend	ممنجڠكن
extended	دڤنجڠكن
extension	سمبوڠن
extent	باتس
external	لواران
extinct	ڤوڤوس
extra	تمبهن
extract	ايكسترك
extraordinary	لوار بياسا
extreme	ملمڤاو
extremely	ساڠت
eye	مات
eyes	مات
fabric	كاين
fabulous	مناقجوبكن
face	موك
facilitate	ممودهكن
facilities	فسيليتي
facility	كموداهن
fact	فكتا
factor	فكتور
factory	كيلڠ
facts	فكتا
fade	ڤودر
fail	ڬاڬل
failed	ڬاڬل
failure	كڬاڬالن
faint	ڤيڠسن
fair	عاديل
fairly	سچارا عاديل
fairy	دوڠيڠ
faith	كڤرچايأن
faithful	ستيا
fake	ڤلسو
fall	جاتوه
false	ساله
fame	كمسيهورن
familiar	اقرب
family	كلوارڬ
famine	كبولورن
famous	تركنل
fan	ڤمينت
fan	كيڤس
fancy	ميواه
fantastic	مناقجوبكن
far	جاوه
farewell	ڤرڤيسهن
farm	لادڠ
farmer	ڤتاني
fascinating	مڠاڬومكن
fashion	فيشن
fast	چڤت
fat	لمق
fat	ڬموق
fatal	موت
fate	تقدير
father	ايه
fatigue	ڤنت
fault	سيلڤ
favorite	كڬماران
favour	نعمت
