a	i
chimneys	ki atoskhana
chin	tmoh
chocolate	u shoklet
choice	jingjied
choose	jied
chop	pom
chubby	basngaid
church	iingmane
circle	ka pyllun
circumstances	jinglong jingman
citizen	traishnong
city	nongbah
claim	jingkam
claim	kam
clarify	pynshai
clay	dew byrtha
clean	khuid
clear	bashai
clear	pynkhuid
clerk	babu
clever	stad
cliff	riat
climate	jinglong ka suin bneng
climb	kiew
clock	baje
close	khang
closet	duli
cloth	jain
clothes	ki jain phong
cloud	lyoh
cloudy	dum lyoh
clumsy	thurmur
coach	hikai
coach	nonghikai
coal	dww iong
coast	rud duriaw
coffee	kofi
coincidence	jiaryngkhat
cold	khriat
collapse	khyllem
colleague	ba iatrei lang
colleagues	baiatrei lang
collect	lum
collection	jinglum
college	kolej
color	rong
colour	rong
comb	snad
combine	bteng lang
come	ale
come here	ale hangne
come on	ale
comfort	jingsuk
comfortable	suk
coming	jingwan
coming soon	ban wan shen shen
command	hukum
commit	aiti
commitment	jingkular
committed	ba la aiti
commodity	mar
companion	paralok
compare	ianujor
comparison	jingianujor
compassion	jingisnei
compassionate	ba sngewlem
compatible	baihap
compete	bapura
competent	batbit
complain	ujor
complaint	jingujor
complete	pyndep
completely	pura
complex	bakyllain
compliment	iaroh
compound	phyllaw
comprehension	jingsngewthuh
computer	komputar
concern	shaphang
concern	khuslai jingmut
conclusion	ka jingpynkut
concrete	dew bilat
concrete	pynskhem
concrete	baskhem
condition	kyndon
conditions	ki kyndon
conference	jingialang
confess	phla
confidence	jingshlur
confident	sngew shlur
confirm	pynskhem
confused	kulmar jingmut
confusion	jingkulmar
congrats	donbok
congratulation	donbok
congratulations	donbok
connect	bteng
conquer	ioh jop
conscious	tip briew
consciousness	jingtipbriew
consent	mynjur
consent	jingmynjur
consequences	ki jingjia babud
conservation	jingpynneh
consider	pyrkhat
consist	kynthup
constant	ba iaineh
constipation	set kpoh
construction	jingtei
consume	bam
consumption	jingbam bathiang
contagious	ba iabit
contains	kynthup
contemporary	ba ha kajuh ka yrta
contempt	jingibein
content	hun
contest	jingiakob
continent	dew bah
continue	bteng
contract	jingiakut
contrast	jingpyniapher
contrast	pyniapher
contribute	ai lem
contribution	jingai
control	buh kabu
convenience	jingsuk
conversation	jingiakren
cook	nongshet
cook	shet
cooking	jingshet
cool	bapjah
cooperation	jingiatrei lang
copper	tama
corn	rewhadem
corner	kyndong
correct	badei
cost	ka dor
costume	jingriam
cottage	iing
cotton	rui
couch	shuki jrong
cough	jyrhoh
could	lah ban
council	dorbar
count	niew
country	ri
couple	shijur
courage	jingshlur
cover	tap
cow	masi
coward	khawpyut
crab	tham
crack	jingorpait
crack	pynpait
crap	eit
craving	jingthrang
crawl	par
create	pynjialong
creep	par sor sor
crime	kam beain
crisis	jingeh
crops	ki jingthung
crow	tyngap
crowd	paid
crowded	bun briew
crown	pansngiat
crush	nion
crush	jingnion
cry	iam
cucumber	soh khia
cuddle	iakdup
culture	kolshor
cunning	buit tuh
cup	pela
cupboard	almari
curb	khang
cure	pynjem
cure	jingpynjem
curfew	pakhang shnong
curiosity	jingkwah tip
curious	jingkwah tip
curly	bakdor
currency	pisa
current	bamynta
currently	bamynta
curse	jingtim
curtain	pyrda
cushion	kushion
custom	dustur
customer	nongtheid
customs	ki durtur
cut	jingot
cut	ot
dad	pa
daddy	pa
daily	man ka sngi
dairy	jaka ri masi
dam	den
damage	pynjulor
damage	jingjulor
damp	sngem
dance	shad
danger	jingma
dangerous	ba ma
dark	dum
darling	baieid
data	data
date	ka tarik
date	ka jingiakynduh
daughter	khun kynthei
day	Sngi Balang
dead	lah iap
deaf	kyllut
deal	bate
deal	jingiakut
Dear All	Khublei Baroh
Dear Customer	Ko Nongtheid
Dear Sir	Bah Badonburom
death	jingiap
debate	iatai nia
debit	khate
debt	ram
decade	phew snem
decay	pyut
deceased	ba la khlad
deceive	shukor
december	nohprah
decide	rai
decided	la rai
decision	ka rai
decline	jinghiar
decrease	hiar
dedication	jingminot
deed	ka jingleh
deep	bajylliew
deer	skei
defeat	jingpynrem
defeat	pynrem
defend	iada
definitely	da kaba thihka
delay	jingpynslem
delay	pynslem
delayed	ba lah slem
delete	pyndam
deliberate	ba leh khnang
delicate	ba jem doh
delicious	ba bang
delight	jingkmen
delighted	ka jingkmen
deliver	ai
delivered	la pynpoi
demand	dawa
demand	jingdawa
demanding	da dawa
democracy	synshar paidbah
demon	ksuid
denied	la len
dentist	doktor bniat
deny	len
department	ka tnat
departure	jingleit
depend	shaniah
deploy	phah
deposit	jingthep
deposit	thep
depression	jingsngewsih khtang
depth	jingjylliew
describe	batai
description	jingbatai
desert	rikhlaw
deserve	don hok
designation	kyrdan
desire	jingkwah
desire	kwah
desk	meij
despair	duh jingkyrmen
dessert	jingbam bathiang
destination	ka thong
destiny	nusip
destroy	pynjulor
destruction	jingjulor
detect	shem
determination	jingmut jingmut
devastated	julor
developed	ba lah shai
development	jingkiew shaphrang
device	ka tiar
devil	soitan
diabetes	jingpang shini
diarrhea	pynhiar kpoh
did	la leh
die	iap
died	lah iap
diet	ki jingbam
difference	jingiapher
different	pher
difficult	ba eh
dig	tih
dignity	burom
diligent	ba minot
dinner	ja meit
dip	wieh
direct	beit beit
direction	jingkdew lynti
director	nongpyniaid
dirt	jaboh
dirty	ba jaboh
disabled	anna
disappear	jah noh
discard	kyntait
discharge	pynmih
discount	pynduna dor
discover	shem
discrimination	jinglehshiliang
discuss	iakren
discussion	jingiakren
disease	jingpang
diseases	ki jingpang
disguise	pynriam
dish	khiew
dishes	ki khiew
dismiss	phah noh
dispatch	phah
display	jingpyni
dispute	jingiania
distance	jingjngai
distress	jingpisa
distribution	jingsam
district	district
disturb	pynwit
ditch	kharai
dive	suh khlieh
diverse	bapher
diversity	jingiapher
divide	sam
divorce	pyniakhlad
divorce	jingiakhlad
dizzy	king baiong
do	leh
do you	phi ju
do you love me	phi ieid ia nga
doctor	doktor
document	kot
does	leh
dog	ksew
doing	jingleh
doll	khunmynriew
domestic	ha iing
dominant	ba hakhmat
don't	wat
Don't worry	Wat khuslai
donate	aisbun
done	lah dep
donkey	kada
double	arshah
double	pynlong arshah
doubt	artatien
doubt	jingartatien
down	sharum
download	download
drag	ring
drain	nur
drama	drama
draw	dro
drawing	jingdro
dread	sngewma
dream	jingphohsniew
dream	phohsniew
dress	sopti
drill	pynpeit thliew
drink	dih
drink	jingdih
drive	niah
drop	jingpynhap
drop	pynhap
dropped	pynhap
drought	nem sniew
drunk	buaid
dry	rykhiang
duck	ka han
due to	na ka daw jong
dumb	bym lait kren
during	lyngba
dust	pui pui
dwell	sah
dying	ba lah jan iap
each	iwei iwei
each other	iwei ia iwei
eagle	u khlieng
ear	shkor
earlier	mynshwa
early	dang kloi
earn	kamai
ears	ki shkor
earth	pyrthei
earthquake	jumai
ease	jingsuk
easily	da kaba suk
east	Mihngi
easy	basuk
eat	bam
eating	ba bam
edge	thmeid
education	jingnang jingstad
effective	ba treikam
effort	jingpyrshang
egg	pylleng
eggplant	soh baingon
ego	ka hangamei
eight	phra
eighteen	khatphra
eighty	phraphew
either	lane
elaborate	batai bniah
elbow	tymbuit
elder	ba kham heh
elderly	tymmen
elephant	hati
eleven	khatwei
eligible	don hok
eliminate	pyndam
else	lymda
embarrassed	lehrain
embarrassing	jinglehrain
embrace	kdup
emerge	mih
emergency	jingdonkam bakyrkieh
empathy	jingsngewlem
emphasis	ka jingbanjur
emphasize	ban jur
employee	nongtrei
employees	nongtrei
employer	nongai kam
employment	kam
empty	thylli
enable	pynlah
encounter	jingiakynduh
encourage	pynshlur
end	ka bakut
endangered	ba don ha ka jingma
endeavor	jingpyrshang
endurance	bor ban iaineh
endure	iaishah
enemy	nongshun
energy	bor
engagement	jingiatehktien
engine	engine
engineer	engineer
English	Phareng
enhance	pynkiew
enjoy	sngewtynnat
enough	lah biang
ensure	pynthikna
enter	rung
entertainment	jingmyllen
enthusiasm	jingshitrhem
enthusiastic	shitrhem
entire	baroh kawei
entitled	ba don hok
entity	u jinglong
entrance	jaka rung
entrepreneur	nongsengkam
envelope	jingsop
environment	mariang
envy	jingbishni
epidemic	khlam
equal	mar katjuh
equivalent	jinglong markatjuh
error	jingbakla
escape	ioh phet
especially	khamtam
essay	ka essay
essence	jor
essential	badonkam
estimate	antad
estimated	la antad
etc	ter ter
eternal	ba neh junom
evaluate	thew
evaluation	jingtynjuh
even	wat
even though	wat la
evening	janmeit
event	jingjia
eventually	ha kaba khatduh
every	man
everybody	baroh
everyone	baroh
everything	baroh
evidence	sabut
evil	jingsniew
exact	thik
exactly	thik
exam	ka eksam
examine	eksamin
example	nuksa
exceed	tam
excellent	biang palat
except	lait noh
excess	jingpalat
excessive	ba palat
exchange	jingbujli
excited	shongshit
excitement	jingshongshit
exciting	ba sngew shongshit
exclusive	kyrpang
excuse	daw
execute	pyndep
exercise	jingkilan met
exercise	kilan met
exhibit	pyni
exhibition	jingpyni
exist	long
existence	jinglong
existing	ba don
exit	lynti mih
expand	pyniar
expect	khmih lynti
expenses	ki jinglut
expensive	remdor
experience	shemphang
experience	jingshemphang
experiment	jingpyrshang
expert	batbit
expired	ba lah kut
explain	batai
explanation	jingbatai
exploit	shim kabu
explore	wad bniah
export	shalan
expose	pynpaw
extend	pynjlan
extended	ba la pynjlan
extension	ka jingpud
extent	u pud
external	ba shabar
extinct	bym don shuh
extra	kham tam
extract	sei
extraordinary	baphylla
extreme	ba palat
eye	ka khmat peit
eyes	ki khmat
fabric	jain
face	dur khmat
face	peit mar khmat
fact	ka jingshisha
factory	karkhana
facts	ki jingshisha
fade	sdang dum
failed	bym longkam
faint	iepler
fair	bym leh shiliang
fair	balieh
fairy	puri
faith	jingngeit
faithful	ba iaineh
fake	ba shu thok
fall	ur
fall	hap
false	BYM SHISHA
fame	nam
familiar	baithuh
family	long iing
famine	nem sniew
famous	pawnam
fan	pankha
far	jngai
farm	jaka ri jingri
farmer	nongrep
fast	stet
fat	sngait
fate	ka nusip
father	u kpa
fatigue	jingthait
fault	jingbakla
favorite	ba ieid tam
favourite	baieid tam
fear	jingsheptieng
fear	sheptieng
feast	jingkhawai bah
feather	sner
february	rymphang
fed up	lah ngiah
fee	ka dor
feed	pynbam
feel	sngew
feeling	jingsngew
feet	ki kjat
fell	la hap
felt	sngew
female	kynthei
fence	tynrah kper
fertile	ba sboh
festival	tamasa
fetch	leit shim
fever	jingshitmet
few	khyndiat
fewer	kham duna
fiction	khana tang
field	madan
fierce	bashyrkhei
fifteen	khatsan
fifty	sanphew
fight	iashoh
fight	jingiashoh
fighting	jingiashoh
fill	pyndap
filled	ba la dap
film	phlim
filthy	jaboh
finally	ha kaba khatduh
find	shem
find out	shem
fine	biang
fine	dain kuna
finger	shynpriah kti
finish	pyndep
finished	lah dep
fire	ka ding
first	nyngkong
first name	kyrteng
fish	dohkha
fit	ngiam
five	san
fixed	bym khih
flag	lama
flash	thaba
flat	ba madan
flaw	jingduna
flawless	khlem bakla
flee	phet krad
flesh	ka doh
flew	la her
flexible	bajem
flight	jingher
flip	kylla
flirt	leh samla
flirting	jingleh samla
float	per
flood	jingshlei um
floor	madan
flour	moida
flow	tuid
flow	jingtuid
flower	syntiew
flu	shitmet
fluent	pnah ktien
fluently	shaid shaid
fluffy	phop phop
fluid	ba long um
fly	her
fog	lyoh khyndew
foggy	ba dum lyoh
fold	khylliap
follow	bud
follow up	bud dien
following	babud
food	ka bam
fool	beij
fool	pynbeij
foolish	beij
foot	kjat
football	phutbol
for	na ka bynta
For example	Kum ka nuksa
for you	na ka bynta jong phi
forbidden	ba la adong
force	pynbor
forecast	iathuh lypa
forehead	shyllang mat
foreign	na shabar ri
forest	khlaw
forever	junom
forget	klet
forgive	map
forgot	lah klet
fork	proh
form	jingwandur
form	pynwandur
former	bamynshwa
fortunately	donbok
fortune	nusip
forty	sawphew
forty-two	sawphew ar
forward	shaphrang
fought	iakhun
found	la shem
foundation	nongrim
four	saw
fourteen	khatsaw
fox	myrsiang
fragile	ba shroin
fraud	jingshukor
freak	ba khyllah
free	laitluid
freedom	jinglaitluid
freeze	pjah slam
frequent	bun sien
frequently	borabor
friday	sngi thohdieng
fridge	ka fridge
friend	paralok
friendly	ba pariah
friends	ki paralok
friendship	jinglong paralok
frightened	sheptieng
frightening	ba pynsheptieng
frog	jakoid
from	na
front	sha khmat
frozen	ba lah kylla thah
fruit	soh
full	dap
fun	jingsngewbha
funeral	jingleit ontep
funny	komik
furious	bitar
furniture	ki shuki ki meij
furthermore	shuh shuh
future	ka lawei
gain	iohnong
gain	jingiohnong
game	jingialehkai
garage	jaka set kali
garbage	jakhlia
garden	kper
garlic	rynsun
gate	phalor
gather	lum
gathering	jingialumlang
gauge	thew
gave	la ai
gender	jinglong kynthei ne shynrang
generate	pynmih
generation	pateng
generous	sbun
gentle	jemnud
genuine	bashisha
gesture	jingkdew
get	ioh
get dressed	phong jain
get up	khie
get well soon	jem noh kloi
getting	ioh
ghost	ksuid
giant	ramhah
gift	jingaisngewbha
ginger	sying
girl	khynnah kynthei
girlfriend	paralok kynthei
give	ai
give up	ieh noh
given	ba la ai
glad	kmen
glance	peit
glass	ka iit
glasses	iitkhmat
gloomy	ba dum
gloves	jingsopkti
glow	pynshai
glow	jingshai
go	leit
go ahead	iaid shaphrang
go away	leit noh
go to bed	leit thiah noh
goal	ka thong
goals	ki thong
goat	blang
god	blei
god bless you	u blei un kyrkhu ia phi
goes	leit
going	leit
going to	leit sha
gold	ksiar
gone	lah leit
goo	ktieh
good	babha
good	bha
good bye	leit suk
good looking	bhabriew
good luck	kit bok
good morning my love	khublei ia phi baieid jong nga
good night	thiah suk
goodbye	leit suk
goodnight	thiah suk
goods	ki mar
Google	ka Google
Google Translate	ka Google Transalate
goose	han
gossip	kren lorni
got	la ioh
got it	lah ioh
government	sorkar
grab	knieh
grade	kyrdan
gradually	suki suki
grain	kew
grant	ai
granted	la ai
grapes	soh grape
grass	u phlang
grateful	ainguh
gratitude	jingsngewnguh
grave	jingtep
great	khraw
greed	jinglalot
greedy	lalot
green	jyrngam
greet	ai khublei
greeting	jingai khublei
greetings	jingkhublei
grief	jingsngewsih
grind	tylliat
grip	jingbat skhem
grocery	mar bam
groom	u nongleit kurim
ground	madan
group	kynhun
grow	roi
growth	jingsan
grumpy	ba dukhi
guard	ap pahara
guess	antad
guest	nongwankai
guidance	jinglam lynti
guide	kdew lynti
guide	nongkdew lynti
gym	jaka kilan met
habit	jingmlien
habitat	jaka sah
had	ju don
hail	khot
hair	sniuh
half	shiteng
hall	kamra heh
hand	ka kti
handle	jingbat
handsome	bhabriew
hang	wah
happen	jia
happened	la jia
happiness	jingkmen
happy	kmen
happy birthday	sngikha basuk
happy birthday to you	sngikha basuk ia phi
happy new year	snem thymmai basuk
hard	baeh
harm	jingpynmynsaw
harm	pynmynsaw
harmful	ba pynmynsaw
harmony	jingiahap
harvest	ot
has	don
hate	jingisih
have	don
have a nice day	ka sngi basuk ia phi
have breakfast	bam ja step
have fun	leh sngewbha
have you eaten	phi lah dep bam
having	ba don
hazard	jingma
haze	jingkahdum
he	u
he has	u don
he is	u long
head	khlieh
headache	ktha khlieh
heal	pynkhiah
healing	jingpynkhiah
health	ka koit ka khiah
healthy	ba koit ba khiah
hear	iohsngew
heard	la iohsngew
heart	klongsnam
heat	jingkhluid
heat	pynkhluid
heaven	bneng
heavy	bakhia
hectic	bakyrkieh
height	jingjrong
heir	ba ioh pateng
heist	jinglute
held	la bat
hell	dujok
Hello	Khublei
hello how are you	khublei, kumno phi long
hello how are you doing	khublei kumno phi long
helmet	ka jingsop khlieh
help	iarap
helpful	ba iarap
her	ma ka
here	hangne
heritage	jingioh pateng
hesitate	rekomen
Hi	Kumno
hi how are you	khublei kumno phi long
hidden	ba buhrieh
hide	buhrieh
high	jrong
highlight	pynshai
hill	lum
him	ma u
hip	skhep
hips	skhep
hire	wai
hiring	jingwai
his	jong u
history	histori
hit	tied
Hmm	Hmm
hobby	jingpynmyllen
hold	bat
hold on	ap jingjang
hole	thliew
holiday	shuti
hollow	thylli
home	iing
honest	ba hok
honestly	ban iathuh hok
Honey	baieid
Honey	ka ngap
honor	burom
hood	jingtap khlieh
hook	jingwoh
hop	sohtyngkoh
hope	kyrmen
hope	jingkyrmen
hopefully	kyrmen
hopeless	bym don jingkyrmen
horizontal	pyngkiang
horn	jingpynsawa
horse	kulai
hospital	aspatal
hospitality	jingpdiang sngewbha
hostile	pyrshah
hot	bakhluid
hotel	iing basa
hour	kynta
hours	ki kynta
house	iing
household	long iing
how	kumno
how about you	ma phi patde
how are you	kumno phi long
how are you today	phi long kumno mynta ka sngi
how do you do	khublei
how is	kumno
how many	kato tylli
how much	katno
how often	katno sien
how old are you	phi don katno snem
how was your day	ka long kumno ka sngi jong phi
how was your night	ka long kumno ka meit jong phi
hubby	u lok
hug	kdup
hug	jingkdup
huge	baheh bha
human	u briew
humble	leh rit
humid	lyhop
humidity	jinglyhop
hundred	shispah
hungry	thngan
hunt	thud
hurricane	eriong
hurry	pynkloi
hurry up	pynkloi
hurt	pynpang
husband	u lok
hut	iing trep
hygiene	jingleh khuid
I	Nga
I am	Nga long
I am fine	nga biang
I can	Nga lah
I can't	Ngam lah
I do	Nga mynjur
I do not know	Ngam tip
I do not understand	Ngam sngewthuh
I don't	Ngam ju
I don't know	Ngam tip
I don't understand	Ngam sngewthuh
I don't understand what you mean	Ngam sngewthuh phi mut kumno
I don't understand you	Ngam sngewthuh ia phi
I don’t know	Ngam tip
I don’t understand	Ngam sngewthuh
I had	Nga ju don
I have	Nga don
I have been	Nga lah ju long
I hope so	Nga kyrmen
I know	Nga tip
I like	Nga sngewbha
I like you	nga sngewtynnat ia phi
I love	Nga ieid
I love my big brother	Nga ieid ia u hynmen
I love my big sister	Nga ieid ia ka hynmen
I love my father	Nga ieid ia u kpa
I love my little brother	Nga ieid ia u para
I love my little sister	nga ieid ia ka para
I love my mother	Nga ieid ia ka kmie
I love you	Nga ieid ia phi
I love you so much	Nga ieid shikatdei ia phi
I love you too	nga ruh nga ieid ia phi
I mean	Nga mut
I miss you	Nga tmang ia phi
I miss you so much	nga tnamg bha ia phi
I see	O pleng
I think	Nga tharai
I understand	Nga sngewthuh
I want	Nga kwah
I want to see you	Nga kwah iohi ia phi
I want you	Nga kwah ia phi
I was	Nga ju
I will	Ngan sa
I would be	Ngan jinda
I'm fine	Nga biang
I'm good	Nga biang
I'm here	Nga don hangne
I'm sorry	Map ia nga
ice	thah
idea	jingmut
ideal	ba biang tam
identical	ba kumjuh
identify	kdew
identity	jingithuh
idiot	beij
idle	bym don kam don jam
if	lada
ignore	leh bym suidniew
ill	pang
illegal	beain
illness	jingpang
image	dur
imagine	mutdur
immediate	mardor
immediately	mardor
immense	baheh bha
impatient	ba kyrkieh
implement	tiar
important	bakongsan
impose	pynjari
impossible	bym lah long
improve	pynbha
improvement	jingpynbha
in	hapoh
in addition	Nalor kata
In fact	Ha ka jingshisha
in front of	ha khmat jong
in order to	khnang ban
inappropriate	bym iahap
incentive	jingpynshlur
incident	jingjia
include	kynthup lang
including	kynthup
income	jingiohi
inconvenience	jingshitom jingmut
increase	jingroi
increase	pynroi
increased	pynkiew
independent	ba laitluid
India	ka India
indicate	kdew
indigenous	trai shnong
individual	shimet
inevitable	bym lah kiar
infant	khyllung
infection	jingpang
infinity	bym ju kut
inflammation	jingat
inflation	jingkiew dor
inform	pyntip
information	jingtip
inheritance	jingioh pateng
injured	la mynsaw
injury	jingmynsaw
innocent	lui lui
innovation	jingpynmih bathymmai
inquiry	jingtohkit
insane	khleh beij
insect	khniang
insecure	bym sngewshngain
insert	thep
inside	shapoh
insist	banjur
insomnia	jingbym iohthiah
inspiration	jingai mynsiem
install	buh
instance	nuksa
