أ	a
إستهلاك	consumption
وساءل اتصال	contact
يتواصل	contact
معدي	contagious
يحتوى	contain
يتضمن	contains
جديد	contemporary
احتقار	contempt
محتوى	content
خلاف	contest
سياق الجملة	context
القارة	continent
أستمر	continue
عقد	contract
يتعاقد	contract
تناقض	contrast
يقارن	contrast
يساهم	contribute
مساهمة	contribution
يتحكم	control
جدلي	controversial
راحة	convenience
مريح	convenient
ونسة	conversation
متحول	convert
يحول	convert
يبلغ	convey
يقنع	convince
مقتنع	convinced
يطبخ	cook
طباخ	cook
طبخ	cooking
منعش	cool
رائع	cool
تعاون	cooperation
يصد	cope
نحاس	copper
قلب الشيء	core
حبوب ذرة	corn
ركن	corner
يصحح	correct
يكلف	cost
تكلفة	cost
ملابس	costume
زي	costume
كوخ	cottage
قطن	cotton
أريكة	couch
كحة	cough
يجب	could
مجلس	council
أحسب	count
عداد	counter
الريف	country
دولة	country
الريف	countryside
زوجين	couple
شجاعة	courage
كورس	course
محكمة	court
مجاملة	courtesy
ود عم	cousin
يغطي	cover
بقرة	cow
جبان	coward
مريح	cozy
سرطان البحر	crab
غضب	crab
انشق	crack
شق	crack
مهنة	craft
كلام فارغ	crap
يكسر	crash
سقوط	crash
يشتهي	craving
زحف	crawl
مجنون	crazy
يصنع	create
مبدع	creative
ائتمان	credit
زحف	creep
شخص غريب	creepy
طاقم عمل	crew
جريمة	crime
ينكمش	cringe
منكمش	cringe
مصيبة	crisis
معايير	criteria
حرج	critical
نقد	criticism
اقتصاص	crop
المحاصيل	crops
تقاطع	cross
يعبر	cross
الغراب	crow
زحمة	crowd
زحمة	crowded
تاج	crown
ضروري	crucial
عنيف	cruel
رحلة بحرية	cruise
يطحن	crush
يبكي	cry
خيار	cucumber
يحضن	cuddle
ثقافة	culture
مكر ودهاء	cunning
كوب	cup
كأس	cup
دولاب	cupboard
لجام	curb
علاج	cure
يعالج	cure
حظر تجول	curfew
فضول	curiosity
فضولي	curious
مكرمش	curly
عملة	currency
متدفق	current
الحالي	current
حاليا	currently
لعنة	curse
ستارة	curtain
حجاب	curtain
مخدة	cushion
مخصص	custom
زبون	customer
جمارك	customs
جرح	cut
يقطع	cut
ظريف	cute
دورة	cycle
تدوير	cycling
بابا	dad
بابا	daddy
يومياً	daily
منتجات اللبن	dairy
سد	dam
ضرر	damage
يتلف	damage
تباً	damn
رطب	damp
الرقص	dance
خطر	danger
خطير	dangerous
ظلام	dark
عزيزي	darling
سباق	dash
خط فاصل	dash
بيانات	data
تاريخ	date
بلح	date
موعد غرامي	date
بنت	daughter
يوم	day
ميت	dead
موعد نهائي	deadline
أصم	deaf
صفقة	deal
يتعامل	deal
عزيزي	dear
أعزائي	Dear All
عزيزي العميل	Dear Customer
الأباء الأعزاء	Dear Parents
سيدي العزيز	Dear Sir
طلابي الأعزاء	Dear students
فريقي العزيز	Dear Team
الموت	death
مناظرة	debate
دَين	debit
حطام	debris
ديون	debt
عقد من الزمان	decade
فساد	decay
فقيد	deceased
يخدع	deceive
ديسمبر	december
مقبول	decent
يقرر	decide
قرر	decided
قرار	decision
ظهر السفينة	deck
يرفض	decline
ينقص	decrease
منفصل	dedicated
إخلاص	dedication
فعل	deed
عميق	deep
غزال	deer
إفتراضي	default
هزيمة	defeat
يهزم	defeat
يدافع	defend
يُعرِّف	define
تحديداً	definitely
تعريف	definition
درجة	degree
تأخير	delay
يؤجل	delay
تأخير	delayed
يمسح	delete
مدروس	deliberate
حساس	delicate
لذيذ	delicious
فرحة	delight
سعيد	delighted
يسلم	deliver
تم التوصيل	delivered
توصيل	delivery
يطلب	demand
طلب	demand
متطلبات	demanding
ديمقراطية	democracy
شيطان	demon
يوضح	demonstrate
مرفوض	denied
كثافة	density
طبيب أسنان	dentist
ينكر	deny
قسم	department
رحيل	departure
يعتمد	depend
نشر	deploy
وديعة	deposit
يودع في حساب	deposit
مدبرس	depressed
دبرسة	depression
عمق	depth
يصف	describe
وصف	description
صحراء	desert
يستاهل	deserve
يصمم	design
تصميم	design
توظيف	designation
يرغب	desire
رغبة	desire
درج	desk
يأس	despair
يائس	desperate
بالرغم من	despite
تحلية	dessert
وجهة	destination
مصير	destiny
يدمر	destroy
دمار	destruction
التفاصيل	detail
تفاصيل	details
يكشف	detect
عزيمة	determination
يحدد	determine
حدد	determined
دمر	devastated
يطور	develop
متطور	developed
تحسين وتطوير	development
جهاز	device
شيطان	devil
مخلص	devoted
لغة الديفيهي	Dhivehi
السكري	diabetes
إسهال	diarrhea
مذكرة	diary
قاموس	dictionary
فعل	did
يموت	die
مات	died
حمية	diet
اختلاف	difference
مختلف	different
صعب	difficult
يحفر	dig
كرامة	dignity
مجتهد	diligent
العشاء	dinner
غطس	dip
غرف	dip
مباشر	direct
اتجاه	direction
مخرج	director
مدير	director
وسخ	dirt
وسخان	dirty
يبطل	disable
عاجز	disable
مشلول	disabled
عاجز	disabled
يختفي	disappear
مخيب	disappointed
كارثة	disaster
يرفض	discard
يرمي	discard
تسريح	discharge
انضباط	discipline
تخفيض	discount
يكتشف	discover
عنصرية	discrimination
يناقش	discuss
مناقشة	discussion
مرض	disease
الأمراض	diseases
إخفاء	disguise
مقزز	disgusting
صحن	dish
صحون	dishes
رفض	dismiss
برقية	dispatch
شاشة	display
تصرف	disposal
خصام	dispute
مسافة	distance
مميز	distinct
يميز	distinguish
حزن	distress
مصادرة مال	distress
توزيع	distribution
ولاية	district
يزعج	disturb
مصرف	ditch
يغوص	dive
متنوع	diverse
تنوع ثقافي	diversity
يقسم	divide
ديني	divine
طلاق	divorce
يطلق	divorce
مصاب بالدّوار	dizzy
أعمل	do
هل أنت	do you
هل بتحبني	do you love me
طبيب	doctor
مستند	document
يعمل	does
لا	doesn't
كلب	dog
لغة الدوجري	Dogri
يعمل	doing
لعبة	doll
اِختِصاص	domain
محلي	domestic
مسيطر	dominant
لا	don't
ما تخاف	Don't worry
يتبرع	donate
إنتهى	done
حمار	donkey
مخدر	dope
يضاعف	double
مرتين	double
يزيد مرتين	double
يشك	doubt
ظن	doubt
عجينة	dough
تحت	down
تحميل	download
يخطط	draft
مسودة	draft
يسحب	drag
تصريف	drain
يجفف	drain
دراما	drama
يرسم	draw
الدرج	drawer
سروال	drawer
رسم	drawing
خوف	dread
يحلم	dream
حلم	dream
فستان	dress
تدريب	drill
يشرب	drink
مشروب	drink
يسوق	drive
يسقط	drop
قطرات	drop
اسقط	dropped
جفاف	drought
سكران	drunk
ناشف	dry
جاف	dry
بطة	duck
صاحبي	dude
حقوق	due
بسبب	due to
ممل	dull
بليد	dull
أبكم	dumb
مخزن قديم	dump
مدة	duration
أثناء	during
غبار	dust
واجب	duty
يتعمق في التفكير	dwell
يسكن	dwell
الموت	dying
كل	each
بعضها البعض	each other
مشتاق	eager
نسر	eagle
أذن	ear
سابقًا	earlier
بدري	early
يربح	earn
آذان	ears
أرض	earth
زلزال	earthquake
بسهولة	ease
بسهولة	easily
شرق	east
ساهل	easy
يأكل	eat
يأكل	eating
اقتصادي	economic
اقتصاد	economy
جانب	edge
يعدل	edit
يحرر	edit
تعليم	education
تأثير	effect
ناجح	effective
كفاءة	efficiency
فعال	efficient
مجهود	effort
بيضة	egg
الباذنجان	eggplant
أنانية	ego
ثمانية	eight
الثامنة عشر	eighteen
ثمانون	eighty
برضو	either
يشرح بالتفصيل	elaborate
مرفق	elbow
عجوز	elder
عجوز	elderly
أنيق	elegant
عنصر	element
الفيل	elephant
أحد عشر	eleven
قانوني	eligible
طرد	eliminate
آخر	else
مُحرَج	embarrassed
محرج	embarrassing
يعانق	embrace
يظهر	emerge
طوارئ	emergency
عاطفي	emotional
تعاطف	empathy
تشديد	emphasis
يؤكد	emphasize
موظف	employee
موظفين	employees
صاحب العمل	employer
توظيف	employment
فاضي	empty
يفعل	enable
مواجهة	encounter
يشجع	encourage
النهاية	end
مهدد بالخطر	endangered
حاول	endeavor
تحمل	endurance
يعاني	endure
العدو	enemy
طاقة	energy
يرتبط	engage
مرتبط	engaged
إرتباط	engagement
مكنة	engine
مهندس	engineer
إنجليزي	English
يحسن	enhance
استمتع	enjoy
ضخم	enormous
كفاية	enough
يتأكد	ensure
يدخل	enter
متعة	entertainment
حماس	enthusiasm
متحمس	enthusiastic
كل	entire
مستحق	entitled
وجود	entity
مدخل	entrance
مُقَاوِل	entrepreneur
ظرف	envelope
بيئة	environment
حسد وحقد	envy
بطولي	epic
وباء	epidemic
مساوي	equal
معدات	equipment
العدالة	equity
مقابل	equivalent
مساحة	eraser
خطأ	error
يهرب	escape
خصوصي	especially
مقال	essay
محلول مادة	essence
خلاصة	essence
ضروري	essential
يؤسس	establish
مؤسس	established
حالة	estate
ولاية	estate
ملكية	estate
يحسب	estimate
محسوب	estimated
مُقدَّر	estimated
إلخ	etc
مؤبد	eternal
أخلاق مهنة	ethics
يقيم	evaluate
تقييم	evaluation
حتى	even
على الرغم من	even though
المساء	evening
مناسبة	event
مؤخراً	eventually
أبدًا	ever
كل	every
الجميع	everybody
كل واحد	everyone
كل حاجة	everything
دليل	evidence
شر	evil
تطور	evolution
تطور	evolve
انشأ	evolve
لغة الإيوي	Ewe
بالضبط	exact
بالضبط	exactly
امتحان	exam
يفحص	examine
مثال	example
يتجاوز	exceed
ممتاز	excellent
عدا	except
استثناء	exception
إفراط	excess
مُبَالَغ فيه	excessive
تبادل	exchange
منفعل	excited
متحمس	excited
دهشة	excitement
حماسي	exciting
حصري	exclusive
عذر	excuse
عن إذنك	excuse me
ينفذ	execute
تنفيذ	execution
تنفيذي	executive
يتدرب	exercise
واجب منزلي	exercise
يرهق	exhaust
العادم	exhaust
مرهق	exhausted
يعرض	exhibit
معرض	exhibition
موجود	exist
وجود	existence
موجود	existing
مخرج	exit
يوسع	expand
يتوقع	expect
متوقع	expected
مصاريف	expenses
غالي	expensive
خبرة	experience
يجرب	experience
تجربة	experiment
خبير	expert
منتهي الصلاحية	expired
يفسر	explain
توضيح	explanation
يستغل	exploit
إكتشف	explore
يصدّر	export
يفضح	expose
مُعرض	exposed
عرض	exposure
يعبر	express
تعبير	expression
يمد	extend
ممتد	extended
امتداد	extension
امتداد	extent
خارجي	external
ينقرض	extinct
إضافي	extra
يستخرج	extract
نادِر	extraordinary
أقصى	extreme
أقصى	extremely
عين	eye
عيون	eyes
قماش	fabric
رائع	fabulous
وجه	face
يواجه	face
يسهل	facilitate
مرافق	facilities
تسهيلات	facilities
منشأة	facility
واقع	fact
عامل	factor
مصنع	factory
حقائق	facts
يختفي	fade
ظلم	fail
شتيمة	fail
فشل	failed
فشل	failure
يفقد الوعي	faint
نزيه	fair
نقي	fair
تماما	fairly
جنية	fairy
مذهب	faith
إيمان	faith
مؤمن	faithful
مزيف	fake
الخريف	fall
يسقط	fall
غلط	false
شهرة	fame
مألوف	familiar
أسرة	family
مجاعة	famine
مشهور	famous
مشجع	fan
مروحة	fan
مزخرف	fancy
رائع	fantastic
بعيد	far
وداع	farewell
مزرعة	farm
مزارع	farmer
خلاب	fascinating
موضة	fashion
سريع	fast
سمين	fat
مهلك	fatal
قدر	fate
والد	father
إرهاق	fatigue
خطأ	fault
مفضل	favorite
معروف	favour
مفضل	favourite
يخاف	fear
خوف	fear
وليمة	feast
عيد	feast
ريشة	feather
يميز	feature
ميزة	feature
مميزات	features
شهر فبراير	february
ملل	fed up
رسوم	fee
يطعم	feed
علف	feed
تقييم	feedback
يشعر	feel
شعور	feeling
قدم	feet
يسقط	fell
زميل	fellow
شعر	felt
أنثى	female
سور	fence
أرض خصبة	fertile
مهرجان	festival
أحضر	fetch
حمى	fever
قليل	few
أقل	fewer
خطيب	fiance
خيالي	fiction
مجال	field
ميدان	field
شرس	fierce
خمسة عشر	fifteen
خمسون	fifty
يحارب	fight
قتال	fight
قتال	fighting
يشكل	figure
شكل	figure
يكتشف	figure out
ملف	file
املأ	fill
مملوء	filled
فيلم	film
فاحش	filthy
آخر حاجة	finally
تمويل	finance
مالي	financial
يجد	find
اكتشف	find out
غرامة	fine
بخير	fine
اصبع	finger
ينهي	finish
انتهى	finished
نار	fire
شركة	firm
رسخ	firm
أول	first
الاسم الأول	first name
سمكة	fish
سليم	fit
يناسب	fit
خمسة	five
يصلح	fix
مثبت	fixed
علَم	flag
فلاش	flash
مفاجئ	flash
مسطح	flat
شقة	flat
عيب	flaw
جو عاصف	flaw
مثالي	flawless
اهرب	flee
لحم	flesh
طار	flew
لوى	flex
مرن	flexible
رحلة جوية	flight
يواجه	flip
يعاكس	flirt
يغازل	flirt
مغازلة	flirting
يعوم	float
فيضان	flood
أرضية	floor
دقيق	flour
تدفق	flow
جريان	flow
زهرة	flower
أنفلونزا	flu
موهوب	fluent
بطلاقة	fluently
رقيق	fluffy
ناعم	fluffy
سائل	fluid
يطير	fly
تركيز	focus
يركز	focus
ضباب	fog
ضبابي	foggy
يطوى	fold
الناس	folks
يتبع	follow
متابعة	follow up
التالي	following
أكل	food
مغفل	fool
يخدع	fool
غبي	foolish
قدم	foot
كرة القدم	football
ل	for
على سبيل المثال	For example
على سبيل المثال	for instance
لك	for you
ممنوع	forbidden
قوة	force
تكهن	forecast
جبهة	forehead
أجنبي	foreign
غابة	forest
للأبد	forever
ينسى	forget
يسامح	forgive
نسيت	forgot
شوكة	fork
يشكل	form
شكل	form
رَسمِيّ	formal
سابق	former
لحسن الحظ	fortunately
حظ	fortune
أربعين	forty
اثنان وأربعون	forty-two
لقدام	forward
شجع	foster
حارب	fought
أسس	found
مؤسسة	foundation
أربعة	four
أربعة عشرة	fourteen
الثعلب	fox
هش	fragile
إطار	frame
نظام	framework
إطار	framework
إحتيال	fraud
غريب الشكل	freak
مجاني	free
حرية	freedom
تجميد	freeze
تكرار	frequency
متكرر	frequent
تكرارا	frequently
طازج	fresh
الجمعة	friday
ثلاجة	fridge
صاحب	friend
لطيف	friendly
أصحاب	friends
صداقة	friendship
مرعوب	frightened
مخيف	frightening
ضفدع	frog
من	from
أمام	front
مجمد	frozen
فاكهة	fruit
محبط	frustrated
وقود	fuel
لغة الفولفولدي	Fulfulde
كامل	full
متعة	fun
وظيفة	function
أساسي	fundamental
جنازة	funeral
