with	a
Shami	appropriate
lumun	approval
lumun	approve
lumun	approved
cuku tso	approximately
kyuakyua	approximately
uwer us ha unyiin	april
coughcough	arbitrary
ornderan imaagh	architect
kwaghmaan	architecture
ijiir akaatse	archive
nga	are
ngala	are
we ye	are you
kanyi u lu eren	are you busy
u ngu eren kwagh	are you busy
u er kwase shin nom ver	are you married
u er ivese shin u tswen	are you married or single
u ngu heela her e	Are you still there?
u ngu heela	are you there
ijiir	area
kwaghnyiman	argue
kwaghtunan	argue
kawghtunan	argument
mou	arise
wegh	arm
kurutya	army
heregh	around
ningir	around
sôr ver	arrange
wa yol	arrangement
nyôr	arrival
nyor	arrive
nyor	arrived
ichihi	arrogant
ivyaan	arrow
kwagh hir	art
anumbe	art
kwagh ngeren	article
gbaaôndo ga	artificial
orkpelan kwagh	artist
er	as
Er	as long as
kua	as well
seer sha	as well as
kua mba	as well as
mtuhwem	ash
kunya	ashamed
Pine	ask
pine	asked
mnyam	asleep
ken gbenda la	aspect
Assamese	Assamese
ta sambe	assault
mkohol	assembly
lumun	assertive
kaa er	assertive
nenge fan	assess
ishe kwagh	assessment
dyako	asset
akaa a lun ami	assets
na tom	assign
tomwan	assignment
kwagh-eren	assignment
wase	assist
or wasen	assistant
boki	associate
zorun	associated
mzough	association
hen	assume
tôôn er	assumption
u henen er	assumption
adondo	at
ahemba kpa	at least
aye	ate
or eren anumbe	athlete
isee	attach
seer sha	attached
varen	attachment
ta num	attack
nôngo	attempt
za	attend
uzankwagh	attendance
Vershima	attention
ieren	attitude
inja	attitude
sar	attract
ulugh	attract
lugh yol	attraction
kuma ashe	attractive
aeren	attribute
kpila ior mba ungwa	audience
wer u sha anieni	august
angô u terem	aunt
angbian ngo shi ter u kwase	aunty
jiilaa	authentic
or ngeren tageda	author
tahav	authority
uwangernyom	autumn
her	available
ateghôtô	average
tswer	avoid
palegh	avoid
per	awake
iyua	award
fanen	aware
fa akaa	awareness
kera	away
cieryol	awesome
zem-kya	awful
tumburuu	awkward
Aymara	Aymara
Wan	baby
gumor	bachelor
ijime	back
ihiinkwagh	background
kwagh u bo	bad
ikpa	bag
kwagh hônon	bait
kaa	bake
ijiir i kaan bredi	bakery
mngerem mak kaan kyek	baking soda
hanmakwagh ngu kwaghmon	balance
bol	ball
Bambara	Bambara
ayaba	banana
innongo	band
ikangenev	band
bughur	bang
bam	bank
ijiir i kosun inyaregh	bank
iyou i msôr	bar
ishindan	bar
cuku tso	barely
kpelan	bargain
gbehe	bark
shair	barley
yisa	barrier
har	base
har sha	based
kpaaiyou	basement
ihiin	basic
kpookpoo yo	basically
kwayue	basil
avajuwa	bastard
ijenwe	batch
uwagh	bath
ijir i ôôn iyol	bath
kwa or oon iyol	bathroom
ako	battery
tyav	battle
kekpe	bay
lu	be
ver shima	be careful
kpe ityeku	beach
saan saan	beam
alev	beans
ume	bear
iche shin gbem	beard
shiada	bearing
inyamtoho	beast
humbur	beat
gbidye	beat
kuhwa	beat
Doo ashe	beautiful
mdoom	beauty
hingir	became
Ha ci u	because
hingir	become
gambe	bed
iyol i tsan	bedroom
iyough	bee
nyam bua	beef
lu	been
msorum	beer
tashi	beer
Cii	before
Sha	before
hii	began
Hii	begin
ken hiin	beginning
sha a ciu	behalf
inja	behave
ieren	behavior
aerenakaa	behaviour
inja	behaviour
mase jime	behind
or	being
na jigh jigh	belief
na jigh jigh	believe
gbor	belly
ka u	belong
doom shima	beloved
ishima shima	beloved
mile	below
shin	below
kwange	belt
kwaghteman	bench
ngurum	bend
gure	bend
shin tyo	beneath
mtsera	benefit
mtsera	benefits
ken kpe	beside
beekera	besides
hembadoon cii	best
hemba cii	best
ikyôr i doo	best of luck
msugh kpishi	best regards
Guda	better
haregh	between
akaa man	beverage
gengese	beyond
Bhojpuri	Bhojpuri
iyuhe	bias
tsung	biased
ikikye	bicycle
tindi	bid
zege	big
zegenan	big
gbogbo	big
kikye	bike
ishe kwagh	bill
zua	bind
inyon	bird
iyange mar	birthday
cuku	bit
nyima	bite
yua	bitter
il twange	black
il	black
iyôô	blade
ibyo	blame
gbilin	blank
godo	blanket
tôngo	blast
wan icigh	bleach
nungwa	blend
tsegha	bless
iveren	blessed
ashe a pirin	blind
iveren	bliss
akam	block
awambe	blood
doon	bloom
fehe	blow
usa	blow
tôngo	blow
kwegh	blue
kaa kpoo	blunt
kpande	board
tso	boat
iyol	body
jiir	boil
vangertiôr	bold
cihi	bold
mzough	bond
kuhwe	bone
takeda	book
taver seer	boost
seer mtaver	booster
akôv	boot
akôv	boots
mtser	border
mar	bore
due ishima	bored
due shima	boring
maa	born
gba injo	borrow
orvesen	boss
That cii	both
za iyol	bother
ikpe	bottle
shin inya	bottom
yam	bought
tsue	bounce
kangen	bound
atindi	boundaries
akighir	boundaries
ngulum	bow
ikyagh ki kesen akaa	bowl
akwati	box
wanye nomso	boy
shiôr	boyfriend
agba	bracelet
mcam	brain
gbaa	branch
inja kwagh	brand
iti	brand
Kwaghfan	brave
ishima-taver	brave
nzul	breach
beredi	bread
Hembe	break
kwaghyan u pepe	breakfast
atumba	breast
ioon	breath
ioon	breathe
tu kwagh	breed
ikyamegh	brick
kem kwase	bride
tsar	bridge
cukuu	brief
engem	bright
Jaang	bright
engem	brilliant
kwaghfan	brilliant
Vam	bring
Due	bring
angbian	bro
gbanger	broad
kposo kposo	broad
pasen kwagh	broadcast
u yôôn	broadcast
hembe	broke
pav	broke
hemben	broken
canca	broom
an gbyan u nomso	brother
anmgbian u nom	brother in law
va	brought
ii dindee	brown
kôôr	brush
kiren	brush
bokoti	bucket
orwam	buddy
ingyer nyar	budget
imon	bug
maa	build
imaagh	building
mar	built
poor	bulk
gbin	bulk
nombua	bull
tswam	bully
nyundugh	bump
shundugh	bump
imôngo	bunch
ikyaa	bundle
mbamzeiyol	burden
mbaazaiyol	burden
ii	buried
nande	burn
hembe sha utaha	burst
ii	bury
mato	bus
toho	bush
bizines	business
kpenga	business
kwagh maan u ityough ki or	bust
Eren kwagh wee wue	busy
Eren akaa ave	busy
Kpa	but
buta	butter
kokombo	butterfly
kiva	button
yam	buy
Ka	by
nahan	by the way
sha gbenda	by the way
za de doo	bye
fulum	cabbage
tebul	cabinet
gaadi	cage
kyek	cake
wanbua	calf
gumbua	calf
yila	call
yilam	call me
yer	called
kundu ishima	calm
a ve	came
angwe	campaign
yôô angwe	campaign
Fa ityo	can
fatyô ga	can't
bunde	Cancel
angev mbu kyansa	cancer
tahav mbu eren kwagh	capable
kuma kwagh	capacity
geri u vesen	capital
ngeren	caption
kôr	capture
gesa	capture
mato	car
tom	career
vershima	careful
gbashima	carefully
zulee	carefully
ungwan kwaghwan ga	careless
wa ikyo	caring
orgbanakaa	carpenter
butu	carpet
carrot	carrot
tôô	carry
za hemen	carry on
Eren tom	carry out
kese	case
inyaregh	cash
iormba eren kwagh	cast
ya	castle
yol	castle
beelee	casual
abyem	cat
kpatema	cat
musu	cat
kôr	catch
atô kposo kposo	category
ibua	cattle
kôr	caught
ityôkyaa	cause
wa ikyo	caution
sula	cautious
wa ikyo	cautious
ho	cave
de	cease
silim	ceiling
iember	celebrate
purusu	cell
atô	center
anyomderi	century
asamakaa	cereal
iniongu	ceremony
kpee	certain
keng	certainly
kpee	certainly
takerada u sha tindi	certificate
shiligh	chain
mshir	chain
ikyônogh	chair
zaiyol	challenge
ian	chance
mgem	change
Gema	change
Gumen	change
ayoosu	chaos
inja	character
anza	characteristics
aeren	characteristics
caaji	charge
kpandegh	charge
nagh	charity
kumashe	charming
itinekwagh	chart
kwaghkperan	chart
zenda	chase
tadi	chat
alaha	cheap
likici	cheat
aie	cheat
ii	cheat
inn	cheating
ceke	check
henge	cheek
saan saan	cheer
ember	cheer
saansaan	cheerful
ember nen	cheers
kwaghyan u lun aa ahom	cheese
kyemistri	chemistry
wa kyo	cherish
chess	chess
vanger	chest
tam	chew
ankyegh	chicken
tor	chief
wan	child
wanye	childhood
mbayev	children
Ndôhôl	chill
nyula	chimneys
gbem	chin
côkoleeti	chocolate
toon kwaghmom ke akaa	choice
tsua	choose
ya	chop
ityom i hen ya	chores
kehe	chubby
iyou msen	church
kwagh hunman doon	cinnamon
gbilititi	circle
mbamtaver	circumstances
marnya	citizen
geri	city
abe	claim
Klem	claim
Fayum	claim
pase wang	clarify
klasse	class
inyatyuu	clay
eretete	clean
engem	clean
kough	clean
wanger	clear
ortom	clerk
tsav tsav	clever
bugh ashe	clever
or yamen kasua	client
ijem	cliff
mlu u ura man inyom hen ijiir	climate
unde	climb
wunde	climb
var	clingy
agogo	clock
wuhe	close
kur	close
akwati	closet
ikyondo	cloth
akondo	clothes
ibyeenegh	cloud
abeen ive sha kwavaôndo	cloudy
idyegh	clown
iwanger	clue
ikav	clue
hwev	clumsy
ijuku	cluster
ortesen	coach
kya usu	coal
kpemnger	coast
koti	coat
kwaghman	coffee
kende sharen	cognitive
abu tôô	coincidence
zua	coincidence
Wuhe	cold
gba nya	collapse
mom riga	collar
or se eretom nongu	colleague
mba eren tom imôngo	colleagues
ngohol	collect
kohol	collection
kolooji	college
ii shin nyian	color
engem	color
mbamhen mba nyian yav a shima vihin	colorless green ideas slept furiously
ii shin nyian	colour
ajiir a tesen	column
kwatakerada	column
asaase	comb
nungwa	combination
zua	combine
Va	come
va heen	come here
va sha	come on
due ken won	come on
mkpeyol	comfort
kundu kundu	comfortable
mve	coming
sôôn van	coming soon
tindi	command
mlumun	comment
kwagh u teen	commercial
tom	commission
vershima sha	commit
suur	commitment
na shima	committed
ikyav	commodity
dumbur	common
liam	communicate
lyam imongu	communication
kpentar	community
zende	commute
ikyartyom	companion
Kômpeni	company
ver keen man keen	compare
kar	comparison
mhoonum	compassion
mhôônom	compassionate
zwan	compatible
gba gesa	compete
kuma	competent
gesa	competition
gesa	competitive
kwagh tsumen	complain
afo	complaint
ahon a gban	complaint
kule	complement
kure	complete
jimin	complete
cii	completely
nungwa	complex
eren er i kaa la	compliance
nungwanungwa	complicated
iwuese	compliment
eren nahan	comply
kwaghngeren	composition
tembe ya	compound
tembe	compound
mkav	comprehension
hanma kwagh	comprehensive
u teen or	compromise
hangehange	compulsory
kengkeng	compulsory
kômputa	computer
ver ishima	concentrate
kwagh henen	concept
Gbam	concern
yôngor	concern
kwagh gba	concerned
iniongu	concert
mkur	conclusion
masetyo	conclusion
koncle	concrete
mlu	condition
mlu	conditions
ieren	conduct
mkohol	conference
pase	confess
vangertiôr	confidence
vanger tiôr	confident
these mimi	confirm
ayoosu	conflict
tsume	confused
kwagh nzul	confusion
ishuun	congrats
sugh	congratulation
m sugh u	congratulations
zua	conjunction
zua	connect
hemba	conquer
lun per	conscious
mfe	consciousness
per	consciousness
lumun	consent
akaa a duen ker	consequences
iliam	conservation
ityôô	conservative
dondon aeren	conservative
Wa iko	consider
nege sha mi	considered
kohol	consist
hanma shie	consistency
gbem je	consistent
gbem	constant
hanma shie	constantly
fatyô u zan akongo ga	constipation
kwagh maan	construction
ya	consume
uyan kwagh	consumption
ijiir i or	contact
tsaren	contagious
ngu ken mi	contain
ami	contains
imôngo	contemporary
lahan	contempt
Kuma	content
gesa	contest
kwaghôron	context
tar cica	continent
zahemen	continue
kwagh eren sha nyar	contract
kposo	contrast
seer	contribute
iyua	contribution
seer	contribution
tahav	control
iyol tsaha	control
anyiman	controversial
zayol	controversial
mkpeyol	convenience
mpeyol	convenient
iliam	conversation
tadi	conversation
gema	convert
zaami	convey
meen	convince
na jighjigh	convinced
yoor	cook
iwyer	cook
eren kwaghyan	cooking
kundu	cool
ungwan imo	cooperation
washima	cope
togula	copper
ken ato	core
ikyureke	corn
zongo	corner
shami	correct
ishe	cost
ikyondo i anumbe	costume
ityumbe	cottage
mou	cotton
ikyônogh	couch
tehe	cough
hogh	cough
fatyô u	could
mkohol	council
or	count
yange	counter
zua ga	counter
tar	country
kpetar	countryside
kwase man nom	couple
tavershima	courage
kos	course
koti	court
inja i dedoo	courtesy
an ngyô	cousin
cir	cover
ngobua	cow
or cian kwagh	coward
ibume or	coward
lùgh lùgh	cozy
ikyambe	crab
hembe	crack
tomaveegh	craft
akoo	crap
mtim	crash
aikyôr	crash
isharen	craving
kpela	crawl
daang	crazy
gba	create
fan tom avee	creative
injo	credit
kpela inya	creep
ikarikase gbidiem yol	creepy
mcian	creepy
nongu	crew
ifer	crime
kwaghbo	crime
Himbe	cringe
iyongo	crisis
zayol	crisis
igbenda	criteria
akaa i gbe	criteria
hangehange	critical
puun	criticism
iyiav	crop
yiav	crops
terankon	cross
per	cross
ikyegh tôngo	crow
kpilaior	crowd
kpila	crowded
kpishi	crowded
idyer i tor	crown
hange hange	crucial
wa tswam	cruel
nahan	cruise
cagh	crush
hyelegh	crush
mliam	cry
vaa	cry
daarkura	cucumber
ngeree	cuddle
mbaior	culture
atseregh	cunning
yongu	cup
kabod	cupboard
panden	curb
yangen	curb
been angev	cure
hinden hen ya	curfew
sha shie	curfew
sar u fan	curiosity
hange	curious
kwaghgovul	curly
inyaregh	currency
Latriki	current
ahagen ahegen	currently
ifan	curse
ikyondo i yisan	curtain
panden tahav	cushion
aeren	custom
orkasua	customer
aeren	customs
tôndo	cut
Doo ashe	cute
ahumbe	cycle
nahan ikyekye	cycling
ter	dad
ter	daddy
hanmasev	daily
atumba	dairy
bar mnger	dam
mvihi	damage
puu	damn
kundu	damp
amagh	dance
kwaghbo	danger
cieriyol	dangerous
ile	dark
andoon wam	darling
na	dash
akaa	data
iyange	date
wan u kwase	daughter
yange	day
orkpen	dead
sha shighe	deadline
shie kpuaa	deadline
ikighir	deadline
ato akondun	deaf
ityendezwa	deal
Udoon no shima	dear
hanma or	Dear All
orkasua u dedoo	Dear Customer
mbamaren mba doon mo shima	Dear Parents
ortesen wam u doonshima	Dear Sir
mbayev makerenta mba doonshima	Dear students
iorav mba tomov mba doonshima	Dear Team
ku	death
nyimankwagh	debate
dugh	debit
awen	debris
injo	debt
anyom deri	decade
hôô	decay
kpe	deceased
tsugh	deceive
Disemba	december
uwer u sha pue kaa uhar	december
inja e dedoo	decent
tsembelee	decent
kaa ser	decide
msoo me	decided
tsua kwagh	decision
mbatsoov	deck
venda	decline
upanden	decrease
shima veren	dedicated
tsegha	dedication
iren	deed
za gbeeng	deep
iyaa asua	deer
per	default
hemba	defeat
kura	defend
pasen kwagh	define
kpee	definitely
u orun kwagh u kwagh a lu yo	definition
digirii	degree
timbir	delay
ngôôr	delayed
kough	delete
Sha apera	deliberate
taver ga	delicate
nyoho	delicious
saan	delight
doonmo	delighted
yima	deliver
yima	delivered
mar	delivery
m-gbe	demand
pinen	demanding
gomoti u mbakpishiv	democracy
satan	demon
tese ikyav	demonstrate
tuna	denied
myohom	density
ortwer u anyii	dentist
tuna	deny
afishi	department
iyou	department
gbaatom	department
ayem	departure
suur	depend
tindi	deploy
wa kwagh	deposit
ishimayinan	depressed
kwagh nyor iyol	depression
mze	depth
pase	describe
mpase	description
deserti	desert
tar ikyôngo	desert
kuma	deserve
kpela	design
tsua	designation
isharen	desire
kwagh teman ngeren kwagh	desk
ishimnyian	despair
hange	desperate
shin er	despite
tarkyongu	dessert
ape u zan	destination
akper wam	destiny
vihi	destroy
tim	destroy
mtim	destruction
vindi vindi	detail
vindi vindi	details
tôv	detect
avershima	determination
kang ishima	determine
kange ishima	determined
vihi	devastated
vese	develop
maa	developed
mzehemen	development
tseregh	device
ormer	devil
diabolo	devil
na shie	devoted
Dhivehi	Dhivehi
angev mbu shugar	diabetes
haa akôngo	diarrhea
takerada	diary
tageda u atii	dictionary
er	did
kpe	die
akpe	died
kwaghyan	diet
mkposo	difference
Kposo	different
taver	difficult
tsoghor	difficult
time	dig
icivir iyolugh	dignity
shagbashima	diligent
kwaghyan u aikie	dinner
mir	dip
jiilaa	direct
kwaghwan	direction
gbenda	direction
orvesen	director
ii	dirt
ile	dirty
hôngor	dirty
iwan	disable
gba iwan	disabled
mbasomalegh	disabled
sambe	disappear
va ahenge	disappointed
zaiyol u vesen	disaster
ta kera	discard
de tom	discharge
tsaha	discipline
pande	discount
za kav er	discover
msange	discrimination
lyam imongu	discuss
kwagh ôron	discussion
angev	disease
angev	diseases
hôn	disguise
shima ndohol	disgusting
kwaghyan	dish
gbande	dish
iwer	dish
akaayan	dishes
agbande	dishes
zenda	dismiss
hure	dismiss
tindi	dispatch
tindi ortyom	dispatch
tese	display
ian	disposal
akôngo	disposal
ayoosu	dispute
nembe	distance
kpookpoo	distinct
icivir	distinguish
zayol	distress
kwagh karen	distribution
kpentar	district
mzeiyol	disturb
hyungwa	ditch
wer ôôn	dive
wue wue	diverse
kposo kposo	diverse
kposokposo	diversity
pav	divide
icighan	divine
par ivaa	divorce
mnyam ma korun	dizzy
Er	do
we ye	do you
M doo u ishima	do you love me
ortwer	doctor
takerada	document
er	does
er ga	doesn't
an iwa	dog
Dogri	Dogri
ieren	doing
eren niumbe	doll
hemen	domain
ken ya	domestic
humba ave	dominant
dekera	don't
de henen shami ga	Don't worry
nagh	donate
kure	done
nyinya	donkey
icii	dope
doo	dope
uhaa	double
akeeke	doubt
mwem	dough
shin	down
dugh sha ahumbe	download
ngyeren i hiihii	draft
kpela	drag
uma	drain
anumbe	drama
dure	draw
kese	draw
kpera	draw
drowa	drawer
kwagh kpelan	drawing
chia	dread
mnyamcien	dream
ikyondo	dress
ongor ho	drill
kwaghman	drink
henda	drive
kende	drop
kende	dropped
icee	drought
hunde	drunk
oso	dry
ombor	dry
agwagwa	duck
adamgbe	duck
orne	dude
kuma	due
sha aci u	due to
Dôgh	dull
embelee	dull
hindughuu	dull
kondokyer	dumb
ta kera	dump
shie u henen u been	duration
klem	during
hyundu	dust
tom	duty
teman	dwell
kpen	dying
hanma	each
ayol en	each other
girim	eager
iguve	eagle
tough	ear
ken jime	earlier
vande	earlier
tsuaa	early
zuan	earn
ato	ears
tar	earth
targeman	earthquake
taverga	ease
fese	easily
ken yange milen	east
kiriki	easy
Ya	eat
yan	eating
gbenda nyar	economic
gbenda nyar	economy
kur	edge
sôô nger	edit
ityesen	education
zayol	effect
eren kwagh sha ikyav	effective
tsembelee	efficiency
voughur	efficient
iniôngon	effort
iji	egg
mgishim	eggplant
kenden akende sha	ego
anigheni	eight
anieni	eight
pue nieni	eighteen
akundu anyiin	eighty
Shin	either
jiilaa	elaborate
kwende	elbow
ortamen	elder
tamen	elderly
vesen	elderly
doo ashe	elegant
kwagh	element
noo	elephant
pue ka mom	eleven
kuman sha kwagh	eligible
palegh	eliminate
dugh kera	eliminate
ugen	else
Kunya kôron	embarrassed
u van ahenge	embarrassing
kunya	embarrassing
hee	embarrassing
kuve	embrace
kimbe	embrace
due	emerge
kwagh u fele fele	emergency
shima legh legh	emotional
mhôônom	empathy
zungwe	empathy
or taveraa	emphasis
pase wang	emphasize
ortom	employee
mba tom	employees
or u tôôn tom	employer
tom u eren	employment
gbilin	empty
wase	enable
mzou a kwagh	encounter
Tavershima	encourage
masejime	end
mkur	end
kure	end
anger	endangered
fatyo u	endeavor
shima wan	endurance
ishima i wan	endure
washima	endure
orhiom	enemy
ager	energy
hii kwagh	engage
tsor kwase	engaged
zuwan kwagh	engagement
injin	engine
inginia	engineer
zwa buter	English
seer	enhance
kpe iyol	enjoy
kpiligh iyol	enormous
Kuma	enough
nôngo	ensure
nyôr	enter
kwagh homun	entertainment
shmaveren	enthusiasm
msaaniyol	enthusiastic
cica cii	entire
itinekwagh	entitled
nongo	entity
hunda	entrance
orkpenga	entrepreneur
orkasuwa	entrepreneur
imbylugh	envelope
yisa	envelope
ajiir	environment
iyuhe	envy
ruamabera	epic
angev mbu tsaren	epidemic
ka	equal
akaa a even tom	equipment
ikyav	equipment
hen ato	equity
vough	equivalent
kwagh môm	equivalent
kwagh u koughn	eraser
ifer	error
isholio	error
mwaa	escape
jim je	especially
kwaghngeren	essay
jighilii	essence
hange-hange	essential
erkwagh	establish
ka nahan	established
zege ya	estate
iaven kwagh	estimate
kuman	estimated
man shi ageen kpaa	etc
ken won	eternal
atindi	ethics
kar	evaluate
kar	evaluation
tôvon fan	evaluation
shin	even
sha nahan yo	even though
aikie	evening
akaa	event
ke mase jime	eventually
ma yange	ever
hanmakwagh	every
hanmaor	everybody
hanma or	everyone
hanma-kwagh	everything
ikyav	evidence
tsav	evil
mgem	evolution
hingir kwaghgenegh	evolve
geman kwagh	evolve
Ewe	Ewe
tse	ex
jigh jigh	exact
voogh	exactly
ikyaren	exam
time sha	examine
tôv sha	examine
ikyav	example
kar	exceed
hemba	exceed
doo tsung	excellent
saa	except
saa di	exception
nger gande	excess
kpishi	excessive
musan	exchange
Maa iyol	excited
iember	excitement
saan iyol	exciting
tseegh	exclusive
tswen	exclusive
ityôkyaa	excuse
kôr ave	excuse
yam anyi	excuse me
tim	execute
wua	execute
eren kwagh	execution
orvesen	executive
iyolkaren	exercise
bee	exhaust
Vôr	exhausted
tese	exhibit
u lun	exhibit
tesen	exhibition
lun	exhibition
lu	exist
lun	existence
lun shin tar	existing
mire	exit
due	exit
gbanger	expand
shima veren keghen	expect
ashe averen	expected
vihin nyaregh	expenses
taver-ishe	expensive
fa	experience
kar	experiment
mbafankwagh	expert
kpe	expired
pase	explain
mpase	explanation
mtser	exploit
gbinda kposokposo	explore
due	export
pase	expose
ken igbar	exposed
pase	exposed
mwanger	exposure
fesefese	express
ityesen is sha shi	expression
see ken hemen	extend
gôgônan	extended
mseer ken hemen	extension
iaven	extent
ke won	external
timin	extinct
seer	extra
dugh	extract
cier yol	extraordinary
kpiliyol	extraordinary
tagher	extreme
ken ikyulen	extremely
ashe	eye
ashe	eyes
ikyondo	fabric
doo kpishi	fabulous
ishigh	face
wase tom	facilitate
akaa a tom	facilities
iyaagh	facility
ijiir	facility
akaa	fact
akaa	factor
ateiwa	factory
Jighilii	facts
mire	fade
gba	fail
gba	failed
kwagh hemban	failure
hume	faint
Nyian	fair
sha inja	fairly
kwagh orun homun	fairy
jighjigh	faith
jigh jigh	faithful
mimiga	fake
aiye	fake
gba	fall
ayie	FALSE
za iti	fame
kwagh u ivandefan yo	familiar
tsombor	family
ijen	famine
za iti	famous
peepee	fan
or suen	fan
doo ashe	fancy
kwagh u kpilighyol	fantastic
doo je gande	fantastic
ca	far
saa shiegen	farewell
sule	farm
orsule	farmer
kwaghdoon	fascinating
inja	fashion
purugh	fast
fefa	fast
fele	fast
ahôm	fat
kehe	fat
himbilii	fat
bo	fatal
ku	fate
ter	father
vôr	fatigue
tume iyol	fatigue
shamiga	fault
henban doon	favorite
laa	favour
henbandoon	favourite
cia	fear
iniongu	feast
ngur	feather
ityo-kwagh	feature
Itine-kwagh	feature
atinekaa	features
febewari	february
uwer u sha uhar	february
kumam	fed up
inja	fee
yie	feed
ibaver	feedback
bende	feel
mlu u shima	feeling
angahar	feet
agbe	fell
angbianev	fellow
imôngo	fellow
m fa me	felt
Ngô	female
Kwase	female
kpekpe ya	fence
doo	fertile
iniongo	festival
kese	fetch
iyol hian	fever
fiva	fever
kpuaa	few
pande	fewer
shioryam	fiance
kwaghhir	fiction
fiidi	field
hyande	field
taveraa	fierce
pue kaa utaan	fifteen
akundu ahar gber	fifty
num	fight
num nongon	fighting
kwagh kperan	figure
kaven	figure out
ker u fan	figure out
za wa	file
cir dzwa	fill
iv	filled
fiim	film
hongur	filthy
masen	finally
inyar	finance
inyar	financial
Zua	find
mfe	find out
u fa	find out
dedoo	fine
ihôwe	finger
bee	finish
bee	finished
usuh	fire
geng geng	firm
Hii hii	first
iti i hiihii	first name
ishu	fish
kuma	fit
utaan	five
ver	fix
ver	fixed
tuta	flag
iwanger	flash
mbyattaa	flat
pataa	flat
casem	flat
shami ga	flaw
ikyo	flawless
yevese	flee
iyol	flesh
nyam	flesh
pulugh	flew
ngyeren I engem	flex
shaagee	flex
igbenda kposo kposo	flexible
igbenda	flexible
yevese	flight
purugh	flight
ayem	flight
bugh	flip
hian	flirt
ihian	flirting
kua	float
zegemnger u kuan ior	flood
inya	floor
vande	floor
tembe iyou	floor
wua	flour
kua	flow
faluwa	flower
toho	flower
imondon	flower
hough	flu
mba ve fe	fluent
u fan kwaghôron	fluent
tsembelee	fluently
tsoghul ga	fluffy
zar	fluid
pulugh	fly
ver ashe sha mi	focus
iikpii	fog
ikyon	foggy
hule	fold
aboki	folks
