assaat aalaneri	gesture
aliikkusersortinnarpoq	amusing
Amisissuineq	analysis
siulit	ancestors
suliarinnittoq	anchor
utoqqaassuseq	ancient
aamma	and
asasakka angajoqqaat	Dear Parents
takornariarluni angalaneq	cruise
oqarasuaat angallattagaq	mobile
inngili	angel
kamassaq	anger
qiverneq	angle
kamappoq	angry
asasara angut	Dear Sir
uumasoq	animal
nammineerluni aningaasaliissutit	equity
singerneq	ankle
qanoq annertutigisumik	how much
qungatsimigut anniarpoq	sore throat
paasissutissat annikitsualuttortaalu	detail
ullorsiorneq	anniversary
nalunaarutiginninneq	announcement
isumalunneq	annoy
arrappoq	annoyed
qinngarnartoq	annoying
ukiumut	annual
alla	another
akissut	answer
sioqquppaa	anticipate
annilaaganeq	anxiety
annilaagasoq	anxious
suulluunniit	any
takinermik	anymore
kinaluunniit	anyone
sunaluunniit	anything
taamaakkaluartoq	anyway
kisianni	anyways
avillugu	apart
ini	apartment
illit apeqqutaavutit	up to you
utoqqatserneq	apologize
ilimanaq	apparent
ilimanarpoq	apparently
kajumissaarut	appeal
ersilerpoq	appear
isikkoq	appearance
takkuppoq	appeared
Qujanaq app-erput atorakku	Thanks for using our app
nererusussuseqarneq	appetite
iipili	apple
qinnuteqaat	application
qinnuteqaat	apply
qutsatigaara	appreciate
qujamasunneq	appreciation
qanillivoq	approach
tulluartoq	appropriate
akuerineqarneq	approval
akueraa	approve
akuerineqarpoq	approved
aprili	april
ujarak aqquserngup sinaakkutaa	curb
katikkiartornermi aqqut	aisle
pisuinnarnut aqqutissaq	pavement
timmisartumi aquttoq	pilot
atugassarititaasut	arbitrary
toqqorsivik	archive
piffik	area
illinuna	are you
ulapippit	are you busy
katisimavit	are you married
maaniippit	are you there
assortuunneq	argue
oqaaseqaat	argument
nikussaarpoq	arise
inuit arlaat	someone
taleq	arm
sakkutuut	army
kaajallallugu	around
piareersaaneq	arrange
aaqqissuussaq	arrangement
tikinneq	arrival
tikippoq	arrive
tikippoq	arrived
akimasooq	arrogant
qarsoq	arrow
eqqumiitsuliaq	art
allataq	article
eqqumiitsuliortoq	artist
ima	as
aluu asasara	hello dear
ajunngilaq asasara	ok dear
aap asasara	ok honey
aap asasara	ok my love
aap asasara	yes baby
sap asasara	yes dear
aap asasara	yes honey
aap asasara	yes my love
Aninga asavara	I love my big brother
Angajora asavara	I love my big sister
Ataatanga asavara	I love my father
Aqqaluara asavara	I love my little brother
Nukanga asavara	I love my little sister
Anaananga asavara	I love my mother
arsakut	ash
kanngusuttoq	ashamed
aperineq	ask
aperivoq	asked
sinippoq	asleep
sivisutigisumik	as long as
isiginniffik	aspect
Assamese	Assamese
saassussineq	assault
katitigaq	assembly
nalilersorpaa	assess
nalilersuineq	assessment
atuisoq	asset
ikitsineq	assets
tunivaa	assign
suliassaq	assignment
ikiuineq	assist
ikiorti	assistant
suleqat	associate
attuumassuteqarpoq	associated
isumaqarpoq	assume
ilimaginninneq	assumption
oqaatsit ataatsit naammanngisaannarput	one language is never enough
nerivaa	ate
qanoq ateqarpit	what is your name
qanoq ateqarpit	what's your name
uanga ateqarpunga	my name is
eqaatsoq	athlete
isiginnaartitsinermi atisat	costume
isiginnaartitsinermi atisat	customs
minnerpaamik	at least
annerusumik atorfittaarneq	promotion
ulloq atorluariuk	good day
ulloq atorluariuk	have a good day
ulloq atorluariuk	have a nice day
atuakkanik atorniartarfik	library
oqaatsit atorsinnaasat	vocabulary
kakkiussaq	attach
kakkiussaq	attached
kakkiussaq	attachment
saassussineq	attack
pileritsappoq	attempt
peqataaneq	attend
najuunneq	attendance
malugineqarneq	attention
pissusaa	attitude
kajugerinninneq	attract
kajumernartoq	attractive
paasissutissat	attribute
iluarutsillugu attuavaa	cuddle
isiginnaartut	audience
aggusti	august
atsa	aunt
ukuaq	aunty
immikkuullarissoq	authentic
suliarinnittoq	author
akisussaassuseq	authority
upernaaq	autumn
pisinnaavoq	available
agguaqatigiisillugu	average
soqutiginngiinnaruk	avoid
eqqumavoq	awake
akissarsiaq	award
mianersorit	aware
mianersorneq	awareness
ungasissoq	away
nuanneq	awesome
ajortoq	awful
eqqumiitsoq	awkward
Aymara	Aymara
naalugiarsuk	baby
bachelori	bachelor
kingumut	back
tunuliaqutaa	background
ajorpoq	bad
taskeq	bag
neqitsiussaq	bait
iffiorneq	bake
iffiorfik	bakery
nagepulver	baking soda
arsaq	ball
Bambara	Bambara
banani	banana
nipilersoqatigiit	band
seqqorneq	bang
aningaaserivik	bank
imerniartarfik	bar
immannguaq	barely
isumaqatiginninniarneq	bargain
qiluttoq	bark
suaasiassat	barley
nikerartoq	barrier
aallaavik	base
tunngavia	based
kælderi	basement
tunngaviusoq	basic
tunngaviusumik	basically
basilikum	basil
uersagaq	bastard
parti	batch
uffarfik	bath
uffarfik	bathroom
batteri	battery
unammineq	battle
kangerliumaneq	bay
sissa	beach
paakkarutit	beam
eertat	beans
nanoq	bear
umiit	beard
attartorpoq	bearing
uumasoq	beast
unammivaa	beat
pinnersoq	beautiful
pinnersoq	beauty
sissuerneq	be careful
pissutigalugu	because
siniffik	bed
sinittarfik	bedroom
igutsak	bee
immiaaraq	beer
siorna	before
aallartimmat	began
allaqqaataa	begin
sallaqqaataa	beginning
sinnerlugit	behalf
pissusilersuut	behave
pissuseq	behavior
pissusilersorneq	behaviour
tunuani	behind
upperisaq	belief
upperaa	believe
naat	belly
pigineqarpoq	belong
asasaq	beloved
ataani	below
qitequt	belt
issiavik	bench
sikivoq	bend
ataani	beneath
pisinnaasat	benefit
ajunngequtit	benefits
eqqaani	beside
saniatigut	besides
pitsak	best
iluatsitsilluarina	best of luck
ajunnginneruvoq	better
akornanni	between
imigassaq	beverage
saniatigut	beyond
Bhojpuri	Bhojpuri
illuinnaasiorneq	bias
motorcykeli	bicycle
kiisineq	bid
angisooq	big
cykeli	bike
akiligassaq	bill
qilerut	bind
timmiaaraq	bird
inuuvissiorneq	birthday
immannguaq	bit
Kiineq	bite
narrutsassimasoq	bitter
qernertoq	black
aoqaatiginiarsaraa	blade
pisuutitsineq	blame
imaqanngitsoq	blank
tippeq	blanket
qaartippaa	blast
qasorsugasoq	bleach
akuliuppai	blend
pilluaqquaa	bless
qujamasuttoq	blessed
tappiitsoq	blind
nuannaarnivik	bliss
blokki	block
aak	blood
sikkerarnerit	bloom
pullappaa	blow
tungujortoq	blue
inuuniluppoq	blunt
umiatsiaq	boat
timi	body
qalaappaa	boil
arsaq	bold
qilerut	bond
saarngit	bone
atuagaq	book
sakkortusaat	boost
sakkortusaat	booster
kamippaat	boot
kamippaat	boots
inniminniineq	border
qillerivoq	bore
pikkunaalliortoq	bored
pikkunaappoq	boring
inunngorpoq	born
atorpaa	borrow
naalagaq	boss
tamarmik	both
akornusiineq	bother
puiaasaq	bottle
naqqa	bottom
pisiaq	bought
pissinneq	bounce
atassutilik	bound
killeqarfiit	boundaries
piiarpaa	bow
skåli	bowl
sikaaviusaq	box
nukappiaraq	boy
angutaat	boyfriend
tajaq	bracelet
qarasaq	brain
immikkoortortaqarfik	branch
meqqi	brand
sapiitsoq	brave
aserorpoq	breach
unikkallarpoq	break
ullaakkorsiorneq	breakfast
iviagiit	breast
anersaartorneq	breath
anersaartorneq	breathe
sumiuussusaa	breed
qarmat	brick
nulianngortussaq	bride
ikaartarfik	bridge
korti	brief
qaamasoq	bright
torrallataq	brilliant
aggiuppoq	bring
silissusaa	broad
saqqummiuppaa	broadcast
aserorsimasoq	broke
aseroqqavoq	broken
saniutit	broom
ningaaq	brother in law
oqquppaa	brought
sukkulaajusaq	brown
illaajutit	brush
siparni	bucket
kammalaat	buddy
uumasuaraq	bug
sanavaa	build
inissiaq	building
sanaartorneq	built
amerlasuut	bulk
nusuppaa	bull
winngasaarineq	bully
aporpallanneq	bump
amerlasuut	bunch
qilersoqqasut	bundle
akornut	burden
ilivaa	buried
ikuallappoq	burn
qupinikoq	burst
Iliverpaa	bury
bussit	bus
orpigaq	bush
niuverneq	business
anersaartorpoq	bust
ulapippoq	busy
kisianni	but
punneq	butter
pakkaluaq	butterfly
toortagaq	button
pisiaq	buy
uannga	by
inuulluarna	bye
aammamaa	by the way
eqqagassaq	cabbage
ilisivik	cabinet
kaagi	cake
sianerpoq	call
sianerpoq	called
sianerfiginnga	call me
eqqissinartoq	calm
aggerpoq	came
tapersersortissarsiorneq	campaign
pisinnaavoq	can
taamaatippaa	Cancel
kræfti	cancer
sapinngilaa	capable
piginnaasai	capacity
aningaasaatit	capital
pisaraa	capture
biilit	car
ingerlalluarneq	career
sissuerluni	careful
mianersortumik	carefully
soqutaanngilaq	careless
isumassuisoq	caring
sanasoq	carpenter
tæppi	carpet
gulerodi	carrot
nammappaa	carry
ingerlaqqinneq	carry on
naammassisaq	carry out
suliassaq	case
aningaasat	cash
kuisaq	cast
illussaarsuaq	castle
eqqissisimasoq	casual
qitsuk	cat
pisaraa	catch
nersussuaaraq	cattle
pisaraa	caught
pissutaa	cause
mianersoqqussut	caution
mianersorpoq	cautious
qaarusuk	cave
atorunnaarpoq	cease
qilaaq	ceiling
nalliussivaa	celebrate
qeqqa	center
karrit	cereal
ilanngullugu	certain
qulakkeerpaa	certainly
kalunnerit	chain
issiavik	chair
unammillerneq	challenge
periarfissaq	chance
allannguut	change
uivernersuaq	chaos
immerpoq	charge
ajunngitsuliorneq	charity
alutornassuseq	charming
diagrammi	chart
malersorpaa	chase
oqaloqatigiinneq	chat
akikitsoq	cheap
Peqqusersusaarpoq	cheat
peqquserlunneq	cheating
misissugaq	check
uluak	cheek
qiimmassaaneq	cheer
nuannaartoq	cheerful
nuannaarneq	cheers
immussuaq	cheese
kemi	chemistry
pingaartippaa	cherish
skakkerneq	chess
sakiak	chest
tamuavoq	chew
kukkukuuaraq	chicken
pisortaq	chief
meeraq	child
meeraaneq	childhood
meeqqat	children
nillerpoq	chill
pujoorfiit	chimneys
talloq	chin
sukkulaaq	chocolate
toqqagaq	choice
toqqaagit	choose
aggorpaa	chop
pualakullak	chubby
oqaluffik	church
kanel	cinnamon
ammalortoq	circle
pissutsit	circumstances
innuttaasoq	citizen
illoqarfik	city
piumasaqaat	claim
uppernarsarpaa	clarify
marraq	clay
ipiitsoq	clean
imaarpoq	clear
pisiniartitsisoq	clerk
pikkorissoq	clever
sullitaq	client
ippik	cliff
silaannaq	climate
qallorneq	climb
eqimattat	clingy
nalunaaqutaq	clock
matujuk	close
skaavik	closet
annoraamineq	cloth
atisat	clothes
nuiaq	cloud
nuiavoq	cloudy
klovni	clown
liimmi	clue
nangitippoq	clumsy
eqimattat	cluster
ilitsersuisoq	coach
anguniagaq	coal
sineriak	coast
kavaajaq	coat
kaffi	coffee
nalaatsorneq	coincidence
nillerpoq	cold
sequmippoq	collapse
kravi	collar
suleqat	colleague
suleqatit	colleagues
katersorpai	collect
katersat	collection
qalipaat	color
qalipaat	colour
illaajutit	comb
atassuteqarneri	combination
kattunneq	combine
qaagit	come
qaagit	come here
qaaniarit	come on
ilorrisimaarneq	comfort
najoruminarsagaq	comfortable
aggerpoq	coming
naalakkiivoq	command
oqaaseqaat	comment
neqeroorut	commercial
pisassat	commission
iliuusaa	commit
atassuserneq	commitment
atassuteqarpoq	committed
nalinginnaasut	common
oqaloqatigiinneq	communicate
oqaloqatigiinneq	communication
ataatsimoorneq	community
uteqattaartoq	commute
ilagisaq	companion
pulaartoq	company
sanilliullugu	compare
sanilliullugu	comparison
misiginneqataaneq	compassion
misigittartoq	compassionate
peqatigineqarsinnaasoq	compatible
unammillerti	compete
piginnaasoq	competent
unammillerti	competition
piginnaasoq	competitive
naammangittaalliuut	complain
naammagittaalliuut	complaint
nersualaarinnissut	complement
naammassivoq	complete
naammassillugu	completely
katitigaq	complex
Eqqortitsineq	compliance
nassuiaruminaatsoq	complicated
oqaaseqaat	compliment
erinniaq	composition
ataatsimoorussat	compound
paasinninneq	comprehension
annertooq	comprehensive
isumaqatigiinngitsut	compromise
pinngitsuugassaangitsoq	compulsory
qarasaasiaq	computer
nutsigassiaq	concept
isumaalugaa	concern
isumaaluppoq	concerned
tusarnaartitsineq	concert
inernera	conclusion
paasinartoq	concrete
pisinnaasaq	condition
pissutsit	conditions
pissusilersuut	conduct
ataatsimiinneq	conference
nassuerneq	confess
akueriuk	confirm
akimmiffik	conflict
paatsiveerusimaarmat	confused
paatsiveerunneq	confusion
pilluarit	congrats
pilluarit	congratulation
pilluarit	congratulations
kattutit	conjunction
atassuteqarneq	connect
ajugaaffigaa	conquer
iIlisimavaa	conscious
ilisimassuseq	consciousness
akuersissut	consent
kingunissai	consequences
atatitsiinnarneq	conservation
eqqarsaatigaa	consider
eqqarsaatigisaq	considered
imaqarpoq	consist
kingunissaa	consistent
atasuinnarmik	constant
ilanngujuitsoq	constantly
manngertitsineq	constipation
sanaaq	construction
atuineq	consume
atuineq	consumption
atassuteqaat	contact
tuniluutiasooq	contagious
imaa	contain
imaqarpoq	contains
narruginninneq	contempt
imaa	content
unammillerti	contest
imaai	context
nunavissuaq	continent
ingerlaqqinneq	continue
isumaqatigiissut	contract
ersarissusaa	contrast
ilanngussineq	contribute
ilanngussaq	contribution
aqutsineq	control
atoruminartoq	convenience
ajornaatsoq	convenient
oqaloqatigiinneq	conversation
saanniarpoq	convert
tunniuppaa	convey
killippaa	convince
qularunnaarsimasoq	convinced
iganeq	cook
iffiorneq	cooking
torrak	cool
suleqatigiinneq	cooperation
iluatsitsivoq	cope
kanngussak	copper
qiternga	core
majsit	corn
teqeqqoq	corner
ilumoorpoq	correct
aki	cost
annoraassiassaq	cotton
issiavissuaq	couch
quersorpoq	cough
taamaassinnaavoq	could
siunnersuisoqatigiit	council
atuuttut	count
nuna	country
aappariit	couple
sapiissuseq	courage
ingerlavik	course
eqqartuussivik	court
inoroorsaarneq	courtesy
illooraq	cousin
puua	cover
nersussuaq	cow
sianiitsoq	coward
Anajoruminartoq	cozy
assagiarsuk	crab
quppaq	crack
assassukkat	craft
anaq	crap
ajutoorneq	crash
ajorsarneq	craving
paarngorpoq	crawl
niaqulaartoq	crazy
pilersitaq	create
isumassarsiullaqqissoq	creative
akissat	credit
ersinaq	creep
ersinaq	creepy
inuttat	crew
pinerlunneq	crime
qumartoq	cringe
immikkoortui	criteria
nalorninartoq	critical
isornartorsiuineq	criticism
inerittut	crop
inerittut	crops
krydsi	cross
tulugaq	crow
ulikkaaqqavoq	crowded
niaqorut	crown
aaliagiisoq	crucial
peqqarniitsoq	cruel
ajutoorpoq	crush
qianeq	cry
agurki	cucumber
piorsarsimassuseq	culture
isumatooq	cunning
kaffisorfik	cup
ilisivik	cupboard
aaqqippoq	cure
aneqqusaannginneq	curfew
alapernaassuseq	curiosity
paasisaqarusunneq	curious
iligasoq	curly
aki	currency
maannakkuungallartoq	current
kingullermik	currently
perloqquaa	curse
saajut	curtain
akiseq	cushion
sullitaq	custom
sullitaq	customer
kipivaa	cut
inequnarpoq	cute
cykelerneq	cycle
cykelerneq	cycling
ataata	dad
ataata	daddy
ullormut	daily
ullorsiutit	dairy
sapusiaq	dam
aserorsimasoq	damage
ajoq	damn
aalaq	damp
qitinneq	dance
ulorianartoq	danger
ulorianartoq	dangerous
taartoq	dark
asasak	darling
allaffissaq	dash
ulloq	date
pani	daughter
ulloq	day
toquvoq	dead
tusilartoq	deaf
isumaqatigiissut	deal
asasara	dear
toqu	death
oqallinneq	debate
akiligassat	debit
unngiarnerlukut	debris
akiitsut	debt
toqusimasoq	deceased
ilanngussineq	deceive
decembari	december
ileqqorissoq	decent
aaliagerpoq	decide
aaliagerpoq	decided
Aaliagerneq	decision
nakkaallanneq	decline
annertusivaa	decrease
tunniunneqarpoq	dedicated
pigitsitsineq	dedication
iliuuseq	deed
itisooq	deep
tuttuusaq	deer
nalinginnaasoq	default
ajorsarneq	defeat
illersuineq	defend
nassuiaaneq	define
ilimanarpoq	definitely
nassuiaataa	definition
qaffasissusaa	degree
kingusinaarpoq	delay
kingusinaarpoq	delayed
nunguterpaa	delete
Ailisimavaa	deliberate
agguaassineq	delicate
mamartoq	delicious
nuannaarneq	delight
nuannaajallappoq	delighted
aappaa	deliver
tunniunneqarpoq	delivered
tunniunneqarpoq	delivery
piumaneqarneq	demand
piumasaqarpoq	demanding
anersaapiluk	demon
misiarpoq	denied
kingutilerisoq	dentist
misiarpoq	deny
departmenti	department
aallartussat	departure
apeqqutaavoq	depend
ikkuppaa	deploy
akiliineq	deposit
isumatsassimavoq	depressed
isumatsassimagaarneq	depression
itissuseq	depth
nassuiaataa	describe
nassuiaat	description
inoqajuitsoq	desert
iluanaarutigaa	deserve
iluseq	design
sumunnarfik	designation
kissaat	desire
Nerrivik	desk
nalornineq	despair
taamaakkaluartoq	despite
Kinguleraq	dessert
sumunnarfik	destination
aserorpoq	destroy
aserorterineq	destruction
nassaarpoq	detect
aaliagiisinnaaneq	determination
aaliagerlugu	determine
aaliagiusimaneq	determined
sequmippoq	devastated
ineriartorneq	develop
ineriartorpoq	developed
ineriartorneq	development
eqqarsaatigisaq	device
ajortoq	devil
tunniusimasoq	devoted
Dhivehi	Dhivehi
sukkorneq	diabetes
timminneq	diarrhea
ullorsiutit	diary
ordbogit	dictionary
iliorsimavoq	did
toquvoq	die
toquvoq	died
assigiinngissusaa	difference
allaaneq	different
nalunartoq	difficult
assappaa	dig
ataqqinassuseq	dignity
eqiasuitsoq	diligent
unnukkorsiorneq	dinner
dippi	dip
toqqaannartoq	direct
sammivik	direction
pisortaq	director
ipeq	dirt
ipertooq	dirty
qamitsineq	disable
stassutaarpaa	disabled
tammarpoq	disappear
pakatsivoq	disappointed
ajorluinnartoq	disaster
kasiilerpaa	discard
perorsarsimassuseq	discipline
akikilliliineq	discount
paasivaa	discover
assigiinngisitsineq	discrimination
oqaloqatigiinneq	discuss
oqaloqatigiinneq	discussion
nappaat	disease
nappaatit	diseases
maajunnartoq	disgusting
puugutarsuaq	dish
errugassat	dishes
soraarsippaa	dismiss
massiussineq	dispatch
peersitsineq	disposal
assortorpaa	dispute
ungasissuseq	distance
nassuitsoq	distinct
immikkoortitsineq	distinguish
ajorsarneq	distress
agguataarineq	distribution
eqqaa	district
akornusersuineq	disturb
kussiaq	ditch
allorpoq	dive
assigiinngitsut	diverse
assigiinngisitaartoq	diversity
agguaavoq	divide
avinneq	divorce
silaluttoq	dizzy
nakorsaq	doctor
uppernarsaat	document
iliuuseq	does
Qimmeq	dog
Dogri	Dogri
sulerineq	doing
inuusaq	doll
naalagaaniartoq	dominant
tunissutigaa	donate
naammassivoq	done
siutitooq	donkey
taamaaliornak	don't
ernumassanngilatit	Don't worry
sukasaat	dope
marloriaammik	double
nangaasoq	doubt
naqittagaq	dough
ammut	down
aavaa	download
llit	do you
asavinga	do you love me
tingulaagaq	draft
nusuppai	drag
sullulik	drain
titartagaq	draw
ilitsivik	drawer
titartaaneq	drawing
ersinersuaq	dread
sinnattoq	dream
kjoleq	dress
qillerisoq	drill
imigassaq	drink
aquppoq	drive
kuserneq	drop
nakkarpoq	dropped
panernersuaq	drought
aalakoorpoq	drunk
panertoq	dry
qeerlutooq	duck
angunaa	dude
piffissaa	due
pikkunaatsoq	dull
sianiitsoq	dumb
sianiitsoq	dump
takissusaa	duration
taamaattoqarnerani	during
pujoralak	dust
pisussaaffik	duty
uninngalertorpoq	dwell
toqulerpoq	dying
tamarmik	each
imminnut	each other
piumassusillit	eager
nattoralik	eagle
siut	ear
siornatigut	earlier
ullaaralaakkut	early
katersat	earn
siutit	ears
nunarsuaq	earth
ajornanngissusaa	ease
ajornanngitsumik	easily
kangia	east
nalunanngik	easy
nerivoq	eat
nerivoq	eating
aningaasaqarneq	economic
aningaasaqarneq	economy
sinaa	edge
aaqqissuineq	edit
ilinniagaq	education
sunniutaa	effect
sunniuteqarluartut	effective
naammassisaqarsinnaaneq	efficiency
sunniuteqarluartoq	efficient
iliuuseq	effort
mannik	egg
aubergine	eggplant
atten	eighteen
firs	eighty
taamaakkaluarpalluunniit	either
ikusik	elbow
utoqqaq	elder
utoqqaq	elderly
kusanartoq	elegant
elementi	element
nagguaatsoq	elephant
aqqanillit	eleven
pisinnaatitaavoq	eligible
nungutippaa	eliminate
alla	else
kanngusuppoq	embarrassed
kanngunartoq	embarrassing
eqitaarpaa	embrace
nuivoq	emerge
misigissusilik	emotional
misiginneqatiginnissinnaaneq	empathy
oqimaassuseq	emphasis
erseqqissarpaa	emphasize
Sulisoq	employee
Sulisut	employees
sulisoq	employer
sulisoq	employment
imaqanngilaq	empty
atavoq	enable
misigaa	encounter
ilalerpaa	encourage
maavoq	end
aarlerinarsisoq	endangered
ilugersorneq	endeavor
piusinnaassusaa	endurance
naammangittarneq	endure
akeraq	enemy
nukik	energy
pimoorussineq	engage
suliffeqarpoq	engaged
piumassuseq	engagement
motori	engine
ingeniøri	engineer
tuluttut	English
pitsanngorsaaneq	enhance
nuannisarina	enjoy
angisoorujussuaq	enormous
naammappoq	enough
qulakkeerpaa	ensure
iserpoq	enter
aliikkusersuineq	entertainment
piumassuseqarpoq	enthusiasm
kajuminneq	enthusiastic
tamaat	entire
atassut	entity
isertarfik	entrance
avatagiiseq	environment
sinnganeq	envy
matuma eqqaani	neighborhood
imminuinnaq eqqarsaatigineq	ego
piffissamik eqqorluaasoq	punctual
toqqaannartumik eqqortumik	subtle
nioqqutissanik eqqussuineq	import
assigusoq	equal
atortut	equipment
assingusoq	equivalent
nungusaat	eraser
ajutoorneq	error
akimut ersittoq	transparent
qimaavoq	escape
ingasappoq	especially
oqaluttuaq	essay
pisarialik	essential
ikkussorpaa	establish
inississugaq	established
pigisaq	estate
pinnersoq	estimate
taggippaa	estimated
Il.il.	etc
naassaanngitsumik	eternal
ileqqorissaarneq	ethics
nalilersuineq	evaluate
naliliineq	evaluation
taamaakkaluarpalluunniit	even
unnugiaq	evening
pisussaq	event
taamaakkaluartoq	even though
taamaakkaluartoq	eventually
qaquguluunniit	ever
tamaasa	every
tamarmik	everyone
tamaasa	everything
uppernarsaat	evidence
ajortoq	evil
ineriartorneq	evolution
inerikkiartorpoq	evolve
Ewe	Ewe
ass.	ex
Ataamaappoq	exact
taamatoqqinnaaq	exactly
misilitsinneq	exam
misilitsinneq	examine
assersuut	example
qaagiivoq	exceed
torrassuaq	excellent
minillugu	except
minillugu	exception
amiakkuusoq	excess
akisooq	excessive
aggortitsineq	exchange
pissaganaq	excited
pissaganeq	excitement
pissaganaq	exciting
ilanngunnagu	exclusive
utoqqatserneq	excuse
utoqqatserpunga	excuse me
pillaaneq	execute
naammassisitsisoq	executive
sungiusarneq	exercise
qasuvoq	exhaust
qasusoq	exhausted
saqqummersitsineq	exhibit
saqqummersitsineq	exhibition
piuvoq	exist
ataneq	existence
piuvoq	existing
anisarfik	exit
qaffakkiartorpoq	expand
naatsorsuutigaa	expect
naatsorsuut	expected
aningaasartuutit	expenses
akisooq	expensive
misilittakkat	experience
misileraaneq	experiment
ilisimatooq	expert
qaangiussimavoq	expired
nassuiaat	explain
nassuiaat	explanation
atorluaaneq	exploit
alliartortoq	explore
kinguartippaa	expose
kinguartippaa	exposed
qaammarfigititsineq	exposure
takutitsineq	expression
sivitsorpaa	extend
annertusisaq	extended
siammarterineq	extension
qaffasissusaa	extent
silataa	external
nungunnikut	extinct
naalisagaq	extract
sakkortooq	extreme
assorujussuaq	extremely
isi	eye
isit	eyes
annoraamineq	fabric
kusanaq	fabulous
kiinaq	face
tigivoq	facilitate
atortorissaarutit	facilities
piginnaassuseq	facility
tunngavik	fact
pissut	factor
tunisassiorfik	factory
piviusut	facts
satsippaa	fade
ajutoorpoq	fail
ajutoorpoq	failed
iluatsinngitsoq	failure
sanngiitsoq	faint
naammaginarpoq	fair
naapertuilluartoq	fairly
upperaa	faith
tatiginartoq	faithful
ilumuunngitsoq	fake
nakkarpoq	fall
kukkuvoq	false
tusaamasaq	fame
ilisarnartoq	familiar
ilaquttat	family
kaannersuaq	famine
tusaamasaq	famous
