a	an
bakery	bakalan nin tinapay
baking soda	baking soda
balance	timbang
balance	timbangon
ball	bola
Bambara	Bambara
banana	batag
band	banda
bang	putok
bank	banko
bar	olang
barely	bihira
bargain	subasta
bark	nagbabatok
bark	batok
barley	sebada
barrier	harang
base	base
based	base sa
basement	sirong kan harong
basic	pangenot
basically	talaga
basil	basil
bastard	bastardo
batch	grupo
bath	karigusan
bathroom	karigusan
battery	baterya
battle	labanan
bay	bay
be	magin
be careful	magin maingat
beach	pampang nin dagat
beam	sinag
beans	gisantes
bear	oso
bear	tioson
beard	bigote
bearing	nagdadara
beast	hayop
beat	daog
beat	daogon
beautiful	magayon
beauty	gayon
became	nagin
because	huli
become	naging
bed	higdaan
bedroom	kwarto
bee	sugod
beef	karneng baka
been	nagin
beer	beer
before	bago
began	nagpuon
begin	magpuon
beginning	kapinunan
behalf	sa pangaran ni
behave	paghiro
behavior	pag-uugali
behaviour	pag-hiro
behind	likod
being	pagkatawo
belief	paniniwala
believe	tubod
belly	tulak
belong	kaiba
beloved	namumutan
below	sa ibaba
belt	paha
bench	tukawan
bend	tiko
beneath	sa irarom
benefit	benepisyo
benefit	benepisyaran
benefits	mga benepisyo
beside	sa gilid
besides	maliban sa
best	pinaka
best of luck	magayon na kapaladan saimo
best regards	pagbati
better	mas marahay
between	pag-ultanan
beverage	inumon
beyond	sa ibong kan
Bhojpuri	Bhojpuri
bias	bakong pantay na trato
biased	igwa nin kinikilingan
bicycle	bisekleta
bid	tawad
big	dakula
bike	bisekleta
bill	bayadan
bind	bugkuson
bird	bayong
birthday	kumpleanyo
bit	dikit
bite	kagaton
bite	kagat
bitter	pait
black	itom
blade	tarom
blame	basol
blame	pagbabasol
blank	blanko
blanket	tamong
blast	putok
bleach	ikinula
blend	maghalo
bless	bisa
bless	bendisyon
blessed	benendisyunan
blind	buta
bliss	kaogmahan
block	harang
blood	dugo
bloom	namurak
blow	huyop
blue	azul
blunt	bakong mattarom
board	naglunad
boat	bangka
body	lawas
boil	kalakaga
bold	agresibo
bold	huba
bond	bugkos
bone	tolang
book	libro
boost	magbunsod
boost	pagbubunsod
booster	pampakusog
boot	bota
boots	bota
border	sagkodan
bore	langkag
bored	langkag
boring	nalalangkag
born	ipinangaki
borrow	suble
boss	amo
both	pareho
bother	disturbuhon
bottle	botelya
bottom	irarom
bought	nagbakal
bounce	talbog
bound	pasiring
boundaries	sagkodan
bow	duko
bowl	mangko
box	kahon
boy	aking lalaki
boyfriend	syota
bracelet	pulseras
brain	hutok
branch	sanga
brand	brand
brave	maisog
breach	paglabag
bread	tinapay
break	pasa
break	pahingalo
breakfast	pamahawan
breast	dudo
breath	hinangos
breathe	hangos
breed	lahi
brick	laryo
bride	nobya
bridge	tulay
brief	brip
brief	halipot
bright	maliwanag
brilliant	matali
bring	magdara
bro	tugang na lalaki
broad	mahiwas
broadcast	ibalingibog
broke	napasa
broken	pasa
broom	sigid
brother	tugang na lalaki
brother in law	bayaw
brought	nagdara
brown	de kape
brush	sipilyo
bucket	balde
buddy	kurukaiba
budget	badyet
bug	sublat
build	magtindog
building	edipisyo
built	nagtindog
bulk	kadaklan
bull	toro
bully	mang-api
bump	bunggo
bunch	tumpok
bundle	bugkos
burden	pagabat
burden	pasan
buried	ilubong
burn	sulo
burst	pagputok
bury	piglubong
bus	bus
bush	palungpong
business	negosyo
bust	dudo
busy	dakol na gibo
but	pero
butter	mantikilya
butterfly	alibangbang
button	butones
buy	magbakal
by	paagi sa
by the way	maiba ako
bye	paaram
cabbage	repolyo
cabinet	kabinet
cage	hawla
cake	keyk
calf	aki nin baka
call	apod
call	mag-apod
call me	apudan mo ako
called	nag apod
calm	kalmado
came	nagdigdi
campaign	kampanya
can	lata
can	makakagibo
can't	dai kayang gibuhon
Cancel	ikansela
cancer	kanser
capable	may kakayahan
capacity	kapasidad
capital	kapital
capital	sentro
caption	paliwanag
capture	nadakop
car	awto
career	karera
careful	maingat
carefully	maingat
careless	bakong maingat
caring	nagpapahalaga
carpenter	karpentero
carpet	karpet
carrot	karot
carry	darahon
carry on	magpadagos
carry out	gibuhon
case	kaso
cash	kwarta
cast	palayason
castle	kastilyo
casual	kaswal
cat	ikos
catch	dakop
category	kategorya
cattle	bakahan
caught	nakadakop
cause	magkawsa
cause	kawsa
caution	mag-ingat
cautious	maingat
cave	kweba
cease	nagpundo
ceiling	kisame
celebrate	selebrar
cell	selula
center	sentro
Central Bikol	Sentral Bikol
century	siglo
cereal	siryal
ceremony	seremonya
certain	nagkapira
certain	sigurado
certainly	sigurado
certificate	sertipiko
chain	kadena
chair	tukawan
challenge	angat
challenge	inangat
chance	tyansa
change	magbago
chaos	karibukan
character	karakter
characteristics	karakteristiko
charge	singil
charity	kawanggawa
charming	kaakit-akit
chart	tsart
chase	bukod
chat	mensahe
chat	pag-olay
cheap	barato
cheat	magdaya
cheating	nandadaya
check	tsek
cheek	pisngi
cheer	mag ogma
cheerful	masaling-gaya
cheers	tagay
cheese	keso
chemistry	kimika
cherish	pahalagahan
chess	tses
chest	daghan
chew	nguya
chicken	manok
chief	hepe
child	aki
childhood	pagkaaki
children	mga aki
chill	lipot
chill	lilipot
chill	malipot
chimneys	tsimenea
chin	baba
chocolate	tsokolate
choice	pili
choose	pili
chop	tuktukon
chores	mga gibuhon sa harong
chubby	mabilog
church	simbahan
cinnamon	cinnamon
circle	bilog
circumstances	mga sikumstansiya
citizen	mamamayan
city	siyudad
claim	habol
claim	kuanon
clarify	klaruhon
class	klase
clay	laboy
clean	malinig
clear	palinawon
clear	malinaw
clerk	klerk
clever	matali
client	kliyente
cliff	bangin
climate	klima
climb	sakat
clingy	madukot
clock	relo
close	sarado
closet	baduan
cloth	tela
clothes	mga bado
cloud	panganuron
cloudy	mapanganuron
clown	payaso
clue	palatandaan
clumsy	malamya
cluster	tumpok
coach	magtokdo
coach	tagapagtokdo
coal	uring
coast	kosta
coat	pinahidan
coffee	kape
cognitive	kamalayan
coincidence	kaparehong pangyayari
cold	malipot
collapse	nagaba
collar	kwelyo
colleague	kairiba
colleagues	mga pag-iriba
collect	kolekta
collection	koleksyon
college	kolehiyo
color	kolor
colorless green ideas slept furiously	mayong kolor berde mga idea nagkaturog anggoton
colour	kolor
column	kolum
comb	sukray
combination	kombinasyon
combine	pagsalakon
come	magdigdi
come here	magdigdi ka
come on	magdigdi ka
comfort	libang
comfortable	komportable
coming	madigdi
coming soon	maabot na
command	sugo
comment	komento
commercial	komersyal
commission	komisyon
commit	komiter
commitment	pangako
committed	nagkasundo
commodity	paninda
common	normal
communicate	kumonikar
communication	komunikar
community	kumunidad
commute	naglunad
companion	kaibanan
company	kumpanya
compare	komparar
comparison	pagkuumparar
compassion	pakikidamay
compassionate	maheherakon
compatible	bagay
compete	nakipagkompetensiya
competent	may kakayahan
competition	kompetisyon
competitive	kompetensiya
complain	reklamo
complaint	reklamo
complement	komplemento
complete	kumpleto
completely	kompleto
complex	komplikado
compliance	pagsunod
complicated	komplikado
compliment	komendasyon
comply	sumunod
composition	komposisyon
compound	tambalan
comprehension	pang intindi
comprehensive	komprehensibo
compromise	ikompromiso
compromise	kasunduan
compulsory	sapiritan
computer	kompyuter
concentrate	konsentrar
concept	konsepto
concern	pagmamalasakit
concern	nababahala
concerned	nababahala
concert	konsyerto
conclusion	konklusyon
concrete	kongkreto
concrete	sinisemento
condition	kondisyon
conditions	mga kondisyon
conduct	pag-uugali
conference	komperensiya
confess	amin
confidence	kompyansa
confident	may kompyansa
confirm	kumpirmahon
conflict	dai pagkakasinabutan
confused	libong
confusion	pagkalibong
congrats	congrats
congratulation	congratulations
congratulations	congratulations
conjunction	pandugtong
connect	kumonekta
conquer	sakop
conscious	may pakaisi
consciousness	pakaisi
consent	tugutan
consent	pagtugot
consequences	konsekwensiya
conservation	konserbasyon
conservative	konserbatibo
consider	magkonsiderar
considered	kinunsiderar
consist	kaiba
consistency	mayong pagbabago
consistent	dai nagbabago
constant	padagos
constantly	nagpapadagos
constipation	dai nakakaudo
construction	konstruksiyon
consume	kunsumo
consumption	konsumo
contact	kontakon
contagious	nakakaulakit
contain	laog
contains	igwa nin
contemporary	kontemporaryo
contempt	paghamak
content	laog
contest	paurumbasan
context	konteksto
continent	kontinente
continue	magpadagos
contract	kontrata
contract	makipagkontrata
contrast	pag-ibahon
contrast	kaibahan
contribute	magkontribwer
contribution	kontribusyon
control	kontrol
controversial	kontro
convenience	kombeniente
convenient	kombinyente
conversation	kombersasyon
convert	kumbertihon
convert	kumberte
convey	ihatod
convince	kumbinsihon
convinced	kumbinsido
cook	tagapagaluto
cook	magluto
cooking	nagluluto
cool	malipot
cooperation	kooperasyon
cope	makaya
copper	tanso
core	pusod
corn	mais
corner	kanto
correct	tama
cost	gastos
cost	danyos
costume	bado
cottage	kubo
cotton	koton
couch	malumoy na tukawan
cough	ubo
could	pwede
council	konseho
count	bilang
counter	laban
country	nasyon
countryside	kabukidan
couple	mag-agom
courage	kusog nin buot
course	kurso
court	korte
courtesy	kortesiya
cousin	pinsan
cover	takop
cow	baka
coward	talaw
cozy	maginhawa
crab	kasag
crack	pasa
crack	pasaon
craft	gibo
crap	mayong kwenta
crash	salpukan
crash	magbangga
craving	gusto
crawl	kamang
crazy	bua
create	maggibo
creative	mapagimbento
credit	kredito
creep	gapang
creepy	katakut-takot
crew	grupo
crime	krimen
cringe	supog
crisis	krisis
criteria	kriterion
critical	kritikal
criticism	kritisismo
crop	pananom
crops	mga pananom
cross	magbalyo
cross	krus
crow	uwak
crowd	grupo nin tawo
crowded	pano
crown	korona
crucial	sobrang importante
cruel	maringis
cruise	layag
crush	pagrunot
crush	runuton
cry	mahibi
cucumber	pipino
cuddle	kugos
culture	kultura
cunning	tuso
cup	kopya
cupboard	estante
curb	kurba
curb	kurbada
cure	bulongon
cure	bulong
curfew	kurpyo
curiosity	kuryusidad
curious	usyosero
curly	kurong
currency	kwarta
current	sa presente
current	kuryente
currently	sa presente
curse	sumpa
curtain	kuritna
cushion	sapin
custom	kustombre
customer	kustomer
customs	kustombre
cut	putol
cut	putulon
cute	kyut
cycle	siklo
cycling	pagbibisikleta
dad	ama
daddy	papa
daily	aro-aldaw
dairy	pagibuhan nin gatas
dam	dike
damage	danyaran
damage	danyos
damn	sumpaon
damp	dumog nin dikit
dance	bayle
danger	peligro
dangerous	delikado
dark	madiklom
darling	darling
dash	gatlang
data	mga datos
date	petsa
date	makipaghilingan
daughter	aking babaye
day	aldaw
dead	gadan
deadline	huring aldaw o oras
deaf	bungog
deal	deal
dear	namumutan
Dear All	Gabos na namumutan
Dear Customer	Namumutan na Kustomer
Dear Parents	Namumutan na mga magurang
Dear Sir	Namumutan na
Dear students	Namumutan na mga estudyante
Dear Team	Namumutan na team
death	kagadanan
debate	debate
debit	utang
debris	basura
debt	utang
decade	dekada
decay	naglalapa
deceased	nagadan
deceive	daya
december	disyembre
decent	desente
decide	magdesisyon
decided	nagdesisyon
decision	desisyon
deck	alantaga
decline	sayumahan
decrease	bawasan
dedicated	didekado
dedication	didekasyon
deed	gibo
deep	hararom
deer	usa
default	palya
default	piniling opsyon
defeat	daog
defeat	nadaog
defend	ipaglaban
define	tawan kahulugan
definitely	sigurado
definition	kahulugan
degree	lebel
delay	pahaluyon
delay	atraso
delayed	naabala
delete	haleon
deliberate	sinadya
delicate	maselan
delicious	masiram
delight	ogma
delighted	naogma
deliver	hatod
delivered	naipadara na
delivery	pagkakataram
delivery	padara
demand	kaipuhan
demand	pangangaipo
demanding	dakol na kahagadan
democracy	demokrasya
demon	demonyo
demonstrate	demonstrar
denied	sinayumahan
density	densidad
dentist	dentista
deny	magsayuma
department	departamento
departure	paghale
depend	asa
deploy	ipadara
deposit	ideposito
deposit	deposito
depressed	sonrang kamunduan
depression	depresyon
depth	rarom
describe	iladawan
description	deskripsiyon
desert	disyerto
deserve	magin karapat-dapat
design	idisenyo
design	disenyo
designation	designasyon
desire	pagmawot
desire	nagmamawot
desk	lamesa
despair	desesperasyon
desperate	desperado
despite	sa ibong kan
dessert	pandulse
destination	destinasyon
destiny	tadhana
destroy	raoton
destruction	pagkagaba
detail	detalye
details	mga detalye
detect	naaraman
determination	determinasyon
determine	determinado
determined	determinado
devastated	wasak
develop	uswag
developed	pag-uswag
development	pag-uswag
device	kagamitan
devil	diablo
devoted	debotado
Dhivehi	Dhivehi
diabetes	dyabetes
diarrhea	nagkukurso
diary	suratan nin pangyayari aro-aldaw
dictionary	diksyunaryo
did	naggibo
die	magadan
died	nagadan
diet	dyeta
difference	pagkakaiba
different	magkaiba
difficult	dipisil
dig	magkalot
dignity	dignidad
diligent	mahigos
dinner	pamanggihan
dip	piglublob
direct	direkta
direction	direksyon
director	direktor
dirt	ati
dirty	maati
disable	baldado
disabled	baldado
disappear	nawara
disappointed	bigo
disaster	kalamidad
discard	itapok
discharge	nakaluwas
discipline	disiplina
discount	bawas
discover	diskubre
discrimination	diskriminasyon
discuss	pag-olayan
discussion	talakayan
disease	helang
diseases	mga helang
disguise	magsagin-sagin
disgusting	makauyam-uyam
dish	pagkaon
dishes	mga plato
dismiss	tapuson
dispatch	pinalarga
display	ipahiling
disposal	pagtapok
dispute	iriwal
distance	distansiya
distinct	naiiba
distinguish	ipahiling an kaibahan
distress	pagkabahala
distribution	distribwir
district	distrito
disturb	distorbo
ditch	kanal
dive	sisid
diverse	dakol
diversity	iba-ibang klase
divide	bangaon
divine	banal
divorce	diborsiyo
divorce	nag-diborsyo
dizzy	lula
do	gibo
do you	ika daw
do you love me	namumutan mo ako
doctor	doktor
document	dokumento
does	gibo
doesn't	dai
dog	ayam
Dogri	Dogri
doing	ginigibo
doll	munyeka
domain	domain
domestic	domestiko
dominant	dominante
don't	dai mo
Don't worry	Dai maghandal
donate	donar
done	tapos na
donkey	asno
dope	gago
double	doble
double	doblehon
doubt	magduda
doubt	pagdududa
dough	masa
down	baba
download	kuanon sa internet
draft	burador
draft	iplano
drag	butungon
drain	halean tubig
drama	dula
draw	mag-drowing
drawer	burubulnot
drawing	drowing
dread	natatakot
dream	pangaturogan
dream	mangaturogan
dress	bado
drill	nagluho
drink	mag-inom
drink	inumon
drive	magmaneho
drop	tagdo
drop	nagtatagdo
dropped	nahulog
drought	turong
drunk	burat
dry	mamara
duck	pato
dude	lalaki
due	dapat bayadan
due to	dahilan sa
dull	mangurol
dumb	patal
dump	itambak
duration	kahaluyan
during	mantang
dust	alpog
duty	trabaho
dwell	nag-istar
dying	harani nang magadan
each	kada saro
each other	kada saro
eager	sabik
eagle	agila
ear	talinga
earlier	subago
early	amay
earn	kita
ears	talinga
earth	kinaban
earthquake	linog
ease	madali
easily	madali
east	sirangan
easy	pasil
eat	kaon
eating	nagkakakan
economic	ekonomiya
economy	ekonomiya
edge	gilid
edit	baguhon
education	edukasyon
effect	epekto
effective	epektibo
efficiency	kahusayan
efficient	episyente
effort	paghihingoa
egg	sugok
eggplant	talong
ego	pagkamakaako
eight	walo
eighteen	dise otso
eighty	otsenta
either	maski arin
elaborate	magdagdag nin mga paliwanag
elbow	siko
elder	gurang
elderly	gurang
elegant	elegante
element	elemento
elephant	elepante
eleven	onse
eligible	karapat-dapat
eliminate	eliminar
else	iba pa
embarrassed	supog
embarrassing	makasusupog
embrace	kugos
emerge	nagbutwa
emergency	emerhensiya
emotional	emosyunal
empathy	makidamay
emphasis	iduon
emphasize	iduon
employee	empleyado
employees	mga empleyado
employer	pinagtatrabahuhan
employment	trabaho
empty	mayong laog
enable	paganahon
encounter	nagkatagbo
encourage	dagkahon
end	katapusan
endangered	dikit na sana an buhay
endeavor	pagsisikap
endurance	tatag
endure	magtios
enemy	kaiwal
energy	enehiya
engage	nagkasundo
engaged	may kasunduan na magpakasal
engagement	kompromiso
engine	makina
engineer	inhenyero
English	Ingles
enhance	pahusayon
enjoy	mag-ogma
enormous	dakulaon
enough	tama sana
ensure	siguraduhon
enter	maglaog
entertainment	aling-alingan
enthusiasm	entusiasmo
enthusiastic	entusiastiko
entire	gabos
entitled	igwa nin karapatan
entity	entidad
entrance	laogan
entrepreneur	negosyante
envelope	envelop
environment	kapalibutan
envy	ara
epic	halaba
epidemic	epidemya
equal	pantay
equipment	kagamitan
equity	pagkamakatao
equivalent	kapantay
eraser	pambura
error	sala
escape	magdulag
especially	lalo na
essay	sanaysay
essence	esensya
essential	esensyal
establish	establisar
established	establisar
estate	pagsadiri
estimate	karkulo
estimated	karkulo
etc	iba pa
eternal	mayong katapusan
ethics	etika
evaluate	ebalwar
evaluation	ebalwasyon
even	maski
even though	minsan siring
evening	banggi
event	okasyon
eventually	sa huri
ever	kasuarin man
every	kada
everybody	gabos na tawo
everyone	gabos
everything	gabos na bagay
evidence	ebidensiya
evil	maraot
evolution	ebolusyon
evolve	nagbago
Ewe	Ewe
ex	hal
exact	eksakto
exactly	eksakto
exam	eksamen
examine	siyasaton
example	halimbawa
exceed	nagsobra
excellent	mahusay
except	maliban sa
exception	dai kabale
excess	sobra
excessive	sobra-sobra
exchange	salida
excited	naoogma
excitement	nananabik
exciting	nakakapukaw
exclusive	ekslusibo
excuse	dahilan
excuse me	maki-
execute	isagibo
execution	pagsagibo
executive	ehekutibo
exercise	mag-ehersisyo
exercise	ehersisyo
exhaust	ubuson
exhausted	pagalon
exhibit	eksibit
exhibition	eksibisyon
exist	eksister
existence	pagkabuhay
existing	yaon
exit	luwasan
expand	magpahiwas
expect	laom
expected	nilalaoman
expenses	mga gastos
expensive	mahal
experience	ranas
experience	eksperiensiya
experiment	eksperimento
expert	eksperto
expired	nag-expire na
explain	esplikar
explanation	eksplenasyon
exploit	pagsamantalahan
explore	magsiyasat
export	ipabakal sa luwas nin nasyon
expose	hayag
exposed	hayag
exposure	pahiling
express	magsabi
expression	ekspresyon
extend	iabante
extended	pinalaba
extension	pagpapadagos
extent	hiwas
external	panluwas
extinct	mayo na
extra	ekstra
extract	kua
extraordinary	ekstra ordinaryo
extreme	sobra
extremely	sobra-sobra
eye	mata
eyes	mata
fabric	tela
fabulous	pabuluso
face	pandok
face	atubangon
facilitate	padalion
facilities	pasilidad
facility	pasilidad
fact	totoo
factor	dahilan
factory	pabrika
facts	katotoohan
fade	napara
fail	ibagsak
fail	bagsak
failed	nabagsak
failure	kabiguan
faint	nadismayo
fair	maputi
fair	patas
fairly	mayong kinakampihan
fairy	engkantada
faith	pagtubod
faithful	maimbod
fake	peke
fall	nahulog
fall	pagkahulog
false	SALA
fame	kasikatan
familiar	pamilyar
family	pamilya
famine	taggutom
famous	sikat
fan	pamaypay
fan	tagahanga
fancy	magustuhan
fantastic	bakong kapanipaniwala
far	harayo
farewell	pamamaaram
farm	uma
farmer	parauma
fascinating	kahanga-hanga
fashion	uso
fast	maliksi
fat	taba
fatal	nakakagadan
fate	kapaladan
father	ama
fatigue	pagal
fault	sala
favorite	paborito
favour	pabor
favourite	paborito
fear	natatakot
fear	takot
feast	piyesta
feather	balukag
feature	itinampok
feature	tampok
features	tampok
february	pebrero
fed up	pano na
fee	bayad
feed	bahog
feedback	masasabi
feel	mate
feeling	pagmate
feet	bitis
fell	nahulog
fellow	kaibanan
felt	namatean
female	babaye
fence	kudal
fertile	sagana
festival	piyesta
fetch	kinua
fever	kalintura
few	dikit
fewer	mas dikit
fiance	nobyo
fiction	gibo-gibong estorya
field	uma
field	inadalan
fierce	maisog
fifteen	kinse
fifty	singkwenta
fight	laban
fight	maglaban
fighting	nakikipaglaban
figure	pigura
figure	ikorte
figure out	isipon an solusyon
file	dokumento
fill	tapal
filled	puno
film	sine
filthy	maati
finally	Sa pinakang huri
finance	pinansyal
financial	pinansyal
find	hanap
find out	magdiskubre
fine	karahayan
fine	marhay
finger	tuldo
finish	tapos
finished	natapos
fire	kalayo
firm	kompanya
firm	matibay
first	enot
first name	pangaran
fish	sira
fit	lapat
five	lima
fix	irahayon
fixed	nairahay
flag	bandera
flash	kislap
flat	pantay
flaw	depekto
flawless	mayong depekto
flee	tumakas
flesh	laman
flew	naglayog
flex	tikuon
flexible	nakakaangay
flight	paglipad
flip	pabaliktad
flirt	ligaw-biro
flirting	naglalandi
float	magpalataw
flood	baha
floor	salog
flour	arina
flow	pagbulos
flow	nagbubulos
flower	burak
flu	kalintura
fluent	abituwado
fluently	matatas
fluffy	mayumok
fluid	likido
fly	layog
focus	pokus
focus	magpokus
fog	alupuop
foggy	maalupuop
fold	tiklop
folks	kaparyentes
follow	sunod
follow up	hilingon giraray
following	sinusunod
food	pagkaon
fool	lokohon
fool	tanga
foolish	loko
foot	bitis
football	putbol
for	para sa
For example	Halimbawa
for instance	halimbawa
for you	para saimo
forbidden	bawal
force	pwersa
forecast	hula
forehead	angog
foreign	dayuhan
foreign	bakong pamilyar
forest	kadlagan
forever	mayong sagkod
forget	lingawan
forgive	patawadon
forgot	nalingawan
fork	tinidor
form	iporma
form	porma
formal	pormal
former	dati
fortunately	marhay sa na
fortune	kayamanan
forty	kwarenta
forty-two	kwarenta y dos
forward	padagos
foster	pauswagon
fought	nakipaglaban
found	nasumpungan
foundation	pundasyon
four	apat
fourteen	katorse
fox	soro
fragile	delikado
frame	ikuwadro
framework	porma
fraud	panglalanse
freak	pambihira
free	libre
freedom	katalingkasan
freeze	patagason
frequency	kapirmehan
frequent	pirme
frequently	pirme
fresh	presko
friday	biyernes
fridge	pridyeder
friend	amigo
friendly	makiamigo
friends	mga barkada
friendship	pakikipagkaibigan
frightened	natakot
frightening	nakakatakot
frog	talapang
from	hale sa
front	atubangan
frozen	nagyelo
fruit	prutas
frustrated	nabigo
fuel	gatong
Fulfulde	Fulfulde
full	pano
fun	maogma
function	punsyunar
fundamental	pundamental
funeral	lubong
funny	makangingisi
fur	balukag
furious	anggoton
furniture	muwebles
further	kadagdagan
furthermore	kadagdagan pa
future	puturo
gain	magkinabang
gain	pakinabang
game	kawat
gap	siwang
garage	garahe
garbage	basura
garden	hardin
garlic	bawang
gate	tarangkahan
gather	magtiripon
gathering	pagtiripon
gauge	pansukol
gave	nagtao
gear	gamit
gender	kasarian
general	pangkagabsan
generally	kadalasan
generate	maggibo
generation	henerasyon
generous	matinao
genius	matalion
genre	dyanra
gentle	banayad
genuine	totoo
gesture	hiro
get	kua
get dressed	masangli
get up	magbuhat
get well soon	magparahay ka
getting	pigkukua
ghost	multo
ghosting	pigmumulto
giant	higante
gift	regalo
ginger	laya
girl	aking babaye
girlfriend	kailusyon na babaye
give	tao
give up	sumuko
given	itinao
glad	naoogma
glance	salimbad
glass	baso
glasses	mga baso
glasses	antipara
glimpse	salimbad
global	pambilog kinaban
gloomy	madulom
gloves	gwantes
glow	nagkikinang
glow	kinang
glow up	naggayon
glue	pasta
go	magduman
go ahead	maenot kana
go away	humale ka
go to bed	magkaturog na
goal	pasohan
