abandoned	ꯊꯥꯗꯣꯛꯄ
actually	ꯇꯁꯦꯡꯕ
actual	ꯇꯁꯦꯡꯕ
act	ꯊꯧꯑꯪꯡ
acute	ꯈꯝ ꯊꯦꯡꯕ ꯆꯥꯡ
adapt	ꯆꯨꯁꯤꯟꯅꯕ
addicted	ꯆꯨꯁꯤꯟꯕ
additional	ꯑꯍꯦꯟꯕ
addition	ꯍꯥꯞꯆꯤꯟꯕ
address	ꯂꯩꯐꯝ
add	ꯍꯥꯞꯆꯤꯟꯕ
adequate	ꯆꯞ ꯆꯥꯕ
adjacent	ꯊꯪꯅꯕ
adjective	ꯃꯒꯨꯟ ꯐꯣꯡꯗꯣꯛꯄ ꯋꯥꯍꯩ
adjust	ꯁꯦꯝꯕ
admire	ꯄꯥꯝꯖꯕ
admit	ꯌꯥꯖꯕ
adopt	ꯌꯣꯛꯄ
adorable	ꯅꯨꯡꯁꯤꯕ ꯐꯥꯎꯕ
advanced	ꯃꯈꯥ ꯇꯥꯅ ꯆꯪꯁꯤꯟꯕ
advance	ꯃꯥꯡꯖꯧꯅꯅ
advantage	ꯀꯥꯟꯅꯕ ꯐꯪꯕ
adventure	ꯅꯨꯡꯉꯥꯏꯕ ꯊꯧꯑꯣꯡ
adverb	ꯋꯥꯍꯩ ꯑꯃꯒꯤ ꯃꯒꯨꯟ ꯁꯦꯝꯗꯣꯛꯄ ꯋꯥꯍꯩ
advertisement	ꯄꯣꯠ ꯌꯣꯟꯅꯕ ꯎꯌꯄꯒꯤ ꯊꯧꯑꯣꯡ
advertising	ꯄꯣꯠ ꯌꯣꯟꯅꯕ ꯎꯌꯄ
advice	ꯄꯥꯎꯇꯥꯛ
advise	ꯄꯥꯎꯇꯥꯛ ꯄꯤꯕ
advocate	ꯎꯀꯤꯜ
aesthetic	ꯃꯑꯣꯡ ꯃꯇꯧ
affair	ꯃꯔꯤ ꯂꯩꯅꯕ
affection	ꯅꯡꯁꯤꯕ ꯎꯠꯄ
affect	ꯁꯣꯛꯍꯟꯕ
affordable	ꯁꯦꯜ ꯆꯪꯗꯕ
afford	ꯁꯤꯖꯤꯟꯅꯕ ꯉꯝꯕ
afraid	ꯀꯤꯕ
afternoon	ꯅꯨꯡꯊꯤꯜ
afterwards	ꯃꯇꯨꯡ ꯇꯥꯔꯛꯄꯗ
after	ꯃꯇꯨꯡꯗ
against	ꯃꯥꯏꯌꯣꯛꯇ
again	ꯑꯃꯨꯛ ꯍꯟꯅ
agency	ꯀꯅꯥꯒꯨꯝꯕ ꯑꯃꯒꯤ ꯃꯍꯨꯠ ꯁꯤꯟꯗꯨꯅ ꯊꯕꯛ ꯇꯧꯅꯕ ꯃꯐꯝ
agent	ꯀꯔꯤꯒꯨꯝꯕ ꯑꯃꯒꯤ ꯃꯍꯨꯠ ꯁꯤꯟꯗꯨꯅ ꯊꯕꯛ ꯇꯧꯕ
age	ꯆꯍꯤ
aggressive	ꯁꯥꯎꯒꯟꯕ
agile	ꯃꯁꯥ ꯈꯤꯡꯕ
ago	ꯃꯃꯥꯡꯗ
agreement	ꯌꯥꯅꯕ ꯄꯨꯔꯛꯄ
agree	ꯌꯥꯕ
agriculture	ꯂꯧꯎ ꯁꯤꯡꯎ
ahead	ꯃꯃꯥꯡ ꯊꯥꯅ
aid	ꯇꯦꯡꯕꯥꯡ
aim	ꯄꯥꯟꯗꯝ
airport	ꯑꯦꯌꯔꯄꯣꯔꯊ
air	ꯅꯨꯡꯁꯤꯠ
aisle	ꯂꯝꯕꯤ
alarm	ꯅꯤꯡꯁꯤꯡꯍꯟꯕ
alcohol	ꯌꯨ
alert	ꯆꯦꯛꯁꯤꯟꯋꯥ
a little	ꯈꯔꯇꯝꯛ
alive	ꯑꯍꯤꯡꯕ
allowed	ꯌꯥꯍꯟꯕ
allow	ꯌꯥꯍꯟꯕ
all right	ꯌꯥꯔꯦ
all the best	ꯃꯪꯒꯣꯜ ꯑꯣꯏꯌꯨ
all	ꯄꯨꯝꯅꯃꯛ
almost	ꯈꯖꯤꯛꯇꯪ ꯋꯥꯠꯄ
alone	ꯃꯊꯟꯇ
along	ꯂꯣꯏꯅꯅ
a lot of	ꯃꯌꯥꯝ ꯑꯃ
a lot	ꯃꯌꯥꯝ ꯑꯃ
already	ꯍꯥꯟꯅꯅ ꯑꯣꯏꯔꯕ
Alright	ꯌꯥꯝꯅ ꯐꯔꯦ
also	ꯃꯁꯤꯁꯨ
alternative	ꯑꯇꯣꯞꯄ ꯃꯍꯨꯠ
although	ꯃꯗꯨ ꯑꯣꯏꯔꯕꯁꯨ
always	ꯃꯇꯝ ꯄꯨꯝꯕꯗ
amazing	ꯌꯥꯝꯅ ꯐꯖꯕ
ambiguous	ꯋꯥꯍꯟꯡꯣꯈ ꯑꯅꯤ ꯂꯡꯕ
ambition	ꯃꯤꯠꯌꯦꯡ ꯁꯥꯟꯕ
ambitious	ꯃꯤꯠꯔꯦꯡ ꯁꯥꯟꯕ
amend	ꯍꯥꯄꯆꯤꯟꯕ
amid	ꯃꯔꯛꯇ
among us	ꯑꯩꯈꯣꯏꯒꯤ ꯃꯔꯛꯇꯒꯤ
among	ꯃꯌꯥꯝꯒꯤ ꯃꯔꯛꯇꯒꯤ
amount	ꯁꯦꯟꯐꯝ
amusing	ꯅꯨꯡꯉꯥꯏꯕ ꯊꯧꯑꯣꯡ
analysis	ꯌꯦꯡꯁꯤꯟꯕ
ancestors	ꯃꯄꯥ ꯃꯄꯨꯁꯤꯡ
anchor	ꯊꯧꯔꯝ ꯄꯥꯟꯅꯕ ꯃꯤꯑꯣꯏ
ancient	ꯑꯔꯤꯕ
and you	ꯑꯃꯁꯨꯡ ꯑꯗꯣꯝ
and	ꯑꯃꯁꯨꯡ
angel	ꯍꯦꯜꯂꯣꯏ
anger	ꯑꯁꯥꯎꯕ
angry	ꯁꯥꯎꯕ
animal	ꯁꯥ
ankle	ꯈꯨꯖꯦꯡ
anniversary	ꯆꯍꯤ ꯐꯥꯔꯛꯄꯒꯤ ꯀꯨꯝꯑꯣꯟ
announcement	ꯂꯥꯎꯊꯣꯛꯄ
annoyed	ꯈꯣꯏꯁꯥꯎꯅꯕ
annoying	ꯈꯣꯏꯁꯥꯎꯅꯍꯟꯕ
annoy	ꯁꯥꯎꯍꯟꯕ
annual	ꯆꯍꯤꯒꯤ ꯑꯣꯏꯕ
anonymous	ꯃꯁꯛ ꯈꯪꯗꯕ
another	ꯑꯇꯣꯞꯄ ꯑꯃ
answer	ꯄꯥꯎꯈꯨꯝ
anticipate	ꯑꯣꯏꯊꯣꯛꯀꯅꯤ ꯍꯥꯏꯅ ꯊꯥꯖꯕ ꯊꯝꯕ
anxiety	ꯆꯔꯥꯡꯅꯕ
anxious	ꯂꯥꯡꯇꯛꯅꯕ
anymore	ꯑꯃꯨꯛ ꯍꯟꯅ ꯂꯩꯔꯔꯣꯏ
anyone	ꯃꯤꯑꯣꯏ ꯑꯃꯍꯦꯛꯇ
anything	ꯑꯃ ꯍꯦꯛꯇ
anyways	ꯌꯥꯔꯦꯅꯦ
any	ꯑꯃ ꯍꯦꯛꯇ
an	ꯑꯃ
apartment	ꯀꯥꯈꯜ
apart	ꯇꯣꯈꯥꯏꯕ
apologize	ꯂꯥꯜꯂꯦ ꯍꯥꯏꯕ
apparently	ꯑꯣꯏꯕ ꯌꯥꯕꯒꯤ ꯆꯥꯡ
apparent	ꯃꯌꯦꯛ ꯁꯦꯡꯅ ꯈꯪꯕ ꯉꯝꯗꯕ
appeal	ꯍꯥꯏꯖꯕ
appearance	ꯃꯄꯥꯟꯊꯣꯡꯗ ꯎꯕ
appeared	ꯊꯣꯛꯈꯤꯕ
appear	ꯊꯣꯛꯄ
appetite	ꯆꯥꯅꯤꯡꯕ ꯊꯛꯅꯤꯡꯕ ꯐꯥꯎꯕ
apple	ꯁꯦꯝ
application	ꯆꯦ ꯊꯥꯕ
apply	ꯊꯥꯕ
appointment	ꯎꯅꯕꯒꯤ ꯃꯇꯝ ꯊꯥꯟꯈꯤꯕ
appreciate	ꯊꯥꯒꯠꯄ
appreciation	ꯊꯥꯒꯠꯄ ꯐꯣꯡꯗꯣꯛꯄ
approach	ꯊꯧꯑꯣꯡ
appropriate	ꯆꯨꯅꯕ
approval	ꯑꯌꯥꯕ
approved	ꯌꯥꯔꯕ
approve	ꯑꯌꯥꯕ ꯄꯤꯕ
approximately	ꯆꯥꯎꯔꯥꯛꯄ
april	ꯑꯦꯄꯔꯤꯜ
arbitrary	ꯑꯄꯥꯝꯕꯗ ꯌꯨꯝꯐꯝ ꯑꯣꯏꯕ
architecture	ꯃꯑꯣꯡ ꯃꯇꯧ ꯌꯥꯠꯄꯒꯤ ꯊꯧꯑꯣꯡ
architect	ꯃꯑꯣꯡ ꯃꯇꯧ ꯌꯥꯠꯄ
archive	ꯈꯣꯝꯖꯤꯟꯗꯨꯅꯥ ꯊꯝꯕ
area	ꯄꯥꯛ ꯆꯥꯎꯕ
are you busy	ꯑꯗꯣꯝ ꯍꯧꯖꯤꯛ ꯆꯤꯟꯕꯔꯥ
are you married or single	ꯑꯗꯣꯝ ꯂꯨꯍꯣꯡꯂꯕꯔ ꯅꯠꯇ꯭ꯔꯒ ꯄꯥꯈꯪꯂꯥ
are you married	ꯑꯗꯣꯝ ꯂꯨꯍꯣꯡꯂꯕꯔꯥ
Are you still there?	ꯑꯗꯣꯝ ꯍꯧꯖꯤꯛ ꯐꯥꯎꯕ ꯂꯩꯔꯤꯕꯔꯥ
are you there	ꯑꯗꯣꯝ ꯂꯩꯕꯔꯥ
are you	ꯑꯗꯣꯝꯂꯥ
argue	ꯃꯔꯩ ꯌꯦꯠꯄ
argument	ꯃꯔꯩ ꯌꯦꯠꯅꯕ
arise	ꯍꯧꯔꯛꯄ
army	ꯂꯥꯟꯃꯤ
arm	ꯈꯨꯗꯥꯡ
around	ꯑꯀꯣꯏꯕ
arrangement	ꯁꯤꯟ ꯂꯥꯡꯕ
arrange	ꯁꯤꯟ ꯂꯥꯡꯕ
arrival	ꯌꯧꯔꯛꯄ
arrived	ꯌꯧꯔꯛꯈ꯭ꯔꯦ
arrive	ꯌꯧꯔꯛꯄ
arrogant	ꯃꯤ ꯎꯁꯤꯠꯇꯕ
arrow	ꯇꯦꯟꯖꯩ
article	ꯄꯣꯠꯂꯝ
artificial	ꯈꯨꯠꯁꯦꯝꯒꯤ
artist	ꯂꯥꯏ ꯌꯦꯛꯄ ꯃꯤ
art	ꯀꯂꯥ
ashamed	ꯏꯀꯥꯏꯕ
ash	ꯎꯠ
asked	ꯍꯪꯈꯤꯕ
ask	ꯍꯪꯕ
asleep	ꯇꯨꯝꯂꯤꯕ
as long as	ꯂꯩꯔꯤꯃꯈꯩ
aspect	ꯍꯤꯔꯝ
Assamese	ꯑꯁꯥꯃꯤꯁ
assault	ꯂꯥꯟꯗꯥꯕ
assembly	ꯃꯤ ꯄꯨꯟꯕ
assertive	ꯑꯇꯣꯞꯄꯕꯨ ꯁꯨꯝꯍꯠꯄ ꯃꯒꯨꯟ ꯆꯦꯟꯕ ꯃꯤꯑꯣꯏ
assessment	ꯌꯦꯡꯁꯤꯟꯕ
assess	ꯌꯦꯡꯁꯤꯟꯕ
assets	ꯂꯟ ꯊꯨꯝꯁꯤꯡ
asset	ꯃꯔꯜ ꯃꯊꯨꯝ
assignment	ꯊꯕꯛ
assign	ꯊꯕꯈ ꯄꯤꯕ
assistant	ꯇꯦꯡꯕꯥꯡꯕ ꯃꯤꯑꯣꯏ
assist	ꯇꯦꯡꯕꯥꯡꯕ
associated	ꯃꯔꯤ ꯂꯩꯟꯕ
associate	ꯃꯔꯤ ꯂꯩꯅꯕ
association	ꯂꯨꯞ
assume	ꯑꯣꯏꯒꯅꯤ ꯈꯟꯕ
assumption	ꯑꯣꯏꯒꯅꯤ ꯈꯟꯕ
as well as	ꯂꯣꯏꯅ ꯂꯣꯏꯅꯅ
as well	ꯂꯣꯏꯅꯅ
as	ꯑꯣꯏꯅ
ate	ꯆꯥꯈꯤ
athlete	ꯂꯝꯖꯦꯜꯂꯣꯏ
at least	ꯌꯥꯝꯗ꯭ꯔꯕꯗ
attached	ꯅꯞꯄ
attachment	ꯅꯞꯅꯕ
attach	ꯅꯞꯅꯕ
attack	ꯂꯥꯟꯗꯥꯕ
attempt	ꯍꯣꯠꯅꯕ
attendance	ꯌꯥꯎꯕ
attend	ꯁꯔꯨꯛ ꯌꯥꯕ
attention	ꯄꯨꯛꯅꯤꯡ ꯆꯤꯡꯁꯤꯟꯕ
attitude	ꯉꯛ ꯀꯟꯕ
attraction	ꯄꯨꯛꯅꯤꯡ ꯆꯤꯡꯁꯤꯟꯕ
attractive	ꯄꯨꯛꯅꯤꯡ ꯆꯤꯡꯁꯤꯟꯕ
attract	ꯄꯨꯛꯅꯤꯡ ꯆꯤꯡꯁꯤꯟꯕ
attribute	ꯀꯔꯤꯒꯨꯝꯕ ꯑꯃꯒꯤ ꯃꯒꯨꯟ
audience	ꯚꯥꯕꯣꯛ
august	ꯑꯣꯒꯁ꯭ꯇ
aunty	ꯏꯅꯦ
aunt	ꯏꯅꯦ
authentic	ꯇꯁꯦꯡꯕ
authority	ꯑꯉꯝꯕ ꯃꯤꯑꯣꯏ
author	ꯑꯏꯕ
autumn	ꯅꯥꯀꯦꯟꯊꯥ
available	ꯑꯐꯪꯕ
average	ꯆꯥꯡꯆꯠ
avoid	ꯊꯩꯗꯣꯛꯄ
awake	ꯃꯤꯠꯀꯞ ꯊꯣꯛꯇꯨꯅ ꯂꯩꯕ
award	ꯃꯅꯥ
awareness	ꯈꯪꯕ
aware	ꯈꯪꯕ
away	ꯂꯥꯞꯊꯣꯛꯄ
awesome	ꯄꯨꯛꯅꯤꯡ ꯍꯨꯕ
awful	ꯅꯨꯡꯉꯥꯏꯇꯕ
awkward	ꯍꯩꯅꯗꯕ
Aymara	ꯑꯥꯏꯃꯥꯔꯥ
a	ꯑꯃ
baby	ꯑꯉꯥꯡ ꯃꯆꯥ
bachelor	ꯄꯥꯈꯪ
background	ꯃꯅꯤꯡ
back	ꯃꯇꯨꯡ
bad	ꯐꯠꯇꯕ
bag	ꯈꯥꯎ
bait	ꯂꯥꯡ
bakery	ꯀꯦꯛ ꯁꯥꯐꯝ
bake	ꯂꯧꯕ
baking soda	ꯁꯣꯗꯥ ꯕꯥꯏꯒꯞ
balance	ꯈꯜ ꯃꯥꯟꯅꯕ
ball	ꯕꯣꯜ
Bambara	ꯕꯝꯕꯥꯔꯥ
banana	ꯂꯐꯣꯏ
band	ꯈꯨꯖꯤ
bang	ꯌꯩꯕ
bank	ꯁꯤꯡꯂꯨꯞ
barely	ꯈꯖꯤꯛꯇꯪ ꯉꯥꯏꯕ
bargain	ꯃꯟꯇꯤꯛꯅꯕ
bark	ꯈꯣꯡꯕ
barley	ꯒꯦꯍꯨ
barrier	ꯃꯔꯛꯇ ꯈꯥꯏꯕ
bar	ꯑꯁꯥꯡꯕ ꯄꯣꯠ ꯑꯃ
based	ꯌꯨꯝꯐꯝ ꯑꯣꯏꯕ
basement	ꯌꯨꯝꯒꯤ ꯃꯈꯥ
base	ꯌꯨꯝꯐꯝ
basically	ꯃꯍꯧꯁꯥꯒꯤ ꯑꯣꯏꯅ
basic	ꯇꯉꯥꯏ ꯐꯗꯕ
basil	ꯃꯅꯝ ꯅꯨꯡꯁꯤꯕ ꯅꯨꯡꯁꯤ ꯍꯤꯗꯥꯛꯀꯤ ꯄꯥꯝꯕꯤ ꯑꯃ
bastard	ꯂꯨꯍꯣꯡꯗꯅ ꯄꯣꯛꯄ ꯑꯉꯥꯡ
batch	ꯀꯥꯡꯂꯨꯞ
bathroom	ꯏꯔꯨꯖꯐꯝ
bath	ꯏꯔꯨꯖꯕ
battery	ꯕꯦꯠꯇꯔꯤ
battle	ꯂꯥꯟꯐꯝ
bay	ꯃꯇꯥꯏ
beach	ꯁꯃꯨꯗ꯭ꯔ ꯇꯣꯔꯕꯥꯟ
beam	ꯃꯉꯥꯜꯒꯤ ꯄꯔꯤꯡ ꯑꯃ
beans	ꯍꯋꯥꯏ ꯃꯔꯨ
beard	ꯀꯣꯏ
bearing	ꯃꯤꯑꯣꯏ ꯑꯃꯒꯤ ꯆꯠꯄꯒꯤ ꯃꯇꯧ
bear	ꯈꯥꯡꯕ
beast	ꯁꯥ
beat	ꯐꯨꯕ
beautiful	ꯐꯖꯕ
beauty	ꯐꯖꯕ
became	ꯑꯣꯏꯔꯡꯄ
be careful	ꯆꯦꯛꯁꯤꯜꯂꯨ
because	ꯃꯔꯝꯗꯤ
become	ꯑꯣꯏꯔꯛꯄ
bedroom	ꯇꯨꯝꯐꯝꯀꯥ
bed	ꯐꯃꯨꯡ
beef	ꯁꯟ ꯁꯥ
beer	ꯅꯤꯁꯥ ꯄꯥꯟꯕ ꯊꯛꯅꯕ ꯃꯍꯤ
bee	ꯈꯣꯏ
before	ꯃꯃꯥꯡꯗ
began	ꯍꯧꯈꯤꯕ
beginning	ꯑꯍꯧꯕ
begin	ꯍꯧꯕ
behalf	ꯃꯍꯨꯠꯇ
behave	ꯁꯥꯖꯠ ꯏꯅꯕ
behavior	ꯃꯑꯣꯡ ꯃꯇꯧ
behaviour	ꯂꯤꯆꯠ ꯁꯥꯖꯠ
behind	ꯃꯇꯨꯡꯗ
being	ꯑꯣꯏꯕ
belief	ꯊꯥꯖꯕ
believe	ꯊꯥꯖꯕ
belly	ꯄꯨꯛ
belong	ꯃꯄꯨ ꯑꯣꯏꯕ
beloved	ꯌꯥꯝꯅ ꯅꯨꯡꯁꯤꯔꯕ
below	ꯃꯈꯥ
belt	ꯄꯦꯇꯤ
bench	ꯐꯝꯅꯕ ꯐꯥꯟ
bend	ꯀꯣꯟꯕ
beneath	ꯃꯈꯥꯗ
benefits	ꯀꯥꯟꯅꯕꯁꯤꯡ
benefit	ꯀꯥꯟꯅꯕ
besides	ꯅꯥꯀꯟꯗ
beside	ꯅꯥꯀꯜꯗ
best of luck	ꯃꯥꯏ ꯄꯥꯛꯄ ꯑꯣꯏꯌꯨ
best regards	ꯏꯀꯥꯏꯈꯨꯝꯅꯕ ꯀꯌꯥꯒ ꯂꯣꯏꯟꯅ
best	ꯈ꯭ꯋꯥꯏꯗꯒꯤ ꯐꯕ
better	ꯍꯦꯟꯅ ꯐꯕ
between	ꯃꯔꯛꯇ
beverage	ꯊꯛꯅꯕ ꯃꯍꯤ
beyond	ꯋꯥꯡꯃꯗ
Bhojpuri	ꯚꯣꯖꯄꯨꯔꯤ
biased	ꯈꯦꯟꯅꯕ ꯃꯤꯠꯌꯦꯡ ꯌꯦꯡꯕ
bias	ꯃꯤꯆꯪ ꯃꯤꯈꯥꯏ ꯅꯥꯏꯕ
bicycle	ꯑꯦꯀꯥꯒꯥꯔꯤ
bid	ꯍꯥꯏꯕ
big	ꯑꯆꯧꯕ
bill	ꯕꯤꯜ
bind	ꯄꯨꯟꯁꯤꯟꯕ
bird	ꯎꯆꯦꯛ
birthday	ꯃꯄꯣꯈ ꯅꯨꯃꯤꯊ
bite	ꯆꯤꯛꯄ
bitter	ꯑꯀꯥꯕ
bit	ꯆꯤꯛꯄ
black	ꯑꯃꯨꯕ
blade	ꯃꯌꯥ ꯄꯥꯟꯕ ꯊꯥꯡ
blame	ꯃꯔꯥꯜ ꯁꯤꯕ
blanket	ꯀꯝꯄꯣꯔ
blank	ꯑꯍꯥꯡꯕ
blast	ꯄꯣꯛꯈꯥꯏꯕ
bleach	ꯃꯆꯨ ꯁꯪꯕ
blend	ꯄꯨꯟꯁꯤꯟꯅꯕ
blessed	ꯊꯧꯖꯥꯜꯂꯕ
bless	ꯊꯧꯖꯥꯟꯕ
blind	ꯃꯤꯠ ꯇꯥꯡꯕ
bliss	ꯈ꯭ꯋꯥꯏꯗꯒꯤ ꯅꯤꯡꯉꯥꯏꯕ ꯊꯥꯛ
block	ꯊꯤꯡꯕ
blood	ꯏ
bloom	ꯁꯥꯠꯄ
blow	ꯀꯥꯝꯕ
blue	ꯍꯤꯒꯣꯛ
blunt	ꯊꯧꯗꯕ
board	ꯐꯝꯄꯥꯛ
boat	ꯍꯤ
body	ꯍꯛꯆꯥꯡ
boil	ꯁꯧꯕ
bold	ꯊꯧꯅ ꯂꯩꯕ
bond	ꯝꯔꯤ
bone	ꯁꯔꯨ
book	ꯂꯥꯏꯔꯤꯛ
booster	ꯏꯅꯣꯠ ꯍꯥꯞꯅꯕ
boost	ꯈꯨꯃꯥꯡ ꯆꯥꯎꯁꯤꯜꯍꯟꯕ
boots	ꯈꯣꯡꯎꯞꯁꯤꯡ
boot	ꯈꯣꯡꯎꯞ
border	ꯉꯝꯈꯩ
bored	ꯇꯟꯂꯕ
bore	ꯍꯨꯠꯄ
boring	ꯇꯟꯕ
born	ꯄꯣꯛꯄ
borrow	ꯋꯥꯏꯕ
boss	ꯃꯄꯨ
bother	ꯈꯟꯖꯤꯟꯕ
both	ꯑꯅꯤꯃꯛ
bottle	ꯂꯤꯛꯂꯤ
bottom	ꯃꯈꯥ
bought	ꯂꯩꯔꯛꯄ
bounce	ꯊꯛꯇꯣꯛꯄ
boundaries	ꯉꯝꯈꯩꯁꯤꯡ
bound	ꯄꯨꯟꯕ
bowl	ꯇꯦꯡꯀꯣꯠ
bow	ꯀꯣꯛ ꯅꯣꯟꯕ
box	ꯎꯄꯨ
boyfriend	ꯅꯨꯉꯁꯤꯅꯕ ꯅꯨꯄꯥ
boy	ꯅꯨꯄꯥꯃꯆꯥ
bracelet	ꯈꯨꯖꯤ
brain	ꯊꯣꯞ
branch	ꯃꯁꯥ
brand	ꯃꯃꯤꯡ
brave	ꯊꯣꯅꯥ ꯂꯩꯕ
breach	ꯊꯨꯒꯥꯏꯕ
bread	ꯇꯜ
break	ꯂꯦꯞꯄꯥ
breast	ꯡꯕꯥꯈ
breathe	ꯅꯤꯡꯁꯥ ꯁ꯭ꯋꯔ ꯍꯣꯟꯕ
breath	ꯅꯤꯡꯁꯥ ꯁ꯭ꯋꯔ ꯍꯣꯟꯕ
breed	ꯄꯣꯛꯄ
brick	ꯆꯦꯛ
bride	ꯀꯩꯅꯥ
bridge	ꯊꯣꯡ
brief	ꯁꯝꯂꯞꯄ
bright	ꯑꯉꯥꯟꯕ
brilliant	ꯍꯩ ꯁꯤꯡꯕ
bring	ꯄꯨꯔꯛꯄ
broadcast	ꯁꯟꯗꯣꯛꯄ
broad	ꯄꯥꯛꯄ
broken	ꯀꯥꯏꯔꯦ
broke	ꯁꯦꯜ ꯄꯥꯏꯗꯕ
broom	ꯁꯨꯝꯆꯤꯠ
brother in law	ꯏꯕꯥꯏ
brother	ꯏꯌꯥꯝꯕ
brought	ꯄꯨꯔꯛꯄ
brown	ꯌꯣꯡ ꯃꯆꯨ
bro	ꯏꯌꯥꯝꯕ
brush	ꯈꯦꯠꯄ
bucket	ꯕꯥꯜꯇꯤꯟ
buddy	ꯃꯇꯨꯞ
budget	ꯕꯖꯦꯠ
bug	ꯇꯤꯟ
building	ꯗꯂꯥꯟ
build	ꯁꯥꯕ
built	ꯁꯥꯈ꯭ꯔꯕ
bulk	ꯃꯄꯨꯟ
bully	ꯀꯤꯍꯟꯕ
bull	ꯁꯟ ꯂꯥꯕ
bump	ꯊꯦꯡꯖꯤꯟꯕ
bunch	ꯄꯣꯠꯂꯝ ꯃꯄꯨꯟ ꯑꯃ
bundle	ꯆꯕꯨꯟ
burden	ꯄꯣꯠꯂꯨꯝ
buried	ꯐꯨꯝꯈ꯭ꯔꯕ
burn	ꯃꯩ ꯆꯥꯛꯄ
burst	ꯄꯣꯛꯈꯥꯏꯕ
bury	ꯐꯨꯝꯕ
bush	ꯑꯁꯣꯡꯕ
business	ꯀꯥꯔꯕꯥꯔ
bust	ꯊꯕꯥꯛꯀꯤ ꯑꯀꯣꯟꯕ
busy	ꯊꯕꯛ ꯆꯤꯟꯕ
bus	ꯕꯁ
butterfly	ꯀꯨꯔꯥꯛ
butter	ꯕꯠꯇꯔ
button	ꯀꯨꯗꯥꯝ
but	ꯑꯗꯨꯕꯨ
buy	ꯂꯩꯕ
bye	ꯀꯥꯏꯅꯔꯁꯤ
cabbage	ꯀꯣꯕꯤ
cabinet	ꯎꯄꯨ
cage	ꯁꯥꯔꯪ
cake	ꯀꯦꯛ
calf	ꯁꯟꯅꯥꯡꯃꯆꯥ
called	ꯀꯧꯏ
call me	ꯑꯩꯕꯨ ꯀꯧꯔꯛꯎ
call	ꯀꯧꯕ
calm	ꯏꯪ ꯇꯞꯄ
came	ꯂꯥꯈꯤ
campaign	ꯈꯣꯡꯖꯪ
Cancel	ꯀꯛꯄ
cancer	ꯂꯥꯏꯔꯦꯜ ꯁꯖꯤꯛ
can't	ꯉꯝꯂꯣꯏ
can	ꯉꯝꯕ
capable	ꯇꯧꯕ ꯉꯃꯕꯒꯤ ꯃꯇꯤꯛ ꯂꯩꯕ
capacity	ꯃꯇꯤꯛ
capital	ꯀꯣꯅꯨꯡ
caption	ꯋꯥꯔꯣꯜ ꯏꯕ
capture	ꯐꯥꯖꯤꯟꯕ
career	ꯄꯨꯟꯁꯤ ꯂꯝꯕꯤ
carefully	ꯆꯦꯛꯁꯤꯟꯅ
careful	ꯆꯦꯛꯁꯤꯟꯕ
careless	ꯆꯦꯛꯁꯤꯟꯗꯕ
