a	ani
annoyed	lungawi lo
annoying	ninawm tak
annoy	tibuai
annual	kumtin
anonymous	hriat loh
another	adang
answer	chhanna
anticipate	ringlawk
anxiety	hlauhthawnna
anxious	zam
any	engpawh
anymore	tihbelh
anyone	tupawh
anything	engpawh
anyway	engpawhnise
anyways	engpawh nise
apart	hrang
apartment	pindan
apologize	ngaihdam dil
apparent	lan dan
apparently	a landanah chuan
appeal	ngen
appearance	landan
appeared	langchhuak
appear	langchhuak
appetite	chaw chakna
apple	apple
application	dilna
apply	dil
appointment	hunruat
appreciate	lawm
appreciation	lawmpuina
approach	hmachhawn
appropriate	inmil
approval	nemnghehna
approved	pawmpui
approve	remti
approximately	vel
april	april
arbitrary	awmzia nei lo
architect	duangtu
architecture	insak lam zirna
archive	dahthatna
area	hmun
are	hi
are you busy	i buai em
are you	I ni em
are you married	nupui pasal i nei tawh em
are you married or single	nupui pasal i nei tawh nge la nei lo
Are you still there?	i la awm em?
are you there	i awm em
argue	hnial
argument	inhnialna
arise	thochhuak
arm	ban
army	sipai
around	vel
arrangement	ruahmanna
arrange	remfel
arrival	thleng
arrived	thleng
arrive	thleng
arrogant	invaivung
arrow	thal
article	thil
artificial	siamchawp
artist	mi themthiam
art	themthiamna
as	angin
ashamed	zak
ash	meivap
asked	zawt
ask	zawt
asleep	muhil
as long as	nih chhung chu
aspect	hmelhmang
Assamese	Assamese tawng
assault	bei
assembly	pungkhawm
assertive	thuduh
assessment	tehna
assess	zirchiang
assets	thilhlute
asset	thilhlu
assignment	tihtur
assign	ruat
assistant	tanpuitu
assist	tanpui
associated	inthlunzawmpui
associate	thawhpui
association	pawl
assume	ring chhin
assumption	rindan
as well as	chu pawh chu
as well	pawh chu
ate	ei
athlete	infiammi
at	hmunah
at least	tlem tal
attached	zawm
attachment	zawm
attach	zawm belh
attack	bei
attempt	bei
attendance	tel ve
attend	tel
attention	ngaihven
attitude	rilru puthmang
attract	hip
attraction	hipna
attractive	hipna
attribute	hnamhnawih
audience	ngaithlatu
august	August
aunt	ni
aunty	nutei
authentic	hlang
authority	thuneitu
author	ziaktu
autumn	favang
available	remchang
average	tlanglawn
avoid	hawisan
awake	harh
award	pe
awareness	inhriattirna
aware	ngaihven
away	hmundang
awesome	tha lutuk
awful	chhe tak
awkward	zahthlak
Aymara	Aymara tawng
baby	naute
bachelor	tlangval
background	hnung
back	hnung
bad	chhia
bag	ipte
bait	chawchah
bakery	chhang urna
bake	ur
baking soda	baking soda
balance	inbuktawk
ball	thilmum
Bambara	Bambara tawng
banana	balhla
band	pawl
bang	ti ri bur
bank	luikam
barely	hram hram
bargain	dawn
bark	bauh
bar	khuahkhirh
barley	buh
barrier	daltu
base	chhuat
based	zulzui
basement	inhnuai
basically	anihna takah chuan
basic	bulthut
basil	lenhmui
bastard	sawn
batch	pawlthen
bath	inbual
bathroom	bual in
battery	battery
battle	indona
bay	vaukam
beach	tuipui kam
beam	khanchhuk
beans	be
beard	khabe hmul
bearing	nei
bear	tuar
beast	sakawlh
beat	vua
beautiful	mawi
beauty	mawina
became	lo ni ta
be careful	fimkhur rawh
because	avang
become	ni
bed	khum
bedroom	mutna pindan
beef	bawngsa
bee	khuai
been	ni
beer	zu chi khat
before	hmaah
began	tan
begin	bultan
beginning	tirlam
behalf	aiawh
behave	nundan phung
behavior	nungchang
behaviour	nungchang
behind	hnungah
being	ni
belief	rinna
believe	ring
belly	dul
belong	ta
beloved	duhlai
below	hnuai
belt	kawnghren
bench	thutthleng
bend	tikul
beneath	hnuaiah
benefit	chhawr tangkai
benefits	hlawkpuina
be	ni
beside	bul
besides	chubakah
best of luck	duhsakna sang ber ka hlan che
best regards	duhsakna sangber
best	tha ber
better	tha zawk
between	karah
beverage	in chi
beyond	piahah
Bhojpuri	Bhojpuri tawng
biased	duhsakbik nei
bias	tan bik nei
bicycle	thirsakawr
bid	chhang
big	lian
bike	thirsakawr
bill	man zat
bind	kaihkawp
bird	sava
birthday	piancham
bite	seh
bit	te
bitter	kha
black	dum
blade	chem
blame	puh
blank	awl
blanket	puankawp
blast	puak
bleach	tivar
blend	chawhpawlh
blessed	malsawm
bless	malsawm
blind	mitdel
bliss	nuam tak
block	dang
blood	thisen
bloom	parchhuak
blow	ham
blue	pawl
blunt	bil
board	chuang
boat	lawng
body	taksa
boil	chhum
bold	tumruh
bond	inzawmna
bone	ruh
book	lehkhabu
booster	tizualtu
boost	tihmasawn
boot	pheikhawk rawngsang
boots	pheikhawk rawngsang
border	ramri
bored	ning
bore	verh
boring	ninawm
born	piang
borrow	hawh
boss	hotu
bother	tibuai
both	pahnihin
bottle	tuium
bottom	mawng
bought	lei
bounce	sawt
boundaries	ramri
bound	pan
bow	kun
bowl	thleng
box	bawm
boyfriend	bialpa
boy	mipa naupang
bracelet	ngun
brain	thluak
branch	tawpeng
brand	chhinchhiah
brave	huaisen
breach	bawhchhia
bread	chhangthawp
breakfast	tukthuan
break	keh
breast	hnute
breathe	thaw
breath	thaw
breed	vulh
brick	leirawhchan
bride	mo
bridge	lei
brief	tawite
bright	eng
brilliant	vengva
bring	keng
broadcast	thehdarh
broad	zau
broke	keh
broken	keh
broom	hmunphiah
brother in law	kawppui unaupa
brother	unaupa
brought	keng
bro	unaupa
brown	uk
brush	hru
bucket	bucket
buddy	thian
budget	sum hmanna
bug	rannung
building	in
build	sa
built	sa
bulk	hlawm
bull	bawngpa
bully	tiduhdah
bump	insu
bunch	khawm
bundle	telkhawm
burden	phurrit
buried	phum
burn	kang
burst	puak
bury	phum
bus	bus
bush	hnimbuk
business	sumdawnna
bust	awm
busy	buai
but	mahse
butter	butter
butterfly	phengphehlep
button	kawrkilh
buy	lei
bye	mangtha
by the way	chutichuan maw
by	tu
cabbage	zikhlum
cabinet	pindan te
cage	bawm
cake	chhang
calf	bawngno
called	ko
call	ko
call me	min lo be rawh
calm	reh
came	lokal
campaign	beihrual
Cancel	Titawp
cancer	ngawt
can	thei
can't	thei lo
capable	thei
capacity	leng tawk
capital	khawpui ber
caption	thupui
capture	la
career	hnathawh
careful	fimkhur
carefully	fimkhur takin
careless	pawlawh
caring	dawmthiam
car	lirthei
carpenter	thing mistiri
carpet	chhuatphah
carrot	carrot
carry on	ti zel rawh le
carry out	tihlawhtling
carry	phur
case	thubuai
cash	pawisafai
castle	kulh
cast	tilang
casual	pangai satliah
catch	man
category	bithliahna
cattle	bawng
cat	zawhte
caught	man
cause	chhan
caution	fimkhurna
cautious	fimkhur
cave	puk
cease	tawp
ceiling	inchung
celebrate	lawm
cell	pindan
center	lai
century	za
cereal	thlairah
ceremony	hunserh
certain	chiang
certainly	ngei ngei
certificate	hriatpuina lehkha
chain	inzawm
chair	thutthleng
challenge	chona
chance	remchang
change	thlak
chaos	buaina
characteristics	ziarang
character	nunzia
charge	puh
charity	thilthlawnpek
charming	duhawm
chart	thu pawimawh tarlanna
chase	um
chat	inbia
cheap	tlawm
cheat	bum
cheating	inbum
check	dap
cheek	biang
cheer	fuih
cheerful	hlim
cheers	lawmpuina
cheese	cheese
chemistry	chemistry
cherish	hlut
chess	chess
chest	awm
chew	thial
chicken	ar
chief	hotu
childhood	naupanlai
child	naupang
children	naupang
chill	vawt ti
chimneys	meikhuchhuahna
chin	khabe
chocolate	chocolate
choice	duhthlanna
choose	thlang
chop	satbung
chores	hna
chubby	chum
church	biakin
cinnamon	thakthing
circle	bial
circumstances	thilthleng
citizen	rammi
city	khawpui
claim	hauh
clarify	hrilhfiah
class	pawl
clay	chirhdiak
clean	fai
clear	fiah
clerk	ziaktu
clever	fing
client	dawrtu
cliff	kham
climate	sik leh sa
climb	lawn
clingy	bet
clock	sona
close	khar
closet	pindan tereuhte
clothes	thawmhnaw
cloth	puan
cloud	chhum
cloudy	chhumzing
clown	nuihzasiamtu
clue	sulhnu
clumsy	phawsawlh
cluster	awmkhawm
coach	zirtir
coal	lungalhthei
coast	kam
coat	kawrchung
coffee	kawfi
cognitive	hriatthiamna
coincidence	ruatlawk loha thil thleng kawp
cold	vawt
collapse	chim
collar	kawrnghawng
colleagues	thawhpuite
colleague	thawhpui
collection	dahkhawm
collect	khawlkhawm
college	zirna in
colorless green ideas slept furiously	thu awmze nei lo
color	rawng
colour	rawng
column	ban
combination	inkawpchawi
combine	tizawm
comb	khuih
come here	hetah lokal teh
come	lokal
come on	tang rawh
comfortable	nuamsa
comfort	thlamuan
coming	lokal
coming soon	lo thleng tep
command	thupek
comment	sawizui
commercial	sumdawn nan hmang
commission	lachhawng
commit	inpe
commitment	inpekna
committed	intiamkam
commodity	zawrhsum
common	uar
communicate	hriattir
communication	inbiaktawnna
community	khawtlang
commute	thlakthleng
companion	kawppui
company	company
compare	khaikhin
comparison	khaikhinna
compassionate	khawngaihna ngah
compassion	lainatna
compatible	inmil
compete	inel
competent	tlak
competition	inelna
competitive	inelna
complain	sawisel
complaint	sawiselna
complement	tipuitlingtu
completely	zavaiin
complete	zo
complex	chipchiar
compliance	zawm
complicated	buaithlak
compliment	lawmpuina
comply	zawm
composition	phuahkhawm
compound	hungchhung
comprehension	famkimna
comprehensive	huapzo
compromise	inremna
compulsory	loh theih loh
computer	computer
concentrate	insawrbing
concept	a thuphung
concern	chanpual
concerned	ngaihven
concert	inthurualna
conclusion	tawpna
concrete	sakhat
condition	dinhmun
conditions	dinhmun
conduct	kalphung
conference	intawhkhawm
confess	inpuang
confidence	inrintawkna
confident	inringtawk
confirm	nemnghet
conflict	buaina
confused	rilru tibuai
confusion	rilru tibuai
congrats	ka lawmpui che
congratulation	lawmpuina
congratulations	lawmpuina
conjunction	thumal zawmna
connect	zawm
conquer	hneh
conscious	harhfim
consciousness	rilru harhna
consent	remtihna
consequences	nghawng
conservation	humhalhna
conservative	danglam hreh
considered	ngaihtuah tawh
consider	ngaihtuah
consist	atanga siam
consistency	zenghet
consistent	nghet
constant	danglam lo
constantly	inzawmzat
constipation	ek khal
construction	buatsaihna
consume	hmang
consumption	hmanralna
contact	inbepawp
contagious	inkai awlsam
contain	huap
contains	tel
contemporary	inrualtlang
contempt	inhmuhsitna
content	lungawi
contest	intihsiak
context	tlangpui
continent	khawmualpui
continue	chhunzawm
contract	inremna
contrast	in ep
contribute	thawh
contribution	thawhkhawm
control	thunun
controversial	inhnial theihna
convenience	remchanna
convenient	remchang
conversation	inbiakna
convert	inthlakthleng
convey	hriattir
convinced	hneh
convince	hmin
cook	chhum
cooking	chhum
cool	dai
cooperation	inlungrualna
cope	hneh
copper	dar
core	laimu
corner	kil
corn	vaimim
correct	dik
cost	man
costume	incheina
cottage	thlam
cotton	la
couch	thu mu
cough	khuh
could	thei
council	rorel inkhawmna
count	chhiar
counter	beilet
country	ram
countryside	thingtlang
couple	kawpchawi
courage	huaisenna
course	kawng
courtesy	hawihhawmna
court	rorelna
cousin	unau
cover	khuh
coward	dawihzep
cow	bawng
cozy	nuam
crab	chakai
crack	khi
craft	themthiam
crap	chhe tak
crash	kehsawm
craving	chakna
crawl	bawkvak
crazy	atchilh
create	siam
creative	themthiam
credit	leiba
creep	bawkvak
creepy	rapawm
crew	pawl
crime	suahsualna
cringe	khur
crisis	harsatna
criteria	khaikhinna
critical	khirhkhan
criticism	sawiselna
crops	thlai
crop	thlai
cross	kawkalh
crow	choak
crowded	pungkhawm
crowd	mipui
crown	lallukhum
crucial	pawimawh
cruel	nunrawng
cruise	veivak
crush	tikehsawm
cry	tap
cucumber	fanghma
cuddle	inkuah
culture	hnamzia
cunning	phakar
cupboard	chhuar
cup	no
curb	khuahkhirh
cure	tidam
curfew	karfiu
curiosity	dilchhut
curious	dilchhut
curly	kir
currency	pawisa
currently	tun dinhmunah
current	tun
curse	anchhia
curtain	puanzar
cushion	cushion
custom	chindan
customer	dawrtu
customs	hnam dan
cute	duhawm
cut	zai
cycle	thirsakawr
cycling	thirsakawr khalh
daddy	pa
dad	pa
daily	nitin
dairy	bawnghnute lam
damage	tichhia
damn	anchhedawng
damp	hnawng
dam	tuikhuah
dance	lam
danger	hlauhawm
dangerous	hlauhawm
dark	thim
darling	duhtak
dash	theh
data	thil pawimawh
date	tarikh
daughter	fanu
day	ni
deadline	huntawp
dead	thi
deaf	bengngawng
deal	inremna
Dear All	Duhtakte u
Dear Customer	Min dawrtu duhtak
dear	duhtak
Dear Parents	Nu leh pa duhtakte u
Dear Sir	Ka pu duhtak
Dear students	Zirlai duhtakte u
Dear Team	Thawhpui duhtakte u
death	thihna
debate	inhnialna
debit	leiba
debris	kehsawm
debt	leiba
decade	kum sawm
decay	tawih
deceased	thi
deceive	bum
december	december
decent	zahawm
decided	thutlukna siam
decide	duhthlang
decision	thutlukna
deck	khuhna
decline	tlahniam
decrease	titlem
dedicated	zuah bik
dedication	inhlanna
deed	thiltih
deep	thuk
deer	sakhi
default	hlawhchhamna
defeat	hneh
defend	in veng
define	hrilhfiah
definitely	ngei ngei
definition	hrilhfiahna
degree	degree
delayed	titlai
delay	titlai
delete	ti reh
deliberate	tum reng vang
delicate	nem
delicious	tui
delighted	lawm
delight	hlim
delivered	bungrua hlan
deliver	sem
delivery	sem
demand	beisei
demanding	dil ngawrh
democracy	mipui rorelna
demon	ramhuai
demonstrate	entir
denied	phal lo
density	sakhal zawng
dentist	ha siamtu
deny	hnawl
department	pawl
departure	chhuak
depend	innghat
deploy	thawnchhuak
deposit	dahlut
depressed	lungngai
depression	lungngaihna
depth	thukzawng
describe	hrilhfiah
description	hrilhfiahna
desert	thlaler
deserve	phu
designation	nihna
design	ruangam siam
desire	chak
desk	dawhkan
despair	mangang
desperate	duh takzet
despite	nimahse
dessert	dessert
destination	tumram
destiny	hmahun
destroy	tichhia
destruction	tihchhiatna
detail	chipchiar
details	kimchang
detect	manchhuak
determination	tumruhna
determined	tumruh
determine	tumnghet
devastated	tichhia
developed	changkang
development	hmasawnna
develop	tihmasawn
device	hmanrua
devil	ramhuai
devoted	thahnemngaihna
Dhivehi	Dhivehi tawng
diabetes	zunthlum
diarrhea	kawthalo
diary	nitin thiltih chhinchhiahna
dictionary	tawng lehlinna lehkhabu
did	ti tawh
die	boral
died	thi
diet	ei leh in
difference	danglamna
different	danglam
difficult	harsa
dig	lai
dignity	zahawmna
diligent	taima
dinner	zanriah
dip	chiah
direction	kawh lam
director	kaihruaitu
direct	tlang
dirt	bal
dirty	bal
disabled	ramtuileilo
disable	ramtuileilo
disappear	bibo
disappointed	lungawilo
disaster	chhiatrupna
discard	hnawl
discharge	chhuahtir
discipline	khuakhirhna
discount	titlawm
discover	hmuchhuak
discrimination	tihbikna
discussion	sawiho
discuss	sawiho
disease	natna
diseases	hri
disguise	inchei danglam
disgusting	tenawm
dish	chawhmeh
dishes	bungbel
dismiss	hnawl
dispatch	thawnchhuak
display	tarchhuak
disposal	phum bo
dispute	inremlohna
distance	hlatzawng
distinct	danglam
distinguish	thliarhrang
distress	manganna
distribution	semzai
district	ram bial khat
disturb	tibuai
ditch	thlauhthla
dive	bawh
diverse	darh zau
diversity	chi hrang hrang
divide	thenhrang
divine	thianghlim
divorce	inthen
dizzy	luhai
doctor	daktawr
document	lehkha pawimawh
doesn't	ni lo
does	ti
Dogri	Dogri tawng
dog	ui
doing	ti mek
doll	nautelem
domain	huap chhung
domestic	inlam
dominant	awp
donate	pe
done	ti zo
donkey	sabengtung
don't	ti suh
Don't worry	Lungngai suh
dope	ruihhlo
do	ti
double	thiang
doubt	ringhlel
dough	chhang hmeh
down	hnuailam
download	internet atanga thil lachhawng
do you	i ni maw
do you love me	min hmangaih em
draft	duangchhin
drag	hnuk
drain	paihchhuak
drama	lemcham
drawer	pawhdawh
drawing	thilziak
draw	ziak
dread	hlauhna
dream	mumang
dress	thawmhnaw
drill	verh
drink	in
drive	khalh
drop	far
dropped	thlauh
drought	khawkheng
drunk	zurui
dry	ro
duck	varak
dude	thianpa
due	hun
due to	avang in
dull	hnim
dumb	tawngtheilo
dump	paih
duration	rei zawng
during	laiin
dust	vaivut
duty	tihtur
dwell	cheng
dying	thi mek
each other	tawn tawnin
each	vek
eager	nghakhlel
eagle	mupui
ear	beng
earlier	hun hmasa lam
early	hma
earn	hlawh
ears	beng
earth	khawvel
earthquake	lirnghing
ease	awlsam
easily	awlsam takin
east	khawchhak
easy	awlsam
eat	ei
eating	ei
economic	sum leh pai inrelbawlna
economy	sum leh pai lam
edge	kotlang
edit	siamtha
education	zirna
effective	hlawkthlak
effect	nghawng
efficiency	tlin tak
efficient	thawkrim
effort	tumna
egg	artui
eggplant	bawkbawn
ego	indah pawimawhna
eighteen	sawmpariat
eight	pariat
eighty	sawmriat
either	zawk zawk
elaborate	sawizau
elbow	kiu
elderly	upa
elder	upa
elegant	nalh
element	thil bul
elephant	sai
eleven	sawmpakhat
eligible	ni thei
eliminate	tiboral
else	bakah
embarrassed	zak
embarrassing	zahthlak
embrace	kuah
emerge	langchhuak
emergency	rikrum
emotional	thil vei
empathy	hriatthiamna
emphasis	ngai pawimawh
emphasize	uar
employee	hnathawktu
employees	hnathawktu
employer	ruaitu
employment	hna
empty	ruak
enable	theih tir
encounter	intawnna
encourage	fuih
endangered	ral tep
endeavor	tumna
end	tawp
endurance	tuarchhelna
endure	tuar
enemy	hmelma
energy	chakna thahrui
engaged	inkungkaih
engage	inhual
engagement	inhualna
engineer	engineer
engine	khawl
English	Sap
enhance	tizual
enjoy	hmang nuam
enormous	lian
enough	tawk
ensure	enzui
enter	lut
entertainment	intihhlimna
enthusiasm	phurna
enthusiastic	phur
entire	zavaiin
entitled	chanvo
entity	nihna nei
entrance	luhka
entrepreneur	sumdawngtu
envelope	lehkhathawn bawm
environment	chenna khawvel
envy	thik
epic	vanglai
epidemic	tlang hri leng
equal	intluktlang
equipment	hmanrua
equity	intluktlang
equivalent	tlukpui
eraser	nawhreh
error	dik lo
escape	talchhuak
especially	bik takin
essay	thuziak
essence	awmzia
essential	tul
establish	din
established	din
estate	in leh lo
estimate	chhut
estimated	hisap
etc	adangte
eternal	chatuan
ethics	nundan mawi
evaluate	zirchiang
evaluation	zirchianna
evening	tlailam
even	intluk
even though	chupawh nise
event	hunbik
eventually	a tawpah chuan
ever	reng
everybody	tupawh
every	engpawh
everyone	mi zawng zawng
everything	engpawh
evidence	finfiahna
evil	sual
evolution	thanglian chho
evolve	chang
Ewe	Ewe tawng
exact	chiah chiah
exactly	chiah
exam	exam
examine	zirchiang
example	entirna
exceed	khum
excellent	a tha lutuk
except	hmaih
exception	hmaih
excess	chuangliam
excessive	chuangbang
exchange	inthleng
excited	hlim
excitement	thathona
exciting	hlim
exclusive	hual bik
excuse	chhuanlam
excuse me	min hrethiam lawk
execute	tihlawhtling
execution	tihlawhtlinna
executive	thuneitu
exercise	insawizawi
exhaust	chau
exhausted	hmang zo
exhibit	entir
exhibition	inphochhuahna
ex	hlui
exist	awm
existence	awmna
existing	awm mek
exit	chhuak
expand	tilian
expect	beisei
expected	rindan
expenses	hmaralna
expensive	manto
experience	tawnhriat
experiment	enchhinna
expert	mithiam bik
expired	thi tawh
explain	hrilhfiah
explanation	hrilhfiahna
exploit	chhawrbawk
explore	zawngchhuak
export	thawnchhuak
exposed	tilangchhuak
expose	tilang
exposure	inphochhuak
expression	tilangchhuak
express	tilang
extended	belhzau
extend	tizau
extension	tisei
extent	chin
external	pawnlam
extinct	rem
extra	chuangliam
extract	lachhuak
extraordinary	tha bik
extremely	nasa takin
extreme	nasa tak
eye	mit
eyes	mit
fabric	puanthan
fabulous	ropui
face	hmai
facilitate	tiawlsam
facilities	remchanna
facility	remchanna
factor	thlentu
factory	thil siamna hmunpui
facts	thudik
fact	thudik
fade	chuai
failed	hlawhchham
fail	hlawhchham
failure	hlawhchhamna
faint	thidang
fair	dik
fairly	diktakin
fairy	lasi
faithful	rinawm
faith	rinna
fake	lem
fall	tla
false	diklo
fame	hmingthanna
familiar	hrebel
family	chhungkua
famine	tam
famous	lar
fancy	duhzawng
fan	fan
fantastic	thatak
farewell	inthlahna
far	hla
farmer	loneitu
farm	lo
fascinating	mak ti
fashion	incheina
fast	chak
fatal	thihpui khawp
fate	khuarel
father	pa
fatigue	chau
fat	thau
fault	diklohna
favorite	duhbik
favour	duhsak
favourite	duhzawng tak
fear	hlau
feast	ruai
feather	hmul
feature	nihphung
features	nihphung
february	February
fed up	ning
feedback	chhanna
feed	chawm
feel	hria
feeling	hriatna
fee	man
feet	ke
fellow	thawhpui
fell	tla
felt	savun thuahkhawm
female	hmeichhia
fence	pal
fertile	lei tha
festival	kutpui
fetch	man
fever	khawsik
fewer	tlem zawk
few	tlem
fiance	kawppui hual
fiction	phuahchawp
field	mual
fierce	hlauhawm
fifteen	sawmpanga
fifty	sawmnga
fighting	insual
fight	insual
figure	milem
figure out	zawng chhuak
file	lehkha pawimawh
filled	thun khat
fill	thun
film	film
filthy	tenawm
finally	a tawpah chuan
finance	sum lam
financial	sum lam
find out	zawng chhuak
find	zawnghmu
fine	tha
finger	kutzungtang
finished	zo tawh
finish	zo
fire	mei
firm	nghet
first	hmasa ber
first name	hming hmasa
fish	sangha
fit	mil
five	panga
fixed	nghet
fix	siam
flag	puanzar
flash	phezuai
flat	phek
flaw	diklohna
flawless	dik vek
flee	tlanchhia
flesh	tisa
flew	thlawk
flexible	fan thei
flex	thlep
flight	thlawk
flip	vai
flirting	lerh
flirt	lerh
float	lang
flood	tuilian
floor	chhuat
flour	chhangphut
flower	pangpar
flow	luang
fluent	hnehsawh
fluently	nal takin
fluffy	hmul nghah
flu	hritlang
fluid	tuiril
fly	thlawk
focus	tumbik nei
foggy	chhum zing
fog	tiauchhum
fold	thlep
folks	chhungte
following	zui
follow up	chhunzawmna
follow	zui
food	chaw
foolish	a
fool	mawl
football	football
foot	ke
forbidden	phal loh
force	tilui
forecast	hmuhlawk
forehead	chal
foreign	ramdang
forest	ramhnuai
forever	chatuan
For example	entir nan
forget	theihnghilh
forgive	ngaidam
forgot	theihnghilh
for instance	entir nan
fork	thirkut
formal	dan pangngai
former	hmasa
form	siam
for	tan
fortunately	vanneihthlak takin
fortune	rosum
forty	sawmli
forty-two	sawmli pahnih
forward	hmalam
for you	i tan
foster	chawm
fought	insual
foundation	bulthut
found	hmu
four	pali
fourteen	sawmpali
fox	sihal
fragile	derthawng
frame	ruangam
framework	ruhrel
fraud	a lem
freak	atchilh bur nei mi
freedom	zalenna
free	zalen
freeze	khang
frequency	zinzia
frequent	fo
frequently	fo
fresh	tharlam
friday	Zirtawpni
fridge	fridge
friendly	nelawm
friendship	inthianthatna
friends	thiante
friend	thian
frightened	hlau
frightening	hlauhawm
frog	utawk
from	atangin
front	hma
frozen	khang
fruit	thei
frustrated	thintawt
fuel	meichaw
Fulfulde	Fulfulde tawng
full	khat
function	thiltih
fundamental	bulpui
funeral	invuina
fun	hlimawm
funny	nuihzatthlak
furious	thinalh
furniture	bungbel
fur	sahmul
further	hla zawk
furthermore	chumi atang chuan
future	hma hun
gain	hlawk
game	infiamna
gap	kar awl
garage	motor dahna
garbage	bawlhhlawh
garden	huan
garlic	purunvar
gate	kawngkharpui
gathering	awmkhawm
gather	kalkhawm
gauge	endik
gave	pe
gear	thawmhnaw
gender	mipa leh hmeichhe thliarna
generally	tlangpuiin
general	tlanglawn
generate	pechhuak
generation	thlah chhawng
generous	thilphal
genius	mifing
genre	lampang
gentle	dimdawi
genuine	dik tak
gesture	zaizir
get dressed	in ha rawh le
get	nei
getting	dawng
get up	tho rawh
get well soon	lo dam vat rawh
ghosting	tawpsan thut
ghost	thlahrang
giant	milian
gift	thilpek
ginger	sawhthing
girlfriend	bialnu
girl	hmeichhe naupang
given	pek
give	pe
give up	bansan
glad	lawm
glance	thlir
glass	darthlalang
glasses	tarmit
glimpse	hmu zuai
global	khawvel huap
gloomy	nguai
gloves	kutkawr
glow	engchhuak
glow up	in tihlim rawh le
glue	thil charna
go ahead	ti rawh le
goals	tum
goal	tum
goat	kel
go away	kal bo rawh
god bless you	Lalpan malsawm che rawh se
god	pathian
goes	kal
going	kal
going to	ka ti dawn
go	kal
gold	rangkachak
gone	kal liam
gonna	ti dawn
good afternoon	chawhnulam chibai
good bye	mangtha
goodbye	mangtha
good day	ni hman nuam le
good evening	tlailam chibai
good job	i thawk tha e
good looking	hmeltha
good luck	Tha takin le
good morning my love	tukchhuah nuam le ka hmangaih
good morning	tukchhuah nuam le
goodnight	muttui
good night	muttui le
goods	bungrua
good	tha
Google	google
Google Translate	Google tawnglehna
goose	vatawk
goo	thil hnang
gorgeous	mawi lutuk
gossip	rel
got it	hrethiam e
got	nei
go to bed	mu tawh rawh
government	sawrkar
grab	tham
grade	pawl
gradually	zawi zawiin
graduate	zirchhuak
grain	buhfang
granted	phalsak
grant	phalsak
grapes	grape
grasp	manbet
grass	phul
grateful	lawm
gratitude	lawmna
grave	thlan
gray	paw
great	ropui
greed	duhamna
greedy	duham
green	hring
greet	chibai buk
greeting	chibai bukna
greetings	chibai bukna
grey	uk
grid	hruizam
grief	lungngai
grind	rawt
grip	hmer
grocery	inchhung mamawh
groom	moneitu
gross	tenawm
ground	chhuat
group	pawl
grow	thang
growth	thang
grumpy	titau
Guarani	Guarani tawng
guarantee	tiam
guard	veng
guess	ring
guest	mikhual
guidance	kaihhruaina
guide	kaihruai
guilty	thiam lo
