a little	ӧжыт
be careful	сак кариськы
beach	пляжный
beam	балка
beans	фасоль
bear	гондыр
beard	туш
bearing	подшипниковой
beast	пӧйшур
beat	зӥръяса
beautiful	чебер
beauty	чеберлык
became	луыны
because	малы ке шуоно
become	луыны
bed	кровать
bedroom	кӧлон висъет
bee	муш
beef	скал сӥль
been	вань
beer	сур
before	озь
began	кутскиз
begin	кутскыны
beginning	кутскиз
behalf	ним
behave	астэ умой возьыны
behavior	выросъёсыз
behaviour	вырос
behind	бӧрсязы
being	вань дыръя
belief	оскон
believe	оскыны
belly	кӧт
belong	киын луыны
beloved	яратоно
below	ма лапег
belt	кускерттон
bench	выж
bend	куасалляськыны
beneath	улэ
benefit	пайда
benefits	вылӥ луонъёс
beside	артэ
besides	со сяна
best	умойгес
best of luck	ваньзэ умойзэ
best regards	самой ӟеч сӥзёнъёс
better	умойгес
between	вискын
beverage	юон
beyond	вылтӥ
Bhojpuri	Бходжпури
bias	предвзятость
biased	азьвыл ик малпам
bicycle	велосипед
bid	дун пуктон
big	бадӟым дыр
bike	байк
bill	счет
bind	думылыны
bird	тылобурдо
birthday	вордӥськем нунал
bit	ӧжытак
bite	куртче
bitter	курытэз
black	сьӧд
blade	лезвие
blame	янгышъёссэ
blank	тырмытымтэ
blanket	шобретъёс
blast	пуштон
bleach	тöдьыян
blend	сурет
bless	данъясько
blessed	данъямын
blind	синтэм
bliss	майбыр улон
block	блок
blood	вир
bloom	сяськаяны
blow	шуккет
blue	лыз
blunt	ныж
board	пулэсь
boat	пыж
body	мугорыз
boil	пӧсьтыны
bold	кышкасьтэм
bold	вань
bond	герӟет
bone	лы
book	заказ
boost	будэтон
booster	усилительёс
boot	башмак
boots	ботинка
border	кунгож
bore	акыльтыны
bored	мӧзмыт
boring	мӧзмыт
born	вордскем
borrow	басьтыны
boss	босс
both	кыкназы
bother	исаллязы
bottle	бутылка
bottom	пыдэссэ
bought	басьтэм
bounce	тэтчаны
bound	герӟаськем
boundaries	кунгож
bow	йыбыртты
bowl	чаша
box	коробка
boy	пи
boy	пияш
boyfriend	пияш
bracelet	поскес
brain	йырвимлэн
branch	вай
brand	бренд
brave	кышкасьтэм
breach	тӥян
bread	нянь
break	перерыв
breakfast	ӵук
breast	гадь
breath	шокан
breathe	шоканы
breed	йыло
brick	кирпичной
bride	кузпалъёс
bridge	выж
brief	брифлэн
bright	яркыт
brilliant	кисьтаськись
bring	вуттыны
bro	агай
broad	паськыт
broadcast	возьматыны
broke	пилем
broken	чигты
broom	ӵужон
brother	нюня
brother in law	вармайпи
brought	вайиз
brown	курень
brush	щётка
bucket	ведра
bucket	кобы
buddy	уром
budget	бюджет
bug	янгыш
build	кильымъёс
building	юри
built	пуктыны
bulk	валтӥсь масса
bull	ош
bully	керетӥсь
bump	мыжгем
bunch	пуры
bundle	керттэт
burden	секыт ныпъетэз
buried	ватэм
burn	сутыны
burst	пуштыны
bury	ватыны
bus	автобус
bush	куак
business	ужбергатон
bust	бюстэз
busy	ваньмисьтэм
but	нош
butter	нӧкы
butterfly	бубыли
button	кнопка
buy	октыны
by	ог
by the way	кылпумысь
bye	пока
cabbage	кубиста
cabinet	министръёслэн кабинетсы
cage	клетка
cake	торт
calf	кунян
call	жингыртӥз
call me	чорты монэ
called	нимаське
calm	чалмыт
came	лыкто
campaign	кампани(я)
can	быгатыны
can	корт банка
can't	кужымезъя öвöл
Cancel	берланьтыны
cancer	кисло-кусло
capable	быгатӥсьлэн
capacity	быгатонлыкъёслы
capital	бадӟым
caption	гожтӥськем
capture	киултыны
car	машина
career	карьер
careful	вал каллен
carefully	пыр-поч
careless	чакласькисьтэм
caring	сюлмаськись
carpenter	ӵуписькись
carpet	выжлёгет
carrot	ӵужкушман
carry	нуллыны
carry on	азьланьтыны
carry out	сётэм кылэз быдэстыны
case	кейс
cash	наличной
cast	кӧчырет
castle	замок
casual	случайной
cat	КПП
catch	кутыны
category	категория
cattle	гурт пудоживот
caught	кутыны
cause	мугез
caution	эскериськон
cautious	чакласькись
cave	мугыркын улӥсь
cease	дугдытыны
ceiling	вӧлдэтын
celebrate	праздник
cell	ёзэт
center	шор
century	даур
cereal	тысё юос
ceremony	церемония
certain	кулэ
certainly	безусловно
certificate	сертификат
chain	жильы
chair	пукон
challenge	вызовъёсы
chance	луонлык
change	вошъям
chaos	радтэм
character	сямзылы
characteristics	характеристика
charge	зарядить
charity	ӟечен юрттон
charming	синмаськытӥсь кужым
chart	диаграмма
chase	уйиськон
chat	вераськон
chat	вераськоны
cheap	дунтэм
cheat	йыртэмась
cheating	эрекчаськон
check	эскерон
cheek	бам
cheer	мылкыд ӝутыны
cheerful	шулдыр
cheers	ӟечкылазы
cheese	сыр
chemistry	химия
cherish	нуныяны
chess	шахмат
chest	гадь (мӧля) клетка
chew	сыскыны
chicken	курег
chief	азьветлӥсь
child	нылпиоc
childhood	пинал дыр
children	нылпиос
chill	кезьыт
chimneys	гумыос
chin	ангес
chocolate	шоколад
choice	быръён
choose	быръе
chop	кораны
chores	ӵыжы
chubby	быгылес
church	черк
cinnamon	корица
circle	берганы
circumstances	югдурез
citizen	кунмурт
city	город
claim	верало
clarify	валамон карыны
class	класс
clay	гордсюй
clean	чылкыт
clear	шараяськиз
clerk	ужась
clever	визьмо
client	клиент
cliff	изъяр
climate	климат
climb	тубон
clingy	ӝабырес
clock	час
close	ворсано
closet	чулан
cloth	пустол
clothes	дӥськут
cloud	ӝожомытыны
cloudy	пильмо
clown	маскаръяськись
clue	лушкем веран
clumsy	ын лук-лак
cluster	люкаськем
coach	тренер
coal	эгыр
coast	ярдур
coat	сӥен-сӥен
coffee	кофе
cognitive	когнитивной
coincidence	тупан
cold	кезьыт
collapse	бинялтэмын
collar	чырты е
colleague	ужъюлтошъёсыз
colleagues	ужъюлтошъёс
collect	люкам
collection	кенеш
college	колледжъёсын
color	буёл
colorless green ideas slept furiously	буёлтэм вож малпанъёс вожпотыса изизы
colour	буёл
column	столбик
comb	корманы
combination	герӟан
combine	сочетать карыны
come	вуылыны
come here	лык татчы
come on	азьлань!
come on	ойдо
comfort	комфорт
comfortable	вӧл
coming	вуон
coming soon	ӝоген луоз
command	тӧрояськыны
comment	комментарий
commercial	коммерческой
commission	комиссия
commit	ортчиз
commitment	обязательствоос
committed	сётэм
commodity	вуз
common	вöлмем
communicate	вераськыны
communication	сюрес
community	сообщество
commute	ветлыны
companion	юлтош
company	юнда
compare	ӵошатыса
comparison	ӵошатон
compassion	жалян
compassionate	жалясь
compatible	огазеясь
compete	ӵошатскыны
competent	умой тодӥсь
competition	вожвылъяськонлэн
competitive	вожвылъяськыны быгатӥсь
complain	урттылӥськиз
complaint	чагиськон
complement	ватсаны
complement	йылтон
complete	тырмоз
completely	быдэсак
complex	огъет
compliance	уступчивость
complicated	сложный
compliment	комплимент
comply	гожтӥськыны
composition	пушсузьет
compound	состав
comprehension	валан
comprehensive	котькуд ласянь
compromise	компромисс
compulsory	курегпузэз питыръяса
computer	компьютер
concentrate	концентрат
concept	концепциез
concern	шугъяськонэ
concerned	кымачауланы
concert	концерт
conclusion	заключение
concrete	членъёсыз
condition	инэт сопалысьтызмыным
conditions	луонлыкъёс
conduct	вал нуисько
conference	конференция
confess	зэмзэ вераны
confidence	ас кужымедлы оскон
confident	оскизы
confirm	возьматон
conflict	конфликтысь
confused	сурам
confusion	абдран
congrats	ӟечкыласько
congratulation	ӟечкылан
congratulations	ӟечкыланъёс
conjunction	огазеян
connect	герӟаны
conquer	вормыны
conscious	сознательной
consciousness	визь
consent	вераськыны
consequences	бервылъёсыз
conservation	утялтон
conservative	консервативной
consider	астэ лыдъяны
considered	малпам
consist	пӧрмыны
consistency	радлык
consistent	согласованный
constant	ялан
constantly	ялан
constipation	запор
construction	лэсьтӥськон
consume	уже кутыны
consumption	потребление
contact	кусып возён
contagious	кутскись
contain	будэмзэ возьыны
contains	возе
contemporary	туала адями
contempt	адӟемпотостэм карон
content	содержимое
contest	вожвылъяськон
context	котыркуэт
continent	ярмувыр
continue	кыстӥськыны
contract	контракт
contrast	контраст
contribute	юрттэткузьым карыны
contribution	тырон
control	чакланы
controversial	споръяськон
convenience	каньыллык
convenient	вӧл
conversation	вераськон
convert	пӧрмиз
convert	выльдоно
convey	передача
convince	оскытӥз
convinced	оскытэм
cook	повар
cooking	пӧзьтон
cool	ыркыт
cooperation	ӵош ужан
cope	быдэстыны быгатыны
copper	ыргон
core	основной
corn	кукуруза
corner	сэрег
correct	шонер
cost	стоимость
costume	костюм
cottage	коттедж
cotton	хлопок
couch	диван
cough	кызон
could	быгатысал
council	дэмлам
count	лыдъяны
counter	прилавок
country	шаерамы
countryside	гурт
couple	мар кузэн
courage	мужество
course	курслэн
court	суд
courtesy	гажан
cousin	двоюродной
cover	обложка
cow	скал
coward	кышкась
cozy	лякыт
crab	краб
crack	пилиськем
craft	киуж-ӧнерлык
crap	ӧвӧлтэм
crash	куашкан
craving	юэм потон
crawl	ныж ветлыны
crazy	шузимем
create	кылдӥз
creative	кылдытон
credit	кредитъёсыз
creep	куашкан
creepy	нюжтӥськись
crew	экипажлэн ёзчиез
crime	йыруж
crisis	ёрмон
crisis	кризис
criteria	дунъян мертэтъёс
critical	критической
criticism	дунъетбур
crop	удалтэм
crops	киземъёс
cross	гопо
crow	куака
crowd	калык
crowded	трос калыко
crown	корона
crucial	решающий
cruel	туж секыт
cruise	круиз
crush	донгаськон
cry	бöрдыны
cucumber	огреч
cucumber	кияр
cuddle	ӟыгыръяськыны
culture	культура
cunning	кескич
cup	чашка
cupboard	шкаф
curb	кортнаны
cure	эмъюм
curfew	комендантской час
curiosity	котьмае тодыны турттон
curious	тунсыко
curly	бабылес
currency	валюта
current	текущей
currently	туала
curse	вегнан
curtain	катанчи
cushion	миндэр
custom	нестандартный
customer	клиент
customs	вузэскерет
cut	вандэм
cute	муспотон
cycle	цикл
cycling	велоспорт
dad	атай
daddy	атае
daily	быдэ
dairy	йӧллэсь
dam	дамба
damage	сöрон
damn	каргам
damp	нюр
dance	эктон
danger	кышкытлык
dangerous	кышкыт
dark	пеймыт
darling	дуно
dash	кузьгож
data	сётэтъёс
date	дата
daughter	нылъёс
day	нунал
dead	кулэм
deadline	берпум дыр
deaf	пельтэм
deal	сделкаос
dear	дуно
Dear All	Дуно
Dear Customer	Гажано клиент
Dear Parents	Дуно анай-атайёс
Dear Sir	Гажано
Dear students	Гажано дышетскисьёс
Dear Team	Гажано команда
death	кулон
debate	ченгешыны
debit	дебет
debris	силё
debt	долг
decade	дас ар
decay	куашкан
deceased	кулэм
deceive	пӧяны
december	толсур
decent	гольтрес
decide	лэсьтыны
decided	решение
decision	решение
deck	палубной
decline	кулэсмыны
decrease	ичиёмыны
dedicated	висъяны
dedication	вань сэлэмез сётон
deed	уж
deep	мур
deer	пужей
default	тӥ умолчание
defeat	вормон
defend	утьыны
define	определение
definitely	определённо
definition	определение
degree	степеньын
delay	ӝегатсконъёс
delayed	кылем
delete	ӵушылон
deliberate	кенешыны
delicate	ненег
delicious	ческыт
delight	шумпотон
delighted	синмаськытэм
deliver	вайыны
delivered	ваем
delivery	доставка
demand	юан
demanding	рос-прос эскерись
democracy	демократи(я)
demon	шайтан
demonstrate	адӟытэ
denied	танӥськем
density	юнлык
dentist	пинь эмъясь
deny	отказ
department	люкет
departure	отъезд
depend	киулскыны
deploy	сэрттыны
deposit	депозитъёс
depressed	зӥбем кадь
depressed	ляб
depression	депрессия
depth	мурдала
describe	возьматыны
description	описание
desert	луоё кыр дуннее
deserve	элькун
design	дизайн
designation	пус
desire	потыны
desire	ылкыд
desk	ӝӧк
despair	пумтэмлык
desperate	бертэме
despite	учкытэк
dessert	десерт
destination	назначение инты
destiny	адӟон
destroy	куашкатыны
destruction	куашкам
detail	пыр-поч возьматыны
details	чыры-пырыос
detect	шедьтыны
determination	юн
determine	тодыны
determined	дӥсьтӥсь
devastated	куашкатэм
develop	азинто
developed	азинскись
development	азинскон
device	устройствоос
devil	шайтан
devoted	оскымон
Dhivehi	Дивехи
diabetes	сакырвисён
diarrhea	кӧтвиян
diary	дневник
dictionary	кыллюкам
did	кариз
die	кулыны
died	кулӥз
diet	рацион
difference	вис
different	мукет
difficult	секыт
dig	копалтыны
dignity	дан
diligent	тыршись
dinner	сиськон
dip	гудыны
direct	шонер
direction	мынон сюрес
director	режиссёр
dirt	дэри
dirty	пож
disable	кысыны
disabled	сӧсыр
disappear	ышыны
disappointed	разочарован
disaster	катастрофически
discard	сэрпалтыны
discharge	разрядить карем
discipline	дисциплинаез
discount	скидка
discover	шедьтыны
discrimination	ултӥян
discuss	эскерыны
discussion	эскерон
disease	висён
diseases	висёнъёс
disguise	ватон
disgusting	юрӟым
dish	тусьты
dishes	сиёнъёс
dismiss	инты ужлэсь мозмытыны
dispatch	кулэстыны
display	дисплей
disposal	косон
dispute	ченгешонъёс
distance	дистанциез
distinct	сайтэ
distinguish	висъяны
distress	курадӟон
distribution	люкон
district	ёрос
disturb	сюлмаськытыны
ditch	гу
dive	зымылыны
diverse	пӧртэм
diversity	турлы
divide	люкыны
divine	абдрамон чебер
divorce	люкиськон
divorce	люкиськымтэ
dizzy	берга
do	карыны
do you	тон
do you love me	тон монэ яратӥськод-а
doctor	доктор
document	ужкагаз
does	со карэ
doesn't	уг
dog	пуны
Dogri	Догри
doing	лэсьтэмын
doll	мунё
domain	домен
domestic	асьме кунлэн
dominant	валтӥсь
don't	уг
Don't worry	Уг бугыръяськиськы
donate	коньдонэн юрттӥськыны
done	карем
donkey	ишак
dope	усыкмет
double	кыктос
double	полэстӥськыса
doubt	шекланыса
dough	ыльнянь
down	улӥе
download	тырмытыны
draft	уськытъяз
drag	гыж кыскыса нуыны
drain	начармонзы
drama	драма
draw	суредаллям
draw	ничья
drawer	ящик
drawing	гожсуред
dread	кышкан
dream	малпанъёс
dress	дэрем
drill	пасялляны
drink	юон
drive	приводэн
drop	усён
dropped	уськытыны
drought	кӧс куазь
drunk	удмуртарня
dry	кӧс
duck	ӵӧж
dude	чувак
due	нуиськизы
due to	бӧрсе
dull	мöзмыт
dumb	кылтэм-ымтэм
dump	дамп
duration	мынон дыр
during	дыр
dust	тузон
duty	долг
dwell	улыны
dying	кулон
each	котькудӥз
each other	ог-огдэс
eager	чидасьтэм
eagle	кырныж
ear	пель
earlier	вазьгес
early	вазь
earn	медъям
ears	пельёс
earth	музъем
earthquake	музъемзуркан
ease	каньыллык
easily	лякыт
east	восточной
easy	капчи
eat	сиыны
eating	сиськон
economic	экономической
economy	экономика
edge	преимущество
edit	тупатъяны
education	дышетон
effect	эффект
effective	эффективной
efficiency	ужаны быгатон
efficient	эффективный
effort	тыршемез
egg	пуз
eggplant	баклажан
ego	астэ яратонлык
eight	тямыс
eighteen	дас тямыс
eighty	тямыстон
either	люба
elaborate	разработка
elbow	пыдес
elder	бадӟымез
elderly	арлыдо
elegant	чильтро
element	стихия
elephant	слон
eleven	дас одӥг
eligible	приемлемый
eliminate	палэнтыны
eliminate	утялтыны
else	мукет-а
embarrassed	смущенный
embarrassing	сумбырес
embrace	ӟыгырскон
emerge	уродъяськыны
emergency	экстренной
emotional	эмоциональной
empathy	сюлмаськыны
emphasis	акцент
emphasize	акцент лэсьтыны
employee	ужасьёс
employees	ужасьёс
employer	уж сётӥсь
employment	уже кутскон
empty	тырттэм
enable	луонлык сётыны
encounter	геред
encourage	уломе
end	пум
endangered	бырись
endeavor	кужым
endurance	чидан
endure	чиданы
endure	вормыны
enemy	тушмон
energy	кужым
engage	кутскон
engaged	помолвлен
engagement	вовлеченность
engine	вырӟытӥсь
engineer	инженер
English	Англи
enhance	умоятэмын
enjoy	куаныны
enormous	бадӟым
enough	тырмыт
ensure	ванё карыны
enter	пырыны
entertainment	развлекательный
enthusiasm	энтузиазм
enthusiastic	тунсыкъяськись
entire	быдэс
entitled	нимам
entity	дэменлык
entrance	пырон
entrepreneur	ужбергатӥсьёсты
envelope	конверт
environment	окружение
envy	вожъяськыса
epic	эпической
epidemic	висёнкыль
equal	огкадь
equipment	оборудование
equity	со шонер
equivalent	огвыллем валатон
eraser	ӵушет
error	Янгыш
escape	бырыны
especially	тужгес ик
essay	улонверос
essence	пуштрос
essential	шӧдскымон
establish	пуктон
established	тупатскоз
estate	сословие
estimate	дунъян
estimated	лыдӟем
etc	но солы укшась
eternal	ноку быронтэм
ethics	этика
evaluate	лыдъяны
evaluation	дунъет
even	но
even though	озьы ке но
evening	ӝыт
event	ужрад
eventually	конкурсэ
ever	куке-ке
every	котькудӥз
everybody	ваньзы
everyone	ваньмыз
everything	ваньмыз бöрсьысь бöрсе
evidence	янгыш
evil	лек
evolution	эволюция
evolve	азинтыны
Ewe	Овца
ex	азьвыл
exact	шонер
exactly	мар зэмзэ пыӵато
exam	экзамен
examine	эскерыны
example	пример
exceed	мултэс быдэстыны
excellent	усто
except	сяна
exception	йӧспӧртэм луон
excess	кулэтэм
excessive	мултэс трос
exchange	воштос
excited	тунсыкъяськись
excitement	лӧптон
exciting	басьтылӥзы
exclusive	эксклюзивной
exclusive	огполэс
excuse	кариськыны
excuse me	мыным вождэ эн вай
execute	косэмез быдэстон
execution	быдэсмытон
executive	исполнительной
exercise	упражнениос
exhaust	ӵын потэм
exhausted	начар
exhibit	возьматыны
exhibition	адӟытон
exist	луыны
existence	улон
existing	улӥсь
exit	потон
expand	паськытатыны
expect	витьыны
expected	возьмалэ
expenses	быдтонъёс
expensive	дуно
experience	опыт
experiment	экспееримент
expert	тодӥсь
expired	карем
explain	валэктыны
explanation	валэктон
exploit	эксплуатировать карыны
explore	скерыны
export	кунгож сьӧры поттон
expose	шараян
exposed	гольык
exposure	экспозиция
express	экспресс
expression	выражениосты
extend	вӧлскыны
extended	паськытатэмын
extension	азьланьтон
extent	степеньын
external	выл
extinct	бырыны
extra	ватсам
extract	поттон
extraordinary	валэктыны луонтэм
extraordinary	экстраординарной
extreme	экстремальной
extremely	туж
eye	син
eyes	син
fabric	басма
fabulous	выжыкыл
face	ымныр
facilitate	валамон карыны
facilities	объектъёссэ
facility	объект
fact	фактъёсты
factor	уг
factory	фабрика
facts	зэмослык
fade	кысыны
fail	уз пӧрмы
fail	ӝегатскон
failed	пӧрмымтэ
failure	куашкатон
faint	ляб
fair	шонер
fairly	окмымон
fairy	тунаськись
faith	оскон
faithful	оскымон
fake	алда
fall	усе
fall	сӥзьыл
false	ӦРЕКЧАСЬКОН
fame	дан
familiar	тодмо
family	семья
famine	сютэм улон
famous	дано
fan	вентиляторъёс
fancy	мар зэрпаллык
fantastic	фантастичной
far	кыдёке
farewell	прощальный
farm	ферма
farmer	му ужась
fascinating	заук
fashion	мода
fast	ӝоген
fat	кӧй
fatal	роковой
fate	адӟон
father	атае
fatigue	жадем
fault	неисправность
favorite	яратоно
favour	юрттон
favourite	яратон
fear	кышкан
fear	кышканы
feast	кунояськон
feather	тылы
feature	(ас)пӧртэмлык
features	ымныр тус
february	тулыспал
fed up	акыльтыны
fee	взнос
feed	сиён
feedback	отзыв
feel	шӧдӥське
feeling	шӧдӥсько
feet	пыд
fell	усе
fellow	пияш
felt	ощущаться
female	нылкышно
fence	забор
fertile	удалтоно
festival	фестиваль
fetch	потӥз
fever	лихорадка
few	ӧжытак
fewer	пичигес
fiance	дусым
fiction	малпам
field	бусы
fierce	ожесточенный
fifteen	дас вить
fifty	витьтон
fight	нюръяськон
fighting	ожмаськон
figure	фигураос
figure out	радъяны
file	файл
fill	заполнение
filled	тырмытэм
film	пленка
filthy	курмем
finally	бератаз
finance	финансъёс
financial	коньдонбур
find	шедьтыны
find out	тодыны
fine	чебер
finger	чиньы
finish	быдтыны
finished	быдтэм
fire	тыл
firm	фирма
first	нырысетӥ
first name	нимаз
fish	чорыг кулэлыко
fit	шобыртэм
five	вить
fix	тупалоз
fixed	пусъемын
flag	кункышет
flash	кыньыръяны
flat	чеберъяськыса
flaw	изъян
flawless	пыкылонтэм
flee	марлэсь ке бызьыны
flesh	быгыт
flew	лобӟыны
flex	лэйкыт
flexible	лэйкыт
flight	лобӟон
flip	берыктыны
flirt	мынчыръяськон
flirting	мынчыръяськон
float	пукы
flood	вутудӟон
floor	этажаз
flour	пызь
flow	шур сярысь
flower	сяська
flu	грипп
fluent	пыкылонтэм
fluent	чылкыт
fluently	шаплы
fluffy	лӧбырес
fluid	жидкость
fly	лобась
focus	сосредоточивать
fog	бус
foggy	бусо
fold	шымыри
folks	матысь адямиос
follow	азьланьын
follow up	чакланы
following	вуоноосыз
food	сиён
fool	шузи
foolish	визьтэм
foot	пыд
football	футбол
for	понна
For example	Шуом
for instance	кылсярысь
for you	тӥ понна
forbidden	ужъёс быдэстон
force	кужым
forecast	прогноз
forehead	кымес
foreign	кунгожсьӧр
forest	тэль
forever	пыраклы
forget	вунэты
forgive	курыны
forgot	вунэтӥ
fork	вилка
form	формаез
formal	официальной
former	ысь
fortunately	шудлы
fortune	шуд
fortune	удалтон
forty	ньыльдон
forty-two	ньыльдон кык
forward	азьлань
foster	дышетыны
fought	нюръяськиз
found	шедьтӥз
foundation	фундамент
four	ньыль
fourteen	дас ньыль
fox	ӟичы
fragile	пызырес
frame	ортчиз
framework	инъет
fraud	мошенничество
freak	чудак
free	дунтэк
freedom	эрик
freeze	кынмыны
frequency	ӵемлык
frequent	ӵем
frequently	ӵемгес
fresh	выль
friday	удмуртарня
fridge	холодильник
friend	тусбуйын
friendly	эшлыко
friends	эшъёс
friendship	эшъяськон
frightened	шушектэм
frightening	кышкатӥсь
frog	эбек
from	со бöрдысь кутскыса
front	фронт
frozen	кынтэм
fruit	емыш
frustrated	разочарованный
fuel	топливо
Fulfulde	Фульфульд
full	тырмоз
fun	шулдыр
function	анда
fundamental	валтӥсь
funeral	похороны
funny	серемес
fur	гоно
furious	вожомем
furniture	мебель
further	на
furthermore	трос
future	кайта
gain	басьтыны
game	шудон
gap	пробел
garage	гараж
garbage	жуг-жаг
garden	бакча
