ئە	a
هاوسەنگی	balance
تۆپ	ball
بامبارا	Bambara
مۆز	banana
دەستە	band
تەقینەوە	bang
بانک	bank
بار	bar
جۆ	barely
سەودا	bargain
وەڕین	bark
جۆ	barley
بەربەست	barrier
بناغە	base
ژێرزەمین	basement
بنەڕەتی	basic
ڕەیحان	basil
زۆڵ	bastard
کۆمەڵە	batch
گەرماو	bath
گەرماو	bathroom
پاتری	battery
جەنگ	battle
کەنداو	bay
بوون	be
تیشک	beam
فاسولیا	beans
وورچ	bear
ڕیش	beard
لەخۆگرتن	bearing
دڕندە	beast
لێدان	beat
جوان	beautiful
جوانی	beauty
بوو	became
بەهۆی	because
بوون	become
سیسەم	bed
هەنگ	bee
بیرە	beer
پێش	before
دەستپێکردن	begin
دەستپێکردن	beginning
لەجیاتی	behalf
ڕەفتارکردن	behave
ڕەفتار	behavior
ڕەفتار	behaviour
لەدواوە	behind
باوەڕ	belief
باوەڕ	believe
سک	belly
خۆشەویست	beloved
خوارەوە	below
قایش	belt
قەراغ	bench
چەمانەوە	bend
لەژێر	beneath
سوود	benefit
سوودەکان	benefits
سەرەڕای	beside
سەرەڕای	besides
باشترین	best
باشتر	better
لەنێوان	between
خواردنەوە	beverage
دوای	beyond
بۆجپوری	Bhojpuri
لایەنگیر	bias
لایەنگر	biased
پایکسل	bicycle
تەندەر	bid
گەورە	big
پایسکڵ	bike
پسوولە	bill
بەستنەوە	bind
باڵندە	bird
کەمێک	bit
گازلێدان	bite
تاڵ	bitter
ڕەش	black
نووک	blade
لۆمە	blame
بەتاڵ	blank
بەتانی	blanket
تەقینەوە	blast
فاس	bleach
تێکەڵکردن	blend
پیرۆزکردن	bless
بەرەکەتکراو	blessed
کوێر	blind
خۆشی	bliss
بلۆک	block
خوێن	blood
خونچە	bloom
تەقان	blow
شین	blue
بێمانا	blunt
بۆرد	board
بەلەم	boat
جەستە	body
کوڵان	boil
تۆخ	bold
گرێ	bond
ئێسک	bone
کتێب	book
بەهێزکردن	boost
بەهێزکەر	booster
پووت	boot
پووت	boots
سنوور	border
بێزار	bored
بێزارکەر	boring
وەرگرتن	borrow
سەرۆک	boss
هەردووک	both
بێزارکردن	bother
بوتڵ	bottle
خوارەوە	bottom
کڕی	bought
هەڵبەزین	bounce
پەیوەست	bound
سنوورەکان	boundaries
چەمانەوە	bow
مەنجەڵ	bowl
سندوق	box
کوڕ	boy
بازن	bracelet
مێشک	brain
لق	branch
براند	brand
ئازا	brave
پێشێلکاری	breach
نان	bread
شکاندن	break
مەمک	breast
هەناسە	breath
هەناسە	breathe
خشت	brick
بووک	bride
پرد	bridge
کورت	brief
ڕووناک	bright
ژیر	brilliant
هێنان	bring
برا	bro
فراوان	broad
پەخش	broadcast
شکاندی	broke
شکاو	broken
گێسک	broom
برا	brother
هێنان	brought
قاوەیی	brown
فڵچە	brush
سەتڵ	bucket
هاوڕێ	buddy
بوجە	budget
مێروو	bug
بنیاتنان	build
باڵەخانە	building
قەبە	bulk
گا	bull
هەڕەشەکردن	bully
خۆپێداکێشان	bump
چەپک	bunch
چەپک	bundle
بار	burden
ناشتی	buried
سووتان	burn
تەقین	burst
ناشتن	bury
پاس	bus
دارستان	bush
بزنس	business
پەیکەر	bust
سەرقاڵ	busy
بەڵام	but
پەنیر	butter
پەپولە	butterfly
دوگمە	button
کڕین	buy
تا	by
خواحافایز	bye
کەلەرم	cabbage
کابنە	cabinet
قەفەس	cage
کێک	cake
گۆلک	calf
پەیوەندی	call
ناوبراو	called
ئارام	calm
هات	came
هەڵمەت	campaign
دەتوانێت	can
ڕەتکردنەوە	Cancel
شێرپەنجە	cancer
ناتوانێت	can't
توانا	capacity
پایتەخت	capital
ژێرنووس	caption
گرتن	capture
ئۆتۆمبێل	car
پیشە	career
وریا	careful
بەووردی	carefully
کەمتەرخەم	careless
دارتاش	carpenter
ڕایەخ	carpet
گێزەر	carrot
هەڵگرتن	carry
ئەنجامدان	carry out
کەیس	case
تیم	cast
قەڵا	castle
باو	casual
پشیلە	cat
گرتن	catch
جۆر	category
گرتی	caught
هۆکار	cause
هۆشیاری	caution
هۆشیار	cautious
ئەشکەوت	cave
گرتن	cease
بنمیچ	ceiling
خانە	cell
ناوەند	center
سەدە	century
دانەوێڵە	cereal
ئاهەنگ	ceremony
دڵنیا	certain
بڕوانامە	certificate
زنجیرە	chain
کورسی	chair
ئاستەنگی	challenge
دەرفەت	chance
گوڕین	change
کاراکتەر	character
تایبەتمەندیەکان	characteristics
بارگاوی	charge
خێرخوازی	charity
هێڵکاری	chart
ڕاوکردن	chase
چات	chat
هەرزان	cheap
فێڵ	cheat
فێڵکردن	cheating
پشکنین	check
ڕوومەت	cheek
خۆشی	cheer
خۆش	cheerful
بەخۆشی	cheers
پەنیر	cheese
کیمیا	chemistry
ڕێزلێگرتن	cherish
شەترەنج	chess
سنگ	chest
جوین	chew
مریشک	chicken
سەرۆک	chief
منداڵ	child
منداڵی	childhood
منداڵان	children
سارد	chill
دووکەڵکێش	chimneys
چەنەگە	chin
شوکولاتە	chocolate
بژاردە	choice
هەڵبژاردن	choose
بڕی	chop
کۆرس	chores
کەنیسە	church
قەنەفر	cinnamon
بازنە	circle
بارودۆخەکان	circumstances
هاوڵاتی	citizen
شار	city
داواکردن	claim
ڕوونکردنەوە	clarify
پۆل	class
قوڕ	clay
پاک	clean
ڕوون	clear
نووسەر	clerk
زیرەک	clever
کلایەنت	client
لاپاڵ	cliff
ئاوهەوا	climate
سەرکەوتن	climb
پێوەنووساو	clingy
کاتژمێر	clock
داخستن	close
کانتۆر	closet
کوتاڵ	cloth
جلوبەرگ	clothes
هەور	cloud
هەوراوی	cloudy
قۆشمەچی	clown
بەڵگە	clue
نامۆ	clumsy
هێشوو	cluster
عارەبانە	coach
خەڵوز	coal
کەناردەریا	coast
چاکەت	coat
قاوە	coffee
مەعریفی	cognitive
ڕێکەوت	coincidence
سارد	cold
یاخە	collar
هاوکار	colleague
هاوپیشەکان	colleagues
کۆکردنەوە	collect
کۆکردنەوە	collection
کۆلێژ	college
ڕەنگ	color
ڕەنگ	colour
ستوون	column
شانە	comb
ئاوێتەکردن	combination
ئاوێتەکردن	combine
هاتن	come
وەرە	come on
ئاسوودەیی	comfort
ئاسوودە	comfortable
هاتوو	coming
فەرمان	command
سەرنج	comment
بازرگانی	commercial
کۆمسیۆن	commission
کەلوپەل	commodity
باو	common
پەیوەندیکردن	communication
کۆمەڵگە	community
هاتوچۆ	commute
هاوڕێ	companion
کۆمپانیا	company
بەراورد	compare
بەراوردکردن	comparison
سۆز	compassion
هاوسۆز	compassionate
گونجاو	compatible
تەواو	compete
لێهاتوو	competent
پێشبڕکێ	competition
پێشبڕکێکارانە	competitive
سکاڵا	complain
سکاڵا	complaint
تەواوکەر	complement
تەواو	complete
بەتەواوی	completely
ئاڵۆز	complex
ئاڵۆز	complicated
پیاهەڵدان	compliment
داڕشتن	composition
ئاوێتە	compound
تێگەیشتن	comprehension
گشتگیر	comprehensive
سازشکردن	compromise
کۆمپیوتەر	computer
جەختکردن	concentrate
چەمک	concept
نیگەرانی	concern
نیگەران	concerned
کۆنسێرت	concert
ئەنجام	conclusion
بەرجەستە	concrete
بارودۆخ	condition
بارودۆخەکان	conditions
ئەنجامدان	conduct
کۆنفرانس	conference
متمانە	confidence
دڵنیاکردنەوە	confirm
ناکۆکی	conflict
شێواو	confused
شێوان	confusion
پیرۆزە	congrats
پیرۆزە	congratulation
پیرۆزە	congratulations
لێکدەر	conjunction
گرێدان	connect
داگیرکردن	conquer
بەهۆش	conscious
هۆشیاری	consciousness
ڕەزامەندی	consent
دەرەنجامەکان	consequences
پاراستن	conservation
پارێزکار	conservative
ڕەچاوکردن	consider
ڕەچاوکراو	considered
هاوڕێکی	consistency
هاوڕێک	consistent
جێگیر	constant
بەردەوام	constantly
قەبزی	constipation
بنیاتنان	construction
بەکارهێنان	consume
بەکارهێنان	consumption
پەیوەندی	contact
پەتا	contagious
لەخۆگرتن	contain
هاوچەرخ	contemporary
ناوەڕۆک	content
پێشبڕکێ	contest
سیاق	context
کیشوەر	continent
گرێبەست	contract
پێچەوانە	contrast
بەشداریکردن	contribute
کۆنترۆڵ	control
مشتومڕدار	controversial
ئاسوودەیی	convenience
گونجاو	convenient
گفتوگۆ	conversation
گۆڕین	convert
کاروان	convey
ڕازیکردن	convince
باش	cool
هاوکاری	cooperation
گونجان	cope
مس	copper
کڕۆک	core
گەنمەشامی	corn
گۆشە	corner
ڕاست	correct
تێچوو	cost
جلوبەرگ	costume
کوخ	cottage
لۆکە	cotton
قەنەفە	couch
کۆکە	cough
توانا	could
ئەنجومەن	council
گێرانەوە	count
بەرامبەر	counter
وڵات	country
دووانە	couple
بوێری	courage
کۆرس	course
دادگا	court
ئامۆزا	cousin
ڕووپۆش	cover
مانگا	cow
ترسنۆک	coward
ئاسوودە	cozy
قرژاڵ	crab
درز	crack
پیشە	craft
گەمژەیی	crap
پێکدادان	crash
ئارەزوو	craving
گاگۆڵە	crawl
شێت	crazy
دروستکردن	create
داهێنانکار	creative
کرێدیت	credit
نامۆ	creep
نامۆ	creepy
دەستە	crew
تاوان	crime
ملکەچی	cringe
قەیران	crisis
پێوەر	criteria
گرنگ	critical
ڕەخنە	criticism
قرتاندن	crop
بەروبووم	crops
سەرانسەر	cross
قەل	crow
گروپ	crowd
قەرەباڵغ	crowded
تاج	crown
گرنگ	crucial
دڵڕەق	cruel
تێکشکان	crush
گریان	cry
خیار	cucumber
باوەشگرتن	cuddle
کەلتور	culture
فێڵباز	cunning
کوپ	cup
کانتۆر	cupboard
دامرکاندن	curb
زانینخوازی	curiosity
پەرۆش	curious
لوول	curly
دراو	currency
هەنووکە	current
نەفرەت	curse
پەردە	curtain
کوشین	cushion
باو	custom
کڕیار	customer
نەریتەکان	customs
بڕین	cut
قشت	cute
سووڕ	cycle
پایسکلسواری	cycling
باوک	dad
باوکە	daddy
ڕۆژانە	daily
بەنداو	dam
تێکشکان	damage
نەفرەت	damn
گێل	damp
سەما	dance
مەترسی	danger
مەترسیدار	dangerous
تاریک	dark
خۆشەویست	darling
داتا	data
ڕێکەوت	date
کچ	daughter
ڕۆژ	day
مردوو	dead
کەڕ	deaf
مامەڵە	deal
بەڕێز	dear
بەڕزان	Dear All
دایک	Dear Parents
بەڕێز	Dear Sir
مەرگ	death
دیبەیت	debate
قەرز	debit
پاشماوە	debris
قەرز	debt
دەیە	decade
هەڵخەڵەتاندن	deceive
شایستە	decent
بڕیاردان	decide
بڕیاریدا	decided
بڕیار	decision
ڕەتکردنەوە	decline
تەرخانکراو	dedicated
تەرخانکردن	dedication
کردار	deed
قووڵ	deep
مامز	deer
بنەڕەتی	default
شکست	defeat
پێناسەکردن	define
بێگومان	definitely
پێناسە	definition
پلە	degree
دواخستن	delay
دواخراو	delayed
سڕینەوە	delete
وورد	delicate
بەتام	delicious
دڵشاد	delight
خۆشحاڵ	delighted
گەیاندن	deliver
گەیاندی	delivered
گەیاندن	delivery
داواکردن	demand
داواکراو	demanding
دیموکراتیەت	democracy
نەگریس	demon
نمایشکردن	demonstrate
چڕی	density
بەش	department
جێهێشتن	departure
پەست	depressed
خەمۆکی	depression
قووڵی	depth
وەسفکردن	describe
وەسف	description
بیابان	desert
شایستە	deserve
ديزاين	design
ڕاسپاردن	designation
ویستن	desire
مێز	desk
سەرەڕای	despite
شیرینی	dessert
جێمەبەست	destination
جێمەبەست	destiny
تێکشکاندن	destroy
تێکدان	destruction
ووردەکاری	detail
ووردەکاریەکان	details
دیاریکراو	determined
حەپەساو	devastated
پەرەپێدان	develop
پەرەپێدراو	developed
پەرەپێدان	development
ئامێر	device
ئەهریمەن	devil
تەرخان	devoted
دیڤیهی	Dhivehi
شەکرە	diabetes
سکچوون	diarrhea
بیرەوەری	diary
فەرهەنگ	dictionary
مردن	die
مرد	died
جیاوازی	difference
جیاواز	different
سەخت	difficult
هەڵگەندن	dig
شکۆ	dignity
تێکۆشەر	diligent
ڕاستەوخۆ	direct
ئاڕاستە	direction
بەڕێوەبەر	director
پیسی	dirt
پیس	dirty
بێهیوا	disappointed
کارەسات	disaster
ڕەتکردنەوە	discard
بەخشین	discharge
بنەما	discipline
داشکان	discount
دۆزینەوە	discover
جیاکاری	discrimination
گفتوگۆکردن	discuss
گفتوگۆ	discussion
نەخۆشی	disease
نەخۆشیەکان	diseases
خۆگۆڕین	disguise
قێزەون	disgusting
قاپ	dish
قاپ	dishes
ناردن	dispatch
نیشاندان	display
فڕێدان	disposal
ناکۆکی	dispute
دووری	distance
جیا	distinct
جیاکردنەوە	distinguish
تەنگانە	distress
دابەشکردن	distribution
قەزا	district
بێزارکردن	disturb
چاڵ	ditch
هەمەجۆر	diverse
هەمەڕەنگی	diversity
دابەشکردن	divide
ئیلاهی	divine
جیابوونەوە	divorce
گێژ	dizzy
کردن	do
پزیشک	doctor
بەڵگەنامە	document
نەخێر	doesn't
سەگ	dog
دۆگری	Dogri
ئەنجامدان	doing
بووکەڵە	doll
دۆمەین	domain
ناوخۆیی	domestic
باو	dominant
بەخشین	donate
تەواو	done
کەر	donkey
نەخێر	don't
گومان	doubt
هەویر	dough
خوارەوە	down
دابەزاندن	download
ڕەشنووس	draft
ڕاکێشان	drag
ئاوەڕۆ	drain
دراما	drama
وێنەکێشان	draw
چەکمەجە	drawer
ناخۆش	dread
خەون	dream
جل	dress
ڕاهێنان	drill
خواردنەوە	drink
لێخوڕین	drive
کەوتن	drop
کەوت	dropped
خواردیەوە	drunk
ووشک	dry
مراوی	duck
پیاو	dude
بەهۆی	due
بەهۆی	due to
تاریک	dull
گێل	dumb
گێل	dump
ماوە	duration
لەماوەی	during
تۆز	dust
ئەرک	duty
بۆیەکردن	dying
هەر	each
یەکتر	each other
پەرۆش	eager
باز	eagle
گوێ	ear
زووتر	earlier
زوو	early
گوێکان	ears
زەوی	earth
سانا	ease
خۆرهەڵات	east
ئاسان	easy
خواردن	eat
خواردن	eating
ئابوری	economic
ئابوری	economy
لێوار	edge
بژارکردن	edit
خوێندن	education
کاریگەری	effect
کاریگەر	effective
چوستی	efficiency
توانست	efficient
هەوڵ	effort
هێلکە	egg
باینجان	eggplant
خۆپەسەند	ego
هەشت	eight
هەژدە	eighteen
هەشتا	eighty
هەریەک	either
ڕوونکردنەوە	elaborate
ئەنیشک	elbow
بەتەمەنتر	elderly
شەنگ	elegant
پێکهاتە	element
فیل	elephant
یازدە	eleven
شایستە	eligible
بنبڕکردن	eliminate
شەرمەزار	embarrassed
شەرمەزارکەر	embarrassing
لەخۆگرتن	embrace
دەرکەوتن	emerge
فریاکەوتن	emergency
سۆزداری	emotional
هاوسۆزی	empathy
جەختکردن	emphasis
جەختکردن	emphasize
کارمەند	employee
کارمەندان	employees
خاوەنکار	employer
کار	employment
بەتاڵ	empty
هاندان	encourage
کۆتایی	end
دووژمن	enemy
ووزە	energy
بەشدار	engaged
بزوێنەر	engine
ئەندازیار	engineer
ئینگلیزی	English
باشترکردن	enhance
چێژوەرگرتن	enjoy
مەزن	enormous
بەس	enough
دڵنیاکردن	ensure
دڵخۆشکردن	entertainment
پەرۆشی	enthusiasm
پەرۆش	enthusiastic
کۆی	entire
شایستە	entitled
قەوارە	entity
دەرگا	entrance
پێشەنگکار	entrepreneur
زەرف	envelope
ژینگە	environment
حەسوود	envy
ئەفسانەیی	epic
پەتایی	epidemic
یەکسان	equal
کەرەستە	equipment
یەکسانی	equity
سڕەرەوە	eraser
هەڵە	error
ڕاکردن	escape
ووتار	essay
کڕۆک	essence
گرنگ	essential
دامەزراندن	establish
دامەزراو	established
خانوبەرە	estate
مەزەندەکردن	estimate
خەمڵێنراو	estimated
هتد	etc
نەمر	eternal
ئێتیک	ethics
هەڵسەنگاندن	evaluate
هەڵسەنگاندن	evaluation
تەنانەت	even
ئێوارە	evening
پێشهات	event
گەرچی	even though
قەت	ever
هەموو	every
بەڵگە	evidence
شەڕانگێز	evil
پەرەسەندن	evolution
ئێوی	Ewe
پێشووتر	ex
تەواو	exact
تاقیکردنەوە	exam
تاقیکردنەوە	examine
نموونە	example
تێپەڕین	exceed
نایاب	excellent
بەدەرکردن	exception
لەڕادەبەدەر	excessive
ئالوگوڕ	exchange
خۆشحاڵ	excited
خۆشی	excitement
تایبەت	exclusive
بەهانە	excuse
ببوورە	excuse me
جێبەجێکردن	execute
جێبەجێکردن	execution
جێبەجێکار	executive
مەشق	exercise
ماندوو	exhaust
ماندوو	exhausted
نمایشکردن	exhibit
نمایش	exhibition
بوون	exist
بوون	existence
هەبوو	existing
دەرچوون	exit
فراوانکردن	expand
پێشبینی	expect
پێشبینیکراو	expected
خەرجیەکان	expenses
ئەزموون	experience
تاقیکردنەوە	experiment
شارەزا	expert
بەسەرچوو	expired
ڕوونکردنەوە	explain
ڕوونکردنەوە	explanation
چەوسانەوە	exploit
گەڕان	explore
هەناردە	export
بەرکەوتن	expose
بەرکەوت	exposed
بەرکەوتن	exposure
دەربڕین	express
دەربڕین	expression
درێژکردنەوە	extend
درێژکراوە	extended
درێژکردنەوە	extension
ماوە	extent
دەرەکی	external
جیا	extinct
زیادە	extra
دەرهاوێشتە	extract
تووند	extreme
چاو	eye
چاوەکان	eyes
ڕیشاڵ	fabric
ناوازە	fabulous
دەموچاو	face
ئاسانکردن	facilitate
دامەزراوەکان	facilities
دامەزراوە	facility
ڕاستی	fact
هۆکار	factor
کارگە	factory
ڕاستیەکان	facts
کزبوون	fade
شکست	fail
شکست	failure
پووکانەوە	faint
دادپەروەرانە	fair
دادپەروەرانە	fairly
پەری	fairy
باوەڕ	faith
وەفادار	faithful
ساختە	fake
کەوتن	fall
هەڵە	false
چوارچێوە	fame
ئاشنا	familiar
خێزان	family
برسیەتی	famine
بەناوبانگ	famous
هەوادار	fan
ناوازە	fancy
ناوازە	fantastic
دوور	far
خواحافیزی	farewell
کێڵگە	farm
جووتیار	farmer
جلوبەرگ	fashion
خێرا	fast
قەڵەو	fat
کوشندە	fatal
چارەنووس	fate
باوک	father
شەکەتی	fatigue
هەڵە	fault
خوازراو	favorite
خواست	favour
خوازراو	favourite
ترس	fear
جەژن	feast
پەڕ	feather
تایبەتمەندی	feature
تایبتمەندیەکان	features
شوبات	february
بێزار	fed up
کرێ	fee
فیدباک	feedback
هەست	feel
هەست	feeling
پێ	feet
کەوت	fell
هاوتا	fellow
مێینە	female
پەرژین	fence
بەپیت	fertile
فیستیڤاڵ	festival
هێنان	fetch
تا	fever
کەم	few
کەمتر	fewer
دەسگیران	fiance
مەیدان	field
تووند	fierce
پازدە	fifteen
پەنجا	fifty
جەنگ	fight
جەنگان	fighting
شێوە	figure
زانین	figure out
فایل	file
پڕکردنەوە	fill
فلیم	film
پیس	filthy
لەکۆتاییدا	finally
دارایی	finance
دارایی	financial
دۆزینەوە	find
زانین	find out
باش	fine
پەنجە	finger
کۆتایی	finish
ئاگر	fire
تووند	firm
یەکەم	first
ماسی	fish
گونجان	fit
پێنج	five
چاکردن	fix
جێگیر	fixed
ئاڵا	flag
فلاش	flash
شوقە	flat
گوزەر	flaw
سانا	flawless
فڕی	flew
فلێکس	flex
گونجاو	flexible
وەرگەڕاندن	flip
یەکەم	flirt
ڕابواردن	flirting
لافاو	flood
نهۆم	floor
ئارد	flour
گوزەر	flow
گوڵ	flower
ئەنفلوەنزا	flu
پاراو	fluent
تووکن	fluffy
شلە	fluid
فڕین	fly
جەخت	focus
تەم	fog
تەماوی	foggy
نووشتانەوە	fold
گەل	folks
بەدواداچوون	follow
دواتر	following
بەدواداچوون	follow up
خواردن	food
گەمژە	fool
گەمژە	foolish
پێ	foot
بۆ	for
قەدەغە	forbidden
هێز	force
نێوچەوان	forehead
بیانی	foreign
دارستان	forest
لەبیرکردن	forget
چەنگاڵ	fork
فۆرم	form
فەرمی	formal
پێشووتر	former
خۆشبەختانە	fortunately
سامان	fortune
چل	forty
بەخێوکردن	foster
جەنگا	fought
دۆزیەوە	found
دامەزراوە	foundation
چوار	four
چواردە	fourteen
ڕێوی	fox
شلۆق	fragile
چوارچێوە	frame
چوارچێوە	framework
ساختە	fraud
نامۆ	freak
ئازاد	free
ئازادی	freedom
بەستن	freeze
چەندبارە	frequent
بەردەوام	frequently
تازە	fresh
هەینی	friday
سەلاجە	fridge
برادەر	friend
دۆستانە	friendly
برادەر	friends
هاوڕێیەتی	friendship
ترساو	frightened
ترسان	frightening
بۆق	frog
لە	from
پێشەوە	front
بەستوو	frozen
میوە	fruit
بێزار	frustrated
سووتەمەنی	fuel
فولفولد	Fulfulde
پڕ	full
خۆش	fun
کردار	function
بنەڕەتی	fundamental
تازیە	funeral
گاڵتەئامێز	funny
موو	fur
تووڕە	furious
زیاتر	further
زیاتر	furthermore
ئایندە	future
یاری	game
کەلێن	gap
گەراج	garage
خاشاک	garbage
باخچە	garden
سیر	garlic
دەروازە	gate
کۆکردنەوە	gather
کۆبوونەوە	gathering
گێچ	gauge
پێیدا	gave
گێڕ	gear
ڕەگەز	gender
گشتی	general
بەگشتی	generally
نەوە	generation
سەخی	generous
بلیمەت	genius
ژانرا	genre
هێواش	gentle
ڕەسەن	genuine
ئاماژە	gesture
وەرگرتن	get
وەرگرتن	getting
هەستان	get up
تارمایی	ghost
سێبەر	ghosting
زەبەلاح	giant
دیاری	gift
زەنجەفیل	ginger
کچ	girl
پێدان	give
دراو	given
وازهێنان	give up
خۆشحاڵ	glad
چاوتروکان	glance
شووشە	glass
چاوێلکە	glasses
سەرنجدان	glimpse
جیهانی	global
پەست	gloomy
دەستەوانە	gloves
درەوشانەوە	glow
درەوشانەوە	glow up
سیکۆتین	glue
بڕۆ	go
ئامانج	goal
ئامانجەکان	goals
بزن	goat
بڕۆ	go away
خواوەند	god
دەچێت	goes
چوون	going
زێڕ	gold
ڕۆیشت	gone
لینج	goo
باش	good
ماڵئاوا	good bye
ماڵئاوا	goodbye
ئافەرین	good job
کەلوپەلەکان	goods
گوگڵ	Google
قاز	goose
قەشەنگ	gorgeous
قسەوقسەڵۆک	gossip
وەرگرتن	got
تێگەیشتم	got it
حکومەت	government
ڕاکێشان	grab
پلە	grade
دەرچوو	graduate
گەنم	grain
بەخشین	grant
بەخشراو	granted
ترێ	grapes
گرتن	grasp
گیا	grass
سوپاسگوزار	grateful
سوپاسگوزاری	gratitude
گۆڕ	grave
خۆڵەمێشی	gray
مەزن	great
چاوچنۆک	greed
چاوچنۆک	greedy
سەوز	green
سڵاو	greet
سڵاو	greeting
سڵاو	greetings
خۆڵەمێشی	grey
تۆڕ	grid
خەم	grief
تێکشکاندن	grind
گرتن	grip
سەوزەفرۆش	grocery
زاوا	groom
کۆ	gross
زەمینە	ground
گروپ	group
گەشەکردن	grow
گەشە	growth
گازاندەکەر	grumpy
گوارانی	Guarani
گەرەنتی	guarantee
پاسەوان	guard
مەزەندەکردن	guess
میوان	guest
ڕێنوێنی	guidance
ڕێنوێنی	guide
تاوانبار	guilty
هاوڕێ	guy
هاوڕێیان	guys
جیم	gym
خوو	habit
نشینگە	habitat
تەرزە	hail
قژ	hair
نیو	half
هۆڵ	hall
