abandoned	ފަޅު
anxious	ހާސްވުން
anymore	ދެން އިތުރަށް
anyone	އެއްވެސް މީހަކު
anything	ކޮންމެ އެއްޗެއްވެސް
anyways	ކޮންމެގޮތެއްވިޔަސް
anyway	ކޮންމެ ގޮތެއްވިޔަސް
any	ކޮންމެ
apartment	އެޕާޓްމަންޓް
apart	ވަކިން
apologize	މަޢާފަށް އެދުން
apparently	ފެންނަގޮތުގައި
apparent	ފާޅުވުން
appeal	އިސްތިއުނާފު
appearance	މަލަމަތި
appeared	ފާޅުވުން
appear	ފާޅުވުން
appetite	އެޕަޓައިޓް
apple	އާފަލު
application	އެޕްލިކޭޝަން
apply	އެޕްލައި
appointment	އެޕޮއިންޓްމަންޓް
appreciate	އަގުވަޒަންކުރުން
appreciation	އަގުވަޒަންކުރުން
approach	ކުރިމަތިލުން
appropriate	މުނާސިބު
approval	ރުހުން
approved	ހުއްދަލިބިފައިވުން
approve	ރުހުން
approximately	ގިނަވެގެން
april	އޭޕްރީލް
arbitrary	އާބިޓްރަރީ
architecture	އާކިޓެކްޗަރ
architect	އާކިޓެކްޓް
archive	އާކައިވް
area	ސަރަޙައްދު
are you busy	ތިބާ މިވަގުތު ބިޒީތަ
are you married or single	މީހަކާ އިނދެގެންތަ ނުވަތަ ހުސްކޮށްތަ
are you married	ތިބާ ކައިވެނިކޮށްފަތަ
Are you still there?	ތިބާ އަދިވެސް އެތާގަތޯ
are you there	ތިބާ އެބަހުރިންތަ
are you	ތިބާ އަކީ
are	އަކީ
argue	ދެކޮޅުހެދުން
argument	ޝަކުވާ
arise	ތެދުވުން
army	ލަޝްކަރު
arm	އަތް
around	ވަށައިގެން
arrangement	ރޭވިފައިވާގޮތް
arrange	ތަރުތީބުކުރުން
arrival	އައުން
arrived	އައިސްސި
arrive	އައުން
arrogant	ކިބުރުވެރި
arrow	ތީރު
article	ލިޔުން
artificial	މަސްނޫޢީ
artist	އާޓިސްޓް
art	ޢާޓް
ashamed	ލަދުގަނެފައި
ash	އަޅި
asked	އެހި
ask	އެހުން
asleep	ނިދާފަ
as long as	އެހެންވާ ހިނދަކު
aspect	އެސްޕެކްޓް
Assamese	އައްސަމީޒް
assault	ހަމަލާދިނުން
assembly	އެސެމްބްލީ
assertive	އަމިއްލައަށް އިސްނަގާ
assessment	އެސެސްމަންޓް
assess	ވަޒަންކުރުން
assets	މުދާތައް
asset	މުދާ
assignment	އެސައިންމަންޓް
assign	އެސައިން
assistant	އެސިސްޓަންޓް
assist	އެހީވުން
associated	ގުޅުންހުރި
associate	އެސޮސިއޭޓް
association	އެސޮސިއޭޝަން
assume	ހީކުރުން
assumption	ހީކުރުން
as well as	އެޔާއެކު
as well	ވެސް
as	އެހެންކަމުން
ate	ކައިފިން
athlete	އެތްލީޓް
at least	މަދުވެގެން
attached	އެކުލެވިފައި
attachment	އެކުލެވުން
attach	އެކުލެވުން
attack	ހަމަލާ ދިނުން
attempt	މަސައްކަތް
attendance	ހާޒިރީ
attend	ޙާޒިރުވުން
attention	ސަމާލުކަން
attitude	ޝަޚުސިއްޔަތު
attraction	ގަޔާވުން
attractive	ހިތްކިޔުން
attract	ގަޔާވާ
attribute	އެޓްރިބިއުޓް
audience	އޯޑިއަންސް
august	އޯގަސްޓު
aunty	ބޮޑުދައިތަ
aunt	ބޮޑު ދައިތަ
authentic	އަސްލު
authority	ބާރުވެރި
author	ލިޔުންތެރިޔާ
autumn	ޚަރީފު މޫސުން
available	ލިބެން އެބަހުރި
average	މެދުމިން
avoid	ދުރުކުރުން
awake	ހޭލުން
award	އެވަރޑް
awareness	ހޭލުންތެރިކަން
aware	ހޭލުންތެރި
away	ދުރަށް
awesome	ވަރަށް ކަމުދާ
awful	ކަމުނުދާ
awkward	ހިތް ނުތަނަވަސް
Aymara	އައިމާރަ
baby	ކުޑަކުއްޖާ
bachelor	ބެޗްލަރ
background	ފަހަތް
back	ފަހަތް
bad	ގޯސް
bag	ދަބަސް
bait	އެން
bakery	ބޭކަރީ
bake	ފިހުން
baking soda	ބޭކިންސޮޑާ
balance	ބެލެންސް
ball	ބޯޅަ
Bambara	ބަމްބާރަ
banana	ދޮންކެޔޮ
band	ބޭންޑް
bang	ގޮވުން
bank	ބޭންކް
barely	ކިރިޔާ
bargain	ބާގެއިން
bark	ކުއްތާގެ ގޮވުން
barley	ބާރުލީ
barrier	ބެރިއަރ
bar	ބާރ
based	ބިނާވެފައި
basement	ބޭސްމަންޓް
base	ބޭސް
basically	އަސްލު ބުންންޏާ
basic	އާދައިގެ
basil	ބެޒިލް
bastard	ބާސްޓަރޑް
batch	ބެޗް
bathroom	ފާޚާނާ
bath	ފެންވެރުން
battery	ބެޓަރީ
battle	ހަނގުރާމަ
bay	ބޭ
beach	އަތިރިމަތި
beam	އަލި
beans	ތޮޅި
beard	ތުބުޅި
bearing	ބެއަރިންގ
bear	ސާރިދޯޅު
beast	ޖަނަވާރު
beat	ތެޅުން
beautiful	ރީތި
beauty	ރީތިކަން
became	ވުން
be careful	ބަލައިގެން އުޅޭތި
because	ސަބަބަކީ
become	ވުން
bedroom	ނިދާކޮޓަރި
bed	އެނދު
beef	ގެރިމަސް
beer	ބިއަރު
bee	ކުޅަނދުރު
before	ކުރިން
began	ފެށުނީ
beginning	ފެށުން
begin	ފެށުން
behalf	ފަރާތުން
behave	ރަނގަޅަށް އުޅުން
behavior	އުޅުން
behaviour	އުޅުން
behind	ފަހަތުގައި
being	ވުން
belief	ވިސްނުން
believe	ޤަބޫލުކުރުން
belly	ބަނޑު
belong	ނިސްބަތްވުން
beloved	ލޯބިވާ
below	ތިރީގައި
belt	ބެލްޓު
bench	ހޮޅުއަށި
bend	ގުދުވުން
beneath	ދަށުގައި
benefits	ފައިދާތައް
benefit	ފައިދާ
besides	އެހެންނޫނަސް
beside	އެހެންނޫނަސް
best of luck	ކާމިޔާބަށް އެދެން
best regards	ވަރަށް ސަލާމް
best	އެންމެ ރަނގަޅު
better	ރަނގަޅު
between	ދެމެދު
beverage	ބުއިން
beyond	މީހެއްގެ ނުވަތަ  އެއްޗެއްގެ ބާރުގެ ދަށުގައި ނުވުން
be	ވުން
Bhojpuri	ބޮޖްޕޫރީ
biased	ވަކިކޮޅަކަށް ޖެހިފައި
bias	ބަޔަސް
bicycle	ބައިސްކަލް
bid	ބިޑް
big	ބޮޑު
bike	ބައިސްކަލު
bill	ބިލް
bind	އެއްކޮށް ހިފެހެއްޓިފައިވުން
bird	ދޫނި
birthday	އުފަންދުވަސް
bite	ދަތްއެޅުން
bitter	ހިތި
bit	އެތިކޮޅެއް
black	ކަޅު
blade	ތިލަ
blame	ކުށްވެރިކުރުން
blanket	ރަޖާގަނޑު
blank	ހުސް
blast	ގޮއްވާލުން
bleach	ބްލީޗް
blend	އެއްކޮށްލުން
blessed	ބަރަކާތްތެރި
bless	ނިޢުމަތްދެއްވުން
blind	ލޯ އަނދިރި
bliss	ބްލިސް
block	ބްލޮކް
blood	ލޭ
bloom	ފޮޅުން
blow	ފުމުން
blue	ނޫ
blunt	ފޮރުވުމެއްނެތި
board	ބޯޑު
boat	ބޯޓު
body	ހަށިގަނޑު
boil	ފެނު ކެއްކުން
bold	ބޯލްޑް
bond	ގުޅުން
bone	ކަށި
book	ފޮތް
booster	ބޫސްޓަރ
boost	ބޫސްޓް
boots	ބޫޓުތައް
boot	ބޫޓް
border	ބޯޑަރު
bored	ފޫހިވެފައި
bore	ތޮރުފުން
boring	ފޫހި
born	އުފަންވުން
borrow	އަނބުރާ ދޭގޮތަށް ނެގުން
boss	ބޮޑުމީހާ
bother	އަޅާލުން
both	ދޭތި
bottle	ފުޅި
bottom	ތިރި
bought	ގަނެފި
bounce	ބައުންސް
boundaries	ބައުންޑަރީތައް
bound	ބައުންޑް
bowl	ބޯތަށި
bow	ރިބަންޓައި
box	ފޮށި
boyfriend	ބޯއިފުރެންޑު
boy	ފިރިހެން ކުއްޖާ
bracelet	އުޅާ
brain	ސިކުނޑި
branch	ބްރާންޗް
brand	ބްރޭންޑް
brave	ހިތްވަރުގަދަ
breach	ޚިލާފުވުން
bread	ޕާން
breakfast	ހެނދުނުގެ ނާސްތާ
break	ހަލާކުވުން
breast	އުރަމަތި
breathe	ނޭވާލުން
breath	ނޭވާ
breed	ދަރިފަސްކޮޅު
brick	ބްރިކް
bride	ބްރައިޑް
bridge	ފާލަން
brief	ވަރަށް  ކުޑަ
bright	އަލިގަދަ
brilliant	ވަރަށް ރަނގަޅު
bring	ގެނައުން
broadcast	ބްރޯޑްކާސްޓް
broad	ފުޅާ
broken	ހަލާކުވެފައި
broke	ހަލާކުވެފައި
broom	ފިހިގަނޑު
brother in law	ޅިޔަނު
brother	ބޭބެ
brought	ގެނައުން
brown	މުށި
bro	އެކުވެރިޔާ
brush	ބްރަޝް
bucket	ބާލިދީ
buddy	ރަޙްމަތްތެރިޔާ
budget	ބަޖެޓް
bug	ސޫފި
building	ބިނާ
build	ބިނާކުރުން
built	ބިނާކޮށްފައި
bulk	ބައިވަރު
bully	ހަނގާކުރުން
bull	ގެރި
bump	އުސްތަން
bunch	ބައިގަނޑު
bundle	ބައިވަރު
burden	ބުރައެއް
buried	ވަޅުލުން
burn	އެނދުން
burst	ފަޅައިގެންދިއުން
bury	ވަޅުލުން
bush	ވިނަގަނޑު
business	ވިޔަފާރި
bust	ބަސްޓް
busy	ބުރަ
bus	ބަސް
butterfly	ކޮކާ
butter	ބަޓަރު
button	ގޮށް
but	އެކަމަކު
buy	ގަތުން
bye	ދަނީ
by the way	އަދި އިނގޭތަ
cabbage	ކެބެޖް
cabinet	ކެބިނެޓު
cage	ކޮށި
cake	ކޭކު
calf	ޅަ ގެރި
called	ކިޔަނީ
call me	ގުޅާލަބަލަ
call	ގުޅުން
calm	މަޑުމައިތިރި
came	އައުން
campaign	ކެމްޕޭނު
Cancel	ކެންސަލް
cancer	ކެންސަރު
can't	ނުވާނެ
can	ވާނެ
capable	ކުޅަދާނަކަން
capacity	ޤާބިލުކަން
capital	ރައުސުލްމާލު
caption	ކެޕްޝަން
capture	ކެޕްޗަރ
career	ވަޒީފާ
carefully	ފަރުވަތެރިކަމާއެކު
careful	ބަލައިގެން
careless	ފަރުވާކުޑަވުން
caring	އަޅާލާ
carpenter	ވަޑި
carpet	ކާޕެޓް
carrot	ކެރެޓް
carry on	ކުރިއަށް ގެންދޭ
carry out	ކުރިޔަށް ގެންދިއުން
carry	އުފުލުން
car	ކާރު
case	ކޭސް
cash	ނަގުދު ފައިސާ
castle	ބިނާ
cast	ކާސްޓް
casual	އާދައިގެ
catch	ހިފުން
category	ކެޓަގަރީ
cattle	ނަޢަމް ސޫފާސޫފި
cat	ބުޅާ
caught	ހިފުން
cause	ސަބަބު
caution	ސަމާލު
cautious	ސަމާލުވުން
cave	ހޮހަޅަ
cease	ހުއްޓާލުން
ceiling	ސީލިންގް
celebrate	ފާހަގަކުރުން
cell	ސެލް
center	މެދު
century	ޤަރުނު
cereal	ސީރިއަލް
ceremony	ޙަފްލާ
certainly	ޔަޤީނުންވެސް
certain	ޔަޤީން
certificate	ސެޓްފިކެޓް
chain	ޗެއިން
chair	ގޮނޑި
challenge	ޗެލެންޖް
chance	ފުރުޞަތު
change	ބަދަލު
chaos	ހާލަތުގޯސްވެފައިވުން
characteristics	ސިފަތައް
character	ޝަޚުސިއްޔަތު
charge	ޗާޖް
charity	ޞަދަޤާތް
charming	ހިތްގައިމު
chart	ޗާޓު
chase	ފަހަތުން ދުވުން
chat	ވާހަކަދެއްކުން
cheap	އަގު ހެޔޮ
cheating	މަކަރުހެދުން
cheat	މަކަރުހެދުން
check	ޗެކް
cheek	ކޯ
cheerful	އުފާވެރި
cheers	ޗިއަރސް
cheer	ހިތްވަރުދިނުން
cheese	ޗީޒް
chemistry	ކެމިސްޓްރީ
cherish	އަގުވަޒަންކުރުން
chess	ރާޒުވާ
chest	މޭ
chew	ހެފުން
chicken	ކުކުޅު
chief	ޗީފް
childhood	ކުޑައިރުގެ ދުވަސްތައް
children	ކުދިން
child	ކުޑަކުއްޖާ
chill	މިރުސް
chimneys	ދުންހޮޅި
chin	ކޯ
chocolate	ޗޮކްލެޓް
choice	ގޮތް
choose	އިޚްތިޔާރު
chop	ކޮށުން
chores	ކުރަންހުރި ކަންތައް
chubby	ޗަބީ
church	ޗަރޗް
cinnamon	ފޮނިތޮށި
circle	ބުރު
circumstances	ޙާލަތުތައް
citizen	ރައްޔިތުން
city	ޝަހަރު
claim	ދަޢުވާ
clarify	އޮޅުންފިލުވުން
class	ކްލާސް
clay	ކްލޭ
clean	ސާފުތާހިރު
clear	ސާފުކޮށް
clerk	ކްލަރކް
clever	ވިސްނުންތޫނު
client	ކްލަޔަންޓް
cliff	ކްލިފް
climate	މޫސުން
climb	އެރުން
clingy	ކްލިންޖީ
clock	ގަޑި
closet	ވައްގަނޑު
close	ލެއްޕުން
clothes	ހެދުންތައް
cloth	ފޮތި
cloudy	ބަނަ
cloud	ވިލާ
clown	ކްލައުން
clue	ކްލޫ
clumsy	ފަރުވާކުޑަ
cluster	ބައިގަނޑު
coach	ކޯޗް
coal	ކޯލް
coast	އައްސޭރިފަށް
coat	ކޯޓު
coffee	ކޮފީ
cognitive	ކޮގްނިޓިވް
coincidence	ކޮއިންސިޑެންސް
cold	ފިނި
collapse	ހޭނެތިގެން ވެއްޓުން
collar	ގިރުވާނު
colleagues	އޮފީސް ކުދިން
colleague	ކޮލީގް
collection	ނެގުން
collect	ހަވާލުވުން
college	ކޮލެޖް
colorless green ideas slept furiously	ކުލަނެތް ފެހި ހިޔާލުތައް ގަދަނިދީގައި ނިދަމުންދިޔައެވެ
color	ކުލަ
colour	ކުލަ
column	ކޮލަމް
combination	ކޮމްބިނޭޝަން
combine	ގުޅުވާލުން
comb	ފުނާ
come here	މިތަނަށްއާދޭ
come on	ހިނގާ
come	އާދޭ
comfortable	ހިތްގައިމު
comfort	ފަސޭހަ
coming soon	ކަމިންގ ސޫން
coming	އަންނަނީ
command	އިރުޝާދު
comment	ކޮމެންޓް
commercial	ވިޔަފާރި
commission	ކޮމިޝަން
commitment	ކޮމިޓްމަންޓް
committed	ކޮމިޓެޑް
commit	ކޮމިޓް
commodity	ތަކެތި
common	އާންމު
communicate	މުޢާމަލާތް ކުރުން
communication	މުއާމަލާތުކުރުން
community	މުޖުތަމަޢު
commute	ދަތުރުކުރުން
companion	އެކުވެރިޔާ
company	ކުންފުނި
compare	އަޅާކިޔުން
comparison	ފަރަޤުކުރުން
compassionate	އޯގާތެރި
compassion	އޯގާތެރިކަން
compatible	ގުޅޭ
competent	ކޮމްޕީޓެންޓް
compete	ވާދަކުރުން
competition	މުބާރާތް
competitive	ވާދަވެރި
complaint	ޝަކުވާ
complain	ޝަކުވާކުރުން
complement	ތަޢުރީފުކުރުން
completely	އެއްކޮށް
complete	ފުރިހަމަވުން
complex	އުނދަގޫ
compliance	ކޮމްޕްލަޔަންސް
complicated	އުނދަގޫ
compliment	ތަޢުރީފު
comply	ބޯލެބުން
composition	ކޮމްޕޮޒިޝަން
compound	ކޮމްޕައުންޑް
comprehension	ކޮމްޕްރިހެންޝަން
comprehensive	ކޮމްޕްރިހެންސިވް
compromise	ކޮމްޕްރޮމައިޒް
compulsory	މަޖުބޫރު
computer	ކޮމްޕިއުޓަރު
concentrate	ވިސްނުން
concept	ކޮންސެޕްޓް
concerned	ކަންބޮޑުވުން
concern	ކަންބޮޑުވުމެއް
concert	ކޮންސަރޓް
conclusion	ނިންމުން
concrete	ކޮންކްރީޓް
conditions	ޝަރުތުތައް
condition	ޙާލަތު
conduct	އަޚުލާޤު
conference	ކޮންފަރެންސް
confess	އެއްބަސްވުން
confidence	ކެރުން
confident	ކޮންފިޑެންޓް
confirm	ޔަޤީންކުރުން
conflict	ފިތުނަ
confused	އޮޅުން
confusion	ޝައްކު
congrats	މަރުޙަބާ
congratulations	މަރުޙަބާ
congratulation	މަރުހަބާ
conjunction	ކޮންޖަންކްޝަން
connect	ގުޅުވުން
conquer	ތަނެއް ހިފުން
consciousness	ހޭވެރިކަން
conscious	ހޭލުންތެރި
consent	ހުއްދަ
consequences	ނަތީޖާ
conservation	ރައްކާކުރުން
conservative	ކޮންޒަރވޭޓިވް
considered	ކަނޑައެޅުން
consider	ވިސްނުމަށް ގެނައުން
consistency	އެއްގޮތެއްގއި ދެމިހުރުން
consistent	ދެމިހުރުން
consist	ހިމެނުން
constantly	ދާއިމީގޮތުގައި
constant	އަބަދު
constipation	ބަނޑުހަރުވުން
construction	ބިނާކުރުން
consume	ބޭނުންކުރުން
consumption	ބޭނުންކުރެވޭ މިންވަރު
contact	ކޮންޓެކްޓް
contagious	ފެތުރޭ ބަލި
contains	ހިމެނެނީ
contain	އެކުލެވިގެންވުން
contemporary	ކޮންޓެމްޕޮރަރީ
contempt	ކޮންޓެމްޕްޓް
content	ކޮންޓެންޓް
contest	މުބާރާތް
context	ކޮންޓެކްސްޓް
continent	ކޮންޓިނެންޓް
continue	ކުރިއަށްގެންދިޔުން
contract	އެއްބަސްވުން
contrast	ކޮންޓްރާސްޓް
contribute	ޙިއްސާވުން
contribution	ކޮންޓްރިބިއުޝަން
control	ކޮންޓްރޯލް
controversial	ދެކޮޅަށްވެސް ވާހަކަ ދެއްކޭ
convenience	ފަސޭހަ
convenient	ފަސޭހަ
conversation	ވާހަކަ
convert	ބަދަލުވުން
convey	ފޯރުކޮށްދިނުން
convinced	ކަށަަވަރުކޮށްދިނުން
convince	ޔަޤީންކޮށްދިނުން
cooking	ކެއްކުން
cook	ކެއްކުން
cool	ފިނި
cooperation	ބައިވެރިވުން
cope	ކެތްކުރުން
copper	ކޮޕަރ
core	މައިގަނޑު
corner	ކަން
corn	ޒުވާރި
correct	ރަނގަޅު
costume	ކޮސްޓިއުމް
cost	ހަރަދު
cottage	ޖިފުޓި
cotton	ކަފަ
couch	ސޯފާ
cough	ކެއްސުން
could	ވެދާނެ
council	ކައުންސިލް
counter	ކައުންޓަރު
countryside	ރަށުތެރެ
country	ޤައުމު
count	ގުނުން
couple	ދެމަފިރިން
courage	ހިތްވަރު
courtesy	ކަރޓެސީ
court	ކޯޓް
cousin	ދެބެންގެ ދެދަރި
cover	ކަވަރ
coward	ތާކުންތާކުނުޖެހޭ މީހެއް
cow	ގެރި
cozy	ކޯޒީ
crab	ކަކުނި
crack	ރެނދު
craft	ކްރާފްޓް
crap	ބޭކާރު
crash	ބާރުމިނުގައި ޖެހުން
craving	ވަކި އެއްޗެއް ކާހިތްވުން
crawl	ކްރޯލް
crazy	މޮޔަ
create	ތައްޔާރުކުރުން
creative	އުފެއްދުންތެރި
credit	ކްރެޑިޓް
creepy	ބިރުވެރި
creep	ކްރީޕް
crew	ފަޅުވެރިން
crime	ކުށް
cringe	ބިރުގަތުން
crisis	ކްރައިސިސް
criteria	މިންގަނޑު
critical	ކްރިޓިކަލް
criticism	ފާޑުކިޔުން
crops	ގޮވާން
crop	ގޮވާން
cross	ހުރަސްކުރުން
crowded	މީހުން ގިނަވެފައި
crowd	ބައިގަނޑު
crown	ތާޖު
crow	ކާޅު
crucial	މުހިންމު
cruel	އަނިޔާވެރި
cruise	ކްރޫޒް
crush	ޗިސް
cry	ރުއިން
cucumber	ކިޔުކަންބާ
cuddle	ލޯބިކުރުން
culture	ޘަޤާފަތް
cunning	ކަންތައް ހޯދާބަލާ
cupboard	އަލަމާރި
cup	ތަށި
curb	ހިފެހެއްޓުން
cure	ފަރުވާ
curfew	ކަރފިއު
curiosity	ކަމެއް ހޯދުމަށް ހުންނަ ޝަޢުޤުވެރިކަން
curious	ޝަޢުޤުވެރި
curly	ކަރލީ
currency	ފައިސާ
currently	މިވަގުތު
current	އޮއި
curse	ކަރސް
curtain	ދޮރުފޮތި
cushion	ކުޝަން
customer	ކަސްޓަމަރ
customs	އާދަކާދަތައް
custom	ސަޤާފަތް
cute	ލޯބިވެތި
cut	ކެފުން
cycle	ސައިކަލް
cycling	ސައިކަލް ދުއްވުން
daddy	ބައްޕަ
dad	ބައްޕަ
daily	ކޮންމެ ދުވަހަކު
dairy	ކިރުގެ ބާވަތްތައް
damage	ގެއްލުން
damn	އަޅޭ
damp	ތެތް
dam	ޑޭމް
dance	ނެށުން
dangerous	ނުރައްކާތެރި
danger	ނުރައްކާ
dark	އަނދިރި
darling	ލޯބިވާ
dash	ރޮނގުބުރި
data	މަޢުލޫމާތު
date	ތާރީޚް
daughter	އަންހެން ދަރިފުޅު
day	ދުވަސް
deadline	ސުންގަޑި
dead	މަރުވެފައި
deaf	ބީރު
deal	އެއްބަސްވުން
Dear All	ހުރިހާ ފަރާތްތަކަށް
Dear Customer	ކަސްޓަމަރަށް
Dear Parents	ބެލެނިވެރިންނަށް
Dear Sir	ސާރ
Dear students	ދަރިވަރުންނަށް
Dear Team	ޓީމަށް
death	މަރު
debate	ބަހުސްކުރުން
debit	ޑެބިޓް
debris	ކުނި
debt	ދަރަނި
decade	ޑިކޭޑް
decay	ފަނާވުން
deceased	ނިޔާވެފައި
deceive	އޮޅުވާލުން
december	ޑިސެމްބަރ
decent	ޑީސެންޓް
decided	ނިންމީ
decide	ކަނޑައެޅުން
decision	ނިންމުން
deck	ޑެކް
decline	ދަށްވުން
decrease	މަދުވުން
dedicated	ކަމަކަށް އަޅުވެތިވުން
dedication	އިޚްލާސްތެރިކަން
deed	ޢަމަލު
deep	ފުން
deer	ފުއްލާ
default	ޑީފޯލްޓް
defeat	ބަލި
defend	ދިފާޢުވުން
define	ބަޔާންކުރުން
definitely	ޔަޤީނުންވެސް
definition	ޑެފިނީޝަން
degree	މިންވަރު
delayed	ލަސްވެފައި
delay	ލަސްވުން
delete	ޑިލީޓް
deliberate	ގަސްތުގައި
delicate	ނާޒުކު
delicious	މީރު
delighted	ހިތްހަމަޖެހިފައި
delight	އުފާވެރިކަން
delivered	ފޯރުކޮށްދިނުން
delivery	ޑެލިވަރީ
deliver	ޑެލިވަރ
demanding	ޑިމާންޑުކުރުން
demand	މަޖުބޫރުކުރުން
democracy	ޑިމޮކްރަަސީ
demonstrate	ދެއްކުން
demon	ޝައިތާނާ
denied	ދެކޮޅުހެދުން
density	ޑެންސިޓީ
dentist	ޑެންޓިސްޓް
deny	ދޮގުކުރުން
department	ޑިޕާޓްމަންޓް
departure	ފުރުން
depend	ބިނާވުން
deploy	ހަވާލުކުރުން
deposit	ޖަމާކުރުން
depressed	ފިކުރު ބޮޑުވެފައިވުން
depression	ފިކުރުބޮޑުވުން
depth	ފުންމިން
describe	ސިފަކުރުން
description	ތަފްޞީލު
desert	ފަޅު
deserve	ޙައްޤުވުން
designation	މަޤާމު
design	ޑިޒައިން
desire	އެދުން
desk	ޑެސްކު
despair	އުންމީދު ގެއްލުން
desperate	މާޔޫސް
despite	އެހެން ކަންތައް އޮތް ކަމުގައި ވިޔަސް
dessert	ޑެޒަރޓް
destination	މަންޒިލް
destiny	މަންޒިލް
destroy	ހަލާކުކުރުން
destruction	ހަލާކު
details	ތަފްޞީލު
detail	ތަފްސީލު
detect	ފާހަގަވުން
determination	ޢަޒުމް
determined	އަޡުމު ކަނޑައެޅުން
