qunxaama	a little
buttà	bunch
kuxaaxuwu	bundle
quuka	burden
yomoogoqeh	buried
carris	burn
bakaqa	burst
uguq	bury
awtabuusu	bus
garbo	bush
tellemmo	business
kabxa	business
butukka hay	bust
agxeli	busy
takkay immay	but
laakin	but
subaaca	butter
laahiniti	butterfly
adranto	button
xaam	buy
woh wonnal anuk	by the way
salaamata	bye
gommana	cabbage
reedantu	cabinet
kareera sanduugu	cabinet
dagge	cage
keeki	cake
ruga	calf
seec	call
Silki yoh has	call me
seeceh	called
sahha	calm
tibba	calm
yemeeteh	came
gaadu	campaign
xiiqi	can
duud	can
duudewayti	can't
Kal	Cancel
Bayis	Cancel
sissactu	cancer
barasa	cancer
dudda le	capable
xiqto	capacity
dudda	capacity
qaasima	capital
gadda	capital
ammonta	caption
baxxaqsa	caption
ugus	capture
ibbix	capture
kokkobeena	car
taama mihrata	career
garci luk	careful
cubbi luk	carefully
caatih	carefully
carrà-mali	careless
hanaawisiyya	caring
orfaaleena	carpenter
fiddima	carpet
kaarootu	carrot
ukkuq	carry
bisoh inxic	carry on
abiyya	carry out
caagidi	case
lakqo	cash
iraw elle qid	cast
kalqata	castle
caagid maleh	casual
annaak	casual
dummu	cat
ibbix	catch
butta	category
laa	cattle
yibbixeh	caught
sabab	cause
cubbi geya	caution
cubbi-abe	cautious
gabla	cave
soolis	cease
tarmaana	ceiling
esseked	celebrate
misiqi	cell
suuqunta	cell
gude	center
fana	center
bool sanata	century
muduudun daro	cereal
waynabo	ceremony
asmat leemi	certain
digga leemi	certain
asmat luk	certainly
sumaq warkata	certificate
silsilata	chain
korsi	chair
wanbara	chair
gexe-kala	challenge
adafa	challenge
saami	chance
milaagu	change
wexxeqi	chaos
madqa sinna	chaos
caalata	character
cagli caalata	characteristics
mellebi	charge
girat haanam	charge
meqem abitto	charity
ruffa hayti	charming
qarwali	chart
diiriyyo	chase
walala	chat
rakiisi	cheap
aylahis	cheat
duquurus	cheat
ayrisiyya	cheating
fokkaq	check
xabana	cheek
farci qeyto	cheer
rufto leemi	cheerful
meqem qaagiti	cheers
hobba	cheese
Kemistri	chemistry
kemikaal kusaaqih misso	chemistry
hanaawis	cherish
gabuxxa	chess
aliili	chest
etcet	chew
dorrahi	chicken
saqala	chief
alqi	child
awka	child
qunxamariino	childhood
urru	children
waaca	chill
qerti mawqeeniti	chimneys
quxe	chin
chokkolaata	chocolate
dooro	choice
door	choose
garuuqu	chop
kur/irgiq	chop
nakur le taama	chores
gabul le	chubby
kaniisa	church
karfa	cinnamon
maro	circle
caalata	circumstances
baaxò baxa	citizen
magaala	city
ikoytiino esseriyya	claim
falmaanama	claim
baxxaqis	clarify
butta	class
galhà ballaaqe	clay
saytun le	clean
qaddos	clear
yaysirriqi	clerk
kas le	clever
maqmiili	client
boolo	cliff
rosqa	climate
hawa caalata	climate
feer	climb
eweq	climb
xakabtaama	clingy
wakti loowo	clock
saaqata	clock
alif	close
xayih	close
armaadiyo	closet
saro	cloth
saritte	clothes
qamburre	cloud
qamburre le	cloudy
furkactuli	clown
afkana	clue
tacmuuma	clue
makko sinna	clumsy
qataatakiyya	clumsy
klasteri	cluster
xaynal kurma	cluster
aydakaakanisè	coach
diyyi	coal
baddi qaxa	coast
kootu	coat
bunà	coffee
mesenkaca	cognitive
inki adda akkiyya	coincidence
xamca	cold
fiqna	collapse
diglo	collapse
shamiizik ayti	collar
illih taamitan numu	colleague
illih taamitan mara	colleagues
kobxis	collect
gaabos	collect
gaaboyso	collection
kobxisso	collection
kolleeji	college
bisu	color
bisu sinni anxaxin mablooli xinteh bakcarritak	colorless green ideas slept furiously
bisu	colour
qari qamiddu	column
amo fil	comb
fileena	comb
asgolla	combination
inkittos	combine
esgel	combine
am	come
annah am	come here
am	come on
sahha	comfort
sahha le	comfortable
mamaata	coming
xayi uddur tamaateh	coming soon
amri	command
mabla mattaco	comment
kabxah	commercial
komishiini	commission
taamah ittikiy	commit
baguk taamit	commit
taama tikya	commitment
taamah xagani culma	commitment
xagana cule	committed
kabdah uwwa	commodity
ittengey lem	common
tamixxigeemi	common
oyti tabsa	communicate
oyti tabsa	communication
angaaraw	communication
ayyunta	community
gexay-gaca	commute
wakliita	companion
kataysa	companion
missoyna	company
qalalis	compare
qalayla	comparison
xuwaawa	compassion
racmatta	compassion
xuwawli	compassionate
ittat bictaama	compatible
qalal	compete
dudda le	competent
anaakara	competition
qalayla	competition
anaakar leemi	competitive
malkit xayyos	complain
weeqa	complain
weeqa	complaint
dareemu	complaint
ossotina	complement
qokolu	complement
kibne leemi	complete
sel	complete
inkitanuuh	completely
centebbaaru leemi	complex
madqat gexsitiyya	compliance
centebbaaritteemi	complicated
fayla	compliment
madqah rammit	comply
qadar bicsa	composition
gurrumac	compound
cedimi	comprehension
ceddimtaama	comprehensive
edde-orob mablo	compromise
fanah yamaateenimi	compromise
dirk	compulsory
dirki	compulsory
kombiiteri	computer
hangi kah cuy	concentrate
macsabà	concept
qayyaawa	concern
acsubiyya	concerned
dokla	concert
gaddi handaga	concert
mamarraqa	conclusion
hunun numma	concrete
koncreeti	concrete
wakti caalata	condition
sharti	condition
caaloota	conditions
gexsiti	conduct
daffeyna	conference
koboxu	conference
ekeel	confess
isil-kibal aalliyya	confidence
isil kiballi	confident
diggos	confirm
ittin waya	conflict
boodu	conflict
baditeh	confused
baditi	confusion
unkaq	congrats
unkaq	congratulation
unkaq ruffa inte!	congratulations
agle	conjunction
giti agle/ qagor asgella	conjunction
osgoorow	connect
xakbis	connect
seewah orbis	conquer
kasat aniyya	conscious
kasat aniyya	consciousness
macsaba	consciousness
edde bicimi	consent
idini	consent
xalootu	consequences
hanaawi	conservation
daana	conservation
sugti-dacrisi	conservative
cubbus	consider
ossokot	consider
cubbuseenimi	considered
addat le	consist
korankore-wayti	consistency
raagtaama	consistent
kori sinniimi	consistent
kore sinniimi	constant
aggiriqqe kal	constantly
bagi-kafnaana	constipation
xisno	construction
xagit	consume
adoobit	consume
adooba	consumption
angaarawa	contact
tabta dalka	contagious
addat yabbixe	contain
addat le	contains
inki waktihimi	contemporary
fiqma	contemporary
bura	contempt
ruffa	content
addatiino	content
qalayli	contest
yan caalata	context
addatiino ceximi	context
kaarra	continent
qaran-gubà	continent
bisoh inxic	continue
cibu	contract
sadu	contrast
giddi	contrast
qokol	contribute
qokolu	contribution
lowsiisi	control
ittin-way leemi	controversial
daqwat leemi	controversial
sahha'	convenience
bica aalliyya	convenience
bica le	convenient
walala	conversation
diini korsè numu	convert
koris	convert
tatrus	convey
tabis	convey
eyseemeniyya	convince
geysis	convince
geysiiseh	convinced
maaqo alas	cook
maaqoh alaysiyya	cooking
meqeh!	cool
xamcinih	cool
koobahsa	cooperation
cato	cooperation
egla	cooperation
esseed	cope
kalalit	cope
nacaasa	copper
rakiibo	core
qelbo	corn
gona	corner
gitah taniimi	correct
awqenta	cost
mekla	cost
bilqà sara	costume
daasa	cottage
tuutu	cotton
qarkayto	couch
kacuwu	cough
gosonu	cough
duudak ten	could
takkem duude	could
majlisi	council
malà buxa	council
loowo	count
low	count
sadu	counter
loowise'	counter
baaxo	country
barri baaxo	countryside
qasaala	couple
nammay takko	couple
agiirannu	courage
dayimi	course
cokmi buxa	court
sangerra	court
massakaxxa	courtesy
rammiti	courtesy
qammih baxa	cousin
anna baxa	cousin
uqur	cover
sarsa	cover
saga	cow
cunxoli	coward
sahha leemi	cozy
baddi-igixxu	crab
baqu	crack
naggaarinna	craft
guddaafa	crap
bagi daaco	crap
boodu	crash
iggil	crash
sangeeli	craving
cankakkaabiy	crawl
cabuli	crazy
gin	create
bicis	create
feera maqaane	creative
hadale num/barra	creative
galto gacsa	credit
abuudu	credit
raaris	creep
waqaqissaama	creepy
markab	crew
tayyaara taameeniiti	crew
baatili	crime
wacarriy lem	cringe
taqabi	crisis
ceya	crisis
xiqsisso	criteria
faxximataama	criteria
hangi faxxa caddo	critical
assacokkal	critical
assacokka	criticism
kur	crop
darò murti	crop
daroora	crops
tab	cross
tatur	cross
kuraanu	crow
sehdà koboxu	crowd
sehdà koboxu	crowded
taaqe	crown
kaxxam faxximtaama	crucial
xuwaw sinna	cruel
wacaysir safata	cruise
iggil	crush
weeqiyya	cry
farangi xubba	cucumber
aliilit hayiyya	cuddle
qaada	culture
mako aalliyya	cunning
cogdiyya	cunning
kubbayya	cup
figgana	cup
armaadiyo	cupboard
soolis	curb
waas	curb
daylis	cure
dayla	cure
angoyyi waaso	curfew
ixxigà qataatako	curiosity
ixxigà bakar le	curious
buqrih tan amò	curly
maali mellebi	currency
wakti caalat	current
awayih udduurut	currently
abaaro	curse
geebo	curtain
reebu	curtain
barkuma	cushion
makadda	cushion
qaada	custom
maqmiili	customer
gumruku	customs
qandis	cut
irgiq	cut
qaklentu	cute
qaxmeqeemi	cute
qagitta tekko	cycle
meekooka	cycle
cycling	cycling
abba	dad
yi-babba	daddy
kulli ayro	daily
canti	dairy
karawwada	dam
umaane	damage
ces!	damn
uunaane	damp
argaade	dance
qawwalayla	danger
qawwalaylu	dangerous
dite	dark
kacnoyta	darling
fiica	dash
uwwaytu	data
tutaaxago	data
ayro	date
say awka	daughter
ayro	day
rabteemi	dead
maymarraqah ayro	deadline
mayaabbi	deaf
ayti sinna	deaf
sittin gey	deal
yenkeecene	dear
inkih tan massakaxallelak	Dear All
massakaxxale	Dear Customer
Massagaxxale Xaleyna	Dear Parents
Massakaxxale Saqal	Dear Sir
Massakaxxale barteenitiy	Dear students
Massakaxxale horta	Dear Team
raba	death
giddi	debate
daanie cisaabak tewqeemi	debit
burruuka	debris
mago	debt
abuudu	debt
tabna-liggida	decade
lagda-akkiyya	decay
rabeh	deceased
aylahis	deceive
ciggila kudo	december
adabi leemi	decent
moddaqiyi	decent
margaqa beeh	decide
waneh	decide
madqimteemi	decided
margaqa elle abeenimi	decided
margaqa	decision
markab-baaxa.	deck
ragoogiyya	decline
ciniyya	decline
daggoysiyya	decrease
madqeh	dedicated
aciyya	dedication
fidà	dedication
taama	deed
abto	deed
adda-xeeri	deep
biqida	deer
qemmò dooriti	default
gacti	defeat
kalaliyya	defend
waaso	defend
qaddos	define
hununuh	definitely
figda	definition
maqna	definition
caddo	degree
digri	degree
udurro	delay
udurrutteemi	delayed
finqis	delete
bayis	delete
cisaabisiyya	deliberate
makoh	deliberate
maqar sinniimi	delicate
salfa le	delicious
satta	delight
rufto	delight
ruftoli	delighted
gufus	deliver
gufseh	delivered
gufusseh	delivered
maaddeh	delivered
xaliyya	delivery
gufsiyya	delivery
faxximiyya	demand
esseriyya	demand
macal leemi	demanding
esseraanama	demanding
demokraasi	democracy
seetana	demon
ibliisi	demon
qaddooseh	demonstrate
waaseenih	denied
okqà	density
moddina caakimi	dentist
yengeddeh	deny
ludda	department
dabba	department
ugtuma	departure
aamanti elle le	depend
kibal elle le	depend
afkan aciyya	deploy
culsa	deposit
kaalo	deposit
sinsilaaleh	depressed
sinsilaala	depression
adda-xeer	depth
baxxaqse	describe
baxxaqisiyya	description
qabar le baaxo	desert
ali-afeyta	desert
tassacakkeh	deserve
taguudeh	deserve
siddoyseh	design
siddoysiyya	design
asta	designation
fayxi	desire
faxeh	desire
qarrà	desk
riigi	desk
niya argiqiyya	despair
kaxxa fayxi	desperate
niya-yirgiqe	desperate
takkay immay	despite
salfa leela	dessert
tallafoyseena	dessert
madma'	destination
qidoyta	destiny
nasiibi	destiny
butukka-hay	destroy
bayis	destroy
baysiyya	destruction
adda fakootitte	detail
fedellitte	detail
addz fakootitte	details
fokkaaqot geeh	detect
gidmi-liino	determination
madqeh	determine
gey	determine
timixxigeem	determined
finqitteh	devastated
dadlaanam	develop
dadliseh	developed
dadala	development
mansafa	device
seetana	devil
aamanti le	devoted
Dhivehih afa	Dhivehi
sokkar biyaaka	diabetes
bag-gexo	diarrhea
kassiisenta	diary
qamgor maysaqarra	dictionary
abeh	did
rab	die
rabeh	died
maaqo	diet
baxsa	difference
baxsa le	different
gidbih	difficult
cot	dig
dag	dig
konnabna	dignity
sharafa	dignity
agiru	diligent
afxago	dinner
kumus	dip
amris	direct
saanih	direct
miraacis	direct
mohoodo	direction
afkan aciyya	direction
taamà-miraaca	director
barittò-buxah saqala	director
wasaka	dirt
wasak	dirty
duddi kaliyya	disable
erkenna li	disabled
bayiyya	disappear
hagga iyye	disappointed
qawwalayla	disaster
qidiyya	discard
kaliyya	discard
cabeh	discharge
yeyyeeqeh	discharge
adabi leemi	discipline
nukusi	discount
naharsi geyto	discover
deelu	discrimination
guno	discrimination
walal	discuss
walala	discussion
dalka	disease
biyaaka	disease
biyaakitte	diseases
lakmitte	diseases
aaquriyya	disguise
qax umaama	disgusting
sakki leemi	disgusting
sacani	dish
maaqooqa	dishes
yeyyeeqeq	dismiss
diiriyeh	dismiss
farmo	dispatch
ayballaate	display
uybulluy	display
rikkisiyya	disposal
tuhata	dispute
qaduwwi	dispute
xexxaara	distance
baxsa leemi	distinct
itta ceelo waytaama	distinct
ittak baxis	distinguish
taqabi	distress
ceyà	distress
kuriyya	distribution
fixiixisiyya	distribution
dariifa	district
awda	district
yaaqe	disturb
wexxeqi	disturb
lee le boodo	ditch
cabiyya	ditch
culiyya	dive
baxaa baxsa leemi	diverse
mangintiino	diversity
qaynatiino	diversity
keefiy	divide
kur	divide
yallih imi	divine
cabti	divorce
baaxò meeko	dizzy
ab	do
atu yoo kicintoo?	do you love me
caakimi	doctor
doktooru	doctor
sanada	document
abah	does
maaba	doesn't
kuta	dog
Dogrih afa	Dogri
abiyya	doing
asangulliti	doll
xinto	domain
qafaaritteemi	domestic
buxah addah imi	domestic
daga raaqe	dominant
maabin	don't
mameesitin	Don't worry
cateh	donate
abeenimi	done
gaba kalteemi	done
danana	donkey
kasmuda	dope
nammaya	double
asmat sinnimi	doubt
bohoyu	doubt
unduru	dough
gubat	down
addah	down
oobis	download
qagunta	draft
giit	drag
caxiyya	drain
ransa	drama
taswiir hayti	draw
caxxi sanduugu	drawer
taswiiri	drawing
cunxo	dread
soono	dream
sara	dress
cotiyya	drill
aqub	drink
beyto	drive
qideh	drop
qideh	dropped
qabaara	drought
sakraante	drunk
kafnaana	dry
gaayya	duck
alya	dude
gara	due
sabbatah	due to
qulaala	dull
qulaaaka	dumb
duuda	dumb
cabiyya	dump
qidiyya	dump
udduro	duration
waktih addat	during
ballaaqe	dust
qaane	dust
fardi	duty
dirki	duty
aniyya	dwell
tut raagiyya	dwell
rabiyya	dying
kulli tii	each
tiiy tiit	each other
sangeele	eager
qawiita	eagle
ayti	ear
ahak afal	earlier
iisa	earlier
xayi uddur	early
geeh	earn
aytiita	ears
baaxo	earth
ardi	earth
baaxoh angoyya	earthquake
sahali luk	ease
xabcinuk	easily
ayrò mawqa	east
sahalik taniimi	easy
ukum	eat
xag	eat
akmiyya	eating
maduuru	economic
madduru	economy
lemedi	edge
ceesayiyya	edit
baritto	education
tuk xalu	effect
uraara	effect
xalu le	effective
xiqto	efficiency
dudda le	efficient
macala	effort
naala	egg
kibriya	ego
bacaara	eight
taban kee bacaara	eighteen
bacra tabana	eighty
akkiiy	either
qaddoysiyya	elaborate
cusulu	elbow
kaslenta	elder
karmah nabo	elder
karma kaxxoyta	elderly
bilaqale	elegant
tumamme	element
dakanu	elephant
taban kee ti	eleven
gar le	eligible
xiqqimtaama	eligible
kal	eliminate
eyyeq	eliminate
kalah	else
akke wayteh	else
wacarriyeh	embarrassed
wacarrissaama	embarrassing
oggolu	embrace
ugitte	emerge
yumbulle	emerge
qawwalayla	emergency
cawwartuli	emotional
xuwaawa	empathy
baxsa le hangi	emphasis
kaxxa hami acuyya	emphasize
taameyna	employee
taama abeyniiti	employees
tamsiise	employer
tamlisè	employer
tamlisiyya	employment
taama aalliyya	employment
foyya	empty
xiqsiisiyya	enable
foocat garayiyya	encounter
ilsiiseh	encourage
uguugus	encourage
ellecabo	end
gabakalti	end
qawwalaylet raddè	endangered
macala	endeavor
cimli	endurance
xiiqi	endurance
xiqiyya	endure
xiq	endure
naqboyta	enemy
cayla	energy
elmo	energy
esgel	engage
asgolliyya	engage
agxet aniyya	engaged
rusuq le	engaged
rusuqhayti	engagement
motooru	engine
mahandis	engineer
engliiz afa	English
yeysiiseh	enhance
ruffa xic	enjoy
farcit	enjoy
gidiidinih	enormous
duddah	enough
xiqtah	enough
diggos	ensure
culus	enter
sabhalaala	entertainment
kaxxa niya	enthusiasm
kaxxa niicli	enthusiastic
inkiih	entire
amolladih	entire
ammunta le	entitled
xagara	entity
culmeyna	entrance
tellemoh egla xise	entrepreneur
warkat kiisi	envelope
dariifa	environment
baaxo caalat	environment
aysinu	envy
agri fayla	epic
dadhoyta	epidemic
inki gide	equal
missa	equal
mansoofa	equipment
gudduniino	equity
inki gide	equivalent
fooda	equivalent
