a	éí
airport	chidí naatʼaʼí náádadiitʼahídi
aisle	ahodiiláhígíí
alarm	tʼáá haʼátʼííshį́į́ doo yáʼátʼéhígíí hachʼįʼ deeztʼiʼgo bee baaʼákonízinígíí
alcohol	étłohí
alert	baaʼákohwiinidzin
alive	hiiná
all	tʼáá ałtsoh
all right	tʼáá áko
all the best	nizhónígíí tʼáá ałtsoh
allow	bá ąąʼályaa
allowed	bee hooʼaʼ
almost	kʼasdą́ą́ʼ
alone	tʼáá sáhí
along	akʼééʼ ídlį́
already	hashtʼeetʼé
already	hastʼeedzaa
Alright	tʼáá áko shį́į́
Alright	aooʼ
also	nááʼałdó
alternative	nááná łahgo átʼéego shąʼ
although	ákotée nidi
always	tʼáá ałhahjįʼ
am	shí éí
amazing	nizhóní
ambiguous	tʼahdoo hazhóʼó bééhoozįįh da
ambition	tʼáá haʼátʼííshį́į́ tʼáá íiyisíí ádeeshłííł jinízingo
ambitious	doo bichʼįʼ neʼjilį́į́góó ajilééh
amend	naaltsoos łahgo átʼéego háádilyaa
amid	ałníiʼgi
among	bitah
among us	nihitah
amount	anéeltʼeʼígíí
amusing	baa honeenih
analysis	nélʼį́įgo binahjįʼ nitsáhákees
ancestors	nihizáanii
anchor	bee ólzhaʼí bee iltsódígíí
ancient	ałkʼidą́ą́ʼ naaznilígíí
and	dóó
and you	dóó ni
angel	naaniigo deezáhígíí
anger	áhachxįʼ
angle	dínéeztį́h
angry	áhachxįʼ
animal	naaldlooshii
ankle	akétsíín
anniversary	baa náhoolzhizh
announcement	haneʼ baa chʼíhatʼaahígíí
annoy	bá hodoonih
annoyed	bá hodoonih
annoying	báhodoonih
annual	nináhaháahgo
anonymous	doo baa haneʼ da
another	nááná łaʼ
answer	baa náhaneʼ
anticipate	nawolníh
anxiety	atah nitsééhaltłiʼ
anxious	nitsééjiltłiʼ
any	tʼáá haidííshį́į́
anymore	ádin
anyone	tʼáá háí shį́į́
anything	tʼáá haʼátʼííshį́į́
anything	tʼáadooleʼé
anyway	jó ákoté
anyways	ákotée nidi
apart	bił booltąʼ
apartment	ałkʼih dahooghanígíí
apologize	bee há náhootʼaah jókeedgo
apparent	tʼáá bééhoziní
apparently	ákótʼéego
appeal	bee nináʼiltsóós
appear	ííshjání ádzaa
appearance	ííshjání ádzaaígíí
appeared	tʼáh nítʼę́ę́ʼ kǫ́ǫ́h
appetite	ajilniihígíí
apple	bilasáana
application	naaltsoos hadilnéhígíí
apply	ajilééh
apply	haʼdilnééh
appointment	baa nihootʼánígíí
appreciate	baaʼáhxééhwiinidzin
appreciation	baaʼahxééhwiinidzin
approach	bichʼįʼ
appropriate	tʼáá ákotʼé
approval	bee lą́ʼ azlį́į́ʼ
approve	bee lą́ʼ azlį́į́ʼ
approved	bee lą́ʼ azlį́į́ʼ
approximately	ako néeltʼeʼ shąʼshin
approximately	akotʼé shąʼshin
april	Tʼą́ą́chil
arbitrary	tʼáadoo hooyání
architect	hooghan hadadilʼį́įgi neichʼąąhí
architecture	hooghan doodago kin naachʼąąhígíí
archive	hashtʼeʼ niiʼnił
are you	ni éí
are you busy	daʼ ninaanish hólǫ́
are you busy	daʼ tʼáadooleʼéíísh baa naniná
are you married	asiniyeh
are you married or single	daʼ íyééhísh doodago tʼáá sáhí naniná
Are you still there?	Daʼ tʼahdiísh tʼáá aadi?
are you there	ni éí áadi
area	hazʼą́ądi
area	hazʼą́ągi
argue	saad doo yáʼátʼéhígíí bee achʼįʼ yájiłtiʼ
argument	saad nichxǫ́ʼí ałchʼįʼ aheʼnííł
argument	saad nichxǫ́ʼí hazlį́į́ʼ
arise	hááyá
arm	agaan
army	silaołtsooí
around	binaagóó
arrange	ałkééʼ niiʼnil
arrangement	hashtʼeel yaaígíí
arrival	jiníyáago
arrive	idzáh
arrived	jiníyá
arrogant	ázhdoolnih
arrow	kʼaaʼ
art	naʼachʼąąh
article	naaltsoos bee ił haneʼgo hadilyaaígíí
artificial	tʼóó bééʼalyaaígíí
artist	naʼachʼąąhí
as long as	tʼáá hoolzhish
as well	ałdóʼ
as well as	ałdóʼ
ash	łeeshchʼiih
ashamed	baa yázhniizį́į́ʼ
ask	naʼídikid
asked	naʼídeekid
asleep	ałwosh
aspect	tʼáá háádę́ęgo shį́į́
Assamese	Assam Dineʼé Bizaad
assault	diné nízhdííłtsʼingo
assembly	ałhíʼayiildééh
assembly	ałhiih yiʼnííł
assertive	doo chʼééh ahaʼníi da
assess	biʼneelʼąąh
assessment	naanish aadeetʼánígíí
asset	daʼilíinii daahóhígíí
assets	tʼáá haʼátʼíízhį́į́ daahóhígíí
assign	naanish baadeetʼą́h
assignment	naanish aadeetʼánígíí
assist	ákaʼeʼeyeed
assistant	ákaʼanálwoʼí
associate	bił naʼanishí
associated	yił daʼahotąʼígíí
association	dah ooldah bił hazʼánígíí
assume	shąʼshin hwiinidzinígíí
assume	daatsʼí hwiinidzinígíí
assumption	shąʼshin jinízingo
at	-di
at least	tʼaa biʼohgo
ate	ajiiyą́ą́ʼ
athlete	diné jooł yee naanéhí
attach	biheestłʼǫ́
attach	bóóltąʼ
attached	béheestłʼǫ́h
attachment	bíiltsoodígíí
attachment	bóóltąʼígíí
attack	bikʼijiilwod
attack	akʼiilwod
attempt	bizhneeztą́ą́ʼ
attend	jiniyá
attendance	áadi naʼadáago
attention	shooh kweʼé
attitude	aʼátʼeʼ
attract	tʼáá haʼátʼííshį́į́ baa nidaʼaldeehgo hwił honeenih
attraction	hwił nizhóní
attractive	adáhoneeníh
attribute	bee hohónéedzánígíí
audience	diné dabináłígíí
august	Bineʼanitʼą́ą́tsʼósí
aunt	abizhí
aunt	amá yázhí
aunty	amáyázhí
aunty	abizhí
authentic	tʼáá anínígíí
authentic	doo bééʼalyaaígíí
author	haneʼ haidiilaaígíí
authority	óholnííh ąąh silá
autumn	akʼee
available	hólǫ́ǫgo
average	tʼáá bíighahígíí
avoid	bikʼeeʼąąh
awake	chʼénadzid
award	bee hwééhoʼdoolzįįhgo aaʼilyéhígíí
aware	baaʼákohwiinidzin
awareness	baaʼákohwiinidzinígíí
away	niláá
awesome	nizhóní
awesome	sxih
awful	baaʼih
awkward	tʼóó haashį́į́ yitʼé
Aymara	Bolivian Bitsįʼ Yishtłizhii Bizaad
baby	awééʼ
bachelor	diné tʼáhdoo iiyehígíí
back	bikéédóó
back	bineʼdę́ę́ʼ
background	nákééʼ náhaneʼ
bad	baaʼih
bag	azis
bait	bee ódleeh
bake	atʼees
bakery	bááh nidahatʼees bił hazʼą́ągi
baking soda	bił éʼalʼíní dibahígíí
balance	ałhxeełtʼéego naadloʼ
ball	jooł
Bambara	Mali Dineʼé Bizaad
banana	hashkʼaan
band	dilníh yee nidaanénígíí
bang	názhniłhxał
bank	béeso báhooghan
bar	béésh
barely	kʼasdą́ą́ʼ
bargain	doo alʼį́į́góó bee ałghazhdiitʼaah
bark	nahałʼin
barley	naadą́ʼastʼé
barrier	adáahgi hólónígíí
base	bitłʼáahdi
based	bee hooʼah
basement	hooghan biyaadi nááhastʼánígíí
basic	tʼóó ákotʼéhígo
basically	akotée dah łeh
basil	chʼil
bastard	diigis
batch	ałchʼįʼ beʼastłʼǫ́
bath	taʼadigis
bathroom	niʼoh nídaʼaldah góneʼ
battery	ajéí
battle	anaʼ hazlį́į́ʼ
bay	tó nihiníyį́įgi
be careful	hazhóʼó ádaaʼáholyą́
beach	tábąąh
beam	tsin ádahsitánígíí
beam	tsin ániʼánígíí
beans	naaʼółí
bear	shash
beard	dághaaʼ
bearing	naʼazhdiidláhígíí
beast	yéʼii
beast	bááhadzidii
beat	bikʼeh hodidleeh
beautiful	nizhóní
beautiful	yaʼátʼééh
beauty	hózhǫ́
became	adzaa
because	biniiyéhígíí
because	biniinaaígíí
become	adzaa
bed	tsáskʼeh
bedroom	níʼjiilwosh góneʼ
bedroom	tséskʼeh bił hazʼání góneʼ
bee	tłʼézhii
beef	béégashii bitsįʼ
been	íídą́ą́ʼ adzaago
beer	bizhééʼ hólóní
beer	tó tsiʼnaʼiiłáhí
before	bilą́ąjįʼ
before	alą́ąjįʼ
began	hahoolzhiizh
begin	bee hahoolzhiizh
beginning	bee hahalzhíishgo
behalf	łahdóó bá
behave	haʼátʼeʼ
behavior	aʼátʼeʼ
behaviour	diné baʼátʼeʼ yee ádééholzinígíí
behind	bineʼdę́ę́ʼ
being	jilį́
being	nilį́
belief	oodląʼ
believe	joodlánígíí
belly	abid
belong	bígo
beloved	ayóóʼóóníinii
below	hoyahdi
belt	sis
bench	bikááʼ dah nídaʼnidaahí
bend	názhahgo ályaa
beneath	biyaagi
beneath	biyaadi
benefit	bee aaʼáhayánígíí
benefits	bee aaʼádahayánígíí
beside	bíighahgi
besides	bíighahjígo
best	nizhónígíí
best of luck	nikʼihojidlíi leʼ
best regards	hazhóʼó aanitáhákees
better	yaʼátʼééh
between	bitaʼdi
between	bitaʼgi
beverage	tʼáá haʼátʼííshį́į́ yidlánígíí
beyond	biláadi
Bhojpuri	Bhojpur-Purvanchal Dineʼé Bizaad
bias	diné jojoodláago
bias	ázhdoolnih
biased	hakʼihjįʼ haʼoodzííʼ
bicycle	dziʼizí
bid	bą́ą́h adooleełígíí
big	nitsxaaz
bike	dziʼizí
bill	bee ą́ą́hááʼáhí
bind	beʼastłʼǫ́h
bird	tsídii
birthday	hodizhchínéejįʼ anínáhoolzhiizh
bit	jishxash
bite	yishxash
bitter	dichʼííʼ
black	łizhin
blade	béésh nawoʼí
blame	akʼíhatʼááh
blank	doo bikáʼí da
blanket	beeldlei
blast	deesdǫǫh
bleach	bee náʼiilgáhí
blend	bił naʼastsih
bless	akʼihojidlíh
blessed	akʼihojoosdliʼ
blind	doo hootʼį́į da
bliss	ił hózhǫ́
block	bichʼą́ą́h azʼą́h
blood	dił
bloom	neestʼą́h
blow	jisoł
blue	yágo dootłʼizh
blunt	doo deeníi da
board	tsineheeshjį́hí niteelígíí
boat	tsin naaʼeeł
body	atsʼíís
boil	yibéézh
bold	diłhxił
bond	ahíiltsoos
bone	atsʼin
book	naaltsoos wóltaʼí
boost	bee bidoochidígíí
booster	bee náás óólzinígíí
boot	kéjeehí
boots	kéjeehí
border	náhasdzoh
border	bąąh ahééʼniʼáhí
bore	ádahozhdeelá
bored	ádahozhdeesłááʼ
boring	ádahozhdeelá
born	yizhchį́h
borrow	aʼítʼaah
borrow	aʼínííł
boss	naanish bee bóholníhígíí
both	tʼáá áłah
bother	aanáhatʼį́h
bottle	tózis
bottom	bitłʼáahdi
bought	nahaazniiʼ
bounce	nikídiltsʼih
bound	ákǫ́ǫ́h
boundaries	nahasdzoh
bow	ałtį́į́ʼ
bow	haabąs
bowl	ásaaʼ
box	sitsʼaaʼ
boy	ashkii
boy	tséłkéí
boyfriend	eʼashkii
bracelet	látsíní
brain	atsiighąąʼ
branch	tsin bitsʼaozʼah
brand	bee ádiidlííd
brave	adziil
breach	bił oodzííʼ
bread	bááh
break	nahgóó naʼadáh
break	kʼeʼaltǫǫǫh
breakfast	abinígo chʼiyáán yidánígíí
breast	abeʼ
breath	náhizhdidziih
breathe	nahizhdidziih
breed	naaldlooshii oołchíłígíí
brick	tsétʼáhí
bride	asdzání iiyehígíí
bridge	naʼniʼáh
brief	tʼóó baa chʼíhootʼá
bright	disxǫsgo bitsʼádiʼnídíín
brilliant	nizhóní
bring	jiʼaah
bro	akʼis
broad	niteel
broadcast	tʼáá haʼátʼííshį́į́ baa haneʼgo
broke	yichxǫʼ
broke	kʼéʼaltǫʼ
broken	kʼéʼaltǫʼ
broken	yíchxǫʼ
broom	bee nahalzhoohí
brother	anaaí
brother	atsilí
brother in law	aʼayééh
brought	yilyá
brown	dibéłchíʼí
brush	beʼazhóóʼ
bucket	naadloʼí
buddy	akʼis
budget	béeso nanideehígíí
bug	chʼosh
build	tʼáá haʼátʼííshį́į́ ajiléehgo
building	tʼáá haʼátʼííshį́į́ ajilééh
built	tʼáá haʼátʼííshį́į́ ajilééh
bulk	haʼátʼííshį́į́ nitsaago
bull	dóola
bully	adeijódlíh
bully	doo áhodiikóóh
bump	diwol
bunch	dah shijaaʼ
bunch	ałchʼįʼ beʼastłʼǫ́
bundle	tʼáadooleʼé ałchʼįʼ beʼastłʼǫ́ǫgo
burden	hayéél nidaazí
buried	łeeh yiltį́h
burn	díílid
burst	deesdǫǫh
bury	łeeh yiltį́h
bus	chidíłtsooí
bush	chʼil
business	naanish deiyíjeehígíí
bust	diitaaʼ
busy	naanish hólǫ́
but	nidi
butter	mondigíiya
butterfly	kʼaalógii
button	ałdahnátʼáhí
buy	nahaniih
by	bíighahgi
by the way	shooh kweʼé
bye	hágoóneeʼ
cabbage	chʼił chʼiyáán
cabinet	azeeʼ biih náʼniłí
cage	béésh naneesdizí
cake	bááh łikaní
calf	béégashii yáázh
call	hojilneʼ
call me	shichʼįʼ hólneʼ
called	hóóneʼ
calm	hashtʼeʼ adolzin
came	niyá
campaign	naatʼáanii iʼiiʼnííł yá deiyíjeehgo yádaałtiʼígíí
can	bíighah
can	yadiizíní
can't	doo
Cancel	ą́ʼnasdziid
cancer	naałniihii
cancer	łóód doo nádziihii
capable	tʼáá ałtsohjįʼ bíighah
capacity	hazʼánígíí bíighahgo ánéeltʼeʼ dooleełígíí
capital	naatʼáanii bił hazʼánígíí
capital	naʼadzogo aląąjįʼ bee hahooláhígíí
caption	baa haneʼgo saad bikááʼ
capture	iiltsood
car	chidí nímazí
career	honaanish ájiłʼínígíí
careful	hazhóʼó
carefully	baaʼaháyą́
careless	doo baaʼáhayą́ą́góó
caring	hwił ílį́
carpenter	hooghan ííłʼíní
carpet	neʼgóó sikaadígíí
carrot	chąąshtʼézhiitsoh
carry	yitʼááł
carry on	niwohjįʼ bee íʼilééh
carry out	chʼétʼaah
case	sitsʼaaʼ
cash	béeso
cast	tʼáadooleʼé alnééh
castle	kin yah diitłʼinígíí
casual	tʼáá hazhóóʼígo
cat	másí
catch	idoolnaʼ
catch	bił adeesdéél
category	ałʼąą ádaatʼéego dah naazhjaaʼ
cattle	béégashii
caught	iiltsood
cause	biniinaa ádzaaígíí
caution	ádaaʼákohwiinidzin
cautious	baaʼákohwiinidzin
cave	tsé biyiʼ ahoodzą́h
cease	neʼ kólyaago
ceiling	hooghan biyiʼ hódahdi
celebrate	baaʼahééhwiinidzin
cell	chʼosh doo yitʼíinii
center	ałnííʼ
century	neeznádiin nááhaijįʼ
cereal	tséstʼéí
ceremony	nahaghá
certain	tʼáá ákotʼé
certainly	tʼáá áko
certificate	naaltsoos binahjįʼ bee éédahozinígíí
chain	béésh bee naʼadzį́zí
chair	bikááʼ dah asdáhí
challenge	bee niʼíhonitaahí
chance	bee hooʼah
change	łahgo ádzaa
chaos	chʼohooshkał
character	tʼáá haishį́į́ baa haneʼígíí
character	tʼáá haishį́į́ diné
characteristics	tʼáá haʼátʼííshį́į́ doodago tʼáá háįda átʼéhígíí
charge	bee ąąháázil
charge	nániildóóh
charity	ił hadleeʼ
charming	báhozhǫ́
chart	tʼáá haʼátʼííshį́į́ baa haneʼgo bee naʼashchʼąąʼ
chase	jinoołchééł
chat	ahxił haneʼ
cheap	doo ilį́į da
cheat	honaʼadloʼ
cheating	inaʼadloʼ
check	naaltsoos béeso
check	nélʼį́h
cheek	aniitsiʼ
cheer	hwił hózhǫ́
cheerful	ił hózhǫ́
cheers	íhoneedlį́
cheese	géeso
chemistry	nahasdzáán biyiʼdóó haagéedgo bee naʼalkaah
cherish	hwił nilį́įgo baa nitsáhákees
chess	daanéʼé
chest	ayid
chew	yitʼaał
chicken	naʼahóóhai
chief	naatʼáanii
child	awééʼ
childhood	áłchíní ídlį́į́dą́ą́ʼ
children	nooséłí
children	áłchíní
chill	atah hahosdiiszííʼ
chimneys	łid bá hazéí
chin	ayaatsʼiin
chocolate	abeʼ nihxiní
choice	tʼáá hó íizhnízingo
choose	bikʼih hodiinííh
chop	jilneʼ
chores	honaanish ájiłʼínígíí
chubby	neeskʼah
chubby	nitsxaaz
church	tsodizin báhooghan
cinnamon	dikǫ́zhí
circle	nábąs
circumstances	bee ił hazʼánígíí
citizen	diné kééhatʼínígíí
city	kintah
claim	hó silį́į
claim	naaltsoos nináltsooz
clarify	hazhóʼó bééhozingo
class	óltaʼ góneʼ
clay	hashtłʼish
clean	nizhóní
clean	doo bąąh chxin da
clear	niłtóólí
clerk	naaltsoos ííłʼíní
clever	áyóo hwił ééhozin
client	bił naʼanishí
cliff	tsé naachiiʼ
climate	níłchʼih bee áhootʼéhígíí
climb	yiʼnah
clingy	bąąh dah jiztʼį́įgo
clock	náʼoolkiłí
close	ałchʼih ánalyaa
close	daʼdeelkaal
closet	ééʼ inídaaʼniłí góneʼ
cloth	naatʼą́hí
clothes	ééʼ
cloud	kʼos
cloudy	kʼos dah sikaad
clown	diné maʼádilíní
clue	binahjįʼ áhwiinidzinígíí
clue	bee áhwiinidzinígíí
clumsy	doo hatah hwiinéí da
cluster	nimazgo ałhiih yiʼnilgo
coach	naʼnitiní
coal	tsékǫʼ
coast	tóniteeł bąąhgi
coat	éétsoh
coffee	gohwééh
cognitive	akʼiʼdiitįįh
coincidence	tʼáá ákohanéehgo ádzaa
cold	deeskʼaaz
cold	sikʼaz
collapse	naałdas
collapse	nidoołdas
collar	azénáʼtʼiʼ
colleague	bił ałhił nidajilnishí
colleagues	diné bił nidaʼanishígíí
collect	nahadlááh
collection	ałhxaʼádaalyaaígíí
college	hódahdi bidziilgo óltaʼígíí
color	naashchʼąąʼígíí
colorless green ideas slept furiously	tátłʼidgo dootłʼizh doo bee naashchʼąąʼgóó doo hodítéehii daʼawosh
colour	nidaashchʼąąʼígíí
column	noolkáál
comb	tsiighá bee yilzhóhí
combination	ałhxiiʼjįʼ
combine	ałhíidzoh
combine	ałhíinil
come	hágo
come here	hágo
come on	tįʼ
comfort	doo hwidítéehiiʼ
comfortable	hwił yáʼáhootʼééh
coming	aadę́ę́ʼ
coming soon	hodíinaʼgo aadę́ę́ʼ
command	ajiłáago
comment	baa haʼoodzííʼ
commercial	bóʼookąąhí
commission	diné naanish baadeetʼánígíí
commit	bee adeehazhdoodzííʼ
commitment	bee ádeehaʼdoodzííʼ
committed	adeehaʼdoodzííʼ
commodity	chʼiyáán aanídaajihígíí
common	ádaatʼéhígíí
communicate	tʼáá haashį́į́ yitʼéego hxił haneʼ
communication	tʼáá haʼátʼííshį́į́ bee ahxił haneʼ
community	dinéʼ kééhatʼį́įgi
community	diné kééhatʼínígíí
commute	ałnááʼádááh
companion	diné bił nijiʼaashígíí
company	naanish deiyijeehígíí
compare	ałhxąąh naaʼnil
comparison	ałhxąąh naaʼnil
compassion	baa hwił hózhǫ́ǫgo bizhneedlį́h
compassionate	hwił yáʼátéehgo
compatible	ałhídinéelná
compete	ałkʼiʼayiildééh
competent	tʼáá ałtsohjįʼ bíjíighah
competition	bee ałkʼééʼayiildahígíí
competitive	bee ałhaaʼayooldah
complain	baa saad hojołį́
complaint	baa saad hojiłeehgo
complement	saad yáʼátʼéhígíí bee yátiʼ
complete	ałtsoh ályaa
completely	tʼáá átʼé
complex	tʼáá dikwíigo shį́į́ ałʼąą átʼéego bee hadítʼéhígíí
compliance	bikʼehgo nidaʼanishígíí
complicated	tʼáá nanitłʼah
compliment	saad yáʼátʼéhígíí bee yátiʼ
comply	bikʼehgo ajiłʼį́h
composition	tʼáá haʼátʼííshį́į́ bee ályaaígíí
composition	tʼáá haʼátʼííshį́į́ bee hadilyaaígíí
compound	tʼáá haʼátʼííshį́į́ ałhxíiʼnilgo
compound	tʼáá haʼátʼííshį́į́ ałhxiih yilyáago
comprehension	akʼiʼdiitįįh
comprehensive	akʼizhdiitįįh
compromise	bee ałghashdeestʼą́h
compulsory	bee hazʼánígíí
computer	béésh łichíiʼii nitsékeesí
concentrate	tʼááłáhídóó chóoztʼeʼgo
concentrate	yéego baa nitsáhákees
concept	baa nitsíhakeesígíí
concern	baa haneʼgo
concern	hoʼdiiłáago
concerned	hoʼdiiłáh
concerned	baa haneʼ
concert	hazhǫʼ
conclusion	bee ééhoozinígíí
concrete	yitʼį́įgo bééhozinígíí
condition	bee átʼéhígíí
conditions	ádaatʼéhígíí
conduct	aʼjilééh
conference	ahxił haneʼ
confess	chʼééʼditʼaah
confess	chʼééjiʼditʼaah
confidence	haʼahoníh
confident	haʼahoníh
confirm	bee lą́
conflict	doo ałhíhodínéenáa da
confused	tʼóó hwił ałtaahaʼaʼ
confused	doo hazhóʼó bikʼiʼdiitįįh da
confusion	doo hwił ééhozin da
congrats	baaʼahxééhwiinidzin
congratulation	nizhóní baaʼahxééhwiinidzin
congratulations	doo lá dóʼ da nizhóní
conjunction	saad naadzohgo bee yátiʼ
connect	ałhíiltsood
conquer	bilajiyáago
conscious	hontsékees átʼéhígíí
consciousness	chʼééjidzin dóó tʼáá ałtsohjįʼ baaʼáhozhnízin
consent	bee ląʼ aleeh
consequences	tʼáá haʼátʼííshį́į́ doo ákojiiłįįhgóó biniinaa akʼihnéítʼihígíí
conservation	ahxił haneʼ
conservative	ahxił haneʼ
consider	baa nitsíníkees
considered	baa nitsáháskééz
consist	bee hadítʼéhígíí
consistency	tʼááłáhígi átʼéego bee injiiłʼįįhgo
consistent	tʼáá łáhígi átʼéego bee áʼjoolííł
constant	tʼáá ałhxą́ą́h
constantly	tʼáá ałhxą́ą́h ááníiłgo
constipation	atsą́ądi íítłʼish
construction	nidaʼanishídi
construction	nidaʼanishígi
consume	jiyą́ągo
consume	yidą́
consumption	yidánígíí
contact	bichʼįʼ haneʼ alyaa
contagious	ayóo idilnééh
contain	biyiʼígíí
contains	dabiyiʼígíí
contemporary	kʼad áhooníłígíí
contempt	doo haahodzídlíi da
content	baa haneʼí
content	baa haneʼígíí
contest	hwininéh
context	áhootʼéhígíí
continent	kéyah nitsaago bił hadahwiisdzooígíí
continue	náásgóó hoolzhish
contract	naaltsoos bee ałghaʼdeetʼánígíí
contrast	tʼáá sahdii átʼé
contribute	ił hadleeʼ
contribution	tʼáadooleʼé aazhnínilígíí
control	bóholnííh
control	óholnííh
controversial	tʼáá haʼátʼííshį́į́ baa saad hólǫ́ǫgo
convenience	tʼáá ałtsohjįʼ bee bichʼįʼ háʼahootʼiʼígíí
convenient	doo bichʼįʼ nahonitłʼah da
conversation	ahił haneʼ
convert	łahgo alnééh
convey	yigééł
convince	diné tʼáá haʼátʼííshį́į́ bijiníigo yikʼehgóó ádzaago
convinced	ábizhniisį́įgo
cook	chʼiyáán alnééh
cooking	chʼiyáán alnééh
cool	honeezkʼází
cool	sikʼází
cooperation	naanish bił nahazʼánígíí
cope	nanitłʼaaígíí bił joogááł
copper	béésh łichíiʼii
core	bitsiin
corn	naadą́ą́ʼ
corner	nástłʼah
correct	hashtʼeelyaa
cost	bą́ą́h alʼínígíí
costume	ééʼ hózhǫʼ biniiyé bee hááʼdiitʼįįhígíí
cottage	hooghan yázhí
cotton	naʼakʼąʼ
couch	bikááʼ dah asdáhí hideeneezígíí
cough	dikos
could	bíighahdą́ą́ʼ
council	naatʼáanii dah naháaztánígíí
count	anéeltʼeʼ woltaʼígíí
counter	bikááʼ dah nídaʼaniłí
country	kéyah nitsaago hahoodzoh
countryside	kéyah
couple	ałhidiʼnáanii
couple	naakigo
courage	siiʼhasin
course	atiin
court	aahwiinítʼíní góneʼ
court	aahwiinítʼį́ bił hazʼánígíí
courtesy	ił ílį́
cousin	shił naaʼaash
cover	bikʼéstiʼ
cow	béégashii
coward	diigis
cozy	honeezilí
crab	tátłʼááh chʼosh
crack	sitsʼil
craft	álá bee álʼínígíí
crap	tʼáá haʼátʼííshį́į́ nichxǫʼį́
crash	ałhiihíłdááz
craving	biká íizhnízin
crawl	yiʼnah
crawl	jooʼnah
crazy	dooʼáhayąʼ
crazy	diigis
create	eʼelnééh
creative	ayóo tʼáadooleʼé alʼínígíí
credit	ąąhááʼáh
creep	ąąh nijiʼnaʼ
