ɖé	a
yí akwɛ́	borrow
gǎn	boss
we lɛ́	both
ɖŏ tagba	bother
ɖì	bother
go	bottle
jizɔ́n	bottom
xɔ	bought
zlɔ́n	bounce
è dó	bound
dogbó lɛ	boundaries
gàn	bow
nùɖúɖú	bowl
gangbà	box
nyaví	boy
xɔ́ntɔn	boyfriend
alɔví	bracelet
ayi	brain
alɔxɔ	branch
nùjlɛdonǔwu	brand
akɔnkpinkpan	brave
nǔgbomɛ	breach
wɔ̌xúxú	bread
etɛ́ wɛ́ nyí	break
nùɖúɖú	breakfast
kɔ́	breast
jɔhɔn	breath
hùn	breathe
honwezun	breed
azin	brick
alɔwliwli	bride
gǎglónú	bridge
nùɖé kpò	brief
akpé	bright
akpé	brilliant
dŏ wŭ	bring
nɔví	bro
mɛxo	broad
jla	broadcast
é gblé	broke
gba	broken
akizà	broom
nɔví	brother
nɔví sunnu tɔn	brother in law
kplá	brought
kɔ́n	brown
nùsúnsùnnú	brush
xɛ	bucket
xɔ́ntɔn	buddy
akwɛ̀kpò	budget
nùɖé	bug
bló	build
xɔ	building
è bló	built
ayakatayajà	bulk
nyibú	bull
mɛ e nɔ dó ya nú mɛ é	bully
go	bump
hwin	bunch
nùbiblà	bundle
ɖŏ agban	burden
agban	burden
è ɖi	buried
do myɔ	burn
wùkpà	burst
ɖà	bury
mɔ̆to	bus
gbadé	bush
agbàn	business
nùɖíɖó	bust
un ɖó hwenu ǎ	busy
amǒ	but
atín	butter
lɛ́ɛ	butterfly
gùn	button
xɔ	buy
ɖò	by
é ɖò mɔ̌ có	by the way
bye bye	bye
amà	cabbage
nùgùdo	cabinet
ajà	cage
acɔnmɔ́n	cake
nyibú	calf
ylɔ́	call
ylɔ́ wà	call
ylɔ mì	call me
ylɔ́	called
gbɔjɛ	calm
wá	came
nùkpinkpan	campaign
sixu	can
kpéwú	can
Un sixu wà mɔ̌ ǎ	can't
ÐáñáôçñÞóôå	Cancel
kansɛ́n	cancer
nǔwukpikpé	capable
nǔwukpikpé	capacity
nǔ taji	capital
xókwín	caption
wlí	capture
mɔ̆to	car
azɔ̀	career
ayi ɖó	careful
kpɔnkpɔn	carefully
ayi ma ɖó	careless
kpé nukún dó mɛ wu	caring
atínzɔ́watɔ́	carpenter
tikwéé	carpet
xɛ́	carrot
hɛn	carry
yì nukɔn	carry on
wà	carry out
xɔ́	case
cìn jí	cash
ɖŏ	cast
xɔ	castle
vuvɔ	casual
awii	cat
wlí	catch
nùɖé	category
kanlin	cattle
è wlí	caught
nù	cause
ɖò alisà	cause
ayihun	caution
ayi ɖó	cautious
mɛ	cave
sà	cease
gàn	ceiling
ɖù xwè	celebrate
alokàn	cell
tɛntin	center
xwè kanweko	century
jinukùn	cereal
nuwà	ceremony
nùɖé	certain
é ɖò wɛn	certainly
kúnnuɖenú	certificate
kannu	chain
azinkpo	chair
tagba	challenge
kpà do	challenge
tabubɔ	chance
wǒ	change
nǔ gblé	chaos
nùjɔnǔ	character
nùɖé lɛ	characteristics
ɖidà	charge
nǔníná ɖagbewiwa	charity
nyɔ́	charming
wemafɔ	chart
dŏ gudo	chase
ódi do	chat
ɖi do	chat
ɖŏ xó	chat
akwɛ́ ɖé ǎ	cheap
adà	cheat
nùblíblí	cheating
xà kpɔ́n	check
dô kpɔ́n	check
alàkà	cheek
jlo	cheer
xomɛhunhun	cheerful
é sù	cheers
nùsúnnú	cheese
nùjlajla	chemistry
yí wǎn	cherish
afɔkù	chess
kɔ	chest
té adù ji	chew
kokló	chicken
gǎn	chief
vǐ	child
vǔ	childhood
vǐ lɛ	children
fifa	chill
éfa	chill
nùɖúɖú	chimneys
mɛ̀	chin
kpɔ́kɔ́ló	chocolate
gbeta	choice
cyàn	choose
xuxo	chop
azɔ̌ lɛ	chores
kpɔ́bii	chubby
sinsɛn	church
sinmɛ	cinnamon
lɛ́ lɛ̌ dó	circle
ninɔmɛ lɛ	circumstances
tòví	citizen
toxo	city
ɖŏ hwɛ	claim
nǔɖíɖó	claim
ɖŏ hwɛ dó mɛ	claim
ɖè wě	clarify
azɔmɛ	class
xɛ	clay
mǐmɛ́	clean
nyénminyénmi	clear
zàwé	clear
azɔwanú	clerk
nùnywɛ́tɔ́	clever
nùzɔ̌tɔ́	client
yɔdo	cliff
jɔhɔn	climate
yì jǐ	climb
ɖíɖá	clingy
ganxixo	clock
bɔ̀ dŏ	close
alumàà	closet
avɔ	cloth
awu	clothes
hwesivɔ	cloud
azizɔ	cloudy
manahen	clown
nùjlɛdonǔwu	clue
nǔglɔ́	clumsy
nùjlɛ́mɛ	cluster
nukplon mɛ	coach
nukplon mɛtɔ	coach
kɔ́n	coal
xuta	coast
avɔ	coat
kafe	coffee
nùjlɛdonǔwu	cognitive
nyinyi	coincidence
xú	cold
jɛ ayǐ	collapse
gǎ	collar
azɔ̌gbɛ́	colleague
azɔ̌gbɛ́ ce lɛ	colleagues
akwèjɔ̀	collect
àkwéjɔ́	collection
wemaxɔmɛ	college
kɔ́n	color
nùjlɛ́jlɛ́ wěwé e ma ɖó tin ǎ lɛ́ɛ nɔ́ dɔ́ amlɔ mɛ	colorless green ideas slept furiously
kɔ́	colour
xɛ̀n	column
nùsúnnú	comb
blá ɖo kpɔ	combination
se ta kplé	combine
wǎ	come
wǎ fí	come here
wá	come on
gbɔdónúmɛ	comfort
é nyɔ́	comfortable
é ɖò wǐwá wɛ	coming
e na wá ɖò malín málín mɛ̀	coming soon
acɛkpikpa	command
xósin	comment
ajɔ̌nú	commercial
azɔwanú	commission
ɖŏ wŭ	commit
kancica	commitment
e dó akpá	committed
agbàn	commodity
nùxámɛ	common
ɖɔ xó	communicate
kpà	communication
agun	community
yì azɔ̌	commute
xɔntɔn	companion
gbé	company
jlɛ́	compare
jlɛjininɔ	comparison
nǔbláwǔkúnúmɛ	compassion
xomɛnyínyɔ́	compassionate
nùɖíɖó e sɔgbe lɛ é	compatible
ɖùgbɛ́	compete
acɛkpikpa	competent
kancica	competition
ɖùkpá	competitive
ɖŏ hwɛ	complain
ɖŏ nùkanbyɔ	complaint
gɔ́ nan	complement
hú nan	complement
nǔ bǐ fó	complete
bibɔ́	completely
nǔ kpinkpɛn	complex
nùjlɛ́n	compliance
nǔ kpinkpɛn	complicated
nùkpinkplɔn	compliment
si	comply
nǔ e è ɖ'ayǐ	composition
nùɖíɖó	compound
nukúnnúmɔjɛnǔmɛ	comprehension
nǔ bǐ	comprehensive
gbedo kpɔ	compromise
ɖŏ gbeji	compromise
nǔ e è ɖó ná bló é	compulsory
kɔmpiutɛ	computer
nùɖúɖú	concentrate
linlin	concept
kpò	concern
nùkanbyɔ́	concerned
nùxixo	concert
xota	conclusion
wi wa	concrete
é blo	concrete
ninɔmɛ	condition
ninɔmɛ lɛ	conditions
jijɔ	conduct
kpléɖókpɔ́	conference
ɖɔ	confess
jiɖiɖe	confidence
jiɖiɖe	confident
tè ɖě ji	confirm
nǔdindɔn	conflict
blɛ́	confused
nùblawùn	confusion
é nyɔ́ ɖɛ	congrats
kú dó nú mì	congratulation
é nyɔ́ ɖɛ	congratulations
nùblànù	conjunction
xò	connect
ɖu ɖ'é jí	conquer
ayi	conscious
ayixa	consciousness
yi gbè nù me	consent
alɔwlíwlí	consent
yi gbè	consent
nùɖé lɛ	consequences
ze nu hen	conservation
zè nù hèn	conservative
ɖè nukún dó	consider
è gbéjé	considered
nɔ nɔ	consist
tegbè	consistency
é nɔ́ nɔ̀	consistent
nɔ nɔ	constant
hweɖebǔnu	constantly
nùxámɛ	constipation
azɔmɛ	construction
fyɔ́	consume
gbɔ́tàgbigbà	consumption
ylɔ̌	contact
azɔnkwín	contagious
nɔ ɖó	contain
nɔ ɖó	contains
hwexónu tɔn	contemporary
nùɖé dó mɛ	contempt
tíín	content
nùkpánkpán	contest
xógbe e è ɖɔ dó nǔ wu é	context
to ɔ	continent
yì nukɔn	continue
do kancica	contract
kancica	contract
dokpo wéa	contrast
d'alɔ	contribute
alɔdo	contribution
kpɔ́n	control
ɖekúnnu	controversial
ɖŏ mε	convenience
nùɖíɖó ɖagbe	convenient
xóɖiɖɔ	conversation
ɖyɔ	convert
ézé hùzù	convert
hùzù	convert
ɖɔ n'í	convey
ɖɔ xó	convince
é yí gbè	convinced
sɔ́ nù	cook
blo ɖŏ	cook
sɔ́ nù	cooking
é vívíví tawun	cool
é nyɔ́	cool
azɔ̌ ɖó kpɔ́	cooperation
kpàn nukɔ̀n	cope
kɔ́fu	copper
nùjɔnǔ	core
gbò	corn
kɔxo	corner
é sɔgbe	correct
axivéxivé	cost
we axi	cost
awu	costume
xɔ	cottage
atín	cotton
kɔ́fún	couch
kpén	cough
sixu	could
kplékplé	council
kpò	count
sɔ́ kén	counter
tò	country
gleta	countryside
mɛ wè	couple
akɔnkpinkpan	courage
wezùn	course
hwɛɖɔxɔsa	court
mesisi	courtesy
tɔ́gbó	cousin
xɛsin	cover
nyibú	cow
xlonɔ	coward
eyon	cozy
agàsà	crab
ézin	crack
gba	crack
azɔwanú	craft
afènnù	crap
éwor	crash
alita òvi	crash
menujlome	craving
ɖù	crawl
nùɖé wɛ	crazy
ɖŏ	create
ɖíɖó	creative
nyìyí tɔn	credit
nùɖúɖú	creep
wŭ	creepy
azɔ̌watɔ́	crew
hwɛhuhu	crime
ɖì	cringe
mafù	cringe
kpò	crisis
nùjlɛdonǔwu	criteria
nùxámɛ	critical
wèmá	criticism
nǔkún	crop
nǔkún	crops
dida sa	cross
kpé	cross
xɛ	crow
mɛ lɛ	crowd
mɛ kpò	crowded
axɔ́súgbákún	crown
nǔ taji	crucial
adǎn	cruel
tɔjihùn	cruise
lí	crush
li li	crush
ɖasin	cry
kpikpa	cucumber
lili alɔ̀ wù	cuddle
aca	culture
mebibi	cunning
kɔ́fu	cup
alumaà	cupboard
lè le do	curb
gbɔ azɔn	cure
azɔn gbi gbɔ	cure
gbadanu	curfew
nùkanbyɔ	curiosity
kpò	curious
gàglonù	curly
akwɛ̀	currency
dŏ nú	current
dìn	currently
nùɖé	curse
kanxisi	curtain
daàkpè sin vi	cushion
ahwangàn	custom
xɔtɔ́	customer
hwɛhwɛ	customs
gbigbo	cut
glo	cut
nyɔ́ ɖɛkpɛ	cute
nùjlajla	cycle
kpikpa	cycling
tɔ́	dad
tɔ́	daddy
sùn ɖokpo ɖokpo	daily
ganvɔvɔ	dairy
gàn	dam
gùgù	damage
e nyɔ́	damn
fifà	damp
ɖú wè	dance
awovinú	danger
nùxámɛ	dangerous
zàn	dark
alɔví ce	darling
dŏ	dash
mɛ e nɔ	data
akɔjegbè	date
hwenu	date
vǐ nyɔnu	daughter
azǎn	day
kú	dead
xota tɔn	deadline
dŏ tó	deaf
nǔ	deal
djè akor	deal
akɔdjidjè	deal
vívɛ́ná	dear
Mi bǐ	Dear All
mɛvívɛ́ná ce	Dear Customer
Mɛjitɔ́ vívɛ́ná lɛ	Dear Parents
Mɛvívɛ́ná ce	Dear Sir
Azɔ̌nɔ ce lɛ	Dear students
Mɛvívɛ́ná ce lɛ	Dear Team
kú	death
xóɖɔɖ'ayǐ	debate
cé	debit
xwè	debris
axɔ	debt
xwè wǒ	decade
gblégblé	decay
kú	deceased
blǒ	deceive
décembre	december
mɛ ɖagbe	decent
ɖɔ	decide
gbeta e è ɖɔ é	decided
afɔ̌tunté	decision
lini	deck
ɖyɔ́	decline
kpɔ́n té	decrease
é zé éɖée jó	dedicated
mɛɖée zízé jó	dedication
wèmá	deed
mɛ	deep
lɛ́ɛ	deer
jijɔ nyanya	default
dja yi	defeat
ayi djidjè	defeat
gàn	defend
ɖɔ	define
é ɖò wɛn	definitely
tinmɛ	definition
azɔmɛ	degree
gangbɔtɔ	delay
lin	delay
é nɔ́ lín	delayed
ɖè	delete
wlenwindidé	deliberate
ɖŏ mε	delicate
jokpé	delicious
awǎjijɛ	delight
é hun xomɛ nú mì	delighted
ɖè	deliver
è sɔ́	delivered
hɛn	delivery
kinkanbyɔ	demand
kàn bɔ	demand
byɔ́ nǔ mɛ	demanding
acɛkpikpa	democracy
awovi	demon
xlé	demonstrate
è gbɛ́	denied
nùjlajla	density
aɖǔzɔ́nɔ	dentist
gbɛ́	deny
azɔwanú	department
yì	departure
agbàn	depend
wlan	deploy
sɔ́ dó ayi	deposit
ɖekúnnu é	deposit
mɛ e ɖò aluwɛ mɛ é	depressed
nùxámɛ	depression
gɔɔ́n	depth
tinmɛ	describe
tinmɛ	description
gbadanu	desert
é jɛxa	deserve
nu dide	design
dénu	design
è ɖè	designation
jló	desire
nùjlótɔ	desire
wemaxɔmɛ	desk
nùxámɛ	despair
é ɖò xwi ɖí wɛ	desperate
kpodo	despite
gbéxo	dessert
nǔ e è ɖó ná bló é	destination
gbenù	destiny
sú dó	destroy
gblégblé	destruction
nùɖé lɛ	detail
tinmɛ	details
mɔ	detect
gbetaɖowu	determination
ɖɔ	determine
è ɖè	determined
è ɖɔ	determined
é gblé	devastated
ɖò nukɔn yì wɛ	develop
ɖù	develop
jɛji	developed
è ɖù	developed
nukɔ́nyiyi	development
nǔkpìkpà	device
nùjlɛdonǔwu	device
awovi	devil
mɛ e nɔ yí wǎn	devoted
Dhivehi	Dhivehi
sukpɔ́	diabetes
nùxámɛ	diarrhea
gbeɖiɖe	diary
xógbeɖevomɛ	dictionary
wà	did
kú	die
kú	died
nùɖuɖu	diet
vogbingbɔn	difference
nǔ vovo	different
é vɛwǔ	difficult
kùn	dig
sísí	dignity
wùyiyà	diligent
nùɖúɖú	dinner
gbamè	dip
gùwùn	direct
ali	direction
gǎn	director
kɔ́n	dirt
nùɖúɖú	dirty
gbò	disable
mɛ e ɖó wǔvɛ́	disabled
bú	disappear
é wà nùɖé ǎ	disappointed
nǔ nyanya	disaster
ɖè	discard
é ɖè	discharge
mɛsin	discipline
ɖíɖekpó	discount
mɔ̀	discover
gbeɖeji	discrimination
ɖɔ xó	discuss
xó ɖɔ	discussion
azɔn	disease
azɔn lɛ	diseases
ɖŏ	disguise
kwiji	disgusting
agbàn gbéjé	dish
nù ɖù lɛ́	dishes
ɖè mɛ	dismiss
àjɔ́xwé	dispatch
xlɛ́	display
blo ɖó	disposal
kpò	dispute
zɔjɛn	distance
nùɖé	distinct
klolo	distinguish
wŭ	distress
má nǔ	distribution
xá	district
ɖŏ tagba	disturb
yɔdo	ditch
lùn	dive
nùɖé lɛ	diverse
nùɖíɖó vovo	diversity
má	divide
nùkikàn	divine
mi man	divorce
é man	divorce
nùɖé nɔ́ nyí	dizzy
bló	do
a nɔ bló gbɔn	do you
a yí wǎn nú mì	do you love me
dotóo	doctor
wuntun	document
é nɔ wà	does
é nɔ wà mɔ̌ ǎ	doesn't
cukù	dog
Dogri	Dogri
blo	doing
abunéka	doll
nùɖé	domain
tò tò	domestic
acɛkpikpa	dominant
ma bló ó	don't
Ma ɖi xɛsi ó	Don't worry
dŏ nù	donate
ɖŏ	done
xasun	donkey
atɔn do bù	double
wèdobù	double
xò nù kpɔn	doubt
mamà	dough
afongodé	down
dŏ wŭ	download
ɖŏ wŭ	draft
sà lelè	drag
sisa	drain
nùjlajla	drama
wlan	draw
dɔ́n	drawer
ɖè	drawing
xɛsi ɖi	dread
drɔ́ kùkù	dream
drɔ́	dream
awu	dress
tɔn	drill
nu	drink
ahan	drink
kun	drive
ayijijé	drop
zè wà do	drop
e ɖè	dropped
xú	drought
ahannumú	drunk
xú	dry
gàn	duck
xɔ́ntɔn	dude
è ɖó ná yí	due
ɖó	due to
fitifiti	dull
xlonɔ	dumb
nùɖúɖú	dump
xwè	duration
ɖò hwenu	during
kɔ́	dust
azɔ̌	duty
nɔ	dwell
kú	dying
mɛ ɖokpo ɖokpo	each
mǐɖée	each other
jló	eager
jɔhɔn	eagle
tó	ear
nukɔnmɛ	earlier
hweɖenu	early
mɔ akwɛ́	earn
tó	ears
ayikúngban	earth
ayikúngbanjijla	earthquake
nǔ nɔ bɔkun	ease
é nɔ bɔwǔ	easily
zǎnzǎnhwe jí	east
é fá	easy
ɖu nù	eat
ɖuɖu	eating
akwɛ̀nkpò	economic
akwékplékplé	economy
kpà	edge
ɖyɔ́	edit
mekpinkplɔn	education
nǔwiwa	effect
nùjiwǔ	effective
agidi	efficiency
akowunkà	efficient
gǎndùdó	effort
asin	egg
atinsinsɛn	eggplant
mɛɖesɔhwe	ego
Azɔn tantɔn	eight
xwè kanwe afɔtɔn	eighteen
kanɖé nukún	eighty
abǐ	either
slé	elaborate
alɔví	elbow
mɛxó	elder
mɛxo lɛ	elderly
lomilomi	elegant
bogbé	element
fífán	elephant
ɖokpo	eleven
e nɔ kpé nukún dó nǔ wu	eligible
ɖíɖí	eliminate
mɛ ɖevo	else
nǔ ɖevo lɛ	else
winnyá dó mì	embarrassed
winnyá	embarrassing
kisi	embrace
ɖŏ	emerge
nùxámɛ	emergency
ayi mɛtɔn	emotional
sè xá mɛ	empathy
nukùndéji	emphasis
dŏ wě nú	emphasize
azɔ̌watɔ́	employee
azɔ̌watɔ́	employees
azɔxotɔ́	employer
zàn	employment
mɛ́ ɖè ă	empty
d'alɔ	enable
dokpé	encounter
dó wusyɛn lanmɛ nú mɛ	encourage
finɛ	end
e ɖò afɔkú wɛ	endangered
gǎn dó	endeavor
kanɖodonǔwu	endurance
zɔ̀n ji	endure
kɛntɔ́	enemy
hlɔnhlɔn	energy
ɖo gbatè	engage
alɔwliwli	engaged
kancica	engagement
mɔ̆tɔ́	engine
azɔwanú	engineer
glensi gbè	English
dŏ sù	enhance
dŏ mε	enjoy
nùɖíɖó ɖaxó ɖé	enormous
é kpé	enough
gàn jè wù dɔ́	ensure
byɔ́	enter
ayihunhun	entertainment
akpàkpà	enthusiasm
akpàkpà	enthusiastic
nǔ bǐ	entire
e ɖó acɛ	entitled
bulɔ́n	entity
mɛ byɔ́	entrance
azɔtɔ	entrepreneur
wèmá	envelope
azɔ̌	environment
wènú	envy
nùjlɛdonǔwu	epic
azɔnkwín	epidemic
