ⴰ	a
ⴰⴷ ⴷⵯⵜⵃⴻⵙⵙⴻⴷ	assess
ⴰⵙⴻⵖⵜⵉ	assessment
ⴰⵎⴻⵙⴽⴰⵔ	asset
ⵛⵛⵉ	assets
ⴻⴼⴽ	assign
ⴰⵙⴻⴱⵜⴻⵔ	assignment
ⴰⵍⵍⴻⵍ	assist
ⴰⵎⴰⵍⴰⵍ	assistant
ⴰⵎⴻⴷⴷⴰⴽⴻⵍ	associate
ⵉⵎⴻⴷⴷⵓⴽⴰⵍ	associated
ⵜⵉⴷⴷⵓⴽⵍⴰ	association
ⴰⴷ ⴰⵙⵯⵜⵉⵏⵉⴹ	assume
ⴰⵙⴰⵍⵉ	assumption
ⴷⴻⴳ	at
ⵎⴻⵇⵇⴰⵔ	at least
ⵢⴻⵞⵞⴰ	ate
ⴰⵏⴰⴷⴷⴰⵍ	athlete
ⵢⴻⵇⵇⴻⵏ	attach
ⵢⴻⵜⵜⵡⴰⵟⵟⴼⴻⵏ	attached
ⴰⵙⴱⴰⴷ	attachment
ⴰⵥⴷⴰⵎ	attack
ⵢⴻⵄⵔⴻⴷ	attempt
ⴰⴷ ⴷⵯⵢⴰⵡⵓ	attend
ⵜⵉⵍⵉⵏ	attendance
ⴰⴼⴰⴷ	attention
ⴰⴷⴷⵓⴷ	attitude
ⴷⵯⵊⴻⴱⴷⴻⵖ ⵍⵡⴻⵍⵀⴰ	attract
ⵢⴻⵜⵄⴻǧǧⴱⴻⵏ	attraction
ⵢⴻⵙⵙⴻⵡⵀⴰⵎⴻⵏ	attractive
ⴰⵢⵍⴰ	attribute
ⴰⴳⴷⵓⴷ	audience
ⵖⵓⵛⵜ	august
ⵄⴻⵎⵎⵉ	aunt
ⵅⴰⵍⵉ	aunty
ⴷ ⵜⵉⵏ ⵏ ⵜⵉⴷⴻⵜ	authentic
ⴰⵎⴰⵔⵓ	author
ⴰⴷⴰⴱⵓ	authority
ⵍⴻⵅⵔⵉⴼ	autumn
ⵉⵍⵍⴰ	available
ⴰⵎⴹⴰⵏ	average
ⵅⴹⵓ	avoid
ⵢⵓⴽⵉ	awake
ⴰⵔⵔⴰⵣ	award
ⵢⴻⵙⵏⴻⵏ	aware
ⵜⴰⵎⵓⵙⵏⵉ	awareness
ⵢⴻⴱⵄⴻⴷ	away
ⵢⴻⵍⵀⴰ	awesome
ⴷ ⴰⵢⴻⵏ ⵏ ⴷⵉⵔⵉ	awful
ⵓⵔ ⵢⴻⵙⵄⵉ ⵍⵎⴻⵄⵏⴰ	awkward
ⴰⵢⵎⴰⵔⴰ	Aymara
ⴰⴳⵔⵓⴷ	baby
ⴰⵎⴱⵓⵔ	bachelor
ⵖⴻⵔ ⴷⴻⴼⴼⵉⵔ	back
ⵜⴰⵣⵔⴰⵡⵜ	background
ⵢⵉⵔ	bad
ⴰⵙⴳⴰ	bag
ⵜⵛⴻⵕⴽⴻţ	bait
ⵢⴻⵙⵙⴻⵡⴰⵢ	bake
ⵜⴰⵃⴰⵏⵓⵜ	bakery
ⵙoⴷⴰ ⵏ ⵍⵖⴻⵍⵍⴰ	baking soda
ⵙⴻⵎⵏⴻⴽⵏⵉ	balance
ⵜⴰⴽⵓⵔⵜ	ball
ⴱⴰⵎⴱⴰⵔⴰ	Bambara
ⵜⴰⴱⴰⵏⴰⵏⵜ	banana
ⵜⴰⵔⴰⴱⴱⵓⵜ	band
ⴰⵣⵍⴰⵎ	bang
ⵍⴱⴰⵏⴽⴰ	bank
ⵍⴱⴰⵕ	bar
ⵏⴰⵙ ⴽⴰⵏ	barely
ⴰⵎⴻⵏⵏⵓⵖ	bargain
ⵢⴻⵙⵙⴻⴳⵍⴻⴼ	bark
ⵜⴰⵥⴻⴳⵡⴰ	barley
ⵣⵣⴻⵔⴱ	barrier
ⵉⵔⴻⵚⵚⴰⵏ	base
ⵜⴻⵔⵙ	based
ⴰⴷⴻⵔⴱⵓⵣ	basement
ⴰⴳⴻⵊⴷⴰⵏ	basic
ⴷⴻⴳ ⵍⵍⵙⴰⵙ	basically
ⵍⴻⵃⴱⴻⵇ	basil
ⴰⵄⴻⵟⵟⴰⵢ	bastard
ⵜⴰⴼⴼⴰ	batch
ⴰⴱⴷⵓⵣ	bath
ⵜⴰⵛⵓⵛⴰⴼⵜ	bathroom
ⵉⵥⵔⴰ	battery
ⴰⵎⴻⵏⵏⵓⵖ	battle
ⵜⴰⵎⴷⴰⵯⵏⵏⵉ.	bay
ⵉⵍⵉ	be
ⵙ ⵜⵜⴰⵡⵉⵍ	be careful
ⵍⴻⴱⵃⴰⵔ	beach
ⴰⴱⴻⵔⴳ	beam
ⵜⴰⴷⵍⴰⵅⵜ	beans
ⵓⵔⵙⵓ	bear
ⵜⴰⵎⴰⵔⵜ	beard
ⴰⵙⴻⴱⴷⴰⴷ	bearing
ⴰⵖⴻⵔⵙⵉⵡ	beast
ⴰⵡⵡⴻⵜ	beat
ⵉⵛⴱⴻⵃ	beautiful
ⵛⴱⴰⵃⴰ	beauty
ⵢⵓⵖⴰⵍ	became
ⴰⵅⴰⵟⴰⵔ	because
ⵢⵓⵖⴰⵍ	become
ⵓⵙⵓ	bed
ⵜⴰⵅⵅⴰⵎⵜ ⵏ ⵢⵉⴹⴻⵙ	bedroom
ⵜⵉⵣⵉⵣⵡⵉⵜ	bee
ⴰⴽⵙⵓⵎ	beef
ⵢⴻⵍⵍⴰ	been
ⵜⴰⴱⵢⵉⵔⵜ	beer
ⵓⵇⴱⴻⵍ	before
ⵢⴻⴱⴷⴰ	began
ⵢⴻⴱⴷⴰ	begin
ⵜⴰⴻⵡⴰⵔⴰ	beginning
ⵙ ⵢⵉⵙⴻⵎ	behalf
ⵙⴻⴳⴳⴻⵎ	behave
ⵜⵉⴽⵍⵉ	behavior
ⵜⵉⴽⵍⵉ	behaviour
ⴷⴻⴼⴼⵉⵔ	behind
ⴷ ⵡⵉⵏ ⵢⴻⵍⵍⴰⵏ	being
ⴰⵢⴻⵏ ⵢⴻⵜⵜⴰⵎⴻⵏ	belief
ⴰⵎⵏⴻⵖ	believe
ⴰεⴻⴱⴱⵓⴹ	belly
ⴷ ⴰⵢⵍⴰ	belong
ⵄⵣⵉⵣ	beloved
ⴷⴷⴰⵡ	below
ⵜⴰⴱⴰⴳⵓⵙⵜ	belt
ⴰⵖⴰⵍⴰⴷ	bench
ⵉⴽⴻⵏⵏⵓ	bend
ⴷⴷⴰⵡ	beneath
ⵔⴻⵣ	benefit
ⵢⴻⵙⴼⴰⵢⴷⴻⵏ	benefits
ⵖⴻⵔ ⵜⴰⵎⴰ	beside
ⴰⵔ ⵜⴰⵎⴰ	besides
ⴰⵢⴻⵏ ⵢⴻⵍⵀⴰⵏ	best
ⴰⴼⵓⴷ ⵉⴳⴻⵔⵣⵣⴻⵏ	best of luck
ⴰⵣⵓⵍ ⴰⵃⵎⴰⵢⴰⵏ	best regards
ⴰⵅⵉⵔ	better
ⴳⴰⵔⵯⴰⵙⴻⵏ	between
ⵜⵉⵙⵙⵉⵜ	beverage
ⴷⴻⴼⴼⵉⵔ	beyond
ⴱⵀoⵊⴱⵓⵔⵉ	Bhojpuri
ⵏⴻⵃⵡⴰⴰ	bias
ⵢⴻⵣⴳⴰ	biased
ⴰⵙⵏⴰⵙⵖⴰⵍ	bicycle
ⵙⵙⴰⵔⴰⵎⴻⵖ	bid
ⴰⵎⴻⵇⵇⵔⴰⵏ	big
ⵜⴰⵙⵏⴰⵙⵖⴰⵍⵜ	bike
ⵜⴰⴼⴰⵜⵓⵕⵜ	bill
ⵜⵓⵇⵏⴰ	bind
ⴰⴼⵔⵓⵅ	bird
ⴰⵎⵓⵍⵉ	birthday
ⵛⵡⵉⵟ	bit
ⴽⴻⵔⵔⴻⵛ	bite
ⵔⵥⴰⴳ	bitter
ⴰⴱⴻⵔⴽⴰⵏ	black
ⵜⴰⵣⵣⵉⵜ	blade
εⴻⵣⵣⴻⵔ	blame
ⴷ ⵉⵍⴻⵎ	blank
ⴰⵎⵛⵓⵎ	blanket
ⵉⴼⴻⵍⵄⴻⵙ	blast
ⴰⵙⴻⵎⵍⴰⵍ	bleach
ⵅⵍⴻⴹ	blend
ⵉⴱⴰⵔⴻⴽ	bless
ⵢⴻⵜⵜⵡⴰⴱⴻⵔⴽⴻⵏ	blessed
ⴷ ⴰⴷⴻⵔⵖⴰⵍ	blind
ⵜⵓⵎⴻⵔⵜ	bliss
ⵢⴻⵔⴳⴻⵍ	block
ⵉⴷⴰⵎⵎⴻⵏ	blood
ⵢⴻǧǧⵓǧⴻⴳ	bloom
ⵙⵓⴼ	blow
ⴰⵣⴻⴳⵣⴰⵡ	blue
ⵙⵙⴻⵃⴼⴰ	blunt
ⵜⴰⴼⴻⵍⵡⵉⵜ	board
ⵜⴰⴼⴼⵓⴽⵜ	boat
ⵜⴰⴼⴻⴽⴽⴰ	body
ⵙⵙⴻⵔⴽⴻⵎ	boil
ⵉⴷⴰⵎⵎⴻⵏ	bold
ⴰⴽⵎⴰⵙ	bond
ⵉⵖⴻⵙ	bone
ⵙⵏⴻⴳⵎⴻⴷ	book
ⵏⵊⴻⵄ	boost
ⴰⵎⵙⴻⴷⴷⴰⵢ	booster
ⴰⵙⴻⵏⴷⵓⵇ ⵏ ⵜⴽⴻⵕⵕⵓⵙⵜ.	boot
ⵉⴱⵓⵣⴳⴻⵏ	boots
ⵜⵉⵍⵉⵙⴰ	border
ⴰⴱⵔⵓⵊ	bore
ⵢⴻⵄⵢⴰⵜ	bored
ⵢⴻⵙⵙⴻⵅⵍⴰⵄ	boring
ⵉⵍⵓⵍ	born
ⴰⴷ ⵜⵯⵔⴻⴼⴼⵍⴻⵜ	borrow
ⴰⵎⵄⴻⵍⵍⴻⵎ	boss
ⵉⵙⵉⵏ	both
ⴰⵙ ⴷⵯⵜⵃⴻⵙⵙ	bother
ⵜⵇⴻⵔⵄⵓⵏⵜ	bottle
ⴷⴰⵡ	bottom
ⵢⵓⵖ	bought
ⵏⴻⴳⴳⴻⵣ	bounce
ⵢⴻⵇⵇⵏⴻⵏ	bound
ⴰⵢⵎⵉⵔ	boundaries
ⵜⴰⵏⵣⴻⴷ	bow
ⴰⵇⴻⵙⵙⵓⵍ	bowl
ⴰⵙⴻⵏⴷⵓⵇ	box
ⴰⵇⵛⵉⵛ	boy
ⴰⵎⴷⴰⴽⴻⵍ	boyfriend
ⵜⴰⵎⴻⵙⵢⴰⵙⵜ	bracelet
ⴰⵍⵍⴰⵖ	brain
ⵓⴼⵓⵔⴽ	branch
ⴰⵣⴻⵎⵣ	brand
ⵢⴻⵙⵄⴰⵏ ⵜⴰⴱⵖⴻⵙⵜ	brave
ⵜⴰⵔⵓⵣⵉ	breach
ⴰⵖⵔⵓⵎ	bread
ⵢⴻⵔⵔⴻⵣ	break
ⵉⵎⴻⴽⵍⵉ ⵏ ⵜⵙⴻⴱⵃⵉⵜ	breakfast
ⵜⴰⴷⵎⴰⵔⵜ	breast
ⵜⵏⴻⴼⴼⴻⵙ	breath
ⴰⴷ ⵜⵏⴻⴼⴼⵙⴻⴷ	breathe
ⵉⴳⴻⵍⵍⵓ	breed
ⵍⴰⵊⵊⵓⵔ	brick
ⵜⵉⵙⵍⵉⵜ	bride
ⵜⵉⵍⴻⴳⴳⵉⵜ	bridge
ⵙⵙⴻⵡⵣⴻⵍ	brief
ⵢⴻⵚⴼⴰ	bright
ⵢⴻⵙⵙⴻⵡⵀⴰⵎⴻⵏ	brilliant
ⴰⵡⵉⵯⴷ	bring
ⴰ ⴳⵎⴰ	bro
ⵀⵔⴰⵡ	broad
ⴱⵔⵓⴷⴽⴰⵙⵜ	broadcast
ⵢⴻⵔⵔⴻⵣ	broke
ⵢⴻⴻⵥⴻⵏ	broken
ⵜⴰⵎⴻⴷⵡⴰⵣⵜ	broom
ⴳⵎⴰ	brother
ⵎⵎⵉⵯⵉⵙ ⵏ ⵓⴹⴻⴳⴳⴰⵍ	brother in law
ⴰⵡⵉⴷ	brought
ⴰⵇⴻⵀⵡⵉ	brown
ⵜⵎⴻⵛⵛⴻⴹ	brush
ⴰⴱⴻⵍⵢⵓⵏ	bucket
ⴰⵎⴻⴷⴷⴰⴽⴻⵍ	buddy
ⴰⵎⴻⵚⵔⵓⴼ	budget
ⴰⴱⴻⵄⵄⵓⵛ	bug
ⵍⴻⴱⵏⵉ	build
ⴰⵇⴻⴱⵏⵓ	building
ⵢⴱⴻⵏⵏⵓ	built
ⴰⵎⵓⵔ ⴰⵎⴻⵇⵇⵔⴰⵏ	bulk
ⴰⵣⴳⴻⵔ	bull
ⴰⵃⴻⵇⵇⴰⵔ	bully
ⴰⴼⴻⵍⵍⵉⵇ	bump
ⴽⵔⴰ	bunch
ⵜⴰⵣⴷⴻⵎⵜ	bundle
ⵄⴻⴱⴱⵉ	burden
ⵢⴻⵜⵜⵡⴰⵎⴹⴻⵍ	buried
ⵜⵉⵎⴻⵙ	burn
ⴰⵎⴳⴻⵔⵔⴰⴷ	burst
ⵢⴻⵎⴹⴻⵍ	bury
ⴰⵙⴰⴽⴰⵛ	bus
ⵉⴳⵉⵙⵙⵉ ⵏ ⵜⴰⵖⴰⵜ	bush
ⴰⵅⴻⴷⴷⵉⵎ	business
ⴰⵎⴳⴻⵔⵔⴰⴷ	bust
ⵢⴻⵄⵎⴻⵔ	busy
ⵎⴰⵛⴰ	but
ⵓⴷⵓ	butter
ⴰⴼⴻⵔⵟⴻⵟⵟⵓ	butterfly
ⵜⴰⵇⴻⴼⴼⴰⵍⵜ	button
ⴰⴷ ⴷⵯⵜⴰⵖⴻⴹ	buy
ⵙⵖⵓⵔ	by
ⴰⵃⴻⵇⴰ	by the way
ⴰⵔ ⵜⵉⵎⵍⵉⵍⵉⵜ	bye
ⴰⴽⵔⴻⵎⴱⵉⴹ.	cabbage
ⴰⵊⵎⵉⵔ	cabinet
ⵜⴰⴳⴻⵔⴱⵉⵜ	cage
ⴰⵏⴳⵓⵍ	cake
ⵜⴰⴼⵓⵏⴰⵙⵜ	calf
ⵖⴻⵔ	call
ⵙⵉⵡⴻⵍⵯⵉⵢⵉⵯⴷ	call me
ⵢⴻⵙⵙⴰⵡⴻⵍ	called
ⵢⴻⵔⴽⴻⴷ	calm
ⵢⵓⵙⴰⵯⴷ	came
ⵜⴰⵡⴰⵢⵜ	campaign
ⵢⴻⵣⵎⴻⵔ	can
ⴰⴼⵏⵉⵇ	can
ⵓⵔ ⵣⵎⵉⵔⴻⵖ ⴰⵔⴰ	can't
ⵢⴻⴽⴽⴻⵙ	Cancel
ⴰⴽⴻⵏⵙⵉⵔ	cancer
ⵢⴻⵙⵄⴰⵏ ⵜⴰⵍⵍⴰⵍⵜ	capable
ⵜⴰⵣⵎⴻⵔⵜ	capacity
ⵜⴰⵎⴰⵖⵜ	capital
ⴰⵣⵡⴻⵍ	caption
ⴹⴹⴼⴻⵖⵯⴷ	capture
ⵜⴰⴽⴻⵕⵕⵓⵙⵜ	car
ⴰⵅⴻⴷⴷⵉⵍ	career
ⵃⴰⴷⴻⵔ	careful
ⵙ ⵍⴻⵃⴷⴻⵔ	carefully
ⵢⴻⵙⵜⴻⵀⵣⴰ	careless
ⴰⵙⴻⵃⴱⵉⴱⴻⵔ	caring
ⴰⵎⵉⵙⵖⴰⵔ	carpenter
ⵜⴰⵕⴰⴽⵏⴰ	carpet
ⵣⵔⵓⴷⵉⵢⴰ	carrot
ⵜⵓⴷⴻⵎⴰ	carry
ⴽⴻⵎⵎⴻⵍ	carry on
ⵓⵇⵇⴻⵎ	carry out
ⵜⴰⵎⵙⴰⵍⵜ	case
