a	i-
assumption	kugabadela
assumption	kulinganisa
at	e
at	ku
at least	lokungenani
ate	dlile
athlete	umdlali
attach	hlanganisa
attach	namatselisa
attached	hlanganisiwe
attached	namatselisiwe
attachment	kuhlanganisa
attack	sukela
attack	hlasela
attack	vukela
attempt	metamo
attend	kuya
attendance	kuba khona
attention	kunaka
attitude	simo sengcondvo
attract	khanga
attraction	umkhango
attractive	khangako
attribute	sici
audience	babukeli
audience	balaleli
august	agasti
aunt	anti
aunty	anti
authentic	ngokocobo
authentic	ngokweciniso
author	umbhali
author	umlobi
authority	ligunya
authority	emandla
autumn	likwindla
available	tfolakala
average	silinganiso
avoid	kugwema
awake	vuka
awake	phaphama
award	umklomelo
aware	kucaphela
aware	naka
awareness	kunaka
awareness	kucaphela
away	kudze
awesome	lemangalisako
awful	lesabekako
awful	lembi
awkward	lukhuni
awkward	ngaphatseki kahle
Aymara	Si-Aymara
baby	umtfwana
bachelor	impohlo
back	ngemuva
back	buyela
background	sizinda
bad	lokubi
bag	sikhwama
bait	ludobo
bake	bhaka
bakery	indlu yekubhaka
balance	sikalo
balance	linganisa
ball	libhola
Bambara	SiBambara
banana	banana
banana	ukhova
band	licembu
band	intsambo
band	libutfo
bang	shaya
bank	libangi
bar	ligodvo
barely	kancane
barely	cishe
bark	khonkhotsa
barley	libhali
barrier	umkhawulo
barrier	lokuvimbelako
base	sisekelo
based	lokusekelwe
basement	likamelo lelingaphansi
basic	lokuyisisekelo
basically	ngokuyisisekelo
bastard	umlanjwana
bath	geza
bathroom	likamelo lekugeza
battery	libhetri
battle	imphi
bay	lusentseni lwelwandle
be	kuba
be careful	caphela
beach	bhishi
beam	ugongolo
beam	umsebe
beans	emabhontjisi
bear	libhele
bear	kubeketela
beard	silevu
bearing	kuma
beast	silo
beat	kushaya
beautiful	kuhle
beautiful	kuyabukeka
beauty	buhle
became	kube
because	ngobe
become	yiba
bed	umbhedze
bedroom	likamelo lekulala
bee	inyosi
beef	inyama yenkomo
been	be
beer	tjwala
before	ngaphambi
began	calile
begin	cala
beginning	ekucaleni
behalf	ngenca yakhe
behave	kkutiphatsa
behavior	kutiphatsa
behaviour	kutiphatsa
behind	ngemuva
being	kuba
belief	kholwa
believe	kukholelwa
belly	sisu
belong	kuka-
beloved	lotsandzekako
below	ngentansi
belt	libhande
bench	lebentji
bend	gobisa
beneath	ngaphansi
benefit	inzuzo
benefit	zuza
benefits	tinzuzo
beside	eceleni kwa-
beside	ngaphandle kwa-
besides	eceleni kwa-
besides	ngaphandle kwa-
best	lokuhle kakhulu
best of luck	inhlanhla lenhle kakhulu
better	ncono
between	emkhatsini
beverage	sinatfo
beyond	ngetulu
Bhojpuri	SiBhojpuri
bias	kubandlulula
biased	kubandlulula
bicycle	ibhayisikili
bid	yala
big	lokukhulu
bike	sidududu
bill	sikwenedi
bill	umtsetfo
bind	bopha
bird	inyoni
birthday	lilanga lekwetalwa
bit	kancane
bite	luma
bitter	muncu
black	mnyama
blade	nkemba
blame	beka licala
blank	lingenalutfo
blanket	ingubo
blast	chuma
bleach	enta kubemhlophe
blend	xubanisa
bless	busisa
blessed	busisile
blind	impumputhe
bliss	intokozo
bliss	injabulo
block	isigaxa
block	kuvimba
blood	ingati
bloom	kuchakaza
blow	shaya
blue	luhlata sasibhakabhaka
blunt	kuthuntu
board	libhodi
boat	sikebhe
body	umtimba
boil	bilisa
bold	nesibindzi
bond	isibopho
bone	litsambo
book	incwadzi
boost	kuphula
booster	lekhuphulako
boot	ibuthi
border	umkhawulo
border	umncele
bore	kubanga situnge
bored	kuba nesitunge
boring	kube nesitunge
born	kutalwa
borrow	kuboleka
boss	umphatsi
both	kokubili
bother	khatsata
bother	kuhlupa
bottle	libhodlela
bottom	since
bought	kutsenga
bought	kubuyisa
bounce	kweca
bound	khawulisa
boundaries	mikhawulo
bow	khotsama
bowl	indishi
box	libhokisi
boy	mfana
bracelet	buhlalu
brain	ingcondvo
brain	bucopho
branch	igatja
brand	isikhuni
brand	luphawu
brave	nesibindzi
breach	phula
bread	sinkwa
break	kuphula
breakfast	kudla kwasekuseni
breast	libele
breath	umoya
breathe	phefumula
breed	tala
brick	sitini
bride	makoti
bridge	libhuloho
brief	mfishane
bright	khazimulako
brilliant	chamile
bring	kuletsa
bro	mnaka
broad	bandzi
broadcast	sakata
broke	ngena mali
broke	phulile
broken	phukile
broom	umshanyelo
brother	umnaka
brother in law	mkhwenye
brother in law	mlamu
brought	kuletsa
brown	ntsundu
brush	shanyela
brush	hlangula
bucket	libhaketi
buddy	umgani
budget	luhlelotimali
bug	imbungulu
build	ukwakha
build	yakha
building	umakhiwo
built	yakhiwe
bulk	bukhulu
bull	inkunzi
bully	sichwaga
bump	gadlata
bundle	incumbi
burden	umtfwalo
buried	ncwaba
burn	shisa
burst	chuma
bury	ncwaba
bus	libhasi
bush	emhlatsini
business	libhizinisi
bust	sifuba
busy	matasa
but	kodvwa
butter	libhotela
butterfly	luvivane
button	likinobho
buy	tsenga
by	nga
by	ngeku
by the way	ngendlela
cabbage	likhabishi
cabinet	umkhandlu
cabinet	likhabetse
cage	likheji
cage	sicu
cake	likhekhe
calf	litfole
call	kubita
call me	ngibite
called	bite
calm	moya lophansi
calm	kuthula
came	fikile
campaign	umkhankhaso
can	kukwati
can't	angeke
Cancel	Khansela
cancer	umdlavuza
capable	uyakwati
capacity	kukhona
capital	imali
capital	inhlokodolobha
caption	umbhalo longentasi
capture	tsatsa
capture	tfumba
car	imoto
career	umsebenti lokhetsiwe
careful	caphela
carefully	ngekucaphelisisa
careless	kunganaki
caring	kunakekela
carpenter	umbati
carpet	ikhaphethi
carrot	icarrot
carry	tfwala
carry on	chubeka
carry out	enta
case	simo
case	licala
cash	imali
cast	balingisi
cast	beka
castle	sigodlo
casual	melula
cat	likati
catch	bamba
category	isigaba
cattle	tinkhomo
caught	banjiwe
cause	bangela
cause	sibangelo
caution	siyalo
caution	sicapheliso
cautious	cwayile
cautious	caphele
cave	umhume
cease	gawuka
cease	khawuka
ceiling	isilingi
celebrate	bonga
celebrate	gubha
cell	likamelwana
cell	lingcamuzana
center	sikhungo
century	likhulu leminyaka
cereal	inhlamvu kakolweni
ceremony	umkhosi
ceremony	umgidi
certain	lokutsite
certain	cinisekile
certainly	ngempela
certificate	sitifiketi
chain	liketango
chair	sihlalo
challenge	beka insayeya
challenge	insayeya
challenge	sola
chance	litfuba
change	kugucuka
change	kushintja
chaos	inhlekelele
character	ubuntfu
character	isici
characteristics	similo
characteristics	isici
charge	licala
charge	bhadalisa
charity	isisa
charity	umhawu
charming	bukekako
chart	lishadi
chart	imephu
chase	cosha
chat	kucoca
cheap	kushibhile
cheat	khohlisa
cheating	kukhohlisa
check	kuhlola
cheek	sihlatsi
cheer	jabula
cheer	yenama
cheerful	kwenama
cheerful	kujabula
cheers	kujabula
cheese	ushizi
cherish	tsandza
chest	sifuba
chew	hlafuna
chicken	inkhukhu
chief	indvuna
chief	inkhosi
child	umntfwana
childhood	buntfwana
children	bantfwana
chill	kubandza
chill	kugodvola
chimneys	lishimula
chin	silevu
chocolate	shokoledi
choice	kukhetsa
choose	khetsa
chop	ncuma
chop	gawula
chores	misebenti
chubby	sigaca
church	lisontfo
cinnamon	sinamoni
circle	imbulunga
circle	ndzingiliti
circumstances	timo
citizen	sakhamuti
city	lidolobha
claim	sicelo
clarify	cacisa
class	sigaba
class	likilasi
class	licembu
clay	lubumba
clean	hlanta
clear	sula
clerk	mabhalane
clever	hlakaniphile
client	likhasimende
cliff	liwa
climate	litulu
climb	gibela
clingy	namatselako
clock	liwashi
close	vala
closet	likamelwana
cloth	indvangu
clothes	tingubo
cloud	lifu
cloudy	kunemafu
clown	lowenta emahlaya
clue	luphawu
clue	isici
clumsy	mabhadabhada
cluster	liviyo
cluster	umbutfo
coach	umceceshi
coal	emalahle
coast	lusentse lelwandle
coat	huca
coat	ingubo
coffee	likhofi
cognitive	komcondvo
coincidence	kuhlangana kwetintfo
cold	kubandza
collapse	bhidlika
collar	siphika
colleague	losebenta naye
colleagues	losebenta nabo
collect	butsa
collection	lokubutsiwe
college	likolishi
color	umbala
colorless green ideas slept furiously	imicabango yenta kutsi incondvo igijime
colour	umbala
column	insika
column	luhlu
comb	likamu
combination	inhlanganisela
combine	hlanganisa
come	fika
come	wota
come here	wota lapha
come on	buya
come on	asihambe
comfort	dvudvuta
comfortable	dvudvutekako
coming	kuyeta
coming	lokutako
coming soon	kuyeta masinyane
command	layeta
command	khuta
comment	phawula
commercial	sikhangiso
commercial	kwebhizinisi
commission	inzuzo, thuma
commit	tibophe
commit	yenta
commitment	sibopho
committed	wentile
commodity	impahla
common	lokuvamile
communicate	khulumisana
communication	kukhulumisana
community	umphakatsi
commute	nciphisa
commute	hamba
companion	umngani
companion	umhlanganyeli
company	inkhampani
compare	catsanisa
compare	fanisa
comparison	kucatsanisa
comparison	kufanisa
compassion	bubele
compassion	sihawu
compassionate	nesihawu
compassionate	nobubele
compatible	faneleko
compete	phikisana
compete	ncintisana
competent	fanelekako
competent	nelikhono
competition	umncintiswano
competitive	ncintisanako
complain	khala
complain	sola
complaint	sikhalo
complaint	insolo
complement	okugcwalisako
complete	phelelisa
complete	cedza
completely	ngokuphelele
complex	didako
complex	phicako
compliance	kulandzela
compliance	kuhambisana
complicated	lukhuni
complicated	inkhimbinkhimbi
compliment	bongela
compliment	halalisela
comply	landzela
comply	tfobela
composition	kuhlanganiswa
compound	inkomponi
comprehension	kuvisisa
comprehension	kucondza
comprehensive	gcwele
comprehensive	banzi
compromise	hlehla
compromise	tehlise
compulsory	phocako
computer	ingcondvomshini
concentrate	nakisisa
concept	umcondvo
concern	kukhatsateka
concerned	khatsatekile
concert	likhonsati
conclusion	siphetfo
concrete	kocobo
condition	simo
conditions	timo
conduct	umkhuba
conduct	kutiphatsa
conference	umhlangano
confess	vuma
confidence	kutetsemba
confident	kutetsemba
confident	kuciniseka
confirm	cinisekisa
conflict	kuphambana
confused	didekile
confusion	kudideka
congrats	halala
congratulation	halala
congratulations	halala
conjunction	kuhlangana
connect	hlanganisa
connect	chumanisa
conquer	hlula
conquer	ncoba
conscious	kwati
consciousness	kuphaphama
consciousness	kwati
consent	imvume
consent	kuvuma
consequences	miphumela
conservation	konga
conservative	gcina
consider	cabanga
considered	cabangele
consist	bunjwa
consistency	kufana
consistency	kuyija
consistency	kuvumelana
consistent	fanako
consistent	vumelanako
constant	cinile
constantly	njalo
constantly	tonkhe tikhatsi
constipation	kucumba
construction	kwakha
consume	dla
consume	natsa
consume	sebentisa
consumption	kusebentisa
consumption	kudla
consumption	kunatsa
contact	tsintsa
contact	chumana
contagious	tselelanwako
contagious	tsatselanwako
contain	cukatsa
contain	phatsa
contains	lokucuketswe
contemporary	sikhatsi sinye
contempt	kudzelela
content	kunetiseka
contest	lwela
contest	banga
context	umongo
continent	livekazi
continue	chubeka
contract	sivumelwano
contrast	hlukanisa
contribute	nikela
contribution	umnikelo
control	lawula
controversial	phikisanako
convenience	kumelula
convenience	kuzuzisa
convenient	kumelula
convenient	lokulungele
convenient	kuyazuzisa
conversation	kucoca
convert	kugucula
convert	phendvula
convey	yisa
convey	dlulisela
convince	kholisa
convinced	kholisekile
cook	pheka
cooking	kupheka
cool	pholile
cooperation	kusebentisana
cope	bhekana
copper	litfusi
core	umgogodla
corn	ummbila
corner	likhona
correct	lungile
correct	lungisa
cost	biza
costume	kugcoka
cottage	indlwana
cotton	kotini
couch	usofa
cough	khwehlela
could	ngahle
council	libandla
count	bala
counter	litafula
country	live
countryside	indzawo yasemakhaya
couple	bubili
courage	sibindzi
course	indlela
court	inkantolo
courtesy	bumnene
courtesy	buhle
cousin	umzala
cover	sivikelo
cow	inkhomo
coward	ligwala
crab	inkhala
crack	imfa
craft	buciko
crash	shayisa
craving	sifiso
crawl	canca
crazy	kuhlanya
create	dala
create	sungula
create	yenta
creative	dalako
creative	yentako
creative	sungulako
credit	ludvumo
credit	sikweleti
creep	kuhamba ngesisu
creepy	shacisako
crew	libandla
crew	amatilosi
crime	bugebengu
crisis	inhlekelele
criteria	timo tekuncuma
critical	bucayi
critical	solako
criticism	kuphikisa
criticism	kusola
crop	silimo
crops	tilimo
cross	siphambano
crow	ligwababa
crowd	sicumbi
crowd	sicuku
crowded	bantfu banyenti
crown	umchele
crucial	bucayi
cruel	nonya
cruise	hamba ngokhumbi
crush	fihlita
crush	pitjita
cry	khala
cucumber	liselwa
cuddle	gona
culture	emasiko
cunning	nobucili
cunning	hlakaniphile
cup	inkomishi
cupboard	likhabethe
curb	thiba
cure	yelapha
curfew	sikhatsi lesibekiwe
curiosity	sifiso sekwati
curious	nesifiso sekwati
curly	gocekile
currency	imali
current	kwanyalo
currently	nyalo
curse	sicalekiso
curse	calekisa
curtain	likhethini
cushion	umcamelo
custom	lisiko
custom	umkhuba
custom	kutsenga
customer	likhasimende
customs	tekutsenga
cut	sika
cute	kuhle
cute	lokubukekako
cycle	yingilita
cycling	kugibela libhayisikili
dad	babe
daddy	babe
daily	onkhe malanga
dairy	ideli
dam	damu
damage	monakalo
damn	calekisa
damp	mswakama
damp	bumanti
dance	kudansa
danger	ingoti
dangerous	ingoti
dark	bumnyama
dark	fiphala
darling	tsandzekako
dash	jikijela
data	datha
date	lilanga
date	lusuku
daughter	indvodzakati
day	lilanga
dead	lofile
deadline	sikhatsi lesibekiwe
deaf	sithulu
deal	kubhekena
deal	sivumelwano
dear	lotsandzekako
Dear All	Bomkhe Labatsandzekako
Dear Customer	Likhasimende Lelitsandzekako
Dear Parents	Batali Labatsandzekako
Dear Sir	Mnumzane Lotsandzekako
Dear students	Bafundzi Labatsandzekako
Dear Team	Licembu Lelitsandzekako
death	kufa
debate	kuphikisana
debit	sikweleti
debris	imfucufucu
debt	sikweleti
decade	lishumi leminyaka
decay	kubola
deceased	lofile
deceased	loshinile
deceive	khohlisa
december	desemba
decent	hloniphile
decent	fanele
decide	ncuma
decided	ncumile
decision	sicumo
deck	ideki
decline	yencaba
decrease	ncipha
dedicated	nikele
dedication	kutinikela
deed	incwadzi yesibopho
deed	sento
deep	julile
deer	nyamazana
default	liphutsa
defeat	ncoba
defend	vikela
define	chaza
definitely	nakanjani
definition	incazelo
degree	lizinga
delay	kuphotisa
delayed	photisile
delete	sula
deliberate	ngabomu
delicate	bucayi
delicious	lokumnandzi
delight	jabulisa
delighted	jabulile
deliver	khulula
deliver	hambisa
delivered	hambisa
delivered	khululile
delivery	lokuhanjisiwe
delivery	kukhulula
demand	kufuna
demanding	kufuna
democracy	busa ngetsandvo yeningi
demon	demoni
demonstrate	bonisa
denied	ncatjelwe
density	kuminyana
dentist	dokotela wematinyo
deny	ncaba
department	sigaba
departure	kuhamba
depend	tsemba
depend	ncika
deploy	tfumela
deposit	beka
depressed	dzabukile
depression	kudzabuka
depth	kushona
describe	chaza
description	incazelo
desert	ihlane
deserve	fanele
deserve	fanela
design	klama
designation	incasiselo
desire	sifiso
desk	ideski
despair	phela litsemba
desperate	phelelwa litsemba
despite	nanobe
destination	kuphela
destination	lapho kuyiwa khona
destiny	lokumiselwa
destroy	citha
destroy	diliza
destruction	imbubiso
detail	umniningwane
details	mininingwane
detect	bona
detect	tfola
determination	kutimisela
determine	kutimisela
determined	timisele
devastated	lahlekelwe
develop	tfutfukisa
developed	tfutfukile
development	kutfutfukiswa
device	umklamo
devil	udeveli
devoted	tsembekile
devoted	kutinikela
Dhivehi	SiDhivehi
diabetes	sifo sashukela
diarrhea	umsheko
diary	idayari
dictionary	sichazamagama
did	yentile
die	kufa
died	file
diet	kudla
difference	mahluko
different	letehlukene
different	lokungafani
difficult	lukhuni
dig	imba
dignity	sitfunti
diligent	kutsele
dinner	lidina
dip	cwilisa
direct	condzile
direct	condzisa
direction	kucondzisa
director	mcondzisi
dirt	kuncola
dirty	ncolile
disable	khubata
disabled	khubatekile
disappear	nyamalala
disappointed	dvumele
disaster	nhlekelele
discard	lahla
discharge	kukhulula
discipline	yala
discount	nciphisa imali
discover	bona
discrimination	kubandlulula
discuss	kucoca
discussion	kucoca
disease	sifo
diseases	tifo
disguise	kutifihla
disgusting	nyanyekako
dish	indishi
dishes	tindishi
dismiss	hambisa
dispatch	tfumela
display	bonisa
disposal	lahla
dispute	phikisana
distance	banga
distinct	hlukile
distinguish	hlukanisa
distress	lusizi
distress	kuhlupheka
distribution	kwabeka
district	sifundza
disturb	phatamisa
ditch	umsele
dive	cwila
diverse	lokungafani
diversity	lokungafani
divide	hlukanisa
divine	kankhulunkhulu
divorce	sihlukaniso
divorce	divosa
dizzy	siyeti
do	yenta
do you	uya
do you love me	uyanitsandza
doctor	dokotela
document	umbhalo
document	incwandzi
does	kuyenta
doesn't	akakwenti
dog	inja
Dogri	SiDogri
doing	kwenta
doll	nodoli
domain	indzawo lebusako
domestic	yasekhaya
dominant	phatsako
dominant	busako
don't	yeka
Don't worry	ungakhatsateki
donate	nikela
done	kwentiwe
donkey	imbongolo
dope	lumba
double	phindziwe
double	kubili
doubt	kungabata
dough	inhlama
down	phansi
download	downiloda
draft	lipulani
drag	donsa
drag	hudula
drain	minya
drain	omisa
drama	umdlalo
draw	kudvweba
drawer	umdvwebi
drawing	umdvwebo
dread	saba kakhulu
dream	phupha
dress	gcoka
dress	ingubo
drill	lijombolo
drink	natsa
drive	kushayela
drop	wisa
drop	iconsi
dropped	wisile
drought	isomiso
drunk	dakiwe
dry	omile
duck	lidada
dude	mnaka
due	lokufanele
due to	ngenca
dull	lufifi
dumb	simungulu
dump	lahla
duration	budze besikhatsi
during	ngesikhatsi
dust	uthuli
duty	msebenti
dwell	hlala
dwell	kwakha
dying	kufa
each	ngamunye
each other	lomunye nalomunye
eager	fisako
eager	shisekelako
eagle	lusweti
ear	indlebe
earlier	ngaphambilini
early	kunesikhatsi
earn	tfola
earn	zuza
ears	tindlebe
earth	umhlaba
earthquake	kutamatama kwemhlaba
ease	melula
ease	kukhululeka
easily	kahle
easily	melula
east	emphumalanga
easy	melula
eat	idla
eating	kudla
economic	kwemnotfo
economy	umnotfo
edge	isicongo
edit	lungisa
edit	hlela
education	imfundvo
effect	umphumela
effective	kuyasebenta
efficiency	kusebenta kahle
efficient	kusebenta kahle
effort	imetamo
egg	licandza
ego	kutigcabha
eight	siphohlongo
eighteen	lishumi nesiphohlongo
eighty	mashumi lasiphohlongo
either	nobe
either	kungaba
elaborate	cacisa
elbow	ingcosa
elder	muntfu lomdzala
elderly	muntfu lokhulile
elegant	lenhle kakhulu
element	sici
elephant	indlovu
eleven	lishumi nakunye
eligible	fanelekako
eliminate	susa
else	lokunye
embarrassed	namahloni
embarrassing	nemahloni
embrace	gona
emerge	vela
emergency	simo lesiphutfumako
emotional	imiva
empathy	luvelo
emphasis	kugcizelela
emphasis	kucinisa
emphasize	gcizelela
emphasize	cinisa
employee	sisebenti
employees	tisebenti
employer	umcashi
employment	umsebenti
empty	lelite
enable	nika emandla
encounter	hlangabetana
encourage	khutsata
end	cedza
endangered	faka engotini
endeavor	tama
endurance	kukhutsatela
endure	khutsatela
enemy	sitsa
energy	emandla
engage	tsembisa umshado
engage	hlanganyela
engaged	tsembisene umshado
engaged	hlanganyele
engagement	ukuhlanganyela
engagement	ukutsembisa umshado
engine	injini
engineer	unjiniyela
English	siNgisi
enhance	khulisa
enjoy	jabulela
enormous	lokukhulu kakhulu
enough	kwenele
ensure	cinisekisa
enter	ngena
entertainment	kutijabulisa
enthusiasm	umdlandla
enthusiastic	nomdlandla
entire	phelele
entitled	lilungelo
entity	ubunye
entrance	kungena
entrepreneur	somabhizinisi
envelope	imvilophu
environment	indzawo lesiphila kuyo
envy	umhawu
envy	umona
epic	lokukhulu
epidemic	lubhubhane
equal	linganako
equipment	impahla
equity	ukulingana
equivalent	kulingana
eraser	intfo yekusula
error	liphutsa
escape	sindza
escape	baleka
especially	ikakhulukati
essay	indzaba
essence	umsuka
essential	kubalulekile
establish	misa
established	misile
estate	isikhundla
estate	impahla
estimate	linganisela
estimated	linganiselwako
etc	njll
eternal	phakadze
ethics	kutiphatsa
evaluate	hlola
evaluation	kuhlola
even	linganako
even	ngisho
even though	ngisho nobe
evening	entsambama
event	umcimbi
eventually	ekugcineni
ever	njalo
every	konkhe
everybody	bantfu bonkhe
everyone	bantfu bonkhe
everyone	wonkhe umuntfu
everything	konkhe
evidence	bufakazi
evil	lokubi
evolution	kugucuka
evolve	gucuka
Ewe	Si-Ewe
ex	kadze
exact	yikho
exact	cinisile
exactly	ncamashi
exactly	kanye
exactly	ngalokucondzile
exam	kuhlola
examine	phenya
examine	hlola
example	sibonelo
exceed	dlula
excellent	kuhle kakhulu
except	ngaphandle
exception	ngaphandle kwa-
excess	ukudlula
excess	lokusele
excessive	dlulile
excessive	ecileko
exchange	shintjanisa
exchange	phambanisa
excited	jabule kakhulu
excitement	injabulo
exciting	jabulisako
exclusive	khetsekile
excuse	isaba
excuse me	ngiyacolisa
execute	gcina
execute	yenta
execution	kwenta
execution	kugcina
executive	emandla okwenta
exercise	kutivocavoca
exhaust	cedza emandla
exhausted	khatsele
exhibit	bukisa
exhibit	bonisa
exhibition	umbukiso
exist	yiba khona
existence	ukuba khona
existing	kukhona
exit	phuma
expand	khulisa
expand	nweba
expect	kulindzela
expected	lokulindzelwe
expenses	tindleko
expensive	kudula
experience	kuva
experience	lokwentekile
experiment	kulinga
expert	lonelikhono
expired	kuphelelwe sikhatsi
explain	chaza
explanation	incazelo
exploit	chaphata
explore	hlola
export	tfumela
expose	dalula
expose	veza
exposed	daluliwe
exposure	kuveza
express	isho
expression	ukusho
extend	nweba
extended	nwebile
extension	kuchubekisa
extent	budze
extent	bukhulu
external	ngaphandle
extinct	akusekho
extra	ngetulu
extract	khipha
extraordinary	ngavamile
extraordinary	mangalisako
extreme	khulu kakhulu
extreme	lokudlulele
extremely	kakhulu
eye	lihlo
eyes	mehlo
fabric	indvwangu
fabulous	mangalisako
face	bhekana
face	buso
facilitate	lulngiselela
facilities	tikhungo
facility	sikhugo
fact	liciniso
factor	sici
factory	imboni
facts	emaciniso
fade	fiphala
fail	hluleka
failed	hlulekile
failure	kuhluleka
faint	culeka
fair	kungakhetsi
fairly	kahle
faith	lukholo
faith	litsemba
faithful	loneciniso
faithful	lotsembekako
fake	inkhohliso
fall	kuwa
FALSE	emanga
fame	ludvumo
