a	un
anything	wat dan auch
anyway	wie dan auch
anyways	wie dan auch
apart	apaart
apartment	appartemint
apologize	verontsjuldige
apparent	sjienbaar
apparently	bliekbaar
appeal	verzeuk
appear	veurkome
appearance	versjiening
appeared	versjene
appetite	appetiet
apple	appel
application	aanvroag
application	applicatie
apply	inshrieve
apply	toepasse
appointment	aafsproak
appreciate	waardere
appreciation	waardering
approach	aanpak
appropriate	geshikte
approval	toesjtumming
approve	goodkeure
approve	toesjtoon
approved	goodgekeurd
approved	toegesjtoon
approximately	òngeviër
april	april
arbitrary	willekeurig
architect	arsjietèk
architecture	arsjitektuur
archive	archief
are	zin
are you	bis dich
are you busy	bis se druk
are you busy	bis se bezig
are you married	bis se getrouwd
are you married or single	bis se getrouwd of alleinstoand
Are you still there?	Bis se der nog?
are you there	bis se doa
area	gebeed
argue	diskussjere
argue	kawwele
argument	argumint
arise	ontsjtoon
arm	erm
army	leeger
around	ongeveer
arrange	reigele
arrangement	euvereinkoms
arrangement	arransjemint
arrival	aankoms
arrive	aankome
arrived	aagekome
arrogant	àrrogant
arrow	piel
art	kuns
article	artiekel
artificial	kunsmaatig
artist	arties
as	wie
as long as	zwalang
as well	auch
as well as	en auch
ash	esh
ashamed	besjaamp
ask	vroage
asked	gevroag
asleep	sjloape
aspect	aspèk
Assamese	Àssaméés
assault	áánvàl
assembly	montaasj
assertive	assertief
assess	beoordeile
assessment	beoordeile
asset	troef
assets	vermooge
assets	verzittinge
assign	toekinne
assignment	opdrach
assist	ondersjteune
assistant	assistent
associate	aangesjlote
associated	betrokke
association	vereiniging
assume	aannumme
assumption	aanneumming
at	in
at	op
at least	ten minste
ate	oat
athlete	atleet
attach	bievooge
attached	biegesjlote
attachment	bielaag
attack	aanvalle
attempt	poging
attend	biewone
attendance	aanwezigheid
attention	aandach
attention	opgelit
attitude	hauwding
attract	aantrikke
attraction	attraksie
attractive	aantrikkelik
attribute	toebedeile
audience	pebliek
august	augustus
aunt	tant
aunty	tant
authentic	ootentiek
author	sjriever
authority	autorieteite
autumn	herfs
available	beshikbaar
average	gemiddeld
avoid	vermeide
awake	wakker
award	pries
aware	bewus
awareness	bewuszin
away	wèg
awesome	gewèldig
awful	versjrikkelijk
awkward	vrèm
Aymara	Aimárá
baby	baby
bachelor	vriegezèl
back	teruuk
background	achtergrond
bad	shlèch
bag	tesj
bait	oas
bake	bàkke
bakery	bekker
baking soda	bàksodá
balance	balans
ball	bàl
Bambara	Bàmbárá
banana	bànáán
band	bent
bang	knàl
bank	bank
bar	bàr
barely	bienoa neet
bargain	onderhandele
bark	blàf
bark	blàffe
barley	gèrs
barrier	barriejêre
base	basis
based	gebaseerd
basement	kelder
basic	basis
basically	hoofzakelik
basil	básieliekum
bastard	rotzak
batch	serie
bath	bad
bathroom	badkamer
battery	batterie
battle	sjlaag
battle	sjtried
bay	baai
be	zin
be careful	bis veurzichtig
beach	sjtrand
beam	sjtroal
beans	boeëne
bear	bêr
beard	baard
bearing	lager
bearing	invlood
beast	bieës
beat	versjloon
beat	sjloon
beautiful	sjoeën
beauty	sjwanheid
became	woort
because	omdat
become	were
bed	bid
bedroom	sjloapkamer
bee	bie
beef	rundvleisj
been	gewès
beer	béér
before	veur
began	begonne
begin	beginne
begin	begin
beginning	begin
behalf	ten bate van
behave	gedraage
behavior	gedrag
behaviour	gedrag
behind	achter
being	zin
belief	geluif
believe	geluive
belly	boek
belong	thoeshuure
beloved	geleefde
below	onder
belt	reem
bench	bank
bend	buige
beneath	onger
benefit	beveurdeile
benefit	veurdeil
benefits	veurdeile
beside	doaneeve
besides	trouwes
best	biste
best of luck	veul suksès
best regards	biste wunshe
better	beeter
between	tusje
beverage	drank
beyond	veurbie
Bhojpuri	Bójpoerie
bias	sjtandpunt
bias	oardeil
bias	veurkeur
biased	veuringenome
bicycle	fietse
bicycle	fiets
bid	bod
big	groewet
bike	fiets
bill	rêkening
bill	in rêkening bringe
bind	binge
bird	voogel
birthday	verjoardaag
bit	bitje
bite	biete
bitter	bitter
black	zsjwart
blade	mes
blade	blaad
blame	besjuldige
blank	blanco
blanket	deeke
blast	knàlle
blast	knàl
bleach	bleik
blend	menge
bless	zegening
blessed	gezegend
blind	blind
bliss	geluk
bliss	zalig
block	blok
block	blokkere
blood	blood
bloom	bleui
blow	blooze
blue	blauw
blunt	plàt
blunt	groof
board	raod
boat	boot
body	lief
boil	koke
bold	vit
bond	band
bond	verbondj
bone	knook
book	book
boost	sjtimulans
booster	sjtimulans
boot	opsjtarte
boots	laarze
border	grens
bore	boorgaat
bore	vervele
bored	vervêld
boring	saai
born	geboore
borrow	liejene
boss	sjèf
both	allebei
bother	lestigvalle
bottle	flèsj
bottom	onderkant
bought	gekoch
bounce	sjpringe
bound	binge
boundaries	grenze
bow	buige
bowl	komp
box	dwas
boy	jong
boyfriend	vrund
bracelet	ermband
brain	hershenne
branch	tak
branch	aafdeiling
brand	merrik
brave	dapper
breach	dóórbraak
bread	broewed
break	pauze
break	breke
break	doorbreke
breakfast	oontbijt
breast	boorsj
breath	oaseme
breathe	oaseme
breed	ràs
brick	brik
bride	broed
bridge	bruk
brief	kort
bright	helder
brilliant	briljant
bring	mitnumme
bro	jong
broad	breit
broadcast	oetzinde
broke	platzak
broken	gebroke
broom	bezem
brother	broor
brother in law	sjzwoager
brought	gebrach
brown	broen
brush	kwàs
bucket	ummer
buddy	vrund
budget	budsjit
bug	insék
build	boewe
building	boewe
building	geboew
built	geboet
bulk	bullik
bull	sjtier
bully	pèskop
bump	bobbel
bunch	houp
bundle	bundel
burden	las
buried	begrave
burn	brenne
burst	bàrsjte
burst	knàl
bury	begrave
bus	bus
bush	sjtroek
business	zaak
bust	buuste
busy	druk
but	mèr
butter	boter
butterfly	vlinder
button	knop
buy	koupe
by	bie
by the way	trouwens
bye	daag
cabbage	koeël
cabinet	kabbinit
cabinet	keske
cage	kwai
cake	keek
calf	kauf
call	belle
call me	bel mich
called	gebeld
called	benump
calm	kalm
came	gekomme
campaign	kampanje
can	kin
can't	kin neet
Cancel	Annulere
cancer	kanker
capable	kapaabel
capacity	vermooge
capital	kapitaal
capital	hoofsjtad
caption	tietel
capture	gevànge
capture	vàsgelàg
car	auto
career	karriêre
careful	veurzichtig
carefully	veurzichtig
careless	achteloos
careless	zurgeloos
caring	verzurgend
carpenter	tummerman
carpet	kerpit
carrot	wortel
carry	draage
carry on	doorgoon
carry out	oetveure
case	koffer
case	zaak
cash	kontante
cast	werrepe
cast	veursjpelle
castle	kesjtieël
casual	gewoon
cat	kat
catch	vange
category	kàttegorie
cattle	vieë
caught	gevange
cause	veroorzaake
cause	reije
caution	veurzichtig
caution	waarsjuwing
cautious	bedachzaam
cave	grot
cease	ophoute
ceiling	plafon
celebrate	viere
cell	sèl
center	sentrum
center	midden
century	eeuw
cereal	ontbijtgrane
ceremony	seremonie
certain	zeekere
certainly	zeker
certificate	sertifiekaat
chain	kitting
chair	sjtool
challenge	oetdaaging
challenge	prebleem
chance	kans
change	veràngere
chaos	cháòs
character	karakter
characteristics	kenmirreke
charge	in rekening bringe
charity	leefdaadigheid
charming	leeflik
chart	grafiek
chase	jage
chase	achtervollige
chat	chèt
cheap	goodkoup
cheat	valssjpele
cheating	valsj sjpele
cheating	vrêmgoon
check	kontroleer
cheek	wang
cheer	juiche
cheerful	sjpas
cheers	gezondheid
cheese	kieës
chemistry	sjeikunde
chemistry	géémie
cherish	koestere
chess	sjake
chest	boorsjkas
chew	kauwe
chicken	kip
chief	sjèf
child	kind
childhood	jeug
children	kinger
chill	rilling
chimneys	sjoorsjtein
chin	kin
chocolate	sjokoláát
choice	keus
choose	keeze
chop	kappe
chores	taake
chubby	dik
church	kirk
cinnamon	kannieël
circle	sirkel
circle	omsirkele
circumstances	omsjandighede
citizen	burger
city	sjtad
claim	aansproak
clarify	opheldere
clarify	verduudelijke
class	klas
clay	klei
clean	zuuver
clear	helder
clear	lêgmaake
clerk	bedeende
clever	sjlum
client	klant
cliff	klif
climate	klimaat
climb	klum
climb	klumme
clingy	plekkerig
clock	klòk
close	sjleete
closet	kàs
cloth	kleijding
clothes	kleijer
cloud	wollik
cloudy	bewolk
clown	klauwn
clue	hint
clue	idee
clumsy	onhandig
cluster	kluster
coach	kootsj
coal	koeël
coast	kus
coat	jas
coffee	kòffie
cognitive	kognitief
coincidence	toevàl
cold	koud
collapse	ineinsjtorte
collar	kraag
colleague	kòlleega
colleagues	kòlléégaas
collect	kollèkteere
collection	verzaameling
college	kolleesj
color	kleur
colorless green ideas slept furiously	Kleurloze greun ideeje sjloape woedend
colour	kleur
column	kolom
comb	kamp
combination	kombienaasie
combine	combinere
come	kom
come here	kom hie
come on	kòm òp
comfort	komfôr
comfortable	comfortabel
coming	kome
coming soon	kump binnekort
command	beveel
comment	kommentaar
commercial	kommersjeel
commission	kommissie
commit	toeweije
commitment	toewieding
committed	toegewijd
commodity	artiekel
common	normaal
communicate	kommuuniesere
communication	kommuniekasie
community	gemeinsjap
commute	forense
companion	kompanjon
companion	mitgezel
company	bedrief
compare	vergelieke
comparison	vergeliek
compassion	kompassie
compassionate	mededogend
compatible	gesjik
compete	konkurrere
competent	kompetent
competition	kompetitie
competitive	kompétitief
complain	beklage
complaint	klàg
complement	aanvulling
complete	kompleet
complete	aafmake
completely	gans
complex	komplèks
compliance	mitwirking
compliance	gehuurzame
compliance	noakomme
complicated	gecomplieseerd
compliment	komplieminteere
compliment	kompliemint
comply	toesjtumme
composition	komposietie
composition	samesjtilling
compound	samestèlling
comprehension	begrip
comprehensive	omvangriek
comprehensive	volledig
compromise	komproomie
compulsory	verplich
computer	kompjoeter
concentrate	konsentraat
concept	konsep
concern	zurrig
concerned	bezörg
concert	konsèrt
conclusion	konkluusie
concrete	konkreet
condition	veurwaarde
conditions	veurwaarde
conduct	gedrag
conference	konferensie
confess	bekinne
confidence	vertroewe
confident	zeker
confirm	bevestige
conflict	konflik
confused	verward
confusion	verwarring
congrats	profiesiejat
congratulation	feliesietasie
congratulations	profisiat
conjunction	samevoogsel
connect	verbinge
conquer	verovere
conscious	bewus
consciousness	bewustzin
consent	toesjtumming
consequences	gevollige
conservation	conversasie
conservative	konservatief
consider	in ach numme
considered	euverwooge
consist	besjtoon
consistency	konsiestensie
consistent	konsiestent
constant	konsjtant
constantly	konstant
constipation	konstiepasie
construction	konsjtruksie
consume	konsumeere
consumption	konsumptie
contact	kontak
contagious	besjmittelik
contain	bevatte
contains	bevàt
contemporary	hededaags
contempt	verachting
content	inhawd
contest	wedsjtrijd
context	konteks
continent	kontinent
continue	doorgoon
contract	kontrak
contrast	kontràs
contribute	biedrage
contribution	kontribuutie
control	besjture
control	behere
controversial	kontroversjeel
convenience	gemaak
convenient	handig
conversation	gesjprek
convert	omzitte
convert	konvertere
convey	euverbringe
convince	euvertuuge
convinced	euvertuug
cook	kok
cook	koke
cooking	koke
cool	ruig
cooperation	samewirking
cope	omgoon
cope	verdrage
copper	kooper
core	kern
corn	maïs
corner	hook
correct	korrek
cost	koste
costume	kostuum
cottage	huuske
cottage	hut
cotton	katoen
couch	bank
cough	hoos
could	kinne
council	road
count	tille
counter	baalie
counter	tegesjtand
country	land
countryside	platteland
couple	koppel
courage	koeraasj
course	baan
course	kursus
court	baan
court	gerech
courtesy	belêfheid
cousin	nêf
cover	besjloon
cover	omsjlaag
cow	koow
coward	sjwaakeling
cozy	gezellig
crab	kràp
crack	bàrsj
crack	bàrsjte
craft	vaardigheid
craft	vàk
crap	rotzooi
crap	sjtront
crash	kreshe
crash	kresh
craving	zuch
crawl	kroepe
crazy	gek
create	creëre
creative	kreatief
credit	kredeet
creep	ingerd
creepy	aakelig
crew	sjtaf
crime	misdrief
cringe	beshaamp
crisis	kriesis
criteria	krieteeria
critical	krities
critical	gewichtig
criticism	kritiek
crop	gewàs
crops	gewasse
cross	kruus
cross	kruuze
crow	kreij
crowd	meinigte
crowded	meinigte
crown	kroeën
crucial	kruusjaal
cruel	vreed
cruel	onmiensjelik
cruise	kroes
crush	verbrijzele
crush	verleef
cry	huule
cry	sjrieëve
cucumber	komkommer
cuddle	knoevele
culture	kultuur
cunning	sjluuw
cup	tàs
cupboard	kas
curb	trottwaar
cure	genezing
curfew	oavendklok
curiosity	nuujsjierigheid
curious	benuujd
curly	gekrold
currency	valuuta
current	huidige
currently	op dit momènt
curse	vlook
curtain	gerdien
cushion	kusse
custom	op moat
customer	klant
customs	doewaan
cut	sjnieje
cute	knap
cycle	sieklus
cycle	fietse
cycle	fiets
cycling	fietse
dad	pap
daddy	pap
daily	daagelijks
dairy	zuuvel
dam	dam
damage	sjaa
damn	verdomd
damp	vochtig
dance	dans
dance	danse
danger	gevoar
dangerous	gevoarlik
dark	donker
darling	sjat
dash	besjprinkele
dash	sjpooje
data	gegeves
date	aafsproak
date	datum
daughter	dochter
day	daag
dead	dwad
deadline	termien
deaf	dauf
deal	omgoon
deal	deal
dear	biste
Dear All	Biste Allemoal
Dear Customer	Biste Klant
Dear Parents	Biste Ouwersj
Dear Sir	Biste Menieër
Dear students	Biste sjtudente
Dear Team	Biste Tiem
death	dwad
debate	deebàteere
debit	debet
debris	aafval
debt	sjuld
decade	désènium
decay	rotte
deceased	euverleeje
deceive	misleide
deceive	bedreege
december	desember
decent	gedege
decide	besjlisse
decided	besjlote
decision	besjlissing
deck	dik
decline	aafsjloon
decrease	vermindere
dedicated	toegewijd
dedication	toewijding
deed	akte
deed	doad
deep	deep
deer	hert
default	sjtandaard
defeat	versjloon
defend	verdedige
define	vassjtille
definitely	àbsoluut
definition	definiesie
degree	groad
degree	siefer
delay	vertroaging
delayed	vertroag
delete	verwijdere
delete	wisse
deliberate	bewus
delicate	delikaat
delicious	overheerlijk
delight	vreugd
delighted	verheug
deliver	leevere
delivered	geleverd
delivery	levering
demand	vroag
demanding	gevroag
democracy	demokrasie
demon	duuvel
demonstrate	demonstrere
demonstrate	loate zeen
denied	aafgesjlage
density	dichtheid
dentist	tandarts
deny	aafwieze
department	aafdeiling
departure	vertrik
depend	aafhange
deploy	neerzitte
deploy	ontplooie
deposit	sjtorting
deposit	aanbetaling
depressed	déprèssief
depression	depressie
depth	deepte
describe	omsjrieve
description	besjrieving
desert	woestijn
deserve	verdeene
design	ontwerp
designation	toekinning
desire	verlange
desk	buuro
despair	hopeloos
desperate	wanhoopig
despite	ondanks
dessert	toetje
destination	besjtumming
destiny	loot
destroy	vernietige
destruction	vernieling
detail	detai
details	detaïs
detect	detèktere
determination	vàsberoajeheid
determine	vas sjtille
determined	vasbesjlote
devastated	der kapot van zeen
develop	ontwikkele
developed	ontwikkeld
development	ontwikkeling
device	apparaat
devil	duuvel
devoted	toegewijd
Dhivehi	Dievéhie
diabetes	diabeetes
diarrhea	diarréé
diary	dàgbook
dictionary	woordebook
did	deeg
die	sjterve
died	gesjtorve
diet	diejeet
difference	versjil
different	angesj
difficult	meuilijk
dig	grave
dignity	wêrdigheid
diligent	ieverig
dinner	oavendete
dip	oetholling
dip	dip
direct	dirèk
direction	direksie
director	dierekteur
dirt	drek
dirty	vies
disable	oetsjakele
disabled	oetgesjakeld
disabled	invalied
disappear	verdwiene
disappointed	teleurgesjtild
disaster	ramp
discard	wegsjmiete
discharge	aafgeve
discharge	vrieloate
discipline	dissiepliene
discount	korting
discover	ontdikke
discrimination	diskriemienasie
discuss	besjpreke
discuss	diskusjere
discussion	diskusjeere
disease	krankheid
diseases	ziektes
disguise	vermomme
disgusting	afsjuuwelik
dish	sjootel
dish	bord
dishes	gerechte
dishes	borde
dismiss	aafwieze
dispatch	wegsjture
display	sjerm
display	tentoewensjtille
disposal	weggwaje
dispute	oneinigheid
distance	aafsjtand
distinct	bepaald
distinguish	ondersjieje
distress	noeëd
distribution	verdeile
district	gebeed
disturb	sjtuure
ditch	sjloot
dive	duuke
diverse	divèrs
diversity	dieversieteit
divide	verdeile
divine	goddelik
divorce	sjeijing
dizzy	duuzelig
do	dooch
do you	deis dich
do you love me	hil se van mich
doctor	dokter
document	dokumint
does	deit
doesn't	deit neet
dog	hond
Dogri	Doogrie
doing	doon
doll	pop
domain	domein
domestic	hoeshouwelik
dominant	dominant
don't	neet
Don't worry	Maak dich neet druk
donate	donere
done	gedoan
donkey	ezel
dope	vit
double	dubbel
doubt	twiefel
dough	deig
down	onder
download	douwnlood
draft	konsep
drag	sjleipe
drain	lêgloate
drama	dramaa
draw	trik
drawer	láá
drawing	teikening
dread	sjrik
dream	druime
dream	druim
dress	jurk
dress	aandoon
drill	boor
drill	bore
drink	drinke
drink	drank
drive	rieje
drop	vàl
dropped	loate valle
drought	druuwegte
drunk	zaat
dry	druuwig
duck	bukke
duck	eend
dude	gas
due	tegood
due	door
due to	door toedoon van
dull	bot
dumb	dom
dump	dumpe
duration	doer
during	onderwieles
dust	sjtof
duty	plich
dwell	verblieve
dying	dwad goon
each	ellike
each other	ein
eager	gretig
eagle	adelêr
ear	oeër
earlier	ierder
early	vreug
earn	verdeene
ears	oeëre
earth	êrd
earthquake	aardbeving
ease	gemaak
easily	gemekkelik
east	oeëste
easy	gemekkelik
eat	ete
eating	ete
economic	economies
economy	eekonomie
edge	rand
edit	bewirke
education	onderwies
effect	effek
effective	effektief
efficiency	effiesjensie
efficient	effisjent
effort	meuite
egg	ei
eggplant	obersjien
ego	éégo
eight	àch
eighteen	achttieën
eighty	tachetig
either	of waal
elaborate	oetwijde
elbow	ellebwag
elder	ouwer
elder	ouwere
elderly	ouwer luuj
elegant	eelegant
element	elemint
elephant	olifant
eleven	ilf
eligible	in aanmerking komme
eligible	gesjik
eliminate	eliminere
else	andersj
embarrassed	beshaamp
embarrassing	besjamend
embrace	omsjloon
emerge	opkomme
emergency	sjpoodgeval
emotional	emosjoneel
empathy	empaatie
emphasis	noadruk
emphasize	benoadrukke
employee	medewirker
employees	personeel
employer	werkgever
employment	werk
empty	lêg
enable	aktivere
enable	meugelijk make
encounter	tegekomme
encourage	mood
end	eind
endangered	bedreigd
endeavor	sjtreve
endeavor	insjpanning
endurance	oethouwingsvermoge
endure	verdoere
enemy	vijand
energy	éénerzjie
engage	in wirking sjtille
engaged	betrokke
engaged	bezig
engagement	verloving
engagement	betrokkenheid
engine	mooter
engineer	inshenjeur
English	Ingelsj
enhance	vergroewete
enjoy	geniete
enormous	enorm
enough	genog
ensure	verzekere
enter	bevestige
enter	toegank
entertainment	amuusemint
enthusiasm	enthoesjasme
enthusiastic	entoesjas
entire	ganz
entitled	rech op
entitled	aansproak make op
entity	entieteit
entrance	ingank
entrepreneur	ondernummer
envelope	envellop
environment	omgeeving
envy	sjaloezie
epic	épies
epidemic	epidemies
equal	geliek
equipment	materiaal
equity	rechvaardigheid
equivalent	gelieke
eraser	gum
error	fout
escape	ontsjnappe
especially	mit name
essay	proofsjtuk
essence	essensie
essential	veurnaamste
establish	vestige
established	opgerich
established	veuraanstoande
estate	landgood
estimate	sjatting
estimate	insjatte
estimated	gesjat
etc	en zoë wiejer
eternal	ieëwig
ethics	etiek
evaluate	beoërdeile
evaluation	evaluasie
even	eve
even	geliek
even though	hoewaal
evening	oavend
event	evenemint
eventually	oeteindelik
ever	ooit
every	eedere
everybody	eederein
everyone	eederein
everything	alles
evidence	bewies
evil	koad
evolution	ontwikkeling
evolution	evoluutie
evolve	ontwikkele
Ewe	Éwe
ex	ex
exact	presies
exactly	presies
exam	exame
examine	besjtudére
example	veurbeeld
exceed	euvertreffe
excellent	oetsjtekend
except	behalleve
exception	oetzondering
excess	teveul
excess	euvervlood
excessive	errig veul
exchange	oetwisseling
exchange	oetwissele
excited	gesjpanne
excitement	sjpanning
exciting	sjpannend
exclusive	allein
exclusive	ekslusief
excuse	ekskuus
excuse me	sorrie
excuse me	het sjpiet mich
execute	oetveure
execution	eksekuusie
execution	oetveure
executive	leidinggevende
exercise	oefening
exhaust	oetloat
exhausted	oetgeput
exhibit	vertoeëne
exhibit	tentoeënsjtille
exhibition	tentoeënsjtilling
exist	besjtoon
existence	besjtoon
existing	besjtoand
exit	oetgank
expand	oetbreije
expect	verwach
expected	verwach
expenses	oetgaves
expensive	deur
experience	ervaaring
experiment	ekspérimint
experiment	ekspérimintere
expert	ekspêr
expired	verloupe
explain	oetligge
explanation	verkloaring
exploit	oetbuite
explore	verkinne
export	eksport
export	eksportere
expose	blwatsjtille
exposed	ontdik
exposure	blwatsjtilling
express	oetdrukke
expression	oetdrukking
expression	oetdrukke
extend	verlenge
extend	oetbreije
extended	oetgebreid
extended	verlengd
extension	oetsjtil
extent	umvank
external	van boetenaaf
extinct	oetgesjtorve
extra	èxtraa
extract	aafleie
extract	oettriksel
extraordinary	biezonder
extreme	ekstréém
extremely	hieël erg
extremely	ekstreem
eye	aug
eyes	auge
fabric	sjtof
fabulous	fantasties
face	gezich
face	tegemoet treije
facilitate	fasielietere
facilities	fasielieteite
facility	insjtilling
fact	feit
factor	fàktor
factory	fabrik
facts	feite
fade	vervleege
fail	mislukking
fail	mislukke
failed	misluk
failure	mislukking
faint	sjwaak
faint	einigzins
fair	ierlijk
fair	joarmerret
fairly	fêr
fairy	fee
faith	geluif
faithful	trouw
fake	nep
fall	valle
fall	herfs
FALSE	vàlsj
fame	beroemdheid
familiar	bekind
family	familie
famine	hongersnwad
famous	bekind
fan	fèn
fancy	sjiek
fantastic	fantasties
far	wied
farewell	daag
farm	boerderie
farmer	boer
fascinating	fassienerend
fashion	mode
fast	sjnèl
fat	vit
fatal	fàtáál
fate	lot
father	vader
father	pap
fatigue	vermeuid
fault	sjuld
favorite	favoriet
favour	guns
favourite	favooriet
fear	angs
feast	viere
feather	vêr
feature	kinmerk
features	kenmirreke
february	februaarie
fed up	meug zin
fee	pries
fee	koste
feed	voor
feedback	trökkoppeling
feel	veul
feeling	geveul
feet	veut
fell	veele
fell	gevalle
fellow	meede
felt	voolt
female	vrouwelik
fence	hikwerk
fertile	vruchbaar
festival	festieval
fetch	hoole
fever	koorts
few	wiejenig
few	paar
fewer	wiënigger
fiance	verlaufde
fiction	fiksie
field	vèld
fierce	fèl
fifteen	vieftieën
fifty	vieftig
fight	vechte
fighting	vèchte
figure	getal
figure	figuur
figure out	oetvogele
file	besjtand
file	aanmake
fill	vulle
fill	invulle
filled	ingevuld
film	fillem
filthy	vies
finally	eindelik
finance	finansieën
financial	finansjeel
find	vinge
find out	oetvinge
fine	boete
fine	good
finger	vinger
finish	aafmake
finish	eindsjtreep
finished	geëindig
finished	aafgeloupe
fire	fik
fire	vuur
firm	vas
first	ieërsjte
first name	veurnaam
fish	vusj
fit	fit
fit	passe
five	vief
fix	make
fix	oplossing
fixed	vàs
flag	vlag
flash	flits
flat	vlak
flat	flèt
flaw	fout
flawless	foutloos
flee	vloo
flesh	vleisj
flew	vloog
flex	buige
flexible	flexiebel
flight	vlug
flip	omkjerre
flirt	flirte
flirting	flirte
float	drieve
flood	euversjtruiming
flood	vlood
floor	vloer
floor	verdeeping
flour	mêl
flow	vloei
flower	bloom
flower	bloeie
flu	griep
fluent	vloeiend
fluently	vloeiend
fluffy	pluuzig
fluid	vloeibaar
fly	vleege
fly	vleeg
focus	noadruk
fog	mis
foggy	mistig
fold	vouwe
folks	luuj
follow	vollige
follow up	opvolge
following	vollige
food	ete
fool	misleide
fool	flap
foolish	sjtommigheid
foot	voot
football	voetbal
for	veur
For example	Bieveurbeeld
for instance	beveurbeeld
for you	veur dich
forbidden	verbooje
force	forcere
force	krach
forecast	veursjpelling
forehead	veurkop
foreign	boetelands
forest	boesh
forever	veur altied
forget	vergête
forgive	vergeve
forgot	vergete
fork	vork
form	vurme
form	formulier
formal	formeel
former	auwd
fortunately	gelukkig
fortune	fortuin
forty	vieërtig
forty-two	twieënvieërtig
forward	veuroet
forward	doorsjture
foster	verzörge
fought	gevochte
found	gevonge
foundation	fundaasie
four	veer
fourteen	veertieën
fox	vos
fragile	fragiel
frame	betietele
frame	lies
framework	raamwerk
fraud	fraude
freak	màfkees
free	vrie
free	gratis
freedom	vrieheid
freeze	bevreeze
frequency	frekwensie
frequent	frekwènt
frequently	diks
fresh	frish
friday	vriedig
fridge	keulkas
friend	vrund
friendly	vruntelik
friends	vrung
friendship	vrundsjap
frightened	bang
frightening	beangstigend
frog	kikker
from	van
front	veurkant
frozen	bevroore
fruit	fruit
frustrated	gefrustreerd
fuel	brandsjtof
Fulfulde	Foelfèlde
full	vol
fun	plezeer
function	funksie
function	functionere
fundamental	fundamenteel
funeral	begraafenis
funny	grappig
fur	vàch
furious	fuurieus
furniture	meubel
further	wiejer
furthermore	wiejer
future	toekomstig
gain	toenumme
game	sjpèl
gap	gaat
garage	graasj
garbage	aafval
garden	tuin
garlic	knoflook
gate	poort
gather	verzamele
gathering	samekoms
gauge	meete
gave	gegeve
gear	sjaakele
gear	verzit
gender	gesjlach
general	algemein
generally	normaalgesjproke
