abandoned	ምቁራጽ
annoying	መፅልኢ
annoy	ምሕራቕ
annual	ዓመታዊ
anonymous	ሽሙ ዘይተፈልጠ
another	ካልእ
answer	መልሲ
anticipate	ግምት
anxiety	ጭንቀት
anxious	ጭኑቅ
anymore	ድሕሪ ሕጂ
anyone	ኩሉ
anything	ምንም ነገር
anyways	ዝኾነ ኾይኑ
anyway	ብዝኾነ
any	ዝኾነ
an	ሓደ
apartment	ክፍሊ
apart	ዝተኸፈለ
apologize	ይቅርታ
apparently	እስካብ ዝፈልጦ
apparent	ግልፂ
appeal	ይግባኝ
appearance	ቁመና
appeared	ወፀ
appear	ምርካብ
appetite	ሸውሃት
apple	መለ
application	ማመልከቻ
apply	ኣተግብር
appointment	ቆፀራ
appreciate	ኣድንቅ
appreciation	ኣድንቖት
approach	ቅረብ
appropriate	ኣግባብ
approval	ምጽዳቕ
approved	ጸዲቑ
approve	ምቕባል
approximately	ብፅግግዕ
april	ጉንበት
arbitrary	ብሃውሪ
architecture	ኣርክቴክቸር
architect	ኣርክቴክት
archive	መዝገበ
area	ስፍሓት
are you busy	ስራሕ ሒዝካ ዲኻ
are you married or single	ተመርዒኻ ዲኻ ወይስ ንብሕትኻ ኢኻ
are you married	ዝተመርዓኻ ዲኻ
Are you still there?	ክሳብ ሕዚ ኣብኡ ኣለኻ?
are you there	ኣብዚ ኣለኻ ዶ
are you	ንስኻ ዲኻ
are	እዮም
argue	ምክታዕ
argument	ክትዕ
arise	ምልዓል
army	ሰራዊት
arm	ኢድ
around	አብ ከባቢ
arrangement	መስርዕ
arrange	አስተኻኽል
arrival	ምምጻእ
arrived	በፂሑ
arrive	ብፃሕ
arrogant	ዕቡይ
arrow	ፍላፃ
article	ዓንቀጽ
artificial	ሰብ ሰራሕ
artist	ኣርቲስት
art	ጥበብ
ashamed	ሓፊሩ
ash	ሓሞኹሽቲ
asked	ዝተሓተተ
ask	ሕተት
asleep	ምድቃስ
as long as	ክሳብ
aspect	ገጽታ
Assamese	ኣሰማሰ
assault	ጥቕዓት
assembly	ኣኼባ
assertive	ኣትሪርካ ምዝራብ
assessment	ፈተና
assess	ገምጋም
assets	ሃብቲ
asset	ጥሪት
assignment	ዕዮ
assign	ምምዳብ
assistant	ሓጋዚ
assist	ሓገዝ
associated	ተሓባበረ
associate	ሕብረት
association	ማሕበር
assume	ንበል
assumption	ግምት
as well as	ከምኡውን
as well	ከምኡውን
as	ከም
ate	በልዐ
athlete	ጎያዪ
at least	ብውሑዱ
attached	ጥባቕ
attachment	ዝተሓሓዝ
attach	ምትሕሓዝ
attack	መጥቃዕቲ
attempt	ሙከራ
attendance	ክትትል
attend	ተዓደም
attention	ቀልቢ
attitude	ኣተሓሳስባ
attraction	ስሕበት
attractive	ዝስሕብ
attract	ምስሓብ
attribute	ባህሪ
at	ኣብ
audience	ተመልካቲ
august	ነሓሰ
aunty	ሓትነይ
aunt	ኣሞ
authentic	ሓቀኛ
authority	ምምሕዳር
author	ጸሓፊ
autumn	ፅድያ
available	ቅሩብ
average	ማእኸላይ
avoid	አወግድ
awake	ምንቃሕ
award	ሽልማት
awareness	ኣፍልጦ
aware	ፍለጥ
away	ንየ
awesome	ደስ በሃሊ
awful	ደስ ዘይብል
awkward	መሰከፊ
Aymara	ኣይማራ
a	ሓደ
baby	ማማይ
bachelor	ባችለር
background	ድሕረ ባይታ
back	ዝባን
bad	ሕማቅ
bag	ቦርሳ
bait	መህረሪ
bakery	እንዳ ባኒ
bake	ባኒ
baking soda	መብኩዒ
balance	ሚዛን
ball	ኩዕሶ
Bambara	ባምባራ
banana	በነና
band	ባንድ
bang	ኣጋጪዩ
bank	ባንኪ
barely	ንንእሽተይ
bargain	ስምምዕ
bark	ምንባሕ
barley	ስገም
barrier	መከላኸሊ
bar	ባር
based	መሰረት ዝገበረ
basement	መሰረት
base	መሰረት
basically	ብመሰረቱ
basic	መሰረታዊ
basil	ዓይነት ቖፅሊ
bastard	ድቓላ
batch	ጉጅለ
bathroom	ነብሲ መሕጸቢ
bath	ነብስኻ ምሕጻብ
battery	ባትሪ
battle	ውግእ
bay	ልሳን ባሕሪ
beach	ገምገም
beam	ኣግማድ
beans	ዓልቋይ
beard	ጭሕሚ
bearing	ምጿር
bear	ቢራ
beast	ኣራዊት
beat	ምሽናፍ
beautiful	ፅብቅቲ
beauty	መልክዕ
became	ኮይኑ
be careful	ተጠንቀቕ
because	ምኽንያቱ
become	ምዃን
bedroom	መደቀሲ
bed	ዓራት
beef	ስጋ ብዕራይ
been	ዝነበረ
beer	ቢራ
bee	ንህቢ
before	ቅድሚ
began	ጀሚሩ
beginning	መጀመርታ
begin	ጀምር
behalf	ክንዲ
behave	ባህሪ
behavior	ፀባይ
behaviour	ባህርያት
behind	ብድሕሪ
being	ፍጥረት
belief	እምነት
believe	እመን
belly	ከብዲ
belong	ናሃቱ
beloved	ፍትው
below	ትሕቲ
belt	ቐበቶ
bench	ኮፍ መበሊ
bend	ምዕጻፍ
beneath	ኣብ. .ታሕቲ
benefits	ጥቕምታት
benefit	ጥቕሚ
besides	ጎና ጎኒ
beside	ኣብ ጎኒ
best of luck	ብሉፅ ዕድል
best regards	ምስ ሰላምታ
best	ምሩፅ
better	ዝሓሸ
between	አብ መንጎ
beverage	መስተ
beyond	ብልዕሊ
be	ኩን
Bhojpuri	ብሆጅፑሪ
biased	ኣድልዎ ዝተፈፀሞ
bias	ኣድልዎ
bicycle	ብሽክሌታ
bid	ጨረታ
big	ዓብይ
bike	ብሽክሌታ
bill	ክፍሊት
bind	ምእሳር
bird	ዒፍ
birthday	በዓል ልደት
bite	ንክሲት
bitter	ዝመርር
bit	ቅንጣብ
black	ፀሊም
blade	በሊሕ
blame	ወቐሳ
blanket	ኮቦርታ
blank	ባዶ
blast	ነትጒ
bleach	መፍሰሲ
blend	ሕዋስ
blessed	ዝተባረኸ
bless	በረኸት
blind	ዕውር
bliss	ታሕጓስ
block	ህንጻ
blood	ደም
bloom	ዕምበባ
blow	ንፋሕ
blue	ሰማያዊ
blunt	ብግህዶ
board	ፀፊሕ ጣውላ
boat	ጃልባ
body	ሰውነት
boil	ምፍላሕ
bold	ድሙቅ
bond	መተሓሓዚ
bone	ዓፅሚ
book	መፅሓፍ
booster	መለዓዓሊ
boost	ኣቀልጥፍ
boots	ጫማታት
boot	ጫማ
border	ዶብ
bored	ዝሰልቸዎ
bore	ደባሪ
boring	ሰልቻዊ
born	ተወሊዱ
borrow	ተለቃሕ
boss	ሓላፊ
bother	ምርባሽ
both	ክልቲኡ
bottle	ጥርሙዝ
bottom	ታሕተዋይ
bought	ገዚአ
bounce	ምንጣር
boundaries	ዶባት
bound	ተኣሲሩ
bowl	ኣጋር
bow	ኢድ ምንሳእ
box	ሳንዱቕ
boyfriend	ናይ ፍቕሪ መሓዛ ወዲ
boy	ወዲ
bracelet	በጅቦ
brain	ሓንጎል
branch	ቅርንጫፍ
brand	ስም ምህርቲ
brave	ጅግና
breach	ምጉዳል ፍትሒ
bread	ሕምባሻ
breakfast	ቁርሲ
break	ስበር
breast	ጡብ
breathe	ተንፍስ
breath	ተንፈሰ
breed	ኣራበሐ
brick	ጡብ
bride	መርዓዊ
bridge	ድልድል
brief	ሓፂር
bright	ብሩህ
brilliant	ጎበዝ
bring	ኣምፅእ
broadcast	ፈነወ
broad	ሰፊሕ
broken	ዝተሰበረ
broke	ተሰይሩ
broom	መኾስተር
brother in law	ሓው ብዓልቲቤት
brother	ሓው
brought	ምምፃእ
brown	ቡኒ
bro	ሓወይ
brush	ብሩሽ
bucket	ሸንኬሎ
buddy	ዓርኪ
budget	በጀት
bug	ትዃን
building	ምህናፅ
build	ህነፅ
built	ተሃኒጹ
bulk	ግዙፍ
bully	ዓመጸኛ
bull	ብዕራይ
bump	ምጉርምራም
bunch	ጥቕሉል
bundle	ጥቕላል
burden	ሓላፍነት
buried	ተቐቢሩ
burn	ምቅጻል
burst	ምፍንዳእ
bury	ቀብሪ
bush	ቈጥቋጥ
business	ስራሕቲ ንግዲ
bust	ደረት
busy	ዝተጨናነቀ
bus	ኣውቶብስ
butterfly	ጽንብላሊዕ
butter	ጠስሚ
button	መጠወቒ
but	ግን
buy	ግዛእ
bye	ቻው
by the way	ብነገርና
by	ብ
cabbage	ጎመን
cabinet	ካቢነ
cage	ሰፈር
cake	ኬክ
calf	ምራኽ
called	ዝተፀወዐ
call me	ደውለለይ
call	ደውል
calm	ስኹን
came	መጺኡ
campaign	ወፍሪ
Cancel	ሰርዝ
cancer	መንሽሮ
can't	ኣይኽእልን
can	ይኽእል
capable	ተኽእሎ ዘለዎ
capacity	ትኽእሎ
capital	ሃብቲ
caption	መግለጺ
capture	ምሓዝ
career	ሞያ
carefully	ብጥንቃቐ
careful	ምጥንቃቕ
careless	ግዲ ዘይብሉ
caring	ምሕላይ
carpenter	ፀራቢ
carpet	መንጸፍ
carrot	ካሮት
carry on	ፆር
carry out	ምስካም
carry	ተሸከም
car	መኪና
case	ጉዳይ
cash	ጥረ ገንዘብ
castle	ካስትል
cast	ምስሊ
casual	ዘይተፃበበ
catch	ሓዝ
category	ምደባ
cattle	ከብቲ
cat	ድሙ
caught	ተታሒዙ
cause	ጠንቂ
caution	ጥንቃቐ
cautious	ጥንቁቕ
cave	ባዓቲ
cease	ምቁራፅ
ceiling	ላዕለዋይ ጸፍሒ
celebrate	ምኽባር
cell	ዋህዮ
center	ማእኸል
century	ዘመን
cereal	እኽሊ
ceremony	ኣከባብራ
certainly	ብርግፀኝነት
certain	ውሱን
certificate	ምስክር ወረቐት
chain	ሰንሰለት
chair	ወንበር
challenge	ፃውዒት
chance	ዕድል
change	ለውጢ
chaos	ህውከት
characteristics	ባህርያት
character	መልክዕ
charge	ኣኽፍል
charity	ርድኣታ
charming	ውቁብ
chart	ካርታ ባሕሪ
chase	ህደን
chat	ፀወታ
cheap	ሕሳር
cheating	ምትላል
cheat	ምትላል
check	አፃሪ
cheek	ምዕጉርቲ
cheerful	ሕጉስ
cheers	ዕልልታ
cheer	ሓጎስ
cheese	መጨባ
chemistry	ኬሚስትሪ
cherish	ምኽባር
chess	ሰደቓ
chest	አፍ-ልቢ
chew	ምሕያኽ
chicken	ደርሆ
chief	ሓለቓ
childhood	ቁልዕነት
children	ቖልዑ
child	ህፃን
chill	ተዘናጋዕ
chimneys	መውፅኢ ትኪ
chin	መንከስ
chocolate	ቾኮሌት
choice	ምርጫ
choose	ምረፅ
chop	ምቑራፅ
chores	ዕዮ ገዛ
chubby	ረጒድ
church	ቤተ ክርስትያን
cinnamon	ካዕካዕ
circle	ክቢ
circumstances	ኩነታታት
citizen	ዜጋ
city	ከተማ
claim	ምልከታ
clarify	ኣብራህርሃዮ
class	ክፍሊ
clay	ሸኽላ
clean	ኣፅሪ
clear	ንፁር
clerk	ጸሓፊ
clever	ጎበዝ
client	ዓሚል
cliff	ፀድፊ
climate	climate
climb	ደይብ
clingy	ጨቢጡ ዝሕዝ
clock	ሰዓት
closet	መትሓዚ ክዳውንቲ
close	ዕፁው
clothes	ክዳውንቲ
cloth	ክዳን
cloudy	ደበና ዝበዝሖ
cloud	ደበና
clown	መስሓቒ ተዋሳኣይ
clue	ፍንጪ
clumsy	ክላሲክ
cluster	ክላስተር
coach	ኣሰልጣኒ
coal	ፈሓም
coast	ገማግም
coat	ኮት
coffee	ቡን
cognitive	ምስትውዓል
coincidence	ኣጋጣሚ
cold	ቁሪ
collapse	ፈረሰ
collar	ኳሌታ
colleagues	መሳርሕቲ
colleague	መሳርሕቲ
collection	ጥርኑፍ
collect	ምእካብ
college	ኮሌጅ
colorless green ideas slept furiously	ሕብሪ ኣልቦ ቆፅለዎት ሓሳባት ብቁጠዐ ዝሃረሱ
color	ሕብሪ
colour	ሕብሪ
column	ሪጋ
combination	ጥምረት
combine	ድምር
comb	ቆብዕ
come here	ናብዚ ንዓ
come on	ተረጋጋእ ዋእ
come	ንዓ
comfortable	ምችው
comfort	ምቾት
coming soon	ኣብዚ ቐረባ እዋን
coming	ዝመጽእ
command	ትእዛዝ
comment	ርእይቶ
commercial	ንግዳዊ
commission	ኮምሽን
commitment	ግዱስነት
committed	ፈፀመ
commit	ተበገሰ
commodity	ሸቐጥ
common	ልሙድ
communicate	ምርድዳእ
communication	ሓሳብ ንሓሳብ ምልውዋጥ
community	ማሕበረሰብ
commute	ጉዕዞ
companion	ብፃይ
company	ድርጅት
compare	ኣወዳደረ
comparison	ምውድዳር
compassionate	ርህሩህ
compassion	ልውሃት
compatible	ዝስማዕማዕ
competent	ተወዳዳሪ
compete	ሙሉእ
competition	ውድድር
competitive	ተወዳዳሪ
complaint	ቕሬታ
complain	ምንፅርፃር
complement	መማልእቲ
completely	ሙሉእ ብሙሉእ
complete	ውዱእ
complex	ሕውስዋስ
compliance	ምእዙዝነት
complicated	ውስብስብ
compliment	ቕሬታ
comply	ሕራይ ኢሉ
composition	ሕዋስ
compound	ውሁድ
comprehension	ግንዛበ
comprehensive	ኣጠቓላሊ
compromise	ምውጋይ
compulsory	ብህጊ ዘገድስ
computer	ኮምፒዩተር
concentrate	ምትኳር
concept	ጭብጢ
concerned	ዝሰገአ
concern	ስግኣት
concert	ምርኢት
conclusion	መደምደምታ
concrete	ጽኑዕ
conditions	ኩነታት
condition	ኩነታት
conduct	ኣግባብ
conference	ዋዕላ
confess	ምንዛዝ
confidence	ዓርሰ እምነት
confident	ብዓርሱ ዝተኣማመን
confirm	ኣረጋግፅ
conflict	ባእሲ
confused	ዝተደናገረ
confusion	ምድንጋራት
congrats	እንኳዕ ደስ በለካ
congratulations	እንኳዕ ደስ በሎም
congratulation	እንኳዕ ሓጐሰኩም
conjunction	ምትሕንፋፅ
connect	ምርኻብ
conquer	ስዓር
consciousness	ንቕሓተ ሕሊና
conscious	ዘቅልብ
consent	ፍቃድ
consequences	ሳዕቤናት
conservation	ዕቀባ
conservative	ዓቃቢ
considered	ገምገመ
consider	ሕሰበሉ
consistency	ዘይለዋወጥ
consistent	ቀፃልነት
consist	ዝሓዘ
constantly	ወትሩ
constant	ቀዋሚ
constipation	ምንፍርፋር
construction	ናይ ህንፃ ስራሕ
consume	ምውሳድ
consumption	ምህላኽ
contact	መርከቢ
contagious	ተመሓላላፊ
contains	የጠቓልል
contain	ይሕዝ
contemporary	ወቕታዊ
contempt	ንዕቀት
content	ትሕዝቶ
contest	ውድድር
context	ዓውዲ
continent	ኣህጉር
continue	ቀፃሊ
contract	ውዕሊ
contrast	ኣወዳደረ
contribute	ኣዋፅእ
contribution	ኣበርክቶ
control	ምቁጽጻር
controversial	ዘከራኽር
convenience	ዝምቹው
convenient	ምችው
conversation	ዝርርብ
convert	ቀይር
convey	ፅዒንካ ውሰድ
convinced	ኣሚንካሉ
convince	ኣእምን
cooking	ምግቢ ምኽሻን
cook	ሰራሒ ፀብሒ
cool	ሰናይ
cooperation	ሕብረት
cope	ምጽዋር
copper	ነሓስ
core	ማእኸል
corner	መኣዝን
corn	ዕፉን
correct	ልክዕ
costume	ክዳን
cost	ዋጋ
cottage	ጎጆ
cotton	ጡጥ
couch	ዓራት
cough	ሰዓል
could	ይከኣል
council	ዋዕላ
counter	ቆጻሪ
countryside	ገፀር
country	ሃገር
count	ቁፀር
couple	ፅምዲ
courage	ወነ
course	ዓይነት ትምህርቲ
courtesy	ብኣኽብሮት
court	ቤት ፍርዲ
cousin	ወዲ ሓው አቦ
cover	ሽፋን
coward	ፈራሕ
cow	ላሕሚ
cozy	ምቹው
crab	ኸረጢት
crack	ነቓዕ
craft	ኢደ ጥበብ
crap	ዘይረብሕ
crash	ተጓንፎ
craving	ምምናይ
crawl	ምፍሓኽ
crazy	ዕቡድ
create	ፍጠር
creative	ናይ ፈጠራ ክእለት ዘለዎ
credit	ልቓሕ
creepy	መፍርሒ
creep	ምሕፋር
crew	ጀምዓ
crime	ወንጀል
cringe	ርእሲ ምንቅናቅ
crisis	ቅልውላው
criteria	መለክዒ
critical	ወሳኒ
criticism	ወቐሳ
crops	ዝራእቲ
crop	እኽሊ
cross	መስቀል
crowded	ዝተጨናነቐ
crowd	ጭንቕንቕ
crown	ኣኽሊል
crow	ኳኽ
crucial	ኣገዳሲ
cruel	ጨካን
cruise	ጉዕዞ መርከብ
crush	ምግጫው
cry	ምብካይ
cucumber	ዱባ
cuddle	ሓቘፈ
culture	ባህሊ
cunning	ተንኮለኛ
cupboard	ካፕቦርድ
cup	ኩባያ
curb	ናይ መንገዲ ጠርዚ
cure	መድሓኒት
curfew	ሰዓት ሕላፍ
curiosity	ንምፍላጥ ባህጊ ምህላው
curious	ህንጥው
curly	ዝተጠቕለለ ፀጉሪ
currency	ገንዘብ
currently	አብዚ ሕዚ
current	እዋናዊ
curse	መርገም
curtain	መጋረጃ
cushion	መኽደኒ
customer	ዓሚል
customs	ልምድታት
custom	ቅቡል ልምዲ
cute	ደስ በሃሊት
cut	ቁረፅ
cycle	ዑደት
cycling	ብሽክሌታ ምዝዋር
daddy	ኣቦይ
dad	ኣቦ
daily	መዓልታዊ
dairy	መስታወሲ ደብተር
damage	ጉድኣት
damn	ዝተረግመ
damp	ርሑስ
dam	ግድብ
dance	ሳዕስዒት
dangerous	ሓደገኛ
danger	ሓደጋ
dark	ፀልማት
darling	ፍትውተይ
dash	ዳሽ
data	ሰነድ
date	ዕለት
daughter	ጓል
day	መዓልቲ
deadline	ዘብቀዐሉ ግዜ
dead	ምውት
deaf	ፀማም
deal	ዛዕባ
Dear All	ዝተኸበርኩም ኩላትኩም
Dear Customer	ክቡር ዓሚል
Dear Parents	ኽቡራት ኣቦን ኣደን
Dear Sir	ክቡር ሓላፊ
Dear students	ዝተኸበርኩም ተምሃሮ
Dear Team	ኽቡር ጋንታ
dear	ፍትውቲ
death	ሞት
debate	ኽትዕ
debit	ዕዳ
debris	ፍርስራሳት
debt	ዕዳ
decade	ዓሰርተ ዓመት
decay	ሙሽሙሽ
deceased	ምውት
deceive	ኣታለለ
december	ታሕሳስ
decent	መኽበሪ ሰብ
decided	ወሲነ
decide	ወስን
decision	ውሳነ
deck	ባይታ
decline	ኣውድቅ
decrease	ምቕናስ
dedicated	ግዱስ
dedication	ተበግሶ
deed	ሓቂ
deep	ጥሉቅ
deer	ድብ
default	ትሑዝ
defeat	ሽንፈት
defend	ምክልኻል
define	ገለጸ
definitely	ብርጉፅ
definition	ኣገላልፃ
degree	መዐቀኒ
delayed	ዘንጊዑ
delay	ምዝንጋዕ
delete	ምድምሳስ
deliberate	ጥንቁቕ
delicate	ረቂቕ
delicious	ጥዑም
delighted	ተሓጎሰ
delight	ምሕጓስ
delivered	ኣብፀሐ
delivery	ምብፃሕ
deliver	ምብጻሕ
demanding	ምድላይ
demand	ተጠላብነት
democracy	ዲሞክራሲ
demonstrate	ምርኣይ
demon	ኣጋንንቲ
denied	ዝተኸልከለ
density	ፃዕቒ
dentist	ናይ ስኒ ሓኪም
deny	ምኽሓድ
department	ክፍሊ
departure	ካብ ቦታ ናብ ቦታ ምኻድ
depend	ይጽጋዕ
deploy	ኣውዓሎ
deposit	ኣታዊ
depressed	ጭኑቕ
depression	ጭንቀት
depth	ዕምቈት
describe	ግለፅ
description	መግለፂ
desert	ምድረ በዳ
deserve	ምግባእ
designation	ምስረታ
design	ንድፊ
desire	ባህጊ
desk	ጠረጴዛ
despair	ተስፋ ምቑራጽ
desperate	ተስፋ ዘቑርፅ
despite	ብዘየገድስ
dessert	ጣዓሞት
destination	መብፅሒ
destiny	ዕድል
destroy	ምጥፋእ
destruction	ዘዕንቅፍ ነገር
details	ዝርዝራት
detail	ዝርዝር
detect	ምምርማር
determination	ምርካብ
determined	ብጉስ
determine	ርኸብ
devastated	ዝተደቘሰ
developed	ምዕቡል
development	ዕብየት
develop	ዕበ
device	መሳርሒ
devil	ሰይጣን
devoted	ውፉይ
Dhivehi	ድሂቨሂ
diabetes	ሕማም ሽኮር
diarrhea	ውፅኣት
diary	መዝገብ ውዕሎ
dictionary	መዝገበ ቃላት
did	ግቡር
died	ሞይቱ
diet	ኣመጋግባ
die	ምሟት
difference	ኣፈላላይ
different	ፍሉይ
difficult	ከቢድ
dignity	ክብሪ
dig	ምኹዓት
diligent	ትጉህ
dinner	ድራር
dip	ምትእትታው
direction	ኣንፈት
director	ዳይሬክተር
direct	ቕጥታ
dirty	ረሳሕ
dirt	ጓሓፍ
disabled	ስንኩል
disable	ስንኩል
disappear	ምጥፋእ
disappointed	ዝተቆጠዐ
disaster	እዋን ችግር
discard	ጓሓፍ
discharge	ምፍሳስ
discipline	ስርዓት
discount	ዘይቑጸር
discover	ረኸበ
discrimination	ምግላል
discussion	ምይይጥ
discuss	ተመያየጡ
diseases	ሕማማት
disease	ሕማም
disguise	ምሕባእ
disgusting	መፅልኢ
dishes	ምብልዒ ምግቢ
dish	መብልዒ
dismiss	ምስንባት
dispatch	ምልኣኽ
display	ኣጫውት
disposal	ወገዳ
dispute	ዘይምስምዕማዕ
distance	ርሕቐት
distinct	ዝጠፈአ
distinguish	ፍለ
distress	ጭንቀት
distribution	ምክፍፋል
district	ኣውራጃ
disturb	ረብሽ
ditch	መፍሰሲ ማይ
diverse	ዝተፈላለየ
diversity	ፍልልይነት
dive	ምቅዛፍ
divide	ምምቃል
divine	መለኮታዊ
divorce	ፍትሕ
dizzy	ርእሲ ምዟር
doctor	ዶክቶር
document	ሰነድ
doesn't	ኣይገብርን እዩ
does	ምግባር
Dogri	ዶግሪ
dog	ከልቢ
doing	ተግባር
doll	ባምቡላ
domain	ግዝኣት
domestic	ዘቤት
dominant	ዓብላሊ
donate	ምልጋስ
done	ምውዳእ
donkey	ኣድጊ
Don't worry	ኣይትጨነቕ
don't	ከይትገብር
dope	መድሓኒት
double	ዕፅፊ
doubt	ጥርጣረ
dough	ብኹዕ
download	ምውራድ
down	ታሕቲ
do you love me	ተፍቅረኒ ዲኻ
do you	ዲኻ
do	ግበር
draft	ንድፊ
drag	ምጉታት
drain	መፍሰሲ
drama	ድራማ
drawer	ሰኣሊ
drawing	ምስኣል
draw	ሰኣል
dread	ፍርሒ
dream	ሕልሚ
dress	ቀምሽ
drill	መኹዐቲ
drink	ስተ
drive	ምግናሕ
dropped	ዝተደርበየ
drop	ጠብታ
drought	ድርቂ
drunk	ሰኽራም
dry	ደረቅ
duck	ደርሆ-ማይ
dude	ወዲ
due to	ብምኽንያት
due	መወዳእታ
dull	መሀከይ
dumb	ደደብ
dump	ደደብ
duration	ጻንሒት
during	አብ እዋን
dust	ኣቦራ
duty	ግዳጅ
dwell	ተቐመጡ
dying	ምሟት
each other	ነንባዕሎም
each	ሕድሕድ
eager	ዓብይ ድሌት
eagle	ኣሞራ
earlier	ኣቕድም ኣቢሉ
early	ብግዘ
earn	ውሰድ
ears	እዝኒ
earthquake	ናይ መሬት ምንቅጥቃጥ
earth	መሬት
ear	እዝኒ
ease	ምቾት
easily	ብቐሊሉ
east	ምብራቅ
easy	ቀሊል
eating	ምብላዕ
eat	ብላዕ
economic	ቁጠባዊ
economy	ቁጠባ
edge	ጫፍ
edit	ምዕራይ
education	ትምህርቲ
effective	ውፅኢታዊ
effect	ፅልዋ
efficiency	ብቕዓት
efficient	ስሉጥ
effort	ፃዕሪ
eggplant	ኢግ ፕላንት
egg	እንቁላሊሕ
ego	ስሰዐ
eighteen	ዓሰርተ ሾሞንተ
eighty	ሰማንያ
eight	ሸሞንተ
either	ወይ
elaborate	ኣብራህርህ
elbow	ብርኪ ኢድ
elderly	ዓብዪ
elder	ሽማግለ
elegant	ምዕሩግ
element	ባእታ
elephant	ሓርማዝ
eleven	ዓሰርተ ሓደ
eligible	ብቑዕ ምዃን
eliminate	ምውጋድ
else	ካልእ
embarrassed	ዝሓፈረ
embarrassing	ዘሕፍር
embrace	ምቅባል
emergency	ህጹጽ
emerge	ተቐልቀለ
emotional	ስምዒታዊ
empathy	ድንጋጸ
emphasis	ኣትኩሮ ምሃብ
emphasize	ኣድህቦ ምሃብ
employees	ሰራሕተኛታት
employee	ሰራሕተኛ
employer	ኣስራሒ
employment	ምቑጻር ስራሕ
empty	ባዶ
enable	ኣኽእል
encounter	ምርኻብ
