тӀэкӀу	a little
къэгъэгубжьын	annoy
къытехьа	annoyed
узыгъэбампӀэ	annoying
илъэс къэс	annual
къызыбгъэдэкӀар мыбелджылы	anonymous
нэгъуэщӀ	another
жэуап	answer
жэуап етын	answer
къэщӀэн	anticipate
гузавэ	anxiety
гузавэ	anxious
дапхуэдэри	any
дэтхэнэри	any
нэхъыбэ	anymore
хэти	anyone
зыгуэр	anything
сыт къэмыхъуми	anyway
апхуэдэу е нэгъуэщӀу	anyways
зэпэщхьэхуэу	apart
фэтэр	apartment
къысхуэгъэгъу жыӀэн	apologize
шэч зыхэмылъ	apparent
нэрылъагъущ	apparently
удэзыхьэх	appeal
къыкъуэкӀын	appear
телъэ	appearance
къэхутащ	appeared
шхэныгу	appetite
мыӀэрысэ	apple
къэгъэсэбэпын	application
къэгъэсэбэпын	apply
гъэувыныгъэ	appointment
гъэлъэпӀэн	appreciate
фӀыщӀэ	appreciation
пэгъунэгъу хъун	approach
бгъэдыхьэпӀэ	approach
къекӀу	appropriate
арэзы техъуэныгъэ	approval
дэн	approve
арэзы зытехъуа	approved
хууэгъэфэщауэ	approximately
мэлыжьыхь	april
щхьэрыутӀыпщ	arbitrary
хуит	arbitrary
архитектор	architect
ухуэныгъэ щӀыкӀэ	architecture
дэфтэр хъумапӀэ	archive
щытхэщ	are
уэ ущытщ	are you
Ӏуэху ухэт	are you busy
Уэ къэпша	are you married
щхьэгъусэ уиӀэ хьэмэрэ уимыӀэ	are you married or single
Уэ иджыри абы ущыӀэ?	Are you still there?
уэ абдеж ущыӀэ	are you there
куей	area
зэпеуэн	argue
зэдауэ	argument
къэхъун	arise
Ӏэ	arm
армэ	army
и хъуреягъкӀэ	around
зэхуэгъэхъун	arrange
къызэгъэпэщыныгъэ	arrangement
къэсыныгъэ	arrival
щыӀэн	arrive
къэсащ	arrived
зыкъызыфӀэщӀыжа	arrogant
шабзэ	arrow
гъуазджэ	art
статья	article
нэпцӀ	artificial
псэ зыӀумыт	artificial
сурэтыщӀ	artist
дауэ	as
узыншжу	as long as
апщӀэндэху	as long as
апхуэдэу	as well
дыщӀыгъуу	as well as
сахуэ	ash
укӀытэ	ashamed
еупщӀын	ask
щӀэупщӀащ	asked
жей	asleep
Ӏуэхум зэреплъ щӀыкӀэ	aspect
Ассамскэ	Assamese
теуэныгъэ	assault
зэхуэс	assembly
хасэ	assembly
ерыщ	assertive
къэлъытэн	assess
оценкэ	assessment
фӀыгъуэ	asset
фӀыгъуэ	assets
хэхын	assign
гъэувын	assign
лэжьыгъэ	assignment
дэӀэпыкъун	assist
дэӀэпыкъуэгъу	assistant
дэӀэпыкъуэгъу	associate
зэпха	associated
ассоциацэ	association
егъэщхьыныгъэ	association
хуэгъэфэщэн	assume
хуэгъэфэщэныгъэ	assumption
нэхъ мащӀэ дыдэу	at least
ишхащ	ate
спортсмен	athlete
дыщӀыгъун	attach
пыщӀэн	attach
кӀэрыщӀа	attached
есэныгъэ	attachment
теуэныгъэ	attack
зепщытыныгъэ	attempt
екуныгъэ	attempt
екӀуэлӀэн	attend
къэкӀуэкӀэ	attendance
гулъытэ	attention
зэхущытыкӀэ	attitude
зэӀэпышэн	attract
зыщӀэшэныгъэ	attraction
ӀуплъэгъуафӀэ	attractive
щытыкӀэ щхьэхуэ	attribute
цӀыхубэ	audience
шыщхьэӀу	august
адэ шыпхъу	aunt
анэ шыпхъу	aunt
адэ шыпхъу	aunty
анэ шыпхъу	aunty
зыми къытемыщӀыкӀа	authentic
лэжьыгъэр зей	author
тепщэныгъэ	authority
бжьыхьэ	autumn
бгъуэт	available
курыт	average
зыщӀэдзеин	avoid
мыжей	awake
саугъэт	award
тыгъэ	award
щыгъуазэныгъэ	aware
хэщӀыкӀыныгъэ	awareness
щыгъуазэныгъэ	awareness
лъэныкъуэ	away
егъэлеяуэ фӀы	awesome
гуӀэгъуэ	awful
мыӀэкӀуэлъакӀуэ	awkward
Аймарэ	Aymara
сабий	baby
фызкъэмышэ	bachelor
щӀыбагъкӀэ	back
плъыфэ	background
Ӏей	bad
къэлътмакъ	bag
пылъхьэ	bait
гъэжьэн	bake
пэшхьэку	bake
щӀакхъуэ гъэжьапӀэ	bakery
шхын содэ	baking soda
зыӀыгъын	balance
баланс	balance
хъурей	ball
Бамбарэ	Bambara
Ӏэпэзэкъуэт	banana
гуп	band
теуӀуэн	bang
ахъшэ хъумапӀэ	bank
банк	bank
планкэ	bar
ерагъкӀэ	barely
зэгурыӀуэныгъэ	bargain
пхъафэ	bark
бэнэн	bark
ерагъкӀэ	barley
елъапӀэ	barrier
лъабжьэ	base
къэгъэхъуа	based
щӀыунэ	basement
нэхъапэ	basic
нэхъыбэу	basically
базилик	basil
напэншэ	bastard
гуп	batch
ваннэ	bath
ваннэ зыщӀэт пэш	bathroom
батэрейкэ	battery
зауэ	battle
псы дэлъэда	bay
щыӀэн	be
хуэсакъ	be careful
псы Ӏуфэ	beach
Бзий	beam
нур	beam
джэрш	beans
джэш	beans
къыщӀэхын	bear
мыщэ	bear
жьакӀэ	beard
подшиник	bearing
хьэкӀэкхъуэкӀэ	beast
еуэн	beat
укӀын	beat
дахэ	beautiful
дахагъэ	beauty
хъуащ	became
абы щхьэ	because
хъун	become
пӀэ	bed
лагъунэ	bedroom
бжьэ	bee
былымыл	beef
щыӀащ	been
пивэ	beer
япэ	before
щӀидзащ	began
щӀэдзэн	begin
щӀэдзапӀэ	beginning
зыщӀын	behave
щытыкӀэ	behavior
щытыкӀэ	behaviour
иужь	behind
псэущхьэ	being
фӀэщ хъуныгъэ	belief
фӀэщ щӀын	believe
ныбэ	belly
еин	belong
фӀыуэ ялъагъу	beloved
лъабжьэ	below
щӀагъ	below
бгырыпх	belt
лафкӀэ	bench
тетӀысхьэпӀэ	bench
къэгъэшын	bend
лъабжьэ	beneath
щӀагъ	beneath
фейдэ къыхэхын	benefit
ефӀэкӀыныгъэ	benefit
ефӀэкӀыныгъэхэр	benefits
гъусэу	beside
абы нэмыщӀ	besides
нэхъыфӀ	best
къыуигъэхъулӀэ	best of luck
пщӀэ хэлъу	best regards
нэхъыфӀ	better
я зэхуаку	between
зэфэ гуэр	beverage
химыубыдэу	beyond
Бхэджпурэ	Bhojpuri
хухэхауэ	bias
пцӀыуэ къыщӀэкӀа	biased
лъакъуэрыгъажэ	bicycle
заявкэ	bid
ин	big
лъакъуэрыгъажэ	bike
есэп	bill
зэпхын	bind
бзу	bird
къыщалъхуа махуэ	birthday
Ӏыхьэ цӀыкӀу	bit
дзэкъапӀэ	bite
едзэкъэн	bite
дыдж	bitter
фӀыцӀэ	black
дзэ	blade
гъэкъуэншэн	blame
къуаншагъэ	blame
нэщӀ	blank
тепхъуэ	blanket
зэхэкъутэныгъэ	blast
къэуэныгъэ	blast
хужь щӀын	bleach
зэхэгъэзэрыхьын	blend
зэхэкӀэн	blend
хуит щӀын	bless
хуэунэтӀын	bless
хуит щӀын	blessed
нэф	blind
тхъэгъуэ	bliss
гъэбыда	block
лъы	blood
гъэгъэн	bloom
удын	blow
щӀыху	blue
дзагуэ	blunt
доскэ	board
кхъуафэжьей	boat
пкъыгъуэ	body
Ӏэпкълъэпкъ	body
къэгъэкъуэлъэн	boil
Ӏэдэбыншэ	bold
зэпыщӀэныгъэ	bond
къупщхьэ	bone
зыгуэр хэхын	book
тхылъ	book
дэгъэкӀуэтеин	boost
хэгъэхъуэныгъэ	boost
гъэпсынщӀакӀуэ	booster
ботинкӀэ	boot
ботинкӀэ	boots
гъунапкъэ	border
угъуэнын	bore
зигу укъэкӀ	bored
узыгъэзэш	boring
къалъхуа	born
къыхэхын	borrow
унафэщӀ	boss
тӀури	both
гъэгузэвэн	bother
птулъкӀэ	bottle
щӀыгу	bottom
къищэхуащ	bought
дэлъеин	bounce
зэпха	bound
гъунапкъэ	boundaries
шабзэ	bow
фалъэ	bowl
шынакъ	bowl
коробкэ	box
щӀалэ цӀыкӀу	boy
щӀалэ	boyfriend
Ӏэпщэхъу	bracelet
щхьэкуцӀ	brain
къудамэ	branch
дамыгъэ тедзэн	brand
хахуэ	brave
пхыудын	breach
щӀакхъуэ	bread
зэпыгъэуныгъэ	break
къутэн	break
пщэдджьыжьышхэ	breakfast
бгъэ	breast
бауэкӀэ	breath
бэуэн	breathe
къэгъэпцӀэн	breed
зыблэгъэкӀын	breed
чырбыш	brick
нысэ	bride
лъэмыж	bridge
кӀэщӀ	brief
лыд	bright
цӀу	brilliant
къэхьын	bring
къуэш	bro
бгъуэ	broad
нэтын	broadcast
икъутащ	broke
къута	broken
жыхапхъэ	broom
дэлъху	brother
щыкъ щӀалэ	brother in law
къихьащ	brought
морэ	brown
щеткэ	brush
пэгун	bucket
ӀупэфӀэгъу	buddy
бюджет	budget
цӀыв	bug
щӀын	build
унэ	building
щӀа	built
я нэхъыбэр	bulk
гуу	bull
къаугъэшы	bully
жьэхэуэн	bump
ирихьэлӀэн	bump
Ӏууэн	bump
Ӏэтэ	bunch
зэпыщӀэныгъэ	bundle
зэпызыщӀэ	bundle
хьэлъэ	burden
тегъэхьэлъэн	burden
гъея	buried
исын	burn
къэуэн	burst
щӀэлъхьэн	bury
автобус	bus
гуэрэн	bush
чыцэ	bush
Ӏуэху	business
бюст	bust
зыхущӀэмыхьэ	busy
ауэ	but
дагъэ	butter
хьэндырабгъуэ	butterfly
щӀыӀузэтегъапкӀэ	button
кнопкэ	button
къэщэхун	buy
и гъунэгъуу	by
къезэгъыу	by the way
узыншэу	bye
апщӀэндэху	bye
къэбыстэ	cabbage
шкӀаф цӀыкӀу	cabinet
лъэ	cage
торт	cake
шкӀэ	calf
къыхуеджэн	call
маржэ	call
къысхуэщӀ	call me
укъызэджа	called
сабыр	calm
къэкӀуащ	came
кампание	campaign
банкӀ	can
щӀэн	can
пщӀэну щыткъым	can't
хуэщӀэнукъым	can't
Ӏухыжыныгъэ	Cancel
лышх	cancer
елыркъэш	cancer
гурыхуэ	capable
ихуэныгъэ	capacity
ахъшэ	capital
мылъку	capital
тет тхыгъэ	caption
зэщӀэубыдэн	capture
машинэ	car
цӀыхур зыпэрыт ӀэнатӀэ	career
зыхуэсакъыж	careful
хуэсакъыу	carefully
къызыфӀэмыӀуэху	careless
гулъытэ зиӀэ	caring
пхъащӀэ	carpenter
алэрыбгъу	carpet
пхъы	carrot
хьын	carry
пыщэн	carry on
гъэзэщӀэн	carry out
Ӏуэху	case
Ӏэрылъхьэ	cash
хыфӀэдзэн	cast
быдапӀэ	castle
ӀункӀыбзэ	castle
къызэрыгуэкӀ	casual
джэду	cat
къэубыдын	catch
категорие	category
былым	cattle
Ӏэщ	cattle
хьеуан	cattle
къэзубыдащ	caught
щхьэусыгъуэ щӀын	cause
щхьэусыгъуэ	cause
сакъыныгъэ	caution
зыхуэсакъыж	cautious
бгъуэнщӀагъ	cave
щыгъэтын	cease
унащхьэ щӀэӀулӀа	ceiling
къигъыхьэн	celebrate
лъэ	cell
ку	center
лӀэужь	century
ӀэшкӀэ	cereal
хабзэ хэхам тет гуфӀэгъуэ пшыхь	ceremony
гушхуа	certain
зэрынаӀуэщи	certainly
сертификат	certificate
гухэлъ	chain
джабэ сатыр	chain
мурад	chain
шэнт	chair
къеджэныгъэ	challenge
зэхуэгъэзэн	challenge
Ӏэмал	chance
епцӀыжын	change
зэхэзэрыхьыныгъэ	chaos
нэрыбгэ	character
характеристикэхэр	characteristics
Ӏэщэм шэ илъхьэн	charge
псапэ	charity
дэзыхьэх	charming
диаграммэ	chart
ехужьэн	chase
уэршэрын	chat
уэршэр	chat
пуд	cheap
бзаджагъэ зехьэн	cheat
гъэпцӀагъэ	cheating
къэпщыныгъэ	check
къэпщытэн	check
нэӀу	cheek
гъэнэжэгужэн	cheer
нэщхъыфӀэ	cheerful
фӀэхъус сэлам	cheers
кхъуей	cheese
химия	chemistry
гъэлъэпӀэн	cherish
шахмат	chess
бгъэ	chest
гъэныщкӀун	chew
джэд	chicken
нэхъыщхьэ	chief
пашэ	chief
сабий	child
сабиигъуэ	childhood
сабийхэр	children
гъэщӀыӀэн	chill
щӏыӏэ	chill
уэнжакъхэр	chimneys
жьэпкъ	chin
шоколад	chocolate
къыхэхыныгъэ	choice
къыхэхын	choose
къутэн	chop
унагъуэ Ӏуэху	chores
пӀырыпӀ	chubby
Ӏув	chubby
пшэр	chubby
чылисэ	church
корицэ	cinnamon
хъурей	circle
Ӏуэхугъуэ	circumstances
гражданин	citizen
цӀыху	citizen
къалэ	city
лъэӀу тхылъ тхын	claim
лъэӀу тхылъ	claim
къыгурыгъэӀуэн	clarify
класс	class
ятӀагъуэ	clay
къабзэ	clean
нэху	clear
гъэкъэбзэн	clear
къулыкъу зыщӀ	clerk
губзыгъэ	clever
клиент	client
зи Ӏуэху зырахьэ	client
къыр	cliff
дуней щытыкӀэ	climate
дэкӀын	climb
дэкӀуеин	climb
кӀэрыхъыжьэрей	clingy
сыхьэт	clock
зэхуэщӀын	close
шкӀаф	closet
щэкӀ	cloth
щыгъын	clothes
пшэ	cloud
уфа	cloudy
пшэ зытелъ	cloudy
ажэгъафэ	clown
клоун	clown
фӀэгъэнапӀэ	clue
мыкӀуэмытэ	clumsy
зэхуэсынынгъэ	cluster
гъэсэн	coach
гъэсакӀуэ	coach
фӀамыщӀ	coal
Ӏуфэ	coast
пальто	coat
кофэ	coffee
къэхьэуа	coffee
когнитивнэ	cognitive
зэтехуэныгъэ	coincidence
щӀыӀэ	cold
кӀуэдыжыныгъэ	collapse
пщэхъу	collar
лэжьэгъу	colleague
лэжьэгъу	colleagues
зэхуэхьэсын	collect
зэхуэс	collection
хасэ	collection
еджапӀэ	college
плъыфэ	color
фэншэ удзыфэ идеяхэр губжьауэ жеящ	colorless green ideas slept furiously
плъыфэ	colour
колонкэ	column
жьын	comb
зыкъому зэхэлъ	combination
зэхэлъхьэн	combine
къэкӀуэн	come
къакӀуэ мыдэ	come here
еуэ	come on
тыншыгъуэ	comfort
тынш	comfortable
къыпэщылъ	coming
куэд мыщӀэу къэхутэнущ	coming soon
унафэ щӀын	command
тепсэлъыхьыныгъэ	comment
щэн-къэщэхун Ӏуэху	commercial
заказ	commission
щӀэн	commit
телъхьэгъу хъун	commitment
ищӀащ	committed
хьэпшып	commodity
къызэрыгуэкӀ	common
зэрыщӀэн	communicate
зэрыщӀэныгъэ	communication
зэкъуэтыныгъэ	community
нэсын	commute
зэгъусэу лажьэхэр	companion
компание	company
гуп	company
зэхуэгъэдэн	compare
зэгъэпщэн	compare
зэгъэпщэныгъэ	comparison
гущӀэгъу	compassion
гулъытэ зиӀэ	compassionate
гъусэ хуэхъу	compatible
зэпеуэн	compete
фӀыуэ щыгъуазэ	competent
зэпеуэ	competition
зыпеуэ	competitive
тхьэусыхэн	complain
тхьэусыхэныгъэ	complaint
дыщӀыгъуныгъэ	complement
дыщӀыгъун	complement
ухын	complete
зэрыщыту	completely
гугъу	complex
хуэдэныгъэ	compliance
гугъу	complicated
дыщӀыгъун	compliment
хуэпщылӀын	comply
зэхэт	composition
зэпыщӀэныгъэ	compound
гурыӀуэныгъэ	comprehension
нэгъэса	comprehensive
зыхудэчыныгъэ	compromise
зэхудэчыныгъэм тету зэгуурыӀуэныгъэ	compromise
фӀэкӀыпӀэ зимыӀэ	compulsory
компьютер	computer
зэхуэхьэсын	concentrate
гулъытэ зыгуэрым теубыдэн	concentrate
гурыӀуэныгъэ	concept
хуэсакъыныгьэ	concern
гулъытэ хуэщӀыныгъэ	concern
гузэвэн	concern
пӀейтея	concerned
концерт	concert
кӀэух псалъэ	conclusion
бетон гъэжын	concrete
бетоным къыхэщӀыкӀа	concrete
бетон	concrete
хэкӀыпӀэ	condition
щытыкӀэ	conditions
хэкӀыпӀэ	conditions
егъэкӀуэкӀын	conduct
дэкӀуэтэн	conduct
конференц	conference
зыкъэумысыжын	confess
тегушхуэныгъэ	confidence
гушхуа	confident
щыхьэт техъуэн	confirm
зэпэщӀэуэныгъэ	conflict
хэгупсысыхь	confused
Ӏэнкуныгъэ	confusion
хъуэхъухэр	congrats
хъуэхъу	congratulation
хъуэхъухэр	congratulations
зэпыщӀэныгъэ	conjunction
зэпыщӀэн	connect
къэхьэхун	conquer
зэхэзыщӀыкӀ	conscious
зэхэщӀыкӀ	consciousness
арэзы хъун	consent
арэзы хъуныгъэ	consent
кърикӀуэнур	consequences
хъумэныгъэ	conservation
зымыхъуэжыныгъэм и телъхьэ	conservative
егупсысын	consider
добж	considered
хэтын	consist
зэкӀэлъыкӀуэныгъэ	consistency
зэкӀэлъыкӀуэу	consistent
сыт щыгъуи къэхъу	constant
зэпымыууэ	constantly
бжэӀулъэ	constipation
щӀыб имыкӀыфыныгъэ	constipation
ухуэныгъэ	construction
къэгъэсэбэпын	consume
зэхьэлӀэн	consumption
зэпыщӀэн	contact
зэнэс	contact
зэрыцӀалэ	contagious
хэтын	contain
пӀын	contain
хэтщ	contains
иджырей	contemporary
нэмыплъ	contempt
псалъащхьэ	content
пӀыныгьэ	content
зэпеуэ	contest
мыхьэнэ уха къызэрыкӀ псалъэ гуп	context
тенджызхэм къаухъуреихь щӀыналъэ ин	continent
пыщэн	continue
зэгурыӀуэныъэ	contract
зыкъузын	contract
зэхуэмыкӀуэныгъэ къэгъэлъэгъуэн	contrast
емыщхьыныгъэ	contrast
хэлъхьэныгъэ щӀын	contribute
хэлъхьэныгъэ	contribution
зехьэныгъэ	control
зегъэкӀуэныгъэ	control
шэч зыхэлъ	controversial
зэдауэ къэзышэ	controversial
тынш	convenience
фагъ иӀэныгъэ	convenience
тынш	convenient
зэпсэлъэн	conversation
зэхъуэкӀын	convert
зи дин зыхъуэжа	convert
нэгъуэщӀым етын	convey
и фӀэщ щӀын	convince
зи фӀэщ хъуа	convinced
пщэфӀэн	cook
пщафӀэ	cook
гъэхьэзырыныгъэ	cooking
лъэщ	cool
щӀыӀэтыӀэ	cool
зэдэлэжьэныгъэ	cooperation
пэлъэщын	cope
гъуаплъэ	copper
купщӀэ	core
нартыху	corn
къуапэ	corner
пэж	correct
уасэ	cost
иуэсэн	cost
фащэ	costume
коттедж	cottage
бжьэхуц	cotton
тахътэ	couch
псчэн	cough
хузэфӀэкӀынут	could
чэнджэщ	council
бжэн	count
увыкӀэ	counter
къэрал	country
къуажэ	countryside
зэгъусэ	couple
тӀу	couple
лӀыгъэ	courage
гъэзыпӀэ	course
хей	court
щэныфӀагъ	courtesy
зэшхэм я къуэ	cousin
къытегъэувэн	cover
жэм	cow
шынэкъэрабгъэ	coward
гуӀэтыпӀэ	cozy
хы елыркъэш	crab
къэгъэчэн	crack
къэча	crack
ӀэкӀэ щӀа	craft
фӀеягъэ	crap
зыгуэр къутэн	crash
зэтекъутэныгъэ	crash
гукъыдэж	craving
пщын	crawl
делэ хъуа	crazy
къэгъэщӀын	create
щӀын	create
культурэм хэлэжьыхь цӀыху	creative
щӀыхуэ	credit
пщын	creep
узыгъэшынэ	creepy
гуп зэкъуэт	crew
командэ	crew
щӀэпхъаджагъэ	crime
емыкӀу	cringe
гугъугъуэ	crisis
пщалъэ	criteria
егъэлея	critical
критикэ	criticism
нэкъусэныгъэхэм тепсэлъыхьыныгъэ	criticism
гъавэ	crop
жлэхэр	crops
зэпыупщӀын	cross
жор	cross
вынд	crow
къуалэжь	crow
гуп	crowd
цӀыху куэд	crowded
таж	crown
мыхьэнэшхуэ зиӀэ	crucial
еру	cruel
залым	cruel
псым тету нэгу зегъэужьыныгъэ	cruise
лъагъуныгъэ	crush
пӀытӀын	crush
гъын	cry
нащэ	cucumber
ӀэплӀэ зэхуэщӀын	cuddle
щэнхабзэ	culture
бзаджэ	cunning
шеибжьэ	cup
шынакъ	cup
пщэфӀапӀэ шкӀаф	cupboard
гъуэгубгъу мывэ	curb
гъэхъужын	cure
хущхъуэ	cure
комендантскэ сыхьэт	curfew
псори къищӀэну щӀэкъуныгъэ	curiosity
упщӀэрей	curious
дэжей	curly
тӀэрэз	curly
валютэ	currency
екӀуэкӀыр	current
ит зэманым къриубыдэу	currently
гыбзэ	curse
Ӏупзъуэ	curtain
щхьэнтэ	cushion
хабзэ	custom
клиент	customer
зи Ӏуэху зрахьэ	customer
таможнэ	customs
уӀэгъэ	cut
пыупщӀын	cut
лъагъугъуафӀэ	cute
зэрызэхэт Ӏыхьэ	cycle
пӀалъэ	cycle
лъакъуэрыгъажэкӀэ къэжыхьыныгъэ	cycling
адэ	dad
папэ цӀыкӀу	daddy
адэ	daddy
махуэ къэс	daily
гъэш	dairy
псыӀущӀэ	dam
зэран хъуа	damage
зэран хуэхъун	damage
ямылъагъужын	damn
цӀынэ	damp
къэфэн	dance
шынагъуэ	danger
шынагъуэ	dangerous
кӀыфӀ	dark
фӀынкӀ	dark
лъапӀэ	darling
зичыныгъэ	dash
зыгуэрым теухуа къэгъэлъэгъуэныгъэ	data
махуэ хэха	date
зэхуэзэныгъэ	date
пхъу	daughter
махуэ	day
лӀа	dead
пӀалъэр щиух	deadline
дэгу	deaf
пэжыпӀэр къэщӀэн	deal
зэгурыӀуэныгъэ	deal
лъапӀэ	dear
Ныбжьэгъу лъапӀэхэ	Dear All
ПщӀэ зыхуэтщӀ клиент	Dear Customer
Адэ-анэ лъапӀэхэ	Dear Parents
ЩӀыху зыхуэтщӀ зиусхьэн	Dear Sir
ЩӀыху зыхуэтщӀ студентхэ	Dear students
щӀыху зыхуэтщӀ гуп	Dear Team
лӀэныгъэ	death
зэдэуэныгъэ	debate
дебет	debit
къутахуэ	debris
щӀыхуэ	debt
илъэсипщӀ щрикъу пӀалъэ	decade
зэхэкӀыныгъэ	decay
лӀа	deceased
къжгъэпцӀэн	deceive
дыгъэгъазэ	december
зыхуэфащэ	decent
зэхэгъэкӀын	decide
тезухуащ	decided
хэкӀыпӀэ унафэ	decision
кхъухьым хэт щӀыпӀэ	deck
мыдэн	decline
гъэмэщӀэн	decrease
ета	dedicated
хуэгъэфэщэныгъэ	dedication
ӀуэхущӀафэ	deed
куу	deep
щыхь	deer
щэхукӀэ	default
темыкӀуэныгъэ	defeat
текӀуэн	defeat
хъумэн	defend
къыхэгъэкӀын	define
зэрынаӀуэщи	definitely
гъэбелджылыныгъэ	definition
зэрыхъур	degree
здынэсыр	degree
зыӀэжьэныгъэ	delay
Ӏэжьэн	delay
убыда	delayed
игъэкӀыжын	delete
хищӀыкӀыу ищӀэ	deliberate
мурад щӀа зиӀэ	deliberate
гуакӀуэ	delicate
ӀэфӀ	delicious
гухэхъуэ	delight
хуабжьу гуфӀа	delighted
Ӏэрыгъыхьэн	deliver
нэшэса	delivered
хьыныгъэ	delivery
къигъэувыр	demand
зыхуейр	demand
зыхущӀэкъу	demand
ткӀий	demanding
демократие	democracy
жин фӀыцӀэ	demon
гъэлъэгъун	demonstrate
идакъым	denied
куэдагъ	density
Ӏувагъ	density
дзэм елэжь дохутыр	dentist
мыдэн	deny
отдел	department
ежьэжыныгъэ	departure
елъытауэ щытын	depend
епхауэ щытын	depend
зэкӀуэцӀыхын	deploy
хэлъхьа	deposit
хэлъхьэныгъэ	deposit
нэщхъей	depressed
ехуэхыныгъэ	depression
куууагъ	depth
тетхыхьын	describe
къэтхъыхьын	description
къум	desert
къэлэжьын	deserve
дизайн	design
проектировэннэ	design
дамыгъэ тещӀэныгъэ	designation
