un	a
piel	arrow
kuns	art
artiekel	article
kunsmaatig	artificial
arties	artist
wie	as
zwalang	as long as
auch	as well
en auch	as well as
esh	ash
besjaamp	ashamed
vroage	ask
gevroag	asked
sjloape	asleep
aspèk	aspect
Àssaméés	Assamese
áánvàl	assault
montaasj	assembly
assertief	assertive
beoordeile	assess
beoordeile	assessment
troef	asset
vermooge	assets
verzittinge	assets
toekinne	assign
opdrach	assignment
ondersjteune	assist
assistent	assistant
aangesjlote	associate
betrokke	associated
vereiniging	association
aannumme	assume
aanneumming	assumption
in	at
op	at
ten minste	at least
oat	ate
atleet	athlete
bievooge	attach
biegesjlote	attached
bielaag	attachment
aanvalle	attack
poging	attempt
biewone	attend
aanwezigheid	attendance
aandach	attention
opgelit	attention
hauwding	attitude
aantrikke	attract
attraksie	attraction
aantrikkelik	attractive
toebedeile	attribute
pebliek	audience
augustus	august
tant	aunt
tant	aunty
ootentiek	authentic
sjriever	author
autorieteite	authority
herfs	autumn
beshikbaar	available
gemiddeld	average
vermeide	avoid
wakker	awake
pries	award
bewus	aware
bewuszin	awareness
wèg	away
gewèldig	awesome
versjrikkelijk	awful
vrèm	awkward
Aimárá	Aymara
baby	baby
vriegezèl	bachelor
teruuk	back
achtergrond	background
shlèch	bad
tesj	bag
oas	bait
bàkke	bake
bekker	bakery
bàksodá	baking soda
balans	balance
bàl	ball
Bàmbárá	Bambara
bànáán	banana
bent	band
knàl	bang
bank	bank
bàr	bar
bienoa neet	barely
onderhandele	bargain
blàf	bark
blàffe	bark
gèrs	barley
barriejêre	barrier
basis	base
gebaseerd	based
kelder	basement
basis	basic
hoofzakelik	basically
básieliekum	basil
rotzak	bastard
serie	batch
bad	bath
badkamer	bathroom
batterie	battery
sjlaag	battle
sjtried	battle
baai	bay
zin	be
bis veurzichtig	be careful
sjtrand	beach
sjtroal	beam
boeëne	beans
bêr	bear
baard	beard
lager	bearing
invlood	bearing
bieës	beast
versjloon	beat
sjloon	beat
sjoeën	beautiful
sjwanheid	beauty
woort	became
omdat	because
were	become
bid	bed
sjloapkamer	bedroom
bie	bee
rundvleisj	beef
gewès	been
béér	beer
veur	before
begonne	began
beginne	begin
begin	begin
begin	beginning
ten bate van	behalf
gedraage	behave
gedrag	behavior
gedrag	behaviour
achter	behind
zin	being
geluif	belief
geluive	believe
boek	belly
thoeshuure	belong
geleefde	beloved
onder	below
reem	belt
bank	bench
buige	bend
onger	beneath
beveurdeile	benefit
veurdeil	benefit
veurdeile	benefits
doaneeve	beside
trouwes	besides
biste	best
veul suksès	best of luck
biste wunshe	best regards
beeter	better
tusje	between
drank	beverage
veurbie	beyond
Bójpoerie	Bhojpuri
sjtandpunt	bias
oardeil	bias
veurkeur	bias
veuringenome	biased
fietse	bicycle
fiets	bicycle
bod	bid
groewet	big
fiets	bike
rêkening	bill
in rêkening bringe	bill
binge	bind
voogel	bird
verjoardaag	birthday
bitje	bit
biete	bite
bitter	bitter
zsjwart	black
mes	blade
blaad	blade
besjuldige	blame
blanco	blank
deeke	blanket
knàlle	blast
knàl	blast
bleik	bleach
menge	blend
zegening	bless
gezegend	blessed
blind	blind
geluk	bliss
zalig	bliss
blok	block
blokkere	block
blood	blood
bleui	bloom
blooze	blow
blauw	blue
plàt	blunt
groof	blunt
raod	board
boot	boat
lief	body
koke	boil
vit	bold
band	bond
verbondj	bond
knook	bone
book	book
sjtimulans	boost
sjtimulans	booster
opsjtarte	boot
laarze	boots
grens	border
boorgaat	bore
vervele	bore
vervêld	bored
saai	boring
geboore	born
liejene	borrow
sjèf	boss
allebei	both
lestigvalle	bother
flèsj	bottle
onderkant	bottom
gekoch	bought
sjpringe	bounce
binge	bound
grenze	boundaries
buige	bow
komp	bowl
dwas	box
jong	boy
vrund	boyfriend
ermband	bracelet
hershenne	brain
tak	branch
aafdeiling	branch
merrik	brand
dapper	brave
dóórbraak	breach
broewed	bread
pauze	break
breke	break
doorbreke	break
oontbijt	breakfast
boorsj	breast
oaseme	breath
oaseme	breathe
ràs	breed
brik	brick
broed	bride
bruk	bridge
kort	brief
helder	bright
briljant	brilliant
mitnumme	bring
jong	bro
breit	broad
oetzinde	broadcast
platzak	broke
gebroke	broken
bezem	broom
broor	brother
sjzwoager	brother in law
gebrach	brought
broen	brown
kwàs	brush
ummer	bucket
vrund	buddy
budsjit	budget
insék	bug
boewe	build
boewe	building
geboew	building
geboet	built
bullik	bulk
sjtier	bull
pèskop	bully
bobbel	bump
houp	bunch
bundel	bundle
las	burden
begrave	buried
brenne	burn
bàrsjte	burst
knàl	burst
begrave	bury
bus	bus
sjtroek	bush
zaak	business
buuste	bust
druk	busy
mèr	but
boter	butter
vlinder	butterfly
knop	button
koupe	buy
bie	by
trouwens	by the way
daag	bye
koeël	cabbage
kabbinit	cabinet
keske	cabinet
kwai	cage
keek	cake
kauf	calf
belle	call
bel mich	call me
gebeld	called
benump	called
kalm	calm
gekomme	came
kampanje	campaign
kin	can
kin neet	can't
Annulere	Cancel
kanker	cancer
kapaabel	capable
vermooge	capacity
kapitaal	capital
hoofsjtad	capital
tietel	caption
gevànge	capture
vàsgelàg	capture
auto	car
karriêre	career
veurzichtig	careful
veurzichtig	carefully
achteloos	careless
zurgeloos	careless
verzurgend	caring
tummerman	carpenter
kerpit	carpet
wortel	carrot
draage	carry
doorgoon	carry on
oetveure	carry out
koffer	case
zaak	case
kontante	cash
werrepe	cast
veursjpelle	cast
kesjtieël	castle
gewoon	casual
kat	cat
vange	catch
kàttegorie	category
vieë	cattle
gevange	caught
veroorzaake	cause
reije	cause
veurzichtig	caution
waarsjuwing	caution
bedachzaam	cautious
grot	cave
ophoute	cease
plafon	ceiling
viere	celebrate
sèl	cell
sentrum	center
midden	center
eeuw	century
ontbijtgrane	cereal
seremonie	ceremony
zeekere	certain
zeker	certainly
sertifiekaat	certificate
kitting	chain
sjtool	chair
oetdaaging	challenge
prebleem	challenge
kans	chance
veràngere	change
cháòs	chaos
karakter	character
kenmirreke	characteristics
in rekening bringe	charge
leefdaadigheid	charity
leeflik	charming
grafiek	chart
jage	chase
achtervollige	chase
chèt	chat
goodkoup	cheap
valssjpele	cheat
valsj sjpele	cheating
vrêmgoon	cheating
kontroleer	check
wang	cheek
juiche	cheer
sjpas	cheerful
gezondheid	cheers
kieës	cheese
sjeikunde	chemistry
géémie	chemistry
koestere	cherish
sjake	chess
boorsjkas	chest
kauwe	chew
kip	chicken
sjèf	chief
kind	child
jeug	childhood
kinger	children
rilling	chill
sjoorsjtein	chimneys
kin	chin
sjokoláát	chocolate
keus	choice
keeze	choose
kappe	chop
taake	chores
dik	chubby
kirk	church
kannieël	cinnamon
sirkel	circle
omsirkele	circle
omsjandighede	circumstances
burger	citizen
sjtad	city
aansproak	claim
opheldere	clarify
verduudelijke	clarify
klas	class
klei	clay
zuuver	clean
helder	clear
lêgmaake	clear
bedeende	clerk
sjlum	clever
klant	client
klif	cliff
klimaat	climate
klum	climb
klumme	climb
plekkerig	clingy
klòk	clock
sjleete	close
kàs	closet
kleijding	cloth
kleijer	clothes
wollik	cloud
bewolk	cloudy
klauwn	clown
hint	clue
idee	clue
onhandig	clumsy
kluster	cluster
kootsj	coach
koeël	coal
kus	coast
jas	coat
kòffie	coffee
kognitief	cognitive
toevàl	coincidence
koud	cold
ineinsjtorte	collapse
kraag	collar
kòlleega	colleague
kòlléégaas	colleagues
kollèkteere	collect
verzaameling	collection
kolleesj	college
kleur	color
Kleurloze greun ideeje sjloape woedend	colorless green ideas slept furiously
kleur	colour
kolom	column
kamp	comb
kombienaasie	combination
combinere	combine
kom	come
kom hie	come here
kòm òp	come on
komfôr	comfort
comfortabel	comfortable
kome	coming
kump binnekort	coming soon
beveel	command
kommentaar	comment
kommersjeel	commercial
kommissie	commission
toeweije	commit
toewieding	commitment
toegewijd	committed
artiekel	commodity
normaal	common
kommuuniesere	communicate
kommuniekasie	communication
gemeinsjap	community
forense	commute
kompanjon	companion
mitgezel	companion
bedrief	company
vergelieke	compare
vergeliek	comparison
kompassie	compassion
mededogend	compassionate
gesjik	compatible
konkurrere	compete
kompetent	competent
kompetitie	competition
kompétitief	competitive
beklage	complain
klàg	complaint
aanvulling	complement
kompleet	complete
aafmake	complete
gans	completely
komplèks	complex
mitwirking	compliance
gehuurzame	compliance
noakomme	compliance
gecomplieseerd	complicated
komplieminteere	compliment
kompliemint	compliment
toesjtumme	comply
komposietie	composition
samesjtilling	composition
samestèlling	compound
begrip	comprehension
omvangriek	comprehensive
volledig	comprehensive
komproomie	compromise
verplich	compulsory
kompjoeter	computer
konsentraat	concentrate
konsep	concept
zurrig	concern
bezörg	concerned
konsèrt	concert
konkluusie	conclusion
konkreet	concrete
veurwaarde	condition
veurwaarde	conditions
gedrag	conduct
konferensie	conference
bekinne	confess
vertroewe	confidence
zeker	confident
bevestige	confirm
konflik	conflict
verward	confused
verwarring	confusion
profiesiejat	congrats
feliesietasie	congratulation
profisiat	congratulations
samevoogsel	conjunction
verbinge	connect
verovere	conquer
bewus	conscious
bewustzin	consciousness
toesjtumming	consent
gevollige	consequences
conversasie	conservation
konservatief	conservative
in ach numme	consider
euverwooge	considered
besjtoon	consist
konsiestensie	consistency
konsiestent	consistent
konsjtant	constant
konstant	constantly
konstiepasie	constipation
konsjtruksie	construction
konsumeere	consume
konsumptie	consumption
kontak	contact
besjmittelik	contagious
bevatte	contain
bevàt	contains
hededaags	contemporary
verachting	contempt
inhawd	content
wedsjtrijd	contest
konteks	context
kontinent	continent
doorgoon	continue
kontrak	contract
kontràs	contrast
biedrage	contribute
kontribuutie	contribution
besjture	control
behere	control
kontroversjeel	controversial
gemaak	convenience
handig	convenient
gesjprek	conversation
omzitte	convert
konvertere	convert
euverbringe	convey
euvertuuge	convince
euvertuug	convinced
kok	cook
koke	cook
koke	cooking
ruig	cool
samewirking	cooperation
omgoon	cope
verdrage	cope
kooper	copper
kern	core
maïs	corn
hook	corner
korrek	correct
koste	cost
kostuum	costume
huuske	cottage
hut	cottage
katoen	cotton
bank	couch
hoos	cough
kinne	could
road	council
tille	count
baalie	counter
tegesjtand	counter
land	country
platteland	countryside
koppel	couple
koeraasj	courage
baan	course
kursus	course
baan	court
gerech	court
belêfheid	courtesy
nêf	cousin
besjloon	cover
omsjlaag	cover
koow	cow
sjwaakeling	coward
gezellig	cozy
kràp	crab
bàrsj	crack
bàrsjte	crack
vaardigheid	craft
vàk	craft
rotzooi	crap
sjtront	crap
kreshe	crash
kresh	crash
zuch	craving
kroepe	crawl
gek	crazy
creëre	create
kreatief	creative
kredeet	credit
ingerd	creep
aakelig	creepy
sjtaf	crew
misdrief	crime
beshaamp	cringe
kriesis	crisis
krieteeria	criteria
krities	critical
gewichtig	critical
kritiek	criticism
gewàs	crop
gewasse	crops
kruus	cross
kruuze	cross
kreij	crow
meinigte	crowd
meinigte	crowded
kroeën	crown
kruusjaal	crucial
vreed	cruel
onmiensjelik	cruel
kroes	cruise
verbrijzele	crush
verleef	crush
huule	cry
sjrieëve	cry
komkommer	cucumber
knoevele	cuddle
kultuur	culture
sjluuw	cunning
tàs	cup
kas	cupboard
trottwaar	curb
genezing	cure
oavendklok	curfew
nuujsjierigheid	curiosity
benuujd	curious
gekrold	curly
valuuta	currency
huidige	current
op dit momènt	currently
vlook	curse
gerdien	curtain
kusse	cushion
op moat	custom
klant	customer
doewaan	customs
sjnieje	cut
knap	cute
sieklus	cycle
fietse	cycle
fiets	cycle
fietse	cycling
pap	dad
pap	daddy
daagelijks	daily
zuuvel	dairy
dam	dam
sjaa	damage
verdomd	damn
vochtig	damp
dans	dance
danse	dance
gevoar	danger
gevoarlik	dangerous
donker	dark
sjat	darling
besjprinkele	dash
sjpooje	dash
gegeves	data
aafsproak	date
datum	date
dochter	daughter
daag	day
dwad	dead
termien	deadline
dauf	deaf
omgoon	deal
deal	deal
biste	dear
Biste Allemoal	Dear All
Biste Klant	Dear Customer
Biste Ouwersj	Dear Parents
Biste Menieër	Dear Sir
Biste sjtudente	Dear students
Biste Tiem	Dear Team
dwad	death
deebàteere	debate
debet	debit
aafval	debris
sjuld	debt
désènium	decade
rotte	decay
euverleeje	deceased
misleide	deceive
bedreege	deceive
desember	december
gedege	decent
besjlisse	decide
besjlote	decided
besjlissing	decision
dik	deck
aafsjloon	decline
vermindere	decrease
toegewijd	dedicated
toewijding	dedication
akte	deed
doad	deed
deep	deep
hert	deer
sjtandaard	default
versjloon	defeat
verdedige	defend
vassjtille	define
àbsoluut	definitely
definiesie	definition
groad	degree
siefer	degree
vertroaging	delay
vertroag	delayed
verwijdere	delete
wisse	delete
bewus	deliberate
delikaat	delicate
overheerlijk	delicious
vreugd	delight
verheug	delighted
leevere	deliver
geleverd	delivered
levering	delivery
vroag	demand
gevroag	demanding
demokrasie	democracy
duuvel	demon
demonstrere	demonstrate
loate zeen	demonstrate
aafgesjlage	denied
dichtheid	density
tandarts	dentist
aafwieze	deny
aafdeiling	department
vertrik	departure
aafhange	depend
neerzitte	deploy
ontplooie	deploy
sjtorting	deposit
aanbetaling	deposit
déprèssief	depressed
depressie	depression
deepte	depth
omsjrieve	describe
besjrieving	description
woestijn	desert
verdeene	deserve
ontwerp	design
toekinning	designation
verlange	desire
buuro	desk
hopeloos	despair
wanhoopig	desperate
ondanks	despite
toetje	dessert
besjtumming	destination
loot	destiny
vernietige	destroy
vernieling	destruction
detai	detail
detaïs	details
detèktere	detect
vàsberoajeheid	determination
vas sjtille	determine
vasbesjlote	determined
der kapot van zeen	devastated
ontwikkele	develop
ontwikkeld	developed
ontwikkeling	development
apparaat	device
duuvel	devil
toegewijd	devoted
Dievéhie	Dhivehi
diabeetes	diabetes
diarréé	diarrhea
dàgbook	diary
woordebook	dictionary
deeg	did
sjterve	die
gesjtorve	died
diejeet	diet
versjil	difference
angesj	different
meuilijk	difficult
grave	dig
wêrdigheid	dignity
ieverig	diligent
oavendete	dinner
oetholling	dip
dip	dip
dirèk	direct
direksie	direction
dierekteur	director
drek	dirt
vies	dirty
oetsjakele	disable
oetgesjakeld	disabled
invalied	disabled
verdwiene	disappear
teleurgesjtild	disappointed
ramp	disaster
wegsjmiete	discard
aafgeve	discharge
vrieloate	discharge
dissiepliene	discipline
korting	discount
ontdikke	discover
diskriemienasie	discrimination
besjpreke	discuss
diskusjere	discuss
diskusjeere	discussion
krankheid	disease
ziektes	diseases
vermomme	disguise
afsjuuwelik	disgusting
sjootel	dish
bord	dish
gerechte	dishes
borde	dishes
aafwieze	dismiss
wegsjture	dispatch
sjerm	display
tentoewensjtille	display
weggwaje	disposal
oneinigheid	dispute
aafsjtand	distance
bepaald	distinct
ondersjieje	distinguish
noeëd	distress
verdeile	distribution
gebeed	district
sjtuure	disturb
sjloot	ditch
duuke	dive
divèrs	diverse
dieversieteit	diversity
verdeile	divide
goddelik	divine
sjeijing	divorce
duuzelig	dizzy
dooch	do
deis dich	do you
hil se van mich	do you love me
dokter	doctor
dokumint	document
deit	does
deit neet	doesn't
hond	dog
Doogrie	Dogri
doon	doing
pop	doll
domein	domain
hoeshouwelik	domestic
dominant	dominant
neet	don't
Maak dich neet druk	Don't worry
donere	donate
gedoan	done
ezel	donkey
vit	dope
dubbel	double
twiefel	doubt
deig	dough
onder	down
douwnlood	download
konsep	draft
sjleipe	drag
lêgloate	drain
dramaa	drama
trik	draw
láá	drawer
teikening	drawing
sjrik	dread
druime	dream
druim	dream
jurk	dress
aandoon	dress
boor	drill
bore	drill
drinke	drink
drank	drink
rieje	drive
vàl	drop
loate valle	dropped
druuwegte	drought
zaat	drunk
druuwig	dry
bukke	duck
eend	duck
gas	dude
tegood	due
door	due
door toedoon van	due to
bot	dull
dom	dumb
dumpe	dump
doer	duration
onderwieles	during
sjtof	dust
plich	duty
verblieve	dwell
dwad goon	dying
ellike	each
ein	each other
gretig	eager
adelêr	eagle
oeër	ear
ierder	earlier
vreug	early
verdeene	earn
oeëre	ears
êrd	earth
aardbeving	earthquake
gemaak	ease
gemekkelik	easily
oeëste	east
gemekkelik	easy
ete	eat
ete	eating
economies	economic
eekonomie	economy
rand	edge
bewirke	edit
onderwies	education
effek	effect
effektief	effective
effiesjensie	efficiency
effisjent	efficient
meuite	effort
ei	egg
obersjien	eggplant
éégo	ego
àch	eight
achttieën	eighteen
tachetig	eighty
of waal	either
oetwijde	elaborate
ellebwag	elbow
ouwer	elder
ouwere	elder
ouwer luuj	elderly
eelegant	elegant
elemint	element
olifant	elephant
ilf	eleven
in aanmerking komme	eligible
gesjik	eligible
eliminere	eliminate
andersj	else
beshaamp	embarrassed
besjamend	embarrassing
omsjloon	embrace
opkomme	emerge
sjpoodgeval	emergency
emosjoneel	emotional
empaatie	empathy
noadruk	emphasis
benoadrukke	emphasize
medewirker	employee
personeel	employees
werkgever	employer
werk	employment
lêg	empty
aktivere	enable
meugelijk make	enable
tegekomme	encounter
mood	encourage
eind	end
bedreigd	endangered
sjtreve	endeavor
insjpanning	endeavor
oethouwingsvermoge	endurance
verdoere	endure
vijand	enemy
éénerzjie	energy
in wirking sjtille	engage
betrokke	engaged
bezig	engaged
verloving	engagement
betrokkenheid	engagement
mooter	engine
inshenjeur	engineer
Ingelsj	English
vergroewete	enhance
geniete	enjoy
enorm	enormous
genog	enough
verzekere	ensure
bevestige	enter
toegank	enter
amuusemint	entertainment
enthoesjasme	enthusiasm
entoesjas	enthusiastic
ganz	entire
rech op	entitled
aansproak make op	entitled
entieteit	entity
ingank	entrance
ondernummer	entrepreneur
envellop	envelope
omgeeving	environment
sjaloezie	envy
épies	epic
epidemies	epidemic
geliek	equal
materiaal	equipment
rechvaardigheid	equity
gelieke	equivalent
gum	eraser
fout	error
ontsjnappe	escape
mit name	especially
proofsjtuk	essay
essensie	essence
veurnaamste	essential
vestige	establish
opgerich	established
veuraanstoande	established
landgood	estate
sjatting	estimate
insjatte	estimate
gesjat	estimated
en zoë wiejer	etc
ieëwig	eternal
etiek	ethics
beoërdeile	evaluate
evaluasie	evaluation
eve	even
geliek	even
hoewaal	even though
oavend	evening
evenemint	event
oeteindelik	eventually
ooit	ever
eedere	every
eederein	everybody
eederein	everyone
alles	everything
bewies	evidence
koad	evil
ontwikkeling	evolution
evoluutie	evolution
ontwikkele	evolve
Éwe	Ewe
ex	ex
presies	exact
presies	exactly
exame	exam
besjtudére	examine
veurbeeld	example
euvertreffe	exceed
oetsjtekend	excellent
behalleve	except
oetzondering	exception
teveul	excess
euvervlood	excess
errig veul	excessive
oetwisseling	exchange
oetwissele	exchange
gesjpanne	excited
sjpanning	excitement
sjpannend	exciting
allein	exclusive
ekslusief	exclusive
ekskuus	excuse
sorrie	excuse me
het sjpiet mich	excuse me
oetveure	execute
eksekuusie	execution
oetveure	execution
leidinggevende	executive
oefening	exercise
oetloat	exhaust
oetgeput	exhausted
vertoeëne	exhibit
tentoeënsjtille	exhibit
tentoeënsjtilling	exhibition
besjtoon	exist
besjtoon	existence
besjtoand	existing
oetgank	exit
oetbreije	expand
verwach	expect
verwach	expected
oetgaves	expenses
deur	expensive
ervaaring	experience
ekspérimint	experiment
ekspérimintere	experiment
ekspêr	expert
verloupe	expired
oetligge	explain
verkloaring	explanation
oetbuite	exploit
verkinne	explore
eksport	export
eksportere	export
blwatsjtille	expose
ontdik	exposed
blwatsjtilling	exposure
oetdrukke	express
oetdrukking	expression
oetdrukke	expression
verlenge	extend
oetbreije	extend
oetgebreid	extended
verlengd	extended
oetsjtil	extension
umvank	extent
van boetenaaf	external
oetgesjtorve	extinct
èxtraa	extra
aafleie	extract
oettriksel	extract
biezonder	extraordinary
ekstréém	extreme
hieël erg	extremely
ekstreem	extremely
aug	eye
auge	eyes
sjtof	fabric
fantasties	fabulous
gezich	face
tegemoet treije	face
fasielietere	facilitate
fasielieteite	facilities
insjtilling	facility
feit	fact
fàktor	factor
fabrik	factory
feite	facts
vervleege	fade
mislukking	fail
mislukke	fail
misluk	failed
mislukking	failure
sjwaak	faint
einigzins	faint
ierlijk	fair
joarmerret	fair
fêr	fairly
fee	fairy
geluif	faith
trouw	faithful
nep	fake
valle	fall
herfs	fall
vàlsj	FALSE
beroemdheid	fame
bekind	familiar
familie	family
hongersnwad	famine
bekind	famous
fèn	fan
sjiek	fancy
fantasties	fantastic
wied	far
daag	farewell
boerderie	farm
boer	farmer
fassienerend	fascinating
mode	fashion
sjnèl	fast
vit	fat
fàtáál	fatal
lot	fate
vader	father
pap	father
vermeuid	fatigue
sjuld	fault
favoriet	favorite
guns	favour
favooriet	favourite
angs	fear
viere	feast
vêr	feather
kinmerk	feature
kenmirreke	features
februaarie	february
meug zin	fed up
pries	fee
koste	fee
voor	feed
trökkoppeling	feedback
veul	feel
geveul	feeling
veut	feet
veele	fell
gevalle	fell
meede	fellow
voolt	felt
vrouwelik	female
hikwerk	fence
vruchbaar	fertile
festieval	festival
hoole	fetch
koorts	fever
wiejenig	few
paar	few
wiënigger	fewer
verlaufde	fiance
fiksie	fiction
vèld	field
fèl	fierce
vieftieën	fifteen
vieftig	fifty
vechte	fight
vèchte	fighting
getal	figure
figuur	figure
oetvogele	figure out
besjtand	file
aanmake	file
vulle	fill
invulle	fill
ingevuld	filled
fillem	film
vies	filthy
eindelik	finally
finansieën	finance
finansjeel	financial
vinge	find
oetvinge	find out
boete	fine
good	fine
vinger	finger
aafmake	finish
eindsjtreep	finish
geëindig	finished
aafgeloupe	finished
fik	fire
vuur	fire
vas	firm
ieërsjte	first
veurnaam	first name
vusj	fish
fit	fit
passe	fit
vief	five
make	fix
oplossing	fix
vàs	fixed
vlag	flag
flits	flash
vlak	flat
flèt	flat
fout	flaw
foutloos	flawless
vloo	flee
vleisj	flesh
vloog	flew
buige	flex
flexiebel	flexible
vlug	flight
omkjerre	flip
flirte	flirt
flirte	flirting
drieve	float
euversjtruiming	flood
vlood	flood
vloer	floor
verdeeping	floor
mêl	flour
vloei	flow
bloom	flower
bloeie	flower
griep	flu
vloeiend	fluent
vloeiend	fluently
pluuzig	fluffy
vloeibaar	fluid
vleege	fly
vleeg	fly
noadruk	focus
mis	fog
mistig	foggy
vouwe	fold
luuj	folks
vollige	follow
opvolge	follow up
vollige	following
ete	food
misleide	fool
flap	fool
sjtommigheid	foolish
voot	foot
voetbal	football
veur	for
Bieveurbeeld	For example
beveurbeeld	for instance
veur dich	for you
verbooje	forbidden
forcere	force
krach	force
veursjpelling	forecast
veurkop	forehead
boetelands	foreign
boesh	forest
veur altied	forever
vergête	forget
vergeve	forgive
vergete	forgot
vork	fork
vurme	form
formulier	form
formeel	formal
auwd	former
gelukkig	fortunately
fortuin	fortune
vieërtig	forty
twieënvieërtig	forty-two
veuroet	forward
doorsjture	forward
verzörge	foster
gevochte	fought
gevonge	found
fundaasie	foundation
veer	four
veertieën	fourteen
vos	fox
fragiel	fragile
betietele	frame
lies	frame
raamwerk	framework
fraude	fraud
màfkees	freak
vrie	free
gratis	free
vrieheid	freedom
bevreeze	freeze
frekwensie	frequency
frekwènt	frequent
diks	frequently
frish	fresh
vriedig	friday
keulkas	fridge
vrund	friend
vruntelik	friendly
vrung	friends
vrundsjap	friendship
bang	frightened
beangstigend	frightening
kikker	frog
van	from
veurkant	front
bevroore	frozen
fruit	fruit
gefrustreerd	frustrated
brandsjtof	fuel
Foelfèlde	Fulfulde
vol	full
plezeer	fun
funksie	function
functionere	function
fundamenteel	fundamental
begraafenis	funeral
grappig	funny
vàch	fur
fuurieus	furious
meubel	furniture
wiejer	further
wiejer	furthermore
toekomstig	future
toenumme	gain
sjpèl	game
gaat	gap
graasj	garage
aafval	garbage
tuin	garden
knoflook	garlic
poort	gate
verzamele	gather
samekoms	gathering
meete	gauge
gegeve	gave
sjaakele	gear
verzit	gear
gesjlach	gender
algemein	general
normaalgesjproke	generally
