бер аҙ	a little
конференция	conference
иҡрар итергә	confess
ныҡлы ышаныс	confidence
ныҡлы	confident
иҫбатларға	confirm
конфликт	conflict
буталып киткән	confused
буталыш	confusion
ҡотлайым	congrats
ҡотлау	congratulation
ҡотлайым	congratulations
теркәүес	conjunction
тоташтырырға	connect
яулап алырға	conquer
аңлы	conscious
аң	consciousness
риза булырға	consent
ризалыҡ	consent
эҙемтәләр	consequences
һаҡлау	conservation
консерватив	conservative
иҫәпләргә	consider
иҫәпләгән	considered
торорға	consist
эҙмә-эҙлелек	consistency
тотороҡло	consistent
даими	constant
даими	constantly
эс ҡатыу	constipation
төҙөлөш	construction
ҡулланырға	consume
ҡулланыу	consumption
бәйләнешкә инергә	contact
контакт	contact
йоғошло	contagious
үҙ эсенә алырға	contain
составында бар	contains
хәҙерге	contemporary
нәфрәт	contempt
ҡәнәғәт	content
эстәлек	content
ярыш	contest
контекст	context
континент	continent
дауам итергә	continue
контракт	contract
контракт төҙөү	contract
ҡапма-ҡаршы булырға	contrast
ҡапма-ҡаршылыҡ	contrast
өлөш индерергә	contribute
өлөш	contribution
контроль	control
бәхәсле	controversial
уңайлыҡ	convenience
уңайлы	convenient
әңгәмә	conversation
әүерелдерергә	convert
әүерелдереү	convert
тапшырырға	convey
инандырырға	convince
инанған	convinced
ашнаҡсы	cook
әҙерләү	cook
бешереү	cooking
әҙерәк кенә	cool
шәп	cool
хеҙмәттәшлек	cooperation
еңеп сығырға	cope
баҡыр	copper
йәҙрә	core
кукуруз	corn
мөйөш	corner
дөрөҫ	correct
хаҡы	cost
торорға	cost
костюм	costume
коттедж	cottage
мамыҡ	cotton
тренер	couch
диван	couch
йүткерергә	cough
алған	could
совет	council
һанарға	count
прилавка	counter
ил	country
ауыл ере	countryside
ҡуш	couple
иш	couple
батырлыҡ	courage
бараһылыҡ	course
суд	court
әҙәплелек	courtesy
ике туған апай	cousin
ике туған ағай	cousin
ҡапларға	cover
һыйыр	cow
ҡурҡаҡ	coward
йәмле	cozy
диңгеҙ ҡыҫалаһы	crab
ярылырға	crack
ярыҡ	crack
һөнәрселек	craft
буҡ	crap
аварияға эләгергә	crash
авария	crash
нәфсе	craving
шыуышып барырға	crawl
алйот	crazy
барлыҡҡа китерергә	create
ижади	creative
күрһәткән хеҙмә	credit
боҫоп барырға	creep
ҡот осҡос	creepy
экипаж	crew
енәйәт	crime
ҡорошорған	cringe
ҡорошорға	cringe
көрсөк	crisis
критерий	criteria
тәнҡит	critical
тәнҡит	criticism
уңыш	crop
уңдырышлыҡ	crops
тәре	cross
ҡыйырға	cross
ҡарға	crow
төркөм	crowd
халҡы күп	crowded
таж	crown
мөһим	crucial
аяуһыҙ	cruel
круиз	cruise
ватылырға	crush
һәләк	crush
иларға	cry
ҡыяр	cucumber
ҡосаҡларға	cuddle
мәҙәниәт	culture
хәйләкәрлек	cunning
сынаяҡ	cup
кубок	cup
шкаф	cupboard
бордюр	curb
дарыу	cure
дауаларға	cure
комендант сәғәте	curfew
ҡыҙыҡһыныу	curiosity
ҡыҙыҡһыныусан	curious
бөҙрә	curly
валюта	currency
ағымдағы	current
хәҙерге ваҡытта	currently
һүгенес	curse
ҡарғыш	curse
пәрҙә	curtain
мендәр	cushion
йола	custom
клиент	customer
таможня	customs
ғөрөф-ғәҙәт	customs
ҡырҡырға	cut
киҫәләнте	cut
яғымлы	cute
цикл	cycle
велосипед йөрөүе	cycling
атай	dad
атай	daddy
көндәлек	daily
һөт	dairy
быуа	dam
зыян килтерергә	damage
зыян	damage
ҡәһәрле	damn
дымлы	damp
бейергә	dance
хәүеф	danger
хәүефле	dangerous
ҡаранғы	dark
ҡәҙерлем	darling
һыҙыҡ	dash
елдерергә	dash
мәғлүмәт	data
дата	date
осрашыу	date
ҡыҙ	daughter
кән	day
үлгән	dead
сикке ваҡыт	deadline
һаңғырау	deaf
алыш-биреш	deal
бәйләнеш тоторға	deal
ҡәҙерле	dear
бөтәгеҙгә ла хөрмәт	Dear All
Хөрмәтле клиент	Dear Customer
Хөрмәтле ата-әсәләр	Dear Parents
Хөрмәтле әфәнде	Dear Sir
Хөрмәтле студенттар	Dear students
Хөрмәтле команда	Dear Team
үлем	death
фекер алышырға	debate
дебет	debit
емереклектәр	debris
бурыс	debt
ун йыллыҡ	decade
тарҡалыу	decay
мәрхүм	deceased
алдарға	deceive
декабрь	december
арҙаҡлы	decent
ҡарар ҡабул итергә	decide
ҡарар иткән	decided
ҡарар	decision
палуба	deck
кире ҡағырға	decline
кәметергә	decrease
фиҙаҡәр	dedicated
тоғролоҡ	dedication
ҡылыҡ	deed
тәрән	deep
болан	deer
иғтибарһыҙлыҡ	default
еңергә	defeat
еңелеү	defeat
яҡларға	defend
билдәләргә	define
аныҡ	definitely
билдәләмә	definition
дәрәжә	degree
тотҡарлыҡ	delay
һуңыраҡҡа күсерергә	delay
кисектерелгән	delayed
бөтөрөргә	delete
алдан уйлап эшләнгән	deliberate
нәзәкәтле	delicate
бик тәмле	delicious
шатлыҡ	delight
ҡәнәғәтле	delighted
алып барырға	deliver
килтерелгән	delivered
алып барып ҡуйыу	delivery
һорау	demand
талап итергә	demand
талапсан	demanding
демократия	democracy
иблис	demon
күрһәтергә	demonstrate
баш тартҡан	denied
тығыҙлыҡ	density
стоматолог	dentist
баш тартырға	deny
бүлек	department
китеү	departure
буйһонорға	depend
йәйелдерергә	deploy
һаҡларға	deposit
депозит	deposit
баҫтырылған	depressed
депрессия	depression
тәрәнлек	depth
һүрәтләргә	describe
васиф	description
сүл	desert
атҡаҙанырға	deserve
дизайн	design
эшләп сығарырға	design
билдә	designation
көҫәргә	desire
көслө теләк	desire
өҫтәл	desk
өмөтһөҙлөк	despair
сая	desperate
ҡарамаҫтан	despite
десерт	dessert
тәғәйенләнгән урын	destination
яҙмыш	destiny
юҡ итергә	destroy
емерелеү	destruction
деталь	detail
тулыраҡ мәғлүмәт	details
табырға	detect
тәүәккәллек	determination
билдәлергё	determine
тәүәккәл	determined
ҡайғыға батҡан	devastated
үҫешергә	develop
үҫтерергә	develop
эшкәртелгән	developed
үҫеш	development
ҡоролма	device
иблис	devil
тоғро	devoted
дивехи теле	Dhivehi
шәкәр аурыуы	diabetes
диарея	diarrhea
көндәлек	diary
һүҙлек	dictionary
эшләне	did
үлергә	die
үлгән	died
диета	diet
айырма	difference
икенсе	different
ҡыйын	difficult
ҡаҙырға	dig
шәхсиәт дәрәжәһе	dignity
тырыш	diligent
киске аш	dinner
сумдырырға	dip
тура	direct
йүнәлеш	direction
директор	director
режиссёр	director
бысраҡ	dirt
бысраҡ	dirty
һүндерергә	disable
имгәтергә	disable
эшкә яраҡһыҙ	disabled
юҡ булырға	disappear
өмөтө өҙөлгән	disappointed
афәт	disaster
ризалашмаҫҡа	discard
сығарырға	discharge
тәртип	discipline
ташлама	discount
табып алырға	discover
дискриминация	discrimination
телгәрергә	discuss
телектереш	discussion
ауырыу	disease
ауырыуҙар	diseases
маскировать итергә	disguise
ерәнес	disgusting
тәрилкә	dish
ризыҡ	dish
ашамлыҡтар	dishes
эштән ебәрергә	dismiss
ебәрергә	dispatch
күрһәтергә	display
утилизация	disposal
бәхәс	dispute
дистанция	distance
айырым	distinct
төрлө	distinct
айырым алырға	distinguish
бәлә-ҡаза	distress
таратыу	distribution
район	district
бимазалау	disturb
соҡор	ditch
сумырға	dive
төрлө	diverse
төрлөлөк	diversity
бүлергә	divide
илаһи	divine
никахты тарҡатыу	divorce
никахты тарҡатырға	divorce
баш әйләндергес	dizzy
эшләргә	do
һин	do you
һин мине яратаңмы	do you love me
табип	doctor
документ	document
эшләй	does
-май	doesn't
эт	dog
догри теле	Dogri
эшләү	doing
ҡурсаҡ	doll
домен	domain
эске	domestic
йорт	domestic
өҫтөнлөклө	dominant
Борсолма	Don't worry
аҡса кертергә	donate
иғәнә бирергә	donate
эшләнгән	done
ишәк	donkey
наркотик	dope
икеләтеү	double
икеләтергә	double
шикләнергә	doubt
шик	doubt
ҡамыр	dough
аҫҡа	down
йөктәтергә	download
ҡаралама	draft
һыҙырға	draft
һөйрәтергә	drag
бушатырға	drain
киптерергә	drain
драма	drama
һөйрәтергә	draw
һүрәт төшөрөргә	draw
йәшник	drawer
һүрәт	drawing
ҡот осоу	dread
төш	dream
төш күрергә	dream
күлдәк	dress
бырауларға	drill
эсергә	drink
эсемлек	drink
йөрөтөргә	drive
төшөрөп ебәрергә	drop
кәмеү	drop
ташлаған	dropped
ҡоролоҡ	drought
иҫерек	drunk
ҡоро	dry
өйрәк	duck
егет	dude
өсөн	due
тейешле	due
өсөн	due to
эс бошорғос	dull
аңра	dumb
ташлау	dump
оҙайлыҡ	duration
ваҡытында	during
саң	dust
бурыс	duty
йәшәргә	dwell
үлеп барған	dying
һәр	each
бер-береһен	each other
дәртле	eager
бөркөт	eagle
ҡолаҡ	ear
элегерәк	earlier
иртә	early
аҡса эшләргә	earn
ҡолаҡтар	ears
ер	earth
ер тетрәү	earthquake
еңеллек	ease
анһат	easily
көнсығыш	east
еңел	easy
ашарға	eat
ашау	eating
бәрәкәтле	economic
иҡтисад	economy
сит	edge
төҙәтергә	edit
мәғариф	education
йоғомта	effect
һөҙөмтәле	effective
нәтижәлелек	efficiency
эффектив	efficient
тырышлыҡ	effort
йомортҡа	egg
баклажан	eggplant
эго	ego
һигеҙ	eight
ун һигеҙ	eighteen
һикһән	eighty
ул да	either
эшкәртергә	elaborate
терһәк	elbow
олорыраҡ	elder
оло йәштәгеләр	elderly
күркәм	elegant
элемент	element
фил	elephant
ун бер	eleven
йәтеш	eligible
бөтөрөргә	eliminate
тағы	else
асыулы	embarrassed
асыулы	embarrassing
ҡосаҡларға	embrace
килеп сығырға	emerge
ғәҙәттән тыш	emergency
эмоциональ	emotional
мәрхәмәт	empathy
баҫым	emphasis
айырып күрһәтергә	emphasize
эшсе	employee
хеҙмәттәштәр	employees
эш биреүсе	employer
эшкә урынлашыу	employment
буш	empty
ирек бирергә	enable
осрашырға	encounter
ҡыҙыҡһындырырға	encourage
бөтөргә	end
аҙаҡ	end
ҡурҡыныс аҫтында	endangered
көсөргәнеш	endeavor
сыҙамлылыҡ	endurance
түҙеп торорға	endure
дошман	enemy
энергия	energy
йәлеп итергә	engage
вәғәҙәләшкән	engaged
вәғәҙәләшеү	engagement
двигатель	engine
инженер	engineer
инглиз	English
булышырға	enhance
кинәнергә	enjoy
бик ҙур	enormous
еткәндәй	enough
тәьмин итергә	ensure
инергә	enter
күңел асыу	entertainment
күтәренкелек	enthusiasm
ялҡынлы	enthusiastic
бөтә	entire
исемдәге	entitled
ойошма	entity
инеү урыны	entrance
эшҡыуар	entrepreneur
конверт	envelope
тирә-яҡ мөхит	environment
көнләшеү	envy
эпик	epic
эпидемия	epidemic
тиң	equal
йыһазландырыу	equipment
тигеҙлек	equity
тиңдәш	equivalent
юйғыс	eraser
хата	error
ҡасырға	escape
айырыуса	especially
инша	essay
эссенция	essence
асыл	essence
иң мөһим	essential
билдәләргә	establish
барлыҡҡа килгән	established
милек	estate
баһа бирергә	estimate
баһаланған	estimated
һ. б.	etc
мәңгелек	eternal
этика	ethics
баһаларға	evaluate
баһа	evaluation
тигеҙ	even
хатта	even
хатта әгәр	even though
кис	evening
ваҡиға	event
ниһайәт	eventually
ҡасан да булһа	ever
һәр	every
барыһы ла	everybody
бөтә	everyone
бөтә	everything
дәлил	evidence
яман	evil
эволюция	evolution
үҫеш алырға	evolve
эве теле	Ewe
элекке	ex
йыйнаҡ	exact
теүәл	exactly
имтихан	exam
тикшеренергә	examine
миҫал	example
артыҡ булырға	exceed
бик яҡшы	excellent
башҡа	except
айырма	exception
артыҡ	excess
артыҡ	excessive
алмашыу	exchange
рухлы	excited
тулҡынланыу	excitement
күңел күтәрлек	exciting
эксклюзив	exclusive
аҡланырға	excuse
ғәфу ит мине	excuse me
язалап үлтерергә	execute
башҡарырға	execute
башҡарыу	execution
иғдам	execution
башҡарма	executive
күнегеүҙәр үткәрергә	exercise
күнегеү	exercise
бөтөрөргә	exhaust
йонсоторға	exhaust
бик арыған	exhausted
күрһәтергә ҡуйырға	exhibit
күргәҙмә	exhibition
булырға	exist
