benn	a
jàppandi	available
tane	average
moytu	avoid
yeewu	awake
neexal	award
yëg	aware
xel	awareness
sore	away
yànj	awesome
doy waar	awful
doy waar	awkward
Aymara	Aymara
gone	baby
xale	baby
ku am ndaw	bachelor
ci gànnaaw	back
jaar yoon	background
bon	bad
saak	bag
fiir	bait
saaf	bake
puur	bakery
karaw	baking soda
yamaay yamale	balance
bal	ball
Bambara	Bambara
banaana	banana
mbooloo	band
dóor	bang
bànk	bank
baar	bar
lu bare	barely
waxaale	bargain
mbetteel	bark
pepp	barley
ñag	barrier
jabet	base
wéeru ci	based
ci suuf	basement
bu sax	basic
ci yoon	basically
ngun-ngun	basil
doom bu jigéen ci buur	bastard
say	batch
sangu	bath
duus	bathroom
batëri	battery
xeex	battle
tefes	bay
nekk	be
defal ndànk	be careful
tefes	beach
ray-rayi	beam
ñebbe	beans
yenu mbëfër	bear
sikkim	beard
doxalin	bearing
makiyaas	beast
dóor	beat
taaru	beautiful
taar	beauty
nekk na léegi	became
ndax	because
dóomu taal	become
laksidang mbëkk	bed
néegu biir	bedroom
yamb	bee
yàppu nag	beef
nekke	been
sàngara	beer
laata	before
tàmbaliwoon	began
tàmbali	begin
ndoorteel	beginning
ci turu	behalf
dox	behave
doxale	behavior
jiitewoon	behaviour
gannaaw	behind
nekk	being
ngëm	belief
yaakaar	believe
biir	belly
móol	belong
soppe	beloved
ci suuf	below
sentiir	belt
toogu	bench
sëgg	bend
ci suufu	beneath
ngënéel	benefit
ay ngëneel	benefits
ci wetu	beside
rax ci dolli	besides
bi gën	best
wërsëg gu sax	best of luck
nuyoo bu sax	best regards
gën	better
digg	between
naan	beverage
lu weesu	beyond
Bhojpuri	Bhojpuri
far	bias
bu amul jubluwaay	biased
welo	bicycle
yëgle	bid
mag	big
welo	bike
fajkatu bëñ	bill
takk	bind
picc	bird
bés-bu-dellusi	birthday
tuuti	bit
màtt	bite
wex	bitter
ñuul	black
paaka	blade
tuuma tuumaal	blame
foxale	blank
mbagg	blanket
yàqq	blast
xeesal	bleach
jaxase	blend
sàmm	bless
gént	blessed
guddi	blind
mbegte	bliss
tabax	block
der fees	blood
tóortóor	bloom
duusu sangukaay	blow
baxa	blue
ñawul	blunt
kureel	board
gaal	boat
yaram	body
baxal	boil
sañ	bold
takk	bond
yax	bone
téré jàppal	book
yokkute yokk	boost
yokk	booster
dàllu bot	boot
ay dàlli bot	boots
pègg	border
pax bënn	bore
jaxase	bored
soof	boring
jubul	born
àbb	borrow
njiit	boss
ñaar yépp	both
tangqal	bother
butéel	bottle
ci suuf	bottom
jënd njënd	bought
bondeel cawarte	bounce
takkoon	bound
ay dig	boundaries
sujjóot	bow
bool	bowl
boyet	box
xale bu góor	boy
cuks	boyfriend
far	boyfriend
laltu	bracelet
yuur	brain
car	branch
xeet	brand
jam jam-jam	brave
gas	breach
mbott	bread
aj	break
ajandi	break
ndekki	breakfast
ween	breast
noyyi	breath
noyyi	breathe
yar	breed
móol	brick
séet bu jigéen	bride
pom	bridge
gaasuwaal	brief
leer leeral	bright
muus	brilliant
indi	bring
xarit	bro
yaatu	broad
siiwal	broadcast
bànk dammoon	broke
bu damm	broken
bale	broom
rakk	brother
jëkër u mag	brother in law
indiwaat	brought
mar	brown
xoos boroos	brush
siwó	bucket
xarit	buddy
lim toll	budget
matadi	bug
tabax	build
tabax	building
tabaxoon	built
ngàndaay	bulk
nag	bull
tiital	bully
mbégte	bump
làrme	bunch
laxas	bundle
yen yenu	burden
suul	buried
taal	burn
tàkk	burst
suul	bury
kaaf	bus
àll	bush
liggey	business
dënn	bust
jàpp	busy
waaye	but
bëer	butter
lëpaalëp	butterfly
butong	button
jën	buy
ci	by
ci loolu	by the way
ba beneen yoon	bye
supome	cabbage
ndajem jawriñ yi	cabinet
juuti	cage
ngato	cake
nag bu ndaw	calf
woote	call
woo	call
woo ma	call me
woowe	called
teey dëfal	calm
dikk léegi	came
kampaañ	campaign
mën	can
mënul	can't
Bàyyi	Cancel
kanam jakkaarloo	cancer
mën	capable
doole	capacity
péey	capital
léeb	caption
natal	capture
daamar	car
diiru fukki at	career
moytu	careful
ndànk	carefully
ñàkk a farlu	careless
toppatoo	caring
yattkat	carpenter
moket	carpet
karbonaat	carrot
indi	carry
wéyal	carry on
yóbbu	carry out
boyet	case
teew	cash
sànni	cast
sato	castle
bariwul lumuy am	casual
muur	cat
jàpp	catch
tolluwaay	category
jur	cattle
jàppandi	caught
lu tax	cause
àrtu	caution
teey	cautious
xunt	cave
dakkal	cease
palaafong	ceiling
màgg	celebrate
pepp	cell
digg	center
xarnu	century
pepp	cereal
xew	ceremony
wóor	certain
ci lu wóor	certainly
liir	certificate
ceen ceene	chain
siis	chair
sas bañ	challenge
wërsëg	chance
soppi coppite	change
yàqquteef	chaos
jëm kanam	character
melokaan	characteristics
jigéen	charge
sarax	charity
xëcc	charming
tablo	chart
dàqq	chase
waxtaan	chat
yomb	cheap
sàcc naxaatekat	cheat
sàcc	cheating
xayma saytu	check
lëwiir	cheek
tàccu	cheer
bég	cheerful
tàccu	cheers
for	cheese
simi	chemistry
bëgg	cherish
powum esek	chess
dendale	chest
yéyy	chew
gëstu	chicken
njiit	chief
xale	child
ndaw	childhood
ay xale	children
sedd	chill
ay bën-bënu sàqqaar	chimneys
sikkim	chin
paalmaan	chocolate
tànneef	choice
tànn	choose
dagate	chop
ay liggéey	chores
pataa	chubby
jàngoro	church
turbi	cinnamon
wërale	circle
ay anam	circumstances
doomu nijaay	citizen
dëkk taax	city
ñaxtu laaj	claim
leeral	clarify
Kalaallisut	class
ban	clay
set setal	clean
leer	clear
liggéeykat	clerk
muus	clever
kiliyaan	client
tund	cliff
kilifteef	climate
yéeg	climb
tanxal	clingy
mokkal	clock
tëj benn-bakkan	close
deñcukaay	closet
moone	cloth
yéré	clothes
niir	cloud
xiin	cloudy
kafe	clown
tegtal	clue
jubluwaay jublu	clumsy
mbooloo	cluster
tàggatkat tàggat	coach
keredi	coal
tefes	coast
palto	coat
kaf	coffee
bu xel	cognitive
amandoo	coincidence
sèdd	cold
wodd	collapse
kol	collar
naatangoo liggéey	colleague
naatàngoo	colleagues
jël	collect
boole	collection
daara ju kawe	college
wirgo	color
ay xalaati melo yu nëtëxul yu nelawoon ci naqqar	colorless green ideas slept furiously
melni	colour
kóllëre	column
peñe	comb
mbonaat	combination
boole	combine
ñëw	come
kaay fii	come here
gaawal	come on
nekkin wu baax	comfort
neex	comfortable
biy ñëw	coming
dikk	coming soon
sàntaane	command
wax sa xalaat	comment
jënd	commercial
yónni	commission
noot	commit
dogaloon	commitment
sóobu	committed
bagaas	commodity
daj fépp caga	common
waxante	communicate
jokkale jokkoo	communication
askan	community
dem ak dikk	commute
àndandoo	companion
këriñ	company
tolloole	compare
méngale	comparison
yërmànde	compassion
am yërmànde	compassionate
lu kenn xamul	compatible
jongante	compete
xereñ	competent
jokkoo	competition
ci jongante	competitive
ñaxtu	complain
ñaxtu	complaint
morom	complement
mat sëkk	complete
ci anam bu mat	completely
jafe	complex
mën-mën mën	compliance
jafe	complicated
ndokkale	compliment
tënku	comply
dajale	composition
kër	compound
ndànd	comprehension
masin	comprehensive
déggoo	compromise
mënula ñàkk	compulsory
oordinaatëer	computer
def xel rekk	concentrate
xalaat	concept
gànt	concern
jaaxle	concerned
xawaare	concert
tëjteel	conclusion
betong am betong	concrete
anam	condition
ay anam	conditions
jiital xel	conduct
ndaje	conference
dëggal	confess
kooba	confidence
wóolu sa bopp	confident
dëggal	confirm
xare	conflict
jaxasoo	confused
jaxasoo	confusion
ndokkale	congrats
ndokkale	congratulation
ndokkale	congratulations
jokkoo	conjunction
lekk	connect
noot	conquer
am xel	conscious
ameefu xel	consciousness
ndigal ànd	consent
njureef	consequences
deñc	conservation
rënk	conservative
xalaat	consider
jàpp	considered
ëmb	consist
dëgëraay	consistency
lu amul tur	consistent
buy wéy	constant
biy am saa su ne	constantly
seere	constipation
tabax	construction
lajjoon	consume
jëfandikoo	consumption
jokkalante	contact
wàlle	contagious
def	contain
def	contains
bokk jamono	contemporary
xeeb	contempt
mbinde	content
jongante	contest
anam	context
goros	continent
wëy	continue
déggoo jëf	contract
kuute	contrast
bokk	contribute
wàll	contribution
ceytu	control
saytu	control
werante	controversial
wësëgu jàmm	convenience
jaar	convenient
waxtaan	conversation
coppite soppi	convert
jàll	convey
yey	convince
yey	convinced
toggkat togg	cook
togg	cooking
sèdd	cool
baax lool	cool
mbootaay	cooperation
jànkontel	cope
përëm	copper
xol	core
mboqq	corn
róqq	corner
jub	correct
njëg jar	cost
koppin	costume
këru liggéeyukaay jéngu	cottage
wëtéen	cotton
bàyyeeku	couch
sëqqat	cough
mën nañu	could
kureel	council
woññ	count
Konkani	counter
réew	country
kàttan	countryside
ñaar	couple
firwi	courage
yoon daw	course
ëtt	court
teggin	courtesy
doomu ndey	cousin
muuma	cover
nag bu jigéen	cow
ragal	coward
ndugg	cozy
jumtukaayu xarala	crab
damm-damm damm	crack
liggéey	craft
puub	crap
lakk	crash
bëgg-bëgg	craving
raam	crawl
dof	crazy
defar	create
fen	creative
kër	credit
raam	creep
raglu	creepy
kuppe	crew
jëya	crime
yaru dellu gannaaw	cringe
jafe-jafe	crisis
ay melokaan	criteria
doywaar	critical
Kiliyaan bi ma Sopp	criticism
gan teeru	crop
mbéy	crops
jàllukaay	cross
baaxoñ	crow
mboole	crowd
bare nit	crowded
coll	crown
lu mënul ñàkk	crucial
soxor	cruel
wër ci gaal	cruise
tañc	crush
jongante	cry
koom-koom	cucumber
foog naa	cuddle
mbas	culture
muus	cunning
koonkoombar	cup
mbuum	cupboard
peggu mbedd	curb
paj faj	cure
kuute wuute	curfew
kuddu	curiosity
demoon	curious
lëmës	curly
xaalis	currency
bi xew	current
léegi	currently
muñal	curse
rido	curtain
njegenaay	cushion
tàmm	custom
kilimaa	customer
Douane	customs
ndog dagg	cut
muus mu ndaw	cute
wërngël	cycle
dawal welo	cycling
baay	dad
baay	daddy
bés bu ne	daily
bu meew	dairy
mbànd	dam
yàqqute yàqq	damage
daan	damn
tooy	damp
pecc	dance
lopitaal	danger
wóoradi	dangerous
lëmësu	dark
soppe	darling
rëdd	dash
xibaar	data
jamono jii	date
dom bou djiguen	daughter
bés	day
dee	dead
àpp	deadline
tëx	deaf
déggoo	deal
soppe	dear
Yéen samay Soppe	Dear All
kiliyaan	Dear Customer
Samay Way-jur samay Soppe	Dear Parents
Sama Sëriñ sama Soppe	Dear Sir
Samay ndongo samay Soppe	Dear students
Samay soppey Liggéeykat yi	Dear Team
dee	death
waxtaan	debate
layookat	debit
tojit	debris
bor	debt
diir	decade
nëb	decay
waaññeeku	deceased
tas yaakaar	deceive
desambar	december
yiw	decent
dogal	decide
dogal	decided
ndogal	decision
rafetal	deck
daanu	decline
wàññi	decrease
jagle	dedicated
jaggadi	dedication
jëf	deed
xóot	deep
kontuwaar	deer
mat matal	default
lajj	defeat
aar	defend
leeral	define
ci lu wóor	definitely
tekki	definition
tolluwaay	degree
yéexaay yéexal	delay
ràndal	delayed
dindi	delete
yewwi	deliberate
woyof	delicate
neex	delicious
neex	delight
bég	delighted
joxe	deliver
yóbbu	delivered
yót	delivery
laaj	demand
bari laaj	demanding
demokaraasi	democracy
dëmm	demon
wone	demonstrate
weddi	denied
tolluwaay	density
fajkat	dentist
weddi	deny
pàccu këru liggéeyukaay	department
dem	departure
aju	depend
tas	deploy
depaans	deposit
sonn	depressed
jafe-jafe	depression
xóotaay	depth
bind	describe
tegtal	description
fanweer	desert
yelloo	deserve
defar	design
tur	designation
bëgg	desire
biro	desk
ñàkk yaakaar	despair
yaakaar gu tas	desperate
donte	despite
desàmbar	dessert
jubluwaay	destination
nattu	destiny
yàqq	destroy
yàqqu-yàqqu	destruction
nettali benn benn	detail
yu sew	details
gis	detect
doggu	determination
dog dagg ay dog	determine
doggu	determined
yàqqu	devastated
yokk	develop
yokkoon	developed
yokkute	development
jumtukaay	device
saytaane	devil
jë	devoted
Dhivehi	Dhivehi
jabar	diabetes
biir buy daw	diarrhea
téere	diary
téere firi baataan	dictionary
defoon	did
dee	die
dee	died
wàññi lekk	diet
kurél	difference
wuute	different
tar	difficult
gas	dig
sulli	dig
ngor	dignity
topp yoon	diligent
reer	dinner
sóobu	dip
jub	direct
jubluwaay	direction
njiit	director
tilim	dirt
tilim	dirty
labbe	disable
way-laago	disabled
seey	disappear
ruslóo	disappointed
jëw	disaster
dindi	discard
wàcce	discharge
yar	discipline
wàññi	discount
gis	discover
beddikonte	discrimination
waxtaan	discuss
waxtaan	discussion
jàngkat	disease
ay jàngoro	diseases
nëbbu	disguise
naqqari	disgusting
ñam	dish
ay ndab	dishes
dàqq	dismiss
tas	dispatch
wone	display
sën	disposal
xulóo	dispute
soriwaay	distance
ràññee	distinct
ràññee	distinguish
jaaxle	distress
séddale	distribution
diwaan	district
tanqqal	disturb
pax	ditch
sóobu	dive
wuute	diverse
wuute	diversity
seddale	divide
bu joge ca Yàlla	divine
tass fase	divorce
miir	dizzy
def	do
ndax di nga	do you
ndax bëgg nga ma	do you love me
Dogri	doctor
wayndare	document
def	does
du ko	doesn't
xaj	dog
Dogri	Dogri
def	doing
fowal	doll
dëkkuwaay	domain
bu bokk ci kër gi	domestic
bu ëpp doole	dominant
bul	don't
bul jaaxle	Don't worry
maye	donate
def jeex	done
mbaal	donkey
sineebar	dope
ñaari yoon ful ñaari yoon	double
sikki-sakka	doubt
xaalis	dough
ci suuf	down
wàcce	download
jéem	draft
xëcc	drag
yoonu ndox	drain
teyaatar	drama
xëcc	draw
deñcoon	drawer
nataal	drawing
tiitange	dread
gént gu bon	dream
robb solu	dress
bënn	drill
naan	drink
dawal	drive
toqq daaneel	drop
woddaloon	dropped
bekoor	drought
màndarga màndargaal	drunk
wow wowal	dry
kanaara	duck
waay	dude
yelleef	due
ndaxte	due to
lëndëm	dull
musóor	dumb
sànni	dump
diir	duration
ci diiru	during
pënd	dust
wareef	duty
dëkk	dwell
buy dee	dying
bu ci ne	each
ku amul jabar	each other
yàkkamti	eager
céeli	eagle
nopp	ear
ci teel	earlier
teel	early
yelloo	earn
ay nopp	ears
suuf	earth
yëngu-yëngu suuf	earthquake
noflaay	ease
ci lu yomb	easily
penku	east
yomb	easy
lèkk	eat
lekk	eating
koom	economic
koom	economy
pegg	edge
soppi	edit
yar	education
njureef	effect
am njériñ	effective
xereñteef	efficiency
xereñ	efficient
jéego	effort
nen	egg
batañse	eggplant
sa bopp	ego
juróom-ñett	eight
fukk-ag-juróom-ñett	eighteen
juróom-ñett i fukk	eighty
rafet	either
defar	elaborate
coñcu	elbow
mag	elder
màggat	elderly
rafet	elegant
këf	element
ñay	elephant
fukk-ag-benn	eleven
mën	eligible
dindi	eliminate
beneen	else
jaxasoo	embarrassed
jaxasoo	embarrassing
lëndëm lëndëmal	embrace
fël-fël	emerge
lu gisu	emergency
daw yaram	emotional
yëg-yëg	empathy
teg baaraam	emphasis
teg baaraam	emphasize
liggéeykat	employee
ay liggéeykat	employees
liggéeykat	employer
liggéey	employment
sotti amul dara	empty
jox cër	enable
tase	encounter
ñaax	encourage
mujjantal	end
indi	endangered
jéem	endeavor
ndëgërlu	endurance
muñ	endure
noon	enemy
kaso	energy
song	engage
farlu	engaged
xeex	engagement
marong	engine
ëmb	engineer
Angale	English
yokk	enhance
bégé	enjoy
rëy	enormous
doyna	enough
dëggal	ensure
du loolu de	enter
po	entertainment
mbegte	enthusiasm
bég	enthusiastic
lépp	entire
tudde	entitled
mbir	entity
duggal poñ	entrance
tabaxkat	entrepreneur
ëllëg	envelope
wëreef	environment
ñée	envy
jàmbaar song	epic
mbas	epidemic
tolloo	equal
jumtoo kay	equipment
yamale	equity
tolloo	equivalent
fomp	eraser
njuumte	error
rëcc	escape
rawatina	especially
jéem	essay
ëppoon	essence
li am solo	essential
def	establish
tegoon	established
moomeel	estate
xayma	estimate
xayma	estimated
ak yeneen ak yeneen	etc
lu dul	eternal
doxalin	ethics
xayma	evaluate
xayma	evaluation
sax	even
montar	even though
ngoon	evening
xew-xew	event
ci mujjantal ba	eventually
saa su ne	ever
bu nekk	every
ñépp	everybody
ku ñàkk jëkëram	everyone
lépp	everything
seede	evidence
bon	evil
yokkute	evolution
yokku	evolve
Ewe	Ewe
ba woon	ex
noonu la	exact
ci yoon	exactly
xayma	exam
saytu	examine
miliyong	example
ëpp solo	exceed
xereñ	excellent
ba mu des	except
li bariwul	exception
ëpp	excess
enteernet	excessive
wecce weccoo	exchange
ràkkaaju	excited
yënguteef	excitement
yëngal	exciting
fës	exclusive
lay	excuse
baal ma	excuse me
def	execute
rey	execution
buy jël ndogal	executive
tàggat tàggatu	exercise
saqaar	exhaust
sonn	exhausted
fësal	exhibit
wone	exhibition
nekk	exist
dund	existence
nekk	existing
génne	exit
tas	expand
xaar	expect
xaar	expected
dënnu	expenses
seer	expensive
jaar-jaar	experience
jéem	experiment
xereñ	expert
jeex	expired
leer yeewu	explain
leeral	explanation
deffar	exploit
xool	explore
yóbbu bitim réew	export
fësal	expose
feeñal	exposed
yoole	exposure
fësal	express
waxin	expression
yaatal	extend
yokk	extended
yokk	extension
yaatuwaay	extent
ci biti	external
fay	extinct
bu ëpp	extra
genn wàll	extract
jébbalu	extraordinary
sës rëkk	extreme
lu rëy	extremely
bët	eye
ay gët	eyes
yéré	fabric
baax	fabulous
kanaara	face
yombalal	facilitate
ay bërab yunu defar	facilities
jumtukaay	facility
dëgg	fact
pàcc	factor
këru liggéeyukaay	factory
ay jëf	facts
sàppi	fade
lajj	fail
lajj lajjal	failed
làggil	failure
xëm	faint
yoon	fair
tane	fairly
jinax	fairy
ngëm	faith
gel	faithful
buy naxaate	fake
daanu	fall
doywaar	false
siiw	fame
siiw	familiar
njaboot	family
xiif	famine
siiw	famous
soppe uppukaay	fan
bëgg	fancy
baax na	fantastic
sore	far
tàggatoo	farewell
tool	farm
beykat	farmer
rafet	fascinating
colko	fashion
gaaw	fast
reye	fat
lu mën a nekk	fatal
mujj am diir	fate
baay	father
coono sonnal	fatigue
njuumte	fault
bi la gënal	favorite
ndimbal	favour
sopp	favourite
ragal tiital	fear
beerne	feast
dundal xont	feather
melokaan defar	feature
melo jëmmal	features
fewriyé	february
doy waar	fed up
payoor	fee
dundaat	feed
ceytu	feedback
yëg	feel
yëg-yëg	feeling
ay tànk	feet
daanuwoon	fell
naatangoo	fellow
yëggoon	felt
jigéen	female
ñag	fence
mën a jënd	fertile
xawaare	festival
dem wuti	fetch
tàngooru yaram	fever
tuuti	few
tuuti	fewer
coro	fiance
lu yées	fiction
tool yar	field
soxor	fierce
fukk-ag-juróom	fifteen
juróom-fukk	fifty
xeex	fight
xeex	fighting
lim	figure
woññ bu baax	figure out
rang	file
sol	fill
feesal	filled
fiiriir	film
tilim	filthy
ci mujjantal	finally
kóolute wóolu	finance
mbir jaaxle	financial
gis	find
gis	find out
baax	fine
baaraam	finger
jéemoon	finish
jeexal	finished
safara taal	fire
këru liggéeyukaay	firm
njëkk	first
tur	first name
jëmm	fish
jot	fit
jur gi	five
lijjaasa	fix
defaroon	fixed
raaya	flag
melax	flash
tàcc	flat
yàqqu-yàqqu	flaw
mucc ayib	flawless
daw	flee
yàpp	flesh
naawoon	flew
lem	flex
woyof	flexible
naaw	flight
depoo duggal	flip
raay	flirt
riisoo	flirting
tëmb	float
mbëkk	flood
dëppërñi	floor
farandoo	flour
dex	flow
tóor-tóor	flower
sibiru	flu
leer	fluent
bu leer	fluently
bari karaw	fluffy
rogalaan	fluid
naaw weñ	fly
jubluwaay jublu	focus
lay	fog
làxukaay	foggy
lekkoon	fold
nit ñi	folks
topp	follow
tòpp	follow up
topp	following
lekk	food
dof	fool
nàkk	foolish
tànk	foot
football	football
pour	for
ci misaal	For example
ci misaal	for instance
ngir yaw	for you
aaye	forbidden
doole	force
gis gis-gis	forecast
jaxasoo dëpp	forehead
bu bitim réew	foreign
àll	forest
ba fàww	forever
fàttaliku	forget
baal	forgive
fàtte	forgot
furnó lakk	fork
melokaan	form
jaar yoon	formal
bi njëkkoon	former
ci anam bu neex	fortunately
alal	fortune
ñeent-fukk	forty
ñeent-fukk-ag-ñaar	forty-two
dello	forward
doole	foster
xeexoon	fought
gisoon	found
cosaan	foundation
ñeent	four
fukk-ag-ñeent	fourteen
till	fox
woyof	fragile
wërale	frame
wërngël	framework
nax	fraud
njuuma	freak
fees	free
moom	freedom
sedd	freeze
luwe	frequency
faral di am	frequent
lu ëpp	frequently
bees	fresh
Ajjuma	friday
firi	fridge
xarit	friend
àndak jàmm	friendly
ay xarit	friends
xaritoo	friendship
tiital	frightened
raglu	frightening
mbote	frog
joge ci	from
jakkaarloo	front
sèdd guy	frozen
firnde	fruit
mer	frustrated
gaaraas taxawal	fuel
Fulfulde	Fulfulde
feeñoon	full
po	fun
dóor ndam	function
cëslaay	fundamental
déj	funeral
reetlu	funny
leen	fur
mer	furious
ay mëebal	furniture
bu yaatu dooleel	further
rax ci dolli	furthermore
ëllëg	future
ndam am ndam	gain
po	game
kalpe	gap
gaanuwaay	garage
mbalit	garbage
tool	garden
laaj	garlic
bunt	gate
dajale	gather
dajale	gathering
natt	gauge
joxe lekk	gave
jumtukaay	gear
góor	gender
bu yaatu	general
ci yaatal	generally
junni	generate
jamono	generation
la	generous
muus	genius
xeet	genre
rafet	gentle
bu dëggu	genuine
yënguteef	gesture
jot	get
solu	get dressed
jiwu	get up
tane léegi	get well soon
am	getting
démb	ghost
dakkal	ghosting
ñuuma	ghosting
gàncax	giant
neexal	gift
dindi	ginger
xale bu jigéen	girl
géj naa laa gis	girlfriend
jox	give
bàyyi	give up
joxe	given
bég	glad
séen	glance
kaarànge	glass
ay weer	glasses
séen	glimpse
lu wër àdduna	global
lëndëm	gloomy
gaal	gloves
tàkk-tàkk tàkk	glow
melax	glow up
ko mu ngi	glue
dem	go
ayca	go ahead
demak dikk	go away
tëddi	go to bed
jubluwaay	goal
ay jubluwaay	goals
bëy	goat
yàlla	god
yal na la Yàlla sàmm	god bless you
dem	goes
dem	going
dem	going to
wurus	gold
dem	gone
dem	gonna
lu faral di am	goo
baax	good
ngoonu jàmm	good afternoon
ba beneen	good bye
bésub jàmm	good day
ngoonu jàmm	good evening
waaw góor	good job
nekk ci jàmm	good looking
wërsëgu jàmm	good luck
subag jàmm	good morning
naka suba si sama soppe	good morning my love
fanaan ak jàmm	good night
ba beneen	goodbye
fan nga nekk	goodnight
ay bagaas	goods
Google	Google
Tekki ci Google	Google Translate
kanaara	goose
taaru	gorgeous
jëriñoo	gossip
amoon	got
jot	got it
nguur	government
jàpp	grab
tolluwaay	grade
ndànk-ndànk	gradually
am lijjaasa	graduate
pepp	grain
may	grant
màtt-màtt màtt	granted
reseng	grapes
ebinal	grasp
ñax	grass
am kóllëre	grateful
kol	gratitude
bàmmel	grave
baan	gray
neex na	great
foos	greed
fowukaay	greedy
nëtëx	green
nuyu	greet
nuyoo	greeting
ay nuyoo	greetings
