a little	халта
annoying	хэрүүлхэдэһэ хүргэһэн
annual	жэл бүриин
anonymous	танигдаагүй
another	нүгөө
answer	харюулха
anticipate	уридшалан мэдэхэ
anxiety	һанаагаа зоболго
anxious	амаргүй
any	ямаршье
anymore	хэзээшье бэшэ
anyone	хэншье
anything	юуншье
anyway	юуншье һаань
anyways	яагаашье һаа
apart	аминдаа
apartment	байра
apologize	хүлисэхэ
apparent	ойлгомжото
apparently	аабза
appeal	хандаха
appear	бии болохо
appearance	бии бололго
appeared	бии болоһон
appetite	хорхой
appetite	эдеэлхэ дуран
apple	алима
application	хабсаралта
apply	хэрэглэхэ
appointment	уулзалга
appreciate	сэгнэхэ
appreciation	баясхалан хүргэлгэ
approach	дүтэлэлгэ
appropriate	зохид
approval	зүбшөөл
approve	баталха
approved	зүбшөөрһэн
approximately	шэнээнэй
april	дүрбэдэхи һара
arbitrary	зоргоороо ороһон
architect	архитектор
architecture	архитектура
archive	архив
are you	ши бол
are you busy	та сүлөөгүйт
are you busy	ши сүлөөгүйш
are you married	ши гэрлэһэн гүш
are you married or single	та гэрлэһэн гүт гэрлээгүй гүт
are you married or single	ши гэрлэһэн гүш гэрлээгүй гүш
Are you still there?	Ши мүнөө болотор эндэ гүш?
are you there	та тэндэ гүт
are you there	ши тэндэ гүш
area	можо
argue	арсалдаха
argument	үндэһэ баримта
arise	бодохо
arm	гар
army	сэрэг
around	дэргэдэ
arrange	зүбшэлдэхэ
arrangement	хэлсээн
arrival	ерэлгэ
arrive	ерэхэ
arrived	ерэһэн
arrogant	бардам
arrow	годли
arrow	һурша
art	урлал
article	статья
artificial	хэмэл
artist	артист
as	шэнги
as long as	тухайн байдалда
as well	баһа
as well as	мүн баhа
ash	үнэһэн
ashamed	эшээһэн
ask	асууха
asked	һураһан
asleep	унтаһан
aspect	үзэл
Assamese	Ассамис
assault	дайраха
assembly	барилга
assertive	нэтэрүү
assess	оруулга
assessment	сэгнэлгэ
asset	зөөри зөөшэ
assets	зөөри
assign	томилхо
assignment	томилолго
assist	туһалха
assistant	ассистент
associate	холболдохо
associated	холболдохо
association	хамтарал
association	ассоциаци
assume	тухайлха
assumption	тухайламжа
at least	ядахадаа
ate	эдиһэн
athlete	тамиршан
attach	хадаха
attached	няалдатай
attachment	эрьелгэ
attack	дайраха
attempt	туршаха
attend	хабаадаха
attendance	ябаса
attention	анхарал
attitude	хандалга
attract	татажа асарха
attract	хабаадуулха
attraction	хандуулга
attractive	дура татасатай
attribute	элирхэйлэгшэ
attribute	гол шэнжэ
audience	шагнагшад
august	наймадахи һара
aunt	абга эгэшэ
aunt	нагаса эгэшэ
aunty	абга эгэшэ
aunty	нагаса абгай
aunty	абгайхан
authentic	бодото
author	зохёогшо
authority	хуули заса
autumn	намар
available	хүрэхэнь бэлэн
average	дундахи
avoid	зайлаха
awake	һэриһэн
award	шагнал
aware	мэдэһэн байха
awareness	мэдээсэлгэ
away	алад саана
awesome	айхабтар
awful	аймшагтай
awkward	аягүй
Aymara	Аймара
baby	үхибүүн
baby	нялха нарай
bachelor	гэрлээгүй хүн
back	хойшоо
back	гэдэргээ
background	оршон байдал
background	саадахи үнгэ
bad	муу
bag	туулмаг
bait	мэхэлхэ юумэн
bake	болгожо гаргаха
bakery	хилээмэ барилга
baking soda	сода
balance	баланс
ball	бүмбэгэн
Bambara	Бамбара
banana	гадил
band	хамтарал
bang	тэһэрхэ
bank	банк
bar	барилга
barely	арай
bargain	наймаасалдаха
bargain	сэн хэлсэхэ
bark	хусаха
barley	ешмээн
barrier	һаад
base	үндэһэ һуури
based	үндэһэтэ
basement	подвал
basic	үндэһэтэ
basil	базилик
bastard	доройтогшо
batch	хэһэг
bath	ванна
bathroom	угаалгын таһалга
battery	батарея
battle	тулалдаан
bay	гарам
be	байха
be careful	болгоомжотой
beach	эрье
beam	туяа
beans	бобы
bear	баабгай
beard	һахал
bearing	абажа ябаха
beast	арьяатан
beat	сохихо
beautiful	һайхан
beauty	гоё һайханиинь
became	болоһон
because	тиимэһээ
become	болохо
bed	орон
bedroom	унталгын таһалга
bee	зүгы
beef	үхэрэй мяхан
been	байһан
beer	шара айраг
before	болотор
before	урда
began	эхилһэн
begin	эхилхэ
beginning	эхин
behalf	нэрэһээ
behave	аашалха
behavior	абари зан
behaviour	зан байдал
behind	хойно
being	ажаһуулга
belief	этигэл
believe	этигэхэ
belly	гэдэһэн
belong	тоодо оролсохо
beloved	инаг
below	доорохи
belt	бүһэ
bench	һандали
bend	нугалха
beneath	туһа
beneath	ашаг олзо
benefit	ашаг
benefits	аша
beside	гадна
besides	гадна
best	тон һайн
best of luck	томо амжалта
best regards	хүндэлһэн
better	дээрэ
between	хоорондо
beverage	ундаа
beyond	саана
Bhojpuri	Бһожпури
bias	таад гээд һанаһан
biased	шуналта
bicycle	самахад
bid	үнэ хэлэхэ
big	томо
bike	самахад
bill	тоосоо
bind	уяха
bird	шубуун
birthday	түрэһэн үдэр
bit	халта
bite	хазаха
bitter	гашуун
black	хара
blade	эри
blame	гэмнэхэ
blank	хооһон
blanket	хүнжэл
blast	тэһэрэлгэ
bleach	сагааруулха
blend	холихо
bless	юрөөлтэй
blessed	адислагдаһан
blind	һохор
bliss	юрөөл
block	хааха
blood	шуһан
bloom	сэсэглэхэ
blow	үлеэхэ
blue	хүхэ
blunt	тэнэг
board	хабтагай
boat	уһанай онгосо
body	бэе
boil	бусалгаха
bold	халзан
bond	холбоо
bone	яһан
book	ном
boost	дээшэлүүлэгдэхэ
booster	пуужин тээгшэ
boot	гутал
boots	гутал
border	хилэ
bore	үрэмдэхэ
bored	гуниглаһан
boring	уйдхартай
born	түрэһэн
borrow	урьһалха
boss	ноён
both	хоюулаа
bother	хашарааха
bottle	шэл
bottom	оёор
bought	худалдажа абаһан
bounce	дэбхэрхэ
bound	туйл
boundaries	хизаар
boundaries	заха
bow	дохилго
bowl	аяга
box	хайрсаг
boy	хүбүүн
boyfriend	нүхэр хүбүүн
bracelet	бугааг
brain	уураг тархи
branch	һалаа
brand	брэнд
brave	зоригтой
breach	эбдэлгэ
bread	хилээмэн
break	эбдэхэ
break	забһар
breakfast	үглөөнэй сай
breast	сээжэ
breast	үбсүүн
breast	хүхэн
breath	амисгал
breathe	амилха
breed	үүлтэр
brick	хирпиисэ
bride	хадамтай басаган
bridge	хүүргэ
brief	зуурын
bright	ялагар
brilliant	эрдэниин шулуун
bring	асарха
bro	ахай
broad	үргэн
broadcast	дамжуулха
broke	эбдэрхэй
broken	эбдэрһэн
broom	хамуур
brother	ахай
brother	дүү
brother in law	хадам аха
brother in law	хүр дүү
brought	асарһан
brown	хүрин
brush	хюуза
bucket	хүнэг
buddy	эжэл нүхэр
budget	оршо гаршын түсэб
bug	алдуу
bug	сохо
build	бодхоохо
building	байшан
built	байгуулһан
bulk	масса
bull	буха
bully	айлгаха
bump	сохилто
bunch	обоо
bundle	адха
bundle	баглаа
burden	ашаа
buried	булагдаһан
burn	шатааха
burst	тэһэрхэ
bury	булаха
Buryat	Буряад
bus	автобус
bush	бургааһан
business	олзын ажал
bust	сээжэ бэе
busy	сүлөөгүй
but	харин
butter	тоһон
butterfly	эрбээхэй
button	кнопко
button	шагта
buy	худалдажа абаха
by	хажуудань
by the way	гэхэ зуура
bye	баяртай
cabbage	капуста
cabbage	байцаа
cabinet	кабинет
cage	хаамжа
cake	торт
calf	тугал
call	залгаха
call me	нам руу залгаарай
called	гэһэн
calm	амар
came	ерэһэн
campaign	кампани
can	шадаха
can't	шадахагүй
Cancel	Болюулга
cancer	рак
capable	шадабаритай
capacity	багтаамжа
capital	ниислэл
caption	тодорхойлһон бэшэг
capture	адхан абаха
car	түмэр хүлэг
career	дэбжэлтэ
careful	болгоомжотой
carefully	болгоомжотойгоор
careless	һанаа амар
caring	һаналаа табиһан
carpenter	дархан
carpet	хибэс
carrot	луубан
carry	үргэжэ ябаха
carry on	үргэлжэлхэ
carry out	гаргаха
case	ушарал
cash	сэбэр мүнгэн
cash	гар дээрэхи мүнгэн
cash	бэлэн байгаа мүнгэн
cast	хаяха
castle	хэрэм
casual	үдэр бүриин
cat	миисгэй
catch	барижа абаха
category	категори
category	зэргэ
cattle	эбэртэ бодо мал
caught	баригдаха
cause	шалтагаан
caution	болгоомжотой байлга
cautious	болгоомжотой
cave	агы
cease	болихо
ceiling	дээбэри
celebrate	тэмдэглэхэ
cell	хаамжа
cell	клеткэ
center	түб
century	зуун жэл
cereal	залаата таряан
ceremony	ёһолол
certain	тодорхой
certainly	хэлсээнгүй
certificate	гэршэлгэ
chain	гэнжэ
chair	сандал
challenge	уряал
chance	боломжо
change	хубилалга
change	һэлгэлтэ
chaos	һамуурал
character	зан
characteristics	тодорхойлолго
charge	заряд хэхэ
charity	буянта хэрэг
charming	дура буляаһан
chart	диаграмма
chase	намнаха
chat	хөөрэлдөөн
cheap	үнэгүй
cheat	мэхэлхэ
cheating	мэхэлхэ
check	шалгаха
cheek	хасар
cheer	хүхеэхэ
cheerful	сэнгүү
cheerful	хүхюутэй
cheers	түлөө
cheese	биһалаг
chemistry	хими
cherish	эмээхэйрхэ
chess	шатар
chest	сээжэ
chew	жажалха
chicken	тахяа
chief	ноён
child	үхибүүн
childhood	бага наһан
children	үхибүүд
chill	амарха
chimneys	хоолой
chimneys	үрхэ
chin	үргэн
chocolate	шоколад
choice	һунгалта
choose	шэлэхэ
chop	хэршэхэ
chores	тухашаралга
chubby	булсагар
church	сүмэ
cinnamon	шансай
circle	түхэреэн
circle	цикл
circumstances	ушар байдал
citizen	эрхэтэн
city	хото
claim	эрихэ
clarify	тодорхойлхо
class	анги
clay	сабуу
clean	сэбэр
clear	сэбэр
clerk	клерк
clever	ухаантай
client	үйшэлэгшэ
cliff	хабсагай
climate	саг агаар
climb	абирха
clingy	халдадаг
clock	саг
close	хааха
closet	шкап
cloth	бүд
clothes	хубсаһан
cloud	үүлэн
cloudy	бүрхэг
clown	клоун
clue	сабуу
clumsy	босхи
cluster	кластер
coach	һоригшо
coal	нүрһэн
coast	үнэ сэнэ
coat	пальто
coffee	боргол
cognitive	ойлголгын
coincidence	тудалга
cold	хүйтэн
collapse	бутаралга
collar	заха
colleague	хамта ажал хэдэг хүн
colleagues	хамта ажалдаг хүнүүд
collect	түүхэ
collection	суглуулбари
college	мэргэжэлэй һургуули
color	үнгэ
colorless green ideas slept furiously	үнгэгүй ногоон һанаан унтаһан ехэ сухалтайгаар
colour	үнгэ
column	собоо
comb	һам
combination	тааралдал
combine	тааралдуулха
come	ерэхэ
come here	наашаа ерэ
come on	ерыш
comfort	таатай байдал
comfort	аятай байдал
comfortable	аятай зохид
coming	ерэнэ
coming soon	удангүй гараха
command	захирха
comment	коммент
commercial	худалдаанай
commission	комисси
commit	гаргаха
commitment	уялга
committed	үзэлөө алдадаггүй
commodity	бараа
common	хамтын
communicate	харилсаха
communication	харилсаан
community	бүлгэм
commute	хүрэхэ
companion	хани
company	хамтарал
compare	зэргэсүүлхэ
comparison	харилсуулга
compassion	энэрил
compassionate	энэрилсэлгэ
compatible	таарадаг
compete	зүршэлдэхэ
competent	һайн мэдэлгэтэй
competition	урилдаан
competitive	мэеэрхэлдэгшэ
complain	гомдохо
complaint	гомдол
complement	нэмэхэ
complete	дууһаха
completely	хүсэд
complex	комплекс
compliance	зүбшөөл
complicated	орёо
compliment	магтажа хэлэһэн үгэ
comply	гүйсэдхэхэ
composition	композици
compound	бүридүүлһэн
comprehension	ойлголто
comprehensive	хуу мэдэхэ
compromise	буулсан зүблэрэлгэ
compromise	компромисс
compulsory	баалалтын
computer	компьютер
concentrate	сугларха
concept	бодомжо
concern	һанаа зобори
concerned	һанаа зобоһон
concert	концерт наадан
conclusion	тобшолол
concrete	бетон
condition	нүхэсэл
conditions	нүхэсэл
conduct	ударидаха
conference	конференци
confess	сэхынь хэлэхэ
confess	мэдэрхэ
confidence	өөртөө этигэл
confident	найдамтай
confirm	баталха
conflict	зүришэл
confused	аягүйрхэһэн
confusion	худхарһан
congrats	баяр хүргэнэб
congratulation	баяр хүргэхэ
congratulations	амаршалга
conjunction	холболто
connect	холбогдохо
conquer	дайлан абаха
conscious	мэдэрлгын
consciousness	мэдэрэлгэ
consent	зүбшөөл
consequences	үрэ
conservation	хөөөрэлдөөн
conservative	хуушанай үзэлтэй
consider	обёорхо
considered	бодомжотой
consist	бүридэхэ
consistency	ходо боложо байлга
consistent	шууд сэхэ
constant	тогтобори
constantly	үргэлжэ
constipation	хоргооһондоо хаталга
construction	барилга
consume	хэрэглэхэ
consumption	хэрэглэмжэ
contact	холбоо барисаа байгуулха
contagious	халдабарита
contain	барижа байха
contain	бии байха
contains	байгуулдаг
contemporary	мүнөө үеын
contempt	шоо
content	гаршаг
contest	конкурс
contest	урилдаан
context	контекст
continent	тив
continue	үргэлжэхэ
contract	контракт
contrast	хоёр ондоо
contribute	туһа болохо
contribution	оруулалта
control	хиналга
controversial	арсалдаатай
convenience	таатай байлга
convenient	таатай
conversation	хөөрэлдөөн
convert	андалдаха
convey	дамжуулан үгэхэ
convince	үнэншүүлхэ
convinced	этигэлтэй
cook	шанаха
cooking	шанаха
cool	хүйтэн
cooperation	хамта ажал хэхэ
cope	тэсэжэ гараха
copper	зэд
core	уг
core	гол
corn	кукуруза
corner	булан
correct	заһаха
cost	үнэ
costume	хубсаһан
cottage	коттедж
cotton	хүбэн
couch	һоригшо
cough	ханяаха
could	шадаһан
council	зүблөөн
count	тоолохо
counter	алаабхи
country	орон
countryside	хүдөө
couple	хоёр
couple	пара
courage	зориг
course	шэглэл
court	шүүхэ
courtesy	хүндэшэ
cousin	үеэлэ
cover	гадар
cow	үхэр
coward	аймхай хүн
coward	зүрхэгүй хүн
cozy	зохид таатай
crab	далайн хабшаахай
crack	хахарха
craft	урлалга
crap	бааһан
crash	эбдэрхэ
crash	хухалха
craving	шунал
crawl	мүлхихэ
crazy	галзуу
create	зохёохо
creative	зохёон байгуулагша
credit	зээли
creep	туушагүй хүн
creepy	аймшагтай
creepy	зэбүүн
crew	экипаж
crime	гэмтэ хэрэг
cringe	зэдэгэнэхэ
crisis	хямарал
criteria	хэмжүүр
critical	шүүмжэлхы
criticism	шүүмжэлэл
crop	тайраха
crops	ургаса
cross	хүндэлэн гараха
crow	һүрэг
crowd	олон зон
crowd	олон хүнүүд
crowded	дүүрэшэһэн
crown	титэм
crucial	гол зүйл
cruel	хэрзэгы
cruise	круиз
crush	буталха
cry	орлихо
cry	бархирха
cry	уйлаха
cucumber	үгэрсы
cuddle	тэбэрилдэхэ
culture	соёл
cunning	мэхэ
cup	аяга
cupboard	эргэнэг
curb	хүбөө
cure	аргалха
curfew	хүлэ хориһон саг
curiosity	һонюуша зан
curious	һонюуша
curly	буржагар
currency	валюта
current	урадхал
current	мүнөө үеын
currently	мүнөөнэй
curse	хараал
curtain	хүшэгэ
cushion	дэрэ
custom	ёһо
customer	үйлэшэлэгшэ
customs	тамуужан
cut	отолхо
cute	хөөрхэн
cycle	цикл
cycling	самахаад унаха
dad	аба
daddy	аба
daily	үдэр бүриин
dairy	һүн бүтээл
dam	хаалта
damage	хохидол
damn	хараал
damp	шиигтэй
dance	хатар
danger	аюул
dangerous	аюултай
dark	харанхы
darling	хонгор
dash	һүрэлгэ
dash	харайлга
dash	хаяса
data	мэдээсэл
date	һара он
daughter	басаган
day	үдэр
dead	үхэһэн
deadline	һүүлшын саг
deaf	дулии
deal	хэлсээн
dear	хонгор
Dear All	Хүндэтэ Булта
Dear Customer	Хүндэтэ үйлэшэлэгшэ
Dear Parents	Хүндэтэ Эхэ Эсэгэ
Dear Sir	Хүндэтэ Ноён
Dear students	Хүндэтэ һурагшад
Dear Team	Хүндэтэ Хамта ажалшад
death	үхэл
debate	арсалдаха
debit	орошолго
debris	барилганай хаягдал
debt	үри
decade	арбан жэл
decay	үмхирхэ
decay	үжэхэ
deceased	наһа бараһан
deceive	мэхэлхэ
december	арбан хоёрдохи һара
decent	гуримтай
decide	шиидэхэ
decided	шиидэһэн
decision	шиидхэбэри
deck	палуба
decline	буруушааха
decrease	доошолуулха
dedicated	зорюулагдаһан
dedication	бэеэ үгэнги ябадал
deed	ааша
deed	ябадал
deep	гүнзэгы
deer	буга
deer	оро
default	үгы байдал
defeat	диилэхэ
defend	хамгаалха
define	тодорхойлхо
definitely	тодорхойгоор
definition	элирүүлгэ
degree	зэрэг
delay	удаарал
delayed	һүүшэлэгдэһэн
delete	абаха
delete	гаргаха
delete	зайлуулха
deliberate	зорюута
delicate	зулгы зантай
delicate	илдам
delicious	амтатай
delight	баясама
delighted	бахархаһан
deliver	хүргэлтэ
delivered	хүргэгдэһэн
delivery	хүргэлтэ
demand	нэхэхэ
demanding	нэхэһэн
demanding	эриһэн
democracy	арадшалал
demon	шүдхэр
demonstrate	харуулха
denied	зүбшөөрэгдөөгүй
density	нягтарал
dentist	шүдэнэй эмшэ
deny	арсаха
department	таһаг
departure	ябалга
depend	мэдэлдэ байха
deploy	дэлгээхэ
deposit	барюулга
depressed	уналтата
depression	обгүй бололго
depth	гүн
describe	бэшэжэ харуулха
description	найруулжа бэшэлгэ
desert	губи
desert	сүл
deserve	боложо шадаха
design	дизайн
designation	тэмдэглэлгэ
desire	хүсэл
desk	ажалай шэрээ
despair	сүхэрэл
desperate	сүхэрһэн
despite	болобошье
dessert	амтатай эдеэн
destination	хүрэхэ газар
destiny	хуби заяа
destroy	эбдэхэ
destruction	һандараалга
detail	жэжэ зүйл
details	тодорхой зүйл
detect	олохо
determination	шиидэбэри
determine	элирүүлхэ
determined	тодорхойлһон
devastated	занаһан
develop	хүгжөөхэ
developed	хүгжэһэн
development	хүгжөөлгэ
device	түхеэрэлгэ
devil	альбан шүдхэр
devoted	үнэн сэхэ
Dhivehi	Дһивеһи
diabetes	диабет
diarrhea	уруу һуулга
diary	тэмдэглэл
dictionary	толи
did	хээд
die	үхэхэ
died	наһа бараһан
died	үхэһэн
diet	танюуһатай эдеэн
difference	илгаа
difference	илгабари
different	ондо
difficult	хэсүү
dig	малтаха
dignity	нэрэ түрэ
diligent	хэшээлтэй
diligent	оролдосотой
dinner	үдэшын хоол
dip	шунгуулха
direct	сэхэ
direction	шэглэл
director	захирал
director	директор
director	эрхилэгшэ
dirt	шорой
dirty	муухай
disable	хорихо
disabled	дутамаг
disappear	үгы болохо
disappointed	урмаа хухарһан
disaster	аюул
disaster	гай
discard	арсаха
discharge	сүүлөөлэхэ
discipline	журам
discount	химдрал
discover	элирүүлхэ
discrimination	илган газаашалалга
discuss	хэлсэхэ
discussion	хэлэлсээн
disease	үбшэн
diseases	үбшэнүүд
disguise	ондоо дүрэ абалга
disgusting	жэрхэбтэр
dish	аяга табаг
dishes	аяга табаг
dismiss	гаргаха
dispatch	эльгээлгэ
display	үзүүлэхэ
disposal	сэбэрлэлгэ
dispute	арсалдаан
dispute	зарга
distance	зай
distinct	эли
distinguish	илгаруулха
distress	гай
distribution	хубаалга
district	аймаг
disturb	хашарааха
disturb	амар заяа үгэхэгүй
ditch	һубаг
dive	шунгаха
diverse	баялиг
diverse	элдэб
diversity	олон янза
divide	хубааха
divine	бурханай
divorce	һалалга
dizzy	толгой эргэнги
do	хэхэ
do you	ши бол
do you love me	ши намда дуратай гүш
doctor	эмшэ
document	баримта
does	хэдэг
dog	нохой
Dogri	Догри
doing	хэжэ байна
doll	хүүхэлдэй
doll	кукла
domain	домен
domestic	доторхи
domestic	тэжээмэл
dominant	булюу байлга
don't	бү
Don't worry	Бү һанаагаа зобогты
Don't worry	Бү һанаагаа зобо
donate	мүнгэ үгэхэ
done	бүтэһэн
done	хэгдэхэ
donkey	элжэгэм
dope	наркотик
double	дабхар
doubt	һэжэг
dough	талхан
down	доошоо
download	татаха
draft	харань
draft	хара
drag	шэрэхэ
drain	хатааха
drama	уршаг
drama	драма
draw	зураха
drawer	табюур
drawing	зураһан
dread	айдаһан
dream	һанал
dress	даашинз
drill	үрэмдэхэ
drink	ууха
drive	унаха
drop	унагааха
dropped	унгааһан
drought	ган
drunk	һогтуу
dry	хуурай
duck	нугаһан
dude	эжэл нүхэр
due	ёһото
due to	ушарһаа
dull	һонигүй
dumb	мохоо
dump	хаялга
duration	хугасаа
during	ябаса
dust	тооһон
duty	уялга
dwell	амидарха
dying	үхэхэ
each	бүри
each other	бэе бэеэ
eager	шуналтай
eagle	бүргэд
ear	шэхэн
earlier	урда тээ
early	эртэ
earn	хүдэлжэ олохо
ears	шэхэн
earth	дэлхэй
earthquake	газар хүдэлэлгэ
ease	эгээлэй шанар
easily	амараар
east	зүүн
easy	бэлэхэн
eat	эдихэ
eating	эдилгэ
economic	эдиин засагай
economy	ажахы
economy	ажахын байдалай тала
edge	хизаар
edge	заха
edit	заһабарилха
education	болбосорол
effect	үрэ
effective	ашатай
effective	эффективнэ
efficiency	үрэтэй байдал
efficient	ашагтай
effort	оролдолго
egg	үндэгэн
eggplant	хаш
ego	биб гэлгэ
ego	хара амяа харалга
eight	найман
eighteen	арбан найман
eighty	наян
either	али
either	гү
elaborate	элдэхэ
elbow	тохоног
elder	аха
elderly	наһатайшуул
elegant	аятай гоёор
element	элемент
elephant	заан
eleven	арбан нэгэн
eligible	тохиромжотой
eliminate	һалгаха
else	ондоо
embarrassed	аягүйрхэһэн
embarrassing	аягүйрхүүлэгдэһэн
embrace	хүлеэн абаха
emerge	тусхай байдал
emergency	онсо яаралтай
emotional	сэдьхэл хүдэлгэмэ
empathy	өөрыгөө ондо хүнүүдэй орондо табиха шадал
emphasis	сохилто
emphasize	тусгаар тэмдэглэх
employee	ажалшан
employees	ажалшад
employer	ажал үгэгшэ
employment	ажалтай байдал
empty	хооһон
enable	зүбшөөрхэхэ
encounter	ушарха
encourage	урмашуулха
end	эсэс
endangered	үгы болохо магадалтай
endeavor	оролдохо
endurance	тэсэбэри
endure	тэсэхэ
enemy	дайсан
energy	энерги
engage	татажа асарха
engage	хабаадалсуулха
engaged	хадамтай байха
engagement	хадамлалга
engine	хүдэлгүүр
engineer	инженер
English	Англи
enhance	һайжаруулга
enjoy	аяшаалга
enormous	асари томо
enough	яһала
ensure	найдуулха
enter	оруулха
enter	орохо
entertainment	һамааруулга
enthusiasm	эдирхэл
enthusiastic	эдирхэлтэй
entire	бүхэли
entitled	этигэмжэлэгдэһэн
entity	мүн шанар
entrance	орохо газар
entrepreneur	олзын эрхилэгшэ
envelope	дугтуй
environment	оршон байдал
envy	атаархаха
epic	үльгэр
epic	эпос
epidemic	тахал
equal	тэнсүү
equipment	багажа зэбсэг
equity	мүнгэн зөөри
equivalent	эквивалент
equivalent	тэнгүү юумэн
eraser	ластик
error	алдуу
escape	зугадалга
especially	илангаяа
essay	зохёолго
essence	мүн шанар
essential	шухала хэрэгтэй
establish	байгуулха
establish	табиха
established	байгуулагдаһан
estate	эд зөөри
estimate	сэгнэхэ
estimated	сэгнэгдэһэн
etc	гэхэ мэтэ
eternal	хизааргүй
ethics	этикэ
evaluate	сэгнэхэ
evaluation	тогтоолго
even	адлибтар
even though	тииһэншье һаа
evening	үдэшэ
event	ушар
eventually	эсэсэй эсэстэ
ever	хэзээдэ
every	бүри
everybody	бүхы хүнүүд
everyone	хүн бүхэн
everything	бүхы юумэн
evidence	баримталга
evil	муу юумэн
evolution	аажам хүгжэлтэ
evolve	хүгжэхэ
Ewe	Эвэ
ex	урдын
ex	агсан
exact	тон зүб
exactly	тон зүб
exam	шалгаха
examine	шалгалта
example	жэшээ
exceed	үлүү байха
excellent	эрхим һайн
except	гадна
exception	гадуур
excess	үлүүнь
excessive	үлүү гараһан
exchange	андалдалга
excited	зүрхэ хүдэлхэ
excitement	хүдэлэлгэ
excitement	хүрэлгэ
excitement	түрэлгэ
exciting	дура татаһан
exclusive	тусхай
exclusive	онсо
excuse	шалтагаантай
excuse me	уушалагты
execute	гүйсэдхэхэ
execute	бүтээхэ
execution	сааза
executive	гүйсэдхэхэ
exercise	даабари
exhaust	эсэхэ
exhausted	зобошоһон
exhibit	экспонат
exhibition	үзэсхэлэн
exist	ажа-амидарха
existence	ажаһуулга
existing	бии байһан
exit	гараса
expand	үргэдхэхэ
expect	хүлеэхэ
expected	хүлеэгдэһэн
expenses	гаргашалга
expensive	үнтэй
experience	туршалга
experiment	туршалга
expert	мэргэжэлтэн
expired	дууһаһан
explain	тайлбарилха
explanation	тайлбари
exploit	хэрэглэхэ
