kele	a
sekoya	asset
kisɛ	assets
ka baara di	assign
sekoyira	assignment
ka dɛmɛ don	assist
dɛmɛbaa	assistant
baarakɛɲɔgɔn	associate
korira ne ɲɔgɔn ye	associated
jɛnkulu	association
bisigi	assume
bisigiyali	assumption
na	at
fɛ	at
la	at
fɔ	at least
tun ye dumuni kɛ	ate
bolikɛla	athlete
ka siri	attach
sirila	attached
sirili	attachment
ben	attack
ɲafɛla	attack
tago	attempt
sifilɛ	attempt
kɔrɔbɔ	attempt
talikɛ	attend
tali kɛ	attend
senjɔli	attendance
kɔlɔsili	attention
jogo	attitude
kɛwali	attitude
lasamali	attract
weeleli	attraction
saramaya	attractive
ka ɲi	attribute
kititigɛ	audience
utikalo	august
baa	aunt
baa	aunty
tigitigi	authentic
halala	authentic
sɛbɛnikɛla	author
tigi	author
ɲamɔgɔya	authority
foonɛnɛmakɔnɔ	autumn
be sɔrɔ	available
be yen	available
fɛrɛ	available
cɛmancɛ	average
cɛ	average
kɛɲɛ	avoid
ka wuli	awake
kado	award
b'a dɔn	aware
hakililakunu	awareness
yɔrɔjan	away
kabako	awesome
cɛjugu	awful
ɲanango	awkward
tigɛlango	awkward
Ayimarakan	Aymara
denbilennin	baby
denɲɛnin	baby
kɔraden	baby
cɛgana	bachelor
kɔfɛ	back
lahalaya	background
sababu	background
jugu	bad
palan	bag
sakɔsi	bag
bɔrɔ	bag
nuku nuku	bait
ka wusu	bake
burudilanyɔrɔ	bakery
bikarbonaadi	baking soda
falen	balance
balɔn	ball
Bambarakan	Bambara
barada	banana
namasa	banana
bandi	band
tan	bang
waribon	bank
dɔrɔminyɔrɔ	bar
gwansan	barely
nɔgɔman	barely
tɛrɛmɛ	bargain
jirifara	bark
ɔrji	barley
bariyɛri	barrier
bazi	base
ka sinsin	based
djukoro yoro	basement
baju	basic
jubajula	basically
basili	basil
ɲamɔgɔden	bastard
kulu	batch
ka ko	bath
jikoyɛrɛ	bathroom
tabara	battery
batiri	battery
kɛlɛ	battle
loriye	bay
be	be
bi	be
i janto	be careful
kɔgɔjida	beach
ɛryɛɔn	beam
siyɔ	beans
ususi	bear
kurutigɛ	bear
bonbosi	beard
bi sɔminɛna	bearing
bɛgɛn	beast
gusi	beat
cɛɲi	beautiful
ɲɛna	beautiful
ɲi	beautiful
cɛɲɛ	beauty
kɛla	became
barisa	because
bari	because
sabu la	because
kè aye	become
dalan	bed
li	bed
siso	bedroom
liden	bee
misi sogo	beef
tun ye	been
biyɛri	beer
fɔlɔ fɔlɔ	before
daminɛna	began
daminɛ	begin
daminɛ	beginning
tɔgɔla	behalf
ka i jogo dɔn	behave
jogo	behavior
jogo	behaviour
kɔfɛ	behind
nimafɛn	being
danaya	belief
limaniya	believe
kɔnɔbara	belly
kɛ a dɔ ye	belong
ja nye mɔgɔ	beloved
duguman	below
sentiri	belt
ban	bench
ka gɔlɔn	bend
jukɔrɔ	beneath
jukɔrɔla	beneath
nafa	benefit
kuntɔnɔ	benefit
nafaw	benefits
gɛrɛfɛ	beside
kɛrɛfɛ	besides
dafɛ	besides
fisaman	best
i ni kunnadiya	best of luck
n b'i fora kosɔbɛ	best regards
fisama	better
fisa	better
cɛmancɛ	between
cɛ	between
minfɛnw	beverage
ka tɛmɛ	beyond
Bozpurikan	Bhojpuri
gasilako b'a ra	bias
min be ni gasilako ye	biased
nɛgɛso	bicycle
ka pariye	bid
belebeleba	big
ba	big
nɛgɛso	bike
fakitiri	bill
warifuru	bill
siri	bind
kɔnɔni	bird
kɔnɔn	bird
sanyɛlɛmasel	birthday
faan	bit
kungurun	bit
cin	bite
nunaman	bitter
finman	black
fin	black
muruda	blade
jalaki	blame
lankolon	blank
birifani	blanket
birinkan	blanket
ka foronto	blast
zawɛli ji	bleach
ka ɲagamin	blend
duba	bless
barikaman	blessed
fiyentɔ	blind
daamu	bliss
latɔn	block
kare	block
tɔn	block
joli	blood
ka filriɛri bɔ	bloom
fiyɛ	blow
kunɲa	blow
bulaman	blue
fariman	blunt
fari	blunt
pano	board
dubalenba	board
kurun	boat
jikankurun	boat
farigolo	body
ka bara bara	boil
ka wuli	boil
fari	bold
ka siri	bond
ka tugu	bond
kolo	bone
livuru	book
gafe	book
ka fara a kan	boost
ɲafɛtaga tigi	booster
ka faga ka mɛnɛ	boot
sanbarakanjan	boots
donitalan	boots
dansɛ	border
forazidingɛ	bore
ɲanafin	bored
ɲanafin	boring
bangera	born
juru ta	borrow
patɔrɔn	boss
baaratigi	boss
o fila bɛɛ	both
tɔɔrɔ	bother
buteli	bottle
duguma ta	bottom
sannan	bought
ka pan pan	bounce
sirila	bound
sirila ni ɲɔgɔn	bound
danfaraw	boundaries
wugu	bow
kala	bow
bɔli	bowl
buwati	box
dencɛ	boy
tericɛ	boyfriend
bololanɛgɛ	bracelet
kunsɛmɛ	brain
kunkolondɛgɛn	brain
bolofara	branch
yiribolo	branch
mariki	brand
jabɔbali	brave
farati	brave
ka kari	breach
buru	bread
pɛrɛn	break
kari	break
tigɛ	break
daraka	breakfast
siin	breast
dakasa	breath
fiɲɛ	breath
ninakili	breathe
mara	breed
tufa	brick
kɔɲɔmuso	bride
pɔɔn	bridge
babili	bridge
surun	brief
pelepele	bright
wɛlɛwɛlɛ	bright
briyan	brilliant
ka ɲɛ	brilliant
lana	bring
na ni.ye	bring
balimakɛ	bro
siyaman	broad
ganseli	broadcast
jɛsɛnli	broadcast
kari	broke
karila	broken
furalan	broom
faden	brother
woloɲɔgɔn	brother
balimancɛ	brother
burancɛ	brother in law
nana ni . ye	brought
bilen	brown
kunko	brush
palan	bucket
jɛɲɔgɔn	buddy
go	buddy
baarakɛnafolo	budget
dagabali	bug
dabi	bug
lɔ	build
soba	building
jɔlen	built
a bèè ladjèle	bulk
ntura	bull
jatigɛwalekɛla	bully
junkun	bump
caman	bunch
fɔrifɛ	bundle
kunnadoni	burden
su don	buried
tada	burn
jeni	burn
mana	burn
poyi	burst
ka sutura	bury
kaare	bus
kungo	bush
sannifeere	business
mako	business
jagobaara	business
suun	bust
magwan	busy
nga	but
jaa	but
naare	butter
nfirinfirinin	butterfly
butɔn	button
san	buy
ma	by
fɛ	by
o tuma na	by the way
k'an bɛn	bye
supompe	cabbage
kabine	cabinet
ka datugu	cage
gato	cake
misiden	calf
weele	call
ne wele	call me
tun weelela	called
dusufaga	calm
tun nana	came
kanpaɲi	campaign
be se	can
bi se	can
ti se	can't
te se	can't
weleku	Cancel
kansɛri	cancer
sebaga	capable
bi se	capable
see	capacity
faaba	capital
jamana faaba	capital
baarakɛnafolo	capital
minɛni	caption
ka minɛ	capture
vatiri	car
baara	career
bololandi	careful
janto	careful
nɛmɛnɛmɛ	carefully
hamibali	careless
hami	caring
jiridɛsɛ	carpenter
tapi	carpet
karɔti	carrot
ta	carry
ka kɛ	carry on
ka kɛ	carry out
ko	case
nafolomugu	cash
seri	cast
so belebele	castle
misɛnin	casual
jakuma	cat
mina	catch
suguya	category
misiw	cattle
bɛgɛn	cattle
minɛna	caught
dalilu	cause
bila	cause
jantoyɛrɛla	caution
jasigi	cautious
kuluwo	cave
ka dabila	cease
plafɔn	ceiling
ɲɛnɛgɛ	celebrate
selili	cell
santiri	center
sankɛmɛ	century
suman	cereal
ɲɛnajɛ	ceremony
dɔ	certain
hatɛ	certainly
dipilomu	certificate
jɔlɔkɔ	chain
sigilan	chair
sɛsi	chair
kankɔrɔbɔ	challenge
latigɛ	chance
kuntere	chance
bayɛlɛma	change
yɛlɛma	change
falen	change
fisafasa	chaos
sɛbɛden	character
jogo	character
kokɛla	character
kɛcogow	characteristics
nɔɔ minɛ	charge
sendonni	charge
jalaki	charge
sarakafɛn	charity
cɛɲi	charming
sɛbɛn	chart
gwɛn	chase
ka masala	chat
diman	cheap
ka namara	cheat
namarali	cheating
sɛgɛsɛgɛ	check
sɛki	check
dafuruku	cheek
i ni baara	cheer
nisɔndiya	cheerful
gintan	cheers
ɲagali	cheers
foromazi	cheese
furafeereyɔrɔ	chemistry
ka buruɛrɛ	cherish
damu	chess
disi	chest
ɲimi	chew
sisɛ	chicken
dugutigi	chief
kuntigi	chief
denmisɛn	child
denmisɛnya	childhood
demisɛnw	children
tɔn	chill
kɛnɛman	chill
suman	chill
sisibɔyɔrɔ	chimneys
dakun	chin
sokola	chocolate
sugandili	choice
sugandi	choose
ka ci	chop
diyagoyabaaraw	chores
dafrouba	chubby
alabatoso	church
eglisi	church
kanɛli	cinnamon
koori	circle
kooricinan	circle
sɛrɛkili	circle
lahalaya	circumstances
sababuw	circumstances
jamanaden	citizen
fasoden	citizen
duguba	city
ɲininga	claim
fɔ ka yira	clarify
kalanbonw	class
bɔgɔ	clay
pelepele	clean
saani	clean
pelepele	clear
pilantɔn	clerk
cegu	clever
sannikɛla	client
kulu	cliff
nɛɛmayafɛnw	climate
yɛlɛ	climb
nɔrɔnan	clingy
mɔnturu	clock
a tugu	close
alimɔri	closet
fini	cloth
faninw	clothes
fininw	clothes
kabanɔgɔ	cloud
kabafin	cloudy
naloma	clown
sosi	clown
ekuru	clue
ɲanango	clumsy
tigɛlango	clumsy
jɛkulu	cluster
degelikaramɔgɔ	coach
sarabon	coal
kɔgɔjida	coast
kasa	coat
kafe	coffee
kunkolola	cognitive
balinan	coincidence
nɛnɛ	cold
sumanin	cold
mura	cold
ben	collapse
kannankɔnɔ	collar
baaraɲɔgɔn	colleague
baarakɛɲɔgɔn	colleagues
dalajɛn	collect
cɛ	collect
farankan	collection
kalansoba	college
ɲɛ	color
miriya fiiman kölön'tan tun be ka sinögö fanga la	colorless green ideas slept furiously
kulɛri	colour
ɲɛ	colour
kɔnɔni	column
pɛɲi	comb
farali ɲɔgɔn kan	combination
ka faraɲɔgɔnkan	combine
n'nali	come
na yan	come here
surunya	come on
don	come on
lafia	comfort
dususalo	comfort
fɛrɛ	comfortable
nata	coming
sɔɔni	coming soon
ka kɔmande	command
ka kuma fɔ	comment
jagofɛn	commercial
ci	commission
layiru ta	commit
sarati	commit
maminɛli	commitment
layidu tara	committed
kalifara	committed
jagofɛn	commodity
foroba	common
kumaɲɔgɔnya	communicate
kunnafolidibaara	communication
kunnafonijɛnsɛ	communication
kumaɲɔgɔnya	communication
jamakulu	community
ka yɛlɛma	commute
taamaɲɔgɔn	companion
bila sira	company
sosiyete	company
suma	compare
sanga	compare
sangali	comparison
hinɛ	compassion
hinɛbagatɔ	compassionate
min bɛ bɛn ni ɲɔgɔn ye	compatible
ka ɲɔgɔndan	compete
faamuyanin	competent
ɲɔgɔndan	competition
ɲɔgɔndanli	competitive
makasi	complain
makasi	complaint
dafalan	complement
dafanin	complete
pewu	completely
kolokari	complex
kunbɛn	compliance
gwɛlɛya	complicated
tando	compliment
ka bɛn a ma	comply
kɛ fɛnw	composition
dukɛnɛ	compound
famuyali	comprehension
faamuyali	comprehensive
ladon	compromise
diyagoya	compulsory
ɔridinatɛri	computer
cɛsiri	concentrate
sen	concept
bɔ	concern
boli	concern
sogolala	concerned
kɔnsɛri	concert
kuma laban	conclusion
betɔn	concrete
koo yɛrɛyɛrɛ	concrete
waribiyako	condition
cogo	condition
bɛnkanw	conditions
ɲaminɛ	conduct
labolisira	conduct
cogo	conduct
lajɛba	conference
ka kɔnɔ fɔ	confess
gundo	confidence
lannatigiya	confident
lasinsin	confirm
kɛlɛ	conflict
maloya	confused
ɲaamili	confusion
i ni kunnadiya	congrats
foli bɛ kɛ	congratulation
i ni kunnadiya	congratulations
tando	congratulations
siratigɛ	conjunction
ka kɔnɛkite	connect
ka minɛni	conquer
kununa	conscious
laadirima	consciousness
jɛn	consent
mina	consent
kɔlɔlɔw	consequences
marali	conservation
maralikɛla	conservative
bonya	consider
bonyanan	considered
bɛ na	consist
fasaya	consistency
dafalen	consistent
basiginin	constant
kumabɛ	constantly
kɔnɔja	constipation
jɔli	construction
ka dun	consume
dumuni kɛ cogo	consumption
kɔntakti	contact
fiɲɛbana	contagious
ku	contain
ku	contains
bi ko	contemporary
ɲigi	contempt
ɲagali	content
kɔnɔnata	content
hakɛ	content
ka sɔsɔ	contest
hukumu	context
bangu	continent
taga ɲanfɛ	continue
sarati	contract
saratisɛbɛ	contract
cɛlatigɛ	contrast
tali kɛ	contribute
bolomara	contribution
ka jatemɛ	control
lagosilen	controversial
sagoma	convenience
kè	convenient
baaro	conversation
yɛlɛma	convert
yira	convey
lasɔn	convince
gwɛya	convinced
tobi	cook
tobiri kɛ	cook
bi tobiri kɛra	cooking
suma	cool
lasuma	cool
ɲɔgɔndɛmɛ	cooperation
tigɛdiɲɔgɔnma	cooperation
ka ku	cope
nɛgɛ	copper
dusu	core
kaba	corn
seleke	corner
jaati	correct
musakada	cost
sɔngɔ	cost
dreke	costume
so fitini	cottage
kɔɔri	cotton
tilebin fɛ	couch
dilan	couch
sɔgɔsɔgɔ	cough
tun be se	could
ɲɔgɔnye	council
ladilikɛla kɛkulu	council
jati	count
kɔntɛri	counter
jamana	country
kongon	countryside
burusi	countryside
filanin	couple
dusukun	courage
cɛya	courage
kalan	course
surun	court
ɲumanya	courtesy
kanimɛ	cousin
datugu	cover
datugunan	cover
misi	cow
misimuso	cow
fakari	coward
lafiyalen	cozy
turuto	crab
cida	crack
bololabaara	craft
ko kolon	crap
benni	crash
kɔngɔ	craving
fofo	crawl
kunkolotɔ	crazy
dan	create
fɛn kuraw lɔnbaga	creative
juru	credit
ka yɛlɛ	creep
bagabalifɛn	creepy
baaramɔgɔ jɛkulu	crew
sariyatiɲɛ	crime
grikokele	cringe
gɛlɛya	crisis
sariyasenw	criteria
wɛlɛman	critical
lagosili	criticism
sɛnɛ fɛnw	crop
bɔnsɔnw	crops
gwengeyiri	cross
kalanso	cross
ka kasi	crow
ɲugu	crowd
jama	crowd
ɲugu fanin	crowded
masafugula	crown
kunbaba	crucial
kunba	crucial
kojugu	cruel
bato	cruise
fokadigi	crush
bu	crush
nɔɔni	crush
kule	cry
kɔnkɔn	cucumber
saalo	cuddle
lɔnko	culture
seko ani lɔnko	culture
kegun	cunning
tasa	cup
aramɔri	cupboard
minanbilaminan	cupboard
ka kɛlɛ	curb
kɛnɛya	cure
lasiri	cure
kuwurufe	curfew
kiriyosite	curiosity
kosɛgɛsɛgɛla	curious
dayɛlɛnan	curly
wari	currency
bi tile	current
woyo	current
sisanwagati	currently
danga	curse
irido	curtain
kunkolodalan	cushion
landa	custom
sintin	custom
sannikɛla	customer
laada	customs
tigɛ	cut
lɛn	cut
dusumandi	cute
sikili	cycle
nigɛsoboli	cycling
facɛ	dad
baba	daddy
loon o loon	daily
nɔnɔmafɛn	dairy
barasi	dam
gasilako	damage
haramuya	damn
danga	damn
suma	damp
don	dance
farati	danger
jugu	dangerous
faratiman	dangerous
dibi	dark
diyanyebaga	darling
tiirinin	dash
kibaruyaw	data
tile	date
waati	date
denmuso	daughter
tile	day
lon	day
suu	dead
dan	deadline
tulogweren	deaf
mako	deal
balima	dear
N Balimaw	Dear All
N balima sannikɛla	Dear Customer
N bangebaw	Dear Parents
N balima cɛ	Dear Sir
N balima kalandebaw	Dear students
N balima jɛkulu mɔgɔ	Dear Team
saya	death
suu	death
sɔsɔli	debate
sarali	debit
ɲaman	debris
juru	debt
san tan	decade
toli	decay
banbaatɔ	deceased
ka janfa	deceive
sesanburukalo	december
wageyanin	decent
latigɛ	decide
tun latigɛra	decided
latigɛli	decision
pɔn	deck
ban	decline
dɔgɔya	decrease
jansara	dedicated
dedikasi	dedication
kɛwale	deed
dunman	deep
kolonin	deer
fili	default
ka dɛsɛ	defeat
ka lakana	defend
ɲafɔ	define
walayi	definitely
sifɔli	definition
dakun	degree
degere	degree
yakaro	delay
mɛ	delay
a mɛna	delayed
ka jɔsi	delete
ka lawili a kaman	deliberate
fiɲɛ	delicate
ɲanamisɛn	delicate
danwu	delicious
ka nisɔndiya	delight
diyara	delighted
ka di	deliver
jiginnin	delivered
jigili	delivery
bɔli	delivery
deli	demand
tilenninya	demanding
jamajɛnfanga	democracy
demokarasi	democracy
jina	demon
bilisi	demon
yira	demonstrate
a bana a ma	denied
hakɛ	density
ɲinfurakɛla	dentist
sɔsɔli kɛ	deny
depariteman	department
tagama	departure
kabɔ a la	depend
ka yɛrɛ kɛ	deploy
tɔnɔmala	deposit
jigitigɛlɛn	depressed
kunnabana	depression
dunya	depth
fɔ ka yira	describe
cogofɔ	describe
cogofɔli	description
cɛncɛnkongo	desert
ka kan ka	deserve
dan	design
welecogo	designation
kanuya	desire
nege	desire
biro	desk
jigintanya	despair
jigitanya	desperate
hali ni	despite
dumuni kɔfɛ dumunimisɛn	dessert
tagayɔrɔ	destination
dakan	destiny
ka halaki	destroy
cɛnni	destruction
kibaruya misɛn	detail
jago misɛn	detail
faranfasiyaliw	details
ka lasaa	detect
katiya	determination
pereperelatigɛ	determine
can	determined
halakira	devastated
lawɛrɛ	develop
yiriwa	develop
yiriwalen	developed
yiriwali	development
baarakɛbolifɛn	device
baarakɛfɛn	device
sitanɛ	devil
kariyalen	devoted
Divehikan	Dhivehi
sukarobana	diabetes
kɔnɔboli	diarrhea
jurunali	diary
daɲɛgafe	dictionary
tun kɛra	did
sa	die
salɔ	died
erezimu	diet
danfara	difference
man kan	different
ti kelen ye	different
ka jugu	difficult
ka gwɛlɛ	difficult
seen	dig
soni	dig
hɔɔrɔnya	dignity
ka fɛsɛfɛsɛ	diligent
sifana	dinner
ka su	dip
ka ɲɛminɛ	direct
kuntilenna	direction
kuntigi	director
nɔgɔ	dirt
manɔgɔ	dirty
nɔgɔnin	dirty
ka lajɔ	disable
se tan	disabled
tunu	disappear
jigitigɛbagatɔ	disappointed
balawu	disaster
ka fili	discard
ka jigin	discharge
kolo	discipline
tileninya	discipline
dajigi	discount
kɔrɔlɔn	discover
bɔ fɛnkura kan	discover
ɲɛnawoloma	discrimination
baaro	discuss
kumaɲɔgɔnya	discuss
jɛkafɔ	discussion
bana	disease
banaw	diseases
jangara	diseases
ka yɛrɛ masike	disguise
saratan	disgusting
daga	dish
asiɛti	dish
tasaw	dishes
dagaw	dishes
ka gɛn	dismiss
ka ci	dispatch
yirali	display
yira	display
ka bɔ i bolo	disposal
funufunu	dispute
janya	distance
faranfasiya	distinct
faranfasiya	distinguish
kamanagan	distress
tilanni	distribution
didili	distribution
arɔndiseman	district
kunnasiri	disturb
fose dingɛ	ditch
ka nɔn	dive
sugu tchaman	diverse
sugu caaman	diversity
ka tila	divide
ka sidɔn	divine
furusa	divorce
ɲanamini	dizzy
tiiri	dizzy
kɛ	do
wale	do
latigɛ	do
i bi	do you
i bi ne fɛ wa	do you love me
dɔgɔtɔrɔ	doctor
sɛbɛn	document
be.kɛra	does
ayi	doesn't
wulu	dog
Dogrikan	Dogri
kɛlra	doing
kɛla	doing
pupe	doll
donko	domain
sokɔnɔ.+noun	domestic
fangatigi	dominant
ka na kɛ	don't
Kana hami	Don't worry
ni	donate
di	donate
kɛra	done
tlara	done
sofali	donkey
dɔrɔgu ta	dope
siɲɛfila	double
sigasiga	doubt
ndoro	dough
duguma	down
ka telesarize	download
sɛbɛ	draft
ka ta ka bila	drag
sasa	drain
jii labɔ	drain
tiyatiri	drama
filaninben tiiri	draw
ci	draw
tiriwali	drawer
desɛn	drawing
siranya	dread
siko	dream
sugo	dream
fɛɛrɛbɔ	dress
dreke	dress
ka seni	drill
min	drink
minnifɛn	drink
boli	drive
toni	drop
ben	drop
bilara	dropped
tora	dropped
jaa	drought
minnen	drunk
jalan	dry
ja	dry
tɔnkɔnɔ	duck
cɛden	dude
joru	due
kama	due to
ɲanafin	dull
ja	dumb
nɔgɔyɔrɔ	dump
don hakɛ	duration
kɔnɔna	during
gwangwan	dust
buguri	dust
diyagoya	duty
ka sigi	dwell
satɔ	dying
Julakan	Dyula
kelen kelen	each
kelen kelen bɛɛ	each other
nata	eager
sigɛn	eagle
samatasɛgɛ	eagle
tulo	ear
joona	earlier
joona	early
tɔnɔ	earn
tulow	ears
dugukolo	earth
dugumakolo	earth
dugukoloyɛrɛyɛrɛ	earthquake
nɔgɔya	ease
nɔgɔman na	easily
kɔrɔn	east
nɔgɔ	easy
nɔgɔman	easy
dumuni kɛ	eat
dumuni	eating
sɔrɔsira	economic
sɔrɔ	economy
dakun	edge
da	edge
dawolo	edge
ka korize	edit
ladamuni	education
kalan	education
nɔɔ	effect
di	effective
duman	effective
nɔ kaɲi	efficiency
di	efficient
duman	efficient
dɛmɛdɛmɛ	effort
seko	effort
fan	egg
obɛrizini	eggplant
yɛrɛkanu	ego
segin	eight
tan ni seegi	eighteen
biseegi	eighty
walima	either
dansigi	elaborate
nɔnkɔnkuru	elbow
kɔrɔcɛ	elder
kɔrɔmuso	elder
mɔgɔkɔrɔbaw	elderly
buga	elegant
fɛn	element
sama	elephant
tannikelen	eleven
mɔgɔ min o be se k'a wote	eligible
ka bɔ	eliminate
tugu	else
maloyara	embarrassed
maloyako	embarrassing
mɔmɔ	embrace
ka poyi	emerge
ka yira	emerge
kɔrɔtɔ	emergency
nisɔdiya	emotional
hinɛ	empathy
magwan	emphasis
ka sinsin	emphasize
baaraden	employee
baarakɛdenw	employees
patɔrɔn	employer
baara	employment
lakolon	empty
min bi se	enable
kunbɛn	encounter
koɲumanlɔn	encourage
lafarinya	encourage
sinsin	encourage
a bana	end
bɛ faratila	endangered
cɛsiri	endeavor
ko kuli fanga	endurance
ka ku	endure
jugu	enemy
kisɛya	energy
maminɛ	engage
maminɛ	engaged
maminɛli	engagement
motɛri	engine
motɛrɛ	engine
ladilanbaga	engineer
angilɛkan	English
fara a kan	enhance
ɲanagwɛ	enjoy
belebeleba	enormous
wasa	enough
fɛrɛ	enough
fariya	ensure
don	enter
ɲɛnɛgɛ	entertainment
timinandiya	enthusiasm
diyadon	enthusiasm
jarabi	enthusiastic
bakuruma	entire
bɛɛ	entire
min tɔgɔ ye	entitled
yɔrɔ	entity
donda	entrance
sɔrɔbatigi	entrepreneur
jagokɛlaba	entrepreneur
anwulopu	envelope
sigiyɔrɔ n'a lamini	environment
nege	envy
poyi	epic
bama	epidemic
bi bɛn	equal
minanw	equipment
kelenya	equity
ɲɔgɔn	equivalent
jɔsilikɛlan	eraser
fili	error
