a	kĩ
agree	gwĩtĩkĩra
agreement	kĩrĩkanĩro
agriculture	ũrĩmi
ahead	mbere ya
aid	ũteithio
aim	muoroto
air	rĩera
airport	kĩhaaro kĩa ndege
aisle	gacira
alarm	thitima
alcohol	njohi
alert	kĩmenyithia
alive	arĩ muoyo
all	ciothe
all right	hatirĩ na thĩna
all the best	nĩ ndakwendithiria wega
allow	gwitikiria
allowed	gwĩtĩkirio
almost	hakuhĩ
alone	arĩ wiki
along	hamwe
already	o rĩu
Alright	Nĩguo
also	ningĩ
alternative	njĩra ĩngĩ
although	o na gũtuĩka
always	hingo ciothe
am	ndĩ
amazing	nĩ wa kumakania
ambiguous	gũtarĩ na ũiguano
ambition	mworoto
ambitious	kwĩrirĩria maũndũ manene
amend	gũcenjia
amid	gatagatĩ
among	harĩ
among us	gatagatĩ-inĩ gaitũ
amount	mũigana
amusing	kĩega
an	na
analysis	gũthuthuria
ancestors	aagu
anchor	nanga
ancient	cia tene
and	na
and you	na wee
angel	mũraika
anger	marakara
angle	angle
angry	kũrakara
animal	nyamũ
ankle	gathũng'wa
anniversary	mũthenya wa gũkunguira
announcement	kĩmenyithia
annoy	kũrakaria
annoyed	kũrakara
annoying	kũrakaria
annual	o mwaka
anonymous	mũndũ ũtoĩkaine
another	ũngĩ
answer	macokio
anticipate	kwirigirira
anxiety	mitangiko
anxious	kũigua guoya
any	kĩndũ o gĩothe
anymore	rĩngĩ
anyone	mũndũ o wothe
anything	kĩndũ o gĩothe
anyway	o na kũrĩ ũguo
anyways	o na kũrĩ ũguo
apart	tũtigane
apartment	nyũmba
apologize	kũhoya mũhera
apparent	ũrĩa wonekaga
apparently	no kũhoteke
appeal	gũcokia ciira
appear	wonekaga
appearance	muonekano
appeared	nĩ monekire
appetite	kũgĩa na wendi wa kũrĩa
apple	apũ
application	ũhũthĩri
apply	gũtũmĩra
appointment	gũthuurwo
appreciate	gũcokia ngatho
appreciation	gũcokia ngatho
approach	mwerekera
appropriate	ũrĩa wagĩrĩire
approval	gwĩtĩkĩrio
approve	gwĩtĩkĩria
approved	nĩ gwĩtĩkĩrĩkĩte
approximately	gwĩkuira ta
april	mweri wa kana
arbitrary	kũringana na wendi waku
architect	mũcori wa nyũmba
architecture	ũcori wa nyumba
archive	kuiga
are	nĩ
are you	hihi we nĩ
are you busy	hihi ũrĩ na wĩra
are you married	hihi nĩ ũhikanĩtie
are you married or single	hihi nĩ ũhikanĩtie kana ndũhikanĩtie
Are you still there?	Hihi ũrĩo ho
are you there	hihi ũrĩ kuo
area	ĩtuura
argue	gũkararania
argument	ngarari
arise	ũkira
arm	guoko
army	mbũtũ cia ita
around	kũrigicĩria
arrange	gũbanga
arrangement	mũbango
arrival	gũkinya
arrive	gũkinya
arrived	nĩ ndakinya
arrogant	mwĩgatho
arrow	mũguĩ
art	ũcori
article	gĩcunjĩ kiandike
artificial	cia kũũmbwo
artist	mũmbi
as	ta
as long as	nginya rĩrĩa
as well	o ta ũguo
as well as	hamwe na
ash	mũhu
ashamed	kũigua thoni
ask	ũria
asked	akĩũria
asleep	ee toro
aspect	maũndũ megĩĩ
Assamese	Assamese
assault	kũhinyĩrĩrio
assembly	kĩũngano
assertive	kũrũgamĩrĩra
assess	gũthima
assessment	kigeranio
asset	indo cia gũikara
assets	indo cia gũikara
assign	kũheana
assignment	wĩra
assist	gũteithĩrĩria
assistant	mũteithia
associate	mũruna
associated	hamwe
association	ngwatanĩro
assume	gwĩciriria
assumption	gũutua
at	harĩ
at least	o na hanini
ate	kũrĩa
athlete	mũteng'eri
attach	gwĩkĩra
attached	kũgwatanĩra
attachment	kunyitana
attack	gũtharĩkĩra
attempt	kũgeria
attend	gũceera
attendance	gũthiaga
attention	guthikiriria
attitude	mwerekera
attract	kũgucĩrĩria
attraction	kũgucĩrĩrio
attractive	kuguciriria
attribute	ngumo
audience	athikĩrĩria
august	mweri wa kanana
aunt	tata
aunty	tata
authentic	ma ma
author	mwandĩki
authority	wathani
autumn	mbura ya kimera
available	iria iri kuo
average	mũigana
avoid	gwĩthema
awake	gũũkĩra
award	kĩheo
aware	menya
awareness	ũmenyo
away	mathiĩ
awesome	wega mũno
awful	nĩ ũũru mũno
awkward	kĩriga
Aymara	Aymara
baby	mwana
bachelor	mwanake ũtahikanitie
back	thutha
back	mugongo
background	kuria umĩĩte
bad	ũũru
bag	mũhuko
bait	mũtego
bake	kũruga
bakery	riiko ria migate
baking soda	igata
balance	ũigananĩru
ball	mũbira
Bambara	Bambara
banana	mũnyũ
band	mũrĩnga
bang	mũgambo
bank	bengi
bar	kĩrabu
barely	o na hanini
bargain	kũiguithania
bark	gũkũga
barley	cairi
barrier	mũhĩnga
base	mũthingi
based	kũringana na
basement	nyũmba ya thĩ
basic	kĩhumo
basically	na njĩra nguhĩ
bastard	mũrogi ũyũ
batch	kĩoho
bath	gwĩthamba
bathroom	mbabu
battery	ihiga
battle	mbaara
bay	rũteere
be	gutuika
be careful	wĩhũgage
beach	rũteere-inĩ rwa iria
beam	cũma ya nyũmba
beans	mboco
bear	gukua
beard	nderu
bearing	kĩrũgamo
beast	nyamũ
beat	kũhũũra
beautiful	mũthaka
beauty	ũthaka
became	gũgĩtuĩka
because	tondũ
become	gũtuĩka
bed	ũrĩrĩ
bedroom	nyũmba ya toro
bee	njũkĩ
beef	nyama ya ng'ombe
been	gũkorwo
beer	njohi
before	mbere ĩyo
began	kwambirie
begin	kwambĩrĩria
beginning	kwambĩrĩria
behalf	handũ-inĩ ha
behave	gwĩka
behavior	mĩtugo
behaviour	mĩtugo
behind	thutha
being	gũkorũo
belief	wĩtĩkio
believe	gwĩtĩkia
belly	nda
belong	gũkorũo ndĩ wa
beloved	mwendwa wakwa
below	thii wa
belt	mũcibi
bench	gĩti
bend	kũinamĩrĩra
beneath	rungu
benefit	ũmithio
benefits	maumithio
beside	tiga
besides	o na kũrĩ ũguo
best	wega mũno
best of luck	nĩ ndakwendithiria munyaka
best regards	nĩ ndakwendithiria wega
better	wega
between	gatagatĩ
beverage	kĩndũ gĩa kũnyua
beyond	makĩria
Bhojpuri	Bhojpuri
bias	gũthutũkania
biased	gũthũtũkania
bicycle	maithikiri
bid	gũtuma ihoya
big	nene
bike	maithikiri
bill	marĩhi ma thiri
bill	watho
bind	kũnyitithania
bird	nyoni
birthday	mũthenya wa gũciarũo
bit	hanini
bite	kũrũma
bitter	kĩruru
black	kiiru
blade	rũhiũ
blame	gũcambia
blank	hatarĩ kĩndũ
blanket	mũrĩngĩti
blast	kũhuha
bleach	thabuni
blend	mũtukanio
bless	rathima
blessed	nĩ mũrathime
blind	mũndũ ũtonaga
bliss	ikenero
block	gĩria
blood	thakame
bloom	mahũa
blow	kũhuha
blue	rangi wa buruu
blunt	gĩtari kĩugĩ
board	kabati
boat	gatarũ
body	mwĩrĩ
boil	gũtherukia
bold	ucamba
bond	ũkuruhanu
bone	mahĩndĩ
book	ibuku
boost	kwongerereka
booster	wongereri
boot	kĩratu
boots	iraatũ
border	mũhaka
bore	kĩara
bored	kũnogio
boring	ũtareigwa
born	gũciarũo
borrow	kũhoya
boss	mũtongoria
both	cieri
bother	kwĩgiya
bottle	cuba
bottom	mũhuro
bought	kũgũrwo
bounce	kũgũa
bound	kũhingĩrio
boundaries	mĩhaka
bow	kũinamĩrĩra
bowl	mbakũri
box	ithandũkũ
boy	kahĩĩ
boyfriend	mũrata mwanake
bracelet	gĩcũhĩ
brain	hakiri
branch	rũhonge
brand	muthemba
brave	ucamba
breach	kũhĩtithia
bread	mũgate
break	kũhurũka
breakfast	irio cia rũcinĩ
breast	gĩthũri
breath	kũhuhia
breathe	kũhuhia
breed	mũthemba
brick	iturubarĩ
bride	mũhiki
bridge	ndaraca
brief	na njĩra nguhĩ
bright	ũtheri
brilliant	kĩega mũno
bring	rehe
bro	mũrata wakwa
broad	waramu
broadcast	kũmemerekia
broke	ĩgĩthũka
broken	kũunĩka
broom	kĩhato
brother	mũrũ wa maitũ
brother in law	mũrũ wa nyina
brought	kũrehwo
brown	rangi wa gĩtĩri
brush	gũkiinya
bucket	ndoo
buddy	mũrata wakwa
budget	mũbango wa uhuthiri wa mbeca
bug	kurakaria
build	gwaka
building	mwako
built	gwakwo
bulk	indo nyingĩ
bull	ndegwa
bully	mũremi
bump	mũgĩko
bunch	gĩkundi
bundle	itĩa
burden	mũrigo
buried	mathikĩtwo
burn	gũcina
burst	gũturika
bury	gũthika
bus	mbathi
bush	kĩhinga
business	biacara
bust	gũtũrikia
busy	kũgĩa na wĩra mũingĩ
but	no
butter	thiagĩ
butterfly	kĩhuruta
button	kĩbungo
buy	kũgũra
by	nĩ ũndũ
by the way	na njĩra ĩngĩ
bye	kuganira uhoro
cabbage	kabici
cabinet	kabati
cage	kĩaga
cake	keki
calf	gacau
call	gwita
call me	njĩta
called	gwĩĩtwo
calm	ũhoreru
came	nĩokire
campaign	kambĩini
can	no njike
can't	ndingĩhota
Cancel	Gukanja
cancer	mũrimũ wa kansa
capable	kũhota
capacity	ũhoti
capital	mbeca cia biashara
caption	rũthiomi rwandĩke
capture	kũgwatia
car	ngari
career	wĩra
careful	kwĩhũga
carefully	wĩhũgĩte
careless	kwaga kĩharĩro
caring	gũtungata
carpenter	mũturi wa indo cia mbao
carpet	mũgeka
carrot	karati
carry	gũkua
carry on	gũthiĩ na mbere
carry out	kũhingia
case	ciira
cash	mbeca
cast	kũmemerekia
castle	nyũmba nene ya mũthamaki
casual	njira ya kawaida
cat	kanyau
catch	gũtega
category	mũthemba
cattle	mahiũ
caught	kũnyiitwo
cause	gĩtũmi
caution	kwĩmenyerera
cautious	kwĩmenyerera
cave	ngurunga
cease	gũtiga
ceiling	mambarita
celebrate	gũkunguira
cell	njera
center	gatagatĩ
century	mĩiaka igana
cereal	mbegũ
ceremony	ũhiki
certain	ma biũ
certainly	hatarĩ nganja
certificate	marũa
chain	mũnyororo
chair	gĩtĩ
challenge	thitango
chance	mweke
change	gũcenjia
chaos	kĩrĩhĩngĩcĩka
character	mutugo
characteristics	ngumo
charge	kũrihia
charity	ũtugi
charming	nĩ arĩ wendo
chart	mũcoro
chase	gũteng'eria
chat	gutereta
cheap	raithi
cheat	kũheenia
cheating	kũhenania
check	guthima
cheek	ikai
cheer	gũcanjamũka
cheerful	na gĩkeno
cheers	gukenererwo
cheese	ngarĩki
chemistry	kemia
cherish	gũtĩa
chess	mũthako wa chess
chest	gĩthũri
chew	gũtanuka
chicken	ngũkũ
chief	cibũ
child	mwana
childhood	wana-inĩ
children	ciana
chill	kũhurũka
chimneys	irima rĩa kurutĩra ndogo
chin	rũthĩa
chocolate	chocolate
choice	gũthuura
choose	gũthuura
chop	gũtinia
chores	mawĩra ma mũciĩ
chubby	mũnoru
church	kanitha
cinnamon	mũndarathini
circle	gĩthiũrurĩ
circumstances	maũndũ
citizen	raiya
city	taũni
claim	thitango
clarify	gũtaarĩria
class	kĩrathi
clay	rĩũmba
clean	gĩtheru
clear	gĩtheru
clerk	mwandĩki
clever	mũndũ mũũgĩ
client	mũgũri
cliff	kĩharũrũka
climate	rĩera
climb	kwambata
clingy	kũnyiitanĩra
clock	thaa
close	hakuhĩ
closet	ndiro ya guikia nguo
cloth	nguo
clothes	nguo
cloud	itu
cloudy	kĩruru
clown	mũthekania
clue	kĩonereria
clumsy	mũru
cluster	itĩa
coach	mũrutani
coach	ngaari ya gũkuua andũ
coal	mahiga
coast	gĩcũa-inĩ
coat	igoti
coffee	kahũa
cognitive	ũmenyo
coincidence	kũhĩtanĩra
cold	heho
collapse	kũmomoka
collar	kara
colleague	mũrata wakwa
colleagues	mũruna wakwa
collect	kũrogota
collection	gũcokia
college	cukuru
color	rangi
colorless green ideas slept furiously	meciria matarĩ na rangi wa kĩruru nĩ ciakomete na marakara
colour	rangi
column	mũhari
comb	gĩcanuri
combination	mũtukanio
combine	gũtukania
come	uka
come here	ũka haha
come on	uka rĩu
comfort	kũũmĩrĩria
comfortable	kũiganĩra
coming	nĩ gũũka
coming soon	nĩtũgũka ica ikũhĩ
command	gwatha
comment	gweta
commercial	biacara
commission	kamĩtĩ
commit	kwĩrũtĩra
commitment	wirutiri
committed	kwĩrutĩra
commodity	kindu
common	kawaida
communicate	kwaranĩria
communication	kwaranĩria
community	andũ a itũũra
commute	gũthiĩ wĩra
companion	mũrata
company	kambuni
compare	kũringithania
comparison	kũringithania
compassion	tha
compassionate	kũiguanĩra tha
compatible	kũhutania
compete	gũcindana
competent	ũrĩa ũrĩ na ũhoti mũkinyaniru
competition	macindano
competitive	ũhoti wa gũtooria
complain	gũteta
complaint	thitango
complaint	mateta
complement	kũgathiriria
complete	gĩkinyanĩru
completely	biũ
complex	mũritu
compliance	kũrũmĩrĩra
complicated	nĩ mũritũ
compliment	kũgathĩrĩria
comply	kũrũmĩrĩra
composition	gũthodeka
compound	thome
comprehension	ũtaũku
comprehensive	gĩothe
compromise	kũuna watho
compulsory	no nginya
computer	kompiuta
concentrate	kũiga meciria
concept	rĩciria
concern	gũtangĩka
concerned	ũrĩa ũrarũmbũiyo
concert	kĩgomano
conclusion	mũico
concrete	koroga
condition	mũikarĩre
conditions	maũndũ
conduct	twarithia
conference	mũcemanio
confess	kũmbũra
confidence	kwĩhoka
confident	kwĩhoka
confirm	nĩ ngũmwĩra
conflict	ngarari
confused	kũhĩngĩcĩka
confusion	gũtukanĩirũo
congrats	nĩ ndagukenerera
congratulation	ngatho
congratulations	nĩndakugathiriria
conjunction	kũgwatanĩra
connect	kũhutania
conquer	gũtooria
conscious	ũmenyo
consciousness	ũmenyo
consent	gwĩtĩkĩria
consequences	moimĩrĩro
conservation	ũgitĩri
conservative	mũrũngarũ
consider	ta wĩcirie
considered	kwarĩrĩria
consist	nĩ hamwe na
consistency	kũrũmanĩrĩra
consistent	kũrũmanĩrĩra
constant	kaingi
constantly	hingo ciothe
constipation	kũmĩrwo nĩ kĩoro
construction	gwaka
consume	kũniina
consumption	kũrĩa
contact	kwaranĩria
contagious	ũgwatania
contain	ĩrĩ na
contains	ĩkoragwo na
contemporary	cia mahinda maya
contempt	kũnyarara
content	indo iria irĩ thĩinĩ
contest	macindano
context	ũhoro ũrĩa ũrĩ thĩinĩ
continent	gĩtaru
continue	thiĩ na mbere
contract	kugwatia
contrast	ngũrani
contribute	gucanga
contribution	mucango
control	kũrũnga
controversial	kũritũ
convenience	wagĩrĩru
convenient	kwagirira
conversation	gũteereta
convert	kũgarũra
convey	gũkua
convince	kũiguithia
convinced	gwitikaniria
cook	kũruga
cooking	kũruga
cool	wega
cooperation	ũiguano
cope	kũhiũrania
copper	gĩcango
core	bata
corn	mbegũ
corner	ituri
correct	ũrĩa kwagĩrĩire
cost	thogora
costume	matonyo
cottage	mũciĩ mũnene
cotton	katoni
couch	gĩtĩ
cough	gukorora
could	no kũhoteke
council	kanjũ
count	gũtara
counter	kabati
counter	gũcokeria
country	bũrũri
countryside	gĩcagi
couple	mũthuri na mũtumia
courage	ũmĩrĩru
course	mathomo
court	igooti
courtesy	ũtugi
cousin	mũihwa
cover	kuhumbira
cow	ng'ombe
coward	kiguoya
cozy	gũcanjamũka
crab	Kĩrwere
crack	gwatũra
craft	ngaari cia ita
crap	hũra rũhĩ
crash	kũguthana
craving	kũgĩa na merirĩria
crawl	gũkuruma
crazy	muguruki
create	kũũmba
creative	ũũmbi
credit	thiirĩ
creep	gũtamba
creepy	kĩrumi
crew	aruti a wira
crime	wĩki-naĩ
cringe	guconoka
crisis	thĩna
criteria	mĩtaratara
critical	mũritũ
criticism	gũtetia
crop	mũmera
crops	mĩmera
cross	kũhĩtũka
crow	kĩgogo
crowd	kĩrĩndĩ
crowded	andũ aingĩ
crown	thũmbĩ
crucial	undu wa bata
cruel	kĩnyararo
cruise	rũgendo-inĩ
crush	kũhũũra
cry	kũĩrĩra
cucumber	rũkiri
cuddle	kũnyitana
culture	unduire
cunning	ũhinga
cup	gĩkombe
cupboard	kabati
curb	kũrigĩrĩria
cure	kũhonia
curfew	mũhingo
curiosity	kwenda kumenya
curious	kwenda kũmenya
curly	gũkunja
currency	mbeca
current	kia riu
current	huho
currently	rĩu
curse	kĩrumi
curtain	gitambaya
cushion	muuto
custom	mũtugo
customer	mũguri
customs	thogora wa thĩ
cut	gũtinia
cute	githaka
cycle	mũthiũrũrũko
cycling	gũtwarithia maithikiri
dad	ithe witũ
daddy	baba
daily	o mũthenya
dairy	iria
dam	gĩthima
damage	guthukia
damn	kũmaka
damp	gũtee
dance	gũthũngũtha
danger	ũgwati
dangerous	ũgwati
dark	nduma
darling	mwendwa wakwa
dash	kũhagũrania
data	ũhoro
date	mũthenya
daughter	mwarĩ
day	mũthenya
dead	akuĩte
deadline	ihinda rĩrĩa rĩagĩrĩire
deaf	gĩtaigua
deal	kũiguithania
dear	mwendwa
Dear All	Arata akwa othe
Dear Customer	Mũguri Mwendwa
Dear Parents	Aciari Endwa
Dear Sir	Mũthuri mwende
Dear students	Arutwo akwa endwa
Dear Team	Gĩkundi nyendete
death	gĩkuũ
debate	ndeereti
debit	gũkuua
debris	gĩko
debt	thiirĩ
decade	mĩaka ikũmi
decay	gũbutha
deceased	mũkuũ
deceive	kũheenia
december	weri wa ikumi na irĩ
decent	mwega
decide	gũtua itua
decided	gũtua itua
decision	itua
deck	thĩ wa meri
decline	gutiga
decrease	kũnyiha
dedicated	kwĩrutĩra
dedication	kwĩrutira
deed	gĩiko
deep	kũrika
deer	thwariga
default	gĩthimi
defeat	gũtoorio
defend	kũgitĩra
define	gũtaarĩria
definitely	hatarĩ nganja
definition	gũtaarĩria
degree	digirii
delay	guikaria
delayed	gũikario
delete	gũtharia
deliberate	akĩmenyega
delicate	kĩngĩkua ihenya
delicious	cama muno
delight	gĩkeno
delighted	nĩ ndakena mũno
deliver	gũtwara
delivered	kũrutwo
delivery	mũtaratara wa gũtuma mĩrigo
demand	mabataro
demanding	kũbatarania
democracy	demokrasia
demon	ndaimono
demonstrate	kuonania
denied	kũregwo
density	ũingĩ
dentist	ndagĩtarĩ wa magego
deny	kũregana
department	rũhonge
departure	gũthiĩ
depend	kũringana
deploy	gũtũma
deposit	mbeca cia kũigĩrĩra
depressed	gũkorwo na meciria
depression	gũkua ngoro
depth	ũriku
describe	gũtaarĩria
description	gũtariria
desert	werũ-inĩ
deserve	nĩ njagĩrĩirwo
design	ũumbi
designation	gũthuurwo
desire	merirĩria
desk	metha
despair	gũkua ngoro
desperate	gũkua ngoro
despite	o na gũtuĩka
dessert	kĩndũ gĩa kũria thutha wa irio
destination	kũrĩa ũrathiĩ
destiny	mũtũũrĩre
destroy	kũiganu
destruction	kũniinwo
detail	ũhoro mũingĩ
details	ũhoro makĩria
detect	kũhithuria
determination	gũtua itua
determine	gũtuĩra
determined	gũtuĩrũo
devastated	ndĩ na ihooru
develop	gũkũria
developed	gĩthondekagwo
development	ũthii wa na mbere
device	kĩndũ
devil	mũcukani
devoted	kwĩrutĩra
Dhivehi	Dhivehi
diabetes	mũrimũ wa cukari
diarrhea	kũhara
diary	ibuku ria mibango
dictionary	dictionary
did	nĩ ekire
die	gũkua
died	akuĩte
diet	irio
difference	ngũrani
different	ngũrani
difficult	kĩritũ
dig	kũrĩma
dignity	gĩtĩo
diligent	kwĩrutanĩria
dinner	irio cia hwaĩ-inĩ
dip	kũrikia
direct	ĩmwe kwa ĩmwe
direction	ũtongoria
director	mũtongoria
dirt	gĩiko
dirty	gĩko
disable	kũremwo
disabled	mũndũ ũtarĩ na ũhoti
disappear	kũura
disappointed	nĩ ndaiguire ũũru mũno
disaster	gĩcanjama
discard	gũtee
discharge	kũrekererio
discipline	kũrũngwo mutugo
discount	thogora mutinie
discover	gũcaria
discover	kũmenya
discrimination	mũthutũkanio
discuss	kwaranĩria
discussion	mĩario
disease	mũrimũ
diseases	mĩrimũ
disguise	kwĩhitha
disgusting	kiuru
dish	mbakuri
dishes	thani
dismiss	kũrekererio
dispatch	gũtwarithia
display	wonnania
disposal	gũtee
dispute	ngarari
distance	ũraihu
distinct	ngũrani
distinguish	gũkũũrana
distress	mĩnyamaro.
distribution	gũtheremia
district	gĩcigo
disturb	kũgiya
ditch	mũtaro
dive	kũrika
diverse	mĩthemba mĩingĩ
diversity	ũtiganu
divide	kũgayania
divine	ungai
divorce	ndigano
dizzy	thiurura
do	gwĩka
do you	hihi wee
do you love me	hihi nĩ ũnyendete
doctor	ndagĩtarĩ
document	marũa
does	nĩ ĩrutaga
doesn't	ti ũguo
dog	ngui
Dogri	Dogri
doing	gwĩka
doll	ndori
domain	ng’ongo
domestic	indo cia mũcii
dominant	kũingĩha
don't	ndũkareke
Don't worry	Ndũkamake
donate	kũheana
done	gutiriha
donkey	ndigiri
dope	ndawa cia kũrebia
double	maita merĩ
doubt	nganja
dough	mũtu
down	thĩ
download	gũthikũra
draft	riandikithia
draft	gũcora
drag	gũkururia
drain	guitirira
drama	mũthako wa ngerekano
draw	gũcora
drawer	kabati
drawing	mũcoro
dread	guoya
dream	kĩroto
dress	nguo
drill	kwenja
drink	kũnyua
drive	gũtwarithia
drop	kũgũithia
dropped	kũgũithio
drought	ng'aragu
drunk	kũnyua
dry	kĩumũ
duck	mbata
dude	mũndu ũyũ
due	nĩ ũndũ
due to	nĩ ũndũ wa
dull	mukigu
dumb	kĩrimũ
dump	gutee
duration	ihinda rĩayo
during	hĩndĩ ya
dust	rũkũngũ
duty	wuigiririki
dwell	gũikara
dying	gũkua
each	o kindu
each	o mũndũ
each other	mũndũ na ũrĩa ũngĩ
eager	na wetereri
eagle	nderi
ear	gũtũ
earlier	mbere ĩyo
early	tene mũno
earn	gũthukuma
ears	matũ
earth	thĩ
earthquake	gĩthingithia
ease	ũhũthũ
easily	ũhũthũ
east	mwena wa irathĩro
easy	muhuthu
eat	kũrĩa
eating	kũrĩa
economic	ũtonga
economy	ũtonga
edge	muthiya
edit	wandĩki
education	gĩthomo
effect	moimĩrĩra
effective	ũmithio
efficiency	ũmithio
efficient	kũruta wĩra wega
effort	kĩyo
egg	itũmbĩ
eggplant	mbiriganya
ego	kwĩyenda
eight	inyanya
eighteen	ikũmi na inyanya
eighty	mĩrongo ĩnana
either	o na kana
elaborate	gũtariria
elbow	kĩgokora
elder	mũthuri wa kĩũngano
elder	mũndũ mũkũrũ
elderly	andũ akũrũ
elegant	gĩthaka
element	gĩcunjĩ
elephant	njogu
eleven	ikũmi na ĩmwe
eligible	kũhoteka
eliminate	kũniina
else	mangĩ
embarrassed	kũigua thoni
embarrassing	kũigua thoni
embrace	kũhĩmbĩria
emerge	kũmĩra
emergency	hĩndĩ ya ũgwati
emotional	ngoro-inĩ
empathy	ũiguaniri tha
emphasis	gũkinyiriria
emphasize	gũkinyiriria
employee	mwandikwo
employees	mwandĩkwo
employer	mwandikani
employment	kwandikwo
empty	gũtari kindu
enable	kũhotithia
encounter	gũcemania
encourage	kuumiriria
end	mũthia
endangered	irĩ ũgwati-inĩ
endeavor	kũgeria
endurance	ũkirĩrĩria
endure	gũkirĩrĩria
enemy	thũ
energy	hinya
engage	kũingĩra
engaged	kũhikania
engagement	kũhikania
engine	injinĩ
engineer	injinia
English	Gĩthũngũ
enhance	gwĩkĩra hinya
enjoy	gũkenera
enormous	nĩ mũnene mũno
enough	Njiganu
ensure	gũtigĩrĩra
enter	ingĩra
entertainment	maũndũ ma gwĩkenia
enthusiasm	ũcamba
enthusiastic	na kĩyo
entire	gĩothe
entitled	wagĩrĩirũo
entity	rũhonge
entrance	kuingĩrĩra
entrepreneur	mũbiacara
envelope	mbahaca
environment	ithaka
envy	ũiru
epic	rũgano rũnene
epidemic	kĩngũki
equal	ĩiganaine
equipment	indo cia gwĩkĩra
equity	ũigananu
equivalent	kũiganana
eraser	kĩndu gia gutharia
error	mahĩtia
escape	kũũra
especially	makĩria
essay	ũhoro mwandĩke
essence	ũrĩa atariĩ
essential	bata mũno
establish	kwambiriria
established	gwakwo
estate	nyũmba
estimate	kugeragĩria
estimated	kũgerekania
etc	na mangĩ maingĩ
eternal	tene na tene
ethics	mĩtugo
evaluate	gũthima
evaluation	gũthuthuria
even	nginya
even though	o na gũtuĩka
evening	hwaĩ-inĩ
event	iruga
eventually	thutha-inĩ
ever	hĩndĩ ciothe
every	o mũndũ
everybody	andũ othe
everyone	andũ othe
everything	maũndũ mothe
evidence	ũira
evil	ũũru
evolution	ũgarũrũku
evolve	gũcenjia
Ewe	Ewe
ex	mwendwa wa tene
exact	ihaanaine
exactly	ũguo noguo
exam	kĩgerio
examine	gũthuthuria
example	ngerekano
exceed	gũkĩra
excellent	wega mũno
except	tiga o
exception	ũgarũrũku
excess	nyingĩ mũno
excessive	mũkiru
exchange	gũcenjia
excited	ndakenete
excitement	gũcanjamũka
exciting	kĩega
exclusive	kĩene
excuse	mũhera
excuse me	ndakuhoya unjitikirie
execute	kũhingia
execution	kũraga mwohwo
executive	mũtongoria
exercise	gwika mazoezi
exhaust	kũnina
exhausted	kũnogio
exhibit	ũira
exhibition	monanio
exist	nĩ kũrĩ
existence	gũtũũra
existing	iria irĩ kuo
exit	kuuma
expand	kwararama
expect	twĩrĩgĩrĩire
expected	ũrĩa werĩgĩrĩirũo
expenses	mahuthiro
expensive	thogora wa goro
experience	ũmenyeru
experiment	kĩgeranio
expert	mũtaaramu
expired	rĩgathira
explain	taarĩria
explanation	gutarĩrio
exploit	kũhũthĩra ũũru
explore	gũtuiria
export	gũtwara indo njaa wa bururi
expose	kũhithũria
exposed	kũonanio
exposure	kuonania
express	kũonania
expression	ciugo
extend	kwaramia
