abandoned	jaytanukuta
bump	q'ipi
bunch	rasimu
bundle	pakiti
burden	q'ipi
buried	imantata
burn	phichhaña
burst	phallawi
bury	imaña
bush	tunurara
business	alakipa
bus	k'añasku
bust	pachacha
busy	jan pachani
butterfly	pilpintu
butter	lik'i
button	wutuna
but	ukampinsa
buy	alaña
bye	jan mayampitaki
by the way	uknama
by	ukata
cabbage	ripullu
cabinet	arkirinakapa
cage	uyu
cake	muxsa t'ant'a
calf	wakaqallu
called	jawsäna
call	jawsaña
call me	jawsanita
calm	k'achata
came	winu
campaign	kamapaña
Cancel	Kansilaña
cancer	kansira
can	ch'ama
can't	janiw atkti
capable	kapasa
capacity	ch'amani
capital	kapitala
caption	jisk'a piqinchawi
capture	apsuña
career	thakhi
careful	amuyasiri
carefully	amuyumpi
careless	maysarnukuta
caring	munasiri
car	k'añasku
carpenter	k'ullu khithu
carpet	jant'aku
carrot	sanawrya
carry	apaña
carry on	sarantaña
carry out	wakichaña
case	kasu
cash	qullqi
cast	ilinku
castle	jisk'a utanaka
casual	kawsala
catch	katjaña
category	kasta
cat	phisi
cattle	waka uywa
caught	katjata
cause	ukxata
caution	amuyasiña
cautious	imt'asiriña
cave	p'iya
cease	phuqhaña
ceiling	utapatxa
celebrate	amtaña
cell	silula
center	chika
century	tunka mara
cereal	siryala
ceremony	sirimunya
certain	amtata
certainly	ukhampuni
certificate	sirtiphikaru
chain	karina
chair	qunuña
challenge	yant'asiwi
chance	utjaskipana
change	mayjt'ayaña
chaos	jan wali
characteristics	uñanchawinakapa
character	jaqi
charge	apxaruña
charity	mayjasiwi
charming	chinkatiri
chart	jamuqa
chase	arkanaqaña
chat	aruskipa
cheap	juk'a chanini
cheating	murump puriyiri
cheat	sallqxaña
check	uñjaña
cheek	ajanu
cheerful	kusisita
cheer	kusisita
cheers	k'umar jakañxata
cheese	kisu
chemistry	kimika
cherish	munaña
chess	ajitrisa
chest	turax
chew	khisthuña
chicken	wallpa
chief	k'uk'u
childhood	wawasa
children	wawanaka
child	wawa
chill	thaya
chimneys	chiminiyanaka
chin	ankha
chocolate	chukulati
choice	chhijllawi
choose	ajlliña
chop	khuchhuña
chores	lurasirinaka
chubby	rijurtiti
church	ilisya
cinnamon	kanila
circle	muruq'u
circumstances	sirkumstansya
citizen	markachiri
city	jach'a marka
claim	mayiña
clarify	qhananchaña
class	klasi
clay	k'ink'u
clean	q'uma
clear	qhana
clerk	iphisinankiri
clever	ch'ikhi
client	junt'u
cliff	manqha
climate	pacha
climb	wayllunk'uña
clingy	lip'katiri
clock	riluju
close	jist'antaña
closet	armaryu
clothes	isi
cloth	pañu
cloud	qinaya
cloudy	qinaya
clown	thijwa
clue	wakiskiri
clumsy	ipi
cluster	tama
coach	yatintiri
coal	qhilla
coast	thiya
coat	awriju
coffee	kaphiya
cognitive	p'iqit yatiri
coincidence	kikipaña
cold	thaya
collapse	phuqharaña
collar	kunka
colleague	masi
colleagues	masinaka
collect	apthapiña
collection	apthapiwi
college	masi
colorless green ideas slept furiously	ch'uxña amuyunakax jasakiw ikipxanxa
color	sami
colour	sami
column	siqi
combination	waysuyaña
combine	waysuyaña
comb	piyni
come here	jutam akharu
come	jutaña
come on	sarañani
comfortable	maynitakjama
comfort	maynitakjama
coming	jutïri
coming soon	jutirina
command	supaya
comment	amuyu
commercial	qhathu
commission	khita
commitment	kumprimisu
commit	phuqhawsaña
committed	phuqhawsaña
commodity	achu
common	utjapuniri
communicate	yatiyaña
communication	yatiyawi
community	ayllu
commute	ch'iqitataña
companion	masi
company	kumpañiya
compare	alaña
comparison	kikipayaña
compassionate	llamp'u chuyma
compassion	sintisiri
compatible	kikipt'iri
compete	atipasiña
competent	atipt'asiñatajama
competition	atipt'asiwi
competitive	atipasiwi
complain	kijasiña
complaint	kija
complement	phuqhachaña
completely	phuqhachata
complete	taqpacha
complex	ch'ama
compliance	phuqhawi
complicated	ch'ama
compliment	phuqhata
comply	phuqhaña
composition	wakiyawi
compound	ut'ayata
comprehension	amuyawi
comprehensive	taqpacha
compromise	phuqhaw saña
compulsory	muna jan muna
computer	atamiri
concentrate	jikisiña
concept	qhanancha
concerned	llakita
concern	jan aliqt'a
concert	kunsyirtu
conclusion	tukuyawi
concrete	qhana
condition	kunki
conditions	amtanaka
conduct	kuntunkta
conference	yatiyawi
confess	yatiyaña
confidence	kumphiyansa
confident	sijuru
confirm	iyawsaña
conflict	jan walt'a
confused	pantjayata
confusion	pantjata
congrats	jallallt'awi
congratulation	jallalla
congratulations	jallallt'awi
conjunction	waythapiri
connect	kuniktasiña
conquer	jaysayaña
conscious	amuyasiski
consciousness	chuymanki
consent	llullaña
consequences	jan walt'anaka
conservation	imasita
conservative	imiri
considered	amtänxa
consider	uñjaña
consistency	kusistinsya
consistent	chikapa
consist	utjnuqayaña
constantly	sapakuti
constant	sapakuti
constipation	kunstipasyuna
construction	lurawi
consume	tukuchaña
consumption	tukhawi
contact	kuntaktu
contagious	piykatasiri
contain	ch'amachaña
contains	utji
contemporary	mitani
contempt	jan yäqawi
content	utjiir
contest	atipasiwi
context	uñjatarjama
continent	kuntininti
continue	sarantaña
contract	kunratu
contrast	mayja
contribute	yanpaña
contribution	yanapawi
control	uñjaña
controversial	mayja
convenience	munatarjama
convenient	munatarjama
conversation	aruskipawi
convert	tukuña
convey	uñt'ayaña
convinced	yawsayasiña
convince	jaysayaña
cooking	phayaskasa
cook	phayaña
cool	phisirku
cooperation	yanapt'iri
cope	litayar
copper	kuwri
core	taypi
corner	q'iwt'a
corn	tunqu
correct	chiqa
cost	chani
costume	isi
cottage	anaqa
cotton	qhiya
couch	qunuña
cough	ch'uxu
council	amuyt'ayawi
counter	uñachayiri
count	jakhuña
country	marka
countryside	pata
couple	chacha warmi
courage	qamasa
course	kusu
courtesy	munañ kankañampi
court	kurti
cousin	jila masi
cover	jark'aña
coward	llaytha
cow	waka
cozy	katuqiri
crab	uywa uñjiri
crack	k'ak'arata
craft	artisaniya
crap	jan askinaka
crash	tupthaptaña
craving	munaña
crawl	kumpuña
crazy	luqhi
create	uñstayaña
creative	uñstayiri
credit	mayt'awi
creep	qatatisiña
creepy	asxarkaya
crew	walja
crime	jucha
cringe	p'inqasiña
crisis	pisinkaña
criteria	arsu amuyt'anaka
critical	k'umi
criticism	k'umiña
crops	yapunaka
crop	yapu
cross	mäkipaña
crowded	phuqhsuta
crowd	walja
crown	kuruna
crow	taruja
crucial	wakiskiri
cruel	qhuru
cruise	jach'a yampu
crush	khistjaña
cry	jachaña
cucumber	pipinu
cuddle	q'ayachata
culture	sara
cunning	munañani
cupboard	armaryu
cup	jaruchi
curb	suyt'ayaña
cure	qullaña
curfew	jilt'irir llamkt'a
curiosity	uñch'ukiri
curious	uñaqiri
curly	chhiriptata
currency	sinsillu
current	jichha
currently	jichha
curse	maltisiwi
curtain	kurtina
cushion	ch'ijma
customer	kliyinti
custom	isinaka
customs	arwananaka
cute	jiwaki
cut	khuchhuña
cycle	siklu
cycling	siklut jalaña
dad	awki
daddy	awki
daily	sapakuti
dairy	laktyunaka
damage	jani wali
dam	jist'antata
damn	yanqhachasiwi
damp	map'i
dance	thuqhu
danger	jan walt'a
dangerous	asxarkaya
dark	ch'amaka
darling	munata
dash	p'akhisiña
data	tatunaka
date	uru
daughter	phuchha
day	uru
dead	jiwata
deadline	tukuy uru
deaf	uqara
deal	tratu
Dear All	Munatanaka
Dear Customer	Munat kliyinti
dear	munata
Dear Parents	Munat awkinaka
Dear Sir	Munata
Dear students	Munat yatiqirinaka
Dear Team	Munat tama
death	jiwa
debate	aruskipawi
debit	tiwitu
debris	p'akhitanaka
debt	manu
decade	tunka marata
decay	pisinkawi
deceased	jiwata
deceive	sallqhaña
december	jallu qallta
decent	jiwaki
decide	amtaña
decided	amtata
decision	amta
deck	imantata
decline	janiwsaña
decrease	juk'aptayaña
dedicated	chiqanchata
dedication	chiqanchata
deed	qillqata
deep	manqha
deer	sirwu
default	jan walitxa
defeat	atipjaña
defend	arxataña
define	jaysaña
definitely	wiñaypachata
definition	qhananchawi
degree	kraru
delayed	jayapachata
delay	jayarsti
delete	phiskhsuña
deliberate	aliqata
delicate	turpataki
delicious	muxsa
delighted	inkantaru
delight	kusist'aña
deliver	churaña
delivered	churata
delivery	churaña
demanding	uñt'ayiri
demand	timanta
democracy	democracia
demonstrate	uñacht'ayaña
demon	supaya
denied	janiwsata
density	qhulu
dentist	laka ch'akh qulliri
deny	janiw saña
department	marka
departure	sarta
depend	maynitaña
deploy	jithiqtaña
deposit	jaytasiña
depressed	llakita
depression	pächasiña
depth	manqha
describe	qillqaña
description	qillqawi
desert	wasara
deserve	mirisiña
designation	chhijllaña
design	lurata
desire	munta
desk	iskrituryu
despair	suyt'awi
desperate	phatikasita
despite	uksipansa
dessert	pustri
destination	tistinu
destiny	sara
destroy	t'unjaña
destruction	tukjaña
details	qhananchanaka
detail	ukhama
detect	katjaña
determination	amtata
determined	ukhampuni
determine	utjayaña
devastated	tukhata
developed	lurata
development	sartawi
develop	sartayaña
device	tispusitiwu
devil	supaya
devoted	chiqanchata
Dhivehi	Dhivehi
diabetes	yawiti
diarrhea	wich'u
diary	sapüru
dictionary	aru pirwa
did	luri
died	jiwxiwa
die	jiwaña
diet	juk'ak manq'aña
difference	mayjt'a
different	mayja
difficult	ch'ama
dig	alliña
dignity	kankaña
diligent	jank'aki
dinner	aruma manq'a
dip	salsa
direct	chiqaki
direction	kawkha
director	irpiri
dirt	q'añu
dirty	q'añu
disabled	janchit usuta
disable	suyt'ayaña
disappear	chhaqhayaña
disappointed	janmunta
disaster	jan wali
discard	jaqtaña
discharge	apaqaña
discipline	sartawini
discount	iraqawi
discover	katjaña
discrimination	jisk'achasiwi
discuss	aruskipaña
discussion	ch'axwa
diseases	usunaka
disease	usu
disguise	imantaña
disgusting	janisuma
dishes	palatunaka
dish	palatu
dismiss	khitanukuña
dispatch	tispachu
display	uñachayaña
disposal	jan aski
dispute	qhuruchasiña
distance	jaya
distinct	mayja
distinguish	amuyaña
distress	llakita
distribution	jalanuquña
district	tistritu
disturb	mulistaña
ditch	q'awa
diverse	may maya
diversity	kunaymani
dive	wusiyu
divide	jaljaña
divine	jiwaki
divorce	jaljtaña
dizzy	muytata
doctor	qulliri
document	tukumintu
does	nayrjatapacha
dog	anu
Dogri	Dogri
doing	luraskta
doll	muñika
do	luraña
domain	katxaruña
domestic	utankiri
dominant	apnaqiri
donate	khuyapayaña
done	lurata
donkey	qala kayu
don't	janiwa
Don't worry	jan llakisimti
dope	mariwana
double	paya
doubt	payacha
dough	masa
download	apaqaña
down	manqha
do you love me	munistati
draft	wurarura
drag	qatatiña
drain	atipjata
drama	uñacht'a wakiya
drawer	kajuna
drawing	jamuqa
draw	jamuqaña
dread	asxara
dream	amta
dress	isi
drill	p'iyjaña
drink	umaña
drive	apnaqaña
drop	ch'aqa
dropped	jaqusiwa
drought	wañapacha
drunk	machata
dry	waña
duck	pili
dude	pächasiña
due to	ukarjama
due	ukatakjama
dull	qarita
dumb	amutu
dump	wirtiriru
duration	tuykama
during	ukhapacha
dust	wulwu
duty	phuqhaña
dwell	jakaña
dying	jiwaskaña
each other	purapata
each	sapa
eager	munaña
eagle	allqamari
ear	jinchu
earlier	sinti alwa
early	alwa
earn	atipaña
ears	jinchunaka
earthquake	uraq khathati
earth	uraqi
ease	churaña
easily	jasaki
east	aka
easy	jasa
eating	manq'asa
eat	manq'aña
economic	juk'a chaniniki
economy	qullqichäwi
edge	thiya
edit	luraña
education	yatichäw
effect	iphiktu
effective	askiki
efficiency	iphisinsya
efficient	wakiskiri
effort	ch'amacht'asiña
egg	k'anwa
eggplant	wirinjina
ego	aytasiña
eighteen	tunka kimsaqallquni
eight	kimsaqallqu
eighty	kimsaqallq tunka
either	o
elaborate	wakiyaña
elbow	mujlli
elder	jila
elderly	jilïri
elegant	jiwaki
element	ilimintu
elephant	iliphanti
eleven	tunka mayani
eligible	ajlliñatajama
eliminate	chhqatayaña
else	juk'ampi
embarrassed	p'inqasita
embarrassing	usuri
embrace	qhumantaña
emergency	akatjamata
emerge	uñstayaña
emotional	kusisiña
empathy	amuyiri
emphasis	ch'ama
emphasize	aytaña
employee	irnaqiri
employees	irnaqirinaka
employer	irnaqayiri
employment	irnaqawi
empty	ch'usa
enable	pirmitiña
encounter	jikiña
encourage	p'arxtayaña
endangered	jan walt'a
endeavor	katuyata
end	tukuya
endurance	sayt'asiña
endure	wiñayaña
enemy	jan wali amtani
energy	inirjiya
engaged	kumprumitisiña
engagement	amtaniña
engage	phuqhaw saña
engineer	injiniru
engine	mutura
English	inklisa
enhance	askichaña
enjoy	kusist'aña
enormous	jach'a
enough	ukhakiwa
ensure	ukhamsaña
enter	mantaña
entertainment	anat'awi
enthusiasm	kusisita
enthusiastic	muniri
entire	ukch'pacha
entitled	kankañani
entity	intirara
entrance	mantaña
entrepreneur	irnaqiri
envelope	ukxata
environment	pachasamana
envy	uñch'ukisiña
epic	jach'achata
epidemic	ipirimya
equal	kikipa
equipment	ikipu
equity	khuskhata
equivalent	kikipapa
eraser	wurarura
error	pantja
escape	jaltaña
especially	juk'ampinsa
essay	yant'a
essence	q'aphi
essential	wasiku
established	utjnuqata
establish	ujnuqayaña
estate	utjirinaka
estimated	munata
estimate	munaña
etc	juk'ampi
eternal	wiñaya
ethics	kunkini
evaluate	uñakipaña
evaluation	uñakipawi
evening	aruma
even though	ukhamatsti
event	iwintu
eventually	yaqhippachanakaxa
even	ukampinsa
ever	mä kuti
everybody	taqpacha
everyone	taqini
every	sapa
everything	taqi
evidence	utjirinaka
evil	supaya
evolution	mayjt'awi
evolve	kutitatayaña
Ewe	Ewe
exactly	ukhampuni
exact	ukhapuni
examine	uñjaña
example	uñanchawi
exam	yant'a
exceed	atipjaña
excellent	wusa
exception	yaqha
except	ixiptu
excessive	jilanchjata
excess	jilanchja
exchange	chhalaqa
excited	iksitata
excitement	waytayaña
exciting	amtayatanaka
exclusive	ukatakipuni
excuse me	p'ampacht'ita
excuse	p'ampachaña
execute	qariyaña
execution	saratayaña
executive	ijikutiwu
exercise	ijirsisyu
exhausted	iksawstu
exhaust	iskapi
exhibit	aniksu
exhibition	uñacht'ayawi
existence	utjata
existing	utjiri
exist	utjaña
exit	mistuña
ex	nayra
expand	jach'aptayaña
expected	suyata
expect	suyaña
expenses	irjañanaka
expensive	jila
experience	yatxata
experiment	yant'aña
expert	yatxatata
expired	atipjawayiwa
explain	qhananchaña
explanation	qhananchawi
exploit	tukjaña
explore	yant'aña
export	apayaña
exposed	qhananki
expose	uñt'ayaña
exposure	uñacht'ayaña
express	arsuña
expression	arsuwi
extended	jach'aptata
extend	jach'aptayaña
extension	ikstinsyuna
extent	tupu
external	thiyaru
extinct	chhaqhata
extract	apaqaña
extraordinary	amtatarjama
extra	yaqha
extreme	k'uchu
extremely	jiljata
eye	nayra
eyes	nayranaka
fabric	tila
fabulous	phawulusu
face	ajanu
facilitate	mayt'aña
facilities	instalasyunanaka
facility	uchayaña
fact	lurata
factor	kunata
factory	phawrika
facts	luratanaka
fade	pharsuña
failed	pantjata
fail	jani phuqhaña
failure	pantja
faint	turpatakiki
fair	justu
fairly	ukhapuni
fairy	layqa
faithful	phuqhiri
faith	iyawsawi
fake	k'ari
fall	aynacht'aña
false	k'ari
fame	uñt'ayasita
familiar	wila masi
family	wila masi
famine	manq'añax janiw utjiti
famous	uñt'ata
fancy	phanstasiya
fan	munataja
fantastic	kusapuni
farewell	sarxaña
far	jaya
farmer	yapuchiri
farm	uywa uywañawja
fascinating	muspayiri
fashion	mura
fast	jank'aki
fatal	sint'ata
fate	tistinu
father	awki
fatigue	phatika
fat	lunqhu
fault	pantja
favorite	munata
favour	amp suma
favourite	munata
fear	asxara
feast	phuqha
feather	phuyu
features	uñjawinaka
feature	uñstata
february	anata
fed up	walja
fee	chani
feedback	arunaka
feed	manq'ayaña
feel	amuyaña
feeling	sintimintu
feet	kayunaka
fellow	masi
fell	tinkusiwa
felt	sintiyasi
female	warmi
fence	jak'a
fertile	puruma
festival	phunchhawi
fetch	thaqhaña
fever	achhiju
fewer	juk'a
few	juk'aki
fiance	arsuta
fiction	murxayiri
field	pata
fierce	qhuru
fifteen	tunka phisqhani
fifty	phisqha tunka
fight	ch'axwaña
fighting	ch'axwasa
figure out	jiskxataña
figure	qawqhasa
file	archiwu
filled	phuqhata
fill	phuqharaña
film	pilikula
filthy	q'añu
finally	tukuyawi
finance	finansa
financial	qullqichawi
find	jikxataña
find out	katjaña
fine	waliki
finger	luk'ana
finished	tukuyata
finish	tukuña
fire	nina
firm	chiqapa
first name	nayrïr suti
first	nayraqata
fish	challwa
fit	chikanchasiña
five	phisqha
fix	askichaña
fixed	uñjata
flag	wiphala
flash	tistillu
flat	t'alpha
flawless	chiqapa
flaw	tiphiktu
flee	ist'aña
flesh	aycha
flew	thuqtawayiwa
flexible	turpatakiki
flex	tuwlaña
flight	jalaña
flip	muytayaña
flirting	munata
flirt	qachuq'arasiña
float	qaquña
flood	phuqharawi
floor	pisu
flour	jak'u
flower	panqara
flow	uñsuña
fluent	jank'aki
fluently	ch'amampi
fluffy	jasa
fluid	uma
flu	jurma usu
fly	thuqtaña
focus	inphuki
foggy	qinaya
fog	qinaya
fold	suk'aña
folks	masinaka
follow	arkaña
following	ukxaru
follow up	arkaña
food	manq'aña
fool	ipi
foolish	jan amuyuni
football	pilut anatawi
foot	kayu
forbidden	jark'ata
force	ch'ama
forecast	chiqt'aña
forehead	uñkatasi
foreign	anqajankiri
forest	quqarara
forever	wiñayataki
For example	ukhama
forget	armaña
forgive	p'ampachaña
forgot	armata
for instance	uñacht'a
fork	tinirura
formal	phurmala
former	nayrüru
form	ukhama
for	taki
fortunately	utjrini
fortune	utjirinaka
forty	pusi tunka
forty-two	pusi tunka payani
forward	nayraqata
for you	jumataki
foster	ch'amanchaña
fought	ch'axwiwa
foundation	wasi
found	katjiwa
four	pusi
fourteen	tunka pusini
fox	tiwula
fragile	p'akhisiri
frame	marku
framework	marku
fraud	jan yäpa
freak	phinuminu
freedom	liwirtara
free	qhisphita
freeze	luxuntaña
frequency	kunjamasa
frequently	sapakuti
frequent	sapakuti
fresh	muxsa uma
friday	wirnisa
fridge	luxuyiri
friendly	masinakaniskakiri
friend	masi
friendship	masi
friends	masinaka
frightened	mulljata
frightening	mulljaskaya
frog	k'ayra
from	ukhata
front	al frente
front	para
front	uñkatasi
frozen	luxuntata
fruit	muxsa achu
frustrated	qarita
fuel	kunwustiwli
Fulfulde	Fulfulde
full	phuqha
function	phunsyuna
fundamental	wakiskiri
funeral	phunirala
fun	kusiskaya
funny	k'uchirasiña
furious	thithita
fur	janchi
furniture	muwlinaka
further	juk'ampi
furthermore	juk'ampi
future	jutiripacha
gain	atipaña
game	antawi
gap	wiricha
garage	kuchira
garbage	t'una
garden	panqar uyu
garlic	aju
gate	punku
gathering	tantachawi
gather	tantachaña
gauge	tupuña
gave	churi
gear	inkranaji
gender	jiniru
generally	jilpachaxa
general	taqpacha
generate	jilxatayaña
generation	jinirasyuna
generous	munasiri
genius	jinyu
genre	chacha warmi
gentle	munasiri
genuine	chiqa
