азчыкъ	a little
Сен аля даа андасынъмы?	Are you still there?
андасынъмы	are you there
саа	area
тартышмакъ	argue
тартышма	argument
кевделенмек	arise
къол	arm
орду	army
этрафында	around
келишмек	arrange
анълашма	arrangement
келип чыкъма	arrival
келип чыкъмакъ	arrive
келип чыкъкъан	arrived
киббар	arrogant
окъ	arrow
санат	art
макъале	article
суньий	artificial
рессам	artist
оларакъ	as
вакътында	as long as
айрыджа	as well
олгъаны киби	as well as
куль	ash
утандырылгъан	ashamed
сорамакъ	ask
сорады	asked
уюгъан	asleep
джеэт	aspect
Ассам тили	Assamese
уджюм	assault
меджлис	assembly
иддиалы	assertive
къыймет кесмек	assess
муакеме	assessment
вариет	asset
активлер	assets
къоймакъ	assign
тайинлеме	assignment
ярдымджы олмакъ	assist
ярдымджы	assistant
багъламакъ	associate
багълы	associated
дернек	association
беллемек	assume
зан	assumption
энъ аздан	at least
ашады	ate
спортчы	athlete
къошмакъ	attach
багълы	attached
багълылыкъ	attachment
уджюм	attack
ынтылув	attempt
къатнамакъ	attend
къатнав	attendance
дикъкъат	attention
мунасебет	attitude
джельп этмек	attract
джазибелик	attraction
джельп этиджи	attractive
атрибут	attribute
динълейиджилер	audience
арман айы	august
ала	aunt
тизе	aunty
чынты	authentic
муэллиф	author
нуфуз	authority
кузь	autumn
иришими олгъан	available
орталандырма	average
къачынмакъ	avoid
уянгъан	awake
мукяфат	award
фаркъында олмакъ	aware
хабердарлыкъ	awareness
узакъкъа	away
зевкълы	awesome
дешетли	awful
беджериксиз	awkward
Аймара тили	Aymara
сабий	baby
бекяр	bachelor
кери	back
фон	background
ярамай	bad
чанта	bag
ем	bait
фырында пиширмек	bake
фырын	bakery
чай содасы	baking soda
теразе келюв	balance
топ	ball
Бамбара тили	Bambara
муз	banana
чалгъыджылар такъымы	band
шерит	band
патлама	bang
банк	bank
бар	bar
зорнен	barely
базарлыкъ	bargain
терек къабугъы	bark
арпа	barley
маниа	barrier
темель	base
эсаслангъан	based
магъаз	basement
темель	basic
эсасында	basically
фесильген	basil
арамзаде	bastard
сюрю	batch
аммам	bath
ваннахане	bathroom
батарея	battery
уруш	battle
корьфез	bay
джари олмакъ	be
мукъайт ол	be careful
ялы	beach
нур	beam
бакълалар	beans
аюв	bear
сакъал	beard
тиреме	bearing
джанавар	beast
котеклемек	beat
дюльбер	beautiful
дюльберлик	beauty
олды	became
чюнки	because
олмакъ	become
ятакъ	bed
ятакъ одасы	bedroom
балкъурт	bee
тувар эти	beef
олгъандыр	been
бира	beer
эвель	before
башлады	began
башламакъ	begin
башланмакъта	beginning
адына	behalf
давранмакъ	behave
арекет тарзы	behavior
арекет тарзы	behaviour
артында	behind
бар олмакъ	being
ишанч	belief
инанмакъ	believe
къурсакъ	belly
аит олмакъ	belong
севимли	beloved
ашагъыда	below
къушакъ	belt
скемле	bench
майышыкъ	bend
тюбюнде	beneath
файда	benefit
файдалар	benefits
янында	beside
гъайры	besides
энъ гузель	best
ишинъиз онъ кельсин	best of luck
сайгъы иле	best regards
даа яхшы	better
арасында	between
ичимлик	beverage
тышында	beyond
Бходжпури тили	Bhojpuri
пешин фикир	bias
пешин фикирли	biased
аякъмашна	bicycle
теклиф	bid
балабан	big
аякъмашна	bike
эсап кягъыты	bill
багъламакъ	bind
къуш	bird
догъгъан кунь	birthday
парча	bit
тишлемек	bite
аджджы	bitter
къара	black
пычакъ агъзы	blade
къабаатлав	blame
бош	blank
ортю	blanket
патлав	blast
беязлатыджы	bleach
къарыштырмакъ	blend
шукюр этмек	bless
мубарек	blessed
кёр	blind
тав	bliss
блок	block
къан	blood
чичек ачмакъ	bloom
дарбе	blow
уфюрмек	blow
мавы	blue
токъал	blunt
шура	board
тахта	board
къайыкъ	boat
беден	body
къайнатмакъ	boil
къалын	bold
джесюр	bold
багъ	bond
кемик	bone
китап	book
тезлештирмек	boost
къуветлештириджи	booster
потюк	boot
потюклер	boots
сынъыр	border
джан сыкъысы	bore
джаны сыкъылгъан	bored
джан сыкъыджы	boring
догъгъан	born
борджгъа алмакъ	borrow
ребер	boss
экиси де	both
кедер этмек	bother
шише	bottle
алт	bottom
сатын алынгъан	bought
сатын алды	bought
сычрамакъ	bounce
багълы	bound
сынъырлар	boundaries
яй	bow
теменна	bow
чанакъ	bowl
къуту	box
огълан	boy
эркек аркъадаш	boyfriend
билезлик	bracelet
мий	brain
шубе	branch
марка	brand
джесаретли	brave
бозма	breach
отьмек	bread
рызкъ	bread
тенеффюс	break
сабалыкъ	breakfast
кокрек	breast
нефес	breath
нефес алмакъ	breathe
асрамакъ	breed
тола	brick
келин	bride
копюр	bridge
кестирме	brief
парлакъ	bright
парлакъ	brilliant
кетирмек	bring
къардашым	bro
кениш	broad
яйын	broadcast
сындырды	broke
сыныкъ	broken
сипирки	broom
агъа	brother
къайын	brother in law
кетирди	brought
къаверенки	brown
фырчы	brush
къопкъа	bucket
аркъадаш	buddy
бюджет	budget
боджек	bug
къурмакъ	build
япы	building
къурулгъан	built
рыкъма-рыкъ	bulk
огюз	bull
ярамаз	bully
шишик	bump
оба	bunch
демет	bundle
юк	burden
комюльген	buried
янмакъ	burn
патламакъ	burst
коммек	bury
автобус	bus
чалы	bush
тиджарий фаалиет	business
бюст	bust
мешгъуль	busy
амма	but
ягъ	butter
кобелек	butterfly
дёгме	button
сатын алмакъ	buy
тарафындан	by
сёз келими	by the way
корюшкендже	bye
къапыста	cabbage
долап	cabinet
къафес	cage
торт	cake
бузав	calf
чагъырмакъ	call
чагъырув	call
адландырмакъ	call
манъа телефон ач	call me
адландырылгъан	called
тынч	calm
кельди	came
сефер	campaign
имкяниети бар	can
олмайым	can't
Лягъу	Cancel
рак хасталыгъы	cancer
къабилиетли	capable
аджим	capacity
пайтахт	capital
серлева	caption
якъаламакъ	capture
араба	car
карьера	career
мукъайт	careful
дикъкъатнен	carefully
гъамсыз	careless
къайгъыргъан	caring
дюльгер	carpenter
халы	carpet
хавуч	carrot
ташымакъ	carry
девам этмек	carry on
беджермек	carry out
адисе	case
пешин пара	cash
тёкмек	cast
кермен	castle
куньделик	casual
мышыкъ	cat
якъаламакъ	catch
зюмре	category
тувар	cattle
тутулды	caught
тутулгъан	caught
маначыкъ	cause
мукъайтлыкъ	caution
мукъайт	cautious
къоба	cave
токътатмакъ	cease
таван	ceiling
байрам этмек	celebrate
уджейре	cell
меркез	center
асыр	century
ашлыкъ	cereal
мерасим	ceremony
белли бир	certain
эльбет	certainly
сертификат	certificate
зынджыр	chain
отургъыч	chair
сынав	challenge
фырсат	chance
къайтым	change
денъишме	change
къарышыкълыкъ	chaos
мизадж	character
хусусиетлер	characteristics
масрафлар	charge
хайриет	charity
джильвели	charming
диаграмма	chart
къуваламакъ	chase
тасырдамакъ	chat
уджуз	cheap
хиянетлик этмек	cheat
доландырма	cheating
тешкермек	check
чек	check
янакъ	cheek
рухландырмакъ	cheer
нешели	cheerful
алгъыш	cheers
пенир	cheese
химия	chemistry
беслемек	cherish
сантырач	chess
кокюс	chest
чайнамакъ	chew
тавукъ	chicken
чипче	chicken
баш	chief
бала	child
балалыкъ	childhood
балалар	children
пек сувукъ	chill
баджлар	chimneys
сакъал тюбю	chin
шоколад	chocolate
сечим	choice
сайламакъ	choose
догърамакъ	chop
эв ишлери	chores
томалакъ	chubby
кильсе	church
тарчын	cinnamon
даире	circle
шартлар	circumstances
ватандаш	citizen
шеэр	city
иддиа этмек	claim
айдынлатмакъ	clarify
сыныф	class
балчыкъ	clay
темиз	clean
шеффаф	clear
кятип	clerk
азырджевап	clever
муштери	client
сырым	cliff
иклим	climate
тырмашмакъ	climb
япышкъан	clingy
саат	clock
якъын	close
къапатмакъ	close
килер	closet
басма	cloth
урба	clothes
булут	cloud
булутлы	cloudy
клоун	clown
анахтар	clue
беджериксиз	clumsy
уюр	cluster
идманджы	coach
комюр	coal
саиль	coast
пальто	coat
къаве	coffee
фикрий	cognitive
тесадуф	coincidence
сувукъ	cold
чёкмек	collapse
якъа	collar
меслекдеш	colleague
зенаатдашлар	colleagues
топламакъ	collect
топлам	collection
колледж	college
ренк	color
ренксиз ешиль фикирлер хышымнен юкълайлар	colorless green ideas slept furiously
ренк	colour
сутун	column
таракъ	comb
уйма	combination
бирлештирмек	combine
кельмек	come
мында кель	come here
къана	come on
раатлыкъ	comfort
раат	comfortable
кельмекте	coming
якъын арада оладжакъ	coming soon
эмир	command
тевсир	comment
тиджарий	commercial
эйет	commission
эйлемек	commit
теслим этюв	commitment
мефкюревий	committed
мал	commodity
муштерек	common
субетлешмек	communicate
алякъа	communication
джемиет	community
барып кельмек	commute
шерик	companion
ширкет	company
къыясламакъ	compare
тенъештирме	comparison
мерамет	compassion
раим	compassionate
уюгъан	compatible
рекъабет этмек	compete
ихтисаслы	competent
мусабакъа	competition
рекъабетли	competitive
шикяет этмек	complain
шикяет	complaint
тамамлайыджы	complement
битирильген	complete
тамамынен	completely
къуралгъан	complex
уйгъунлыкъ	compliance
мушкюль	complicated
комплимент	compliment
уймакъ	comply
тизилиш	composition
къуралма	compound
анълама	comprehension
эртарафлама	comprehensive
разылашма	compromise
ваджип	compulsory
бильгисаяр	computer
къоюрмакъ	concentrate
концепция	concept
раатсызлыкъ	concern
гъамлы	concerned
концерт	concert
хуляса	conclusion
бетон	concrete
шарт	condition
шартлар	conditions
идаре этмек	conduct
конференция	conference
тёвбе этмек	confess
эминлик	confidence
къани	confident
тасдыкъламакъ	confirm
чатышув	conflict
шашмалагъан	confused
къарышыкълыкъ	confusion
хайырлавлар	congrats
хайырлав	congratulation
тебриклер	congratulations
багълайыджы	conjunction
багъламакъ	connect
басып алмакъ	conquer
акъыл-ферасетли	conscious
эс	consciousness
разылыкъ	consent
акъибетлер	consequences
сакълама	conservation
консерватив	conservative
дикъкъаткъа алмакъ	consider
дикъкъаткъа алынгъан	considered
ибарет олмакъ	consist
изченлик	consistency
изчен	consistent
денъишмеген	constant
мутемадиен	constantly
къабыз	constipation
къуруджылыкъ	construction
истимал этмек	consume
истимал	consumption
багъ	contact
юкъунчлы	contagious
ичермек	contain
ичинде булунмакъ	contains
чагъдаш	contemporary
хор бакъмакъ	contempt
мундеридже	content
ярышма	contest
контекст	context
къыта	continent
девам этмек	continue
мукъавеле	contract
контраст	contrast
иссе къошмакъ	contribute
иссе	contribution
тефтиш	control
давалы	controversial
онъайтлылыкъ	convenience
онъайтлы	convenient
субет	conversation
чевирмек	convert
алып бермек	convey
къандырмакъ	convince
къатий ишангъан	convinced
аш пиширмек	cook
аш пиширюв	cooking
салкъын	cool
иш бирлиги	cooperation
баш этмек	cope
бакъыр	copper
озек	core
мысырбогъдай	corn
коше	corner
догъру	correct
малиет	cost
такъым урба	costume
коттедж	cottage
памукъ	cotton
сет	couch
оксюрик	cough
ола бильмек	could
шура	council
саймакъ	count
сайыджы	counter
мемлекет	country
кой ери	countryside
чифт	couple
джесарет	courage
курс	course
ёнелиш	course
макеме	court
незакет	courtesy
эки догъмуш	cousin
къапакъ	cover
сыгъыр	cow
къоркъакъ	coward
къынтавлы	cozy
енгеч	crab
сындырмакъ	crack
унер	craft
бокъ	crap
къаза	crash
мерам	craving
сюйрекленмек	crawl
диване	crazy
яратмакъ	create
яратыджы	creative
одюнч	credit
чыкъчыкъ балабан	creep
дешет	creepy
эркян	crew
джинает	crime
Къырымтатар	Crimean Tatar
бойнуны къысмакъ	cringe
бухран	crisis
критерий	criteria
аль этиджи	critical
тенкъит	criticism
пытамакъ	crop
махсулатлар	crops
хач	cross
къаргъа	crow
къалабалыкъ	crowd
къалабалыкъ	crowded
тадж	crown
пек муим	crucial
залым	cruel
сейир	cruise
эзмек	crush
агъламакъ	cry
хыяр	cucumber
сарылмакъ	cuddle
медениет	culture
къурназ	cunning
фильджан	cup
савут долабы	cupboard
юген	curb
дева	cure
ёлгъа чыкъмакъ ясагъы	curfew
меракъ	curiosity
эр шейнен меракълангъан	curious
къувурчыкъ	curly
пара бирими	currency
агъымдаки	current
ал-азырда	currently
лянет	curse
перде	curtain
ястыкъ	cushion
гумрюкхане	custom
адет	custom
муштери	customer
гюмрюкхане	customs
кесмек	cut
муляйим	cute
девре	cycle
аякъмашнада юрюв	cycling
баба	dad
бабачыгъым	daddy
куньделик	daily
сют махсулатлары	dairy
бент	dam
бузмакъ	damage
лянет	damn
дым	damp
оюн	dance
телюке	danger
телюкели	dangerous
къаранлыкъ	dark
севгили	darling
тире	dash
бери	data
васыл	date
къыз бала	daughter
кунь	day
олю	dead
сонъ тарих	deadline
сагъыр	deaf
муамеле	deal
азиз	dear
Азиз эр кес	Dear All
азиз муштери	Dear Customer
Севимли ана-бабалар	Dear Parents
Севимли эфенди	Dear Sir
Севимли талебелер	Dear students
Севимли такъымым	Dear Team
олюм	death
мунакъаша	debate
бордж	debit
виране	debris
бордж	debt
он йыллыкъ	decade
чюрюмек	decay
олю	deceased
алдатмакъ	deceive
ильк къыш айы	december
эдепли	decent
къарар этмек	decide
къарар этти	decided
къарар	decision
когерте	deck
чёкюш	decline
эксильтмек	decrease
къатий ишангъан	dedicated
садыкълыкъ	dedication
арекет	deed
терен	deep
сыгъын	deer
огюнден козь огюне алынгъан	default
магълюбиет	defeat
къорчаламакъ	defend
къарарламакъ	define
эминликнен	definitely
тариф	definition
дередже	degree
кечиктирмек	delay
авуштырылгъан	delayed
сильмек	delete
аселет	deliberate
нарин	delicate
леззетли	delicious
зевкъ	delight
айран	delighted
кетирмек	deliver
теслим этильген	delivered
теслим	delivery
талап этмек	demand
талап этиджи	demanding
демократия	democracy
иблис	demon
корьсетмек	demonstrate
ред этильген	denied
сыкълыкъ	density
тиш экими	dentist
ред этмек	deny
болюк	department
ёлгъа чыкъыш	departure
таби олгъан	depend
ачмакъ	deploy
пей	deposit
мелюль	depressed
рухтан тюшме	depression
теренлик	depth
тасвир этмек	describe
тариф	description
сахра	desert
акъ къазанмакъ	deserve
лейха	design
тайин этюв	designation
эмель	desire
иш масасы	desk
умютсизлик	despair
чаресиз	desperate
бакъмадан	despite
шекерлеме	dessert
макъсат этип къоюлгъан ер	destination
такъдир	destiny
ёкъ этмек	destroy
дагъылув	destruction
парчалар	detail
тафсилятлар	details
кешиф этмек	detect
азимкярлыкъ	determination
бельгилемек	determine
бельгиленген	determined
виран этильген	devastated
инкишаф эттирмек	develop
инкишафлы	developed
инкишаф	development
джихаз	device
шейтан	devil
садыкъ	devoted
Дивехи тили	Dhivehi
шекер хасталыгъы	diabetes
исал	diarrhea
куньделик	diary
лугъат	dictionary
япты	did
ольмек	die
ольди	died
диета	diet
фаркъ	difference
чешит тюрлю	different
къыйын	difficult
къазмакъ	dig
къыймет	dignity
чалышкъан	diligent
акъшамлыкъ	dinner
батырмакъ	dip
догъру	direct
ёнелиш	direction
мудир	director
кир	dirt
кирли	dirty
къулланымдан кесмек	disable
сакъат	disabled
ёкъ олмакъ	disappear
къасеветленген	disappointed
фелякет	disaster
чёплюкке атмакъ	discard
бошама	discharge
низам	discipline
эндирим	discount
кешиф этмек	discover
айрымджылыкъ	discrimination
музакере этмек	discuss
музакере	discussion
хасталыкъ	disease
хасталыкълар	diseases
маскаламакъ	disguise
игренч	disgusting
табакъ	dish
тепислер	dishes
къабул этмемек	dismiss
ёлламакъ	dispatch
тасвирлеме	display
хазыф	disposal
мунакъаша	dispute
месафе	distance
мухтелиф	distinct
айырды этмек	distinguish
элем	distress
тевзи	distribution
маалле	district
раатсызламакъ	disturb
ор	ditch
далмакъ	dive
чешит-чешит	diverse
чешитлик	diversity
больмек	divide
иляйи	divine
айырылышма	divorce
баш айландырыджы	dizzy
япмакъ	do
сен	do you
сен мени севесинъми	do you love me
эким	doctor
весикъа	document
япа	does
дегиль	doesn't
копек	dog
Догри тили	Dogri
япкъан	doing
къокъла	doll
домен	domain
ички	domestic
баскъын	dominant
япма	don't
Раатсызланма	Don't worry
багъышламакъ	donate
битти	done
эшек	donkey
уюштырыджы	dope
чифт	double
шубеленмек	doubt
хамыр	dough
ашагъы	down
юклемек	download
къаралама	draft
сюрюклемек	drag
бошатмакъ	drain
драма	drama
чызмакъ	draw
джельп этмек	draw
чекмедже	drawer
ресим	drawing
къоркъулыкъ	dread
арзу	dream
антер	dress
бургъу	drill
ичимлик	drink
араба айдамакъ	drive
тюшюрмек	drop
тамчы	drop
йыкъылды	dropped
къургъакълыкъ	drought
сархош	drunk
къуру	dry
папий	duck
ашна	dude
себебинден	due
себептен	due to
солгъун	dull
будала	dumb
чёплюк	dump
девамлылыкъ	duration
девамында	during
тоз	dust
невбетчилик	duty
отурмакъ	dwell
мына-мына оледжек	dying
эр бир	each
бир-бирини	each other
истекли	eager
къартал	eagle
къулакъ	ear
бундан эвель	earlier
эрте	early
къазанмакъ	earn
къулакълар	ears
ер курреси	earth
зельзеле	earthquake
къолайлыкъ	ease
енгильдже	easily
шаркъ	east
къолай	easy
ашамакъ	eat
ашагъан	eating
икътисадият	economic
икътисат	economy
кенар	edge
тарир этмек	edit
тасиль	education
семере	effect
семерели	effective
семерелилик	efficiency
семерели	efficient
гъайрет	effort
йымырта	egg
морпатильджан	eggplant
нефисхорлыкъ	ego
секиз	eight
он секиз	eighteen
сексен	eighty
веяхут	either
ишлетмек	elaborate
тирсек	elbow
яшы буюк	elder
эсли-башлы	elderly
зариф	elegant
унсур	element
филь	elephant
он бир	eleven
акъкъы олгъан	eligible
элемек	eliminate
даа да	else
утангъан	embarrassed
утандырыджы	embarrassing
къучакъ	embrace
ортагъа чыкъмакъ	emerge
февкъульаде вазиет	emergency
дуйгъулы	emotional
къайгъыдашлыкъ	empathy
ургъу	emphasis
тюбюни чызмакъ	emphasize
хадим	employee
хадим	employees
иш берген	employer
иш	employment
бош	empty
имкян бермек	enable
чатышмакъ	encounter
рагъбетлендирмек	encourage
сонъ	end
несили ёкъ оладжакъ	endangered
ынтылма	endeavor
даянув	endurance
чыдамакъ	endure
душман	enemy
энергия	energy
эглендирмек	engage
нишанлангъан	engaged
нишан	engagement
кочюриджи	engine
муэндис	engineer
Инглиз	English
къуветлендирмек	enhance
кейфленмек	enjoy
муаззам	enormous
етер	enough
кефиль олмакъ	ensure
кирмек	enter
темаша	entertainment
джошкъунлыкъ	enthusiasm
авесли	enthusiastic
бутюнлей	entire
башлыкълы	entitled
барлыкъ	entity
кириш	entrance
иш адамы	entrepreneur
зарф	envelope
чевре	environment
пахыллыкъ	envy
дестан киби	epic
салгъын	epidemic
мусавий	equal
донатма	equipment
адалет	equity
мусавий	equivalent
сильгич	eraser
хата	error
къачув	escape
хусусан	especially
инша	essay
маиет	essence
темель	essential
тесис этмек	establish
тешкиль этильген	established
мульк	estate
эсапламакъ	estimate
тахминий	estimated
иляхре	etc
эбедий	eternal
ахлякъият	ethics
къыймет кесмек	evaluate
къыймет кесюв	evaluation
атта	even
олса да	even though
акъшам	evening
тедбир	event
ниает	eventually
ич	ever
эр	every
эр кес	everybody
эр кес	everyone
эр шей	everything
исбат	evidence
яман	evil
эврим	evolution
инкишаф этмек	evolve
Эве тили	Ewe
сабыкъ	ex
там	exact
айнен	exactly
имтиан	exam
тедкъикъ этмек	examine
мисаль	example
ашмакъ	exceed
аля	excellent
истисна	except
истисна	exception
арткъач	excess
арткъан	excessive
денъишюв	exchange
эеджанлы	excited
эеджан	excitement
айретте къалдырыджы	exciting
аля дереджели	exclusive
акълама	excuse
багъышла мени	excuse me
иджра этмек	execute
эда	execution
иджра	executive
ерине кетирюв	exercise
мешгъулиет	exercise
къыйнамакъ	exhaust
къыйналгъан	exhausted
сергиленген шей	exhibit
серги	exhibition
мевджут олмакъ	exist
бар олгъаны	existence
бар олгъан	existing
чыкъыш	exit
джайратмакъ	expand
ишанмакъ	expect
бекленильген	expected
масрафлар	expenses
паалы	expensive
теджрибе	experience
денъев	experiment
мутехассыс	expert
вакъыты кечти	expired
анълатмакъ	explain
изаат	explanation
ишлетмек	exploit
араштырмакъ	explore
ихрадж	export
мейдангъа чыкъармакъ	expose
маруз къалгъан	exposed
маруз къалмакъ	exposure
ифаде этмек	express
ифаде этюв	expression
кенишлетмек	extend
кенишлетильген	extended
узатма	extension
мертебе	extent
тыш	external
сёнюк	extinct
къошма	extra
чыкъармакъ	extract
февкъульаде	extraordinary
ашыры	extreme
пек	extremely
козь	eye
козьлер	eyes
токъума	fabric
салтанатлы	fabulous
бет	face
къолайлаштырмакъ	facilitate
донатмалар	facilities
къурулыш	facility
керчек	fact
фактор	factor
фабрика	factory
акъикъатлар	facts
солмакъ	fade
насипсизлик	fail
хайырсыз	failed
ред	failure
байылмакъ	faint
адалетли	fair
серги	fair
баягъы	fairly
пери	fairy
иман	faith
садыкъ	faithful
сахте	fake
кузь	fall
йыкъылмакъ	fall
сахте	FALSE
нам	fame
таныш	familiar
къоранта	family
ачлыкъ	famine
мешур	famous
ельпазе	fan
мухлис	fan
назик	fancy
фантастик	fantastic
баягъы	far
узакъ	far
сагълыкълашув	farewell
ферма	farm
фермаджы	farmer
тылсымлы	fascinating
мода	fashion
тез	fast
семиз	fat
къачынылмаз	fatal
къадер	fate
баба	father
ёргъунлыкъ	fatigue
янълышлыкъ	fault
севимли	favorite
эйилик	favour
севимли	favourite
къоркъмакъ	fear
къоркъу	fear
зияфет	feast
тюк	feather
хусусиет	feature
вазифелер	features
кичик ай	february
быкъкъан	fed up
уджрет	fee
ашатмакъ	feed
къаршылыкъ	feedback
ис этмек	feel
дуйгъу	feeling
аякълар	feet
йыкъылды	fell
акъран	fellow
кийиз	felt
апай киши	female
къора	fence
махсулдарлыкъ	fertile
фестиваль	festival
чекмек	fetch
умма	fever
бираз	few
даа аз	fewer
нишанлы	fiance
уйдурма	fiction
саа	field
тарла	field
явуз	fierce
он беш	fifteen
элли	fifty
котеклешмек	fight
котек	fighting
ракъам	figure
сораштырып бильмек	figure out
файл	file
толдурмакъ	fill
толгъан	filled
фильм	film
пис	filthy
ахыры	finally
малие	finance
малиевий	financial
тапмакъ	find
сораштырып бильмек	find out
эйи	fine
пармакъ	finger
битирмек	finish
биткен	finished
янгъын	fire
атеш	fire
ширкет	firm
биринджи	first
ад	first name
балыкъ	fish
уймакъ	fit
беш	five
тюзетмек	fix
сабит	fixed
байракъ	flag
парылты	flash
ялпакъ	flat
даире	flat
эксиклик	flaw
къусурсыз	flawless
къачмакъ	flee
эт	flesh
учти	flew
букмек	flex
майышкъакъ	flexible
учуш	flight
такълакъ	flip
джильвеленмек	flirt
джильвелене	flirting
ялдавукъ	float
сель	flood
къат	floor
табан	floor
ун	flour
акъым	flow
чичек	flower
грипп	flu
сув-тильмач	fluent
чабик	fluently
йымшакъ	fluffy
шингенлик	fluid
учмакъ	fly
бир ерге топланмакъ	focus
туман	fog
туманлы	foggy
къатламакъ	fold
халкъ	folks
излемек	follow
такъип ет	follow up
келеджек	following
аш	food
дели	fool
ахмакъ	foolish
аякъ	foot
футбол	football
ичюн	for
Мисаль оларакъ	For example
мисаль оларакъ	for instance
сенинъ ичюн	for you
ясакълы	forbidden
кучь	force
тахмин	forecast
манълай	forehead
четель	foreign
орман	forest
эбедиен	forever
унутмакъ	forget
афу этмек	forgive
унутты	forgot
санчкъы	fork
шекиль	form
ресмий	formal
сабыкъ	former
бахтыма	fortunately
сервет	fortune
къыркъ	forty
къыркъ эки	forty-two
огге	forward
етиштирмек	foster
тартышты	fought
тапылгъан	found
темель	foundation
дёрт	four
он дёрт	fourteen
тильки	fox
нарин	fragile
черчиве	frame
черчиве	framework
айнеджилик	fraud
худжур	freak
сербест	free
бедава	free
сербестлик	freedom
бузламакъ	freeze
сыкълыкъ	frequency
сыкъ	frequent
сыкъ-сыкъ	frequently
тазе	fresh
джума	friday
бузлатыджы	fridge
дост	friend
достане	friendly
достлар	friends
достлукъ	friendship
къоркъутылгъан	frightened
къоркъутыджы	frightening
бакъа	frog
итибарен	from
огдеки	front
бузлатылгъан	frozen
мейва	fruit
синъирли	frustrated
якъарлыкъ	fuel
Фулфулде тили	Fulfulde
толу	full
эглендже	fun
ишлев	function
темель къойгъан	fundamental
дженазе	funeral
кулюнчли	funny
кюрк	fur
