drusceņ	a little
kryuts	breast
elpa	breath
elpuot	breathe
škirne	breed
kīgeļs	brick
leigova	bride
tylts	bridge
eiss	brief
spūdrs	bright
izcyls	brilliant
atnest	bring
bruoļ	bro
plots	broad
puorraide	broadcast
bez naudys	broke
salauzts	broken
slūta	broom
bruoļs	brother
svaiņs	brother in law
atnese	brought
bryuns	brown
ūta	brush
spaņs	bucket
draugs	buddy
budžets	budget
kukaiņs	bug
ceļt	build
āka	building
calts	built
lelapjūma	bulk
vierss	bull
kauslis	bully
sasist	bump
kekars	bunch
saiškis	bundle
apgryutynuojums	burden
aprokts	buried
degt	burn
pleits	burst
aprakt	bury
autobuss	bus
kryums	bush
uzjāmums	business
kryuts	bust
aizjimts	busy
bet	but
svīsts	butter
tauriņs	butterfly
pūga	button
nūpierkt	buy
gar	by
cyta storpā	by the way
atā	bye
kuopusts	cabbage
atviļktne	cabinet
kabinets	cabinet
būrs	cage
torte	cake
teļš	calf
zvaneit	call
pasauc mani	call me
pīzvoni man	call me
saukt	called
mīreigs	calm
atguoja	came
kampaņa	campaign
varēt	can
navar	can't
atceļt	Cancel
viezs	cancer
spiejeigs	capable
jauda	capacity
golvyspiļsāta	capital
nūkert	caption
nūkert	capture
mašyna	car
karjera	career
uzmaneigs	careful
uzmaneigi	carefully
bezryupeigs	careless
ryupeigs	caring
gaļdinīks	carpenter
pakluojs	carpet
būrkons	carrot
nest	carry
turpynuot	carry on
izpiļdeit	carry out
līta	case
čemodans	case
nauda	cash
akteru sastuovs	cast
ģipss	cast
piļs	castle
kasdīnišks	casual
kačs	cat
nūkert	catch
kategoreja	category
lūpi	cattle
nūkēre	caught
īmasls	cause
uzmaneiba	caution
uzmaneigs	cautious
ola	cave
beigt	cease
grīsti	ceiling
svinēt	celebrate
šyuna	cell
centrs	center
godsymts	century
gryudaugi	cereal
ceremoneja	ceremony
nūteikts	certain
nūteikti	certainly
sertifikats	certificate
kēde	chain
krāsls	chair
izaicynuojums	challenge
īspieja	chance
izmaiņa	change
haoss	chaos
raksturs	character
raksturuojums	characteristics
moksa	charge
lobdareiba	charity
burveigs	charming
diagramma	chart
kert	chase
pļuopuot	chat
ziņa	chat
lāts	cheap
kruoptīs	cheat
kruoptīs	cheating
puorbaudeit	check
vaigs	cheek
uzmundrynuot	cheer
prīceigs	cheerful
prīkā	cheers
sīrs	cheese
kimeja	chemistry
nūviertēt	cherish
šahs	chess
kryuts	chest
sakūdeit	chew
vysta	chicken
prīkšnīks	chief
bārns	child
bierneiba	childhood
bārni	children
vāss	chill
nauzatraukt	chill
škūrstyni	chimneys
zūds	chin
šokolads	chocolate
izvēle	choice
izavielēt	choose
nūgrīzt	chop
pīnuokumi	chores
opoleigs	chubby
bazneica	church
kaniels	cinnamon
riņčs	circle
apstuokli	circumstances
pylsūņs	citizen
piļsāta	city
pīprasēt	claim
nūskaidruot	clarify
klase	class
muols	clay
teirs	clean
skaidrs	clear
teirs	clear
īrēdnis	clerk
ospruoteigs	clever
klients	client
kliņts	cliff
klimats	climate
kuopt	climb
lipeigs	clingy
pulkstiņs	clock
tyvai	close
skaps	closet
drēbe	cloth
drēbis	clothes
muokuļs	cloud
muokuļains	cloudy
klauns	clown
muojīns	clue
naveiklys	clumsy
grupeņa	cluster
treners	coach
ūgle	coal
krosts	coast
mieteļs	coat
kopejs	coffee
izzinis	cognitive
sakriteiba	coincidence
solts	cold
sabrukt	collapse
apkakle	collar
kolega	colleague
kolegi	colleagues
savuokt	collect
kolekceja	collection
augstškola	college
kruosa	color
bezkruosainys zalis idejis sirdeigai gulēja	colorless green ideas slept furiously
kruosa	colour
kolonna	column
ķemme	comb
salykums	combination
savīnuot	combine
nuokt	come
aj šur	come here
eimom	come on
ārtums	comfort
ārts	comfortable
ajūšs	coming
byus dreizumā	coming soon
komandēt	command
komentars	comment
komercials	commercial
komiseja	commission
apsajimt	commit
saisteibys	commitment
apsajiems	committed
prece	commodity
kūpeigs	common
izplateits	common
sasarunuot	communicate
komunikaceja	communication
kūpīna	community
ceļš iz dorbu	commute
pavadūņs	companion
uzjāmums	company
saleidzynuot	compare
saleidzynuojums	comparison
leidzjiuteiba	compassion
leidzjiuteigs	compassionate
sadereigs	compatible
sasaceņst	compete
kompetents	competent
saceņseibys	competition
konkrētspiejeigs	competitive
syudzētīs	complain
syudzeiba	complaint
kompliments	complement
pabeigt	complete
pavysam	completely
sarežgeits	complex
atbiļsteiba	compliance
sarežgeitai	complicated
kompliments	compliment
īvāruot	comply
sastuovs	composition
savīnuojums	compound
izpratne	comprehension
vysaptverūšs	comprehensive
kompromiss	compromise
obligats	compulsory
dators	computer
koncentrētīs	concentrate
koncepts	concept
problema	concern
uzatraucss	concerned
koncerts	concert
nūbeigums	conclusion
betons	concrete
stuovūklis	condition
nūsacejumi	conditions
vadeit	conduct
konfereņce	conference
atsazeit	confess
puorlīceiba	confidence
puorlīcynuots	confident
apstyprynuot	confirm
streids	conflict
apjucs	confused
apjukums	confusion
sveicīņs	congrats
sveicīns	congratulation
apsveicu	congratulations
savīnuojums	conjunction
sasavīnuot	connect
īkaruot	conquer
pi samanis	conscious
apziņa	consciousness
pīkrisšona	consent
sekys	consequences
saglobuošona	conservation
konservatis	conservative
apsvērt	consider
apdūmuots	considered
satur	consist
konsekveņce	consistency
konsekvents	consistent
pastuoveigs	constant
vysu laiku	constantly
aizcītiejums	constipation
byuvnīceiba	construction
patērēt	consume
patiereņš	consumption
kontakts	contact
lipeigs	contagious
saturēt	contain
satur	contains
myusdīneigs	contemporary
nycynuojums	contempt
saturs	content
konkurss	contest
konteksts	context
kontinents	continent
turpynuot	continue
leigums	contract
kontrasts	contrast
īsaguļdēt	contribute
īguļdejums	contribution
kontrolēt	control
pretruneigs	controversial
ierteiba	convenience
parūceigs	convenient
saruna	conversation
konvertēt	convert
nūdūt	convey
puorlīcynuot	convince
puorlīcynuots	convinced
gataveit	cook
taisūt ēst	cooking
forši	cool
sadarbeiba	cooperation
tikt golā	cope
varš	copper
kūdūls	core
kukuruza	corn
styurs	corner
pareizs	correct
cena	cost
kostims	costume
vosorneica	cottage
kūkvylna	cotton
divans	couch
kuoss	cough
varātu	could
padūme	council
skaiteit	count
skaiteituojs	counter
preteji	counter
vaļsts	country
lauki	countryside
puors	couple
drūsme	courage
vierzīņs	course
tīsa	court
pīkluojeiba	courtesy
bruolāns	cousin
muoseica	cousin
apkluot	cover
gūvs	cow
lāpuļs	coward
ārts	cozy
krabs	crab
plaisa	crack
omotnīceiba	craft
syuds	crap
avareja	crash
gribēšona	craving
ruopuot	crawl
troks	crazy
radeit	create
rodūšs	creative
kredits	credit
ruopot	creep
napateikams cylvāks	creep
spūceigs	creepy
komanda	crew
nūzīgums	crime
krīze	crisis
kriterejs	criteria
kritisks	critical
kritika	criticism
labeiba	crop
grīzt	crop
labeiba	crops
krysts	cross
vuorna	crow
pyuļs	crowd
puorbuozts	crowded
krūņs	crown
svareigs	crucial
nažieleigs	cruel
kruizs	cruise
sagraut	crush
raduot	cry
ogūrcs	cucumber
samīļuot	cuddle
kultura	culture
viļteigs	cunning
krūze	cup
skaps	cupboard
apmale	curb
dzīdēt	cure
zuolis	cure
komandantstuņde	curfew
ziņkuoreiba	curiosity
ziņkuoreigs	curious
čirkains	curly
valuta	currency
tagadejais	current
straume	current
niu	currently
luosts	curse
aizkors	curtain
spylvyns	cushion
īrodums	custom
klients	customer
īrodumi	customs
muita	customs
grīzt	cut
mīleigs	cute
cikls	cycle
braukt ar ritini	cycling
paps	dad
paps	daddy
kotru dīnu	daily
pīna produkti	dairy
dambis	dam
būjuojumi	damage
valna	damn
mytrs	damp
deja	dance
brīsmis	danger
beistams	dangerous
tymss	dark
duorgums	darling
dūmuzeime	dash
datums	data
datums	date
meita	daughter
dīna	day
mirs	dead
termiņš	deadline
kurls	deaf
darejums	deal
duorgais	dear
cīnejamī vysi	Dear All
duorgais klient	Dear Customer
cīnejamī vacuoki	Dear Parents
cīnejamais kungs	Dear Sir
cīnejamī studenti	Dear students
cīnejamuo komanda	Dear Team
nuove	death
streidētīs	debate
debits	debit
drupys	debris
poruods	debt
desmitgade	decade
sapyut	decay
nūmirs	deceased
maldynuot	deceive
decembris	december
pīkluojeigs	decent
izlemt	decide
izlamts	decided
lāmums	decision
kluojs	deck
atsaceit	decline
samazynuot	decrease
veļteits	dedicated
veļtejums	dedication
dorbs	deed
akts	deed
dziļš	deep
brīds	deer
nūklusejums	default
sakaut	defeat
aizsorguot	defend
definēt	define
nūteikti	definitely
definiceja	definition
grāds	degree
atlikt	delay
atlykts	delayed
izdzēst	delete
apzynuotai	deliberate
jiuteigs	delicate
garšeigs	delicious
prīks	delight
sajiusmā	delighted
pīguoduot	deliver
pīguoduots	delivered
pīguode	delivery
pīprasēt	demand
praseigs	demanding
demokrateja	democracy
demons	demon
paruodēt	demonstrate
līgts	denied
bleivums	density
zūbuorsts	dentist
nūlīgt	deny
departaments	department
atīšona	departure
atkareigs	depend
izvītuot	deploy
depozits	deposit
depresivs	depressed
depreseja	depression
dziļums	depth
apraksteit	describe
aproksts	description
tukšness	desert
nūpeļnēt	deserve
dizains	design
apzeimuojums	designation
gryba	desire
golds	desk
izmysums	despair
izmiss	desperate
par špeiti	despite
soldais iedīņs	dessert
golamierkis	destination
liktiņs	destiny
iznycynuot	destroy
izniceiba	destruction
detaļa	detail
detalis	details
atkluot	detect
apsajimšona	determination
nūsaceit	determine
apsajiems	determined
izpūsteits	devastated
atteistēt	develop
atteistēja	developed
atteisteiba	development
īrikte	device
valns	devil
veļteits	devoted
divehi	Dhivehi
diabets	diabetes
caureja	diarrhea
dīnysgruomota	diary
vuordineica	dictionary
izdareja	did
nūmiert	die
nūmyra	died
dieta	diet
atškireiba	difference
sovaižuoks	different
sarežgeits	difficult
rūc	dig
cīns	dignity
ceņteigs	diligent
vakarenis	dinner
mērce	dip
tīšs	direct
vierzīns	direction
direktors	director
zeme	dirt
nateirums	dirt
nateirs	dirty
atvīnuot	disable
naspiejeigs	disabled
pazust	disappear
apsamuoneit	disappointed
katastrofa	disaster
atsabreivuot	discard
izdalejumi	discharge
disciplina	discipline
atlaide	discount
atkluot	discover
diskriminaceja	discrimination
apsprīst	discuss
diskuseja	discussion
slimeiba	disease
slimeibys	diseases
nūslēpt	disguise
preteigs	disgusting
trauks	dish
trauki	dishes
atlaist	dismiss
nūsyuteit	dispatch
paruodēt	display
iznycynuošona	disposal
streids	dispute
attuolums	distance
atsaškir	distinct
atškiert	distinguish
cīsšonys	distress
izplateišona	distribution
apgobols	district
traucēt	disturb
bedre	ditch
atstuot	ditch
īnirt	dive
vysaids	diverse
dažaideiba	diversity
sadaleit	divide
dīveigs	divine
škieršonuos	divorce
sareibs	dizzy
voi	do
voi tu	do you
voi tu mani mīļoj	do you love me
uorsts	doctor
dokuments	document
dara	does
nadora	doesn't
suņs	dog
dogri	Dogri
dareit	doing
lele	doll
domens	domain
īkšzemis	domestic
dominejūšs	dominant
navajag	don't
nauzatrauc	Don't worry
zīduot	donate
izdareits	done
iezeļs	donkey
foršs	dope
dopings	dope
dubults	double
švuorbys	doubt
meikle	dough
lejā	down
zamluodēt	download
malnroksts	draft
viļkt	drag
nūtecēt	drain
drāma	drama
zeimēt	draw
atviļktne	drawer
zeimuojums	drawing
bailis	dread
sapnis	dream
kleita	dress
urbs	drill
dzierīņs	drink
braukt	drive
nūsvīst	drop
nūsvīsts	dropped
sausums	drought
pīdzērs	drunk
sauss	dry
peile	duck
zāns	dude
pīnuoceigs	due
saisteibā ar	due to
nagudrs	dull
naoss	dull
nagudrys	dumb
izsvīst	dump
ilgums	duration
laikā	during
puteklis	dust
pīnuokums	duty
apsamest	dwell
mierstūšs	dying
kotrs	each
vīns ūtru	each other
dedzeigs	eager
ierglis	eagle
auss	ear
agruok	earlier
agri	early
peļnēt	earn
auss	ears
zeme	earth
zemistreice	earthquake
vīglums	ease
vīglai	easily
austrumi	east
vīglai	easy
ēst	eat
ēsšona	eating
ekonomisks	economic
ekonomeja	economy
mola	edge
redigēt	edit
izgleiteiba	education
efekts	effect
nūdereigs	effective
efektivitate	efficiency
efektivs	efficient
pyulis	effort
ūla	egg
baklažans	eggplant
ego	ego
ostoni	eight
ostoņpadsmit	eighteen
ostoņdesmit	eighty
taipat	either
izstruoduot	elaborate
elkiuņs	elbow
vacuokais	elder
vacs	elderly
elegants	elegant
elements	element
zylūņs	elephant
vīnpadsmit	eleven
pīmāruots	eligible
likvidēt	eliminate
arī	else
apkaunuots	embarrassed
apkaunojūšs	embarrassing
apskuovīņs	embrace
pasaruodēt	emerge
uorkuortys	emergency
emocionals	emotional
leidzjusšona	empathy
uzsvors	emphasis
izceļt	emphasize
darbinīks	employee
darbinīki	employees
dorba deviejs	employer
nūdorbynuoteiba	employment
tukšs	empty
atļaut	enable
satikt	encounter
īdrūsynuot	encourage
beigys	end
apdraudeits	endangered
ceņtīni	endeavor
iztureiba	endurance
izturēt	endure
īnaidnīks	enemy
energeja	energy
īsasaisteit	engage
sasaderynuojs	engaged
sasaderynuošona	engagement
motors	engine
iņženers	engineer
angļu	English
palelynuot	enhance
izbaudeit	enjoy
miļzeigs	enormous
pīteikūši	enough
nūdrūsynuot	ensure
īīt	enter
izklaide	entertainment
aizrauteiba	enthusiasm
apjiemeigs	enthusiastic
vyss	entire
tīseigs	entitled
paruodeiba	entity
īeja	entrance
uzjiemiejs	entrepreneur
aplūksne	envelope
vide	environment
skaust	envy
episks	epic
epidemeja	epidemic
vīnaids	equal
apreikuojums	equipment
pošu kapitals	equity
vīnaids	equivalent
dziešgumeja	eraser
klaida	error
izbēgt	escape
eipaši	especially
eseja	essay
byuteiba	essence
svareigs	essential
nūdybynuot	establish
nūdybynuots	established
muiža	estate
aptuveni	estimate
aptuvens	estimated
i tai tuoļuok	etc
myužeigs	eternal
etika	ethics
izviertēt	evaluate
nūviertēšona	evaluation
vīnaids	even
koč ari	even though
vokors	evening
nūtykums	event
beiguos	eventually
sevkod	ever
kotrys	every
vysi	everybody
vysi	everyone
vyss	everything
pīruodejumi	evidence
ļauns	evil
evoluceja	evolution
atsateistēt	evolve
eve	Ewe
bejušais	ex
tīšs	exact
tīši	exactly
eksamens	exam
izpietēt	examine
pīmārs	example
puorspēt	exceed
breineigi	excellent
izjemūt	except
izjāmums	exception
līks	excess
puormiereigs	excessive
samaineit	exchange
satraukts	excited
satraukums	excitement
aizraujūšs	exciting
eipašs	exclusive
atlaid	excuse
atlaid mani	excuse me
izpiļdeit	execute
izpiļde	execution
izpyldvara	executive
aizdavums	exercise
izplyude	exhaust
pīkuss	exhausted
izstuode	exhibit
izstuode	exhibition
byut	exist
eseiba	existence
esūšs	existing
izeja	exit
izaplest	expand
sagaideit	expect
sagaidams	expected
tiereni	expenses
duorgs	expensive
pīredze	experience
eksperiments	experiment
eksperts	expert
nadereigs	expired
izskaidruot	explain
izskaidruojums	explanation
izmontuot	exploit
izpietēt	explore
eksportēt	export
atkluot	expose
atkluots	exposed
īdarbeiba	exposure
izsaceit	express
izteiksme	expression
pagarynuot	extend
pagarynuots	extended
pagarynuojums	extension
apjūms	extent
uorejs	external
izmirs	extinct
papyldu	extra
ekstrakts	extract
naparosts	extraordinary
ekstremals	extreme
cīši	extremely
acss	eye
acss	eyes
audums	fabric
burveigs	fabulous
seja	face
atvīgluot	facilitate
īstuodis	facilities
īstuode	facility
fakts	fact
faktors	factor
ryupneica	factory
fakti	facts
izbalēt	fade
naizadūt	fail
naizadevīs	failed
naveiksme	failure
nūgeibt	faint
gūdeigs	fair
gaišs	fair
gūdeigi	fairly
laumeņa	fairy
ticeiba	faith
uzticeigs	faithful
naeists	fake
nūkrist	fall
napareizs	FALSE
slava	fame
pazeistams	familiar
saime	family
bods	famine
populars	famous
sekuotuojs	fan
ventilators	fan
patikt	fancy
fantastisks	fantastic
tuoli	far
vysu lobu	farewell
ferma	farm
zemnīks	farmer
aizraunūši	fascinating
mūde	fashion
dreizs	fast
rasns	fat
nuovejūšs	fatal
liktiņs	fate
tāvs	father
nūgurums	fatigue
vaina	fault
meiluokais	favorite
labvieleiba	favour
meiluokais	favourite
bailis	fear
svineibys	feast
spolva	feather
īzeime	feature
sejis vaibsti	features
februars	february
apnics	fed up
moksa	fee
baruot	feed
atsauksme	feedback
just	feel
sajiuta	feeling
pādi	feet
nūkryta	fell
bīdrs	fellow
sajuta	felt
sīvīte	female
žūgs	fence
augleigs	fertile
festivals	festival
atnest	fetch
drudzs	fever
daži	few
daži	fewer
leigavaiņs	fiance
leigova	fiance
daiļliteratura	fiction
lauks	field
styprs	fierce
pīcpadsmit	fifteen
pīcdesmit	fifty
ceineitīs	fight
kaušonuos	fighting
figura	figure
saprast	figure out
fails	file
pīpiļdeit	fill
pīpiļdeits	filled
filma	film
fiļmēt	film
nateirs	filthy
beidzūt	finally
finaņsis	finance
finansials	financial
atrast	find
atrast	find out
labi	fine
piersts	finger
beigt	finish
pabeigts	finished
guņs	fire
styngrs	firm
pyrmais	first
vuords	first name
zivs	fish
derēt	fit
pīci	five
salobuot	fix
nūstyprynuots	fixed
karūgs	flag
zibspuļdze	flash
plokons	flat
tryukums	flaw
navainojams	flawless
bēgt	flee
mīsa	flesh
liduoja	flew
saspryndzynuot	flex
lūkons	flexible
ceiņa	flight
apgrīzt	flip
flirtēt	flirt
flirteišona	flirting
peļdēt	float
plyudi	flood
greida	floor
mylti	flour
tecēt	flow
puče	flower
viruss	flu
tekūšs	fluent
tekūši	fluently
pūkains	fluffy
škidrums	fluid
liduot	fly
uzmaneiba	focus
mygla	fog
myglains	foggy
lūceit	fold
ļauds	folks
sekuot	follow
sekuot leidza	follow up
sekojūt	following
iedīņs	food
nagudrys	fool
jūceigs	foolish
pāda	foot
futbols	football
par pīmāru	For example
pīmāram	for instance
tev	for you
aizlīgts	forbidden
spāks	force
prognoze	forecast
pīre	forehead
svešs	foreign
mežs	forest
iz myužim	forever
aizmierst	forget
pīdūt	forgive
aizmiersa	forgot
dakša	fork
forma	form
formals	formal
īprīškejais	former
par laimi	fortunately
boguoteiba	fortune
četrdesmit	forty
četrdesmit divi	forty-two
iz prīkšu	forward
audžu	foster
kuovēs	fought
atrosts	found
pamati	foundation
četri	four
četrpadsmit	fourteen
lopsa	fox
vuoreigs	fragile
rama	frame
rāmis	framework
kruopnīks	fraud
ķāms	freak
bezmoksys	free
breiveiba	freedom
sasaļt	freeze
bīžums	frequency
bīži	frequent
bīžai	frequently
svaigs	fresh
pīktdīne	friday
ladusskaps	fridge
draugs	friend
draudzeigs	friendly
draugi	friends
draudzeiba	friendship
nūsabejs	frightened
baileigs	frightening
varde	frog
nu	from
prīškā	front
sasaļs	frozen
auglis	fruit
naapmīrynuots	frustrated
degvīla	fuel
fulfulde	Fulfulde
pylns	full
jautri	fun
dorbuotīs	function
funkceja	function
svareigs	fundamental
bēris	funeral
smīkleigs	funny
vylna	fur
sirdeigs	furious
mēbelis	furniture
tuoļuok	further
kluot tam	furthermore
nuokūtne	future
īgiut	gain
spēle	game
škierba	gap
garaža	garage
atkrytumi	garbage
duorzs	garden
casnāgs	garlic
vuorti	gate
savuokt	gather
puļcēšonuos	gathering
dūbums	gauge
īdeve	gave
reiks	gear
mašynys uotrums	gear
dzymums	gender
kūpumā	general
vyspuoreibā	generally
izveiduot	generate
paaudze	generation
deveigs	generous
genials	genius
žanrs	genre
uzmaneigs	gentle
eists	genuine
žests	gesture
dabuot	get
sasagierb	get dressed
pīsaceļt	get up
atsaveseļoj dreiž	get well soon
dabojūt	getting
spūks	ghost
miļzeigs	giant
duovona	gift
ryžs	ginger
meitine	girl
draudzine	girlfriend
dūt	give
pasadūt	give up
dūts	given
prīceigs	glad
