a little	veháš
delicious	njálggis
delight	riepmu
delighted	ilosmuvvan
deliver	doalvut
delivered	dolvon
delivery	doaimmaheapmi
demand	johtu
demand	bearrat
demanding	gáibideaddji
democracy	demokratiija
demon	demona
demonstrate	vihtanuššat
denied	gildojuvvon
density	coahkkisvuohta
dentist	bátnedoavttis
deny	šiitit
department	juogus
departure	vuolgin
depend	luohttit
deploy	ávkkástallat
deposit	vurket
deposit	seastu
depressed	šlundon
depression	šlundivuohta
depth	čieŋalvuohta
describe	govvidit
description	govvádus
desert	sáttomeahcci
deserve	ánššášit
design	plánen
design	plánet
designation	nammadeapmi
desire	áŋggaštus
desire	hipmošit
desk	čállinbeavdi
despair	eahpedoaivu
desperate	doaivvuheapme
despite	fuolakeahttá
dessert	bajáluš
destination	mearrebáiki
destiny	vuorbi
destroy	duššadit
destruction	roahppi
detail	detállja
details	detáljat
detect	áicát
determination	mearrediđolašvuohta
determine	mearridit
determined	mearrediđolaš
devastated	jierásmuvvan
develop	ovddidit
developed	ovddiduvvon
development	ovdáneapmi
device	rusttet
devil	biro
devoted	gieris
Dhivehi	dhivehigiella
diabetes	diabetes
diarrhea	lužas
diary	beaivegirji
dictionary	sátnegirji
did	dagai
die	jápmit
died	jámii
diet	diehtta
difference	erohus
different	earálágan
difficult	váigat
dig	goaivut
dig	liikot
dignity	árvvolašvuohta
diligent	viššal
dinner	mállásat
dip	gástadit
direct	njuolga
direct	njuolgat
direction	guovlu
director	hoavda
dirt	duolva
dirty	duolvvas
disable	vahágahttit
disabled	bargonávccaheapme
disappear	jávkat
disappointed	behtton
disaster	fiásko
discard	bálkestit
discharge	bidjat eret
discipline	stivrra
discount	vuoládus
discover	gávdnat
discrimination	vealaheapmi
discuss	ságastallat
discussion	digaštallan
disease	dávda
diseases	dávddat
disguise	beaitit
disgusting	fasti
dish	reahtta
dish	lihtti
dishes	lihttebassan
dismiss	hilgut
dispatch	bijadit
display	bidjat oaidninláhkai
disposal	atnu
disposal	bálkesteapmi
dispute	gižžu
distance	gaska
distinct	sierra
distinguish	sirret
distress	áŧestus
distribution	juogadeapmi
distribution	juohkin
district	guovlu
disturb	muosehuhttit
ditch	goivvohat
dive	buokčan
dive	buokčat
diverse	máŋggalágan
diversity	máŋggaláganvuohta
divide	juohkit
divine	ipmillaš
divorce	earránit
divorce	earráneapmi
dizzy	šaddát oaivejorgásii
do	dahkat
do you love me	ráhkistatgo mu
doctor	doavttir
document	dokumeanta
does	dahká
doesn't	ii
dog	beana
Dogri	dogrigiella
doing	bargamin
doll	dohkká
domain	domena
domestic	ruovttueatnama
dominant	ráđđejeaddji
don't	ále
Don't worry	ále fuola
donate	skeŋket
done	dahkkon
donkey	ásen
dope	gárihuhttit
double	duppalastit
double	duppal-
doubt	eahpádus
doubt	eahpidit
dough	dáigi
down	vulos
download	viežžat
draft	hábmet
draft	čálisteapmi
drag	vanahit
drain	jakŋadit
drama	drámá
draw	geassit
drawer	skoahppa
drawing	devnnet
dread	hirbma
dread	ballat
dream	niegadit
dream	niehku
dress	gákti
drill	bora
drink	juhkat
drink	juhkamuš
drive	vuodjit
drop	goaikut
drop	goaikkanas
dropped	luittii
dropped	gahčai
drought	goikkisvuohta
drunk	juhkaluvvan
dry	goikkis
duck	vuojaš
dude	bojá
due	áššáigullevaš
due to	dan dihte go
dull	láittas
dumb	duihmi
dump	ruskabáiki
duration	bistin
during	áigge
dust	gavja
duty	geatnegasvuohta
dwell	orodit
dying	jápmimin
each	juohke
each other	nubbi nuppi
eager	movttet
eagle	goaskin
ear	beallji
earlier	árat
early	árrat
earn	ánssášit
ears	bealjit
earth	eana
earthquake	eatnandoarggástus
ease	álkivuohta
easily	álkit
east	nuorti
easy	álki
eat	borrat
eating	boradeapmi
economic	ekonomalaš
economy	ekonomiija
edge	ravda
edit	divodit
education	skuvlejupmi
effect	váikkuhus
effective	beaktil
efficiency	beaktilvuohta
efficient	beaktil
effort	viggamuš
egg	monni
eggplant	auberšiidna
ego	ego
eight	gávcci
eighteen	gávccinuppelohkái
eighty	gávccilogi
either	goabbat
elaborate	dárkil
elbow	gargŋil
elder	boarrásut
elderly	boareslágan
elegant	fiinnis
element	elemeanta
elephant	elefánta
eleven	oktanuppelohkái
eligible	gelbbolaš
eliminate	elimineret
else	muđui
embarrassed	váivášuvvan
embarrassing	givssálaš
embrace	fátmmastit
emerge	gávnnahallat
emergency	heahti
emotional	hearki
empathy	empatiija
emphasis	deaddu
emphasize	deattuhit
employee	bargi
employees	bargit
employer	bargoaddi
employment	barggolašvuohta
empty	guoros
enable	dahkat vejolažžan
encounter	gávnnadeapmi
encourage	movttiidahttit
end	loahppa
endangered	áitojuvvon
endeavor	rahčamuš
endurance	gillilvuohta
endure	gierdat
enemy	vašálaš
energy	energiija
engage	lohpádallat
engaged	várrejuvvon
engagement	lohpádallan
engine	mohtora
engineer	inšenevra
English	eaŋgalsgiella
enhance	lasihit
enjoy	návddašit
enormous	hirbmat
enough	doarvái
ensure	sihkkarastit
enter	čáŋadit
entertainment	áiggeájanas
enthusiasm	mokta
enthusiastic	movttet
entire	ollis
entitled	vuoigaduvvon
entity	ollisvuohta
entrance	boađáhat
entrepreneur	fitnodatdoalli
envelope	konfaluhtta
environment	biras
envy	gáđašvuohta
envy	gáđaštit
epic	epos
epic	epihkalaš
epidemic	epidemiija
equal	dásseárvosaš
equipment	biergasat
equity	govttolašvuohta
equivalent	vástta
eraser	sihkon
error	feaila
escape	báhtarit
especially	erenomážit
essay	essea
essence	luondu
essential	mávssolaš
establish	vuođđuduvvat
established	vuođđuduvvan
estate	opmodat
estimate	vurderet
estimated	meroštallon
etc	jna.
eternal	agálaš
ethics	etihkka
evaluate	árvudit
evaluation	árvvoštallan
even	juobe
even though	vaikko
evening	eahket
event	dáhpáhus
eventually	loahpas
ever	goassige
every	juohke
everybody	juohkehaš
everyone	buohkat
everything	visot
evidence	duođaštus
evil	bahá
evolution	evolušuvdna
evolve	ovdánit
Ewe	ewegiella
ex	ovddeš
exact	aiddolaš
exactly	justa
exam	iskkus
examine	dutkat
example	ovdamearka
exceed	mannat badjel
excellent	erenomáš buorre
except	earret
exception	spiehkastat
excess	liigi
excessive	badjelmearálaš
exchange	lonohallan
excited	movtta
excitement	mokta
exciting	gelddolaš
exclusive	oktovuoigaduvvon
excuse	dahkuágga
excuse me	ándagassii
execute	čađahit
execution	steavlideapmi
execution	čađaheapmi
executive	direktevra
exercise	hárjehus
exercise	hárjehallat
exhaust	váibadit
exhausted	fámoheapme
exhibit	čájáhallat
exhibition	čájáhus
exist	leahkit
existence	leahkin
existing	leahkki
exit	vuolgit
expand	viiddidit
expect	vuordit
expected	vurdojuvvon
expenses	golut
expensive	divrras
experience	vásáhus
experience	vásihit
experiment	iskan
expert	áššedovdi
expired	boarásmuvvan
explain	čilget
explanation	čilgehus
exploit	ávkkástallat
explore	dutkat
export	olggosfievrridit
expose	oainnihit
exposed	oidnosis
exposure	almmustuhttin
express	hoahppo-
express	ovdánbuktit
expression	dadjanvuohki
extend	guhkidit
extended	guhkiduvvon
extension	maŋideapmi
extent	viidodat
external	olgguldas
extinct	jávkan
extra	badjelmearálaš
extract	čájánas
extraordinary	eahpedábálaš
extreme	ekstrema
extremely	hui
eye	čalbmi
eyes	čalmmit
fabric	tiŋga
fabulous	fiinnis
face	deaivat
face	ámadadju
facilitate	álkidahttit
facilities	sadjji
facilities	biergasat
facility	lágádus
fact	fákta
factor	fáktora
factory	fabrihkka
facts	duohtadieđut
fade	ivnnehuvvat
fade	goldnat
fail	eahpelihkostupmi
fail	eahpelihkostuvvat
failed	eahpelihkostuvvan
failure	eahpelihkostupmi
faint	jámálgit
fair	čuovgat
fair	ávddalaš
fairly	oalle
fairy	háldáš
faith	jáhku
faithful	oskkáldas
fake	fake
fake	vearistuvvon
fall	gahččan
fall	gahččat
false	boastut
fame	bivnnutvuohta
familiar	oahpis
family	bearaš
famine	nealggiheahti
famous	beakkálmas
fan	fánsa
fan	bosan
fancy	sihtat
fancy	fiinnis
fantastic	fantásttalaš
far	guhkkin
farewell	earrodearvvuođat
farm	eanandállu
farmer	boanda
fascinating	geasuheaddji
fashion	lávva
fast	johtil
fat	buoidi
fatal	goddi
fate	galgamuš
father	áhčči
fatigue	váibasat
fault	vihki
favorite	jiellat
favour	bálvalus
favourite	jiellt
fear	ballu
fear	ballat
feast	doalut
feather	dolgi
feather	uvja
feature	iešvuohta
feature	gávdnot
features	iešvuođat
february	guovvamánnu
fed up	dolkan
fee	máksu
feed	biebmadit
feedback	máhcahat
feel	dovdat
feeling	dovdu
feet	juolggit
fell	njeaidit
fellow	verdde
felt	duohpi
female	njiŋŋálas
female	nisson-
fence	áidi
fertile	šattolaš
festival	festivála
fetch	viežžat
fever	feber
few	moadde
fewer	uhcit
fiance	irgi
fiction	fikšuvdna
field	gieddi
fierce	vilddas
fifteen	vihttanuppelohkái
fifty	vihttalogi
fight	doarrut
fight	doarru
fighting	doarrun
figure	jurđđašit
figure	nummir
figure out	čoavdit
file	fiila
fill	deavdit
filled	dievva
film	filbma
filthy	duolvvas
finally	viimmat
finance	ruhtadoallu
financial	ekonomalaš
find	gávdnat
find out	čielggadit
fine	fiinnis
fine	sáhkku
finger	suorbma
finish	geargat
finish	loahpahit
finished	gárvvis
fire	dolla
firm	fásta
firm	fitnodat
first	vuosttas
