ɖo aba	laid
atukpa	bottle
gᴐme	bottom
ƒle	bought
dzodzo	bounce
bla	bound
liƒowo	boundaries
bᴐbᴐ	bow
agba	bowl
aɖaka	box
ŋutsuvi	boy
nu bɔbɔ	common
nu bɔbɔe	cushion
si bɔbɔ	flexible
alɔnuga	bracelet
hɔhɔ̃	brain
alɔdze	branch
kalẽ	brave
abolo	bread
gbã	break
no	breast
gbɔgbɔ	breath
nyi	breed
kpe	brick
ŋgbɛtɔ	bride
agbasasã	bridge
kpuie	brief
klẽ	bright
keketa	broad
nyakaka	broadcast
ɖoko	broke
gbã	broken
xa	broom
nyo	brother in law
kɔdzẽ	brown
aɖuklɔnu	brush
nu bubu	alternative
kple bubuwo	etc
nu bubuwo	miscellaneous
tɔkpɔ	bucket
xɔ̃	buddy
gaɖaŋu	budget
nugbagbevi	bug
mɔkpɔkpɔ bu	hopeless
tu	build
xɔ	building
tu	built
nyitsu	bull
ŋutasẽla	bully
kpo	bump
kpo	bunch
babla	bundle
agba	burden
ɖi	buried
wo	burst
ɖi	bury
ʋugã	bus
gbeme	bush
dᴐwᴐna	business
akᴐta	bust
gake	but
bᴐta	butter
akpakpaluʋui	butterfly
awunugbui	button
ƒle	buy
na	cabbage
nudzraɖoƒe	cabinet
xadza	cage
akpɔnɔ	cake
nyivi	calf
yᴐ	call
yᴐ	called
yɔm	call me
va	came
gbeƒaɖeɖe	campaign
kansa	cancer
ŋutete	capacity
toxɔdu	capital
tanya	caption
le	capture
ʋu	car
dᴐwᴐna	career
ɖematsɔleme	careless
atikpala	carpenter
anyigbãvɔ	carpet
karɔt	carrot
tsᴐ	carry
wɔe	carry out
goe	case
ga	cash
da	cast
mɔ	castle
dadi	cat
lé	catch
hatsotso	category
nyiwo	cattle
lé	caught
ŋkumekaka	caution
agado	cave
tɔte	cease
agbakɛ	ceiling
gaxɔ	cell
titina	center
blinu	cereal
azãnuwɔna	ceremony
godoo	certainly
ɖasɛɖigbalẽ	certificate
kɔsɔkɔsɔ	chain
zikpui	chair
aklama	chance
trɔ	change
ʋunyaʋunya	chaos
nᴐnᴐme	character
nɔnɔmewo	characteristics
febubu	charge
dɔmenyo	charity
agbalẽgbadza	chart
amebaba	cheating
alɔgo	cheek
dzidzᴐkpᴐkpᴐ	cheers
notsibabla	cheese
kpɔdzidzɔ	cherish
na	chess
akᴐta	chest
ɖu	chew
koklo	chicken
fia	chief
ɖevi	child
ɖevinyenye	childhood
ɖeviwo	children
dzudzɔti	chimneys
glã	chin
tsokolɛti	chocolate
tiatia	choice
tia	choose
lã	chop
aƒemedɔ	chores
sɔleme	church
na	cinnamon
nᴐnᴐme	circumstances
dumevi	citizen
dugã	city
xɔ	claim
nusrɔ̃ƒe	class
anyi	clay
dzadzɛ	clean
klaki	clerk
asisi	client
kplekɔkɔ	cliff
na	climate
gaƒoɖokui	clock
tu	close
bebeƒe	closet
avɔ	cloth
nudodowo	clothes
lilikpo	cloud
fefewɔla	clown
dzesi	clue
ƒuƒoƒo	cluster
hehenala	coach
aka	coal
ƒuta	coast
dziwui	coat
kɔfi	coffee
nudzɔɖenunu	coincidence
fa	cold
kɔla	collar
hati	colleague
hatiwo	colleagues
lɔ	collect
nuƒoƒu	collection
kɔledzi	college
amadede	color
amadede	colour
akpa	column
ayiɖa	comb
nuƒoƒu	combination
ƒoƒu	combine
va	come
tso	come on
dzidzeme	comfort
dzidzeme	comfortable
gbɔna	coming
gbeɖeɖe	command
nutsotso	comment
nuʋuʋu	commission
ɖokuitsᴐtsᴐna	commitment
nudzadzra	commodity
nyatakaka	communication
hatsotso	community
kpeɖeŋutɔ	companion
hã	company
nusɔnu	comparison
dɔmenyo	compassion
nublanukpɔkpɔ	compassionate
ʋliho	compete
hoʋiʋli	competition
nyatoto	complain
nyatoto	complaint
kafukafu	complement
blibo	completely
sedziwᴐwᴐ	compliance
kafukafu	compliment
nuƒoƒu	composition
xɔxɔnu	compound
nugɔmesese	comprehension
kɔmpuita	computer
nunya	concept
dzitsitsi	concern
fefe	concert
nyanuwuwuw	conclusion
kɔkreti	concrete
nᴐnᴐme	condition
nɔnɔme	conditions
agbenᴐnᴐ	conduct
takpekpe	conference
kakaɖedzi	confidence
dzre	conflict
tᴐtᴐ	confused
tɔtɔ	confusion
dɔnɔɔ	congrats
dɔnɔɔ	congratulation
dɔnɔɔ	congratulations
nyatsyãnya	conjunction
doka	connect
ŋutenɔnɔ	consciousness
mᴐɖeɖe	consent
tɔtrɔgbela	conservative
edziedzi	constantly
miléle	constipation
xɔtutu	construction
ɖu	consume
kadodo	contact
vlododo	contempt
hoʋiʋli	contest
anyigbãga	continent
nubabla	contract
wɔƒe	contribution
dziɖuɖu	control
dzidzeme	convenience
dzeɖoɖo	conversation
nuɖaɖa	cooking
fa	cool
alɔdodo	cooperation
gadzẽ	copper
tometi	core
bli	corn
dzogoe	corner
de	correct
asixᴐxᴐ	cost
awu	costume
agblexɔ	cottage
ɖetsifu	cotton
kpe	cough
dudzikpɔha	council
xlẽ	count
nudaɖoƒe	counter
dukᴐ	country
kɔƒe	countryside
srɔ̃tɔwo	couple
dzideƒo	courage
mᴐ	course
ʋᴐnu	court
bubudeame	courtesy
nɔvi	cousin
akpa	cover
nyi	cow
vɔvɔnɔtɔ	coward
dzidzeme	cozy
agalã	crab
gbagbãƒe	crack
asinudɔ	craft
gbã	crash
te	crawl
wᴐ	create
gadodo	credit
dɔwɔha	crew
nuvɔ	crime
kuxigã	crisis
afɔɖeɖe	criteria
nyahehe	criticism
nuku	crop
nukuwo	crops
atitsoga	cross
akpavia	crow
ameha	crowd
fiakuku	crown
tsidzizɔzɔ̃	cruise
gbã	crush
na	cucumber
mimi	cuddle
dekᴐnu	culture
kplu	cup
agbalẽɖaka	cupboard
numekpɔkpɔ	curiosity
gɔdɔ	curly
ga	currency
fifia	current
fifi	currently
fiƒode	curse
xɔmetsovɔ	curtain
dekᴐnu	custom
asisi	customer
dekɔnuwo	customs
lã	cut
kpokploe	cute
gasɔ̃dodo	cycling
Melɔ̃ daanye	I love my big sister
papa	dad
asi dada ɖe nu dzi	approval
nu dada	hiring
papa	daddy
nyinotsi	dairy
dam	dam
nugbegblẽ	damage
ŋɔdzi	danger
dziŋᴐ	dangerous
Melɔ̃ danye	I love my mother
nyrɔ	dark
lᴐlɔ̃tᴐ	darling
fli	dash
na	data
ŋkeke	date
ŋkeke	day
ku	dead
si de	adequate
tokunɔ	deaf
nuɖoɖo	deal
lɔlɔ̃tɔ	dear
lɔlɔ̃tɔwo	Dear All
ku	death
nyahehe	debate
nugbegblẽ	debit
gbeɖuɖɔ	debris
fe	debt
nyinyɔ	decay
ble	deceive
dzome	december
ɖoe	decided
nyametsotso	decision
sãdzi	deck
tsɔtsɔdesi	dedication
le dedie	intact
mele dedie o	insecure
le dedie	safe
yameʋuɖoɖo dedie	safe flight
le dedie	secure
nɔ dedie	stay safe
tsɔ de dɔwɔwɔ me	implement
nuwɔwɔ	deed
mexɔe de eme	noted
goglo	deep
sẽ	deer
gᴐmedzeƒe	default
anyidzedze	defeat
kokooko	definitely
gɔmeɖeɖe	definition
ɖe de go	expose
ɖoƒe	degree
si de ha kple	associated
dzidzɔnu	delight
woɖee	delivered
vidzidzi	delivery
bia	demand
ablɔɖegbadza	democracy
gbɔgbɔvɔ̃	demon
toto	density
si de ŋgɔ wu	superior
dzodzo	departure
teteɖeanyi	depression
goglome	depth
ɖᴐ	describe
nuɖᴐɖᴐ	description
dzogbe	desert
aɖaŋudɔ	design
dzesidede	designation
dzimedidi	desire
kplᴐ	desk
dziɖeameƒo	despair
togbɔ	despite
numeɖenu	dessert
deƒe	destination
dzɔgbe	destiny
gblẽ	destroy
nugbegblẽ	destruction
emenuwo	detail
emenuwo	details
kutrikuku	determination
aɖoe	determine
ŋgᴐyiyi	development
mᴐ	device
abosaŋu	devil
Dhivehi	Dhivehi
suklidɔ	diabetes
dɔmetɔtrɔ	diarrhea
nuleɖigbalẽ	diary
nyadigbalẽ	dictionary
wᴐe	did
dome didi	apart
ɣeyiɣi didime	duration
le didim	keen
anyinɔnɔ didi	sustainability
ku	die
ku	died
vovototo	difference
sesẽ	difficult
bubu	dignity
tẽe	direct
mɔfiame	direction
dɔdzikpɔla	director
ɖi	dirt
bu	disappear
dzɔgbevɔ̃e	disaster
hehe	discipline
ɖedzi	discount
azitiazime	discrimination
numedzodzro	discussion
dᴐléle	disease
dɔlélewo	diseases
nyɔŋu	disgusting
nuɖuɖu	dish
nuɖaɖawo	dishes
dɔ	dispatch
nyahehe	dispute
didiƒe	distance
nuteɖeamedzi	distress
nuto	district
ʋe	ditch
vovovowo	diverse
vovototo	diversity
ma	divide
srɔgbegbe	divorce
wo di	wanted
Mele diwòm	I want you
wɔ	do
ŋɔ do	bore
ɖɔkta	doctor
agbalẽ	document
ku do	dig
ŋɔ do	drill
wᴐa	does
mewɔ	doesn't
avu	dog
Dogri	Dogri
esi do le emm	exception
si do le kpome	surprise
atividzĩ	doll
dziɖuƒe	domain
wo dome	among
ve dome	average
wo dome	within
tedzi	donkey
si do ŋgᴐ	previous
do do	out
movitɔ	dope
ɖikeke	doubt
amɔ	dough
anyi	down
elɔ̃a	do you
de dɔ asi	assign
de dɔ asi	deploy
de dɔ asi na	engage
nya dɔ	competent
yɔ dɔ	cure
Míaƒe dɔdeasi: míade xexeame nyadzɔdzɔwo ɖoɖo me aha wɔe be woanɔ alɔdzi ahaɖevi na ame sia ame si le xexeame.	Our mission: to organize the world's information and make it universally accessible and useful.
Míaƒe dɔdeasi: míana be ame sia ame, le afi sia afi nase xexeame gɔme eye woaƒonu be gbe bubu dolawo hã nase.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
wɔa dɔ	effective
yɔ dɔ	heal
le dɔ lém	sick
do dɔmedzui	rage
nyo dɔme	kind
nye dɔnuitɔ	stingy
to dɔ	snap
le dɔwɔm	active
le dɔ wɔm	busy
le dɔ wɔm	occupied
le dɔwɔm	working
wᴐ dᴐ ɖe edzi	affect
wᴐ dᴐ ɖe nu dzi	impact
wᴐ dᴐ ɖe nu dzi	influence
wᴐ dᴐ	function
le dᴐ lém	ill
wᴐ dᴐ nyuie	efficient
ƒe dᴐwᴐna	effect
he	drag
no	drain
fefe	drama
drɔ̃	drawer
nutata	drawing
drɔ̃e	dream
awu	dress
no	drink
ku droẽ viviwo	sweet dreams
ge	drop
kuɖiɖi	drought
ŋɔdzi drɔẽ	nightmare
ƒu	dry
kpakpaxe	duck
ame	dude
le du dzi	running
le du ƒum	jogging
syiɔ̃	dull
ƒu du	ran
ƒu du	run
si du	rush
ʋuʋudedi	dust
dᴐdeasi	duty
nɔ	dwell
le dzadzɛ	tidy
nu dzadzraɖo	maintenance
mo dzaka	bored
si dze	appropriate
ɖo dze	chat
si dze nyuie	ideal
esi dze ŋgᴐ	opposite
si dze	remarkable
de dzesi	acknowledge
de dzesi	detect
de dzesi	identify
kpɔ dzesi	noticed
de dzesi	realized
de dzesi	recognize
asinu dzesi	signature
dɔléle dzesi	symptoms
de dzesi	tick
si dzeti	rigid
ɖo dze	toast
dzᴐa dzi	admire
tsi dzi	anxious
wo dzi	born
lia dzi	climb
ɖu dzi	conquer
tsi dzi	desperate
kpɔ dzidzedze	succeed
kpɔ dzidzɔ	cheer
kpɔ dzidzɔ	delighted
kple dzidzɔ	enthusiastic
kpɔ dzidzɔ	excited
kpɔ dzidzɔ	have fun
le dzidzɔ kpɔm	cheerful
nye dzidzɔ	my pleasure
kpɔ dzidzɔ nyuie	enjoy
do dzidzɔ	thrilled
doa dzidzᴐ	exciting
de dzi ƒo	foster
de dziƒo	inspire
de dzi ƒo na	encourage
le dzigbɔɖi me	carefully
do dzi	hold on
kpᴐ dziku	angry
doa dziku	annoy
kpɔ dziku	annoyed
kpɔ dziku	furious
kpɔ dziku	upset
ata dzi	lap
kᴐe dzi	lift
trɔ dzime	convert
ɖu dzi	overcome
yi dzi	rise
yi dzi	surge
ɖu dzi	win
si dzi woɖo asi	suspended
si dzi womaxᴐ ase o	incredible
si dzi womeɖo kpee o	tentative
ɖu dzi	won
tsi dzi	worried
si dzi wotᴐ asi	specific
bi dzo	burn
klẽ dzo	glow
xᴐ dzo	hot
de dzo le eme	disable
xɔ dzo	warm
medi dzɔgbenyuie na wò	wish you all the best
si dzɔna ɖa	constant
si dzɔna	usual
xɔ dzudzɔ	retired
hee ɖa anyi	download
ɖe ɖa	delete
susu ɖaɖɛ	genius
ɖee ɖa	eliminate
ɖoe ɖa	export
doe ɖa	introduce
doe ɖa	recommended
ɖo ɖa	refer
ɖe ɖa	rid
agbaɖoɖo ɖa	shipping
doe ɖa	suggest
ɖee ɖa	withdraw
ku ɖe	about
Ŋlɔe ɖe afi sia	Write here
ɖe ɖe aga	exclusive
ɖe ɖe aga	isolated
ɖeɖe ɖe aga	quarantine
vevesese ɖe amebubu teƒe	empathy
kpe ɖe ame ŋu	helpful
de ɖe anyi	depressed
te ɖe anyi	press
da ɖe anyi	underrated
te ɖe	approach
lé ɖe asi	held
hekpe ɖe	as well as
ku ɖe	based
kᴐe ɖe dzi	raise
kɔ ɖe dzi	raised
nu ɖeɖe ɖe go	exhibition
te ɖeɖi	exhaust
te ɖeɖi	tire
ke ɖee	by the way
lɔ̃ ɖe edzi	accept
lɔ̃ ɖe edzi	agree
ka ɖe edzi	certain
sɔ ɖe edzi	compatible
ka ɖe edzi	confident
tsi ɖe edzi	developed
dzi ɖe edzi	increase
sɔgbɔ ɖe edzi	increased
woaka ɖe edzi	reliable
ka ɖe edzi	sure
ka ɖe edzi	trust
te ɖe egbɔ	reach
google ɖe egɔme	Google Translate
ŋe ɖe eme	cringe
ge ɖe eme	join
no ɖe eme	shrink
ƒoe ɖe enu	convince
ƒoe ɖe enu	convinced
kpee ɖe eŋu	add
le ɖe eŋu	attach
ke ɖe eŋu	find out
kpe ɖe eŋu	further
dae ɖe gbebugbe	postpone
ɖe ɖe go	exhibit
ɖe ɖe go	exposed
ɖeɖe ɖe go	exposure
yina ɖe	going to
ɖe ɖe go	reveal
do ɖe gota	hang out
wɔ ɖeka	associate
akpa ɖeka dzidede	bias
ame ɖeka ƒe nu	personal
dze ɖeka	handsome
ame ɖeka	individual
gbegbɔgblɔ ɖeka mede gbɛɖɛ o	one language is never enough
zi ɖeka	once
mɔ ɖeka toto	consistency
nu ɖeka	unit
ɖoɖo ɖe kɔkɔme nu	hierarchy
ɖe ɖe le eme	compromise
tsᴐ ɖe le eme	concerned
hehe ɖe megbe	delay
he ɖe megbe	delayed
he ɖe megbe	hesitate
gbetete ɖe nu dzi	emphasis
lele ɖe nu ŋu	attachment
lena ɖe nu ŋuti	clingy
ku ɖe nu ŋuti	hang
he ɖe ŋgɔ	extend
do ɖe ŋgɔ	promote
do ɖe ŋgɔ	upgrade
do ɖe ŋgᴐ	enhance
doe ɖe ŋgᴐ	update
le ɖe te	sustain
nye ɖevi	young
egᴐme ɖe	what do you mean
te ɖe wo nɔawo ŋu	intimate
ŋkɔwò ɖɛ	what is your name
ŋkɔwò ɖɛ	what's your name
gble ɖi	abandon
dae ɖi	deposit
ƒo ɖi	dirty
do ɖi	dive
dae ɖi	dropped
kᴐe ɖi	dump
gblɔe ɖi	forecast
nu ɖi gbɔlo	vacuum
yi ɖi me	faint
yi ɖime	unconscious
gblẽ ɖi	neglect
le ɖi	preserve
da ɖi	put
gbɔdzi ɖi	relax
le ɖi	retain
va ɖo	arrive
nu ɖoɖo	deliberate
nuɖuɖu ɖoɖo	diet
zi ɖoɖoe	mute
zi ɖoɖoe	quiet
zi ɖoɖoe	shut up
zi ɖoɖoe	silent
nu ɖoɖo	intention
nu ɖoɖo	organization
kplᴐe ɖo	follow
dzra ɖo	kept
tsɔ ɖokui na	volunteer
kpɔ ɖokuiwò dzi	be careful
dzrae ɖo	repair
dzrae ɖo	save
wɔ ɖɔɖɔɖo	adjust
aɖu ɖɔkta	dentist
nu ɖuɖu	consumption
si ɖu wo kata dzi	dominant
hɔ̃	eagle
to	ear
kaba	early
towo	ears
anyigba	earth
anyigbãʋuʋu	earthquake
bɔbɔe	ease
bɔbɔe	easily
ɣedzeƒe	east
bᴐbᴐe	easy
ɖu	eat
to	edge
le edim	interested
gblẽ edome	ruin
susᴐsrɔ̃	education
yi edzi	carry on
wɔ edzi	comply
yi edzi	continue
gbɔ edzi	exceed
kpɔ edzi	manage
yi edzi nenema	keep it up
wɔ edzi	obey
yi edzi	proceed
ɖe edzi	reduce
dze edzi	successful
ƒo edzi	tap
do eɖokui ɖe dzi	flex
ɖe eɖokui fia	manifest
bᴐbᴐ eɖokui	humble
tsɔ eɖokui na	committed
tsɔ eɖokui na	devoted
yɔadɔ eɖokui	self healing
le eɖokui si	independent
he eɖokui	strain
di eɖokui tᴐ	selfish
ŋtete	effort
hello efɔ̃a	hello how are you
hello efɔ̃a	hello how are you doing
aleke, efɔ̃a	hi how are you
tso egbɔ	due to
le egbɔ	next to
kpᴐ egbᴐ be	ensure
koklozi	egg
agbitsa	eggplant
amenyenye	ego
le egodo	external
dze egɔme	began
le egɔme	beneath
ɖe egɔme	define
dze egɔme	started
se egɔme	understood
dze egᴐme	begin
mese egᴐme	I understand
gadze egᴐme	resume
dze egᴐme	start
se egᴐme	understand
enyi	eight
wuienyi	eighteen
blaenyi	eighty
abɔkuglui	elbow
ametsitsi	elder
amegaxoxo	elderly
na	element
atiglinyi	elephant
wuiɖɛkɛ	eleven
bubu	else
to eme	across
ɖe eme	clarify
ʋu eme	confess
le eme	contain
le eme	contains
ato eme	cope
dee eme	dip
dzro eme	discuss
ɖe eme	elaborate
geɖe eme	enter
ɖe eme	explain
ɖe eme	express
dee eme	insert
geɖe eme	interfere
ɖe eme	into
le eme	involve
le eme	involved
to eme	pass
dzro eme	review
kpomenya	emergency
he eme	stretch
tutu eme	swap
to eme	through
to eme	via
dᴐwᴐla	employee
dɔwɔlawo	employees
dɔtɔ	employer
dɔwɔɖua	employment
ƒuƒlu	empty
gododo	encounter
nuwuwu	end
dzidodo	endurance
dodzi	endure
futɔ	enemy
ŋusẽ	energy
dzogoe ene	square
srɔɖeɖe	engagement
mɔ	engine
aɖaŋudɔwɔla	engineer
iŋlisi	English
ede	enough
modzakaɖeɖe	entertainment
dzidzɔkpɔkpɔ	enthusiasm
katã	entire
dɔwɔƒe	entity
mɔnu	entrance
asitsala	entrepreneur
wu enu	accomplish
le enu	according
wu enu	complete
tsi enu	curb
wu enu	finish
wu enu	finished
ble enu	persuade
le enu	regarding
le enu	valid
agbalẽkotoku	envelope
xexeãme	environment
ŋubiabiã	envy
lᴐlɔ̃tᴐ enyo	okay honey
le eŋu	along
kpeɖe eŋu	besides
gbɔ eŋu	beyond
bu eŋu	consider
bu eŋu	considered
bu eŋu	imagine
kpeɖe eŋu la	beside
kpeɖe eŋu la	furthermore
kpeɖe eŋu la	in addition
kpeɖe eŋu la	moreover
ɖo eŋu	reply
ɖo eŋu	respond
ɖo eŋu	solve
dɔtsatsa	epidemic
sɔ	equal
dᴐwᴐnu	equipment
sɔsɔ	equity
nuŋɔŋlɔtutunu	eraser
vodada	error
