a	Langai
ambition	ra sharawng myit
ambition	grai byin mayu ai myit
ambitious	myit da ai bandung
amend	grau kaja hkra galaw ai
amend	galai kau ai
amend	gram lajang ai
amid	ka ang kaw
amid	kata kaw
among	lapran
among us	anhte lapran
amount	jahpan
amusing	mani pyaw mai ai
an	langai
analysis	myit san jep yu ai lam
analysis	gawn yu ai lam
analysis	npawt ndung jep yu ai lam
ancestors	jiwoi jiwa
ancestors	kaji kawoi
anchor	sanghpaw dun ai hpri chying hkyi
anchor	hpri chying hkyi jahkrat ai
ancient	shawng ninghpawt
ancient	chaloi nhkoi
ancient	moi na
and	Hte
and you	nang taw?
and you	nang gaw?
angel	lamu kasa
angel	sumnung shingdi ai wa
angel	mara nkap ai wa
anger	masin pawt un ai
anger	sinpawt la htet
angle	maga mi tingkyeng nna shiga tang madun ai
angle	mada yu ai shara
angle	nga myek ai
angry	shapawt ai
angry	ka un ai
angry	masin pawt
animal	du sat
ankle	lakre
anniversary	ladu hkrum
announcement	shana shabra ai lam
announcement	ndau shabra ai lam
annoy	myit shanuk shangun ai
annoyed	shatsang ai
annoyed	ahtu ai
annoyed	dingsa ai
annoying	shatsang ai
annoying	dingsa ai
annual	shaning shagu
anonymous	mying nchye ai wa
another	laga langai
another	kaga langai
answer	mahtai
answer	htai ai
anticipate	tau hkrau n na
anticipate	shawn di chye ai
anticipate	nau nna galaw ai
anxiety	myit pu ai lam
anxiety	myit tsang ai lam
anxious	tsang ai
any	gara tim
anymore	matut n na
anymore	ya
anyone	kadai rai rai
anything	rai rai
anyway	hpa mi nga nga
anyways	gara hku mi nga nga
anyways	gara hku mi raitim
apart	kaga ran di ai
apart	kaga san re ai
apart	tsan tsan
apartment	gawk
apologize	hpyi nyem ai
apologize	hpyi shawn ai
apparent	asan re ai
apparent	dan dawng ai
apparent	dan leng ai
apparently	mawt
appeal	hpyi lajin ai
appeal	akroi anoi hpyi lajin ai
appear	hkrang sai
appear	shadan ai
appear	dan pru ai
appearance	nsam
appeared	paw pru wa ai
appeared	dan pru wa ai
appeared	du sa wa ai
appetite	namta
appetite	n gup nam ta
apple	ja makawk si
apple	makawk si
application	chya ai
application	shawk shawn ai
application	jai lang ai
apply	shawk ai
apply	jai lang ai
appointment	masat da ai shara
appointment	masat da ai ten
appreciate	masat masa galaw ai
appreciation	sharing hkungga ya ai
appreciation	grai manu shadan ai
approach	ladat
appropriate	htuk manu ai
approval	myit hkrum ya ai lam
approval	ra sharawng lam
approve	shagrin da ai
approve	ra sharawng ya ai
approve	myit hkrum ya ai
approved	shagrin da ai
approved	myit hkrum ya ai
approximately	daram
april	shala ta
arbitrary	kam mara re ai
arbitrary	myit shading ai
architect	nta gaw gap kajang ai wa
architect	htinggap ninghkring
archive	hkap la lu ai
archive	hkam la lu ai
are	re ma ai
are	rai ma ai
are you	nang gaw?
are you busy	Nang kyin taw ai i?
are you married	dinghku hte re i?
are you married or single	dinghku hte re i shing n rai shingtai i?
Are you still there?	Nang dai kaw sha naw re i?
are you there	nang dai kaw re i?
area	ginra
area	lamu ga
argue	ga law ai
argue	ashai ai
argue	dara hkat ai
argument	ndang kalang
argument	dang rang ai lam
arise	rawt sa ai
arise	lung wa ai
arm	lahpum
army	hpyen la
around	grup
arrange	shachyip ai
arrange	tau hkrau hkyen lajang ai
arrangement	hkyen lajang ai lam
arrangement	shachyip ai lam
arrival	du sa ai lam
arrival	du wa ai
arrival	du dep ai
arrive	du ai
arrive	gale ai
arrived	du ai
arrived	gale ai
arrogant	gawng ai
arrogant	raidum ai
arrow	pala
arrow	lashi pala
art	si mani hpaji
art	shingni hpa ji
art	shaman hpaji
article	sumroi
artificial	ta hte galaw ai
artist	sumla sara
as	zawn
as long as	ding sa
as well	mung
as well as	mung
ash	dap
ashamed	kaya kahpa
ask	hpyi ai
ask	san ai
asked	jep ai
asked	san ai
asleep	yup malap taw ai
asleep	yup pyaw ai
aspect	ningmu
aspect	nsam
assault	gasat ai
assault	htim gasat ai lam amu
assembly	rapdaw zuphpawng
assembly	zuphpawng shara
assertive	madu hkum madu kam lai ai lam
assess	dinglik ai
assessment	sagawn ai lam
asset	gwi gwi tsun ai
assets	madu lu ai rai
assets	nlawm nmai ai rai
assign	lit apnawng ai
assign	masat da ai
assign	apnawng ya ai
assignment	bungli
assignment	lit
assist	lakawn ai
assist	ningrum ningtau di ai
assist	karum ai
assistant	garum ai wa
assistant	ningtau
associate	kanawn manang
associate	kanawn ai
associate	mazum ai
associated	hkau chyap ai
associated	kanawn mazum ai
association	hpung
assume	hkam la ai
assumption	matsing la ai lam
assumption	hkam la ai lam
assumption	galaw masu ai lam
at	shara e
at	aten e
at least	yawm dik
ate	sha ai
athlete	ginsup ninghkring
attach	shakap ai
attach	kap ai
attach	noi ai
attached	let
attachment	shakap ai
attachment	kap ai
attachment	noi ai
attack	hpyen htim ai
attack	gasat ai
attack	htim ai
attempt	shakut ai
attend	lung ai
attend	shang lawm ai
attendance	rung lung ai lam
attendance	sa du ai lam
attention	myit maju jung ai
attitude	myit masa
attitude	Ning mu
attract	gang ai
attract	mawng ai
attract	myit shakap la ai
attraction	myit shakap la ai lam
attraction	mawng ai lam
attractive	yu ra shingni
attribute	nsam kumla
attribute	seng ang ai
attribute	shingkang
audience	shawa masha
august	gupshi ta
aunt	A tung
aunty	a tung
aunty	a moi
authentic	ajet re ai
authentic	majing sawng
author	laika ka ai wa
author	laika ka sara
authority	ahkang aya
authority	daru magam
autumn	nmut ta
available	mai lu ai
available	lu mai ai
average	lapran
avoid	koi yen ai
avoid	koi gam ai
awake	yup hprang ai
awake	yup jasu ai
award	shagrau kumhpa
award	shagrau kumhpa jaw ai
award	kumhpa shagrau ai
aware	maja ai
aware	sadi ai
awareness	maja ai
awareness	ningmu jahpaw ai
awareness	sadi ai
away	tsan ai
awesome	mauhpa
awful	tsawmra mi nkaja ai
awkward	apai ai
awkward	nchye nkaw re ai
baby	ma nga
bachelor	brang tung brang la
back	hting nut ai
back	hpang de
background	shingdu na
bad	nkaja ai
bag	nhpye
bait	nga shat bang ya ai
bait	nga n shat noi ai
bait	nga myek shat
bake	kabaw ai
bake	ju ai
bake	kakang ai
bakery	muk galaw ai shara
bakery	muk ju shara
baking soda	muk ka kang ai kaw lang ai hpan
balance	joi jang ai
ball	gaw din
banana	langu si
band	gyit hkang ai
band	dum sumpyi hpung
band	adawt nsen
bang	gayat nsen ngoi ai
bang	ma ja gayat ai
bank	hka hkin gau
bank	gumhpraw dum
bar	tsa seng
bar	dinggrang
barely	sha naw
barely	dai ram sha
bargain	manu dara ai
bark	hpun kawp
bark	hpun hpyi
bark	gwi wau ai
barley	n nga ai daram
barley	ram sha
barrier	numdaw numdan
barrier	dingbai ai rai
base	npawt ru di
base	ningpawt
based	mahta n na
basement	ga npu htap
basic	npawt nhpang
basic	ru di ru hpang hte seng ai
basically	ru di ru hpang hku ngu yang
basil	shingtawn pan
bastard	ninggyi
batch	masha pang
batch	pang
bath	kashin kamun ai
bath	hka shin ai lam
bathroom	hka shin gawk
battery	wan dek
battery	nga rai wan dek
battle	majan pa
bay	hpung jut
bay	gwi wau ai
be careful	sadi saka u
beach	panglai hkin gau
beam	ngau ring
beans	shapre ni
beans	naw kwi
beans	naw lep
bear	tsap
beard	nhka mun
bearing	sat lawat
bearing	hkawm sa shamu shamawt
beast	du sat
beast	matse labye
beat	adup ai
beat	dum ai
beat	gayet ai
beautiful	Tsawm htap ai
beautiful	Tsawm dik ai
beauty	tsawm htap ai lam
beauty	sari rawng ai lam
became	byin wa ai
because	hpa majaw ngu yang
because	hpa majaw nga yang
become	tai ai
become	byin wa ai
bed	yup ku
bed	yup ra
bedroom	yup gawk
bee	lagat
beef	nga shan
been	ga ai
beer	tsa hku
beer	chyaru
before	nrai shi yang
before	ndu shi yang
began	hpaw hpang ai
began	npawt sharawt ai
begin	hpang ai
beginning	npawt nhpang
behalf	gawng malai
behalf	malai
behave	jak kyi ai
behave	hkawm sa ai
behave	kanawn mazum ai
behavior	akyang
behaviour	lai nsam
behaviour	sat la wat
behind	ngam kau da sai
behind	hpang de
being	prat
being	hkrung kanu
belief	kam sham ai lam
belief	makam masham
believe	kam hpa ai
belly	kan
belong	seng ai
beloved	nja nhpra re ai
beloved	nachying tsawra ai
below	npu e
below	npu kaw
belt	shingkyit
bench	dunghkum galu
bend	gum dagup ai
bend	magaw ai
beneath	npu
benefit	akyu ara
benefits	hkam la lu ai akyu
benefits	akyu chyeju
beside	makau e
beside	hta n ga
beside	makau mayang e
besides	makau
best	kaja dik htum
best of luck	gam kaja dik u ga
best of luck	gam kaja u ga
best regards	hkungga let
better	grau kaja ai
between	lapran
beverage	malum ntsin
beverage	lu hpa ntsin
beyond	de hpang
beyond	dawn jan ai
beyond	tawt lai
bias	maga ai
bias	myi man lata ai
biased	myiman lata ai
bicycle	lagaw leng
bid	shaw shingjawng gat hta manu jaw ai
bid	karam ga tsun ai
big	kaba ai
bike	lagaw leng
bill	shabrai
bind	hkang ai
bind	gyit ai
bird	u
birthday	shangai n htoi
bit	loi mi
bite	achye
bite	ga wa ai
bite	makret
bitter	hka ai
bitter	ahka
black	achyang a mang
black	chyang ai
blade	ningshan
blame	mara shagun ai
blame	shara ai
blank	kaman re ai
blanket	hpa jawng
blanket	hpun nba
blast	kapaw ai
bleach	hpraw hkra galaw ai
bleach	jahpraw kau ai
blend	pan gayau ai
blend	gayau gaya di ai
bless	shaman ya ai
blessed	shaman ya u ga
blind	myi nmu ai
blind	kyaw ai
bliss	a lu ai lam
bliss	a lu ai chyeju
block	pat shingdang ai
block	tawng
blood	sai
bloom	pu pu ai
blow	bung ai
blow	ahpawt ai
blow	hpyi
blue	chyamut
blue	amaw
blue	maw
blunt	dup dup re ai
board	hpun pyen pa
board	mungbawng hpung
boat	li
body	hkum hkrang
boil	prut ai
boil	shadu shaprut ai
bold	mu mada ai
bold	dan dawng ai
bold	gwi ai
bond	lit la ai
bond	myit hkrum ai
bond	ga shaka ka ai
bone	nra
book	laika
book	laika buk
boost	shagreng ai
booster	shagreng ai
boot	kyepdin
boots	htungdin
boots	kyep din
border	lamu jarik
bore	lau mat ai
bore	jin mat ai
bore	nkam mat ai
bored	lagawn
bored	ajin aban
boring	lagawn
boring	ajin aban
born	shangai ai
borrow	hkoi ai
borrow	shap ai
boss	sa hte
boss	lau ban
both	Lahkawng yen
bother	kanau
bother	kahpu
bottle	ndum
bottle	dumlawng
bottle	soi
bottom	htum pa
bottom	npawt
bought	mari ai
bounce	kahtan ai
bounce	gumtsat ai
bound	masat da ai lam
bound	lam masat ai
boundaries	lamu ga jarit
bow	gum ai
bowl	hka wan
box	sadek
box	htwi ai
box	sumpu
boy	la kasha
boyfriend	manang la
boyfriend	sumtsaw
bracelet	lahkawn
brain	baw nu
branch	laking
branch	lakung
brand	wan nhtaw
brand	dazik
brave	mazut ai
brave	magrau grang ai
breach	shada sadi hka mat ai lam
bread	muk
break	ga
break	di
break	daw hten ai
breakfast	jahpawt shat
breast	madoi chyu hpang
breast	sinda
breast	chyu tauba
breath	nsoi nsa
breath	nsa sa ai
breathe	nsa sa ai
breed	jat wa ai
breed	mayat wa ai
breed	rem ai
brick	wut tawng
bride	num ningnan
bride	num n nan
bridge	mahkrai
brief	ntsa lam
bright	htoi tu ai
bright	kabrim ai
brilliant	mala shala ningtawn dik ai
brilliant	htoi ala ai
bring	la sa wa ai
bro	ba
broad	dam lada ai
broad	chyam hkra
broadcast	nsen shapoi ai
broadcast	shiga
broke	ga mat ai
broke	hten mat ai
broken	hka bra ai
broken	ga ai
broom	dun ye
broom	ding ye
brother	kanau
brother	kahpu
brother in law	hkau
brought	la sa wa ai
brown	amang re ai
brown	amang nsam
brush	arut ai
brush	arut ahpu ai rai
bucket	hka pung
buddy	manang
budget	gumhpraw jahpan
bug	shakrep
build	gaw ai
build	gap ai
building	gaw gap ai
building	nta
built	gaw gap ai
built	shachyaw ai
bulk	law ai rai
bulk	lit kaba ai rai
bulk	wawm ai rai
bull	u su
bull	nga u la
bull	dumsu u la
bully	n gun ja shakawng ai wa
bully	manang hpe n gun hte roi a ra di ai wa
bump	a dawt hkra ai
bunch	shing kyang
bunch	sumbaw
bunch	u raw
bundle	majaw
bundle	makai
burden	lit li shangun ai
burden	abyen
buried	wan nat kau ai
burn	nat kau ai
burn	wan nat jahten kau ai
burn	wan hkru hkang nma
burst	awng ai
bury	lup makoi ai
bury	makoi mayang ai
bus	shawa jawn mawdaw kaba
bush	n byap
bush	sum wum
business	bungli
business	magam
business	hpa ga
bust	num sinda
busy	kyin taw ai
but	raitim
butter	ahpyawk ai
butter	avogadu
butterfly	pilam la
button	hkai dang
button	pa chyin
buy	mari ai
by	hte
by	marang e
bye	shakram dat ai
cabbage	bahkaw
cabbage	chyinghkrang ba hkaw
cabinet	rapdaw rung
cabinet	sumhtang
cage	u rawng
cage	u ra
cake	udi muk
cake	hkawp ai
calf	dumsu
calf	lagaw labawp
calf	magwi hkalung
call	matut mahkai ai
call	shaga ai
call me	ngai hpe shaga rit
called	shaga ai
called	nga ma ai
called	shamying ai
calm	sim ai
calm	shazim ai
came	sa du ai
came	sa wa ai
campaign	gasat gala lam
can	dang di lu ai
can't	n galaw lu ai
can't	n dang di lu ai
Cancel	dawm kau ai
Cancel	shabai ai
cancer	mawng ana
capable	dang di ai
capacity	lahpai
capital	mare magma
capital	gumhpraw arang
caption	ga baw
capture	rim la ai
capture	rim bang ai
car	mawdaw car
career	bungli
career	kan bau bungli
careful	sadi
carefully	htau li htau la re ai
carefully	sadi maja ai
careless	ahpa atang galaw ai
careless	ndum ndam re ai
careless	sadi ntawn ai sha
caring	lanu lahku ai
caring	lakawn ai
carpenter	lak sama
carpet	sagu panyep
carrot	hkrang pawt
carry	hpai ai
carry	gun hpai ai
carry on	matut u
carry on	matut n na galaw u
carry out	galaw shabyin ai
case	mabyin
case	masa
cash	gumhpraw
cast	gama
castle	langchyi
castle	numhkap
casual	kajawng kaja
casual	nmyit mada ai sha
cat	lanyau
cat	nyau
catch	hkwi la ai
catch	lu ai
catch	rim la ai
category	pang
category	amyu baw hpan
cattle	dum su
cattle	yam nga
caught	rim ai
cause	byin masa
caution	tau shawng sadi jaw ai
cautious	hprang maja ai
cautious	sadi sahka myit rawng ai
cave	lung hkrung
cave	gyi mat ai
cave	ginlawng hku lungpu
cease	hpawng mat ai
cease	shangap kau ai
cease	ngap ai
ceiling	magaw
celebrate	masat poi galaw ai
cell	dat kawk
cell	gawk kaji
center	ka ang
century	latsa ning
century	jaw prat
cereal	nai mam
cereal	mam
ceremony	poi shingra
certain	shang lawm ai
certain	nan
certain	malawm ni
certainly	teng teng
certainly	teng sha
certificate	sak se laika
certificate	lakmat
chain	sai ru
chain	sai dawng
chair	dunghkum
challenge	ning dat ai
chance	ahkaw ahkang
change	myit lai ai
change	galai shai ai
character	sat lawat
characteristics	lai kyang hte seng ai
charge	lit nga ai
charge	htim ai
charge	manu jahpu
charity	karum kahtau bungli
charming	tsawm htap ai
charming	ningja rawng ai
chart	sumla
chart	chyarang lawk
chase	hkan rim ai
chase	hkan nang ai
chat	jahta chyai ai
chat	tsun shaga chyai ai
cheap	hkyem sa ai
cheap	manu hpa ai
cheat	maw sha ai
cheat	masu sha ai
cheat	mawp sha ai
cheating	maw sha nga ai
cheating	mawp sha nga ai
cheating	masu sha taw ai
check	jep joi ai
cheek	sha byi
cheer	myit pyaw
cheer	kabu sum sai ai
cheerful	kabu ai
cheerful	pyaw ai
cheers	kabu gara ai
cheese	chyu sau muk
cheese	nga chyu muk
chemistry	dat jasat hpaji
cherish	manu shadan la ai
cherish	shagrau aw law ai
chess	chess ginsup ai
chest	sinda
chew	maya ai
chew	shat lai lai ai
chicken	u hkai kasha
chicken	u
chief	kaba htum re ai
chief	ningbaw
chief	du
child	ma
childhood	ma prat
children	ma ni
chill	katsi ai
chimneys	wan hkut shadaw
chin	hkang amyu
chin	n hka
choice	lata san ai lam
choice	lata la ai ahkang
choose	lata ai
chop	azat ai
chop	achye ga ai
chop	atawk ai
chores	nta bungli
chubby	abau adi re ai
chubby	di di re ai
church	nawku jawng
cinnamon	maza shamu hpun
cinnamon	hpun shaman
circle	ting wang
circle	shing wang
circumstances	masa
citizen	mungdan masha
city	mare
claim	hpyi ai
claim	hpyi shawn ai
clarify	tsun shaleng dan ai
clarify	tsun jahpra dan ai
class	atang
class	baw hpan
class	tsang madang
clay	kagam ga
clay	htu gyi
clean	san seng ai
clear	hkoi ai
clear	akrin re ai
clear	san ai
clerk	chyare
clever	ram ai
client	rai mari ai wa
client	amu hkrum ai wa
cliff	ning gam
climate	du hkra ladaw
climb	lung ai
clock	Na ri
clock	hkying hkum madun jak
close	ni ai
close	ni htep ai
closet	rai da gawk
cloth	sumpan
clothes	bu hpun palawng
cloud	sumwi
cloud	wam wam sumwi
cloudy	lamu mung ai
clown	mau hte
clown	pan hte
clown	shing chyai chyai wa
clue	byin sa majun
cluster	shingkyang
cluster	sumbaw
coach	sara
coal	n hprang wan n ga
coast	hkinggau mayan
coat	hpun palawng
coat	ntsa palawng
coffee	kaw hpi
cognitive	mu chye ai lam
cognitive	shingran myit
coincidence	ang sha a re ai
cold	katsi ai
cold	kashung
cold	waw
collapse	kazut taw ai
collapse	kabawp taw ai
collar	lawng du
collar	kaw lan
colleague	mu gun manang
colleagues	bungli rau galaw manang ni
collect	mahkawng tawn ai
collect	lahkawn la ai
collect	shing gyin la ai
collection	mahkawng da ai rai
college	hkawlik
color	nsam
colour	nsam
column	nlung shadaw
column	shadaw daw hpum
comb	pasi
comb	u jaw ban
combination	matut ai
combination	gumhpawn ai
combine	pawng ai
combine	matut ai
combine	gumhpawn ai
come	sa wa u
come here	ndai kaw sa wa rit
come on	sa wa rit
come on	grai
comfort	shalan shabran ai
comfort	myit shabran ya ai
comfortable	manu ai
coming	du wa ra ai
coming	sa wa sai
coming soon	kade n na yang sa wa na
command	hkang da ai
comment	hpaji jaw ai lam
comment	matsun madun ga
commercial	hpaga masa
commission	komishin gumhpraw , komishin hpung
commit	shut hpyit ai
commit	tawt lai ai
commitment	ga sadi jaw da sai bungli
committed	ap nawng ai
committed	shut pyit ai
committed	tawt lai ai
commodity	hpaga rai
commodity	gun rai
common	law malawng
communicate	matut mahkai ai
communication	matut mahkai lam
community	hpung
commute	galai hkat ai
commute	ari jaw ai lam hpe shayawm kau ya ai
companion	manaw manang
companion	manang
company	hpaga hpung
company	dap ran
compare	shing daw ai
comparison	shingdaw ai lam
compassion	matsan dum myit
compassionate	matsan dum chye ai myit
compatible	hkrak ai
compatible	htuk ai
compatible	htap htuk ai
compete	shing jawng ai
competent	zen ai
competent	kung gat ai
competent	lawan ai
competition	shingjawng ai lam
competition	shingjawng ai
competitive	shing jawng ai lam
complain	put ai
complaint	lajin laroi ga
complement	lachyum shatsup ya ai ga
complement	jahkrum ya ai
complete	shatusp ai
complete	hkum tsup sai
complete	jahkum ai
completely	jahkum shatsup hkra
completely	shangut shakre hkra
complex	chye na yak ai
complex	hpran la yak ai
complex	jashuk ai rai
compliance	hkan nang hkan sa ai lam
complicated	shuk ai
complicated	yak ai
compliment	shakawn shagrau ai
compliment	shakawn shagrau lam
comply	tsun ai hku hkan galaw ya ai
comply	myit ra hkan ya ai
composition	gin shalat da ai
compound	wang
compound	tsi gayau ai
comprehension	chye na hkawn hkrang lu ai atsam
comprehensive	myit hprang ai
comprehensive	dum hprang ai
compromise	jahkrup daw dan ai
compulsory	hkrak tup
compulsory	n galaw nmai
computer	kompyuta
concentrate	kahkyin ai
concentrate	myit lawm hkra galaw ai
concentrate	myit maju jung ai
concept	ningmu
concept	hkam la lam
concern	myit pu ba ai
concern	seng ang ai
concerned	seng ai
concerned	tsang ai
concert	myit hpawm lam
concert	kawn set madun poi
conclusion	daw dan lam
concrete	dan dan leng leng re ai
concrete	atawng apa
concrete	tup hkrak re ai
condition	masa
conditions	masa ni
conduct	galaw ai
conference	mungbawng zuphpawng
conference	bawngban zuphpawng
confess	yin la ai
confidence	kam ai
confidence	krem ai
confident	kam ai
confirm	shagrin ai
conflict	manghkang
confused	myit yak shangun ai
confused	myit kanu shangun ai
confusion	kashuk kashak
confusion	sheng mawng sheng hkang
congrats	kabu aw law ai
congratulation	kabu aw law ai lam
congratulations	grai kabu lawm sai
congratulations	grai arawng la ai
connect	matut mahkai ai
connect	matut ai
conquer	dang kau ai
conquer	awng padang ninglaw lu ai
conscious	maja taw ai
conscious	sadi maja ai
consciousness	myit hta hprang ai
consciousness	dumhprang ai
consent	aw law ai
consent	shagrau sha a ai
consequences	akyu ara hku n na
consequences	de a majaw
conservation	sin la jang da ai lam
conservation	kyem mazing da ai lam
conservative	mungding myu tsaw myit
conservative	mungding myu tsaw myit rawng ai
consider	Myit shalawm ya ai
consider	myit ya ai
considered	myit shalawm ya ai
considered	myit ya ai
consist	lawm ai
consist	shang lawm ai
consistency	galai shai ai lam n nga ai
consistent	dinggrin nga taw ai
constant	kang ai
constantly	kang kang ka ka
constantly	ga sadi dung let
constipation	kan chyat machyi ai
construction	shachyaw ai
consume	sha kau ai
consume	jahtum kau ai
consumption	akyu jashawn ai
consumption	jai lang ai
contact	matut mahkai ai
contact	matut ai
contagious	kap chye ai (ana)
contain	lawm ai
contain	shawng lawm ai
contains	shang ai
contains	rawng ai
contains	lawm. ai
contemporary	ban bung masha
contemporary	prat bung masha
contempt	matsat kau ai
contempt	n gawn n sawn re ai lam
contempt	nkaw nlaw
content	malawm
contest	ndang kalang hkat ai
contest	shing jawng ai
context	ga hkrang matut masa
continent	dan
continue	matut manoi
continue	matut ai
contract	shagyin kau ai
contrast	maga mi de
contrast	nbung ai lam
contribute	bang lawm ai
contribute	shang lawm ai
contribution	bang lawm ai
contribution	shang lawm ai
control	hkang ai
controversial	dara hkat ra na zawn re ai
convenience	manu ai lam
convenience	htap htuk ai lam
convenience	loi ai lam
convenient	manu ai
conversation	sumtu
convert	galai hkra galaw ai
convert	galai ai
convert	hpung kayin ai
convey	tsun dan ai
convey	shalai ya ai
convince	myit hkut ai
convinced	myit sharawng ya ai
convinced	chye na ya ai
cook	shadu ai
cooking	shadu taw ai
cooking	kachyawng taw ai
cool	katsi ai
cool	shakawp ai
cooperation	myit pawn galaw ai lam
cooperation	jawm galaw ai lam
cope	dang di lu ai
cope	hparan hpareng ai
copper	magri hkyeng
core	pawng
corn	n gawng
corn	hkai nu
corner	jut
correct	jaw ai
correct	shading ai
correct	sharai ai
cost	chyahpu
costume	hking
costume	bu hpun palawng hking
cottage	ginsum kasha
cotton	pasi
couch	lagyim taw ai
couch	kyem makoi taw ai
