a little	тӀэкӀу
adorable	дэзыхьэх
advance	кӀуэцӀырыгъэкӀын
advance	гъэкӀуэтэн
advanced	кӀуэта
advantage	ефӀэкӀыныгъэ
adventure	къэхъу-къащӀэ
adverb	наречэ
advertisement	рекламэ
advertising	рекламэ
advice	чэнджэщ
advise	чэнджэщ
advocate	щхьэщыж
advocate	щыхъумэн
aesthetic	дахэ
affair	Ӏуэху
affect	зыгуэр хэщӀыхьын
affection	лъагъуныгъэ
afford	хуитыныгъэ зэптыжын
affordable	бгъуэт
afraid	мэшынэ
after	нэужь
afternoon	махуэ накъуэ
afterwards	иужьым
again	аргуэру
against	пэщӀэуэныгъэ
age	ныбжь
agency	агенствэ
agent	Ӏуэхузехьэ
aggressive	тэмакъкӀэщӀ
agile	ӀэкӀэулъакӀуэ
ago	щӀыбагъкӀэ
agree	дэн
agreement	зэгурыӀуэныгъэ
agriculture	мэкъумэш
ahead	ипэмкӀэ
aid	дэӀэпыкъуныгъэ
aim	егъэпщэн
air	хьэуа
airport	аэропорт
aisle	кӀуэцӀрыкӀыпӀэ
alarm	пӀейтеягъэ
alcohol	фадэ
alert	пӀейтеягъэ
alive	псэу
alive	жыджэр
all	псори
all right	хъунщ
all the best	нэхъыфӀ дыдэм ухуишэ
allow	хуэдэн
allowed	хуит ищӀащ
almost	нэблагъэ
alone	зы
along	Ӏут
already	кӀэ
Alright	Хъунщ
also	апхуэдэу
alternative	альтернативэ
although	пэтми
although	щхьэкӀэ
always	сыт щыгъуи
always	дапщэщи
am	сыщытщ
am	сыхэтщ
amazing	удэзыхьэхын
amazing	гъэщӀэгъуэн
ambiguous	зы мыхьэнэм щӀигъу иӀэныгъэ
ambition	пагагъэ егъэлея
ambition	зыкъыфӀэщӀыжыныгъэ
ambitious	пагэныгъэ зыхэлъ
amend	епцӀыжын
amid	утыкум
amid	курыкум
amid	кум
among	ящыщ
among us	дэ тщыщ
amount	бжыгъэ
amusing	дыхьэшхэн
amusing	узымыгъэзэш
analysis	зы Ӏуэхугъуэ гуэрыр Ӏыхьэ-Ӏыхьэурэ зэпкърахыурэ зэрадж щӀыкӀэ
ancestors	нэхъыжьхэр
anchor	хъурзэ
ancient	пасэрей
and	икӀи
and you	уэ-щэ
angel	мелыӀыч
anger	губжь
angle	къуапэ
angry	губжьа
animal	псэущхьэ
ankle	лъэпкъынэ
anniversary	илъэс бжыгъэ гуэр гъэлъэпӀэн
announcement	хъыбарегъащӀэ
annoy	гъэбэпмпӀэн
annoy	къэгъэгубжьын
annoyed	къытехьа
annoying	узыгъэбампӀэ
annual	илъэс къэс
anonymous	къызыбгъэдэкӀар мыбелджылы
another	нэгъуэщӀ
answer	жэуап
answer	жэуап етын
anticipate	къэщӀэн
anxiety	гузавэ
anxious	гузавэ
any	дапхуэдэри
any	дэтхэнэри
anymore	нэхъыбэ
anyone	хэти
anything	зыгуэр
anyway	сыт къэмыхъуми
anyways	апхуэдэу е нэгъуэщӀу
apart	зэпэщхьэхуэу
apartment	фэтэр
apologize	къысхуэгъэгъу жыӀэн
apparent	шэч зыхэмылъ
apparently	нэрылъагъущ
appeal	удэзыхьэх
appear	къыкъуэкӀын
appearance	телъэ
appeared	къэхутащ
appetite	шхэныгу
apple	мыӀэрысэ
application	къэгъэсэбэпын
apply	къэгъэсэбэпын
appointment	гъэувыныгъэ
appreciate	гъэлъэпӀэн
appreciation	фӀыщӀэ
approach	пэгъунэгъу хъун
approach	бгъэдыхьэпӀэ
appropriate	къекӀу
approval	арэзы техъуэныгъэ
approve	дэн
approved	арэзы зытехъуа
approximately	хууэгъэфэщауэ
april	мэлыжьыхь
arbitrary	щхьэрыутӀыпщ
arbitrary	хуит
architect	архитектор
architecture	ухуэныгъэ щӀыкӀэ
archive	дэфтэр хъумапӀэ
are	щытхэщ
are you	уэ ущытщ
are you busy	Ӏуэху ухэт
are you married	Уэ къэпша
are you married or single	щхьэгъусэ уиӀэ хьэмэрэ уимыӀэ
Are you still there?	Уэ иджыри абы ущыӀэ?
are you there	уэ абдеж ущыӀэ
area	куей
argue	зэпеуэн
argument	зэдауэ
arise	къэхъун
arm	Ӏэ
army	армэ
around	и хъуреягъкӀэ
arrange	зэхуэгъэхъун
arrangement	къызэгъэпэщыныгъэ
arrival	къэсыныгъэ
arrive	щыӀэн
arrived	къэсащ
arrogant	зыкъызыфӀэщӀыжа
arrow	шабзэ
art	гъуазджэ
article	статья
artificial	нэпцӀ
artificial	псэ зыӀумыт
artist	сурэтыщӀ
as	дауэ
as long as	узыншжу
as long as	апщӀэндэху
as well	апхуэдэу
as well as	дыщӀыгъуу
ash	сахуэ
ashamed	укӀытэ
ask	еупщӀын
asked	щӀэупщӀащ
asleep	жей
aspect	Ӏуэхум зэреплъ щӀыкӀэ
Assamese	Ассамскэ
assault	теуэныгъэ
assembly	зэхуэс
assembly	хасэ
assertive	ерыщ
assess	къэлъытэн
assessment	оценкэ
asset	фӀыгъуэ
assets	фӀыгъуэ
assign	хэхын
assign	гъэувын
assignment	лэжьыгъэ
assist	дэӀэпыкъун
assistant	дэӀэпыкъуэгъу
associate	дэӀэпыкъуэгъу
associated	зэпха
association	ассоциацэ
association	егъэщхьыныгъэ
assume	хуэгъэфэщэн
assumption	хуэгъэфэщэныгъэ
at least	нэхъ мащӀэ дыдэу
ate	ишхащ
athlete	спортсмен
attach	дыщӀыгъун
attach	пыщӀэн
attached	кӀэрыщӀа
attachment	есэныгъэ
attack	теуэныгъэ
attempt	зепщытыныгъэ
attempt	екуныгъэ
attend	екӀуэлӀэн
attendance	къэкӀуэкӀэ
attention	гулъытэ
attitude	зэхущытыкӀэ
attract	зэӀэпышэн
attraction	зыщӀэшэныгъэ
attractive	ӀуплъэгъуафӀэ
attribute	щытыкӀэ щхьэхуэ
audience	цӀыхубэ
august	шыщхьэӀу
aunt	адэ шыпхъу
aunt	анэ шыпхъу
aunty	адэ шыпхъу
aunty	анэ шыпхъу
authentic	зыми къытемыщӀыкӀа
author	лэжьыгъэр зей
authority	тепщэныгъэ
autumn	бжьыхьэ
available	бгъуэт
average	курыт
avoid	зыщӀэдзеин
awake	мыжей
award	саугъэт
award	тыгъэ
aware	щыгъуазэныгъэ
awareness	хэщӀыкӀыныгъэ
awareness	щыгъуазэныгъэ
away	лъэныкъуэ
awesome	егъэлеяуэ фӀы
awful	гуӀэгъуэ
awkward	мыӀэкӀуэлъакӀуэ
Aymara	Аймарэ
baby	сабий
bachelor	фызкъэмышэ
back	щӀыбагъкӀэ
background	плъыфэ
bad	Ӏей
bag	къэлътмакъ
bait	пылъхьэ
bake	гъэжьэн
bake	пэшхьэку
bakery	щӀакхъуэ гъэжьапӀэ
baking soda	шхын содэ
balance	зыӀыгъын
balance	баланс
ball	хъурей
Bambara	Бамбарэ
banana	Ӏэпэзэкъуэт
band	гуп
bang	теуӀуэн
bank	ахъшэ хъумапӀэ
bank	банк
bar	планкэ
barely	ерагъкӀэ
bargain	зэгурыӀуэныгъэ
bark	пхъафэ
bark	бэнэн
barley	ерагъкӀэ
barrier	елъапӀэ
base	лъабжьэ
based	къэгъэхъуа
basement	щӀыунэ
basic	нэхъапэ
basically	нэхъыбэу
basil	базилик
bastard	напэншэ
batch	гуп
bath	ваннэ
bathroom	ваннэ зыщӀэт пэш
battery	батэрейкэ
battle	зауэ
bay	псы дэлъэда
be	щыӀэн
be careful	хуэсакъ
beach	псы Ӏуфэ
beam	Бзий
beam	нур
beans	джэрш
beans	джэш
bear	къыщӀэхын
bear	мыщэ
beard	жьакӀэ
bearing	подшиник
beast	хьэкӀэкхъуэкӀэ
beat	еуэн
beat	укӀын
beautiful	дахэ
beauty	дахагъэ
became	хъуащ
because	абы щхьэ
become	хъун
bed	пӀэ
bedroom	лагъунэ
bee	бжьэ
beef	былымыл
been	щыӀащ
beer	пивэ
before	япэ
began	щӀидзащ
begin	щӀэдзэн
beginning	щӀэдзапӀэ
behave	зыщӀын
behavior	щытыкӀэ
behaviour	щытыкӀэ
behind	иужь
being	псэущхьэ
belief	фӀэщ хъуныгъэ
believe	фӀэщ щӀын
belly	ныбэ
belong	еин
beloved	фӀыуэ ялъагъу
below	лъабжьэ
below	щӀагъ
belt	бгырыпх
bench	лафкӀэ
bench	тетӀысхьэпӀэ
bend	къэгъэшын
beneath	лъабжьэ
beneath	щӀагъ
benefit	фейдэ къыхэхын
benefit	ефӀэкӀыныгъэ
benefits	ефӀэкӀыныгъэхэр
beside	гъусэу
besides	абы нэмыщӀ
best	нэхъыфӀ
best of luck	къыуигъэхъулӀэ
best regards	пщӀэ хэлъу
better	нэхъыфӀ
between	я зэхуаку
beverage	зэфэ гуэр
beyond	химыубыдэу
Bhojpuri	Бхэджпурэ
bias	хухэхауэ
biased	пцӀыуэ къыщӀэкӀа
bicycle	лъакъуэрыгъажэ
bid	заявкэ
big	ин
bike	лъакъуэрыгъажэ
bill	есэп
bind	зэпхын
bird	бзу
birthday	къыщалъхуа махуэ
bit	Ӏыхьэ цӀыкӀу
bite	дзэкъапӀэ
bite	едзэкъэн
bitter	дыдж
black	фӀыцӀэ
blade	дзэ
blame	гъэкъуэншэн
blame	къуаншагъэ
blank	нэщӀ
blanket	тепхъуэ
blast	зэхэкъутэныгъэ
blast	къэуэныгъэ
bleach	хужь щӀын
blend	зэхэгъэзэрыхьын
blend	зэхэкӀэн
bless	хуит щӀын
bless	хуэунэтӀын
blessed	хуит щӀын
blind	нэф
bliss	тхъэгъуэ
block	гъэбыда
blood	лъы
bloom	гъэгъэн
blow	удын
blue	щӀыху
blunt	дзагуэ
board	доскэ
boat	кхъуафэжьей
body	пкъыгъуэ
body	Ӏэпкълъэпкъ
boil	къэгъэкъуэлъэн
bold	Ӏэдэбыншэ
bond	зэпыщӀэныгъэ
bone	къупщхьэ
book	зыгуэр хэхын
book	тхылъ
boost	дэгъэкӀуэтеин
boost	хэгъэхъуэныгъэ
booster	гъэпсынщӀакӀуэ
boot	ботинкӀэ
boots	ботинкӀэ
border	гъунапкъэ
bore	угъуэнын
bored	зигу укъэкӀ
boring	узыгъэзэш
born	къалъхуа
borrow	къыхэхын
boss	унафэщӀ
both	тӀури
bother	гъэгузэвэн
bottle	птулъкӀэ
bottom	щӀыгу
bought	къищэхуащ
bounce	дэлъеин
bound	зэпха
boundaries	гъунапкъэ
bow	шабзэ
bowl	фалъэ
bowl	шынакъ
box	коробкэ
boy	щӀалэ цӀыкӀу
boyfriend	щӀалэ
bracelet	Ӏэпщэхъу
brain	щхьэкуцӀ
branch	къудамэ
brand	дамыгъэ тедзэн
brave	хахуэ
breach	пхыудын
bread	щӀакхъуэ
break	зэпыгъэуныгъэ
break	къутэн
breakfast	пщэдджьыжьышхэ
breast	бгъэ
breath	бауэкӀэ
breathe	бэуэн
breed	къэгъэпцӀэн
breed	зыблэгъэкӀын
brick	чырбыш
bride	нысэ
bridge	лъэмыж
brief	кӀэщӀ
bright	лыд
brilliant	цӀу
bring	къэхьын
bro	къуэш
broad	бгъуэ
broadcast	нэтын
broke	икъутащ
broken	къута
broom	жыхапхъэ
brother	дэлъху
brother in law	щыкъ щӀалэ
brought	къихьащ
brown	морэ
brush	щеткэ
bucket	пэгун
buddy	ӀупэфӀэгъу
budget	бюджет
bug	цӀыв
build	щӀын
building	унэ
built	щӀа
bulk	я нэхъыбэр
bull	гуу
bully	къаугъэшы
bump	жьэхэуэн
bump	ирихьэлӀэн
bump	Ӏууэн
bunch	Ӏэтэ
bundle	зэпыщӀэныгъэ
bundle	зэпызыщӀэ
burden	хьэлъэ
burden	тегъэхьэлъэн
buried	гъея
burn	исын
burst	къэуэн
bury	щӀэлъхьэн
bus	автобус
bush	гуэрэн
bush	чыцэ
business	Ӏуэху
bust	бюст
busy	зыхущӀэмыхьэ
but	ауэ
butter	дагъэ
butterfly	хьэндырабгъуэ
button	щӀыӀузэтегъапкӀэ
button	кнопкэ
buy	къэщэхун
by	и гъунэгъуу
by the way	къезэгъыу
bye	узыншэу
bye	апщӀэндэху
cabbage	къэбыстэ
cabinet	шкӀаф цӀыкӀу
cage	лъэ
cake	торт
calf	шкӀэ
call	къыхуеджэн
call	маржэ
call me	къысхуэщӀ
called	укъызэджа
calm	сабыр
came	къэкӀуащ
campaign	кампание
can	банкӀ
can	щӀэн
can't	пщӀэну щыткъым
can't	хуэщӀэнукъым
Cancel	Ӏухыжыныгъэ
cancer	лышх
cancer	елыркъэш
capable	гурыхуэ
capacity	ихуэныгъэ
capital	ахъшэ
capital	мылъку
caption	тет тхыгъэ
capture	зэщӀэубыдэн
car	машинэ
career	цӀыхур зыпэрыт ӀэнатӀэ
careful	зыхуэсакъыж
carefully	хуэсакъыу
careless	къызыфӀэмыӀуэху
caring	гулъытэ зиӀэ
carpenter	пхъащӀэ
carpet	алэрыбгъу
carrot	пхъы
carry	хьын
carry on	пыщэн
carry out	гъэзэщӀэн
case	Ӏуэху
cash	Ӏэрылъхьэ
cast	хыфӀэдзэн
castle	быдапӀэ
castle	ӀункӀыбзэ
casual	къызэрыгуэкӀ
cat	джэду
catch	къэубыдын
category	категорие
cattle	былым
cattle	Ӏэщ
cattle	хьеуан
caught	къэзубыдащ
cause	щхьэусыгъуэ щӀын
cause	щхьэусыгъуэ
caution	сакъыныгъэ
cautious	зыхуэсакъыж
cave	бгъуэнщӀагъ
cease	щыгъэтын
ceiling	унащхьэ щӀэӀулӀа
celebrate	къигъыхьэн
cell	лъэ
center	ку
century	лӀэужь
cereal	ӀэшкӀэ
ceremony	хабзэ хэхам тет гуфӀэгъуэ пшыхь
certain	гушхуа
certainly	зэрынаӀуэщи
certificate	сертификат
chain	гухэлъ
chain	джабэ сатыр
chain	мурад
chair	шэнт
challenge	къеджэныгъэ
challenge	зэхуэгъэзэн
chance	Ӏэмал
change	епцӀыжын
chaos	зэхэзэрыхьыныгъэ
character	нэрыбгэ
characteristics	характеристикэхэр
charge	Ӏэщэм шэ илъхьэн
charity	псапэ
charming	дэзыхьэх
chart	диаграммэ
chase	ехужьэн
chat	уэршэрын
chat	уэршэр
cheap	пуд
cheat	бзаджагъэ зехьэн
cheating	гъэпцӀагъэ
check	къэпщыныгъэ
check	къэпщытэн
cheek	нэӀу
cheer	гъэнэжэгужэн
cheerful	нэщхъыфӀэ
cheers	фӀэхъус сэлам
cheese	кхъуей
chemistry	химия
cherish	гъэлъэпӀэн
chess	шахмат
chest	бгъэ
chew	гъэныщкӀун
chicken	джэд
chief	нэхъыщхьэ
chief	пашэ
child	сабий
childhood	сабиигъуэ
children	сабийхэр
chill	гъэщӀыӀэн
chill	щӏыӏэ
chimneys	уэнжакъхэр
chin	жьэпкъ
chocolate	шоколад
choice	къыхэхыныгъэ
choose	къыхэхын
chop	къутэн
chores	унагъуэ Ӏуэху
chubby	пӀырыпӀ
chubby	Ӏув
chubby	пшэр
church	чылисэ
cinnamon	корицэ
circle	хъурей
circumstances	Ӏуэхугъуэ
citizen	гражданин
citizen	цӀыху
city	къалэ
claim	лъэӀу тхылъ тхын
claim	лъэӀу тхылъ
clarify	къыгурыгъэӀуэн
class	класс
clay	ятӀагъуэ
clean	къабзэ
clear	нэху
clear	гъэкъэбзэн
clerk	къулыкъу зыщӀ
clever	губзыгъэ
client	клиент
client	зи Ӏуэху зырахьэ
cliff	къыр
climate	дуней щытыкӀэ
climb	дэкӀын
climb	дэкӀуеин
clingy	кӀэрыхъыжьэрей
clock	сыхьэт
close	зэхуэщӀын
closet	шкӀаф
cloth	щэкӀ
clothes	щыгъын
cloud	пшэ
cloudy	уфа
cloudy	пшэ зытелъ
clown	ажэгъафэ
clown	клоун
clue	фӀэгъэнапӀэ
clumsy	мыкӀуэмытэ
cluster	зэхуэсынынгъэ
coach	гъэсэн
coach	гъэсакӀуэ
coal	фӀамыщӀ
coast	Ӏуфэ
coat	пальто
coffee	кофэ
coffee	къэхьэуа
cognitive	когнитивнэ
coincidence	зэтехуэныгъэ
cold	щӀыӀэ
collapse	кӀуэдыжыныгъэ
collar	пщэхъу
colleague	лэжьэгъу
colleagues	лэжьэгъу
collect	зэхуэхьэсын
collection	зэхуэс
collection	хасэ
college	еджапӀэ
color	плъыфэ
colorless green ideas slept furiously	фэншэ удзыфэ идеяхэр губжьауэ жеящ
colour	плъыфэ
column	колонкэ
comb	жьын
combination	зыкъому зэхэлъ
combine	зэхэлъхьэн
come	къэкӀуэн
come here	къакӀуэ мыдэ
come on	еуэ
comfort	тыншыгъуэ
comfortable	тынш
coming	къыпэщылъ
coming soon	куэд мыщӀэу къэхутэнущ
command	унафэ щӀын
comment	тепсэлъыхьыныгъэ
commercial	щэн-къэщэхун Ӏуэху
commission	заказ
commit	щӀэн
commitment	телъхьэгъу хъун
committed	ищӀащ
commodity	хьэпшып
common	къызэрыгуэкӀ
communicate	зэрыщӀэн
communication	зэрыщӀэныгъэ
community	зэкъуэтыныгъэ
commute	нэсын
companion	зэгъусэу лажьэхэр
company	компание
company	гуп
compare	зэхуэгъэдэн
compare	зэгъэпщэн
comparison	зэгъэпщэныгъэ
compassion	гущӀэгъу
compassionate	гулъытэ зиӀэ
compatible	гъусэ хуэхъу
compete	зэпеуэн
competent	фӀыуэ щыгъуазэ
competition	зэпеуэ
competitive	зыпеуэ
complain	тхьэусыхэн
complaint	тхьэусыхэныгъэ
complement	дыщӀыгъуныгъэ
complement	дыщӀыгъун
complete	ухын
completely	зэрыщыту
complex	гугъу
compliance	хуэдэныгъэ
complicated	гугъу
compliment	дыщӀыгъун
comply	хуэпщылӀын
composition	зэхэт
compound	зэпыщӀэныгъэ
comprehension	гурыӀуэныгъэ
comprehensive	нэгъэса
compromise	зыхудэчыныгъэ
compromise	зэхудэчыныгъэм тету зэгуурыӀуэныгъэ
compulsory	фӀэкӀыпӀэ зимыӀэ
computer	компьютер
concentrate	зэхуэхьэсын
concentrate	гулъытэ зыгуэрым теубыдэн
concept	гурыӀуэныгъэ
concern	хуэсакъыныгьэ
concern	гулъытэ хуэщӀыныгъэ
concern	гузэвэн
concerned	пӀейтея
concert	концерт
conclusion	кӀэух псалъэ
concrete	бетон гъэжын
concrete	бетоным къыхэщӀыкӀа
concrete	бетон
condition	хэкӀыпӀэ
conditions	щытыкӀэ
conditions	хэкӀыпӀэ
conduct	егъэкӀуэкӀын
conduct	дэкӀуэтэн
conference	конференц
confess	зыкъэумысыжын
confidence	тегушхуэныгъэ
confident	гушхуа
confirm	щыхьэт техъуэн
conflict	зэпэщӀэуэныгъэ
confused	хэгупсысыхь
confusion	Ӏэнкуныгъэ
congrats	хъуэхъухэр
congratulation	хъуэхъу
congratulations	хъуэхъухэр
conjunction	зэпыщӀэныгъэ
connect	зэпыщӀэн
conquer	къэхьэхун
conscious	зэхэзыщӀыкӀ
consciousness	зэхэщӀыкӀ
consent	арэзы хъун
consent	арэзы хъуныгъэ
consequences	кърикӀуэнур
conservation	хъумэныгъэ
conservative	зымыхъуэжыныгъэм и телъхьэ
consider	егупсысын
considered	добж
consist	хэтын
consistency	зэкӀэлъыкӀуэныгъэ
consistent	зэкӀэлъыкӀуэу
constant	сыт щыгъуи къэхъу
constantly	зэпымыууэ
constipation	бжэӀулъэ
constipation	щӀыб имыкӀыфыныгъэ
construction	ухуэныгъэ
consume	къэгъэсэбэпын
consumption	зэхьэлӀэн
contact	зэпыщӀэн
contact	зэнэс
contagious	зэрыцӀалэ
contain	хэтын
contain	пӀын
contains	хэтщ
contemporary	иджырей
contempt	нэмыплъ
content	псалъащхьэ
content	пӀыныгьэ
contest	зэпеуэ
context	мыхьэнэ уха къызэрыкӀ псалъэ гуп
continent	тенджызхэм къаухъуреихь щӀыналъэ ин
continue	пыщэн
contract	зэгурыӀуэныъэ
contract	зыкъузын
contrast	зэхуэмыкӀуэныгъэ къэгъэлъэгъуэн
contrast	емыщхьыныгъэ
contribute	хэлъхьэныгъэ щӀын
contribution	хэлъхьэныгъэ
control	зехьэныгъэ
control	зегъэкӀуэныгъэ
controversial	шэч зыхэлъ
controversial	зэдауэ къэзышэ
convenience	тынш
convenience	фагъ иӀэныгъэ
convenient	тынш
conversation	зэпсэлъэн
convert	зэхъуэкӀын
convert	зи дин зыхъуэжа
convey	нэгъуэщӀым етын
convince	и фӀэщ щӀын
convinced	зи фӀэщ хъуа
cook	пщэфӀэн
cook	пщафӀэ
cooking	гъэхьэзырыныгъэ
cool	лъэщ
cool	щӀыӀэтыӀэ
cooperation	зэдэлэжьэныгъэ
cope	пэлъэщын
copper	гъуаплъэ
core	купщӀэ
corn	нартыху
corner	къуапэ
correct	пэж
cost	уасэ
cost	иуэсэн
costume	фащэ
cottage	коттедж
cotton	бжьэхуц
couch	тахътэ
cough	псчэн
could	хузэфӀэкӀынут
council	чэнджэщ
count	бжэн
counter	увыкӀэ
country	къэрал
countryside	къуажэ
couple	зэгъусэ
couple	тӀу
courage	лӀыгъэ
course	гъэзыпӀэ
court	хей
courtesy	щэныфӀагъ
cousin	зэшхэм я къуэ
cover	къытегъэувэн
cow	жэм
coward	шынэкъэрабгъэ
cozy	гуӀэтыпӀэ
crab	хы елыркъэш
crack	къэгъэчэн
crack	къэча
craft	ӀэкӀэ щӀа
crap	фӀеягъэ
crash	зыгуэр къутэн
crash	зэтекъутэныгъэ
craving	гукъыдэж
crawl	пщын
crazy	делэ хъуа
create	къэгъэщӀын
create	щӀын
creative	культурэм хэлэжьыхь цӀыху
credit	щӀыхуэ
creep	пщын
creepy	узыгъэшынэ
crew	гуп зэкъуэт
crew	командэ
crime	щӀэпхъаджагъэ
cringe	емыкӀу
crisis	гугъугъуэ
criteria	пщалъэ
critical	егъэлея
criticism	критикэ
criticism	нэкъусэныгъэхэм тепсэлъыхьыныгъэ
crop	гъавэ
crops	жлэхэр
cross	зэпыупщӀын
cross	жор
crow	вынд
crow	къуалэжь
crowd	гуп
crowded	цӀыху куэд
crown	таж
crucial	мыхьэнэшхуэ зиӀэ
cruel	еру
cruel	залым
cruise	псым тету нэгу зегъэужьыныгъэ
crush	лъагъуныгъэ
crush	пӀытӀын
cry	гъын
cucumber	нащэ
cuddle	ӀэплӀэ зэхуэщӀын
culture	щэнхабзэ
cunning	бзаджэ
cup	шеибжьэ
cup	шынакъ
cupboard	пщэфӀапӀэ шкӀаф
curb	гъуэгубгъу мывэ
cure	гъэхъужын
cure	хущхъуэ
curfew	комендантскэ сыхьэт
curiosity	псори къищӀэну щӀэкъуныгъэ
curious	упщӀэрей
curly	дэжей
curly	тӀэрэз
currency	валютэ
current	екӀуэкӀыр
currently	ит зэманым къриубыдэу
curse	гыбзэ
curtain	Ӏупзъуэ
cushion	щхьэнтэ
custom	хабзэ
customer	клиент
customer	зи Ӏуэху зрахьэ
customs	таможнэ
cut	уӀэгъэ
cut	пыупщӀын
cute	лъагъугъуафӀэ
cycle	зэрызэхэт Ӏыхьэ
cycle	пӀалъэ
cycling	лъакъуэрыгъажэкӀэ къэжыхьыныгъэ
dad	адэ
daddy	папэ цӀыкӀу
daddy	адэ
daily	махуэ къэс
dairy	гъэш
dam	псыӀущӀэ
damage	зэран хъуа
damage	зэран хуэхъун
damn	ямылъагъужын
damp	цӀынэ
dance	къэфэн
danger	шынагъуэ
dangerous	шынагъуэ
dark	кӀыфӀ
dark	фӀынкӀ
darling	лъапӀэ
dash	зичыныгъэ
data	зыгуэрым теухуа къэгъэлъэгъуэныгъэ
date	махуэ хэха
date	зэхуэзэныгъэ
daughter	пхъу
day	махуэ
dead	лӀа
deadline	пӀалъэр щиух
deaf	дэгу
deal	пэжыпӀэр къэщӀэн
deal	зэгурыӀуэныгъэ
dear	лъапӀэ
Dear All	Ныбжьэгъу лъапӀэхэ
Dear Customer	ПщӀэ зыхуэтщӀ клиент
Dear Parents	Адэ-анэ лъапӀэхэ
Dear Sir	ЩӀыху зыхуэтщӀ зиусхьэн
Dear students	ЩӀыху зыхуэтщӀ студентхэ
Dear Team	щӀыху зыхуэтщӀ гуп
death	лӀэныгъэ
debate	зэдэуэныгъэ
debit	дебет
debris	къутахуэ
debt	щӀыхуэ
decade	илъэсипщӀ щрикъу пӀалъэ
decay	зэхэкӀыныгъэ
deceased	лӀа
deceive	къжгъэпцӀэн
december	дыгъэгъазэ
decent	зыхуэфащэ
decide	зэхэгъэкӀын
decided	тезухуащ
decision	хэкӀыпӀэ унафэ
deck	кхъухьым хэт щӀыпӀэ
decline	мыдэн
decrease	гъэмэщӀэн
dedicated	ета
dedication	хуэгъэфэщэныгъэ
deed	ӀуэхущӀафэ
deep	куу
deer	щыхь
default	щэхукӀэ
defeat	темыкӀуэныгъэ
defeat	текӀуэн
defend	хъумэн
define	къыхэгъэкӀын
definitely	зэрынаӀуэщи
definition	гъэбелджылыныгъэ
degree	зэрыхъур
degree	здынэсыр
delay	зыӀэжьэныгъэ
delay	Ӏэжьэн
delayed	убыда
delete	игъэкӀыжын
deliberate	хищӀыкӀыу ищӀэ
deliberate	мурад щӀа зиӀэ
delicate	гуакӀуэ
delicious	ӀэфӀ
delight	гухэхъуэ
delighted	хуабжьу гуфӀа
deliver	Ӏэрыгъыхьэн
delivered	нэшэса
delivery	хьыныгъэ
demand	къигъэувыр
demand	зыхуейр
demand	зыхущӀэкъу
demanding	ткӀий
democracy	демократие
demon	жин фӀыцӀэ
demonstrate	гъэлъэгъун
denied	идакъым
density	куэдагъ
density	Ӏувагъ
dentist	дзэм елэжь дохутыр
deny	мыдэн
department	отдел
departure	ежьэжыныгъэ
depend	елъытауэ щытын
depend	епхауэ щытын
deploy	зэкӀуэцӀыхын
deposit	хэлъхьа
deposit	хэлъхьэныгъэ
depressed	нэщхъей
depression	ехуэхыныгъэ
depth	куууагъ
describe	тетхыхьын
description	къэтхъыхьын
desert	къум
deserve	къэлэжьын
design	дизайн
design	проектировэннэ
designation	дамыгъэ тещӀэныгъэ
