an	a
inasaw-an ka	are you married
inasaw-an ka ba o diri	are you married or single
may ada ka ba asawa o waray	are you married or single
Aadto pa ba kamo	Are you still there?
aada ka	are you there
lugar	area
paghibaton	argue
mag away	argue
away	argument
pagbangon	arise
kamot	arm
kasundalohan	army
dida la	around
palibot	around
harani	around
naghihikay	arrange
kahikayan	arrangement
pag abot	arrival
umabot	arrive
inabot	arrived
arogante	arrogant
pana	arrow
arte	art
artikulo	article
artipisyal	artificial
artista	artist
nga	as
basta la	as long as
tubtob nga	as long as
sugad man	as well
sugad man	as well as
abo	ash
naawod	ashamed
pakiana	ask
gin pakianhan	asked
nakaturog	asleep
bahin	aspect
Assamese	Assamese
pag atake	assault
pagtirok	assembly
agresibo	assertive
pag usisa	assess
pagtagad	assessment
panag-iya	asset
panag-iya	assets
ighatag	assign
toka	assignment
pagbulig	assist
kabulig	assistant
kaupod	associate
maykalabotan	associated
asosasyon	association
paghunahuna	assume
paghunahuna	assumption
ha	at
ha pinakaminos	at least
kinaon	ate
atleta	athlete
iginlakip	attach
iginlakip	attached
paglakip	attachment
atake	attack
pagsulayi	attempt
pagsulay	attempt
pagtambong	attend
pag-ataman	attend
pagtambong	attendance
atensyon	attention
batasan	attitude
kinaiya	attitude
pagdani	attract
pagdani	attraction
maanyag	attractive
kalidad	attribute
magkurulaw	audience
mamarati	audience
agosto	august
dada	aunt
dada	aunty
tinuod	authentic
manunurat	author
awtoridad	authority
katlaya	autumn
may ada	available
mayda	available
magagamit	available
aberids	average
likayan	avoid
pagmata	awake
premyo	award
maaram	aware
paghibaro	awareness
pahirayo	away
urusahon	awesome
makaharadlok	awful
nakakaolang	awkward
nakakainsulto	awkward
Aymara	Aymara
bata	baby
waray asawa	bachelor
ulitawo	bachelor
balik	back
gintikangan	background
maraot	bad
dunot	bad
paon	bait
pagluto	bake
panaderya	bakery
paghurno ha soda	baking soda
balanse	balance
balanseha	balance
bola	ball
Bambara	Bambara
saging	banana
banda	band
pagbuto	bang
bangko	bank
bareta	bar
danay la	barely
barato	bargain
paniti	bark
panit	bark
sebada	barley
ulang	barrier
basado	base
base	based
sirong	basement
importante	basic
ungod gud	basically
basihan	basically
bastardo	bastard
grupo	batch
karigoan	bath
banyo	bathroom
baterya	battery
pakiggirra	battle
baybayon	bay
magin	be
paghirot	be careful
baybayon	beach
sanag	beam
mga liso	beans
pag antosa	bear
pag antos	bear
bungot	beard
nagdadara	bearing
nagsasangyaw	bearing
hayop	beast
pagkastigo	beat
kastigoha	beat
mabaysay	beautiful
mahusay	beautiful
husay	beautiful
husay	beauty
nagin	became
tungod kay	because
asya nga	because
magin	become
nagin	become
kama	bed
kuwarto	bed
higdaan	bed
kwarto	bedroom
putyukan	bee
karne hin baka	beef
ginhimo	been
serbisa	beer
antes	before
nagtikang	began
magtikang	begin
gintikangan	beginning
para ha	behalf
paggawi	behave
panggawi	behavior
kinaiya	behavior
panggawi	behaviour
hinbabayaan	behind
luyo	behind
pagkaada	being
pagtoo	belief
tumoo	believe
tiyan	belly
kaapi	belong
hinigugma	beloved
ilarom	below
ubos	below
paha	belt
bangko	bench
yumokbo	bend
ilarom	beneath
ubos	beneath
benipisyo	benefit
mga benepisyo	benefits
sapit	beside
gawas	besides
pinakamaopay	best
maupay nga kapalaran	best of luck
gimaopayi nga pangumusta	best regards
mas maopay	better
mamaopay	better
butnga han	between
irinmon	beverage
lampos	beyond
Bhojpuri	Bhojpuri
pag ugop	bias
may dinadapigan	biased
bisikleta	bicycle
hangyo	bid
daku	big
bisikleta	bike
baraydan	bill
pagbugkos	bind
tamsi	bird
kompleanyo	birthday
gutiay	bit
tukbon	bite
tukob	bite
mapait	bitter
itom	black
tarum	blade
pagbasola	blame
pagbasol	blame
blangko	blank
taklap	blanket
pagbuto	blast
pagpapabusag	bleach
pagpapus-aw	bleach
timpla	blend
bendisyonan	bless
ginbendisyonan	blessed
buta	blind
kalipay	bliss
bloke	block
dugo	blood
bukad	bloom
pag huyop	blow
pag awas	blow
asul	blue
prangka	blunt
tabla	board
baluto	boat
lawas	body
pakaladkari	boil
madasigon	bold
hubo	bold
pakigsangkay	bond
tul-an	bone
gin-book	book
libro	book
pauswaga	boost
pagpauswag	boost
pagpauswag	booster
botas	boot
botas	boots
giutan	border
makauuyam	bore
nauuyam	bored
makauuyam	boring
natawo	born
huram	borrow
amo	boss
agaron	boss
pareho	both
ngaduha	both
nakasamok	bother
botelya	bottle
ilarom	bottom
ubos	bottom
ginpalit	bought
inuntol	bounce
ginhigutan	bound
nakagapos	bound
mga tubtoban	boundaries
pagyukbo	bow
pana	bow
mangkok	bowl
kahon	box
bata	boy
uyab	boyfriend
sangkay nga lalaki	boyfriend
purseras	bracelet
utok	brain
sanga	branch
klase	brand
maisugon	brave
maisog	brave
pagtalapas	breach
tinapay	bread
pagpahuway	break
pahuway	break
pamahaw	breakfast
suso	breast
pagginhawa	breath
pagginhawa	breathe
lahi	breed
baldosa	brick
maarasawa nga babaye	bride
tulay	bridge
halipot	brief
malamrag	bright
maaram	bright
maranggat	brilliant
dara	bring
dad-a	bring
bro	bro
haluag	broad
pagbrodkast	broadcast
nabungkag	broke
nabungkag	broken
silhig	broom
bugto nga lalaki	brother
bayaw	brother in law
gindara	brought
bulaw	brown
sipilyo	brush
timba	bucket
balde	bucket
sangkay	buddy
badyet	budget
sudlot	bug
kulisap	bug
pagtukod	build
edipisyo	building
ginhimo	built
kadam-an	bulk
kadak-an	bulk
baka	bull
maraugdaog	bully
pagbangga	bump
bugkos	bunch
bugkos	bundle
bug-at	burden
bug-ati	burden
ginlubong	buried
pagkasunog	burn
bukwag	burst
paglubong	bury
kagurangan	bush
negosyo	business
pagbulag	bust
damo iton ginbubuhat	busy
okupado	busy
kondi	but
kon diri	but
mantikilya	butter
alibangbang	butterfly
butones	button
pagpalit	buy
nga	by
ni	by
ha pagkamatuod	by the way
babay	bye
repolyo	cabbage
kabinet	cabinet
prisohan	cage
keyk	cake
baka	calf
tawaga	call
tawag	call
tawagi ako	call me
gintawag	called
kalmado	calm
inabot	came
kampanya	campaign
himoa	can
lata	can
mahimo	can
diri makakahimo	can't
Pagkansela	Cancel
kanser	cancer
may kapas	capable
kapasidad	capacity
kapital	capital
kapsyon	caption
pagkadakop	capture
awto	car
karera	career
paghirot	careful
pagi kmat	carefully
kawaray pagtagad	careless
pagmangno	caring
panday	carpenter
karpet	carpet
karot	carrot
pagdara	carry
padayon	carry on
pagbuhat	carry out
kaso	case
salapi	cash
pagripa	cast
kastilyo	castle
kasuwal	casual
oding	cat
misay	cat
pagdakop	catch
kategorya	category
baka	cattle
bakahan	cattle
nadakop	caught
pahinungdi	cause
hinungdan	cause
pagbantay	caution
mabinantayon	cautious
lungib	cave
paghunong	cease
kisame	ceiling
selebrar	celebrate
selula	cell
sentro	center
siglo	century
lugas	cereal
seremonya	ceremony
sigurado	certain
sigurado	certainly
syempre	certainly
sertipiko	certificate
kadena	chain
silya	chair
lingkoranan	chair
pag aya	challenge
pag ayata	challenge
higayon	chance
pagbag-o	change
ibaha	change
kasamok	chaos
batasan	character
kinaiya	character
mga kinaiya	characteristics
bayad	charge
ayuda	charity
makaruruyag	charming
tsart	chart
paglanat	chase
pakiistorya	chat
pakiistoryahi	chat
barato	cheap
paglimbong	cheat
paglimbong	cheating
usisa	check
usisaha	check
bayhon	cheek
paglipay	cheer
malipayon	cheerful
paglipay	cheers
keso	cheese
kimika	chemistry
pinaura	cherish
tses	chess
dughan	chest
kisamon	chew
manok	chicken
punoan	chief
bata	child
pagkabata	childhood
kabataan	children
kalma	chill
ginkalma	chill
kalmaha	chill
tsimniya	chimneys
sulang	chin
tsokolate	chocolate
pagpili	choice
pagpili	choose
pagpulod	chop
mga buruhaton	chores
tambok	chubby
singbahan	church
sinamon	cinnamon
lidong	circle
mga kahimtang	circumstances
pagkatuminungnong	citizen
syudad	city
angkona	claim
pag angkon	claim
pagsaysay	clarify
klase	class
lapok	clay
limpyo	clean
linawa	clear
malinaw	clear
klerk	clerk
maabtik	clever
kliyente	client
pangpang	cliff
klema	climate
sagka	climb
makapot	clingy
relo	clock
harani	close
kabinet	closet
aparador	closet
panapton	cloth
bado	cloth
mga bado	clothes
mga panapton	clothes
dampog	cloud
masirom	cloudy
bantay kibot	clown
tigaman	clue
kimas	clumsy
urapong	cluster
paragtutdo	coach
igtutdo	coach
uring	coal
baybayon	coast
panapton	coat
kape	coffee
kognitibo	cognitive
pagkaurusa	coincidence
matugnaw	cold
mahagkot	cold
marumpag	collapse
kwelyo	collar
mga kaupod	colleague
sangkay	colleague
mga kasangkayan	colleagues
pagkolekta	collect
koleksyon	collection
kolehiyo	college
kolor	color
an waray kolor nga berde nga mga ideya nahingaturog nga aringit gud	colorless green ideas slept furiously
kolor	colour
kolum	column
sudlay	comb
kombinasyon	combination
pagtirok	combine
kadi	come
kadi	come here
kadi gowa	come on
kaliawan	comfort
komportable	comfortable
naabot	coming
tikang	coming
maabot dayon	coming soon
ginsugo	command
komento	comment
komersyal	commercial
komisyon	commission
pagkompromiso	commit
pagkompromiso	commitment
gintutuman	committed
pamaligya	commodity
komon	common
komunikasyon	communicate
komunikasyon	communication
komunidad	community
pagbiyahe	commute
kaupod	companion
kompanya	company
itanding	compare
pagtanding	comparison
kalooy	compassion
mapinairon	compassionate
nauyon	compatible
kompetisyon	compete
may kapas	competent
kompetisyon	competition
makumpitensya	competitive
nagreklamo	complain
reklamo	complaint
komplemento	complement
igkomplemento	complement
kompleto	complete
bug-os	completely
komplikado	complex
pagsunod	compliance
komplikado	complicated
pagdayaw	compliment
pagtuman	comply
komposisyon	composition
kombinasyon	compound
pagsabot	comprehension
kompleto	comprehensive
kompromiso	compromise
igkompromiso	compromise
ngatanan	compulsory
obligado	compulsory
kompyuter	computer
konsentrasyon	concentrate
konsepto	concept
paghunahuna	concern
paghunahunaa	concern
may kalabotan	concerned
konsyerto	concert
konklusyon	conclusion
semento	concrete
sementoha	concrete
ginsemento	concrete
kahimtang	condition
mga kondisyon	conditions
paggawi	conduct
komperensya	conference
magkompisal	confess
kompyansa	confidence
nasarig	confident
kumpirma	confirm
away	conflict
risgo	conflict
nalilisang	confused
kasamok	confusion
pahalipay	congrats
pagdayaw	congratulation
mga pahalipay	congratulations
panugtong	conjunction
pagkonektar	connect
magdaog	conquer
konsensya	conscious
pamurobuot	consciousness
tugoti	consent
pagtugot	consent
mga resulta	consequences
pagtipig	conservation
konserbatibo	conservative
kitaa	consider
kulawi	consider
hunahunaa	consider
ginhunahuna	considered
nagsusulod	consist
pagkaurosa	consistency
paripareho	consistent
pirme	constant
pirme	constantly
konstipasyon	constipation
pagtukod	construction
pagkonsumo	consume
pagkonsumo	consumption
kontaka	contact
kontak	contact
nakakatapon	contagious
nagsusulod	contain
nagsusulod	contains
kadurungan	contemporary
moderno	contemporary
kadungan	contemporary
pagtamay	contempt
sulod	content
butang	content
kompetisyon	contest
konteksto	context
kontinente	continent
padayon	continue
kontrata	contract
ikontrata	contract
kaibahan	contrast
ibaha	contrast
pag amot	contribute
kontribusyon	contribution
pagkontrol	control
kontrobersyal	controversial
kaopayan	convenience
magin madali la	convenient
magin masayon	convenient
pakiistorya	conversation
pagbalhini	convert
pagbalhin	convert
igpapasabot	convey
makombinse	convince
nakombinse	convinced
pagluto	cook
paglutoa	cook
pagluto	cooking
giuupay	cool
mauroupay	cool
mataghom	cool
kooperasyon	cooperation
paga tubang	cope
tumbaga	copper
butnga	core
mais	corn
kanto	corner
surok	corner
tama	correct
tinuod	correct
husto	correct
kantidad	cost
kantidari	cost
panapton	costume
malaybalay	cottage
balay	cottage
gapas	cotton
higdaan	couch
pagbinatok	cough
pag ubo	cough
pwede	could
mahimo	could
konseho	council
pag ihap	count
ginbaton	counter
nasud	country
kaumhan	countryside
mag-asawa	couple
kaisog	courage
gin aagian	course
kurso	course
korte	court
pagpakita hin kaanyag	courtesy
patod	cousin
tabon	cover
putos	cover
baka	cow
matalaw	coward
komportable	cozy
masag	crab
tipaka	crack
natipak	crack
mga barko	craft
uru	crap
ighulog	crash
nahulog	crash
paghingyap	craving
pagkamang	crawl
lurong	crazy
kulang	crazy
maghimo	create
mamugnaon	creative
kredito	credit
nagkakamang	creep
makaharadlok	creepy
mga tripulante	crew
krimen	crime
kinurog	cringe
pagkuroga	cringe
krisis	crisis
suruklan	criteria
kritikal	critical
pakaraot	criticism
pananom	crop
mga tanom	crops
pagtabok	cross
taboka	cross
uwak	crow
kadam-an	crowd
puno hin tawo	crowded
korona	crown
importante	crucial
madarahog	cruel
paglalayag	cruise
nabungkag	crush
bungkaga	crush
nagtatangis	cry
pepino	cucumber
paghangkop	cuddle
kultura	culture
malimbong	cunning
tasa	cup
aparador	cupboard
pagpugong	curb
tambala	cure
tambal	cure
kurpyo	curfew
pagkamausisa	curiosity
interesado	curious
kurong	curly
salapi	currency
kwarta	currency
yana	current
yana	currently
sumpa	curse
kurtina	curtain
ulonan	cushion
kustom	custom
kustomer	customer
mga kustomre	customs
pag utod	cut
utda	cut
makangurudyot	cute
matahom	cute
siklo	cycle
pagbisikleta	cycling
tatay	dad
tatay	daddy
amay	daddy
inadlaw	daily
gatas	dairy
dam	dam
daot	damage
daota	damage
maghingaraot	damn
alisngaw	damp
sayaw	dance
peligro	danger
peligroso	dangerous
masirom	dark
hinigugma	darling
minatahom	darling
bagis	dash
datos	data
petsa	date
kirigta	date
anak nga babaye	daughter
adlaw	day
patay	dead
itinakda	deadline
itinanda	deadline
bungol	deaf
pagtratara	deal
pagtratar	deal
hinigugma	dear
minatahom	dear
Minahal nga mga tawo	Dear All
Ngatanan nga mga hinigugma	Dear All
Hinigugma nga Kustomer	Dear Customer
Hingugma nga mga Kag-anak	Dear Parents
Hinigugma nga Ginoo	Dear Sir
Hinigugma nga mga estudyante	Dear students
Hinigugma nga Grupo	Dear Team
kamatayon	death
utang	debit
mga guba	debris
utang	debt
dekada	decade
pagkadunot	decay
namatay	deceased
paglimbong	deceive
disyembre	december
maopay	decent
magdesisyon	decide
nagdesisyon	decided
desisyon	decision
kubyerta	deck
pag ubos	decline
pag iban	decrease
dedikado	dedicated
dedikasyon	dedication
ginbuhat	deed
hilarom	deep
bugsok	deer
kawaray	default
napirde	defeat
pirde	defeat
panalipdan	defend
naghahatag kahulogan	define
tinuod gud	definitely
sigurado	definitely
kahulugan	definition
grado	degree
paglangan	delay
paglangana	delay
paglangan	delayed
pagpara	delete
tinuyo	deliberate
delikado	delicate
matam-is	delicious
marasa	delicious
kalipay	delight
nalilipay	delighted
paghatod	deliver
pagtalwas	delivered
paghatud	delivery
panginahanglan	demand
kinahanglana	demand
nagkinahanglan	demanding
demokrasya	democracy
demonyo	demon
ipakita	demonstrate
ginsalikway	denied
kasuok	density
dentista	dentist
pagdumiri	deny
departamento	department
pagbaya	departure
madepende	depend
pakadto-a	deploy
ideposito	deposit
deposito	deposit
nasusubo	depressed
depresyon	depression
kahiladman	depth
pag asoy	describe
paghulagway	describe
paghulagway	description
disyerto	desert
angay	deserve
disenyo	design
pagdisenyo	design
designasyon	designation
hingyapa	desire
hingyap	desire
lamesa	desk
kawad-i hin paglaom	despair
desperado	desperate
binsan nga	despite
bisan pa	despite
matam-is	dessert
destinasyon	destination
kapalaran	destiny
pagbungkag	destroy
kabungkagan	destruction
detalye	detail
detalye	details
inabat	detect
mahibaroan	detect
determinasyon	determination
pagtino	determine
determinado	determined
nadaot	devastated
pagpauswag	develop
nag uswag	developed
pag uswag	development
aparato	device
demonyo	devil
yawa	devil
debosyon	devoted
Dhivehi	Dhivehi
dyabetes	diabetes
pag urouro	diarrhea
pagtatae	diarrhea
dayari	diary
diskyonaryu	dictionary
ginhimo	did
mamatay	die
namatay	died
pagkaon	diet
kalainan	difference
iba	different
makuri	difficult
pag ukad	dig
dignidad	dignity
maduruto	diligent
pangiklop	dinner
itunlob	dip
direkta	direct
direksyon	direction
direktor	director
hugaw	dirt
mahugaw	dirty
baldado	disable
baldado	disabled
pagkawara	disappear
nasusubo	disappointed
kalamidad	disaster
iginwara	discard
iginlabog	discard
gin gawas	discharge
disiplina	discipline
diskwento	discount
hibaro	discover
diskriminasyon	discrimination
paghisgot	discuss
paghisgot	discussion
sakit	disease
mga sakit	diseases
pagpakunokuno	disguise
makasisina	disgusting
pagkaon	dish
mga pagkaon	dishes
pagwara	dismiss
ginsugo	dispatch
pagpakita	display
paglabay	disposal
away	dispute
risgo	dispute
distansiya	distance
naiiba gud	distinct
paglain	distinguish
kasakitan	distress
pagbahinbahin	distribution
distrito	district
pagkasamok	disturb
kanal	ditch
nalukso	dive
iba-iba	diverse
kalainan	diversity
pagbahin	divide
diyosnon	divine
igdiborsyo	divorce
diborsyo	divorce
nalilipong	dizzy
pagbuhat	do
ikaw ba	do you
hinigugma mo ba ako	do you love me
doktor	doctor
dokumento	document
nagbubuhat	does
diri karuyag	doesn't
ayam	dog
Dogri	Dogri
pagbuhat	doing
monyeka	doll
nasasakopan	domain
panimalay	domestic
nagmamando	dominant
ayaw	don't
Ayaw kabaraka	Don't worry
pagdonar	donate
nahuman	done
human na	done
asno	donkey
droga	dope
doble	double
dobleha	double
nagruhaduha	doubt
pagruhaduha	doubt
minasa nga harina	dough
ha ilarom	down
plano	draft
planoha	draft
gindanas	drag
paturuon	drain
pagpa-ubsi	drain
pagtirok	draw
pag-guhit	draw
hunos	drawer
pagdrowing	drawing
kahadlok	dread
inop	dream
pag inop	dream
bado	dress
barina	drill
inuma	drink
inom	drink
pagmaneho	drive
hulog	drop
ihulog	drop
nahulog	dropped
huraw	drought
hubog	drunk
mamara	dry
pato	duck
pustoriyoso	dude
nga kinahanglan	due
tungod han	due to
waray pulos	dull
lurong	dumb
paglabay	dump
kahilawigon	duration
durante	during
niyan han	during
tapotapo	dust
obligasyon	duty
pag ukoy	dwell
namamatay	dying
kada	each
usa kag usa	each other
naghingyap	eager
agila	eagle
talinga	ear
antes hito	earlier
aga	early
temprano	early
makarawat	earn
talinga	ears
kalibutan	earth
linog	earthquake
kapahuwayan	ease
madali	easily
este	east
madali	easy
kaon	eat
pagkaon	eating
ekonomiya	economic
ekonomiya	economy
gilid	edge
pagliwat	edit
edukasyon	education
epekto	effect
epektibo	effective
kahusayan	efficiency
epektibo	efficient
paningkamot	effort
bunay	egg
tarong	eggplant
kalugaringon	ego
walo	eight
napulo kag walo	eighteen
kawaloan	eighty
bisan ano	either
bisan diin	either
bisan	either
detalyado	elaborate
siko	elbow
tigurang	elder
lagas	elder
tigurang	elderly
mga lagas	elderly
maanyag	elegant
elemento	element
elepante	elephant
onse	eleven
katugbang	eligible
pagwara	eliminate
iba	else
naawod	embarrassed
nakakaawod	embarrassing
paghangkop	embrace
pagkarawat	embrace
pag abot	emerge
tigda	emergency
emosyonal	emotional
empatiya	empathy
pabug-atan	emphasis
pagpabug-at	emphasize
empleyado	employee
mga empleyado	employees
amo	employer
trabaho	employment
bakante	empty
waray sulod	empty
pagpaandar	enable
pakigkita	encounter
pagdasig	encourage
kataposan	end
mameligro	endangered
mangalimbasog	endeavor
pagpailob	endurance
pag antos	endure
kaaway	enemy
enerhiya	energy
pag api	engage
nakabudlay	engaged
pakigbahin	engagement
makina	engine
inhinyero	engineer
Ininglis	English
pagpauswag	enhance
rayhak	enjoy
malipayon	enjoy
daku gud	enormous
damo gud	enormous
sadang	enough
igo na	enough
pagsiguro	ensure
sulod	enter
kaliawan	entertainment
kadasig	enthusiasm
madasigon	enthusiastic
bug-os	entire
may katungod	entitled
persona	entity
mga entrada	entrance
negosyante	entrepreneur
sobre	envelope
palibot	environment
kaawa	envy
epiko	epic
epidemya	epidemic
katugbang	equal
kagamitan	equipment
kapital	equity
katugbang	equivalent
pamara	eraser
sayop	error
paglikay	escape
labi na gud	especially
isinurat	essay
kahulogan	essence
importante	essential
pagtukod	establish
gintukod	established
estado	estate
pagbanabana	estimate
ginbanabana	estimated
ngan iba pa	etc
waray kataposan	eternal
etika	ethics
pag usisa	evaluate
pag usisa	evaluation
pa ngani	even
bisan	even
bisan kon	even though
gab-i	evening
hitabo	event
ha kataposan	eventually
waray gud	ever
kada	every
nalimas	everybody
ngatanan	everybody
ngatanan	everyone
ngatanan	everything
ebidensya	evidence
maraot	evil
ebolusyon	evolution
pag uswag	evolve
Ewe	Ewe
eks	ex
husto	exact
tinuod	exactly
ito gud	exactly
asya	exactly
eksamin	exam
pag usisa	examine
ehemplo	example
labaw	exceed
maopay gud	excellent
diri-upod	except
gawas	except
labot	exception
sobra	excess
sobra	excessive
lampos	excessive
pagbalhin	exchange
nalipay	excited
naikag	excited
pagkadasig	excitement
makapainteres	exciting
esklusibo	exclusive
pasaylo	excuse
pasayloa ako	excuse me
iginpadapat	execute
pagpatuman	execution
ehekutibo	executive
pag ehersisyo	exercise
ehersisyo	exercise
kapoy	exhaust
nakapoy	exhausted
nabutlaw	exhausted
nagpapakita	exhibit
pasundayag	exhibition
aada	exist
mayda	exist
pag eksister	existence
aada	existing
paggawas	exit
pagpadako	expand
ginalalaoman	expect
ginlalaoman	expected
gastos	expenses
mahal	expensive
eksperyensya	experience
eksperyensyaha	experience
eksperimento	experiment
eksperto	expert
linampos na	expired
pagsaysay	explain
pagsaysay	explanation
pagpahimulos	exploit
pangulawi	explore
pag usisa	explore
eksport	export
pagbuhayhag	expose
pagbuhayhag	exposed
pagkaada	exposure
iginsiring	express
pulong	expression
pagpadako	extend
ginpadako	extended
pagpadako	extension
kadako	extent
gawasnon	external
waray na	extinct
sobra	extra
pagkuha	extract
talagsahon	extraordinary
duro	extreme
duro gud	extremely
mata	eye
mata	eyes
tela	fabric
urusahon	fabulous
atubanga	face
atubang	face
pagpadali	facilitate
mga pasilidad	facilities
pasilidad	facility
kamatuoran	fact
hinungdan	factor
pabrika	factory
mga kamatuoran	facts
nagtitikawara	fade
pakyas	fail
pakyasa	fail
napakyas	failed
pakyas	failure
pagluya	faint
malamrag	fair
matadong	fair
patas	fair
husto	fairly
diwata	fairy
pagtoo	faith
pagtapod	faith
matinumanon	faithful
buwa	fake
ighulog	fall
pagkahulog	fall
BUWA	FALSE
kabantogan	fame
pamilyar	familiar
pamilya	family
katgutom	famine
bantog	famous
sikat	famous
gindadayaw	fan
pamaypay	fan
abaniko	fan
maupay	fancy
hingyapon	fancy
urusahon	fantastic
hirayo	far
panamilit	farewell
uma	farm
parauam	farmer
makaurusa	fascinating
uso	fashion
madagmit	fast
makusog	fast
tambok	fat
makamatay	fatal
kapalaran	fate
tatay	father
amay	father
kakapoy	fatigue
kabutlaw	fatigue
sayop	fault
paborito	favorite
minatahom	favorite
pabor	favour
paborito	favourite
kahadlok	fear
paghadloka	fear
piyesta	feast
barahibu	feather
kilala	feature
kilal-a	feature
mga bahin	features
pebrero	february
nagsawa na	fed up
bayad	fee
pakaona	feed
pagkaon	feed
baton	feedback
inabat	feel
pag abat	feeling
siki	feet
mga tiil	feet
nahulog	fell
igkasi	fellow
inabat	felt
babaye	female
alad	fence
mabunga	fertile
piyesta	festival
pagkuha	fetch
hiranat	fever
guti la	few
pira la	few
mas gutiay	fewer
pangasaw-onon	fiance
susmatanon	fiction
kapatagan	field
uma	field
hagna	field
mapintas	fierce
napulo kag lima	fifteen
kalim-an	fifty
away	fight
awaya	fight
makikig away	fighting
simboliko	figure
igsimbolo	figure
pagdiskobre	figure out
pila	file
pagpuno	fill
ginpuno	filled
sine	film
mahugaw	filthy
ha kataposan	finally
panalapi	finance
pinansyal	financial
turuya	find
tudya	find
pangitaa	find
hibaroi	find out
maupay	fine
pino	fine
diri maupay	fine
tudlo	finger
human na	finish
nahuman	finished
kalayo	fire
marig-on	firm
ginaparig-on	firm
una	first
ngaran	first name
isda	fish
angay	fit
lima	five
pag ayad	fix
marig-on	fixed
bandera	flag
largo	flash
tigda	flash
ginpatag	flat
patag	flat
kaluyahan	flaw
