халта	a little
этигэл	belief
этигэхэ	believe
гэдэһэн	belly
тоодо оролсохо	belong
инаг	beloved
доорохи	below
бүһэ	belt
һандали	bench
нугалха	bend
туһа	beneath
ашаг олзо	beneath
ашаг	benefit
аша	benefits
гадна	beside
гадна	besides
тон һайн	best
томо амжалта	best of luck
хүндэлһэн	best regards
дээрэ	better
хоорондо	between
ундаа	beverage
саана	beyond
Бһожпури	Bhojpuri
таад гээд һанаһан	bias
шуналта	biased
самахад	bicycle
үнэ хэлэхэ	bid
томо	big
самахад	bike
тоосоо	bill
уяха	bind
шубуун	bird
түрэһэн үдэр	birthday
халта	bit
хазаха	bite
гашуун	bitter
хара	black
эри	blade
гэмнэхэ	blame
хооһон	blank
хүнжэл	blanket
тэһэрэлгэ	blast
сагааруулха	bleach
холихо	blend
юрөөлтэй	bless
адислагдаһан	blessed
һохор	blind
юрөөл	bliss
хааха	block
шуһан	blood
сэсэглэхэ	bloom
үлеэхэ	blow
хүхэ	blue
тэнэг	blunt
хабтагай	board
уһанай онгосо	boat
бэе	body
бусалгаха	boil
халзан	bold
холбоо	bond
яһан	bone
ном	book
дээшэлүүлэгдэхэ	boost
пуужин тээгшэ	booster
гутал	boot
гутал	boots
хилэ	border
үрэмдэхэ	bore
гуниглаһан	bored
уйдхартай	boring
түрэһэн	born
урьһалха	borrow
ноён	boss
хоюулаа	both
хашарааха	bother
шэл	bottle
оёор	bottom
худалдажа абаһан	bought
дэбхэрхэ	bounce
туйл	bound
хизаар	boundaries
заха	boundaries
дохилго	bow
аяга	bowl
хайрсаг	box
хүбүүн	boy
нүхэр хүбүүн	boyfriend
бугааг	bracelet
уураг тархи	brain
һалаа	branch
брэнд	brand
зоригтой	brave
эбдэлгэ	breach
хилээмэн	bread
эбдэхэ	break
забһар	break
үглөөнэй сай	breakfast
сээжэ	breast
үбсүүн	breast
хүхэн	breast
амисгал	breath
амилха	breathe
үүлтэр	breed
хирпиисэ	brick
хадамтай басаган	bride
хүүргэ	bridge
зуурын	brief
ялагар	bright
эрдэниин шулуун	brilliant
асарха	bring
ахай	bro
үргэн	broad
дамжуулха	broadcast
эбдэрхэй	broke
эбдэрһэн	broken
хамуур	broom
ахай	brother
дүү	brother
хадам аха	brother in law
хүр дүү	brother in law
асарһан	brought
хүрин	brown
хюуза	brush
хүнэг	bucket
эжэл нүхэр	buddy
оршо гаршын түсэб	budget
алдуу	bug
сохо	bug
бодхоохо	build
байшан	building
байгуулһан	built
масса	bulk
буха	bull
айлгаха	bully
сохилто	bump
обоо	bunch
адха	bundle
баглаа	bundle
ашаа	burden
булагдаһан	buried
шатааха	burn
тэһэрхэ	burst
булаха	bury
Буряад	Buryat
автобус	bus
бургааһан	bush
олзын ажал	business
сээжэ бэе	bust
сүлөөгүй	busy
харин	but
тоһон	butter
эрбээхэй	butterfly
кнопко	button
шагта	button
худалдажа абаха	buy
хажуудань	by
гэхэ зуура	by the way
баяртай	bye
капуста	cabbage
байцаа	cabbage
кабинет	cabinet
хаамжа	cage
торт	cake
тугал	calf
залгаха	call
нам руу залгаарай	call me
гэһэн	called
амар	calm
ерэһэн	came
кампани	campaign
шадаха	can
шадахагүй	can't
Болюулга	Cancel
рак	cancer
шадабаритай	capable
багтаамжа	capacity
ниислэл	capital
тодорхойлһон бэшэг	caption
адхан абаха	capture
түмэр хүлэг	car
дэбжэлтэ	career
болгоомжотой	careful
болгоомжотойгоор	carefully
һанаа амар	careless
һаналаа табиһан	caring
дархан	carpenter
хибэс	carpet
луубан	carrot
үргэжэ ябаха	carry
үргэлжэлхэ	carry on
гаргаха	carry out
ушарал	case
сэбэр мүнгэн	cash
гар дээрэхи мүнгэн	cash
бэлэн байгаа мүнгэн	cash
хаяха	cast
хэрэм	castle
үдэр бүриин	casual
миисгэй	cat
барижа абаха	catch
категори	category
зэргэ	category
эбэртэ бодо мал	cattle
баригдаха	caught
шалтагаан	cause
болгоомжотой байлга	caution
болгоомжотой	cautious
агы	cave
болихо	cease
дээбэри	ceiling
тэмдэглэхэ	celebrate
хаамжа	cell
клеткэ	cell
түб	center
зуун жэл	century
залаата таряан	cereal
ёһолол	ceremony
тодорхой	certain
хэлсээнгүй	certainly
гэршэлгэ	certificate
гэнжэ	chain
сандал	chair
уряал	challenge
боломжо	chance
хубилалга	change
һэлгэлтэ	change
һамуурал	chaos
зан	character
тодорхойлолго	characteristics
заряд хэхэ	charge
буянта хэрэг	charity
дура буляаһан	charming
диаграмма	chart
намнаха	chase
хөөрэлдөөн	chat
үнэгүй	cheap
мэхэлхэ	cheat
мэхэлхэ	cheating
шалгаха	check
хасар	cheek
хүхеэхэ	cheer
сэнгүү	cheerful
хүхюутэй	cheerful
түлөө	cheers
биһалаг	cheese
хими	chemistry
эмээхэйрхэ	cherish
шатар	chess
сээжэ	chest
жажалха	chew
тахяа	chicken
ноён	chief
үхибүүн	child
бага наһан	childhood
үхибүүд	children
амарха	chill
хоолой	chimneys
үрхэ	chimneys
үргэн	chin
шоколад	chocolate
һунгалта	choice
шэлэхэ	choose
хэршэхэ	chop
тухашаралга	chores
булсагар	chubby
сүмэ	church
шансай	cinnamon
түхэреэн	circle
цикл	circle
ушар байдал	circumstances
эрхэтэн	citizen
хото	city
эрихэ	claim
тодорхойлхо	clarify
анги	class
сабуу	clay
сэбэр	clean
сэбэр	clear
клерк	clerk
ухаантай	clever
үйшэлэгшэ	client
хабсагай	cliff
саг агаар	climate
абирха	climb
халдадаг	clingy
саг	clock
хааха	close
шкап	closet
бүд	cloth
хубсаһан	clothes
үүлэн	cloud
бүрхэг	cloudy
клоун	clown
сабуу	clue
босхи	clumsy
кластер	cluster
һоригшо	coach
нүрһэн	coal
үнэ сэнэ	coast
пальто	coat
боргол	coffee
ойлголгын	cognitive
тудалга	coincidence
хүйтэн	cold
бутаралга	collapse
заха	collar
хамта ажал хэдэг хүн	colleague
хамта ажалдаг хүнүүд	colleagues
түүхэ	collect
суглуулбари	collection
мэргэжэлэй һургуули	college
үнгэ	color
үнгэгүй ногоон һанаан унтаһан ехэ сухалтайгаар	colorless green ideas slept furiously
үнгэ	colour
собоо	column
һам	comb
тааралдал	combination
тааралдуулха	combine
ерэхэ	come
наашаа ерэ	come here
ерыш	come on
таатай байдал	comfort
аятай байдал	comfort
аятай зохид	comfortable
ерэнэ	coming
удангүй гараха	coming soon
захирха	command
коммент	comment
худалдаанай	commercial
комисси	commission
гаргаха	commit
уялга	commitment
үзэлөө алдадаггүй	committed
бараа	commodity
хамтын	common
харилсаха	communicate
харилсаан	communication
бүлгэм	community
хүрэхэ	commute
хани	companion
хамтарал	company
зэргэсүүлхэ	compare
харилсуулга	comparison
энэрил	compassion
энэрилсэлгэ	compassionate
таарадаг	compatible
зүршэлдэхэ	compete
һайн мэдэлгэтэй	competent
урилдаан	competition
мэеэрхэлдэгшэ	competitive
гомдохо	complain
гомдол	complaint
нэмэхэ	complement
дууһаха	complete
хүсэд	completely
комплекс	complex
зүбшөөл	compliance
орёо	complicated
магтажа хэлэһэн үгэ	compliment
гүйсэдхэхэ	comply
композици	composition
бүридүүлһэн	compound
ойлголто	comprehension
хуу мэдэхэ	comprehensive
буулсан зүблэрэлгэ	compromise
компромисс	compromise
баалалтын	compulsory
компьютер	computer
сугларха	concentrate
бодомжо	concept
һанаа зобори	concern
һанаа зобоһон	concerned
концерт наадан	concert
тобшолол	conclusion
бетон	concrete
нүхэсэл	condition
нүхэсэл	conditions
ударидаха	conduct
конференци	conference
сэхынь хэлэхэ	confess
мэдэрхэ	confess
өөртөө этигэл	confidence
найдамтай	confident
баталха	confirm
зүришэл	conflict
аягүйрхэһэн	confused
худхарһан	confusion
баяр хүргэнэб	congrats
баяр хүргэхэ	congratulation
амаршалга	congratulations
холболто	conjunction
холбогдохо	connect
дайлан абаха	conquer
мэдэрлгын	conscious
мэдэрэлгэ	consciousness
зүбшөөл	consent
үрэ	consequences
хөөөрэлдөөн	conservation
хуушанай үзэлтэй	conservative
обёорхо	consider
бодомжотой	considered
бүридэхэ	consist
ходо боложо байлга	consistency
шууд сэхэ	consistent
тогтобори	constant
үргэлжэ	constantly
хоргооһондоо хаталга	constipation
барилга	construction
хэрэглэхэ	consume
хэрэглэмжэ	consumption
холбоо барисаа байгуулха	contact
халдабарита	contagious
барижа байха	contain
бии байха	contain
байгуулдаг	contains
мүнөө үеын	contemporary
шоо	contempt
гаршаг	content
конкурс	contest
урилдаан	contest
контекст	context
тив	continent
үргэлжэхэ	continue
контракт	contract
хоёр ондоо	contrast
туһа болохо	contribute
оруулалта	contribution
хиналга	control
арсалдаатай	controversial
таатай байлга	convenience
таатай	convenient
хөөрэлдөөн	conversation
андалдаха	convert
дамжуулан үгэхэ	convey
үнэншүүлхэ	convince
этигэлтэй	convinced
шанаха	cook
шанаха	cooking
хүйтэн	cool
хамта ажал хэхэ	cooperation
тэсэжэ гараха	cope
зэд	copper
уг	core
гол	core
кукуруза	corn
булан	corner
заһаха	correct
үнэ	cost
хубсаһан	costume
коттедж	cottage
хүбэн	cotton
һоригшо	couch
ханяаха	cough
шадаһан	could
зүблөөн	council
тоолохо	count
алаабхи	counter
орон	country
хүдөө	countryside
хоёр	couple
пара	couple
зориг	courage
шэглэл	course
шүүхэ	court
хүндэшэ	courtesy
үеэлэ	cousin
гадар	cover
үхэр	cow
аймхай хүн	coward
зүрхэгүй хүн	coward
зохид таатай	cozy
далайн хабшаахай	crab
хахарха	crack
урлалга	craft
бааһан	crap
эбдэрхэ	crash
хухалха	crash
шунал	craving
мүлхихэ	crawl
галзуу	crazy
зохёохо	create
зохёон байгуулагша	creative
зээли	credit
туушагүй хүн	creep
аймшагтай	creepy
зэбүүн	creepy
экипаж	crew
гэмтэ хэрэг	crime
зэдэгэнэхэ	cringe
хямарал	crisis
хэмжүүр	criteria
шүүмжэлхы	critical
шүүмжэлэл	criticism
тайраха	crop
ургаса	crops
хүндэлэн гараха	cross
һүрэг	crow
олон зон	crowd
олон хүнүүд	crowd
дүүрэшэһэн	crowded
титэм	crown
гол зүйл	crucial
хэрзэгы	cruel
круиз	cruise
буталха	crush
орлихо	cry
бархирха	cry
уйлаха	cry
үгэрсы	cucumber
тэбэрилдэхэ	cuddle
соёл	culture
мэхэ	cunning
аяга	cup
эргэнэг	cupboard
хүбөө	curb
аргалха	cure
хүлэ хориһон саг	curfew
һонюуша зан	curiosity
һонюуша	curious
буржагар	curly
валюта	currency
урадхал	current
мүнөө үеын	current
мүнөөнэй	currently
хараал	curse
хүшэгэ	curtain
дэрэ	cushion
ёһо	custom
үйлэшэлэгшэ	customer
тамуужан	customs
отолхо	cut
хөөрхэн	cute
цикл	cycle
самахаад унаха	cycling
аба	dad
аба	daddy
үдэр бүриин	daily
һүн бүтээл	dairy
хаалта	dam
хохидол	damage
хараал	damn
шиигтэй	damp
хатар	dance
аюул	danger
аюултай	dangerous
харанхы	dark
хонгор	darling
һүрэлгэ	dash
харайлга	dash
хаяса	dash
мэдээсэл	data
һара он	date
басаган	daughter
үдэр	day
үхэһэн	dead
һүүлшын саг	deadline
дулии	deaf
хэлсээн	deal
хонгор	dear
Хүндэтэ Булта	Dear All
Хүндэтэ үйлэшэлэгшэ	Dear Customer
Хүндэтэ Эхэ Эсэгэ	Dear Parents
Хүндэтэ Ноён	Dear Sir
Хүндэтэ һурагшад	Dear students
Хүндэтэ Хамта ажалшад	Dear Team
үхэл	death
арсалдаха	debate
орошолго	debit
барилганай хаягдал	debris
үри	debt
арбан жэл	decade
үмхирхэ	decay
үжэхэ	decay
наһа бараһан	deceased
мэхэлхэ	deceive
арбан хоёрдохи һара	december
гуримтай	decent
шиидэхэ	decide
шиидэһэн	decided
шиидхэбэри	decision
палуба	deck
буруушааха	decline
доошолуулха	decrease
зорюулагдаһан	dedicated
бэеэ үгэнги ябадал	dedication
ааша	deed
ябадал	deed
гүнзэгы	deep
буга	deer
оро	deer
үгы байдал	default
диилэхэ	defeat
хамгаалха	defend
тодорхойлхо	define
тодорхойгоор	definitely
элирүүлгэ	definition
зэрэг	degree
удаарал	delay
һүүшэлэгдэһэн	delayed
абаха	delete
гаргаха	delete
зайлуулха	delete
зорюута	deliberate
зулгы зантай	delicate
илдам	delicate
амтатай	delicious
баясама	delight
бахархаһан	delighted
хүргэлтэ	deliver
хүргэгдэһэн	delivered
хүргэлтэ	delivery
нэхэхэ	demand
нэхэһэн	demanding
эриһэн	demanding
арадшалал	democracy
шүдхэр	demon
харуулха	demonstrate
зүбшөөрэгдөөгүй	denied
нягтарал	density
шүдэнэй эмшэ	dentist
арсаха	deny
таһаг	department
ябалга	departure
мэдэлдэ байха	depend
дэлгээхэ	deploy
барюулга	deposit
уналтата	depressed
обгүй бололго	depression
гүн	depth
бэшэжэ харуулха	describe
найруулжа бэшэлгэ	description
губи	desert
сүл	desert
боложо шадаха	deserve
дизайн	design
тэмдэглэлгэ	designation
хүсэл	desire
ажалай шэрээ	desk
сүхэрэл	despair
сүхэрһэн	desperate
болобошье	despite
амтатай эдеэн	dessert
хүрэхэ газар	destination
хуби заяа	destiny
эбдэхэ	destroy
һандараалга	destruction
жэжэ зүйл	detail
тодорхой зүйл	details
олохо	detect
шиидэбэри	determination
элирүүлхэ	determine
тодорхойлһон	determined
занаһан	devastated
хүгжөөхэ	develop
хүгжэһэн	developed
хүгжөөлгэ	development
түхеэрэлгэ	device
альбан шүдхэр	devil
үнэн сэхэ	devoted
Дһивеһи	Dhivehi
диабет	diabetes
уруу һуулга	diarrhea
тэмдэглэл	diary
толи	dictionary
хээд	did
үхэхэ	die
наһа бараһан	died
үхэһэн	died
танюуһатай эдеэн	diet
илгаа	difference
илгабари	difference
ондо	different
хэсүү	difficult
малтаха	dig
нэрэ түрэ	dignity
хэшээлтэй	diligent
оролдосотой	diligent
үдэшын хоол	dinner
шунгуулха	dip
сэхэ	direct
шэглэл	direction
захирал	director
директор	director
эрхилэгшэ	director
шорой	dirt
муухай	dirty
хорихо	disable
дутамаг	disabled
үгы болохо	disappear
урмаа хухарһан	disappointed
аюул	disaster
гай	disaster
арсаха	discard
сүүлөөлэхэ	discharge
журам	discipline
химдрал	discount
элирүүлхэ	discover
илган газаашалалга	discrimination
хэлсэхэ	discuss
хэлэлсээн	discussion
үбшэн	disease
үбшэнүүд	diseases
ондоо дүрэ абалга	disguise
жэрхэбтэр	disgusting
аяга табаг	dish
аяга табаг	dishes
гаргаха	dismiss
эльгээлгэ	dispatch
үзүүлэхэ	display
сэбэрлэлгэ	disposal
арсалдаан	dispute
зарга	dispute
зай	distance
эли	distinct
илгаруулха	distinguish
гай	distress
хубаалга	distribution
аймаг	district
хашарааха	disturb
амар заяа үгэхэгүй	disturb
һубаг	ditch
шунгаха	dive
баялиг	diverse
элдэб	diverse
олон янза	diversity
хубааха	divide
бурханай	divine
һалалга	divorce
толгой эргэнги	dizzy
хэхэ	do
ши бол	do you
ши намда дуратай гүш	do you love me
эмшэ	doctor
баримта	document
хэдэг	does
нохой	dog
Догри	Dogri
хэжэ байна	doing
хүүхэлдэй	doll
кукла	doll
домен	domain
доторхи	domestic
тэжээмэл	domestic
булюу байлга	dominant
бү	don't
Бү һанаагаа зобогты	Don't worry
Бү һанаагаа зобо	Don't worry
мүнгэ үгэхэ	donate
бүтэһэн	done
хэгдэхэ	done
элжэгэм	donkey
наркотик	dope
дабхар	double
һэжэг	doubt
талхан	dough
доошоо	down
татаха	download
харань	draft
хара	draft
шэрэхэ	drag
хатааха	drain
уршаг	drama
драма	drama
зураха	draw
табюур	drawer
зураһан	drawing
айдаһан	dread
һанал	dream
даашинз	dress
үрэмдэхэ	drill
ууха	drink
унаха	drive
унагааха	drop
унгааһан	dropped
ган	drought
һогтуу	drunk
хуурай	dry
нугаһан	duck
эжэл нүхэр	dude
ёһото	due
ушарһаа	due to
һонигүй	dull
мохоо	dumb
хаялга	dump
хугасаа	duration
ябаса	during
тооһон	dust
уялга	duty
амидарха	dwell
үхэхэ	dying
бүри	each
бэе бэеэ	each other
шуналтай	eager
бүргэд	eagle
шэхэн	ear
урда тээ	earlier
эртэ	early
хүдэлжэ олохо	earn
шэхэн	ears
дэлхэй	earth
газар хүдэлэлгэ	earthquake
эгээлэй шанар	ease
амараар	easily
зүүн	east
бэлэхэн	easy
эдихэ	eat
эдилгэ	eating
эдиин засагай	economic
ажахы	economy
ажахын байдалай тала	economy
хизаар	edge
заха	edge
заһабарилха	edit
болбосорол	education
үрэ	effect
ашатай	effective
эффективнэ	effective
үрэтэй байдал	efficiency
ашагтай	efficient
оролдолго	effort
үндэгэн	egg
хаш	eggplant
биб гэлгэ	ego
хара амяа харалга	ego
найман	eight
арбан найман	eighteen
наян	eighty
али	either
гү	either
элдэхэ	elaborate
тохоног	elbow
аха	elder
наһатайшуул	elderly
аятай гоёор	elegant
элемент	element
заан	elephant
арбан нэгэн	eleven
тохиромжотой	eligible
һалгаха	eliminate
ондоо	else
аягүйрхэһэн	embarrassed
аягүйрхүүлэгдэһэн	embarrassing
хүлеэн абаха	embrace
тусхай байдал	emerge
онсо яаралтай	emergency
сэдьхэл хүдэлгэмэ	emotional
өөрыгөө ондо хүнүүдэй орондо табиха шадал	empathy
сохилто	emphasis
тусгаар тэмдэглэх	emphasize
ажалшан	employee
ажалшад	employees
ажал үгэгшэ	employer
ажалтай байдал	employment
хооһон	empty
зүбшөөрхэхэ	enable
ушарха	encounter
урмашуулха	encourage
эсэс	end
үгы болохо магадалтай	endangered
оролдохо	endeavor
тэсэбэри	endurance
тэсэхэ	endure
дайсан	enemy
энерги	energy
татажа асарха	engage
хабаадалсуулха	engage
хадамтай байха	engaged
хадамлалга	engagement
хүдэлгүүр	engine
инженер	engineer
Англи	English
һайжаруулга	enhance
аяшаалга	enjoy
асари томо	enormous
яһала	enough
найдуулха	ensure
оруулха	enter
орохо	enter
һамааруулга	entertainment
эдирхэл	enthusiasm
эдирхэлтэй	enthusiastic
бүхэли	entire
этигэмжэлэгдэһэн	entitled
мүн шанар	entity
орохо газар	entrance
олзын эрхилэгшэ	entrepreneur
дугтуй	envelope
оршон байдал	environment
атаархаха	envy
үльгэр	epic
эпос	epic
тахал	epidemic
тэнсүү	equal
багажа зэбсэг	equipment
мүнгэн зөөри	equity
эквивалент	equivalent
тэнгүү юумэн	equivalent
ластик	eraser
алдуу	error
зугадалга	escape
илангаяа	especially
зохёолго	essay
мүн шанар	essence
шухала хэрэгтэй	essential
байгуулха	establish
табиха	establish
байгуулагдаһан	established
эд зөөри	estate
сэгнэхэ	estimate
сэгнэгдэһэн	estimated
гэхэ мэтэ	etc
хизааргүй	eternal
этикэ	ethics
сэгнэхэ	evaluate
тогтоолго	evaluation
адлибтар	even
тииһэншье һаа	even though
үдэшэ	evening
ушар	event
эсэсэй эсэстэ	eventually
хэзээдэ	ever
бүри	every
бүхы хүнүүд	everybody
хүн бүхэн	everyone
бүхы юумэн	everything
баримталга	evidence
муу юумэн	evil
аажам хүгжэлтэ	evolution
хүгжэхэ	evolve
Эвэ	Ewe
урдын	ex
агсан	ex
тон зүб	exact
тон зүб	exactly
шалгаха	exam
шалгалта	examine
жэшээ	example
үлүү байха	exceed
эрхим һайн	excellent
гадна	except
гадуур	exception
үлүүнь	excess
үлүү гараһан	excessive
андалдалга	exchange
зүрхэ хүдэлхэ	excited
хүдэлэлгэ	excitement
хүрэлгэ	excitement
түрэлгэ	excitement
дура татаһан	exciting
тусхай	exclusive
онсо	exclusive
шалтагаантай	excuse
уушалагты	excuse me
гүйсэдхэхэ	execute
бүтээхэ	execute
сааза	execution
гүйсэдхэхэ	executive
даабари	exercise
эсэхэ	exhaust
зобошоһон	exhausted
экспонат	exhibit
үзэсхэлэн	exhibition
ажа-амидарха	exist
ажаһуулга	existence
бии байһан	existing
гараса	exit
үргэдхэхэ	expand
хүлеэхэ	expect
хүлеэгдэһэн	expected
гаргашалга	expenses
үнтэй	expensive
туршалга	experience
туршалга	experiment
мэргэжэлтэн	expert
дууһаһан	expired
тайлбарилха	explain
тайлбари	explanation
хэрэглэхэ	exploit
