azçıq	a little
köşe	angle
açuvlı	angry
ayvan	animal
tobuq	ankle
yıldönüm	anniversary
ilân	announcement
raatsız etmek	annoy
ökünçli	annoyed
qozğayıcı	annoying
er yıl	annual
belli olmağan	anonymous
diger	another
cevap	answer
farz etmek	anticipate
telâş	anxiety
telâşlı	anxious
er angi bir	any
artıq	anymore
er kim	anyone
er angi bir şey	anything
er alda	anyway
ne de olsa	anyways
ayrı olaraq	apart
daire	apartment
afu soramaq	apologize
aşkâr	apparent
añlaşılğanına köre	apparently
itiraz	appeal
peyda olmaq	appear
körüniş	appearance
peyda oluv	appearance
peyda oldı	appeared
madde	appetite
alma	apple
ilâve	application
qullanmaq	apply
muracaat etmek	apply
körüşüv	appointment
qadirine yetmek	appreciate
minnetdarlıq	appreciation
yanaşuv	approach
mütenasip	appropriate
tasdıqlav	approval
taqdirlemek	approve
taqdirlengen	approved
tahminen	approximately
çiçek ayı	april
indiy	arbitrary
mimar	architect
mimariy	architecture
arhiv	archive
sen	are you
meşğulsiñmi	are you busy
siz evlisiñizmi	are you married
ya da bekârsıñmı	are you married or single
evlisiñmi	are you married or single
Sen alâ daa andasıñmı?	Are you still there?
andasıñmı	are you there
saa	area
tartışmaq	argue
tartışma	argument
kevdelenmek	arise
qol	arm
ordu	army
etrafında	around
kelişmek	arrange
añlaşma	arrangement
kelip çıqma	arrival
kelip çıqmaq	arrive
kelip çıqqan	arrived
kibbar	arrogant
oq	arrow
sanat	art
maqale	article
suniy	artificial
ressam	artist
olaraq	as
vaqtında	as long as
ayrıca	as well
olğanı kibi	as well as
kül	ash
utandırılğan	ashamed
soramaq	ask
soradı	asked
uyuğan	asleep
ceet	aspect
Assam tili	Assamese
ücüm	assault
meclis	assembly
iddialı	assertive
qıymet kesmek	assess
muakeme	assessment
variyet	asset
aktivler	assets
qoymaq	assign
tayinleme	assignment
yardımcı olmaq	assist
yardımcı	assistant
bağlamaq	associate
bağlı	associated
dernek	association
bellemek	assume
zan	assumption
eñ azdan	at least
aşadı	ate
sportçı	athlete
qoşmaq	attach
bağlı	attached
bağlılıq	attachment
ücüm	attack
ıntıluv	attempt
qatnamaq	attend
qatnav	attendance
diqqat	attention
munasebet	attitude
celp etmek	attract
cazibelik	attraction
celp etici	attractive
atribut	attribute
diñleyiciler	audience
arman ayı	august
ala	aunt
tize	aunty
çıntı	authentic
müellif	author
nufuz	authority
küz	autumn
irişimi olğan	available
ortalandırma	average
qaçınmaq	avoid
uyanğan	awake
mukâfat	award
farqında olmaq	aware
haberdarlıq	awareness
uzaqqa	away
zevqlı	awesome
deşetli	awful
beceriksiz	awkward
Aymara tili	Aymara
sabiy	baby
bekâr	bachelor
keri	back
fon	background
yaramay	bad
çanta	bag
yem	bait
fırında pişirmek	bake
fırın	bakery
çay sodası	baking soda
teraze kelüv	balance
top	ball
Bambara tili	Bambara
muz	banana
çalğıcılar taqımı	band
şerit	band
patlama	bang
bank	bank
bar	bar
zornen	barely
bazarlıq	bargain
terek qabuğı	bark
arpa	barley
mania	barrier
temel	base
esaslanğan	based
mağaz	basement
temel	basic
esasında	basically
fesilgen	basil
aramzade	bastard
sürü	batch
ammam	bath
vannahane	bathroom
batareya	battery
uruş	battle
körfez	bay
cari olmaq	be
muqayt ol	be careful
yalı	beach
nur	beam
baqlalar	beans
ayuv	bear
saqal	beard
tireme	bearing
canavar	beast
köteklemek	beat
dülber	beautiful
dülberlik	beauty
oldı	became
çünki	because
olmaq	become
yataq	bed
yataq odası	bedroom
balqurt	bee
tuvar eti	beef
olğandır	been
bira	beer
evel	before
başladı	began
başlamaq	begin
başlanmaqta	beginning
adına	behalf
davranmaq	behave
areket tarzı	behavior
areket tarzı	behaviour
artında	behind
bar olmaq	being
işanç	belief
inanmaq	believe
qursaq	belly
ait olmaq	belong
sevimli	beloved
aşağıda	below
quşaq	belt
skemle	bench
mayışıq	bend
tübünde	beneath
fayda	benefit
faydalar	benefits
yanında	beside
ğayrı	besides
eñ güzel	best
işiñiz oñ kelsin	best of luck
sayğı ile	best regards
daa yahşı	better
arasında	between
içimlik	beverage
tışında	beyond
Bhocpuri tili	Bhojpuri
peşin fikir	bias
peşin fikirli	biased
ayaqmaşna	bicycle
teklif	bid
balaban	big
ayaqmaşna	bike
esap kâğıtı	bill
bağlamaq	bind
quş	bird
doğğan kün	birthday
parça	bit
tişlemek	bite
accı	bitter
qara	black
pıçaq ağzı	blade
qabaatlav	blame
boş	blank
örtü	blanket
patlav	blast
beyazlatıcı	bleach
qarıştırmaq	blend
şükür etmek	bless
mubarek	blessed
kör	blind
tav	bliss
blok	block
qan	blood
çiçek açmaq	bloom
darbe	blow
üfürmek	blow
mavı	blue
toqal	blunt
şura	board
tahta	board
qayıq	boat
beden	body
qaynatmaq	boil
cesür	bold
qalın	bold
bağ	bond
kemik	bone
kitap	book
tezleştirmek	boost
quvetleştirici	booster
pötük	boot
pötükler	boots
sıñır	border
can sıqısı	bore
canı sıqılğan	bored
can sıqıcı	boring
doğğan	born
borcğa almaq	borrow
reber	boss
ekisi de	both
keder etmek	bother
şişe	bottle
alt	bottom
satın alınğan	bought
satın aldı	bought
sıçramaq	bounce
bağlı	bound
sıñırlar	boundaries
temenna	bow
yay	bow
çanaq	bowl
qutu	box
oğlan	boy
erkek arqadaş	boyfriend
bilezlik	bracelet
miy	brain
şübe	branch
marka	brand
cesaretli	brave
bozma	breach
ötmek	bread
rızq	bread
teneffüs	break
sabalıq	breakfast
kökrek	breast
nefes	breath
nefes almaq	breathe
asramaq	breed
tola	brick
kelin	bride
köpür	bridge
kestirme	brief
parlaq	bright
parlaq	brilliant
ketirmek	bring
qardaşım	bro
keniş	broad
yayın	broadcast
sındırdı	broke
sınıq	broken
sipirki	broom
ağa	brother
qayın	brother in law
ketirdi	brought
qaverenki	brown
fırçı	brush
qopqa	bucket
arqadaş	buddy
bücet	budget
böcek	bug
qurmaq	build
yapı	building
qurulğan	built
rıqma-rıq	bulk
ögüz	bull
yaramaz	bully
şişik	bump
oba	bunch
demet	bundle
yük	burden
kömülgen	buried
yanmaq	burn
patlamaq	burst
kömmek	bury
avtobus	bus
çalı	bush
ticariy faaliyet	business
büst	bust
meşğul	busy
amma	but
yağ	butter
köbelek	butterfly
dögme	button
satın almaq	buy
tarafından	by
söz kelimi	by the way
körüşkence	bye
qapısta	cabbage
dolap	cabinet
qafes	cage
tort	cake
buzav	calf
çağıruv	call
çağırmaq	call
adlandırmaq	call
maña telefon aç	call me
adlandırılğan	called
tınç	calm
keldi	came
sefer	campaign
imkâniyeti bar	can
olmayım	can't
Lâğu	Cancel
rak hastalığı	cancer
qabiliyetli	capable
acim	capacity
paytaht	capital
serleva	caption
yaqalamaq	capture
araba	car
karyera	career
muqayt	careful
diqqatnen	carefully
ğamsız	careless
qayğırğan	caring
dülger	carpenter
halı	carpet
havuç	carrot
taşımaq	carry
devam etmek	carry on
becermek	carry out
adise	case
peşin para	cash
tökmek	cast
kermen	castle
kündelik	casual
mışıq	cat
yaqalamaq	catch
zümre	category
tuvar	cattle
tutuldı	caught
tutulğan	caught
manaçıq	cause
muqaytlıq	caution
muqayt	cautious
qoba	cave
toqtatmaq	cease
tavan	ceiling
bayram etmek	celebrate
üceyre	cell
merkez	center
asır	century
aşlıq	cereal
merasim	ceremony
belli bir	certain
elbet	certainly
sertifikat	certificate
zıncır	chain
oturğıç	chair
sınav	challenge
fırsat	chance
qaytım	change
deñişme	change
qarışıqlıq	chaos
mizac	character
hususiyetler	characteristics
masraflar	charge
hayriyet	charity
cilveli	charming
diagramma	chart
quvalamaq	chase
tasırdamaq	chat
ucuz	cheap
hiyanetlik etmek	cheat
dolandırma	cheating
teşkermek	check
çek	check
yanaq	cheek
ruhlandırmaq	cheer
neşeli	cheerful
alğış	cheers
penir	cheese
himiya	chemistry
beslemek	cherish
santıraç	chess
köküs	chest
çaynamaq	chew
çipçe	chicken
tavuq	chicken
baş	chief
bala	child
balalıq	childhood
balalar	children
pek suvuq	chill
baclar	chimneys
saqal tübü	chin
şokolad	chocolate
seçim	choice
saylamaq	choose
doğramaq	chop
ev işleri	chores
tomalaq	chubby
kilse	church
tarçın	cinnamon
daire	circle
şartlar	circumstances
vatandaş	citizen
şeer	city
iddia etmek	claim
aydınlatmaq	clarify
sınıf	class
balçıq	clay
temiz	clean
şeffaf	clear
kâtip	clerk
azırcevap	clever
müşteri	client
sırım	cliff
iklim	climate
tırmaşmaq	climb
yapışqan	clingy
saat	clock
yaqın	close
qapatmaq	close
kiler	closet
basma	cloth
urba	clothes
bulut	cloud
bulutlı	cloudy
kloun	clown
anahtar	clue
beceriksiz	clumsy
uyur	cluster
idmancı	coach
kömür	coal
sail	coast
palto	coat
qave	coffee
fikriy	cognitive
tesaduf	coincidence
suvuq	cold
çökmek	collapse
yaqa	collar
meslekdeş	colleague
zenaatdaşlar	colleagues
toplamaq	collect
toplam	collection
köllec	college
renk	color
renksiz yeşil fikirler hışımnen yuqlaylar	colorless green ideas slept furiously
renk	colour
sutun	column
taraq	comb
uyma	combination
birleştirmek	combine
kelmek	come
mında kel	come here
qana	come on
raatlıq	comfort
raat	comfortable
kelmekte	coming
yaqın arada olacaq	coming soon
emir	command
tevsir	comment
ticariy	commercial
eyyet	commission
eylemek	commit
teslim etüv	commitment
mefküreviy	committed
mal	commodity
müşterek	common
subetleşmek	communicate
alâqa	communication
cemiyet	community
barıp kelmek	commute
şerik	companion
şirket	company
qıyaslamaq	compare
teñeştirme	comparison
meramet	compassion
raim	compassionate
uyuğan	compatible
reqabet etmek	compete
ihtisaslı	competent
musabaqa	competition
reqabetli	competitive
şikâyet etmek	complain
şikâyet	complaint
tamamlayıcı	complement
bitirilgen	complete
tamamınen	completely
quralğan	complex
uyğunlıq	compliance
müşkül	complicated
kompliment	compliment
uymaq	comply
tiziliş	composition
quralma	compound
añlama	comprehension
ertaraflama	comprehensive
razılaşma	compromise
vacip	compulsory
bilgisayar	computer
qoyurmaq	concentrate
kontseptsiya	concept
raatsızlıq	concern
ğamlı	concerned
kontsert	concert
hulâsa	conclusion
beton	concrete
şart	condition
şartlar	conditions
idare etmek	conduct
konferentsiya	conference
tövbe etmek	confess
eminlik	confidence
qani	confident
tasdıqlamaq	confirm
çatışuv	conflict
şaşmalağan	confused
qarışıqlıq	confusion
hayırlavlar	congrats
hayırlav	congratulation
tebrikler	congratulations
bağlayıcı	conjunction
bağlamaq	connect
basıp almaq	conquer
aqıl-ferasetli	conscious
es	consciousness
razılıq	consent
aqibetler	consequences
saqlama	conservation
konservativ	conservative
diqqatqa almaq	consider
diqqatqa alınğan	considered
ibaret olmaq	consist
izçenlik	consistency
izçen	consistent
deñişmegen	constant
mütemadiyen	constantly
qabız	constipation
qurucılıq	construction
istimal etmek	consume
istimal	consumption
bağ	contact
yuqunçlı	contagious
içermek	contain
içinde bulunmaq	contains
çağdaş	contemporary
hor baqmaq	contempt
münderice	content
yarışma	contest
kontekst	context
qıta	continent
devam etmek	continue
muqavele	contract
kontrast	contrast
isse qoşmaq	contribute
isse	contribution
teftiş	control
davalı	controversial
oñaytlılıq	convenience
oñaytlı	convenient
subet	conversation
çevirmek	convert
alıp bermek	convey
qandırmaq	convince
qatiy işanğan	convinced
aş pişirmek	cook
aş pişirüv	cooking
salqın	cool
iş birligi	cooperation
baş etmek	cope
baqır	copper
özek	core
mısırboğday	corn
köşe	corner
doğru	correct
maliyet	cost
taqım urba	costume
köttec	cottage
pamuq	cotton
set	couch
öksürik	cough
ola bilmek	could
şura	council
saymaq	count
sayıcı	counter
memleket	country
köy yeri	countryside
çift	couple
cesaret	courage
kurs	course
yöneliş	course
makeme	court
nezaket	courtesy
eki doğmuş	cousin
qapaq	cover
sığır	cow
qorqaq	coward
qıntavlı	cozy
yengeç	crab
sındırmaq	crack
üner	craft
boq	crap
qaza	crash
meram	craving
süyreklenmek	crawl
divane	crazy
yaratmaq	create
yaratıcı	creative
ödünç	credit
çıqçıq balaban	creep
deşet	creepy
erkân	crew
cinayet	crime
Qırımtatar	Crimean Tatar
boynunı qısmaq	cringe
buhran	crisis
kriteriy	criteria
al etici	critical
tenqit	criticism
pıtamaq	crop
mahsulatlar	crops
haç	cross
qarğa	crow
qalabalıq	crowd
qalabalıq	crowded
tac	crown
pek müim	crucial
zalım	cruel
seyir	cruise
ezmek	crush
ağlamaq	cry
hıyar	cucumber
sarılmaq	cuddle
medeniyet	culture
qurnaz	cunning
filcan	cup
savut dolabı	cupboard
yügen	curb
deva	cure
yolğa çıqmaq yasağı	curfew
meraq	curiosity
er şeynen meraqlanğan	curious
quvurçıq	curly
para birimi	currency
ağımdaki	current
al-azırda	currently
lânet	curse
perde	curtain
yastıq	cushion
adet	custom
gümrükhane	custom
müşteri	customer
gümrükhane	customs
kesmek	cut
mulâyim	cute
devre	cycle
ayaqmaşnada yürüv	cycling
baba	dad
babaçığım	daddy
kündelik	daily
süt mahsulatları	dairy
bent	dam
buzmaq	damage
lânet	damn
dım	damp
oyun	dance
telüke	danger
telükeli	dangerous
qaranlıq	dark
sevgili	darling
tire	dash
beri	data
vasıl	date
qız bala	daughter
kün	day
ölü	dead
soñ tarih	deadline
sağır	deaf
muamele	deal
aziz	dear
Aziz er kes	Dear All
Ürmetli müşteri	Dear Customer
Sevimli ana-babalar	Dear Parents
Sevimli efendi	Dear Sir
Sevimli talebeler	Dear students
Sevimli taqımım	Dear Team
ölüm	death
munaqaşa	debate
borc	debit
virane	debris
borc	debt
on yıllıq	decade
çürümek	decay
ölü	deceased
aldatmaq	deceive
ilk qış ayı	december
edepli	decent
qarar etmek	decide
qarar etti	decided
qarar	decision
kögerte	deck
çöküş	decline
eksiltmek	decrease
qatiy işanğan	dedicated
sadıqlıq	dedication
areket	deed
teren	deep
sığın	deer
ögünden köz ögüne alınğan	default
mağlübiyet	defeat
qorçalamaq	defend
qararlamaq	define
eminliknen	definitely
tarif	definition
derece	degree
keçiktirmek	delay
avuştırılğan	delayed
silmek	delete
aselet	deliberate
narin	delicate
lezzetli	delicious
zevq	delight
ayran	delighted
ketirmek	deliver
teslim etilgen	delivered
teslim	delivery
talap etmek	demand
talap etici	demanding
demokratiya	democracy
iblis	demon
körsetmek	demonstrate
red etilgen	denied
sıqlıq	density
tiş ekimi	dentist
red etmek	deny
bölük	department
yolğa çıqış	departure
tabi olğan	depend
açmaq	deploy
pey	deposit
melül	depressed
ruhtan tüşme	depression
terenlik	depth
tasvir etmek	describe
tarif	description
sahra	desert
aq qazanmaq	deserve
leyha	design
tayin etüv	designation
emel	desire
iş masası	desk
ümütsizlik	despair
çaresiz	desperate
baqmadan	despite
şekerleme	dessert
maqsat etip qoyulğan yer	destination
taqdir	destiny
yoq etmek	destroy
dağıluv	destruction
parçalar	detail
tafsilâtlar	details
keşif etmek	detect
azimkârlıq	determination
belgilemek	determine
belgilengen	determined
viran etilgen	devastated
inkişaf ettirmek	develop
inkişaflı	developed
inkişaf	development
cihaz	device
şeytan	devil
sadıq	devoted
Divehi tili	Dhivehi
şeker hastalığı	diabetes
isal	diarrhea
kündelik	diary
luğat	dictionary
yaptı	did
ölmek	die
öldi	died
diyeta	diet
farq	difference
çeşit türlü	different
qıyın	difficult
qazmaq	dig
qıymet	dignity
çalışqan	diligent
aqşamlıq	dinner
batırmaq	dip
doğru	direct
yöneliş	direction
müdir	director
kir	dirt
kirli	dirty
qullanımdan kesmek	disable
saqat	disabled
yoq olmaq	disappear
qasevetlengen	disappointed
felâket	disaster
çöplükke atmaq	discard
boşama	discharge
nizam	discipline
endirim	discount
keşif etmek	discover
ayrımcılıq	discrimination
muzakere etmek	discuss
muzakere	discussion
hastalıq	disease
hastalıqlar	diseases
maskalamaq	disguise
igrenç	disgusting
tabaq	dish
tepisler	dishes
qabul etmemek	dismiss
yollamaq	dispatch
tasvirleme	display
hazıf	disposal
munaqaşa	dispute
mesafe	distance
mühtelif	distinct
ayırdı etmek	distinguish
elem	distress
tevzi	distribution
maalle	district
raatsızlamaq	disturb
or	ditch
dalmaq	dive
çeşit-çeşit	diverse
çeşitlik	diversity
bölmek	divide
ilâyi	divine
ayırılışma	divorce
baş aylandırıcı	dizzy
yapmaq	do
sen	do you
sen meni sevesiñmi	do you love me
ekim	doctor
vesiqa	document
yapa	does
degil	doesn't
köpek	dog
Dogri tili	Dogri
yapqan	doing
qoqla	doll
domen	domain
içki	domestic
basqın	dominant
yapma	don't
Raatsızlanma	Don't worry
bağışlamaq	donate
bitti	done
eşek	donkey
uyuştırıcı	dope
çift	double
şübelenmek	doubt
hamır	dough
aşağı	down
yüklemek	download
qaralama	draft
sürüklemek	drag
boşatmaq	drain
drama	drama
celp etmek	draw
çızmaq	draw
çekmece	drawer
resim	drawing
qorqulıq	dread
arzu	dream
anter	dress
burğu	drill
içimlik	drink
araba aydamaq	drive
tamçı	drop
tüşürmek	drop
yıqıldı	dropped
qurğaqlıq	drought
sarhoş	drunk
quru	dry
papiy	duck
aşna	dude
sebebinden	due
sebepten	due to
solğun	dull
budala	dumb
çöplük	dump
devamlılıq	duration
devamında	during
toz	dust
nevbetçilik	duty
oturmaq	dwell
mına-mına ölecek	dying
er bir	each
bir-birini	each other
istekli	eager
qartal	eagle
qulaq	ear
bundan evel	earlier
erte	early
qazanmaq	earn
qulaqlar	ears
yer kürresi	earth
zelzele	earthquake
qolaylıq	ease
yengilce	easily
şarq	east
qolay	easy
aşamaq	eat
aşağan	eating
iqtisadiyat	economic
iqtisat	economy
kenar	edge
tarir etmek	edit
tasil	education
semere	effect
semereli	effective
semerelilik	efficiency
semereli	efficient
ğayret	effort
yımırta	egg
morpatilcan	eggplant
nefishorlıq	ego
sekiz	eight
on sekiz	eighteen
seksen	eighty
veyahut	either
işletmek	elaborate
tirsek	elbow
yaşı büyük	elder
esli-başlı	elderly
zarif	elegant
unsur	element
fil	elephant
on bir	eleven
aqqı olğan	eligible
elemek	eliminate
daa da	else
utanğan	embarrassed
utandırıcı	embarrassing
quçaq	embrace
ortağa çıqmaq	emerge
fevqulade vaziyet	emergency
duyğulı	emotional
qayğıdaşlıq	empathy
urğu	emphasis
tübüni çızmaq	emphasize
hadim	employee
hadim	employees
iş bergen	employer
iş	employment
boş	empty
imkân bermek	enable
çatışmaq	encounter
rağbetlendirmek	encourage
soñ	end
nesili yoq olacaq	endangered
ıntılma	endeavor
dayanuv	endurance
çıdamaq	endure
duşman	enemy
energiya	energy
eglendirmek	engage
nişanlanğan	engaged
nişan	engagement
köçürici	engine
müendis	engineer
İngliz	English
quvetlendirmek	enhance
keyflenmek	enjoy
muazzam	enormous
yeter	enough
kefil olmaq	ensure
kirmek	enter
temaşa	entertainment
coşqunlıq	enthusiasm
avesli	enthusiastic
bütünley	entire
başlıqlı	entitled
barlıq	entity
kiriş	entrance
iş adamı	entrepreneur
zarf	envelope
çevre	environment
pahıllıq	envy
destan kibi	epic
salğın	epidemic
musaviy	equal
donatma	equipment
adalet	equity
musaviy	equivalent
silgiç	eraser
hata	error
qaçuv	escape
hususan	especially
inşa	essay
maiyet	essence
temel	essential
tesis etmek	establish
teşkil etilgen	established
mülk	estate
esaplamaq	estimate
tahminiy	estimated
ilâhre	etc
ebediy	eternal
ahlâqiyat	ethics
qıymet kesmek	evaluate
qıymet kesüv	evaluation
atta	even
olsa da	even though
aqşam	evening
tedbir	event
niayet	eventually
iç	ever
er	every
er kes	everybody
er kes	everyone
er şey	everything
isbat	evidence
yaman	evil
evrim	evolution
inkişaf etmek	evolve
Eve tili	Ewe
sabıq	ex
tam	exact
aynen	exactly
imtian	exam
tedqiq etmek	examine
misal	example
aşmaq	exceed
alâ	excellent
istisna	except
istisna	exception
artqaç	excess
artqan	excessive
deñişüv	exchange
eyecanlı	excited
eyecan	excitement
ayrette qaldırıcı	exciting
alâ dereceli	exclusive
aqlama	excuse
bağışla meni	excuse me
icra etmek	execute
eda	execution
icra	executive
yerine ketirüv	exercise
meşğuliyet	exercise
qıynamaq	exhaust
qıynalğan	exhausted
sergilengen şey	exhibit
sergi	exhibition
mevcut olmaq	exist
bar olğanı	existence
bar olğan	existing
çıqış	exit
cayratmaq	expand
işanmaq	expect
beklenilgen	expected
masraflar	expenses
paalı	expensive
tecribe	experience
deñev	experiment
mütehassıs	expert
vaqıtı keçti	expired
añlatmaq	explain
izaat	explanation
işletmek	exploit
araştırmaq	explore
ihrac	export
meydanğa çıqarmaq	expose
maruz qalğan	exposed
maruz qalmaq	exposure
ifade etmek	express
ifade etüv	expression
kenişletmek	extend
kenişletilgen	extended
uzatma	extension
mertebe	extent
tış	external
sönük	extinct
qoşma	extra
çıqarmaq	extract
fevqulade	extraordinary
aşırı	extreme
pek	extremely
köz	eye
közler	eyes
toquma	fabric
saltanatlı	fabulous
bet	face
qolaylaştırmaq	facilitate
donatmalar	facilities
qurulış	facility
kerçek	fact
faktor	factor
fabrika	factory
aqiqatlar	facts
solmaq	fade
nasipsizlik	fail
hayırsız	failed
red	failure
bayılmaq	faint
adaletli	fair
sergi	fair
bayağı	fairly
peri	fairy
iman	faith
sadıq	faithful
sahte	fake
yıqılmaq	fall
küz	fall
sahte	false
nam	fame
tanış	familiar
qoranta	family
açlıq	famine
meşur	famous
yelpaze	fan
mühlis	fan
nazik	fancy
fantastik	fantastic
bayağı	far
uzaq	far
sağlıqlaşuv	farewell
ferma	farm
fermacı	farmer
tılsımlı	fascinating
moda	fashion
tez	fast
semiz	fat
qaçınılmaz	fatal
qader	fate
baba	father
yorğunlıq	fatigue
yañlışlıq	fault
sevimli	favorite
eyilik	favour
sevimli	favourite
qorqu	fear
qorqmaq	fear
ziyafet	feast
tük	feather
hususiyet	feature
vazifeler	features
kiçik ay	february
bıqqan	fed up
ücret	fee
aşatmaq	feed
qarşılıq	feedback
is etmek	feel
duyğu	feeling
ayaqlar	feet
yıqıldı	fell
aqran	fellow
kiyiz	felt
apay kişi	female
qora	fence
mahsuldarlıq	fertile
festival	festival
çekmek	fetch
umma	fever
biraz	few
daa az	fewer
nişanlı	fiance
uydurma	fiction
saa	field
tarla	field
yavuz	fierce
on beş	fifteen
elli	fifty
kötekleşmek	fight
kötek	fighting
raqam	figure
soraştırıp bilmek	figure out
fayl	file
toldurmaq	fill
tolğan	filled
film	film
pis	filthy
ahırı	finally
maliye	finance
maliyeviy	financial
tapmaq	find
soraştırıp bilmek	find out
eyi	fine
parmaq	finger
bitirmek	finish
bitken	finished
yanğın	fire
ateş	fire
şirket	firm
birinci	first
ad	first name
balıq	fish
uymaq	fit
beş	five
tüzetmek	fix
sabit	fixed
bayraq	flag
parıltı	flash
daire	flat
yalpaq	flat
eksiklik	flaw
qusursız	flawless
qaçmaq	flee
et	flesh
üçti	flew
bükmek	flex
mayışqaq	flexible
uçuş	flight
taqlaq	flip
cilvelenmek	flirt
cilvelene	flirting
yaldavuq	float
sel	flood
taban	floor
qat	floor
un	flour
aqım	flow
çiçek	flower
gripp	flu
suv-tilmaç	fluent
çabik	fluently
yımşaq	fluffy
şingenlik	fluid
uçmaq	fly
bir yerge toplanmaq	focus
tuman	fog
tumanlı	foggy
qatlamaq	fold
halq	folks
izlemek	follow
taqip yet	follow up
kelecek	following
aş	food
deli	fool
ahmaq	foolish
ayaq	foot
futbol	football
içün	for
Misal olaraq	For example
misal olaraq	for instance
seniñ içün	for you
yasaqlı	forbidden
küç	force
tahmin	forecast
mañlay	forehead
çetel	foreign
orman	forest
ebediyen	forever
unutmaq	forget
afu etmek	forgive
unuttı	forgot
sançqı	fork
şekil	form
resmiy	formal
sabıq	former
bahtıma	fortunately
servet	fortune
qırq	forty
qırq eki	forty-two
ögge	forward
yetiştirmek	foster
tartıştı	fought
tapılğan	found
temel	foundation
dört	four
on dört	fourteen
tilki	fox
narin	fragile
çerçive	frame
çerçive	framework
aynecilik	fraud
hucur	freak
serbest	free
bedava	free
serbestlik	freedom
buzlamaq	freeze
sıqlıq	frequency
sıq	frequent
sıq-sıq	frequently
taze	fresh
cuma	friday
buzlatıcı	fridge
dost	friend
dostane	friendly
dostlar	friends
dostluq	friendship
qorqutılğan	frightened
qorqutıcı	frightening
baqa	frog
itibaren	from
ögdeki	front
buzlatılğan	frozen
meyva	fruit
siñirli	frustrated
yaqarlıq	fuel
Fulfulde tili	Fulfulde
tolu	full
eglence	fun
işlev	function
temel qoyğan	fundamental
cenaze	funeral
külünçli	funny
kürk	fur
ğadaplı	furious
mefruşat	furniture
daa soñra	further
bir de	furthermore
kelecek	future
qazanç	gain
oyun	game
boşluq	gap
garaj	garage
çöp	garbage
bağça	garden
sarımsaq	garlic
araba qapı	gate
cıymaq	gather
toplaşma	gathering
ölçü	gauge
berdi	gave
tertibat	gear
cınıs	gender
umumiy	general
umumen	generally
yaratmaq	generate
nesil	generation
cümert	generous
daiy	genius
tür	genre
nazlı	gentle
asıl	genuine
işmar	gesture
elge keçirmek	get
kiyinmek	get dressed
turmaq	get up
Allah şifa bersin	get well soon
olunma	getting
hayalet	ghost
hayalet	ghosting
qocaman	giant
bahşış	gift
zencefil	ginger
qız	girl
qız arqadaş	girlfriend
bermek	give
teslim olmaq	give up
berilgen	given
memnün	glad
nazar	glance
cam	glass
közlük	glasses
baqış	glimpse
bütün dünya	global
tors	gloomy
qolçaqlar	gloves
yarıq	glow
parıldamaq	glow up
tutqal	glue
ketmek	go
