omu	a
okubuuka	bounce
obusibe	bound
ensalosalo	boundaries
okuvunnama	bow
bakuli	bowl
essanduuko	box
omulenzi	boy
akakomo	bracelet
obwongo	brain
olusaga	branch
bulandi	brand
obuvumu	brave
okumenya	breach
omugaati	bread
okumenya	break
eky'enkya	breakfast
ebbeere	breast
okussa	breath
okussa	breathe
okulunda	breed
ettofaali	brick
omugole	bride
olutindo	bridge
kitangaala	bright
amagezi	brilliant
okuleeta	bring
mwanyinaze	bro
obunene	broad
okutongoza	broadcast
okumenya	broke
okumenyeka	broken
olweeyo	broom
mwannyinaze	brother
-leeta	brought
kitaka	brown
okusenya	brush
peyilo	bucket
matumbi budde	midnight
mukwano	buddy
embalirira	budget
mu bufunze	brief
mu bufunzi	conclusion
ekiwuka	bug
okuzimba	build
ekizimbe	building
okuzimba	built
kikole bukozi	just do it
mu bulambirira	whole
kya bulijjo	basic
kya bulijjo	casual
kya bulijjo	common
ekya bulijjo	normal
-a bulijjo	ordinary
si bulijjo	seldom
sikya bulijjo	strange
si buli kaseera	hardly
kirimu bulikimu	comprehensive
okutunulira bulikimu	thorough
okwawukanako buli omu	peculiar
mu buliwo	current
mu buliwo	recent
obuzito	bulk
okutuntuza	bully
obutawulira bulumi	numb
okukola bulungi	efficient
okwoogera bulungi	fluently
sula bulungi	good night
sula bulungi	goodnight
Ndi bulungi	I am fine
Ndi bulungi	I'm fine
Ndi bulungi	I'm good
beera bulungi mu bunnambiro	get well soon
okukoona	bump
omungi	bunch
omuganda	bundle
obusungu bungi	intense
omugugu	burden
okuziikibwa	buried
okwookya	burn
okwaabika	burst
okuziika	bury
baasi	bus
bya busawo	medical
ensiko	bush
bizinensi	business
okwabika	bust
bize	busy
naye	but
yee, butereevu	yes of course
siyaagi	butter
ekiwojjolo	butterfly
eppeesa	button
-a butwa	toxic
mu buwombeefu	kindly
okugula	buy
tewali buzibu	it's ok
tewali buzibu	It's okay
tewali buzibu	no problem
obudde bw'akasana	summer
obunji bw'ekintu	excessive
nange bwenty	likewise
obusobozi bwokufuna okutegera kwekintu	insight
ebigambo bwoluzungu	vocabulary
busimu bwomubiri	tissue
obuzito bwomugaso	scope
okujjako	by
-eelaba	bye
ebintu by'enjawulo	miscellaneous
birungi byereere	best regards
Google byevunnula	Google Translate
ebintu by'ofunye	achievement
olina by'okola	are you busy
ebiseera by'omumaaso	future
emboga	cabbage
kabineeti	cabinet
ekiguli	cage
keeci	cake
ennyana	calf
okuyita	call
okuyitibwa	called
nkubira	call me
okukkakkana	calm
yajja	came
okuvuganya	campaign
-sobola	can
okusazaamu	Cancel
kookolo	cancer
-sobola	can't
obusobozi	capable
obusobozi	capacity
kapitaali	capital
okufuna	capture
emmotoka	car
omulimu	career
okwegendereza	careful
okwegendereza	carefully
okugalamba	careless
okufaayo	caring
omubaazi	carpenter
ekiwempe	carpet
kaloti	carrot
okusitula	carry
okutuukiriza	carry out
omusango	case
sente	cash
okuwayo	cast
olubiri	castle
kkapa	cat
okukwaata	catch
olubu	category
ente	cattle
wakutte	caught
okuleetera	cause
okwegendereza	caution
okwegendereza	cautious
empuku	cave
okukoma	cease
akasolya	ceiling
okujagaana	celebrate
ekatoffaali	cell
ekikumi	century
kasooli	cereal
omukolo	ceremony
butereevu	certainly
ebbaluwa	certificate
olujegere	chain
entebe	chair
okusoomozebwa	challenge
omukisa	chance
okukyuusa	change
akavuyo	chaos
enneyisa	character
obubonero	characteristics
okulamula	charge
okuyamba	charity
kisanyusa	charming
ekipande	chart
okugoba	chase
okunyumya	chat
okuseera	cheat
okufera	cheating
okukebera	check
ettama	cheek
okuwagira	cheer
okusanyuka	cheerful
okuwagira	cheers
cheese	cheese
kemisitule	chemistry
okwagala	cherish
omweeso	chess
ekifuba	chest
okugaaya	chew
enkoko	chicken
omukungu	chief
omwaana	child
obuto	childhood
abaana	children
okunnyogoga	chill
ekirevu	chin
chokoleeti	chocolate
okusalawo	choice
okulonda	choose
okutema	chop
emirimu	chores
okubababbala	chubby
katungulu chumu	garlic
ekereziya	church
omudalasini	cinnamon
-tooloola	circle
ebituukawo	circumstances
omutuuze	citizen
ekibuga	city
okwemulugunya	claim
okutangaaza	clarify
essomo	class
bbumba	clay
buyonjo	clean
okumalawo	clear
-gezi	clever
omuguzi	client
okulinnya	climb
essaawa	clock
okuggalawo	close
olugoye	cloth
engoye	clothes
ekire	cloud
kazanyinkirizi	clown
ekikundi	clue
okugwiirana	clumsy
ekiwagu	cluster
okutendeka	coach
amanda	coal
omwaalo	coast
kooti	coat
emmwanyi	coffee
obutiti	cold
okuzirika	collapse
ekitogi	collar
okukungaanya	collect
okukungaana	collection
ettendekero	college
langi	color
erangi	colour
empagi	column
ekisannyirizo	comb
okugatta	combination
okugatta	combine
jangu	come
okukubagiza	comfort
okujja	coming
okulagira	command
endowooza	comment
busuubuzi	commercial
akasimi	commission
okwewaayo	commit
okweewaayo	commitment
okwewaayo	committed
eky'amaguzi	commodity
okuwulizaganya	communicate
enjogerezaganya	communication
ekyaalo	community
okutambula	commute
omubeezi	companion
kampane	company
okugattika	compare
okugattika	comparison
okusaasira	compassion
okukwatagana	compatible
okuvugana	compete
-tegeevu	competent
empaka	competition
okusindana	competitive
okwemulugunya	complain
okwemulugunya	complaint
okuwaana	complement
okumaliriza	complete
bulikimu	completely
kikaluba	complex
okukaluba	complicated
okuwaana	compliment
okuwuliriza	comply
okuyiiya	composition
olujja	compound
okutegeera	comprehension
okubuusa	compromise
teeka	compulsory
kompuuta	computer
okweraliikirira	concern
okwerariikirira	concerned
konsati	concert
enkokoto	concrete
kakwakkulizo	condition
obukwakkulizo	conditions
okulabiriza	conduct
olukungaana	conference
okukkiriza	confess
okwekkiririzamu	confidence
okwekkiririzaamu	confident
okukakasa	confirm
katabanguko	conflict
obutategeera	confused
okusoberwa	confusion
yogaayoga	congrats
yogayoga	congratulation
yogaayoga	congratulations
akayunzi	conjunction
okukwatagana	connect
okuwangula	conquer
entegeera	conscious
okutegeera	consciousness
olukusa	consent
ebiddirira	consequences
emboozi	conservation
okukuma	conservative
fumiitiriza	consider
bakitademu	considered
okubeeramu	consist
obutakyuuka	consistency
okudinganamu	consistent
obutakyuuka	constant
obuteeyabya	constipation
okuzimba	construction
okukozesa	consume
okumalawo	consumption
okutuukirira	contact
okusiiga	contagious
okubeeramu	contain
-limu	contains
okunyooma	contempt
okwesiima	content
okuvuganya	contest
kontinenti	continent
-eeyongera	continue
kontulakiti	contract
okwawula	contrast
okuwaayo	contribute
ekiweebwayo	contribution
okufuga	control
emirembe	convenience
emboozi	conversation
okukyuuka	convert
okuwaayo	convey
okumatiza	convince
okumatiza	convinced
okufumba	cook
okufumba	cooking
okunnyogoga	cool
okukolagana	cooperation
okusobola	cope
ekikomo	copper
entobo	core
kasooli	corn
nsonda	corner
okugolola	correct
omuwendo	cost
ekyambalo	costume
akayumba	cottage
pamba	cotton
entebe	couch
okukolola	cough
-andi	could
olukiiko	council
okubala	count
emmeeza	counter
eggwanga	country
mukyaalo	countryside
essomo	course
gonjebwa	courtesy
kizibwe	cousin
ekisaanikizo	cover
ente	cow
omutitiizi	coward
okuwumulamu	cozy
enjaba	crab
okumenyeka	crack
eby'emikono	craft
okukoona	crash
okuyoya	craving
okwaavula	crawl
okutonda	create
okuyiiya	creative
akagoba	credit
okusooba	creep
okutiisa	creepy
ekibinja	crew
omusango	crime
okwesikamu	cringe
akatyaabago	crisis
omutendero	criteria
okwetegereza	critical
okukomelera	criticism
ekirime	crop
ebimera	crops
okusala	cross
nnamungoona	crow
Okubunga	crowd
okwebunga	crowded
engule	crown
-eekakatako	crucial
kuluuzi	cruise
okutomela	crush
okukaaba	cry
cucumber	cucumber
okuwambaatira	cuddle
eby'obuwangwa	culture
obukoddyo	cunning
ekikopo	cup
kabada	cupboard
okutaayiza	curb
okuwonya	cure
kafiyu	curfew
okwebuuza	curiosity
amasadde	curly
sente	currency
okukolimira	curse
kaateni	curtain
amutto	cushion
empisa	custom
omuguzi	customer
empisa	customs
okusala	cut
-lungi	cute
ggaali	cycle
okusotta	cycling
taata	dad
taata	daddy
amata	dairy
olubibiro	dam
okwonoona	damage
okuzikirira	damn
okutoba	damp
okuzina	dance
akabi	danger
akabi	dangerous
ekizikiza	dark
kabiite	darling
okwanguwa	dash
eby'okunoonyereza	data
olunaku	day
-a ddala	authentic
mangu ddala	immediate
ddala ddala	indeed
mangu ddala	soon
-fu	dead
okugaana	deadline
obutawulira	deaf
buguzi	deal
mwattu	dear
okufa	death
okuwakana	debate
ebanja	debit
kasassiro	debris
ebbanja	debt
okuvunda	decay
omugenzi	deceased
okulimba	deceive
ensibuko	decent
okusalawo	decide
yasalawo	decided
okusalawo	decision
deki	deck
okugaana	decline
okukendeeza	decrease
okwewayo	dedicated
okuwaayo	dedication
ekikolwa	deed
buziba	deep
empeewo	deer
okukosamu	default
okuwangulwa	defeat
okuwolereza	defend
okunnyonyola	define
butereevu	definitely
diguli	degree
okulwawo	delay
kikeerezi	delayed
okusiimuula	delete
okuwooma	delicious
okwenyumiriza	delight
okusanyuka	delighted
okutambuza	deliver
okutuusa	delivered
okutusa	delivery
okulagira	demand
okulagira	demanding
demokulasiya	democracy
omuzimu	demon
okugezesa	demonstrate
okugaanibwa	denied
obuzito	density
okweegaana	deny
ekibiina	department
amagendo	departure
okwesiga	depend
okuteekamu	deposit
okunakuwala	depressed
ennaku	depression
obuwanvu	depth
okunnyonyola	describe
okunnyonnyola	description
eddungu	desert
okusaana	deserve
okukuba	design
omulimu	designation
okwagala	desire
meeza	desk
okuyonkayonka	desperate
newankubadde	despite
eky'okulya	dessert
enkomerero	destination
entuuko	destiny
okuyonoona	destroy
okuyonoona	destruction
okusoggola	detail
ebisingawo	details
okulaba	detect
obumalirivu	determination
okumalirira	determine
obumaririvu	determined
okukulankulana	develop
okukulaakulana	developed
okukulankulana	development
ekyuuma	device
sitaani	devil
obujjumbizi	devoted
Dhivehi	Dhivehi
embiro	diarrhea
ekitabo	diary
dikisonale	dictionary
-akola	did
okufa	die
yafa	died
ndya	diet
enjawulo	difference
okwaawukana	different
okukaluba	difficult
okusima	dig
ekitiibwa	dignity
kya diini	religious
obunyiikivu	diligent
eky'eggulo	dinner
okukoza	dip
okulagirira	direct
endagiriro	direction
omukulu	director
ettaka	dirt
-kyaafu	dirty
okulemala	disable
obutesobola	disabled
okubulawo	disappear
ekibwatukiro	disaster
okusuulawo	discard
okufulumya	discharge
empisa	discipline
okusalako	discount
okuzuula	discover
okusosola	discrimination
okwogerako	discuss
okuteesa	discussion
ekilwadde	disease
endwadde	diseases
okwefuusa	disguise
-essittaza	disgusting
emmerere	dish
ebintu	dishes
okusiibula	dismiss
okugaba	dispatch
okulaga	display
okusuula	disposal
empaka	dispute
olugendo	distance
kyanjawulo	distinct
okwawula	distinguish
okusaansaanya	distribution
disitulikiti	district
okusumbuwa	disturb
ekinnya	ditch
okubuuka	dive
-y'enjawulo	diverse
okwawula	divide
obutukuvu	divine
kamunguluuze	dizzy
kola	do
omusawo	doctor
ekiwandiiko	document
-kola	does
-li	doesn't
embwa	dog
Dogri	Dogri
okukola	doing
dole	doll
okukulira	dominant
okugaba	donate
okumala	done
endogoyi	donkey
tokikola	don't
Tofaayo	Don't worry
kilungi	dope
bbiri	double
okubuusabuusa	doubt
engaano	dough
wansi	down
okufuna	download
onjagala	do you love me
ekifananyi	draft
okusika	drag
omufulejje	drain
akazannyo	drama
duloowa	drawer
obutayagala	dread
okuloota	dream
ekiteteeyi	dress
okusima	drill
okunywa	drink
okuvuga	drive
ettondo	drop
okusuula	dropped
olukalu	drought
-tamiira	drunk
okukala	dry
embaata	duck
omuntu	dude
ebbanja	due
-ebafu	dull
obutayogera	dumb
okusuula	dump
ebbanga	duration
mukasera	during
enfuufu	dust
omulimu	duty
okukola duyilo	work out
okubeera	dwell
okufa	dying
okwesunga	eager
empungu	eagle
okutu	ear
mangu	earlier
enyingiza	earn
amatu	ears
ensi	earth
musisi	earthquake
-angu	ease
kyangu	easily
ebuvanjuba	east
-angu	easy
okulya	eat
okulya	eating
ebintu ebibera wansi wolugi	threshold
okucaccaliza ebigambo	rhythm
okubulwa ebigambo	speechless
ebintu ebija kimu Ku kimu	series
ebigambo ebijidwa munjogera yomuntu	quotation
ebintu ebikoledwa omulundi gumu	batch
okutunda ebintu mubutono	retail
emirundi ebiri	twice
okukkiriza ebirungi	optimistic
ebirooto ebirungi	sweet dreams
-kwagaliza ebirungi	wish you all the best
etukiriza ebisanyizo	eligible
okwagala ebiwooma	sweet tooth
okujjukira eby'edda n'onakuwala	nostalgic
ebintu eby'enjawulo	features
ekiriko ebyooya	fluffy
okukekkereza	economic
yikonome	economy
okugwa eddalu	crazy
tulabagane edda	see you later
nkomerero	edge
okugolola	edit
okusoma	education
-ddirira	effect
kitukiridwako	effective
amaanyi	efficiency
amaanyi	effort
ejji	egg
erinnya egganda	surname
biringanya	eggplant
amalala	ego
munaana	eight
kinaana	eighty
oba	either
ekizimbe ekibeeramu ebitabo	library
ekintu ekiberawo nga tekisubidwa	coincidence
okukuba ekifaananyi	draw
okukkuba ekifaananyi	drawing
nsindikira ekifaanayi kyo	send me your picture
okujjuza ekifo	occupied
ekituli ekifulumya omukka	chimneys
ekyuma ekifumba emigati	toast
okussa ekikkoowe	sigh
ekirime ekikozesebwa nga edagala	sage
ekintu ekikuzamu amanyi okukola ekintu	incentive
ekifo ekilondemu kukintu	aspect
okutunula ekimogo	glimpse
ekintu ekimu	something
kisenge ekinene	hall
okwagala ekintu	ambition
okukola ekintu nga weyagalira	deliberate
okulya ekirimi	interrupt
kiki ekiriwo	what's up
ekintu ekisubirwa okuberawo	phenomenon
ekintu ekitajja	inappropriate
okukubwa ekitambo	possess
okussaamu ekitiibwa	honor
okutyoobola ekitiibwa	offensive
okussaamu ekitiibwa	respect
ekintu ekitta	fatal
ekintu ekiweredwa okukola omulimu	facility
kiki ekyabaddewo	what happened
ekizimbe ekya moolo	mall
ekirwadde ekya sukaali	diabetes
kitonde ekyemizimu	fairy
ekintu eky'enjawulo	feature
ekivamu ekyenkomerede	factor
lya eky'enkya	have breakfast
ekisaawe eky'ennyonyi	airport
ekirooto eky'entiisa	nightmare
ekiseera eky'obutiti	winter
ekisolo ekyo mumaz	squid
okulambulula	elaborate
enkokola	elbow
omukulu	elder
obukulu	elderly
ekintu	element
enjovu	elephant
embera eletera enkola yomukolo	context
okujjamu	eliminate
etaka eliyingila munyanja	bay
-ala	else
okuvuga elyaato	sailing
eddaala ely'enjawulo	milestone
okudda emabega	reverse
okuswaala	embarrassed
okuswaaza	embarrassing
empisa embi	cruel
okuwambaatira	embrace
emirundi emeka	how often
okusomoka	emerge
kwelinda	emergency
nkwagaliza emikisa	good luck
nkwagaliza emikisa mingi leero	many many happy returns of the day
okuwa emirembe	comfortable
okuwa emirembe	convenient
okubulwa emirembe	distress
okubulwa emirembe	tense
obusungu	emotional
okulumirirwa	empathy
okuggumiza	emphasis
okuggumiza	emphasize
empewo empitirivu	windy
omukozi	employee
abakozi	employees
omukulu	employer
okukola	employment
obukalu	empty
olina emyaaka emeka	how old are you
okuyinzisa	enable
ensisinkano	encounter
enkomerero	end
okukosebwa	endangered
okufuba	endeavor
enva endirwa	lettuce
enva endirwa	parsley
enva endirwa	vegetable
eva endirwa	vegetables
londa endowoza eyo	regard
okuguma	endurance
okuguma	endure
omulabe	enemy
amaanyi	energy
okwogereza	engage
okwanjulwa	engaged
okwanjula	engagement
yinjini	engine
yinginiya	engineer
Olungereeza	English
okwongeramu	enhance
Okulumwa enjala	starving
okunyumirwa	enjoy
tulabagane enkya	see you tomorrow
okuwulira ennaku	pity
ente ennume	bull
ente ennume	ox
ssekukkulu ennungi	merry christmas
ekitono ennyo	least
endowoza enondemu	concept
obunene	enormous
-mala	enough
okutegeeza	ensure
okuyingira	enter
okwesanyusa	entertainment
okwesunga	enthusiasm
okwesunga	enthusiastic
-onna	entire
osanide	entitled
kyonna	entity
kkapa ento	kitten
endiga ento	lamb
w'oyingirira	entrance
omuyiiya	entrepreneur
baasa	envelope
obuwangaaliro	environment
ebbuba	envy
okwenkana	equal
eby'okukozesa	equipment
obwenkanya	equity
okwenkanankapnap	equivalent
naye era	nevertheless
okusangula	eraser
okwoogera eri	address
genda eri	go away
kiri eri gwe	up to you
okukuba eriiso	glance
essanyu eringi	bliss
wali eri	over there
erinnya erisemba	last name
erinnya erisooka	first name
twaala eri	take away
ensobi	error
okudduka	escape
naddala	especially
okukuba essasi	shoot
okukuba essasi	shot
ekiwandiiko	essay
obutonde	essence
akatalekeka	essential
okubulwa essuubi	hopeless
okutongoza	establish
okwetongoza	established
emmayiro	estate
okuteebereza	estimate
okuteebereza	estimated
endowoza etali kukulowoza okutufu	prejudice
lubeerera	eternal
waliwo e-	there are
eby'empisa	ethics
empiso etunga	hook
okugerageranya	evaluate
okulamula	evaluation
wadde	even
akawawungeezi	evening
omukolo	event
nelwankubadde	even though
olivannyuma	eventually
bulijo	ever
buli	every
obukakafu	evidence
obulabe	evil
enkyuukakyuuka	evolution
okukyuuka	evolve
okwebuuza ewalala	reference
ebikozesebwa ewamu	system
Ewe	Ewe
yaliko	ex
kyennyini	exact
kyeekyo	exactly
ekibuuzo	exam
okukebera	examine
eky'okulabirako	example
okusukkuluma	exceed
-suffu	excellent
okujjako	except
okujjako	exception
okubigika	excess
okufaanyisa	exchange
okukyamuka	excited
essanyu	excitement
okukyamusa	exciting
-kka	exclusive
ekyekwaaso	excuse
okumala	execute
dduyilo	exercise
okumalawo	exhaust
-koowu	exhausted
okwolesa	exhibit
okwolesa	exhibition
okubeerawo	exist
obubeerawo	existence
okubeerawo	existing
-fuluma	exit
okugaziwa	expand
okusuubira	expect
-suubirwa	expected
eby'ensaasaanya	expenses
obumanyirivu	experience
okugezesa	experiment
omukugu	expert
okuggwawo	expired
okuwoza	explain
okunnyonnyola	explanation
okunyuunyunta	exploit
okulambuula	explore
okufulumya	export
okwabya	expose
okwaabya	exposed
okwanika	exposure
okutegeeza	express
endabika	expression
okusembeza	extend
okusembezaayo	extended
okwongezaayo	extension
obuwanvu	extent
wabweeru	external
okugwaawo	extinct
okwongeza	extra
okujjayo	extract
ekibejjo	extraordinary
nyo	extreme
nyo	extremely
eriiso	eye
endagirila eyegaseko ebikolwa	caption
ennyama ey'ente	beef
amaaso	eyes
embeera ey'omubiri	mood
esente ezibanjibwa	bill
sente ezisasilibwa mundagano	premium
akadeeya	fabric
kilungi	fabulous
feesi	face
okulabiriza	facilitate
ebikozesebwa	facilities
amazima	fact
fakitole	factory
eby'amazima	facts
okubulawo	fade
okugwa	fail
okugwa	failed
okugwa	failure
okuzirika	faint
bulungiko	fairly
okukkiriza	faith
obwesigwa	faithful
okufera	fake
okugwa	fall
-kyaamu	false
okumanyika	fame
okamanyiiro	familiar
amaka	family
enjala	famine
amanyikiddwa	famous
ekiwujjo	fan
mutindo	fancy
-suffu	fantastic
wala	far
weraba	farewell
faamu	farm
omulimi	farmer
okunyuma	fascinating
omusono	fashion
okusiiba	fast
obunene	fat
entuuko	fate
taata	father
obukoowu	fatigue
omusango	fault
okuganja	favour
okutya	fear
ekijjulo	feast
ekyoya	feather
okutamirwa	fed up
sente	fee
okuliisa	feed
endowooza	feedback
okuwulira	feel
okuwulira	feeling
ebigere	feet
-agwa	fell
munange	fellow
yawulira	felt
-kazi	female
ekikomera	fence
obujimu	fertile
ekijaguzo	festival
okukima	fetch
omusujja	fever
bitini	few
-tono	fewer
okuyiiya	fiction
ekisaawe	field
obukambwe	fierce
okulwaana	fight
okulwaana	fighting
enkula	figure
okuzuula	figure out
fayilo	file
okujjuza	fill
okujjuza	filled
akazannyo	film
obujama	filthy
okukomenkereza	finally
ensimbi	finance
sente	financial
okusanga	find
okuzuula	find out
omutango	fine
engalo	finger
okumaliriza	finish
okumaliriza	finished
omuliro	fire
obuggumivu	firm
okusooka	first
eky'enyanja	fish
okujjamu	fit
taano	five
okunyiga	fix
